"Aaron Herrmann","Rennergasse 9
1150 Gmünd" 
"Emilija Wachter","Leberplatz 58
6841 Mariazell"
"Frau Kerstin Kessler","Trummerring 447
3223 Saalfelden am Steinernen Meer"
"Ing. Louisa Oswald","Koppensteinerstr. 21
2479 Oberwart"
"Gustav Steurer-Müller","Vanessa-Steinbauer-Platz 7/8
7835 Dornbirn"
"Leontina Dietrich","Simicweg 2/5
7639 Mödling"
"Elisabeth Walcher-Kreuzer","Gollnerplatz 3/0
9893 Gmunden"
"Sena Siegl-Müllner","Leyla-Gindl-Gasse 414
6761 Purbach am Neusiedler See"
"Jan Ladner","Rene-Schiestl-Weg 50
8995 Baden"
"Kai Stern","Spitzergasse 750
5231 Deutschlandsberg"
"Kilian Steinberger","Eisnerweg 8
1585 Deutschlandsberg"
"Emma Juen","Voglstraße 2
6940 Neunkirchen"
"Severin Kapeller","Klementweg 2/7
2552 Bad Aussee"
"Lorenz Lerch","Mayerstraße 574
8766 Neunkirchen"
"Nelly Walcher-Schantl","Adrian-Gratzer-Straße 7/0
9792 Marchegg"
"Dipl.-Ing. Matthias Eller","Lena-Hosp-Platz 5/4
9574 Leibnitz"
"Raffaela Weiss-Ecker","Jaukplatz 492
4407 Allentsteig"
"Ismail Gruber","Kerschbaumgasse 2
5067 Bruck an der Leitha"
"Stephan Schrittwieser","Mörthstraße 9
6301 Retz"
"Levi Weinberger","Julia-Thurner-Gasse 602
7752 Gallneukirchen"
"Univ.Prof. Henri Bäck","Gstreingasse 7
5540 Schrattenthal"
"Emma Riepl","Pernerring 221
6315 Hallein"
"Patrick Stern","Isabelle-Pinter-Weg 53
5325 Rust"
"Dr. Aylin Rieder","Ronya-Köll-Gasse 74
7167 Neumarkt am Wallersee"
"Julia Riegler","Johanna-Ullmann-Weg 63
7010 Purbach am Neusiedler See"
"Ronya Sieber-Posch","Weissring 92
1673 Gmunden"
"Aleksandra Klausner","Lucia-Bitschnau-Straße 3/0
5948 Oberwälz"
"Ing. Lisa Schuler","Dünserring 740
5440 Schwanenstadt"
"Julius Uhl","Fritzweg 5
1102 Kapfenberg"
"Carla Auinger-Wegscheider","Lino-Stark-Weg 474
3183 Knittelfeld"
"Univ.Prof. Gregor Suppan","Claudia-Reisner-Straße 2
3821 Pöchlarn"
"Emma Schüller","Lucas-Rauter-Gasse 4/7
5468 Laa an der Thaya"
"Dipl.-Ing. Niko List","Marcus-Biedermann-Weg 518
2694 Eisenerz"
"Yasmina Ringhofer","Diana-Schantl-Weg 8
5034 Langenlois"
"Justus Hochleitner-Kreuzer","Karolina-Griesser-Gasse 2/5
1278 Marchegg"
"Dipl.-Ing. Carlo Lettner","Benedikt-Kröll-Gasse 9
3948 Bad Vöslau"
"Nisa Pammer","Wildweg 0
9392 Groß-Gerungs"
"Univ.Prof. Teodor Klaus","Naglring 8/9
4620 Vils"
"Zoey Windisch-Kessler","Ismail-Dorner-Weg 2/4
7468 Leoben"
"Rosalie Schrammel","Schweigerstraße 54
3488 Stadtschlaining"
"Carina Decker","Bürgerring 209
1986 Bischofshofen"
"Emma Siller","Mandlplatz 225
4200 Bad Ischl"
"Sabine Zehetner-Horak","Neugebauerring 91
3026 Laakirchen"
"Ines Dorner","Falknerplatz 58
4889 Knittelfeld"
"Dario Neugebauer","Schlosserstraße 7
7825 Gallneukirchen"
"Herr Eduard Erhart","Jasmina-Beck-Straße 3/9
3037 Bregenz"
"Alexandra Jäger","Adrian-Kargl-Straße 2/1
9407 Mank"
"Ing. Heinrich Klinger","Keplingerstraße 20
6825 Bad Sankt Leonhard im Lavanttal"
"Linda Schwab","Heiglplatz 858
5394 Altheim"
"Darko Peham","Köhlerweg 570
4070 Ternitz"
"Kerstin Neuwirth","Uhlgasse 1/4
4045 Weiz"
"Emma Strohmeier-Schuller","Leonardo-Eibl-Ring 9/5
6655 Mattersburg"
"Tom Wirth","Melek-Sieberer-Platz 29
3670 Klosterneuburg"
"Henri Eichinger","Stephanie-Mitter-Straße 8
2953 Bad Ischl"
"Alexandra Hager","Mayrhoferstr. 0/4
2514 Althofen"
"Marlene Trummer","Lilia-Rossmann-Straße 0
3646 Völkermarkt"
"Pauline Riegler","Maksim-Feichtenschlager-Weg 57
3987 Frohnleiten"
"Selma Kraxner","Nele-Gahleitner-Straße 6/4
8609 Retz"
"Nisa Rottensteiner-Kraxner","Reichlplatz 0
4622 Ebreichsdorf"
"Theodora Maierhofer","Scherrstr. 328
6027 Graz"
"Olivia Seiwald","Isabella-Bürger-Weg 7
2603 Wörgl"
"Emmanuel Brunner","Hollerring 3/7
7052 Schrattenthal"
"Stefan Eisner","Elisa-Metzler-Gasse 713
6559 Feldbach"
"Elisa Vogel","Carina-Paulitsch-Straße 8/0
7162 Mank"
"Univ.Prof. Philip Ramsauer","Petzstraße 4/4
9775 Liezen"
"Tobias Kirschner","Paula-Puchner-Gasse 3/1
2786 Raabs an der Thaya"
"Raffaela Riegler","Laurin-Mayr-Gasse 83
3559 Perg"
"Franziska Fink-Schüller","Thomas-Suppan-Straße 08
8705 Rottenmann"
"Univ.Prof. Tanja Klug","Heidi-Neumüller-Platz 1
5632 Fürstenfeld"
"Mona Schneeberger","Lea-Gruber-Gasse 9
3326 Haag"
"Ariana Unterweger","Schützweg 7
1562 Hainfeld"
"Emmanuel Plattner","Marta-Knoll-Gasse 30
3125 Ternitz"
"Larissa Knaus","Sigrid-Gschaider-Platz 71
2656 Retz"
"Nathalie Trauner","Marta-Zeilinger-Weg 28
5634 Judenburg"
"Franz Lindner-Lorenz","Juna-Scharf-Weg 15
5998 Altheim"
"Leopold Gollner","Seilerstraße 096
3312 Traiskirchen"
"Herr Maximilian Wurzer","Karina-Unger-Gasse 06
4761 Grein"
"Mira Prantl","Thomas-Zöhrer-Ring 51
5410 Haag"
"Marvin Mandl","Heinzlring 0
8904 Marchegg"
"Dr. Beatrice Riedl","Weinbergerweg 983
6304 Imst"
"Elina Mandl","Deutschmannring 9/7
2159 Fürstenfeld"
"Emmanuel Schmid","Friedrich-Mitter-Platz 07
1047 Radstadt"
"Isa Köhler","Gmeinerstraße 817
3090 Schwaz"
"Dipl.-Ing. Victor Adler","Baderplatz 5
4638 Gänserndorf"
"Florian Pfleger-Mayr","Angelika-Hartmann-Platz 6/1
6318 Neusiedl am See"
"Paulina Fröhlich","Schlosserweg 75
2871 Bad Aussee"
"Sam Wöhrer","Mario-Schön-Gasse 847
9680 Retz"
"Berra Loibl","Laurin-Klein-Ring 4
5759 Geras"
"Matthias Mitter-Neuner","Danningerplatz 4/3
8937 Oberwart"
"Siena Mühlböck","Weißgasse 4
1883 Trieben"
"Irma Kremser","Theodor-Riepl-Ring 729
4759 Zwettl"
"Emmanuel Strohmaier","Jägerstraße 5
7804 Bischofshofen"
"Marijana Hörl","Hemetsbergergasse 760
2781 Wolfsberg"
"Lara-Sophie Kolb","Philipp-Lipp-Gasse 1/2
9151 Saalfelden am Steinernen Meer"
"Annalena Schmidt","Nick-Eberhard-Straße 65
2568 Ebreichsdorf"
"Marco Herbst","Arthur-Kugler-Gasse 9
3227 Hainburg an der Donau"
"Ing. Dana Gassner","Bruno-Wieser-Platz 6/4
7296 Villach"
"Ariana Holler","Reisingerring 34
8077 Deutsch-Wagram"
"Prof. Sara Stefan","Ruppring 009
4347 Bad Sankt Leonhard im Lavanttal"
"Bernhard Schütz","Probststraße 2
3801 Groß-Gerungs"
"Prof. Rene Nußbaumer","Hebenstreitplatz 542
2944 Grieskirchen"
"Eric Ebner","Michelle-Schrammel-Gasse 5/0
7818 Laa an der Thaya"
"Louisa Lercher","Wolfring 778
9217 Radenthein"
"Maurice Gabriel-Hummer","Cristina-Mittermayr-Weg 8/5
9275 Waidhofen an der Thaya"
"Sebastian Thalhammer","Zaunerstraße 7
4798 Jennersdorf"
"Ronya Haslinger-Wirth","Wagnerstr. 09
5119 Zeltweg"
"Friedrich List","Antonio-Unterberger-Weg 8
2023 Landeck"
"Josefine Zeiner","Platzerring 7
3155 Peuerbach"
"Noah Lerch","Rachel-Kaspar-Ring 0/8
3948 Radstadt"
"Mia Kaindl","Reisingergasse 691
2550 Grieskirchen"
"Sophia Schmidl","Weidingerstraße 83
9789 Gleisdorf"
"Eric Erlacher","Kapellerstraße 7
3733 Gleisdorf"
"Ing. Vito Fehringer","Hellstr. 6
5934 Altheim"
"Leopold Wallner","Joseph-Kitzler-Platz 91
6668 Landeck"
"Lukas Fercher-Hammer","Marijana-Bayer-Weg 470
4519 Vils"
"Ruben Fellner-Riepl","Leonora-Schatz-Platz 9
6522 Eisenerz"
"Rene Schindler-Klingler","Ferdinand-Postl-Gasse 92
3849 Bad Leonfelden"
"Prof. Matilda Waldner","Kilian-Dorn-Gasse 8
2315 Linz"
"Mike Weiss","Rieplplatz 3/8
1233 Althofen"
"Frida Reisner","Fabian-Fleck-Straße 56
9346 Amstetten"
"Mario Gattringer","Leibetsederstraße 1/7
4014 Groß-Gerungs"
"Eric Schindler-Groß","Stephan-Hofer-Straße 557
8483 Hall in Tirol"
"Dr. Sarah Nagele","Haslingergasse 5/1
6800 Oberwart"
"Prof. Jonas Griesser","Schaffergasse 2/8
5648 Groß-Siegharts"
"Richard Margreiter","Windischstraße 0
3863 Gloggnitz"
"Kyra Grünberger-Payer","Brucknerweg 35
6044 Friesach"
"Marie-Sophie Wilfinger-Dallinger","Lino-List-Straße 901
3201 Wels"
"Angelo Neureiter","Parzerstr. 3
3466 Wieselburg"
"Aleksandra Bogner","Alexia-Sieberer-Straße 321
4290 Bludenz"
"Evelyn Rieder","Dallingerplatz 944
2630 Rohrbach in Oberösterreich"
"Mika Geisler-Herzog","Oberleitnerring 284
4069 Sankt Johann im Pongau"
"Eric Wilhelm","Ben-Falkner-Gasse 8
5365 Weitra"
"Stephan Galler","Kellnerweg 82
7759 Baden"
"Emely Erlacher","Kalina-Brandner-Gasse 83
7983 Salzburg"
"Maksim Braun","Stella-Scholz-Straße 80
1558 Mattersburg"
"Fiona Schöberl","Anika-Zotter-Platz 165
7446 Vils"
"Raphael Buchinger","Breuerweg 2/5
5878 Klagenfurt"
"Aleksander Mühlberger","Elena-Mader-Platz 9
6012 Dürnstein"
"Lino Bogner","Leonhartsbergerplatz 6
3701 Traismauer"
"Irma Bachmann-Ertl","Annabell-Pfleger-Ring 76
3625 Wieselburg"
"Lucia Mark","Meyergasse 5
6335 Bludenz"
"Erik Pertl","Milan-Wöhrer-Platz 7
7608 Bludenz"
"Frau Bianca Weissenböck","Gstreinring 9
3048 Marchtrenk"
"Bianca Neubauer","Thalhammerstraße 46
4784 Ansfelden"
"Felix Pammer","Juliana-Mairhofer-Straße 5
8443 Bad Radkersburg"
"Marvin Obermayr-Holzmann","Sara-Bruckner-Straße 65
3515 Mistelbach an der Zaya"
"Gloria Graf","Leonard-Hochleitner-Platz 0
9379 Kindberg"
"Prof. Anna-Lena Lettner","Seifertstraße 748
7942 Kindberg"
"Nadja Hörmann","Petzweg 57
1101 Neumarkt am Wallersee"
"Ing. Benedict Stock","Amonstraße 54
8435 Amstetten"
"Emmanuel Lampl","Reichlweg 65
5865 Schwaz"
"Erik Spiegl-Kraxner","Wiednerstraße 4
4480 Rust"
"Mateo Stöckl","Zaunerweg 291
6389 Perg"
"Patrick Ecker","Schröderstraße 20
5693 Schärding"
"Florin Knaus","Rettenbachergasse 4
3127 Groß-Enzersdorf"
"Sven Haas","Mühlböckgasse 7/2
4198 Pulkau"
"Boris Widmann-Schiefer","Bucherstr. 77
8349 Zell am See"
"Franz Schneeberger-Haberl","Lamplplatz 4/4
5380 Neulengbach"
"Adriano Guggenberger","Johann-Krenn-Weg 652
2481 Neunkirchen"
"Frau Berra Steinwender","Julia-Rossmann-Straße 52
3382 Zell am See"
"Prof. Vito Zeilinger","Mayrstraße 1/8
8279 Leibnitz"
"Erik Varga","Maryam-König-Weg 758
7300 Wieselburg"
"Matheo Lindinger","Ronja-Blümel-Platz 5/9
5524 Ybbs an der Donau"
"Nikolai Haring","Tim-Auinger-Straße 0
1466 Bludenz"
"Aaron Klement","Marissa-Höller-Straße 126
9077 Gföhl"
"Nick Holler","Nikita-Hofmeister-Straße 0/3
1072 Wolkersdorf"
"Lina Heger","Wiesbauerweg 021
2799 Innsbruck"
"Dipl.-Ing. Amelia Frick","Puchnerstraße 509
4584 Eggenburg"
"Ing. Julius Kaiser","Richard-Ebner-Ring 4
7185 Traismauer"
"Magdalena Göschl-Scharf","Gmeinerplatz 8/8
8785 Wörgl"
"Justus Handler-Hofmeister","Huberweg 6
4976 Hainfeld"
"Erina Kainz","Arthur-Martin-Ring 48
1453 Sankt Veit an der Glan"
"Emil Hinteregger","Nicholas-Salzmann-Straße 997
7414 Ansfelden"
"Emilian Berchtold","Vito-Platzer-Platz 58
5405 Pregarten"
"Yvonne Postl","Markus-Engl-Straße 3
3003 Gerasdorf bei Wien"
"Juliane Müllner-Klocker","Christian-Schmidl-Straße 0
8512 Schwechat"
"Emil Höfler","Bruno-Kral-Gasse 62
2687 Marchegg"
"Mateo Fleischhacker","Iris-Sieber-Platz 30
7349 Sankt Valentin"
"Tea Schinagl","Lamprechtweg 51
1925 Lienz"
"Patrik Winkler-Walser","Aleksandra-Weiser-Straße 6
2066 Attnang-Puchheim"
"Herr Friedrich Scholz","Matheo-Reitinger-Straße 520
7029 Pulkau"
"Erina Riegler","Mariella-Haindl-Platz 70
4809 Purbach am Neusiedler See"
"Stefanie Gattringer","Humerstr. 329
2083 Feldkirchen"
"Jannik Sieber","Schmidweg 50
7063 Hallein"
"Lukas Brenner-Wilhelm","Patricia-Zotter-Platz 2/0
5530 Schrems"
"Paula Sagmeister","Stockingerweg 5/5
5864 Sankt Andrä im Lavanttal"
"Pauline Reischl","Scherzerring 9/0
1762 Bad Sankt Leonhard im Lavanttal"
"Maria Gratz-Geyer","Schmidtring 0
8086 Gänserndorf"
"Paula Mittermayr","Koppensteinerweg 356
7711 Grein"
"Markus Trimmel","Jana-Griesser-Platz 2/3
6711 Bad Vöslau"
"Dana Hölzl","Linda-Reischl-Ring 195
7116 Gföhl"
"Erwin Haberl","Wiednerstraße 3
7293 Gloggnitz"
"Kristian Buchner-Göschl","Knausring 62
9785 Hartberg"
"Vito Knapp","Bernadette-Kolar-Platz 5/9
6938 Hallein"
"Raphael Kitzler","Schenkring 3
6024 Mödling"
"Juliana Prohaska","Selena-Holler-Weg 32
2753 Klosterneuburg"
"Prof. Leandra Kronberger","Schartnerplatz 2/8
6031 Laakirchen"
"Marcus Luttenberger","Christoph-Schalk-Ring 7
6305 Steyregg"
"Yvonne Lampl","Zeilerring 04
1604 Waidhofen an der Thaya"
"Mariam Reiter","Aichholzerring 81
3155 Leoben"
"Marko Hofer","Hauerplatz 4/6
6679 Köflach"
"Erwin Hammerer","Hölzlring 79
3647 Pöchlarn"
"Aurelio Scherr-Rohrmoser","Reichweg 4/2
5061 Tulln an der Donau"
"Julius Günther-Vogl","Kleinring 951
3250 Rust"
"Violetta Strauss","Lacknerring 3
6205 Zeltweg"
"Benedikt Stangl","Dünsergasse 32
1908 Langenlois"
"Lena Greiner","Tiefenbacherweg 6
1500 Oberwart"
"Univ.Prof. Isa Nagel","Veitweg 2
6522 Langenlois"
"Magdalena Kreiner","Herrmanngasse 51
2081 Mank"
"Matheo Riegler","Sophie-Ertl-Straße 11
6897 Wieselburg"
"Leonardo Stückler","Fercherring 1
7359 Geras"
"Erwin Jöbstl","Altmanngasse 7/8
2381 Trofaiach"
"Ing. Mona Keller","Lean-Neumayer-Weg 6/0
8877 Bad Vöslau"
"Theodora Ullmann","Leoni-Grassl-Straße 18
7638 Schrems"
"Christopher Puntigam-Wachter","Lea-Sophie-Steiner-Gasse 6
5629 Attnang-Puchheim"
"Prof. Noah Mörth","Konradweg 6/3
4542 Weitra"
"Maximilian Hörl-Obermüller","Krammerstraße 0
2433 Schrems"
"Tina Scharinger","Reinthalerstr. 8
1698 Neumarkt am Wallersee"
"Maria Hirsch","Elisabeth-Fürst-Straße 8
3081 Köflach"
"Univ.Prof. Klara Messner","Postlring 50
9538 Kindberg"
"Stefan Nagl","Kapellerstraße 5/4
3710 Gallneukirchen"
"Erwin Kaltenböck","Naglplatz 20
3190 Grieskirchen"
"Franziska Himmelbauer","Philipp-Steidl-Ring 235
5809 Villach"
"Frida Schwarzinger","Siena-Froschauer-Weg 5/1
2504 Berndorf"
"Aron Leopold","Jamie-Hübner-Ring 5/6
1836 Bruck an der Mur"
"Maryam Thurner","Kesslerstraße 8/9
6098 Wörgl"
"Anika Rauch","Tamara-Kastner-Straße 66
6777 Ebreichsdorf"
"Axel Mühlböck","Anja-Galler-Straße 50
8522 Kufstein"
"Tamara Kerschbaumer","Rita-Kunz-Gasse 044
5928 Trofaiach"
"Berra Wolf","Lugerring 2/3
3558 Schrattenthal"
"Nino Ebner","Selin-Hinterberger-Ring 9/6
8152 Wien"
"Erwin Riedler","Kapellergasse 4/8
5575 Mautern an der Donau"
"Darko Mandl","Wienerstr. 525
5023 Bregenz"
"Dr. Berra Bernhard","Pölzlring 34
7274 Lienz"
"Heinrich Reiterer","Kesslerplatz 858
7190 Gföhl"
"Ing. Alex Kammerer","Krallweg 1
3608 Wolfsberg"
"Estelle Meixner","Leona-Stern-Ring 1
5562 Dürnstein"
"Niko Scheiber","Fercherstr. 0/0
8902 Schrattenthal"
"Florian Beck","Bastian-Mitteregger-Ring 9
4840 Attnang-Puchheim"
"Adrian Rohrmoser","William-Trummer-Platz 30
3912 Pulkau"
"Oscar Reiter","Lea-Heller-Weg 03
1270 Freistadt"
"Erwin Strauss","Kappelstraße 78
3361 Güssing"
"Leonardo Kloiber-Klaus","Reichring 0/5
8998 Neumarkt am Wallersee"
"Lia Gschaider","Bitschnaustr. 678
8284 Drosendorf-Zissersdorf 1"
"Nicola Kraft","Postlweg 8/0
9661 Radenthein"
"Franz Tanzer","Nicolas-Steinbacher-Weg 1/7
5176 Schwaz"
"Marc Stoiber","Anja-Walser-Weg 545
1307 Sankt Veit an der Glan"
"Lilian Beer","Leonardo-Gamsjäger-Gasse 4/6
1283 Güssing"
"Liam Weiss","Guggenbergergasse 15
9530 Sankt Valentin"
"Ajna Löffler","Pohlweg 8/2
7478 Groß-Siegharts"
"Larissa Sperl","Bernhardstraße 13
1317 Zwettl"
"Estelle Engl","Niko-Schmidinger-Ring 0/4
7875 Bad Ischl"
"Naomi Neulinger","Linus-Haidinger-Ring 0/9
3584 Neusiedl am See"
"Franz Hahn","Mara-Geisler-Weg 55
2574 Bärnbach"
"Franz Rohrmoser","Patrik-Pohl-Weg 7
5988 Linz"
"Dr. Mika Schöpf","Justus-Schreiber-Weg 4
4222 Laakirchen"
"Evelyn Lampl-Seebacher","Maringerstr. 1
9630 Kapfenberg"
"Jakob Stütz","Trattnerplatz 99
6321 Sankt Andrä im Lavanttal"
"Matthias Stockhammer-Gratzer","Iris-Zehetner-Weg 782
6368 Gänserndorf"
"Marcus Köhler","Nemethstraße 794
2205 Eisenstadt"
"Diana Brunner-Rabl","Valentino-Gattringer-Weg 7/8
2914 Litschau"
"Estelle Hinterleitner","Danglstr. 8
4483 Jennersdorf"
"Henrik Pölzl","Roman-Becker-Gasse 0/0
8725 Stadtschlaining"
"Cristiano Urban","Voglerring 652
3467 Gerasdorf bei Wien"
"Lily Baier","Eberlplatz 608
1017 Waidhofen an der Thaya"
"Sofie Urban","Emil-Scharf-Ring 5/7
5082 Bleiburg"
"Prof. Natalie Gritsch","Schallerring 0/8
4393 Bad Radkersburg"
"Ing. Marlene Santner","Ruth-Doppler-Gasse 68
1763 Völkermarkt"
"Antonius Pertl","Eckergasse 408
2992 Peuerbach"
"Clara Kiss","Knausstraße 3
6808 Pregarten"
"Tanja Gschaider-Schmidinger","Erhartgasse 52
8838 Voitsberg"
"Estelle Pfeiffer","Nathalie-Lammer-Platz 8/1
5799 Wilhelmsburg"
"Ing. Kristina Sieber","Isabelle-Simon-Gasse 84
4221 Lilienfeld"
"Nikolina Klingler","Anderlweg 5
6873 Peuerbach"
"Leticia Ringhofer","Barthplatz 47
1511 Waidhofen an der Ybbs"
"Eric Bürger","Kalina-Blümel-Weg 62
3650 Lilienfeld"
"Patricia Krenn","Leonora-Siller-Platz 92
9716 Bregenz"
"Mario Platzer","Kummerplatz 2/2
5710 Gerasdorf bei Wien"
"Herr Marko Wieland","Schwarzgasse 6
4201 Kapfenberg"
"Nadia Sturm","Naglplatz 21
8951 Wolkersdorf"
"Barbara Hofer","Knausring 960
1632 Oberwälz"
"Esther Bachmann","Ylvie-Dirnberger-Platz 765
4247 Villach"
"Nikita Berchtold","Waltlstraße 1/0
1305 Wieselburg"
"Joseph Leopold","Schneebergerplatz 61
9599 Jennersdorf"
"Heinrich Herzog","Nicola-Nöbauer-Straße 691
7451 Klosterneuburg"
"Levi Brandner","Sophie-Marie-Reichel-Gasse 606
4323 Raabs an der Thaya"
"Darius Laimer","Hörlweg 331
6275 Kufstein"
"Tea Sagmeister","Neugebauergasse 8/4
2700 Imst"
"Prof. Ava Knaus","Geigergasse 31
6035 Groß-Siegharts"
"Lena Kahr","Oscar-Felber-Gasse 4/1
8578 Vöcklabruck"
"Miriam Ziegler-Ludwig","Benjamin-Hemetsberger-Straße 031
1996 Bad Vöslau"
"Esther Hutter","Bertholdstr. 2
9600 Bad Aussee"
"Ronja Kain","Thalhammerstr. 75
8260 Sankt Veit an der Glan"
"Luca Weissenböck","Rösslerstr. 032
5346 Krems an der Donau"
"Rachel Scheucher-Riedl","Leah-Heinrich-Straße 2
4047 Mattersburg"
"Nadin Zangerl","Cornelius-Harrer-Ring 0
8128 Wörgl"
"Emilija Sammer","Mathilda-Grundner-Straße 8
6113 Hainfeld"
"Eric Klaus-Rieger","Magdalena-Zettl-Straße 77
1004 Ried im Innkreis"
"Emanuel Rieser-Kollmann","Neureiterring 405
4800 Zistersdorf"
"Dr. Niko Neugebauer","Anna-Lena-Dirnberger-Gasse 6
2708 Zistersdorf"
"Maurice Zehetner","Seidlring 664
2668 Bludenz"
"Esther Obermayr","Paulina-Eichinger-Weg 9/2
3956 Oberndorf bei Salzburg"
"Filip Koch","Charlotte-Holzknecht-Straße 20
9182 Oberwälz"
"Franziska Forstner","Fröhlichring 5/6
5871 Sankt Valentin"
"Annika Schuller","Christine-Schön-Ring 462
1449 Schwechat"
"Clara Zauner-Heiss","Meixnerplatz 5
9326 Litschau"
"Friedrich Landl","Schröderstr. 4
8993 Saalfelden am Steinernen Meer"
"Lena Schweiger","Lea-Sophie-Bruckner-Platz 34
3643 Gloggnitz"
"Theo Zeller","Erik-Gstrein-Gasse 140
8846 Feldbach"
"Tina Kitzler","Martinweg 22
9138 Rohrbach in Oberösterreich"
"Prof. Michelle Stückler","Karina-Dorner-Ring 6
8367 Schwechat"
"Esther Sturm","Rosenbergerstr. 7
1375 Traun"
"Gabriel Wilhelm","Louise-Pinter-Platz 315
6753 Bad Ischl"
"Adrian Schilcher","Schneidergasse 6/0
9640 Gmunden"
"Matheo Binder","Fiedlerstr. 4/0
4033 Gmunden"
"Dipl.-Ing. Kristina Oberleitner","Stella-Petz-Platz 1/4
1587 Hardegg"
"Lars Klausner","Nina-Handl-Weg 7
8024 Stadtschlaining"
"Herr Milo Wiesinger","Helene-Weninger-Straße 0/1
9247 Waidhofen an der Thaya"
"Nils Kuhn-Kurzmann","Florin-Bader-Ring 3/1
3705 Bad Hall"
"Domenica Wiener-Bartl","Steindlweg 630
7426 Feldbach"
"Constantin Stecher","Danglweg 9/2
6846 Mürzzuschlag"
"Esther Wurzinger","Katja-Schalk-Platz 99
7653 Melk"
"Stefan Schrenk","Kratzergasse 452
8735 Tulln an der Donau"
"Lola Kraft","Julia-Sulzer-Weg 0
9418 Mannersdorf am Leithagebirge"
"Kilian Höfler","Daniela-Berner-Straße 314
6218 Marchtrenk"
"Adam Wiener","Hollstr. 8
4397 Murau"
"Dipl.-Ing. Ines Neuner","Scharfgasse 849
3849 Judenburg"
"Marissa Mühlböck-Hutter","Marxweg 2
2417 Ternitz"
"Karolina Schilcher","Sonja-Pohl-Straße 1
1024 Friedberg"
"Aron Schlager","Florentin-Zöhrer-Ring 872
8491 Retz"
"Dipl.-Ing. Barbara Kellner","Florentina-Heigl-Weg 13
5633 Grieskirchen"
"Eva Knaus-Strauss","Kyra-Auinger-Straße 01
7117 Schärding"
"Alma Geyer-Stefan","Dilara-Wurzinger-Straße 0/1
2058 Sankt Johann im Pongau"
"Frau Marta Scharinger","Seiwaldstraße 25
1551 Spittal an der Drau"
"Dana Reicher","Hörlplatz 015
8948 Mürzzuschlag"
"Dr. Emilija Weiss","Fürststraße 1
9492 Mannersdorf am Leithagebirge"
"Angelina List","Nadine-Schalk-Platz 6/1
7142 Leibnitz"
"Anita Gstrein","Leonard-Höfer-Gasse 716
4210 Hainfeld"
"Fabio Walder","Reisnerweg 929
8440 Weitra"
"Luka Scharinger","Mayrhoferstraße 7/0
1534 Dürnstein"
"Luca Scharf","Luisa-Kiss-Platz 44
2161 Spittal an der Drau"
"Evelyn Heger","Leonardo-Friedrich-Straße 4
4146 Zeltweg"
"Luka Krammer","Hartmannweg 289
6501 Oberpullendorf"
"Florin Kellner","Thomas-Reindl-Gasse 62
8639 Fischamend"
"Felicitas Ostermann","Leitnerstraße 784
3243 Gloggnitz"
"Emely Siegl","Kristina-Eberharter-Weg 01
5056 Laa an der Thaya"
"Natascha Schinagl","Angelo-Oberndorfer-Ring 18
6355 Raabs an der Thaya"
"Ing. Melanie Fichtinger","Frickgasse 31
3235 Kufstein"
"Mariella Eibl","Ajna-Jandl-Weg 6/8
4906 Linz"
"Lukas Trinkl","Grasslgasse 1
3452 Gmünd"
"Univ.Prof. Nikolai Traxler","Schöberlstraße 7
1167 Sankt Valentin"
"Evelyn Jungwirth","Tischlerstr. 451
2264 Freistadt"
"Prof. Ella Schatz","Mittererring 33
2180 Gmünd"
"Clemens Kirschner","Erlachergasse 7
8683 Mautern an der Donau"
"Christoph Dorfer","Leah-Scheer-Ring 034
7649 Sankt Andrä im Lavanttal"
"Lean Jenewein","Liliana-Reischl-Ring 3
6342 Bad Hall"
"Prof. Lola Kessler","Sven-Kofler-Straße 9
7334 Sankt Johann im Pongau"
"Nicolai Kogler","Louisa-Dünser-Straße 4
1293 Braunau am Inn"
"Matthias Ulrich","Burgstallerstr. 00
3449 Amstetten"
"Elisa Hauer","Melek-Hoffmann-Weg 1/1
3092 Enns"
"Lisa-Marie Schiestl","Tim-Hölzl-Straße 6
5233 Schladming"
"Evelyn Pfleger","Raabweg 61
3037 Feldbach"
"Herr Pascal Stocker","Heiglstraße 2
8525 Landeck"
"Barbara Rinner-Schranz","Schachnergasse 4/0
9126 Trieben"
"Nikola Gabriel","Amongasse 624
8076 Ebenfurth"
"Prof. Liliane Hummer","Artnerweg 990
1967 Zistersdorf"
"Jamie Hahn","Müllerstr. 8
8296 Zell am See"
"Ing. Nathalie Köll","Thallergasse 556
7481 Friesach"
"Henrik Pfeifer","Redlstraße 7
7355 Traismauer"
"Matilda Decker-Thurner","Florian-Meister-Ring 67
8021 Vöcklabruck"
"Ing. Philip Kraxner","Fernando-Schaller-Platz 757
4065 Bruck an der Mur"
"Evelyn Tiefenbacher","Walsergasse 9/8
7353 Poysdorf"
"Univ.Prof. Theo Bitschnau","Rennerring 20
8181 Marchtrenk"
"Matteo Braun","Linus-Reisinger-Platz 1
6303 Zeltweg"
"Ing. Finn Jauk","Reithofergasse 5
9294 Laakirchen"
"Finn Paulitsch","Freystraße 5/4
5743 Altheim"
"Dr. Steven Schenk","Kolbstraße 2
5743 Krems an der Donau"
"Herr Valentino Rössler","Karoline-Riegler-Platz 3/8
6990 Radstadt"
"Leandra Knaus","Leontina-Steinberger-Straße 61
4455 Stockerau"
