"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Karim Krainz-Rauter"	"Christina-Wiedner-Weg 082
2381 Ansfelden"
"Louis Neumeister"	"Rayana-Hechenberger-Weg 1/2
5551 Mattighofen"
"Karolina Parzer"	"Berchtoldstr. 8
2024 Attnang-Puchheim"
"Christine Schweitzer"	"Magdalena-Windhager-Ring 3
1252 Bad Hall"
"Jakob Klement"	"Berchtoldplatz 7
9064 Stadtschlaining"
"Calvin Köck"	"Fürederring 746
3454 Neunkirchen"
"Dipl.-Ing. Theodora Hofbauer"	"Johann-Hahn-Gasse 225
7938 Herzogenburg"
"Luna Hämmerle"	"Florentina-Reitbauer-Straße 60
9516 Hardegg"
"Univ.Prof. Mia Dorfer"	"Schreinerweg 2/2
2498 Hartberg"
"Ela Leitner-Wiesinger"	"Mateo-Ofner-Straße 561
8876 Leoben"
"Dipl.-Ing. Stephan Rieger"	"Vogtplatz 0
5166 Raabs an der Thaya"
"Nicola Heger"	"Bernhardstraße 6
8567 Kindberg"
"Rita Reiner"	"Justus-Stelzl-Platz 5
4827 Mariazell"
"Dipl.-Ing. Juliana Wirth"	"Zechmeisterweg 6/9
8742 Mautern an der Donau"
"Filip Gruber"	"Laila-Walder-Ring 7
7078 Traun"
"Ing. Eric Kiss"	"Müllerstraße 9
2859 Peuerbach"
"Charlotte Marte"	"Grabnerring 997
9841 Trofaiach"
"Philippa Felder"	"Jungring 5
4006 Waidhofen an der Ybbs"
"Dipl.-Ing. Jannik Eichinger"	"Isa-Dietrich-Platz 38
3474 Gallneukirchen"
"Elena Hackl-Scheucher"	"Schafferstraße 7/1
1555 Bad Aussee"
"Natalia Gärtner"	"Cristiano-Müllner-Gasse 9
7542 Bleiburg"
"Viktor Tauber-Grüner"	"Karim-Schrammel-Platz 26
9474 Laa an der Thaya"
"Nikita Scherr-Schwarzl"	"Lennard-Salcher-Weg 7/7
2415 Trofaiach"
"Leander Rath"	"Langergasse 75
2569 Mattersburg"
"Henri Höfler"	"Leithnerstraße 857
8100 Ried im Innkreis"
"Anna Augustin"	"Ludwigplatz 853
1729 Wörgl"
"Herr Marvin Horak"	"Julijana-Ullmann-Straße 04
7107 Klosterneuburg"
"Marius Schwarz"	"Simicgasse 116
1144 Korneuburg"
"Alexandar Falkner"	"Haiderstraße 9
9288 Lilienfeld"
"Elena Kaspar"	"Elvira-Adam-Straße 9
2630 Waidhofen an der Thaya"
"Erik Leutgeb"	"Schrammelplatz 1/9
9010 Feldbach"
"Ralph Strohmaier-Höfer"	"Bernhard-Hödl-Straße 64
1558 Bregenz"
"Carlotta Pucher"	"Victor-Gahleitner-Platz 295
4607 Marchtrenk"
"Eva Hinteregger-Dallinger"	"Claudia-Kuhn-Straße 96
6570 Völkermarkt"
"Philip Marte"	"Praxmarerring 51
8958 Ansfelden"
"Theodor Schwaiger-Singer"	"Matthias-Krenn-Platz 45
6112 Geras"
"Ricardo Angerer"	"Karglstraße 70
1722 Eisenerz"
"Ellie Klingler"	"Schimplweg 686
3770 Imst"
"Veronika Weidinger"	"Stolzgasse 7
9326 Sankt Veit an der Glan"
"Eleonora Schlosser"	"Klingerplatz 87
3961 Purbach am Neusiedler See"
"Eda Kreiner"	"Böhlerstraße 9
9289 Schwaz"
"Kilian Karl-Schütz"	"Schmuckstraße 33
3155 Gleisdorf"
"Marco Denk"	"Staudacherweg 28
6665 Litschau"
"Luana Schlögl"	"Ramsauerweg 5/3
5238 Sankt Veit an der Glan"
"Lilli Seitz"	"Kösslerstr. 0/1
4497 Trieben"
"Valentino Bucher"	"Hausbergerplatz 3/6
9695 Waidhofen an der Ybbs"
"Jonathan Kloiber"	"Stolzring 26
2611 Kufstein"
"Philipp Stefan"	"Ottstr. 37
9046 Sankt Pölten"
"Oskar Sieberer"	"Stummerweg 0/1
6746 Fürstenfeld"
"Elias Freitag"	"Emil-Lenz-Straße 0/2
3980 Maissau"
"Univ.Prof. David Arnold"	"Pinterring 30
1744 Gleisdorf"
"Manuela Höfer"	"Praxmarerweg 21
4448 Raabs an der Thaya"
"Xavier Salzmann"	"Alexandra-Jank-Straße 3
4081 Waidhofen an der Ybbs"
"Merlin Brandtner"	"Jovanovicstr. 09
2507 Langenlois"
"Nela Klement"	"Zeinerring 204
4718 Gföhl"
"Emilia Martin"	"Sahra-Walcher-Gasse 19
8810 Bleiburg"
"Sven Fritsch"	"Leoni-Pircher-Platz 6
5078 Perg"
"Christian Maier"	"Wegscheiderstr. 47
5783 Fehring"
"Constanze Walter"	"Norah-Steinberger-Ring 24
2809 Sankt Johann im Pongau"
"Elina Buchinger-Larcher"	"Dario-Gasser-Platz 9/9
4280 Melk"
"Marvin Rotter-Zeiner"	"Wieserring 09
8564 Traismauer"
"Amanda Schachinger"	"Moritz-Stadler-Ring 3
7413 Knittelfeld"
"Anabella Grasser"	"Rathgasse 391
1576 Sankt Johann im Pongau"
"Aurelio Parzer"	"Meixnergasse 5
4445 Feldkirch"
"Bernhard Fleischmann"	"Leticia-Schauer-Platz 8/1
8506 Berndorf"
"Gabriel Reichl"	"Eric-Raab-Gasse 11
3413 Straßburg"
"Bernadette Trauner"	"Karlplatz 416
8994 Wieselburg"
"Maksim Kolm"	"Landlplatz 7/2
9392 Wieselburg"
"Iris Reif"	"Ellie-Salzmann-Straße 343
7818 Litschau"
"Elina Gmeiner"	"Schwarzlstraße 8
9004 Ebenfurth"
"Emilie Probst"	"Matheo-Aigner-Gasse 850
3683 Linz"
"Marie-Sophie Bucher"	"Stephanie-Kainz-Weg 1/4
4232 Ebreichsdorf"
"Valentino Santner"	"Eichbergerstr. 09
2946 Feldkirchen"
"Clarissa Kronberger"	"Berra-Haslinger-Weg 9/7
2765 Heidenreichstein"
"Joshua Riedmann"	"Erhartplatz 3
9764 Pöchlarn"
"Sven Luger-Greiner"	"Schulerstraße 37
1325 Zell am See"
"Tristan Rinner"	"Bürgerring 30
7995 Stadtschlaining"
"Andrea Neuhold"	"Melek-Hattinger-Gasse 4
6742 Groß-Siegharts"
"Robert Maier"	"Anne-Muhr-Gasse 846
4111 Fürstenfeld"
"Elina Kappel"	"Freudenthalerstraße 005
9269 Gmünd"
"Francesca Luger-Gschaider"	"Schwaighoferplatz 412
3189 Hallein"
"Benedikt Neuwirth"	"Marcel-Scheucher-Platz 9
2701 Eferding"
"Aron Bernhard"	"Marcus-Fröschl-Weg 673
6695 Oberwälz"
"Aurora Götz-Pohl"	"Martin-Widhalm-Straße 6/9
2296 Feldbach"
"Maja Puntigam"	"Gärtnerstraße 2
1472 Purbach am Neusiedler See"
"Paul Kraxner"	"Niko-Frank-Ring 5
7647 Bischofshofen"
"Domenica Erler"	"Zeinerstraße 6
5248 Fischamend"
"Siena Walcher"	"Bruno-Kopp-Gasse 31
1520 Stockerau"
"Luis Koppensteiner-Bäck"	"Lettnerstr. 7
1338 Lilienfeld"
"Elina Neuhauser"	"Ismail-Bartl-Gasse 3
9900 Bad Sankt Leonhard im Lavanttal"
"Prof. Viktor Steinböck"	"Anne-Nagel-Platz 9
5230 Langenlois"
"Ajna Grill"	"Eda-Koppensteiner-Platz 5/2
5447 Oberpullendorf"
"Lotte Schuh"	"Nele-Scharinger-Straße 8
1717 Allentsteig"
"Noel Jandl"	"Gritschstraße 89
6795 Stadtschlaining"
"Mariam Oberhauser-Oberleitner"	"Bucherstraße 016
2480 Feldbach"
"Liliane Kellner"	"Schreiberplatz 2
2314 Radenthein"
"Aleksander Gabriel"	"Burtschergasse 8/0
5066 Klosterneuburg"
"Franz Dietl-Renner"	"Steinlechnerstr. 432
5990 Marchtrenk"
"Frau Rachel Frick"	"Baumgartnergasse 49
5520 Schrattenthal"
"Elina Pöschl"	"Fritzstr. 73
1618 Allentsteig"
"Florian Karner"	"Meierstraße 5
5354 Rattenberg"
"Marcel Kremser"	"Walserring 989
2313 Bleiburg"
"Ing. Anabella Scherz"	"Sofia-Wurzer-Ring 552
6886 Dornbirn"
"Herr Tim Berner"	"Nußbaumerweg 41
2893 Hardegg"
"Tristan Loibl-Schmid"	"Kaufmannweg 71
7330 Klagenfurt"
"Dipl.-Ing. Lisa-Marie Kloiber"	"Kaltenböckring 182
6525 Grieskirchen"
"Dilara Weiser"	"Gschaiderstraße 14
8529 Pulkau"
"William Götz"	"Konstantin-Fuhrmann-Platz 393
8048 Schrattenthal"
"Dr. Niko Weiss"	"Carlo-Heller-Platz 88
1954 Dürnstein"
"Elina Stöger"	"Anabella-Knaus-Straße 2/1
8047 Bad Hall"
"Selena Fercher"	"Lilli-Pendl-Platz 7
7091 Oberwälz"
"Niko Mühlbacher-Oberleitner"	"Klementring 07
7485 Klosterneuburg"
"Luca Gangl"	"Ernstring 598
2584 Korneuburg"
"Mariana Hufnagl"	"Hechenbergerweg 82
2653 Bruck an der Mur"
"Sena Waldner"	"Henrik-Simic-Weg 264
7209 Gerasdorf bei Wien"
"Louis Fiedler"	"Kreinerweg 98
2268 Korneuburg"
"Frau Fiona Köck"	"Herrmannweg 72
2639 Oberpullendorf"
"Hugo Brenner-Hutter"	"Petzweg 20
7802 Bärnbach"
"Luca Denk"	"Schwaighoferstr. 760
9982 Fischamend"
"Elisa Buchinger"	"Catharina-Hutter-Platz 373
7419 Wörgl"
"Prof. Selin Gschwandtner"	"Hämmerlestraße 6/4
1621 Bischofshofen"
"Sophie Herbst-Humer"	"Karnerweg 6
2489 Peuerbach"
"Julian Pachler"	"Kuglerstr. 7/1
6145 Rattenberg"
"Dr. Alena Grundner"	"Traxlerstr. 9/8
6004 Bad Ischl"
"Martha Lackner"	"Sigrid-Froschauer-Platz 3
2043 Altheim"
"Violetta Dallinger-Scherzer"	"Erberstraße 54
6383 Klosterneuburg"
"Bernadette Seebacher"	"Röckstr. 4
1447 Tulln an der Donau"
"Luis Hutterer-Rauscher"	"Fiona-Jandl-Gasse 8
2922 Gallneukirchen"
"Dipl.-Ing. Nino Schachinger"	"Rathring 83
4540 Braunau am Inn"
"Elisa Nemeth-Rainer"	"Marie-Sophie-Winkler-Gasse 3/3
3815 Deutschlandsberg"
"Yvonne Heinrich"	"Riesergasse 6
4990 Oberndorf bei Salzburg"
"Antonio Jäger-Schaffer"	"Paulitschstr. 4
5931 Deutschlandsberg"
"Prof. Cristiano Vogler"	"Florentin-Berner-Platz 5
1392 Hartberg"
"Elvira Lorenz"	"Fichtingerweg 813
9562 Gloggnitz"
"Viola Felder"	"Leyla-Trauner-Weg 708
7004 Zell am See"
"Lily Schuller"	"Viola-Suppan-Ring 8/9
8019 Feldkirchen"
"Katarina Geyer"	"Hölzlring 1
2369 Eisenerz"
"Stella Sonnleitner"	"Ungerplatz 54
8775 Trieben"
"Ajna Bernhard-Hutter"	"Leibetsedergasse 340
1584 Deutschlandsberg"
"Elisa Sailer"	"Fuchsring 163
1549 Freistadt"
"Nele Bogner"	"Andjelina-Schrempf-Gasse 5
8118 Mariazell"
"Univ.Prof. Lea Wirth"	"Evelyn-Kohler-Gasse 86
4458 Bad Leonfelden"
"Leon Sorger"	"Laila-Gangl-Platz 726
8716 Mödling"
"Mariam Schwaiger"	"Anna-Maria-Lagler-Straße 527
3550 Neusiedl am See"
"Lina Traxler"	"Stadlbauerring 77
9728 Ybbs an der Donau"
"Caroline Rieger"	"Bastian-Stelzer-Platz 28
2650 Sankt Andrä im Lavanttal"
"Emilia Haas-Bergmann"	"Greinerring 9/9
6258 Retz"
"Dr. Tiffany Meixner"	"Mariam-Vogel-Weg 9/9
7160 Zistersdorf"
"Sofie Gangl-Krammer"	"Schrenkplatz 6/4
6180 Traiskirchen"
"Ella Haid"	"Hoferplatz 81
1941 Wolfsberg"
"Amelia Sagmeister"	"Joel-Bäck-Ring 1/5
7084 Gerasdorf bei Wien"
"Dipl.-Ing. Claire Suppan"	"Linderstr. 2
4220 Salzburg"
"Ralph Enzinger"	"Schachnergasse 136
9987 Bad Ischl"
"Kristian Klingler"	"Larissa-Laimer-Platz 67
9100 Mödling"
"Marlene Brandl"	"Joseph-Hollaus-Gasse 24
7855 Sankt Veit an der Glan"
"Timo Scheer"	"Isabell-Strohmeier-Straße 2/7
6838 Neumarkt am Wallersee"
"Dr. Dilara Schröder"	"Natalia-Wenzl-Platz 1
8767 Schwechat"
"Juliane Stoiber-Unger"	"Windischring 5/2
9943 Litschau"
"Anton Grundner"	"Reicherstr. 32
8402 Grein"
"Ella Petz"	"Oswaldstraße 8
8961 Ybbs an der Donau"
"Adriano Gangl"	"Samuel-Riener-Platz 812
1334 Altheim"
"Prof. Mert Werner"	"Konstantin-Köhler-Platz 45
3451 Groß-Gerungs"
"Dr. Nikolas Glaser"	"Ricardo-Wagner-Weg 5/2
3611 Ebreichsdorf"
"Elona Altmann"	"Hämmerlestraße 0
6926 Oberwälz"
"John Haas"	"Leibetsederring 9
5186 Sankt Johann im Pongau"
"Fridolin Stangl"	"Sillerweg 9/9
9459 Hardegg"
"Univ.Prof. Max Obermüller"	"Neumayrstr. 2/1
8700 Drosendorf-Zissersdorf 1"
"Ellie Günther"	"Emanuela-Larcher-Ring 530
8512 Mattighofen"
"Emilian Reichmann"	"Schwendingerstr. 390
8859 Sankt Veit an der Glan"
"Ella Pfeifer"	"Tiffany-Widmann-Platz 555
8270 Mautern an der Donau"
"Gustav Leonhartsberger"	"Justus-Mayer-Weg 9
6406 Schwanenstadt"
"Robin Wagner"	"Leticia-Rohrmoser-Gasse 43
7129 Hall in Tirol"
"Ing. Lisa Wimmer"	"Zellerring 469
1458 Murau"
"Jonathan Foidl"	"Claire-Müllner-Ring 07
1593 Laakirchen"
"Bernadette Hödl"	"Pachlerring 052
2398 Groß-Gerungs"
"Henri Mitterer"	"Jovanovicstraße 6/8
2756 Haag"
"Jonas Riedl-Grüner"	"Nikolas-Rechberger-Straße 8
3780 Berndorf"
"Daniela Steiger"	"Antonella-Uhl-Weg 9/5
6064 Retz"
"Ajna Buchegger"	"Michelle-Hell-Weg 6/7
9561 Schrems"
"Ella Stütz"	"Stöcklgasse 799
7186 Hartberg"
"Leonora Hutterer"	"Kainzgasse 28
3481 Baden"
"Lukas Altmann-Neumayer"	"Sophie-Marie-Strohmeier-Gasse 7
5161 Murau"
"Univ.Prof. Danilo Glück"	"Natascha-Vogler-Platz 7
4742 Grein"
"Ing. Danilo Windhager"	"Alexandra-Reiner-Ring 87
5451 Drosendorf-Zissersdorf 1"
"Ina Lintner"	"Leon-Riedl-Gasse 9/1
3419 Mannersdorf am Leithagebirge"
"Elma Kreidl"	"Hofingerstr. 7/2
7317 Eisenstadt"
"Marissa Rabl"	"Luise-Kaspar-Weg 61
9492 Ried im Innkreis"
"Prof. Carlo Spindler"	"Fernando-Schenk-Weg 3/8
5193 Dornbirn"
"Florin Neuhold"	"Carlotta-Trummer-Straße 7/3
3257 Gänserndorf"
"Ellie Müllner"	"Dittrichgasse 9/5
7484 Ybbs an der Donau"
"Paul Bachmann"	"Krieglgasse 660
2438 Deutsch-Wagram"
"Univ.Prof. Theo Leibetseder"	"Natan-Lindorfer-Platz 7
5715 Gloggnitz"
"Carlo Gattringer"	"Janischgasse 4/4
3063 Schwanenstadt"
"Stephanie Neuwirth"	"Koppensteinerplatz 2
6817 Wieselburg"
"Dipl.-Ing. Selena Nussbaumer"	"Stolzring 065
9532 Geras"
"Merlin Rohrmoser-Kronberger"	"Meusburgerstr. 333
9211 Lienz"
"Steven Prohaska"	"Yvonne-Meusburger-Straße 7/9
8843 Freistadt"
"Univ.Prof. Aurelio Brandl"	"Therese-Leitgeb-Platz 0/0
6923 Waidhofen an der Thaya"
"Dipl.-Ing. Luisa Posch"	"Geislerring 940
8530 Friedberg"
"Ellie Riedmann"	"Laureen-Pichler-Ring 937
5106 Liezen"
"Aaron Gindl"	"Blumstr. 00
7177 Bad Vöslau"
"Henri Hutter"	"Timon-Heiss-Weg 5/3
8695 Feldbach"
"Jacob Rossmann"	"Martin-Günther-Ring 093
7665 Fehring"
"Lilia Kolar"	"Kagerstraße 8
3033 Gföhl"
"Manuel Mitterlehner-Fellner"	"Helena-Riepl-Straße 3
1952 Zistersdorf"
"Univ.Prof. Lean Barth"	"Eichhornring 811
1157 Hainfeld"
"Nikolai Schinagl"	"Höfergasse 95
9570 Gloggnitz"
"Vito Kern"	"Katarina-Lassnig-Ring 9
4438 Friedberg"
"Sonja Stockinger"	"Theo-Sailer-Platz 8/1
7983 Neunkirchen"
"Ellie Schaller-Frank"	"Brennerplatz 0
6912 Ebenfurth"
"Lydia Holler"	"Hummerweg 0/1
5471 Braunau am Inn"
"Theodor Freitag"	"Hubert-Ramsauer-Platz 80
1393 Traismauer"
"Ing. Lilian Lichtenegger"	"Kirchnerweg 31
1647 Laakirchen"
"Maksim Simon"	"Wohlmuthstraße 0
2021 Poysdorf"
"Dipl.-Ing. Aron Bartl"	"Chris-Simic-Straße 9/1
4614 Murau"
"Ruben Meier"	"Lana-Leutgeb-Gasse 9
3403 Dornbirn"
"Ronya Hofmann-Weber"	"Fuhrmannplatz 3/0
5677 Hallein"
"Henrik Steinberger"	"Kalina-Peer-Gasse 253
7664 Sankt Valentin"
"Teodor Steinkellner"	"Fröhlichring 788
2982 Ebreichsdorf"
"Elma Hütter"	"Lionel-Pachler-Ring 499
7962 Tulln an der Donau"
"Robert Schubert"	"Melanie-Gasser-Straße 2/5
9913 Villach"
"Filip Stern"	"Oskar-Schön-Gasse 9
8108 Grein"
"Maryam Schauer-Hollaus"	"Adriana-Sieberer-Weg 3
5264 Sankt Johann im Pongau"
"Univ.Prof. Maja Wittmann"	"Elias-Schrempf-Ring 91
7146 Bruck an der Leitha"
"Juliane Lorenz"	"Bittnergasse 198
6566 Ternitz"
"Juna Puchner"	"Wilfingerweg 59
7483 Bad Leonfelden"
"Ing. Laurenz Franz"	"Klara-Stadlbauer-Gasse 1
7453 Bludenz"
"Jonathan Bogner"	"Draxlerplatz 789
8289 Pulkau"
"Ing. Finn Stefan"	"Dora-Hagen-Gasse 931
6155 Weitra"
"Elma Kraus"	"Spindlerplatz 1
6565 Gmünd"
"Marie Wiedner"	"Pascal-Rohrer-Ring 015
1840 Peuerbach"
"Lina Redl"	"Grossstraße 0/8
3318 Gmünd in Kärnten"
"Johann Larcher-Kohl"	"Bruggerring 497
5002 Traun"
"Rosalie Kreuzer"	"Forstnerstr. 726
5133 Vöcklabruck"
"Prof. Carlo Wurzer"	"Juliane-Kolb-Platz 8
6338 Hartberg"
"Gabriel Vogt"	"Enzingerstraße 8/9
6366 Güssing"
"Ines Riedl"	"Fürstgasse 4/2
7578 Landeck"
"Laurenz Mühlbacher"	"Grossstraße 4/3
5436 Steyr"
"Sandro Baumgartner"	"Zimmermannplatz 347
4066 Zeltweg"
"Elona Bürger"	"Timon-Gratzl-Gasse 357
7013 Wolkersdorf"
"Jasmina Parzer"	"Schallerplatz 00
9221 Villach"
"Gabriel Eichinger"	"Schustergasse 2
1188 Bruck an der Leitha"
"Florentin Buchinger"	"Luca-Margreiter-Gasse 8
1595 Zell am See"
"Luka Danninger"	"Horakplatz 6
7081 Dürnstein"
"Nadja Mann-Kirschner"	"Henri-Wiedner-Straße 777
4065 Tulln an der Donau"
"Ing. Jessica Gruber"	"Katharina-Schramm-Gasse 67
3974 Litschau"
"Nicholas Schrammel"	"Leopold-Kreiner-Weg 3/1
3008 Mürzzuschlag"
"Ing. Hanna Koppensteiner"	"Calvin-Markl-Weg 341
8170 Drosendorf-Zissersdorf 1"
"Gabriela Jank"	"Selena-Sieberer-Ring 489
4385 Bärnbach"
"Elsa Kaltenbrunner"	"Christina-Janisch-Gasse 1
6266 Kufstein"
"Diana Macher"	"Obermayrplatz 6
5233 Pöchlarn"
"Boris Herrmann"	"Loiblring 5
5714 Mattersburg"
"Phillip Auer"	"Henry-Stiegler-Gasse 6
4821 Gmünd in Kärnten"
"Erina Herzog-Seiwald"	"Eichbergerring 07
9430 Neulengbach"
"Mila Ulrich"	"Punzring 999
6668 Neulengbach"
"Moritz Rauch"	"Hofmannweg 9
3696 Deutsch-Wagram"
"Lora Bodner-Höfer"	"Parzerstraße 6/8
3579 Bad Hall"
"Dipl.-Ing. Jonas Kerschbaumer"	"Haidingerring 079
3801 Baden"
"Mateo Bischof"	"Aurelia-Graf-Gasse 54
4492 Wiener Neustadt"
"Elvira Kratzer-Karner"	"Sven-Rossmann-Platz 1/9
1659 Zell am See"
"Ing. Caroline Bartl"	"Rana-Reich-Weg 2/5
1132 Sankt Pölten"
"Bianca Wallner"	"Melisa-Schober-Gasse 4/5
5957 Klagenfurt"
"Theo Tanzer-Heger"	"Selena-Scherr-Ring 6
4398 Groß-Siegharts"
"Univ.Prof. Nick Lederer"	"Lamplring 8
8046 Weitra"
"Nele Häusler"	"Lorenzo-Schweitzer-Ring 62
4863 Radstadt"
"Julian Knoll"	"Unterbergergasse 405
7083 Rottenmann"
"Emilija Siegl"	"Blumring 3
6005 Mannersdorf am Leithagebirge"
"Hubert Mühlböck"	"Gabrielweg 833
9002 Wörgl"
"Marvin Rossmann"	"Jahnstr. 5/0
7933 Pulkau"
"Elvira Rohrer"	"Tiffany-Scharf-Weg 3
3933 Hall in Tirol"
"Frau Leni Krainz"	"Luise-Graf-Ring 098
2575 Wiener Neustadt"
"Antonius Schmidinger"	"Schachingerplatz 8
7316 Waidhofen an der Thaya"
"Dipl.-Ing. Sebastian Adam"	"Hochreiterring 7/1
8354 Mürzzuschlag"
"Carlo Strobl"	"Fiedlerring 26
6586 Neunkirchen"
"Elyas Aichinger"	"Schlossergasse 598
3482 Ternitz"
"Juliane Bock"	"Schmidlweg 1/3
2596 Ried im Innkreis"
"Prof. Gregor Leitner"	"Leo-Amon-Gasse 67
2398 Gmünd in Kärnten"
"Univ.Prof. Mila Geyer"	"Hammererstr. 6
3807 Frohnleiten"
"Rita Seitz"	"Oswaldplatz 880
3994 Drosendorf-Zissersdorf 1"
"Elvira Schinagl"	"Jasper-Puchner-Ring 52
5411 Klosterneuburg"
"Dipl.-Ing. Mert Ernst"	"Karla-Riedl-Straße 8/5
7897 Drosendorf-Zissersdorf 1"
"Berra Ringhofer"	"Nicola-Schwarzl-Ring 86
9958 Althofen"
"Prof. Nika Reinthaler"	"Sam-Krall-Gasse 04
8222 Berndorf"
"Juliane Mohr"	"Marta-Friedl-Weg 0/2
1541 Gleisdorf"
"Ylvie Breuer"	"Gindlgasse 4
5125 Hardegg"
"Annalena Rosner-Pammer"	"Ronja-Kucera-Ring 248
9419 Waidhofen an der Thaya"
"Dipl.-Ing. Emanuel Sattler"	"Karla-Wiesner-Straße 5
1193 Mariazell"
"Frau Melisa Artner"	"Ellie-Nagl-Weg 201
6303 Maissau"
"Fridolin Ferstl"	"Penzstr. 122
7478 Grieskirchen"
"Elvira Ulrich"	"Schartnerring 170
3637 Waidhofen an der Ybbs"
"Nicolas Wögerbauer"	"Amanda-Forster-Ring 5/8
9375 Neumarkt am Wallersee"
"Frau Martha Köhler"	"Madeleine-Kaltenböck-Straße 0/2
2378 Oberwälz"
"Herr Kristian Gschwandtner"	"Lenzplatz 5
6656 Wolfsberg"
"Jamie Fleischmann"	"Franziska-Leonhartsberger-Straße 360
1096 Dornbirn"
"Tom Ritter"	"Hödlweg 54
8278 Voitsberg"
"Sam Lehner"	"Alexandar-Schranz-Gasse 140
7105 Köflach"
"Natascha Engel"	"Kreuzerplatz 3
9919 Sankt Valentin"
"Kilian Krenn"	"Metzlerweg 032
2020 Langenlois"
"Marc Schiestl"	"Anja-Breuer-Platz 6
4424 Weiz"
"Elyas Höller"	"Huterring 649
2373 Amstetten"
"Juna Gritsch"	"Patrik-Ritter-Ring 8/1
2165 Traiskirchen"
"Marko Kurzmann"	"Klausnerring 419
1332 Schrattenthal"
"Cristina Kerschbaumer-Mann"	"Kolmplatz 5
3631 Tulln an der Donau"
"Ela Hosp"	"Rablring 4
7304 Allentsteig"
"Annabella Praxmarer"	"Marxweg 1/3
4664 Stockerau"
"Carolina Leitgeb-Schrempf"	"Pircherring 44
2893 Gmunden"
"Ferdinand Kollmann"	"Johann-Kucera-Gasse 0
5974 Dornbirn"
"Lucas Reiter"	"Martinstr. 8/6
9991 Lienz"
"Emilie Stockhammer"	"Pöllring 064
7747 Dornbirn"
"Elyas Mitterer-Rössler"	"Kuceraring 2/9
2040 Bad Sankt Leonhard im Lavanttal"
"Laurin Eisl"	"Meixnergasse 59
3942 Stockerau"
"Madeleine Aichholzer-Schulz"	"Lionel-Stockinger-Straße 55
9736 Grein"
"Mathilda Tiefenbacher"	"Ariana-Freitag-Weg 4
3626 Klosterneuburg"
"Roman Waldner-Klement"	"Amanda-Rinner-Weg 300
3417 Stockerau"
"Elma Strohmeier"	"Köllgasse 00
8332 Rohrbach in Oberösterreich"
"Christian Hahn"	"Cristina-Kaltenbrunner-Gasse 122
5436 Frohnleiten"
"Max Brandstätter"	"Therese-Brandstätter-Platz 5/2
4190 Stockerau"
"Vivian Bayer"	"Nicole-Schilcher-Weg 8
6797 Geras"
"Ing. Yvonne Kremser"	"Sarah-Hinteregger-Straße 0
6152 Rattenberg"
"Emanuel Scheidl-Loibl"	"Magdalena-Wohlmuth-Platz 806
6770 Jennersdorf"
"Annabella Knaus"	"Fleckgasse 14
3735 Bludenz"
"Marlene Karner"	"Luca-Kölbl-Weg 0
4627 Hardegg"
"Marie-Sophie Ziegler"	"Gartnerstraße 07
9137 Maissau"
"Justus Bock"	"Thalhammerstr. 52
6450 Knittelfeld"
"Konstantin Schalk-Widhalm"	"Liststr. 96
7271 Graz"
"Dr. Rosa Müllner"	"Großweg 5/7
6024 Bad Ischl"
"Marc Kellner"	"Miriam-Stark-Platz 747
8174 Sankt Veit an der Glan"
"Niklas Hinterberger"	"Lisa-Stecher-Gasse 602
9795 Grein"
"Marie-Sophie Rössler"	"Kyra-Margreiter-Weg 7
6874 Kufstein"
"Emanuela Haid"	"Traunerring 16
7121 Feldbach"
"Carina Reisinger"	"Haumerring 716
5393 Pulkau"
"Maja Schiller"	"Stadlbauerring 51
7532 Korneuburg"
"Helena Weiß-Günther"	"Leitnergasse 5/6
2530 Wieselburg"
"Michael Schnabl"	"Carl-Berger-Ring 0/7
9615 Knittelfeld"
"Sandra Kraxner"	"Julian-Höller-Platz 7
2250 Waidhofen an der Thaya"
"Julius Dünser-Perner"	"Schmidlplatz 2/8
1755 Baden"
"Mike Grüner"	"Hinterleitnerring 977
5198 Pregarten"
"Louisa Wurm"	"Seebacherring 3/8
3079 Bad Radkersburg"
"Lino Stefan"	"Erina-Froschauer-Straße 212
4984 Baden"
"Emanuela Salzer"	"Leopold-Mann-Weg 818
5660 Wels"
"Herr Hubert Trinkl"	"Jaukstraße 3
3621 Wiener Neustadt"
"Lennard Schiestl"	"Marko-Neumann-Platz 91
8502 Mautern an der Donau"
"Prof. Hugo Strauss"	"Pinterplatz 809
9079 Laa an der Thaya"
"Sophia Laimer"	"Janine-Ertl-Gasse 0
3145 Wolfsberg"
"Vanessa Foidl-Widhalm"	"Martha-Dünser-Weg 8
6638 Wörgl"
"Marvin Scherz"	"Sebastian-Schöller-Weg 5/3
8504 Zeltweg"
"Sascha Strasser"	"Louisa-Gross-Platz 9/9
3429 Leoben"
"Natalia Seidl"	"Rosa-Nemeth-Straße 251
5706 Purbach am Neusiedler See"
"Ing. Linda Nußbaumer"	"Rayana-Rieger-Weg 924
1981 Mattighofen"
"Emanuela Thurner"	"Wilfingerstr. 807
1985 Bad Ischl"
"Tanja Strohmeier"	"Bernhard-Reinisch-Weg 30
6698 Bad Ischl"
"Dipl.-Ing. Leopold Fischer"	"Verena-Jandl-Straße 3/3
1398 Herzogenburg"
"Konrad Riedmann"	"Ronya-Rauch-Ring 45
7773 Waidhofen an der Ybbs"
