"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Miroslav Stopar"|"Kratka pot 434
1484 Sevnica"
"Rado Hočevar"|"Matjanova pot 49
4260 Ilirska Bistrica"
"Breda Žibert"|"Veršičeva ulica 89
5014 Medvode"
"Nenad Kolenc"|"Kocenova ulica 5c
9634 Črnomelj"
"Roman Perko"|"Lakotence 6b
5905 Trebnje"
"Dragan Popović"|"Ulica bratov Blanč 7
6584 Litija"
"Tea Hočevar"|"Periška cesta 0a
4581 Hrastnik"
"Bruno Korošec"|"Lakotence 1
6252 Črnomelj"
"Franci Rutar"|"Pri malem kamnu 8a
8889 Lenart v Slovenskih goricah"
"Marija Zupan"|"Ogrinčeva ulica 8c
3270 Vrhnika"
"Magdalena Cvetko"|"Savinova ulica 0a
3153 Kostanjevica na Krki"
"Tilen Gregorič"|"Za krajem 738
0254 Slovenske Konjice"
"Nikola Blažič"|"Ziherlova ulica 156
8031 Tržič"
"Stanislava Kovačič"|"Pod jezom 1
9496 Slovenj Gradec"
"Valter Tomšič"|"Polje, cesta I 262
4972 Domžale"
"Vesna Rupnik"|"Kocenova ulica 0a
6928 Ravne na Koroškem"
"Tatjana Majcen"|"Žolgerjeva ulica 241
2001 Rogaška Slatina"
"Bruno Rožman"|"Dražgoška ulica 7
6796 Cerknica"
"Branka volk"|"Vilharjeva cesta 0
0709 Tolmin"
"Boštjan Maček"|"Rožna dolina, cesta XIII 5
9192 Zagorje ob Savi"
"Tim Javornik"|"Tavčarjeva ulica 6b
6450 Jesenice"
"Milica Kolarič"|"Živaličeva ulica 4
4332 Zagorje ob Savi"
"Niko Likar"|"Koširjeva ulica 8a
7385 Črnomelj"
"Miro Lah"|"Tiranova ulica 1a
8818 Mengeš"
"Milka Breznik"|"Groharjeva cesta 111
7096 Radovljica"
"Janko Jenko"|"Vrhovci, cesta VI 2b
4171 Maribor"
"Viktor Jereb"|"Gradnikova ulica 4
3373 Litija"
"Cecilija Gorenc"|"Friškovec 9b
2369 Kamnik"
"Tanja Hribernik"|"Šlosarjeva ulica 259
2289 Ajdovščina"
"Radovan Zver"|"Delakova ulica 113
3930 Jesenice"
"Anja Jovanović"|"Bohinjčeva ulica 906
5733 Slovenske Konjice"
"Matija Lebar"|"Kavadarska cesta 726
5360 Vipava"
"Samo Lebar"|"Golouhova ulica 82
6662 Šoštanj"
"Marijan Breznik"|"Na gmajni 3a
8914 Turnišče"
"Martina Zemljič"|"Mrharjeva ulica 1a
5962 Železniki"
"Taja Breznik"|"Zoisova cesta 70
6460 Škofja Loka"
"Viktorija Kaučič"|"Jarnikova ulica 1
5170 Ljutomer"
"Cecilija Kotnik"|"Cesta v hrib 3a
5601 Radeče"
"Dejan Likar"|"Vulčeva ulica 8b
5693 Kranj"
"Anja Pavlin"|"Krmčeva ulica 780
0971 Vipava"
"Bernarda Volk"|"Kosova ulica 5a
3045 Jesenice"
"Cvetka Jamnik"|"Vagajeva ulica 6a
1382 Cerknica"
"Nika Bevc"|"Španova pot 314
9450 Domžale"
"Teja Štrukelj"|"Ajdovščina 8
5270 Nova Gorica"
"Dušan Likar"|"Jesenkova ulica 5b
5880 Turnišče"
"Maša Kovač"|"Bognarjeva pot 729
0209 Radeče"
"Ines Eržen"|"Avšičeva cesta 3a
4448 Ptuj"
"Cecilija Lavrič"|"Gornji Rudnik I 7c
1400 Šoštanj"
"Brigita Jerič"|"Gmajnice 872
4841 Šentjur"
"Špela Železnik"|"Na dolih 73
6864 Gornja Radgona"
"Alenka Vodopivec"|"Ulica na Grad 065
8310 Kobarid"
"Bogdan Vidic"|"Pod jelšami 6a
2436 Bled"
"Darja Gomboc"|"Soussenska ulica 7c
5269 Sevnica"
"Anej Vidic"|"Balinarska pot 5b
4696 Ptuj"
"Bogdan Petek"|"Pot za razori 2
6712 Gornji Grad"
"Aleksander Resnik"|"Ulica Ivana Roba 707
6970 Metlika"
"Mira Lazar"|"Podjunska ulica 8a
7151 Novo mesto"
"Cecilija Mlinarič"|"Cerutova ulica 546
9689 Piran"
"Kristjan Tratnik"|"Štembalova ulica 6b
1118 Ormož"
"Tanja Lesjak"|"Preglov trg 6b
8835 Lendava"
"Simona Bezjak"|"Streliška ulica 1
8601 Nova Gorica"
"Nik Tratnik"|"Rozmanova ulica 6
3413 Trebnje"
"Nives Mavrič"|"Rudnik III 9c
9357 Koper"
"Goran Jamnik"|"Podjunska ulica 4a
1883 Medvode"
"Ivan Eržen"|"Kavadarska cesta 4a
3668 Kočevje"
"Metka Bezjak"|"Kogojeva ulica 3
8411 Velenje"
"Živa Gomboc"|"Žeje 2c
5159 Kobarid"
"Ciril Kramberger"|"Mačja steza 8b
3994 Kočevje"
"Anita Jenko"|"Reška ulica 1a
1640 Trebnje"
"Sandi Toplak"|"Gasparijeva ulica 4a
5767 Tolmin"
"Urška Leban"|"Šlandrova ulica 7c
6544 Bled"
"Alen Demšar"|"Sattnerjeva ulica 3b
1465 Idrija"
"Miha Žižek"|"Snojeva ulica 5c
0690 Maribor"
"Vladimir Žnidaršič"|"Juričeva ulica 4b
3941 Slovenj Gradec"
"Andrej Zupanc"|"Dobrajčeva ulica 1c
8464 Metlika"
"Pavla Mrak"|"Čehova ulica 0
6649 Bovec"
"Iris Horvat"|"Pšatnik 8
7120 Slovenske Konjice"
"Ciril Markovič"|"Merosodna ulica 3a
1058 Murska Sobota"
"Marjan Hočevar"|"Polje, cesta II 2
1533 Hrastnik"
"Veronika Furlan"|"Ulica Rezke Dragarjeve 1b
4242 Dravograd"
"Nikola Lah"|"Gorjančeva ulica 159
3917 Logatec"
"Ervin Popović"|"Vrazov trg 9
5059 Prevalje"
"Natalija Marolt"|"Koleševa ulica 283
3719 Domžale"
"Valentina Ambrožič"|"Trnovska ulica 9a
0513 Ormož"
"Nadja Kramar"|"Švarova ulica 4c
7433 Vrhnika"
"Gorazd Breznik"|"Simončičeva ulica 89
2722 Metlika"
"Iztok Kranjc"|"Jurčičev trg 9b
7744 Metlika"
"Ciril volk"|"Kosančeva ulica 592
5176 Šoštanj"
"Domen Jelen"|"Kolmanova ulica 56
0315 Celje"
"Ladislav Godec"|"Pod Kamno gorico 8a
2597 Hrastnik"
"Nuša Pavlin"|"Kurilniška ulica 963
5629 Vipavski Križ"
"Edvard Tratnik"|"Klančarjeva ulica 3b
8049 Velenje"
"Anita Godec"|"Funtkova ulica 301
3911 Radovljica"
"Bojan Kovač"|"Luize Pesjakove ulica 3
0025 Tržič"
"Bernarda Erjavec"|"Sulčja ulica 9a
9814 Kamnik"
"Julija Pogačnik"|"Cesta 27. aprila 674
9859 Žiri"
"Stanislava Jelen"|"Cesta na Ozare 1a
1167 Laško"
"Ciril Železnik"|"Flandrova ulica 7
3937 Murska Sobota"
"Bernard Majcen"|"Ulica Marka Šlajmerja 68
5615 Ajdovščina"
"Niko Turk"|"Igriška ulica 6a
8201 Gornji Grad"
"Mira Pintarič"|"Valvasorjeva ulica 291
6440 Tržič"
"Mirko Kumer"|"Kuzeletova ulica 1b
4666 Šoštanj"
"Maja Čuk"|"Vrhovci, cesta XV 026
4736 Črnomelj"
"Miro Štrukelj"|"Kašeljska cesta 87
0444 Koper"
"Karel Jamnik"|"Ambrožev trg 90
2659 Laško"
"Zlatko Likar"|"Ulica Angelce Ocepkove 23
4082 Kamnik"
"Saša Zupanc"|"Kolarjeva ulica 2
1080 Hrastnik"
"Cvetka Dolinšek"|"Hribernikova ulica 6
2846 Vipavski Križ"
"Tea Likar"|"Groharjeva cesta 7
2297 Radovljica"
"Zora Jenko"|"Trg francoske revolucije 139
9225 Izola"
"Niko Toplak"|"Carja Dušana ulica 706
3191 Krško"
"Miroslav Rajh"|"Gabrov trg 7
4839 Ljutomer"
"Adolf Jerman"|"Avčinova ulica 2b
2878 Dravograd"
"Darko Dolenc"|"Vodmatski trg 246
3291 Ravne na Koroškem"
"Tina Toplak"|"Detelova ulica 493
2854 Logatec"
"Niko Zajc"|"Pod bresti 7c
6252 Celje"
"Maj Zupan"|"Hrvaška ulica 7a
7971 Kranj"
"Cvetka Kocjančič"|"Zaletelova ulica 0b
7499 Rogaška Slatina"
"Metka Resnik"|"V Sige 6a
3764 Murska Sobota"
"Saša Gorenc"|"Drabosnjakova ulica 6c
9821 Ajdovščina"
"Joško Rožič"|"Stožice 8a
9545 Višnja Gora"
"Tadeja ribič"|"Ulica Janeza Pavla II. 52
1629 Idrija"
"Luka Babič"|"Trg prekomorskih brigad 576
4868 Slovenska Bistrica"
"Ivo Bezjak"|"Levičnikova ulica 9c
2634 Šempeter pri Gorici"
"Gal Babič"|"Cesta 27. aprila 7a
0611 Celje"
"Monika Markovič"|"Abramova ulica 54
1032 Velenje"
"Maša Čeh"|"Ulica Polonce Čude 00
8240 Rogaška Slatina"
"Cvetka Kočevar"|"Rožna dolina, cesta XII 0a
0714 Slovenj Gradec"
"Jelka Hafner"|"Ulica Milana Majcna 6c
8986 Radovljica"
"Zdenka Kos"|"Ulica Zore Ragancinove 25
5639 Maribor"
"Hermina kuhar"|"Ulica Rudolfa Janežiča 5c
6825 Velenje"
"Valentin Rožič"|"Hrvatski trg 44
5360 Žalec"
"Teja Čeh"|"Medveščkova ulica 66
9270 Cerknica"
"Aleksandar Mihelič"|"Pot na most 9
6081 Ribnica"
"Drago Cvetko"|"Kusoldova ulica 33
0027 Metlika"
"Eva Tomšič"|"Mire Lenardičeve ulica 845
6199 Škofja Loka"
"Lilijana Dolenc"|"Prešernov trg 4b
8429 Logatec"
"Cvetka Majcen"|"Vidovdanska cesta 1a
1049 Kobarid"
"Tea kuhar"|"Tomačevo 80
2739 Izola"
"Mateja Sušnik"|"Vregova ulica 5b
2692 Lenart v Slovenskih goricah"
"Metod Sušnik"|"Knezova ulica 2c
6161 Mengeš"
"Erik Čeh"|"Ulica Rudolfa Janežiča 7
2121 Lendava"
"Dejan Horvat"|"Grafenauerjeva ulica 6a
2682 Tolmin"
"Matevž Gregorič"|"Mestni trg 25
4347 Radeče"
"Jerneja Babič"|"Suhadolčanova ulica 9
6228 Kranj"
"Eva Lavrič"|"Adamičeva ulica 7a
3182 Tržič"
"Magda Stopar"|"Žerjalova ulica 88
1980 Škofja Loka"
"Cvetka Sitar"|"Trg francoske revolucije 88
9217 Slovenj Gradec"
"Ciril Lebar"|"Gallusovo nabrežje 4
2575 Lendava"
"Matilda Pintarič"|"Kettejeva ulica 429
4308 Šempeter pri Gorici"
"Angela Kocjančič"|"Polje, cesta II 05
9422 Ajdovščina"
"Tatjana Bezjak"|"Kolesarska pot 3a
5415 Šentjur"
"Mojca Šinkovec"|"Planinškova ulica 708
8569 Sežana"
"Erika Lah"|"Baznikova ulica 0b
1112 Šempeter pri Gorici"
"Nika Filipič"|"Kettejeva ulica 1c
9400 Kamnik"
"Davor Kokalj"|"Cesta v Mestni log 3b
1412 Brežice"
"Bogdan Kotnik"|"Pločanska ulica 9a
5719 Ruše"
"Cvetka Sušnik"|"Kamnogoriška cesta 9c
8087 Ravne na Koroškem"
"Igor Sever"|"Lončarska steza 7
4191 Velenje"
"Martin Debeljak"|"Praznikova ulica 8
5142 Vipavski Križ"
"Ljudmila Jug"|"Miklošičeva cesta 1a
3100 Kobarid"
"Gordana Šuštar"|"Trebušakova ulica 5c
1166 Nova Gorica"
"Adrijana Rupnik"|"Hacetova ulica 3c
3204 Brežice"
"Luka Rajh"|"Lamutova ulica 4
6034 Radeče"
"David Vidmar"|"Kolinska ulica 4a
5506 Kostanjevica na Krki"
"Tilen Jenko"|"Zlatek 19
6002 Vipavski Križ"
"Monika Krivec"|"Ulica Vladimirja Trampuža 1c
8279 Tržič"
"Cvetka Zupančič"|"Kamniška ulica 6c
2866 Turnišče"
"Zdravko čeh"|"Spodnji Rudnik V 3b
6017 Bled"
"Sašo Čuk"|"Mačkov kot 09
2591 Domžale"
"Tatjana Jenko"|"Cizejeva ulica 1a
4177 Bovec"
"Hermina Rus"|"Praznikova ulica 129
9184 Dravograd"
"Milica Kovačič"|"Karunova ulica 1
0121 Višnja Gora"
"Maj Krajnc"|"Grško 3a
4564 Brežice"
"Mihaela Sitar"|"Ježica 2
3233 Bovec"
"Daniela Dolinšek"|"Jakšičeva ulica 6c
6373 Črnomelj"
"Breda Golob"|"Pot na most 3
6163 Murska Sobota"
"Cvetko Kaučič"|"Kocjanova ulica 0b
1712 Idrija"
"Milan Kastelic"|"Trg mladih 6a
4771 Kranj"
"Taja Simonič"|"Kleče 481
4065 Turnišče"
"Mirsad Lesjak"|"Berčičeva ulica 641
7970 Litija"
"Katarina Jereb"|"Hladnikova cesta 5c
0666 Cerknica"
"Iris Rus"|"Pot za razori 4c
7483 Lenart v Slovenskih goricah"
"Romana Bergant"|"Tolminska ulica 7
4876 Cerknica"
"Štefanija ribič"|"Ziherlova ulica 76
5763 Žalec"
"Goran Pirc"|"Ulica 9. junija 2
9166 Maribor"
"Maša Godec"|"Velnarjeva ulica 81
4570 Medvode"
"Cvetko Kranjc"|"Do proge 1
5888 Radovljica"
"Vlasta Žibert"|"Poklukarjeva ulica 5
6524 Ravne na Koroškem"
"Taja Pečnik"|"Ulica Štefke Zbašnikove 9c
4050 Šempeter pri Gorici"
"Andreja Zemljič"|"Soteška pot 442
1108 Višnja Gora"
"Rafael Zorman"|"Židovska steza 0
0630 Trbovlje"
"Jasna Košir"|"Ravna pot 0a
8323 Ormož"
"Miha Čuk"|"Nahlikova ulica 4b
7438 Medvode"
"Jan Bizjak"|"Osterčeva ulica 470
6709 Bled"
"Vincenc Bukovec"|"Soteška pot 8
2304 Celje"
"Jadranka Korošec"|"Rožna dolina, cesta I 4a
9055 Mengeš"
"Cvetko Lavrič"|"Dolharjeva ulica 9c
7139 Bled"
"Andrej Černe"|"Na Straški vrh 576
9671 Mežica"
"Miloš Demšar"|"Tobačna ulica 4a
5852 Vipavski Križ"
"Leopold Blažič"|"Lahova pot 6a
1865 Grosuplje"
"Nataša Rožman"|"Kopališka ulica 8
1066 Zagorje ob Savi"
"Boštjan Rozman"|"Soška ulica 496
8857 Domžale"
"Ladislav Logar"|"Trpinčeva ulica 619
2433 Škofja Loka"
"Nejc Rutar"|"Štrekljeva ulica 2a
8253 Ljubljana"
"Martina Zorko"|"Cesta v Rožno dolino 04
6980 Tržič"
"Aleksandar Vidovič"|"Polje, cesta XL 98
7332 Gornja Radgona"
"Cvetko Šuštar"|"Na Straški vrh 9c
3906 Slovenska Bistrica"
"Feliks Vidmar"|"Kongresni trg 097
2993 Gornja Radgona"
"Rajko Gorenc"|"Smrekarjeva ulica 64
6345 Ljutomer"
"Tatjana Koren"|"Soška ulica 0a
6784 Vipava"
"Marta Kolenc"|"Lorenzova cesta 2c
0378 Šempeter pri Gorici"
"Ana Rožman"|"Praznikova ulica 2c
0413 Turnišče"
"Liljana Jug"|"Premrlova ulica 3
6592 Bled"
"Edin Petek"|"Pot v Zeleni gaj 8b
7059 Murska Sobota"
"Breda Zakrajšek"|"Šturmova ulica 1b
2268 Brežice"
"Anže Skok"|"Osojna pot 5a
5676 Vipava"
"Damijan Golob"|"Robbova ulica 925
6917 Škofja Loka"
"Bernarda Godec"|"Merčnikova ulica 8a
2027 Izola"
"Stjepan Rožič"|"Seunigova ulica 16
8356 Koper"
"Mirjam Bregar"|"Pavšičeva ulica 7a
7962 Ruše"
"Martin Zajc"|"Pod hrasti 1a
6464 Radeče"
"Gal Zalokar"|"Beethovnova ulica 46
7410 Tržič"
"Ivo Perko"|"Bizjanova ulica 3
1930 Kranj"
"Matjaž Rus"|"Na Stolbi 7a
6503 Šoštanj"
"Mateja Kolenc"|"Grška ulica 4c
5960 Medvode"
"Slavko Hribernik"|"Ob Ljubljanici 93
8193 Kobarid"
"Damijan Jarc"|"Ulica borca Petra 45
7712 Novo mesto"
"Anica Nemec"|"Slovenska cesta 9
6665 Prevalje"
"Neja Ramšak"|"Ulica Ivanke Kožuh 827
2585 Kostanjevica na Krki"
"Pia Demšar"|"Osterčeva ulica 2
4537 Kostanjevica na Krki"
"Jakob ribič"|"Malnarjeva ulica 3c
0708 Žalec"
"Jani Bezjak"|"V Zalar 7b
6819 Koper"
"Franc Gregorič"|"Ulica Mirka Tomšiča 7c
9794 Bovec"
"Zvonka Pintar"|"Gobarska pot 6b
1535 Črnomelj"
"Natalija Mavrič"|"Jurčičev trg 2c
0632 Ribnica"
"Sandra Železnik"|"Ribniška ulica 640
9817 Ajdovščina"
"Damijan Kranjc"|"Dolomitska ulica 2a
6723 Grosuplje"
"Blaž Simonič"|"Čampova ulica 0a
8981 Ravne na Koroškem"
"Nika Kos"|"Trstenjakova ulica 5
9251 Medvode"
"Leon Mlakar"|"Putrihova ulica 4b
9213 Tržič"
"Slavka petek"|"Zdešarjeva cesta 4b
9536 Vrhnika"
"Erika Leban"|"Trg francoske revolucije 7
8649 Vrhnika"
"Pavel Javornik"|"Levarjeva ulica 511
6875 Lendava"
"Monika Miklavčič"|"Chengdujska cesta 0a
7984 Rogaška Slatina"
"Stanislav Krajnc"|"Emonska cesta 7c
6305 Ribnica"
"Dragica Zupan"|"Rudnik I 7c
2535 Laško"
"Damijan Kuhar"|"Kajuhova ulica 7
1477 Velenje"
"Bernard Godec"|"Ulica Ivice Pirjevčeve 5a
2363 Trbovlje"
"Sandi Zemljič"|"Polje 3
1651 Litija"
"Iris Kos"|"Robbova ulica 4b
9011 Celje"
"Jure Čuk"|"Njegoševa cesta 8a
1741 Šoštanj"
"Ivana Kocjančič"|"Na Trati 85
5068 Ljutomer"
"Sandi Hafner"|"Gradišče 6c
9268 Postojna"
"Neja Jereb"|"Dalmatinova ulica 0a
1902 Nova Gorica"
"Ivana Jerman"|"Škofova ulica 9c
3161 Slovenj Gradec"
"Benjamin čeh"|"Martinova ulica 8b
4840 Ilirska Bistrica"
"Damijan Mavrič"|"Zeljarska ulica 771
7609 Tolmin"
"Miloš Pirnat"|"Martinčeva ulica 5
7154 Šempeter pri Gorici"
"Veronika Hribar"|"Ulica Gubčeve brigade 8c
0223 Sežana"
"Sebastijan Bezjak"|"Jakčeva ulica 88
4593 Izola"
"Lucija Rajh"|"Ulica Vide Pregarčeve 46
4795 Ljubljana"
"Alenka Zajc"|"Ulica Franca Nebca 525
3435 Dravograd"
"Manca Mrak"|"Levstikova ulica 4c
6492 Tolmin"
"Janez Resnik"|"Golouhova ulica 9a
6805 Sežana"
"Bruno Hodžić"|"Kumerdejeva ulica 287
1647 Železniki"
"Kaja ribič"|"Šestova ulica 0
4348 Turnišče"
"Damijan Mlinar"|"Ob Savi 128
7369 Novo mesto"
"Drago Tomšič"|"Godeževa ulica 9b
6796 Bovec"
"Tea Zorko"|"Zvezda 2
4242 Celje"
"Nina Zupan"|"Za krajem 0
6103 Rogaška Slatina"
"Vincenc Kotnik"|"Vrhovnikova ulica 4b
8118 Laško"
"Štefka Kočevar"|"Ulica Alme Sodnik 4c
7446 Idrija"
"Živa Bizjak"|"Slavčja ulica 6b
0239 Cerknica"
"Peter Simonič"|"Vrhovnikova ulica 0
4863 Jesenice"
"Viljem Bizjak"|"Komenskega ulica 776
6963 Žalec"
"Darja Žižek"|"Živinozdravska ulica 9c
0847 Škofja Loka"
"Damijan Rožman"|"Preserska ulica 0c
7137 Jesenice"
"Tadej Rupnik"|"Moškričeva ulica 636
3215 Dravograd"
"Magda Rajh"|"Ulica Angelce Ocepkove 2
7667 Murska Sobota"
"Rebeka Vidmar"|"Krištofova ulica 54
6344 Izola"
"Tatjana Bergant"|"Gospodinjska ulica 1b
1366 Bovec"
"Polonca Dolenc"|"Na Stolbi 2b
2430 Hrastnik"
"Ema Pogačnik"|"Ulica Franja Novaka 38
1506 Mengeš"
"Niko Hodžić"|"Forsterjeva ulica 0c
2416 Vipava"
"Stanko Dolenc"|"Na Žalah 144
8608 Škofja Loka"
"Ajda žagar"|"Knobleharjeva ulica 764
4972 Brežice"
"Damijan Zorko"|"Pavšičeva ulica 762
3895 Domžale"
"Teja Potočnik"|"Pri malem kamnu 826
4690 Medvode"
"Jožica Cerar"|"Novinarska ulica 7b
7649 Brežice"
"Nina Pintarič"|"Ulica na Grad 9
1269 Postojna"
"Zdenko Medved"|"Pod hrasti 63
1367 Maribor"
"Simon Zupančič"|"Tometova ulica 38
0632 Žiri"
"Jasna Krivec"|"Park Ajdovščina 6a
3935 Vipava"
"Blanka Sitar"|"Zaloška cesta 08
3678 Radovljica"
"Matic Žibert"|"Dolgi breg 1
7828 Zagorje ob Savi"
"Martina Demšar"|"Obirska ulica 26
7802 Trbovlje"
"Damir Breznik"|"Zelena pot 0b
0689 Kamnik"
"Izidor Ramšak"|"Zaloška cesta 043
3546 Kobarid"
"Damjana Lešnik"|"Lazarjeva ulica 088
9932 Ptuj"
"Patricija Krajnc"|"Gosposka ulica 632
0473 Jesenice"
"Stjepan Golob"|"Dolničarjeva ulica 79
9978 Kranj"
"Iris Volk"|"Malenškova ulica 9b
4265 Koper"
"Hermina Volk"|"Mali trg 5
3971 Metlika"
"Miro Filipič"|"Argentinska ulica 5c
0973 Idrija"
"Breda Miklavčič"|"Kovaška ulica 5
7948 Lendava"
"Branka Kolar"|"Hlebčeva ulica 6c
5065 Gornji Grad"
"Damir Gomboc"|"Vogelna ulica 4c
3101 Kostanjevica na Krki"
"Jasna Demšar"|"Ulica bratov Bezlajev 5c
2535 Novo mesto"
"Marjanca Tavčar"|"Kumerjeve ulica 2c
4766 Cerknica"
"Ivana Vidovič"|"Arharjeva cesta 443
6797 Novo mesto"
"Simona Kotnik"|"Tolminska ulica 907
1832 Ptuj"
"Nataša Vodopivec"|"Vozna pot na Grad 7
7992 Gornja Radgona"
"Patricija ribič"|"Pot v Podgorje 454
9132 Gornja Radgona"
"Marta Mrak"|"Šturmova ulica 4b
9006 Lenart v Slovenskih goricah"
"Feliks Jerman"|"Marincljeva ulica 0c
3585 Vrhnika"
"Branko Pavlin"|"Rožna dolina, cesta VIII 5
5436 Mengeš"
"Damir Hafner"|"Zakotnikova ulica 52
1454 Trebnje"
"Marko Pečnik"|"Joškov štradon 3b
6982 Postojna"
"Tamara Rus"|"Dajnkova ulica 5
7714 Žalec"
"Marijana Blatnik"|"Hauptmanca 3c
3332 Gornji Grad"
"Feliks Zorman"|"Ulica Marje Boršnikove 983
2386 Kamnik"
"Roza Lebar"|"Ulica Staneta Severja 2
5635 Brežice"
"Dušan Fras"|"Gortanova ulica 1b
2854 Idrija"
"Iris Leskovar"|"Lamutova ulica 2a
2021 Mengeš"
"Dragan Simonič"|"Kuzeletova ulica 3
5050 Ruše"
"Tadeja Kastelic"|"Langusova ulica 4a
8539 Kranj"
"Damir Hribar"|"Tivolska cesta 705
1485 Železniki"
"Marica Godec"|"Majde Vrhovnikove ulica 8a
5093 Ljubljana"
"Maksimiljan Lebar"|"Do proge 7b
4068 Laško"
"Branka Hribernik"|"Koreninova ulica 2
4699 Metlika"
"Nada Zver"|"Lahova pot 85
2239 Kamnik"
"Robert Primožič"|"Aljaževa ulica 01
3664 Tolmin"
"Bruno Rožman"|"Rožna dolina, cesta V 14
8048 Kočevje"
"Anej Mlakar"|"Vrtna ulica 4c
1460 Laško"
"Mihaela Žnidaršič"|"Ovčakova ulica 85
1349 Vrhnika"
"Marjan Golob"|"Novo Polje, cesta XVII 1a
5090 Kostanjevica na Krki"
"Damir Jerič"|"Flajšmanova ulica 8b
1870 Ljutomer"
"Martin Filipič"|"Dolinarjeva ulica 0c
7318 Ljutomer"
"Milica Zajc"|"Na delih 0b
5120 Tolmin"
"Rudi Kalan"|"Malnarjeva ulica 49
6240 Žiri"
"Darinka Kalan"|"Ulica bratov Bezlajev 8
4921 Ljutomer"
"Tjaša Bizjak"|"Perkova ulica 1b
3365 Lenart v Slovenskih goricah"
"Adrijana Skok"|"Kettejeva ulica 0c
0186 Žalec"
"Polona Perko"|"Majaronova ulica 05
6719 Sevnica"
"Aleksander Golob"|"Na Trati 5b
6015 Murska Sobota"
"Albert Zemljič"|"Adamič-Lundrovo nabrežje 585
1570 Železniki"
"Damir Kocjančič"|"Bizovški štradon 289
5243 Kranj"
"Rok Sitar"|"Sulčja ulica 9a
8103 Sežana"
"Vladimir Horvat"|"Ilovški štradon 0
2070 Tolmin"
"Ivo Lebar"|"Polje, cesta XVI 6
8006 Kočevje"
"Marija Jarc"|"Kaminova ulica 34
1461 Jesenice"
"Sonja Zemljič"|"Polje, cesta XXII 0c
4177 Ruše"
"Zvonka Kolar"|"Posavskega ulica 136
2034 Velenje"
"Tomaž Šmid"|"Ulica Milana Majcna 6
0734 Laško"
"Maša Majcen"|"Mali štradon 7b
1771 Trbovlje"
"Sebastijan Zemljič"|"Koseskega ulica 031
3192 Piran"
"Damir Likar"|"Cesta v Hrastje 7b
9284 Vipavski Križ"
"Silva Jarc"|"Marčenkova ulica 2
9907 Črnomelj"
"Romana Maček"|"Delakova ulica 6a
4773 Izola"
"Albina Bajc"|"Koželjeva ulica 3b
1382 Šentjur"
"Mirko Pavlič"|"Zajčevi dvori 1
6302 Bovec"
"Marta Kumer"|"Gasparijeva ulica 620
7244 Šentjur"
"Miloš Rožman"|"Hudourniška pot 8a
0456 Radeče"
"Erik Kastelic"|"Štepanjsko nabrežje 3b
9820 Žiri"
"Miroslava Kaučič"|"Pavlovčeva ulica 6a
2507 Turnišče"
"Tamara Lazar"|"Ulica bratov Komel 921
7487 Gornja Radgona"
"Damir Toplak"|"Matjanova pot 7
2307 Ormož"
"Erika Godec"|"Groznikova ulica 3b
5642 Trebnje"
"Pavla Godec"|"Park Arturo Toscanini 8a
2243 Prevalje"
"Daniel Mlakar"|"Kogovškova ulica 667
9633 Sevnica"
"Leopold Breznik"|"Ilešičeva ulica 4a
5077 Maribor"
"Blaž Kocjančič"|"Levičnikova ulica 6b
8476 Medvode"
"Franc Bezjak"|"Steletova ulica 2a
0825 Dravograd"
"Polonca Kaučič"|"Vregova ulica 6c
4928 Radeče"
"Štefka Majcen"|"Prisojna ulica 3b
7086 Radovljica"
"Damir Resnik"|"Porentova ulica 4a
0623 Mengeš"
"Damjan Erjavec"|"Simončičeva ulica 5b
7319 Radeče"
"Gorazd Kokol"|"Žolgerjeva ulica 2a
0359 Lenart v Slovenskih goricah"
"Žan Vidic"|"Mačja steza 1
2421 Šoštanj"
"Špela Likar"|"Čepovanska ulica 4c
7910 Brežice"
"Rebeka Dolinšek"|"Šinkov štradon 1
5151 Ajdovščina"
"Pia Kotnik"|"Ulica Gubčeve brigade 55
8487 Gornja Radgona"
"Marjeta Lavrič"|"Vošnjakova ulica 7c
3142 Ajdovščina"
"Sebastijan Mlakar"|"Kocbekova ulica 5a
4416 Sežana"
"Matic Sever"|"Andrićeva ulica 9b
3283 Žiri"
"Nenad Žnidaršič"|"Kovinarska ulica 7c
8802 Višnja Gora"
"Damjan Likar"|"Ulica Ivice Pirjevčeve 479
2899 Medvode"
"Karl Kocjančič"|"Skapinova ulica 33
0354 Litija"
"Monika Knez"|"Krmčeva ulica 2c
3515 Bovec"
"Patricija Bukovec"|"Vrazov trg 4b
1565 Hrastnik"
"Tjaša Demšar"|"Stare Črnuče 66
0763 Piran"
"Ajda Dolenc"|"Križevniška soteska 908
4659 Celje"
"Pavla Lesjak"|"Velebitska ulica 0b
0851 Trebnje"
"Albina Zver"|"Ulica Jožeta Japlja 3c
8774 Turnišče"
"Manca Bevc"|"Gozdna pot 7
0439 Medvode"
"Adolf Volk"|"Jakopičev drevored 3b
1562 Ribnica"
"Damjan Mrak"|"Kamnogoriška cesta 5a
9126 Ruše"
"Damjan Žižek"|"Za partizanskim domom 9
3030 Ilirska Bistrica"
"Jerica Breznik"|"Kastelčeva ulica 1c
0499 Železniki"
"Simon Blatnik"|"Borštnikov trg 94
0575 Rogaška Slatina"
