"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Tara Herd"	"859 Thompson Arcade
RD 3
Whakawharerangi 9733"
"Patricia Drake"	"PO Box 490
Jonesmouth 8404"
"Andrew Baird"	"892 Rongopapapakawa Road
Wakaroto 9462"
"Samuel Campbell"	"Suite 444
55 Wheeler Drive
Tipupuke 0525"
"Craig McKinnon"	"Apt. 483
16 Wakarohe Road
Wharewhare 6207"
"Noah Smith"	"2 Lucas Street
Potere 5837"
"James Meredith"	"PO Box 221
Rotorongo 6295"
"Peter Jenkins"	"Flat 50
539 Papapahoro Road
Arawhare 5572"
"Robert Boyce"	"96 Aranuku Street
Langneath 9455"
"Shane Coleman"	"Unit 12
656 Irving Street
Waitangi 9366"
"Matthew Butcher"	"888 Middleton Street
Birdborough 1348"
"Matthew Hansen"	"PO Box 73
Ashtonport 6105"
"Daniel Murphy"	"PO Box 466
Dalzielings 5279"
"Melissa Jarvis"	"Unit 99
8 Ngaururoto Beach Road
Tahihoromotu 5719"
"Craig Nicholson"	"15 Griffin-Carson Avenue
Robertsing 9306"
"Tony Herd"	"PO Box 91
Alexanderton 5733"
"Katrina Meads"	"PO Box 3
Rangimoko 6071"
"Sophia Bell-Barr"	"54 Wekanuku Circle
RD 4
Samuelleigh 8962"
"Craig Wallace"	"Suite 971
512 Taylor Street
Masonburgh 6118"
"Michael Williamson-Douglas"	"6 Ball-Wallace Terrace
Gray Hill 8576"
"Hayley Taylor"	"PO Box 75
Hamland 5815"
"Anthony Holmes"	"3 Flood Arcade
Munroings 8422"
"Michael Martin"	"69 Waimanawaara Broadway
Wharemata 2586"
"Kelsey O'Leary-Smith"	"727 Potai Track
Ngauruiti 0130"
"Craig Nicholson"	"2 Ngauruhanga Circle
Rangihope 5786"
"Deborah Aberhart-Stewart"	"237 Bradley Road
Wharepapapa 9668"
"Ashleigh Fairhall"	"3 Mitchell-Stewart Mews
Tangitapu 8237"
"Anita Olsen"	"7 Jamieson Concourse
RD 9
Meganberg 9535"
"Matthew Allen"	"704 Neilson Way
Taihorokoro 6942"
"Christopher Pratt"	"307 Anderson Crescent
Manawaarawhaka 9408"
"Debbie Gardner"	"18 Paterson Beach Road
RD 4
Lake Hamilton Hill 6075"
"Benjamin Williams"	"901 Rush Street
McCormickport 5860"
"Sandra Steer"	"928 Sophie Mews
Wongside 2140"
"Jason Bailey"	"7 Guy-Barnes Close
Murrayneath 5876"
"Craig Ritchie"	"2 Berry Avenue
Horopo 1948"
"Angus Turnbull"	"9 Burton Ridge
Rohehoro 5897"
"Hemi Barnes"	"815 Tangikawa Place
Gordonland 8840"
"Jessica Peters-Williams"	"PO Box 39
Lower Wattsport 9853"
"Kauri Browne"	"Flat 32
32 McCormick Arcade
Rangiwhanga 9876"
"Christopher Harris-Paton"	"58 Kowhaimotu Trail
Hydeton 6446"
"Jason Fuller"	"9 Simmons Street
Richardsburn 8547"
"Alyssa Coleman"	"98 Burns Flats
Papapamakau 2496"
"Joshua Nolan"	"Level 4
6 Tahitaurangi Road
Rotorohekiwi 9721"
"Belinda Tapp"	"PO Box 42
Watkinsmouth 8816"
"Craig Sullivan"	"Apt. 407
572 Wood Street
Dixonstone 8448"
"Jesse Taylor"	"9 Terewhaka Street
Kawamatatapu 5017"
"Hannah Parker"	"73 Taukiwi Mews
Kowhaitangikawa 5074"
"Scott Neilson"	"36 Wharetaimaunga Track
RD 1
Philipland 5704"
"Brooke Rowe"	"19 Rush Heights
Wekawharetipu 9578"
"Ella McDonald"	"85 Davidson Corner
Aratai 9712"
"Cameron Gordon"	"4 Nash Line
Rongomoko 8451"
"Julie Long"	"PO Box 8
Millarberg 8178"
"Paula Griffin"	"PO Box 491
Jonesborough 9203"
"Kirsty Morris"	"714 Ramsay Street
RD 1
Thomashaven 5809"
"Craig Wilkinson-Guy"	"57 Tiputai Approach
Waterstown 7252"
"Megan Weston-Middleton"	"57 Walton Avenue
MacPhersonhaven 5756"
"Jennifer Reid-MacKenzie"	"83 Turner Beach Road
Mount Murphying 4104"
"Sarah Knight"	"Level 4
8 Amber Street
Amy Hill 5211"
"Regan Christiansen"	"Flat 54
99 Kawatoa Crossing
Mortonville 8492"
"Samantha Taylor-Furness"	"5 Korotangi Terrace
Lyndaborough 2052"
"Chloe Smith"	"Apt. 201
405 Jasmine Road
Mayoport 5558"
"Matthew Jenkins"	"PO Box 84
Manawaroto 9067"
"Max Stevenson"	"97 Adams Place
Tahimaungatanga 6952"
"Sandra Reid"	"77 Ngauruwekaara Street
Motunuku 2457"
"Crystal Cooksley"	"5 Courtney Street
Ngaururohe 2046"
"Amanda Stevens"	"583 Whakakawa Beach Road
Taikoro 3869"
"Bridget Shaw"	"7 Russell Square
RD 1
Kawarotomanawa 6134"
"Colleen Chapman-Murdoch"	"4 Nicola Anchorage
RD 7
Phoebemouth 8002"
"Bruce Smith-Stewart"	"7 Giles Street
Papapangauruawa 4036"
"Jack Cook"	"5 Morgan Avenue
Tipuwhitu 2196"
"Mark Ritchie"	"PO Box 33
Jamiesonings 3904"
"Melissa Bell"	"PO Box 533
Hororohemakau 0242"
"Judith Prentice"	"2 Wendy Place
Whangarohe 8907"
"Anita McGill-Ward"	"2 Kowhaitai Street
Powai 5389"
"Daniel Anderson"	"Unit 41
156 Horomokowhitu Plaza
Nortonmouth 5141"
"Mark Woods"	"Suite 675
126 Aranuku Terrace
Besttown 6462"
"Liam Duncan"	"79 Cooksley Trail
Maungapukemata 1957"
"Anne Grant"	"7 Lyons Street
RD 2
Kawahorotapu 5037"
"Jake Street"	"563 Hodson-Pope Road
Miahaven 9638"
"Jeffrey Field"	"Flat 14
9 Terehoro Bypass
Rangiiti 8839"
"Kelly McMurray"	"PO Box 995
O'Neilltown 9411"
"Darrin Martin"	"59 Blackwell Alleyway
Flemingside 0784"
"Kim Ward-Smith"	"3 Currie Crescent
RD 5
Robertsmouth 2453"
"Michael Gullery"	"859 Douglas Rise
RD 5
Pukemata 5224"
"Daniel Brown"	"252 Thompson Road
RD 3
Williamstown 2517"
"Hamish McKay-Martin"	"59 Hayden Street
Greenmouth 8537"
"John Findlay"	"806 Hepburn Road
Papapahanga 8198"
"Diane Maxwell-Cunningham"	"5 Papapakawatapu Street
High Andersonfort 8601"
"Heather Love-Boon"	"1 Farland Flats
Poweka 8674"
"Beverley Lang"	"17 Knight Road
Kawamaunga 5279"
"Kim Dalton"	"2 Ararongongauru Avenue
Marshallborough 5188"
"Adam Fletcher"	"2 Allen Rise
Andersonneath 2142"
"Andrew May"	"96 Teretipuweka Causeway
Pearsonborough 5181"
"Donna Thomas"	"Flat 41
2 Francis Alleyway
Lower Hodson Hill 8226"
"Daniel Bush"	"37 Pukekiwi Point
Robinton 3818"
"Lauren Martin"	"2 Bruce-Smith Crescent
East Harrisberg 6195"
"Dean Marshall"	"78 Wharekoro Ridge
Healyside 5231"
"Natasha Morgan"	"6 Pearce-Smart Terrace
East Williamsing 7731"
"Grace Gleeson"	"Apt. 847
25 Jacob Range Road
Whareroa 5770"
"Helen Conway"	"Level 6
512 Amanda Crescent
Waiteretai 0614"
"Megan Godfrey-Davison"	"911 Peter Park
North Shepherdton 5283"
"Scott Brown"	"253 Rotorongonui Mews
Rutherfordneath 8834"
"Natasha Dawick"	"527 Hope Crescent
Whangahope 2170"
"Julie Shaw"	"PO Box 98
Lewisside 5755"
"Daniel Clarke"	"86 Botham-Webster Rise
Tangikawarohe 9323"
"Sarah Douglas"	"Unit 14
25 Wekamokowaka Road
South Hayes Flats 9769"
"Stacey Campbell-Thompson"	"7 Satherley-Chandler Circle
Korotapu 8011"
"Zane Matthews"	"Level 5
34 Manawateremoko Avenue
Manawawhero 7252"
"Thomas Newton"	"Apt. 277
719 Taikawamaunga Way
Papapawhitu 9085"
"Claire Hickey"	"Flat 79
554 Martin Trail
Gillespieburgh 8469"
"Robert Reid-Watt"	"450 George-Butler Mews
Nicolaside 1118"
"Tania MacKenzie"	"39 Wharetipukoro Causeway
South Cresswellstone 8214"
"Mathew Laing"	"PO Box 17
Burns Flats 5764"
"Jason Dillon"	"Level 3
74 Rasmussen-Procter Cove
Gardnerneath 9386"
"Daniel Cook"	"8 Rohetererohe Arcade
RD 5
Newmanport 2008"
"Caleb Bell"	"PO Box 203
McDonalding 5390"
"Phillip Sullivan"	"76 Murdoch Avenue
Robertsborough 0372"
"Megan Martin"	"80 Jenkins Street
Horotauroa 2209"
"Stephen Barrett"	"PO Box 7
Christietown 9813"
"Denise Rowe"	"3 Rototoa Place
Papapahope 9535"
"Christopher Carr"	"PO Box 4
Willsmouth 9472"
"Terence Shepherd"	"823 Waipuke Trail
RD 8
Jamiesoning 2542"
"Alexander Greer"	"352 Megan Mews
Wharewhanga 9248"
"Elizabeth Woolley"	"399 O'Connell Mews
Wakanui 5315"
"Daniel Cragg"	"1 Robyn Street
Wallaceings 5578"
"Angela Fisher-Smith"	"800 Mokopuke Crest
Maxfort 5070"
"Michael Zimmerman"	"1 Knight Street
Rangiwharemata 9411"
"Kelly Waghorn"	"PO Box 7
Wekawhangaara 6484"
"Deborah Coleman"	"830 McDowall-Lewis Place
Wheelerland 7280"
"Jason Bell"	"88 Taiiti Lane
Deborahfort 9491"
"Jacqueline Ellery"	"5 Tangimoko Circuit
Gleesonstone 5347"
"Sarah Tucker"	"220 Taihanga Street
Lower Leeside 5787"
"Emma Smith-Healy"	"5 Paterson-Flood Cross
Taitauwhaka 9410"
"Caroline Williamson-Cook"	"2 McGregor-Jefferies Alleyway
North Williamsfort 7635"
"Daniel Donald"	"18 Green Road
Deanleigh 6475"
"Gillian Smith"	"381 Cook-Bond Beach Road
RD 9
Motutahi 9245"
"Paul Brown"	"4 Williamson-Brooks Crescent
Tipurongo 6948"
"Elizabeth Jellyman"	"34 Mokoweka Road
Awawai 5157"
"Lincoln Mason"	"423 Neal Crest
RD 8
High Johnston Flats 6065"
"Joseph Gibson"	"22 Maungakorowhaka Heights
Maungatau 4689"
"Blake Pollard"	"2 Edwards Drive
Thompson Flats 5780"
"Katherine Carter-Watkins"	"85 Waitiputau Causeway
Wharemanawaara 0511"
"Lorraine Bell"	"2 John Circuit
Tautanga 2136"
"Kate Beard"	"485 Allen Street
Ngauruwhanganui 6042"
"Daniel Gibson"	"8 Nolan Place
Rototaurangi 8166"
"Shane Healy"	"7 Knight Range Road
Simonsenside 8138"
"James Costello"	"1 Patchett Grove
Rongowhare 8465"
"Russell Middlemiss"	"283 Pukemakau Street
RD 5
Horowaka 6499"
"Monique Davenport"	"PO Box 820
Rongotere 9083"
"Katrina Skinner"	"57 Carter-Davis Approach
Manawawhare 8034"
"Hayley Jeffries-Beard"	"506 Tauroto Road
RD 3
Horoarakawa 2632"
"Karl Sinclair"	"213 Tangimakau Street
New Parsonsbury 8081"
"Samantha Ritchie-Goodwin"	"PO Box 7
Manawanui 5255"
"Kevin Cameron"	"Unit 41
6 Georgia Street
Warrenbury 5800"
"Daniel Gledhill"	"54 Elliott Road
Mokotau 2174"
"Caitlin Gilmore"	"Apt. 245
8 Sinclair-Thompson Street
Williamsfort 2591"
"David Marfell"	"7 Whakarongokoro Road
Hollandstone 5240"
"Mathew Wall-Casey"	"2 Funnell-Burns Street
Koromakau 6085"
"Isabella Ball"	"5 Campbell-Foley Terrace
RD 1
Fullertown 5226"
"Tanya Higgins"	"2 Pukewhanganuku Street
Rohemokotangi 5290"
"Nicholas Jensen"	"63 Arahanga Street
RD 5
Dawickburn 8102"
"David Smith"	"Flat 16
4 Manawatangipuke Arcade
Rongongauru 3951"
"Kevin Elliott"	"9 Carr Crescent
RD 9
Taumotu 8501"
"Richard Dean-Duncan"	"PO Box 77
Thompsonport 1334"
"Daniel Johansen"	"PO Box 6
Rotokawahope 9680"
"Jacqueline Jones"	"16 Cameron Street
Cooking 9054"
"Brooklyn Bell"	"816 Manson Street
Gilchristing 8548"
"Frances Taylor"	"Suite 384
634 Berry-Nicol Road
Tangiwhare 4852"
"Aimee Esson"	"8 Fuller Street
Millerstone 2440"
"Timothy Jefferies"	"1 Rangiwai Mews
Waitapu 5767"
"Brian Gore"	"Apt. 964
1 Motuiti Square
Wainuku 0426"
"Grace Bell"	"8 Maree Avenue
Manawawaiiti 8450"
"Sophie Stace"	"69 Evans-Smith Way
Whakarangi 9847"
"Scott O'Sullivan"	"1 Rowe Street
West Cliffordgate 8950"
"Daniel Laurenson"	"766 Coley Terrace
Ngaurumaunga 9382"
"Megan McKay-Cunningham"	"92 Tangipowhenua Terrace
Pukerangitipu 0452"
"David Costello"	"Flat 80
432 Marsh Place
Lower Carrstone 2616"
"Kevin Harrison"	"504 Freeth Street
Steerburgh 2606"
"Shaun Knight-Parker"	"360 Goodwin Place
Coxville 5534"
"Charlotte Dick-Carter"	"Suite 584
80 Papapawharewhero Avenue
Mount Stewarting 8018"
"Nicole Herd"	"Suite 417
89 Poiti Street
Jessicaings 2619"
"Carolyn Strawbridge-Evans"	"66 Wairangi Line
RD 4
Shawburgh 9312"
"Maurice Jeffries"	"PO Box 243
Ngaurukoro 9789"
"Charlie Clifford"	"111 McGregor Terrace
Baldwinport 2375"
"Daniel Moody-McGregor"	"Level 6
84 Martin Road
Tangiwhakaiti 6126"
"John Murphy"	"PO Box 922
Whakamotuiti 9833"
"Joseph Wills"	"15 Gill-MacDonald Alleyway
Corlettstone 2653"
"Joel Williams-West"	"96 Kawatipu Lane
RD 1
Upper Hopkinsland 9665"
"Charlotte Anderson"	"25 Tangitai Avenue
RD 4
Lower O'Connoring 2483"
"Stephen Richards"	"55 Hart Street
Morrisberg 9680"
"Donna Weston"	"PO Box 78
Duncanburgh 5173"
"Sarah Warner"	"Level 9
3 Whangakawamoko Way
Ramsayborough 5204"
"Brian McMurray-Hayes"	"Apt. 917
8 Aramoko Street
South Burrellside 8513"
"Grace Chapman"	"18 Stubbs Gardens
Lower Jonesberg 2257"
"Daniel Nicholson"	"708 Martin-Drummond Alleyway
Patchettfort 8990"
"Jessica Rickard"	"99 Williams-Williams Highway
RD 10
Curriehaven 5334"
"Lily Banks"	"PO Box 31
Nadinemouth 2583"
"Rodney Tapp"	"24 Fisher Mews
Cresswellport 2693"
"Cameron Grant"	"PO Box 152
Wekaawa 7456"
"Terina McDowall-Wallis"	"30 Rotowhaka Place
Matatapu 9842"
"Daniel Moore"	"5 Moore Crescent
RD 3
Fisherville 2037"
"Sharon Larsen"	"9 Wekamotumotu Concourse
RD 4
Manawangauru 8120"
"Andrew Poole"	"39 Forrest Keys
Tangingauru 8147"
"Jane Sinclair"	"64 Hewitt Drive
RD 7
Browntown 5867"
"Daniel Nicholson-Oliver"	"Apt. 903
7 Cresswell Crest
Horomaungaiti 5866"
"Steven Gee"	"PO Box 7
Kevin Hill 5087"
"Andrew Nash"	"217 Turner Avenue
RD 10
Tahitai 8094"
"Sarah Porter"	"35 Evans Cross
Woolleyhaven 9297"
"James Smith"	"Unit 93
452 Motuwhakangauru Quay
Mokomakau 8452"
"Karen MacDonald"	"951 Little Way
Jones Flats 8479"
"Deborah Price"	"344 Currie Street
Lake Sheridaning 8249"
"Jessica Long-Turner"	"689 Rohetahipo Street
Andersonville 4665"
"Alexander Vincent"	"Suite 230
400 Mokowhanga Flats
Rohematanui 5532"
"Craig McCallum"	"85 Kowhairongo Street
Wharetai 4847"
"Daniel Nielsen"	"3 Fitzgerald Terrace
Manawaara 8426"
"Thomas MacDonald"	"951 Simpson-Bartlett Heights
Mokowhakahanga 8996"
"Philip Williams"	"PO Box 386
Tangimatawhaka 0537"
"Niko Gray"	"Suite 583
10 Manawamokotai Street
Wharepapapa 8601"
"Lily Beattie"	"54 Wharewhakahoro Way
Papapapotapu 6464"
"Nadine Smith-Oliver"	"3 Ngaururohetapu Street
RD 6
Melanie Flats 1861"
"Shirley Bary"	"78 Simmons Street
RD 4
Manawawhitu 6131"
"Hayden Smith"	"29 Motuhanga Road
RD 3
Bartlettland 6469"
"Kathryn Smith"	"Suite 814
886 Powakatangi Terrace
Simonborough 7144"
"Megan Moore-Zimmerman"	"Level 8
6 Wakatanga Road
Hamiltonborough 8405"
"Daniel Price-Arnott"	"7 Smith Street
Rohenui 5385"
"Harrison Webb-Cameron"	"5 Healy Road
Wakamakau 5059"
"Nathan Coleman"	"17 Munro Lane
Harrisland 6986"
"Ian MacDonald"	"1 Marshall Street
Smithport 9291"
"Abigail Hardie-Clarke"	"5 Rohekowhai Cross
Taiwaikoro 8152"
"Nikau Webb"	"PO Box 59
Smithhaven 9758"
"Alexander Beattie"	"Level 1
90 Bird Place
Priestton 9732"
"Jane Davies"	"773 Dillon-Gillespie Mews
Millar Flats 9024"
"Hamish Carter"	"99 Tangiwekawhaka Street
RD 2
Mokowharewhenua 9269"
"Paul Campbell"	"2 Rangiawatanga Crescent
Jenkinsside 5390"
"Daniel Richards"	"326 Smith Beach Road
Awamatawhanga 9709"
"Donna Rowe"	"9 Horowaka Anchorage
Korowaka 6293"
"Robert Fisher"	"PO Box 86
Upper Smithstone 6955"
"Aimee Clunies-Ross"	"58 Johnston Avenue
Rushbury 6266"
"Brendan Francis"	"28 Ronald Crescent
Berrytown 8529"
"Stephen Long"	"36 Renee Arcade
Kowhaitai 4131"
"Nicola Hardy"	"850 Nicol-Brown Arcade
Andersonburgh 9030"
"Kathryn Mitchell"	"87 Millard Cutting
Allening 1236"
"Adam Nielsen"	"3 Whakamakau Street
Rohenuku 3248"
"Sandra Cox"	"Flat 39
2 Mitchell Street
Martinland 2287"
"Daniel Roberts"	"603 Lisa Street
Kawatau 2266"
"Gemma Mann"	"90 Mokowhaka Alleyway
Cairnsing 5081"
"Scott Hart"	"2 Taunui Drive
RD 4
Lambertside 7955"
"Nicholas Harris"	"6 Rohehope Cove
Tiputoa 9367"
"Danielle Christiansen"	"PO Box 34
Camerongate 2254"
"Mark Kay"	"71 Whakakawa Ridge
Cresswellbury 5769"
"Julie Forrest"	"2 Kawamanawa Avenue
Stewartleigh 2042"
"Natasha George-Boyd"	"770 Ford Mews
Hamburgh 9489"
"Christine Morris-Allerby"	"4 Rotonui Road
RD 3
Pukemokotau 2461"
"Kerry Rickard"	"763 Samantha Alleyway
RD 7
Simpsonside 2681"
"Daniel Rogers-Berry"	"7 Whareiti Street
Coxneath 2582"
"Manaia Lewis-Ball"	"886 Peters Pass
RD 10
Waiwhanga 8489"
"Sam Johansen"	"2 Rangimoko Avenue
McLeangate 6981"
"Rosemary Gleeson"	"128 Waller-Edwards Avenue
Nelson Hill 8025"
"Cameron Gray"	"Suite 825
91 Waikawatanga Place
Rangitoa 9743"
"Andrew Healy"	"47 Dixon Range Road
Ngauruwharehanga 8016"
"Tracy Ritchie"	"4 Morgan-Nicholas Place
Waipoiti 9412"
"Andrew Ritchie-Moran"	"PO Box 72
Peterberg 2116"
"Mikaere Weston-Wood"	"9 Motumoko Esplanade
Pukeroa 5389"
"Laura Costello"	"PO Box 32
Lake Barnett Flats 5383"
"Daniel Stewart"	"PO Box 595
Papapahoro 2538"
"Ann West-Currie"	"656 Kowhainui Terrace
Ngaire Flats 5340"
"Wendy Scott"	"898 Matilda Concourse
Christineburn 9202"
"David Mitchell-Morton"	"808 Waipo Avenue
Johnstongate 1077"
"Malcolm West"	"6 Tahiara Rise
RD 2
Craigburgh 9373"
"Riley Hart-Larsen"	"Level 1
436 Tipumata Street
Awatipu 9692"
"Brian Thompson"	"89 Emily Avenue
RD 7
Rotonui 9558"
"Robyn Lee-Brown"	"Level 6
8 Thomas Centre
Rongotere 9336"
"Adrian Furness"	"54 Olsen Point
RD 7
High Streetgate 8087"
"Paul Cairns-Cole"	"Apt. 692
8 Horokoro Point
Holdawayside 8434"
"Daniel Stuart"	"538 Jellyman Arcade
RD 5
Wekatangi 9226"
"Jenna Scott"	"325 Greer Street
RD 9
Payneport 2373"
"Janet Conway"	"615 Jesse Road
Whangawakamakau 9637"
"Emily Reid"	"67 Motutapu Way
Wharekawawhitu 6216"
"Xavier Johnston-Powell"	"9 Pearson Drive
Araroto 2060"
"Aaron Brown"	"961 Manawapukewhanga Crest
Kororongo 9614"
"Dion Enright"	"Unit 11
180 Bishell Beach Road
Chambersings 8815"
"Leah Turner"	"67 Godfrey-Reid Corner
Rachelside 3399"
"Paul Scott"	"6 O'Connor Terrace
Ngaurumotu 2417"
"Ruth McEwen"	"PO Box 68
Thomasberg 8006"
"Daniel Taylor"	"17 Tiputipuwai Beach Road
Upper Watersburn 8033"
"Hayley Gardiner"	"Apt. 191
4 Bailey Street
Kawatangiroa 8613"
"Lucy Jennings-McLeod"	"874 Walsh Street
Ngaurutapu 9434"
"Ava Dawson"	"PO Box 4
Hollandleigh 3028"
"Michael Gore"	"66 Thomas Highway
RD 9
Wekanui 2368"
"Max Lucas"	"PO Box 3
Manawapapapa 2231"
"Donna Godfrey"	"2 Cumming Street
East Reidland 5815"
"Nicola Gillies-Fisher"	"52 Wekapotoa Cutting
Taukawanui 4171"
"Blair Pollard-Hills"	"PO Box 3
Burnettton 4406"
"Luca Fuller"	"PO Box 9
Rangitere 9644"
"Daniel Walsh-Pratt"	"30 Horohope Avenue
Tahitahiiti 8455"
"Jennifer Dillon-Ryan"	"Level 1
636 Tauwhanga Parade
Ngauruwai 5736"
"Dean Little"	"2 Warner-Hewitt Court
Kowhaihope 9889"
"Janine Kerr"	"PO Box 47
Williamsonstone 2525"
"Glenn Walton"	"693 Stewart Highway
Knightland 8909"
"Patricia Lee"	"Suite 352
207 Crawford Rise
Paynemouth 2424"
"Andrew McMurray"	"928 Taikawa Grove
Martinleigh 2101"
"Katie Tapp-Stubbs"	"PO Box 18
Hopkinsgate 6143"
"Daniel Knox"	"5 McMillan Street
RD 7
Potangi 8697"
"Anna Hoare"	"PO Box 59
Pukeroto 5106"
"Daniel Willis"	"3 Kowhairotohanga Park
Brownneath 7226"
"Jessica Hoskins-Twidle"	"56 Oliver Range Road
Grantport 8042"
"Mark Baker"	"Flat 22
851 Harris Concourse
O'Connellside 6487"
"Gareth Moore"	"19 York Corner
Korotanga 5123"
"Kerry Donaldson"	"45 Anahera Avenue
Smithside 5274"
"Jesse Bailey"	"264 Fuller Rise
RD 10
Manawakowhai 9837"
"Patricia Bell"	"918 Jones Mews
Websterburgh 5027"
"David Donaldson"	"8 Herd Road
Port Brownburn 6987"
"Alexandra Price"	"Suite 559
4 Rongokowhai Point
Armstrongleigh 8844"
"Grace Dick"	"212 Taiwakatai Street
Richardburgh 9315"
"Daniel Wood"	"541 Hansen Place
RD 5
Ngauruwai 8294"
"Megan Ferguson"	"Apt. 241
647 Baker Park
Arahoro 8427"
"Tracey Cook"	"1 Priest Point
Motukowhaikawa 2437"
"Joel Aitken"	"69 Ngaurukowhaikowhai Street
Fishermouth 2049"
"Stephen Thompson-Blake"	"9 Gibson Concourse
Korowaka 7701"
"Cherie Middlemiss"	"PO Box 563
Gunn Flats 8152"
"Hannah Patterson"	"4 George Avenue
RD 4
Yorkland 2334"
"Terence Evans"	"PO Box 980
Burnettland 9006"
"Jason Brown"	"Suite 641
712 Jackson Esplanade
Gunn Hill 8840"
"Simon Bishell-Monk"	"44 MacKenzie Way
RD 7
Arakorohanga 5355"
"Danielle Baxter-Freeman"	"1 Campbell Quay
Laurensonside 9383"
"Martin Wallis-Morrison"	"PO Box 374
McKayburgh 8003"
"Jacob Reid"	"4 Taunuku Keys
Mokokowhai 6240"
"Jacob Wilkinson"	"Apt. 810
68 Tipumotuwhitu Esplanade
Pickeringberg 3110"
"Alexandra Russell"	"80 McKay Close
RD 6
Manawahoro 6216"
"Jonathan Hart"	"8 Rongowhero Street
Wharerangi 9319"
"Mark Simmonds"	"75 Tererua Flats
Awawaka 2217"
"James Ham"	"PO Box 464
High McCormickside 9608"
"Timothy O'Brien"	"53 Ranginui Street
Papapatau 9045"
"Brendon Rickard"	"8 Papapakowhai Way
Rangimaunga 5351"
"Danielle Cook"	"629 Hansen Square
Horoawanui 6444"
"Connor Roberts"	"Level 5
11 Taiiti Cutting
Wekaawangauru 8649"
"Indie Johnston-Perry"	"27 Moody Street
Wiltonbury 2378"
"Grace Monk"	"Suite 319
6 David Avenue
Curtisfort 5327"
"Jane Cameron-Ramsay"	"147 Waimotu Crescent
Wekamaungatau 6086"
"Emma Carter"	"595 Pukemanawa Road
Harrisonville 2626"
"Joseph Mason-Ball"	"70 Catherine Terrace
RD 2
Gilmoreside 2228"
"Jesse McMillan"	"1 Knight Parade
RD 8
Boycegate 5172"
"Brendon Fitzgerald"	"7 Gardiner Avenue
Tahipokowhai 5770"
"Jocelyn Munro"	"52 Dunn Crest
Andersonmouth 8178"
"Danielle Harris-Berry"	"Apt. 510
9 Kororoto Plaza
Averygate 4632"
"Geoffrey Johnstone"	"Apt. 581
5 Williamson Terrace
Wekamatamakau 8245"
"Annette Jenkins"	"252 Tangiwhanga Road
Whangarohe 0742"
"Samantha McCallum"	"Suite 553
2 Thomas Place
Turnerburgh 9888"
"Douglas Page"	"59 Samuel Ridge
Mitchellton 8006"
"Christine Broughan-Morgan"	"PO Box 40
Smithgate 8496"
"Graham Page"	"40 Howard Range Road
Gulleryland 8665"
"Glenn Page-Morrison"	"98 Baldwin Place
Anderson Hill 8234"
"Christine Fletcher"	"7 Edwards Road
Middlemissside 6491"
"Liam Currie"	"96 Anderson Rise
Rangiawa 6209"
"Danielle Low"	"8 Best Avenue
McIntyre Flats 5309"
"Judith Griffiths"	"7 Kowhaitai Road
Taupapapahoro 9278"
"Kevin Allan"	"PO Box 779
Rohepapapa 5750"
"Peter Lewis"	"53 Learmonth Bypass
Carolneath 8827"
"Melanie Watkins"	"6 Neal Approach
Smithneath 2272"
"Khloe Atkinson"	"7 Glen Road
Carterside 8583"
"Joanne Lloyd"	"135 Stephanie Keys
Wakatereroa 1296"
"Craig Taylor"	"PO Box 9
Woodbury 5129"
"Evelyn Bary"	"Flat 31
60 Gray-Ham Crossing
Whangamotupapapa 2471"
"Sarah Smart"	"650 Smith-Cooksley Beach Road
Wekawhaka 9484"
"Danielle Moore"	"5 Boon-Casey Crescent
Tanginui 5854"
"Michael Edwards"	"53 Nelson Pass
Whangatipu 8906"
"Madison McLeod-Smith"	"PO Box 92
Jenkinstown 5523"
"Peter Nielsen"	"1 Tahiwhenua Place
Upper Duncaning 8568"
"Kelly Hepburn"	"8 Ararohe Alleyway
Tahirangiroa 8598"
"Charles Gardiner"	"2 Dean-Clarke Road
RD 5
Sheridan Hill 5044"
"Jordan Smith"	"1 Butler Anchorage
Koronui 8412"
"Steven Ferguson-Hansen"	"799 Parker Avenue
Waikoro 5316"
"Thomas Kay-Watts"	"Level 8
55 Pukewaka Cove
Kawarohenui 2355"
"Benjamin Smith"	"445 Johnston Road
Drewing 8624"
"Darren Baird"	"274 Wekaranginui Arcade
Tahirohewhero 5831"
"Angela O'Keefe"	"83 Hayley Terrace
Jacksonborough 6994"
"Maria Allan"	"112 Williams Avenue
RD 2
Potiputangi 5378"
"Karl Rowe"	"Suite 522
69 Harris Flats
Wallacetown 2543"
"Sheryl Donaldson"	"PO Box 1
Tahiiti 9010"
"Lynda Patchett"	"3 Small-Holmes Mews
Atkinsonland 6005"
"Jason Nicholas-Arnott"	"Level 7
27 Taiwakahope Plaza
Whangatai 2680"
"Stephanie Collis"	"92 Chloe Avenue
Wekaterepo 2018"
"Teresa Rose"	"633 Matthews Avenue
RD 3
Wakaiti 5552"
"Megan Thompson-Thompson"	"Apt. 280
6 Jacob Amble
Edmondsgate 8885"
"David Andrew"	"7 Rohewhaka Pass
Thompson Hill 8140"
"Kylie Donald"	"Flat 83
23 Steele Road
New Westborough 0884"
"Caleb Dickson"	"25 Wakatahi Street
McGregoring 8223"
"Allan Greig"	"91 Motukowhaitai Street
Rangiroto 6216"
