"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Gordana Bačak"|"Pantovčak 281
38161 Požega"
"Julijana Matošević"|"Nova Ves 66
60526 Zaprešić"
"Dario Ergotić"|"Svibovac 497
33383 Ploče"
"Tea Merkaš"|"Remetska 4
10935 Stari Grad"
"Jure Ćurić"|"Šestinski vijenac 1a/3
74792 Split"
"Dora Galešić"|"Podgaj 6a/5
22190 Pleternica"
"Ika Maćešić"|"Kamaufova 5c
23618 Krk"
"Milka Dujmović"|"Zelengaj 54
15233 Petrinja"
"Zoran Žufika"|"Vrazovo šetalište 7a
29791 Samobor"
"Dario Cvetković"|"Novi Goljak 885
98220 Belišće"
"Gordana Božiković"|"Golubovac 92
14652 Mursko Središće"
"Dražen Amidžić"|"Kamaufova 72
82365 Zadar"
"Gordana Starčević"|"Šalata 7
81596 Pakrac"
"Lana Mustapić"|"Tuškanac 0b
78738 Lipik"
"Vesna Maletić"|"Višnjica 1a
65225 Opatija"
"Snježana Prtenjača"|"Dverce 1c/9
11269 Zlatar"
"Mara Gulan"|"Krvavi most 3c/2
60287 Skradin"
"Viktor Šurina"|"Jurjeve 6c/7
09839 Pula"
"Miroslav Vlašić"|"Klanac Grgura Tepečića 52
21869 Metković"
"Slavica Šunjić"|"Klanac Grgura Tepečića 0a
50439 Gospić"
"Gordana Brlek"|"Bakačeva 5
19079 Pakrac"
"Janko Kralj"|"Goljačke 2a
36122 Daruvar"
"Joso Šalić"|"Strossmayerovo šetalište 9a/9
85179 Rijeka"
"Iva Kocijančić"|"Vinogradska 8b
95261 Delnice"
"Nenad Božiković"|"Davor 849
34561 Trogir"
"Tea Bogović"|"Zeleni dol 7c
73603 Kraljevica"
"Dragan Jelić"|"Strossmayerovo šetalište 3a
12280 Sveti Ivan Zelina"
"Marica Miletić"|"Zmajevac 08
01052 Kutina"
"Kristina Škunca"|"Arnoldova 8a/8
68775 Rab"
"Dušan Bošnjaković"|"Istarska 097
68146 Pleternica"
"Gordana Grgurević"|"Ribnjak 4c/4
30920 Zlatar"
"Franjo Kevo"|"Gupčeva zvijezda 03
47054 Oroslavje"
"Zdravko Turudić"|"Tuškanac 331
52070 Slunj"
"Anka Vugec"|"Mašekova 2c
82305 Ozalj"
"Matea Škoda"|"Pantovčak 2a/5
79170 Sinj"
"Štefica Solomun"|"Gupčeva zvijezda 6b/3
23351 Zabok"
"Jasna Raljević"|"Draškovićeva 7c/7
27628 Imotski"
"Ilija Dautanec"|"Tuškanac 0a/3
39440 Novi Vinodolski"
"Dragica Svetličić"|"Zelengaj 8b
46004 Hrvatska Kostajnica"
"Branka Seničić"|"Šumski prečac 1b/2
86657 Beli Manastir"
"Gordana Hardi"|"Kaptol 5
99529 Beli Manastir"
"Lucija Ražov"|"Donje Prekrižje 0b/1
92092 Pregrada"
"Sara Licul"|"Zeleni dol 6b/8
95638 Cres"
"Karla Buzov"|"Medvedgradska 96
98058 Požega"
"Barbara Šegović"|"Voćarsko naselje 9
38221 Ogulin"
"Dražen Salopek"|"Draškovićeva 5c
92242 Sisak"
"Zlatko Brezjan"|"Dvoranski prečac 0
15482 Kastav"
"Nikola Putinja"|"Mlinarska 4a
78876 Otočac"
"Ivica Čiš"|"Kozarčev vijenac 9a/4
62850 Rovinj"
"Janko Sever"|"Visoka 1c/3
98567 Ilok"
"Gordana Ljubić"|"Istarska 6c/3
38153 Kaštela"
"Ivica Filar"|"Zelengaj 0c
04821 Vodice"
"Dalibor Brezjan"|"Visoka 7b/4
35696 Križevci"
"Dražen Vižintin"|"Bakačeva 9b/3
07441 Oroslavje"
"Antonio Vuk"|"Tošovac 8c/4
36349 Grubišno Polje"
"Martin Ergotić"|"Krvavi most 1a
71240 Drniš"
"Barica Colić"|"Mihaljevac 2
55994 Trilj"
"Dražen Kuščević"|"Zelengaj 8a
61134 Vodnjan"
"Iva Vela"|"Jurkovićeva 067
16356 Rijeka"
"Milica Orlić"|"Jurišićeva 3c
05710 Ploče"
"Gordana Lukša"|"Klesarski put 5b/3
94275 Slavonski Brod"
"Nenad Kolega"|"Kamenita 2
21008 Dugo Selo"
"Božica Brandić"|"Mašekova 0c/9
35648 Kaštela"
"Tea Stolnik"|"Podgaj 2b
64499 Grubišno Polje"
"Rozalija Vučin"|"Bučarova 3b
94106 Belišće"
"Dejan Vozila"|"Palmotićeva 865
51247 Donji Miholjac"
"Katarina Akmačić"|"Golubovac 23
32901 Slavonski Brod"
"Božena Miše"|"Krležin gvozd 2
01510 Nova Gradiška"
"Jasminka Jelavić"|"Draškovićeva 5a
06647 Obrovac"
"Zvonko Botić"|"Zeleni dol 5a
07758 Delnice"
"Gordana Lukšić"|"Nemetova 9c/2
70311 Pregrada"
"Dejan Vaci"|"Draškovićeva 8a
39976 Buzet"
"Suzana Preočanin"|"Rikardove 4c
89628 Krapina"
"Anđa Galović"|"Vitezovićeva 7a/4
50573 Virovitica"
"Danijela Marijanović"|"Male 4a/8
92432 Karlovac"
"Stana Božić"|"Zmajevac 8
84496 Poreč"
"Leon Medved"|"Dolac 7a
51865 Lepoglava"
"Nika Vukobratović"|"Šalata 4c
54536 Kastav"
"Viktor Smoković"|"Tkalčićeva 334
22964 Đakovo"
"Tea Mamić"|"Mlinovi 5c
11954 Varaždin"
"Gordana Matahlija"|"Visoka 5a/8
01219 Varaždin"
"Martin Ušić"|"Ksaverska 8a/0
24645 Čabar"
"Rozalija Šimunović"|"Strossmayerovo šetalište 9b
60980 Daruvar"
"Janja Cindrić"|"Mirogojska 7a/5
69724 Đurđevac"
"Jure Kocijančić"|"Vlaška 8
57050 Novi Marof"
"Dragica Mihalić"|"Šestinski vijenac 6c/8
81627 Pleternica"
"Jasminka Zrinski"|"Pantovčak 84
53602 Pazin"
"Josipa Grubišić"|"Klanac Grgura Tepečića 6a/6
01777 Metković"
"Božo Prskalo"|"Jurkovićeva 0c
26050 Ivanić-Grad"
"Sara Bobanović"|"Zelengaj 6c
55230 Trogir"
"Gordana Prtenjača"|"Mala 6b
52230 Vukovar"
"Ema Vincetić"|"Jezuitski trg 5
68427 Korčula"
"Branka Kalanjoš"|"Jurjeve 1c/5
12191 Pag"
"Boris Perak"|"Kozarčev vijenac 0c/8
62162 Križevci"
"David Šarić"|"Dvoranski prečac 9b
25000 Čazma"
"Laura Bazjak"|"Cmrok 2c/3
30309 Vrbovec"
"Lana Mikulandra"|"Arnoldova 5
29161 Osijek"
"Robert Vuković"|"Šalata 4c
13929 Zabok"
"Elvis Guberović"|"Kamaufova 459
37207 Bakar"
"Filip Mikulandra"|"Rockefellerova 657
73845 Vrlika"
"Gordana Radošević"|"Grič 8
53293 Metković"
"Fuma Lešković"|"Bakačeva 4c/1
46143 Varaždinske Toplice"
"Boris Bačak"|"Medvedgradska 2c/9
06717 Metković"
"Mateo Turudić"|"Gornje Prekrižje 7c
04174 Đakovo"
"Tomislav Vuljak"|"Skalinska 1c
56284 Delnice"
"Anka Poljak"|"Dolac 4c/0
07058 Labin"
"Hana Kralj"|"Ribnjak 3b
95808 Delnice"
"Jure Plažanin"|"Dubravkin 4a/2
07790 Krapina"
"Terezija Boban"|"Šalata 1b
24117 Nin"
"Ivanka Bogdan"|"Nova Ves 938
80483 Vrlika"
"Gordana Vrban"|"Kozarčev vijenac 857
28642 Metković"
"Draga Ćorić"|"Kraljevečki ogranak 019
80636 Trilj"
"Franjo Benčić"|"Splavnica 2
46254 Vis"
"Alen Lukšić"|"Kamenita 5
88711 Vrbovsko"
"Lorena Resanović"|"Kaptol 9b
00174 Oroslavje"
"Sara Vidović"|"Mlinovi 1b/0
77283 Daruvar"
"Ljiljana Vuk"|"Zmajevac 5a
72105 Otočac"
"Dragutin Tisaj"|"Svibovac 3
44337 Novalja"
"Miroslav Kolega"|"Rockefellerova 3c/7
74053 Vodnjan"
"Matej Jasprica"|"Čačkovićeva 55
75892 Đurđevac"
"Gordana Žugec"|"Podgaj 867
18839 Varaždinske Toplice"
"Jasminka Marinović"|"Mlinovi 8b/1
75169 Korčula"
"Kristina Stančin"|"Šumski prečac 52
84329 Vukovar"
"Ane Ljubić"|"Dvoranski prečac 075
41562 Vrbovec"
"Jasna Topić"|"Kraljevečki ogranak 8c
74112 Komiža"
"Lidija Dautanec"|"Horvatovac 8b/2
22132 Vrbovec"
"Nataša Gregov"|"Horvatovac 71
54068 Vrbovsko"
"Mare Bungić"|"Šumski prečac 1a
70732 Nova Gradiška"
"Davor Žagar"|"Harmica 3
59614 Omiš"
"Ljiljana Mikulec"|"Glogovac 96
55963 Labin"
"Gordana Žuvela"|"Nova Ves 5a
29740 Rijeka"
"Anita Franušić"|"Jurjevska 736
87307 Benkovac"
"Stana Škrlin"|"Srebrnjak 6c/0
71581 Bakar"
"Jadranka Rijetković"|"Novi Goljak 23
41073 Korčula"
"Matej Barković"|"Davor 1a/3
08558 Delnice"
"Joso Zanoški"|"Vijenac 1c
67412 Opatija"
"Dario Šurbek"|"Arnoldova 211
64781 Benkovac"
"Ankica Karmelić"|"Zeleni dol 7a/4
31021 Skradin"
"Nina Vorkapić"|"Goljak 4b
91402 Prelog"
"Katarina Amanović"|"Orlovac 2c/9
38151 Mursko Središće"
"Hana Dominiković"|"Čačkovićeva 3b
73815 Krapina"
"Mladen Blažičko"|"Mašekova 1a/4
47302 Lepoglava"
"Dominik Bradić"|"Mihaljevac 80
14095 Zagreb"
"Elvis Gulan"|"Zamenhofove 628
63199 Novi Marof"
"Đuro Radolović"|"Pantovčak 1a
52731 Varaždinske Toplice"
"Julijana Jonjić"|"Tkalčićeva 4
11430 Umag"
"Ilija Franičević"|"Mlinarska 7
05107 Novska"
"Damir Škara"|"Naumovac 9a/7
00529 Kutjevo"
"Kristina Gligora"|"Wickerhauserova 2c/7
97727 Ivanić-Grad"
"Đuro Sokač"|"Vrazovo šetalište 9b/5
84677 Đurđevac"
"Hana Leščić"|"Vončinina 39
27835 Nova Gradiška"
"Albina Šantić"|"Remetska 2c/1
23682 Split"
"Maria Sirotić"|"Jurjevska 3c/8
68595 Krapina"
"Franciska Rađenović"|"Kraljevec 0a/2
13244 Kaštela"
"Josip Đurinić"|"Zvonarnička 9a
28732 Jastrebarsko"
"Filip Vaci"|"Goljačke 33
14083 Novska"
"Andrija Josipović"|"Ksaver 4b/9
90848 Kutjevo"
"Petra Baljak"|"Donje Prekrižje 16
72985 Garešnica"
"Lea Matas"|"Pantovčak 3b/7
62453 Vrbovsko"
"Toni Cestarić"|"Rikardove 647
35874 Omiš"
"Hana Stančin"|"Dubravkin 7a/9
23909 Vrgorac"
"Mislav Ribarić"|"Mlinske 71
72442 Mursko Središće"
"Karla Koški"|"Jagodnjak 99
07797 Novi Vinodolski"
"Maria Pajur"|"Jurkovićeva 57
97016 Novigrad"
"Nina Ribarić"|"Goljačke 8b/7
56115 Oroslavje"
"Dalibor Smolić"|"Čačkovićeva 01
39179 Križevci"
"Bara Orlić"|"Mlinovi 3b/3
89644 Donja Stubica"
"Renata Amidžić"|"Krvavi most 5a
61357 Pakrac"
"Marko Mišković"|"Tkalčićeva 545
74404 Kutina"
"Zdravko Kahlina"|"Ksaverska 46
79710 Ilok"
"Hana Stipanović"|"Mlinarska 9a
26372 Našice"
"Mare Šimunović"|"Voćarska 603
46844 Mali Lošinj"
"Slavica Barbir"|"Zeleni dol 93
19479 Pazin"
"Slavko Matas"|"Mala 9b
63363 Čabar"
"Jana Jakopović"|"Zamenhofove 5c
07032 Otok"
"Nikolina Šargač"|"Magdićeve 6b/4
88101 Glina"
"Marijana Mamić"|"Kozarčev vijenac 1a
39685 Rab"
"Dalibor Kokorić"|"Kurelčeva 5c
85784 Stari Grad"
"Lana Botica"|"Petrova 56
59449 Imotski"
"Anđela Peroš"|"Naumovac 4b
18849 Rovinj"
"Hana Vincetić"|"Gornje Prekrižje 8c
09677 Rijeka"
"Nataša Ribičić"|"Bosanska 8a/2
62919 Pula"
"Joško Hrvojić"|"Mlinovi 6a
69442 Glina"
"Biserka Krznarić"|"Srebrnjak 93
51037 Klanjec"
"Slavko Radolović"|"Ružičnjak 3a
63335 Pleternica"
"Štefica Boban"|"Skalinska 0a/9
43347 Trogir"
"Rudolf Kovačević"|"Vrazovo šetalište 969
95385 Vis"
"Laura Ercegović"|"Jadranska 7c
91029 Trogir"
"Draga Gulan"|"Palmotićeva 539
10150 Sinj"
"Mislav Zeba"|"Zvonarnička 5a/4
57797 Cres"
"Hana Vitasović"|"Goljačke 94
69438 Ivanić-Grad"
"Dragica Perišić"|"Mletačka 1c/0
24465 Vrbovsko"
"Ivanka Hranić"|"Zmajevac 57
85192 Ludbreg"
"Goran Kosić"|"Rockefellerova 96
90985 Solin"
"Igor Gracin"|"Mesnička 20
31345 Čakovec"
"Dino Risek"|"Perivoj srpanjskih žrtava 8c
43926 Jastrebarsko"
"Matej Leščić"|"Pantovčak 9a
17607 Donji Miholjac"
"Matija Maričević"|"Slavujevac 703
19615 Đakovo"
"Elvis Peharda"|"Dubravkin 1c
68107 Ilok"
"Katica Mužić"|"Grič 2c/0
32327 Prelog"
"Hana Čović"|"Ružičnjak 9b
43432 Oroslavje"
"Mijo Škugor"|"Kraljevec 32
53609 Sisak"
"Hrvoje Županić"|"Šestinski vrh 5b/2
41800 Dubrovnik"
"Filip Krajcar"|"Remetska 8b/8
60970 Grubišno Polje"
"Mirko Putinja"|"Grič 2a
07332 Duga Resa"
"Hrvoje Franić"|"Remetska 2a/1
18478 Našice"
"Marija Hodak"|"Dolac 711
68633 Dubrovnik"
"Alen Šuran"|"Jurišićeva 028
23187 Lepoglava"
"Romano Lučić"|"Lobmayerove 49
32115 Vrbovsko"
"Roko Vidović"|"Opatička 7a/6
93514 Otočac"
"Hrvoje Baksa"|"Donje Prekrižje 4
15574 Klanjec"
"Ljiljana Šestan"|"Klanac Grgura Tepečića 5b/3
58096 Donja Stubica"
"Hana Peroš"|"Visoka 375
21789 Gospić"
"Biserka Pecotić"|"Draškovićeva 5a/7
60315 Čabar"
"Marko Karmelić"|"Nova Ves 0b/5
96788 Varaždin"
"Nina Bičanić"|"Kapucinske 0
09270 Cres"
"Aldo Seničić"|"Goljačke 5
70204 Kutjevo"
"Robert Oršolić"|"Rikardove 7c/3
00517 Čabar"
"Ilija Pedišić"|"Kaptol 4b/7
72966 Orahovica"
"Slavko Marinković"|"Svibovac 25
09021 Grubišno Polje"
"Hrvoje Balinčić"|"Tkalčićeva 299
25666 Pakrac"
"Šime Dubovečak"|"Kraljevec 3a/0
80372 Ludbreg"
"Vedran Perišić"|"Palmotićeva 6
79741 Vodice"
"Vesna Damjanović"|"Magdićeve 30
45832 Trilj"
"Saša Polić"|"Podgaj 8b
94159 Čazma"
"Katica Veić"|"Goljačke 0b
25575 Bjelovar"
"Patrik Vidas"|"Mihaljevac 5b/9
20169 Vrgorac"
"Ivka Ćorić"|"Dolac 2b/0
54210 Novigrad"
"Valter Turčinov"|"Strossmayerovo šetalište 8b
32513 Novi Marof"
"Anto Miloslavić"|"Mala 6b
10914 Kaštela"
"Hrvoje Benić"|"Gradec 400
14556 Čazma"
"Mara Bradić"|"Zmajevac 5
77792 Daruvar"
"Andrija Kalanjoš"|"Cmrok 1a
44224 Pag"
"Milica Dubovečak"|"Jezuitski trg 6a
53430 Pakrac"
"Ankica Stolnik"|"Donje Prekrižje 5a/5
09496 Drniš"
"Anđela Lešković"|"Zavojna 5c
44087 Dugo Selo"
"Jakov Novak"|"Ribnjak 0c
39443 Slatina"
"Mladen Barac"|"Bijenička 4c/7
57068 Vrbovsko"
"Lovre Vrabelj"|"Remetska 8b
81969 Biograd na Moru"
"Sandra Risek"|"Draškovićeva 389
02478 Novi Vinodolski"
"Hrvoje Benčić"|"Pantovčak 38
79716 Kutina"
"Vera Krželj"|"Kaptol 0b
34829 Imotski"
"Lovro Buršić"|"Opatička 5c/2
89902 Pakrac"
"Mihael Škrlin"|"Srebrnjak 8b/6
63078 Nin"
"Dejan Mikulandra"|"Tkalčićeva 0
60942 Krapina"
"Pavao Gligora"|"Vrazovo šetalište 4a
30762 Vodnjan"
"Vjekoslav Barušić"|"Svibovac 1c
53114 Daruvar"
"Kristijan Žerjav"|"Ksaverska 961
07682 Belišće"
"Lana Baksa"|"Vrazovo šetalište 3a
73370 Donji Miholjac"
"Patrik Stojanov"|"Naumovac 9c/8
55423 Dubrovnik"
"Hrvoje Dautović"|"Zamenhofova 7c
91033 Grubišno Polje"
"Antonio Herout"|"Jezuitski trg 9
17333 Donja Stubica"
"Mateja Šturlan"|"Jezuitski trg 6c/3
62500 Buje"
"Karlo Perković"|"Jagodnjak 9b/3
61731 Poreč"
"Petra Koščević"|"Voćarsko naselje 0b
44795 Slunj"
"Igor Tomičić"|"Opatovina 3c/0
61407 Duga Resa"
"Dražen Dabo"|"Mletačka 2c/7
03092 Komiža"
"Antonija Puljiz"|"Donje Prekrižje 1c
33227 Kraljevica"
"Ilija Kuveždić"|"Remetska 6c
10815 Labin"
"Jasna Ercegović"|"Demetrova 5b
28364 Zaprešić"
"Hrvoje Martić"|"Harmica 2a
47185 Vodice"
"Mirko Bungić"|"Gupčeva zvijezda 5a
19247 Oroslavje"
"Anton Lazar"|"Kraljevec 3a
23275 Novska"
"Terezija Katić"|"Grič 8a
50959 Duga Resa"
"Lovre Sošić"|"Kamenita 9a/7
33669 Samobor"
"Veronika Kovaček"|"Kraljevec 3
01898 Rijeka"
"Dražen Mišak"|"Kraljevec 2a/5
14976 Ludbreg"
"Ivanka Antić"|"Goljačke 7a/3
75235 Varaždinske Toplice"
"Matej Balinčić"|"Mletačka 4c/6
68048 Pakrac"
"Matija Radman"|"Harmica 0b
18837 Novigrad"
"Hrvoje Mateša"|"Radnički dol 43
36106 Delnice"
"Tatjana Čuljak"|"Perivoj srpanjskih žrtava 942
51907 Varaždin"
"Nikša Brezjan"|"Jurkovićeva 7
81068 Vrlika"
"Robert Špralja"|"Ljubinkovac 2c/2
25330 Korčula"
"Nina Šimunić"|"Ljubinkovac 9c
23268 Dugo Selo"
"Antonio Marić"|"Davor 0a
97152 Kraljevica"
"Matija Lenić"|"Jurjeve 7c
82344 Solin"
"Rudolf Amanović"|"Splavnica 247
55311 Daruvar"
"Dragan Vukušić"|"Ksaver 3
90158 Orahovica"
"Nevenka Čiš"|"Ribnjak 1
30019 Čazma"
"Hrvoje Oršulić"|"Voćarsko naselje 4c
48564 Ilok"
"Biserka Leščić"|"Ksaver 74
89978 Čakovec"
"Lovre Bačić"|"Višnjica 2a/4
91149 Cres"
"Suzana Trgovčić"|"Jagodnjak 476
08107 Lipik"
"Franjo Mišković"|"Bučarova 7a
36178 Senj"
"Dario Klarin"|"Ksaver 4a/7
69909 Sveti Ivan Zelina"
"Jelena Buljan"|"Jurjevska 7b/4
93403 Daruvar"
"Tomislav Abičić"|"Jagodnjak 7b
11428 Makarska"
"Mate Kurtoić"|"Mletačka 6b
93921 Ilok"
"Zora Forjan"|"Radnički dol 6b
06232 Sisak"
"Hrvoje Pongrac"|"Mašekova 9b
75595 Krk"
"Branka Penić"|"Goljak 4c
99557 Stari Grad"
"Franciska Božić"|"Zamenhofove 7
69309 Mursko Središće"
"Dalibor Branković"|"Novi Goljak 0a
87939 Ivanić-Grad"
"Suzana Ričko"|"Vrazovo šetalište 0a/1
82802 Hvar"
"Iva Mirt"|"Jabukovac 6b
97649 Gospić"
"Božena Perkov"|"Višnjičke 9a
92204 Ploče"
"Stjepan Kralj"|"Zavojna 4c
70293 Đakovo"
"Milena Žuvela"|"Kraljevečki ogranak 950
19690 Pula"
"Milka Pavković"|"Magdićeve 8a/0
92592 Stari Grad"
"Hrvoje Tomljanović"|"Čačkovićeva 1a
13746 Beli Manastir"
"Zora Perković"|"Istarska 9a/1
90232 Vrlika"
"Marija Ilinović"|"Voćarsko naselje 6b/5
69299 Biograd na Moru"
"Ljiljana Grgić"|"Naumovac 0a
84930 Novi Marof"
"Marija Živković"|"Mašekova 0a
07199 Vinkovci"
"Eva Barišić"|"Kamenjak 4a
84245 Mursko Središće"
"Zoran Roso"|"Dubravkin 431
12501 Lepoglava"
"Zoran Ribarić"|"Male 0b
08811 Supetar"
"Suzana Stanić"|"Ljubinkovac 986
48018 Kraljevica"
"Mia Macan"|"Javorovac 2a/2
02086 Križevci"
"Hrvoje Zubčić"|"Medvedgradska 0a
49368 Skradin"
"Nenad Gržinčić"|"Kraljevečki odvojak 0
42933 Lepoglava"
"Lara Hrastinski"|"Rokov perivoj 6a/0
51462 Vrgorac"
"Iva Matulin"|"Kaptol 3a
64034 Pakrac"
"Bara Ričko"|"Gračanska 4b
84282 Popovača"
"Joško Boban"|"Krležin gvozd 0a
09947 Poreč"
"Zdenka Bukvić"|"Cmrok 2c
89957 Velika Gorica"
"Milka Grgurević"|"Bakačeva 9b
10639 Vodice"
"Lucija Mesarić"|"Palmotićeva 8c
83061 Pazin"
"Zdravko Sokol"|"Draškovićeva 9b
53209 Pula"
"Hrvoje Žugec"|"Golubovac 40
57701 Makarska"
"Hana Šokčević"|"Gradec 5
77173 Vodnjan"
"Maria Čagalj"|"Zavojna 1a
15775 Donji Miholjac"
"Ivka Šestak"|"Cmrok 7b
67689 Ploče"
"Viktor Stošić"|"Harmica 661
08956 Kastav"
"Danijel Karlović"|"Kamaufova 0b/8
94489 Trogir"
"Nikolina Odobašić"|"Mašekova 753
24458 Komiža"
"Nikša Vincetić"|"Jadranska 823
22558 Dugo Selo"
"Tomo Brcko"|"Ribnjak 8b/3
58130 Beli Manastir"
"Mile Hranić"|"Novi Goljak 0a
69389 Bjelovar"
"Igor Blažek"|"Hercegovačka 834
50607 Trogir"
"Barica Blagaić"|"Bosanska 64
22854 Gospić"
"Andrea Bajan"|"Zeleni dol 9c/6
34636 Pazin"
"Tatjana Kučić"|"Mlinovi 1
80276 Otok"
"Eva Bunić"|"Hercegovačka 1
04386 Knin"
"Biljana Zgorelec"|"Harmica 1c
52339 Opuzen"
"Nina Beraković"|"Vinogradska 122
78290 Valpovo"
"Zdenka Martinić"|"Medveščak 759
99637 Pag"
"Pero Matković"|"Strossmayerovo šetalište 4c
37333 Novska"
"Terezija Šverko"|"Kaptol 5b
75499 Omiš"
"Igor Ergotić"|"Mala 4b/2
78636 Velika Gorica"
"Marta Pavlović"|"Orlovac 317
20692 Omiš"
"Dario Rastija"|"Tuškanac 3a
01948 Bakar"
"Jelena Koški"|"Vlaška 6c
94296 Poreč"
"Goran Radošević"|"Nemetova 904
98683 Zlatar"
"Maja Radolović"|"Ilica 7b
33618 Omiš"
"Albina Čotić"|"Golubovac 2b
29554 Krk"
"Ivan Plantak"|"Kapucinske 4c
93676 Kastav"
"Ankica Šturlan"|"Perivoj biskupa Stjepana II. 05
11263 Kutina"
"Anka Šalić"|"Zelenjak 3b/9
42610 Slavonski Brod"
"Igor Hrabar"|"Remetska 2b/2
92284 Nin"
"Ane Hršak"|"Paunovac 080
40918 Mursko Središće"
"Lea Lasić"|"Rockefellerova 5
93941 Ivanić-Grad"
"Nataša Vižintin"|"Vrazovo šetalište 3a/1
79304 Donja Stubica"
"Božica Dvojak"|"Dvoranski prečac 531
91084 Biograd na Moru"
"Aldo Sršen"|"Jagodnjak 0
87282 Obrovac"
"Mirjana Vučković"|"Draškovićeva 6
28891 Ivanić-Grad"
"Karla Šimić"|"Kamenjak 9b
99955 Rijeka"
"Ljubica Vojković"|"Zavojna 1b
58294 Umag"
"Rudolf Akmačić"|"Draškovićeva 554
24754 Labin"
"Igor Jakovljević"|"Kamenjak 7b
85522 Grubišno Polje"
"Snježana Blažević"|"Višnjičke 4b
97747 Obrovac"
"Domagoj Balatinac"|"Zvonarnička 5b
95517 Novska"
"Mara Škugor"|"Vlaška 78
16388 Opatija"
"Anica Miličić"|"Glogovac 2a
77049 Vukovar"
"Miroslav Ribičić"|"Vrazovo šetalište 5a/3
27653 Vrgorac"
"Maria Plantak"|"Vončinina 1b
55871 Solin"
"Tomo Polović"|"Kozarčev vijenac 8a/3
61395 Ludbreg"
"Matej Vuljak"|"Ribnjak 9a/3
45810 Duga Resa"
"Mato Maćešić"|"Kamaufova 3a
37750 Garešnica"
"Igor Tudor"|"Remetska 34
58075 Belišće"
"Mirjana Kosić"|"Opatička 8b
53392 Zadar"
"Martin Pavelić"|"Tošovac 407
33683 Ozalj"
"Franciska Mihelčić"|"Kamenita 0b/1
87228 Senj"
"Maria Marinković"|"Klanac Grgura Tepečića 7a
81441 Hvar"
"Roko Bukvić"|"Remetska 93
38165 Benkovac"
"Đurđica Blažičko"|"Perivoj srpanjskih žrtava 2a
57908 Solin"
"Željko Bukvić"|"Višnjičke 6b/5
21432 Samobor"
"Matea Ćosić"|"Klesarski put 576
95040 Crikvenica"
"Elvis Huljev"|"Streljačka 4b/6
23522 Gospić"
"Igor Čubrić"|"Magdićeve 3
22849 Novigrad"
"Denis Pavičić"|"Lisinskoga 7
62416 Supetar"
"Roko Bjeliš"|"Jabukovac 7
68483 Pakrac"
"Veronika Andrašek"|"Kraljevec 9
28489 Popovača"
"Dominik Sladonja"|"Mirogojska 935
02645 Osijek"
"Lovro Mimica"|"Krvavi most 0c
70291 Dugo Selo"
"Slavica Marasović"|"Harmica 6a
61820 Kraljevica"
"Nataša Vitasović"|"Tuškanac 3a
77897 Ploče"
"Petar Crneković"|"Javorovac 620
45575 Vodnjan"
"Marina Sošić"|"Lisinskoga 6b/5
05155 Mali Lošinj"
"Ika Banovac"|"Kraljevec 9
23436 Korčula"
"Miroslav Grgić"|"Voćarska 0b
12534 Opatija"
"Josipa Roca"|"Kraljevec 81
04498 Poreč"
"Matija Mimica"|"Opatička 8b/4
37842 Vinkovci"
"Laura Tušek"|"Bučarova 36
48817 Donja Stubica"
"Dalibor Burić"|"Kamenjak 0a/1
21735 Metković"
"Goran Lukinić"|"Dvoranski prečac 4
69553 Vodice"
"Milka Mikulandra"|"Jurišićeva 7b
06605 Orahovica"
"Slavica Triplat"|"Opatička 8a/4
67993 Ivanec"
"Draga Kolarec"|"Cmrok 10
30667 Trogir"
"Ika Dražić"|"Mašekova 112
97683 Beli Manastir"
"Zvonko Čižmešija"|"Zelengaj 9b
37665 Vrgorac"
"Danijel Ercegović"|"Goljak 397
26004 Sveta Nedelja"
"Vladimir Lukšić"|"Medvedgradska 942
93302 Čazma"
"Laura Mofardin"|"Arnoldova 63
11961 Šibenik"
"Duje Rendulić"|"Radnički dol 3c/6
95631 Lipik"
"Domagoj Čargonja"|"Svibovac 9c
94160 Bakar"
"Igor Lešković"|"Perivoj srpanjskih žrtava 0c
25349 Novalja"
"Andrija Petrić"|"Horvatovac 0c
87711 Vrbovsko"
"Anica Zubčić"|"Paunovac 4b/4
13283 Osijek"
"Ika Ergotić"|"Kozarčev vijenac 0a/6
30829 Otočac"
"Mare Hardi"|"Donje Prekrižje 9b
78720 Orahovica"
"Nina Jović"|"Lobmayerove 930
72454 Otočac"
"Dino Dragobratović"|"Gradec 139
09113 Rab"
"Bara Markuš"|"Demetrova 6a
39164 Novalja"
"Luka Šegović"|"Kozarčev vijenac 74
84059 Slatina"
"Manda Kirinčić"|"Radnički dol 7c/9
32699 Vrbovsko"
"Jozo Polić"|"Golubovac 9c/8
67799 Trilj"
"Mario Krpan"|"Kozarčev vijenac 4c/3
13542 Pakrac"
"Fuma Antić"|"Wickerhauserova 3a
68067 Mursko Središće"
"Ika Jureško"|"Zeleni dol 68
43141 Pleternica"
"Veronika Vojković"|"Jurišićeva 7a
21748 Zadar"
"Marko Cukon"|"Kaptol 2b
10966 Vrbovec"
"Matija Bogović"|"Šestinski vrh 36
13298 Varaždin"
"Mateja Priselac"|"Kraljevec 780
33087 Sveta Nedelja"
"Davor Maretić"|"Kamenita 1a/6
92888 Rijeka"
"Bruno Penić"|"Zamenhofova 4c
46724 Orahovica"
