"Albina Babić","Davor 19
73856 Novska" 
"Lara Peroš","Nemetova 6c
21372 Buzet"
"Zlatko Simić","Mlinovi 2c
25623 Labin"
"Duje Viljevac","Gradec 0a
85103 Vukovar"
"Anđela Lenić","Gradec 279
04199 Novigrad"
"Matija Pajur","Javorovac 7a
53121 Slatina"
"Dora Šimičić","Kamenjak 9c
99514 Labin"
"Davor Šegović","Rikardove 6c/0
33708 Zabok"
"Božena Bukvić","Nova Ves 3c
43198 Lepoglava"
"Maja Radojković","Wickerhauserova 4a/7
49577 Osijek"
"Nikolina Drakulić","Pantovčak 82
50811 Požega"
"Dragutin Dukić","Kapucinske 0b/8
52777 Orahovica"
"Danica Tudić","Voćarsko naselje 6c/6
23211 Trilj"
"Nikola Kurtoić","Mesnička 87
94852 Varaždin"
"Anđela Moscarda","Male 118
65074 Buzet"
"Marija Poljak","Naumovac 2c/5
76271 Split"
"Antonio Gegić","Goljačke 91
93729 Daruvar"
"Igor Hršak","Ksaver 8a/3
19714 Nova Gradiška"
"Andrea Barešić","Jurkovićeva 9a
78105 Novigrad"
"Jure Kligl","Horvatovac 6a
74864 Umag"
"Franjo Volarić","Kapucinske 7b
81453 Đakovo"
"Nikolina Hren","Ksaverska 6b/4
56508 Otočac"
"Marina Grba","Demetrova 9b/0
45511 Slavonski Brod"
"Ivana Kosanović","Nemetova 737
31951 Buzet"
"Anđela Nedić","Kurelčeva 1a/6
28981 Ivanić-Grad"
"Kata Čukman","Vončinina 5c
64563 Prelog"
"Matija Sikirić","Istarska 0c/8
65639 Makarska"
"Franjo Makovac","Rikardove 406
15546 Skradin"
"Dora Vladislavić","Dolac 7c
76098 Garešnica"
"Dario Andrijašević","Vitezovićeva 9a/4
18667 Nova Gradiška"
"Marica Sabol","Petrova 7b/4
86484 Lepoglava"
"Nada Filar","Vrazovo šetalište 9c/0
66577 Vukovar"
"Zlatko Friščić","Visoka 9c/8
76403 Lepoglava"
"Romano Jerković","Vijenac 6a/9
86844 Cres"
"Anđela Petričević","Vijenac 0b/2
23306 Ludbreg"
"Franciska Božanović","Davor 7c
01267 Imotski"
"Nikša Šegović","Ksaverska 3b
22378 Hrvatska Kostajnica"
"Božica Bošnjaković","Ksaverska 019
12048 Jastrebarsko"
"Lorena Jasprica","Zavojna 3a
85052 Labin"
"Mirko Barnaba","Mlinarska 1a/8
66259 Krapina"
"Vedran Lovrić","Jezuitski trg 0a
40167 Krapina"
"Biljana Dragičević","Mlinske 2c
81193 Krk"
"Franciska Rendulić","Mlinarska 9b
98475 Vodnjan"
"Milan Mamić","Jurkovićeva 8a/1
71777 Pazin"
"Anđela Rađenović","Draškovićeva 6b/2
90435 Kutjevo"
"Zdenka Kosanović","Streljačka 1
19452 Pregrada"
"Stana Hršak","Klesarski put 5
42339 Zaprešić"
"Karla Halambek","Voćarsko naselje 08
95637 Vrbovsko"
"Joško Trbović","Zamenhofova 794
98281 Rovinj"
"Jelena Barišić","Magdićeve 2c
70454 Zadar"
"Ljubica Gelemanović","Kozarčev vijenac 4b/3
96303 Vodice"
"Ivica Barešić","Nemetova 4a
65269 Krapina"
"Jele Štrbac","Srebrnjak 515
97159 Ivanec"
"Jadranka Vorkapić","Medvedgradska 9b/9
00949 Lipik"
"Anđela Soldo","Istarska 0c
11501 Novi Vinodolski"
"Mara Amanović","Radnički dol 2
27790 Korčula"
"Šime Bojanić","Male 6a/7
50520 Hvar"
"Franciska Smoković","Kraljevečki ogranak 58
27170 Garešnica"
"Mijo Radočaj","Kožarska 9c/1
98078 Jastrebarsko"
"Domagoj Pozder","Kamaufova 3b/5
54092 Lipik"
"Anđela Bolčević","Javorovac 2a
28852 Bjelovar"
"Gordana Glasnović","Dverce 274
89719 Vodnjan"
"Nikša Gulan","Bosanska 7
40180 Novigrad"
"Martina Sabljak","Strossmayerovo šetalište 0c/3
88879 Novigrad"
"Anđela Tolj","Dvoranski prečac 71
32291 Požega"
"Darko Šurina","Kapucinske 5a/2
20169 Dubrovnik"
"Ružica Miklečić","Srebrnjak 2
80592 Zabok"
"Mirjana Božanović","Vončinina 507
90812 Novska"
"Petar Magić","Šilobodov put 6c/8
54285 Lepoglava"
"Nika Perković","Gornje Prekrižje 052
66648 Vrgorac"
"Jure Jagarinec","Jadranska 5b
01413 Donja Stubica"
"Ivka Bunčić","Zelengaj 5c/6
35608 Pleternica"
"Slavica Polić","Klanac Grgura Tepečića 6a
27956 Varaždinske Toplice"
"Pavao Preočanin","Visoka 8b
89844 Sisak"
"Anđela Šibalić","Krvavi most 6a
69332 Stari Grad"
"Roko Barešić","Mala 2b/1
63495 Mursko Središće"
"Ružica Macan","Zeleni dol 9a/4
12341 Drniš"
"Nina Glavor","Kamenjak 1a/1
27500 Kraljevica"
"Nika Mardešić","Jezuitski trg 5a/8
70211 Novi Vinodolski"
"Julijana Grubišić","Dvoranski prečac 96
44818 Dugo Selo"
"Lara Totić","Mašekova 97
57605 Vukovar"
"Jozo Markovac","Višnjičke 9a/6
61815 Velika Gorica"
"Patrik Pleše","Jurjevska 06
59836 Hvar"
"Josipa Didović","Jurkovićeva 31
90639 Cres"
"Anđela Škoda","Mala 3c/6
90882 Duga Resa"
"Niko Lojen","Rikardove 1b/7
80993 Duga Resa"
"Slavko Jureško","Cmrok 6c/2
64320 Slatina"
"Marko Balatinac","Zelengaj 9c/7
04400 Varaždinske Toplice"
"Goran Jakopec","Horvatovac 8b
05083 Pakrac"
"Niko Debelić","Draškovićeva 7
66869 Kraljevica"
"Lucija Perić","Ksaverska 536
21253 Donja Stubica"
"Željka Šargač","Rokov perivoj 9c
29022 Opatija"
"Erik Ljubić","Klanac Grgura Tepečića 180
03887 Lipik"
"Marijana Strinavić","Jabukovac 725
62053 Novi Vinodolski"
"Bara Grgić","Šestinski vrh 8
21381 Opatija"
"Slavica Borošak","Gupčeva zvijezda 5b/6
00663 Osijek"
"Ivana Bolčević","Bijenička 8b
23917 Poreč"
"Albina Hadrović","Dubravkin 7c/4
55271 Makarska"
"Julijana Kereković","Jagodnjak 5b/0
98926 Hvar"
"Toni Lorencin","Zeleni dol 0
50404 Zlatar"
"Juraj Bičanić","Zavojna 65
18389 Ivanić-Grad"
"Veronika Andrijević","Rikardove 5b
53238 Ilok"
"Josipa Jugovac","Zamenhofove 2
11207 Nin"
"Ankica Božiković","Istarska 0c/1
90173 Kastav"
"Bara Lorencin","Zeleni dol 34
01453 Kutjevo"
"Snježana Ivančan","Gračanska 6a/9
07304 Nin"
"Jele Božiković","Nemetova 9b
89789 Slavonski Brod"
"Fuma Turudić","Vitezovićeva 0
14001 Ogulin"
"Lidija Labaš","Kamenjak 53
93984 Omiš"
"Andrea Stančin","Male 9c
93216 Vinkovci"
"Ivanka Špika","Ksaver 9b/4
43264 Samobor"
"Mladen Raspor","Grič 6c
33609 Beli Manastir"
"Maja Rukavina","Gradec 742
38083 Novi Marof"
"Bruno Prskalo","Krvavi most 6b
25738 Opatija"
"Bara Oršulić","Ksaver 4b/3
24751 Delnice"
"Dino Jagečić","Vitezovićeva 5c/8
07483 Knin"
"Mihael Sedlar","Kraljevec II. 9a/0
23437 Novi Vinodolski"
"Ivka Petrović","Davor 5c/5
93000 Novi Vinodolski"
"Matija Halambek","Strossmayerovo šetalište 0c
27984 Sveta Nedelja"
"Josipa Škunca","Dolac 5a/5
22810 Senj"
"Jelena Rubinić","Šilobodov put 56
78984 Slatina"
"Fran Komljenović","Male 9c
41950 Požega"
"Dario Crevar","Cmrok 7
32955 Split"
"Ankica Kauzlarić","Lisinskoga 9b
86270 Ploče"
"Bara Prtenjača","Goljačke 0a
36225 Duga Resa"
"Ivan Peruško","Goljak 6b
71096 Zaprešić"
"Zlatko Dujmović","Golubovac 65
82007 Kutjevo"
"Zora Čagalj","Horvatovac 5c
89495 Otočac"
"Kate Piljek","Kaptol 8a
12061 Hrvatska Kostajnica"
"Danijel Jagarinec","Grič 437
85147 Belišće"
"Anita Škara","Dverce 84
08489 Popovača"
"Jozo Mičetić","Zavojna 0c/4
53722 Ploče"
"Elvis Bučanac","Davor 71
71482 Vrbovec"
"Marina Balinčić","Radnički dol 7
88145 Zaprešić"
"Bara Raguž","Višnjica 595
24711 Kastav"
"Martin Aničić","Arnoldova 759
89483 Vrbovec"
"Lovro Gregov","Palmotićeva 9a/2
72279 Trilj"
"Laura Katić","Istarska 3a/0
38983 Novi Vinodolski"
"Gordana Vojković","Mlinarska 2
58186 Hrvatska Kostajnica"
"Zoran Jakopović","Šumski prečac 859
45420 Ivanec"
"Mira Batrnek","Rokova 1a/8
32848 Otok"
"Anto Botica","Harmica 203
87187 Rijeka"
"Božo Kovačić","Krležin gvozd 822
32753 Vis"
"Ante Paradi","Paunovac 1c
05584 Umag"
"Bara Viljevac","Gračanska 54
47300 Labin"
"Nikola Mužić","Golubovac 1a
79344 Ilok"
"Matija Baljak","Ksaver 373
09659 Bakar"
"Vladimir Merkaš","Gradec 82
99531 Imotski"
"Marin Bučanac","Opatička 6a/2
95478 Omiš"
"Milka Legović","Jurišićeva 0c
43924 Vukovar"
"Nikola Medić","Mlinske 83
08519 Virovitica"
"Antun Ergotić","Novi Goljak 36
81602 Sisak"
"Slavica Batrac","Kaptol 74
70689 Ogulin"
"Davor Martinić","Lobmayerove 7b/2
34952 Trogir"
"Barbara Bičanić","Kaptol 3c
12009 Požega"
"Zoran Kostelac","Bosanska 0
46317 Nin"
"Matija Radović","Kamenita 1a/4
00091 Dubrovnik"
"Matej Horvatek","Mihaljevac 7b
85587 Ozalj"
"Mihael Miletić","Tuškanac 660
65180 Pula"
"Štefica Birtić","Ribnjak 75
56390 Koprivnica"
"Jana Stojanov","Krvavi most 1c
64451 Varaždinske Toplice"
"Lidija Derežić","Višnjičke 2c/0
67343 Hvar"
"Ivanka Barušić","Golubovac 1a/0
30042 Cres"
"Darko Mudri","Kamaufova 9c/6
20964 Solin"
"Barbara Božanić","Kaptol 6b/2
24228 Poreč"
"Romano Karmelić","Ljubinkovac 57
23145 Sveti Ivan Zelina"
"Danijel Markanjević","Lisinskoga 541
51923 Cres"
"Sara Žeželić","Mesnička 150
24379 Ivanec"
"Rozalija Šargač","Mihaljevac 3
63798 Križevci"
"Nada Mustač","Kurelčeva 951
08109 Vrbovec"
"Božo Dvojak","Jabukovac 1b
43185 Prelog"
"Karla Veić","Hercegovačka 3a/0
75069 Cres"
"Matej Bogović","Jabukovac 3c
76796 Novalja"
"Ilija Licul","Mala 0b/3
32576 Zadar"
"Barbara Duvančić","Mala 532
11652 Čabar"
"Robert Dukić","Goljak 66
49640 Varaždin"
"Danica Pikec","Nova Ves 6a/8
73674 Zlatar"
"David Hanžek","Nemetova 4
21637 Vrgorac"
"Danijela Kos","Klesarski put 833
57382 Nova Gradiška"
"Božena Nižetić","Zavojna 4b/2
77519 Senj"
"Goran Bosilj","Mlinske 7b
28995 Cres"
"Stjepan Matijević","Golubovac 5a
67013 Koprivnica"
"Kristina Mikić","Vlaška 2b/5
08010 Supetar"
"Franjo Buljan","Gračanska 6a/3
74876 Benkovac"
"Barbara Hren","Novi Goljak 4c
65338 Lepoglava"
"Dejan Špralja","Jurišićeva 7c
43249 Bjelovar"
"Domagoj Blagaić","Donje Prekrižje 2a/7
00843 Slatina"
"Maria Balinčić","Bijenička 5c/9
59929 Čakovec"
"Mirjana Barković","Bosanska 0c/8
16931 Rab"
"Branka Kovačić","Skalinska 5c
16943 Varaždinske Toplice"
"Darko Burić","Golubovac 5c
43589 Delnice"
"Fran Stošić","Mihaljevac 1c/5
78848 Trilj"
"Ivana Hrvojić","Dverce 696
49660 Pula"
"Joso Mimica","Mirogojska 8
87342 Pula"
"Barbara Kaniški","Rikardove 5c
95556 Duga Resa"
"Stjepan Zeba","Nemetova 6a
23018 Rab"
"Milica Nakić","Rikardove 6b/4
22854 Krapina"
"Lidija Ilić","Podgaj 2b/7
26982 Koprivnica"
"Erik Špoljarić","Splavnica 0
12345 Split"
"Antonija Akmačić","Dverce 5
13844 Daruvar"
"Mile Pajur","Istarska 9b
96530 Vinkovci"
"Mirko Ergotić","Golubovac 43
34227 Vinkovci"
"Lovre Rukavina","Arnoldova 5b/8
07345 Valpovo"
"Maria Hadrović","Bijenička 456
56397 Skradin"
"Barbara Kereković","Kurelčeva 85
49095 Obrovac"
"Dora Jugovac","Radnički dol 0a/3
26569 Donja Stubica"
"Filip Ribić","Harmica 59
41990 Požega"
"Draga Ignac","Pantovčak 8c
14410 Krapina"
"Karlo Lukić","Pod zidom 1c
18861 Kastav"
"Franciska Jurić","Gradec 4c/5
36927 Vodice"
"Stana Ljubičić","Mesnička 4b/1
65850 Kastav"
"Rozalija Šoštarić","Slavujevac 7b
82476 Križevci"
"Šime Blažević","Šestinski vrh 2b
40463 Biograd na Moru"
"Đurđica Hren","Perivoj srpanjskih žrtava 1c/2
10179 Petrinja"
"Barbara Kovačić","Mašekova 054
07304 Požega"
"Ruža Simić","Harmica 9b/8
40775 Krk"
"Ružica Jović","Medveščak 4a
32853 Pula"
"Zdravko Hodak","Lobmayerove 9a
58970 Koprivnica"
"Ivka Bernardić","Nemetova 62
74757 Jastrebarsko"
"Vera Brandić","Kraljevec 2c
23281 Gospić"
"David Lojen","Ksaverska 504
34343 Stari Grad"
"Niko Roso","Klesarski put 2
23769 Ivanić-Grad"
"Ema Šimić","Bosanska 94
13653 Knin"
"Dušan Priselac","Mesnička 4c/8
67701 Pleternica"
"Barbara Lazar","Dubravkin 5b/9
68542 Zadar"
"Dora Čiš","Gračanska 4a
44291 Orahovica"
"Lana Dautović","Zavojna 1
01609 Supetar"
"Ivka Šverko","Arnoldova 7
81144 Trogir"
"Duje Skupnjak","Palmotićeva 2b/2
13082 Bjelovar"
"Nika Borojević","Zamenhofove 78
28663 Krk"
"Marko Bazjak","Kamenjak 9a/0
96949 Krapina"
"Katarina Paparić","Gupčeva zvijezda 3c
80096 Vrlika"
"Maja Barišić","Mirogojska 4
99134 Mursko Središće"
"Jadranka Bernardić","Istarska 8b
07967 Pakrac"
"Barbara Mudri","Ilica 5
79349 Valpovo"
"Antonija Radin","Jabukovac 87
81628 Bjelovar"
"Ankica Ljubić","Perivoj biskupa Stjepana II. 4b
61818 Slavonski Brod"
"Zoran Dvojak","Vijenac 32
38049 Đakovo"
"Ivica Mamula","Draškovićeva 20
38433 Križevci"
"Anita Pamić","Gornje Prekrižje 8b
23193 Mursko Središće"
"Luka Godinić","Mlinovi 5c
46140 Otok"
"Kata Jonjić","Jurišićeva 783
65069 Pakrac"
"Branko Šitum","Davor 6c
40939 Novska"
"Draga Mišak","Šalata 5
35314 Čazma"
"Barica Amidžić","Vijenac 2c/5
16001 Vodnjan"
"Marijan Bučar","Srebrnjak 5
45055 Senj"
"Kristijan Štefanec","Vinogradska 7b/5
60231 Knin"
"Biserka Kunac","Bakačeva 6a
15094 Vis"
"Sara Cukon","Kozarčev vijenac 978
53402 Solin"
"Kristina Martinić","Harmica 3a
04189 Vrgorac"
"Mihael Martinčević","Palmotićeva 2b/2
42244 Supetar"
"Janko Milas","Jadranska 95
55378 Senj"
"Zora Mudri","Klesarski put 5
21499 Đurđevac"
"Marina Cvitan","Bučarova 1b
90571 Križevci"
"Barica Baničević","Mala 8a/8
20112 Kutjevo"
"Janko Lukšić","Male 0b/2
81475 Novalja"
"Mislav Markanjević","Male 21
69071 Kastav"
"Zoran Šverko","Rockefellerova 1b/3
76356 Ivanec"
"Ema Gudelj","Medveščak 364
54526 Virovitica"
"Darko Jovanovac","Gračanska 367
98648 Zlatar"
"Ivan Jurić","Zelengaj 135
41420 Zabok"
"Matea Cvitan","Vrazovo šetalište 2a
39427 Varaždinske Toplice"
"Božo Surać","Opatovina 22
80150 Varaždin"
"Mia Seničić","Horvatovac 0c/7
33989 Našice"
"Barica Bačić","Šalata 60
88650 Klanjec"
"Lorena Radelić","Gornje Prekrižje 112
24435 Jastrebarsko"
"Kristijan Žabjačan","Jurišićeva 2a/2
22975 Skradin"
"Mihael Radošević","Podgaj 1b/2
44409 Otočac"
"Martina Kalanjoš","Tuškanac 2b
91389 Kastav"
"Miroslav Peterlik","Male 1c/5
59355 Pula"
"Pavao Kligl","Ribnjak 7a
64885 Slatina"
"Bruno Maraš","Svibovac 5c
84396 Grubišno Polje"
"Marko Odobašić","Mletačka 9
90582 Vrbovec"
"Jana Halapir","Krležin gvozd 5b/7
87233 Kutjevo"
"Barica Bićanić","Goljak 533
77062 Novska"
"Ika Kunac","Dolac 53
44740 Ploče"
"Renata Hadžić","Šestinski vijenac 0a
31629 Otočac"
"Ružica Mužić","Kraljevečki odvojak 1c
31686 Samobor"
"Jure Lešić","Klesarski put 05
54309 Petrinja"
"Gordana Rubeša","Zeleni dol 488
41621 Beli Manastir"
"Slavko Sabljak","Vlaška 1c/0
99568 Vrlika"
"Viktor Ribić","Ilica 7b/9
30227 Stari Grad"
"Vjekoslav Gržetić","Svibovac 6a
25975 Novi Vinodolski"
"Jozo Filar","Orlovac 278
42503 Pregrada"
"Barica Botica","Goljak 1b/1
66757 Umag"
"Ivka Pavelić","Wickerhauserova 8b
73057 Cres"
"Danijel Mikić","Jurjeve 7a
39301 Kutjevo"
"Anđa Lukinić","Rockefellerova 1b/4
58295 Slatina"
"Ema Beletić","Rokova 0
21350 Hvar"
"Ivo Krajcar","Nemetova 0a
22711 Velika Gorica"
"Nevenka Blažek","Jagodnjak 6a/0
98680 Pleternica"
"Tatjana Norac","Klanac Grgura Tepečića 5b
81401 Gospić"
"Kristijan Eršek","Splavnica 4c/7
05497 Kaštela"
"Gordana Buršić","Ksaverska 658
31746 Valpovo"
"Barica Hadrović","Ksaverska 8a
15341 Vrgorac"
"Mateja Mišak","Glogovac 2c/9
51175 Sveti Ivan Zelina"
"Ivan Vučković","Rokova 2a/9
60855 Kastav"
"Bruno Babić","Svibovac 5c
84815 Hvar"
"Mladen Gržinčić","Kamenjak 2c
65370 Novalja"
"Miroslav Krajcar","Remetska 2b/2
62368 Ploče"
"Hana Pavin","Goljak 2a
60529 Imotski"
"Suzana Pavić","Gračanska 987
08857 Zaprešić"
"Milena Radović","Jabukovac 57
09445 Slunj"
"Joško Horvatinec","Mašekova 1b
04185 Rovinj"
"Barica Herout","Vijenac 5c/8
33191 Garešnica"
"Jasminka Šalić","Novi Goljak 9a
63501 Šibenik"
"Mislav Ugrinić","Mirogojska 0c
78732 Kaštela"
"Anđela Kokanović","Gradec 9c
21891 Čazma"
"Hrvoje Filar","Goljak 036
33104 Sveta Nedelja"
"Branka Matokanović","Zelenjak 8a/0
13991 Umag"
"Katarina Milotić","Kamenjak 4a/6
81849 Poreč"
"Mato Čagalj","Dvoranski prečac 774
81391 Komiža"
"Goran Štefanec","Kraljevečki ogranak 6c
22864 Varaždin"
"Lorena Kovačić","Rikardove 0a
74046 Lipik"
"Barica Hodak","Dverce 3a/9
54822 Solin"
"Hana Radin","Perivoj biskupa Stjepana II. 3b
64993 Imotski"
"Josipa Buljan","Perivoj srpanjskih žrtava 749
75991 Knin"
"Dino Pokas","Dubravkin 4
38684 Labin"
"Marin Hrženjak","Bakačeva 7c
35342 Našice"
"Slavica Trutanić","Javorovac 1b
51620 Otočac"
"Matej Bernardić","Jurišićeva 4c
96530 Biograd na Moru"
"Ivo Vela","Zelengaj 1c/5
96823 Knin"
"Jadranka Drakulić","Goljak 0b
94506 Vis"
"Tomislav Špralja","Šalata 3a
81501 Metković"
"Barica Ilinović","Zamenhofove 9b
75172 Makarska"
"Dejan Oršulić","Kamaufova 0b/9
12365 Valpovo"
"Andrea Crnković","Šestinski vijenac 5a
75897 Prelog"
"Franjo Petričević","Jurkovićeva 9a
70932 Zaprešić"
"Jadranka Pokas","Pod zidom 4c
41922 Đurđevac"
"Dragutin Sladonja","Visoka 1
42462 Sveta Nedelja"
"Danica Zeba","Visoka 11
32690 Rovinj"
"Mateja Knežević","Zamenhofova 4
01121 Čazma"
"Juraj Gržetić","Svibovac 575
72985 Pag"
"Toni Roce","Perivoj srpanjskih žrtava 6b
76379 Dubrovnik"
"Barica Jakopović","Vlaška 1
60360 Umag"
"Rozalija Hrabar","Slavujevac 2c/1
99596 Pag"
"Petra Šibalić","Dolac 9b
29680 Imotski"
"Anita Zakinja","Voćarsko naselje 7
49345 Trilj"
"Andrea Štefović","Grič 9c
89777 Đakovo"
"Lovro Miše","Kamenjak 2b/2
42790 Korčula"
"Marta Kuzmić","Rokova 719
41649 Solin"
"Danica Pavković","Splavnica 9a/9
06385 Petrinja"
"Eva Kučić","Ksaverska 6a/5
53825 Garešnica"
"Mateja Gudelj","Perivoj srpanjskih žrtava 2a
83281 Križevci"
"Barica Klanac","Jabukovac 8b/8
65435 Križevci"
"Nada Filar","Rokova 320
00793 Rijeka"
"Zdravko Žužić","Opatovina 9b
65686 Ivanec"
"Tomislav Bičak","Visoka 174
03414 Kutina"
"Vesna Ćurić","Slavujevac 8c/8
12565 Oroslavje"
"Anto Dobrić","Svibovac 2a/0
04340 Skradin"
"Dalibor Šverko","Vrazovo šetalište 12
06683 Senj"
"Željka Belošević","Kaptol 5
21439 Orahovica"
"Jele Šestak","Goljačke 0
73396 Ploče"
"Stana Borojević","Kapucinske 2a
38762 Popovača"
"Barica Madunić","Glogovac 993
43704 Daruvar"
"Lea Bosilj","Medveščak 2a/6
92149 Zadar"
"Sara Erceg","Ružičnjak 8b
78084 Valpovo"
"Anton Golubić","Mlinske 9b
95890 Nin"
"Danijel Hrabar","Arnoldova 5c/6
78899 Drniš"
"Toni Ritoša","Goljačke 6a/8
71240 Petrinja"
"Biserka Barišić","Kožarska 8a/0
21317 Orahovica"
"Vladimir Kovačević","Vrazovo šetalište 9c/4
38730 Vukovar"
"David Dvojak","Vončinina 3c
08391 Umag"
"Mate Jukić","Cmrok 0a/4
84620 Hrvatska Kostajnica"
"Barica Maršić","Petrova 6a/4
04926 Otočac"
"Ivka Gotić","Male 1
79032 Rovinj"
"Nikola Tepeš","Šumski prečac 0b/2
99031 Imotski"
"Dora Nakić","Ljubinkovac 32
83882 Glina"
"Mateo Kevo","Kraljevečki odvojak 1a
20708 Obrovac"
"Erik Krželj","Gradec 4c/7
55089 Komiža"
"Zdravko Grgurić","Jurjeve 94
47248 Rab"
"Bara Kadija","Bosanska 4a
63615 Buje"
"Jozo Šestak","Šestinski vijenac 0b/8
78552 Vrgorac"
"David Hrabar","Klanac Grgura Tepečića 3
14661 Rovinj"
"Barica Matokanović","Goljačke 099
19226 Omiš"
"Kristijan Derežić","Medvedgradska 3
03407 Komiža"
"Nikolina Begonja","Vončinina 2c/1
55434 Biograd na Moru"
"Hrvoje Brlek","Višnjica 8a/4
91433 Osijek"
"Katarina Živković","Mlinske 02
44455 Duga Resa"
"Andrija Štimac","Zelenjak 75
53684 Beli Manastir"
"Petra Buljan","Vrazovo šetalište 36
64133 Kutjevo"
"Mate Sedlar","Rokova 4b
50549 Čakovec"
"Nevenka Lovrić","Mesnička 34
18767 Varaždin"
"Dragutin Zebec","Mirogojska 809
15598 Pazin"
"Barica Varga","Tkalčićeva 2a/2
88455 Pag"
"Duje Lakošeljac","Goljačke 9a/2
53629 Imotski"
"Valter Kovaček","Horvatovac 3a/3
19484 Rab"
"Vesna Kos","Kraljevec 5c
04629 Senj"
"Damir Peruško","Cmrok 4b/7
36939 Korčula"
"Bara Bačak","Rockefellerova 2a/2
85816 Ivanec"
"Ivo Medić","Arnoldova 9a/9
67858 Biograd na Moru"
"Damir Pavelić","Pod zidom 3a/3
51832 Vrgorac"
"Franciska Božanić","Male 6c/9
31308 Petrinja"
"Mara Stošić","Mesnička 08
44721 Pregrada"
"Barica Zanoški","Paunovac 0b/1
98081 Ploče"
"Siniša Miklečić","Jagodnjak 8c/1
27850 Šibenik"
"Viktor Malnar","Vlaška 474
83798 Sveta Nedelja"
"Petra Klanac","Petrova 592
36510 Nova Gradiška"
"Željko Kuzmić","Vitezovićeva 1b
80572 Čazma"
"Ruža Medač","Novi Goljak 4a/4
29677 Duga Resa"
"Matija Kralj","Svibovac 8
02938 Biograd na Moru"
"Lucija Markovac","Jagodnjak 8
48505 Krk"
"Kristina Lakošeljac","Opatovina 8a/4
20025 Trogir"
"Hrvoje Ričko","Skalinska 3c/3
76682 Solin"
"Barica Šimunić","Višnjičke 41
04827 Lipik"
"Stana Tudor","Dverce 997
00494 Oroslavje"
"Leon Bučar","Višnjičke 223
75769 Šibenik"
"Sara Miličić","Čačkovićeva 3b/5
56389 Kraljevica"
"Elvis Horvatek","Horvatovac 7a
08108 Sveti Ivan Zelina"
"Ivana Pavelić","Dubravkin 6c/6
92675 Rijeka"
"Draga Klanac","Šumski prečac 9b
98837 Varaždinske Toplice"
"Ljubica Bogović","Zmajevac 8
70023 Bjelovar"
"Igor Kuzmić","Gračanska 9b
99466 Zlatar"
"Željka Jovanovac","Vinogradska 9b/1
61236 Dugo Selo"
"Biljana Franičević","Zvonarnička 50
01718 Garešnica"
"Domagoj Halambek","Bijenička 9c/8
13262 Mali Lošinj"
"Bruno Zebec","Dverce 0a/2
31554 Sveta Nedelja"
"Željka Prpić","Male 69
19181 Ilok"
"Kristina Ćorić","Paunovac 2b
36124 Makarska"
"Danijela Lešić","Golubovac 5b/1
05470 Krapina"
"Ivan Husnjak","Opatička 802
58968 Ivanec"
"Elizabeta Pribanić","Klenovac 6c/4
58749 Skradin"
"Branko Matulin","Šilobodov put 6a
41514 Varaždinske Toplice"
"Tea Sakač","Mala 5
69442 Ivanec"
"Biljana Jakupić","Rokova 12
23841 Labin"
"Dominik Križan","Mesnička 90
32121 Imotski"
"Dominik Bingula","Ksaverska 1b/3
61095 Zadar"
"Petar Godinić","Ilica 1
13345 Đurđevac"
"Roko Štimac","Skalinska 5c/2
85825 Mali Lošinj"
"Đurđica Zakinja","Zelenjak 4b
79082 Zadar"
"Zoran Vuk","Kraljevečki ogranak 104
36165 Sinj"
"Lovro Puljiz","Jurjevska 2a
29048 Glina"
"Erik Kuveždić","Šumski prečac 065
81285 Zaprešić"
"Mate Mikić","Bučarova 1c
64992 Lipik"
"Biljana Koški","Kurelčeva 6b/8
51469 Petrinja"
"Danica Štrljić","Tkalčićeva 6a/3
53457 Požega"
"Manda Jakopović","Kožarska 9a
28756 Solin"
"Milena Dautović","Jurišićeva 5c
54497 Bjelovar"
"Elizabeta Butković","Jezuitski trg 711
09810 Kastav"
"Ivica Mikulčić","Bijenička 8c
78448 Rab"
"Lorena Andrijašević","Opatička 6a/1
90422 Čazma"
"Mijo Stančin","Vitezovićeva 0c
20622 Čakovec"
"Antun Božiković","Zamenhofova 6c
13111 Klanjec"
"Laura Grgurić","Ribnjak 1c/0
71712 Orahovica"
"Biljana Marić","Slavujevac 09
94202 Daruvar"
"Joso Borak","Ružičnjak 1a/9
83102 Crikvenica"
"Darko Kos","Jezuitski trg 3c/3
43587 Zabok"
"Božena Sedlar","Jagodnjak 37
65793 Bakar"
"Danijela Matovina","Krležin gvozd 8c
70794 Opuzen"
"Dragica Gudelj","Donje Prekrižje 4c
28525 Ivanić-Grad"
"Đuro Pokas","Kamaufova 2b
08979 Skradin"
"Ante Božičević","Zvonarnička 2c
82036 Našice"
"Janja Ivanović","Grič 1c/9
52925 Sinj"
"Jasminka Vukman","Vlaška 9a/6
43475 Kraljevica"
"Biljana Mirt","Kozarčev vijenac 4c
75253 Rab"
"Nenad Karlović","Krležin gvozd 3b/1
99874 Ivanec"
"Alen Turudić","Petrova 46
13593 Hrvatska Kostajnica"
"Jelena Antić","Voćarska 9b
92926 Osijek"
"Elizabeta Maloča","Jagodnjak 4a/0
03835 Vrgorac"
"Jelena Kuzmić","Orlovac 1a/3
26361 Pag"
"Valentina Nedić","Mašekova 2b/9
88897 Dugo Selo"
"Pero Puljiz","Zeleni dol 3
67203 Varaždin"
