"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Monique Maire"|"avenue Denise Monnet 647
6138 Berberat"
"Catherine Cosandey-Monnet"|"avenue Nelly Broquet 44
6458 San Grojean"
"Lucie Alber"|"boulevard de Privet
6719 Rapraz-Dessus"
"Guillaume Monnet"|"chemin Brandt 9
3748 Sainte Cattin"
"Eric Masseron"|"chemin Elisabeth Crevoisier 7
6467 Georges-près-Marti"
"Robert Rapraz-Blanc"|"chemin de Alber 96
3865 Babey-près-Cattin"
"Liliane Rappaz"|"avenue Marti
7514 Comman"
"Arthur Müller-Bouvier"|"avenue Brahier 32
7947 Cretton"
"Jacques Comman"|"avenue de Mottet 7
3052 Rapraz"
"Odette Comman"|"avenue Masseron
9192 Conrad-près-Beguin"
"Arthur Duroux-Besançon"|"avenue Tinguely 57
9544 Chatriand"
"Catherine Cosendey"|"rue de Peitrequin 65
2251 OberChenaux"
"Eva Bahon"|"boulevard Morand 59
2689 Chaudet-les-Bains"
"Lisa Bonvin"|"rue de Sandoz 9
1902 Boichat am Albis"
"Olivier Chatriand"|"avenue Hugo Rapraz 8
7663 Morand am Rhein"
"Nicole Monney"|"rue Nicole Nüsslin 65
6490 Aebi"
"Anne Musy"|"chemin Robert Corpataux 52
9789 Beuret (NW)"
"Robert Badel"|"avenue Albert Corboz
9133 Rey an der Aare"
"Liliane Beguin"|"avenue de Deladoëy 7
1659 Muriset-près-Deladoëy"
"Claude Pachoud"|"chemin Manuel Bourquard 2
4902 Cossy"
"Emilie Chenaux"|"boulevard Samuel Monnard 7
5622 Polla"
"Catherine Courvoisier"|"chemin de Wicht 19
4879 Chenaux-Dessus"
"Yvonne Rey"|"avenue de Rosselat 39
4943 Cousin-près-Cretton"
"Corinne Rossellat"|"rue Menthonnex 4
9109 Saint Blanc"
"Mathilde Uldry"|"rue de Monnard
7621 Pasquier-la-Ville"
"Valérie Vonlanthen"|"boulevard de Fonjallaz
5733 Aeby"
"Corinne Pasquier"|"rue de Francillon 22
6768 Bochud am Rhein"
"Ethan Monney"|"rue de Masseron 35
8953 Comment (GL)"
"Loïc Privet"|"boulevard de Cossy 81
9932 OberGalland"
"Germaine Pellet"|"avenue Cattin 10
7547 Vienne-Dessus"
"Théo Jacot-Descombes"|"boulevard Privet 1
1776 Blanc am See"
"Catherine Cousin"|"avenue de Candaux 56
2308 Paschoud"
"Christiane Maire"|"rue de Besençon 52
5567 Godet"
"Camille Monnard"|"avenue Alber 4
6057 Comment (SZ)"
"Roger Romanens"|"chemin Duroux 762
7590 Beuchat"
"Roland Béguelin-Sansonnens"|"rue de Fonjallaz 786
3493 Morand-sur-Pellet"
"Catherine Beuchat"|"rue Monnet 59
2544 Meyer"
"Léa Quartier"|"boulevard de Nusslé 78
5286 Monnet (SH)"
"Stéphanie Gilliéron"|"rue Vonlanthen 25
6999 Besse-près-Müller"
"Denise Vallélian"|"avenue de Cretton 8
6899 Théraulaz an der Aare"
"Bruno Monnard"|"rue Nicolas Chevalley
4894 Musy-des-Bois"
"Catherine Gillièron"|"rue de Deshusses 20
4750 Romanens-la-Ville"
"Henri Rapin"|"rue de Bourquin 69
5424 Badel am Albis"
"Gérard Vuille"|"rue de Blanc
7430 Comman"
"Liliane Evéquoz"|"boulevard Lisa Menthonnex 97
1944 Fonjallaz-Dessus"
"Charlotte Chevalley-Quartier"|"avenue de Corboz 34
3428 Bovet"
"Gilbert Evéquoz"|"chemin Aurélie Gillièron 67
2206 Sainte Peitrequin"
"Daniel Chatriand"|"rue Bujard 77
1635 Grosjean-près-Deshusses"
"Françoise Curdy"|"chemin de Chevrolet 264
1074 Pachoud-sur-Masseron"
"Lucas Vonlanthen"|"boulevard de Meyer 21
3106 Bavaud-sur-Boillat"
"Nathan Botteron"|"chemin de Balmat 4
6762 Julliard"
"Catherine Joye"|"avenue Marianne Quartier 22
2388 Grand-les-Bains"
"Patrick Quartier"|"rue de Nüsslin
5038 Julliard"
"Gilbert Thorens-Bugnon"|"chemin Roland Treboux 78
1060 Martin"
"Alice Cattin"|"avenue Raymond Deshusses 88
8156 Diesbach am Albis"
"Michel Marty"|"rue Corbat 1
7229 Babey am See"
"Bernard Nusslé"|"avenue Cornuz
3665 Grand (SO)"
"Gabriel Dubey-Isella"|"rue Jean Morand 1
7782 Chevrolet-près-Romanens"
"Ethan Privet-Meyer"|"rue de Morard 641
5667 Monnet-près-Monnard"
"Nathalie Julliard"|"chemin Kevin Saudan 251
9853 San Julliard"
"Gérard Pasquier"|"rue de Pasquier
1878 Bernasconi-Dessous"
"Catherine Mayor"|"boulevard Müller 1
8742 Rosselet (GE)"
"Patricia Vonlanthen"|"boulevard Lisa Müller 57
5563 Monnet"
"Valérie Jacot-Guillarmod"|"boulevard Alicia Cornuz 37
5647 OberChapuis"
"Elisa Alber"|"boulevard Chatriand 3
8074 Georges-les-Bains"
"Georges Boechat"|"avenue de Gubéran 14
4760 Besençon"
"Vincent Grosjean"|"boulevard Laura Candaux
6457 Curdy am Albis"
"Roland Besse-Pellet"|"rue Morard
8162 Chopard-près-Thorens"
"Zoé Maire"|"rue Véronique Broquet
1874 Aeby-sur-Bonvin"
"Maxime Morard"|"chemin Olivier Crevoisier 9
5814 Aebi"
"Léa Délèze"|"avenue Anna Gillièron 53
9867 Vuille-près-Musy"
"Catherine Menthonnex"|"boulevard de Boechat 13
1395 Pachoud-sur-Polla"
"Roger Grosjean"|"avenue Véronique Pasquier 25
9992 Godet-Dessus"
"Elisabeth Meyer"|"rue Monnard 675
8125 Béguelin am Albis"
"Anna Matile"|"boulevard de Pasquier 54
9517 Vuille"
"Alice Boichat-Robadey"|"rue Sandra Cornuz 14
3316 Rappaz-les-Bains"
"Danielle Badel"|"rue Jonathan Droz 12
2479 Peitrequin-sur-Robert"
"Stéphanie Rappaz"|"rue Cattin 47
3449 Badel"
"David Mayor"|"chemin Bochud 55
6471 Comman an der Aare"
"Pierre Corboz"|"chemin de Cousin 3
4839 Saudan-sur-Brandt"
"Maurice Corpataux"|"rue Bujard 694
7673 Bochud"
"Catherine Monney"|"chemin Aurélie Monney
5419 Rosselat am Albis"
"Marcel Evéquoz"|"boulevard Gérard Boillat 6
3058 Isella am Albis"
"Laetitia Marty"|"rue Françoise Godet
8536 Chatriant"
"Christiane Chaudet"|"chemin Barman 8
5293 Tinguely-Dessus"
"Théo Peitrequin"|"rue de Galland
1729 Robert"
"Raymond Bahon-Carraux"|"rue Maria Mottiez 21
2585 Cornut"
"Philippe Chaudet"|"rue de Julliard 69
3770 Aebi-la-Ville"
"Roland Gilliéron"|"rue Evéquoz 15
9296 Cosandey an der Aare"
"Anne Crevoisier"|"rue Julie Mayor
6133 Candaux"
"Jeanne Comman"|"chemin Chatriand
9896 Mayor"
"Catherine Rey"|"avenue de Corpataux 75
1321 Marty an der Aare"
"Maurice Georges"|"chemin Denise Fonjallaz 95
9763 Chenaux-sur-de Dardel"
"Florian Crivelli-Rappaz"|"rue Treboux 4
9639 Boechat"
"Arthur Vallélian"|"chemin Nelly Brahier 68
6200 San Romanens"
"Mathieu Humbert"|"boulevard Dubey 41
2175 OberRey"
"Sarah Francillon"|"avenue Yvette Georges 601
7322 Robadey am Albis"
"Jacqueline Mercier"|"chemin Lara Deshusses 87
8085 Aeby"
"Eric Vuille"|"rue Nathalie Privet 45
5748 Deladoëy"
"Sophie Nüsslin-Mottiez"|"rue de Babey 58
2060 Bonvin-Dessus"
"Nathalie Curdy"|"boulevard Cornut 83
4472 Chenaux-près-Broquet"
"Chantal Beurret"|"boulevard Patrick Galland 1
4053 Musy (FR)"
"Sandra Deladoëy"|"rue Catherine Bavaud 487
1342 Bovet-sur-Monney"
"Luca Chevrolet"|"avenue Alice Treboux
6725 Evéquoz-sur-Cossy"
"Marcel Carron"|"rue Lara Cosendey 48
4945 Brandt-sur-Brandt"
"Françoise Carraud"|"boulevard Grosjean 2
6249 Vermeil"
"Léo Comte"|"avenue Caroline Musy 64
2859 Muriset-la-Ville"
"Gilbert Maire"|"rue Marianne Cosendey 52
2837 Sainte Beuret"
"Sylvie Candaux"|"rue Besançon 32
3896 OberBourquard"
"Raymond Badan"|"chemin Cornuz
8446 Brahier"
"Alexandre Beuret"|"boulevard Bernasconi 339
9228 Galland"
"Chantal Bochud"|"boulevard Bavaud 18
6893 Georges"
"Marcel Nüsslin"|"chemin Aurélie Balmat 43
5287 Beuret"
"Alain Morard"|"avenue de Carraux 634
6670 Cosandey-les-Bains"
"Bernard Bavaud"|"rue de Privet 20
6225 Pasquier"
"Marcelle Boichat"|"rue Julie Chatriant 81
9522 Musy-sur-Dubey"
"Kevin Paccot-Bochud"|"avenue Gilbert Piccand 9
4293 Broquet-près-Vienne"
"Sara Pachoud-Rappaz"|"chemin de Corboz
3862 Paschoud am See"
"Nolan Cosandey"|"rue de Corpataux 445
7821 Rey"
"Alain Mayor"|"rue Musy 919
2931 Barillon"
"Liliane Brahier-Tinguely"|"boulevard de Cattin 28
6549 Godet am Albis"
"Chantal Boichat"|"chemin de Romanens 50
2786 Jacot-Descombes (BE)"
"Charles Delèze"|"chemin Marie Isella 93
5083 Cosendey"
"Louis Morand"|"rue de Bahon
2543 Chatriand-les-Bains"
"Léo Carron"|"rue de Dubey 594
6813 OberCornuz"
"Denise Bujard"|"chemin de Jacot-Guillarmod 7
3057 Boechat"
"Mélanie Boechat-Brandt"|"rue de Monnet 9
4656 UnterBeurret"
"Odette Bujard"|"boulevard Antonio Botteron 60
6757 Nusslé"
"Hugo Barillon"|"chemin Liliane Corpataux 541
6727 Béguelin-sur-Marti"
"Anne Beuret"|"rue de Brandt 10
5221 Monnard an der Aare"
"Lisa Menthonnex-Duroux"|"rue Mayor 4
5343 Monney"
"Chantal Boillat"|"chemin Michel Vallélian 32
5520 Coigny"
"Marie Nüsslin-Badan"|"avenue Antonio Francillon 222
5050 Isella-près-Carraud"
"Nathan Comte"|"avenue Barillon 89
9457 Sansonnens am Rhein"
"Charles Barbey"|"boulevard Hugo Chevrolet 150
6045 Comte"
"Suzanne Crevoisier"|"avenue de Francillon 11
6415 Vermeil"
"Patrick Monnet"|"rue de Saudan 41
9640 OberMontandon"
"Albert Gillièron"|"boulevard Musy 80
9486 Barbey am Albis"
"Laurence Vermeil"|"chemin André Carraux 14
3398 Polla-Dessus"
"Maxime Morand-Jomini"|"rue Alexandre Monney 68
2271 Alber-Dessus"
"Céline Cossy"|"avenue Cosendey 787
6532 Aeby am Rhein"
"Chantal Bourquard-Robert"|"boulevard de Morand 18
2876 Cretton"
"Patricia Comment"|"chemin Madeleine Badan 523
9210 Comman am See"
"Françoise Rapraz"|"rue Brandt
1567 Aeby"
"Mathilde Coigny"|"chemin Thomas Carron 76
5266 Botteron"
"Guillaume Piccand"|"boulevard Ana Mercier
2876 Coigny"
"Zoé Comte"|"chemin de Babey 74
5689 Besençon"
"Camille Chappuis"|"rue de Cousin
9200 Cornut (SH)"
"Valérie Vienne"|"avenue Catherine Vallélian 6
5048 Charpié-sur-Chevalley"
"Luca Romanens"|"rue Montandon
1975 Cossy"
"Josiane Julliard"|"rue Rey 28
3574 Saudan"
"Chantal Bourquin"|"rue Godet 2
8733 Gubéran"
"Florian Babey"|"rue Maire 7
8840 Chevrolet-sur-Beguin"
"Mathieu Rossellat"|"boulevard Denise Curdy 221
2738 Rappaz-sur-Polla"
"Monique Vienne-Crevoisier"|"avenue Barman
5154 Corpataux"
"Christian Chatriant-de Dardel"|"rue Tinguely 41
9489 Bernasconi an der Aare"
"Albert Pachoud"|"rue de Bugnon 19
4051 Théraulaz"
"Nicolas Chappuis"|"rue de Jomini 57
6710 Montandon-la-Ville"
"Isabelle Sandoz"|"chemin de Pellet 22
8858 Coigny-la-Ville"
"Liliane Joye"|"rue Alice Marti 84
8593 Saudan"
"Manuel Besençon"|"rue Chopard 31
3044 Crivelli an der Aare"
"Chantal Candaux"|"avenue Alain Mercier 22
3363 Piccand"
"Alexandre Théraulaz"|"rue Jean Dubey 667
1739 San Meyer"
"Olivier Bovet"|"avenue Albert Treboux 81
1579 Paccot"
"Jessica Romanens"|"avenue de Chenaux 371
7801 Charpié am Rhein"
"Nicole Bonvin"|"chemin Blanc 42
9936 Rapin-près-Deladoëy"
"Alexandre Bochud"|"rue Bujard
3291 Treboux"
"Patricia Mayor"|"boulevard de Fonjallaz
9778 Courvoisier (ZG)"
"Luca Müller"|"chemin Aebi 78
4733 Bochud"
"Nathan Grojean"|"boulevard Kevin Romanens 9
3079 Vallélian"
"Elisa Galland"|"chemin Eric Comman 7
6683 OberMorand"
"Chantal Charpié-Broquet"|"avenue Claude Polla 90
7943 Cretton am Albis"
"Clara Müller"|"rue Simone Chatriant 335
5771 Barbey (BS)"
"Antonio Délèze"|"boulevard Catherine Mottet 762
4799 Montandon"
"Gilbert Duroux"|"rue Marguerite Vonlanthen 95
8273 Droz"
"Alicia Barbey"|"boulevard de Pasquier
1845 Martin-près-Beuchat"
"Matteo Uldry-Cosendey"|"avenue Coigny 97
3810 OberMenthonnex"
"Ana Diesbach"|"rue de Mottet 71
6752 Rossellat (TG)"
"Anne Delèze"|"rue Bruno Mottiez 185
8714 Comte"
"Nicole Candaux"|"rue de Vuille 18
3740 Chevrolet-près-Müller"
"Laurent Monney"|"rue Matile 384
8454 Cretton-près-Rosselat"
"Chantal Cornuz"|"chemin Bouvier 718
4580 Diesbach-Dessus"
"Robert Besançon"|"rue de Cosandey
9893 Deshusses-la-Ville"
"José Corboz"|"boulevard de Besençon 50
8815 Brandt an der Aare"
"Madeleine Rapin"|"chemin de Berberat 66
5377 Dubey"
"André Francillon-Boechat"|"boulevard Bernasconi
7747 Beuchat"
"Albert Marty"|"chemin Chenaux 28
6949 Romanens-sur-Rapin"
"Raymond Béguelin-Vonlanthen"|"boulevard Chloé Boillat 83
9750 Broquet"
"Maurice Pellet"|"boulevard Boillat 96
1109 Romanens"
"Elisa Thorens"|"rue Rey 999
1184 Privet"
"Aurélie Aebi"|"chemin de Montandon 54
3446 Duvanel-des-Bois"
"Chantal Cosandey"|"avenue Humbert 217
6553 Nüsslin-la-Ville"
"Théo Bouvier"|"rue de Beguin 33
6966 Curdy"
"Marguerite Julliard"|"rue Mélanie Beurret 59
5155 Sainte Vermeil"
"Marianne Cornut-Masseron"|"avenue Raymond Monnet 26
4562 Sainte Morard"
"Zoé Badel-Beuchat"|"rue Treboux 43
3382 Privet am Rhein"
"Mélanie Crivelli"|"boulevard Evéquoz 86
2979 Béguelin-près-Matile"
"Kevin Evéquoz"|"avenue de Robert 42
1318 OberBesançon"
"Alice Cattin"|"avenue de Bourquin 99
4333 Barillon (NW)"
"Claudine Duvanel"|"rue Christiane de Dardel 74
8857 Aebi-près-Boichat"
"Bernard Monnet-Peitrequin"|"avenue de Humbert 18
3724 Thorens-près-Montandon"
"Chantal Cretton"|"avenue Jacques Sandoz 545
2495 Müller"
"Hugo Martin"|"boulevard de Besançon 79
9600 OberRapin"
"Mathilde Wicht"|"rue Droz 219
7132 San Grand"
"Michel Besançon"|"chemin Fonjallaz 611
2219 Monney"
"Lara Chapuis"|"boulevard Antonio Boillat 7
9232 Monney"
"Pierre Privet"|"rue Polla 77
3853 Meyer-près-Cattin"
"Marianne Charpié"|"rue Chatriant 812
8845 Morard"
"Caroline Masseron"|"rue de Bonvin 25
2144 Bovet (VS)"
"Bernard Chopard"|"avenue Besençon 3
2882 Jomini (AG)"
"Manuel Comment"|"boulevard Nathalie Crevoisier 70
5269 Corpataux-sur-Dubey"
"Chantal Gillièron"|"rue de Duvanel 27
8904 Saint Bonvini"
"Thierry Godet"|"rue Peitrequin
8751 Cretton-sur-Robadey"
"Jessica Grand"|"avenue de Morard 37
1911 Jacot-Descombes-Dessus"
"Germaine Aeby-Wicht"|"avenue Saudan 13
1171 Bavaud"
"Nathalie Monnard"|"chemin Aebi 54
5026 Martin"
"Théo Mottiez"|"boulevard de Barman 194
4442 Rossellat"
"Lisa Alber"|"avenue Denise Julliard
9533 Pellet-sur-Bujard"
"Henri Crevoisier"|"rue Müller 66
4271 Monnet"
"Corinne Jomini"|"rue Yvonne Corbat 87
8090 Rossellat"
"Jean-Pierre Besse"|"boulevard Jeanne Godet 7
5913 San Chapuis"
"Chantal Humbert"|"avenue de Besançon 16
7123 Chappuis (SH)"
"Alain Wicht"|"rue de Bernasconi 99
7733 de Dardel-les-Bains"
"Laura Carraud"|"avenue Deshusses 74
7279 UnterMüller"
"Chloé Diesbach"|"rue de Chaudet 10
2696 Délèze am Albis"
"Sandrine Matile"|"rue de Bavaud 27
8520 Vonlanthen am See"
"Sébastien Charpié"|"avenue Elodie Nusslé 10
1982 Pachoud-sur-Carraux"
"Lucas Carron"|"chemin de Cossy
7932 Paccot"
"Catherine Cousin"|"rue Jean Carraux 48
6757 Badel am See"
"Matteo Corpataux"|"avenue Elodie Charpié 8
6020 Conrad"
"Daniel Bahon"|"boulevard Christian Monnet 95
7479 Carraux am Albis"
"Chantal Marti"|"rue Diesbach
1833 Chapuis (VS)"
"Laurence Comman"|"chemin Isabelle Besançon
6970 Rossellat (BE)"
"Sandra Rappaz"|"rue Joly
3563 Bonvini-Dessus"
"Vincent Joye"|"avenue Carraux 3
8075 Joly an der Aare"
"Anne Corbat"|"chemin de Bernasconi 9
9702 Niquille"
"Florian Brandt"|"rue de Rapraz 44
8424 Nüsslin"
"Camille Polla"|"rue Jean-Pierre Gilliéron 42
9105 Robert-la-Ville"
"Michel Besençon-Wicht"|"avenue Jacqueline Bernasconi 17
2821 Saint Müller"
"Claudine Quartier"|"boulevard Cornut 92
6783 Besançon-près-Brandt"
"Catherine Evéquoz"|"boulevard Rossellat 1
3265 Crivelli am Rhein"
"Chantal Pellet"|"chemin de Bovet 35
1284 Balmat-sur-Cretton"
"Charles Chopard"|"chemin André Mayor 10
8404 Rosselat am Rhein"
"Georgette Comman"|"avenue de Grosjean 88
5732 Grojean am See"
"Caroline Bugnon"|"chemin de Nüsslin
1997 Conrad-les-Bains"
"Jeanne Georges"|"chemin Bourquin 58
8123 Julliard-des-Bois"
"Patrick Besse"|"chemin Sandra Joye 48
2848 Saint Théraulaz"
"Eric Joly"|"chemin de Jacot-Descombes 307
6899 Meyer-la-Ville"
"Marcelle Bourquard-Bernasconi"|"rue Délèze
7016 Bourquin"
"Jacqueline Babey"|"rue Vallélian 48
3221 Blanc"
"Ana Privet"|"rue Badan 920
4999 San Vermeil"
"Chantal Privet"|"chemin Laurence Morand 81
9729 Candaux-près-Bonvini"
"Véronique Alber"|"rue Rappaz 82
9130 Deladoëy (ZG)"
"Yvonne Piccand"|"avenue de Marty 74
3297 Julliard-près-Chopard"
"Pierre Monnard-Cossy"|"chemin de Cattin
8210 Conrad am Rhein"
"Alice Müller"|"avenue Jomini 1
8156 Paccot-sur-Charpié"
"Nolan Matile-Beuret"|"boulevard de Bahon 89
9928 Musy"
"Luca Piccand"|"rue Georgette Georges
7092 Quartier"
"Samuel Nüsslin-Vuille"|"rue de Vallélian 54
2681 Menthonnex am Rhein"
"Claude Quartier"|"avenue de Conrad 199
8370 Cossy-sur-Corpataux"
"René Vallélian-Bovet"|"boulevard de Beguin 61
6336 Sainte Bernasconi"
"Chantal Privet"|"rue Anne Quartier 395
3492 Bourquin-sur-Georges"
"Liliane Privet"|"chemin Catherine Vermeil 9
8112 Sandoz-sur-Chappuis"
"Laurence Romanens"|"avenue Camille Muriset 1
8289 Bonvin-près-Isella"
"Christian Paccot"|"rue Stéphane Cossy 73
3278 Rosselat an der Aare"
"Gabriel Théraulaz"|"rue Monney 294
9605 Morard-Dessous"
"Sophie Corbat"|"rue Louis Menthonnex 15
3994 Muriset (AI)"
"Emilie Pasquier"|"avenue Badel 62
6338 Botteron (UR)"
"Sara Cretton"|"rue Patrick Duvanel 43
3684 Barillon (OW)"
"Aurélie Bourquard"|"boulevard de Bavaud 192
4667 Rossellat am Rhein"
"Alice Grand"|"rue Corbat 545
8397 Comment-Dessus"
"Chantal Robadey"|"rue Loïc Gillièron 29
7937 Curdy"
"Caroline Paccot"|"rue Georges Monnet
1567 Sandoz (SG)"
"Loïc Robert"|"boulevard Comman
4615 Chevalley"
"Zoé Bujard"|"boulevard Elisa Treboux 1
9771 Polla-les-Bains"
"Théo Montandon"|"rue Danielle Polla 28
7377 Mercier an der Aare"
"Madeleine Bavaud"|"rue de Boichat 98
5605 Jomini an der Aare"
"Sophie Montandon"|"avenue de Dardel
2575 Mottiez"
"Christophe Robert"|"boulevard Uldry 46
7436 Cosendey-près-Francillon"
"Jeanne Montandon"|"rue Monnet 17
8073 Bugnon-Dessus"
"Alice Bavaud-Romanens"|"rue de Rapraz 11
4853 Menthonnex"
"Chantal Vallélian"|"boulevard Marie Joly 56
5740 Paccot"
"Gilbert Paccot"|"boulevard Georgette Marti 655
1237 Grand-près-Vuille"
"José Rapraz-Broquet"|"avenue de Cornut
2694 Saint Dubey"
"Kevin Paccot-Paschoud"|"avenue Romanens 46
2190 Saint Corbat"
"Eric Bourquin"|"chemin Treboux 67
7028 Humbert-les-Bains"
"Samuel Barillon"|"boulevard de Paschoud 14
6588 Treboux-sur-Beguin"
"Germaine Mercier"|"avenue Besençon 398
8622 Grojean"
"Alicia Matile"|"rue de Menthonnex 3
5962 Privet-les-Bains"
"Elodie Chappuis"|"rue Christian Coigny 76
2692 Corboz"
"Bruno Balmat"|"boulevard Léo Chappuis 93
8202 OberRosselat"
"Charles Aebi"|"rue Humbert
8761 Sainte Boechat"
"Michel Robadey-Vallélian"|"boulevard de Romanens 49
8876 Blanc"
"Fabienne Chappuis"|"rue de Dubey 11
1140 Droz am See"
"Valérie Muriset"|"boulevard Brahier 72
9335 Gubéran-près-Quartier"
"Pascal Chenaux"|"rue de Mottet
1799 Bourquin (ZG)"
"Marcel Bahon"|"boulevard Stéphanie Carraud
6185 Monnard-sur-Barbey"
"Mathieu Béguelin"|"chemin de Barbey 19
4328 Chevrolet-la-Ville"
"Zoé Vienne-Rapraz"|"boulevard de Treboux 61
1070 Uldry an der Aare"
"Charlotte Chopard"|"avenue Lucie Gubéran
4776 Cattin (VS)"
"Stéphane Cosendey"|"avenue de Jomini
9276 Besençon-près-Pachoud"
"Charles Babey"|"boulevard de Monnet 492
4571 Carraud"
"Jacques Galland"|"boulevard de Corpataux
9045 Rosselat (SO)"
"Gabriel Julliard-Cousin"|"rue Isabelle Monnet 8
9247 Treboux"
"Antonio Dubey"|"rue de Robadey 79
2656 Joly (UR)"
"Sarah Joye"|"rue Céline Rapraz 24
1039 Jomini am Rhein"
"Patrick Chappuis"|"rue de Musy 5
1579 Gilliéron-sur-Chevrolet"
"Léa Musy"|"boulevard Albert Joye 42
2029 Beguin"
"Léa Bovet"|"rue Jacques Charpié 610
7049 Chaudet am Rhein"
"Vincent Humbert"|"boulevard Nathalie Grojean 62
6319 Délèze am See"
"Jean Monnard"|"chemin de Sandoz
3787 Bujard-près-Bourquin"
"Charles Badan"|"chemin de Chappuis 13
3803 Nüsslin-des-Bois"
"Nelly Joye"|"avenue Carron 53
8656 Badel"
"Lisa Bavaud-Nüsslin"|"rue de Rosselet 22
7620 Bahon-sur-Paschoud"
"Patrick Romanens-Godet"|"rue Délèze
5339 Galland-les-Bains"
"Maxime Chaudet"|"rue de Rapraz 8
4899 Beuchat (VD)"
"Gabriel Besançon"|"avenue Charles Quartier 6
1688 Boichat-des-Bois"
"Elisa Duvanel"|"chemin Gilliéron
2573 Monnet am See"
"Marcel Monney"|"avenue Bourquin 35
8857 Chenaux-Dessous"
"Albert Carraud"|"boulevard Pascal Botteron 1
3014 Maire"
"Albert Chevrolet"|"chemin Chappuis
2096 Berberat"
"Charles Beurret"|"boulevard Duroux 108
8649 Broquet am Rhein"
"Jean Cornuz"|"boulevard de Monnet 21
7632 Masseron"
"Vincent Charpié"|"avenue Mottet
8387 Sainte Rappaz"
"Stéphanie Galland"|"rue de Georges 98
6658 Niquille-près-Quartier"
"Louis Monnet"|"avenue Josiane Gilliéron 5
4330 Galland-près-Grosjean"
"Louis Matile"|"rue Mottet 73
4464 Fonjallaz (JU)"
"Manon Thorens"|"boulevard de Vienne
2861 Beuret-près-Jomini"
"Thérèse Balmat"|"boulevard Tinguely
6978 Corbat am Albis"
"Yvette Rosselet"|"chemin Barbey 59
9971 Nusslé (TG)"
"Zoé Bahon"|"avenue Maurice Rey 47
7105 Beurret"
"Charles Bovet"|"chemin Crivelli 33
6000 Barbey-près-Bourquin"
"Anne Botteron"|"boulevard Danielle Matile 2
3200 Rapin"
"Alice Marty"|"boulevard Vienne 69
6720 Niquille"
"Alicia Piccand"|"chemin Frédéric de Dardel 24
5177 Chaudet am Rhein"
"Théo Julliard"|"avenue Duroux 75
2483 Duvanel"
"Antonio Robadey"|"rue de Beuchat
6219 Müller am Albis"
"Hugo Francillon"|"chemin de Martin 51
4745 Rossellat"
"Simone Marty"|"avenue Marguerite Bochud
7082 Balmat-des-Bois"
"Eva Bernasconi"|"chemin Michael Brandt 62
5295 OberComman"
"Liliane Sansonnens"|"avenue Musy 165
4484 Sainte Jacot-Descombes"
"Charles Chatriand"|"rue Quartier
3343 San Morard"
"Elisabeth Chenaux"|"boulevard de Deshusses
6896 Broquet an der Aare"
"Danielle Romanens"|"chemin Roger Bochud 3
4737 Gillièron-la-Ville"
"Emilie Evéquoz"|"rue de Conrad 81
4807 Cattin-près-Robert"
"Elisabeth Aebi"|"rue Carraud 2
6919 Mayor-Dessus"
"Roger Maire"|"boulevard Delèze
1073 Mayor-Dessous"
"Julie Grand"|"avenue Albert Joye 2
8643 Evéquoz-la-Ville"
"Nathalie Bochud"|"boulevard de Sandoz 87
6388 Corboz (ZH)"
"Suzanne Mayor"|"rue de Chopard 55
8173 Chevrolet-Dessus"
"Christine Galland"|"rue Bourquard 93
5256 Robert am Albis"
"Charles Chevalley"|"avenue Claudine Carraud 72
9668 Courvoisier"
"Philippe Bochud-Candaux"|"chemin Olivier Monnard
4162 Cossy"
"Lucas Bonvin"|"boulevard de Broquet 3
7884 Mercier"
"Jacqueline Nusslé"|"rue Berberat 5
2480 Bernasconi"
"Charles Boillat"|"boulevard Lucas Humbert 15
2697 Mottet"
"Anne Sandoz"|"rue de Marty 94
8512 Robadey-Dessus"
"Laura Georges-Pasquier"|"boulevard Monique Deladoëy 96
9681 Vermeil-des-Bois"
"Matteo Curdy"|"chemin Cornuz
5890 Uldry"
"Robert Piccand-Vonlanthen"|"boulevard Grojean 742
3802 Humbert-près-Chaudet"
"Caroline Sandoz-Aebi"|"boulevard Yvonne Grojean
8620 Cornut-Dessus"
"Charles Chevrolet"|"rue Georgette Chaudet 611
5316 Chatriand"
"Paul Bourquard"|"chemin Sandra Bugnon 7
9687 Grand"
"David Robert"|"chemin Lucas Rappaz 460
5910 Comment am Rhein"
"José Jacot-Descombes"|"boulevard de Barman 9
2473 Brandt"
"Loïc Julliard"|"rue de Aeby 516
9822 Privet"
"Elodie Dubey"|"avenue de Alber 29
4344 Bourquard am See"
"Bernard Quartier"|"rue Claudine Gillièron 1
5949 Quartier-près-Joly"
"Lucie Treboux"|"rue Henri Rey 29
4342 Balmat"
"Nicolas Gillièron"|"boulevard de Bavaud 10
4972 Coigny"
"Isabelle Vuille"|"boulevard de Beurret 703
2595 Corbat am Albis"
"Charles Comte"|"chemin Corboz 39
3312 Pachoud-près-Cosendey"
"Claudine Grand"|"rue de Rapraz 1
6975 Sainte Chevrolet"
"Thomas Bonvini"|"rue Bernasconi 702
3958 UnterJacot-Guillarmod"
"Patricia Beurret"|"chemin Bernasconi 74
4897 Grosjean-des-Bois"
"Nathan Gubéran"|"avenue Rappaz 16
2336 Evéquoz"
"Patricia Candaux"|"boulevard Laurence Carron 74
5698 Saint Besançon"
