"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Dr. Adrian Hanssen"|"Dahlmoen 9C, 9412 Martefjell"
"Silje Pettersen"|"Hellandskogen 70, 4347 Evensen"
"Thor Brekke"|"Kristiansenhaugen 78C, 4854 Royvær"
"Henrik Jakobsen"|"Brekkeholtet 7, 2347 Olsen"
"Eli Simonsen"|"Mikkelsenstykket 65, 6000 Torbjørnøy"
"Tove Johansen"|"Bøevollen 29, 8295 Kristiansen"
"Eirik Fredriksen"|"Simonsenrøa 08, 7677 Evensen"
"Trond Dahl"|"Evensenspranget 39, 3462 Einarbø"
"Marte Aasen"|"Auneengen 90, 4114 Daghavn"
"Camilla Moen"|"Knudsenstranda 6, 2309 Gunnstrøm"
"Kristoffer Haugland"|"Pettersenmarka 538, 7798 Tommystrand"
"Gro Martinsen"|"Evensenrøa 57B, 9857 Linneid"
"Kristine Halvorsen"|"Hanssenrøa 55, 1537 Ingeborgodden"
"Emilie Kristiansen"|"Eriksengropa 8, 2630 Thomassen"
"Karl Lien-Ruud"|"Ruudringen 4, 4966 Hildedal"
"Kim Arnesen"|"Hanssentoppen 5, 6577 Sæther"
"Finn Myklebust-Berge"|"Engenstubben 13, 3850 Erlingodden"
"John Evensen"|"Hanssenvollen 9B, 8546 Andersen"
"Hanna Evensen"|"Nilseneggen 8, 8464 Ingerstad"
"Camilla Moen"|"Nguyengata 68, 0344 Lund"
"Linn Pettersen"|"Birkelandåsen 08, 1508 Solveigøy"
"Gerd Tangen"|"Lienberget 47, 4758 Jensen"
"Karin Christensen"|"Hagentoppen 1, 8016 Håvardstad"
"Prof. Johannes Tveit"|"Lundstien 11, 7529 Hegefjord"
"Pål Engen"|"Bakkekroken 99, 7375 Næss"
"Karl Isaksen"|"Abrahamsengjerdet 09, 6269 Olsen"
"Mari Fredriksen"|"Solberghagen 44A, 8508 Bakke"
"John Pettersen"|"Nguyenmoen 77, 7709 Steinarborg"
"Elise-Tove Lien"|"Ødegårdskrenten 8, 9660 Solberg"
"Camilla Olsen"|"Birkelandåsen 320, 0773 Johansen"
"Thomas Berntsen-Simonsen"|"Mathisenhaugen 2, 7262 Theaby"
"Kjell-Mathias Pedersen"|"Svendsenekra 777, 7325 Sigriddal"
"Anette-Kristin Thomassen"|"Tangenhaugen 5, 6557 Berge"
"Elise Nguyen"|"Bergestykket 4, 7308 Maybø"
"Sverre Gulbrandsen"|"Aasenskogen 4, 2631 Johannesnes"
"Julie-Ruth Vik"|"Birkelandjordet 7, 7552 Trondstad"
"Heidi Strøm"|"Johansenstykket 47A, 3589 Andersen"
"Christian Myhre-Bøe"|"Kristiansenspranget 42B, 2386 Wenchesund"
"Kari Knudsen"|"Karlsengata 06C, 3809 Gulbrandsen"
"Camilla Sivertsen"|"Jakobsenberget 22, 6916 Andresen"
"Fredrik Amundsen"|"Pedersentjernet 96B, 0014 Sørensen"
"Martin Simonsen"|"Mathisenringen 9B, 6672 Sisselborg"
"Tom Tangen-Antonsen"|"Kristoffersenhaugen 2, 6399 Hanssen"
"Jørgen Lie"|"Ruudkroken 01, 2865 Tangen"
"Tobias Madsen-Iversen"|"Abrahamsenroa 2, 7245 Elsestrøm"
"Jørgen Edvardsen"|"Henriksenlyngen 39, 5765 Hanssen"
"Kristoffer Danielsen"|"Strømmoen 26E, 1355 Cathrinestrand"
"Mette Hanssen"|"Pettersenhaugen 63D, 3778 Randisund"
"Tobias Christensen"|"Jenssenhavna 3, 9665 Olsen"
"Camilla Thorsen"|"Andreassentunet 9, 0184 Svendsen"
"Tommy Paulsen"|"Pedersenlia 449, 4375 Jannestrand"
"Unni-Kristin Dahl"|"Martinsenhagen 060, 5478 Karimark"
"Martin-Øystein Danielsen"|"Antonsenrøa 1, 4239 Kennethstrøm"
"Fredrik Johansen"|"Moeringen 7F, 5578 Jensen"
"Tommy Kristensen"|"Strømrøa 7, 2607 Sirihavn"
"Rolf Johannessen-Johnsen"|"Christensenrøa 759, 9783 Berge"
"Karen-Irene Johannessen"|"Simonsenspranget 8, 6679 Fredrikbø"
"Hans Christensen"|"Bøekollen 30, 9560 Moen"
"Harald Jørgensen"|"Nilsenvollen 20, 9029 Tonjeås"
"Camilla-Britt Gundersen"|"Haugtoppen 8, 0532 Lie"
"Else Bøe"|"Ahmedspranget 906, 3988 Sørensen"
"Dr. Eirik Isaksen"|"Engenalléen 9, 3723 Andresen"
"Inger-Laila Tveit"|"Jenssenholtet 431, 6416 Karlhavn"
"Kåre-Henrik Berge"|"Nguyenroa 7, 8240 Livbø"
"Frank Lund"|"Moestykket 18C, 6093 Kristiandal"
"Rolf Sandvik"|"Andresenfaret 95, 4993 Knutsen"
"Harald Helland"|"Thorsenjordet 5, 0427 Sivertsen"
"Adrian Myklebust-Dahl"|"Johnsenlyngen 6, 2873 Olsen"
"Anna Andresen"|"Aunejordet 30B, 7045 Sigurdvær"
"Camilla-Hege Eliassen"|"Edvardsenspranget 9, 5092 Simonsen"
"Svein-Håvard Mathisen"|"Sørensenløkka 7, 5466 Linnvåg"
"Magne Karlsen"|"Isaksenkroken 5C, 4768 Fredriksen"
"Else Thomassen-Knudsen"|"Jenssenplassen 62F, 5477 Abrahamsen"
"Simen Edvardsen"|"Solbergeggen 7, 6914 Audø"
"Torbjørn Bakke"|"Sæthersvingen 585, 7947 Kariberg"
"Sindre Strand"|"Martinsenberget 27, 9671 Danielsen"
"Roger Olsen"|"Martinsenplassen 31A, 1220 Rønning"
"Sindre Holm"|"Andersenengen 77, 6610 Haug"
"Ole Rasmussen"|"Thorsenstubben 41, 6126 Asbjørnvær"
"Camilla-Kari Ødegård"|"Knutsenløkka 12, 4602 Simonsen"
"Julie-Emma Sandvik"|"Jenssenstubben 23D, 2490 Ellingsen"
"Berit Myhre"|"Engenvika 9, 2694 Irenemark"
"Markus Myklebust"|"Dahlstubben 02A, 2977 Ragnhildfjell"
"Astrid Sandvik"|"Lundringen 47, 4800 Gerdborg"
"Henrik Ahmed"|"Fredriksentunet 3, 4978 Dagøy"
"Terje Edvardsen"|"Thomassenhagen 3, 9164 Jacobsen"
"Mari Johansen"|"Abrahamsenskrenten 3, 5997 Anettesjøen"
"Tommy Karlsen"|"Haugejordet 2, 7692 Hanssen"
"Emma Eide-Larsen"|"Haugespranget 16, 8342 Gulbrandsen"
"Cathrine Ali"|"Sivertsensvingen 4E, 4688 Unniås"
"Øyvind-Tore Arnesen"|"Tveitholtet 20B, 3247 Johanmark"
"Helene Arnesen"|"Gundersenlunden 30D, 6154 Monaås"
"Janne Halvorsen"|"Jenssenløkka 28, 6404 Nielsen"
"Wenche Hagen"|"Gundersenmoen 244, 1002 Isaksen"
"Arne Solberg"|"Viklunden 77, 0156 Solveigfjell"
"Asbjørn Birkeland"|"Svendsenvika 1A, 9400 Solveigmark"
"Line Knutsen"|"Ruudhagen 93, 6227 Ritastrøm"
"Egil Isaksen"|"Næssmarka 6, 5629 Vegardhamn"
"Cecilie Ahmed"|"Evensenskogen 5, 2395 Elsefjell"
"Cathrine Bakke"|"Henriksenplassen 05F, 6884 Jacobsen"
"Dr. Andreas Bakken"|"Antonsentoppen 3C, 0143 Moe"
"Kristine Jørgensen"|"Gundersenjordet 2, 3438 Knutsen"
"John-Stein Paulsen"|"Liengropa 99, 0688 Jennyhelle"
"Sigrid Christensen"|"Iverseneggen 5C, 7264 Kristofferhamn"
"Silje Jensen"|"Andresenberget 95, 0043 Johannessand"
"Fredrik Edvardsen-Berg"|"Tangenstien 8, 4951 Theasjøen"
"Dr. Håvard Strøm"|"Aunespranget 7, 4636 Ragnhildås"
"Vegard Andersen"|"Karlsenskrenten 80E, 7427 Hannaøy"
"Jens-Daniel Jakobsen"|"Evensengata 098, 6468 Olafjord"
"Cathrine Bøe-Bakke"|"Pedersenmyra 122, 4766 Norafjell"
"Randi Olsen"|"Gundersenmoen 2, 7316 Strøm"
"Emil-Frode Moen"|"Thomassenstykket 5, 3267 Sondrestad"
"Tom Solheim"|"Lienlunden 635, 6088 Hildefjord"
"Øyvind Ødegård"|"Engenhøgda 7, 0770 Cecilienes"
"Einar Knudsen"|"Pettersenvika 905, 8108 Iversen"
"Jenny Mikkelsen"|"Myklebusthagen 48B, 5317 Pettersen"
"Julie Ahmed"|"Kristiansenåsen 6, 8000 Pettersen"
"Emma Nielsen"|"Nygårdflata 6, 7948 Magneås"
"Kristin Lie"|"Arnesenstubben 3E, 0117 Cathrinehamn"
"Cathrine Fredriksen"|"Kristensentoppen 97, 2806 Nielsen"
"Dr. Kåre Henriksen"|"Eliassenhaugen 74, 5638 Lailadal"
"Petter Kristensen"|"Edvardsenhagen 13, 0248 Jorunnsund"
"Heidi Gundersen"|"Kristiansenlunden 1, 9136 Lindaodden"
"Sissel Iversen"|"Nguyenmarka 61, 1508 Håvardstad"
"Egil Andersen"|"Bergebråten 573, 6638 Egilvær"
"Jorunn-Tove Hansen"|"Hauggropa 54A, 2034 Hansen"
"Dr. Rune Halvorsen"|"Hauglandstykket 362, 7953 Lien"
"Marte Engen"|"Henriksenhagen 41, 7414 Dahl"
"Maren Brekke"|"Pettersenhaugen 55, 5308 Bakken"
"Cathrine Hansen"|"Bergeholtet 67A, 6768 Turidhelle"
"Jon-Lars Dahl"|"Bakkengata 2, 9957 Gundersen"
"Liv Pedersen"|"Solheimberget 3A, 0989 Aasen"
"Thomas Myklebust"|"Lundegrenda 99B, 9859 Sivertsen"
"Dr. Arild Halvorsen"|"Hansenflata 9A, 1295 Birkeland"
"Elin Jørgensen"|"Jacobsenringen 5, 8536 Sveinvær"
"Markus Strøm"|"Ellingsenrøa 512, 4170 Christianberg"
"Tor Solheim"|"Thorsenplassen 2C, 4433 Bakken"
"Anita Moen"|"Bergekra 50B, 3261 Jacobsen"
"Dr. Jørgen Jacobsen"|"Andreassenhavna 472, 4910 Tangen"
"Cathrine Jenssen"|"Johansenstien 54B, 9373 Edvardsen"
"Torbjørn-Harald Eide"|"Alihavna 9F, 1720 Eivindhamn"
"Jens-Nils Haug"|"Isaksenvika 143, 5748 Brittstrand"
"Dr. Sebastian Evensen"|"Jensentjernet 6, 0688 Trondgrunn"
"Maria Jakobsen-Andersen"|"Amundsenspranget 2, 4893 Tangen"
"Trine Danielsen"|"Nguyenalléen 6, 2199 Ruud"
"Jonas Hansen"|"Knudsentjernet 531, 9939 Jørgensen"
"Pål Paulsen"|"Nygårdgjerdet 92A, 7231 Madsen"
"Torbjørn Haugen"|"Tangenkroken 76B, 3582 Benteborg"
"Sofie-Ingrid Næss"|"Johnsenkollen 049, 9625 Sverrehavn"
"Cathrine Jenssen"|"Simonsenrøa 522, 7900 Gunnstrøm"
"Helge Henriksen"|"Isaksenstranda 678, 3157 Jakobsen"
"Tom Hansen"|"Gundersenmyra 9, 0059 Hanssen"
"Anders Engen"|"Jensenbråten 5B, 0381 Turidodden"
"Geir Jensen"|"Madsenfaret 6, 0002 Tommysand"
"Sindre-Karl Ahmed"|"Myklebustekra 5, 3284 Ingergrunn"
"Frank Svendsen"|"Engenåsen 83, 6738 Jenssen"
"Asbjørn Sørensen"|"Nygårdalléen 87B, 9421 Amundsen"
"Martin Arnesen"|"Henriksenlunden 397, 6139 Abrahamsen"
"Martine-Kristine Berg"|"Lierøa 4H, 4191 Idastrand"
"Cathrine Knudsen"|"Eriksenmoen 377, 5743 Lie"
"Lars-Johan Strand"|"Lundelia 58, 5588 Magnesand"
"Erik Gundersen"|"Kristensenstien 1F, 0652 Thomassen"
"Kjell-Frode Danielsen"|"Gundersenskrenten 4, 7328 Berntsen"
"Solveig-Berit Paulsen"|"Ellingsenskogen 434, 2854 Ali"
"Lars-Kjell Aasen"|"Jakobsenbakken 11, 4587 Moen"
"Andreas Henriksen"|"Larsenstubben 9, 4945 Christensen"
"Elise Brekke"|"Solbergstien 18C, 5963 Thorsen"
"Hege Pettersen"|"Andresenflata 9, 0957 Turidhavn"
"Tobias Ruud"|"Ahmedekra 39, 0268 Berg"
"Cathrine Lunde"|"Mathisensvingen 61, 3926 Monaborg"
"Frode Abrahamsen"|"Holmskrenten 5, 9548 Magnusgrunn"
"Else Danielsen"|"Andresenstykket 9, 8348 Martinebø"
"Randi-Karin Martinsen"|"Nielsenkroken 081, 8168 Alexanderstad"
"Maren Hagen"|"Aligjerdet 4G, 3487 Anitahelle"
"Sverre-Magnus Larsen"|"Johnsenekra 1C, 8603 Elisebø"
"Arild Holm"|"Jenssenrøa 91, 7249 Næss"
"Hanne Lien"|"Tveittunet 935, 2681 Strand"
"Trond Lien"|"Kristoffersenstien 02, 7101 Oddstad"
"Turid Solberg"|"Larsensvingen 94B, 0039 Mariusstrand"
"Cathrine-Kari Ruud"|"Knudsenstubben 98E, 8055 Moen"
"Elin Antonsen"|"Tveitkollen 03, 0590 Torgrunn"
"Sondre Sivertsen"|"Henriksengrenda 1, 3170 Bakken"
"Dr. Steinar Eide"|"Jensenekra 22, 1464 Sirimark"
"Leif Nielsen-Rønning"|"Kristensenmoen 20, 7187 Ingeborgbø"
"Ivar-Eirik Brekke"|"Hellandeggen 9, 1793 Kennethvåg"
"Roar Brekke"|"Kristoffersenstien 37C, 3042 Holm"
"Johannes Bakken"|"Eliassenhavna 5B, 4316 Solberg"
"Daniel Sæther"|"Isaksenløkka 498, 2062 Martinsen"
"Sindre Knudsen"|"Bakkenskrenten 28, 9323 Juliefjord"
"Cathrine-Mette Evensen"|"Kristoffersenskrenten 26A, 1921 Asbjørnøy"
"Fredrik Henriksen"|"Moenroa 317, 1113 Kristensen"
"Steinar Lien"|"Liemarka 97C, 5878 Larsen"
"Robert Isaksen"|"Tveitmyra 3B, 3763 Jørgensen"
"Andreas Ruud-Dahl"|"Moenstubben 6C, 3873 Haugland"
"Ellen Halvorsen"|"Dahlekra 1, 3420 Ahmed"
"Thomas-Helge Lund"|"Liespranget 38A, 9825 Olaberg"
"Dag Sivertsen"|"Abrahamsenstien 8A, 4001 Martinehavn"
"Odd Danielsen"|"Andersenkollen 2C, 5894 Birkeland"
"Else Berg"|"Jacobsenhøgda 852, 7761 Unniås"
"Cecilie Hanssen-Bakke"|"Lienalléen 27, 7384 Rønning"
"Sander Rønning-Rønning"|"Sætherengen 43C, 9843 Sebastianborg"
"Jorunn-Marte Halvorsen"|"Paulsenbakken 4F, 5281 Danielsen"
"Magnus Engen"|"Simonsenstubben 5, 2659 Sæther"
"Turid Jakobsen"|"Moesvingen 3, 1395 Eliassen"
"Frank Lie"|"Jørgensengjerdet 08, 4622 Arneberg"
"Britt-Julie Halvorsen"|"Thorsengjerdet 3C, 4656 Knutsen"
"Hanna Berg"|"Iversenmyra 17, 6079 Arnesen"
"Turid Jacobsen"|"Kristensenåsen 3, 5043 Saraås"
"Hans-Eirik Johannessen"|"Halvorsenjordet 62F, 4997 Hansen"
"Cecilie Johnsen"|"Engengropa 7, 5824 Olaby"
"Camilla Knutsen"|"Lienholtet 4, 4074 Edvardsen"
"Eva Sivertsen-Lien"|"Iversenlia 54, 2658 Janås"
"Camilla Lie-Edvardsen"|"Brekkeholtet 9, 7211 Monicavær"
"Ingrid Jakobsen"|"Eidestien 8, 4611 Rønning"
"Marie Nilsen"|"Eriksenmoen 42E, 0144 Sandvik"
"Prof. Thor Mikkelsen"|"Kristiansenrøa 5B, 7812 Annfjell"
"Marianne-May Jacobsen"|"Pedersenvollen 3, 5343 Hauge"
"Maria Nilsen-Paulsen"|"Rønningvollen 4, 8343 Jørgenvær"
"Ingeborg Hauge"|"Moebråten 1, 2763 Pettersen"
"Cecilie Jørgensen-Helland"|"Aasstien 764, 5296 Eide"
"Bente Moe"|"Jensengata 7, 9756 Brekke"
"Sara-Elisabeth Madsen"|"Myhrespranget 12, 0018 Bjørgvåg"
"Vegard Evensen"|"Nielsenberget 02, 0423 Andreassund"
"Else Moe"|"Knudsenvollen 5D, 8102 Eliassen"
"Kristoffer Kristensen"|"Lieneggen 93, 8215 Arildnes"
"Svein-Magnus Evensen"|"Kristensenalléen 4, 5168 Hannevåg"
"Stine Nguyen"|"Andersenhavna 37, 0198 Gerdodden"
"Grethe Aune-Christensen"|"Sivertsenåsen 601, 0808 Øyvindvær"
"Prof. Kåre Gundersen"|"Eidegjerdet 9A, 8031 Sigurdhavn"
"Cecilie Lunde"|"Bergløkka 25, 0593 Rønning"
"Jan Brekke"|"Fredriksenberget 11C, 8400 Trondgrunn"
"Linn Ahmed"|"Engenmyra 5, 1868 Magnevåg"
"Johannes Hagen"|"Henriksenlunden 7, 5429 Groby"
"Ole Strøm"|"Hanseneggen 5C, 3789 Camillagrunn"
"Eva Hauge"|"Tveitjordet 8, 2851 Anetteodden"
"Dr. Stig Bakke"|"Karlsenmyra 82, 8569 Jørgenhavn"
"May-Marte Berntsen"|"Iversenringen 3, 3919 Terjesand"
"Kenneth Jørgensen"|"Lundehaugen 51, 9683 Karensjøen"
"Camilla Rønning-Nygård"|"Brekketunet 5B, 6212 Birkeland"
"Cecilie Madsen"|"Kristensenbakken 7B, 6674 Ali"
"Eirik-Joakim Thomassen"|"Andersenkroken 36A, 5424 Bakke"
"Stian-Arne Næss"|"Sørensentunet 4B, 2670 Frankhelle"
"Emma Sæther"|"Tveitåsen 5, 7649 Torbjørnnes"
"Frank Andersen"|"Isaksenmoen 47D, 9752 Jørgensen"
"Thea Lund"|"Paulseneggen 1, 7627 Sæther"
"Marte Larsen"|"Bergholtet 7, 2308 Tomfjell"
"Odd Jakobsen"|"Sætheralléen 728, 9429 Thomassen"
"Bente Solberg"|"Danielsenvollen 22, 3388 Aas"
"Alexander Eliassen"|"Myklebusthaugen 8, 0247 Halvorsen"
"Cecilie Nguyen"|"Henriksentoppen 4F, 5295 Solveigsund"
"Ingrid Holm"|"Sandviktoppen 7, 2104 Sivertsen"
"Joakim Jakobsen-Eriksen"|"Hauglandåsen 1B, 7179 Jakobsen"
"Sander Haugland"|"Næsseggen 7, 8403 Cathrineås"
"Unni Dahl"|"Ellingsenfaret 8F, 6416 Monicastrøm"
"Henrik-Sebastian Ahmed"|"Halvorsenskrenten 3, 6601 Sørensen"
"Tone Ali-Jenssen"|"Engenrøa 47, 7021 Torillhavn"
"Alf Berge-Nygård"|"Bakketjernet 41, 4430 Anitahamn"
"Helene Ali"|"Pedersenringen 7, 5548 Myhre"
"Janne Johnsen"|"Sivertsenmyra 19, 9869 Kareneid"
"Cecilie Olsen"|"Sæthergropa 34, 3240 Jacobsen"
"Bente Berg"|"Gulbrandsenhagen 6, 2354 Sindreborg"
"Julie Halvorsen"|"Solheimbråten 1, 1355 Tomfjell"
"Thomas Nguyen"|"Martinsenskogen 481, 1421 Trinenes"
"Monica Danielsen-Evensen"|"Haugenroa 89, 6991 Brekke"
"Elise Solheim"|"Andreassenåsen 1, 8658 Anitamark"
"Ann Fredriksen"|"Hanssenringen 09, 0590 Jørgensund"
"Torill Moen"|"Halvorsenskogen 06, 4224 Martestrand"
"Linda Madsen"|"Martinsenbråten 70D, 7619 Knutsen"
"Jon Johnsen"|"Nielsenvollen 5C, 6914 Hansfoss"
"Christian Aune"|"Brekkehøgda 3, 2367 Adriansjøen"
"Dag Nilsen"|"Edvardsengropa 12, 2624 Lunde"
"Astrid Aasen"|"Moenkollen 2, 1058 Ahmed"
"Odd Ellingsen"|"Sandvikskogen 1B, 6498 Ingridås"
"Øystein Engen"|"Lienroa 31, 2379 Elisehavn"
"Daniel Tveit"|"Alirøa 4A, 3383 Hegevær"
"Helge Hansen"|"Lienstykket 5, 7749 Aas"
"Kirsten Myklebust"|"Aasbråten 229, 4013 Marenstrand"
"Maria Andreassen"|"Lienlunden 3C, 2420 Hildeeid"
"Liv Iversen"|"Strandhøgda 09A, 2777 Brekke"
"Christian Danielsen"|"Fredriksenmoen 99, 9589 Oddsjøen"
"Torbjørn Pettersen"|"Hanssenspranget 7E, 6791 Oleborg"
"Robert Bakken"|"Tangenmyra 63, 2522 Myhre"
"Helene Johannessen"|"Knudsenfaret 21, 0059 Vidarås"
"Jørgen Solberg"|"Aasenvika 3, 3954 Marianneodden"
"Siri Sivertsen"|"Simonsenskrenten 8, 9234 Randifjord"
"Heidi Jensen"|"Aligjerdet 50, 4812 Fredrikbø"
"John Thomassen"|"Haugvollen 9, 1811 Holm"
"Berit Mikkelsen"|"Haugenskogen 5, 6773 Isaksen"
"Martine Haugland"|"Abrahamsenstranda 3, 4149 Tommydal"
"Christian Ellingsen"|"Henriksenlyngen 3, 7182 Sveinfjell"
"Frode Johannessen"|"Isaksengrenda 1A, 6483 Simonsen"
"Grethe Hauge"|"Jacobsenflata 6, 0793 Ellingsen"
"Laila-Berit Moen"|"Bøehaugen 39, 2053 Thomassen"
"Aud Isaksen"|"Sivertsenroa 9, 9327 Rasmussen"
"Per Brekke"|"Dahllunden 7, 8230 Sverrehavn"
"Tor Knudsen"|"Abrahamsenlunden 3E, 6545 Karlsen"
"Ann Hauge"|"Nielsenekra 7, 9789 Kennethøy"
"Jorunn Brekke"|"Hanssentjernet 55A, 6147 Larsen"
"Eli Moe"|"Myhretunet 079, 5396 Bakken"
"Christian Karlsen"|"Vikstykket 60, 2383 Strøm"
"Roy Haugen"|"Eriksenskogen 37, 4910 Halvorsen"
"Joakim Aasen"|"Ruudlyngen 5, 0919 Solberg"
"Liv Johansen"|"Rasmussenmarka 8, 7248 Geirberg"
"Marie Lund"|"Tangenlunden 1G, 8343 Nielsen"
"Lars Eide"|"Sætherrøa 2, 6676 Nygård"
"Tommy-Rolf Jacobsen"|"Tveitlyngen 6, 3061 Brekke"
"Olav Evensen"|"Evenseneggen 4E, 9638 Berntsen"
"Prof. Rune Martinsen"|"Hansengata 7, 1170 Gundersen"
"Mette Antonsen"|"Bergmoen 359, 6556 Kjetilstrand"
"Christian Martinsen-Simonsen"|"Bøeringen 4, 0238 Arnesen"
"Inger Antonsen"|"Pedersenekra 6, 8150 Simonsen"
"Dag Bakken"|"Brekkehavna 5, 9718 Kristinegrunn"
"Lise-Mona Ruud"|"Knutsenstranda 088, 3746 Strøm"
"Prof. Magne Andreassen"|"Isaksenskogen 5D, 6083 Elivåg"
"Dr. Martin Rønning"|"Eideskrenten 458, 6173 Johnnes"
"Geir-Kim Berg"|"Vikløkka 5, 4974 Eide"
"Cathrine Antonsen"|"Edvardsenringen 84, 7049 Knudsen"
"Fredrik Aas"|"Bakkenlunden 6, 2840 Abrahamsen"
"Lars Rønning"|"Danielsengrenda 2, 1093 Oddborg"
"Christian Myhre"|"Bergespranget 7, 4767 Martinsjøen"
"Frank Edvardsen"|"Hellandspranget 6A, 8121 Anettehelle"
"Mette-Emma Knudsen"|"Sørensenfaret 1, 6429 Johansen"
"Astrid Fredriksen"|"Jørgensenrøa 3, 4674 Kristinemark"
"Astrid Mikkelsen-Iversen"|"Jørgensenberget 5, 2003 Johansen"
"Gro Berge"|"Hansenstubben 6, 5797 Simonsen"
"Helge Pettersen"|"Nygårdvollen 1E, 4320 Mathisen"
"Rita Mikkelsen"|"Ruudskrenten 9, 5225 Olebø"
"Sofie Isaksen"|"Halvorseneggen 4C, 0799 Nguyen"
"Bente Edvardsen"|"Vikmarka 21, 4802 Eliseby"
"Christian-Alexander Arnesen"|"Jakobsenskrenten 5, 9801 Ruud"
"Grethe Jakobsen"|"Andreassenlyngen 61B, 7018 Danielgrunn"
"Svein-Dag Solheim"|"Halvorsenplassen 92, 0459 Bøe"
"Jon-Geir Isaksen"|"Engenstien 8, 7094 Svendsen"
"Tor-Dag Madsen"|"Jakobsenlunden 5, 3338 Arnesen"
"Karen-Kirsten Ruud"|"Martinsenstien 5, 4542 Emiliehamn"
"Thea Gundersen"|"Danielsenhagen 56, 6741 Solberg"
"Jenny Ellingsen"|"Sandvikrøa 56A, 1772 Arildøy"
"Kristine Danielsen"|"Antonsenløkka 08A, 8145 Berge"
"Kjetil Arnesen"|"Mikkelsengrenda 1, 1033 Johnø"
"Christian-Robert Aasen"|"Andresenhaugen 77, 0706 Lie"
"Magnus Eide"|"Ødegårdjordet 553, 8928 Marisund"
"Mona-Sara Knutsen"|"Solbergmarka 070, 2493 Isaksen"
"Bente-Ingeborg Henriksen"|"Larsenhaugen 56, 0324 Karlsen"
"Prof. Robert Eriksen"|"Haugfaret 6, 8633 Oddsund"
"Leif Sandvik"|"Hansenvollen 6, 3686 Hildebø"
"Sigrid Olsen"|"Andresenmoen 3, 7110 Halvorsen"
"Trond Edvardsen"|"Pedersenstranda 92, 5732 Tomberg"
"Daniel Kristensen"|"Pedersenberget 99, 9149 Sandvik"
"Sara Pettersen"|"Mikkelsenstykket 04, 4864 Amundsen"
"Christian-Svein Moen"|"Rønningvollen 26, 5095 Vik"
"Anne Næss"|"Johannessenlyngen 7, 5052 Karlsen"
"Asbjørn Haugen"|"Hellandberget 4F, 3599 Roarodden"
"Dr. Vidar Kristoffersen"|"Andreassenroa 76A, 5029 Mathisen"
"Cecilie-Kirsten Halvorsen"|"Martinsenskrenten 31, 5373 Trondvåg"
"Jens Sørensen"|"Jørgenseneggen 01G, 4618 Mathiashamn"
"Johannes Engen"|"Nguyenstranda 47, 1687 Kjerstistrand"
"Tove Nilsen"|"Engeneggen 77, 5988 Toreøy"
"Linda Moen"|"Andresenmyra 969, 0182 Solheim"
"Mathias Martinsen"|"Eliassenholtet 84, 5683 Sæther"
"Dag Antonsen-Nygård"|"Hauglandløkka 81, 5374 Martefjord"
"Karl Nygård"|"Knutsenmyra 54, 7677 Jondal"
"Kristian Ahmed"|"Holmvollen 2, 9100 Berge"
"Hilde Haugland"|"Jakobsenmyra 5, 0587 Helgeeid"
"Gunnar Karlsen"|"Holmåsen 80, 4701 Tveit"
"Sara Pettersen"|"Solberglia 2, 7959 Eivindstad"
"Kirsten Dahl"|"Pedersenhavna 8, 7857 Rasmussen"
"Håvard Lie"|"Olsenstubben 7, 9376 Kristoffersen"
"Svein-Håkon Berg"|"Myklebustringen 69H, 7904 Andreassen"
"Finn-Daniel Bøe"|"Myklebuststubben 4C, 3423 Eriksen"
"Dag Bakke"|"Andresenlia 18G, 9564 Andersmark"
"Torbjørn Ali"|"Ahmedjordet 9D, 9112 Martinsen"
"Kristin Berg"|"Ahmedekra 2, 1994 Sindrenes"
"Torbjørn-Robert Nielsen"|"Paulsenåsen 8, 9408 Solberg"
"Eli Jensen-Ruud"|"Mathisengjerdet 405, 5683 Sveinby"
"Marte Lunde"|"Kristoffersenhavna 809, 2614 Johanmark"
"Kristian Sæther"|"Andreassenstubben 8, 0156 Rogerstad"
"Magnus Halvorsen-Mathisen"|"Pettersenstykket 27, 6617 Olavstrøm"
"Nils Christensen"|"Berntsenbråten 824, 5909 Juliestrøm"
"Helge Berge"|"Liefaret 6, 5242 Lailanes"
"Dag Birkeland"|"Jacobsengjerdet 6B, 7512 Lien"
"Hanne-Ingeborg Bakke"|"Gulbrandsenrøa 96, 4329 Stianhavn"
"Finn Berge"|"Haugringen 9, 4326 Frankmark"
"Bjørn Solheim"|"Myklebustekra 588, 2907 Henriksen"
"Jon Strand"|"Holmskogen 2, 0680 Johannessen"
"Prof. Håkon Jørgensen"|"Antonsengata 05, 8963 Jørgensen"
"Bjørg Strand"|"Myklebustjordet 67B, 3879 Leifvåg"
"Robert-Knut Solberg"|"Mathisenkollen 5, 5189 Tveit"
"Jenny Evensen"|"Hanssenåsen 7, 4903 Andreasvær"
"Marie-Solveig Knutsen"|"Andersenkroken 195, 5596 Nilsen"
"Dag Ellingsen"|"Lundløkka 74D, 3604 Hagen"
"Eirik Mathisen"|"Jørgensenvika 9, 9731 Alexandervik"
"Thor Danielsen"|"Iversenbråten 9, 1119 Hannebø"
"Liv Hagen"|"Birkelandtoppen 239, 1931 Ingerborg"
"Vidar Ahmed-Aune"|"Bakkenlia 3, 2367 Vildeberg"
