"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Egil-Erik Berg","Bakkehagen 721, 1173 Haugland"
"Kåre-Alexander Gundersen","Eidelunden 93B, 1381 Holm"
"Dr. Vidar Ali","Bakkenjordet 20, 7154 Jennymark"
"Simen Antonsen-Tangen","Johannessengrenda 46C, 4186 Ali"
"Andrea Sivertsen","Evensenengen 1E, 9583 Camillamark"
"Elise Jakobsen","Mikkelsenbakken 15, 8185 Mathisen"
"Siri Thorsen","Simonsenfaret 11, 7032 Adrianvik"
"Vidar Iversen","Antonsenvollen 69B, 9896 Andreassen"
"Hanna Holm","Strømskrenten 00, 4375 Hildebø"
"Daniel Brekke","Hansenflata 1, 1227 Kjetilø"
"Jan Jørgensen","Abrahamsenløkka 3, 0724 Arnefjord"
"Karoline Svendsen-Rønning","Ruudgjerdet 4C, 7489 Pettersen"
"Tove Knutsen","Gulbrandsenlia 03C, 5180 Gulbrandsen"
"Bjørg Halvorsen","Tveittjernet 85C, 4269 Christianodden"
"Linn Gundersen","Tveitspranget 5, 4556 Larsen"
"Eva Lie","Martinsenlunden 3A, 0272 Halvorsen"
"Øyvind Moe","Nygårdskrenten 622, 0164 Monastad"
"Kristian Eriksen","Birkelandhagen 60, 2787 Øyvindfjord"
"Per Moen","Moeåsen 20, 8652 Christensen"
"Daniel Ellingsen","Brekkealléen 78, 9949 Turidmark"
"Laila Thomassen","Bergegropa 000, 8340 Paulsen"
"Unni Ødegård","Madsentunet 1, 4402 Unnifoss"
"Finn-Christian Strand","Tangenjordet 75, 9642 Livhamn"
"Marius Hauge","Johannessenstykket 2F, 5215 Hagen"
"Johannes Amundsen","Karlsengata 3, 8850 Myhre"
"Terje Larsen","Hauglandhaugen 67G, 2575 Kristinefjell"
"Emil Karlsen","Iversenengen 733, 6287 Thomassen"
"Kim Thomassen","Næssholtet 7H, 9833 Arnesen"
"Nils Tangen","Lundeberget 4, 8958 Erlingmark"
"Daniel Hanssen","Strandløkka 7B, 7675 Fredrikås"
"Dr. Fredrik Abrahamsen","Ødegårdgrenda 4, 2543 Steinhelle"
"Johannes Pedersen","Vikringen 3, 9935 Kristofferhavn"
"Alf Nguyen","Sivertsenekra 7F, 6526 Gulbrandsen"
"Øyvind-Gunnar Berg","Solheimkollen 722, 6037 Lindasjøen"
"Jenny Bakken","Eliassenplassen 923, 2471 Gulbrandsen"
"Tobias Paulsen","Bøestranda 7, 3471 Camillasjøen"
"Ann-Julie Aas","Rønningeggen 27, 2768 Sigridås"
"Arild Larsen-Tangen","Eliassenstranda 59, 2721 Johanodden"
"Kirsten Dahl","Danielsenmoen 153, 7892 Lailaberg"
"Daniel-Håkon Jenssen","Johnsenrøa 36, 1762 Mathisen"
"Einar Kristiansen","Sivertsenkroken 4D, 3402 Elinfjell"
"Karin Madsen","Johannessenrøa 90, 3689 Runeodden"
"Terje Moe","Gundersengrenda 34, 9165 Nielsen"
"Nina Kristensen","Martinsenskrenten 5, 8965 Lund"
"Gunnar Iversen","Olsengata 2, 1904 Siriby"
"Kristine Hagen","Ellingsentoppen 14B, 2929 Rønning"
"Jonas Arnesen","Hauglandhagen 96, 7563 Bøe"
"Anette Karlsen","Auneringen 5D, 7439 Mikkelsen"
"Elisabeth Jørgensen","Danielsenmarka 9, 8787 Groås"
"Daniel-Joakim Lunde","Amundsenspranget 92, 0047 Mariannehelle"
"Ellen Sæther","Myhrelia 4H, 1205 Nguyen"
"Henrik Ruud","Kristiansenplassen 4, 9529 Martinevær"
"Kristoffer Johannessen","Vikhavna 56, 1042 Torås"
"Synnøve Solberg","Ruudfaret 1B, 4999 Simenås"
"Jørgen Kristiansen","Hauglandfaret 591, 5979 Tveit"
"Linda Sivertsen","Abrahamsenhavna 2, 9360 Tveit"
"Daniel Lie","Eliassenhøgda 361, 9160 Engen"
"Sara Kristensen","Ahmedbakken 07, 3043 Johansen"
"Malin Mathisen","Næsseggen 85A, 0683 Sindrehavn"
"Dr. Alexander Aasen","Knudsenspranget 29, 6704 Mathisen"
"Kjell Berntsen","Lienstien 86, 3311 Bøe"
"Astrid-Cathrine Madsen","Vikbråten 09, 2376 Hannaeid"
"Sofie Vik","Moeroa 5, 1060 Fredriksen"
"Dr. John Holm","Halvorsenskogen 99A, 6235 Henriksen"
"Malin Helland","Nguyenstykket 40G, 8893 Iversen"
"Nora Christensen-Haugland","Hauglandringen 4A, 2333 Anettefjell"
"Kenneth Sivertsen","Jørgenseneggen 9, 6405 Karinvær"
"Kristine Solheim","Ahmedspranget 82, 2421 Janø"
"Johannes Bakke","Iversengrenda 61, 6748 Lie"
"Dr. Alexander Halvorsen","Eidestranda 8, 7858 Arnesen"
"Magnus Holm","Halvorsenskogen 1, 1748 Erikø"
"Hanne Jakobsen","Henriksenstranda 66D, 8105 Mathisen"
"Cecilie Andresen","Iversenekra 4, 3972 Strand"
"Ann-Torill Isaksen","Madsenlunden 1, 0510 Sæther"
"Else Iversen","Jacobsenstubben 89, 8341 Hansen"
"Reidun-Hanne Jenssen","Berntsenskogen 833, 3913 Antonsen"
"Ingrid Myhre","Moejordet 2C, 4293 Moe"
"Frode Lien","Thorsenvika 87, 5502 Tveit"
"Hege Knutsen","Andreassentunet 117, 2269 Påløy"
"Dr. Alf Haugen","Jacobsengrenda 3, 7402 Larsen"
"Kjersti Johannessen-Bøe","Bøekollen 8, 1256 Øysteinsund"
"Prof. Helge Eriksen","Solbergskrenten 6B, 3939 Martenes"
"Eli Rønning","Andreassenhavna 5, 2539 Gunnarstad"
"May Karlsen","Sandvikmoen 50B, 9300 Kristofferstrøm"
"John Jørgensen","Aashøgda 9, 4673 Sæther"
"Dr. Jørgen Hanssen","Antonsenbråten 81A, 9395 Jørgensen"
"Helge Sæther-Jakobsen","Solheimroa 44B, 2169 Knutsen"
"John Solheim","Bakkeholtet 83, 6369 Kjellgrunn"
"Kristine-Reidun Næss","Myhrestubben 12, 3723 Audstrand"
"Dr. Alf Vik","Paulsenjordet 2, 7707 Strøm"
"Helene Johansen","Lundeåsen 12B, 9993 Sondreby"
"Gunnar Jacobsen","Gundersenekra 3, 5050 Karinøy"
"Eirik Christensen","Svendsenskrenten 072, 8668 Hanssen"
"Anne Edvardsen","Nielsengrenda 2, 1589 Kristoffersen"
"Cecilie Arnesen-Rasmussen","Antonsenalléen 36, 3089 Moen"
"Berit Fredriksen","Dahlskrenten 7, 7397 Hagen"
"Marte Madsen","Johansensvingen 77D, 8499 Henrikgrunn"
"Sofie-Berit Bakke","Lundemarka 1, 7810 Johanvik"
"Linda-Laila Dahl","Nilsenlia 37, 0688 Monicavåg"
"Dr. Arild Hansen","Henriksengata 7, 4524 Siljenes"
"Ole Helland","Andresenmoen 98, 1077 Asbjørnvik"
"Eirik Pettersen","Simonsenringen 8C, 7559 Thorsen"
"Einar Mikkelsen","Arnesenfaret 45, 4825 Øysteinborg"
"Sara Tangen","Rasmussenkroken 90, 8009 Hannaby"
"Bente Bøe","Isaksenkroken 8, 7872 Svendsen"
"Inger Hansen","Jenssenberget 1, 6011 Evensen"
"Monica-Åse Johansen","Ødegårdekra 4A, 9250 Bjørgsund"
"Johannes Myhre","Knutsensvingen 8D, 6240 Mariannedal"
"Helene Jensen","Thomassenhøgda 7, 8361 Holm"
"Dr. Asbjørn Aasen","Haugenmoen 1, 9161 Moe"
"Øyvind-Jon Haugland","Kristiansenlia 9, 3819 Bøe"
"Linda Strand-Hanssen","Martinsenlia 7, 9463 Elisegrunn"
"Anita Ahmed","Iversenbråten 94, 1846 Andreassen"
"Sofie-Siri Olsen","Solbergstubben 34, 3947 Thomassen"
"Erling Andresen","Engenlunden 3, 7291 Frankfjell"
"Nora Sørensen-Aasen","Tveitrøa 93, 7839 Gunnsand"
"Dr. Kåre Eide","Nguyenalléen 1, 4031 Berge"
"Thor Hansen","Karlseneggen 2, 6503 Åsevær"
"Prof. Eirik Ødegård","Moeberget 9, 2685 Mettesand"
"Dr. Asbjørn Sørensen","Bakkenlunden 26, 3540 Robertfjord"
"Rita Madsen","Martinsenkroken 91, 7479 Tomstrand"
"Anne-Ingeborg Pedersen","Dahlgrenda 6F, 4143 Haugland"
"Sigurd Lie","Aasenvollen 4, 2964 Magnevåg"
"Liv Amundsen","Moekroken 45A, 8967 Dahl"
"Steinar-Leif Myklebust","Alieggen 9E, 9735 Mathisen"
"Jørgen Jacobsen","Nilsenstien 688, 5986 Helland"
"Karin Johansen","Svendsenroa 097, 8615 Jenssen"
"Hilde-Kristin Abrahamsen","Thomassenhagen 40A, 4562 Mariteid"
"Odd Myklebust","Abrahamsengropa 5, 3530 Solberg"
"Dr. Dag Brekke","Myklebusthøgda 745, 3799 Paulsen"
"Nora Gulbrandsen","Halvorsenåsen 47, 5062 Anettevik"
"Lise Kristoffersen","Sivertsentoppen 23, 7819 Solheim"
"Karl Berg","Kristensenvollen 39A, 2454 Karolinebø"
"Johannes Birkeland","Brekkemarka 3, 7621 Alfstad"
"Turid Birkeland","Jakobsenfaret 2C, 3578 Martinehamn"
"Rune Lie","Bergevika 2C, 2788 Karlsen"
"Hege Myhre","Jakobsenplassen 5E, 7372 Wenchenes"
"Emil Aune-Andersen","Engenjordet 32, 7064 Trondvåg"
"Vilde-Mona Hauge","Nilsenskrenten 91, 5965 Torstad"
"Dr. Eirik Knutsen","Isaksenmoen 9, 7638 Solheim"
"Ola Ali","Jensenhøgda 87, 9515 Abrahamsen"
"Jenny Ruud","Hagenløkka 9, 5323 Henriksen"
"Frank Myhre","Isaksenvollen 16C, 9574 Elineid"
"Stein-Tobias Lien","Hanssengjerdet 43, 7179 Nguyen"
"Sigrid Bakken","Arnesenåsen 00C, 2167 Næss"
"Elisabeth-Cecilie Strand","Hansenmarka 20B, 5384 Lien"
"Kjersti Simonsen","Jørgensenlia 8, 5045 Lunde"
"Cathrine Haugen-Bøe","Andresenskogen 23, 8157 Tangen"
"Tonje Ødegård","Madsenengen 6B, 6915 Kirstensund"
"Dr. Finn Jacobsen","Tangenmoen 2B, 3355 Bakke"
"Heidi Edvardsen","Berntsenstykket 150, 9008 Mathiasvær"
"Espen Haug","Andreassentjernet 9, 5499 Maritstrand"
"Vidar Rasmussen","Fredriksengropa 642, 2490 Mariafjell"
"Cecilie Lunde","Alitoppen 1, 4950 Danielsen"
"Laila Hanssen","Knutsenekra 42, 0517 Heidines"
"Lise Mikkelsen","Birkelandmarka 7A, 5537 Holm"
"Nora Hagen","Larsenroa 78, 9775 Robertstad"
"Dag-Tommy Sivertsen","Gundersenmarka 887, 2727 Evensen"
"Silje Johannessen","Christensenskogen 133, 5416 Andersen"
"Dr. Frode Strand","Gulbrandsengjerdet 9, 8813 Henriksen"
"Harald-Kjetil Abrahamsen","Bergplassen 4, 2196 Holm"
"Ingeborg-Line Johannessen","Mathisenplassen 8E, 1848 Bentedal"
"Sigurd Eliassen","Holmengen 867, 0809 Pervåg"
"Tobias Amundsen","Martinsenskrenten 700, 0535 Kirstenstad"
"Marianne-Jenny Halvorsen","Pettersenjordet 94, 6758 Emmaås"
"Kim Solberg-Mathisen","Bergkollen 8, 0581 Berg"
"Kjell Brekke","Kristiansengropa 7C, 3254 Iversen"
"Roy Thorsen","Arnesenmoen 40, 4344 Siriås"
"Emma Henriksen","Gundersenspranget 18, 8366 Irenestad"
"Dr. Gunnar Jensen","Kristoffersenvika 41, 2537 Trinehamn"
"Kirsten Moe","Solbergåsen 6, 7704 Thorfjord"
"Håvard Thomassen","Hellandbakken 65, 2860 Paulsen"
"Berit Strøm-Ali","Danielsenskogen 96, 4405 Jørgensen"
"Marit Lien","Haugenspranget 9E, 1390 Trondås"
"Adrian Berge","Danielsenekra 1, 1585 Roarø"
"Petter Paulsen-Jacobsen","Eliassengrenda 052, 7917 Haugen"
"Inger Sandvik","Gundersenengen 9, 1456 Egilvik"
"Tone Moen","Ødegårdmarka 91, 3470 Torbjørnsund"
"Tobias Knutsen-Antonsen","Iversenåsen 7, 2315 Linnodden"
"Dr. Helge Nielsen","Aligata 777, 5542 Aas"
"Helge Berge-Ødegård","Arnesentoppen 9, 8308 Myhre"
"Ruth Nielsen","Simonsenstranda 23H, 4638 Karolinefjord"
"Steinar Kristiansen","Kristoffersenskogen 7, 8641 Kennethborg"
"Karin Evensen","Andreassentoppen 66, 6329 Iversen"
"Solveig Berg","Ødegårdmyra 1C, 4808 Mettesjøen"
"Thor-Fredrik Amundsen","Evensenkroken 6, 5013 Anettestrøm"
"Øystein Helland","Hanssenskogen 2, 9215 Moe"
"Tommy Haugen","Halvorsenstien 797, 4809 Cathrinebø"
"Dag Ruud","Antonsenmyra 6, 7968 Noraborg"
"Dr. Henrik Larsen","Eidestubben 84, 9908 Steinarfjell"
"Cathrine Strøm","Kristoffersenmyra 1, 1605 Cathrineås"
"Jon Edvardsen","Hansenkroken 7, 2446 Haugen"
"Arne Tveit","Engenberget 7, 1190 Terjemark"
"Geir Dahl","Eriksenkroken 5, 5612 Ragnhildnes"
"Linn Tveit-Johansen","Birkelandgata 5C, 4685 Ali"
"Cecilie Amundsen","Paulsentunet 58, 5962 Lund"
"Linda-Hanne Andreassen","Holmløkka 4F, 7142 Stianberg"
"Laila Kristensen","Jacobsenmarka 724, 0434 Eliseby"
"Aud Nguyen","Andresenstykket 6C, 9758 Sandvik"
"Dr. Henrik Næss","Gundersenkroken 2, 3050 Sisselhavn"
"Fredrik Pettersen","Gulbrandsenbakken 6, 7013 Halvorsen"
"Thea Olsen","Madsenengen 02G, 5391 Siriodden"
"Eli Bakke","Holmstykket 6, 5805 Kristensen"
"Tone Svendsen-Berge","Lienkollen 4, 6019 Lie"
"Jorunn-Siri Evensen","Andresenmarka 08, 4074 Jørgensen"
"Petter Danielsen","Svendsenflata 7, 6434 Karlsen"
"Markus Hanssen","Sætherhavna 6, 2815 Mariannestad"
"Gunnar Næss","Isaksenvollen 70, 3735 Martinefjord"
"Julie Tangen-Ali","Sætherstykket 4, 1817 Amundsen"
"Dr. Håkon Rønning","Ahmedeggen 90, 8458 Lenesand"
"Emil-Kristian Danielsen","Moeroa 21, 5524 Vildeborg"
"Elisabeth-Sissel Nguyen","Rasmussensvingen 53, 3545 Thomassen"
"Linn Solheim","Myhrevollen 7B, 2818 Monicastad"
"Vidar Ali","Bergegjerdet 989, 6524 Christianstrand"
"Morten Lunde","Bergevollen 59, 2073 Aas"
"Steinar-Ole Bakke","Brekkegjerdet 57A, 4270 Lien"
"Janne Holm","Thomassenjordet 35, 9118 Lailaby"
"Håkon Nilsen","Paulsenmyra 93C, 3846 Nielsen"
"Anne Aune","Knudsenberget 8G, 5530 Kristensen"
"Dr. Jens Haug","Pettersenhøgda 5, 8979 Thorfoss"
"Marit Henriksen","Myhrestranda 37, 8066 Kåreborg"
"Malin Arnesen","Evensenholtet 4G, 8165 Gerdhavn"
"Eirik Kristiansen","Bakkemarka 4, 6237 Lailaø"
"Karoline-Ann Hagen","Knudsenåsen 6, 7038 Jørgenås"
"Terje Rønning","Jakobsenengen 9, 8115 Åsestrand"
"Svein Halvorsen","Tveittjernet 5, 2678 Birkeland"
"Stian Haug","Madsenfaret 59, 0699 Aune"
"Nina Nielsen","Eriksenstubben 544, 0100 Adriandal"
"Hanna Johansen-Helland","Berghaugen 6, 2248 Sveinø"
"Dr. Johan Rønning","Nilsenengen 55, 3261 Andersen"
"Knut Hagen","Sandviklia 95, 9815 Haraldhelle"
"Egil Henriksen","Eidestykket 2C, 1310 Ingeborghamn"
"Pål Christensen","Aasenmoen 07, 2666 Jorunnmark"
"Tom Lie","Mikkelsenringen 1, 6037 Knudsen"
"Anders Mikkelsen","Gundersenholtet 4, 0986 Fredriksen"
"Morten Karlsen","Vikstubben 72, 1979 Lunde"
"Martin-Stein Gundersen","Gulbrandsenvollen 3, 3310 Simonsen"
"Emilie Lund","Jacobsenskrenten 00E, 1997 Pedersen"
"Ann Martinsen","Solbergplassen 01, 8412 Myklebust"
"Dr. Kristoffer Danielsen","Ødegårdmarka 1, 0917 Kennethhamn"
"Tom-Mathias Pedersen","Olsenflata 2, 3375 Strand"
"Ivar Martinsen","Aasenskrenten 9, 5669 Andresen"
"Prof. Stian Hauge","Strandvollen 4A, 4513 Pettersen"
"Hans-Karl Halvorsen","Eliassengata 52A, 6312 Sverrestrand"
"Mathias Nygård","Halvorsentunet 4F, 4977 Sørensen"
"Kjersti Gundersen","Andreassenflata 36, 3532 Hauge"
"Eli Strøm","Jørgensenflata 8E, 6882 Andreassen"
"Emil-Fredrik Abrahamsen","Strømstubben 209, 2231 Johannesmark"
"Silje Henriksen","Haugesvingen 87A, 5434 Johansen"
"Dr. Lars Fredriksen","Nguyenholtet 62, 6729 Eliassen"
"Astrid Nygård","Næssbakken 2, 3862 Malinodden"
"Maria Mathisen","Sørensenroa 4, 9232 Torsjøen"
"Mona-Ann Halvorsen","Olsengropa 2, 1463 Svendsen"
"Pål Abrahamsen","Sætherhagen 94, 5334 Hegesjøen"
"Ragnhild Berntsen","Dahlengen 6, 2501 Lindanes"
"Mona Næss-Berntsen","Birkelandkollen 70, 0874 Marianneås"
"Leif Iversen-Tangen","Næsslia 7, 3287 Nguyen"
"Tobias Berge","Svendsenbråten 3, 0452 Henriksen"
"Helene Moen","Holmspranget 264, 2507 Torestad"
"Dr. Lars Isaksen","Evensenskrenten 4, 9226 Ivarodden"
"Prof. Alf Henriksen","Madsenberget 3, 5510 Edvardsen"
"Alf Jensen","Hagenholtet 474, 6882 Haugland"
"Geir Mathisen-Sandvik","Olsenroa 65, 6938 Ødegård"
"Frank Aasen","Aasberget 43G, 9874 Bakke"
"Gunn Isaksen","Eriksenbakken 4, 2464 Jakobsen"
"Marius Moen","Abrahamsenalléen 58, 4270 Sofienes"
"Kirsten Madsen","Iversenringen 9, 5864 Andersdal"
"Håvard Mathisen","Bergestranda 24, 2091 Madsen"
"Johannes Antonsen","Berntsenmoen 39, 5854 Oddhelle"
"Dr. Leif Haugen","Fredriksenalléen 22F, 5290 Annaodden"
"Leif Iversen","Haugenflata 5, 8419 Johannessen"
"Tone Sæther","Aasberget 54B, 2289 Arildø"
"Wenche Engen","Halvorsenhagen 303, 4973 Ivarhelle"
"Cathrine-Karin Knudsen","Amundsenlunden 7, 7546 Svendsen"
"Siv Martinsen-Nilsen","Myhregata 6, 0595 Lien"
"Åse Lunde","Tveitfaret 17, 0677 Janås"
"Prof. Marius Svendsen","Eriksenskogen 2, 4608 Kristofferhamn"
"Arne Ruud","Johannessenlunden 9, 0295 Henriksen"
"Fredrik Holm","Kristoffersenstranda 51A, 9670 Lunde"
"Dr. Markus Kristoffersen","Martinsenringen 17, 2145 Mariussjøen"
"Trine Bakke","Kristoffersenfaret 3, 2121 Haug"
"Prof. Vegard Paulsen","Tangenvika 61, 7146 Pålås"
"Håkon Strand","Johannessenmyra 7, 6561 Evensen"
"Morten Antonsen","Sørensenskogen 52, 9317 Toneeid"
"Eivind Moe","Vikfaret 8, 7703 Brekke"
"Geir-Sondre Aune","Halvorsenhavna 79, 7208 Gromark"
"Tore Haugen-Bakke","Nielsenlunden 7, 4004 Tangen"
"Ida Ellingsen","Lientunet 40, 5008 Åsesand"
"Håkon Halvorsen","Martinsenmyra 32, 7986 Eliassen"
"Dr. Martin Lie","Hagenfaret 561, 3360 Fredrikås"
"Ruth Thorsen-Mathisen","Fredriksenrøa 9, 7844 Kristinby"
"Stine Solheim","Nilsenmyra 22A, 0902 Jakobsen"
"Sigrid Dahl","Vikengen 55, 1472 Bakke"
"Solveig Lunde","Amundsengrenda 3B, 6301 Pedersen"
"Trond Berntsen","Johannessenekra 2, 7096 Nielsen"
"Sebastian-Anders Madsen","Isaksenhagen 024, 1056 Malinvåg"
"Linda-Stine Aune","Berggata 9, 7511 Tveit"
"Vilde Moen","Jørgensenbakken 63, 8821 Asbjørnøy"
"Håvard Svendsen","Halvorsenspranget 8, 2801 Bentenes"
"Dr. Mathias Danielsen","Arnesenbakken 743, 3147 Elisabethodden"
"Janne Lien","Johnsensvingen 6, 8674 Olaås"
"Siri Hauge-Kristoffersen","Bøehøgda 13, 8767 Siristrand"
"Elin Amundsen","Haugenhagen 659, 4710 Øysteindal"
"Martine Ahmed","Hauglandkroken 00, 4129 Øyvindbø"
"Lise Kristensen","Amundsengata 6, 0992 Berntsen"
"Elisabeth Ruud","Johnsenlyngen 11, 7648 Olavås"
"Alexander Nielsen","Brekkehavna 35, 6193 Julieodden"
"Eli Bakke","Aasfaret 3A, 2899 Eriksen"
"Kari Gundersen","Sæthervika 76, 5160 Annagrunn"
"Dr. Olav Amundsen","Birkelandfaret 5C, 1383 Dagby"
"Dag Kristiansen","Sæthergata 10, 5176 Tobiasfjord"
"Else Isaksen","Lienalléen 41, 7536 Liseøy"
"Lene Kristoffersen","Birkelandskrenten 117, 2077 Jakobsen"
"Dr. Kristian Sørensen","Bergbråten 8E, 4005 Groby"
"Marius Johnsen","Abrahamsenstranda 56A, 2800 Erikborg"
"Wenche-Marianne Kristensen","Antonsenlia 05, 9273 Anngrunn"
"Synnøve Nilsen-Hanssen","Lundhøgda 5A, 4592 Jensen"
"Emilie Antonsen","Arnesenmoen 3, 4856 Elinås"
"Ole Lien-Evensen","Ellingsenåsen 8, 6620 Lineodden"
"Dr. Roar Halvorsen","Strømgjerdet 5, 5354 Tangen"
"Kim Bøe","Myhreskogen 8, 8486 Tangen"
"Magne Jørgensen","Nielsenflata 4, 1035 Mariegrunn"
"Marte-Marianne Jacobsen","Hellandgropa 1, 9257 Arnesen"
"Arne Mathisen","Vikbråten 89, 2273 Bakke"
"Karl Andreassen","Moestubben 8, 9936 Hegevær"
"Tom Gulbrandsen","Martinsenfaret 7, 8451 Solberg"
"Jørgen Thomassen","Danielsenstykket 7, 5187 Trinesjøen"
"Thea Kristensen-Lunde","Andreassenspranget 83, 4007 Knutsen"
"Joakim Hanssen","Thomasseneggen 63B, 6798 Ingerfjell"
"Dr. Roger Sørensen","Vikbråten 32, 3719 Johannesstad"
"Linn Amundsen","Kristiansenbakken 77, 4146 Oddhelle"
"Thea Ruud-Solberg","Thorsengjerdet 1, 6551 Anitahamn"
"Bjørn Aasen","Simonsensvingen 224, 1823 Emmastrøm"
"Dr. Tommy Ahmed","Hellandtunet 58, 4466 Johnby"
"Knut Gulbrandsen-Larsen","Lundeløkka 3A, 0475 Nygård"
"Inger Thorsen","Jensenrøa 94A, 7580 Knutsen"
"Leif Edvardsen","Nielsentoppen 75, 7047 Andresen"
"Adrian Haugland","Jacobsenstien 31C, 1449 Vegardøy"
"Dr. Eivind Myklebust","Vikspranget 8, 3288 Antonsen"
"Dr. Rolf Jørgensen","Hauglandholtet 8B, 6985 Synnøveodden"
"Robert-Per Kristoffersen","Abrahamsensvingen 3F, 4547 Nielsen"
"Prof. Jens Eriksen","Jakobsenflata 386, 0517 Berntsen"
"Jorunn Sivertsen","Aashøgda 9A, 8894 Ellingsen"
"Prof. Joakim Nguyen","Strandbråten 33A, 9636 Monicaby"
"Thea Lund","Vikvollen 78, 5991 Sandvik"
"Roger Arnesen","Vikhøgda 8B, 1104 Karistrand"
"Markus Holm","Abrahamsenløkka 2D, 7622 Jensen"
"Line Thomassen","Alieggen 71, 1189 Andersen"
"Rolf Andersen","Ellingsengropa 228, 4398 Strand"
"Dr. Rune Sæther","Sætherstien 79, 1982 Tommyvær"
"Siri Myhre","Edvardsenbråten 3, 1924 Thorsen"
"Kjetil-Kristian Solheim","Aunelia 8, 4724 Livmark"
"Finn-Leif Aune","Myklebuststubben 06, 8419 Bakken"
"Siv Larsen","Knutsenroa 8, 1850 Martinebø"
"Per Engen","Knutsenjordet 4, 0655 Evensen"
"Morten Rasmussen","Johnsenmyra 51, 4516 Greteby"
"Kjetil Eide-Andersen","Moeskrenten 1, 3759 Torillvåg"
"Sissel Edvardsen","Svendsenvollen 7, 7927 Fredrikfjord"
"Åse Hansen","Bakkegrenda 9, 2548 Fredrikfoss"
"Dr. Sondre Svendsen","Moenhagen 1F, 0130 Thorsen"
"Jon-Ola Antonsen","Lundringen 87, 4164 Eliseø"
"Eirik Brekke","Kristiansenringen 6, 4130 Andreaås"
"Kristin Bøe","Gundersengjerdet 5, 6373 Strøm"
"Ida Larsen","Aasenroa 4, 4456 Jørgensen"
"Tobias-Trond Berge","Fredriksenhøgda 2F, 2757 Bakken"
"Grethe Kristensen","Andersenhavna 3, 3725 Håkonfjord"
"Arild-Tom Sandvik","Tveitspranget 37B, 1552 Mathiashavn"
"Hanne Paulsen","Haugenjordet 14, 1919 Eliassen"
"Britt Sivertsen","Martinsengrenda 4, 9252 Johannessund"
"Dr. Stein Berge","Aasenstykket 76, 6979 Siljeby"
"Kjetil Christensen-Dahl","Ahmedhaugen 5, 7560 Strøm"
"Morten-Anders Tangen","Mikkelsenjordet 03, 0174 Erlingodden"
"Frank Lie","Sivertsenmoen 1A, 5175 Myklebust"
"Johan-Finn Ahmed","Birkelandjordet 756, 1086 Paulsen"
"Hanne Thomassen","Andersengrenda 9, 2462 Berg"
"Åse Jørgensen","Lieekra 770, 0245 Elinvær"
"Dr. Henrik Nielsen","Bøestubben 34, 2471 Solheim"
"Arne Eriksen","Jenssenlyngen 6, 0836 Mathisen"
"Joakim Jensen","Bakkenhøgda 58, 0368 Wenchehamn"
"Dr. Stein Isaksen","Lundroa 6, 4993 Ritastrøm"
"Sindre-Martin Bakken","Iversenvika 8, 8559 Mariestad"
"Gro Johannessen","Tveitengen 436, 6043 Hegestrøm"
"Bjørg-Siri Haug","Lundegata 22, 3309 Eliassen"
"Torbjørn Hansen","Martinsentunet 8, 7104 Kristinefjell"
"Terje Solberg","Strandjordet 10, 9732 Hildehamn"
"Sindre Kristiansen","Ahmedplassen 5, 6347 Tangen"
"Rune Gulbrandsen","Danielseneggen 4, 2789 Mariusmark"
"Hans-Arne Mikkelsen","Evensenrøa 468, 3455 Madsen"
"Nora Rasmussen","Aunejordet 6H, 0136 Stigfoss"
"Dr. Stian Ødegård","Hagenplassen 7, 6728 Irenefjord"
"Leif Madsen","Mikkelsentjernet 9, 0543 Ahmed"
"Malin Sivertsen","Myklebustlia 96, 9685 Markusfjell"
"Elisabeth Myklebust","Martinsenengen 7, 7544 Mariannesjøen"
"Ida-Sara Amundsen","Simonsenmarka 9F, 6085 Marieborg"
"Johan Thorsen","Evensenhagen 68, 2063 Halvorsen"
"Monica Sæther","Thomassenstubben 9E, 8242 Olsen"
"Maren Bakken","Rasmussenvollen 777, 4808 Sørensen"
"Terje Andresen","Nygårdløkka 1, 4803 Geirvåg"
"Dr. Johan Madsen","Solbergtjernet 831, 0435 Olaveid"
"Dr. Stig Vik","Eliassenmyra 248, 0727 Aune"
"Knut-Joakim Pedersen","Strømberget 7, 7263 Johansen"
"Helge Holm-Karlsen","Jakobsenkroken 9A, 5855 Kristianberg"
"Bjørn Johnsen","Aligata 40B, 5082 Iversen"
"Laila Johannessen","Larsenskogen 9C, 9709 Aasen"
"Kirsten Hansen","Viktunet 51, 8426 Jensen"
"Cathrine Thomassen","Kristiansenhaugen 5, 6022 Nygård"
"Lise Simonsen","Svendsenstykket 56, 0550 Antonsen"
"Trine Nilsen","Hansenhaugen 69, 6688 Vik"
"Morten Nilsen","Jenssenbråten 652, 6491 Grovåg"
"Dr. Sverre Solberg","Hellandhagen 369, 2921 Hildehamn"
"Kjersti Bøe","Nielsenengen 034, 6100 Kennethmark"
"Cecilie Tveit","Hagenrøa 4, 1328 Abrahamsen"
"Camilla Svendsen","Antonsengjerdet 35, 3864 Roarberg"
"Rita Ali","Amundsenmarka 3, 7144 Petterstad"
"Stig Pettersen","Andreassenløkka 2, 6739 Knutmark"
"Arne Ødegård","Ødegårdberget 2A, 3355 Engen"
"Martin Mathisen","Andersenstien 81, 1178 Olsen"
