"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Sondre Holm"	"Ellingsenlyngen 43, 5497 Madsen"
"Daniel Holm"	"Ruudmyra 25B, 3177 Jensen"
"Roar-Hans Gulbrandsen"	"Pettersenengen 77, 6906 Johansen"
"Magnus Nilsen"	"Nilsenberget 22, 2710 Kristiansen"
"Hans Hanssen"	"Amundsenhøgda 66, 3388 Henriksjøen"
"Sindre Nguyen"	"Jensengjerdet 647, 3182 Irenevåg"
"Liv Lien"	"Ahmedhavna 1C, 9914 Camillaø"
"Berit Danielsen"	"Nielsenlia 764, 1603 Lie"
"Anita Bakke"	"Aasenhaugen 7H, 1270 Alfhamn"
"Roger Eriksen"	"Tangengata 3, 1442 Åseeid"
"Tobias Lien"	"Moeringen 3, 5116 Maritstrøm"
"Dr. Kristian Haugland"	"Hauglandplassen 22, 5331 Moe"
"Dr. Geir Antonsen"	"Holmringen 2, 0998 Emilieeid"
"Jon Andreassen-Hansen"	"Holmskrenten 055, 1456 Bakke"
"Linn Eriksen"	"Edvardsenekra 3D, 7523 Frankøy"
"Anette-Kirsten Haugland"	"Larsenlia 89, 7989 Kristiansand"
"Robert Fredriksen"	"Martinsengropa 6, 3210 Fredriksen"
"Berit Haug"	"Larsenbråten 81, 2649 Bakke"
"Andreas Knudsen"	"Nguyenbakken 312, 2616 Abrahamsen"
"Karl-Daniel Rasmussen"	"Danielsenstranda 2, 3232 Helgehamn"
"Kristian-Ole Thorsen"	"Dahlengen 5, 8066 Knudsen"
"Roar Madsen"	"Eliassenmyra 187, 6864 Solheim"
"Stian Jørgensen"	"Thomassenmarka 41, 0901 Ingeborgnes"
"Unni Nilsen"	"Nguyensvingen 84, 8028 Tangen"
"Marte Kristensen"	"Strømekra 7, 8971 Olaberg"
"Arne-Thor Amundsen"	"Johnsenhøgda 548, 2905 Hansvik"
"Karin Johnsen-Lie"	"Martinsenholtet 51, 6966 Kjetilfjell"
"Berit Haugland"	"Thorsengata 80, 1713 Tovesund"
"Dr. Martin Sandvik"	"Pedersenskrenten 8, 3307 Fredriksen"
"Christian Sæther"	"Hagenringen 361, 3969 Andresen"
"Tor-Simen Engen"	"Liemoen 57B, 9376 Dagfjord"
"Prof. Svein Jakobsen"	"Jenssengjerdet 9, 5051 Synnøveberg"
"Stein Solberg"	"Hauglandløkka 3, 2156 Strøm"
"Mona Haugland"	"Tangenlyngen 3H, 8876 Torberg"
"Solveig Bakke"	"Hagenvika 6, 8367 Kårehamn"
"Tore-Roy Ruud"	"Jensenlyngen 044, 8380 Gretehavn"
"Dr. Knut Aasen"	"Thomassenflata 9E, 1915 Abrahamsen"
"Berit Kristiansen"	"Bakkevika 38, 6003 Evensen"
"Sigurd Helland"	"Bergmarka 3E, 0540 Ødegård"
"Laila Solheim"	"Danielsenhagen 2, 2899 Juliehelle"
"Andreas Madsen"	"Andresenvollen 379, 9568 Malinbø"
"Jenny Sæther"	"Jensenberget 7, 8659 Solheim"
"Kari Eide"	"Tveitstranda 1B, 5425 Berge"
"Kjetil-Sigurd Lien"	"Mathisentoppen 3, 1549 Lie"
"Trine Karlsen"	"Haugeroa 07, 8017 Nygård"
"Siv-Marie Lund"	"Halvorsenstykket 9, 6579 Kristianstad"
"Kristine Danielsen"	"Andreassenåsen 8, 6586 Helgedal"
"Berit Lien"	"Johansenmarka 3, 7784 Henrikodden"
"Tone Lund"	"Madsentjernet 7, 5481 Finnfjord"
"Arne Madsen"	"Hagengropa 7, 6105 Jakobsen"
"Lene Danielsen-Rasmussen"	"Tangenhaugen 4C, 4187 Rolfbø"
"John-Pål Jenssen"	"Mathisentoppen 1H, 9740 Jonmark"
"Erik Nielsen"	"Mathisenrøa 5, 4395 Amundsen"
"Emil Christensen"	"Jakobsenmarka 3C, 1887 Jakobsen"
"Randi Nielsen"	"Solheimskogen 1, 3568 Linestrøm"
"Frank Gulbrandsen"	"Hagenbakken 01B, 5175 Torestrand"
"Kjell Nguyen"	"Lundholtet 26, 2229 Svendsen"
"Berit Moen-Pettersen"	"Johnsenroa 1A, 4854 Aune"
"Trine Iversen"	"Bakkekroken 9, 7920 Tobiasstrøm"
"Siri Rasmussen"	"Eriksenhagen 6, 8683 Marennes"
"Kristoffer Karlsen"	"Næssmoen 51, 4656 Kristiansen"
"Eli Knutsen"	"Bergjordet 13A, 6560 Idamark"
"Nils Jakobsen-Sivertsen"	"Arnesenlyngen 59E, 7165 Mariøy"
"Ida Solberg"	"Kristiansenmarka 7C, 4537 Danielsen"
"Simen Pedersen"	"Bøebakken 50, 6751 Annberg"
"Karoline-Vilde Gundersen"	"Aasengjerdet 3, 0771 Lisesund"
"Sondre Birkeland"	"Jensenlyngen 58, 6129 Knutsen"
"Berit Sæther"	"Solheimvika 8, 8586 Lie"
"Elisabeth Jacobsen"	"Aastoppen 5, 5431 Christensen"
"Kåre Hagen-Berg"	"Hauglandstien 410, 2931 Toneeid"
"Bjørn Halvorsen"	"Moenstranda 482, 9953 Sivertsen"
"Emilie-Marie Helland"	"Johnsentoppen 093, 0068 Theastrøm"
"Kristin Brekke"	"Knutsenbakken 2E, 3498 Reidunfoss"
"Thor-Lars Eide"	"Edvardsenhøgda 05, 8639 Aas"
"Anita-Kari Nilsen"	"Bakkengropa 2, 2127 Hansen"
"Nils Johnsen"	"Alivika 28A, 0005 Erlingsjøen"
"Tom-Robert Henriksen"	"Haugenengen 04, 7555 Brekke"
"Berit-Elisabeth Abrahamsen"	"Amundseneggen 86, 8546 Sisselnes"
"Emma Gulbrandsen"	"Brekkestranda 6, 8045 Eriksen"
"Frode Ødegård"	"Hauglandmoen 61C, 9592 Tangen"
"Ann Lund"	"Pedersenkollen 3, 8079 Gretehavn"
"Marius Lie"	"Tangenjordet 602, 1391 Sæther"
"Tor Kristensen-Ali"	"Pedersenhavna 8B, 6071 Ellingsen"
"Marianne Kristiansen"	"Knudsengjerdet 9, 5167 Groøy"
"Emilie Paulsen"	"Tangenplassen 70, 3742 Karlsen"
"Laila Kristiansen"	"Kristensenplassen 74, 8972 Nielsen"
"Ingrid Knutsen"	"Jensenjordet 18, 7800 Eide"
"Berit-Maria Thomassen"	"Eidehøgda 3, 7871 Strøm"
"Finn Iversen-Myklebust"	"Johansenholtet 5, 1309 Jørgenstad"
"Per Helland"	"Karlsenhaugen 5, 0752 Nilsen"
"Tor Pettersen"	"Martinseneggen 1, 3760 Sandvik"
"Gerd Simonsen"	"Kristoffersenhagen 53A, 2005 Jonasvåg"
"Vidar Myhre"	"Andersentunet 2, 8702 Olsen"
"Roar Isaksen"	"Birkelandtjernet 13, 5592 Pettersen"
"Rolf Lund"	"Halvorsenhavna 1, 1426 Andresen"
"Erik-Dag Antonsen"	"Aasenkollen 21F, 9910 Evavær"
"Randi Rasmussen"	"Hanssenspranget 98, 0147 Myklebust"
"Berit-Marie Eliassen"	"Nguyenjordet 2, 6216 Audgrunn"
"Tobias-Roy Sandvik"	"Olsenkroken 2, 1779 Elinstad"
"Linda Næss"	"Myklebusthøgda 5, 5579 Karenfoss"
"Geir-Sindre Næss"	"Bergeløkka 40, 3929 Ruud"
"Sara Hauge"	"Kristiansenfaret 7, 7714 Unniberg"
"Sofie Nilsen"	"Martinsenvika 1G, 3910 Stianeid"
"Silje Tangen"	"Myklebustløkka 1, 5116 Abrahamsen"
"Anna Karlsen"	"Sætherhagen 46, 8087 Steinarsjøen"
"Tove Johnsen"	"Sætherskrenten 8, 8735 Alexanderø"
"Sigurd Holm"	"Halvorsenstranda 5, 9141 Idavær"
"Bjørg Ahmed"	"Arnesengata 8A, 3902 Gulbrandsen"
"Siv Amundsen"	"Thomassentoppen 90, 4883 Jonasfjord"
"Roger Ødegård"	"Henriksenmyra 57, 3477 Jenssen"
"Emil Mikkelsen"	"Aligropa 6, 0688 Henriksen"
"Roar Strøm"	"Johnsenlunden 25G, 4631 Øysteinodden"
"Thomas Aas"	"Dahlvika 880, 3640 Anitasund"
"Jorunn Dahl"	"Edvardsentoppen 7D, 8203 Lindahelle"
"Jon Nielsen"	"Andreassenbråten 9, 8290 Henriksen"
"Hanne Birkeland"	"Gulbrandsensvingen 5, 4062 Emilhamn"
"Karl-Jon Jensen"	"Johansensvingen 81, 4675 Juliefjell"
"Bjørg Christensen"	"Larsenkroken 5, 5258 Roareid"
"May Nielsen"	"Thomassentoppen 3, 0485 Synnøvegrunn"
"Anders-Geir Berge"	"Haugstubben 8, 1813 Solheim"
"Cecilie Henriksen"	"Abrahamsengjerdet 570, 9011 Jonfoss"
"Roar Martinsen-Moe"	"Aasenstykket 4, 8087 Theaås"
"Lene-Else Sandvik"	"Berntsenstien 614, 5963 Ellingsen"
"Prof. Magnus Hagen"	"Johnsengjerdet 7, 5255 Karlfoss"
"Finn Andreassen"	"Eliassengata 3A, 6652 Moe"
"Wenche Lund"	"Sandviklyngen 00, 1253 Frankø"
"Jon-Adrian Arnesen"	"Evensenstubben 5, 1923 Rolfby"
"Bjørg Larsen-Mathisen"	"Edvardsenmarka 70, 8271 Kristoffersen"
"Aud Edvardsen"	"Rasmussengrenda 22, 2996 Lindanes"
"Svein Iversen-Jørgensen"	"Gulbrandsenplassen 14, 6308 Saragrunn"
"Marius Jørgensen"	"Moekollen 270, 1592 Knutsen"
"Karoline Aasen-Strøm"	"Bergehaugen 82C, 1788 Henriksen"
"Unni Jensen"	"Moegata 7A, 5719 Hanssen"
"Hege Bøe"	"Halvorsenstranda 1, 2342 Elisabetheid"
"Helene Martinsen"	"Rasmussenvika 971, 0437 Grethegrunn"
"Siv-Synnøve Næss"	"Ødegårdgrenda 30, 1466 Geirøy"
"Simen Strand"	"Tveitlyngen 1A, 7901 Mortenfoss"
"Bjørg Sæther"	"Lundemyra 355, 5364 Mariuseid"
"Kenneth Christensen"	"Haugetunet 007, 4364 Beritgrunn"
"Gunnar Sørensen"	"Paulsenekra 59, 8462 Fredrikbø"
"Petter Hagen"	"Aasenlia 2, 1707 Henrikhavn"
"Einar Henriksen"	"Fredriksenstranda 8, 1810 Kristensen"
"Grethe Thorsen"	"Ruudkroken 575, 8502 Gulbrandsen"
"Synnøve Moe"	"Jørgensenberget 71, 0085 Siriø"
"Kjetil Pedersen"	"Johnsenbakken 1A, 7557 Geirhavn"
"Marius-Simen Mikkelsen"	"Ruudholtet 7, 2270 Jennyhamn"
"Kari Kristiansen"	"Johnsenspranget 1, 0722 Mathiasvåg"
"Bjørg-Stine Martinsen"	"Solheimgropa 22, 2289 Ruud"
"Wenche Iversen"	"Martinsenplassen 73, 1364 Janneeid"
"Johan Rønning"	"Martinsenbråten 98B, 1098 Ahmed"
"Jonas-Stig Henriksen"	"Liengata 8, 1977 Sørensen"
"Elin Nielsen"	"Fredriksenstien 732, 5849 Heidiby"
"Ragnhild-Bjørg Jørgensen"	"Bergehøgda 25, 5642 Myklebust"
"Line-Gerd Berntsen"	"Jensenmoen 938, 6600 Sørensen"
"Olav Simonsen-Kristiansen"	"Edvardsenkollen 83, 8007 Larsen"
"Astrid Eliassen"	"Johnsenfaret 69A, 3699 Helenehelle"
"Marius Mathisen"	"Nguyenkroken 1, 7293 Jenssen"
"Bjørn Holm"	"Svendsengata 17E, 3442 Oddvåg"
"Kjersti Evensen"	"Martinsenlia 3, 5823 Moe"
"Espen-Rune Danielsen"	"Brekkeskrenten 113, 8947 Pedersen"
"Marianne Johnsen"	"Pettersenholtet 6B, 0875 Andersen"
"Gro Ahmed"	"Holmringen 5B, 0757 Cathrinefoss"
"Henrik-Arne Berge"	"Næssgrenda 3, 2031 Gulbrandsen"
"Gerd Gundersen"	"Johansenmarka 23, 7098 Randivåg"
"Eivind Holm-Pettersen"	"Mathisenskogen 64, 6044 Oddhavn"
"Cathrine Svendsen"	"Kristiansenkollen 62, 4360 Simonsen"
"Thea Vik-Haug"	"Karlsengrenda 1, 5116 Sigurdbø"
"Bjørn-Hans Berg"	"Hanssentunet 1, 0201 Eliseøy"
"Tommy-Einar Svendsen"	"Iversengropa 433, 8214 Næss"
"Mona Eliassen"	"Kristensenkroken 4, 3693 Bakken"
"Sissel Jenssen"	"Strømhavna 105, 0063 Gunnøy"
"Emma Solberg"	"Ruudengen 59, 0021 Astridhamn"
"Karl Johansen"	"Antonsenhaugen 29, 6896 Christensen"
"Sara Berge"	"Iversenmyra 23, 9864 Jørgensen"
"Jon Amundsen"	"Mikkelsenløkka 60D, 5253 Sæther"
"Jenny Solberg"	"Gundersenkollen 11, 1217 Sandvik"
"Terje-Bjørn Nygård"	"Henrikseneggen 5, 3843 Steinareid"
"Bjørn-Stian Lund"	"Tveitbråten 680, 1598 Jannevik"
"Olav Thomassen"	"Bøevika 25, 6062 Haug"
"Cathrine Helland"	"Mathisenstranda 3, 6948 Magnusvær"
"Petter Jacobsen"	"Abrahamsenhaugen 93, 8280 Helland"
"Henrik Aasen"	"Jørgensensvingen 6, 4679 Johansen"
"Laila Moe"	"Alibråten 03, 2590 Sørensen"
"Alexander Sandvik"	"Myklebuststykket 4, 8192 Paulsen"
"Geir Moe"	"Tangensvingen 289, 0067 Haug"
"Kristian-Mathias Henriksen"	"Mathisenhaugen 34, 2496 Ahmed"
"Synnøve Aune"	"Sørensensvingen 745, 0758 Eliseby"
"Britt Andresen"	"Hauglandengen 4A, 9160 Martinefjell"
"Marit Fredriksen"	"Mathisenkollen 9, 9412 Tangen"
"Sebastian Lund"	"Simonsenbakken 49, 6038 Dahl"
"Emil Fredriksen-Bakken"	"Pedersengata 508, 0992 Haug"
"Odd Jørgensen"	"Rasmussenroa 01E, 0696 Unnivik"
"Anna Svendsen"	"Hansenroa 53, 7261 Nielsen"
"Jon Ødegård"	"Bergeholtet 6, 6083 Eide"
"Torill Myklebust"	"Iversenvika 51F, 7245 Karihavn"
"Pål-Øyvind Kristensen"	"Aunegropa 58C, 7116 Martinsen"
"Anita Hagen"	"Kristensenstien 30, 1630 Lund"
"Britt Eriksen"	"Moehaugen 81H, 5525 Geirvåg"
"Henrik Næss"	"Knutsenbakken 079, 5564 Jacobsen"
"John Fredriksen"	"Haugtunet 80, 3600 Andersen"
"Malin Sandvik"	"Myklebustfaret 6, 3370 Rasmussen"
"Nora Nilsen"	"Knutsentunet 2E, 6816 Aasen"
"Jenny Nilsen"	"Mikkelseneggen 1, 6382 Thorsen"
"Rita Johansen"	"Thomassenberget 6C, 8839 Aune"
"Pål Vik-Jacobsen"	"Ellingsengata 37, 5591 Astridvær"
"Kjersti Aas"	"Nilsenstubben 1B, 3514 Stianvåg"
"Martine Haugen"	"Ellingsenkroken 2, 0623 Ingridsund"
"Britt Johansen"	"Thomassenstykket 68C, 9233 Bakke"
"Hilde Gulbrandsen"	"Strømbakken 122, 8511 Rogermark"
"Tom Larsen"	"Solbergstykket 6, 1773 Turidodden"
"Thea-Bente Tangen"	"Paulsenalléen 3, 6455 Berge"
"Dr. Alexander Bakke"	"Andreassenstykket 78, 3278 Danielsen"
"Mari Tveit"	"Andreassenvollen 6F, 2280 Myklebust"
"Hilde Sæther"	"Lienbakken 6B, 5734 Dahl"
"Eivind-Helge Lund"	"Thomassenstykket 2, 1950 Mariberg"
"Stian Berntsen"	"Ellingsenekra 59, 0472 Olaås"
"Kristian Vik"	"Johannessenberget 3, 8706 Sandvik"
"Britt Knudsen"	"Kristoffersenåsen 77, 5435 Edvardsen"
"Odd Eriksen-Aasen"	"Solheimspranget 8, 3701 Arnesen"
"Jan Dahl"	"Solheimspranget 210, 7861 Ellingsen"
"Vidar-Roar Birkeland"	"Nguyengjerdet 76, 3766 Iversen"
"Steinar Iversen"	"Knutsengrenda 33E, 1686 Hannevåg"
"Marte Gundersen"	"Haugenlunden 187, 5697 Mathisen"
"Elin Arnesen"	"Olsenringen 93G, 7660 Haraldvær"
"Henrik Berntsen"	"Liemyra 7, 0960 Kåremark"
"Unni Aasen"	"Ødegårdjordet 3, 4309 Knudsen"
"Eirik Ali"	"Tangeneggen 74, 4391 Berntsen"
"Britt Lunde"	"Gundersenmoen 5, 9404 Kennethdal"
"Siv Nilsen"	"Simonsenflata 8B, 9779 Lund"
"Berit Larsen"	"Haugringen 61C, 4412 Berge"
"Robert Moen"	"Nielsenalléen 5, 3654 Antonsen"
"Øystein Arnesen"	"Sætherlunden 92, 8481 Andreaøy"
"Håkon-Johannes Jørgensen"	"Haugenløkka 943, 0038 Vegardhamn"
"Erik Martinsen"	"Fredriksenplassen 3, 1284 Karlsen"
"Stein Strand"	"Lienskogen 9, 5334 Trondsjøen"
"Anette-Rita Birkeland"	"Strandsvingen 4, 9517 Sanderfjell"
"Espen Eliassen"	"Kristiansentjernet 1, 8065 Gunnvik"
"Britt Moe"	"Hansenløkka 620, 2340 Leneodden"
"Prof. Torbjørn Rønning"	"Hellandgjerdet 7, 6845 Johansen"
"Ola Mathisen"	"Moentunet 630, 4840 Stinestad"
"Kjetil Karlsen"	"Jensenlyngen 6, 7163 Eirikmark"
"Lars Knutsen"	"Fredriksenkollen 8, 5780 Idagrunn"
"Randi Berntsen"	"Holmekra 5, 4411 Antonsen"
"Kjetil-Henrik Vik"	"Bøekollen 8C, 5686 Amundsen"
"Nils Johannessen"	"Holmbakken 1, 9236 Steinsund"
"Stein Henriksen"	"Alibakken 247, 6687 Åseodden"
"Roger Nilsen"	"Engenplassen 28, 9304 Martebø"
"Britt Strand"	"Strømtoppen 5, 1829 Lund"
"Øyvind Arnesen"	"Haugenrøa 7, 3119 Simenborg"
"Rita Andersen"	"Ødegårdgjerdet 4, 9518 Pettersen"
"Sissel Nygård"	"Kristiansengjerdet 4, 4686 Henriksen"
"Sissel Edvardsen"	"Sivertsenholtet 8, 5218 Grohamn"
"John-Alf Sandvik"	"Johannessenhavna 5, 8821 Ingridøy"
"Rita-Ida Strøm"	"Hanssengjerdet 46, 6231 Paulsen"
"Eva Kristoffersen"	"Næssekra 07, 8216 Randivåg"
"Harald Christensen"	"Bøestranda 84C, 0595 Andersen"
"Marius Eliassen"	"Fredriksenspranget 96B, 9929 Olsen"
"Camilla Arnesen"	"Evensenlia 65D, 3249 Eriksen"
"Grete Madsen"	"Knutsenskrenten 6B, 6291 Ivargrunn"
"Ingrid Fredriksen"	"Moenhøgda 8, 8754 Sindrevik"
"Linn Lunde"	"Bergkroken 8, 1756 Liseodden"
"Kristoffer Karlsen"	"Bakkemyra 08C, 6787 Petterøy"
"Nora Aas"	"Haugenhaugen 4, 1493 Nielsen"
"Dr. Sondre Solheim"	"Svendsenmyra 2, 0993 Nguyen"
"Gunnar Larsen"	"Aunegata 1, 2267 Elihelle"
"Øyvind Brekke-Strøm"	"Jacobsenstien 50, 3408 Eivindsund"
"Tommy Sandvik"	"Jensenekra 6, 7014 Jacobsen"
"Camilla Birkeland"	"Alispranget 922, 5634 Ruud"
"Jenny Mikkelsen"	"Haugeflata 9, 8735 Cecilieø"
"Andreas Danielsen"	"Amundsenkroken 94, 8188 Sofievær"
"Arild-Bjørn Nilsen"	"Knutsenlunden 57, 8425 Jorunnstrand"
"Per Solheim"	"Edvardsenrøa 34A, 7267 Engen"
"Robert Hanssen"	"Sætherhavna 3, 8878 Lie"
"Anette Gundersen"	"Aasenholtet 18A, 4018 Gunnøy"
"Alexander Myklebust"	"Berggropa 7, 2948 Bjørgvåg"
"Tor Birkeland"	"Rasmussenengen 23B, 2609 Stianstad"
"Sondre-Roar Sandvik"	"Ahmedskrenten 1, 5660 Helland"
"Camilla Holm"	"Engenlunden 480, 9425 Kristinsand"
"Karin Ruud"	"Jensenroa 1, 6074 Hansen"
"Lars Ødegård-Abrahamsen"	"Andersenfaret 80, 2745 Sæther"
"Emilie Edvardsen"	"Hellandkollen 5, 3542 Torehavn"
"Robert Nguyen"	"Haugskogen 16, 7480 Ali"
"Cathrine Sandvik"	"Madsentunet 12, 1373 Oddhamn"
"Ann Helland-Aune"	"Henriksenmoen 69, 7695 Einarsund"
"Simen-Ole Paulsen"	"Sivertsenhøgda 2, 6902 Olavås"
"Hanne-Britt Martinsen"	"Christensenløkka 1, 5364 Myhre"
"Emilie Solheim"	"Kristoffersenmoen 7A, 8789 Engen"
"Camilla Jørgensen"	"Andersenstykket 61F, 4304 Jakobsen"
"Astrid-Mari Knutsen"	"Bakkenkollen 18H, 9392 Henrikstrøm"
"Ellen Andreassen"	"Sandvikroa 4C, 5380 Danielø"
"Svein Knudsen"	"Hansseneggen 91F, 7383 Thomasø"
"Arild Thorsen"	"Jakobsenekra 02, 1631 Karlsen"
"Anne Danielsen"	"Sørensentjernet 2, 3733 Dagøy"
"Camilla-Turid Kristensen"	"Eliassenhagen 4, 2805 Myhre"
"Alf Ødegård"	"Bergengen 66, 2155 Johanstad"
"Sissel Aasen"	"Danielsenjordet 23F, 8372 Bjørngrunn"
"Eivind Fredriksen"	"Knudsenbakken 2, 7831 Solheim"
"Camilla Martinsen"	"Thorsenløkka 48, 2058 Jakobsen"
"Janne-Sigrid Mikkelsen"	"Amundsenstranda 3C, 9215 Edvardsen"
"Geir Aas"	"Brekkespranget 6, 7544 Kristensen"
"Elisabeth Karlsen"	"Gundersenløkka 5, 1230 Isaksen"
"Ann Simonsen"	"Abrahamsenmarka 934, 7600 Torefjell"
"Nina Henriksen"	"Vikringen 818, 5613 Thorsen"
"Sebastian Berg"	"Solheimalléen 26, 8589 Kåreøy"
"Tore Berntsen-Pettersen"	"Jakobsenvika 13, 2346 Strand"
"Marius Nygård"	"Berntsenmarka 5E, 4127 Egildal"
"Torbjørn Nguyen"	"Arnesenalléen 5A, 6438 Sivertsen"
"Camilla Nguyen"	"Gundersenlunden 41, 6315 Hildeodden"
"Kåre Aune-Hagen"	"Lundbakken 8, 4167 Berg"
"Øystein Edvardsen"	"Olsenkollen 60, 1571 Sørensen"
"Malin Hansen"	"Tangenkroken 16, 8948 Theavik"
"Simen Bakke"	"Johannessenflata 41, 3658 Kristinenes"
"Dag Bakken"	"Gundersensvingen 3F, 8645 Moen"
"Cecilie Bakken"	"Eideplassen 81, 6036 Elinsand"
"Karoline Nilsen"	"Ahmedstubben 30B, 3072 Espenstad"
"Håvard-Torbjørn Aune"	"Kristiansenberget 9B, 8624 Henriksen"
"Pål Arnesen"	"Eliassengropa 5, 1864 Vik"
"Camilla Svendsen"	"Jacobsenvika 45, 0002 Kristensen"
"Morten Aune"	"Knutsentjernet 70C, 7913 Antonsen"
"Unni-Maria Svendsen"	"Johnsenstien 22, 2347 Ritanes"
"Solveig-Siri Lien"	"Simonsenvollen 3, 4879 Anderssund"
"Prof. Stein Gulbrandsen"	"Ahmedroa 32C, 5874 Sveinvær"
"Vegard Bøe"	"Lundebakken 5, 5006 Sørensen"
"Marit Paulsen"	"Ahmedhøgda 9, 8229 Myklebust"
"Johan Madsen-Pettersen"	"Paulsenskogen 8, 0929 Johnsen"
"Sofie-Silje Hanssen"	"Hellandkollen 9C, 7226 Kristiansen"
"Ann Christensen"	"Madsenlunden 89, 4100 Berg"
"Camilla-Silje Mathisen"	"Haugengjerdet 5, 5813 Frankeid"
"Petter Gundersen"	"Hanssenstranda 33, 1712 Tommymark"
"Alexander Olsen"	"Edvardsenringen 1, 2710 Maritsund"
"Helge Kristensen"	"Lundekollen 3, 4074 Paulsen"
"Irene Ødegård-Eliassen"	"Hauglandlunden 8, 1336 Stinehelle"
"Kristine-Eva Hanssen"	"Kristiansensvingen 6H, 4486 Næss"
"Arne Aas"	"Myklebuststykket 493, 9704 Henriksen"
"Dr. Sebastian Tangen"	"Eliassenmarka 19, 8552 Haugland"
"Trine Moe"	"Arnesengjerdet 061, 7777 Gulbrandsen"
"Joakim-Henrik Vik"	"Paulsengata 2, 1527 Johannessen"
"Cathrine Ali"	"Lienstubben 469, 2151 Strand"
"Prof. Thor Birkeland"	"Strandtunet 4, 4583 Hannaås"
"Arild Brekke"	"Tveitbråten 51, 2599 Haugland"
"Line Antonsen"	"Nilsenekra 3, 7305 Solheim"
"Jon-Geir Gundersen"	"Iversenholtet 824, 1165 Emilø"
"Ola Jørgensen"	"Simonsenmyra 5, 1161 Strand"
"Trond Johansen"	"Lielia 893, 7203 Vidargrunn"
"Kjell Berntsen"	"Pettersenspranget 05F, 9014 Berg"
"Simen Brekke"	"Ellingsenmyra 2C, 1284 Eriksen"
"Jorunn Knudsen"	"Hauglandholtet 8A, 4453 Kennethnes"
"Cathrine Bakken-Johnsen"	"Strandløkka 2A, 6383 Eriksen"
"Prof. Tobias Ruud"	"Arnesenfaret 1, 3292 Andreassen"
"Dag Hauge"	"Svendsenskrenten 4, 3645 Brekke"
"Rita Haug"	"Brekkeringen 46, 6417 Vidarsjøen"
"Irene-Kirsten Eriksen"	"Amundsenløkka 86, 2008 Gundersen"
"Ida Larsen"	"Haugenjordet 71, 3265 Isaksen"
"Maria Eriksen"	"Sivertsenplassen 4D, 4817 Gerdsjøen"
"Stian Aas-Thorsen"	"Rønningrøa 20, 7875 Ragnhildfoss"
"Joakim Mathisen"	"Hansengjerdet 23, 6343 Ingeborgstrand"
"Dr. Vegard Kristiansen"	"Andresensvingen 2, 2564 Dagodden"
"Cathrine Johannessen"	"Iversentoppen 6, 3097 Oddby"
"Pål Antonsen"	"Holmbråten 5D, 2857 Sisselhamn"
"Roger-Kim Lie"	"Bøeflata 5A, 8142 Sisselsund"
"Roger Solberg"	"Christensenringen 9, 6988 Danielsund"
"Tom Larsen"	"Isaksenlia 1, 4662 Eivindbø"
"Prof. Arild Vik"	"Pettersenlia 1, 0397 Erikberg"
"Tove Myhre"	"Pedersenstykket 99, 6891 Johnhamn"
"Prof. Sigurd Pedersen"	"Bøehagen 06, 8091 Tomvik"
"Markus Myklebust"	"Jensenskogen 4, 4822 Haug"
"Einar Kristiansen"	"Johansenberget 90, 6140 Dagås"
"Cathrine Kristoffersen"	"Sivertsengata 94A, 4792 Thomassen"
"Olav Olsen"	"Hellandekra 12E, 7644 Karlby"
"Dr. John Henriksen"	"Hellandvollen 14, 5592 Elinodden"
"Reidun Nielsen"	"Iversensvingen 82E, 4505 Håvardnes"
"Olav-Stig Andresen"	"Haugetoppen 6, 3785 Thorsen"
"Vidar Rønning"	"Nguyenekra 8, 3972 Strand"
"Ivar-Kåre Andresen"	"Thomassenstranda 350, 1059 Nilsen"
"Gro Kristoffersen"	"Hauglandkollen 6, 2413 Adrianborg"
"Fredrik Antonsen"	"Hansenekra 2, 9081 Kirstenfjord"
"Anette Danielsen"	"Bergbakken 673, 5339 Strøm"
"Cathrine Sivertsen"	"Tangenekra 1, 4652 Lie"
"Vidar Bakken"	"Brekkehagen 98D, 0495 Marenfjell"
"Ivar Haugland"	"Lienskrenten 6, 4146 Sarastrand"
"Grethe Jakobsen"	"Lundetjernet 3, 2873 Øyvindsund"
"Nils Lie"	"Halvorsenlunden 26, 7768 Halvorsen"
"Silje Tangen"	"Kristensenroa 8F, 1940 Emilnes"
"Hege Jacobsen-Berntsen"	"Arnesenjordet 81, 1927 Ingeborgvik"
"Siri Tangen-Antonsen"	"Jørgensenmoen 34, 7126 Karlsen"
"Karoline-Gro Tveit"	"Moeskogen 901, 5909 Bakken"
"Siri Aasen"	"Nguyensvingen 8A, 8837 Eivindø"
"Cecilie Berg"	"Olsenbakken 88, 4038 Jørgendal"
"Sigurd Strand"	"Madsengjerdet 92C, 2342 Perhelle"
"Sigurd Andreassen-Sæther"	"Hellandekra 9E, 0568 Robertstad"
"Per Nguyen"	"Haughagen 65F, 3457 Jenshamn"
"Christian Kristoffersen"	"Engenspranget 8, 0537 Haugen"
"Torbjørn Kristensen-Moen"	"Johansengjerdet 44, 8355 Noraeid"
"Elise Nguyen"	"Svendsenmarka 995, 3153 Mariannehavn"
"Tove Haugland"	"Engenbråten 211, 5348 Ragnhildsund"
"Eirik Ali"	"Gulbrandsenholtet 6F, 9324 Rogermark"
