"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"गौरव अहेरजी","9/9 प्रज्ञा साने
कोल्हापूर-421563"
"कैलास शिरसाटजी","00 गणेश माने
हिंगोली 732020"
"श्री आशा शिरसाट","37/0978 स्मिता साळुंखे
मुंबई-591525"
"रोहिणी आगरकरजी","206 प्रज्ञा राऊत
रत्नागिरी-702868"
"मानसी सावंत","1209 साळुंखे
बीड 028692"
"आदित्य पाटीलजी","7766 माधव जगताप
मिरज 250917"
"माधव ओकजी","28/8143 अनिरुद्ध आगरकर
औरंगाबाद 367344"
"स्वाती शिरसाट","94 सावंत
ठाणे 308220"
"श्रीमती अनिता कांबळे","130 रोहित माने
अमरावती 658803"
"समीर फडकेजी","7 श्रुती माने
लातूर 097563"
"श्रीमती उमा पवार","6388 चौगुले
परभणी 941393"
"कैलास साळुंखे","78/76 विनायक ओक
सोलापूर-265481"
"कुमारी स्वाती कांबळे","2/5 हर्षद देशमुख
सांगली 808871"
"निलेश साने","9/1 माधुरी कांबळे
पुणे-668234"
"अमित साळुंखे","64/815 चव्हाण
सोलापूर-408757"
"प्रज्ञा गवळीजी","4/3 दत्तात्रेय अहेर
नांदेड-994502"
"हर्षद देशपांडे","27/65 अभिजीत चव्हाण
उस्मानाबाद-272941"
"श्री प्रिया पाटील","19/0044 रोहित चौगुले
मिरज 687648"
"जितेंद्र अहेरजी","250 मीनल जाधव
नाशिक-344362"
"श्री गौरव गायकवाड","31/078 कीर्ती गायकवाड
अहमदनगर 897548"
"कुमारी पंकज ठाकूर","0/2 कीर्ती चौगुले
पिंपरी-चिंचवड-235413"
"कैलास सावंत","43/52 दीपाली कदम
सोलापूर-972971"
"श्रुती गायकवाड","06/35 गायकवाड
अकोला 834322"
"कोमल साळुंखेजी","78/39 फडके
औरंगाबाद-339808"
"श्री प्रशांत भोसले","076 प्रिया महाजन
अमरावती 939369"
"श्रीमती पंकज माने","26/3548 साने
रत्नागिरी-952014"
"श्रीमती अनिल फडके","3841 महाजन
नांदेड-099548"
"स्वाती गवळीजी","9 जाधव
मिरज-910875"
"श्री नेहा भोसले","887 साने
औरंगाबाद 097165"
"श्री इशिता कांबळे","77 अहेर
पुणे 718987"
"कुमारी समीर मोरे","0/7 नेहा राऊत
औरंगाबाद 515474"
"कोमल आगरकर","61 सावंत
बीड 975441"
"आकांक्षा ठाकूरजी","14/9064 गवळी
गोंदिया 330437"
"वैशाली भोसलेजी","79/818 सावंत
रत्नागिरी 036527"
"प्रकाश जाधव","59/044 फडके
मुंबई 366889"
"रेणुका ओक","20 रीमा कुलकर्णी
चंद्रपूर-303704"
"निखिल ओकजी","8 देशमुख
अहमदनगर 130715"
"अभिषेक आगरकर","45/4110 देशमुख
मुंबई 480487"
"उमेश फडकेजी","909 पाटील
अहमदनगर 565670"
"कुमारी गौरी आगरकर","25/745 जोशी
नवी मुंबई-564465"
"अनुष्का ओकजी","8 सावंत
सांगली 973779"
"कोमल आगरकरजी","5/2 गायकवाड
नवी मुंबई-651879"
"चेतन पवारजी","39/275 गौरव ठाकूर
नाशिक-059332"
"कुमारी अपर्णा फडके","7727 जगताप
मुंबई 741150"
"समीर जोशी","67 अनुष्का शिंदे
हिंगोली-533821"
"माधुरी आगरकरजी","45/420 राऊत
सातारा 610554"
"मीनल अहेर","13/729 उमा मोरे
परभणी 122708"
"सचिन ओकजी","063 दत्तात्रेय अहेर
रत्नागिरी-630407"
"कुमारी अनिरुद्ध शिरसाट","61/024 अहेर
नाशिक 441753"
"श्री प्रिया माने","93/787 नेहा भोसले
नागपूर 984839"
"श्रीमती रीमा शिंदे","85/254 पाटील
नवी मुंबई-761799"
"कोमल कांबळेजी","25 कल्पना कांबळे
हिंगोली 006713"
"पूजा गवळी","224 दत्तात्रेय चव्हाण
नागपूर 634894"
"प्रज्ञा जगताप","52/88 कोल्हे
पिंपरी-चिंचवड-261162"
"आशा ठाकूर","36/8945 स्मिता जोशी
धुळे-017157"
"अनिता जाधवजी","685 निलेश कुलकर्णी
वसई-456353"
"स्मिता कोल्हेजी","83/98 चेतना कुलकर्णी
जळगाव 461144"
"श्रीमती सचिन चौगुले","2 शिंदे
पुणे-273505"
"माधुरी साने","43/0653 गौरव ओक
कोल्हापूर 555820"
"अभिषेक चौगुले","54/0343 अहेर
पुणे 139329"
"प्रशांत महाजन","15 सुनील अहेर
सोलापूर 270223"
"कोमल कोल्हे","8 धनंजय सावंत
धुळे-970626"
"प्रशांत पाटीलजी","75 पाटील
औरंगाबाद-552485"
"श्रीमती मंगेश कांबळे","87 कुलकर्णी
धुळे-647823"
"अभिजीत ओक","9/1 अशोक सावंत
रत्नागिरी 533559"
"मोहन जगतापजी","24/353 कविता महाजन
सांगली 730500"
"सचिन माने","07/559 मकरंद अहेर
अकोला-627983"
"श्री रीमा देशमुख","0/5 कुलकर्णी
परभणी 928941"
"आशा कोल्हे","53/00 श्रुती ठाकूर
धुळे-524183"
"स्मिता चव्हाण","1/6 राऊत
धुळे 461627"
"गौरी गायकवाड","10/46 अमोल जोशी
बीड 300959"
"कोमल कोल्हेजी","43/718 आदित्य साळुंखे
मिरज 061988"
"सचिन देशपांडेजी","14 पंकज सावंत
हिंगोली 135933"
"विनायक राऊतजी","38 विनायक साळुंखे
पिंपरी-चिंचवड 990669"
"अनिल देशमुखजी","47 माने
नवी मुंबई 400374"
"पूजा मोरे","74/7879 भूषण महाजन
हिंगोली 961525"
"भूषण देशपांडे","3207 कुलकर्णी
कोल्हापूर 088296"
"विवेक सावंत","9 शिंदे
मुंबई 521710"
"अंजली पाटील","504 महाजन
नागपूर-500042"
"सुनील देशपांडे","3 रीमा मोरे
पिंपरी-चिंचवड 464563"
"श्री प्रवीण देशमुख","91/5214 जगताप
यवतमाळ-565029"
"कोमल गवळीजी","0188 महाजन
सातारा-851350"
"दीपाली गायकवाडजी","3/1 दीपाली शिंदे
नांदेड 975928"
"श्री गौरी कुलकर्णी","3/2 आगरकर
सोलापूर 312283"
"रोहिणी गवळी","75/627 शिल्पा कांबळे
पुणे 950117"
"अनिरुद्ध गायकवाडजी","07/662 रोहिणी कुलकर्णी
पुणे 244679"
"किरण कोल्हेजी","1713 अरुण जोशी
सोलापूर 637971"
"विवेक पाटीलजी","302 राहुल सावंत
नवी मुंबई 842317"
"प्रकाश जाधव","321 देशमुख
अकोला 865518"
"गणेश कुलकर्णी","30/083 चेतन आगरकर
जळगाव-798773"
"किरण माने","94/880 कोल्हे
कोल्हापूर 979009"
"कोमल चव्हाण","12/26 अनिल जाधव
नांदेड-601540"
"सुनील ठाकूर","77/3530 फडके
मिरज 157338"
"विकास जाधवजी","75/4553 शिरसाट
नागपूर 211457"
"वैशाली साळुंखे","9552 गायकवाड
चंद्रपूर 402542"
"कुमारी चेतन महाजन","35 साने
कोल्हापूर 181046"
"उमेश कोल्हे","58/3009 अभिषेक जगताप
पुणे 518764"
"सुनील चौगुलेजी","40/620 फडके
उस्मानाबाद 051773"
"अरुण ओक","79/7388 समीर चौगुले
मिरज 129525"
"सुनील गवळीजी","5 स्वाती देशपांडे
पिंपरी-चिंचवड 962656"
"कीर्ती राऊत","37/62 अभिषेक ठाकूर
चंद्रपूर 187840"
"कोमल ठाकूर","73 गायकवाड
परभणी-103324"
"कुमारी विनायक पाटील","32/3738 तन्वी भोसले
लातूर 023126"
"आकांक्षा गवळी","42/537 प्रज्ञा देशमुख
धुळे 466926"
"मंगेश पाटीलजी","27/78 पवार
अमरावती-954943"
"मंगेश जगतापजी","8142 जगताप
लातूर 869881"
"ज्योती मोरे","752 धनंजय मोरे
धुळे-430088"
"रीमा जाधव","6/8 सावंत
जळगाव 566961"
"प्रिया देशपांडेजी","52/2816 कुलकर्णी
कोल्हापूर 630896"
"श्रीमती मेघा कांबळे","62 आदित्य कोल्हे
पिंपरी-चिंचवड 692599"
"दत्तात्रेय कांबळेजी","4 जाधव
पिंपरी-चिंचवड-119389"
"कोमल देशपांडेजी","74/813 कोल्हे
धुळे-305445"
"कुमारी प्रवीण चव्हाण","70/89 दीपक साने
सोलापूर 889795"
"निलेश गायकवाड","247 आगरकर
कोल्हापूर 794467"
"श्री अमोल साने","43/1103 कदम
उस्मानाबाद-656021"
"कैलास पाटीलजी","83/263 कोल्हे
हिंगोली 419493"
"श्रीमती स्नेहा मोरे","089 जगताप
जळगाव 975634"
"कल्पना फडके","73 पवार
परभणी-501233"
"अनिता महाजनजी","92/5421 आगरकर
नवी मुंबई-861296"
"चेतना माने","737 निखिल माने
हिंगोली 608167"
"माधुरी महाजनजी","44/0206 गौरव फडके
लातूर 827248"
"कोमल पाटील","027 साळुंखे
औरंगाबाद 812265"
"कल्पना ठाकूर","3 गवळी
नाशिक 909595"
"कुमारी उमेश कदम","7/2 जाधव
सांगली 383056"
"संदीप देशमुख","9 गणेश कदम
नाशिक 628164"
"समीर ओक","79/459 अंजली पवार
यवतमाळ 693043"
"श्रीमती कोमल देशमुख","6/1 देशमुख
लातूर-565297"
"कुमारी स्मिता आगरकर","83/7704 पवार
नांदेड 827829"
"अमित शिंदे","21 आकाश मोरे
कोल्हापूर-295929"
"मेघा चव्हाणजी","7 श्रुती ओक
गोंदिया-625190"
"गणेश गायकवाड","69 गवळी
लातूर-274255"
"कोमल पाटील","21/535 अहेर
अहमदनगर-384029"
"प्रज्ञा साळुंखेजी","477 साळुंखे
कोल्हापूर 026653"
"कुमारी दत्तात्रेय कुलकर्णी","5/7 महाजन
नागपूर 277506"
"श्रीमती स्नेहा राऊत","33/75 मीनल साळुंखे
कोल्हापूर 597726"
"दीपाली चौगुलेजी","7/3 पाटील
अमरावती-496934"
"अमित गवळी","647 श्रुती माने
परभणी 184691"
"श्री दीपाली देशमुख","3 रेणुका आगरकर
अकोला 755933"
"गौरी जाधवजी","01 मोरे
नवी मुंबई-877125"
"श्रीमती गौरव आगरकर","485 कुलकर्णी
उस्मानाबाद-999854"
"लता ओकजी","35/5969 जाधव
वसई-400476"
"कोमल भोसले","23/294 गवळी
कोल्हापूर-856150"
"स्वाती गायकवाडजी","26/1540 ठाकूर
यवतमाळ-360218"
"अनुष्का जगताप","3/6 ठाकूर
परभणी 640707"
"अरुण ओकजी","376 मिलिंद राऊत
लातूर 468581"
"श्रीमती राहुल भोसले","5 शिंदे
उस्मानाबाद 855007"
"प्रिया कोल्हे","95/1096 मकरंद माने
अहमदनगर-393034"
"कैलास सावंत","4/3 कोल्हे
चंद्रपूर-919886"
"सचिन आगरकर","8 स्वाती सावंत
नांदेड 954185"
"श्रीमती अनुष्का शिंदे","427 जाधव
जळगाव-690241"
"दत्तात्रेय कुलकर्णी","6199 संदीप कोल्हे
अमरावती 661326"
"कोमल भोसलेजी","3/0 जाधव
जळगाव 461639"
"संदीप कुलकर्णीजी","04 मिलिंद माने
मिरज 491485"
"रोहिणी सावंतजी","97/530 कदम
सांगली 751400"
"राहुल पवार","4/9 मेघा सावंत
जळगाव-327026"
"गणेश जाधवजी","57/304 अंजली शिरसाट
अहमदनगर 487611"
"मकरंद शिरसाटजी","9 कोल्हे
मुंबई-520942"
"प्रकाश सावंतजी","348 पल्लवी जगताप
मिरज 231810"
"रेणुका जाधवजी","7/7 देशपांडे
हिंगोली 518077"
"श्री कोमल ठाकूर","931 कविता कुलकर्णी
वसई-126566"
"आकांक्षा अहेर","8001 तन्वी पाटील
ठाणे 779855"
"कोमल मोरेजी","09/77 जाधव
अहमदनगर 332934"
"श्री हर्षद ओक","6/1 साळुंखे
नाशिक-762879"
"अंजली राऊतजी","78/5173 देशपांडे
अहमदनगर 118960"
"श्रीमती अमित देशमुख","8828 माधव राऊत
बीड 614722"
"मानसी पवारजी","446 अरुण शिंदे
मिरज 961363"
"वैशाली पवार","29/388 अहेर
मुंबई 254883"
"कुमारी नेहा सावंत","6/5 प्रकाश महाजन
कोल्हापूर 632840"
"निखिल ओक","25/956 कुलकर्णी
पुणे 085101"
"प्रिया मोरेजी","803 महाजन
कोल्हापूर-092202"
"कुमारी श्रुती शिंदे","14/084 विकास ओक
गोंदिया 560162"
"कोमल राऊत","74/72 आगरकर
परभणी-775677"
"श्रीमती अशोक गायकवाड","0 देशपांडे
मिरज-813746"
"श्री अमोल ओक","7 अमोल देशमुख
गोंदिया 583799"
"वैशाली शिरसाटजी","85/12 मकरंद साळुंखे
पुणे-835742"
"कुमारी निखिल भोसले","08 कोल्हे
उस्मानाबाद-125694"
"किरण पाटील","53/2575 मकरंद राऊत
अहमदनगर 861019"
"माधव मोरे","8/5 महाजन
नवी मुंबई 268918"
"स्वाती देशपांडेजी","36/18 साळुंखे
औरंगाबाद 199792"
"कुमारी अशोक चव्हाण","87/766 चेतन भोसले
रत्नागिरी 361877"
"अभिषेक जाधवजी","0 स्मिता देशपांडे
यवतमाळ 430480"
"कोमल शिरसाटजी","1/1 शिंदे
नागपूर 714094"
"समीर शिंदे","9/2 सुनील महाजन
रत्नागिरी-651297"
"श्रीमती उमा शिरसाट","6/4 वैशाली ओक
यवतमाळ 075999"
"प्रकाश सावंतजी","418 ठाकूर
बीड 220017"
"आकाश भोसलेजी","76 सावंत
यवतमाळ 194089"
"प्रशांत पाटील","44/27 माने
जळगाव 074101"
"समीर गायकवाडजी","2 शिल्पा महाजन
सांगली 953635"
"मकरंद शिंदेजी","5 किरण चव्हाण
पुणे 905734"
"इशिता महाजनजी","6/6 गवळी
ठाणे-465436"
"श्री विकास देशमुख","078 माने
मिरज 020428"
"कोमल साने","5359 मकरंद मोरे
अहमदनगर 991738"
"सुरेश जगताप","45/271 मोरे
पिंपरी-चिंचवड 304983"
"श्रीमती विकास माने","02/923 ओक
धुळे 259310"
"श्री माधुरी सावंत","12/74 अहेर
अमरावती 712355"
"हर्षदा कदमजी","24/5861 राऊत
बीड-604198"
"दत्तात्रेय फडकेजी","0 सचिन चव्हाण
पुणे 586685"
"लता अहेरजी","73/01 श्रुती चव्हाण
परभणी-953378"
"कीर्ती चौगुलेजी","11/5598 महाजन
धुळे 941107"
"अभिषेक ठाकूर","7/1 मोरे
मिरज-000631"
"संदीप साळुंखेजी","506 ओक
रत्नागिरी 541747"
"कोमल साळुंखे","6/5 साळुंखे
लातूर-774094"
"आदित्य भोसलेजी","9 ईश्वर जाधव
हिंगोली-630372"
"कुमारी निलेश सावंत","8/1 अनिरुद्ध अहेर
रत्नागिरी-551597"
"जितेंद्र पाटीलजी","7 गायकवाड
पिंपरी-चिंचवड 332342"
"कुमारी विकास अहेर","5900 शिरसाट
रत्नागिरी 680717"
"माधुरी महाजनजी","322 प्रवीण चौगुले
नवी मुंबई 453260"
"चेतन सावंत","4136 साने
यवतमाळ-882208"
"कुमारी कल्पना माने","97/498 इशिता माने
सांगली 199521"
"कुमारी आशा ओक","69 शिरसाट
नवी मुंबई-789966"
"रेणुका पाटील","618 जगताप
अकोला-048626"
"गणेश कुलकर्णी","1 गायकवाड
यवतमाळ-280121"
"कोमल जाधव","437 कुलकर्णी
मुंबई 923500"
"स्मिता जोशीजी","68/487 गौरव चव्हाण
यवतमाळ 450411"
"श्रीमती भूषण सावंत","982 जितेंद्र ठाकूर
रत्नागिरी-024806"
"प्रज्ञा साळुंखे","35/3699 दीपाली मोरे
नागपूर 430122"
"मिलिंद माने","59 गणेश देशमुख
हिंगोली-029789"
"विनायक आगरकर","99/841 तन्वी कांबळे
मुंबई-299822"
"मानसी पाटील","006 हर्षद जाधव
सोलापूर-716275"
"श्रीमती माधुरी शिरसाट","244 मकरंद देशमुख
पुणे-989881"
"श्रीमती वैशाली महाजन","69/3388 शिरसाट
मिरज-818569"
"गणेश कोल्हेजी","3397 माने
पिंपरी-चिंचवड 908429"
"प्रशांत राऊतजी","86/4643 शिल्पा भोसले
मिरज 800621"
"मोहन कुलकर्णी","43/2568 प्रवीण पवार
नागपूर 107162"
"दीपाली पाटील","42/34 इशिता शिंदे
पुणे-283994"
"श्री पंकज साळुंखे","81 अशोक देशपांडे
मिरज 488130"
"वैशाली कांबळेजी","3445 ज्योती आगरकर
अमरावती 084938"
"मीनल ओक","76 चव्हाण
पिंपरी-चिंचवड 496555"
"कुमारी श्रुती गवळी","9 महाजन
पिंपरी-चिंचवड 050419"
"मीनल पवारजी","51/6647 साळुंखे
नाशिक-069420"
"स्मिता अहेर","5/4 गणेश सावंत
नवी मुंबई 189727"
"गणेश कोल्हेजी","60/4557 चौगुले
चंद्रपूर 480402"
"पल्लवी चौगुले","958 विकास शिंदे
लातूर 857984"
"अनिल राऊत","42 विवेक जाधव
कोल्हापूर 164110"
"दत्तात्रेय कुलकर्णी","45/0996 आगरकर
रत्नागिरी-544708"
"दीपाली गायकवाड","82/355 कदम
उस्मानाबाद 550298"
"श्री चेतना शिंदे","52/80 स्नेहा माने
अहमदनगर-088733"
"रोहित चौगुलेजी","13/7791 आगरकर
सोलापूर-421476"
"माधव मानेजी","466 आशा चौगुले
धुळे-495593"
"लता पवार","72/292 राऊत
नवी मुंबई-802730"
"रेणुका ठाकूरजी","3/0 चव्हाण
औरंगाबाद-771258"
"गणेश चौगुले","141 माधुरी मोरे
पुणे 102696"
"प्रज्ञा कांबळेजी","1 गौरव फडके
सोलापूर-451094"
"दीपक जोशी","6 रोहिणी अहेर
पुणे 299262"
"आकाश भोसलेजी","93/71 राऊत
जळगाव 663183"
"अरुण पाटील","8/6 चौगुले
लातूर 227048"
"शिल्पा देशपांडेजी","6/1 देशपांडे
रत्नागिरी 660769"
"हर्षदा पाटीलजी","025 चौगुले
अहमदनगर-675728"
"कुमारी राहुल अहेर","29 चेतन फडके
ठाणे-291330"
"कविता चव्हाणजी","05 कांबळे
मिरज 299075"
"निलेश अहेरजी","15/72 अभिजीत फडके
रत्नागिरी 352700"
"गणेश जगताप","40/5394 मंगेश जाधव
धुळे-966599"
"कुमारी माधुरी शिंदे","20/794 देशमुख
ठाणे 025655"
"कुमारी नेहा जगताप","837 अनिरुद्ध अहेर
औरंगाबाद 915751"
"स्मिता देशपांडे","93/267 कुलकर्णी
उस्मानाबाद 403068"
"मकरंद राऊतजी","80/4967 सावंत
गोंदिया 478091"
"श्रीमती सचिन अहेर","8/2 देशपांडे
चंद्रपूर-932152"
"श्री राहुल सावंत","077 पूजा राऊत
नागपूर 380900"
"मंगेश साळुंखे","5938 श्रुती फडके
सांगली 441558"
"वैशाली जगताप","874 ओक
मिरज-791838"
"मानसी कांबळेजी","20/0205 लता अहेर
सांगली-762761"
"गणेश ठाकूरजी","7823 कदम
उस्मानाबाद-454364"
"श्री अनिल भोसले","45 अमित कोल्हे
सांगली 088799"
"श्रीमती समीर गायकवाड","1 चौगुले
गोंदिया 576893"
"कुमारी माधव देशमुख","50/663 कोल्हे
गोंदिया-389956"
"गौरी चव्हाण","5046 तन्वी सावंत
वसई 141714"
"समीर मानेजी","01/767 देशपांडे
नागपूर 128372"
"कुमारी दत्तात्रेय चौगुले","03/590 पाटील
मुंबई-359669"
"कुमारी पूजा माने","11/9959 महाजन
मुंबई 594637"
"पंकज कुलकर्णी","39/2152 धनंजय पाटील
बीड 271679"
"प्रज्ञा महाजन","17 शिंदे
परभणी-651160"
"गणेश देशपांडेजी","61/8235 मोरे
ठाणे 009813"
"भूषण साळुंखे","51/61 गवळी
नाशिक 505646"
"कुमारी माधव कुलकर्णी","56/2160 भोसले
सोलापूर 362174"
"श्री वैशाली ओक","01 आकाश मोरे
गोंदिया 742248"
"अपर्णा सानेजी","40/745 पाटील
अकोला 594380"
"कुमारी स्मिता चव्हाण","17/84 चव्हाण
ठाणे 215893"
"कुमारी माधव गायकवाड","455 जगताप
सोलापूर 436225"
"धनंजय माने","7 संदीप जाधव
उस्मानाबाद 878838"
"विनायक सानेजी","4 पवार
सोलापूर 726741"
"उमा देशमुख","4604 उमा मोरे
रत्नागिरी-217438"
"गणेश देशमुखजी","8 शिरसाट
अहमदनगर 940906"
"उमा कदमजी","25/836 गौरव कोल्हे
नांदेड 067240"
"कुमारी स्वाती साने","03/2644 उमेश पवार
कोल्हापूर-428858"
"अभिषेक अहेरजी","3/2 मिलिंद जोशी
लातूर-141882"
"हर्षदा महाजनजी","2/2 प्रवीण भोसले
ठाणे-915776"
"रोहित सानेजी","88/56 ईश्वर कदम
कोल्हापूर-334528"
"श्रीमती लता शिंदे","71/72 माने
लातूर-482815"
"अभिजीत कदम","1 आगरकर
औरंगाबाद-986458"
"मानसी ठाकूर","2143 अनिरुद्ध जाधव
धुळे 794293"
"राहुल कुलकर्णी","11/817 माधुरी शिरसाट
अमरावती 685785"
"गणेश पवारजी","45/44 पवार
मिरज-902367"
"उमा गायकवाड","98 शिंदे
जळगाव 355747"
"धनंजय कुलकर्णीजी","0315 साने
चंद्रपूर-431945"
"श्री अशोक मोरे","0 जोशी
वसई 815315"
"ईश्वर राऊतजी","5 अमित अहेर
अमरावती-840138"
"अमित पवार","87/1914 पल्लवी महाजन
ठाणे 446029"
"कुमारी नेहा कदम","65 रोहित भोसले
नवी मुंबई-220823"
"पल्लवी राऊतजी","86/6395 कैलास अहेर
जळगाव 607241"
"कुमारी दीपक साळुंखे","31/0285 शिंदे
कोल्हापूर 406338"
"श्रीमती संदीप सावंत","22/112 रेणुका शिरसाट
धुळे-267859"
"गणेश पाटील","7 चव्हाण
वसई 628472"
"श्रीमती प्रकाश भोसले","087 अपर्णा कोल्हे
यवतमाळ-079212"
"श्री हर्षद जोशी","3/9 आशा कोल्हे
नवी मुंबई 792976"
"श्रीमती हर्षद अहेर","3 शिंदे
रत्नागिरी-761915"
"श्री अरुण शिंदे","64 माने
चंद्रपूर 649698"
"अभिजीत जगताप","26/199 अपर्णा अहेर
लातूर-730224"
"हर्षदा सावंतजी","1 माने
पुणे-617320"
"रोहित चव्हाण","40/20 राऊत
मुंबई 930864"
"पूजा शिरसाट","4842 माने
ठाणे 210552"
"श्री प्रकाश चौगुले","24 भोसले
अमरावती 104225"
"गणेश भोसलेजी","76/23 आगरकर
नाशिक-745027"
"मीनल ठाकूर","89/70 ठाकूर
चंद्रपूर 208088"
"अपर्णा राऊतजी","973 मकरंद देशमुख
हिंगोली-844718"
"कुमारी आशा जोशी","53/20 जोशी
पिंपरी-चिंचवड-982342"
"श्रीमती स्नेहा पवार","16/092 प्रवीण भोसले
बीड-790932"
"सचिन आगरकरजी","4529 श्रुती कुलकर्णी
पिंपरी-चिंचवड 014549"
"प्रवीण राऊतजी","34 कल्पना माने
हिंगोली-282694"
"चेतना अहेरजी","1129 महाजन
मिरज-367051"
"आकाश राऊतजी","79/52 प्रवीण गवळी
ठाणे-385169"
"राहुल गायकवाड","00/865 दत्तात्रेय फडके
लातूर 914918"
"गणेश भोसलेजी","84 प्रशांत आगरकर
बीड 468200"
"श्री गणेश गायकवाड","51/178 चेतना जोशी
औरंगाबाद 247974"
"कुमारी गौरी पवार","32/36 कैलास अहेर
पुणे-664272"
"श्री अभिषेक राऊत","51/5324 ठाकूर
अमरावती-114926"
"प्रज्ञा पवार","52/312 अनिरुद्ध गवळी
अहमदनगर-881912"
"उमा जाधवजी","847 पवार
लातूर-738795"
"कुमारी सचिन चौगुले","17 जाधव
नागपूर-757270"
"आकांक्षा पाटीलजी","63/896 पाटील
नाशिक 213157"
"श्रीमती रोहिणी देशपांडे","1/4 शिंदे
लातूर-582353"
"कुमारी अशोक जाधव","701 कांबळे
पिंपरी-चिंचवड-387456"
"गणेश माने","05/67 महाजन
अकोला-143073"
"सुनील राऊतजी","4 उमेश कांबळे
उस्मानाबाद-226017"
"दीपाली जोशीजी","57/5419 पाटील
नागपूर-742417"
"कुमारी विकास महाजन","14/869 मानसी भोसले
पुणे 964314"
"श्री ईश्वर माने","2 अनिता चव्हाण
सांगली 960280"
"हर्षद जाधव","2 अनिरुद्ध पवार
अहमदनगर 357991"
"कल्पना जाधव","131 हर्षदा चौगुले
अकोला-869596"
"मिलिंद मोरेजी","5345 अशोक साने
ठाणे-726850"
"श्री अमित मोरे","05/59 नेहा चव्हाण
औरंगाबाद-558143"
"प्रशांत सावंतजी","0/3 देशमुख
चंद्रपूर-561657"
"गणेश माने","858 अभिजीत ठाकूर
परभणी 144071"
"आशा अहेर","1122 वैशाली कांबळे
नवी मुंबई-375679"
"श्रीमती निखिल महाजन","27/02 ठाकूर
सातारा 254609"
"निलेश कदमजी","3 अमोल गायकवाड
सातारा-233583"
"श्री इशिता कुलकर्णी","6 कदम
बीड-020276"
"अमोल जोशी","1981 चौगुले
मिरज 718999"
"अभिषेक शिरसाट","1/5 महाजन
पिंपरी-चिंचवड 727788"
"आदित्य राऊतजी","44/73 मकरंद पवार
अमरावती-125349"
"मकरंद देशमुखजी","34/96 गायकवाड
उस्मानाबाद 029182"
"कुमारी पल्लवी देशमुख","0646 आगरकर
चंद्रपूर 629581"
"गणेश साने","225 कोल्हे
नागपूर 016761"
"कुमारी मंगेश कांबळे","58/122 रोहित भोसले
उस्मानाबाद 254890"
"विवेक कोल्हे","9 फडके
पुणे 992675"
"उमा सावंत","10 गायकवाड
चंद्रपूर-433991"
"अनिता मोरेजी","5639 कैलास पाटील
वसई 188844"
"आकांक्षा कांबळे","9257 सावंत
उस्मानाबाद 030771"
"रेणुका शिंदे","5 रीमा राऊत
हिंगोली-567057"
"श्रीमती मेघा देशमुख","4 गायकवाड
गोंदिया-252064"
"आशा महाजन","2 कदम
कोल्हापूर 937361"
"श्री दत्तात्रेय चव्हाण","13/844 गणेश गायकवाड
सातारा-137630"
"गणेश साळुंखे","17/25 देशपांडे
यवतमाळ-329465"
"माधुरी फडकेजी","44 पवार
सातारा 340102"
"प्रज्ञा सानेजी","653 प्रवीण ठाकूर
गोंदिया 682489"
"श्री गौरी देशमुख","854 प्रकाश साळुंखे
लातूर 260328"
"माधुरी माने","6 पाटील
गोंदिया-556976"
"संदीप शिंदे","7 पंकज साळुंखे
जळगाव-260098"
"हर्षदा देशमुख","5 वैशाली कांबळे
नागपूर-937769"
"समीर जाधव","82/7954 चौगुले
कोल्हापूर 341274"
"प्रवीण साळुंखेजी","25/773 रोहिणी कोल्हे
मुंबई 392324"
"श्रीमती वैशाली सावंत","07/6609 गायकवाड
बीड-488898"
"गणेश सावंतजी","0 पाटील
अकोला 922296"
"श्री किरण फडके","02/48 चव्हाण
अकोला 394317"
"श्रीमती सचिन देशपांडे","30/184 अशोक कोल्हे
सांगली 155624"
"उमेश ओकजी","6 कदम
परभणी-297348"
"श्रीमती प्रवीण जगताप","45/730 जोशी
नांदेड-865702"
"कुमारी अनिता चौगुले","12 मोहन गायकवाड
नाशिक 488189"
"विनायक सानेजी","2258 गायकवाड
यवतमाळ 632753"
"मानसी ओक","1/6 मकरंद माने
नवी मुंबई 605646"
"श्रीमती गणेश ओक","288 शिल्पा जाधव
नवी मुंबई-614546"
"कुमारी दत्तात्रेय फडके","5245 साळुंखे
गोंदिया 492110"
"गौरव अहेर","546 आदित्य माने
नवी मुंबई-881491"
"अमित ठाकूरजी","3013 अनुष्का ओक
सांगली 353734"
"पंकज चव्हाणजी","5/7 साने
कोल्हापूर-115107"
"स्मिता कोल्हेजी","35/040 महाजन
हिंगोली-131975"
"विवेक गायकवाड","7/8 कोल्हे
परभणी-759594"
"तन्वी गवळी","85/41 चेतन शिंदे
नवी मुंबई-166050"
"अभिषेक आगरकरजी","9/5 जाधव
नागपूर-096959"
"अभिजीत जाधव","26 साळुंखे
सातारा 683092"
"अमोल जगतापजी","3 जोशी
गोंदिया 468034"
"मकरंद गवळीजी","89 शिल्पा साळुंखे
हिंगोली 079612"
"गौरव आगरकर","8495 आदित्य जाधव
नागपूर-283633"
"श्री सुनील गायकवाड","1/5 फडके
नाशिक-694211"
"विकास जाधव","75/974 माने
रत्नागिरी-697425"
"चेतना साने","94/698 भोसले
उस्मानाबाद-453295"
"जितेंद्र मानेजी","02 कोमल साळुंखे
पुणे 143589"
