"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"कुमारी वैशाली ओक","6058 विनायक मोरे
मिरज-980161"
"कुमारी कैलास कुलकर्णी","0 चेतना फडके
परभणी-022971"
"निलेश चव्हाणजी","12/24 अमोल साने
धुळे 898865"
"श्री विकास सावंत","9 सावंत
नाशिक-132435"
"आदित्य आगरकर","47 कांबळे
वसई-573176"
"श्रीमती मानसी भोसले","1930 कल्पना सावंत
चंद्रपूर-702027"
"समीर कांबळेजी","4/2 जोशी
पिंपरी-चिंचवड-533439"
"कीर्ती जोशीजी","4 अभिजीत मोरे
जळगाव 874248"
"आदित्य आगरकर","3 आदित्य जोशी
नांदेड 169506"
"उमा कोल्हेजी","4272 शिरसाट
मुंबई-221755"
"कोमल ठाकूर","15 मोरे
परभणी-216222"
"कुमारी कैलास महाजन","76/26 आगरकर
बीड 008670"
"श्रीमती प्रिया जगताप","4 अमित सावंत
रत्नागिरी-443453"
"कुमारी स्वाती देशपांडे","8/2 आगरकर
जळगाव 752250"
"अमोल कदम","88/852 पंकज जगताप
परभणी-695168"
"पंकज राऊतजी","12/67 कोल्हे
ठाणे-375626"
"चेतन पवार","2/4 प्रज्ञा ओक
नवी मुंबई-171094"
"पूजा सावंत","87/5875 चौगुले
परभणी 694211"
"कुमारी गौरी कुलकर्णी","98/91 भोसले
मिरज 985675"
"श्री अनिल शिरसाट","29/454 कुलकर्णी
बीड-474568"
"विनायक सानेजी","9 भोसले
बीड-838071"
"कुमारी कैलास साने","50 मकरंद देशमुख
लातूर 636157"
"कुमारी राहुल आगरकर","2/0 गौरी चौगुले
रत्नागिरी-923664"
"कुमारी अभिषेक ठाकूर","26/09 कोल्हे
नागपूर 221438"
"गौरव मानेजी","14 प्रशांत चव्हाण
वसई 541459"
"अंजली गायकवाडजी","8977 रोहित भोसले
नागपूर-544756"
"कुमारी रेणुका पाटील","4 गवळी
उस्मानाबाद 269290"
"श्री सुरेश आगरकर","87/19 महाजन
उस्मानाबाद 258676"
"कुमारी ज्योती शिंदे","20/585 सचिन पाटील
धुळे 901675"
"कल्पना जोशी","4 रेणुका ठाकूर
अहमदनगर 970639"
"कुमारी प्रकाश साळुंखे","7/0 मीनल साळुंखे
नवी मुंबई 675798"
"कुमारी कोमल आगरकर","26/3131 प्रवीण साळुंखे
लातूर-502483"
"उमा महाजनजी","69/49 देशमुख
सोलापूर-324027"
"राहुल जाधवजी","44/941 देशपांडे
सोलापूर-741944"
"निलेश फडके","906 अशोक शिंदे
परभणी 693503"
"कविता आगरकरजी","28/2703 सावंत
पिंपरी-चिंचवड-708104"
"प्रकाश कोल्हेजी","27 प्रज्ञा देशमुख
परभणी-473157"
"श्री उमेश साने","6766 अमित चव्हाण
धुळे 900686"
"अनिता देशपांडे","49/1376 अहेर
ठाणे-144743"
"मीनल भोसलेजी","4 अनिल अहेर
कोल्हापूर 383049"
"सुरेश चव्हाणजी","7115 चेतना पाटील
रत्नागिरी 818860"
"कुमारी कोमल देशपांडे","98/97 दीपक पवार
जळगाव 242267"
"दीपाली जगतापजी","02/7299 जगताप
नांदेड-570607"
"चेतन मोरेजी","0634 शिल्पा कुलकर्णी
चंद्रपूर 022841"
"श्रीमती अभिजीत साने","51 मानसी गवळी
परभणी 119771"
"स्मिता जाधव","1/7 अहेर
जळगाव-208540"
"श्री आशा ओक","2/9 साने
नवी मुंबई 132315"
"तन्वी कुलकर्णीजी","2 जोशी
नागपूर-475885"
"कुमारी मकरंद कुलकर्णी","4 देशमुख
सातारा-297204"
"उमा पाटीलजी","89 पूजा अहेर
चंद्रपूर-607999"
"दीपक साने","0/6 आदित्य ठाकूर
यवतमाळ 944102"
"कुमारी कोमल मोरे","7198 शिंदे
मुंबई-374449"
"निखिल मोरे","288 चव्हाण
मिरज-842442"
"स्वाती फडकेजी","27/269 अमित जाधव
मिरज 637850"
"किरण जोशी","269 पवार
औरंगाबाद 805841"
"अमोल महाजन","68/894 अमित जगताप
अकोला-999759"
"प्रवीण साने","651 शिरसाट
मिरज-830104"
"नेहा कुलकर्णी","44/3751 मानसी देशपांडे
परभणी 057664"
"पंकज जोशीजी","6/6 रीमा शिंदे
सातारा-364217"
"आदित्य शिरसाटजी","60/04 तन्वी फडके
पुणे 771178"
"ईश्वर महाजन","88/64 विकास महाजन
अकोला 509832"
"कुमारी कोमल शिरसाट","3 अनिता पवार
वसई 455449"
"कुमारी धनंजय महाजन","74/5022 साळुंखे
बीड 352521"
"श्रीमती मकरंद मोरे","578 चौगुले
अकोला-373632"
"श्री कैलास गायकवाड","458 आगरकर
मुंबई 406600"
"श्रुती पाटीलजी","05/3244 कुलकर्णी
जळगाव-926532"
"श्री उमेश कांबळे","62 पाटील
सांगली 572788"
"हर्षद चौगुलेजी","754 साने
चंद्रपूर-850225"
"रेणुका पाटीलजी","97 पवार
हिंगोली 216872"
"आदित्य भोसले","1104 चेतना फडके
धुळे-919768"
"स्नेहा चौगुले","91/776 गवळी
गोंदिया 681258"
"कुमारी कोमल साळुंखे","2/5 हर्षदा कांबळे
अहमदनगर-795996"
"अभिषेक शिंदेजी","4/6 माधव शिंदे
नवी मुंबई 700861"
"मिलिंद जगतापजी","7913 चौगुले
पुणे 383887"
"कुमारी चेतना ओक","58/6496 धनंजय साळुंखे
हिंगोली-455937"
"लता महाजन","36 शिरसाट
नागपूर-445149"
"श्रीमती स्मिता मोरे","25/28 मोरे
औरंगाबाद 479328"
"सुरेश राऊतजी","59 गौरव माने
सातारा-676222"
"जितेंद्र जाधवजी","5/9 पल्लवी कदम
नाशिक-887513"
"मंगेश चव्हाणजी","53/1819 कोल्हे
कोल्हापूर-765235"
"जितेंद्र चव्हाण","0/3 रेणुका कांबळे
अमरावती-193704"
"कुमारी गणेश गायकवाड","76/2343 जाधव
नागपूर-427385"
"निलेश राऊतजी","31/6831 आकांक्षा जगताप
नाशिक-232176"
"चेतन कदमजी","9/3 आदित्य कोल्हे
अमरावती 809144"
"किरण सावंतजी","72/9335 चव्हाण
रत्नागिरी-239897"
"कविता गायकवाड","25/3289 इशिता शिरसाट
अमरावती-129473"
"श्री स्नेहा मोरे","82 मेघा पवार
नाशिक 669908"
"हर्षद भोसले","9/5 धनंजय अहेर
मुंबई 978410"
"श्री हर्षद माने","6243 स्मिता पवार
अमरावती 663954"
"नेहा ओक","7091 गणेश शिरसाट
मिरज-376370"
"मोहन देशपांडे","496 देशमुख
वसई-727287"
"कुमारी गणेश चव्हाण","34/657 पवार
कोल्हापूर-336626"
"माधव कदम","4/0 तन्वी मोरे
औरंगाबाद-392560"
"रोहित माने","96/7022 लता मोरे
धुळे-895424"
"मिलिंद गवळी","6330 जितेंद्र पाटील
चंद्रपूर 719279"
"रीमा कांबळेजी","9/7 अभिषेक माने
नाशिक-758044"
"अमोल साने","68/087 निखिल जगताप
चंद्रपूर 218716"
"शिल्पा शिंदेजी","2 प्रिया कोल्हे
गोंदिया 385529"
"मकरंद शिरसाटजी","89 निखिल जोशी
वसई-622670"
"गौरी फडके","4 सावंत
बीड 760771"
"सुरेश अहेरजी","89/8246 महाजन
धुळे 620773"
"कुमारी गणेश महाजन","40/634 कीर्ती सावंत
धुळे 251974"
"कुमारी स्वाती फडके","45/03 साने
पिंपरी-चिंचवड-155698"
"गौरव शिंदेजी","7021 शिरसाट
कोल्हापूर-198006"
"रीमा देशपांडेजी","75/977 दत्तात्रेय पाटील
ठाणे-813377"
"प्रशांत माने","6/1 शिंदे
वसई-245257"
"कुमारी अंजली ठाकूर","7/4 पवार
ठाणे 157763"
"प्रवीण अहेरजी","3816 चव्हाण
औरंगाबाद-258663"
"अनिरुद्ध देशमुखजी","23 अहेर
धुळे 772663"
"रोहित महाजन","94/221 शिंदे
हिंगोली-458991"
"प्रशांत जगताप","3/6 अहेर
ठाणे 236030"
"कुमारी गणेश साने","5/8 गायकवाड
पुणे-684726"
"अपर्णा पाटीलजी","9/6 प्रकाश अहेर
हिंगोली 920487"
"सुनील ठाकूरजी","57/915 आदित्य सावंत
सांगली 707567"
"मंगेश ओकजी","50 हर्षद साने
सातारा 381361"
"पल्लवी फडके","1 फडके
औरंगाबाद-262621"
"चेतन चव्हाणजी","86/155 पाटील
वसई 933896"
"श्रीमती चेतना ओक","82/9852 फडके
चंद्रपूर-613776"
"रोहिणी भोसलेजी","43/249 चव्हाण
बीड-703629"
"पूजा आगरकरजी","7068 विनायक कदम
नांदेड 449698"
"ईश्वर सावंत","6 शिंदे
सांगली-380633"
"कुमारी गौरव चव्हाण","8 जोशी
लातूर 082892"
"कुमारी अरुण फडके","0/5 चेतन गवळी
परभणी-092972"
"श्रीमती अशोक शिरसाट","305 कोल्हे
धुळे-095895"
"सचिन गवळी","42 आकांक्षा गवळी
नागपूर-498762"
"श्री दत्तात्रेय महाजन","71/635 आकांक्षा अहेर
ठाणे-005414"
"निलेश चौगुलेजी","97/7887 भोसले
नागपूर 345214"
"श्री वैशाली देशपांडे","95/56 जगताप
अहमदनगर-965406"
"वैशाली अहेर","2 भोसले
मिरज 373197"
"तन्वी देशमुखजी","2/4 चव्हाण
चंद्रपूर-520866"
"लता ठाकूर","69/380 साने
कोल्हापूर-851616"
"कुमारी गौरी ठाकूर","90/8877 जाधव
यवतमाळ-635715"
"कुमारी तन्वी जाधव","9 मोरे
वसई 049656"
"अंजली देशमुख","7 रेणुका चौगुले
उस्मानाबाद-669850"
"ज्योती ठाकूर","7988 कांबळे
सातारा-510324"
"लता गवळीजी","51/4431 फडके
मुंबई 313469"
"चेतन कोल्हेजी","6121 माने
कोल्हापूर-429158"
"हर्षदा कोल्हे","9200 भोसले
नांदेड-054214"
"श्रीमती अमोल साने","4/0 अहेर
लातूर-417525"
"मकरंद गायकवाडजी","356 धनंजय ठाकूर
नाशिक 993755"
"अभिषेक देशमुख","63/688 आशा भोसले
मिरज 147820"
"कुमारी गौरी भोसले","93/44 रोहित साळुंखे
औरंगाबाद-257975"
"श्री माधुरी देशमुख","3458 गायकवाड
रत्नागिरी-414459"
"मेघा कुलकर्णीजी","6/0 कदम
कोल्हापूर-424751"
"कुमारी अमित भोसले","3 देशमुख
परभणी 492964"
"दीपाली जाधव","3 अहेर
पुणे 120805"
"रेणुका राऊत","8845 सचिन जगताप
बीड-278122"
"ज्योती जोशीजी","5/7 कोल्हे
नागपूर 133357"
"अनिरुद्ध चव्हाण","28 रीमा महाजन
यवतमाळ 027510"
"समीर भोसले","392 पवार
चंद्रपूर-677344"
"पंकज पाटील","020 साने
धुळे-538659"
"कुमारी गौरी माने","4636 कैलास जोशी
नाशिक-996873"
"मीनल भोसलेजी","25/2846 स्वाती शिरसाट
पुणे-430821"
"कुमारी स्वाती जगताप","96/3239 विनायक गायकवाड
नवी मुंबई 687094"
"आकांक्षा कुलकर्णी","04/147 शिंदे
सोलापूर 042965"
"श्रीमती अमोल महाजन","79/809 सचिन साळुंखे
सातारा-088519"
"दीपाली कोल्हेजी","92 मानसी चौगुले
चंद्रपूर 623324"
"श्री विनायक मोरे","8 रोहिणी पवार
औरंगाबाद 214031"
"श्रीमती चेतन राऊत","62/048 सचिन कुलकर्णी
सोलापूर 908830"
"श्रुती पवारजी","540 कांबळे
बीड-608091"
"रीमा भोसले","51 शिरसाट
बीड-486604"
"कुमारी चेतना गवळी","03/0437 आगरकर
पुणे-470170"
"श्रीमती उमेश भोसले","571 दीपक पाटील
उस्मानाबाद-867653"
"कुमारी प्रकाश अहेर","1 मीनल जगताप
जळगाव 273652"
"श्रीमती अपर्णा माने","4/3 स्मिता देशमुख
नांदेड-328118"
"लता ठाकूर","6/7 स्मिता कांबळे
सोलापूर-154220"
"कविता गायकवाड","31/92 पवार
सोलापूर 946562"
"कुमारी धनंजय ओक","9/4 जगताप
ठाणे 580687"
"निलेश पाटीलजी","5388 चौगुले
गोंदिया-105118"
"अरुण शिरसाटजी","25 जोशी
पुणे-013098"
"कविता गायकवाड","711 मोरे
अहमदनगर 160670"
"कुमारी चेतना जोशी","83/80 गवळी
धुळे-952643"
"श्रीमती आकांक्षा सावंत","5293 जोशी
अमरावती-066464"
"उमेश शिरसाट","57/633 पाटील
जळगाव 802867"
"धनंजय मोरे","40/86 शिरसाट
हिंगोली-114498"
"मंगेश जाधव","3 सुरेश पाटील
अकोला-433496"
"स्मिता ठाकूरजी","161 जोशी
जळगाव-885866"
"गणेश देशपांडेजी","60/3016 गायकवाड
अमरावती-303890"
"श्रीमती विवेक जगताप","2/7 सावंत
अमरावती-411030"
"चेतना पाटील","88 जोशी
चंद्रपूर 163630"
"श्रीमती पंकज आगरकर","99/1610 भोसले
उस्मानाबाद-519708"
"कुमारी चेतना शिंदे","78/0648 पवार
चंद्रपूर 251434"
"विकास जाधव","94/0450 भोसले
नागपूर 455932"
"ईश्वर सावंत","23/5527 दीपाली कांबळे
अमरावती 726797"
"कुमारी विनायक जोशी","985 पूजा चौगुले
धुळे 315592"
"हर्षदा महाजनजी","9117 अनिरुद्ध कांबळे
लातूर-760978"
"संदीप गायकवाड","2275 लता ठाकूर
लातूर-047223"
"श्रीमती श्रुती ओक","86/68 जगताप
मिरज-606441"
"कुमारी माधुरी देशमुख","5550 निलेश शिंदे
मिरज-542071"
"जितेंद्र कुलकर्णी","1 देशमुख
नाशिक 609265"
"श्रुती जोशी","80 ओक
गोंदिया 030847"
"कुमारी जितेंद्र देशमुख","8 फडके
अहमदनगर 001006"
"कुमारी मीनल जाधव","21/38 कोल्हे
धुळे 866690"
"अनिरुद्ध कुलकर्णीजी","3/7 अरुण ओक
बीड-717978"
"श्रुती मोरेजी","17/747 शिंदे
अकोला-652258"
"कुमारी अपर्णा आगरकर","9 ज्योती कदम
गोंदिया-179919"
"प्रशांत देशपांडे","8316 शिरसाट
नागपूर-227291"
"स्नेहा शिरसाट","2 फडके
यवतमाळ 748148"
"स्मिता चौगुलेजी","37/8601 कुलकर्णी
जळगाव-485937"
"कोमल कांबळेजी","16/94 श्रुती ठाकूर
सातारा-629377"
"अमोल चव्हाण","41 साने
धुळे-561713"
"कुमारी ज्योती कोल्हे","60/11 इशिता साळुंखे
नाशिक-794541"
"स्मिता साळुंखेजी","69/546 चव्हाण
उस्मानाबाद-012089"
"श्रीमती अमोल ठाकूर","064 उमेश पाटील
गोंदिया-112195"
"पूजा जगताप","3581 साळुंखे
कोल्हापूर 078583"
"स्वाती अहेर","64/04 जोशी
हिंगोली 994246"
"लता गवळीजी","1 स्वाती अहेर
उस्मानाबाद-637226"
"प्रिया राऊत","89/83 माने
धुळे 288557"
"ईश्वर चौगुलेजी","6/6 उमा कोल्हे
सांगली-888187"
"श्री भूषण अहेर","59/198 ईश्वर कोल्हे
यवतमाळ 613636"
"अनिरुद्ध जगताप","81 पंकज महाजन
नाशिक-999849"
"कुमारी ज्योती जगताप","77/2548 अहेर
अमरावती-196299"
"कविता कदम","931 निलेश कुलकर्णी
मिरज 157706"
"अनुष्का ओक","49/629 पाटील
सोलापूर-466716"
"प्रशांत ठाकूर","298 चव्हाण
चंद्रपूर 810168"
"मीनल फडकेजी","0 भोसले
सोलापूर 931152"
"चेतन सावंत","6 पूजा साळुंखे
अमरावती-694195"
"कुमारी अभिषेक कांबळे","89/3013 अनुष्का ठाकूर
नाशिक-487991"
"कुमारी पल्लवी भोसले","16/6345 हर्षदा देशपांडे
परभणी 225102"
"विवेक पाटील","4 देशपांडे
नांदेड-997396"
"समीर माने","28/71 पूजा ठाकूर
हिंगोली-390343"
"कुमारी ज्योती सावंत","0181 कांबळे
जळगाव-305914"
"अपर्णा आगरकर","5/9 आकांक्षा चव्हाण
मिरज-334413"
"श्री हर्षद देशमुख","0 पाटील
हिंगोली 476600"
"अमित मोरेजी","63/22 चव्हाण
चंद्रपूर 276582"
"प्रकाश ठाकूर","83/3517 हर्षद मोरे
पुणे-738088"
"श्री अनिता पवार","93 शिंदे
नागपूर-183257"
"श्री संदीप ओक","85/1584 महाजन
अहमदनगर-840472"
"प्रिया राऊतजी","90/81 उमा ठाकूर
पिंपरी-चिंचवड 584319"
"वैशाली सावंतजी","39/205 पाटील
परभणी 766384"
"श्री नेहा भोसले","755 गायकवाड
कोल्हापूर 433908"
"कुमारी तन्वी अहेर","30/79 जगताप
पिंपरी-चिंचवड 799550"
"जितेंद्र मोरेजी","25 इशिता कुलकर्णी
सोलापूर-747725"
"मिलिंद चौगुले","98/05 जाधव
अहमदनगर-460387"
"श्रुती मोरे","691 जोशी
पुणे 395925"
"आशा सावंतजी","8 अभिषेक गायकवाड
उस्मानाबाद-607934"
"श्री कविता गवळी","6 अहेर
अकोला-333251"
"अनुष्का अहेर","309 देशपांडे
मिरज-384329"
"प्रशांत मोरेजी","58/40 पवार
धुळे-018570"
"पंकज सानेजी","74/169 अरुण शिंदे
परभणी 343173"
"श्रीमती गौरव ओक","10/397 सावंत
यवतमाळ-612391"
"कुमारी तन्वी साने","37/468 जाधव
उस्मानाबाद 576403"
"अशोक मानेजी","80 पल्लवी गवळी
पुणे-505652"
"कुमारी स्वाती शिंदे","43/6603 स्वाती माने
परभणी 219377"
"अपर्णा सावंतजी","56 फडके
परभणी 334423"
"स्वाती माने","10/270 पाटील
हिंगोली-721312"
"कुमारी पंकज ठाकूर","93 मानसी सावंत
औरंगाबाद 293102"
"सचिन अहेर","148 गवळी
अहमदनगर-808913"
"ईश्वर गायकवाडजी","9808 साळुंखे
नवी मुंबई-077919"
"कुमारी अनिरुद्ध माने","2 माने
परभणी 246824"
"श्री अभिजीत कांबळे","0113 अंजली भोसले
नाशिक-044835"
"कुमारी दत्तात्रेय जोशी","12 रेणुका जगताप
कोल्हापूर-675237"
"दीपाली जगतापजी","589 जितेंद्र शिरसाट
रत्नागिरी-252224"
"कल्पना देशमुखजी","1 दीपाली जोशी
मिरज 182495"
"श्री अभिषेक चव्हाण","45/543 कोल्हे
नाशिक 232694"
"विवेक कांबळे","93/699 माने
उस्मानाबाद-570876"
"विनायक कोल्हे","12/73 गौरव पवार
मिरज-749585"
"कुमारी आशा शिरसाट","976 दीपक गायकवाड
चंद्रपूर-783388"
"मेघा जोशी","1893 नेहा शिंदे
सांगली-124948"
"आकाश ओकजी","92/765 अशोक कुलकर्णी
सांगली-556993"
"श्रीमती अपर्णा साने","49 कोमल महाजन
पिंपरी-चिंचवड-926519"
"कुमारी दत्तात्रेय फडके","0302 भोसले
वसई 651186"
"अभिजीत गायकवाडजी","7 विवेक आगरकर
गोंदिया 071935"
"नेहा महाजनजी","0702 वैशाली गायकवाड
सातारा 882323"
"माधुरी चौगुले","53/777 अमित जाधव
नांदेड 666860"
"उमा जाधवजी","4 भोसले
हिंगोली-300116"
"कुमारी जितेंद्र कांबळे","8/4 श्रुती कुलकर्णी
धुळे 058632"
"दत्तात्रेय गवळी","4 कदम
सोलापूर 010376"
"आदित्य महाजनजी","88 जगताप
ठाणे-846126"
"धनंजय जाधव","97 शिरसाट
लातूर-570052"
"गौरी गायकवाड","8/2 पूजा ठाकूर
रत्नागिरी 630264"
"कुमारी दत्तात्रेय महाजन","97/57 कांबळे
औरंगाबाद-217639"
"सचिन देशपांडेजी","502 अनिता चव्हाण
परभणी 939136"
"दीपक शिरसाट","702 कोल्हे
ठाणे-316816"
"प्रशांत देशपांडे","651 जाधव
मुंबई-099651"
"मिलिंद साळुंखे","26/173 अहेर
परभणी 707337"
"उमेश देशपांडे","53/70 निलेश साने
जळगाव 188303"
"विकास पाटील","1 साळुंखे
चंद्रपूर-717356"
"तन्वी जोशीजी","83/34 जाधव
सोलापूर 762857"
"हर्षद शिंदे","84 जोशी
हिंगोली-016432"
"मकरंद पवार","0 अशोक राऊत
वसई 082601"
"कुमारी दीपक अहेर","300 कोल्हे
ठाणे 498374"
"रोहित जाधवजी","8726 देशमुख
रत्नागिरी 622159"
"किरण शिरसाट","3/2 पाटील
पिंपरी-चिंचवड 744343"
"अनिल ठाकूर","27/4355 अपर्णा कोल्हे
मुंबई-640531"
"श्रीमती माधुरी पाटील","54 देशपांडे
कोल्हापूर-784844"
"श्री रोहिणी साने","08 जितेंद्र भोसले
रत्नागिरी 130822"
"विवेक ओक","43/99 देशमुख
यवतमाळ-374840"
"कुमारी अशोक पवार","96/30 फडके
अकोला 996652"
"निलेश राऊत","4/7 पवार
मुंबई 229264"
"श्री दत्तात्रेय चव्हाण","9 अपर्णा पवार
नाशिक-696795"
"कुमारी दीपक सावंत","15/37 प्रिया कुलकर्णी
औरंगाबाद 453898"
"श्रीमती मानसी चौगुले","18/1566 स्नेहा माने
जळगाव 597432"
"श्री अभिजीत महाजन","91 दत्तात्रेय सावंत
चंद्रपूर 594062"
"श्रीमती मीनल कोल्हे","1/7 महाजन
अमरावती 265808"
"शिल्पा कोल्हे","5/9 कदम
सातारा 611888"
"कुमारी स्वाती गवळी","112 शिंदे
हिंगोली-352670"
"सचिन कोल्हेजी","6/7 पवार
वसई-033386"
"रेणुका जाधव","59/36 पाटील
चंद्रपूर-238534"
"श्रीमती रोहित महाजन","3/9 गौरी राऊत
कोल्हापूर-043639"
"विकास महाजनजी","85/5860 कल्पना आगरकर
नागपूर 809685"
"कुमारी दीपाली गवळी","60/2032 संदीप महाजन
जळगाव 699231"
"मकरंद ओक","9/2 उमा गायकवाड
उस्मानाबाद 938852"
"प्रवीण अहेर","189 देशमुख
चंद्रपूर 355482"
"रोहिणी देशमुख","87/7505 विवेक भोसले
नवी मुंबई 781435"
"स्वाती माने","62/4801 भोसले
औरंगाबाद-882519"
"स्वाती सानेजी","15/33 कांबळे
मुंबई 436604"
"गौरव चव्हाण","0/7 गवळी
लातूर 561407"
"अंजली पाटील","416 चौगुले
पुणे 488974"
"श्रीमती नेहा देशमुख","17/479 प्रज्ञा साने
हिंगोली 787499"
"दीपक देशपांडेजी","864 दत्तात्रेय कदम
सातारा 345066"
"कुमारी दीपाली सावंत","6/9 फडके
हिंगोली 680414"
"मिलिंद कोल्हेजी","996 साळुंखे
पुणे-128963"
"कुमारी मीनल आगरकर","92 स्मिता कुलकर्णी
गोंदिया-545378"
"धनंजय फडके","031 पवार
अमरावती 950017"
"पल्लवी सावंत","8 उमा साने
रत्नागिरी 383183"
"सचिन जाधवजी","28/863 मोरे
गोंदिया 858711"
"श्रीमती विवेक ठाकूर","7 रीमा गायकवाड
मिरज-183874"
"भूषण ठाकूर","94/78 चेतन ओक
अहमदनगर-917822"
"श्री अनुष्का साने","86/21 अपर्णा शिरसाट
पुणे-715644"
"दीपक शिंदे","7/7 शिंदे
हिंगोली 078395"
"कुमारी धनंजय चौगुले","446 गौरव पवार
गोंदिया 695166"
"प्रज्ञा कांबळे","5 अहेर
धुळे 663687"
"श्री लता देशपांडे","08/722 स्मिता राऊत
जळगाव 254677"
"तन्वी सावंतजी","9038 मंगेश पवार
गोंदिया 832152"
"विनायक फडकेजी","52 अमोल देशपांडे
सातारा-922906"
"श्रीमती हर्षदा कांबळे","9 अनिरुद्ध अहेर
कोल्हापूर-236878"
"कुमारी मीनल चव्हाण","80/634 महाजन
सोलापूर 335668"
"श्री उमा देशमुख","52 रोहित गवळी
चंद्रपूर-901700"
"रोहिणी पाटील","361 राऊत
लातूर 733041"
"नेहा जगतापजी","9 मोरे
चंद्रपूर 470022"
"कुमारी धनंजय जगताप","5217 अभिषेक साळुंखे
नांदेड 665585"
"कुमारी मकरंद चौगुले","9146 पाटील
रत्नागिरी 924539"
"श्री लता साळुंखे","43/5845 आकाश कुलकर्णी
गोंदिया-721204"
"कुमारी हर्षदा राऊत","18/663 चव्हाण
मुंबई-534491"
"श्रीमती अभिषेक फडके","614 आगरकर
रत्नागिरी 802807"
"श्री गौरव पवार","81 शिरसाट
नवी मुंबई 083879"
"गौरी देशपांडे","20/566 रीमा जगताप
नवी मुंबई 992773"
"राहुल कांबळेजी","88/648 आगरकर
रत्नागिरी 578058"
"श्रीमती किरण देशमुख","6756 महाजन
बीड 862625"
"कुमारी कोमल अहेर","7 चौगुले
रत्नागिरी-866672"
"कुमारी धनंजय जोशी","3553 अनिल साळुंखे
नांदेड-202933"
"प्रज्ञा ठाकूरजी","391 मंगेश शिंदे
मिरज 343690"
"श्री अभिषेक चव्हाण","9 माधुरी भोसले
अमरावती-728992"
"श्रीमती ईश्वर साने","57 जाधव
ठाणे 233583"
"राहुल पाटील","29 मोहन जगताप
अमरावती-727714"
"शिल्पा कांबळे","8 निखिल गवळी
सोलापूर-834958"
"मकरंद जाधवजी","5 कांबळे
नाशिक-110506"
"कुमारी मिलिंद चव्हाण","8832 जगताप
कोल्हापूर 846161"
"कविता कांबळेजी","158 किरण राऊत
हिंगोली-732667"
"श्रीमती सुरेश ओक","6252 मोरे
अमरावती-275645"
"कुमारी धनंजय फडके","5 आशा सावंत
नागपूर 395120"
"श्रीमती निलेश माने","64/683 देशपांडे
चंद्रपूर-685223"
"श्री अपर्णा जाधव","7728 पाटील
पिंपरी-चिंचवड 899885"
"श्रीमती समीर गायकवाड","6 अनुष्का अहेर
पिंपरी-चिंचवड 025915"
"पूजा फडके","87/9680 गवळी
वसई-455491"
"श्रीमती मिलिंद शिंदे","44/8623 देशपांडे
लातूर 053986"
"कुमारी किरण कदम","83/89 फडके
हिंगोली-069970"
"अंजली जोशीजी","836 जाधव
कोल्हापूर-927178"
"कुमारी अमोल अहेर","30/701 जगताप
मुंबई-396477"
"स्मिता भोसलेजी","93 कीर्ती जगताप
उस्मानाबाद 952968"
"कुमारी निखिल जोशी","9/6 रेणुका साळुंखे
सातारा 189427"
"उमा आगरकर","1/6 विकास कोल्हे
यवतमाळ 424304"
"कुमारी रोहित पवार","1 श्रुती जाधव
हिंगोली 061861"
"श्री प्रवीण सावंत","6/5 ठाकूर
अमरावती-854747"
"कुमारी स्नेहा चव्हाण","77/7482 भोसले
औरंगाबाद-210294"
"ईश्वर राऊत","34 गायकवाड
उस्मानाबाद 491973"
"दत्तात्रेय भोसले","23/690 अंजली कांबळे
जळगाव 814518"
"संदीप जोशी","9 आगरकर
सांगली 107703"
"जितेंद्र कदमजी","84/44 उमेश गायकवाड
जळगाव-104589"
"श्री माधव कदम","07/6422 मोहन देशमुख
ठाणे-848302"
"कुमारी निखिल साने","84/193 धनंजय देशपांडे
चंद्रपूर 335470"
"प्रवीण जोशीजी","33 चेतन कुलकर्णी
परभणी 238982"
"मानसी जोशीजी","02/714 आगरकर
मिरज 925159"
"कविता ठाकूरजी","7/8 ठाकूर
पुणे 284343"
"कुमारी मीनल फडके","9691 अहेर
धुळे-471217"
"गौरी देशपांडेजी","91/499 शिंदे
नागपूर-957980"
"अनिरुद्ध आगरकरजी","99/8800 मकरंद चव्हाण
सोलापूर-418988"
"रेणुका कदमजी","852 आगरकर
बीड-961110"
"श्री कोमल जाधव","50/0733 सावंत
हिंगोली 327967"
"श्री मानसी मोरे","19/63 गायकवाड
पुणे 083417"
"कुमारी नेहा अहेर","6515 अपर्णा कदम
गोंदिया 154580"
"रोहित आगरकरजी","46/93 मोरे
परभणी 157779"
"विकास मोरे","018 जगताप
मुंबई-760637"
"राहुल मोरे","8/7 सावंत
लातूर 446449"
"मकरंद राऊत","7 प्रवीण शिरसाट
अहमदनगर-198929"
"कुमारी सुरेश साळुंखे","1236 अशोक मोरे
वसई 961310"
"रोहित देशमुखजी","928 पाटील
नवी मुंबई 487650"
"मोहन ठाकूरजी","09/06 राऊत
गोंदिया-691523"
"प्रज्ञा सानेजी","1/9 कांबळे
सोलापूर-706542"
"कोमल जाधव","17 प्रवीण शिरसाट
नाशिक 251356"
"कुमारी नेहा आगरकर","69 शिरसाट
उस्मानाबाद-112733"
"मोहन शिंदेजी","55 कविता सावंत
यवतमाळ 249470"
"कुमारी चेतन सावंत","344 उमेश ओक
नवी मुंबई-458567"
"माधुरी माने","16/363 शिंदे
धुळे-209881"
