"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"अनिता जगताप"|"8933 चेतन कदम
परभणी 691761"
"लता मोरेजी"|"22/6966 मोहन देशमुख
सोलापूर 343222"
"श्री भूषण कदम"|"4/9 सावंत
लातूर 003954"
"कुमारी रीमा कोल्हे"|"4/3 ठाकूर
बीड 482427"
"श्रीमती रोहिणी शिंदे"|"908 शिरसाट
गोंदिया-097974"
"अमित गवळी"|"98/7004 भोसले
चंद्रपूर 877426"
"स्नेहा जगताप"|"85 आदित्य आगरकर
यवतमाळ 729990"
"सुरेश राऊत"|"2/9 कीर्ती जाधव
नाशिक-388675"
"श्रीमती मीनल पाटील"|"7338 गणेश कदम
वसई 028440"
"वैशाली ठाकूरजी"|"032 शिरसाट
चंद्रपूर 025919"
"श्री प्रशांत पाटील"|"4 देशपांडे
अमरावती 252133"
"कुमारी दीपाली देशपांडे"|"6/5 महाजन
चंद्रपूर-401719"
"अशोक अहेर"|"59/6295 विकास राऊत
हिंगोली-684931"
"कुमारी रीमा चौगुले"|"83 अपर्णा जोशी
नवी मुंबई-540081"
"मीनल जगताप"|"3/3 किरण शिंदे
सातारा 904759"
"पंकज भोसले"|"4/3 श्रुती साने
परभणी-252914"
"श्रीमती चेतना जोशी"|"7 मिलिंद मोरे
रत्नागिरी-341172"
"श्रीमती श्रुती फडके"|"58/875 रोहित शिरसाट
पुणे-664832"
"श्री वैशाली कदम"|"8/7 चेतना राऊत
लातूर-719031"
"प्रज्ञा कदमजी"|"2/8 नेहा साळुंखे
उस्मानाबाद 701164"
"प्रज्ञा गायकवाडजी"|"84/40 राऊत
मिरज 956408"
"अनुष्का फडकेजी"|"2511 शिरसाट
कोल्हापूर-905905"
"श्रीमती मोहन साळुंखे"|"8/0 स्मिता आगरकर
सांगली 100890"
"कुमारी रीमा मोरे"|"62/0990 हर्षदा देशमुख
धुळे-067719"
"श्री दीपाली कुलकर्णी"|"944 मेघा कांबळे
सोलापूर-037817"
"वैशाली राऊत"|"07/2881 रेणुका भोसले
गोंदिया 895996"
"निलेश मोरे"|"41/8839 राऊत
चंद्रपूर-884278"
"अशोक शिंदे"|"7 सावंत
मुंबई 512072"
"प्रशांत साने"|"19/28 अहेर
नाशिक-646409"
"श्री पूजा पवार"|"25/6151 ठाकूर
पुणे-679206"
"कुमारी अनिता गवळी"|"13/535 राऊत
अहमदनगर 296165"
"मानसी शिरसाटजी"|"83/3317 सावंत
लातूर-910992"
"आदित्य जाधवजी"|"0 आशा देशपांडे
नाशिक 567210"
"कुमारी रेणुका कुलकर्णी"|"92 माधव चौगुले
परभणी-981902"
"श्रीमती गणेश सावंत"|"36 मेघा भोसले
चंद्रपूर-198430"
"श्रीमती स्नेहा सावंत"|"75/725 प्रज्ञा कदम
धुळे-647917"
"आकांक्षा जगतापजी"|"51/11 श्रुती देशमुख
नागपूर-192370"
"अभिजीत ओक"|"2926 हर्षद जोशी
यवतमाळ-783485"
"प्रवीण पवारजी"|"2510 अनिरुद्ध कांबळे
यवतमाळ-088529"
"श्री रोहित सावंत"|"25 गौरव ठाकूर
नवी मुंबई-540996"
"सुरेश ठाकूर"|"46/7290 लता शिंदे
उस्मानाबाद-946609"
"मकरंद कांबळे"|"18/9289 गौरी देशपांडे
चंद्रपूर-251409"
"कुमारी गौरव साने"|"6/0 विनायक कुलकर्णी
यवतमाळ 619771"
"कुमारी रेणुका ठाकूर"|"3 पवार
नागपूर-847263"
"श्री संदीप ओक"|"2/5 चेतना जाधव
वसई 624912"
"रेणुका जाधवजी"|"45/44 निलेश मोरे
यवतमाळ 175170"
"कोमल चौगुलेजी"|"512 प्रशांत कोल्हे
उस्मानाबाद-136432"
"गौरी गवळी"|"8/3 गौरव पाटील
पिंपरी-चिंचवड-233647"
"जितेंद्र देशमुख"|"92 कोल्हे
जळगाव-757067"
"नेहा ठाकूरजी"|"12 पूजा मोरे
मिरज-630007"
"श्री चेतन फडके"|"54/837 सचिन पाटील
यवतमाळ-475176"
"रीमा कुलकर्णी"|"84/629 प्रशांत जोशी
कोल्हापूर 685265"
"मेघा देशमुखजी"|"1/6 माने
धुळे-306284"
"कुमारी रेणुका ठाकूर"|"38/924 साने
मिरज 485138"
"संदीप गवळी"|"95/846 गायकवाड
अकोला-255619"
"श्रीमती पंकज जोशी"|"3345 पाटील
बीड-005667"
"अभिजीत जगतापजी"|"54 कांबळे
नाशिक-361604"
"कुमारी प्रकाश जोशी"|"62/35 कुलकर्णी
नागपूर-548309"
"श्री अपर्णा कांबळे"|"26 शिंदे
चंद्रपूर-798738"
"श्री कीर्ती गायकवाड"|"68/98 तन्वी साने
परभणी 786582"
"उमेश पवारजी"|"495 स्नेहा कांबळे
औरंगाबाद 256789"
"श्रीमती रोहित माने"|"258 ईश्वर ओक
हिंगोली-695751"
"मेघा फडके"|"0/0 प्रवीण भोसले
जळगाव-893487"
"कुमारी रेणुका पवार"|"2714 उमा जोशी
नागपूर 628015"
"विकास जाधवजी"|"93/4451 पूजा राऊत
पिंपरी-चिंचवड-957860"
"शिल्पा कोल्हेजी"|"67/90 भोसले
उस्मानाबाद-068965"
"पल्लवी कुलकर्णीजी"|"42/6444 सावंत
लातूर 507780"
"श्रीमती अरुण कोल्हे"|"8 मकरंद शिरसाट
सांगली-273128"
"कीर्ती साळुंखेजी"|"76/3452 निलेश पवार
मिरज-517044"
"प्रिया देशपांडे"|"5 ईश्वर गायकवाड
नागपूर-588249"
"अरुण अहेरजी"|"41/931 गायकवाड
परभणी 949013"
"निलेश फडकेजी"|"63/6900 पंकज आगरकर
यवतमाळ 684845"
"गौरी सावंत"|"25 अपर्णा ठाकूर
नागपूर-577228"
"कुमारी रेणुका पाटील"|"140 विवेक देशपांडे
बीड-366844"
"निलेश राऊतजी"|"27/6424 प्रिया चौगुले
मुंबई 121562"
"कुमारी विनायक साळुंखे"|"9 उमा शिरसाट
धुळे 731868"
"कुमारी कविता देशपांडे"|"3241 कांबळे
अमरावती-583908"
"धनंजय साळुंखे"|"078 महाजन
बीड 926757"
"श्रीमती कीर्ती पवार"|"00/8481 आदित्य चव्हाण
ठाणे 533926"
"उमा जोशी"|"29/88 चौगुले
नाशिक 770258"
"विवेक अहेर"|"83/6452 भूषण कांबळे
परभणी-689346"
"मंगेश जगताप"|"831 संदीप शिरसाट
पिंपरी-चिंचवड-001451"
"गौरव पवार"|"70/5701 देशमुख
अकोला 745121"
"कुमारी रोहिणी कुलकर्णी"|"78/081 मीनल जाधव
उस्मानाबाद-313163"
"श्रीमती रेणुका शिरसाट"|"0735 चव्हाण
अकोला 029371"
"मिलिंद कुलकर्णीजी"|"9 कदम
नवी मुंबई-591626"
"चेतन भोसले"|"53/137 जगताप
चंद्रपूर-073956"
"आदित्य फडके"|"9/1 फडके
रत्नागिरी 489042"
"श्रीमती रेणुका कांबळे"|"637 अपर्णा चव्हाण
यवतमाळ 168955"
"कुमारी आदित्य आगरकर"|"1 ईश्वर शिंदे
बीड 144809"
"निखिल गवळीजी"|"95/2849 अनिरुद्ध ठाकूर
बीड-781019"
"इशिता ठाकूरजी"|"570 कुलकर्णी
नांदेड 971387"
"श्री चेतना महाजन"|"43 पल्लवी कांबळे
जळगाव-576043"
"कुमारी रोहिणी गवळी"|"69 फडके
उस्मानाबाद 475388"
"श्री कोमल देशपांडे"|"4 माने
लातूर-487378"
"प्रकाश कांबळे"|"46 सावंत
पिंपरी-चिंचवड-145203"
"स्नेहा ठाकूर"|"14 कोल्हे
ठाणे-156081"
"विकास गवळीजी"|"1/1 जगताप
अहमदनगर 067679"
"सचिन चौगुलेजी"|"73 ओक
धुळे-025371"
"रीमा शिंदे"|"5 गवळी
धुळे 937541"
"श्री प्रज्ञा मोरे"|"9662 आगरकर
औरंगाबाद 637473"
"सचिन ठाकूरजी"|"7248 गौरी चव्हाण
अहमदनगर-420537"
"समीर चव्हाण"|"4 मोहन माने
वसई-607458"
"कुमारी रोहित अहेर"|"38 इशिता अहेर
औरंगाबाद-994768"
"श्री उमेश माने"|"54/885 धनंजय कुलकर्णी
नाशिक 686100"
"कुमारी भूषण देशमुख"|"06/2938 सावंत
गोंदिया-547404"
"पल्लवी चौगुलेजी"|"23/12 अशोक जोशी
हिंगोली-191003"
"गौरव चौगुलेजी"|"7221 आगरकर
अमरावती-221439"
"विवेक भोसलेजी"|"31 अनिता महाजन
उस्मानाबाद-028640"
"नेहा चौगुलेजी"|"56/7126 मीनल देशपांडे
जळगाव 661697"
"विवेक ओकजी"|"07/8417 महाजन
अहमदनगर 533094"
"कैलास ओक"|"0/8 मानसी गवळी
हिंगोली-797747"
"सुनील आगरकरजी"|"12/09 भोसले
उस्मानाबाद 629111"
"कुमारी रोहित अहेर"|"4 देशपांडे
बीड-019433"
"चेतन सावंतजी"|"38 चेतन राऊत
अमरावती 151297"
"श्रीमती मेघा जगताप"|"7788 निखिल चौगुले
लातूर-606575"
"निलेश ओकजी"|"12/9872 ईश्वर अहेर
वसई-534553"
"आकाश फडकेजी"|"7 महाजन
ठाणे 534720"
"श्रीमती स्मिता जगताप"|"5/7 ईश्वर चौगुले
नवी मुंबई-887832"
"प्रिया शिरसाटजी"|"13/75 भूषण कदम
सांगली-776973"
"मकरंद अहेरजी"|"3648 निखिल गायकवाड
मिरज-782600"
"कुमारी सचिन साने"|"9 जाधव
जळगाव 653971"
"सचिन आगरकरजी"|"13/4727 गायकवाड
रत्नागिरी-753882"
"कुमारी रोहित चव्हाण"|"1/4 श्रुती पवार
मिरज-948926"
"स्मिता मोरेजी"|"6/4 जितेंद्र माने
बीड-173758"
"श्रीमती लता जोशी"|"125 सावंत
ठाणे-925686"
"श्रीमती अरुण कुलकर्णी"|"89/85 कांबळे
यवतमाळ-779687"
"श्री किरण चौगुले"|"5084 पल्लवी पाटील
पिंपरी-चिंचवड-171473"
"कुमारी पंकज कदम"|"1399 प्रकाश जाधव
हिंगोली-306911"
"कुमारी पंकज ओक"|"37/80 गायकवाड
रत्नागिरी-277613"
"माधुरी कांबळेजी"|"166 देशमुख
उस्मानाबाद 231136"
"निखिल देशमुखजी"|"60/676 धनंजय ओक
यवतमाळ-204537"
"प्रकाश चव्हाण"|"96/49 फडके
मिरज 343502"
"कुमारी रोहित महाजन"|"47/8592 शिरसाट
सातारा-755257"
"कुमारी सुरेश माने"|"9/7 तन्वी सावंत
सातारा 819190"
"कल्पना ओक"|"95 स्नेहा देशपांडे
वसई 468591"
"नेहा चौगुले"|"018 अनिता कोल्हे
वसई-343004"
"विकास कुलकर्णीजी"|"38/397 साने
परभणी-515323"
"पूजा महाजन"|"01/22 साने
मिरज 092662"
"श्री रोहिणी साने"|"43/3179 शिंदे
अहमदनगर 082666"
"श्रीमती मंगेश देशपांडे"|"4/3 ठाकूर
यवतमाळ-433198"
"हर्षदा राऊतजी"|"16 कोल्हे
लातूर-948256"
"रोहित साने"|"50/88 ओक
जळगाव 177774"
"कुमारी लता आगरकर"|"66/27 मोरे
परभणी-752629"
"पल्लवी कांबळेजी"|"9 अभिषेक देशमुख
यवतमाळ-096116"
"श्रीमती दीपक आगरकर"|"3493 आगरकर
अहमदनगर 879408"
"प्रज्ञा सावंत"|"74 सावंत
गोंदिया-102897"
"श्री अमोल अहेर"|"5/6 ज्योती देशमुख
लातूर-122792"
"श्रीमती पंकज साने"|"9/0 कुलकर्णी
सोलापूर-981951"
"श्रीमती संदीप साळुंखे"|"31 अभिषेक पाटील
अहमदनगर-116495"
"कुमारी गणेश गवळी"|"89/696 जाधव
धुळे 570351"
"श्री अनिता गवळी"|"4/5 प्रवीण कदम
हिंगोली 724561"
"शिल्पा महाजन"|"9276 पल्लवी राऊत
लातूर-106021"
"कुमारी लता कदम"|"02 लता पवार
चंद्रपूर-289809"
"गौरव देशमुख"|"30/9186 निलेश महाजन
चंद्रपूर 410113"
"मेघा आगरकर"|"4 जगताप
रत्नागिरी-560184"
"हर्षदा देशमुख"|"0/5 इशिता ओक
अकोला-836085"
"गौरव कुलकर्णी"|"51/083 चौगुले
धुळे-118325"
"श्री माधुरी कांबळे"|"0724 कीर्ती पवार
औरंगाबाद 055526"
"कुमारी अपर्णा ओक"|"29/3815 दत्तात्रेय साने
सांगली-355931"
"स्नेहा अहेरजी"|"0298 तन्वी ठाकूर
कोल्हापूर-941693"
"श्री माधुरी देशपांडे"|"6196 मोरे
मिरज 304502"
"भूषण ओकजी"|"13/64 देशमुख
पुणे-396933"
"कुमारी लता माने"|"66 प्रिया माने
अहमदनगर 370431"
"आकांक्षा माने"|"4792 माने
परभणी-782673"
"श्री मंगेश सावंत"|"214 स्नेहा कोल्हे
अकोला 124069"
"अमोल देशपांडे"|"42 अमित मोरे
पिंपरी-चिंचवड 759316"
"मानसी सावंत"|"5241 सुरेश साने
मुंबई-917383"
"अभिजीत जोशीजी"|"10/508 ठाकूर
नांदेड-562011"
"आकाश पवारजी"|"7/2 उमेश पवार
उस्मानाबाद 403023"
"गौरव गायकवाड"|"6/3 प्रशांत कुलकर्णी
अमरावती 537664"
"गणेश मोरे"|"40 शिरसाट
अकोला-850496"
"आकाश पवार"|"1059 शिरसाट
रत्नागिरी 823693"
"कुमारी लता सावंत"|"72/7343 राऊत
मिरज-784597"
"प्रकाश पाटील"|"549 मिलिंद ठाकूर
ठाणे 819899"
"उमेश गवळी"|"9210 कदम
गोंदिया 508891"
"शिल्पा कांबळेजी"|"0/0 भोसले
धुळे-794530"
"श्रीमती आशा कुलकर्णी"|"48/0691 अपर्णा गायकवाड
पिंपरी-चिंचवड-493974"
"श्री पल्लवी साळुंखे"|"9816 शिंदे
वसई-186249"
"अमोल गवळी"|"9209 चव्हाण
अहमदनगर 058719"
"ज्योती साळुंखे"|"94 उमा चव्हाण
रत्नागिरी-114739"
"सुनील साने"|"84/32 अहेर
पुणे 358835"
"कुमारी आदित्य शिंदे"|"6 नेहा जाधव
अकोला-768059"
"कुमारी विकास भोसले"|"3 कुलकर्णी
गोंदिया-356459"
"गौरी ओक"|"902 अनिरुद्ध आगरकर
ठाणे-491595"
"अनिल महाजन"|"0/8 गवळी
नाशिक-019383"
"अशोक अहेर"|"4/8 महाजन
नांदेड 666179"
"गणेश साने"|"166 देशपांडे
नवी मुंबई-951638"
"अनिरुद्ध चौगुले"|"98/011 गायकवाड
पिंपरी-चिंचवड 525479"
"अनुष्का जोशीजी"|"823 पंकज जाधव
कोल्हापूर 792233"
"विनायक मोरे"|"14 अपर्णा राऊत
बीड 520421"
"पल्लवी माने"|"8321 कोल्हे
सांगली-630206"
"अंजली कदमजी"|"3707 चेतन कदम
नांदेड 321856"
"कुमारी विनायक चौगुले"|"957 कांबळे
यवतमाळ 875083"
"श्रीमती चेतन महाजन"|"68/34 धनंजय ठाकूर
सोलापूर-879563"
"मेघा राऊतजी"|"59/816 पवार
हिंगोली-580360"
"चेतन ठाकूर"|"8 भोसले
वसई 102170"
"अभिषेक कुलकर्णी"|"78/0528 सुनील महाजन
परभणी-197651"
"दत्तात्रेय कांबळे"|"765 दीपक कांबळे
सोलापूर-020943"
"मोहन जोशी"|"42/893 आगरकर
बीड-543577"
"विकास साळुंखे"|"25 अहेर
नागपूर-784871"
"समीर जोशी"|"6580 कुलकर्णी
जळगाव-771573"
"वैशाली कांबळे"|"444 रीमा जगताप
पुणे 373711"
"कुमारी विनायक ठाकूर"|"95/72 तन्वी राऊत
अकोला 442206"
"कुमारी विकास भोसले"|"892 पल्लवी भोसले
अकोला-814033"
"संदीप जगताप"|"43/452 साळुंखे
नागपूर-618760"
"दीपाली कदम"|"222 जगताप
लातूर-298673"
"चेतना महाजन"|"34 संदीप माने
परभणी-245796"
"अमोल गवळीजी"|"5/2 शिरसाट
जळगाव-064668"
"कुमारी माधुरी राऊत"|"45/43 चव्हाण
अकोला-993916"
"नेहा भोसलेजी"|"53/5128 जगताप
मुंबई 040666"
"आशा महाजन"|"708 पूजा महाजन
मिरज 270710"
"रोहित सावंतजी"|"9329 रोहिणी भोसले
नागपूर-480154"
"कुमारी विनायक साने"|"9244 चेतना साने
बीड-077334"
"सचिन गायकवाडजी"|"457 महाजन
मिरज 301589"
"पल्लवी आगरकर"|"7663 शिरसाट
बीड-522073"
"कुमारी निलेश साळुंखे"|"78/8607 भूषण ठाकूर
औरंगाबाद-345716"
"कुमारी हर्षद ओक"|"5636 हर्षद राऊत
कोल्हापूर 549938"
"भूषण चव्हाणजी"|"7 प्रिया गवळी
हिंगोली 221570"
"नेहा चौगुले"|"683 ठाकूर
अकोला-307839"
"इशिता राऊत"|"3764 प्रवीण जाधव
रत्नागिरी 659743"
"श्री कोमल ओक"|"3/3 पाटील
गोंदिया-074168"
"ईश्वर कोल्हेजी"|"5 ईश्वर पाटील
लातूर 235691"
"कुमारी विवेक देशपांडे"|"6/7 पूजा महाजन
जळगाव-859421"
"आदित्य देशपांडेजी"|"8 आकाश मोरे
जळगाव-866539"
"कुमारी अशोक भोसले"|"0374 भोसले
ठाणे 514591"
"अपर्णा कुलकर्णीजी"|"0210 प्रवीण कुलकर्णी
ठाणे-662437"
"प्रज्ञा माने"|"53/7094 कुलकर्णी
ठाणे-757688"
"माधुरी चव्हाण"|"2/3 कुलकर्णी
हिंगोली-642805"
"धनंजय शिरसाट"|"429 जोशी
मिरज 485351"
"रोहित ठाकूरजी"|"9/7 कोमल फडके
सांगली-630746"
"दत्तात्रेय फडकेजी"|"89 साळुंखे
वसई-873771"
"श्रीमती विवेक जाधव"|"86/9802 कदम
पुणे-547879"
"कुमारी विवेक भोसले"|"71 मोरे
सातारा-252938"
"श्री इशिता ओक"|"3/1 आशा आगरकर
सातारा-319479"
"कुमारी स्वाती जाधव"|"6765 अनुष्का चौगुले
औरंगाबाद-676450"
"दीपक आगरकर"|"890 अनिरुद्ध महाजन
पिंपरी-चिंचवड-883612"
"विवेक जाधव"|"776 कुलकर्णी
धुळे 817880"
"कुमारी कोमल कदम"|"43/303 सावंत
नांदेड 847265"
"सचिन सावंतजी"|"9 अनिरुद्ध आगरकर
उस्मानाबाद-693139"
"विनायक फडकेजी"|"964 सुरेश साळुंखे
यवतमाळ 367207"
"माधव पाटील"|"71/5969 चौगुले
औरंगाबाद-581921"
"दीपाली मोरे"|"4031 आगरकर
पुणे-234117"
"कुमारी विवेक शिरसाट"|"2/9 प्रज्ञा गायकवाड
चंद्रपूर-156235"
"कुमारी विकास गवळी"|"43/961 फडके
नाशिक-929683"
"उमेश कोल्हे"|"319 अहेर
नवी मुंबई 447698"
"ईश्वर कुलकर्णीजी"|"71/691 प्रकाश ओक
अकोला-369550"
"श्रीमती तन्वी भोसले"|"5777 जगताप
मिरज-411191"
"दीपाली शिंदेजी"|"2054 प्रज्ञा राऊत
सांगली 489151"
"समीर चव्हाण"|"05/323 अरुण ओक
धुळे 698251"
"कैलास सानेजी"|"42 कदम
नागपूर 222563"
"अनिल देशपांडेजी"|"0/2 कोल्हे
अकोला-685362"
"अनिता गवळीजी"|"6777 कुलकर्णी
धुळे 924569"
"कुमारी विवेक साळुंखे"|"3449 फडके
मिरज 678552"
"राहुल ओकजी"|"49/1235 कैलास फडके
ठाणे-682897"
"हर्षद फडकेजी"|"6588 पंकज राऊत
परभणी 815436"
"सचिन साळुंखे"|"65 भोसले
अमरावती 906372"
"अमित फडके"|"22/9919 महाजन
औरंगाबाद-226675"
"श्री कैलास देशमुख"|"6047 नेहा मोरे
मुंबई 824085"
"चेतन आगरकरजी"|"45/6964 माधुरी राऊत
सातारा-475055"
"कुमारी निखिल पवार"|"81/7018 आदित्य फडके
जळगाव 151433"
"श्री तन्वी कांबळे"|"27 प्रिया आगरकर
वसई 504362"
"प्रशांत अहेर"|"71/8004 अनिता चव्हाण
सातारा 392648"
"कुमारी वैशाली चव्हाण"|"6/6 अनिरुद्ध मोरे
वसई-558349"
"इशिता चौगुले"|"40/95 राऊत
अमरावती-116731"
"मोहन साळुंखे"|"69/051 सचिन गवळी
ठाणे-459886"
"श्रीमती मानसी ओक"|"02/55 चेतन फडके
उस्मानाबाद-872787"
"कुमारी अंजली गवळी"|"967 दीपाली कदम
अकोला-465681"
"श्री मानसी कुलकर्णी"|"5 ओक
नागपूर 743415"
"लता अहेर"|"61/393 फडके
हिंगोली-427905"
"हर्षदा अहेर"|"7337 अनिल साने
वसई 128488"
"श्रीमती उमेश कुलकर्णी"|"7/8 गायकवाड
नागपूर 694208"
"अनिल ठाकूरजी"|"071 शिंदे
उस्मानाबाद 586784"
"कुमारी वैशाली जाधव"|"717 निखिल गायकवाड
कोल्हापूर 192688"
"कैलास कदमजी"|"982 साने
रत्नागिरी-224545"
"अनिल फडकेजी"|"35/144 चव्हाण
चंद्रपूर-288430"
"श्री पूजा शिंदे"|"25/694 इशिता राऊत
वसई-424969"
"ईश्वर अहेरजी"|"7954 पल्लवी कोल्हे
मुंबई-799998"
"कुमारी किरण कांबळे"|"0199 आकांक्षा आगरकर
अकोला-657344"
"कुमारी रेणुका शिंदे"|"76/19 कुलकर्णी
वसई-056611"
"आकाश कांबळे"|"7 आदित्य कुलकर्णी
जळगाव 907094"
"माधव देशपांडेजी"|"73/28 प्रज्ञा अहेर
पिंपरी-चिंचवड-620661"
"हर्षदा पवारजी"|"4/1 पंकज भोसले
पिंपरी-चिंचवड 778132"
"कुमारी वैशाली पाटील"|"17 ईश्वर सावंत
सातारा 850788"
"श्रीमती स्वाती माने"|"72 कोल्हे
हिंगोली 886228"
"श्रीमती मोहन कांबळे"|"13/5760 देशपांडे
यवतमाळ 618316"
"श्रीमती अनिरुद्ध पाटील"|"35/71 समीर पवार
सांगली 489260"
"कुमारी ज्योती पाटील"|"29/32 जाधव
कोल्हापूर-834459"
"श्री अशोक कोल्हे"|"2461 अमोल कांबळे
पिंपरी-चिंचवड 560368"
"प्रकाश कुलकर्णीजी"|"60/0580 भोसले
लातूर-881497"
"पंकज मोरे"|"76/14 कल्पना साने
रत्नागिरी-378232"
"श्री दीपक महाजन"|"52/562 भोसले
हिंगोली 576348"
"श्रीमती रोहिणी अहेर"|"21/1842 जगताप
मुंबई-278205"
"कुमारी वैशाली फडके"|"5253 मिलिंद गवळी
अमरावती-973155"
"श्रीमती कैलास साळुंखे"|"0 तन्वी फडके
चंद्रपूर 344749"
"दीपाली आगरकर"|"4 अभिजीत पाटील
यवतमाळ 845212"
"कीर्ती भोसले"|"14/72 ओक
पिंपरी-चिंचवड-513633"
"विवेक चव्हाणजी"|"9103 राहुल कांबळे
हिंगोली-503801"
"श्री माधव कदम"|"881 प्रवीण गायकवाड
कोल्हापूर 762016"
"मकरंद सानेजी"|"4 जगताप
हिंगोली-262600"
"माधुरी चव्हाणजी"|"0429 चव्हाण
चंद्रपूर-515161"
"कुमारी गणेश सावंत"|"7/1 साने
रत्नागिरी-903083"
"श्री आदित्य कुलकर्णी"|"291 साळुंखे
बीड-962939"
"कुमारी शिल्पा कोल्हे"|"9151 जोशी
बीड-165636"
"अनिता देशपांडे"|"59/10 प्रवीण चौगुले
नाशिक 631362"
"निलेश महाजनजी"|"45/4992 रेणुका जोशी
अकोला 424841"
"कैलास चौगुलेजी"|"290 साने
नाशिक 239862"
"श्री विनायक कांबळे"|"79/57 नेहा जोशी
सांगली-802266"
"प्रज्ञा ठाकूर"|"30/102 सावंत
नवी मुंबई-800851"
"कुमारी निखिल कदम"|"687 माधव राऊत
पुणे 903029"
"प्रशांत कांबळेजी"|"67/35 शिंदे
नागपूर 328661"
"श्री आकांक्षा कांबळे"|"15 कदम
सोलापूर 329025"
"मोहन कुलकर्णीजी"|"374 अनिता जोशी
मिरज 255139"
"कुमारी शिल्पा चौगुले"|"75/6662 ओक
रत्नागिरी 172674"
"पल्लवी कदम"|"2517 मोहन जोशी
अहमदनगर-291055"
"अंजली जाधवजी"|"7 जगताप
मुंबई 306468"
"मकरंद कांबळेजी"|"64 साळुंखे
गोंदिया 038047"
"इशिता राऊतजी"|"345 कोमल ठाकूर
औरंगाबाद-392401"
"सुनील चव्हाणजी"|"1/3 दीपाली मोरे
सातारा 637851"
"श्रीमती प्रज्ञा कुलकर्णी"|"98/88 जाधव
अकोला 358160"
"संदीप सावंत"|"67 भोसले
अकोला-075227"
"अभिजीत शिंदे"|"28 जोशी
चंद्रपूर 892672"
"आदित्य गवळीजी"|"79/584 जगताप
गोंदिया 279189"
"कुमारी शिल्पा ठाकूर"|"14/015 अनिता गवळी
हिंगोली-414974"
"हर्षदा पवारजी"|"2 साळुंखे
सोलापूर 570147"
"शिल्पा फडकेजी"|"78/8639 देशपांडे
सोलापूर-394735"
"माधुरी ठाकूर"|"55/77 गवळी
सोलापूर 634755"
"माधव गवळी"|"8978 सुनील देशपांडे
कोल्हापूर 476832"
"श्री जितेंद्र जगताप"|"45 चौगुले
लातूर 269734"
"श्री अशोक चव्हाण"|"078 सावंत
वसई-810446"
"कैलास आगरकरजी"|"04/80 गवळी
सांगली 477404"
"गणेश देशपांडेजी"|"021 पवार
धुळे 518689"
"अशोक देशपांडे"|"2 आदित्य चव्हाण
सोलापूर 922648"
"कुमारी शिल्पा साळुंखे"|"30/596 अरुण मोरे
पुणे 335066"
"गौरी शिंदे"|"5/1 साने
अमरावती-925033"
"अभिजीत अहेर"|"316 सावंत
सोलापूर 290667"
"श्रीमती जितेंद्र महाजन"|"33/24 फडके
मुंबई-289406"
"श्रीमती गणेश फडके"|"2 शिंदे
रत्नागिरी 356600"
"हर्षद चव्हाण"|"833 धनंजय सावंत
चंद्रपूर 635127"
"श्रीमती शिल्पा जोशी"|"90 जितेंद्र शिंदे
लातूर-087325"
"पल्लवी कांबळेजी"|"692 ओक
ठाणे 763148"
"संदीप जाधव"|"009 आकाश कुलकर्णी
ठाणे-339707"
"श्रुती चौगुले"|"81/323 ज्योती शिंदे
परभणी-434771"
"कुमारी संदीप चव्हाण"|"6/6 मोरे
नाशिक-124753"
"कुमारी प्रकाश भोसले"|"54/974 गौरव जगताप
पुणे-212386"
"कुमारी इशिता कुलकर्णी"|"7162 भोसले
सांगली-531279"
"माधव अहेर"|"58/668 शिल्पा गवळी
लातूर-839788"
"श्री आकाश ओक"|"62/0485 नेहा अहेर
औरंगाबाद 036735"
"श्रीमती पूजा चौगुले"|"48/99 गौरी चौगुले
परभणी-343649"
"आकाश ओकजी"|"77/6499 जगताप
अकोला-832227"
"अमित फडकेजी"|"6 शिरसाट
मिरज-610091"
"उमेश चौगुले"|"3 साने
अकोला 972553"
"आकाश पवार"|"944 समीर कांबळे
ठाणे 172346"
"कुमारी सचिन ओक"|"14/9457 मीनल कोल्हे
बीड 431021"
"इशिता चव्हाणजी"|"64/00 प्रज्ञा कदम
यवतमाळ 352308"
"श्री आदित्य भोसले"|"6 पाटील
मिरज 314300"
"कीर्ती अहेर"|"558 जोशी
जळगाव 783075"
"श्री माधव जोशी"|"82 महाजन
मुंबई 764493"
"अनिता आगरकरजी"|"03/20 ओक
नागपूर-545394"
"गौरव ठाकूरजी"|"7 कीर्ती गायकवाड
नागपूर 502120"
"श्रीमती अनिता चव्हाण"|"51/9364 गायकवाड
धुळे-394050"
"निलेश कांबळेजी"|"048 गौरव साळुंखे
नाशिक 070443"
"निखिल चव्हाण"|"01/2372 निखिल सावंत
धुळे-422158"
"कुमारी सचिन राऊत"|"1015 जगताप
सांगली 537864"
"ईश्वर साने"|"21/0599 अनिरुद्ध जाधव
उस्मानाबाद-892555"
"कुमारी प्रकाश कोल्हे"|"9 साने
अकोला 576950"
"अनिता गायकवाड"|"52/4858 जोशी
कोल्हापूर-814303"
"श्रीमती कीर्ती ओक"|"9/9 माधव जाधव
नवी मुंबई 639008"
"कीर्ती देशमुख"|"610 आकाश कांबळे
गोंदिया-791974"
"अभिजीत शिंदेजी"|"28 ठाकूर
अमरावती 114965"
"रोहिणी चौगुले"|"80/430 माधुरी जाधव
मुंबई 329373"
