"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"ნატო ბასილაძე"|"ტაბიძე ტიციანის ქ. 79, გორი"
"აკაკი ბიბილაშვილი"|"ვერცხლის ქ. 01, კასპი"
"ტარიელ თოლორდავა"|"ბერიძე ვუკოლის ქ. 72, ტყიბული"
"გოგა ქურდაძე"|"ლალიონის ქ. 30, ცხინვალი"
"დიმიტრი ადამია"|"ყიფშიძის ქ. 93, თბილისი"
"როინ ჩაკვეტაძე"|"აბაშიძე გრიგოლის ქ. 47, სამტრედია"
"ბიძინა პეტროსიანი"|"ნუცუბიძის ქ. 27, დედოფლისწყარო"
"სოფიკო ავალიანი"|"სანდრო ეულის ქ. 95, გურჯაანი"
"პაატა ზარანდია"|"გახოკიძის ქ. 94, ფოთი"
"იური ჯიშკარიანი"|"აბანოს ქ. 56, ყვარელი"
"მიხეილ მახათაძე"|"თონეს ქ. 56, ჯვარი"
"რეზო მახათაძე"|"ურიცკის ქ. 18, კასპი"
"ფატიმა გაჯიევა"|"კედია სპირიდონის ქ. 48, თეთრიწყარო"
"ზვიად დევიძე"|"ლიხაურის ქ. 45, ხაშური"
"დიმიტრი ბენიძე"|"გორის ქ. 43, ახმეტა"
"რობერტ კინწურაშვილი"|"დოღუმბარის ქ. 09, სოხუმი"
"ნოდარ საჯაია"|"ხუდადოვის ქ. 75, ფოთი"
"ვასილ უგრეხელიძე"|"რაზმაძის ქ. 04, სოხუმი"
"ციცინო კაცაძე"|"არდონის ქ. 54, ლანჩხუთი"
"ბესიკ მარგველაშვილი"|"ლაზოს ქ. 22, ოჩამჩირე"
"ლიდა ბერიძე"|"ბექა ოპიზარის ქ. 27, საჩხერე"
"ვიოლეტა ჭიღლაძე"|"თოიძის ქ. 78, ოზურგეთი"
"მეგი ბერიძე"|"აწყურის ქ. 63, ქობულეთი"
"ირინე კერესელიძე"|"ჩიქობავა არნოლდის ქ. 68, ზესტაფონი"
"დიმიტრი თოლორდავა"|"ფაღავა ირაკლის ქ. 52, ხობი"
"ასლან ჯაფარიძე"|"გუნიას ქ. 98, ვალე"
"პავლე კაციტაძე"|"ტირიფონის ქ. 73, წნორი"
"ელისო კოპაძე"|"ფაბრიკის ქ. 14, მარნეული"
"სვეტლანა ბარბაქაძე"|"ლაზოს ქ. 25, საგარეჯო"
"სვეტლანა მამულაძე"|"მარი ნიკოს ქ. 50, თბილისი"
"რატი ბურდული"|"აბუსერიძე-ტბელის ქ. 62, ყვარელი"
"გიგა ჭიჭინაძე"|"სამგორის ქ. 27, ამბროლაური"
"ელენე დავითაძე"|"უნივერსიტეტის ქ. 35, ახალქალაქი"
"ნადია მჭედლიშვილი"|"ფასანაურის ქ. 69, ნინოწმინდა"
"დიმიტრი კალანდია"|"ერევნის ქ. 40, ბათუმი"
"დიანა ჯანაშია"|"აბაშიძე ჰეიდარის ქ. 02, ზესტაფონი"
"ვალერი მღებრიშვილი"|"სართიჭალის ქ. 95, ტყვარჩელი"
"ზვიად ბურჯანაძე"|"ნაგომარის ქ. 51, რუსთავი"
"გელა ირემაძე"|"მოსე ხონელის ქ. 05, ცაგერი"
"მთვარისა ჩაკვეტაძე"|"ხევძმარის ქ. 79, ბათუმი"
"ჟანა თოფურია"|"გოგებაშვილის იაკობის ქ. 55, თბილისი"
"არტურ ნემსაძე"|"ლომთათიძის ქ. 97, ახალციხე"
"აზა გველესიანი"|"ბაქრაძე დავითის ქ. 90, ბაღდათი"
"ემა იობიძე"|"ვერჰარნის ქ. 66, თერჯოლა"
"დიმიტრი მაღრაძე"|"მესხიშვილის ქ. 82, დედოფლისწყარო"
"ეკა ახვლედიანი"|"მაცესტის ქ. 74, ახმეტა"
"ელმირა ჟღენტი"|"ანდღულაძის ქ. 38, ოჩამჩირე"
"ციცინო ქირია"|"კონსტიტუციის ქ. 13, ბორჯომი"
"ელგუჯა ზოიძე"|"წერნაკის ქ. 77, ნინოწმინდა"
"გოგიტა მელიქიშვილი"|"ძმობის ქ. 52, ბათუმი"
"ვასილ გაბრიჭიძე"|"ბულაჩაურის ქ. 93, ხაშური"
"ნადია ალიევა"|"ხაჩატურიანის ქ. 57, გურჯაანი"
"ფატიმა ტალახაძე"|"კვანტალიანის ქ. 83, ცხინვალი"
"ბონდო ავალიანი"|"დოდაშვილი სოლომონის ქ. 02, ფოთი"
"დიმიტრი მელაძე"|"ანაკლიის ქ. 58, დმანისი"
"ნათია ხვედელიძე"|"გერგეტის ქ. 24, ზესტაფონი"
"ვარდო ნუცუბიძე"|"გაბაშვილი ეკატერინეს ქ. 92, წალკა"
"ბესიკ ტაბატაძე"|"კიევის ქ. 47, მარნეული"
"თეონა საჯაია"|"საგარეჯოს ქ. 77, თეთრიწყარო"
"როლანდ გრიგორიანი"|"ასათიანი ლადოს ქ. 70, თელავი"
"ნიკოლოზ ღარიბაშვილი"|"ხერხეულიძეების ქ. 70, ჯვარი"
"ვახტანგ მიქაძე"|"ინგოროყვა პავლეს ქ. 90, წალენჯიხა"
"ლუდმილა გულიაშვილი"|"იერუსალიმის ქ. 87, ონი"
"მურთაზ გრძელიშვილი"|"ბალადინის ქ. 76, მცხეთა"
"დიმიტრი ხარატიშვილი"|"აბუსერიძე-ტბელის ქ. 80, ზუგდიდი"
"მარინე მაღრაძე"|"ხიდის ქ. 29, ჭიათურა"
"ტატიანა ქურდაძე"|"გულიას ქ. 40, ლაგოდეხი"
"რევაზ რუხაძე"|"გარიყული მარიამის ქ. 45, თერჯოლა"
"გიგლა გულუა"|"კოშკოვანის ქ. 95, ცაგერი"
"ლიკა ენუქიძე"|"წნორისწყლის ქ. 20, ბაღდათი"
"ელენე გოგიტიძე"|"ავთანდილის ქ. 92, მარტვილი"
"დოდო კახიძე"|"ვეძინის ქ. 12, გაგრა"
"ელისო ახვლედიანი"|"ბოჭორიშვილის ქ. 59, ახალი ათონი"
"ნანი პეტროსიანი"|"გუმათის ქ. 67, ნინოწმინდა"
"დიმიტრი ხაჩიძე"|"საბადურის ქ. 77, ფოთი"
"ზოია სხირტლაძე"|"ტიბაანის ქ. 49, ჭიათურა"
"თამარი კახაძე"|"ერწოს ქ. 86, ამბროლაური"
"ვახტანგ ფიცხელაური"|"ნიორაძის ქ. 86, საჩხერე"
"რუსუდან მიქაძე"|"მამრაძის ქ. 07, ნინოწმინდა"
"გია ბუკია"|"ბაქრაძე დიმიტრის ქ. 64, ზუგდიდი"
"მირიან ჯანელიძე"|"ხვინგიას ქ. 89, ბაღდათი"
"რომან დანელია"|"ონიაშვილის ქ. 84, სოხუმი"
"მეგი ისაევი"|"პაიჭაძის ქ. 99, ბორჯომი"
"ნიკოლოზ მიქაძე"|"იოსებიძის ქ. 23, მარნეული"
"დოდო ასანიძე"|"გამყრელიძის ქ. 04, სენაკი"
"გრიგოლ ცეცხლაძე"|"სამღერეთის ქ. 14, გორი"
"ლუდმილა ცუცქირიძე"|"ბარათაშვილის ქ. 36, მარნეული"
"ჟანა პაპავა"|"ირბაქი ნიკიფორეს ქ. 95, ზუგდიდი"
"შორენა გოგიტიძე"|"მიცკევიჩის ქ. 04, გარდაბანი"
"ემა გაფრინდაშვილი"|"ჩერქეზიშვილის ქ. 76, ოზურგეთი"
"რომან ლომსაძე"|"ერისთავ-ხოშტარიას ქ. 65, ქარელი"
"ნუგზარ კვინიკაძე"|"ურეკის ქ. 55, ქარელი"
"ვიქტორ ხარაიშვილი"|"სანდრო ეულის ქ. 38, გალი"
"ლარისა ქაჯაია"|"ფიფიას ქ. 47, ჭიათურა"
"დოდო კვაჭაძე"|"ნადირაძე კოლაუს ქ. 86, ახმეტა"
"ტარიელ კოხრეიძე"|"ცხრა ძმის ქ. 84, თბილისი"
"კარლო ქარდავა"|"როსტომაშვილის ქ. 27, ვანი"
"სუსანა ხელაძე"|"მესხიშვილი ალექსის ქ. 39, გალი"
"ვახტანგ ტუღუში"|"გრიშაშვილის ქ. 72, ფოთი"
"ნუკრი როსტიაშვილი"|"კურნატოვსკის ქ. 26, გუდაუთა"
"ემა მჟავანაძე"|"არსენალის ქ. 71, ვალე"
"ალექსანდრე ნიკოლეიშვილი"|"მანაგაძე ალეხსანდეს ქ. 52, ზუგდიდი"
"ბესარიონ ახობაძე"|"ენისელის ქ. 93, ჯვარი"
"დალი გრიგორიანი"|"პიონერის ქ. 59, თბილისი"
"დოდო ქობულაძე"|"მაზნიაშვილის ქ. 78, ლაგოდეხი"
"დავით ჯანიაშვილი"|"მშველიძის ქ. 25, სამტრედია"
"ანი გაგნიძე"|"ზედამზის ქ. 23, ცაგერი"
"ალექსანდრე დვალი"|"აბასთუმანის ქ. 46, სიღნაღი"
"მამუკა კუბლაშვილი"|"ტყის ქ. 29, ხაშური"
"ელიზა ღურწკაია"|"ლომონოსოვის ქ. 34, გალი"
"ნიკოლოზ გაგნიძე"|"ტვიშის ქ. 50, ახალი ათონი"
"დათო მესხი"|"სტურუას ქ. 53, წალენჯიხა"
"ზაურ დუმბაძე"|"უიარაღოს ქ. 01, თბილისი"
"როინ ნებიერიძე"|"ბარათაშვილი ნოკოლოზის ქ. 68, გორი"
"დოდო წერეთელი"|"ინანიშვილი რამაზის ქ. 66, თბილისი"
"თამთა შანიძე"|"აბანოს ქ. 77, წალკა"
"ნადია მოდებაძე"|"მეგრელაძის ქ. 02, გარდაბანი"
"გოჩა ჭკადუა"|"ირბაქი ნიკიფორეს ქ. 20, გურჯაანი"
"ვეფხვია როსტიაშვილი"|"სარაჯიშვილი პეტრეს ქ. 60, დუშეთი"
"კარლო შველიძე"|"ლაღიძე რევაზის ქ. 67, გურჯაანი"
"ანი ფარტენაძე"|"ჩიქოვანის ქ. 29, გურჯაანი"
"მიხეილ სეხნიაშვილი"|"საბადურის ქ. 14, ტყვარჩელი"
"გოგიტა არაბული"|"რუისპირის ქ. 43, საგარეჯო"
"იოსებ ბოკუჩავა"|"ზიჩი მიხაის ქ. 94, საგარეჯო"
"ედუარდ ვეკუა"|"ლოჭინის ქ. 83, მარნეული"
"თამარა ხარაიშვილი"|"იერუსალიმის ქ. 23, დუშეთი"
"ვაჟა ჩაჩუა"|"დეპოს ქ. 70, ჭიათურა"
"დათო შარაშიძე"|"მიჩურინის ქ. 83, დმანისი"
"ჯულიეტა კაკაბაძე"|"არდაზიანის ქ. 99, წალკა"
"ლია ქამადაძე"|"მაჭრის ქ. 41, ქობულეთი"
"ოთარ ბაქრაძე"|"მიქატაძის ქ. 88, ონი"
"გივი ოთარაშვილი"|"მაზნიაშვილის ქ. 11, ოჩამჩირე"
"ალა მიქელაძე"|"ობსერვატორიის ქ. 51, ტყიბული"
"ალექს მაისურაძე"|"სენაკის ქ. 92, ხონი"
"ედუარდ კიკვაძე"|"ადიგენის ქ. 25, გაგრა"
"გოგი ხაჭაპურიძე"|"გეგუთის ქ. 04, დმანისი"
"არმენ ბერუაშვილი"|"წულაძის ქ. 21, დუშეთი"
"ემა კვირიკაშვილი"|"კურსების ქ. 98, წყალტუბო"
"პეტრე ბერიაშვილი"|"მებაღიშვილის ქ. 06, გაგრა"
"ნუკრი ასანიძე"|"დაისის ქ. 89, ნინოწმინდა"
"გულნარა გუჯაბიძე"|"ბედიის ქ. 33, წყალტუბო"
"გელა გვენეტაძე"|"სახოკიას ქ. 88, ბათუმი"
"ციალა ბასილაძე"|"კიკეთის ქ. 98, სენაკი"
"ნათელა გაბედავა"|"მათიაშვილის ქ. 00, მარნეული"
"ედუარდ ლორთქიფანიძე"|"ხარაგაულის ქ. 99, გალი"
"თინათინ ჯანჯღავა"|"ზეინკლის ქ. 43, ქობულეთი"
"სოფია ტაკიძე"|"ხეთაგუროვის ქ. 33, ხობი"
"ჟენია ჭანტურია"|"ახმეტის ქ. 54, ბათუმი"
"სერგო ჭინჭარაული"|"შავიშვილის ქ. 66, ბათუმი"
"კარლო ჯანაშია"|"ქვალონის ქ. 54, ბორჯომი"
"ხატია ოქროპირიძე"|"ბაქრაძე დიმიტრის ქ. 83, ახალი ათონი"
"ეთერ ტყეშელაშვილი"|"ხვამლის ქ. 32, ზესტაფონი"
"ზურაბ კაზარიანი"|"ოსიაურის ქ. 94, დმანისი"
"რუსუდან კახაძე"|"მიქელაძის ქ. 24, ახალი ათონი"
"ედუარდ ქარჩავა"|"ფშავის ქ. 60, წალენჯიხა"
"ვეფხვია ზარანდია"|"ნაქერალას ქ. 34, დუშეთი"
"ეთერ ბერაია"|"ვაშლოვანის ქ. 36, ოჩამჩირე"
"გულიკო ჭანტურია"|"მოსულიშვილის ქ. 96, ქუთაისი"
"გიგლა გოგსაძე"|"ფოცხვერაშვილის ქ. 65, ონი"
"ბელა იმნაძე"|"ნოსტეს ქ. 49, წყალტუბო"
"ხათუნა ბახტაძე"|"300 არაგველის ქ. 91, სიღნაღი"
"რომან ხიმშიაშვილი"|"ზინდისის ქ. 87, აბაშა"
"მაია ლომიძე"|"მოლოკოვის ქ. 17, ხობი"
"ილია გორგილაძე"|"ოჟიოს ქ. 41, ვანი"
"ედუარდ ყიფიანი"|"ჯამბულის ქ. 92, გარდაბანი"
"ვიქტორ ქანთარია"|"ლორთქიფანიძე გრიგოლის ქ. 19, ოზურგეთი"
"გურამ როსტიაშვილი"|"ლალიონის ქ. 15, ლაგოდეხი"
"მარგალიტა პაპავა"|"ფოცხვერაშვილის ქ. 52, ხობი"
"ვაჟა ოქრუაშვილი"|"ნინიძის ქ. 00, ახმეტა"
"ასლან ჯიბლაძე"|"ფირდოუსის ქ. 85, ახალქალაქი"
"აზა ცხადაძე"|"ბახტრიონის ქ. 65, ჭიათურა"
"ბელა შავაძე"|"აკურის ქ. 31, ოზურგეთი"
"ნათია ცომაია"|"მ. ლებანიძის ქ. 26, ფოთი"
"გრიგოლ ქარცივაძე"|"მიმინოშვილი რომანის ქ. 77, ახალციხე"
"ედუარდ ხელაძე"|"სალამის ქ. 08, ხაშური"
"ტარიელ ნარიმანიძე"|"ქებურიას ქ. 63, ხონი"
"ირინა რაზმაძე"|"ჩაილურის ქ. 45, ტყიბული"
"ეკა ღონღაძე"|"ჭიათურის ქ. 67, გუდაუთა"
"ბადრი ჭიღლაძე"|"თამარაშვილი მიხეილის ქ. 42, ოზურგეთი"
"არტურ სამუშია"|"რაზიკაშვილის ქ. 69, ჯვარი"
"ვახტანგ ახობაძე"|"არდონის ქ. 15, ბათუმი"
"მედეა ჭეიშვილი"|"სტურუას ქ. 54, მცხეთა"
"ნოდარ გეგეშიძე"|"სიღნაღის ქ. 60, ახალციხე"
"სუსანა მაჭარაშვილი"|"დოქის ქ. 78, ქუთაისი"
"ედუარდ ჯავახიშვილი"|"სვირის ქ. 35, ახალქალაქი"
"ელენა ავალიანი"|"პიონერის ქ. 05, დუშეთი"
"კახა ჩიქოვანი"|"თაბუკაშვილი რეზოს ქ. 98, გურჯაანი"
"უჩა ქანთარია"|"ნაქალაქევის ქ. 64, მცხეთა"
"არმენ ჯავახიშვილი"|"ავლაბრის ქ. 94, მარტვილი"
"შალვა მელიქიშვილი"|"ანტონ კატალიკოსის ქ. 14, ჯვარი"
"ხათუნა დიასამიძე"|"ქართლის ქ. 53, სოხუმი"
"ხათუნა შალამბერიძე"|"კახიანის ქ. 83, ონი"
"ბელა გულიაშვილი"|"ხვიჩია იპოლიტეს ქ. 72, ლაგოდეხი"
"ვასილ ჭიღლაძე"|"მშველიძის ქ. 20, ჭიათურა"
"ევგენია გაჯიევა"|"ხოშარაულის ქ. 68, წალენჯიხა"
"კონსტანტინე სიხარულიძე"|"ხორავა აკაკის ქ. 86, ქუთაისი"
"ინეზა დოლიძე"|"ტირიფონის ქ. 43, ახალქალაქი"
"თამარ ბიგვავა"|"შუამთის ქ. 64, მცხეთა"
"ბესარიონ სირაძე"|"რჩეულიშვილის ქ. 13, ფოთი"
"ია მიმინოშვილი"|"აგლაძე რაფიელის ქ. 80, დუშეთი"
"ჟანა გორგაძე"|"შავთელის ქ. 56, თეთრიწყარო"
"ლეილა ხურცილავა"|"გულისაშვილის ქ. 03, ჯვარი"
"ანჟელა გიგაური"|"ნიორაძის ქ. 45, სოხუმი"
"კარლო კირვალიძე"|"სარაჯიშვილი პეტრეს ქ. 73, ბაღდათი"
"ევგენია ლობჟანიძე"|"ცოდნისკარის ქ. 23, ამბროლაური"
"ქეთევან კირვალიძე"|"აბანოს ქ. 62, ოზურგეთი"
"ნოდარ მარგველაშვილი"|"გალაქტიონ ტაბიძის ქ. 03, ლანჩხუთი"
"ვახტანგ ირემაშვილი"|"ალექსიძე მერაბის ქ. 57, ზუგდიდი"
"ნათელა უგრეხელიძე"|"იოსელიანის ქ. 93, ჭიათურა"
"ანნა ზარანდია"|"ლაღიძე რევაზის ქ. 42, ახალციხე"
"ლიზა სიმონიშვილი"|"სანკტ-პეტერბურგის ქ. 72, ხობი"
"ნაზიკო ხუციშვილი"|"ბროლოსანის ქ. 88, ნინოწმინდა"
"კარლო ჭანტურია"|"შუამთის ქ. 03, ჯვარი"
"ნელი არაბული"|"ნოსტეს ქ. 11, გალი"
"ევგენია მუშკუდიანი"|"ორხევის ქ. 76, ქობულეთი"
"გოჩა მუსაევა"|"ტოლენჯის ქ. 90, გურჯაანი"
"დემურ დოლიძე"|"კურნატოვსკის ქ. 18, ახალი ათონი"
"გუგული ჩხაიძე"|"მარი ნიკოს ქ. 99, საჩხერე"
"ლუბა ჩაჩანიძე"|"ლანჩხუთის ქ. 44, წყალტუბო"
"ცირა ქათამაძე"|"ლაზოს ქ. 62, ახალი ათონი"
"დავით ნუცუბიძე"|"აბდუშელიშვილი მალხაზის ქ. 04, სოხუმი"
"რამაზ გოგიტიძე"|"ლაღიძე რევაზის ქ. 21, საჩხერე"
"ასლან კაპანაძე"|"მუხაძის ქ. 28, ბაღდათი"
"ფიქრია ცანავა"|"ერისთავი თორნიკეს ქ. 03, ბორჯომი"
"ევგენია რობაქიძე"|"დოლიძის ქ. 13, ონი"
"კლარა დევიძე"|"ხვიჩია იპოლიტეს ქ. 51, ამბროლაური"
"ეთერ კინწურაშვილი"|"ბათუმის ქ. 68, ონი"
"გიგა ბარბაქაძე"|"სუმბატაშვილ-იუჟინსკის ქ. 59, საგარეჯო"
"მაკა მგელაძე"|"ფილიას ქ. 81, გალი"
"ვალერიან გაბელია"|"ჯავახიშვილი ივანეს ქ. 97, სოხუმი"
"რიმა ქირია"|"ბაქრაძე დიმიტრის ქ. 94, წალკა"
"ბექა კაკაბაძე"|"გედევანიშვილის ქ. 29, ტყვარჩელი"
"თენგიზ მუსაევა"|"მთაწმინდის ქ. 02, გალი"
"ნუკრი მარგველაშვილი"|"სვანეთის ქ. 43, სიღნაღი"
"ევგენია ფოფხაძე"|"ჩანჩიბაძის ქ. 19, რუსთავი"
"ლეილა ხურცილავა"|"წულუკიძის ქ. 75, ცხინვალი"
"რუსუდან დემეტრაშვილი"|"ავლევის ქ. 78, ვალე"
"ოთარ გოგიტიძე"|"300 არაგველის ქ. 60, თელავი"
"ვანო მიქელაძე"|"პისარევის ქ. 12, სიღნაღი"
"ფიქრია კილაძე"|"გვაზაურის ქ. 23, მარტვილი"
"ქეთევან თავართქილაძე"|"აბანოს ქ. 86, ონი"
"არმენ ბერაია"|"ქურდიანი არჩილის ქ. 90, გაგრა"
"ლილი ჯანჯღავა"|"პატარიძის ქ. 89, ვანი"
"ცირა გოგიჩაშვილი"|"ლერმონტოვის ქ. 60, საჩხერე"
"ევგენია ღვინიაშვილი"|"ოქროყანის ქ. 18, თერჯოლა"
"ბესარიონ გორგილაძე"|"უზნაძე დიმიტრის ქ. 51, ქარელი"
"ლენა მიქელაძე"|"გარე კახეთის ქ. 92, ოზურგეთი"
"ჯაბა ქაჯაია"|"მოსულიშვილის ქ. 92, ხაშური"
"ვეფხვია გაბაიძე"|"მელაანის ქ. 95, დედოფლისწყარო"
"ინგა ჩოხელი"|"ხვანჭკარის ქ. 25, გალი"
"ედუარდ ცერცვაძე"|"საქარის ქ. 10, ახალქალაქი"
"გია ვაშაყმაძე"|"კურნატოვსკის ქ. 22, ლანჩხუთი"
"მიხეილ ქარდავა"|"გომარეთის ქ. 83, ზუგდიდი"
"ნუგზარ კაკაბაძე"|"ხვანჭკარის ქ. 50, ზუგდიდი"
"ევგენია ჩხაიძე"|"კერესელიძე არჩილის ქ. 04, ცაგერი"
"შალვა ლიპარტელიანი"|"ტირიფონის ქ. 24, გაგრა"
"ბიძინა ახობაძე"|"შილდის ქ. 24, ლანჩხუთი"
"ჯაბა ჩხარტიშვილი"|"ლეჩხუმის ქ. 68, ცაგერი"
"რამაზ ხაჩიძე"|"ადიგენის ქ. 42, გაგრა"
"ლამარა ჟორჟოლიანი"|"შატილის ქ. 18, გორი"
"მანანა კვირკველია"|"ნაგომარის ქ. 28, ტყიბული"
"ილია ხუციშვილი"|"სიღნაღის ქ. 40, გუდაუთა"
"ვალენტინა ახვლედიანი"|"გამცემლიძე შოთას ქ. 50, ნინოწმინდა"
"მაყვალა ბაქრაძე"|"კაიშაურის ქ. 14, მარნეული"
"ეთერ ზარანდია"|"ილურიძე კონსტანტინეს ქ. 65, ლაგოდეხი"
"მზია წიკლაური"|"ნუცუბიძის ქ. 58, ნინოწმინდა"
"ელენე დემეტრაშვილი"|"კუმისის ქ. 97, ბორჯომი"
"ლენა თოლორდავა"|"რომის ქ. 57, საჩხერე"
"ბორის ხაჭაპურიძე"|"ნიაბის ქ. 08, ჯვარი"
"ვლადიმერ თავაძე"|"მოსულიშვილის ქ. 48, მარნეული"
"ივანე კაციტაძე"|"რთველაძის ქ. 30, თეთრიწყარო"
"ფატიმა გაბედავა"|"პლატონის ქ. 52, ჭიათურა"
"შორენა ხვედელიძე"|"კოტეტიშვილი ვახტანგის ქ. 38, დუშეთი"
"ფიქრია ხურციძე"|"ლებარდეს ქ. 84, ქარელი"
"ეთერ კერესელიძე"|"ჩიქობავა არნოლდის ქ. 58, ახალციხე"
"ანზორ სხირტლაძე"|"ენისელის ქ. 61, საგარეჯო"
"ნუკრი რუხაძე"|"მახათას ქ. 55, გარდაბანი"
"სიმონ ბერაია"|"წუწხვატის ქ. 09, ყვარელი"
"ელენა ავალიანი"|"გელათის ქ. 66, დუშეთი"
"თათია აფციაური"|"ცინცაძე კალისტრატეს ქ. 40, ბორჯომი"
"გია ინასარიძე"|"ქართველიშვილი ლევანის ქ. 11, გალი"
"ედუარდ გობეჯიშვილი"|"შერვაშიძის ქ. 98, სიღნაღი"
"დიმიტრი გურგენიძე"|"ანტონ კატალიკოსის ქ. 94, რუსთავი"
"გელა ფანცულაია"|"წერონისის ქ. 75, წყალტუბო"
"ეთერ ნიქაბაძე"|"ჯვარედინის ქ. 12, ლაგოდეხი"
"ჯონი გრიგალაშვილი"|"ჯაბაურის ქ. 68, ბაღდათი"
"მაია მუსტაფაევა"|"წყაროს ქ. 54, წნორი"
"მერაბ მახათაძე"|"ლანჩხუთის ქ. 59, ყვარელი"
"სუსანა სიმონიშვილი"|"რუსთაველის ქ. 38, მარტვილი"
"ირინა ჟორჟოლიანი"|"ინგოროყვა პავლეს ქ. 07, ახმეტა"
"ემა მიქავა"|"საბანისძის ქ. 65, სოხუმი"
"კლარა გიორგობიანი"|"თაყაიშვილი სესილიას ქ. 73, მარტვილი"
"ნაზიბროლა ჟღენტი"|"როსტოვის ქ. 76, ჭიათურა"
"აიდა ფერაძე"|"ოდესის ქ. 54, ზუგდიდი"
"ეთერ პაპავა"|"ბოჭორმის ქ. 72, ახალციხე"
"სოსო ცარციძე"|"ცაგარელი არჩილის ქ. 23, თეთრიწყარო"
"ნანა სალუქვაძე"|"უზნაძის ქ. 75, ქარელი"
"მარგალიტა ილურიძე"|"სანდრო ეულის ქ. 05, დედოფლისწყარო"
"მზია ხარჩილავა"|"შანიძე აკაკის ქ. 51, ბოლნისი"
"ნატალია მერებაშვილი"|"ენგურის ქ. 81, ამბროლაური"
"ვალერი ბურდული"|"ზეკარის ქ. 46, ჭიათურა"
"ვალენტინა ლიპარტელიანი"|"ალგეთის ქ. 49, გალი"
"ნათელა ჩინჩალაძე"|"განთიადის ქ. 81, ლაგოდეხი"
"ლენა ფოფხაძე"|"თამარაშვილი მიხეილის ქ. 26, ნინოწმინდა"
"ეთერ შონია"|"კურსკის ქ. 90, სიღნაღი"
"ლიზა ლომიძე"|"ხევის ქ. 70, ახალქალაქი"
"თამარა მათიაშვილი"|"ქინძმარაულის ქ. 87, ქუთაისი"
"ბელა ქავთარაძე"|"სუვოროვის ქ. 69, თბილისი"
"თემურ ახობაძე"|"გალავნის ქ. 56, სამტრედია"
"რობერტ პაპიაშვილი"|"აბაშიძე დოდოს ქ. 73, ყვარელი"
"ელმირა ვარშანიძე"|"მოსულიშვილის ქ. 75, დუშეთი"
"ეკატერინე ვარდოსანიძე"|"ბუაჩიძე თენგიზის ქ. 97, ონი"
"ჟენია ჭინჭარაული"|"კაპანაძის ქ. 94, თერჯოლა"
"ნაზი მიქავა"|"ნავთლუღის ქ. 86, საგარეჯო"
"ეთერ ხორავა"|"შარდენის ქ. 90, რუსთავი"
"ვაჟა წურწუმია"|"კომუნის ქ. 51, დედოფლისწყარო"
"არჩილ კაციტაძე"|"ქიქოძე გერონტის ქ. 96, ჭიათურა"
"პეტრე კეკელიძე"|"გაფრინდაულის ქ. 38, ნინოწმინდა"
"რიმა ლოლაძე"|"შატბერაშვილის ქ. 47, ყვარელი"
"მალხაზ კარაპეტიანი"|"მეტეხის ქ. 58, სამტრედია"
"ტარიელ ჭკადუა"|"ტიხონოვის ქ. 72, ყვარელი"
"მარო ნაკაშიძე"|"თუმანიანის ქ. 66, ოჩამჩირე"
"ლეილა ბოჭორიშვილი"|"ფოთის ქ. 71, დმანისი"
"თამაზ ბერძენიშვილი"|"მახინჯაურის ქ. 71, ახალციხე"
"ეთერ ჯაფარიძე"|"ბენდელიანი ჭიჭიკოს ქ. 57, ცაგერი"
"რამაზ ლიპარტელიანი"|"ბეღლეთის ქ. 55, ჯვარი"
"ფატიმა ქათამაძე"|"ყუშიტაშვილის ქ. 45, კასპი"
"თამთა მღებრიშვილი"|"თრიალეთის ქ. 91, გალი"
"ირინე გუმბერიძე"|"შავი ზღვის ქ. 68, საჩხერე"
"ჯუმბერ მაღლაკელიძე"|"ზედაუბნის ქ. 91, საგარეჯო"
"რამაზ ვასაძე"|"ღრმაღელეს ქ. 67, დუშეთი"
"რეზო იობიძე"|"ჩოხელის ქ. 33, თბილისი"
"ვანო შუკაკიძე"|"ჩიტაძის ქ. 11, ახალქალაქი"
"ალექსანდრე დუმბაძე"|"ხივინის ქ. 93, წყალტუბო"
"ეკა კობაიძე"|"გოთუას ქ. 65, ამბროლაური"
"ბონდო ნემსაძე"|"ნარგიზის ქ. 98, სამტრედია"
"ანჟელა კაკაბაძე"|"ქობულეთის ქ. 82, ცხინვალი"
"ედუარდ ბრეგაძე"|"გუდაურის ქ. 22, ფოთი"
"იური რამიშვილი"|"ფოთის ქ. 71, ტყიბული"
"თეიმურაზ ცანავა"|"ხევის ქ. 78, ბათუმი"
"სუსანა მეგრელიშვილი"|"ისაკიანის ქ. 24, ქარელი"
"ზაზა ოქრუაშვილი"|"ჯავახიშვილი მიხეილის ქ. 67, საჩხერე"
"გიგა ალადაშვილი"|"თაქთაქიშვილის ქ. 11, ახმეტა"
"მიხეილ შუბითიძე"|"ტრიკოტაჟის ქ. 99, დმანისი"
"ეკა მელიქიძე"|"მთაწმინდის ქ. 23, ოზურგეთი"
"ივანე ბასილაშვილი"|"ზემო ვეძისის ქ. 81, აბაშა"
"ლანა ღლონტი"|"გოგებაშვილის იაკობის ქ. 89, წალკა"
"გიგლა ბერულავა"|"ბერიძე ვუკოლის ქ. 81, დმანისი"
"ზინა გოგია"|"ზალდასტანიშვილის ქ. 38, დმანისი"
