"Aaron Kälin","Staufferstrasse 96
5052 Val-de-Travers" 
"Stéphane Giger","Steigerstrasse 635
5524 Liestal"
"Rosalie Baumgartner","Müllerstrasse 458
1188 Wädenswil"
"Luzius Felber","Blumstrasse 75
1391 Schlieren"
"Wanda Schärer","Pfisterstrasse 9
7216 Risch"
"Biagio Leu-Müller","Maierstrasse 32
6161 Grenchen"
"Cyrill Schärer","Bauerstrasse 84
7453 Montreux"
"Line Weibel","Bättigstrasse 877
9507 Payerne"
"Fitim Eichenberger","Häfligerstrasse 63
9913 Freiburg"
"Kaspar Zollinger","Furrerstrasse 4
7922 Liestal"
"Hulda Weber","Schaubstrasse 8
2798 Ebikon"
"Bernadette Bucher Winkler","Stalderstrasse 54
5978 Brugg"
"Stephen Hotz-Wolf","Staufferstrasse 4
8378 Val-de-Ruz"
"Dr. Rüdiger Weber","Beckstrasse 810
6641 Sitten"
"Gisela Steiger","Hoferstrasse 65
4139 Prilly"
"Tânia Hofmann","Kaiserstrasse 65
3127 Arth"
"Cécile Maurer","Meisterstrasse 3
6362 Weinfelden"
"Christelle Müller","Rüeggstrasse 5
6021 Risch"
"Albulena Bühler","Ottstrasse 6
2150 Thônex"
"Dr. Marcelle Forster","Müllerstrasse 5
1802 Dietikon"
"Donato Koch","Hessstrasse 55
8192 Münsingen"
"Yves Hess","Schweizerstrasse 192
9233 Herisau"
"Désirée Braun Sigrist","Schumacherstrasse 975
6459 Brig-Glis"
"Dean Graf","Bachmannstrasse 609
6914 Lancy"
"Egon Schweizer","Christenstrasse 13
5265 Le Grand-Saconnex"
"Laurenz Berger","Vogelstrasse 9
1565 Lausanne"
"Cédric Stocker","Mäderstrasse 88
3981 Frauenfeld"
"Reto Wirth","Tannerstrasse 22
1260 Münsingen"
"Boban Schwarz-Kägi","Sutterstrasse 15
6562 Zug"
"Beatriz Herzog","Zimmermannstrasse 63
8467 Adliswil"
"Salih Stauffer","Leunbergerstrasse 36
6041 Allschwil"
"Mustafa Schnyder","Grobstrasse 541
4706 Langenthal"
"Andy Bär","Lüscherstrasse 3
1393 Küssnacht"
"Mélissa Leunberger","Schallerstrasse 33
9171 La Chaux-de-Fonds"
"Emily Christen","Grafstrasse 69
8601 Volketswil"
"Marlene Michel-Rüegg","Pfisterstrasse 1
7406 Zofingen"
"Céline Stocker","Schärstrasse 86
3834 Zollikon"
"Zuzana Kohler","Bianchistrasse 31
3995 Wetzikon"
"Ruth Wagner","Fischerstrasse 2
5529 Lenzburg"
"Marcella Zbinden","Schochstrasse 33
2472 Muttenz"
"Isabel Kern","Freystrasse 98
9258 Yverdon-les-Bains"
"Rebecca Hasler","Baurstrasse 58
4551 Richterswil"
"Leila Ritter-Mäder","Aebistrasse 376
1328 Plan-les-Ouates"
"Shpresa Hürlimann","Kälinstrasse 84
5680 Val-de-Ruz"
"Timo Schwab","Eggerstrasse 974
3540 Winterthur"
"Romeo Wehrli-Walter","Huberstrasse 818
1202 Emmen"
"Dafina Zollinger","Wegmannstrasse 79
7855 Gossau"
"Mathias Wirz","Michelstrasse 32
4549 Pully"
"Natasa Wolf","Siegriststrasse 1
5760 Kreuzlingen"
"Ilaria Amrein","Benzstrasse 28
7850 Illnau-Effretikon"
"Stephen Meister","Zimmermannstrasse 65
2640 Prilly"
"Theodor Schmidt","Hoferstrasse 58
1650 Onex"
"Dr. Mark Favre","Fankhauserstrasse 78
2067 Muttenz"
"Tarik Iten-Wettstein","Hafnerstrasse 74
1883 Dübendorf"
"Audrey Lang Aebi","Hafnerstrasse 112
3526 Aesch"
"Shqipe Graf-Felder","Schäferstrasse 811
7814 Vevey"
"Dagmar Egger","Hoferstrasse 86
3531 Amriswil"
"Maëlle Wirz Bättig","Bucherstrasse 5
3900 Kreuzlingen"
"Prof. Damian Zollinger","Haasstrasse 47
9997 Bellinzona"
"Ekaterina Lehmann Zimmermann","Haslerstrasse 521
3929 Baar"
"Norah Gross","Sigriststrasse 2
2277 Oberwil"
"Leni Portmann","Suterstrasse 92
5420 Luzern"
"Ilija Eugster","Kuhnstrasse 65
8001 Davos"
"Prof. Cem Schweizer","Schnyderstrasse 10
4259 Zollikofen"
"Walter Suter","Zieglerstrasse 175
8224 Pfäffikon"
"Raymonde Hofstetter-Häfliger","Grafstrasse 63
3811 Münsingen"
"Daisy Braun Stalder","Schneiderstrasse 25
9087 Dietikon"
"Onur Frei","Hunzikerstrasse 5
5771 Basel"
"Line Steinmann Eichenberger","Bergerstrasse 3
2887 Grenchen"
"Laurence Häfliger Näf","Meisterstrasse 783
7086 Uzwil"
"Sylvie Walter","Baumgartnerstrasse 416
1802 Hinwil"
"Prof. Rosaria Isler","Schenkstrasse 40
4297 Chur"
"Margareta Schaub","Lustenbergerstrasse 65
4328 Romanshorn"
"Gertrud Jenni","Sigriststrasse 88
1650 Gossau"
"Tamás Thommen","Weberstrasse 46
4876 Belp"
"Dr. Corsin Huber","Baurstrasse 71
2001 Montreux"
"Daisy Keller","Zinggstrasse 546
5343 Rüti"
"Susi Amrein","Schulerstrasse 591
4227 Glarus"
"Branko Mayer","Albrechtstrasse 645
3996 Locarno"
"Carol Stucki","Lüthistrasse 58
7168 Lutry"
"Vilma Bachmann","Schlatterstrasse 75
6794 Riehen"
"Raoul Eugster","Freistrasse 19
7629 Chur"
"Anne-Marie Martin","Scherrerstrasse 87
1715 Locarno"
"Valeria Stocker Scherrer","Zbindenstrasse 21
1648 Frauenfeld"
"Valon Egger","Beckstrasse 37
1344 Ostermundigen"
"Massimiliano Vogt","Kuhnstrasse 37
6877 Binningen"
"Daisy Kohler-Zingg","Küngstrasse 5
9445 Locarno"
"Prof. Dijana Christen","Schwarzstrasse 62
2175 Ecublens"
"Angélique Gfeller","Seilerstrasse 4
4083 Ecublens"
"Milica Hirt","Schallerstrasse 52
5014 Ecublens"
"Sabine Bättig Hess","Baumgartnerstrasse 1
1068 Dübendorf"
"Suzana Weibel Keller","Haasstrasse 38
8745 Volketswil"
"Fitim Kägi-Scheidegger","Benzstrasse 57
9053 Nyon"
"Seline Scherrer","Seilerstrasse 88
3168 Einsiedeln"
"Amy Jäggi","Ferraristrasse 20
7029 Zürich"
"Sabina Kern","Schmidtstrasse 90
8439 Le Grand-Saconnex"
"Daisy Mettler Steiner","Meyerstrasse 8
9737 Rüti"
"Laetitia Scheidegger Winkler","Huberstrasse 1
7136 Schwyz"
"Bryan Hofmann","Brunstrasse 69
6664 Prilly"
"Muhamet Moser","Felberstrasse 53
7854 Weinfelden"
"Renée Hafner","Hugstrasse 35
2357 Plan-les-Ouates"
"Hermine Erni","Albrechtstrasse 66
4612 Neuhausen"
"Wendelin Imhof","Schmidtstrasse 350
7936 Luzern"
"Jeton Iten","Burristrasse 29
1946 Grenchen"
"Ferdinand Müller","Kochstrasse 96
1358 Mendrisio"
"Hatice Scherrer","Ritterstrasse 81
2914 Schwyz"
"Dalia Bauer","Schneiderstrasse 8
1820 St. Gallen"
"Margarete Schumacher Kuhn","Baurstrasse 90
5325 Vernier"
"Nina Erni","Wirthstrasse 33
6104 La Tour-de-Peilz"
"Zsolt Studer","Kunzstrasse 594
2944 Sursee"
"Prof. Norah Jost","Fehrstrasse 74
2776 Muri"
"Ivano Häfliger","Bauerstrasse 64
7337 Arbon"
"Hans-Rudolf Roth","Lüthistrasse 4
3744 Olten"
"Arif Vogt","Braunstrasse 4
3192 Muttenz"
"Dejan Wolf-Egger","Zbindenstrasse 22
3372 Münchenbuchsee"
"Annamaria Ernst","Hessstrasse 383
5312 Siders"
"Dalibor Wettstein","Roosstrasse 19
9878 Muri"
"Teodora Bosshard","Haasstrasse 156
5452 Arth"
"Natascha Stauffer","Gerberstrasse 9
1297 Wald"
"Dr. Alison Tobler","Grossstrasse 939
9963 Aigle"
"Dr. Ramadan Iten","Vogelstrasse 780
4270 Naters"
"Jan Schmidt","Braunstrasse 9
2521 Ostermundigen"
"Christopher Michel","Leustrasse 4
2576 Kreuzlingen"
"Marielle Stutz","Hauserstrasse 271
3373 Horgen"
"Natacha Kägi","Hunzikerstrasse 27
5744 Oberwil"
"Lorik Lüthi","Amreinstrasse 28
1264 Allschwil"
"Damaris Albrecht","Schumacherstrasse 120
2825 Yverdon-les-Bains"
"Detlef Gross","Kochstrasse 99
9927 Romanshorn"
"Iris Bernasconi Fuchs","Ferraristrasse 96
3435 Opfikon"
"Zoltán Forster","Baumannstrasse 8
8901 Rapperswil-Jona"
"Dr. Amalia Hürlimann","Joststrasse 29
1135 Ebikon"
"Prof. Giada Meili","Schaubstrasse 5
5926 Versoix"
"Viviana Senn Wehrli","Blaserstrasse 44
8915 Rüti"
"Albina Geiger Berger","Schärstrasse 884
9944 Onex"
"Gaëlle Schaller","Eugsterstrasse 44
6244 Sitten"
"Marcia Schuler","Kälinstrasse 42
6441 Schwyz"
"Damir Meier-Isler","Fankhauserstrasse 7
7367 Wallisellen"
"Lucas Baumgartner","Gfellerstrasse 3
5693 Plan-les-Ouates"
"Christophe Lüscher","Freystrasse 632
9740 Amriswil"
"Renzo Lehmann","Freistrasse 3
7280 Maur"
"Til Stalder-Hug","Schäferstrasse 8
1428 Dietikon"
"Mats Gfeller","Flückigerstrasse 273
7519 Zollikofen"
"Prof. Luciano Gfeller","Walterstrasse 66
7964 Emmen"
"Edmond Probst","Bühlerstrasse 40
7348 Cham"
"Markus Hirt","Ferraristrasse 79
9539 Illnau-Effretikon"
"Roberto Braun","Maierstrasse 407
9524 Opfikon"
"Damir Wegmann","Kuhnstrasse 87
1547 Horgen"
"Prof. Irena Friedli","Wirzstrasse 62
5809 Reinach"
"Dr. Nenad Sidler","Fuchsstrasse 129
7490 Plan-les-Ouates"
"Dr. Hava Wirz","Baurstrasse 74
3438 Thalwil"
"Marica Wyss-Berger","Ferraristrasse 47
9016 Herisau"
"Jesus Wenger-Hauser","Suterstrasse 53
3101 Locarno"
"Quentin Egger","Braunstrasse 79
5695 Affoltern"
"Jürg Kessler","Zehnderstrasse 3
4736 Pratteln"
"Emil Hirt","Freistrasse 1
8841 Steffisburg"
"Emilio Imhof","Blaserstrasse 134
8011 Freienbach"
"Damjan Roth","Beckstrasse 8
9909 Pratteln"
"Josef Huber","Zehnderstrasse 6
7563 Onex"
"Nick Ackermann","Beckstrasse 289
5432 Villars-sur-Glâne"
"Norah Hartmann Senn","Hofmannstrasse 7
3983 Einsiedeln"
"Mireille Hodel","Mäderstrasse 39
7768 Oftringen"
"Rita Gfeller","Kaufmannstrasse 97
4027 Grenchen"
"Dana Gasser","Itenstrasse 731
5049 Sarnen"
"Krzysztof Hoffmann","Spörristrasse 70
4658 Vevey"
"Adeline Zehnder","Schenkstrasse 95
7715 Flawil"
"Ella Wolf","Hodelstrasse 72
9185 Volketswil"
"Danica Favre-Braun","Schäferstrasse 71
2470 Arbon"
"Andy Ott-Sutter","Blumstrasse 67
8615 Männedorf"
"Ida Lehmann Erni","Zimmermannstrasse 70
2693 Worb"
"Christel Sutter Eugster","Probststrasse 57
6180 Gossau"
"Cedric Kern","Baurstrasse 3
4453 Basel"
"Reiner Weber","Ernistrasse 14
9035 Gossau"
"Mentor Marti","Amreinstrasse 29
9291 Vernier"
"Tuana Bauer","Sutterstrasse 43
6776 Münsingen"
"Salvatore Hirt-Walder","Haasstrasse 63
1922 Rapperswil-Jona"
"Georg Gerber","Schürchstrasse 53
8531 Meyrin"
"Daniel Ernst","Martistrasse 24
1411 Burgdorf"
"Miran Hug","Roosstrasse 5
1592 Sarnen"
"Silas Schäfer","Küngstrasse 2
5619 Martigny"
"Zoltán Beck","Arnoldstrasse 243
5267 Pratteln"
"Matteo Walder","Bättigstrasse 151
2919 Zollikon"
"Julie Pfister Gfeller","Bernasconistrasse 60
2511 Affoltern"
"Olivier Wolf","Zieglerstrasse 92
3565 Altstätten"
"Martine Zimmermann","Leustrasse 705
7060 Bellinzona"
"Gérard Bieri","Ernistrasse 90
2453 Chur"
"Gianna Schärer","Bosshardstrasse 14
2071 Männedorf"
"Daniela Hürlimann Imhof","Fankhauserstrasse 40
1230 Luzern"
"Orhan Baumgartner","Eglistrasse 21
4653 Ebikon"
"Alexandre Steiger","Frickstrasse 50
4636 Muri"
"Ganimete Wirth","Meierstrasse 987
1842 Uzwil"
"Hanife Frey","Haslerstrasse 614
4214 Rüti"
"Jaron Zbinden","Schwabstrasse 145
1801 Flawil"
"Gianna Hofer","Hotzstrasse 34
8265 Buchs"
"Sabrina Leu","Betschartstrasse 23
4653 Locarno"
"Geraldine Hunziker","Schärstrasse 35
9182 Pratteln"
"Prof. Malgorzata Kohler","Schmidtstrasse 5
6124 Frauenfeld"
"Daniele Fehr-Jost","Lustenbergerstrasse 7
3538 Herisau"
"Prof. Nathalie Hasler","Grossstrasse 80
1135 Gland"
"Arben Mettler","Mettlerstrasse 88
9348 Wohlen"
"Anne-Lise Scheidegger","Favrestrasse 61
1904 Uster"
"Gregor Tobler","Eglistrasse 28
4551 Meyrin"
"Elmar Schneider-Frick","Kägistrasse 607
5897 Lausanne"
"Henry Ferrari","Kellerstrasse 2
9801 Zug"
"Dalibor Schoch","Spörristrasse 18
4125 Rheinfelden"
"Dr. Rose-Marie Zollinger","Bolligerstrasse 20
9853 Küsnacht"
"Heike Küng","Hotzstrasse 25
9980 Wil"
"Danijel Hoffmann-Schäfer","Freystrasse 67
4365 Thônex"
"Pauline Hartmann","Vogtstrasse 57
1323 Vernier"
"Gianfranco Flückiger","Schweizerstrasse 85
5371 Muri"
"Arian Sidler","Schallerstrasse 741
1649 Oftringen"
"Vittorio Bernasconi-Sutter","Eglistrasse 745
9599 Hinwil"
"Kerstin Bättig","Kunzstrasse 9
8196 Frauenfeld"
"Desirée Eichenberger","Schochstrasse 86
8720 Wallisellen"
"Istvan Hodel","Meierstrasse 76
1708 Thun"
"Arian Brunner","Bauerstrasse 90
2897 Muttenz"
"Leona Gross","Kunzstrasse 31
5287 Horgen"
"Danijel Steffen","Lüscherstrasse 780
5029 Grenchen"
"Joelle Bernasconi-Gerber","Bieristrasse 52
8366 Luzern"
"Edona Stöckli","Michelstrasse 9
9846 Kriens"
"Clémence Bucher","Stöcklistrasse 329
6157 Lutry"
"Anabela Michel","Maierstrasse 573
6209 Bassersdorf"
"Vreneli Scherrer-Huber","Kernstrasse 891
6323 Richterswil"
"Balz Portmann","Lüscherstrasse 57
6842 Delsberg"
"Rose-Marie Schumacher","Ackermannstrasse 47
6733 Steinhausen"
"Ludivine Schweizer Beck","Küngstrasse 55
4026 Naters"
"Slobodan Ammann","Bättigstrasse 6
5161 Amriswil"
"Danijela Lanz","Ferraristrasse 937
8073 Ostermundigen"
"Aaron Bader","Beckstrasse 57
7045 Ebikon"
"Claus Kessler","Schulerstrasse 24
9587 Vernier"
"Kastriot Sutter-Arnold","Sigriststrasse 67
4317 Hinwil"
"Rocco Wenger","Aebistrasse 951
2910 Wettingen"
"Prof. Anisa Maurer","Hotzstrasse 69
4562 Wohlen"
"Bertha Fankhauser Imhof","Aebistrasse 9
5556 Crans-Montana"
"Fatmire Steiger","Schwarzstrasse 1
1467 Aarau"
"Kerim Forster","Zbindenstrasse 718
2603 Birsfelden"
"Hasan Hauser-Schneider","Thommenstrasse 34
8192 Siders"
"Danièle Iten","Lehmannstrasse 31
3142 Oberwil"
"Omer Hoffmann","Hauserstrasse 483
2398 Kreuzlingen"
"Cristian Frick-Jenni","Gasserstrasse 237
6254 Plan-les-Ouates"
"Luís Schweizer","Wegmannstrasse 7
6562 Aarau"
"Antje Fankhauser","Gerberstrasse 28
9940 Montreux"
"Prof. Luan Senn","Schumacherstrasse 98
2197 Arbon"
"Dafina Marti","Staubstrasse 59
7900 Vernier"
"Mirella Bättig","Freystrasse 966
7680 Kriens"
"Corinne Portmann-Bosshard","Jäggistrasse 42
9366 Volketswil"
"Lynn Baumgartner-Hofer","Sutterstrasse 245
6553 Rheinfelden"
"Danny Giger","Lüscherstrasse 59
4440 Reinach"
"Bruna Zürcher","Brunstrasse 430
7817 Zürich"
"Kiara Schlatter","Fankhauserstrasse 99
8899 Lutry"
"Bekim Pfister","Betschartstrasse 90
9147 Chêne-Bougeries"
"Constantin Wirth","Fankhauserstrasse 92
2286 Meyrin"
"Margit Tanner","Meyerstrasse 96
3586 Veyrier"
"Lenny Schaub","Lehmannstrasse 9
9931 Hinwil"
"Miodrag Widmer","Bianchistrasse 3
8986 Aarau"
"Dean Christen-Probst","Gerberstrasse 95
9987 Emmen"
"Dr. Valon Lüthi","Beckstrasse 7
4857 Zofingen"
"Dario Felder","Eggerstrasse 777
5393 Siders"
"Daisy Rüegg","Ottstrasse 4
4963 Flawil"
"Filippo Suter","Maierstrasse 8
4876 Worb"
"Katerina Moser","Amreinstrasse 32
8672 Herisau"
"Ina Kessler","Meilistrasse 6
6230 Pratteln"
"Tomas Senn","Eugsterstrasse 70
6611 Rheinfelden"
"Chiara Egli-Haas","Kohlerstrasse 42
9843 Sarnen"
"Stefania Bär","Fehrstrasse 17
4260 Bellinzona"
"Helen Weber Stutz","Rothstrasse 2
1748 Kriens"
"Michelle Tanner Schnyder","Joststrasse 8
8450 Basel"
"Dario Kaiser","Meyerstrasse 8
7769 Horw"
"Lavinia Hug","Wagnerstrasse 426
8096 Vevey"
"Stefan Hartmann-Jost","Lehmannstrasse 2
4017 Bülach"
"Malika Lüthi","Ackermannstrasse 17
7290 Steinhausen"
"Dr. Yves Huber","Maierstrasse 634
8570 Ebikon"
"Ines Schwarz","Küngstrasse 23
9449 Maur"
"Kaspar Spörri","Baurstrasse 28
2729 Burgdorf"
"Dragan Schuler","Gfellerstrasse 8
8619 Vevey"
"Patricia Michel","Staufferstrasse 6
2824 Luzern"
"Daisy Winkler Moser","Haslerstrasse 7
4956 Arth"
"Dario Schoch","Wengerstrasse 56
4680 Lugano"
"Joana Seiler-Favre","Freystrasse 447
5876 Val-de-Travers"
"Prof. Lorenzo Eugster","Zinggstrasse 36
1826 Freiburg"
"Benjamin Schoch","Joststrasse 31
8076 Allschwil"
"Nicolai Kessler-Stöckli","Stuckistrasse 5
3359 Reinach"
"Marjorie Eugster","Studerstrasse 94
4978 Rheinfelden"
"Carolin Kaufmann","Eggerstrasse 43
1219 Gossau"
"Arsim Schmidt","Tannerstrasse 7
6408 Ecublens"
"Dr. Nikola Baur","Steinerstrasse 57
9465 Oberwil"
"Abel Kessler","Stockerstrasse 367
1849 Renens"
"Dario Schär-Beck","Rothstrasse 21
7396 Glarus"
"Emine Fehr","Studerstrasse 96
5026 Zofingen"
"Xaver Roos","Benzstrasse 64
5497 Bülach"
"Célia Burri","Ammannstrasse 2
8889 Zug"
"Tenzin Jost","Schulerstrasse 23
4180 Morges"
"Tomasz Jost","Haasstrasse 6
9481 Hinwil"
"Prof. Emir Erni","Hofmannstrasse 64
4829 Birsfelden"
"Juliana Seiler","Näfstrasse 31
3869 La Tour-de-Peilz"
"Linus Gloor","Sidlerstrasse 44
6157 Kloten"
"Luzia Marti","Schulerstrasse 52
8910 Mendrisio"
"Darko Hürlimann","Rothstrasse 95
1872 Münchenbuchsee"
"Petra Herzog","Hürlimannstrasse 64
5450 Rapperswil-Jona"
"Margrith Schaub","Baumannstrasse 32
4367 Weinfelden"
"Prof. Aurora Stocker","Näfstrasse 27
3835 Freienbach"
"Prof. Marlis Frey","Mettlerstrasse 55
2664 Davos"
"Ralph Hauser","Hofmannstrasse 25
1866 Crans-Montana"
"Carsten Benz","Haasstrasse 8
7081 La Tour-de-Peilz"
"Jozef Michel","Zieglerstrasse 89
2065 Allschwil"
"Lara Zimmermann","Schlatterstrasse 9
5577 Solothurn"
"Angelika Mayer Wüthrich","Steigerstrasse 546
5008 Cham"
"David Schürch","Grobstrasse 32
5311 Pratteln"
"Nathanael Walder-Walter","Hoferstrasse 10
4776 Bulle"
"Hilda Winkler","Forsterstrasse 51
7026 Münchenbuchsee"
"Clarissa Schlatter","Felberstrasse 583
7775 Langenthal"
"Annika Stauffer","Fischerstrasse 30
5655 Illnau-Effretikon"
"Elea Frei","Betschartstrasse 81
1106 Thun"
"Jürg Hofer","Lustenbergerstrasse 420
8150 Le Grand-Saconnex"
"Hans-Jürgen Siegrist","Weberstrasse 64
5941 Richterswil"
"Marlen Lustenberger","Sigriststrasse 24
5462 Onex"
"Margaritha Schoch","Mayerstrasse 187
1424 Gossau"
"Dean Käser","Ackermannstrasse 3
7579 Horgen"
"Romina Hafner","Schlatterstrasse 27
7886 Wald"
"Brigitte Aebi Mettler","Friedlistrasse 17
6831 Wettingen"
"Abdullah Lustenberger","Walterstrasse 79
2275 Chêne-Bougeries"
"Dr. Sabri Frick","Merzstrasse 78
1350 Horgen"
"Andreia Flückiger","Leustrasse 45
7676 Aigle"
"Irène Frey","Favrestrasse 8
7175 Dübendorf"
"Olivier Kaufmann","Grafstrasse 46
9948 Uzwil"
"Paulo Thommen","Brunstrasse 8
4673 Dübendorf"
"Sigrid Stadelmann","Bachmannstrasse 83
1988 Veyrier"
"Debora Bolliger Meister","Hodelstrasse 958
7724 Aigle"
"Gladys Thommen Studer","Sennstrasse 8
5363 Urdorf"
"Dragan Kessler","Hartmannstrasse 10
2046 Olten"
"Cornelia Tanner","Gutstrasse 79
6336 Pfäffikon"
"Jean Bader","Kaufmannstrasse 59
5360 Liestal"
"Marina Lüscher","Islerstrasse 53
7461 Lenzburg"
"Lisette Lehmann","Weberstrasse 45
8116 Brig-Glis"
"Yvonne Wirz","Imhofstrasse 96
7966 Cham"
"Muhammed Michel","Gerberstrasse 74
1740 Hinwil"
"Margarida Burri-Steiger","Wehrlistrasse 38
5850 Sitten"
"Debora Stutz","Schenkstrasse 37
7458 Muri"
"Hasan Egli","Gutstrasse 9
3225 Möhlin"
"Santiago Lutz","Steffenstrasse 825
9522 Chêne-Bougeries"
"Georg Maier","Schwabstrasse 86
9997 Arbon"
"Bilal Lüscher","Zinggstrasse 5
6326 Dübendorf"
"Tiago Schneider","Meilistrasse 9
4412 Zollikofen"
"Laurence Hunziker","Gerberstrasse 50
8549 Volketswil"
"Prof. Nael Baumgartner","Furrerstrasse 83
8039 Opfikon"
"Matthew Frei-Graf","Maurerstrasse 8
5338 Arbon"
"Henry Scheidegger","Stöcklistrasse 59
9379 Morges"
"Deborah Bader","Burristrasse 13
1625 Aesch"
"Lise Hirt","Müllerstrasse 9
1758 Vevey"
"Marino Hoffmann","Brunstrasse 31
5191 Winterthur"
"Agnès Winkler Frei","Weibelstrasse 45
8972 Lenzburg"
"Prof. Natasha Weibel","Bachmannstrasse 63
9538 Suhr"
"Elisabetta Gross","Suterstrasse 418
8555 Münchenbuchsee"
"Noëlle Zimmermann","Grobstrasse 3
1981 Suhr"
"Diego Ferrari","Lehmannstrasse 62
9857 Münsingen"
"Susi Graf","Meyerstrasse 66
8844 Meyrin"
"Louise Vogel Flückiger","Schnyderstrasse 8
2582 Payerne"
"Deborah Vogel-Wenger","Weibelstrasse 56
7678 Monthey"
"Dimitri Wagner","Schwarzstrasse 964
8277 Lugano"
"Jasmin Roos","Bachmannstrasse 2
3733 Delsberg"
"Ignaz Zbinden","Hauserstrasse 79
2600 Val-de-Ruz"
"Viktoria Haas","Fehrstrasse 34
4667 Dübendorf"
"René Kägi","Leunbergerstrasse 27
2712 Arbon"
"Dr. Albrecht Hürlimann","Schweizerstrasse 88
3905 Zürich"
"Anina Bieri-Seiler","Schulerstrasse 58
8105 Schlieren"
"Prof. Mustafa Sidler","Gloorstrasse 600
1608 Buchs"
"Volker Gross","Scheideggerstrasse 80
2249 Zofingen"
"Dejan Beck-Staub","Toblerstrasse 3
4301 Steinhausen"
"Janosch Steiger","Fehrstrasse 95
5882 Affoltern"
"Luka Sutter","Joststrasse 61
5529 Carouge"
"Theo Schneider-Betschart","Pfisterstrasse 97
8359 Langenthal"
"Hava Sutter Scherrer","Küngstrasse 53
1928 Urdorf"
"Berta Spörri","Hirtstrasse 87
3758 Aigle"
"Prof. Edward Wirth","Martistrasse 9
5412 Ostermundigen"
"Dr. Corsin Graf","Eichenbergerstrasse 436
2640 Reinach"
"Léonie Schenk Erni","Haslerstrasse 13
9005 Zürich"
"Emanuel Ferrari","Widmerstrasse 545
1893 Oftringen"
"Dejan Felber","Eugsterstrasse 62
5726 Belp"
"Predrag Maurer","Eggerstrasse 96
9082 Gland"
"Mihajlo Kessler","Stadelmannstrasse 800
1694 Bern"
"Viola Blaser","Lüscherstrasse 52
4296 Muttenz"
"Ferdinand Hess","Bauerstrasse 4
7776 Stäfa"
"Samuele Wettstein","Stadelmannstrasse 17
1242 Wohlen"
"Linus Bauer","Schwabstrasse 77
9282 Bern"
"Lirim Kohler","Stöcklistrasse 3
1299 Baar"
"Christelle Frei","Gloorstrasse 87
7797 Pratteln"
"Mina Meier","Weberstrasse 890
8720 Val-de-Ruz"
"Dejan Zingg","Bauerstrasse 26
5022 Thônex"
"Imer Meier","Grafstrasse 14
5202 Davos"
"Alvaro Flückiger","Schärerstrasse 70
9454 Lugano"
"Jean Iten-Kessler","Braunstrasse 9
3472 Monthey"
"Prof. Marlène Frei","Gfellerstrasse 5
3771 Veyrier"
"Giuseppa Gfeller","Lüscherstrasse 14
4634 Arth"
"Mirjam Hess","Tannerstrasse 434
4736 Baden"
"Catherine Jost","Hessstrasse 22
6396 Val-de-Ruz"
"Emily Meili","Bättigstrasse 9
6792 Burgdorf"
"Mariam Senn","Wirthstrasse 64
1335 Schwyz"
"Delphine Stutz","Bieristrasse 2
7767 Horw"
"Malika Schumacher","Kohlerstrasse 17
3908 Möhlin"
"Suzanne Wirz Stauffer","Ferraristrasse 98
6137 Baar"
"Alissa Fischer","Weibelstrasse 87
5588 Thônex"
"Oliver Fankhauser","Felderstrasse 78
5215 Binningen"
"Ömer Käser-Jost","Hauserstrasse 12
9358 Renens"
"Dardan Steiger","Hoferstrasse 406
2430 Grenchen"
"Prof. Zoltán Küng","Kohlerstrasse 65
9670 Sitten"
"Osman Isler","Gutstrasse 12
5152 Herisau"
"Prof. Joseph Ernst","Baderstrasse 265
3293 Wohlen"
"Delphine Wolf","Mayerstrasse 69
8398 Ecublens"
"Irina Martin","Stutzstrasse 47
2251 Plan-les-Ouates"
"Prof. Nikola Kunz","Schärerstrasse 18
3954 Delsberg"
"Balz Wettstein","Pfisterstrasse 16
9697 Münchenbuchsee"
"Malika Hotz Zbinden","Leunbergerstrasse 16
2308 Langenthal"
"Elisabetta Lüthi","Jäggistrasse 49
1559 Kloten"
"Aurelio Wettstein","Felderstrasse 8
1839 Suhr"
"Steven Imhof","Freistrasse 20
9449 Crans-Montana"
"Magda Spörri","Widmerstrasse 7
7673 Maur"
"Verena Gut-Gfeller","Bernasconistrasse 17
3087 Schwyz"
"Delphine Zbinden","Frickstrasse 15
7810 Köniz"
"Frieda Frick","Forsterstrasse 87
7588 Wettingen"
"Holger Steiger","Frickstrasse 12
6189 Nyon"
"Emmanuel Koch","Beckstrasse 41
9136 Münchenbuchsee"
"Bukurije Kaiser","Leustrasse 9
7542 Monthey"
"Beata Steiner-Roth","Sigriststrasse 43
7232 Volketswil"
"Therese Albrecht-Berger","Baumgartnerstrasse 5
9963 Freienbach"
"Layla Brun","Hermannstrasse 77
8481 Glarus"
"Jamie Kaufmann","Braunstrasse 98
3893 Villars-sur-Glâne"
"Laurence Wyss","Peterstrasse 66
2582 Ebikon"
"Deniz Kunz-Hug","Hoferstrasse 72
5294 Arbon"
"Anne-Marie Wirth","Aebistrasse 97
2326 Risch"
"Volkan Arnold","Probststrasse 63
8486 Lancy"
"Henriette Lüscher Gasser","Zbindenstrasse 41
3855 Bern"
"Solène Huber","Freistrasse 86
1719 Locarno"
"Klaus Schlatter","Ernststrasse 70
1355 Montreux"
"Marcos Wegmann","Kunzstrasse 9
7447 Muri"
