"Abdullah Bachmann","Sutterstrasse 86
5460 Arbon" 
"Emilio Sidler","Sutterstrasse 30
6058 Bellinzona"
"Florentina Martin","Schmidtstrasse 17
3326 Delsberg"
"Zora Walter","Grossstrasse 44
3686 Crans-Montana"
"Sofie Zimmermann","Steffenstrasse 549
4547 Horgen"
"Debora Eugster","Bühlerstrasse 19
8086 Aigle"
"Elin Flückiger","Fuchsstrasse 86
7492 Allschwil"
"Marinette Meister","Roosstrasse 537
6833 Männedorf"
"Said Widmer","Schlatterstrasse 47
6452 Rheinfelden"
"Lana Fuchs Blum","Studerstrasse 393
7782 Buchs"
"Dr. Antonio Meier","Favrestrasse 445
9205 Delsberg"
"Elsbeth Amrein","Bergerstrasse 351
9784 Einsiedeln"
"Reinhold Felder","Spörristrasse 2
7198 Brugg"
"Prof. Ina Furrer","Stöcklistrasse 25
7568 Aigle"
"Ron Beck","Beckstrasse 68
2131 Davos"
"Ilija Egger","Friedlistrasse 57
8021 Adliswil"
"Elin Lang","Haslerstrasse 35
7159 Muttenz"
"Marlon Giger","Fischerstrasse 97
6249 Einsiedeln"
"Prof. Jannik Erni","Knechtstrasse 8
5229 Zürich"
"Joshua Lehmann","Freystrasse 103
1918 Pully"
"Béatrice Suter","Staubstrasse 193
9230 Stäfa"
"Sinisa Fischer","Islerstrasse 706
3494 Küsnacht"
"Gerda Näf","Hunzikerstrasse 9
5256 Dietikon"
"Antonia Egli","Burristrasse 84
3273 Aarau"
"Irene Bieri Bucher","Bärstrasse 32
8825 Münchenstein"
"Prof. Bajram Brunner","Schallerstrasse 31
1708 Delsberg"
"Elio Peter","Meisterstrasse 153
5092 Wettingen"
"Luciana Thommen Wenger","Kuhnstrasse 25
7736 Worb"
"Gaia Widmer","Müllerstrasse 5
2499 Bassersdorf"
"Cindy Hug","Freystrasse 88
2998 Riehen"
"Hansjörg Felder","Benzstrasse 65
4485 Bulle"
"Cem Bühler","Steigerstrasse 871
9832 Neuenburg"
"Vincenza Roth Ernst","Hotzstrasse 7
7307 Brugg"
"Carol Kälin","Müllerstrasse 33
5264 Payerne"
"Elisabeth Ziegler-Amrein","Zehnderstrasse 93
5945 Zürich"
"Malik Frei-Lehmann","Schumacherstrasse 28
4967 Davos"
"Elisa Baur Egli","Probststrasse 6
5902 Baden"
"Marta Baumgartner","Zollingerstrasse 51
1736 Carouge"
"Frédéric Jäggi","Schulerstrasse 30
2797 Thalwil"
"Lucette Meister Stucki","Jennistrasse 85
6668 Steffisburg"
"Amelia Lüscher","Walderstrasse 50
1017 Muri"
"Lino Hürlimann-Bernasconi","Siegriststrasse 209
1906 Illnau-Effretikon"
"Raymonde Bieri Lang","Gigerstrasse 21
2035 Val-de-Travers"
"Livio Schoch","Bieristrasse 47
6216 Lancy"
"Levi Flückiger","Fuchsstrasse 71
4937 Vernier"
"Raffaele Marti","Gerberstrasse 40
5745 Vevey"
"Elisa Fehr","Wagnerstrasse 81
1326 Küssnacht"
"Antje Ackermann","Stockerstrasse 52
4695 Winterthur"
"Martine Bär-Wolf","Schwabstrasse 404
1412 La Chaux-de-Fonds"
"Maude Näf Zbinden","Aebistrasse 92
3204 Neuhausen"
"Kerstin Wirz","Sutterstrasse 71
1541 La Tour-de-Peilz"
"Carina Hodel","Schallerstrasse 793
3768 Arbon"
"Karim Steiner","Schaubstrasse 40
4198 Ittigen"
"Jusuf Mayer","Bühlmannstrasse 54
1034 Ittigen"
"Jannis Hirt","Kälinstrasse 7
4953 Einsiedeln"
"Ardit Kunz","Bernasconistrasse 33
5793 Monthey"
"Elisa Kaufmann Roos","Zimmermannstrasse 60
1584 Opfikon"
"Zuzana Näf Gerber","Häfligerstrasse 70
1104 Chêne-Bougeries"
"Gonçalo Stettler","Christenstrasse 20
3682 Volketswil"
"Alina Iten","Vogtstrasse 4
6762 Frauenfeld"
"Curdin Stöckli","Eglistrasse 64
6774 Schwyz"
"Lily Kessler Ernst","Langstrasse 1
8570 Belp"
"Dr. Jesus Brunner","Wegmannstrasse 86
3154 Delsberg"
"Josephine Kaufmann","Bianchistrasse 888
1580 Cham"
"Tibor Tobler","Eggerstrasse 493
3507 Wil"
"Leslie Berger","Hessstrasse 16
6547 Bernex"
"Elisa Schär","Wengerstrasse 69
3706 Wohlen"
"Aldo Bianchi","Lüscherstrasse 83
3397 Kloten"
"Jann Schaub","Wyssstrasse 62
8935 Schwyz"
"Beat Beck","Martistrasse 44
8170 Wil"
"Anja Bucher Walder","Gfellerstrasse 6
4084 Bülach"
"Vivienne Isler","Freistrasse 32
7067 Wädenswil"
"Hans-Rudolf Zehnder","Schmidtstrasse 71
4105 St. Gallen"
"Dr. Zora Bucher","Kunzstrasse 447
8983 Solothurn"
"Susana Widmer","Albrechtstrasse 76
5505 Möhlin"
"Dr. Rita Weber","Eglistrasse 57
6552 Romanshorn"
"Elisabete Kägi Bieri","Hoferstrasse 51
7585 Oberwil"
"Christelle Gasser","Steffenstrasse 926
1009 Langenthal"
"Enes Brun","Stöcklistrasse 91
9326 La Tour-de-Peilz"
"Dr. Ferenc Sidler","Merzstrasse 65
7103 Richterswil"
"Dr. Björn Marti","Häfligerstrasse 37
6550 Rapperswil-Jona"
"Dorothea Hermann","Baumannstrasse 68
4358 Crans-Montana"
"Géraldine Moser-Schmidt","Steinmannstrasse 54
4815 Herisau"
"Norbert Leu","Gutstrasse 1
4655 Ittigen"
"Sabina Probst","Baurstrasse 68
9236 Neuenburg"
"Dr. Jenny Stadelmann","Felderstrasse 281
8580 Uzwil"
"Elisabeth Iten","Schwarzstrasse 2
7843 Ittigen"
"Cornelius Favre-Kaufmann","Reystrasse 57
2905 Buchs"
"Emine Aebi","Eglistrasse 3
6657 Aarau"
"Margreth Fuchs","Fuchsstrasse 37
8628 Ecublens"
"Jasmin Gloor Bieri","Toblerstrasse 45
1298 Suhr"
"Dr. Pierre Schoch","Fuchsstrasse 899
5145 Liestal"
"Lauriane Wehrli Küng","Bachmannstrasse 55
7729 La Tour-de-Peilz"
"Dejan Schmid","Haslerstrasse 1
1517 Ecublens"
"Abraham Schweizer","Maierstrasse 88
1627 Val-de-Travers"
"Klara Forster","Huberstrasse 885
9735 Le Grand-Saconnex"
"Elisabeth Koch","Schochstrasse 2
6776 Rheinfelden"
"Line Aebi Jost","Felberstrasse 11
5868 Le Grand-Saconnex"
"Prof. Petra Widmer","Käserstrasse 73
9549 Winterthur"
"Afrim Albrecht","Pfisterstrasse 6
3922 Wald"
"Zsolt Eichenberger","Schärstrasse 73
2527 Pratteln"
"Simeon Ernst-Schwarz","Baderstrasse 5
3271 Solothurn"
"Aldin Kunz","Baumgartnerstrasse 75
6808 La Tour-de-Peilz"
"Melinda Hess Winkler","Scheideggerstrasse 24
5586 Pratteln"
"Pedro Wehrli-Suter","Bucherstrasse 65
3854 Val-de-Travers"
"Tristan Schumacher","Kälinstrasse 5
2138 Baar"
"Elisabeth Zbinden","Hotzstrasse 27
3908 Naters"
"Leonor Meier","Kohlerstrasse 741
3037 Sursee"
"Dr. Elio Lüscher","Blaserstrasse 51
6482 Kloten"
"Cátia Käser","Hodelstrasse 78
2745 Solothurn"
"Lisa Marti","Häfligerstrasse 50
8383 Martigny"
"Ruzica Staub-Kägi","Schwarzstrasse 7
3690 Riehen"
"Lisbeth Wirz Schwab","Tannerstrasse 75
6680 Hinwil"
"Laurenz Schaub","Stöcklistrasse 146
9001 Oftringen"
"Natalie Geiger","Staufferstrasse 90
7414 Neuhausen"
"Simona Schwab","Bianchistrasse 99
3705 Payerne"
"Elisabetha Benz","Lüscherstrasse 16
7273 Aarau"
"Lars Herzog","Martistrasse 87
5117 Martigny"
"Burim Mäder","Kohlerstrasse 438
3668 Chur"
"Orhan Bühler","Fankhauserstrasse 44
2524 Riehen"
"Dr. Hans Vogel","Steinerstrasse 35
5895 Aarau"
"Cynthia Bauer","Spörristrasse 100
4258 Arbon"
"Bajram Grob","Häfligerstrasse 57
8436 Crans-Montana"
"Kim Bader","Scherrerstrasse 73
7202 Liestal"
"Bashkim Zbinden","Bernasconistrasse 7
8268 Worb"
"Nelli Wirz","Hoffmannstrasse 99
6406 Chur"
"Eliza Grob","Portmannstrasse 1
2748 Ittigen"
"Ursula Eugster","Braunstrasse 96
9577 Münsingen"
"Mahmoud Kaiser","Flückigerstrasse 51
7199 Zürich"
"Dr. Vincent Aebi","Haasstrasse 31
1072 Belp"
"Elmar Stucki","Weibelstrasse 87
8568 Vevey"
"Prof. Lilly Schürch","Mettlerstrasse 28
8236 Thalwil"
"Herbert Egger","Stadelmannstrasse 78
5682 Männedorf"
"Giuseppina Schärer","Wettsteinstrasse 60
9392 Buchs"
"Albina Erni Egger","Fuchsstrasse 52
8786 Chur"
"Frederik Ott","Bosshardstrasse 596
9629 Chêne-Bougeries"
"Eliza Koch","Jennistrasse 96
2570 Schlieren"
"Silvano Sidler-Meier","Leustrasse 13
5396 Martigny"
"Eduard Schnyder-Fankhauser","Wyssstrasse 13
6596 Münchenstein"
"Fitore Koch","Christenstrasse 40
3339 Payerne"
"Dusan Senn","Schmidtstrasse 25
2740 Sitten"
"Gino Arnold","Zieglerstrasse 1
1054 Pully"
"Dr. Mael Stucki","Beckstrasse 11
1110 Wettingen"
"Annalisa Widmer","Stockerstrasse 45
7208 Prilly"
"Andrea Meili","Mäderstrasse 237
2654 Brig-Glis"
"Margaritha Hirt","Gutstrasse 54
8306 Gossau"
"Elke Stutz Näf","Hotzstrasse 81
5417 Weinfelden"
"Samanta Zimmermann","Furrerstrasse 3
8357 Lancy"
"Prof. Ewald Geiger","Lüthistrasse 79
2163 Bülach"
"Prof. Regina Arnold","Haslerstrasse 42
5308 Yverdon-les-Bains"
"Valerio Schwarz","Schochstrasse 9
4331 Villars-sur-Glâne"
"Jeannine Felder Schäfer","Hugstrasse 668
9266 Lancy"
"Maurin Baumann","Hartmannstrasse 92
6339 Zürich"
"Neo Schlatter","Baumannstrasse 72
2421 Pully"
"Maël Fuchs-Probst","Näfstrasse 4
5850 Val-de-Travers"
"Jeanette Bühler Aebi","Toblerstrasse 359
3976 Wohlen"
"Ella Betschart","Brunstrasse 48
6415 Küsnacht"
"Marko Schenk","Wegmannstrasse 73
7976 Langenthal"
"Sanela Blum","Stockerstrasse 2
7103 Freiburg"
"Roberto Schwarz","Kochstrasse 4
6536 Aesch"
"Angelina Lüscher-Studer","Widmerstrasse 77
8742 Lyss"
"Alban Stucki","Ackermannstrasse 4
1009 Freienbach"
"Marcelle Merz","Hessstrasse 75
8807 Val-de-Ruz"
"Lejla Imhof","Jäggistrasse 28
1749 Arth"
"Vincenza Bucher","Steffenstrasse 691
9649 Kreuzlingen"
"Wendelin Suter","Steinerstrasse 4
7175 Münsingen"
"Elma Lüthi","Furrerstrasse 6
1932 Kriens"
"Jetmir Steinmann","Probststrasse 70
7341 Belp"
"Colette Peter","Meyerstrasse 36
7153 Hinwil"
"Ljubica Roth Wirth","Merzstrasse 19
3402 Münchenbuchsee"
"Prof. Michelle Michel","Stuckistrasse 152
9396 Rapperswil-Jona"
"Rafaela Leunberger","Meilistrasse 53
7396 Pratteln"
"Annamarie Haas Jost","Walderstrasse 9
7056 Chêne-Bougeries"
"Tanya Lutz Schenk","Gasserstrasse 5
1881 Allschwil"
"Gazmend Martin","Freystrasse 52
6066 Thun"
"Andreas Iten","Ackermannstrasse 8
6737 Lenzburg"
"Elma Steiner","Meyerstrasse 6
2453 Zürich"
"German Tanner-Schärer","Ernststrasse 641
4900 Glarus"
"Dr. Khaled Betschart","Brunnerstrasse 49
1005 Schlieren"
"Lorena Schuler","Wettsteinstrasse 4
1579 Wohlen"
"Ramazan Frei","Lutzstrasse 50
4755 Emmen"
"Jaime Hotz","Haasstrasse 39
5467 Suhr"
"Liliana Schwarz Hotz","Spörristrasse 15
1097 La Tour-de-Peilz"
"Denise Bosshard","Moserstrasse 377
2674 Carouge"
"Annamarie Schäfer","Peterstrasse 52
9536 St. Gallen"
"Dr. Kelly Marti","Baumgartnerstrasse 38
5121 Romanshorn"
"Elmar Ackermann","Scherrerstrasse 77
9275 Worb"
"Kuno Aebi","Zimmermannstrasse 63
6736 Montreux"
"Zoran Lustenberger-Bühlmann","Walterstrasse 2
1045 Vevey"
"Beatrix Bachmann Roos","Kägistrasse 31
3795 La Tour-de-Peilz"
"Laurenz Baumann","Baderstrasse 11
4785 Gland"
"Prof. Marlies Wirz","Lutzstrasse 53
8059 Gossau"
"Dr. Sandro Hürlimann","Steigerstrasse 460
8472 Zofingen"
"Romaine Häfliger","Beckstrasse 54
3796 Cham"
"Odile Walter","Flückigerstrasse 74
2799 Aigle"
"Cristiana Tanner","Imhofstrasse 95
3782 Ittigen"
"Elsbeth Moser","Bolligerstrasse 140
3970 Wohlen"
"Flamur Wirz","Langstrasse 95
6726 Steinhausen"
"Eve Portmann","Baderstrasse 62
8474 Lyss"
"Aisha Wegmann","Langstrasse 24
9166 Steinhausen"
"Jara Thommen","Bauerstrasse 37
3814 Möhlin"
"Werner Lüthi","Häfligerstrasse 87
9471 Kreuzlingen"
"Pascale Kaufmann","Zieglerstrasse 97
5144 Adliswil"
"Prof. Rosalie Felder","Widmerstrasse 1
5607 Illnau-Effretikon"
"Kristina Wirz","Gloorstrasse 5
6093 Risch"
"Nikolaus Gut","Aebistrasse 170
1736 Affoltern"
"Elvira Aebi","Freistrasse 515
2144 Münsingen"
"Helmut Näf","Kellerstrasse 63
6390 Arth"
"Kata Imhof","Vogelstrasse 88
9079 Schwyz"
"Filippo Lanz","Hauserstrasse 549
4399 Bellinzona"
"Kira Ott Hasler","Freistrasse 723
1039 Sursee"
"Valentin Walter","Islerstrasse 95
8163 Regensdorf"
"Emily Bieri","Haslerstrasse 19
8856 Pfäffikon"
"Catherine Bucher","Merzstrasse 4
8509 Volketswil"
"Bekim Hartmann","Wegmannstrasse 8
7204 Bülach"
"Prof. Célia Leu","Bauerstrasse 101
6654 Thun"
"Elvis Hofmann-Bianchi","Martinstrasse 758
5316 Prilly"
"Ingrid Stucki Frey","Zollingerstrasse 6
8069 Chêne-Bougeries"
"Beda Baumgartner","Zbindenstrasse 9
8561 Sarnen"
"Floriane Vogel","Lüthistrasse 976
7728 Münchenstein"
"Prof. Tim Stettler","Schmidstrasse 8
6728 Nyon"
"Alessandro Kälin","Lüthistrasse 1
5368 Sitten"
"Dr. Karsten Bosshard","Kunzstrasse 49
3094 Carouge"
"Alina Wagner","Bauerstrasse 28
1857 Aesch"
"Mentor Schmidt","Mayerstrasse 194
3223 Pratteln"
"Anika Huber-Stöckli","Gutstrasse 980
7639 Küssnacht"
"Elvis Steinmann","Bauerstrasse 5
7495 Versoix"
"Inge Aebi Steffen","Hessstrasse 6
3507 Richterswil"
"Leni Roth-Frey","Aebistrasse 65
5845 Rheinfelden"
"Sebastiano Ammann","Sidlerstrasse 1
6208 Val-de-Ruz"
"Germaine Zbinden-Felber","Joststrasse 15
4908 Villars-sur-Glâne"
"Corina Spörri","Hodelstrasse 51
4167 Aesch"
"Fitore Siegrist","Wehrlistrasse 95
7597 Morges"
"Magnus Zingg","Scheideggerstrasse 12
3825 Rüti"
"Lotte Winkler","Wettsteinstrasse 9
1586 Vevey"
"Mirela Jenni Herzog","Schlatterstrasse 2
1626 Bellinzona"
"Eléonore Hodel","Bieristrasse 93
7801 Münchenbuchsee"
"Michal Meyer","Winklerstrasse 68
7722 Wil"
"Udo Mettler","Lüscherstrasse 30
4696 Lausanne"
"Dr. Fatmir Forster","Eichenbergerstrasse 69
8897 Lutry"
"Dr. Georg Egger","Langstrasse 58
3082 Freiburg"
"Lorin Albrecht","Stettlerstrasse 45
5850 Emmen"
"Francesca Giger Felder","Spörristrasse 199
2981 Sarnen"
"Augusto Baur","Wehrlistrasse 87
8193 Olten"
"Liam Friedli","Kesslerstrasse 41
2658 Montreux"
"Heidy Schlatter","Islerstrasse 13
6240 Wil"
"Emanuela Seiler Aebi","Meierstrasse 88
7927 Davos"
"Hansjörg Bader-Gfeller","Stutzstrasse 776
4703 Schwyz"
"Annie Sidler-Kessler","Bosshardstrasse 59
2219 Bern"
"Robert Schaller","Gasserstrasse 26
6505 Ecublens"
"Nick Schneider-Winkler","Kägistrasse 98
8050 Köniz"
"Michela Meister-Flückiger","Gerberstrasse 7
6933 Reinach"
"Ylenia Furrer","Wüthrichstrasse 65
4937 Solothurn"
"Miroslav Hoffmann-Leunberger","Hofmannstrasse 96
8175 Schwyz"
"Albulena Schuler Meili","Hauserstrasse 41
6601 Siders"
"Prof. Imer Schenk","Schäferstrasse 94
5303 Rapperswil-Jona"
"Emanuele Gfeller","Eglistrasse 748
2890 La Chaux-de-Fonds"
"Teodora Steiger","Eugsterstrasse 18
9906 Volketswil"
"Jocelyne Hermann","Stadelmannstrasse 61
9534 Plan-les-Ouates"
"Elisabetha Albrecht Felder","Merzstrasse 28
6472 Regensdorf"
"Lorin Mettler","Tannerstrasse 66
3958 Gossau"
"Bajram Weber","Hofmannstrasse 28
3468 Olten"
"Evelyne Schneider","Freistrasse 996
2505 Worb"
"Géraldine Blaser","Schürchstrasse 69
1263 Renens"
"Yasin Rüegg","Kuhnstrasse 28
9521 Möhlin"
"Dr. Jordan Ackermann","Ammannstrasse 53
2910 Cham"
"Emilia Walder","Lanzstrasse 12
8718 Münsingen"
"Luz Schwarz-Frei","Hofmannstrasse 41
8839 Schaffhausen"
"Naser Isler","Hessstrasse 55
4326 Reinach"
"Rosemarie Christen Iten","Näfstrasse 48
8322 Rheinfelden"
"Annemarie Egger Furrer","Pfisterstrasse 23
8202 Küsnacht"
"Jörg Felber","Kernstrasse 9
1897 Richterswil"
"Désirée Schenk","Lüscherstrasse 17
1236 Davos"
"Lidia Egli Weibel","Schaubstrasse 97
3668 Gossau"
"Federica Walder-Kunz","Reystrasse 485
2873 Langenthal"
"Malgorzata Hunziker-Ott","Schürchstrasse 26
9347 Arbon"
"Emilie Tobler","Schärerstrasse 30
9486 Carouge"
"Eliza Winkler","Portmannstrasse 50
4128 Arth"
"Helene Wettstein","Bachmannstrasse 537
2874 Münsingen"
"Andrea Zbinden","Müllerstrasse 47
4626 Olten"
"Jenny Ferrari","Hofmannstrasse 634
3896 Rüti"
"Nazmi Meier","Küngstrasse 34
1069 Locarno"
"Geneviève Lanz","Hermannstrasse 80
9834 Chêne-Bougeries"
"Prof. Natasha Bär","Ammannstrasse 21
7993 Hinwil"
"Dusan Schäfer","Gloorstrasse 70
7609 Schaffhausen"
"Dr. Florim Huber","Meyerstrasse 24
6147 Lancy"
"Emilio Bianchi","Benzstrasse 8
4317 Volketswil"
"Denis Steiger","Wengerstrasse 262
5649 Herisau"
"Dr. Ömer Bühlmann","Vogtstrasse 997
8655 Muttenz"
"Ignaz Benz","Gigerstrasse 55
9559 Meilen"
"Prof. Thorsten Bättig","Martinstrasse 60
3512 Chêne-Bougeries"
"Ian Hofer-Bianchi","Albrechtstrasse 50
2533 Baar"
"Alyssa Flückiger-Schweizer","Häfligerstrasse 13
7227 Onex"
"Lou Schaub","Freistrasse 41
5299 Lugano"
"Marielle Kessler","Portmannstrasse 8
5461 Münsingen"
"Lorena Zürcher","Langstrasse 2
5985 Horw"
"Emily Senn","Küngstrasse 1
4940 Arbon"
"Claude Frei","Schmidtstrasse 15
6026 Weinfelden"
"Kristina Maurer","Brunstrasse 20
3040 Buchs"
"Lana Braun","Schaubstrasse 625
5174 Thônex"
"Dr. Janine Thommen","Schulerstrasse 539
2730 Arbon"
"Fanny Schenk","Bühlmannstrasse 743
3369 Glarus"
"Mariette Fischer","Probststrasse 13
5301 Rheinfelden"
"Beate Siegrist-Schwarz","Steinerstrasse 39
5622 Affoltern"
"Anastasia Forster Portmann","Kellerstrasse 978
7933 Siders"
"Joy Wirz","Zollingerstrasse 34
6600 Spiez"
"Emily Stucki","Lehmannstrasse 20
1826 Gland"
"Filomena Gasser","Häfligerstrasse 55
4430 Vevey"
"Gerd Meister","Stadelmannstrasse 42
8794 Uzwil"
"Claudia Kaiser","Bärstrasse 74
1991 Glarus"
"Gabrielle Stocker-Fischer","Benzstrasse 85
7397 Aigle"
"Ewald Rey","Lüthistrasse 28
8813 Zug"
"Ghislaine Kälin","Hirtstrasse 78
7473 Renens"
"Kuno Walder","Bianchistrasse 20
8491 Köniz"
"Theodor Eugster","Knechtstrasse 37
9540 Chur"
"Umberto Vogt","Stockerstrasse 7
5811 Neuhausen"
"Emina Amrein","Jäggistrasse 5
5539 Horw"
"Delia Huber","Hauserstrasse 98
1099 Chur"
"Asia Hug","Amreinstrasse 2
3279 Carouge"
"Rosa Schnyder-Kaufmann","Herzogstrasse 79
8010 Horgen"
"Jack Bader","Stuckistrasse 6
9202 Basel"
"Romane Hunziker","Hoffmannstrasse 372
6509 Rapperswil-Jona"
"Kian Hartmann","Steinmannstrasse 2
2482 Vevey"
"Marina Widmer","Schulerstrasse 35
4417 Olten"
"Flavia Kägi","Zieglerstrasse 486
3918 Genf"
"Jael Roth","Merzstrasse 54
5844 Genf"
"Emine Blum-Steiger","Freystrasse 82
1226 Küsnacht"
"Nicoletta Bader","Baumgartnerstrasse 12
1760 Neuhausen"
"Arben Sutter","Ottstrasse 4
7149 Risch"
"Nicoletta Keller","Jäggistrasse 27
3368 Bassersdorf"
"Sónia Bolliger","Islerstrasse 77
3403 Suhr"
"Ronny Wehrli","Probststrasse 133
7089 Pratteln"
"Gioia Kern","Amreinstrasse 27
4160 Frauenfeld"
"Adriana Meyer Mayer","Zehnderstrasse 34
1680 Adliswil"
"Joana Hasler","Vogelstrasse 381
1718 Spreitenbach"
"Sebastiano Berger","Vogtstrasse 24
1644 Versoix"
"Emma Gloor Bär","Bärstrasse 75
7048 Gossau"
"Mladen Kern","Hessstrasse 17
4352 Richterswil"
"Ulrich Hürlimann","Wengerstrasse 46
6169 Flawil"
"German Berger-Meier","Braunstrasse 58
3215 Affoltern"
"Katja Marti","Amreinstrasse 5
9741 Neuenburg"
"Gottlieb Pfister","Schärstrasse 928
5912 Olten"
"Markus Seiler","Michelstrasse 6
6256 Siders"
"Axel Moser","Walterstrasse 1
6731 Lenzburg"
"Marco Zürcher","Arnoldstrasse 2
2499 Baar"
"Yann Studer","Aebistrasse 48
1613 Muri"
"Emma Sutter","Schwabstrasse 50
8503 Vernier"
"Paola Lüthi","Felderstrasse 15
2835 Zofingen"
"Pamela Graf","Scheideggerstrasse 45
2085 Genf"
"Steven Lüthi-Graf","Fankhauserstrasse 31
6991 Binningen"
"Jelena Jäggi Fankhauser","Grobstrasse 73
9916 Oftringen"
"Dr. Maurice Brun","Wyssstrasse 871
2833 Opfikon"
"Donat Scheidegger","Kunzstrasse 50
7295 Münchenbuchsee"
"Timothy Maier","Schaubstrasse 591
7785 Horgen"
"Charlotte Keller","Hotzstrasse 3
9476 Uzwil"
"Anes Mäder-Schmid","Bucherstrasse 802
6805 Winterthur"
"Emmanuel Hauser-Kaiser","Freystrasse 85
1629 Adliswil"
"Francesca Meier","Weibelstrasse 826
8080 Oftringen"
"Milan Lang","Burristrasse 76
2859 Solothurn"
"Chantal Bianchi","Islerstrasse 6
6021 Kloten"
"Dr. Torsten Tobler","Sidlerstrasse 11
4330 Arth"
"Giorgia Scheidegger","Bättigstrasse 8
5058 Montreux"
"Andrina Roth","Benzstrasse 60
7718 Grenchen"
"Dr. Giulia Steiner","Hofstetterstrasse 93
3069 Emmen"
"Sabri Hodel","Kunzstrasse 2
2684 Glarus"
"Hana Gut Schenk","Schenkstrasse 2
9780 Vevey"
"Emmanuelle Bosshard Koch","Moserstrasse 879
1874 Zofingen"
"Jeton Baur-Suter","Wehrlistrasse 21
5379 Amriswil"
"Joanna Hofstetter","Schochstrasse 30
7905 Lenzburg"
"Anita Ziegler Kaufmann","Favrestrasse 530
3703 Neuhausen"
"Melissa Gloor","Schneiderstrasse 931
5464 Wald"
"Prof. Floriane Hess","Roosstrasse 748
6347 Mendrisio"
"Maude Grob","Bättigstrasse 69
3264 Winterthur"
"Diana Roos Maurer","Hauserstrasse 158
8280 Aigle"
"Christina Meili","Schärstrasse 9
7678 Sitten"
"Prof. Margret Gerber","Eichenbergerstrasse 7
1721 Plan-les-Ouates"
"Emre Betschart","Steinmannstrasse 6
5160 Steffisburg"
"Mia Jost","Gasserstrasse 14
6180 Ecublens"
"Nadia Walder","Lanzstrasse 45
7441 Muttenz"
"Giorgio Spörri","Frickstrasse 1
9273 Sitten"
"Xavier Iten","Beckstrasse 79
4528 Küsnacht"
"Prof. Teresa Gross","Mäderstrasse 660
4767 Opfikon"
"Nevio Ferrari","Käserstrasse 77
8654 Schaffhausen"
"Predrag Kaiser","Vogelstrasse 44
3100 Brig-Glis"
"Wendelin Huber-Wagner","Braunstrasse 74
4659 Zürich"
"Almir Schürch","Bernasconistrasse 81
8569 Bülach"
"Endrit Berger","Maurerstrasse 3
9754 Emmen"
"Josip Bucher","Lehmannstrasse 6
4848 Aesch"
"Irmgard Hafner-Baumann","Zieglerstrasse 339
3081 Buchs"
"Marcelo Mäder-Zollinger","Stockerstrasse 9
5126 Rüti"
"Julius Widmer","Gloorstrasse 855
5381 Männedorf"
"Davide Hofstetter","Roosstrasse 94
7546 Altstätten"
"Ljubisa Hodel","Braunstrasse 9
6926 Payerne"
"Carine Zollinger","Steigerstrasse 28
2243 Amriswil"
"Mariangela Scheidegger","Furrerstrasse 342
6750 Glarus"
"Natascha Schneider","Bianchistrasse 79
9040 Horw"
"Enrico Bauer","Ottstrasse 53
2480 Uzwil"
"Hamza Isler-Gasser","Widmerstrasse 57
4535 Schlieren"
"Istvan Stöckli","Pfisterstrasse 5
9667 Volketswil"
"Carl Roth","Sigriststrasse 118
1093 St. Gallen"
"Viktoria Jost","Scheideggerstrasse 45
4712 Flawil"
"Elfriede Vogel","Winklerstrasse 18
4218 Uster"
"Janosch Gfeller","Wagnerstrasse 769
1415 Chur"
"Dr. Lazar Zimmermann","Meisterstrasse 46
4414 Val-de-Ruz"
"Jonah Schärer-Betschart","Eugsterstrasse 9
6577 Wil"
"Mira Portmann","Baderstrasse 48
9731 Olten"
"Ensar Lanz","Islerstrasse 20
6576 La Chaux-de-Fonds"
"Imelda Schwab","Schenkstrasse 87
6717 Gossau"
"Marianne Knecht","Wirzstrasse 468
7095 Herisau"
"Dimitri Stalder","Müllerstrasse 15
1088 Luzern"
"Prof. Marta Hunziker","Maurerstrasse 30
8568 Bernex"
"Katrin Rey","Hürlimannstrasse 83
4585 Wil"
"Viola Favre","Schweizerstrasse 59
9215 Crans-Montana"
"Aron Wyss-Weber","Hirtstrasse 18
9270 Wetzikon"
"Teresa Schär","Thommenstrasse 505
4765 Köniz"
"Marie-Louise Lehmann Spörri","Blumstrasse 1
9233 Renens"
"Ensar Stocker","Stadelmannstrasse 6
6741 Illnau-Effretikon"
"Rosetta Thommen","Stöcklistrasse 44
9125 Biel/Bienne"
"Kerstin Portmann Kessler","Blumstrasse 4
7824 Pratteln"
"Camilla Gloor","Bianchistrasse 125
1958 Solothurn"
"Kian Ammann","Hartmannstrasse 11
6545 Spiez"
"Robin Moser","Bucherstrasse 2
7784 Birsfelden"
"Carmelo Schwab-Zehnder","Christenstrasse 10
1500 Horw"
"Prof. Myriam Näf","Steinmannstrasse 3
9105 Val-de-Travers"
"Zorica Tobler","Zimmermannstrasse 97
8133 Frauenfeld"
"Joshua Burri-Graf","Schumacherstrasse 18
4838 Wettingen"
"Enver Winkler-Eugster","Ammannstrasse 168
2203 Opfikon"
"Karolina Sutter","Hauserstrasse 322
3752 Zürich"
"Valon Mettler","Hürlimannstrasse 5
7360 Oftringen"
"Ardian Moser","Bucherstrasse 25
6932 Freiburg"
"Patricia Ferrari Sigrist","Zimmermannstrasse 10
9697 Thun"
"Anna-Maria Arnold","Leustrasse 61
6657 Vernier"
