"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"לין בן הרוש"|"האילן 11, ברקאי, 3538388"
"עלי אבו ראס"|"מרגיל מחוור 59, בית חנניה, 1894079"
"יהודה גולן"|"אלכתאב 39, אורטל, 4460420"
"דורון יוסף"|"הרשת 82, גיתית, 5441018"
"איילה חאג' יחיא"|"אזור תעשייה מזרח 54, שדה אליהו, 5762702"
"חיה כהן"|"הרב וולף 92, שתולים, 8563942"
"נטע ארז"|"כיסופים 97, כפר מסריק, 7560926"
"הודיה לוי"|"יששכר 29, פקיעין חדשה, 5294154"
"עידו דיין"|"שמחוני אסף 73, גינתון, 3768627"
"גאיה כהן"|"שז""ר זלמן 72, ריינה, 4059606"
"מרדכי דרעי"|"רח 12 96, עין השופט, 5246281"
"מאיר אביטן"|"פרופ' בירק יהודית 20, ברקאי, 8088101"
"בנימין חזן"|"לוין מיכאל וחנה 93, מגן, 2061563"
"אריאל קרן"|"הרדוף 94, סער, 9053522"
"איילה טליה אבו ליל"|"בועז 09, עזר, 8448606"
"מאיה טייב"|"שכ נווה הדקל 67, רגבה, 3126093"
"יאמן שגב"|"סמבורסקי דניאל 76, נירן, 7175658"
"מיכל רון"|"ש בבלי 59, גדות, 2042157"
"דוד חאג' יחיא"|"אורנים 74, גבעת ח""ן, 8280786"
"מוחמד ביטון"|"שביל הרקפות 68, טל-אל, 4569558"
"נאי מויאל"|"אימבר 68, רגבה, 8551319"
"יהודית כהן"|"אזור תעשייה מזרח 47, פוריה - נווה עובד, 9101237"
"דוד ג'בארין"|"לב הקריה 42, ריינה, 3054123"
"מוחמד גרינברג"|"לסקוב חיים 22, נחלה, 2818890"
"איילה יונה"|"עמוס 82, דולב, 3332142"
"אופק יצחק"|"רמת האירוסים 30, כפר מסריק, 6842268"
"לביא אדרי"|"טאחונת אלראהיב 58, חצור-אשדוד, 5196794"
"אבראהים בלום"|"משעול התפוח 06, חשמונאים, 1036025"
"מוחמד מנצור"|"לב הקריה 60, גבעת כ""ח, 4083287"
"איתן סלע"|"משעול האלה 91, אביבים, 5406497"
"ישי סרור"|"סמטת השחר 16, גבעת ח""ן, 4127338"
"שרה חדד"|"תל חי 52, אודם, 3157391"
"ליה מור"|"דודו דותן 78, בית הלוי, 1482652"
"עטרת אליהו"|"כאבול 43, נטע, 0316027"
"איילה מלכה"|"לוריא 50, נוקדים, 5315143"
"ידידיה שטרית"|"מעונות ים 18, משמר העמק, 6196680"
"עדי ח'ורי"|"חוף הים 72, מרחביה )מושב(, 8509726"
"נועם קליין"|"הרשקו אברהם 56, דוב""ב, 5583380"
"מייה שטרן"|"עמנואל )רינגלבלום( 18, מגאר, 5198688"
"יהודה חלבי"|"מגלן 15, צורית, 7728731"
"אסתר גרוסמן"|"מרחביה )מושב( 39, גבעת השלושה, 1391110"
"בן שוויקי-חיון"|"אברבנאל 43, האון, 3291814"
"דור כהן-לוין"|"אל-מקפה סמ9 59, צורית, 2777380"
"פאר אלה חוסין"|"מירון 39, שפר, 7343692"
"איילה נעמי לביא"|"מצפה גילה 96, שעב, 0752346"
"הדסה רוזן-אלון"|"שביל הרקפות 99, חשמונאים, 3080451"
"ליבא הייב"|"כנרת 52, עדי, 1940935"
"יחיא אשכנזי"|"עובדי הנמל 28, עזר, 9167727"
"מרים מחאג'נה"|"לילינבלום 71, עין אל-אסד, 7426317"
"עתי שמואל"|"לביא אריק 72, סער, 0387520"
"עתי חסן"|"ענזה 51, העוגן, 6002479"
"עדן גלעד"|"שבזי 80, כסלון, 1658596"
"הודיה פרץ"|"אלישר 48, שיטים, 4789682"
"חנה כהן"|"סמ שפיפון 34, נטע, 5640360"
"איילה סלומון"|"ש ציונים כלליים 25, גני מודיעין, 9472612"
"אמל קליין"|"הרקפת 17, הסוללים, 5085942"
"אורי לוי"|"עירית 78, תלמי אליהו, 6546553"
"ברוך סלמאן"|"המלכים 77, גבעת כ""ח, 9035371"
"אלון עודה"|"רח ה 88, טל-אל, 0016062"
"עמנואל פלד"|"המלכים 89, נורדיה, 1955777"
"אדם שטרן"|"בן צבי יצחק 11, מעונה, 6086405"
"יהודה פלג"|"הופרט יעקב 72, מזכרת בתיה, 4990436"
"גילי שיטרית"|"הנורית 44, נורדיה, 3632746"
"אופיר כהן"|"השיזף 92, שיטים, 0466349"
"איילה סעד"|"רמב""ם 71, זוהר, 2226083"
"יסמין אבו כף"|"כנרת 90, באר מילכה, 6729466"
"אורין מויאל"|"לוד הצעירה 37, מרחביה )מושב(, 2780559"
"לאה אורן"|"רח מו כ שלם 69, גבעת השלושה, 3279116"
"יהונתן בשיר"|"חיים וייצמן 54, גבעת ח""ן, 0786441"
"תמר שני"|"יהודה המכבי 56, מזכרת בתיה, 8122663"
"אורי שלום"|"אירוס 91, גרופית, 4268091"
"עופרי ליפשיץ"|"מבוא חיים מקובנה 21, מגן, 1961399"
"חלא חזן"|"נהריה 37, שדה אליהו, 5169733"
"שירה אבראהים"|"ש סלע חדש 29, כפר יונה, 7264385"
"איילה פרידמן"|"משעול פארן 19, הסוללים, 9496416"
"יעקב בוזגלו"|"נורית 57, סער, 8117269"
"רייזל ליה גאנם"|"משעול פארן 37, נוקדים, 7778051"
"אמילי קליין"|"צפרירים 75, הסוללים, 0695225"
"אלינור גולדשטיין"|"דיה 81, גבעת השלושה, 9279640"
"שמחה יעקובי"|"רח 7038 96, פקיעין חדשה, 4604909"
"לין קורן"|"תאנה 63, עזר, 7775748"
"אייל ויצמן"|"שכ מחניים 14, בית חשמונאי, 1499901"
"ג'וד עואד"|"החסידה 21, עזר, 5227556"
"יובל כהן"|"מזרחי יוסף 43, רמות מנשה, 7147384"
"איילה פרץ"|"יד העפלה ממרוקו 44, באר מילכה, 1366242"
"אלון לוי"|"המעיין 32, מגן, 5438204"
"לילי חדאד"|"דרך הגן 44, מגן, 9989004"
"גל יוסף"|"רחבת פנינה 39, שיטים, 2537312"
"שלום שחאדה"|"תאנה 70, עמיר, 5504889"
"נועם יפרח"|"רקפת 44, עין אל-אסד, 9049631"
"עבדאללה בנימין שור"|"כזיב 28, אורטל, 5781932"
"דוד ניסן"|"רח 2001 29, כפר הנוער הדתי, 9421261"
"דוד גבאי"|"אלכסנדר ינאי 30, פוריידיס, 2298056"
"אביגיל קליין"|"המרגנית 89, מלאה, 7548240"
"איילה רגב"|"רח 2306 26, מגן, 9078013"
"אוריה שם טוב"|"זיגורד 54, מכמורת, 7818038"
"מנחם גולדשטיין"|"שני 27, שפר, 5720842"
"תהל מוסא"|"דרב אלברג' 97, עין אל-אסד, 0173565"
"נתנאל מרעי"|"המנוע 46, שדות מיכה, 1609740"
"סיון כספי"|"ההגנה 98, אור הנר, 3050837"
"ניר דראושה"|"הנורית 73, גרופית, 1786598"
"מוריה אור"|"זית 92, משמר העמק, 8059278"
"אגם מאור"|"אירוס 87, ורד יריחו, 4737226"
"ליאור שגב"|"הממונה 14, דולב, 6649929"
"איילה שני"|"עולש מצוי 98, ברקאי, 6577669"
"דוד גורן"|"חתוכה יורם 57, זוהר, 7126259"
"רון טאהא"|"המנוע 06, נטע, 1775195"
"גיא שרעבי"|"רח 1238 40, עמוקה, 2957191"
"נהוראי חסן"|"קנין הארץ 43, נתיב השיירה, 1036508"
"עופרי ימין"|"מופק דיאב 06, שדה אליהו, 8794246"
"אחמד ח'טיב"|"סומך עובדיה 37, משמר העמק, 5293516"
"אדם סויסה"|"לבקוביץ 03, חיננית, 1059352"
"אורי ח'טיב"|"זגגי 98, ריינה, 9983134"
"למאר יפת"|"מבצע עובדה 33, גנות הדר, 1495586"
"איילה שרף"|"ברוריה 17, גני מודיעין, 1745466"
"אפרת נסאר"|"צפת 43, שדה אליהו, 8448606"
"ניתאי פרץ"|"אדמון 66, שדות מיכה, 4316502"
"יעל אוחיון"|"יהודה המכבי 81, גרופית, 6923932"
"שון רוט"|"הנקר 25, גיתית, 3668193"
"דוד בן חיים"|"מעבר לים 88, פקיעין חדשה, 9894628"
"עמנואל חמוד"|"הדגניות 90, כפר יונה, 0636206"
"רן הרוש"|"מזל שור 30, עין צורים, 6203793"
"מילה בן סימון"|"הרב חכם שמעון 40, חשמונאים, 3457221"
"נועה שפירא"|"אימבר 15, עדי, 4896743"
"איילת סרוסי"|"מרגיל מחוור 63, כסלון, 4194247"
"מיכאל בן חמו"|"קדמת צבי 57, נוקדים, 2205127"
"ארי אסרף"|"רמת האירוסים 84, עמוקה, 5118329"
"עומר אביטבול"|"אלכתאב 82, שדי תרומות, 4862161"
"שני אוחיון"|"שד גאולים 93, גינתון, 0334750"
"מלכה בוסקילה"|"שבזי 99, נוקדים, 7113262"
"שני ברוך"|"הר כנען 12, עצמון שגב, 5443562"
"איילה בן דוד-שור"|"דיה 00, מעונה, 1845020"
"איילה קרמר"|"לוד הצעירה 10, גונן, 2698180"
"יוסף גבאי"|"ש אסבסטונים 04, מזכרת בתיה, 2340141"
"איליי לוי"|"דימיטר פשב 62, העוגן, 4160468"
"מריה גולדשטיין-שכטר"|"סביונים מכבים רעות 07, עין השופט, 1406320"
"איתמר יונה"|"אלכסנדר ינאי 99, אור הנר, 1725627"
"איליי סבג-נאסר"|"לוד הצעירה 56, לוזית, 8046319"
"בן אברמוב"|"עפולה 84, כפר סירקין, 8476661"
"שירה אוחיון"|"אורנים 56, שומרה, 3068378"
"נחמן בסול"|"אייר 33, חצור-אשדוד, 6774881"
"ג'נא רחל סגל"|"פקוד מרכז 70, בית חנן, 6519740"
"נעמה רבינוביץ"|"רח 14 33, בית ברל, 0384033"
"יואב בקר"|"אל-זהרא' 24, בית חנניה, 1077671"
"איליי סגל"|"שכ 14 25, עין אל-אסד, 2155028"
"לביא מסרי"|"ברקת 77, באר מילכה, 8030831"
"עמית מזרחי"|"עמוס הנביא 45, גבעת השלושה, 0495182"
"אורי הראל"|"מוסיוף שלמה 98, גיתית, 6475866"
"מרדכי שחאדה"|"רח 6073 96, ברקאי, 2093004"
"בניה ח'ורי"|"מוסיוף שלמה 80, דולב, 5461646"
"יאיר ביטון"|"המורד 17, גיתית, 3071347"
"אחמד חן"|"אזור תעשייה מזרח 95, פקיעין חדשה, 0571161"
"אלין כחלון"|"המצודה 47, רחוב, 9860932"
"מוחמד גדיר"|"החרוב 18, יד רמב""ם, 7992136"
"אימאן ארליך"|"המייסדים 36, נטע, 7703767"
"בן עבאס"|"אל זיתון סמ2 03, יד רמב""ם, 0903517"
"כרמל מחאמיד"|"רביבים 52, כפר יונה, 3548488"
"אביגיל ישראל"|"גרטרוד קראוס 28, רמות מנשה, 3806702"
"אשר אבו טיר"|"החרמון 95, בית חנניה, 9926548"
"ג'ולין עמרם"|"רח 101 49, רימונים, 2921139"
"איילה מחאג'נה"|"עירית 89, בית ברל, 0767141"
"אליאן גורן"|"ש קואפרטיבים 30, אטרש )שבט(, 7645032"
"מיכאל חדד"|"רח 71 23, כפר הנוער הדתי, 6391961"
"הילל אבוטבול"|"בית ראשון במולדת 77, נטע, 9585539"
"אימאן חדד"|"דרך הארץ 64, נחלה, 8755256"
"איתן אשר-כחלון"|"אשדוד 02, שתולים, 8484243"
"יונתן מחאמיד"|"הרדוף 61, שדות מיכה, 2176041"
"דוד הראל"|"נאות הדקל 39, גן שורק, 8478530"
"תהילה אלימלך"|"הינשוף 43, צפרירים, 9382849"
"איתן לביא"|"דבורה 98, גן שורק, 6250156"
"אדיר אברמוב"|"אל-סביל סמ6 58, כפר הנוער הדתי, 8905225"
"רומי עובדיה"|"סנט הלנה 76, פוריה - נווה עובד, 4906818"
"דוד סעד"|"רח 2001 24, גנות הדר, 7124236"
"סהר אוחנה"|"מבוא חמה 86, שיטים, 7810366"
"אימרי יעקובי"|"חיטה 17, הר אדר, 4217529"
"אביגיל דרעי"|"יהודה המכבי 57, שדות מיכה, 2199908"
"אגם אבו ליל"|"שז""ר זלמן 98, דוב""ב, 0052762"
"שאם צור"|"דרך חלמית 09, עספיא, 3579278"
"בר זכריה"|"אייזיק ניוטון 07, משמר העמק, 0032533"
"חנה ניר"|"גרינבוים 36, אבו רובייעה )שבט(, 0382516"
"אייל אהרן"|"שמחוני 54, טל-אל, 3934446"
"שי לי דהן"|"הר יהל 35, ברקאי, 0143038"
"רועי איוב"|"אלתין 72, בית ברל, 3574887"
"עמית אזולאי"|"האורן 80, אביחיל, 9784424"
"אימרי פישר"|"דבורה 89, אל סייד, 8919012"
"אסתר פלדמן"|"נוף כנרת 76, תלמי אליהו, 6846335"
"תומר אילוז"|"משעול הצופית 07, מירון, 2224657"
"בן גוטמן"|"חושן 62, פוריה - נווה עובד, 2563826"
"ליאם חביבאללה"|"אלעמשקה 24, שתולים, 8983933"
"תאלא סעיד"|"המפרש 07, עמקה, 8283723"
"מיכל אבו ראס"|"הל""ה 45, מגן, 4706150"
"נועם איבגי-לוי"|"גפן 90, תלמי אליהו, 4516061"
"מנחם אשכנזי"|"יחזקאל הנביא 60, בית ברל, 0854233"
"משה רובינשטיין"|"חרת א בוס 22, עצמון שגב, 3965395"
"איתי אהרן"|"עגור 34, דוב""ב, 2785796"
"שמואל אורי נאסר"|"סמ בני ברית 08, פוריה - נווה עובד, 3237924"
"עלי דוד"|"הגפן 92, צפרירים, 6525534"
"ראובן דניאל"|"הברדלס 38, בית חנניה, 1618094"
"גאיה עאמר"|"החרובים 44, צורית, 6303047"
"נעמי ותד"|"הגפן 67, לוזית, 1388661"
"אורי יוסופוב"|"האצ""ל 27, תלמי אליהו, 2671675"
"רז דראושה"|"הרב וולף 10, העוגן, 6355016"
"אליה שני"|"הנורית 25, גבעת השלושה, 2766969"
"מוחמד משולם"|"רח 1043 93, יד רמב""ם, 7685527"
"איתי ברנשטיין"|"אזור בית הקברות 17, גרופית, 1869995"
"אביה גולאני"|"השעורה 54, לקיה, 7920059"
"אפרת אדרי"|"רח 6020 72, שדה אליהו, 0247640"
"יהונתן חי"|"סמ השחף 87, צורית, 5721485"
"בת ויצמן"|"שכ מחניים 49, ברקת, 5901816"
"לביא מוסא"|"החותרים 97, עמיר, 0177128"
"אופיר עיסא"|"עומר 06, רימונים, 2102122"
"יאיר מאיר"|"נתיב הפורצים 87, גרופית, 8321901"
"יעקב ביטון"|"גינוסר 21, עספיא, 3955343"
"אבראהים פוגל"|"בועז 64, מזכרת בתיה, 3075742"
"איתי ברק"|"הברדלס 02, מעונה, 4035032"
"אריאל יפרח"|"רח 124 87, חצור הגלילית, 6741420"
"אדם אמר"|"דרך הארץ 92, אטרש )שבט(, 9666183"
"עומרי אבראהים"|"רקפת 98, עצמון שגב, 9584001"
"מוחמד זועבי"|"התקוה 02, גנות הדר, 4304782"
"אלישבע בן משה"|"דרך חברון 73, עמוקה, 1774815"
"מוחמד בן סימון"|"כהן אלי 33, בית חנן, 0944626"
"עטרה שטרית"|"האילן 02, נטע, 7075542"
"שחר שרעבי"|"בית היוצר 46, אטרש )שבט(, 4268991"
"איתי לוגסי"|"אלזאבוד 10, רחוב, 7374840"
"איתי גואטה"|"כהן אלי 68, משמר העמק, 9594304"
"אוריאל קפלן"|"הל""ה 94, אליקים, 3523339"
"מאור סעד"|"סנט הלנה 64, חשמונאים, 3584096"
"מיכל מוראד-דדון"|"רמת האירוסים 63, ברקאי, 5257752"
"תהילה פלדמן"|"עולש מצוי 56, דולב, 2757188"
"הילי חיימוב"|"ירקון 27, גן שורק, 0621614"
"ביסאן שרון"|"כהנא 03, כפר אחים, 4294856"
"ליאורה פרי"|"שכ עראק אלשבאב 32, כפר יונה, 0481641"
"אלמא דאוד"|"צדוק הכהן 05, נטע, 9759676"
"חלא שפירא"|"בן צבי שמעון 55, עמקה, 4245675"
"איתי דיין"|"אל הודא סמ3 28, שדי תרומות, 3209916"
"בלומה סולומון"|"המפרש 17, מעונה, 9828743"
"ישראל עתאמנה"|"לוטם 44, עצמון שגב, 4831014"
"אביב ביטון"|"לסקוב חיים 74, מגאר, 0303132"
"דור לוי"|"הר צרור 06, חצור הגלילית, 7333236"
"הילה פרי"|"השעורה 68, מזכרת בתיה, 3935600"
"מאור גור"|"נאות הדקל 19, כפר סירקין, 3167338"
"אסף מאיר"|"נצרת עילית 77, נורדיה, 4108422"
"ליבא ליפשיץ"|"בקעת הירח 10, מלאה, 4981857"
"אמיר כהן-עובדיה"|"ג'ו עמר 01, שדות מיכה, 5795575"
"איתי הלוי"|"רחבת פנינה 74, הסוללים, 6355272"
"טוהר ימין"|"רש""י 91, ורד יריחו, 6200305"
"רוני אדרי"|"נהריה 13, כפר אחים, 0089069"
"נועם גנאים"|"סנט הלנה 11, גונן, 7033530"
"טליה שגיא"|"ישועת דוד 89, מסד, 3490589"
"לין עמירה"|"סלא איירין 24, מלאה, 5812413"
"אלרואי אגבאריה"|"צפרירים 74, בית ברל, 8347132"
"יעל שבתאי"|"אביב 43, גיתית, 9665032"
"אופיר ברוך"|"הנוטר 58, משמר העמק, 9357121"
"מרום סלאמה"|"עומר 17, מלאה, 2609591"
"איתי חי"|"צובה 80, עין צורים, 0711406"
"הדסה פרץ"|"אפעל 42, עין אל-אסד, 6373621"
"אלרואי זועבי"|"הברדלס 25, טל-אל, 9034956"
"אמה חסון"|"יאפא 66, עין אל-אסד, 8402263"
"דין עזרא"|"אברבנאל 61, כפר הנוער הדתי, 8543627"
"שחר דוד"|"יהודה המכבי 67, בני ציון, 3918839"
"ליעד ברקוביץ"|"ירושלים 52, רמות מנשה, 3961224"
"ניצן גרוס"|"המסגר 19, גיתית, 9485157"
"יעל נחום"|"מעונות ים 45, בית חשמונאי, 4038426"
"אדר גבאי"|"זיגורד 61, כפר הנוער הדתי, 6137414"
"איתי חסון"|"שושנת הכרמל 35, אודם, 3316558"
"דרור עואודה-וייס"|"ככר נחשון 93, דולב, 1585686"
"טליה גבאי"|"רח 1060 32, עין צורים, 1622378"
"אלעזר דהן"|"דימיטר פשב 87, חשמונאים, 7396868"
"הדר כהן"|"שבטי ישראל 86, פוריה - נווה עובד, 0129602"
"מוחמד דיאב"|"שכ הרכבת 04, עספיא, 8931545"
"עופרי זידאן"|"רח 12 75, רמות מנשה, 5278252"
"שיר תורגמן"|"שבט ראובן 44, מגן, 1075405"
"שרה כהן"|"גרטרוד קראוס 37, מזכרת בתיה, 2403034"
"דריה אברהם"|"אלתין 82, נוקדים, 3687580"
"איתי כהן"|"המורד 26, גרופית, 1273786"
"תולין אסעד"|"הפעמון 35, סגולה, 3652704"
"יונתן זועבי"|"בן ישי 87, נטע, 5960869"
"הדסה יעקב"|"אלמזדלפה 87, מגן, 6152729"
"אדל אטיאס"|"אפעל 69, עין צורים, 7550947"
"רומי כהן"|"בן צבי יצחק 93, אבו רובייעה )שבט(, 7323497"
"אליעזר לוי"|"שבזי 60, דוב""ב, 1448551"
"מיכל מזרחי-חוסין"|"אילניה 84, האון, 1987520"
"אליהו מכלוף"|"משעול האלה 03, גיתית, 4804137"
"בן כהן"|"דרך שועפאט סמ4 51, פקיעין חדשה, 0874226"
"איתי כהן"|"קישון אפרים 25, גדות, 4580571"
"זואי חורי"|"ש אסבסט צפון 01, כפר סירקין, 0493353"
"תאלא גבאי"|"אגוז 50, אטרש )שבט(, 6584898"
"גוד כהן"|"ההגנה 40, הסוללים, 1756713"
"אליה שפירא"|"רמב""ן 84, נתיב השיירה, 7431797"
"אור מעיין אסדי"|"גוטמכר 76, מסד, 3213088"
"מאי יחזקאל"|"שאר ישוב 39, עמיר, 8808141"
"גיא וינר"|"הזמיר 59, מזכרת בתיה, 5851931"
"אמה קליין"|"ש סלע חדש 40, אודם, 1495368"
"מוחמד פולק"|"אזור תעשיה הר יונה 82, שפר, 3628141"
"איתי לוי"|"לוין מיכאל וחנה 53, גנות הדר, 3040816"
"מג'ד אברהם"|"הבריגדה 81, עמקה, 0471962"
"נאור אהרן"|"אורנים 94, רמות מנשה, 7776897"
"איילת אבראהים"|"חתוכה יורם 19, עזר, 8612569"
"אדל כרמי"|"שומרון 01, ברקאי, 4952850"
"מאיה שטיינברג"|"הרקפת 86, עדי, 3485293"
"עומר פישר"|"שאר ישוב 85, עלי זהב, 5313463"
"מרים פרידמן"|"שבט ראובן 01, כפר הנוער הדתי, 6143497"
"איילה חג'אזי"|"גפן 87, מרחביה )מושב(, 7053726"
"בן נחום"|"הצאלון 95, גבעת ח""ן, 8568259"
"איתי נגר"|"תל חי 82, אביחיל, 9500140"
"זיין עמאש"|"הצאלון 82, מלאה, 5967849"
"שון מויאל"|"פטדה 92, שעב, 6022304"
"תמר ברקוביץ"|"גבעת חיים )מאוחד( 87, גדות, 0731098"
"אביגיל דקל"|"הרקפת 12, עצמון שגב, 5692163"
"בת הראל"|"ש ציונים כלליים 50, צפרירים, 4205301"
"נועם מילר"|"רח 7038 17, עזר, 2994650"
"ריתאל בן דוד"|"בן יהודה 28, אביבים, 6622666"
"רותם אלון"|"הורקנוס יוחנן 24, כסלון, 0263166"
"אברהם גאנם"|"אלומה 21, נוקדים, 5744231"
"איתי סויסה"|"אלעקבה 66, העוגן, 5057501"
"ג'ורי ביטון"|"ידידה 50, עין השופט, 0500169"
"אריאל אזולאי"|"כהנא 57, עמקה, 5479407"
"נועה ג'בארין-גרוסמן"|"משעול נקר 78, עזר, 3488122"
"איילה קינן"|"זיו 31, עדי, 8176751"
"אלמוג לוי"|"כנרת 26, שפר, 5606765"
"אחמד עווד"|"שביל קליפות התפוזים 93, אור הנר, 3058797"
"מאיה שוורץ"|"קישון אפרים 64, תלמי אליהו, 8726887"
"ג'וד פוקס"|"הרקפת 94, כסלון, 5523800"
"ניצן שפירא"|"ירושלים 17, מלאה, 1454815"
"איתי פישמן"|"לילינבלום 91, פוריה - נווה עובד, 5550735"
"אליה בלום"|"אהרונוביץ 22, מגן, 0198860"
"איתן מיכאלי"|"הינשוף 39, אבו רובייעה )שבט(, 0246405"
"נחמן זמיר"|"משעול נקר 77, נחלה, 4129864"
"עידו סויסה"|"הרב עוזיאל 03, שומרה, 1964641"
"מוחמד תורגמן"|"המגינים 24, מעונה, 7547016"
"נועה שגיא"|"אורנים 90, תלמי אליהו, 8446752"
"מאיה אוזן"|"גיבתון חנוך 23, עזר, 9103214"
"נבו שלו"|"יזרעאל 69, האון, 9910826"
"גלעד נתן"|"החליל 38, שדות מיכה, 9003427"
"איתי פרץ"|"הרותם 29, בית הלוי, 1332129"
"נועם ליברמן"|"מעוז חיים 49, יד רמב""ם, 0811716"
"נועה וייס"|"הרדוף 07, פוריידיס, 2159036"
"לירי כהן"|"תאנה 68, סער, 3915038"
"רוני כהן"|"סביונים מכבים רעות 80, עצמון שגב, 8976285"
"עלי שוורץ"|"אלפג'ר 45, שדי תרומות, 1781564"
"נועה מלכה"|"חיים וייצמן 27, שדה אליהו, 9748181"
"אביה פרץ-שוויקי"|"הסיגלית 20, עין צורים, 8073763"
"מוסטפא ביטון"|"ענזה 49, זוהר, 7859362"
"הילי אוחנה"|"האילנות 55, גבעת השלושה, 5437531"
"איתי שורץ"|"פנינה 18, עדי, 0234589"
"הדסה חאג יחיא"|"אלחרש 11, מירון, 5516526"
"כרים מועלם"|"ישועת דוד 77, כפר יונה, 0673158"
"עומר שכטר"|"כרם חמד 29, עזר, 8222274"
"דוד חורי"|"אלעקבה 88, לוזית, 9308981"
"ניתאי ישראל"|"דיה 92, אטרש )שבט(, 6503142"
"ריתאל שרעבי"|"רלב""ג 30, שומרה, 2808291"
"שקד מור-אטרש"|"כיסופים 96, אל סייד, 0194593"
"איתן גורדון"|"השיח 28, פקיעין חדשה, 0309346"
"מוחמד זיו"|"אלעמשקה 23, כפר אחים, 0697594"
"איתיאל גדיר-ליפשיץ"|"מבצע הראל 72, זוהר, 9422039"
"יעל עמירה"|"שמחוני אסף 66, ברקת, 5038761"
"ארז גאבר"|"מרחביה )מושב( 54, רחוב, 5770583"
"יוסף רזניק"|"יחזקאל הנביא 71, משמר העמק, 0003298"
"יעל שולמן"|"אלכתאב 99, כסלון, 0580768"
"בן כהן"|"נשר 93, עמיר, 3847856"
"דורון רובין"|"פטדה 37, אודם, 1446313"
"איה לוי"|"סלעית 95, בית ברל, 1994336"
"אייל שלו"|"שמעון המכבי 88, הסוללים, 4297409"
"טליה אהרן"|"גרינבוים 29, עין אל-אסד, 7446083"
"איתמר אלוש"|"תאנה 96, שומרה, 6510131"
"יונתן הררי"|"חרת א בוס 68, עספיא, 4683858"
"ליבי טוויל"|"ניר עם 05, גונן, 4714292"
"מאי אגבאריה"|"רח 71 05, אביחיל, 5420668"
"אמל דביר"|"ש סלע חדש 04, שדה אליהו, 9320867"
"שקד ביטון"|"רקפת 64, גבעת כ""ח, 4154629"
"שקד רז"|"פרומקין גד 37, שיטים, 5677607"
"אבישג שרעבי"|"נאות אשכול 59, גבעת ח""ן, 5660020"
"שולמית שמש-אטיאס"|"ברגמן אליעזר 76, רימונים, 0284195"
"לין סעיד"|"אפעל 55, גרופית, 9790878"
"איתמר גבאי"|"י""א באדר 42, עין אל-אסד, 6358937"
"רון עמאש"|"הורקנוס יוחנן 12, בית הלוי, 1326231"
"אדל תום זהבי"|"רבקה אמנו 80, מגן, 4659417"
"נדב אורן"|"לוטם 79, בית חנן, 9312252"
"אברהם שני"|"חושן 25, ברקת, 0874043"
"מיכאל ח'טיב"|"הולצברג שמחה 04, גרופית, 2173276"
"נעמי שיבלי"|"הזמיר 77, פוריידיס, 1057558"
"יערה ברגר"|"מבצע הראל 05, כסלון, 2047168"
"אדם אזולאי"|"דרומית-מג'ד אלכרום 54, העוגן, 0226459"
"ענבר מלכה"|"מבוא חמה 64, אביבים, 3562217"
"איתמר חמוד"|"דרך שועפאט סמ4 31, מסד, 5527915"
"ליה חביב"|"שכ עראק אלשבאב 57, אביבים, 7625230"
"ליאור גולן"|"סמ עינב 03, ברקאי, 3197107"
"איילה שור"|"הר עצמון 36, עין צורים, 3228766"
"גבע נועם סלמאן"|"סביונים מכבים רעות 48, גן שורק, 4100459"
"עמיחי בשיר"|"נאות אשכול 64, אביחיל, 0821513"
"שיר קאופמן"|"דרך שועפאט סמ4 97, עמוקה, 8227851"
"עלמה אבו סאלח"|"אלסריס 22, ברקאי, 9153223"
"עומר כץ"|"קדמת צבי 44, מירון, 0410410"
"מעיין קאופמן"|"העבודה 19, הסוללים, 1755042"
"איתמר חן"|"מרווה 67, רגבה, 3610866"
"ליאור אברהם"|"מירון 90, גינתון, 2572170"
"אברהם מילר"|"ההגנה 37, ריינה, 1201639"
"שקד דוד-ברכה"|"אזור תעשיה הר יונה 58, שדי תרומות, 3786369"
"עוז שוורץ"|"ש פועלים 76, מזכרת בתיה, 8287418"
"אורן אסדי"|"המאה ואחד 23, עצמון שגב, 0718687"
"רונה שלום"|"הברוש 67, בית חנן, 2183438"
"אורון להב"|"ענזה 64, שתולים, 6950350"
"אימאן קפלן"|"לכיש 46, בית חנניה, 7310473"
"גוד שדה"|"גינוסר 67, אביחיל, 0991395"
"איתמר כהן"|"קבועה )שבט( 64, תלמי אליהו, 6959856"
"מוחמד אזברגה"|"ויקטור ויוליוס 49, רגבה, 0532553"
"חוסין סלומון"|"אל-חראיק סמ3 21, עמקה, 5529959"
"מתניה כהן"|"שד ח""ן 46, עין צורים, 4271805"
"אביגיל קדוש"|"אזור בית הקברות 01, ברקת, 2265677"
"נועה גרבאן"|"שקד 92, בית הלוי, 4328288"
"מוחמד אלקיים"|"הפרדס 94, גנות הדר, 8576924"
"איתי מרגלית"|"רח 7069 22, שיטים, 7378337"
"אופיר כהן"|"שד גת 93, עין השופט, 4931652"
"עבדאללה פז"|"אביב 88, עמוקה, 9390299"
"איתמר כץ"|"נשר 94, עלי זהב, 4976127"
"מוחמד רחמים"|"אל זיתון סמ2 57, מסד, 0593423"
"דניאל מאיר"|"אל-חראיק סמ3 02, עספיא, 4312842"
