"Aada Viitala"|"Fallpakankatu 8
84238 Lohja" 
"Kristiina Lankinen"|"Lemunbulevardi 9
73789 Jyväskylä"
"Ari Sipilä"|"Nervanderinkuja 0
00946 Pello"
"Heikki Koistinen"|"Rapakivenbulevardi 447
96498 Nurmes"
"Erkki Kinnunen"|"Maanmittarinkuja 6
38537 Tammela"
"Inkeri Tuominen"|"Uunisepäntie 55
57764 Joutsa"
"Olavi Tikkanen-Vainio"|"Gustav Pauligin polku 299
99116 Kauniainen"
"Henry Koski"|"Iltatähdenpolku 8
67563 Kotka"
"Pirkko Hartikainen"|"Maneesikatu 473
20746 Mänttä-Vilppula"
"Juhani Keinänen"|"Porekuja 44
79914 Savitaipale"
"Antero Välimäki"|"Veropellonkatu 388
60680 Tyrnävä"
"Olavi Raatikainen"|"Yläkaskenkatu 601
54944 Tuusula"
"Ari Ylönen"|"Uunisepänkatu 831
36853 Nivala"
"Iida Viitanen"|"Eerik Pyhän katu 721
48084 Halsua"
"Elina Aho"|"Capellan puistokuja 42
37193 Enontekiö"
"Hannele Aaltonen-Kokkonen"|"Ostostie 5
05311 Pedersören kunta"
"Airi Järvenpää-Ahola"|"Orisaarentie 642
40170 Siuntio"
"Samuli Kukkonen"|"Maatullinbulevardi 3
59725 Tervo"
"Raija Salmela"|"Vellikellonkatu 710
57583 Reisjärvi"
"Pirjo Kolehmainen"|"Pohjolankuja 35
16402 Hämeenkyrö"
"Leila Miettinen"|"Agronominkatu 68
23993 Kihniö"
"Johanna Paavola"|"Dagmarintie 036
30309 Kitee"
"Arja Häkkinen"|"Veräjämäenbulevardi 113
18971 Salla"
"Johanna Kumpulainen"|"Ylipalonbulevardi 461
85160 Pukkila"
"Juhani Hiltunen-Honkanen"|"Runonlaulajantie 975
45362 Äänekoski"
"Vilma Seppänen"|"Eduskuntakatu 25
71801 Taivassalo"
"Anneli Härkönen"|"Maneesitie 42
91773 Kaarina"
"Marianne Manninen-Nyman"|"Eerik Pyhän bulevardi 669
37273 Karvia"
"Alina Laaksonen"|"Nervanderinbulevardi 79
43408 Pieksämäki"
"Anita Anttonen"|"Lentokapteenin bulevardi 7
63381 Kotka"
"Miia Valkonen"|"Rukkilankatu 31
01204 Saarijärvi"
"Kari Virtanen"|"Wallininbulevardi 3
53053 Akaa"
"Arja Jokinen"|"Puusepäntie 55
37649 Vimpeli"
"Juhani Lankinen"|"Yllästunturinkatu 93
74761 Utajärvi"
"Antti Ahola"|"Urkurintie 33
58954 Kristiinankaupunki"
"Helena Salmela"|"Mannerheiminkuja 3
98137 Laihia"
"Aino Oikarinen"|"Ylätuvanbulevardi 067
98387 Pyhäjärvi"
"Tarja Kärki"|"Laakavuorenbulevardi 5
92807 Seinäjoki"
"Marika Kainulainen"|"Wäinö Aaltosen katu 291
32441 Järvenpää"
"Tapio Manninen"|"Uurtajanbulevardi 020
51692 Kuortane"
"Maria Ruotsalainen"|"Maakatu 083
25026 Akaa"
"Kalevi Korhonen"|"Gustav Pauligin bulevardi 9
80865 Säkylä"
"Arja Lindberg"|"Agroksenbulevardi 61
96929 Kemi"
"Eila Kanerva"|"Edelfeltinbulevardi 61
92790 Forssa"
"Pauli Voutilainen-Savolainen"|"Werner Wirénin kuja 78
51912 Isojoki"
"Sirkka Konttinen"|"Gneissikuja 548
22049 Mustasaari"
"Sari Nieminen"|"Degermosankatu 968
43050 Rovaniemi"
"Johanna Kemppainen"|"Iestie 37
21607 Seinäjoki"
"Jaakko Turpeinen"|"Ida Ekmanin katu 678
22500 Lempäälä"
"Matilda Koivisto"|"Eerik Pyhän katu 44
81282 Outokumpu"
"Eija Lehto-Jaatinen"|"Jänkäkuja 053
81270 Kontiolahti"
"Kirsi Salomaa"|"Haakoninlahdentie 167
84299 Saarijärvi"
"Arja Savolainen"|"Puusepäntie 04
32801 Taivalkoski"
"Elisa Kyllönen"|"Tyynylaavankuja 049
10463 Kokkola"
"Olavi Juntunen"|"Fallpakankatu 4
28956 Uurainen"
"Jenna Koivisto-Kärkkäinen"|"Tyynelänpolku 08
58240 Maarianhamina"
"Henri Heinonen"|"Fagottikatu 31
42314 Salo"
"Petteri Kauppinen"|"Sahaajantie 29
59762 Ilmajoki"
"Mari Hänninen"|"Puuskakuja 3
00459 Kristiinankaupunki"
"Antero Ryynänen"|"Ormusbulevardi 777
33590 Hammarland"
"Joonas Kujala"|"Osmonpolku 9
09432 Juva"
"Veera Lehtonen"|"Eduskuntatie 54
63133 Oripää"
"Armas Ahonen"|"Runonlaulajankatu 8
35217 Pello"
"Johannes Peltonen"|"Tuulilasinkatu 4
87009 Kauhajoki"
"Liisa Laakso"|"Edelfeltinkuja 562
17789 Kotka"
"Johan Pasanen"|"Katajaharjuntie 654
40032 Hartola"
"Sirkka Nurminen"|"Gustav Pauligin katu 78
60658 Evijärvi"
"Ilmari Pelkonen"|"Yläkaskenpolku 4
13032 Jämsä"
"Verneri Pöllänen-Leinonen"|"Haaksibulevardi 609
01783 Laukaa"
"Tapio Laakkonen"|"Ehrensvärdintie 488
83842 Raisio"
"Elisabet Malinen"|"Versokuja 495
48554 Pello"
"Ensio Kauppinen"|"Niemitie 92
28257 Keuruu"
"Armas Häkkinen"|"Iltatähdenkuja 30
94299 Sastamala"
"Mikko Partanen"|"Ida Ekmanin polku 50
70680 Joutsa"
"Maria Hiltunen"|"Kuhankeittäjänkatu 1
81224 Ruokolahti"
"Johanna Lehtonen"|"Orapihlajakatu 9
78444 Kirkkonummi"
"Matias Salminen"|"Yrjö-Koskisen kuja 024
45941 Lempäälä"
"Jari Laine"|"Haahkatie 802
57551 Ruokolahti"
"Kalevi Pajunen"|"Ilvesbulevardi 019
16049 Askola"
"Olavi Koskinen-Laine"|"Laurinniityntie 69
88538 Sauvo"
"Jenna Hämäläinen"|"Salakkabulevardi 9
53008 Rääkkylä"
"Toni Häkkinen"|"Ylipalontie 999
61639 Kuusamo"
"Armas Kovanen"|"Dosentinkatu 21
15679 Vesilahti"
"Esteri Tamminen"|"Jämsänpolku 397
09712 Pornainen"
"Johanna Niemelä"|"Haaksikuja 4
27585 Karkkila"
"Kalervo Mäenpää-Salo"|"Fastbölenbulevardi 82
51530 Lieto"
"Anja Laaksonen"|"Jätkäsaarenpolku 081
93157 Alavus"
"Maria Leppänen-Uotila"|"Yrttimaantie 62
02639 Kaskinen"
"Jouni Puustinen"|"Gunillankatu 8
61029 Masku"
"Maria Suominen"|"Rapakivenkuja 9
92140 Salla"
"Risto Haverinen"|"Niitynperänkatu 692
97284 Sipoo"
"Päivi Anttila"|"Böstaksenpolku 567
03449 Multia"
"Armas Kuusela-Vuori"|"Bengalinkuja 4
32084 Isojoki"
"Maija Ahonen"|"Franzéninkatu 8
33325 Kuopio"
"Jouni Mäkelä"|"Eerik Pyhän katu 6
94240 Kannonkoski"
"Viljami Heino"|"Pyörökivenkatu 9
08857 Posio"
"Lauri Kuusisto"|"Dagmarinpolku 153
90175 Vieremä"
"Katariina Sipilä"|"Salavakatu 04
39622 Merijärvi"
"Elina Oksanen"|"Usvakatu 007
98072 Kokkola"
"Lauri Koivisto"|"Bysantinpolku 911
48686 Sodankylä"
"Elias Mustonen-Laakso"|"Orisaarenkuja 3
48107 Helsinki"
"Niina Jokinen"|"Fastbölentie 3
41118 Nivala"
"Armas Partanen"|"Eerik Pyhän katu 98
01802 Kaustinen"
"Suvi Lindström"|"Taimistonkuja 6
53104 Ikaalinen"
"Elias Karvonen"|"Capellan puistobulevardi 2
56239 Pudasjärvi"
"Kaarina Salonen"|"Osuuskunnankuja 91
38390 Hyvinkää"
"Kristiina Lahtinen-Laukkanen"|"Yhteiskoulunbulevardi 490
78578 Tyrnävä"
"Aki Mäkinen"|"Neulapadonpolku 395
31066 Ilmajoki"
"Hannele Salmi"|"Immolankatu 6
75878 Kemiönsaari"
"Mikael Nissinen"|"Saanatunturintie 06
34625 Siuntio"
"Aleksi Pasanen-Hyvönen"|"Ylipalonkuja 72
15252 Ikaalinen"
"Ella Räty-Vuorinen"|"Vaakalinnunbulevardi 85
58857 Hartola"
"Artturi Immonen"|"Ylipalonbulevardi 5
42650 Karvia"
"Reijo Lehtinen"|"Chydeniuksenbulevardi 8
07602 Kontiolahti"
"Kalevi Syrjälä-Heikkinen"|"Tuulilasinkuja 4
79766 Lappajärvi"
"Anna-Liisa Toivonen"|"Porkkalankatu 2
44006 Kumlinge"
"Tapio Luukkonen"|"Ylä-Fallin katu 3
52617 Heinola"
"Eino Korhonen-Blomqvist"|"Dagmarinkuja 961
54054 Kaarina"
"Tapani Kuusisto-Liimatainen"|"Böstaksenpolku 68
46415 Juupajoki"
"Martti Mäkelä-Jokinen"|"Malminkartanonbulevardi 614
53667 Kokkola"
"Helena Laaksonen-Ronkainen"|"Uussillanpolku 587
27294 Toholampi"
"Pentti Hänninen"|"Chydeniuksentie 135
77040 Nakkila"
"Artturi Oksanen-Haavisto"|"Osuuskunnanbulevardi 0
31843 Rautalampi"
"Katriina Perälä"|"Ilomäentie 21
67924 Masku"
"Helena Salmela"|"Osuuskunnantie 378
64384 Merikarvia"
"Olavi Auvinen"|"Kolsinkuja 1
44658 Multia"
"Arto Ojala"|"Katajaharjunbulevardi 66
06662 Pelkosenniemi"
"Helena Viitala"|"Orvokkipolku 50
08851 Ruokolahti"
"Matti Immonen"|"Ilotulitusbulevardi 0
78658 Vieremä"
"Kristiina Koivula"|"Niitynperäntie 609
29183 Hattula"
"Johannes Ahonen"|"Lukkarimäenpolku 8
55607 Akaa"
"Paula Niemi"|"Louhikkobulevardi 014
95681 Perho"
"Arvo Leinonen"|"Adolf Lindforsin katu 214
45198 Parkano"
"Juho Uotila"|"Agnetantie 34
46767 Lapinjärvi"
"Antero Rissanen"|"Oravakuja 9
04440 Ristijärvi"
"Elina Huotari"|"Fastbölenkuja 61
23744 Humppila"
"Yrjö Hämäläinen"|"Urkurinkatu 752
66883 Forssa"
"Tapio Oksanen"|"Sadetie 4
89070 Pälkäne"
"Jere Kokkonen"|"Saanatunturinbulevardi 4
19402 Kuhmoinen"
"Anneli Laakkonen"|"Harbonkatu 571
67966 Kristiinankaupunki"
"Elina Keränen-Mattila"|"Zaidanpolku 76
71773 Kalajoki"
"Erika Hakkarainen"|"Poikasaartentie 09
06437 Aura"
"Atte Koski"|"Salavapolku 4
99687 Vehmaa"
"Arto Mustonen"|"Ylänköbulevardi 425
94787 Eura"
"Kaisa Suominen"|"Uussillantie 160
62386 Finström"
"Pekka Markkanen"|"Iltaruskonbulevardi 86
42296 Konnevesi"
"Jari Heikkinen"|"Betonitie 93
85150 Muhos"
"Tapani Niskanen"|"Tuohikoivunbulevardi 39
08648 Finström"
"Leevi Virtanen"|"Gyldéninbulevardi 795
99548 Brändö"
"Sara Salo-Sillanpää"|"Betonikuja 9
41347 Rautavaara"
"Laura Tanskanen"|"Saanatunturinpolku 761
50208 Sotkamo"
"Karl Johansson-Nykänen"|"Salamapolku 0
34572 Tampere"
"Aulikki Huttunen"|"Katajaharjunbulevardi 354
90137 Siikainen"
"Helena Varis"|"Laakavuorenkuja 708
06232 Jämijärvi"
"Leila Berg"|"Santerlanpolku 129
57091 Riihimäki"
"Esko Oksanen"|"Tyynylaavankatu 287
06644 Kontiolahti"
"Julia Holmström"|"Bertel Jungin katu 730
03133 Loppi"
"Jaakko Karppinen"|"Nils Westermarckin tie 1
24093 Luoto"
"Oskari Salmela-Immonen"|"Mannerheiminkatu 3
17802 Eurajoki"
"Päivi Tuovinen"|"Purjetuulenbulevardi 2
33310 Lapinjärvi"
"Tapani Mäkinen"|"Jämsänkatu 66
98791 Kontiolahti"
"Outi Puustinen"|"Purjetuulenkatu 5
69311 Ylitornio"
"Aulikki Piirainen"|"Ylipalonkatu 60
56925 Urjala"
"Tuija Pulkkinen"|"Bertel Jungin polku 4
27072 Lemland"
"Tarja Mäkinen-Salmela"|"Porebulevardi 6
55445 Vesanto"
"Siiri Räisänen"|"Puuskatie 6
62299 Ikaalinen"
"Laura Seppä"|"Dunckerinkuja 99
53854 Sodankylä"
"Pia Anttila"|"Döbelninpolku 1
61024 Kokkola"
"Sinikka Kurki"|"Kilpolankatu 6
49913 Kaustinen"
"Antero Tikka"|"Uunilinnunkuja 30
44552 Lemi"
"Maarit Tiainen-Auvinen"|"Maasalonkuja 1
42549 Viitasaari"
"Elmeri Niemelä"|"Urpupolku 7
44593 Multia"
"Aulikki Viitanen"|"Haravatie 5
83204 Maalahti"
"Aleksandra Järvinen"|"Haaksipolku 4
93730 Liminka"
"Matti Kujala"|"Kukkaniitynkatu 0
02214 Padasjoki"
"Maarit Kosonen"|"Ylänkökuja 0
72304 Pyhäjoki"
"Kaarina Henriksson"|"Niittylänkatu 9
44527 Petäjävesi"
"Inkeri Nieminen"|"Gyldénintie 718
92812 Siikalatva"
"Susanna Peltola"|"Fallkullankatu 1
01203 Petäjävesi"
"Heikki Kauppila-Niskanen"|"Louhikkotie 47
75942 Virolahti"
"Maria Koistinen-Mäkinen"|"Yrjö-Koskisen bulevardi 92
82274 Lapinjärvi"
"Linnea Lehto"|"Franzénintie 430
52106 Mänttä-Vilppula"
"Aulis Jääskeläinen"|"Vellikellonkatu 7
54302 Humppila"
"Irmeli Leppänen"|"Jätkäsaarentie 8
62720 Iisalmi"
"Antero Väänänen"|"Wallinintie 050
13339 Pori"
"Petteri Holopainen"|"Poikasaartenpolku 2
27845 Tyrnävä"
"Juuso Heikkilä"|"Kimmonkuja 76
30156 Maarianhamina"
"Kalevi Kämäräinen-Niemi"|"Nervanderinkuja 972
25084 Inkoo"
"Anne Hietanen-Korhonen"|"Zaidanbulevardi 34
84552 Pertunmaa"
"Kaarina Tanskanen"|"Nikonkatu 565
98424 Orimattila"
"Juhani Jokinen"|"Fastbölenpolku 79
75184 Honkajoki"
"Elina Karppinen"|"Jämsänbulevardi 6
28684 Kihniö"
"Aune Mäkinen"|"Werner Wirénin katu 688
98592 Sievi"
"Samuli Jansson-Kinnunen"|"Wallininkatu 623
86621 Hollola"
"Anne Heikkilä"|"Puroniitynkuja 63
34778 Lapinlahti"
"Leila Rintala"|"Gneissipolku 5
81695 Lieksa"
"Pentti Salo-Puhakka"|"Granfeltinkuja 788
41154 Pukkila"
"Johanna Parviainen"|"Rukoushuoneenbulevardi 944
33596 Hankasalmi"
"Juuso Sainio"|"Kimalaisbulevardi 95
26470 Honkajoki"
"Matti Lehtonen"|"Maanmittarintie 692
32514 Lappajärvi"
"Sirpa Lahtinen"|"Kolupolku 9
58707 Tornio"
"Irmeli Kuisma"|"Salakkatie 577
22035 Enonkoski"
"Aurora Alatalo"|"Fagottikuja 39
47612 Mänttä-Vilppula"
"Seija Rissanen"|"Freesenbulevardi 768
05535 Ikaalinen"
"Mika Jokinen"|"Kolsinpolku 5
86819 Hanko"
"Tero Hämäläinen"|"Harakkamyllynbulevardi 68
51978 Pirkkala"
"Martta Koskinen"|"Porekatu 0
61478 Sodankylä"
"Pekka Lehtinen"|"Purjetuulentie 5
42020 Nousiainen"
"Hillevi Karttunen"|"Fredrikinkuja 09
03681 Kauhava"
"Liisa Manninen"|"Uskalikonbulevardi 9
58910 Kökar"
"Päivikki Johansson-Toivonen"|"Runeberginpolku 8
67575 Keminmaa"
"Antti Mustonen"|"Saanatunturinpolku 80
65646 Siikainen"
"Aurora Järvinen"|"Edelfeltinbulevardi 78
08111 Kotka"
"Tuula Rantanen"|"Tahtitie 9
46298 Kaustinen"
"Tuulikki Voutilainen"|"Ilmattarenpolku 70
27921 Janakkala"
"Henrik Matikainen"|"Runokylänkatu 970
00001 Virrat"
"Tellervo Lassila-Harju"|"Kolvitie 9
38515 Keuruu"
"Jani Kovanen"|"Pohjolantie 177
26015 Kemiönsaari"
"Helena Lindgren-Koskinen"|"Cygnaeuksenkuja 0
32469 Helsinki"
"Kustaa Palomäki"|"Betonipolku 15
95189 Pieksämäki"
"Johanna Niemelä"|"Verkkokatu 8
36334 Hyrynsalmi"
"Pauliina Hytönen"|"Kuhankeittäjänbulevardi 79
32845 Hirvensalmi"
"Aurora Kinnunen"|"Kolupolku 98
67031 Tampere"
"Harri Virtanen"|"Versokatu 7
61454 Ruovesi"
"Tuulikki Riikonen"|"Yrjö-Koskisen bulevardi 92
79391 Kemi"
"Leo Kivistö"|"Lautamiehenkuja 7
47238 Mänttä-Vilppula"
"Viljami Kari-Lepistö"|"Osuuskunnantie 196
55897 Karkkila"
"Anniina Saarinen-Ketola"|"Gotlannintie 145
64335 Hollola"
"Anneli Härkönen"|"Damaskuksenkuja 8
24915 Kemijärvi"
"Antero Saari-Nieminen"|"Porinpolku 361
15670 Pirkkala"
"Arja Haapaniemi"|"Bertel Jungin tie 7
93854 Eura"
"Tarja Vuorinen"|"Jättiläisenpolku 244
49950 Tyrnävä"
"Aurora Koivisto"|"Neonkuja 1
03195 Ypäjä"
"Lea Huuskonen"|"Haaksibulevardi 0
92942 Viitasaari"
"Orvokki Kinnunen-Salonen"|"Yrjöntie 253
90687 Pello"
"Hannu Rissanen"|"Osmontie 9
43970 Sauvo"
"Patrik Ryynänen"|"Jyväbulevardi 3
32860 Kempele"
"Sakari Juvonen"|"Taimistonkuja 6
62223 Hamina"
"Maria Heino-Mäkinen"|"Kimalaiskatu 1
68007 Maarianhamina"
"Eino Seppänen"|"Yrttimaanpolku 862
15881 Pedersören kunta"
"Margareta Jauhiainen"|"Tuulilasintie 282
58539 Sonkajärvi"
"Anna Konttinen"|"Usvapolku 0
09069 Ii"
"Aurora Koivisto"|"Neulapadontie 7
46997 Lapua"
"Kalevi Rossi"|"Aidasmäenbulevardi 9
53124 Mäntyharju"
"Otto Jaatinen"|"Bertha Pauligin polku 680
71429 Vehmaa"
"Marita Uotila-Kämäräinen"|"Runeberginpolku 4
06331 Vieremä"
"Emilia Tuominen"|"Bengalintie 0
46302 Masku"
"Sonja Tähtinen-Pennanen"|"Ilkankuja 73
61515 Orivesi"
"Lea Rantanen"|"Haagan pappilankuja 24
10569 Heinävesi"
"Aurora Sjöblom-Suominen"|"Benktanbulevardi 69
89157 Ruovesi"
"Vilma Nieminen"|"Bertel Jungin tie 50
49815 Muhos"
"Eeva Ahonen"|"Urkurintie 0
95758 Hirvensalmi"
"Aurora Sirén"|"Vesakkotie 52
99297 Kuusamo"
"Teemu Lassila"|"Kukkaniitynbulevardi 1
22439 Kankaanpää"
"Vesa Hartikainen-Juntunen"|"Versokuja 22
54703 Joensuu"
"Linnea Suominen"|"Runonlaulajanpolku 426
00883 Jämsä"
"Mika Sainio"|"Mannerheiminpolku 279
71520 Ikaalinen"
"Minna Malinen"|"Gadolininpolku 420
46423 Salo"
"Maria Rantanen"|"Kuhankeittäjänkuja 646
42839 Föglö"
"Simo Saastamoinen"|"Lemunkatu 8
77744 Muonio"
"Johannes Virtanen-Lassila"|"Kuhankeittäjänbulevardi 6
77358 Utajärvi"
"Reijo Mäki"|"Ilmattarenkuja 156
66300 Äänekoski"
"Benjamin Salonen"|"Jämsänkuja 859
79274 Toholampi"
"Heikki Lehtonen"|"Laajasalonpolku 411
07131 Kuortane"
"Maija Saarinen-Kanerva"|"Uskalikontie 228
55480 Pietarsaari"
"Juhani Oksanen"|"Eduskuntapolku 62
40136 Keitele"
"Jasmin Saarela"|"Harbontie 64
76695 Vehmaa"
"Leena Lankinen-Voutilainen"|"Graniittipolku 237
58095 Geta"
"Aila Koivisto"|"Dagmarintie 33
21554 Kuhmoinen"
"Tuuli Kumpulainen"|"Verkkotie 86
74192 Masku"
"Liisa Nieminen"|"Uurtajantie 928
70597 Pertunmaa"
"Jorma Andersson"|"Hannukselantie 5
44469 Posio"
"Birgitta Mikkola"|"Runoilijanbulevardi 0
05756 Haapajärvi"
"Jouko Saarinen"|"Maapadonkuja 80
46298 Pöytyä"
"Maria Takala"|"Bengalinkuja 36
35072 Sottunga"
"Hannele Niemelä"|"Gadolininkuja 536
78243 Perho"
"Pia Martikainen"|"Vaakalinnunkuja 06
63813 Joroinen"
"Olavi Tuominen-Ikonen"|"Kimmontie 942
32115 Tervola"
"Irja Jokinen"|"Rukoushuoneenkuja 056
94015 Muurame"
"Suvi Koivisto"|"Winqvistintie 88
03112 Mäntyharju"
"Oskari Kettunen"|"Fallpakankatu 723
35426 Kannonkoski"
"Birgitta Niskanen"|"Maanmittarintie 5
00868 Kaskinen"
"Birgitta Niemi"|"Lentokapteenin kuja 692
26379 Miehikkälä"
"Eetu Turunen-Määttä"|"Mannerheiminkatu 37
91985 Siuntio"
"Risto Mikkola"|"Bertel Jungin bulevardi 213
25457 Siuntio"
"Julia Nieminen"|"Nordenskiöldintie 8
29735 Seinäjoki"
"Helmi Haapaniemi"|"Vellikellonpolku 1
15680 Sievi"
"Johannes Silvennoinen"|"Disanpolku 175
49915 Riihimäki"
"Maria Mäkinen"|"Berganpolku 239
03824 Tammela"
"Erkki Lindberg"|"Veräjämäenpolku 1
65999 Laihia"
"Juhani Holm-Luoma"|"Vellikellonkuja 289
23529 Sodankylä"
"Henri Tuovinen"|"Sahaajankatu 30
90207 Toholampi"
"Birgitta Ojala-Virtanen"|"Tuulilasintie 3
45121 Kiuruvesi"
"Teuvo Lampinen"|"Jätkäsaarentie 38
10519 Kemi"
"Katariina Hiltunen-Salo"|"Iltatähdenkatu 203
78045 Kemi"
"Hannele Eronen"|"Uskalikonkatu 5
77450 Rautalampi"
"Marjatta Viitala"|"Runonlaulajankatu 05
17102 Vöyri"
"Rauno Moilanen-Laine"|"Saramäentie 9
77296 Valkeakoski"
"Lilja Ojala"|"Laurinniitynpolku 858
99785 Kumlinge"
"Minna Järvenpää"|"Runonlaulajankatu 0
30674 Maarianhamina"
"Marianne Mäkinen"|"Wallinintie 8
45416 Pyhäjoki"
"Sini Vuorinen"|"Harbonpolku 03
09755 Varkaus"
"Birgitta Salmi-Manninen"|"Fallkullankuja 52
05787 Luoto"
"Kalevi Rautio"|"Taavinpolku 06
74599 Sodankylä"
"Juhani Toivonen-Penttilä"|"Salavakatu 96
44607 Forssa"
"Heikki Salminen"|"Maapadonbulevardi 8
97678 Kouvola"
"Oskari Nuutinen"|"Maatullinkuja 122
43554 Saarijärvi"
"Rauno Lindberg"|"Nelikkotie 5
78155 Pukkila"
"Irmeli Väisänen"|"Yrttimaanpolku 012
70894 Kangasniemi"
"Kaarina Savolainen-Laiho"|"Tuomarinkylänkuja 615
08654 Ylöjärvi"
"Juhani Laitinen-Rantanen"|"Uudenkaupungintie 096
08989 Vantaa"
"Raija Korhonen"|"Elimäenpolku 774
58632 Taivalkoski"
"Birgitta Seppä"|"Veropellonkuja 07
71903 Luoto"
"Verneri Malinen"|"Uudenkaupungintie 942
02562 Rautjärvi"
"Juhani Rautiainen"|"Purjetuulenpolku 473
79588 Janakkala"
"Laura Ruotsalainen"|"Elontie 737
04423 Tervo"
"Elina Tuomi"|"Gunnel Nymanin polku 9
85478 Uusikaupunki"
"Marja Aaltonen"|"Yläkaskenkuja 578
63676 Salla"
"Johannes Laakso"|"Bysantinbulevardi 73
37274 Vihti"
"Viljami Vuori"|"Tyynelänbulevardi 550
44598 Ruovesi"
"Heikki Ahola"|"Osmonkuja 9
57770 Juva"
"Tuuli Marttila"|"Ieskuja 1
65424 Eckerö"
"Carita Partanen"|"Runeberginkatu 83
83934 Petäjävesi"
"Annikki Aaltonen"|"Wäinö Aaltosen polku 68
91862 Rautjärvi"
"Juhani Sihvonen"|"Salamatie 00
10351 Hattula"
"Hannu Leino"|"Urkurinbulevardi 5
64834 Myrskylä"
"Satu Huhtala"|"Laakavuorenkatu 3
00930 Koski Tl"
"Kari Pulkkinen"|"Franzéninbulevardi 316
83186 Viitasaari"
"Elina Jäntti"|"Runonlaulajankuja 37
40709 Parikkala"
"Tuulia Moilanen"|"Dunckerinkuja 8
16868 Lumparland"
"Antero Leskinen"|"Dunckerinbulevardi 35
30921 Siuntio"
"Laura Lehtonen-Niemi"|"Vesalantie 628
65048 Honkajoki"
"Carita Ronkainen"|"Tuomarinkylänkuja 3
49982 Raisio"
"Valtteri Lehtinen"|"Agricolankatu 750
92914 Keminmaa"
"Aino Nevala-Heinonen"|"Rantavarastontie 2
70685 Toholampi"
"Heikki Tolvanen"|"Rukoushuoneenkuja 896
09875 Pyhäjärvi"
"Sinikka Seppänen"|"Biologinkuja 02
01401 Saltvik"
"Timo Lehtonen"|"Puroniitynkuja 6
03215 Kannus"
"Tuulikki Nousiainen"|"Böstaksenkatu 872
42518 Muurame"
"Ari Salo"|"Wallininbulevardi 11
79327 Tammela"
"Veli Partanen"|"Orapihlajatie 204
26499 Karkkila"
"Raija Nurminen"|"Iltatähdenkatu 939
05912 Veteli"
"Carita Räsänen"|"Gotlanninkatu 433
86524 Hämeenkyrö"
"Minna Pohjola"|"Dosentinbulevardi 91
86530 Lapinlahti"
"Pirjo Tuomi-Lehtinen"|"Kilpolanpolku 503
87445 Liperi"
"Aune Nyberg"|"Orisaarenkatu 532
50431 Liminka"
"Sanni Makkonen"|"Dunckerinpolku 89
17658 Kökar"
"Mikael Tuominen"|"Aidasmäenpolku 0
75764 Lemland"
"Helena Heinonen"|"Kuhankeittäjänkatu 0
81798 Kaskinen"
"Ari Peltonen"|"Gustav Pauligin tie 45
24349 Ilmajoki"
"Jan Kettunen"|"Iesbulevardi 989
49720 Järvenpää"
"Kristian Koivula"|"Haapakatu 775
80270 Kristiinankaupunki"
"Christian Autio"|"Niemikuja 4
27366 Suomussalmi"
"Saara Salminen"|"Wecksellinbulevardi 12
47071 Suomussalmi"
"Aino Räsänen"|"Lemunbulevardi 7
17430 Ranua"
"Susanna Turunen"|"Nils Westermarckin katu 78
16987 Keitele"
"Tapani Huhtala"|"Nervanderintie 64
39616 Keuruu"
"Pauli Niemelä"|"Porebulevardi 33
92709 Oulainen"
"Tapani Toivonen-Lehtonen"|"Iltatähdentie 39
81519 Somero"
"Irene Halonen-Laakso"|"Yrjönbulevardi 7
81641 Alajärvi"
"Olavi Eklund"|"Fallkullankuja 279
21489 Lappajärvi"
"Helena Rajala"|"Rukkilanpolku 905
72042 Salo"
"Christian Lindroos"|"Kuhankeittäjänkuja 897
55040 Eurajoki"
"Lassi Autio"|"Kuhankeittäjänpolku 1
41711 Kinnula"
"Sinikka Mäkelä"|"Osuuskunnanpolku 75
75460 Sotkamo"
"Ari Parviainen"|"Mamsellimyllynkuja 7
54210 Varkaus"
"Jaakko Luukkonen"|"Runonlaulajanbulevardi 918
99360 Janakkala"
"Kristiina Peltola"|"Wecksellinkuja 175
25876 Ähtäri"
"Juulia Räsänen"|"Winqvistintie 919
75940 Oulu"
"Risto Hiltunen-Mäntylä"|"Willebrandinkatu 109
60649 Mänttä-Vilppula"
"Henri Kukkonen-Kulmala"|"Yrttimaankuja 908
92316 Alavus"
"Pekka Lindström"|"Birger Kaipiaisen bulevardi 9
86848 Kuhmoinen"
"Christina Aaltonen"|"Gunnel Nymanin kuja 118
10134 Tammela"
"Olavi Lahti"|"Winqvistintie 7
35588 Leppävirta"
"Maria Tähtinen"|"Jäkäläkatu 13
83978 Haapavesi"
"Maria Henriksson"|"Ormusbulevardi 0
52794 Kerava"
"Ilmari Lindfors-Tarvainen"|"Döbelninpolku 544
12384 Merijärvi"
"Valtteri Saarinen"|"Elisabeth Kochin polku 111
17543 Keitele"
"Hannele Nieminen"|"Sahaajantie 656
66432 Kiuruvesi"
"Minna Ahokas"|"Kukkaniitynkuja 30
02908 Kaarina"
"Anneli Niskanen"|"Döbelninbulevardi 9
13656 Kokkola"
"Aada Kilpeläinen-Eskelinen"|"Kolvipolku 1
67563 Saltvik"
"Daniel Haapala"|"Haagan pappilantie 807
69746 Mikkeli"
"Irene Ruotsalainen"|"Agroksenkuja 0
68740 Nurmijärvi"
