"Aapo Niemi","Döbelninpolku 9
54183 Närpiö" 
"Anu Räisänen-Pirinen","Ilomäentie 663
85302 Kauhava"
"Ella Tikkanen","Kilpolankuja 09
47073 Taipalsaari"
"Petteri Repo","Nordenskiöldinkatu 62
08993 Orivesi"
"Reino Salonen","Saramäenbulevardi 579
70450 Lappeenranta"
"Leila Matikainen","Ilkantie 6
47256 Sotkamo"
"Minna Ryynänen","Louhikkopolku 50
58205 Lappajärvi"
"Henna Aho","Sadekuja 749
92563 Kannus"
"Marianne Saastamoinen","Mannerheiminpolku 93
63650 Keuruu"
"Johanna Niskanen-Lahtinen","Dunckerintie 2
44698 Huittinen"
"Ilmari Pääkkönen","Sadekuja 28
51690 Uusikaarlepyy"
"Henrik Koskinen-Malinen","Kilpolankuja 084
85417 Hailuoto"
"Merja Tanskanen","Veräjämäentie 5
44026 Pielavesi"
"Alexandra Niskanen","Franzéninkatu 0
19656 Muhos"
"Kristian Kinnunen-Juvonen","Ilotulituspolku 047
68312 Tornio"
"Riitta Mäkinen","Haapakuja 7
16665 Heinola"
"Anneli Nieminen","Gyldéninkuja 3
36376 Ylöjärvi"
"Henna Hannula","Eljaksenpolku 0
55595 Merikarvia"
"Petri Suominen-Rantala","Laajasalonkatu 2
95907 Finström"
"Maarit Anttonen","Pohjolankuja 02
95686 Ylöjärvi"
"Jaakko Juntunen","Jäkälätie 099
66380 Sotkamo"
"Jyrki Soininen","Ilomäenkatu 667
97446 Alavieska"
"Veikko Pekkala-Lahtinen","Rapolankatu 00
06669 Oulainen"
"Veli Jäntti","Orapihlajakuja 96
98301 Lemi"
"Erkki Nevalainen-Pöllänen","Betonikatu 7
44818 Siikajoki"
"Aukusti Huhtala","Sahaajanbulevardi 66
19244 Savukoski"
"Mikael Lappalainen","Veräjämäenkuja 24
08273 Vehmaa"
"Henna Häkkinen","Verkkokuja 022
26768 Lemi"
"Sanna Valkama","Döbelninkuja 07
42031 Virrat"
"Kati Niemi","Bysantinkatu 358
46770 Kerava"
"Niilo Hirvonen","Wallininbulevardi 83
15010 Hailuoto"
"Ari Vainio","Winqvistinpolku 8
74180 Pukkila"
"Elisabet Kuosmanen","Fallpakanbulevardi 2
15406 Taivassalo"
"Arja Mäkelä","Maneesikatu 9
85998 Kauhajoki"
"Leena Lehtinen","Salakkakuja 3
56612 Enontekiö"
"Timo Jaakkola-Kemppainen","Chydeniuksenbulevardi 32
76303 Kauhajoki"
"Sofia Soininen","Eino Leinon kuja 97
53214 Ilmajoki"
"Henna Järvelä","Mannerheiminpolku 928
03858 Virolahti"
"Sini Nieminen","Degermosanbulevardi 715
60710 Rantasalmi"
"Jaakko Viitala","Rukokuja 958
08537 Jomala"
"Tapani Kauppinen","Ahvenkoskenbulevardi 78
88094 Utajärvi"
"Eija Kuusisto","Ahvenkoskenkatu 3
29922 Juupajoki"
"Marika Laitinen","Haapakuja 55
74503 Lemi"
"Mika Heinonen","Ehrensvärdinpolku 075
67947 Suonenjoki"
"Kari Jussila","Tuohikoivuntie 971
29592 Karstula"
"Petri Järvinen-Kankaanpää","Malminkartanonpolku 402
63805 Kinnula"
"Erkki Laine","Castréninpolku 41
55058 Keitele"
"Henri Laakso","Maasalontie 135
54085 Savonlinna"
"Kalle Laitinen","Eino Leinon bulevardi 63
52424 Oripää"
"Ilmari Seppänen","Tuohikoivunkatu 49
25607 Urjala"
"Niklas Hakala","Agroksenbulevardi 40
41909 Lempäälä"
"Joonatan Vartiainen","Verkkokuja 5
63149 Hartola"
"Maarit Hartikainen","Porkkalanpolku 666
14831 Nakkila"
"Matti Lindqvist","Sahaajanpolku 0
34097 Ikaalinen"
"Raimo Riikonen","Iltaruskonkuja 0
19800 Kuhmo"
"Anna Laukkanen","Fallinkuja 819
13158 Kuhmoinen"
"Antero Paavilainen","Gunnel Nymanin kuja 1
28531 Simo"
"Henri Reinikainen","Vesakkotie 709
19828 Eura"
"Margit Nieminen","Jännebulevardi 8
30759 Oripää"
"Siiri Pesonen","Chydeniuksenpolku 66
55520 Orimattila"
"Taisto Ikonen","Veräjämäentie 96
03620 Siikajoki"
"Kaarina Halonen","Porinkatu 509
22245 Suonenjoki"
"Mirja Hautamäki-Pulkkinen","Ahvenkoskenkuja 2
28467 Luoto"
"Matias Hiltunen-Holmström","Degermosanpolku 7
16746 Viitasaari"
"Elina Manninen-Ranta","Louhenkatu 940
17252 Marttila"
"Maria Mattila","Wavulininpolku 3
98032 Soini"
"Sofia Anttila","Chydeniuksentie 825
90109 Kiuruvesi"
"Henrik Kokko","Damaskuksenkatu 592
97453 Lempäälä"
"Tuija Ihalainen","Laurinniitynbulevardi 475
58074 Tampere"
"Maija Lindholm","Adolf Lindforsin tie 61
05077 Juva"
"Matti Halonen","Uunilinnunkuja 095
61528 Hammarland"
"Maija Vartiainen","Cygnaeuksenpolku 7
68632 Brändö"
"Joni Luukkonen","Fredrikinbulevardi 9
55560 Muhos"
"Jyrki Lindberg","Lepolanbulevardi 4
52418 Eurajoki"
"Petteri Pohjola","Tahtipolku 4
12201 Lumijoki"
"Hannu Harju","Ahvenkoskenkatu 70
27495 Uusikaarlepyy"
"Johannes Laine","Yrjönkuja 328
82323 Kruunupyy"
"Henrik Kolehmainen","Cygnaeuksenkuja 91
04005 Brändö"
"Anna Heikkinen","Elontie 22
91570 Koski Tl"
"Niklas Hämäläinen","Versokatu 715
64396 Luoto"
"Kai Koponen","Castréninpolku 1
81524 Keitele"
"Marketta Pietilä-Tolvanen","Edelfeltinkatu 952
42339 Leppävirta"
"Anne Juntunen-Seppälä","Mannerheiminbulevardi 077
62160 Oripää"
"Anneli Lehtinen","Elonkuja 2
50259 Helsinki"
"Olavi Heikkilä","Lepolanbulevardi 292
23552 Pyhtää"
"Nea Miettinen","Gotlannintie 69
56824 Pietarsaari"
"Aatos Välimäki","Birger Kaipiaisen katu 96
24582 Nokia"
"Henrik Koski","Dunckerintie 132
61365 Lemi"
"Tellervo Leinonen","Willebrandinpolku 92
88747 Virolahti"
"Karoliina Aaltonen","Neulapadonkuja 2
28111 Maalahti"
"Juho Salomaa","Laurinniitynkatu 965
89528 Sauvo"
"Antero Kosonen","Kolsinbulevardi 36
90009 Pelkosenniemi"
"Aleksandra Väänänen","Oravatie 03
40976 Pirkkala"
"Pia Turunen","Louhentie 88
22383 Muhos"
"Anneli Saarinen","Eljaksentie 47
34975 Polvijärvi"
"Lauri Viitanen","Ahvenkoskenkuja 64
54247 Oripää"
"Väinö Turunen-Pasanen","Ilotulituskatu 30
14919 Brändö"
"Henrik Kujala","Eerik Pyhän katu 140
00579 Keuruu"
"Olli Lehto","Verkkotie 512
13242 Lempäälä"
"Irma Leinonen","Betonikuja 53
56680 Viitasaari"
"Mika Takala-Peltonen","Bengalinbulevardi 14
21778 Laihia"
"Marjatta Komulainen","Edelfeltinkuja 42
86306 Somero"
"Karoliina Linna-Kärki","Niemibulevardi 8
84995 Uurainen"
"Jouko Heikkinen-Holappa","Runebergintie 998
91618 Mikkeli"
"Jukka Autio","Harakkamyllynkatu 380
53246 Urjala"
"Olivia Ketola","Puuskakuja 542
69472 Sottunga"
"Päivi Mäkinen","Walentin Chorellin polku 01
32391 Laihia"
"Henrik Kurki","Orvokkitie 5
59299 Urjala"
"Eeva Lappalainen","Tuohikoivunbulevardi 305
96523 Kaustinen"
"Petteri Uusitalo","Lautamiehenkuja 279
24605 Varkaus"
"Satu Alanen-Honkanen","Winqvistintie 0
72781 Heinävesi"
"Suvi Lahti","Bertha Pauligin bulevardi 016
91394 Pori"
"Ilmari Huttunen","Urheilubulevardi 773
41813 Finström"
"Hannele Voutilainen-Tolvanen","Kolvibulevardi 105
73506 Tuusniemi"
"Heikki Moilanen","Agroksenpolku 0
75390 Savitaipale"
"Juhani Huuskonen","Hankasuonkatu 48
86793 Mäntyharju"
"Antti Salonen","Vaakalinnuntie 3
62522 Lapinlahti"
"Henrik Lappalainen-Tiihonen","Taimistonpolku 3
20790 Sodankylä"
"Jonna Halonen-Koivisto","Taavinkuja 636
07020 Kauhajoki"
"Johanna Pelkonen-Piirainen","Urheilukatu 006
15763 Soini"
"Helena Lehto-Lehtinen","Ahvenkoskenpolku 6
95594 Vihti"
"Anneli Salmela","Eino Leinon katu 63
37057 Savonlinna"
"Ilkka Tikkanen","Fabianinbulevardi 7
83263 Lumparland"
"Päivi Autio","Salavatie 10
73184 Parikkala"
"Raija Lepistö","Dagmarinpolku 7
53015 Kirkkonummi"
"Orvokki Pitkänen-Mattila","Wecksellinkatu 4
56774 Utajärvi"
"Eveliina Järvenpää","Uurtajankatu 3
19386 Parainen"
"Henrik Mäkelä","Taavetti Laitisen bulevardi 74
25700 Eurajoki"
"Emilia Mäntylä","Urheilupolku 443
72775 Mäntyharju"
"Juhani Vainio","Uunisepänpolku 356
98502 Loppi"
"Pekka Johansson","Fallinpolku 5
19299 Uusikaarlepyy"
"Annikki Parviainen","Ormuskuja 734
81451 Riihimäki"
"Sirpa Virtanen-Miettinen","Ylipalonbulevardi 6
28145 Ilmajoki"
"Annika Nissinen","Betonitie 218
84807 Sotkamo"
"Eero Pajunen","Taavetti Laitisen kuja 460
59123 Taivalkoski"
"Ville Kulmala","Iltatähdenkatu 069
40744 Tornio"
"Eemil Kuusisto","Castréninbulevardi 68
79006 Hyvinkää"
"Henrikki Kähkönen","Franzéninkuja 8
52215 Jomala"
"Antti Laakso","Elisabeth Kochin bulevardi 72
93838 Hattula"
"Markku Pesonen-Rantala","Urkurinpolku 240
08854 Pornainen"
"Tuula Kuusela","Lukkarimäenkuja 8
50302 Säkylä"
"Jari Lehtola","Kuhankeittäjänkatu 2
14619 Ähtäri"
"Ritva Lehtinen","Eino Leinon bulevardi 63
67113 Juuka"
"Pirjo Koistinen-Holm","Sapilastie 9
37291 Kolari"
"Henrik Aaltonen","Louhenpolku 376
44993 Kempele"
"Eija Savolainen","Gotlanninkuja 513
74050 Kaustinen"
"Minna Rajala","Ida Ekmanin polku 7
89913 Kajaani"
"Henry Mustonen","Salavatie 235
63615 Maalahti"
"Liisa Väisänen","Capellan puistokuja 09
58286 Geta"
"Antero Seppälä","Lepolanbulevardi 44
50669 Iisalmi"
"Iida Leppänen","Fastbölentie 355
96848 Tervola"
"Sini Seppänen","Edelfeltinkatu 92
35804 Keminmaa"
"Jari Niiranen","Bengalinkatu 571
96722 Rautjärvi"
"Mika Lindgren","Maatie 835
55223 Turku"
"Ville Pennanen-Koskela","Waseniuksen puistokatu 7
22573 Pihtipudas"
"Susanna Simonen-Korhonen","Osmontie 7
80411 Sund"
"Elisa Pulkkinen","Disankuja 398
80090 Laihia"
"Hermanni Parviainen","Urpukatu 7
28152 Enonkoski"
"Karl Järvelä-Komulainen","Fallinkuja 23
76875 Säkylä"
"Pekka Koski","Gotlannintie 124
13038 Jokioinen"
"Mia Savolainen","Lemunkuja 6
92916 Seinäjoki"
"Tuomas Kortelainen","Franzéninkatu 763
45994 Toholampi"
"Ulla Manninen","Agnetankuja 0
09955 Forssa"
"Helena Saarinen","Ilomäenkuja 1
22760 Luoto"
"Lauri Leino-Mäkinen","Ilmattarentie 01
42559 Askola"
"Kalervo Soininen","Ilmattarenkatu 55
95143 Parainen"
"Aulikki Ranta","Damaskuksenbulevardi 51
42916 Pirkkala"
"Hermanni Salminen","Osmonpolku 6
35554 Luumäki"
"Verneri Sillanpää","Salavapolku 88
51681 Virolahti"
"Mikael Tamminen","Franzéninkatu 014
02863 Heinola"
"Tapio Leppänen","Otermanbulevardi 244
32985 Lumparland"
"Erika Haapaniemi-Hartikainen","Yrjö-Koskisen katu 7
67149 Sysmä"
"Anneli Nissinen","Disankuja 426
35538 Hammarland"
"Aulis Räsänen","Tyynylaavantie 99
22314 Porvoo"
"Marketta Mäkinen","Elisabeth Kochin bulevardi 8
09347 Konnevesi"
"Valtteri Berg","Edelfeltinpolku 9
42247 Toholampi"
"Uolevi Heinonen-Turunen","Agricolanpolku 899
19406 Varkaus"
"Hermanni Väisänen","Kimmonbulevardi 753
36988 Kouvola"
"Tapio Karhu","Verkkopolku 870
13365 Keitele"
"Oiva Kivistö","Versotie 917
40437 Laihia"
"Jani Uusitalo","Dagmarinpolku 322
70333 Imatra"
"Valtteri Kivelä","Degermosantie 8
30189 Kemi"
"Mikko Ruotsalainen","Nordenskiöldinbulevardi 0
28936 Varkaus"
"Jani Ojala","Iltatähdenbulevardi 6
94709 Uusikaarlepyy"
"Matias Lehtinen","Maatullinkuja 7
17275 Rusko"
"Mari Heinonen","Osmonkuja 23
32783 Virolahti"
"Elias Forsman","Sapilaskuja 231
04207 Kangasala"
"Hilkka Juntunen","Maanmittarinkatu 4
76528 Brändö"
"Elias Virtanen-Rantanen","Lentokapteenin bulevardi 21
11013 Espoo"
"Sakari Jussila","Orvokkibulevardi 923
72428 Espoo"
"Arttu Lindholm","Ostoskatu 047
84336 Pelkosenniemi"
"Maarit Ronkainen","Maatullinkatu 21
08078 Koski Tl"
"Emma Saari","Ilkantie 68
83891 Heinävesi"
"Veli Tuomi-Keinänen","Böstaksenpolku 29
96831 Karvia"
"Harri Lindholm","Bertel Jungin katu 5
76410 Rovaniemi"
"Seija Karlsson-Taskinen","Yrjö-Koskisen kuja 23
40853 Kivijärvi"
"Mari Lipponen","Elisabeth Kochin kuja 76
38289 Viitasaari"
"Hilkka Juvonen","Niittylänkuja 6
17369 Kajaani"
"Heikki Rantala-Mononen","Wavulininbulevardi 901
07466 Sotkamo"
"Anna Järvi","Ilomäentie 686
94253 Luhanka"
"Armas Rinne-Jääskeläinen","Runoilijankuja 54
19773 Vöyri"
"Paula Sillanpää","Puroniityntie 372
98458 Lohja"
"Heidi Peltola","Nervanderinkatu 746
54072 Loppi"
"Marjatta Männistö-Uusitalo","Saanatunturinkatu 0
15214 Kangasala"
"Ari Ahola","Yläkaskenbulevardi 88
93463 Mäntyharju"
"Kustaa Mäkelä","Orapihlajakatu 24
52588 Hämeenlinna"
"Kaarina Haapala","Kimmontie 24
98362 Kangasniemi"
"Hilkka Turunen","Lemunkuja 3
44560 Suomussalmi"
"Marjatta Rajala","Rapakivenkuja 00
83560 Mikkeli"
"Mikael Rissanen-Saarela","Bysantinpolku 890
84470 Ähtäri"
"Samu Heikkilä","Tuomarinkyläntie 99
89827 Ii"
"Olavi Välimäki","Capellan puistokatu 866
91034 Eura"
"Anniina Kovanen","Saparontie 47
18525 Lumparland"
"Oskari Nurminen","Sadepolku 738
89662 Eckerö"
"Susanna Tähtinen","Pohjolankatu 65
85771 Pudasjärvi"
"Johannes Nevala","Yrjö-Koskisen katu 57
89701 Myrskylä"
"Henna Nissinen","Maapadonkatu 8
78462 Karijoki"
"Hilkka Vuorinen","Maapadonpolku 4
37918 Laukaa"
"Olavi Korhonen","Gotlanninpolku 20
10675 Tohmajärvi"
"Marjatta Seppänen-Lindgren","Purjetuulentie 5
06274 Kinnula"
"Ilona Keinänen","Tahtipolku 1
93419 Sulkava"
"Elina Mikkonen","Betonitie 740
19092 Padasjoki"
"Leena Leinonen","Ilkankuja 099
53065 Sotkamo"
"Anneli Koivunen","Damaskuksentie 455
31310 Alavieska"
"Henrik Hiltunen-Huhtala","Versopolku 25
37709 Simo"
"Marjatta Koskela","Ostostie 711
06945 Pornainen"
"Anna-Liisa Rantanen-Karjalainen","Vaarnakatu 82
19047 Salla"
"Hillevi Hakkarainen-Kuosmanen","Ahomäenkatu 02
64565 Kuopio"
"Hannele Lahtinen","Taavinkatu 301
39912 Alajärvi"
"Tuuli Mustonen","Ahvenkoskenkatu 5
17795 Honkajoki"
"Kristina Mäkinen","Vellikellonkuja 36
09600 Kemijärvi"
"Aleksi Saarinen-Heikkinen","Sahaajankuja 5
22986 Keitele"
"Maija Taskinen","Gotlanninkatu 0
75135 Nakkila"
"Osmo Mustonen-Väisänen","Laakavuorenpolku 3
72483 Puumala"
"Sanna Mattila","Haagan pappilankuja 23
91915 Kruunupyy"
"Kaarina Laaksonen","Rukokuja 26
09837 Nakkila"
"Aukusti Salmi","Iltatähdenkatu 130
31920 Taipalsaari"
"Ida Henriksson-Keränen","Vaakalinnunpolku 72
86005 Heinävesi"
"Marjut Nevalainen","Uurtajankuja 123
92958 Juva"
"Vilhelmiina Peltonen","Haaksitie 304
12224 Kuhmoinen"
"Anne Mäenpää","Gneissipolku 5
82739 Posio"
"Sakari Mäki","Nikonbulevardi 6
76936 Karstula"
"Anniina Heikkinen","Iltaruskonbulevardi 23
47375 Salla"
"Hanna Peltonen","Yrttimaanpolku 33
22181 Parainen"
"Hanna Tolvanen","Verkkopolku 8
63920 Brändö"
"Marianne Seppälä","Haravabulevardi 1
27749 Hamina"
"Ilona Ihalainen","Benktanbulevardi 5
35458 Kuhmoinen"
"Ida Korhonen","Katajaharjuntie 893
05595 Jämijärvi"
"Tapio Tiainen","Rukkilankuja 3
49484 Parainen"
"Maria Laakso","Fagottikatu 4
02752 Mynämäki"
"Emilia Lahti","Immolankatu 9
91086 Soini"
"Sini Ahola","Verkkotie 40
03635 Savonlinna"
"Jarmo Laitinen","Graniittikuja 426
48777 Suomussalmi"
"Anni Kinnunen","Döbelnintie 94
48904 Multia"
"Ritva Laakkonen","Degermosankatu 372
12816 Pöytyä"
"Marita Hänninen","Vesakkotie 1
99774 Kannus"
"Ilmari Penttilä","Kiitäjänkuja 675
47051 Hämeenlinna"
"Iida Laine","Cygnaeuksentie 8
02238 Kaskinen"
"Tuija Mattila","Ahdekaunokintie 2
20383 Lumijoki"
"Elias Pehkonen-Mattila","Niitynperänbulevardi 5
92828 Saltvik"
"Veli Andersson","Yrjö-Koskisen kuja 724
67851 Hämeenkyrö"
"Raija Karttunen-Peltola","Santerlankuja 77
91213 Tuusniemi"
"Ensio Laurila","Kimalaispolku 785
67281 Halsua"
"Marjatta Turunen-Keskinen","Puuskatie 53
50670 Polvijärvi"
"Erkki Laakso-Ranta","Gunillankuja 956
88849 Muonio"
"Kaarlo Lipponen","Osmonpolku 931
31827 Valkeakoski"
"Tuulia Nieminen-Suominen","Ida Ekmanin kuja 761
37752 Pukkila"
"Iida Turunen-Lindberg","Oravakuja 8
95613 Leppävirta"
"Petteri Väisänen-Härkönen","Gadolinintie 66
12434 Jomala"
"Elias Leppänen-Hytönen","Haagan pappilankatu 7
93326 Hollola"
"Juhani Liukkonen","Caloniuksenpolku 69
77046 Pieksämäki"
"Pauli Lahtinen","Versotie 425
21338 Juva"
"Mikko Laine","Dagmarinpolku 7
16597 Luhanka"
"Matias Heikkilä","Rapakiventie 369
67104 Orivesi"
"Tommi Leinonen","Lautamiehenpolku 5
54913 Padasjoki"
"Tauno Ahola","Ilvesbulevardi 35
97842 Orivesi"
"Lauri Karhu-Virta","Winqvistinkuja 5
50709 Muonio"
"Iiris Hiltunen","Maakuja 2
98920 Tervola"
"Erkki Pakarinen","Fallkullanpolku 100
44304 Merikarvia"
"Eija Lankinen","Tuulilasintie 74
50521 Utsjoki"
"Timo Hokkanen","Tyynylaavankuja 99
76389 Hankasalmi"
"Antero Nieminen-Lindström","Aidasmäenbulevardi 62
00445 Akaa"
"Markus Koskinen","Dagmarinkatu 215
89718 Ypäjä"
"Kalervo Auvinen","Maatullinkatu 31
60626 Rautavaara"
"Hermanni Mustonen","Döbelninkatu 29
05366 Ypäjä"
"Aili Ojala","Caloniuksentie 01
05715 Kaskinen"
"Olavi Pajunen","Ostoskatu 2
65072 Jokioinen"
"Iiris Ylitalo-Heino","Nervanderinbulevardi 43
41292 Sonkajärvi"
"Sanna Antikainen-Lehto","Verkkopolku 24
82224 Kärsämäki"
"Aulikki Mäkinen-Salminen","Agronominkatu 6
33094 Luhanka"
"Anneli Lindholm","Biologinpolku 3
42376 Hartola"
"Antero Tuominen","Runonlaulajantie 0
09351 Toholampi"
"Samuel Holm","Wäinö Aaltosen kuja 4
16407 Vihti"
"Armas Viitala","Urputie 62
75005 Pyhäntä"
"Kalevi Kähkönen","Mamsellimyllyntie 023
02227 Rauma"
"Kalevi Mustonen","Oravatie 3
68919 Järvenpää"
"Arto Huttunen","Wavulinintie 3
15379 Parikkala"
"Iisakki Partanen","Degermosantie 65
85393 Pöytyä"
"Alexandra Paananen","Ylipalonkatu 67
10450 Sodankylä"
"Olavi Lappalainen","Agroksenpolku 89
85667 Lempäälä"
"Maaria Virtanen","Laajasalonbulevardi 5
89601 Orimattila"
"Johanna Lehto","Mannerheiminkuja 95
84162 Pielavesi"
"Kristian Mäkinen","Pyörökivenkatu 224
94178 Muhos"
"Emilia Lahti","Yrjöntie 4
74759 Alavus"
"Laura Seppälä","Betonipolku 130
90078 Utsjoki"
"Pirkko Saarela","Veropellonkuja 236
59797 Kökar"
"Petteri Kosonen","Ieskatu 1
32894 Maalahti"
"Iisakki Rantanen","Vaakalinnunkatu 0
76435 Puolanka"
"Sakari Hänninen","Gotlanninbulevardi 608
07364 Keitele"
"Tomi Heikkinen","Biologinkatu 626
46717 Parkano"
"Viljami Partanen-Heikkilä","Porinpolku 02
04760 Juuka"
"Elina Mäkinen","Lemuntie 144
12882 Rovaniemi"
"Sirpa Laine","Jyväkatu 309
09000 Kauniainen"
"Aurora Räisänen","Saanatunturinbulevardi 3
82332 Kökar"
"Maria Heinonen","Puusepänkatu 33
79394 Padasjoki"
"Tapani Kainulainen","Tuomarinkylänkatu 03
32229 Kärkölä"
"Kristiina Auvinen","Uussillanpolku 1
17371 Parkano"
"Iisakki Riihimäki","Ylä-Fallin kuja 4
69711 Kustavi"
"Tapio Haataja","Rapakivenkuja 275
82100 Kemi"
"Hannele Hyvärinen","Walentin Chorellin polku 23
07629 Humppila"
"Merja Kangas-Laine","Uskalikonkatu 19
02623 Koski Tl"
"Krista Laaksonen-Hyttinen","Gustav Pauligin polku 7
68789 Tuusula"
"Anna Mäkelä","Wavulininbulevardi 4
97776 Sipoo"
"Hilkka Tikkanen","Kilpolanbulevardi 5
68134 Kuhmoinen"
"Leo Leppänen-Saarinen","Rapolanpolku 87
84420 Mynämäki"
"Reijo Saari","Edelfeltinbulevardi 01
18808 Hammarland"
"Tuulikki Eklund-Ahonen","Wecksellinbulevardi 0
34289 Heinola"
"Ilari Hiltunen","Niemitie 85
07508 Taipalsaari"
"Joonas Korhonen-Laakkonen","Gotlannintie 192
31189 Polvijärvi"
"Elmeri Koskinen","Walentin Chorellin kuja 052
74849 Kuusamo"
"Tapani Jalonen","Orisaarentie 79
54326 Lapua"
"Aurora Leskinen","Uudenkaupunginbulevardi 51
33114 Pori"
"Marja Järvelä","Gotlanninpolku 282
55181 Pomarkku"
"Sakari Haapanen","Malminkartanonkatu 0
95837 Liperi"
"Juhani Heikkilä-Komulainen","Orapihlajapolku 8
52433 Säkylä"
"Samuli Ylönen","Uudenkaupunginkatu 263
60665 Merijärvi"
"Marja-Liisa Kivistö","Tukkisillankatu 8
67218 Kurikka"
"Ilari Virtanen-Sjöblom","Oravapolku 5
96139 Sund"
"Elina Salo-Aaltonen","Haahkakuja 599
93413 Mustasaari"
"Kalervo Hänninen","Puuskapolku 5
44009 Vantaa"
"Aila Lindholm","Fabianinkatu 243
50108 Kemiönsaari"
"Tuulikki Honkanen","Vesakkokatu 4
94516 Masku"
"Jenni Puhakka","Nelikkokatu 139
68279 Kitee"
"Johannes Ojala","Vaakalinnunbulevardi 855
36901 Merikarvia"
"Eetu Markkanen","Agroksenkatu 711
81127 Mynämäki"
"Juhani Väänänen","Rapakivenkuja 777
71864 Huittinen"
"Ritva Viitala","Runonlaulajankatu 0
84624 Sotkamo"
"Ilkka Elo","Betonitie 90
40282 Lahti"
"Helena Hakala","Hannukselanpolku 370
45164 Pornainen"
"Antero Ollila","Haaksitie 470
52601 Oulainen"
"Matias Rajala","Vellikellontie 565
40176 Haapajärvi"
"Ilmari Koponen-Hänninen","Kilpolantie 4
58279 Kangasala"
"Pasi Miettinen","Taimistonbulevardi 5
06649 Kannonkoski"
"Taru Laitinen-Manninen","Freesenbulevardi 40
41882 Savonlinna"
"Julia Puustinen","Eduskuntatie 73
78566 Oulu"
"Niko Hietala-Tuomi","Franzéninkuja 7
87154 Kalajoki"
"Anneli Tuomi","Ilotulituskuja 7
53694 Lahti"
"Ilmari Haapanen","Orapihlajabulevardi 314
44500 Lieto"
"Samuel Laaksonen","Sahaajankatu 096
06725 Kangasala"
"Oliver Vesterinen","Porkkalankuja 55
66542 Juupajoki"
"Juhani Nieminen","Puuskatie 793
95389 Lapua"
"Johannes Lehtinen","Porepolku 1
83511 Sysmä"
"Mikko Kiuru-Suomalainen","Aidasmäenkatu 78
94176 Laukaa"
"Jyrki Kallio","Kolupolku 749
56229 Humppila"
"Laura Laaksonen","Kiitäjänkuja 464
39455 Salla"
"Marjut Hautala","Graniittipolku 078
47773 Perho"
"Kaisa Haataja","Veräjämäenkatu 125
26963 Janakkala"
"Ilmari Jussila","Saanatunturinkatu 4
01001 Kankaanpää"
"Jussi Järvinen","Urputie 57
60042 Juva"
"Ulla Airaksinen","Maapadonkuja 056
00393 Keitele"
"Tapani Jaakkola","Vesalankatu 70
40890 Rautavaara"
"Martta Salonen","Maanmittarinkatu 458
88240 Sonkajärvi"
"Akseli Vuorinen","Dunckerinkatu 311
53358 Akaa"
"Päivi Ikonen-Kortelainen","Maatie 6
39876 Karijoki"
"Veli Leino","Malminkartanontie 6
61004 Asikkala"
"Tapio Koskinen","Gadolininkuja 35
31802 Kiuruvesi"
"Anneli Nykänen-Kaikkonen","Saanatunturinbulevardi 06
59901 Haapavesi"
"Ilmari Jääskeläinen","Porkkalankatu 580
98449 Hamina"
"Mikael Koski","Poikasaartenbulevardi 56
56442 Ähtäri"
"Juho Lahtinen","Gunillankuja 459
66688 Inkoo"
"Juhani Luoma","Fredrikinkuja 694
64530 Kittilä"
"Pauliina Laitinen","Waseniuksen puistopolku 107
80313 Heinävesi"
"Tuulia Virtanen","Biologinkatu 09
73193 Tervola"
"Ville Turunen","Kolutie 01
89795 Tervola"
"Helena Eskelinen","Ahdekaunokinbulevardi 21
02299 Muonio"
"Sakari Partanen","Yrjö-Koskisen polku 5
62606 Ypäjä"
"Helena Koponen","Santerlanpolku 21
45417 Kaustinen"
"Ilmari Kantola-Jokela","Disanpolku 62
08745 Sottunga"
"Teuvo Aaltonen","Sadepolku 29
93092 Kyyjärvi"
"Atte Salonen","Dunckerinbulevardi 953
00577 Heinävesi"
"Johannes Mäkelä-Toivonen","Betleheminkatu 2
60258 Suomussalmi"
"Aki Korpela","Runeberginbulevardi 8
31446 Iitti"
"Juhani Salonen","Bertel Jungin polku 146
42438 Urjala"
"Kalevi Väisänen","Laajasalonkuja 943
38474 Sievi"
"Atte Korhonen","Nikonbulevardi 89
93367 Sonkajärvi"
"Esa Jauhiainen","Uunilinnunkatu 02
77738 Kajaani"
"Emilia Nuutinen","Hannukselantie 3
51164 Pyhäntä"
"Ilmari Karvonen","Agroksenkatu 086
63741 Aura"
"Helinä Anttila","Runonlaulajankatu 39
45568 Keitele"
"Kari Virtanen","Jättiläisenkatu 28
03926 Utajärvi"
"Elsa Manninen","Benktantie 564
81079 Humppila"
"Heidi Lassila","Betonitie 060
21494 Karvia"
"Susanna Puhakka","Haagan pappilankatu 597
13529 Akaa"
"Eelis Seppälä","Saramäenkatu 9
31369 Varkaus"
"Olavi Hakala-Ojala","Hannukselantie 06
65154 Luhanka"
"Patrik Aho-Partanen","Jättiläisenpolku 541
75185 Hyvinkää"
"Juhani Helminen","Ida Ekmanin katu 1
64611 Pedersören kunta"
"Ilmari Keränen","Castrénintie 04
14217 Ristijärvi"
"Tapio Ruotsalainen","Louhentie 477
92674 Keuruu"
"Antero Koponen","Benktankatu 20
15024 Isokyrö"
"Marianne Autio","Immolanbulevardi 73
93914 Lapua"
"Juhani Nuutinen","Orisaarenkatu 21
93040 Muurame"
