"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów" 
"Tymon Sobel"|"al. Wieniawskiego 76/17
18-479 Reda"
"Bianka Zagrajek"|"al. Reja 44
69-659 Piotrków Trybunalski"
"pan Artur Pesta"|"aleja Radosna 08/99
45-646 Piotrków Trybunalski"
"Oliwier Chomiak"|"pl. Armii Krajowej 43/04
38-520 Gorlice"
"Kaja Cisoń"|"ulica Dąbrowskiej 70
50-248 Grudziądz"
"Bartek Czubaszek"|"ulica Bolesława Krzywoustego 07/15
41-522 Sochaczew"
"Borys Wawrzynowicz"|"plac Sucharskiego 64/90
66-360 Lubliniec"
"Igor Siatka"|"pl. Powstańców Śląskich 79/13
76-733 Brodnica"
"Marek Bogumił"|"pl. Szarych Szeregów 18
64-069 Zawiercie"
"Marcelina Majczyna"|"plac Żeromskiego 27
06-895 Ostrów Mazowiecka"
"Kaja Stawczyk"|"plac Wyzwolenia 195
25-367 Żagań"
"Blanka Juszczuk"|"plac Wyspiańskiego 93
70-896 Olkusz"
"Karol Drobek"|"pl. Mieszka I 73/54
53-367 Kalisz"
"Józef Płocharczyk"|"ul. Konarskiego 01/73
54-805 Chrzanów"
"Karina Kudra"|"ulica Jesienna 75
29-984 Lubartów"
"Aleksander Włodarz"|"plac Chełmońskiego 472
61-814 Knurów"
"Szymon Śmieszek"|"ul. Żwirki i Wigury 81
23-375 Wieluń"
"Hubert Szumna"|"ulica Zamkowa 216
80-887 Piotrków Trybunalski"
"Jędrzej Sugier"|"pl. Kazimierza Wielkiego 246
70-579 Czechowice-Dziedzice"
"pani Lidia Rychert"|"ulica Harcerska 09
90-688 Tarnowskie Góry"
"Kornelia Kułach"|"ulica Rataja 14/97
32-068 Pruszków"
"Blanka Kazek"|"aleja Tulipanowa 610
53-582 Katowice"
"pan Stefan Krzyszczak"|"ul. Północna 71
90-395 Mińsk Mazowiecki"
"Stefan Giec"|"ul. Tysiąclecia 95/68
42-592 Łomża"
"Wojciech Zawartka"|"ul. Orla 73
67-304 Kwidzyn"
"Jędrzej Kempka"|"ul. Poziomkowa 74
23-992 Radom"
"Szymon Witaszek"|"pl. Hallera 67
21-449 Wejherowo"
"pan Grzegorz Groborz"|"pl. Daszyńskiego 549
51-868 Łaziska Górne"
"pani Ida Wieczerzak"|"plac Staffa 78
96-439 Kętrzyn"
"Ernest Ragus"|"ul. Orzeszkowej 56/41
55-850 Czeladź"
"pan Aleksander Guziak"|"ul. Poniatowskiego 27/43
33-126 Luboń"
"Blanka Spadło"|"al. Akacjowa 17/36
48-713 Sieradz"
"Borys Początek"|"ulica Widokowa 807
16-554 Puławy"
"Cyprian Chmielak"|"pl. Krasickiego 17/99
30-207 Łódź"
"Oskar Połetek"|"ulica Konarskiego 70/45
80-446 Rzeszów"
"Jeremi Malecha"|"al. Glówna 47/15
46-318 Reda"
"Leonard Grygorowicz"|"pl. Władysława Łokietka 79/93
41-390 Dąbrowa Górnicza"
"pan Iwo Madura"|"aleja Dolna 712
38-427 Reda"
"Maksymilian Szyma"|"aleja Wolności 78/18
85-414 Luboń"
"Paweł Kondej"|"pl. Bema 83
23-581 Nowy Targ"
"pan Marek Hein"|"al. Grottgera 78
86-156 Tomaszów Mazowiecki"
"Blanka Wypiór"|"plac Wyzwolenia 34/95
45-978 Żywiec"
"pan Maks Gumieniak"|"ul. Skargi 17/13
94-942 Bytom"
"Daniel Słoń"|"ulica Niepodległości 91
05-211 Ełk"
"Sylwia Dobroń"|"ul. Lelewela 96
53-776 Bielsk Podlaski"
"Dominik Folta"|"plac Partyzantów 58/14
91-726 Kołobrzeg"
"Marcin Bobko"|"al. Przemysłowa 984
72-137 Tczew"
"Adrianna Wojtaszczyk"|"ul. Podwale 972
80-085 Kwidzyn"
"Tola Zaczyk"|"al. Moniuszki 87
80-363 Kłodzko"
"Juliusz Misiurek"|"aleja Miarki 82
82-642 Skarżysko-Kamienna"
"Krzysztof Osica"|"ul. Zaciszna 31/09
37-680 Czeladź"
"Blanka Wyskiel"|"plac Piłsudskiego 103
76-659 Chojnice"
"Klara Kasperczak"|"plac Maja 94/61
69-699 Ostrów Mazowiecka"
"Rozalia Nędzi"|"plac Partyzantów 249
80-211 Toruń"
"pan Ernest Dyczko"|"al. Sienkiewicza 750
62-363 Chrzanów"
"pan Marcin Sura"|"al. Kasztanowa 803
57-559 Środa Wielkopolska"
"pani Eliza Fikus"|"pl. Fredry 53
28-060 Legnica"
"Rafał Soliwoda"|"plac Mieszka I 003
50-025 Kalisz"
"pani Julita Wosiek"|"ul. Źródlana 700
71-740 Olsztyn"
"Kaja Łabaj"|"ulica Dworcowa 78
24-141 Gniezno"
"Kalina Kaźmierczyk"|"al. Dolna 73
85-379 Ostrołęka"
"Blanka Łokaj"|"pl. Świerczewskiego 86
41-621 Pszczyna"
"Krystyna Block"|"ulica Mieszka I 27
99-899 Tczew"
"Bartek Czulak"|"al. Długosza 82
20-571 Łomża"
"Witold Sobieszczyk"|"al. Klasztorna 651
43-568 Świecie"
"Konstanty Janiga"|"ul. Szmaragdowa 15/62
38-692 Opole"
"Krzysztof Borkiewicz"|"plac Ściegiennego 29/50
68-850 Poznań"
"pani Nela Tlałka"|"al. Kasprowicza 37/25
96-189 Chełm"
"Eryk Henke"|"ul. Dojazdowa 34/24
13-711 Przemyśl"
"Mikołaj Cyman"|"pl. Kraszewskiego 20/70
10-378 Czeladź"
"Marek Kierepka"|"ul. Odrzańska 91
18-954 Łaziska Górne"
"Borys Czerniec"|"pl. Kołłątaja 80
65-398 Gdynia"
"Marcel Małas"|"pl. Solidarności 37
28-113 Ostrów Mazowiecka"
"Piotr Rorat"|"pl. Kilińskiego 119
63-813 Szczytno"
"pani Janina Kultys"|"al. Waryńskiego 40
29-684 Wołomin"
"pan Tobiasz Kunka"|"pl. Malczewskiego 375
04-393 Giżycko"
"pani Karina Loba"|"pl. Nałkowskiej 04/29
21-968 Kielce"
"pan Mikołaj Humeniuk"|"ul. Szymanowskiego 04/65
75-084 Pruszcz Gdański"
"Grzegorz Zimoląg"|"pl. Wróblewskiego 01
78-938 Płock"
"Eliza Kucz"|"ulica Diamentowa 39
18-920 Kędzierzyn-Koźle"
"pan Emil Frącz"|"pl. Kraszewskiego 68/63
35-011 Augustów"
"Borys Kusek"|"ulica Wolności 13/81
36-600 Myszków"
"pani Sylwia Cader"|"ul. Władysława Łokietka 68
86-572 Malbork"
"Alex Glanc"|"plac Andersa 08
54-623 Polkowice"
"pan Łukasz Czapiga"|"al. Staffa 16
04-374 Mielec"
"Marika Tomal"|"ulica Nadbrzeżna 57
06-907 Stalowa Wola"
"Oliwier Ostasz"|"ul. Wyszyńskiego 397
60-560 Tarnów"
"pan Krzysztof Kramer"|"ulica Kościelna 55
67-611 Rumia"
"Nikodem Fikus"|"ul. Odrzańska 668
12-247 Toruń"
"Maurycy Heinrich"|"ulica Plater 66
40-837 Pruszków"
"Franciszek Heinrich"|"al. Plater 73/50
74-134 Jastrzębie-Zdrój"
"Borys Morgała"|"al. Żeromskiego 637
33-447 Swarzędz"
"Marcel Buczko"|"plac Kazimierza Wielkiego 31/29
06-567 Zielona Góra"
"Jędrzej Wasyluk"|"ulica Wiklinowa 12/31
06-300 Zamość"
"Leonard Tywoniuk"|"plac Drzymały 16/82
40-565 Żary"
"pani Janina Sito"|"pl. Rynek 27
54-327 Dzierżoniów"
"Fryderyk Klus"|"aleja Rajska 33
18-740 Łuków"
"pani Agnieszka Kubanek"|"ulica Żwirowa 520
23-635 Pruszków"
"pan Dominik Maron"|"aleja Kamienna 97/16
74-508 Grodzisk Mazowiecki"
"Kazimierz Szyca"|"al. Szymanowskiego 17/37
98-234 Stalowa Wola"
"Kamil Żmija"|"plac Bema 883
12-393 Ząbki"
"Borys Ochnio"|"pl. Reja 60
95-889 Poznań"
"Kamil Wojtasiewicz"|"al. Sucharskiego 697
78-119 Żory"
"Nela Domżał"|"plac Malczewskiego 43
33-130 Płońsk"
"Robert Osada"|"ul. Malczewskiego 99/62
39-359 Chorzów"
"Ewa Tomys"|"plac Kołłątaja 26/70
06-817 Grudziądz"
"pan Piotr Sanetra"|"ul. Nałkowskiej 49
56-496 Zakopane"
"Konrad Nogieć"|"al. Śląska 35/92
69-586 Jarocin"
"Ida Delikat"|"pl. Matejki 55/42
33-932 Puławy"
"Kornel Ciochoń"|"al. Narutowicza 28/99
69-127 Piaseczno"
"pan Artur Pawełko"|"ulica Wojciecha 647
75-891 Września"
"Borys Pachuta"|"aleja Władysława Łokietka 75/35
69-206 Grudziądz"
"Olaf Sulich"|"plac Głowackiego 79/25
31-656 Żywiec"
"Nikodem Wasilewicz"|"ulica Topolowa 934
59-285 Żary"
"Oskar Frankowicz"|"plac Stefana Batorego 70/44
31-533 Szczecinek"
"Jakub Jachimczak"|"pl. Armii Krajowej 94/50
82-191 Racibórz"
"pan Patryk Bzdęga"|"ul. Pszenna 13/54
05-659 Stalowa Wola"
"Gaja Damian"|"pl. Krasickiego 23/51
56-904 Wyszków"
"Elżbieta Kochanowicz"|"ul. Skrajna 23
57-542 Włocławek"
"Antoni Sadlik"|"plac Drzymały 59
14-776 Szczytno"
"Aniela Gwizdek"|"ulica Kaszubska 718
49-686 Bolesławiec"
"Borys Pituła"|"aleja Cisowa 811
43-974 Łuków"
"Arkadiusz Muskała"|"plac Wyszyńskiego 62/95
95-484 Puławy"
"Maciej Dunal"|"ul. Kazimierza Wielkiego 725
19-573 Olkusz"
"pan Jerzy Reiter"|"aleja Piekarska 72/38
75-928 Kętrzyn"
"Mariusz Kołaczek"|"plac Partyzantów 35
58-839 Warszawa"
"Roksana Dietrich"|"aleja Moniuszki 48/49
03-657 Olkusz"
"pani Elżbieta Kaczan"|"ulica Konstytucji 3 Maja 600
38-385 Goleniów"
"pani Sara Miszta"|"al. Piastowska 21
97-967 Ząbki"
"Aniela Pruchnik"|"pl. Wyzwolenia 37
88-072 Olsztyn"
"pani Tola Marko"|"pl. Sucharskiego 88/64
28-813 Kościerzyna"
"Borys Pytko"|"plac Kasprowicza 47/55
93-445 Lubartów"
"Leonard Siwa"|"ul. Matejki 189
41-399 Krosno"
"Krystian Rusnak"|"aleja Lipca 89/29
15-869 Kalisz"
"Jędrzej Gamoń"|"ulica Dojazdowa 85
18-670 Myszków"
"Patryk Machowiak"|"aleja Jana Pawła II 59/86
35-750 Żory"
"pani Sylwia Łuckiewicz"|"aleja Prusa 77/40
20-821 Bielsko-Biała"
"Mikołaj Musiolik"|"pl. Korczaka 42/91
61-830 Piekary Śląskie"
"Mateusz Glica"|"aleja Ludowa 14
84-010 Radom"
"pan Julian Nazarko"|"plac Szymanowskiego 70/11
18-275 Piekary Śląskie"
"Aleks Witka"|"ulica Powstańców 00
15-670 Bielsk Podlaski"
"Borys Zacharek"|"pl. Hallera 13
57-062 Włocławek"
"pan Maurycy Wichłacz"|"aleja Rejtana 54/80
87-614 Poznań"
"Gabriel Friedrich"|"pl. Wojska Polskiego 14/71
04-403 Ełk"
"pan Kazimierz Granat"|"ul. Sosnowa 06
38-678 Myszków"
"Dawid Lica"|"aleja Gałczyńskiego 314
12-098 Piekary Śląskie"
"Kaja Matejczyk"|"plac Wybickiego 34/85
58-981 Świętochłowice"
"Borys Cheba"|"plac Hallera 519
21-851 Dzierżoniów"
"Anita Janke"|"pl. Wybickiego 58/33
02-458 Brzeg"
"pani Urszula Brzeźniak"|"pl. Bolesława Chrobrego 67/51
26-974 Gniezno"
"Filip Koronkiewicz"|"plac Plater 37/73
68-977 Wodzisław Śląski"
"Bruno Bany"|"al. Pułaskiego 91
02-861 Bielawa"
"Ryszard Magier"|"ulica Konwaliowa 15/57
16-471 Gliwice"
"Ksawery Wawrzyczek"|"pl. Piłsudskiego 28
67-920 Suwałki"
"pani Krystyna Rorat"|"aleja Hallera 82
04-015 Dzierżoniów"
"Kamil Cyganik"|"ulica Chopina 08
75-399 Łódź"
"Wiktor Franczuk"|"aleja Krasickiego 64
38-771 Kalisz"
"Marcel Machul"|"aleja Wybickiego 89
19-717 Bełchatów"
"pan Olgierd Dymarczyk"|"ul. Paderewskiego 17
29-643 Kętrzyn"
"Róża Gajcy"|"ul. Chopina 18/48
92-968 Szczecin"
"pan Mateusz Szulist"|"ulica Zakole 30
70-402 Jawor"
"Bruno Buk"|"pl. Grottgera 34/52
73-424 Piotrków Trybunalski"
"pani Nicole Majorczyk"|"pl. Poniatowskiego 67
25-505 Koszalin"
"Tadeusz Jarkiewicz"|"ulica Bankowa 57
27-709 Białystok"
"Wojciech Palej"|"ul. Traugutta 26
14-423 Września"
"Cezary Sommerfeld"|"aleja Szkolna 442
69-419 Wieluń"
"Justyna Wajdzik"|"ulica Wiejska 56
45-520 Warszawa"
"Artur Jarosik"|"plac Wyspiańskiego 52/47
07-289 Siemianowice Śląskie"
"Arkadiusz Chmielak"|"aleja Żeromskiego 70
37-083 Oleśnica"
"Wiktor Koral"|"ul. Jodłowa 00/48
82-625 Rzeszów"
"Maksymilian Basak"|"plac Sawickiej 79/17
77-050 Kwidzyn"
"Bruno Citko"|"al. Borówkowa 55/27
87-437 Augustów"
"Rozalia Zackiewicz"|"plac Tuwima 30
32-383 Marki"
"Tymoteusz Moroń"|"ulica Wiśniowa 53/26
36-590 Stargard Szczeciński"
"Karol Fojt"|"al. Południowa 580
34-802 Poznań"
"pan Dominik Cacko"|"aleja Wojciecha 22/03
01-935 Piotrków Trybunalski"
"pan Jędrzej Radzio"|"ul. Rynek 15/49
15-807 Włocławek"
"Mikołaj Filas"|"ulica Szarych Szeregów 013
96-825 Włocławek"
"pan Tymon Zielke"|"aleja Kasprowicza 154
37-849 Piła"
"pani Malwina Kulus"|"ul. Baczyńskiego 358
45-672 Olkusz"
"Grzegorz Dankiewicz"|"plac Kochanowskiego 47/11
52-500 Świętochłowice"
"Bruno Dawidek"|"ul. Malczewskiego 20/96
41-851 Kościan"
"Dagmara Kukier"|"al. Paderewskiego 00
14-142 Będzin"
"Emil Kij"|"al. Kosynierów 08/62
78-553 Nysa"
"Anna Maria Symonowicz"|"ul. Magnoliowa 224
82-817 Gliwice"
"Krystyna Letkiewicz"|"aleja Powstańców Śląskich 915
48-033 Słupsk"
"pan Piotr Nastały"|"aleja Traugutta 56
62-484 Sandomierz"
"Monika Tyczka"|"ul. Fredry 518
52-314 Kluczbork"
"Kalina Teper"|"ulica Tysiąclecia 00/75
15-648 Mielec"
"Marika Rzeszutko"|"ulica Orla 19
09-343 Katowice"
"Malwina Kycia"|"plac Głowackiego 848
01-552 Giżycko"
"Bruno Dziadowicz"|"plac Bema 359
68-972 Bartoszyce"
"Krystyna Wisz"|"ulica Wiejska 38/97
30-467 Kalisz"
"pan Rafał Długozima"|"al. Liliowa 99
74-919 Gorlice"
"Ignacy Giersz"|"al. Sportowa 01/58
33-545 Kalisz"
"pani Olga Wojtaszczyk"|"al. Makowa 35/64
51-539 Jaworzno"
"Kacper Dziedzina"|"ul. Jagiellońska 046
51-487 Gdynia"
"Leonard Korkosz"|"pl. Kochanowskiego 34
11-474 Żyrardów"
"Jacek Fiutak"|"pl. Słowicza 518
99-333 Gniezno"
"Ewa Jaremek"|"al. Maja 800
21-187 Żagań"
"pani Róża Krzyszczak"|"pl. Jana III Sobieskiego 239
61-534 Piotrków Trybunalski"
"Bruno Hartman"|"aleja Kosynierów 32/55
27-923 Krosno"
"Krzysztof Gajzler"|"ulica Tuwima 388
89-650 Biała Podlaska"
"pani Eliza Mikłaszewicz"|"plac Waryńskiego 55/68
74-304 Bytom"
"pani Julianna Krzysztofek"|"ulica Przemysłowa 55/52
67-429 Kościerzyna"
"pan Alex Niewola"|"al. Truskawkowa 66
85-593 Augustów"
"pan Filip Bryja"|"ulica Wysoka 554
17-428 Świdnica"
"Kazimierz Wacławczyk"|"plac Żwirki i Wigury 31/72
12-498 Kłodzko"
"Mikołaj Wałdoch"|"ul. Norwida 96/68
66-836 Lubartów"
"Maks Jerzyk"|"plac Paderewskiego 04
21-153 Oświęcim"
"pan Marcel Nagel"|"ulica Asnyka 910
49-126 Wejherowo"
"Bruno Kolanko"|"ul. Wyspiańskiego 592
38-284 Wągrowiec"
"Justyna Mosiołek"|"ulica Jana Sobieskiego 52/35
29-227 Grudziądz"
"Albert Śmieszek"|"al. Urocza 517
56-474 Grodzisk Mazowiecki"
"Elżbieta Lesiewicz"|"al. Sikorskiego 285
76-025 Kraków"
"Piotr Kumorek"|"plac Andersa 66
01-463 Kościan"
"Andrzej Bodek"|"ulica Agrestowa 20
31-357 Nowy Targ"
"Blanka Boguta"|"pl. Chopina 949
88-812 Sosnowiec"
"Eryk Gonsior"|"ulica Wysoka 299
54-647 Świebodzice"
"Tobiasz Staciwa"|"aleja Kraszewskiego 56
80-423 Piaseczno"
"Anna Maria Hanusiak"|"aleja Miłosza 58
98-643 Kalisz"
"Bruno Kolek"|"ul. Składowa 88
54-258 Świdnica"
"Tobiasz Kruszka"|"pl. Waryńskiego 61
58-072 Jarosław"
"Kornel Śmieja"|"pl. Chełmońskiego 357
70-437 Gniezno"
"Wiktor Rubaj"|"ulica Konarskiego 355
57-324 Pruszcz Gdański"
"Tomasz Karpiak"|"aleja Reymonta 31
98-820 Gliwice"
"Kamil Barczuk"|"plac Głowackiego 106
59-576 Zakopane"
"Julita Gleba"|"ulica Jasna 45
57-149 Zduńska Wola"
"Igor Szywała"|"al. Krucza 177
51-511 Gorlice"
"Mikołaj Doroba"|"ul. Mickiewicza 16/78
73-629 Nowy Sącz"
"Adrianna Steckiewicz"|"al. Sawickiej 87
99-932 Kluczbork"
"Bruno Krzysztofek"|"ul. Wróblewskiego 04/60
74-448 Tarnów"
"Fryderyk Szałas"|"ul. Grottgera 51/19
64-933 Rybnik"
"Oliwier Drozda"|"pl. Grottgera 19
10-485 Pabianice"
"Stanisław Prostak"|"pl. Sawickiej 114
87-811 Łuków"
"Gaja Pacia"|"plac Kochanowskiego 798
16-254 Łaziska Górne"
"pan Krystian Klos"|"aleja Morcinka 56
57-847 Polkowice"
"Andrzej Jaremek"|"ul. Długa 25/48
57-810 Sandomierz"
"Krystyna Barczuk"|"aleja Szewska 03/95
12-190 Bochnia"
"pani Melania Nogieć"|"ul. Stycznia 282
46-009 Ząbki"
"Aleksander Kopyt"|"al. Lotnicza 96
85-380 Ełk"
"Bruno Lisik"|"plac Wolności 60/55
87-606 Zambrów"
"pan Tomasz Szemraj"|"ul. Zdrojowa 900
66-175 Biała Podlaska"
"Olgierd Kwarciak"|"ulica Głowackiego 83/45
57-400 Szczytno"
"Franciszek Borczyk"|"pl. Wojciecha 44
30-785 Chojnice"
"pani Kaja Trochim"|"aleja Chełmońskiego 05/22
08-308 Zgierz"
"Gaja Czerepak"|"al. Zapolskiej 24/66
70-378 Gniezno"
"Ewelina Piaścik"|"plac Waryńskiego 63/45
93-049 Oleśnica"
"Aniela Kwasek"|"plac Matejki 69/78
15-767 Piastów"
"pan Aleks Szwaja"|"aleja Lelewela 56/39
84-412 Chrzanów"
"Antoni Kobos"|"al. Armii Krajowej 42
49-884 Gliwice"
"Bruno Parkitna"|"pl. Tysiąclecia 97/48
30-407 Bielawa"
"Kazimierz Czopik"|"ul. Kossaka 29
76-207 Chojnice"
"pan Marek Fidura"|"al. Krasickiego 22
05-206 Chełm"
"Kacper Majdan"|"plac Kossaka 61
80-740 Zgierz"
"Leonard Krzyśków"|"plac Żeromskiego 415
45-372 Świdnik"
"pan Karol Piekara"|"ul. Osiedlowa 66/08
06-157 Zgierz"
"Róża Browarczyk"|"aleja Zacisze 319
80-060 Tczew"
"pan Kacper Gaudyn"|"aleja Floriana 12
25-998 Otwock"
"Krzysztof Rębiś"|"ulica Olchowa 14
39-268 Zakopane"
"Dominik Bartłomiejczyk"|"ul. Krokusowa 69/26
12-282 Otwock"
"Bruno Potyrała"|"ulica Kruczkowskiego 14
95-491 Cieszyn"
"Iwo Lewicz"|"plac Hallera 17
32-386 Zambrów"
"pani Rozalia Banyś"|"aleja Kosynierów 71
38-633 Bełchatów"
"Ernest Staniczek"|"plac Kusocińskiego 10
84-747 Grudziądz"
"Ernest Galon"|"pl. Jana Sobieskiego 10
81-234 Bielsko-Biała"
"pani Anastazja Wolff"|"pl. Długosza 65
86-458 Chojnice"
"pan Patryk Kazana"|"ulica Zapolskiej 64
85-004 Koło"
"pani Nicole Walkusz"|"ulica Bolesława Krzywoustego 074
42-398 Jelenia Góra"
"Eryk Hadała"|"ulica Jana 08/13
83-820 Zabrze"
"pan Maksymilian Wyderka"|"pl. Nałkowskiej 60
93-565 Szczecin"
"Bruno Puch"|"pl. Żwirki i Wigury 297
56-199 Zawiercie"
"Olga Frycz"|"al. Konstytucji 3 Maja 93/83
83-354 Krotoszyn"
"Mateusz Kobak"|"ul. Świerczewskiego 38/97
53-750 Biała Podlaska"
"pan Dominik Kułach"|"al. Towarowa 99/06
53-799 Wyszków"
"Bartek Kloska"|"al. Krasińskiego 07
13-758 Jastrzębie-Zdrój"
"Kalina Pacocha"|"pl. Daszyńskiego 12
49-939 Oława"
"Urszula Wykręt"|"aleja Szpitalna 21
32-313 Nowa Ruda"
"Sandra Starzak"|"aleja Wyszyńskiego 20
61-083 Jarocin"
"Sonia Starek"|"aleja Liliowa 809
69-788 Sieradz"
"pan Stefan Czubaszek"|"al. Wodna 46
15-829 Czerwionka-Leszczyny"
"Bruno Sapa"|"aleja Chełmońskiego 02
06-036 Racibórz"
"pan Dominik Mikita"|"aleja Borowa 92/53
19-807 Szczecinek"
"pan Ernest Ptok"|"pl. Hallera 71/48
18-189 Jawor"
"Nela Tołoczko"|"al. Sosnowa 955
89-896 Tarnów"
"Inga Milka"|"al. Zwycięstwa 124
05-644 Głogów"
"Sandra Taranek"|"plac Mieszka I 231
70-208 Cieszyn"
"Szymon Hołubowicz"|"ulica Radosna 91/31
85-983 Inowrocław"
"pan Nikodem Fleszar"|"pl. Władysława Jagiełły 087
59-623 Jawor"
"pani Eliza Michniak"|"aleja Dworska 81
02-134 Bochnia"
"Ernest Łągiewka"|"ulica Gołębia 404
59-890 Czerwionka-Leszczyny"
"Bruno Sieja"|"plac Powstańców Wielkopolskich 30/68
18-377 Jastrzębie-Zdrój"
"Tomasz Ślęczka"|"aleja Kamienna 082
51-042 Będzin"
"Cezary Strzała"|"al. Waryńskiego 87/87
71-517 Gdynia"
"Dawid Baś"|"al. Hallera 676
72-369 Wągrowiec"
"Janina Domowicz"|"plac Broniewskiego 884
72-968 Koszalin"
"pan Alex Szoka"|"ulica Daszyńskiego 42
36-756 Chojnice"
"Kaja Dub"|"ulica Mickiewicza 022
17-324 Wrocław"
"Andrzej Obst"|"al. Osiedlowa 27/29
64-260 Kościan"
"pan Franciszek Noculak"|"al. Bema 875
49-800 Jawor"
"Adrianna Jonak"|"aleja Zdrojowa 229
37-755 Jaworzno"
"Bruno Solis"|"al. Radosna 315
27-452 Jarosław"
"Angelika Półchłopek"|"ul. Popiełuszki 23
71-887 Kalisz"
"Tymoteusz Petryk"|"ulica Rubinowa 520
72-652 Legionowo"
"Radosław Puto"|"aleja Władysława Jagiełły 716
70-409 Police"
"Gabriel Och"|"pl. Batalionów Chłopskich 635
46-840 Wałbrzych"
"Aurelia Klęk"|"ulica Broniewskiego 45
23-087 Lubartów"
"Jan Kukier"|"plac Wyzwolenia 92
54-622 Słupsk"
"pani Angelika Goik"|"ul. Kosynierów 27/13
75-779 Świdnik"
"Bartek Semenowicz"|"al. Jodłowa 99
02-253 Lubin"
"Krystian Kudra"|"al. Staffa 791
45-752 Jaworzno"
"Bruno Szkopek"|"ul. Skośna 68
53-658 Iława"
"Sara Dorawa"|"pl. Jana Pawła II 72
03-014 Świnoujście"
"pani Adrianna Ostafin"|"ul. Jana Pawła II 53/21
24-474 Łuków"
"pan Tobiasz Penar"|"al. Piłsudskiego 44/62
64-432 Piaseczno"
"Nataniel Dusik"|"ulica Spółdzielcza 20
93-246 Kluczbork"
"Ryszard Wolan"|"aleja Łączna 371
52-651 Mińsk Mazowiecki"
"pani Klara Groń"|"ul. Gałczyńskiego 76/25
19-779 Jarocin"
"pan Witold Hutnik"|"ul. Bursztynowa 40/70
04-677 Kluczbork"
"Julianna Fac"|"plac Skargi 09
27-280 Starogard Gdański"
"Gabriel Maksimowicz"|"pl. Powstańców Wielkopolskich 647
96-857 Goleniów"
"Bruno Łepek"|"ul. Okrężna 85/21
52-288 Marki"
"pan Kazimierz Bogaczyk"|"plac Narutowicza 99
90-251 Brzeg"
"Wiktor Pusz"|"ul. Grzybowa 81
97-355 Gliwice"
"Sylwia Kempny"|"pl. Ściegiennego 10/99
64-668 Olkusz"
"Iwo Fiołka"|"pl. Partyzantów 240
82-996 Wyszków"
"Piotr Perka"|"ul. Tartaczna 33
78-759 Zgierz"
"pan Arkadiusz Osiadacz"|"ulica Wysoka 51/22
62-553 Skierniewice"
"Cezary Czajor"|"al. Witosa 19
90-653 Cieszyn"
"pan Łukasz Poniedziałek"|"aleja Tęczowa 64/69
91-016 Ostrołęka"
"pani Aniela Kościelak"|"al. Partyzantów 982
41-455 Augustów"
"Bruno Łobacz"|"pl. Powstańców Wielkopolskich 94
43-415 Rybnik"
"Rozalia Wojtarowicz"|"ulica Klasztorna 92/50
75-268 Jelenia Góra"
"Anastazja Jasnoch"|"aleja Partyzantów 17
66-748 Płock"
"Adrianna Friedrich"|"pl. Konopnickiej 26
86-857 Zielona Góra"
"Gustaw Kraszkiewicz"|"ul. Rataja 99
39-718 Śrem"
"Urszula Słobodzian"|"pl. Norwida 595
67-252 Września"
"Kajetan Sypień"|"al. Diamentowa 38/23
27-059 Płońsk"
"Rozalia Kucharzyk"|"aleja Letniskowa 60
16-796 Bydgoszcz"
"Ernest Czerkies"|"aleja Rynek 03/44
63-231 Oleśnica"
"Olgierd Przybyś"|"al. Zwycięstwa 71
18-367 Żary"
"Błażej Betlej"|"plac Wyzwolenia 53
05-717 Dzierżoniów"
"Oskar Gołota"|"pl. Bolesława Chrobrego 76
72-519 Starachowice"
"pan Szymon Przekwas"|"al. Szpitalna 55/84
64-889 Białystok"
"Eliza Kliszcz"|"al. Rynek 94/10
25-933 Lubin"
"Cezary Kubek"|"aleja Morelowa 81/02
14-501 Biała Podlaska"
"Antoni Kołtuniak"|"pl. Kołłątaja 005
24-388 Sandomierz"
"Maks Białka"|"al. Nałkowskiej 61/94
98-473 Września"
"Karol Grygo"|"plac Fredry 09/71
12-504 Bochnia"
"Ksawery Wujek"|"al. Malczewskiego 862
64-577 Radomsko"
"pan Kajetan Fronia"|"al. Malczewskiego 78
04-617 Pruszcz Gdański"
"Błażej Brach"|"ul. Sucharskiego 817
85-814 Skawina"
"Maksymilian Soczówka"|"pl. Reja 79/41
99-225 Lubliniec"
"Antoni Filas"|"ulica Wyzwolenia 618
79-080 Zgorzelec"
"Jan Grabara"|"ulica Kaliska 08
52-242 Świnoujście"
"Olgierd Chaberek"|"pl. Paderewskiego 72/41
79-645 Mława"
"pani Rozalia Druszcz"|"aleja Mickiewicza 14/89
40-831 Luboń"
"pani Olga Bancerz"|"ul. Wiśniowa 38
38-910 Wołomin"
"Rafał Taciak"|"aleja Bolesława Chrobrego 734
41-321 Bochnia"
"Monika Piaseczna"|"aleja Morcinka 73/50
80-040 Oleśnica"
"Rafał Pleban"|"aleja Żabia 33
66-072 Lubin"
"Błażej Cyrulik"|"al. Kościuszki 455
32-987 Będzin"
"Radosław Stawinoga"|"ul. Krasickiego 71/35
69-907 Wejherowo"
"pan Jan Dziopa"|"ulica Władysława Jagiełły 519
92-114 Koszalin"
"pan Paweł Krysik"|"ul. Daleka 825
57-492 Zamość"
"Iwo Bryda"|"pl. Krasińskiego 92
91-073 Nowy Targ"
"Eliza Mosiołek"|"al. Miłosza 291
68-456 Płońsk"
