"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Stanisław Piotrkowicz","aleja Stefana Batorego 12/80
32-703 Czechowice-Dziedzice"
"Norbert Sendor","aleja Krokusowa 57/40
51-227 Skierniewice"
"pani Apolonia Maciocha","ulica Wyszyńskiego 19
99-476 Krosno"
"Jeremi Kuświk","pl. Powstańców 478
62-864 Bielawa"
"Sara Kostera","ulica Jesionowa 41
27-808 Tomaszów Mazowiecki"
"Ksawery Ruszczak","ulica Wyspiańskiego 10/25
51-599 Łuków"
"Blanka Kołsut","ulica Dąbrowskiej 719
62-384 Zgierz"
"Cyprian Dziób","pl. Krasińskiego 82/78
15-206 Żory"
"pan Franciszek Lepak","plac Maja 368
09-515 Jelenia Góra"
"Ida Szumiło","plac Jana III Sobieskiego 480
65-311 Bielawa"
"Mikołaj Rorat","ul. Kolonia 24
23-609 Jarosław"
"Sara Kuśka","ulica Jabłoniowa 39/12
06-580 Opole"
"Dorota Proć","aleja Rubinowa 24/32
43-743 Jawor"
"Nataniel Piekart","ulica Długosza 61/84
56-811 Nowa Sól"
"Iwo Janc","plac Skargi 278
62-393 Siemianowice Śląskie"
"pani Rozalia Łokietek","al. Słoneczna 811
15-028 Kętrzyn"
"Daniel Wita","al. Paderewskiego 155
64-296 Kościan"
"Cyprian Hudzik","ulica Dolna 00
49-354 Piła"
"Kajetan Klemens","pl. Jadwigi 67
51-879 Świecie"
"Krystyna Skolik","ulica Wierzbowa 64/59
44-554 Czerwionka-Leszczyny"
"Julian Kurpisz","al. Kołłątaja 91
47-308 Ostrołęka"
"Piotr Kolarz","plac Wybickiego 45
42-893 Gliwice"
"Tobiasz Demiańczuk","aleja Konarskiego 11/23
51-071 Tomaszów Mazowiecki"
"Franciszek Bugla","al. Wilcza 027
33-630 Piastów"
"Sandra Dytrych","ulica Nałkowskiej 00
29-503 Stargard Szczeciński"
"pan Bartek Kawulok","plac Nałkowskiej 14
06-585 Piotrków Trybunalski"
"Rafał Konsek","plac Witosa 47
66-675 Ruda Śląska"
"Cyprian Jaśkowiec","aleja Broniewskiego 36/90
40-866 Ostróda"
"Kornelia Irla","aleja Maja 00
06-925 Kraków"
"Marika Podeszwa","plac Kilińskiego 22/41
41-713 Wrocław"
"Jan Murat","aleja Mieszka I 389
85-415 Ostrowiec Świętokrzyski"
"Gabriel Zawiasa","ulica Kolorowa 50/98
24-671 Mikołów"
"Patryk Siara","plac Lelewela 120
62-764 Konin"
"Borys Romaniak","al. Rajska 75
49-374 Żywiec"
"Fryderyk Kucewicz","aleja Krasickiego 069
43-656 Zakopane"
"Klara Warczak","al. Zbożowa 813
03-478 Żagań"
"Natan Stypa","al. Ptasia 73
66-153 Płońsk"
"Cyprian Lenik","ul. Poprzeczna 816
72-443 Łódź"
"Nataniel Niedośpiał","aleja Orzeszkowej 301
31-239 Jawor"
"Aleks Baka","al. Kościuszki 21/63
26-056 Opole"
"Gaja Pałęga","pl. Krasińskiego 19
94-414 Radom"
"pani Klara Turlej","pl. Kosynierów 67
60-630 Legnica"
"Angelika Zyga","pl. Brzechwy 64/37
87-958 Bielsko-Biała"
"Dariusz Grochola","ul. Pocztowa 98/34
81-572 Gorlice"
"Marianna Ochota","ulica Letnia 24
92-239 Lębork"
"Jan Cukier","al. Plater 50
16-150 Polkowice"
"Urszula Bluszcz","aleja Toruńska 798
42-286 Reda"
"Cyprian Misiejuk","aleja Handlowa 379
73-480 Iława"
"Igor Sieg","al. Kościelna 88
18-154 Słupsk"
"pani Nela Przybyś","aleja Powstańców Śląskich 033
85-438 Wałcz"
"Urszula Szałkiewicz","ul. Północna 031
59-824 Lubartów"
"Fryderyk Dietrich","al. Fredry 531
10-294 Gorzów Wielkopolski"
"Norbert Oślizło","ul. Długosza 071
53-904 Oleśnica"
"pan Michał Ryndak","ul. Fabryczna 943
64-641 Bielawa"
"Przemysław Częścik","plac Skargi 75/09
68-306 Świnoujście"
"pan Marcel Świerkosz","plac Jana 558
30-565 Katowice"
"Mateusz Durys","al. Plater 57
15-660 Legionowo"
"Cyprian Mordal","ul. Tulipanowa 46
13-984 Bydgoszcz"
"pani Marcelina Majdan","al. Podleśna 91
98-010 Gdynia"
"Kazimierz Miszta","ulica Wróblewskiego 069
70-517 Zduńska Wola"
"Tobiasz Tereszkiewicz","pl. Orzeszkowej 52/02
85-205 Brodnica"
"Adam Świerad","plac Staffa 481
32-167 Nowa Sól"
"Mateusz Kiełbowicz","aleja Wypoczynkowa 94/41
69-287 Giżycko"
"pan Jakub Komuda","pl. Bolesława Krzywoustego 539
35-896 Iława"
"Bianka Niećko","aleja Kusocińskiego 03
07-366 Cieszyn"
"Witold Gronostaj","al. Pszenna 87
54-179 Inowrocław"
"Borys Buszko","aleja Zacisze 25/57
58-129 Bielsk Podlaski"
"Cyprian Młotek","al. Działkowa 74/94
41-220 Siemianowice Śląskie"
"pani Dorota Tylec","aleja Kusocińskiego 056
14-673 Szczecin"
"Dariusz Jędrasiak","aleja Kilińskiego 712
02-614 Żywiec"
"Leon Kochman","pl. Powstańców 89
68-847 Oława"
"Patryk Sendor","pl. Moniuszki 40/66
96-383 Nysa"
"Konstanty Malcher","plac Wróblewskiego 37/56
46-109 Wodzisław Śląski"
"Olgierd Dzidek","ul. Baczyńskiego 986
14-647 Kraśnik"
"pani Dagmara Szałas","aleja Jabłoniowa 37
01-348 Nysa"
"Marcin Wiszowaty","plac Świerczewskiego 07/49
24-721 Bartoszyce"
"pan Aleks Solis","ul. Bolesława Chrobrego 287
41-708 Oleśnica"
"Cyprian Nalewajko","plac Witosa 41
04-264 Swarzędz"
"Julian Szabla","plac Drzymały 718
71-612 Płock"
"Artur Kujawiak","plac Kruczkowskiego 81/52
47-420 Nowy Targ"
"Sonia Glazer","pl. Poniatowskiego 61/13
17-349 Wrocław"
"Anna Maria Żyto","plac Rejtana 193
25-946 Łuków"
"pan Kazimierz Hawrylak","al. Moniuszki 43
90-019 Świecie"
"Ksawery Cybul","ul. Słonecznikowa 22/03
10-044 Kędzierzyn-Koźle"
"Ernest Bondyra","al. Fabryczna 351
87-325 Inowrocław"
"Marcelina Nytko","ulica Popiełuszki 588
28-693 Płońsk"
"pani Krystyna Gal","aleja Sosnowa 74
95-649 Poznań"
"Cyprian Oleksiuk","ul. Czereśniowa 24
15-027 Łaziska Górne"
"pani Sara Sobiło","ul. Lelewela 37
79-705 Wieluń"
"Rafał Dziwak","plac Popiełuszki 49
36-654 Reda"
"Angelika Czura","ul. Łanowa 03
61-719 Lębork"
"pan Fryderyk Niebudek","plac Kościuszki 33
81-236 Wałcz"
"Tomasz Leśna","pl. Chopina 14
47-445 Piaseczno"
"pan Radosław Gadzała","aleja Wiklinowa 26
18-440 Pruszków"
"Sara Koss","pl. Asnyka 56/81
85-604 Śrem"
"Julianna Barej","pl. Piłsudskiego 00
92-400 Piekary Śląskie"
"Dawid Świadek","aleja Malczewskiego 509
39-405 Świecie"
"Cyprian Putek","aleja Cmentarna 30/49
52-482 Zawiercie"
"Kornel Piekart","ulica Floriana 45/35
38-318 Płońsk"
"Urszula Ropiak","ul. Tysiąclecia 44
25-422 Elbląg"
"Krystian Wardziak","plac Kilińskiego 75/65
37-558 Bydgoszcz"
"pan Mikołaj Pazdan","plac Waryńskiego 873
82-589 Cieszyn"
"Cyprian Wolff","aleja Niepodległości 98/94
57-866 Częstochowa"
"pani Sonia Olszyna","al. Nowa 73
77-560 Nowy Sącz"
"Franciszek Ciepluch","pl. Skłodowskiej-Curie 151
94-977 Wągrowiec"
"Olaf Fita","al. Sienkiewicza 70
74-553 Kłodzko"
"Agnieszka Juraszczyk","ulica Skłodowskiej-Curie 627
66-750 Sopot"
"Cyprian Schwarz","aleja Rzeczna 645
67-167 Turek"
"pani Julianna Siciarz","plac Ściegiennego 28
72-814 Bydgoszcz"
"Nataniel Skałka","pl. Pułaskiego 707
54-315 Radomsko"
"Stanisław Domian","al. Żeglarska 235
35-709 Rzeszów"
"pani Aurelia Dawidek","al. Leszczynowa 725
03-280 Olkusz"
"Klara Szlufik","ulica Wąska 97
75-330 Siemianowice Śląskie"
"Jacek Klatka","plac Jadwigi 91/17
23-466 Piotrków Trybunalski"
"Natan Grzela","al. Powstańców Wielkopolskich 941
75-295 Łódź"
"Olga Nasiadka","al. Jałowcowa 34/10
67-606 Biłgoraj"
"pani Rozalia Groth","aleja Kraszewskiego 78/39
12-391 Dębica"
"Cyprian Siatka","aleja Podwale 099
87-488 Płock"
"Anita Fidos","al. Kaliska 38
54-940 Nowy Targ"
"Kornel Łyjak","pl. Nałkowskiej 11/11
38-679 Zawiercie"
"pani Sandra Ławniczek","ulica Morelowa 25/55
53-161 Inowrocław"
"Cyprian Karkut","al. Świerczewskiego 57/73
03-568 Sosnowiec"
"pani Rozalia Smardz","aleja Bukowa 97/85
88-256 Tarnobrzeg"
"Radosław Pasieczna","aleja Słoneczna 87
69-242 Katowice"
"pan Marcin Kuffel","aleja Magnoliowa 74
05-124 Nowa Sól"
"pani Agnieszka Siudek","plac Bolesława Krzywoustego 27/72
85-159 Pszczyna"
"pani Dagmara Świtaj","plac Żeromskiego 86/63
50-054 Częstochowa"
"Cyprian Szczesiak","plac Jana Sobieskiego 48/09
86-044 Wałcz"
"pan Wiktor Szklarek","pl. Maczka 553
94-520 Nowy Sącz"
"Aleksander Kopik","plac Sienkiewicza 78
80-566 Świdnica"
"pan Olaf Opas","plac Malczewskiego 56/01
12-631 Pruszków"
"Błażej Sierżant","pl. Kościuszki 04
56-879 Siedlce"
"Piotr Kubaczyk","ulica Bursztynowa 98/74
67-075 Nowy Sącz"
"Marek Kręcisz","plac Wybickiego 369
68-821 Zamość"
"Inga Jargiło","plac Broniewskiego 041
51-356 Świecie"
"Szymon Kazek","al. Rejtana 76/31
26-432 Zawiercie"
"Damian Hus","ulica Kruczkowskiego 96/15
48-988 Bartoszyce"
"Cyprian Wygoda","ul. Ciasna 28/15
06-340 Świebodzice"
"pan Miłosz Sondej","ulica Wróblewskiego 35
23-112 Krosno"
"pan Albert Sołtan","al. Klonowa 34
98-549 Kędzierzyn-Koźle"
"Oliwier Nazimek","pl. Solidarności 446
21-691 Bielawa"
"pan Patryk Kołaczyk","ulica Floriana 38
25-212 Kraków"
"Maciej Majczyna","ul. Spółdzielcza 20
30-957 Radomsko"
"Jeremi Zinkiewicz","aleja Dworska 59/60
52-543 Swarzędz"
"pani Adrianna Oleksak","ul. Orla 51/57
89-549 Radomsko"
"Kornelia Drewnik","ulica Bolesława Chrobrego 530
21-663 Jaworzno"
"Alan Tyczka","al. Szymanowskiego 56
52-451 Starachowice"
"Cyprian Węgrzyniak","plac Kilińskiego 815
77-528 Leszno"
"Wiktor Bulanda","ul. Słonecznikowa 09
46-073 Piekary Śląskie"
"Agnieszka Seidel","ul. Popiełuszki 57/69
27-828 Sosnowiec"
"Kacper Jachimczak","aleja Floriana 81/80
13-814 Świdnica"
"pani Marcelina Drewicz","aleja Słoneczna 52
74-214 Radom"
"Daniel Erdmann","ulica Traugutta 69/61
94-054 Inowrocław"
"Sebastian Bajko","aleja Solidarności 43/97
83-831 Swarzędz"
"Marcel Łobacz","aleja Tuwima 04/87
13-228 Września"
"Krystyna Feluś","pl. Długosza 05/26
99-328 Brodnica"
"Kornel Wysota","ulica Wiślana 36/76
93-810 Płock"
"Dagmara Kleban","aleja Szarych Szeregów 99/26
91-975 Bielsk Podlaski"
"Marianna Szuta","aleja Staffa 925
27-151 Augustów"
"pani Marcelina Gwara","al. Młyńska 76/73
25-260 Sochaczew"
"Konstanty Pompa","aleja Sucharskiego 23/16
07-298 Koło"
"pani Róża Opoka","ul. Irysowa 655
05-662 Puławy"
"pan Olgierd Galica","aleja Dworcowa 094
49-444 Kalisz"
"Eryk Korzonek","ul. Złota 716
08-688 Pabianice"
"Sebastian Laskus","aleja Skargi 364
08-827 Siedlce"
"pan Miłosz Wawrzyn","pl. Mickiewicza 84/09
30-843 Dąbrowa Górnicza"
"pani Dagmara Szuta","ulica Podgórna 70
02-933 Zakopane"
"Dagmara Ochwat","ulica Kilińskiego 90/45
10-345 Łuków"
"Alan Zadora","al. Lwowska 679
41-539 Ząbki"
"Krystian Sałuda","al. Wypoczynkowa 62
54-356 Ruda Śląska"
"pan Jan Sobuś","al. Bałtycka 35
31-017 Świdnica"
"Sebastian Postawa","ulica Złota 62/64
78-368 Piastów"
"Patryk Trzop","al. Maja 741
57-896 Zambrów"
"Hubert Cięciwa","ul. Poprzeczna 22/99
26-748 Kutno"
"Dagmara Szymków","aleja Wyspiańskiego 05/40
33-049 Chojnice"
"Aniela Bąkiewicz","plac Andersa 047
29-311 Lębork"
"Julian Cader","al. Rolnicza 86/25
27-599 Starachowice"
"Dagmara Picheta","pl. Tysiąclecia 233
68-442 Wieluń"
"pan Maciej Szmalec","plac Bolesława Krzywoustego 168
92-997 Głogów"
"Bianka Wojaczek","plac Rejtana 98/54
17-195 Nowy Targ"
"pani Justyna Górnisiewicz","ul. Dobra 301
12-819 Mielec"
"Anita Tylec","aleja Zielona 20/92
10-520 Września"
"Malwina Drobnik","plac Norwida 908
67-257 Gorzów Wielkopolski"
"Przemysław Bittner","al. Dobra 15/49
73-543 Bełchatów"
"Bartek Lejk","aleja Plażowa 68
36-866 Koszalin"
"pan Andrzej Bieniak","ulica Bolesława Chrobrego 728
07-715 Częstochowa"
"Nikodem Koniec","ul. Wojciecha 67
97-538 Zgorzelec"
"Dagmara Piechura","ul. Kilińskiego 84/23
67-602 Kraśnik"
"Anita Grodek","plac Wybickiego 83/00
01-263 Dąbrowa Górnicza"
"Angelika Chruszcz","ulica Dąbrowskiego 37/99
24-980 Ełk"
"Ewelina Kapera","ulica Boczna 165
42-813 Jasło"
"pani Angelika Przewoźny","ul. Mostowa 138
42-100 Żywiec"
"Ida Stempin","plac Andersa 01/18
10-732 Wołomin"
"Sylwia Warwas","plac Staszica 90/81
81-716 Skierniewice"
"pani Blanka Jędrak","ulica Krasickiego 48
68-969 Tarnowskie Góry"
"Kajetan Pyzel","al. Jastrzębia 59
29-304 Mielec"
"Adrianna Kołsut","pl. Jana 109
40-652 Police"
"Dagmara Przybycień","ul. Makowa 20/73
78-378 Kędzierzyn-Koźle"
"Bruno Rycerz","plac Chopina 597
19-705 Chojnice"
"Cyprian Kolarczyk","plac Jana Pawła II 30
24-919 Skarżysko-Kamienna"
"Ada Klisz","al. Akacjowa 276
30-505 Czechowice-Dziedzice"
"pan Norbert Zmuda","ulica Wałowa 31/28
27-070 Chełm"
"pani Blanka Chatys","plac Sikorskiego 19
17-890 Elbląg"
"Ernest Popielarczyk","pl. Wieniawskiego 49/24
25-040 Szczytno"
"Franciszek Wota","ulica Spółdzielcza 82/33
26-964 Wołomin"
"Justyna Pastucha","plac Piłsudskiego 49
28-857 Zakopane"
"pan Andrzej Szyca","ul. Zaciszna 98
53-370 Bochnia"
"Damian Chlipała","ulica Wiązowa 12/84
50-857 Oława"
"Jakub Szczerek","aleja Kazimierza Wielkiego 758
20-544 Legionowo"
"Marek Zacharczuk","ulica Śląska 23/17
49-084 Chełm"
"Lidia Turczyk","ul. Skargi 41/94
22-702 Starogard Gdański"
"Urszula Jaśko","plac Powstańców Śląskich 47/03
83-191 Wągrowiec"
"Stanisław Bystroń","ul. Kasprowicza 98/56
85-894 Ostrów Wielkopolski"
"Aleksander Deszcz","ulica Matejki 02
54-396 Grodzisk Mazowiecki"
"Emil Graboń","al. Narutowicza 01
59-965 Łomża"
"Jacek Karalus","ul. Wojciecha 635
24-160 Siemianowice Śląskie"
"Dagmara Iskierka","ul. Jana III Sobieskiego 57
25-063 Słupsk"
"Damian Ciarka","pl. Plater 79
74-703 Piła"
"Ewa Szpala","pl. Partyzantów 43/14
18-313 Wrocław"
"Krzysztof Mijas","al. Żwirki i Wigury 311
40-514 Nysa"
"Tola Maziarczyk","pl. Maja 610
15-099 Poznań"
"Nela Sołoducha","plac Matejki 32/47
20-939 Kraków"
"Dariusz Murach","pl. Bema 38/83
25-903 Mielec"
"Kaja Marciniszyn","aleja Sokola 37/11
78-167 Świecie"
"pan Ryszard Szwaja","pl. Bolesława Krzywoustego 72
77-181 Stargard Szczeciński"
"Melania Monkiewicz","pl. Wolności 73/80
37-490 Piekary Śląskie"
"Przemysław Hołota","aleja Kossaka 91
10-091 Bytom"
"Damian Dudzicz","ul. Sarnia 736
47-945 Rumia"
"Paweł Olas","ul. Glówna 304
21-214 Bolesławiec"
"Marcel Świć","pl. Moniuszki 49
66-065 Rzeszów"
"Konstanty Kocoł","pl. Kruczkowskiego 07
48-632 Zduńska Wola"
"Anita Berus","pl. Partyzantów 146
60-531 Sanok"
"Aleksander Kostera","plac Baczyńskiego 016
11-145 Oświęcim"
"Bianka Krysta","ul. Powstańców Śląskich 38/84
77-810 Żary"
"Kornel Granat","aleja Jarzębinowa 47
20-709 Września"
"Olaf Bicz","plac Maja 99
30-452 Kluczbork"
"Jan Szpyt","ul. Wrocławska 05
74-417 Koło"
"Damian Galik","plac Piłsudskiego 85/56
55-663 Świdnica"
"Maciej Moroń","ulica Sucharskiego 32
70-082 Kędzierzyn-Koźle"
"pan Emil Meler","aleja Wyzwolenia 05/44
50-921 Jarocin"
"Kamil Panuś","pl. Maczka 69
53-642 Ostrów Mazowiecka"
"Kamil Sydor","aleja Paderewskiego 45
74-794 Luboń"
"pani Malwina Burza","aleja Bolesława Krzywoustego 962
70-694 Ruda Śląska"
"pani Anna Maria Maleszka","plac Drzymały 88/59
23-052 Dębica"
"Julian Maligłówka","al. Podleśna 28
25-438 Racibórz"
"Piotr Pniak","al. Zachodnia 02
43-141 Wągrowiec"
"Ada Gustaw","ul. Staszica 17
72-424 Gniezno"
"Damian Hamrol","ul. Cyprysowa 14
10-340 Przemyśl"
"Tobiasz Rezmer","plac Niepodległości 05
73-531 Żary"
"Ryszard Wujek","ul. Zakątek 45
11-615 Nowy Sącz"
"Julian Obarzanek","aleja Błękitna 27
46-013 Suwałki"
"Anita Krywult","pl. Rejtana 90
16-008 Wodzisław Śląski"
"pani Ida Wajer","al. Konopnickiej 74
44-878 Jarocin"
"Przemysław Ryguła","al. Piekarska 27
01-164 Brzeg"
"Marcelina Kudela","pl. Plater 17/10
74-764 Ostrów Mazowiecka"
"pani Kornelia Potoczek","aleja Długa 35/57
61-640 Bielsk Podlaski"
"pani Anastazja Giers","pl. Orzeszkowej 046
47-638 Kalisz"
"Damian Janasz","ul. Torowa 361
57-196 Kościerzyna"
"Angelika Glegoła","ul. Batalionów Chłopskich 01/66
67-305 Mińsk Mazowiecki"
"Aleksander Szkaradek","aleja Morelowa 49/49
63-340 Piaseczno"
"Mariusz Stuglik","al. Wolności 851
37-370 Zabrze"
"Filip Lisik","al. Powstańców 069
76-969 Gorzów Wielkopolski"
"pan Alex Kaziród","ul. Poprzeczna 25
45-115 Oława"
"Aniela Tabiś","pl. Wyspiańskiego 82
04-806 Augustów"
"Adrian Komisarczyk","aleja Chopina 252
73-580 Skarżysko-Kamienna"
"pan Adrian Windak","pl. Malczewskiego 37/76
63-449 Mikołów"
"pani Rozalia Kaliciak","pl. Hallera 73
87-923 Mińsk Mazowiecki"
"Damian Joniak","ulica Szymanowskiego 988
28-031 Knurów"
"pani Bianka Ograbek","aleja Mickiewicza 19/28
47-651 Giżycko"
"pani Marianna Pazoła","aleja Cyprysowa 45
80-636 Świnoujście"
"pani Krystyna Kasica","pl. Wyszyńskiego 25
30-278 Myszków"
"Marcel Dziadkiewicz","plac Konopnickiej 184
86-805 Białystok"
"pani Ewa Syldatk","plac Fredry 94
70-202 Kluczbork"
"Ryszard Kułach","ulica Norwida 931
25-125 Łowicz"
"Damian Radke","pl. Moniuszki 15/32
09-779 Siedlce"
"pani Natasza Malesza","pl. Konarskiego 86/85
82-747 Grudziądz"
"pani Bianka Gwardiak","aleja Baczyńskiego 92
44-546 Brzeg"
"Damian Kozieja","pl. Prusa 67/54
79-131 Ząbki"
"Kornel Bobko","ul. Storczykowa 606
65-012 Toruń"
"Maks Skalik","al. Harcerska 568
45-127 Police"
"pan Igor Pyś","aleja Leszczynowa 90
36-032 Sopot"
"Kacper Kościukiewicz","aleja Wyzwolenia 65/05
14-331 Dębica"
"Tymon Tymczyszyn","plac Krasickiego 24/49
66-699 Zielona Góra"
"pan Mieszko Grzejszczak","aleja Miodowa 20/67
76-629 Piotrków Trybunalski"
"Michał Malara","al. Wróblewskiego 05/70
99-938 Tomaszów Mazowiecki"
"pani Gaja Smalec","plac Wróblewskiego 018
57-989 Kołobrzeg"
"Jacek Narożny","ul. Daszyńskiego 82
76-426 Bartoszyce"
"Damian Kózka","ulica Jesionowa 288
90-010 Jastrzębie-Zdrój"
"pani Nela Pietrak","plac Kruczkowskiego 735
49-547 Olsztyn"
"Krystian Simon","ulica Cedrowa 65/82
10-009 Ostrowiec Świętokrzyski"
"pani Gaja Futyma","plac Baczyńskiego 06/19
98-338 Piekary Śląskie"
"Gaja Fraszczyk","ulica Miła 30/78
71-944 Stalowa Wola"
"Stanisław Sromek","plac Malczewskiego 33/26
08-899 Łuków"
"Konrad Ciaś","al. Traugutta 108
62-714 Lębork"
"Julianna Duchnik","ul. Wyszyńskiego 59/53
91-700 Grodzisk Mazowiecki"
"pan Piotr Mroczko","ul. Kołłątaja 05
43-176 Sochaczew"
"Tola Gamoń","ulica Jeziorna 064
53-530 Ciechanów"
"Damian Kłoczko","plac Listopada 69/63
37-461 Żory"
"pan Robert Hankiewicz","ulica Krzywa 84
15-077 Knurów"
"Alan Królczyk","al. Glówna 02
15-243 Świdnica"
"Paweł Powierża","aleja Krakowska 48/30
35-729 Wieluń"
"Aleksander Bujas","ulica Harcerska 62
96-380 Żory"
"Borys Mrozowicz","al. Powstańców 01
19-925 Giżycko"
"Tola Lenik","ulica Norwida 24
12-401 Katowice"
"pan Leon Delikat","al. Kochanowskiego 267
54-470 Kościerzyna"
"Piotr Augustynek","plac Narutowicza 71
42-310 Piastów"
"pani Anastazja Kidoń","ulica Poniatowskiego 75/80
84-415 Gniezno"
"Damian Kłoczko","ulica Słowackiego 73
52-759 Tarnobrzeg"
"Anna Maria Hasiak","ul. Kusocińskiego 78
68-383 Oleśnica"
"Melania Kanarek","aleja Długosza 200
36-259 Dzierżoniów"
"Witold Muniak","al. Borówkowa 30
45-844 Gdynia"
"Marek Bareja","pl. Miłosza 19/53
69-902 Nowa Ruda"
"Dariusz Burczak","ul. Sportowa 56/13
14-663 Kłodzko"
"pan Olgierd Stochaj","al. Działkowa 53/72
66-265 Ostrołęka"
"Julianna Duszczyk","al. Andersa 59
60-815 Kętrzyn"
"Mariusz Boguta","pl. Maja 33
37-628 Ząbki"
"Klara Maszota","ulica Paderewskiego 284
75-909 Koło"
"Damian Mateusiak","aleja Staffa 06
05-759 Ruda Śląska"
"Ida Pastucha","pl. Dąbrowskiej 72
71-310 Środa Wielkopolska"
"Julian Seweryniak","pl. Konstytucji 3 Maja 43/88
30-508 Jaworzno"
"Olga Ruchała","aleja Pszenna 578
05-777 Dąbrowa Górnicza"
"pan Eryk Szołtysik","pl. Listopada 80/12
16-747 Sosnowiec"
"Konstanty Palej","pl. Drzymały 80
94-772 Zielona Góra"
"Inga Bełz","plac Kosynierów 051
83-893 Mińsk Mazowiecki"
"pani Apolonia Bejnarowicz","aleja Mieszka I 38/62
58-290 Olsztyn"
"pan Damian Beker","pl. Andersa 801
06-568 Tczew"
"Kajetan Pietrek","pl. Sawickiej 17/36
85-053 Jarosław"
"Damian Mikołajewicz","pl. Krasickiego 224
19-313 Grudziądz"
"pani Sylwia Siciarz","pl. Partyzantów 69/34
89-533 Piła"
"Nicole Kojder","ul. Dębowa 93
07-835 Śrem"
"Maksymilian Piestrzeniewicz","al. Piaskowa 874
87-124 Luboń"
"Dawid Mućka","aleja Sowia 74/55
29-631 Zambrów"
"pan Paweł Bartuś","aleja Głogowa 502
89-366 Jaworzno"
"pan Tomasz Żelazek","ulica Krasickiego 613
81-605 Płońsk"
"pan Stefan Dunal","al. Floriana 00
81-383 Mikołów"
"Natan Rusiniak","al. Hutnicza 912
06-663 Chełm"
"Patryk Kloch","ulica Orzeszkowej 06/28
35-984 Jarocin"
"Damian Niemira","aleja Nowa 29
62-939 Bochnia"
"Monika Pudełek","ulica Jana Pawła II 205
38-782 Legnica"
"Nela Kapinos","plac Piłsudskiego 45
21-638 Bielawa"
"Sylwia Martyka","aleja Armii Krajowej 83
88-321 Czeladź"
"pani Sandra Prokopczyk","plac Armii Krajowej 57/45
98-344 Szczytno"
"pan Adrian Jeske","aleja Pogodna 88/76
20-895 Toruń"
"Filip Gałęza","al. Kaliska 13/82
28-876 Chorzów"
"Konstanty Goik","pl. Korfantego 713
07-743 Lubartów"
"Maurycy Dadej","ulica Kochanowskiego 86
69-628 Brodnica"
"Józef Żok","ul. Rejtana 05/02
79-022 Leszno"
"Damian Prostak","pl. Słowicza 29
22-970 Bartoszyce"
"Aleks Bek","ul. Plater 108
81-271 Kielce"
"Krystyna Niemira","ul. Jagodowa 56
37-446 Siedlce"
"Łukasz Bek","ulica Grottgera 93
37-151 Otwock"
"Monika Graj","aleja Fredry 57/33
68-096 Nowy Targ"
"Nataniel Ochnik","pl. Mieszka I 69/59
08-410 Wejherowo"
"pani Elżbieta Kacperczyk","pl. Batalionów Chłopskich 19
69-473 Toruń"
"Ignacy Łobacz","ulica Jabłoniowa 705
04-926 Sandomierz"
"Ignacy Urynowicz","pl. Makuszyńskiego 721
79-110 Pruszków"
"Adrian Szeja","ul. Kolorowa 15/08
05-744 Oświęcim"
"Damian Sołoducha","al. Traugutta 133
43-676 Brodnica"
"Mieszko Tytko","al. Sarnia 39/69
73-878 Polkowice"
"Daniel Makosz","ul. Solidarności 26
93-957 Jasło"
"Kamila Kolber","al. Kilińskiego 006
08-862 Tarnowskie Góry"
"Igor Petryk","ul. Rzemieślnicza 49/78
61-040 Bełchatów"
"Angelika Witaszek","aleja Sybiraków 17/89
59-275 Piaseczno"
"pani Sandra Drabczyk","plac Kochanowskiego 46/27
31-214 Grodzisk Mazowiecki"
"Antoni Łudzik","al. Nowowiejska 36/59
70-604 Zakopane"
"Kornelia Łój","pl. Broniewskiego 13
47-770 Biłgoraj"
"Julita Fojt","ulica Chełmońskiego 95
64-473 Racibórz"
"Damian Słomiany","al. Turystyczna 78/90
35-887 Ząbki"
"Błażej Fronia","ul. Chopina 821
31-180 Jarocin"
"Oliwier Pruchnik","al. Drzymały 187
93-754 Zgierz"
"Nicole Paprotny","plac Kołłątaja 71/42
47-683 Elbląg"
"pani Sonia Tyma","pl. Powstańców Wielkopolskich 569
27-449 Chorzów"
"Kamila Ćmiel","al. Wolności 80
78-045 Bielsk Podlaski"
"Ewa Dejneka","plac Szymanowskiego 73/26
87-894 Giżycko"
"Wiktor Seidel","pl. Drzymały 10/09
53-296 Malbork"
"Filip Gajownik","plac Kraszewskiego 87/24
39-922 Piaseczno"
"pan Artur Budner","aleja Narutowicza 53/67
28-864 Bełchatów"
"Damian Uliasz","al. Długa 06/58
36-411 Czeladź"
"pan Natan Działak","pl. Kościuszki 79/87
86-126 Skarżysko-Kamienna"
"Julita Fijak","al. Narcyzowa 87
44-490 Czerwionka-Leszczyny"
"Natan Midura","ulica Krakowska 72/85
28-136 Białogard"
"Paweł Fedyk","aleja Dąbrowskiej 96
47-620 Stalowa Wola"
"Leonard Żbik","al. Kalinowa 88/03
09-200 Polkowice"
"Hubert Indyka","aleja Chopina 753
25-262 Myszków"
"pani Róża Sobel","pl. Powstańców 83/66
77-193 Bielawa"
"Tadeusz Bartocha","aleja Nadrzeczna 678
48-170 Sandomierz"
"Filip Walkusz","plac Armii Krajowej 941
80-467 Malbork"
