"Abdul Roos"	"Meyerstrasse 916
8900 Val-de-Travers" 
"Corine Koch Tanner"	"Eichenbergerstrasse 71
3636 Allschwil"
"Dr. Maud Schmid"	"Schaubstrasse 953
5213 Zürich"
"Eleni Suter"	"Kellerstrasse 27
3961 Münchenbuchsee"
"Margaret Egger"	"Vogelstrasse 54
5639 Allschwil"
"Muriel Brun"	"Joststrasse 32
6448 Rapperswil-Jona"
"Berta Gasser"	"Schmidstrasse 99
8087 Münsingen"
"Jovan Kessler"	"Burristrasse 53
5414 Münchenbuchsee"
"Josefa Keller"	"Bättigstrasse 84
5865 Sarnen"
"Bilal Eichenberger"	"Stadelmannstrasse 44
8187 Neuenburg"
"Anne-Laure Bühlmann"	"Kägistrasse 6
5215 Rheinfelden"
"Sergio Schweizer"	"Schenkstrasse 15
7787 Arbon"
"Josefa Grob"	"Fehrstrasse 52
8923 Muttenz"
"Eleonore Hofmann"	"Schenkstrasse 62
1082 Kriens"
"Mirlinda Bauer"	"Müllerstrasse 8
2459 Genf"
"Prof. Jenny Wirz"	"Meyerstrasse 32
5477 Yverdon-les-Bains"
"Nada Mäder"	"Ernistrasse 3
2212 Bassersdorf"
"Elio Moser"	"Fehrstrasse 40
6771 Lancy"
"Ibrahim Roth"	"Meyerstrasse 87
8040 Plan-les-Ouates"
"Hansueli Probst-Stauffer"	"Thommenstrasse 20
6467 Arth"
"Dorothea Portmann"	"Haasstrasse 56
4073 Bülach"
"Jona Schmidt"	"Betschartstrasse 3
7875 Spreitenbach"
"Martin Brun"	"Sennstrasse 31
3617 Glarus"
"Eleonore Martin"	"Walderstrasse 73
4120 Solothurn"
"Anja Schäfer"	"Ernistrasse 70
8582 Thalwil"
"Prof. Laetitia Peter"	"Hodelstrasse 20
3739 Lugano"
"Irène Eugster"	"Lüthistrasse 406
9960 Nyon"
"William Bachmann"	"Martinstrasse 6
6214 Nyon"
"Cecilia Ziegler"	"Leustrasse 82
6346 Biel/Bienne"
"Ricardo Wegmann-Blaser"	"Reystrasse 8
4059 Altstätten"
"Luke Kälin"	"Schärstrasse 26
2779 Neuenburg"
"Faruk Blum"	"Albrechtstrasse 46
6888 Küssnacht"
"Marlon Bernasconi"	"Schwarzstrasse 8
3287 Ebikon"
"Elfriede Benz"	"Kuhnstrasse 2
3094 Zofingen"
"Mohammad Sigrist"	"Hotzstrasse 6
4507 Flawil"
"Solène Tanner-Hauser"	"Walderstrasse 1
7081 Spiez"
"Prof. Blerim Hug"	"Ernststrasse 57
1302 Thun"
"Friederike Jenni"	"Siegriststrasse 91
6513 Münchenstein"
"Renée Hug"	"Bauerstrasse 90
1128 Köniz"
"Dr. Gabrielle Schumacher"	"Eugsterstrasse 22
7030 Val-de-Ruz"
"Marie-Claire Meili"	"Lüscherstrasse 34
6914 Spreitenbach"
"Dr. Liam Rey"	"Bärstrasse 79
5821 Solothurn"
"Vincent Mettler"	"Hartmannstrasse 347
4254 Olten"
"Elfriede Bühler"	"Zieglerstrasse 561
9269 Weinfelden"
"Gabrielle Leunberger"	"Portmannstrasse 93
5157 Grenchen"
"Lio Frey"	"Kaufmannstrasse 872
7691 Sursee"
"Maël Meister"	"Stockerstrasse 8
9153 Ecublens"
"Andy Wettstein"	"Ernistrasse 67
5978 Vernier"
"Pauline Sigrist"	"Pfisterstrasse 27
5678 Lausanne"
"Mariella Roth"	"Lüthistrasse 2
3545 Lancy"
"Leticia Spörri"	"Bühlerstrasse 2
9789 Rüti"
"Alina Zingg Schaub"	"Bühlmannstrasse 77
1491 Ecublens"
"Noëlle Zollinger"	"Hartmannstrasse 89
1616 Wetzikon"
"Elfriede Zehnder"	"Leustrasse 863
1943 Volketswil"
"Berta Roth-Bauer"	"Hafnerstrasse 71
9737 Schwyz"
"Irene Favre-Christen"	"Kunzstrasse 91
3927 Uster"
"Amin Bättig"	"Seilerstrasse 3
4896 Ostermundigen"
"Antonia Bader"	"Müllerstrasse 94
2079 Basel"
"Fatmire Stocker Kuhn"	"Kellerstrasse 5
4558 Frauenfeld"
"Manon Braun Leu"	"Huberstrasse 838
2971 Küssnacht"
"Ella Ammann-Scheidegger"	"Zürcherstrasse 66
9333 Riehen"
"Javier Probst-Hunziker"	"Bernasconistrasse 35
4443 Monthey"
"Csaba Wüthrich"	"Aebistrasse 85
1377 Ecublens"
"Eliana Weber"	"Zieglerstrasse 63
2380 Renens"
"Gottfried Kessler"	"Betschartstrasse 15
6380 Bülach"
"Skender Steffen"	"Roosstrasse 49
2575 Uster"
"Marian Wolf"	"Hoferstrasse 48
1181 Zollikon"
"Harun Stucki"	"Bachmannstrasse 32
1624 Allschwil"
"Mladen Kern"	"Bianchistrasse 29
5942 Morges"
"Lirim Merz"	"Michelstrasse 80
4913 Suhr"
"Mahmoud Geiger"	"Kälinstrasse 87
2386 Illnau-Effretikon"
"Petr Meili"	"Maurerstrasse 4
6637 Freiburg"
"Fatmir Kälin"	"Schürchstrasse 52
3691 Bernex"
"Eliane Maier"	"Gloorstrasse 36
4812 Aarau"
"Georges Schumacher"	"Hessstrasse 45
8311 Worb"
"Margit Bieri"	"Häfligerstrasse 80
5605 Plan-les-Ouates"
"Besart Hauser"	"Pfisterstrasse 325
4119 Neuhausen"
"Sophie Hasler"	"Stadelmannstrasse 77
6078 Binningen"
"Erkan Rey"	"Toblerstrasse 6
2778 Muri"
"Martina Stettler Müller"	"Eichenbergerstrasse 72
6952 Winterthur"
"Frederik Winkler"	"Hauserstrasse 534
5561 Einsiedeln"
"Timo Hartmann"	"Walterstrasse 9
6255 Bern"
"Amina Meili"	"Kaiserstrasse 159
9738 Chur"
"Eliane Stauffer"	"Jäggistrasse 43
4462 Pratteln"
"Ariana Schumacher-Ernst"	"Hessstrasse 329
7963 Pfäffikon"
"Nelly Zollinger"	"Kesslerstrasse 66
9055 Aesch"
"Vincenza Zingg"	"Schlatterstrasse 73
4720 Bülach"
"Amalia Merz"	"Meilistrasse 95
8336 Lyss"
"Jutta Schwarz Stöckli"	"Schärerstrasse 91
7549 Männedorf"
"Celia Schwarz Schweizer"	"Fischerstrasse 99
8551 Locarno"
"Anke Bucher"	"Bühlmannstrasse 489
5029 Pratteln"
"Ekaterina Bernasconi"	"Schulerstrasse 2
1032 Villars-sur-Glâne"
"Dr. Sandra Wolf"	"Arnoldstrasse 42
4968 Risch"
"Eliane Steiner"	"Itenstrasse 1
2513 Regensdorf"
"Rafael Blum-Kälin"	"Huberstrasse 47
1638 Pfäffikon"
"Rosalia Frick"	"Weberstrasse 567
7065 Grenchen"
"Nicoletta Hirt"	"Meyerstrasse 52
7105 Lugano"
"Pietro Meyer"	"Kohlerstrasse 952
9570 Steinhausen"
"Lucien Braun"	"Bauerstrasse 278
8703 Liestal"
"Emma Zehnder"	"Albrechtstrasse 616
8831 Winterthur"
"Joelle Zbinden-Stauffer"	"Martinstrasse 94
9896 Dietikon"
"Audrey Herzog"	"Stadelmannstrasse 63
9790 Villars-sur-Glâne"
"Federico Stocker"	"Bergerstrasse 94
1905 Kreuzlingen"
"Eliane Wirz"	"Bianchistrasse 41
3934 Wädenswil"
"Orlando Probst"	"Lutzstrasse 15
6290 Zug"
"Ljubisa Kaufmann"	"Jennistrasse 732
8732 Freienbach"
"Isabel Zingg Schäfer"	"Käserstrasse 2
5808 Glarus"
"Tiffany Gloor"	"Langstrasse 40
6711 Riehen"
"Dr. Angelina Wagner"	"Haasstrasse 668
7318 Neuenburg"
"Uwe Stucki"	"Maurerstrasse 25
8685 Glarus"
"Giuseppe Probst"	"Brunnerstrasse 45
4494 Lugano"
"Nevin Bachmann"	"Schnyderstrasse 86
8638 Rüti"
"Vesna Senn Christen"	"Langstrasse 595
2916 Urdorf"
"Elias Burri"	"Grossstrasse 6
8778 Bassersdorf"
"Stephanie Felber"	"Wegmannstrasse 629
1596 Payerne"
"Erion Erni-Näf"	"Lutzstrasse 55
2143 Horw"
"Ilaria Beck"	"Zollingerstrasse 4
3104 Binningen"
"Prof. Raul Hirt"	"Gerberstrasse 30
2911 Adliswil"
"Anja Kessler"	"Hessstrasse 33
8184 Buchs"
"Fabian Lutz-Bernasconi"	"Näfstrasse 351
3021 Wädenswil"
"Prof. Aurelia Scherrer"	"Walterstrasse 59
5827 Mendrisio"
"Flurina Bühlmann"	"Ernststrasse 960
5783 Kloten"
"Prof. Dimitri Wagner"	"Hartmannstrasse 7
7662 Neuenburg"
"Elias Forster"	"Wettsteinstrasse 931
3673 Winterthur"
"Edina Zingg Stadelmann"	"Maurerstrasse 50
3151 Schaffhausen"
"Besnik Bachmann"	"Maurerstrasse 4
4674 Winterthur"
"Alice Kaufmann"	"Flückigerstrasse 4
7963 Lausanne"
"Prof. Magdalena Kälin"	"Spörristrasse 540
2299 Neuenburg"
"Magdalena Burri"	"Mäderstrasse 763
4433 Bulle"
"Florentina Peter"	"Islerstrasse 75
9108 Lutry"
"Gottlieb Baur"	"Sigriststrasse 3
1545 Binningen"
"Emilia Braun"	"Schweizerstrasse 4
8384 Lancy"
"Emma Isler"	"Beckstrasse 9
2668 Küsnacht"
"Elif Moser"	"Toblerstrasse 486
5289 Cham"
"Hugo Gerber"	"Studerstrasse 96
6888 Baar"
"Georg Käser"	"Widmerstrasse 188
9454 Binningen"
"Martha Hofmann"	"Bieristrasse 19
1125 Schaffhausen"
"Elma Iten"	"Hirtstrasse 44
1010 Le Grand-Saconnex"
"Damir Kern"	"Maurerstrasse 4
5316 Bassersdorf"
"Niels Schürch"	"Sigriststrasse 74
3063 Siders"
"Carolina Weibel Rey"	"Jäggistrasse 14
8514 Meyrin"
"Samanta Hodel"	"Friedlistrasse 52
8739 Villars-sur-Glâne"
"Concetta Fehr"	"Staubstrasse 92
9908 Thun"
"Elif Schwab Hermann"	"Schallerstrasse 1
9564 Glarus"
"Susan Wagner"	"Pfisterstrasse 550
3346 Stäfa"
"Ladina Winkler"	"Ammannstrasse 84
1013 Rheinfelden"
"Yanis Egli"	"Bianchistrasse 777
2154 Emmen"
"Alejandro Schoch"	"Geigerstrasse 396
7437 Mendrisio"
"Irène Imhof"	"Suterstrasse 404
2431 Maur"
"Angelika Schwab"	"Bachmannstrasse 25
5936 Baar"
"Laetitia Studer"	"Betschartstrasse 76
3534 Genf"
"Joyce Baumann Kunz"	"Hauserstrasse 82
3703 Brugg"
"Dr. Shpresa Schuler"	"Michelstrasse 4
6115 Crans-Montana"
"Elina Bianchi"	"Wehrlistrasse 58
4470 Val-de-Travers"
"Prof. Luc Küng"	"Stutzstrasse 34
3236 Basel"
"Nikola Marti"	"Islerstrasse 3
6477 Spiez"
"Susanne Frick"	"Beckstrasse 49
9166 Aesch"
"Ramadan Hofstetter"	"Kohlerstrasse 35
6778 Onex"
"Aldo Hofstetter"	"Winklerstrasse 4
1124 Payerne"
"Samantha Hofmann"	"Baumgartnerstrasse 28
3876 Horw"
"Sophia Frick"	"Schwabstrasse 92
2786 Siders"
"Manon Aebi Grob"	"Studerstrasse 4
9430 Zollikofen"
"Dr. Kerim Meili"	"Eggerstrasse 23
5715 Steinhausen"
"Elina Ernst"	"Lustenbergerstrasse 30
4495 Glarus"
"Dr. Teresa Wehrli"	"Albrechtstrasse 2
1085 Glarus"
"Prof. Alexa Siegrist"	"Zbindenstrasse 37
7938 Spiez"
"Bianca Herzog"	"Spörristrasse 654
4603 Riehen"
"Giuliano Gerber"	"Zürcherstrasse 17
8737 Plan-les-Ouates"
"Annina Gfeller"	"Wengerstrasse 9
5538 Prilly"
"Kerim Hartmann-Kunz"	"Thommenstrasse 313
9482 Meilen"
"Nicolai Bieri"	"Maierstrasse 964
2215 Binningen"
"Cinzia Rüegg"	"Baderstrasse 91
1938 Villars-sur-Glâne"
"Alexia Bachmann"	"Schulerstrasse 38
7752 Pfäffikon"
"Elina Wüthrich Stadelmann"	"Rothstrasse 34
7531 Herisau"
"Francesca Jäggi"	"Eichenbergerstrasse 70
9488 Bellinzona"
"Georgette Bosshard"	"Bucherstrasse 77
1311 Meilen"
"Pierina Berger"	"Studerstrasse 31
1019 Rüti"
"Heinz Brunner"	"Schärstrasse 333
6807 Prilly"
"Andreia Sutter"	"Kaiserstrasse 54
7123 Wettingen"
"Suzanne Schär"	"Wettsteinstrasse 901
5140 Bulle"
"Sean Baur"	"Reystrasse 4
7016 Val-de-Ruz"
"Marcello Lang"	"Schumacherstrasse 8
5050 Aarau"
"Belinda Roth"	"Weibelstrasse 38
8031 Herisau"
"Elio Hofer-Fankhauser"	"Islerstrasse 37
6271 Weinfelden"
"Mahmut Schwab"	"Freystrasse 88
6989 Allschwil"
"Arlinda Steffen-Senn"	"Rothstrasse 286
3276 Val-de-Travers"
"Amela Weibel"	"Schärerstrasse 85
8476 Davos"
"Dominik Wegmann-Näf"	"Roosstrasse 404
6765 Allschwil"
"Aldin Wenger"	"Hoffmannstrasse 305
8373 Brig-Glis"
"Dr. Andreia Wirz"	"Bättigstrasse 52
5157 Spreitenbach"
"Alfred Lehmann"	"Kunzstrasse 83
8925 Schwyz"
"Katalin Lüthi"	"Baderstrasse 67
4393 Zofingen"
"Ramona Schlatter"	"Seilerstrasse 39
6168 Baar"
"Elio Hunziker-Bolliger"	"Leustrasse 227
6323 Münsingen"
"Nicholas Bianchi"	"Haslerstrasse 86
5702 Basel"
"Piotr Kuhn"	"Thommenstrasse 7
8229 Luzern"
"Luana Mäder"	"Walderstrasse 71
2364 Baden"
"Giacomo Imhof"	"Aebistrasse 855
4389 La Chaux-de-Fonds"
"Carola Ferrari"	"Aebistrasse 94
7663 Regensdorf"
"Eric Peter"	"Sigriststrasse 82
4487 Stäfa"
"Jutta Hodel"	"Probststrasse 73
7555 Riehen"
"Dorothea Schnyder"	"Suterstrasse 9
8060 Martigny"
"Valerio Schlatter"	"Kesslerstrasse 242
8136 Davos"
"Elio Marti"	"Baderstrasse 94
3550 Risch"
"Gloria Siegrist"	"Toblerstrasse 185
4225 Bern"
"Madeleine Hoffmann"	"Schlatterstrasse 61
1845 Winterthur"
"Bekim Blaser"	"Wengerstrasse 24
9185 Frauenfeld"
"Gil Vogt"	"Hartmannstrasse 30
3706 Kreuzlingen"
"Renate Imhof Ziegler"	"Schmidstrasse 60
2757 St. Gallen"
"Mariusz Kaiser"	"Bühlerstrasse 7
8662 Thun"
"Janis Schmid"	"Kaufmannstrasse 9
4911 Biel/Bienne"
"Dr. Yvonne Maurer"	"Eugsterstrasse 99
4619 Steinhausen"
"Line Erni"	"Ernststrasse 409
8470 Bassersdorf"
"Elio Stalder"	"Schallerstrasse 81
2597 Sitten"
"Matej Senn"	"Felderstrasse 55
5121 Thun"
"Reto Grob"	"Bühlmannstrasse 69
8631 Wil"
"Prof. Adriana Gross"	"Betschartstrasse 122
2652 Regensdorf"
"Egzon Eichenberger"	"Haasstrasse 66
7610 Uzwil"
"Antonio Ackermann"	"Lutzstrasse 34
1485 Monthey"
"Nuria Stalder"	"Stadelmannstrasse 849
3717 Illnau-Effretikon"
"Jocelyne Furrer"	"Mäderstrasse 50
9462 Regensdorf"
"Rolf Sutter"	"Joststrasse 7
9073 Urdorf"
"Luís Wolf"	"Peterstrasse 268
3875 Muri"
"Elisa Braun"	"Sigriststrasse 893
6180 Gossau"
"Josephine Schlatter"	"Fischerstrasse 40
6063 Schwyz"
"Jovan Kaiser"	"Meisterstrasse 8
5756 Rheinfelden"
"Dr. Blerim Frei"	"Ammannstrasse 55
8419 Wil"
"Prof. Enzo Schär"	"Kochstrasse 1
7533 Dübendorf"
"Danièle Seiler-Tobler"	"Ritterstrasse 59
1706 Langenthal"
"Bukurije Stöckli"	"Zollingerstrasse 69
6768 Einsiedeln"
"Magda Tanner"	"Wirthstrasse 303
1321 Flawil"
"Lynn Knecht"	"Käserstrasse 8
2759 Küsnacht"
"Léa Zingg"	"Eggerstrasse 71
4191 Risch"
"Elisa Walter"	"Siegriststrasse 213
2306 Rüti"
"Tatjana Frick"	"Lanzstrasse 33
6269 Wohlen"
"Victor Wirth"	"Staufferstrasse 429
4965 Rheinfelden"
"Arlind Müller"	"Peterstrasse 87
6931 Riehen"
"Labinot Kern"	"Amreinstrasse 69
7546 Thalwil"
"Joris Hafner"	"Siegriststrasse 10
2848 Suhr"
"Gebhard Häfliger"	"Seilerstrasse 8
5268 Horw"
"Lola Thommen"	"Furrerstrasse 77
5644 Val-de-Ruz"
"Dr. Diego Gut"	"Hoferstrasse 9
5851 Rapperswil-Jona"
"Mathis Leunberger"	"Albrechtstrasse 3
8360 Regensdorf"
"Elisabeth Bauer"	"Seilerstrasse 1
4947 Rheinfelden"
"Marcella Mettler"	"Schwarzstrasse 405
2962 Ecublens"
"Claudio Furrer"	"Bärstrasse 5
2945 Lugano"
"Prof. Roman Stutz"	"Schmidtstrasse 33
6263 Le Grand-Saconnex"
"Jana Kälin"	"Hodelstrasse 43
1627 Chêne-Bougeries"
"Jasin Stucki"	"Hoferstrasse 7
6166 Neuhausen"
"Asia Steinmann"	"Bauerstrasse 4
9510 Sursee"
"Giorgio Leu"	"Fuchsstrasse 92
8088 Illnau-Effretikon"
"Natasa Kunz"	"Schweizerstrasse 225
6169 Allschwil"
"Gaia Betschart"	"Forsterstrasse 1
2081 Gossau"
"Elisabeth Spörri"	"Fuchsstrasse 54
9991 Zollikofen"
"Frieda Albrecht"	"Vogelstrasse 3
9262 Gossau"
"Raffaela Schmid-Mayer"	"Käserstrasse 7
3498 Bülach"
"Pietro Probst"	"Kesslerstrasse 2
8315 Münchenstein"
"Joel Vogt"	"Schärstrasse 45
4455 Flawil"
"Rinor Ziegler"	"Kaufmannstrasse 6
3578 Münchenbuchsee"
"Rosetta Häfliger"	"Zieglerstrasse 72
6318 Risch"
"Brigitte Fuchs"	"Flückigerstrasse 240
3975 Möhlin"
"Eduardo Hürlimann"	"Wüthrichstrasse 86
4597 Küssnacht"
"Chantal Herzog"	"Maurerstrasse 61
1555 Freiburg"
"Elisabeth Weibel"	"Vogtstrasse 808
8444 Siders"
"Jeanine Bauer"	"Kunzstrasse 38
6303 Chêne-Bougeries"
"Xenia Kuhn Forster"	"Sigriststrasse 6
3481 Freienbach"
"Margaux Hotz-Geiger"	"Schürchstrasse 78
7169 Oftringen"
"Luise Scherrer"	"Bachmannstrasse 14
4789 Sitten"
"Germaine Schoch"	"Hermannstrasse 58
1716 St. Gallen"
"Beda Kaiser"	"Herzogstrasse 72
2371 Veyrier"
"Lena Christen Schär"	"Baumgartnerstrasse 91
7656 Ittigen"
"Eloïse Aebi"	"Steffenstrasse 27
4113 Lancy"
"Maya Furrer"	"Stockerstrasse 3
6776 Brig-Glis"
"Elisabetha Gloor"	"Häfligerstrasse 4
8613 Monthey"
"Prof. Veronica Schmid"	"Leunbergerstrasse 34
5168 Suhr"
"Konstantinos Lang"	"Wirzstrasse 10
1216 Pully"
"Salome Lüthi"	"Sigriststrasse 10
7694 Siders"
"Nemanja Ammann"	"Ernststrasse 4
7435 Männedorf"
"Radmila Seiler"	"Toblerstrasse 3
6616 Adliswil"
"Vreneli Stöckli"	"Baderstrasse 6
1214 Worb"
"Fatmire Peter-Wagner"	"Gigerstrasse 23
8562 Sursee"
"Jona Gfeller"	"Pfisterstrasse 70
9087 Münchenbuchsee"
"Ilija Müller-Thommen"	"Benzstrasse 98
6942 Plan-les-Ouates"
"Elisabetha Weber Stauffer"	"Gigerstrasse 37
1013 Liestal"
"Francine Schlatter"	"Ottstrasse 714
1867 Illnau-Effretikon"
"Maxime Egli"	"Gerberstrasse 5
9960 Herisau"
"Kurt Hafner"	"Martistrasse 88
8799 Bulle"
"Romaine Frick"	"Ernistrasse 723
5532 Stäfa"
"Frida Siegrist"	"Hunzikerstrasse 23
4402 Dübendorf"
"François Hartmann"	"Sidlerstrasse 5
4049 Meyrin"
"Letizia Lang"	"Arnoldstrasse 40
3738 Weinfelden"
"Prof. Curdin Steiger"	"Schwarzstrasse 746
8279 Risch"
"Roger Hotz"	"Lüthistrasse 23
1302 Zofingen"
"Elise Hofmann"	"Gfellerstrasse 324
5063 Ostermundigen"
"Dr. Reinhard Hürlimann"	"Martistrasse 90
8541 Freiburg"
"Ledion Iten"	"Langstrasse 246
1426 Riehen"
"Lutz Stutz"	"Itenstrasse 9
8118 Amriswil"
"Linda Fischer"	"Widmerstrasse 8
5848 Nyon"
"Elke Ammann"	"Schumacherstrasse 19
8505 Emmen"
"Mirjana Favre"	"Zimmermannstrasse 78
9927 Vernier"
"Prof. Emanuele Gloor"	"Bärstrasse 8
3289 Belp"
"Zuzana Leu"	"Hartmannstrasse 17
5746 Gossau"
"Erica Stauffer"	"Hofstetterstrasse 708
8639 Buchs"
"Eliza Lanz"	"Hunzikerstrasse 63
5483 Steffisburg"
"Wolfgang Ernst"	"Bühlerstrasse 25
5166 Bern"
"Myriam Egger-Probst"	"Schmidtstrasse 49
4059 Freienbach"
"Claire Egli"	"Walderstrasse 29
6866 Allschwil"
"Dylan Leu"	"Brunnerstrasse 58
9074 Köniz"
"Irena Hauser"	"Fuchsstrasse 336
8102 Sursee"
"Alina Schoch"	"Schneiderstrasse 8
1052 Kriens"
"Ylenia Stucki Kern"	"Maierstrasse 43
7154 Opfikon"
"Til Furrer"	"Scheideggerstrasse 757
1801 Küsnacht"
"Rina Erni Meili"	"Meilistrasse 63
3576 Bern"
"Eliza Schürch"	"Hofmannstrasse 4
1585 Muttenz"
"Prof. Gérard Hürlimann"	"Meyerstrasse 8
8438 Rheinfelden"
"Ingeborg Keller"	"Lutzstrasse 6
7911 Lugano"
"Jaqueline Senn"	"Grossstrasse 35
1508 Lyss"
"Irène Scherrer"	"Eichenbergerstrasse 8
8497 Glarus"
"Jill Siegrist Frei"	"Schmidtstrasse 62
4628 Schaffhausen"
"Meinrad Bühlmann"	"Sidlerstrasse 10
8176 Zürich"
"Oscar Hodel-Stauffer"	"Vogelstrasse 90
2844 Oftringen"
"Aurora Schweizer"	"Kaufmannstrasse 557
4949 Glarus"
"Lauriane Schwarz"	"Staufferstrasse 832
8027 Wallisellen"
"Elke Bühler"	"Studerstrasse 18
9132 Belp"
"Dr. Ramadan Gasser"	"Hodelstrasse 532
8531 Lenzburg"
"Alwin Kälin"	"Hürlimannstrasse 40
9631 Oberwil"
"Prof. Ella Blum"	"Winklerstrasse 30
3662 Villars-sur-Glâne"
"Oskar Thommen-Ziegler"	"Haslerstrasse 875
7472 Wädenswil"
"Oskar Hofstetter"	"Geigerstrasse 691
1457 Allschwil"
"Maël Jäggi"	"Walterstrasse 35
2624 Hinwil"
"Ben Schnyder"	"Islerstrasse 920
4922 Reinach"
"Dirk Spörri-Zürcher"	"Mayerstrasse 1
6885 Maur"
"Marin Frei"	"Lehmannstrasse 12
2158 Maur"
"Ellen Bachmann"	"Stadelmannstrasse 625
3658 Arth"
"Giuliana Herzog Brun"	"Scherrerstrasse 8
8814 Riehen"
"Vanessa Schoch Gfeller"	"Hofstetterstrasse 67
4033 Renens"
"Mandy Grob"	"Schärerstrasse 486
1625 Einsiedeln"
"Fridolin Tanner"	"Schaubstrasse 4
2679 Köniz"
"Gisela Bernasconi"	"Ritterstrasse 24
2100 Bülach"
"Noemi Ziegler"	"Gigerstrasse 28
8514 Yverdon-les-Bains"
"Brigitta Meili"	"Mayerstrasse 65
4099 Ostermundigen"
"Elsbeth Schwarz"	"Tannerstrasse 25
3732 Regensdorf"
"Sandy Koch"	"Kochstrasse 94
1223 Davos"
"Elma Aebi"	"Hermannstrasse 33
3612 Veyrier"
"Thea Bauer"	"Hugstrasse 40
5037 Steffisburg"
"Sladjana Baumann Graf"	"Schwabstrasse 3
3134 Mendrisio"
"Ahmad Jost"	"Bärstrasse 484
1118 Veyrier"
"Prof. Cornelius Wegmann"	"Ammannstrasse 3
4048 Stäfa"
"Ronald Küng"	"Martinstrasse 184
7124 Arbon"
"Carmelo Schaller"	"Mäderstrasse 69
9917 Olten"
"Rosetta Käser"	"Haslerstrasse 911
1532 Möhlin"
"Filipe Gloor"	"Schaubstrasse 92
2743 Volketswil"
"Stjepan Gfeller-Schweizer"	"Fischerstrasse 54
5805 Schaffhausen"
"Elmar Baumgartner-Hartmann"	"Wengerstrasse 23
6684 Illnau-Effretikon"
"Said Schumacher"	"Kaufmannstrasse 584
5278 Regensdorf"
"Pascale Küng"	"Probststrasse 914
8045 Payerne"
"Yvonne Kohler"	"Geigerstrasse 47
2585 Martigny"
"Michela Lustenberger Brun"	"Pfisterstrasse 92
3787 St. Gallen"
"Adolf Eugster"	"Zieglerstrasse 17
1178 Vernier"
"Yvan Eichenberger"	"Leustrasse 42
3166 Horw"
"Leona Hoffmann Frick"	"Kaiserstrasse 40
4831 Aarau"
"Verena Steinmann"	"Käserstrasse 22
6763 Bassersdorf"
"Eline Stöckli"	"Jäggistrasse 6
2098 Val-de-Travers"
"Elmar Schmidt"	"Pfisterstrasse 6
6575 Lyss"
"Noé Mäder"	"Bühlmannstrasse 70
8913 Zollikofen"
"François Schmidt"	"Beckstrasse 55
2653 Rheinfelden"
"Dr. Milo Lehmann"	"Albrechtstrasse 25
6510 Renens"
"Marlies Schuler"	"Rüeggstrasse 46
8407 Renens"
"Louise Leunberger"	"Wettsteinstrasse 85
1889 Schlieren"
"Gudrun Schmidt Maier"	"Brunstrasse 70
5237 Muttenz"
"Eveline Wüthrich"	"Islerstrasse 3
1695 Renens"
"Cátia Baumgartner-Schär"	"Steigerstrasse 40
2295 Solothurn"
"Erion Stalder"	"Gutstrasse 3
6666 Frauenfeld"
"Elodie Baumann-Maier"	"Gloorstrasse 621
6965 Basel"
"Christos Hess"	"Sutterstrasse 392
2712 Aigle"
"Marinette Schoch"	"Kernstrasse 6
8802 Münchenbuchsee"
"Cristina Ammann Hofmann"	"Staubstrasse 56
6768 Zürich"
"Karolina Hofer Lüscher"	"Schochstrasse 58
4042 Dietikon"
"Imelda Maurer"	"Hotzstrasse 6
9029 Aarau"
"Leopold Jäggi"	"Hoffmannstrasse 720
6811 Brig-Glis"
"Dr. Alicia Wüthrich"	"Leunbergerstrasse 38
2538 Glarus"
"Klara Steiner"	"Islerstrasse 88
8612 Steffisburg"
"Clémence Wagner"	"Kernstrasse 7
8252 Genf"
"Elodie Bär Walder"	"Blaserstrasse 62
3602 Frauenfeld"
"Bianca Furrer"	"Lüthistrasse 835
5676 Wettingen"
"Prof. Jonathan Favre"	"Ackermannstrasse 64
9751 Adliswil"
"Arlinda Bauer"	"Suterstrasse 1
2851 Langenthal"
"Léonie Peter"	"Lustenbergerstrasse 2
8954 Sitten"
"Romina Beck"	"Staufferstrasse 17
6937 Neuhausen"
"Snezana Tobler"	"Martistrasse 50
5978 Val-de-Ruz"
"Balz Beck"	"Bosshardstrasse 90
2437 Wohlen"
"Germaine Schenk"	"Fehrstrasse 61
4565 Locarno"
"Liridona Weibel"	"Baurstrasse 12
4105 Versoix"
"Elodie Koch Fankhauser"	"Flückigerstrasse 50
7259 Einsiedeln"
"Cristian Vogel"	"Toblerstrasse 11
6151 Kreuzlingen"
"Dardan Leu"	"Furrerstrasse 29
9165 Binningen"
"Anaïs Schürch"	"Schneiderstrasse 850
1222 Zürich"
"Flurina Steiger"	"Hirtstrasse 83
7453 Bellinzona"
"Corinna Brunner"	"Bolligerstrasse 451
4231 Basel"
"Sabine Ott-Hofmann"	"Hartmannstrasse 624
9538 Pratteln"
"Hartmut Giger"	"Gasserstrasse 92
5786 Opfikon"
"Dr. Wendy Fuchs"	"Rothstrasse 49
1302 Männedorf"
"Egzona Friedli"	"Arnoldstrasse 453
5768 Bellinzona"
"Elodie Wenger Winkler"	"Toblerstrasse 47
8575 Lancy"
"Malika Kuhn-Iten"	"Beckstrasse 95
9240 Adliswil"
"Hildegard Gloor"	"Hugstrasse 619
6117 Dübendorf"
"Dimitrios Probst"	"Steinmannstrasse 88
2205 Arth"
