"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Louis Riedler"|"Emmanuel-Jovanovic-Gasse 5
1191 Bischofshofen"
"Bianca Haas"|"Florentin-Schartner-Gasse 1
9662 Innsbruck"
"Carla Pircher-Berger"|"Leithnerstr. 2/6
4454 Vils"
"Dipl.-Ing. Florentin Niederl"|"Leonie-Kucera-Gasse 853
7263 Wilhelmsburg"
"Lennart Grasser"|"Annalena-Burgstaller-Weg 4/9
2444 Ferlach"
"Justin Landl-Heissenberger"|"Heinrich-Langer-Platz 72
4393 Bruck an der Leitha"
"Stefan Metzler"|"Lichteneggerstraße 9
1465 Mattersburg"
"Ben Landl-Platzer"|"William-Beer-Platz 5/2
3215 Maissau"
"Dr. Benjamin Riepl"|"Hörmanngasse 3/6
6212 Ferlach"
"Oskar Lackner"|"Rauscherstr. 5
9282 Perg"
"Angelika Lechner-Burtscher"|"Nadia-Schwab-Gasse 70
9627 Steyr"
"Lisa Kellner-Hölzl"|"Madeleine-Brenner-Straße 777
1876 Voitsberg"
"Josef Kraus"|"Meiergasse 9
7674 Wien"
"Paula Pock"|"Amelie-Schilcher-Weg 743
5919 Rattenberg"
"Mathias Hämmerle"|"Radlgasse 9
6347 Hainburg an der Donau"
"Andreas Fiedler"|"Göschlstraße 19
4344 Steyr"
"James Neumeister-Gärtner"|"Juliane-Schubert-Platz 9/7
8224 Straßburg"
"Benedict Fritsch"|"Kagerplatz 2/9
7689 Eisenstadt"
"Adelina Kölbl"|"Himmelbauerring 83
8566 Ternitz"
"Lino Kollmann"|"Lea-Scherzer-Weg 3/2
7129 Mistelbach an der Zaya"
"Luana Käfer"|"Reinischplatz 3
3468 Purkersdorf"
"Dipl.-Ing. Kai Kummer"|"Marius-Lampert-Gasse 6/5
7665 Wieselburg"
"Karina Fritz"|"Rosa-Steiner-Platz 70
7176 Ebenfurth"
"Sophia Unterweger-Fischer"|"Trummerstr. 20
2114 Wolkersdorf"
"Melissa Schulz"|"Staudacherplatz 1/2
2383 Kufstein"
"Ing. Carlotta Stöger"|"Hackerweg 3
4488 Schärding"
"Leopold Nagele"|"Rennerweg 02
7912 Ferlach"
"Benedict Haberl"|"Nina-Ritter-Straße 2
1062 Neunkirchen"
"Danilo Grabher"|"Kissgasse 46
4086 Mattersburg"
"Dipl.-Ing. Larissa Veit"|"Grünwaldstraße 4/9
6751 Wels"
"Anika Kugler"|"Nußbaumerplatz 6
8185 Perg"
"Univ.Prof. Erik Salzer"|"Nele-Mader-Ring 65
2467 Ybbs an der Donau"
"Emanuela Strohmayer-Adler"|"Marvin-Sulzer-Ring 783
6329 Schwaz"
"Marcel Pilz"|"Peter-Marx-Platz 279
2896 Gänserndorf"
"Marc Zach-Kurzmann"|"Friedrichring 544
8099 Deutsch-Wagram"
"Victor Hainzl"|"Haindlring 12
4148 Althofen"
"Danilo Steinbacher-Pfleger"|"Widmanngasse 0/6
8725 Feldkirch"
"Benedict Kurz"|"Kopfring 1
7907 Raabs an der Thaya"
"Mert Huemer"|"Aleksander-Köll-Platz 0
9218 Wörgl"
"Axel Neubauer"|"Nicolas-Fritsch-Ring 9/7
6907 Liezen"
"Joseph Held"|"Ela-Schreiber-Platz 0
6858 Köflach"
"Matilda Bruckner"|"Nino-Salzer-Ring 78
1303 Ferlach"
"Lilian Schuler"|"Friedlstr. 1/0
7461 Mariazell"
"Levi Füreder-Seidl"|"Schöberlstr. 7
6141 Ried im Innkreis"
"Emmanuel Putz"|"Jamie-Wieser-Gasse 7
7583 Feldkirchen"
"Univ.Prof. Aurelia Zeilinger"|"Elsa-Wiesbauer-Ring 39
3117 Drosendorf-Zissersdorf 1"
"Kalina Kraft-Kaltenböck"|"Frühwirthgasse 12
9511 Wolkersdorf"
"Benedict Riener"|"Fichtingerweg 691
6454 Gleisdorf"
"Nick Pendl"|"Lindingerstraße 2/8
7257 Neumarkt am Wallersee"
"Frau Selena Höglinger"|"Hölzlstraße 2/9
7954 Köflach"
"Ing. Patrik Feichtinger"|"Florin-Schwendinger-Weg 275
4543 Murau"
"Univ.Prof. Axel Groß"|"Zoe-Hahn-Gasse 048
1875 Radstadt"
"Herr Peter Mörth"|"Faschingplatz 5/4
3591 Radstadt"
"Aleksander Hagen"|"Jasmine-Pühringer-Platz 65
6902 Braunau am Inn"
"Clarissa Hinterberger"|"Rittergasse 8/8
1345 Oberwälz"
"Madeleine Sagmeister-Haderer"|"Deckerstraße 7
7312 Schrems"
"Gregor Pachler"|"Nicolas-Reichl-Gasse 7
6285 Bad Aussee"
"Benedict Santner-Raab"|"Kristian-Neumüller-Weg 4/0
3467 Knittelfeld"
"Berra Neuhauser"|"Mörthring 5/5
3112 Berndorf"
"Benjamin Schweiger"|"Rathstr. 3/1
9704 Voitsberg"
"Matthias Praxmarer"|"Darius-Lenz-Weg 835
7153 Oberwälz"
"Ilias Adam"|"Mathisweg 5
4495 Waidhofen an der Ybbs"
"Sofie Bruckner"|"Nadin-Steinbacher-Weg 67
9195 Rohrbach in Oberösterreich"
"Sandra Payer-Windisch"|"Henry-Adler-Weg 5/6
2651 Ebreichsdorf"
"William Jungwirth"|"Justus-Gabriel-Platz 73
4887 Knittelfeld"
"Calvin Mitterer"|"Josefine-Zechmeister-Gasse 04
1435 Straßburg"
"Claudia Singer"|"Bucherplatz 1/0
4267 Sankt Johann im Pongau"
"Benedikt Loidl"|"Nils-Nussbaumer-Ring 41
2910 Amstetten"
"Liam Danner-Bock"|"Simon-Günther-Platz 7
7352 Berndorf"
"Veronika Kloiber"|"Steiningerstr. 5/6
9164 Geras"
"Gustav Martin-Jank"|"Zellerstraße 4/8
8031 Graz"
"Matheo Obermayr"|"Nele-Seiler-Ring 786
5863 Groß-Gerungs"
"Levi Penz"|"Nikita-Bauer-Straße 820
8974 Bludenz"
"Severin Huter"|"Zoe-Paul-Ring 33
1091 Marchegg"
"Nikolai Neumayer"|"Tamara-Ofner-Straße 3/1
1498 Judenburg"
"Christopher Hauer"|"Philippa-Huter-Platz 2
8254 Fürstenfeld"
"Maximilian Siegl"|"Sofija-Steinlechner-Ring 0/9
9222 Attnang-Puchheim"
"Benedikt Pertl"|"Kilian-Leithner-Gasse 173
6773 Wörgl"
"Lana Blauensteiner"|"Olivia-Jauk-Gasse 3/4
1747 Eisenerz"
"Louis Schmidt"|"Schröderweg 36
3051 Köflach"
"Joshua Reischl-Kellner"|"Benedikt-Ramsauer-Gasse 1
5198 Trofaiach"
"Sonja Ramsauer"|"Laura-Egger-Gasse 83
6523 Deutsch-Wagram"
"Maksim Jäger"|"Kristian-Krall-Gasse 8/8
2381 Gmünd"
"Gustav Radl"|"Pascal-Frisch-Gasse 033
3958 Steyregg"
"Nika Kober"|"Kalchergasse 853
6021 Sankt Pölten"
"Nicola Pieber"|"Marijana-Reich-Straße 70
1705 Ternitz"
"Leoni Enzinger"|"Wienerplatz 97
3818 Rohrbach in Oberösterreich"
"Benedikt Weiß"|"Laetitia-Knapp-Ring 365
7651 Purkersdorf"
"Angelo Forstner-Himmelbauer"|"Madeleine-Baumann-Platz 2/8
6801 Laakirchen"
"Jana Wögerbauer"|"Jöbstlweg 294
4655 Wörgl"
"Herr Justin Larcher"|"Johann-Weber-Ring 5
7659 Perg"
"Tanja Hauser"|"Schlöglring 712
3716 Leoben"
"Beni Bodner"|"Käferweg 29
1005 Eferding"
"Leonora Strauss"|"Mina-Zeiner-Weg 5
2197 Mariazell"
"Dr. Benedikt Adler"|"Lydia-Hemetsberger-Weg 7
7657 Zwettl"
"Eleonora Foidl"|"Brandnergasse 70
5830 Lilienfeld"
"Noah Neumann"|"Voglerplatz 3
9186 Neusiedl am See"
"Beni Meier"|"Anika-Eberharter-Gasse 6/0
5900 Eisenstadt"
"Berra Hartmann-Gärtner"|"Luca-Schöffmann-Straße 8/2
9691 Fischamend"
"Irma Luger"|"Katarina-Karner-Gasse 99
1039 Bischofshofen"
"Christoph Bader"|"Michaela-Herrmann-Ring 22
9415 Fürstenfeld"
"Cornelius Strauß-Pöll"|"Carlo-Platzer-Weg 94
5726 Wolkersdorf"
"Sonja Stifter"|"Putzgasse 52
7585 Jennersdorf"
"Lisa-Marie Haumer-Erler"|"Sonja-Fröhlich-Platz 938
4074 Mureck"
"Johann Kronsteiner"|"Rotterstraße 69
2914 Zeltweg"
"Jessica Erler-Feichtinger"|"Peter-Mohr-Straße 5/4
9254 Kapfenberg"
"Amanda Scherz-Vogel"|"Bichlerweg 1/8
7904 Poysdorf"
"Beni Paulitsch"|"Sara-Eberhard-Platz 0/7
1568 Hallein"
"Joseph Guggenberger"|"Mara-Spreitzer-Platz 40
3734 Kufstein"
"Andrej Pammer"|"Neunerring 90
9438 Poysdorf"
"Sophia Hinterberger"|"Erik-Gattringer-Platz 038
7852 Bad Ischl"
"Oliver Pichler"|"Böhmgasse 275
4531 Steyregg"
"Bernadette Plattner"|"Tiffany-Sauer-Gasse 47
3539 Sankt Johann im Pongau"
"Mathilda Schmid"|"Anna-Maria-Brandstetter-Gasse 704
1007 Ried im Innkreis"
"Sofie Brandstätter"|"Amannweg 588
7090 Purkersdorf"
"Leona Fuhrmann"|"Jan-Oberhofer-Straße 9
5842 Villach"
"Lisa Stefan-Keplinger"|"Hollgasse 30
6813 Scheibbs"
"Beni Wallner"|"Gallerstr. 8/7
7784 Mariazell"
"Levi Sagmeister"|"Luka-Seidl-Ring 15
5814 Haag"
"Marta Stocker"|"Lionel-Wiesbauer-Ring 2/1
5960 Allentsteig"
"Esther Zechmeister"|"Rita-Lampert-Straße 13
1327 Maissau"
"Levi Ferstl"|"Bürgerstraße 9/9
5766 Ternitz"
"Lorenz Handl"|"Denggweg 42
2692 Radstadt"
"Louis Zehetner"|"Reschring 862
7459 Waidhofen an der Thaya"
"Juna Pertl"|"Pokornyplatz 6
6556 Stadtschlaining"
"Sofija Mohr"|"Friedrichgasse 06
4897 Hardegg"
"Prof. Hanna Lederer"|"Spitzerweg 95
1991 Feldbach"
"Benjamin Adam"|"Schatzlplatz 9
9169 Graz"
"Victoria Stark"|"Richard-Sagmeister-Ring 2
1531 Laa an der Thaya"
"Catharina Mair"|"Schmidlstr. 57
3114 Bad Sankt Leonhard im Lavanttal"
"Fridolin Buchegger"|"Timon-Brugger-Platz 7
1136 Oberndorf bei Salzburg"
"Prof. Adriano Neuner"|"Marta-Scholz-Straße 686
5866 Bleiburg"
"Nick Werner"|"Hofingerring 60
3560 Baden"
"Leticia Trummer"|"Thalhammerweg 9/7
7434 Bregenz"
"Liliane Pohl"|"Meierring 700
9884 Rottenmann"
"Tim Dobler-Schaffer"|"Paulweg 82
7360 Schladming"
"Marc Bartl"|"Manuel-Hofmeister-Platz 885
6842 Schärding"
"Benjamin Burger"|"Diana-Burger-Gasse 723
9981 Mödling"
"Severin Fink-Schuler"|"Stadlbauerring 382
6857 Jennersdorf"
"Mara Becker"|"Daniela-Humer-Weg 0
8152 Sankt Andrä im Lavanttal"
"Johanna Gamsjäger-Hofmeister"|"Reicherplatz 02
1996 Gmünd"
"Frau Lucie Spitzer"|"Richterstraße 90
3823 Mistelbach an der Zaya"
"Phillip Kopp"|"Lisa-Marie-Haberl-Ring 63
4148 Köflach"
"Isa Leitgeb"|"Lorenz-Maurer-Platz 6
8463 Zell am See"
"Emely Wöhrer"|"Forstnerweg 2
5703 Spittal an der Drau"
"Univ.Prof. Evelyn Teufl"|"Nikolas-Koppensteiner-Ring 991
7030 Bad Ischl"
"Frau Isabella Dengg"|"Kilian-Meyer-Ring 04
3783 Gallneukirchen"
"Benjamin Gstrein"|"Kolbgasse 6
9735 Wien"
"Irma Griesser"|"Springerplatz 1
4896 Salzburg"
"Tobias Scherer-Neumeister"|"Cecilia-Herbst-Platz 436
2200 Zistersdorf"
"Mert Kratzer-Kopf"|"Florentin-Kreiner-Gasse 070
8932 Sankt Valentin"
"Stefanie Vogl"|"Dopplerring 7
5121 Bludenz"
"Ismail Thaller"|"Marie-Louise-Pammer-Ring 7/5
3976 Schladming"
"Catharina Forster"|"Prohaskastraße 06
8363 Vöcklabruck"
"Tim Hermann"|"Hannah-Blauensteiner-Platz 97
6706 Schwanenstadt"
"Dipl.-Ing. Nathalie Weber"|"Petra-Hoffmann-Weg 2
2916 Amstetten"
"Andrej Bernhard"|"Wolfweg 1
2205 Dürnstein"
"Benjamin Lang"|"Klockergasse 772
3036 Peuerbach"
"Yasmina Zenz"|"Anne-Scherer-Platz 687
9683 Linz"
"Prof. Madeleine Schindler"|"Gschwandtnerstraße 9/5
2386 Herzogenburg"
"Emanuel Reiterer"|"Klausplatz 5/2
9148 Hartberg"
"Annabella Bucher"|"Loiblring 2
3921 Rottenmann"
"Carlotta Meindl-Buchinger"|"Walterplatz 6
2913 Stadtschlaining"
"Univ.Prof. Franziska Geisler"|"Hubert-Peham-Platz 431
7512 Schrattenthal"
"Marcel Mathis-Kaltenböck"|"Eberhardstraße 368
7819 Groß-Siegharts"
"Timo Griesser-Langer"|"Soraya-Pilz-Gasse 7
7900 Wieselburg"
"Nicolai Stoiber"|"Danilo-Hofinger-Gasse 741
9771 Bludenz"
"Benjamin Ritter"|"Harrerplatz 71
7177 Enns"
"Madeleine Kober"|"Leonie-Bergmann-Gasse 158
7343 Völkermarkt"
"Dr. Lucia Kolb"|"Denise-Hörl-Ring 9
8704 Gmunden"
"Lukas Rohrmoser"|"Amanda-Thurner-Gasse 7
8241 Poysdorf"
"Stephan Hainzl"|"Löfflerplatz 30
9767 Bregenz"
"Jasmine Mayerhofer"|"Raffaela-Geier-Weg 337
7379 Gallneukirchen"
"Jannik Beer"|"Rinnerplatz 9/6
4848 Laa an der Thaya"
"Andjelina Leopold"|"Schüllerweg 051
5835 Fürstenfeld"
"Rayana Penz"|"Georg-Nemeth-Platz 96
1392 Sankt Veit an der Glan"
"Martin Moritz"|"Hollring 1
7162 Pinkafeld"
"Bernadette Burger"|"Hofstätterstraße 544
3754 Marchegg"
"Matheo Dirnberger"|"Schrammstraße 6
9458 Steyr"
"Dipl.-Ing. Dario Buchegger"|"Markus-Bitschnau-Ring 8
9997 Voitsberg"
"Selma Bischof"|"Constanze-Kammerer-Weg 6/8
3736 Ebreichsdorf"
"Kerstin Fischer"|"Nelly-Hütter-Gasse 0
9737 Wels"
"Gabriela Rinner"|"Calvin-Haring-Straße 421
9561 Gerasdorf bei Wien"
"Danilo Hacker-Gruber"|"Finkstr. 07
2593 Krems an der Donau"
"Lia Hübner"|"Sieberergasse 9/3
4716 Eisenerz"
"Matthias Neumayr"|"Jandlgasse 58
9944 Radstadt"
"Ines Reiterer"|"Angelika-Hofinger-Ring 380
8186 Marchtrenk"
"Bernadette Grabner"|"Helena-Gamsjäger-Gasse 54
3524 Poysdorf"
"Univ.Prof. Joel Kloiber"|"Darko-Höfler-Ring 3/7
2459 Gloggnitz"
"Frau Laura Schüller"|"Meisterring 399
5593 Radenthein"
"Ing. Elyas Seitz"|"Lennart-Thurner-Platz 0/7
6376 Murau"
"Luis Danner-Trummer"|"Constanze-Payer-Straße 59
8784 Amstetten"
"Bastian Höglinger"|"Koppstr. 5/1
1035 Oberpullendorf"
"Selena Lederer-Kreiner"|"Nils-Jöbstl-Gasse 97
6306 Gallneukirchen"
"Sophie-Marie Sigl"|"Patricia-Feichtner-Platz 067
9462 Schwanenstadt"
"Univ.Prof. Nino Wögerbauer"|"Andrea-Bösch-Straße 3
7648 Frauenkirchen"
"Dr. Romy Hofbauer"|"Gabriel-Hutterer-Straße 34
9934 Litschau"
"Bernadette Hammer"|"Biedermannring 029
4194 Gmünd in Kärnten"
"Calvin Fröschl"|"Theodor-Neuhauser-Platz 0/6
1140 Laa an der Thaya"
"Patricia Weidinger-Sorger"|"Max-Stelzl-Weg 5
5811 Oberwälz"
"Carlo Zettl"|"Sattlerstraße 0/9
7095 Bregenz"
"Alma Gamsjäger"|"Gabriel-Prager-Gasse 94
6678 Deutsch-Wagram"
"Leyla Ostermann-Hollaus"|"Marc-Herbst-Weg 95
3747 Langenlois"
"Leonardo Heiss"|"Straußring 4/2
3654 Villach"
"Beatrice Stolz"|"Anna-Lena-Pfeiffer-Platz 468
3249 Hall in Tirol"
"Raphael Feichtinger"|"Nicola-Pfister-Ring 1
3640 Schrems"
"Felicitas Prinz"|"Mona-Hofstetter-Gasse 3
7441 Waidhofen an der Ybbs"
"Bernadette Hutter"|"Ava-Hebenstreit-Gasse 193
4394 Feldbach"
"Louis Käfer"|"Lechnergasse 5/1
2642 Wiener Neustadt"
"Dr. Lars Mayr"|"Sommerstr. 871
5811 Mattersburg"
"Alexander Paul"|"Lacknerplatz 7
9074 Purkersdorf"
"Juliana Anderl"|"Philipp-Plank-Weg 03
2694 Feldkirch"
"Lilian Simon"|"Moosbruggerstr. 47
9680 Stadtschlaining"
"Kalina Lindinger"|"Jennifer-Salzmann-Gasse 495
8830 Retz"
"Paul Fehringer"|"Elona-Köck-Weg 41
7002 Retz"
"Univ.Prof. Ronja Binder"|"Leonard-Pfeiffer-Platz 51
3037 Maissau"
"Ing. Fiona Gamsjäger"|"Nelly-Göschl-Platz 7/8
7036 Linz"
"Bernhard Maurer"|"Erberstr. 800
3644 Maissau"
"Christoph Grüner-Jenewein"|"Hochleitnerplatz 05
6504 Bad Ischl"
"Juliana Friedl"|"Maryam-Dallinger-Platz 412
5082 Dornbirn"
"Frau Bianca Leber"|"Holzmannplatz 30
9072 Melk"
"Robin Neugebauer"|"Königstr. 9/4
4494 Güssing"
"Beni Kohl"|"Calvin-Frisch-Weg 2/9
1558 Schladming"
"Carina Mitter"|"Baldaufstraße 96
4583 Oberwart"
"Univ.Prof. Michaela Klug"|"Kollmannstraße 4
8955 Friesach"
"Joseph König"|"Karoline-Kucera-Straße 89
8944 Ebreichsdorf"
"Nina Staudinger"|"Stella-Steidl-Gasse 445
8550 Peuerbach"
"Bernhard Scheucher"|"Elma-Wiedner-Ring 0
7347 Maissau"
"Dr. Vivian Simic"|"Schwarzstr. 7/1
3030 Friedberg"
"Lilly Hemetsberger-Bruckner"|"Waldnerplatz 71
6557 Mattighofen"
"Ing. Frederik Lengauer"|"Punzring 63
3758 Wolkersdorf"
"Dr. Benedict Ladner"|"Alena-Kessler-Gasse 3
7541 Rust"
"Fabio Wechselberger"|"Nussbaumerplatz 0
7012 Murau"
"Marcel Gmeiner-Hosp"|"Leander-Zenz-Platz 0
1956 Kindberg"
"Univ.Prof. Sigrid Markl"|"Bertholdring 80
1374 Oberwart"
"Timon Schöberl"|"Fernando-Strasser-Weg 7/2
6998 Kindberg"
"Karl Stifter-Kaspar"|"Mittereggerring 4/8
3282 Stadtschlaining"
"Berra Gratz"|"Hauerring 1/9
5852 Frauenkirchen"
"Prof. Richard Schöffmann"|"Gruberstraße 9
2507 Wilhelmsburg"
"Elyas Haller"|"Knausstr. 1
5760 Liezen"
"Manuel Stifter"|"Tafernerplatz 7/9
1416 Mattersburg"
"Robin Hübner"|"Daniela-Fitz-Straße 5
2667 Linz"
"Franziska Walcher-Hermann"|"Brandstätterplatz 26
6718 Wiener Neustadt"
"Dr. Sandra Arnold"|"Niko-Reisinger-Straße 357
1334 Bad Vöslau"
"Roman Seiwald"|"Reisingerplatz 9/5
5295 Linz"
"Igor Hödl"|"Seebacherring 65
9308 Steyregg"
"Tea Erhart"|"Charlotte-Schilcher-Platz 63
6026 Bruck an der Mur"
"Berra Juen"|"Hausbergerweg 925
4027 Vils"
"Univ.Prof. Marie Gabriel"|"Windischweg 821
8293 Köflach"
"Leandra Wild-Dittrich"|"Jannis-Köhler-Straße 0/2
9944 Bad Ischl"
"Melissa Schröder-Rainer"|"Schweitzerring 04
6089 Fischamend"
"Timo Edlinger"|"Niko-Bucher-Weg 622
6726 Ebenfurth"
"Ing. Theodora Klocker"|"Simicplatz 9/5
6657 Bruck an der Mur"
"Kristina Ender"|"Moritzstr. 6
2034 Schrattenthal"
"Ing. Lilian Keller"|"Grafgasse 7/7
2584 Bad Sankt Leonhard im Lavanttal"
"Univ.Prof. Lola Hattinger"|"Clarissa-Schreiber-Straße 63
5464 Groß-Siegharts"
"Philip Gamsjäger"|"Nikolaus-Huter-Straße 5/3
6829 Bad Leonfelden"
"Bianca Lengauer"|"Schullerweg 32
1515 Güssing"
"Dr. Lars Spitzer"|"Florentina-Kraxner-Ring 7/5
1141 Graz"
"Alma Frisch"|"Haidingerplatz 93
9832 Bad Ischl"
"Univ.Prof. Leopold Feigl"|"Vincent-Postl-Gasse 213
4739 Neulengbach"
"Beatrice Schwarzinger"|"Schuhstraße 8/3
2863 Steyr"
"Eleonora Kraft"|"Engelplatz 187
9774 Sankt Pölten"
"Roman Larcher"|"Marvin-Berner-Weg 2/1
8651 Gloggnitz"
"Dr. Martin Holzmann"|"Faschinggasse 7/5
6059 Bärnbach"
"Stephanie Reisinger"|"Hausbergerstraße 210
9010 Weiz"
"Frederik Simic"|"Viktoria-Probst-Straße 9/4
6350 Baden"
"Bianca Taferner"|"Hofstätterstr. 7/8
8807 Groß-Gerungs"
"Natan Bachler"|"Thallerstr. 746
3794 Graz"
"Ing. Luise Sagmeister"|"Liam-Kohl-Straße 50
5391 Mannersdorf am Leithagebirge"
"Franziska Sieberer-Zeller"|"Dünserstraße 078
8154 Langenlois"
"Sara Obermüller"|"Dannergasse 7
7691 Attnang-Puchheim"
"Ava Fritsch"|"Fröschlgasse 17
7468 Grieskirchen"
"Violetta Rinner"|"Mona-Winkler-Straße 817
3631 Drosendorf-Zissersdorf 1"
"Karina Kain-Petz"|"Lara-Sophie-Grabher-Straße 282
1982 Fehring"
"Henri Nußbaumer"|"Glückstr. 6
2485 Sankt Valentin"
"Nils Wegscheider"|"Friedlweg 5/1
3352 Pinkafeld"
"Bianca Yilmaz"|"Erina-Grabner-Straße 90
2263 Schwanenstadt"
"Timon Köck"|"Beckerplatz 2/7
6263 Eferding"
"Marijana Schmid"|"Marc-Neumann-Platz 580
2120 Mödling"
"Dr. Viktor Schreiber"|"Paula-Rössler-Gasse 5
1822 Groß-Siegharts"
"Friedrich Klausner"|"Mike-Peer-Straße 7/6
6040 Bleiburg"
"Finn Erler"|"Deckerweg 857
2158 Bludenz"
"Nikolas Holler"|"Mika-Stockhammer-Weg 8
5795 Zwettl"
"Darko Vogel"|"Stephan-Prinz-Straße 5
8651 Pulkau"
"Lennard Stelzer"|"Aaron-Kriegl-Straße 79
5025 Wolfsberg"
"Frau Helene Stadlbauer"|"Wöhrerring 7
2494 Purbach am Neusiedler See"
"Boris Hell"|"Artnerweg 838
8521 Friesach"
"Luca Ernst"|"Reindlstraße 86
1712 Heidenreichstein"
"Laura Wolf"|"Konradring 009
9201 Grieskirchen"
"Univ.Prof. Stefanie Gruber"|"Sara-Tanzer-Straße 34
4442 Radstadt"
"Frau Olivia Steinberger"|"Carolina-Fichtinger-Gasse 4
8487 Maissau"
"Dr. Sabine Geiger"|"Gruberplatz 0/8
8102 Bad Vöslau"
"James Götz"|"Kahrplatz 98
8999 Wiener Neustadt"
"Dipl.-Ing. Sonja Handler"|"Kirchmairring 473
3079 Waidhofen an der Ybbs"
"Frau Heidi Spitzer"|"Strohmeiergasse 1
2608 Gallneukirchen"
"Anika Schinnerl"|"Lucas-Jovanovic-Straße 328
1597 Bad Radkersburg"
"Boris Kummer"|"Zachplatz 6
4471 Pregarten"
"Marco Kurzmann"|"Rauschergasse 2
6082 Rohrbach in Oberösterreich"
"Univ.Prof. Pia Schnabl"|"Rottensteinerring 226
4845 Lilienfeld"
"Tristan Mitterer"|"Alexander-Kolm-Platz 6
9278 Weiz"
"Kyra Augustin"|"Lennard-Bartl-Ring 1/1
6277 Steyregg"
"Eva Göschl-Schuler"|"Lerchgasse 22
4813 Wilhelmsburg"
"Univ.Prof. Aurelia Kolb"|"Joel-Schnabl-Weg 54
5553 Peuerbach"
"Ariane Kriegl-Wohlmuth"|"Wallnerweg 78
6016 Eggenburg"
"Heinrich Steurer"|"Grasserweg 395
6950 Landeck"
"Fabian Kral"|"Kilian-Lampl-Straße 388
1430 Oberpullendorf"
"Bruno Frank-Prantl"|"Annalena-Sauer-Ring 848
7357 Radenthein"
"Lotta Neumüller"|"Enzingerstraße 443
7191 Hall in Tirol"
"Ajna Jahn"|"Leonard-Bernhard-Platz 207
2337 Mattighofen"
"Merlin Kaltenbrunner"|"Hauserplatz 85
4009 Maissau"
"Ing. Nicola Steurer"|"Ruppplatz 467
1250 Friesach"
"Dr. Beni Böhler"|"Herrmannstr. 5
6932 Rust"
"Henrik Fritsch"|"Heissenbergergasse 967
2808 Ried im Innkreis"
"Antonella Hörmann"|"Eckerring 2/7
8365 Zwettl"
"Teodor Oswald"|"Johann-Bruckner-Gasse 5/3
7483 Grieskirchen"
"Anne Schauer"|"Pröllplatz 52
7485 Hainburg an der Donau"
"Bruno Markl"|"Ines-Mittermayr-Straße 2
3687 Eggenburg"
"Pia Ackerl"|"Marissa-Glück-Ring 12
9797 Mattighofen"
"Nathan Riedmann"|"Frickweg 275
8567 Frohnleiten"
"Dr. Oliver Scheer"|"Mayerhoferstraße 4/8
5176 Wörgl"
"Dominik Wieser"|"Vanessa-Renner-Gasse 355
1892 Groß-Siegharts"
"Severin Riedler"|"Hauerring 2
2627 Köflach"
"Friedrich Bodner"|"Bernhard-Siegl-Weg 71
5935 Bruck an der Leitha"
"Ing. Benedikt Holl"|"Victor-Tanzer-Platz 0
2958 Neunkirchen"
"Anja Hofmann"|"Mörthgasse 45
2706 Liezen"
"Eva Pucher"|"Fankhauserring 48
8541 Oberwälz"
"Calvin Hoffmann"|"Claire-Kain-Gasse 575
6053 Hall in Tirol"
"Fridolin Hutterer"|"Lia-Mitter-Gasse 8
8052 Ternitz"
"Dr. Theo Grünberger"|"Nöbauerweg 8
7421 Wolfsberg"
"Pascal Meier"|"Nora-Braun-Weg 69
8217 Hainburg an der Donau"
"Kilian Rieger"|"Aleksandra-Fischer-Platz 2
2143 Voitsberg"
"Ilias Dittrich-Dorfer"|"Gschaiderplatz 3/4
7611 Sankt Valentin"
"Samuel Taferner-Neureiter"|"Jasmine-Nagl-Straße 480
2356 Bruck an der Leitha"
"Prof. Manuela Rottensteiner"|"Ferstlstr. 3/2
7194 Marchegg"
"Fabian Pöschl-Huber"|"Reschweg 700
4523 Mattersburg"
"Raphael Jost"|"Milo-Schwaighofer-Ring 9/5
1803 Ebreichsdorf"
"Calvin Hofstätter"|"Karoline-Ulrich-Weg 9/9
8303 Laa an der Thaya"
"Ing. Sebastian Sommer"|"Dirnbergerstr. 1
4182 Sankt Valentin"
"Michael Oberndorfer-Hahn"|"Leonie-Klingler-Straße 814
7240 Wieselburg"
"Dipl.-Ing. Ronja Burger"|"Amelie-Schrammel-Platz 9/8
9460 Oberwart"
"Univ.Prof. Felix Sieberer"|"Josefine-Friedl-Gasse 5
6529 Peuerbach"
"Manuela Knaus"|"Igor-Erber-Gasse 2/7
4771 Purbach am Neusiedler See"
"Daniel Forstner-Freudenthaler"|"Gratzstraße 5
7499 Ferlach"
"Marie-Louise Schreiner-Hofer"|"Juna-Schönberger-Weg 16
6986 Fehring"
"Tea Wachter"|"Pendlstraße 0
3947 Gmünd in Kärnten"
"Luca Lutz"|"Michelle-Lintner-Weg 46
9597 Gloggnitz"
"Calvin Kramer"|"Hausbergerstraße 0/9
7893 Schladming"
"Sophie-Marie Kalcher"|"Stroblgasse 346
5285 Steyr"
"Ing. Elvira Höglinger"|"Luana-Frühwirth-Ring 9
8845 Mank"
"Erwin Höfler"|"Jovana-Scheucher-Weg 9
5772 Eggenburg"
"Tom Vogl"|"Paula-Salzer-Gasse 608
7121 Schwanenstadt"
"Prof. Rita Felber"|"Aleksander-Stockhammer-Weg 6/1
4365 Sankt Andrä im Lavanttal"
