"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"समीर शिंदे"	"2/7 देशपांडे
अकोला-235924"
"श्री प्रिया देशमुख"	"6/5 आगरकर
अमरावती 456205"
"गणेश साळुंखे"	"55/398 शिरसाट
लातूर 389092"
"जितेंद्र भोसले"	"14/2965 अशोक महाजन
बीड-646352"
"संदीप पवारजी"	"7360 देशमुख
नागपूर 055976"
"कुमारी नेहा शिंदे"	"88 आगरकर
रत्नागिरी-632102"
"अशोक सावंतजी"	"95 अनिल साने
बीड 482581"
"श्री विनायक पाटील"	"2/1 भोसले
अहमदनगर-335288"
"ईश्वर भोसलेजी"	"64/78 चौगुले
पिंपरी-चिंचवड-365654"
"कुमारी अनिता गायकवाड"	"5 दीपक पाटील
वसई-630818"
"कुमारी उमा चौगुले"	"8 अहेर
रत्नागिरी-639266"
"श्री विकास भोसले"	"03/744 मिलिंद महाजन
मुंबई 266579"
"श्रीमती ज्योती शिंदे"	"88/2381 भोसले
अमरावती 819214"
"अनिरुद्ध देशपांडे"	"5467 स्मिता गवळी
कोल्हापूर-060418"
"श्री अनुष्का गायकवाड"	"6013 कोमल जोशी
कोल्हापूर-472010"
"कुमारी गौरव शिरसाट"	"9/1 चव्हाण
नांदेड-700204"
"विकास गवळी"	"71 देशपांडे
उस्मानाबाद 231592"
"मोहन गायकवाड"	"6724 सावंत
पिंपरी-चिंचवड 645756"
"ईश्वर मोरे"	"9/1 दत्तात्रेय देशमुख
पुणे 323841"
"दीपक चव्हाण"	"3/4 कल्पना मोरे
सांगली-305686"
"मंगेश ओक"	"2101 देशपांडे
मुंबई 734706"
"रीमा शिरसाटजी"	"06 कोल्हे
चंद्रपूर-663341"
"मीनल फडकेजी"	"96/043 पाटील
चंद्रपूर-641760"
"अपर्णा भोसलेजी"	"50/53 अरुण गायकवाड
पुणे-075378"
"दीपाली मोरेजी"	"91 रोहित सावंत
औरंगाबाद-816960"
"प्रिया गवळीजी"	"00/33 मीनल भोसले
अकोला 089493"
"आकांक्षा ठाकूरजी"	"26/625 किरण माने
सोलापूर-373849"
"प्रवीण फडके"	"18 निखिल फडके
पिंपरी-चिंचवड-095056"
"उमा अहेरजी"	"92 देशमुख
मिरज-018442"
"श्रीमती प्रवीण गायकवाड"	"20 अहेर
बीड-411659"
"हर्षदा सावंतजी"	"53 सावंत
रत्नागिरी-658426"
"कुमारी पंकज राऊत"	"38/42 विवेक कांबळे
औरंगाबाद 514429"
"अभिषेक जगतापजी"	"3 सुरेश पाटील
लातूर 360000"
"अरुण पाटील"	"720 मेघा मोरे
सोलापूर 469129"
"गौरी महाजनजी"	"30 मोरे
नांदेड 127147"
"श्रीमती उमेश जगताप"	"87 अंजली अहेर
पिंपरी-चिंचवड-053275"
"आशा चव्हाणजी"	"0364 समीर महाजन
गोंदिया 540947"
"ज्योती कदमजी"	"9 जोशी
उस्मानाबाद-358403"
"उमा कांबळेजी"	"9363 आगरकर
मुंबई-834175"
"कुमारी चेतना महाजन"	"44 विनायक कोल्हे
सातारा 703848"
"मीनल गायकवाड"	"09/142 गवळी
कोल्हापूर-159992"
"अभिषेक जगताप"	"4469 माने
जळगाव-588169"
"कुमारी सुनील राऊत"	"48 जाधव
गोंदिया-794676"
"अरुण कदम"	"8 अंजली चव्हाण
औरंगाबाद-888235"
"कुमारी पूजा जगताप"	"73/56 धनंजय माने
मुंबई 130003"
"श्रीमती रोहित जोशी"	"37/9353 सावंत
अहमदनगर 416170"
"रेणुका साळुंखेजी"	"3/9 साने
सांगली 253882"
"दत्तात्रेय माने"	"59 अनिरुद्ध शिंदे
चंद्रपूर 660993"
"उमा कुलकर्णी"	"8452 लता देशमुख
मुंबई-198305"
"संदीप आगरकर"	"4/9 साळुंखे
वसई-383341"
"श्रीमती अमित अहेर"	"2666 रीमा फडके
सोलापूर 610933"
"ईश्वर शिंदेजी"	"01/8540 अमित राऊत
वसई-624252"
"श्रीमती कीर्ती राऊत"	"51 शिरसाट
औरंगाबाद-296348"
"कुमारी अरुण जाधव"	"41 सुरेश गवळी
अहमदनगर-562227"
"तन्वी साने"	"44/482 कोल्हे
मिरज-389327"
"राहुल ठाकूरजी"	"78/348 मोरे
नांदेड-269818"
"पंकज देशपांडे"	"1569 लता शिरसाट
रत्नागिरी 803221"
"अभिजीत भोसलेजी"	"72 अमोल साळुंखे
हिंगोली 971213"
"उमा गवळीजी"	"17/1312 सावंत
अहमदनगर-944003"
"कैलास चौगुले"	"7547 महाजन
परभणी 069696"
"प्रवीण मानेजी"	"28/50 अहेर
परभणी 527918"
"प्रशांत जोशीजी"	"93/69 आकाश कदम
मुंबई 950903"
"अरुण जगतापजी"	"8 हर्षद राऊत
नागपूर 623213"
"मीनल सानेजी"	"38 संदीप आगरकर
गोंदिया-991267"
"श्री वैशाली साळुंखे"	"81/053 निलेश कांबळे
पिंपरी-चिंचवड-572133"
"इशिता महाजनजी"	"08/95 गौरव राऊत
सातारा-932691"
"चेतन आगरकरजी"	"96 स्नेहा साने
कोल्हापूर-271941"
"प्रज्ञा मोरेजी"	"07/428 पवार
नाशिक 869465"
"उमा जगताप"	"433 गणेश गवळी
परभणी-505439"
"पूजा साळुंखे"	"05/050 भोसले
कोल्हापूर-263087"
"ईश्वर मोरे"	"73/92 चेतन मोरे
गोंदिया-963060"
"प्रकाश सावंत"	"73/4966 आशा भोसले
सातारा-703914"
"कुमारी विवेक गायकवाड"	"88/993 भोसले
कोल्हापूर 169712"
"अनुष्का गवळीजी"	"30 विकास शिंदे
रत्नागिरी-866620"
"अनिल आगरकरजी"	"65/51 भोसले
जळगाव 408241"
"हर्षद पाटीलजी"	"89/9081 विकास राऊत
मुंबई-589405"
"माधव अहेर"	"68/14 कोमल भोसले
बीड-504989"
"दत्तात्रेय चव्हाणजी"	"51 सावंत
उस्मानाबाद-934457"
"उमा जगतापजी"	"32 शिंदे
पिंपरी-चिंचवड 218696"
"मीनल सावंत"	"21 कुलकर्णी
ठाणे 641882"
"कुमारी रोहिणी ओक"	"9343 अशोक मोरे
उस्मानाबाद 795787"
"रेणुका गायकवाडजी"	"23 स्वाती महाजन
बीड 607677"
"निखिल देशमुख"	"56/23 हर्षद गायकवाड
सांगली 995234"
"शिल्पा सानेजी"	"2 कोल्हे
नाशिक 176582"
"उमेश कदम"	"17 पवार
लातूर-310268"
"श्रीमती दीपाली कोल्हे"	"78/75 आगरकर
सोलापूर-509802"
"लता पाटील"	"76/4573 अशोक पाटील
औरंगाबाद-363037"
"समीर जाधवजी"	"72/93 चेतना ठाकूर
जळगाव-860370"
"उमा जोशी"	"0 जाधव
अमरावती 753575"
"श्री मंगेश कोल्हे"	"9762 ओक
मुंबई 664756"
"कुमारी दीपक ठाकूर"	"45 अनिता जगताप
गोंदिया 174922"
"ईश्वर सावंतजी"	"04/650 माधव अहेर
नांदेड 692938"
"अनिरुद्ध गवळीजी"	"00/3196 भोसले
हिंगोली 038270"
"आकांक्षा मानेजी"	"993 अनिता कांबळे
सांगली-392797"
"प्रशांत कुलकर्णीजी"	"72/9376 गवळी
नवी मुंबई-798695"
"दत्तात्रेय महाजन"	"47/11 आगरकर
बीड 862976"
"अभिजीत पाटील"	"32 अनिल साळुंखे
पुणे-262643"
"श्री गौरव भोसले"	"589 गणेश पाटील
उस्मानाबाद-122632"
"उमा जोशी"	"75/7566 अनुष्का चौगुले
सांगली 267322"
"उमा अहेर"	"6/3 गायकवाड
नवी मुंबई-305623"
"लता जोशीजी"	"49 मिलिंद राऊत
लातूर 268759"
"अमित कुलकर्णी"	"9 ओक
नागपूर 028722"
"श्री दत्तात्रेय मोरे"	"2 चेतन माने
ठाणे 937318"
"प्रकाश मानेजी"	"5793 आकांक्षा ठाकूर
नागपूर 200814"
"कुमारी अनिरुद्ध जगताप"	"07 जाधव
सातारा 514903"
"अपर्णा अहेर"	"8/2 जाधव
ठाणे 309051"
"स्वाती कुलकर्णी"	"9 जगताप
परभणी-627628"
"श्री अभिषेक कुलकर्णी"	"07 कोमल कोल्हे
सांगली 630425"
"उमा जोशीजी"	"8341 ज्योती देशपांडे
चंद्रपूर-914403"
"कुमारी हर्षद शिंदे"	"767 पवार
अमरावती-459450"
"निलेश जोशीजी"	"09/96 कांबळे
जळगाव-543150"
"निखिल ओकजी"	"65/7011 आशा कांबळे
नाशिक 842762"
"स्नेहा शिंदेजी"	"763 आकांक्षा शिंदे
अमरावती 987626"
"श्रीमती चेतना जाधव"	"24/4727 आगरकर
चंद्रपूर-230272"
"दीपक सावंत"	"15/110 पाटील
रत्नागिरी 855931"
"कुमारी प्रशांत कदम"	"10/98 जगताप
मिरज 782757"
"विनायक सावंत"	"3251 शिल्पा भोसले
परभणी-499680"
"पल्लवी जगताप"	"02 जाधव
नवी मुंबई 729345"
"उमा ठाकूर"	"731 महाजन
कोल्हापूर-923647"
"अभिजीत गवळी"	"62/66 ज्योती देशपांडे
सातारा 102894"
"पूजा फडके"	"493 वैशाली चौगुले
सातारा 273829"
"श्री विकास चौगुले"	"79/345 अनिल कुलकर्णी
यवतमाळ-263504"
"श्री रीमा सावंत"	"82/70 जोशी
नवी मुंबई-980822"
"माधव साळुंखे"	"1181 अनुष्का कांबळे
पुणे-173309"
"कुमारी उमा पाटील"	"08/13 कुलकर्णी
सातारा 730530"
"आकाश साळुंखेजी"	"396 देशपांडे
गोंदिया 822197"
"हर्षद गवळीजी"	"2 रेणुका देशपांडे
मुंबई-359452"
"ईश्वर कांबळेजी"	"150 हर्षदा ओक
बीड 357606"
"उमा देशमुखजी"	"79/1671 जोशी
सातारा-017018"
"विवेक सावंत"	"8433 देशमुख
नांदेड 474236"
"अपर्णा शिरसाटजी"	"50/291 अपर्णा मोरे
पिंपरी-चिंचवड-501182"
"श्री प्रज्ञा चव्हाण"	"7437 भोसले
नवी मुंबई 603763"
"रेणुका चव्हाणजी"	"77/379 सावंत
पिंपरी-चिंचवड 046497"
"शिल्पा महाजनजी"	"8/1 उमेश ठाकूर
नाशिक 668992"
"श्रीमती लता भोसले"	"67/5693 दीपक गायकवाड
सातारा 124533"
"माधव शिंदेजी"	"25 श्रुती चौगुले
मिरज-009537"
"संदीप साळुंखे"	"96/75 उमा अहेर
औरंगाबाद 433677"
"श्री हर्षदा जाधव"	"3/1 शिरसाट
सांगली-203626"
"उमा भोसले"	"6 ओक
औरंगाबाद 936893"
"शिल्पा भोसलेजी"	"9435 सुरेश देशपांडे
नाशिक 061697"
"विनायक मानेजी"	"95/16 कुलकर्णी
मुंबई-832583"
"कविता साळुंखेजी"	"86 कांबळे
गोंदिया-196097"
"कल्पना कांबळे"	"072 राहुल साळुंखे
गोंदिया-944245"
"धनंजय चौगुलेजी"	"19/43 दत्तात्रेय साळुंखे
नवी मुंबई 795609"
"श्रीमती अरुण देशमुख"	"761 चेतना कदम
नाशिक-031368"
"भूषण राऊतजी"	"2 ठाकूर
कोल्हापूर-588223"
"अशोक पवार"	"15 किरण जाधव
कोल्हापूर 468653"
"नेहा चौगुलेजी"	"56/830 स्नेहा भोसले
उस्मानाबाद 186048"
"उमा माने"	"39/93 ठाकूर
हिंगोली 518821"
"श्री दीपक कदम"	"640 निलेश गवळी
परभणी-399706"
"कुमारी अमोल ओक"	"99/472 महाजन
पुणे 008515"
"आशा गायकवाड"	"6/8 चौगुले
कोल्हापूर 235376"
"गौरी पाटीलजी"	"6001 कदम
पिंपरी-चिंचवड-359509"
"कुमारी अनिल जाधव"	"31 मोहन साळुंखे
लातूर-681577"
"दत्तात्रेय मोरेजी"	"97/882 गवळी
नागपूर 820627"
"श्रीमती ज्योती पवार"	"1/4 अंजली कोल्हे
उस्मानाबाद-766031"
"कुमारी प्रज्ञा ओक"	"7324 साने
उस्मानाबाद 909306"
"श्री प्रकाश अहेर"	"81 शिरसाट
उस्मानाबाद-805846"
"उमा मानेजी"	"2 पाटील
नांदेड 130372"
"उमा कोल्हे"	"5 साने
अकोला 188540"
"हर्षद महाजनजी"	"41 सचिन चव्हाण
अमरावती-820955"
"सचिन पवारजी"	"3915 मोरे
वसई-871454"
"आकाश चव्हाण"	"31/72 साने
नाशिक-413277"
"श्री प्रज्ञा माने"	"8/0 सावंत
सांगली 876763"
"श्री अशोक पवार"	"33/719 गौरव चव्हाण
अमरावती 767498"
"अरुण अहेरजी"	"12/8710 ओक
धुळे-049592"
"आकाश चव्हाणजी"	"6490 अरुण फडके
पिंपरी-चिंचवड 498878"
"चेतना जाधवजी"	"29 उमेश गायकवाड
सांगली 604294"
"उमा शिंदे"	"4569 प्रशांत पवार
नांदेड-906501"
"कुमारी अनुष्का पाटील"	"32 गौरी कुलकर्णी
लातूर 572097"
"विनायक देशपांडेजी"	"8 देशपांडे
जळगाव-848622"
"प्रवीण देशपांडे"	"8/3 प्रवीण गवळी
यवतमाळ 719877"
"कुमारी वैशाली पाटील"	"784 कीर्ती जाधव
नवी मुंबई-936338"
"दीपक मोरे"	"9/0 अहेर
चंद्रपूर 403006"
"स्वाती पवारजी"	"0565 जाधव
पुणे-720918"
"कुमारी विकास जोशी"	"054 धनंजय साळुंखे
यवतमाळ 579287"
"प्रशांत पाटीलजी"	"29 गणेश माने
पुणे 615262"
"कुमारी प्रज्ञा जगताप"	"6034 जगताप
चंद्रपूर 019850"
"उमा शिंदे"	"732 महाजन
ठाणे 170273"
"तन्वी पाटील"	"6391 कोल्हे
लातूर-468142"
"कीर्ती भोसलेजी"	"21/55 ठाकूर
जळगाव-273052"
"विकास पाटील"	"8203 गवळी
धुळे-608559"
"मानसी कदमजी"	"545 प्रिया अहेर
सातारा-509413"
"सुनील शिरसाट"	"892 भूषण राऊत
औरंगाबाद 221378"
"धनंजय देशमुख"	"14 गायकवाड
धुळे 618624"
"प्रिया साने"	"5 राऊत
सातारा-084393"
"श्रीमती तन्वी गवळी"	"43/21 पल्लवी कांबळे
गोंदिया 795456"
"दीपाली राऊतजी"	"5676 साने
नागपूर-321830"
"उमा शिंदे"	"81 जगताप
जळगाव-343971"
"गौरी चौगुलेजी"	"8 अमित जाधव
गोंदिया-810702"
"रोहित गायकवाड"	"824 पूजा अहेर
मिरज-390338"
"अंजली सानेजी"	"06/1557 अनिरुद्ध भोसले
चंद्रपूर 148720"
"धनंजय कदम"	"01 अशोक साने
चंद्रपूर-108089"
"जितेंद्र ओकजी"	"06/46 विनायक देशमुख
सोलापूर 478287"
"सुरेश अहेरजी"	"43/7507 गौरव पाटील
परभणी 093525"
"आशा चौगुलेजी"	"7/1 शिरसाट
परभणी 833714"
"मानसी ओकजी"	"20 अशोक जाधव
सोलापूर 940618"
"मीनल महाजनजी"	"72/292 विनायक गवळी
जळगाव 893626"
"उमा शिंदे"	"87 कदम
नाशिक 024439"
"संदीप आगरकर"	"2/1 अशोक देशमुख
अमरावती-316366"
"अभिषेक कुलकर्णीजी"	"48/7743 प्रशांत कांबळे
वसई 467314"
"दीपक कुलकर्णी"	"2594 कल्पना कुलकर्णी
सातारा 807485"
"रीमा अहेर"	"92/90 आदित्य गायकवाड
अहमदनगर-093236"
"पल्लवी जोशीजी"	"26/5758 कीर्ती माने
मुंबई 885253"
"माधुरी कांबळे"	"09/1127 महाजन
लातूर-728260"
"अभिजीत गायकवाड"	"5/7 जाधव
पिंपरी-चिंचवड 000264"
"स्मिता कोल्हेजी"	"6304 राहुल पवार
सोलापूर 753603"
"अनिरुद्ध कोल्हेजी"	"2244 अनिरुद्ध कोल्हे
वसई 859503"
"उमा साने"	"8184 अनुष्का जगताप
नाशिक 010851"
"वैशाली गायकवाडजी"	"11/81 जाधव
बीड-780987"
"कुमारी वैशाली साळुंखे"	"8138 गवळी
चंद्रपूर-865042"
"प्रिया जाधवजी"	"48/5317 अभिषेक शिरसाट
अकोला 203257"
"प्रशांत पाटील"	"460 दत्तात्रेय कदम
मुंबई-674133"
"रीमा आगरकरजी"	"3/5 जाधव
नाशिक-880446"
"गौरी भोसलेजी"	"3433 ओक
चंद्रपूर 238665"
"कुमारी माधुरी शिंदे"	"302 कदम
मिरज-031630"
"स्नेहा ठाकूर"	"787 वैशाली पाटील
पुणे-709681"
"श्रीमती आकांक्षा फडके"	"449 साने
नाशिक 806896"
"उमा सानेजी"	"11/4769 पवार
चंद्रपूर-699543"
"ज्योती कोल्हेजी"	"25/815 देशमुख
लातूर-781863"
"अंजली साळुंखेजी"	"3/0 समीर पाटील
सांगली-088464"
"कुमारी पूजा शिंदे"	"5 कविता देशपांडे
गोंदिया 416866"
"कुमारी ईश्वर मोरे"	"4954 कविता सावंत
मुंबई-446397"
"संदीप ओकजी"	"073 कदम
परभणी-514300"
"विवेक पवारजी"	"3 चौगुले
परभणी-514573"
"उमा महाजन"	"7/9 भूषण शिरसाट
सांगली-905509"
"कुमारी मानसी जगताप"	"5897 पूजा कुलकर्णी
नाशिक-031501"
"दीपाली अहेर"	"13/26 वैशाली राऊत
लातूर 894089"
"उमा सानेजी"	"6211 पाटील
ठाणे-979644"
"अनुष्का कुलकर्णीजी"	"21 ओक
मुंबई 603010"
"रोहिणी मानेजी"	"5 पवार
वसई 314316"
"आशा ठाकूर"	"65/24 कदम
गोंदिया 206363"
"निखिल मोरेजी"	"9/9 उमेश देशपांडे
लातूर-502610"
"उमेश जाधव"	"8468 गणेश गवळी
मिरज 869610"
"इशिता चव्हाण"	"807 साळुंखे
अकोला 875899"
"रोहिणी गवळीजी"	"57 मेघा साळुंखे
धुळे-369109"
"श्रीमती दत्तात्रेय आगरकर"	"9 राहुल सावंत
सातारा 818968"
"गौरव कदमजी"	"204 कीर्ती अहेर
नागपूर-061618"
"उमा साळुंखे"	"0 इशिता चव्हाण
मिरज 351031"
"श्रीमती पंकज भोसले"	"668 ज्योती अहेर
लातूर 406457"
"श्री कैलास साळुंखे"	"996 माधुरी चव्हाण
पुणे-581833"
"मोहन जोशी"	"3440 जोशी
कोल्हापूर-602945"
"कुमारी प्रज्ञा माने"	"1016 ओक
मुंबई-805844"
"कुमारी अनिता शिंदे"	"24/85 कोल्हे
अकोला-300134"
"श्रीमती वैशाली जगताप"	"8 देशपांडे
पुणे-757128"
"माधव मोरे"	"71/8835 ओक
कोल्हापूर 470489"
"चेतन साळुंखे"	"11/111 मानसी जाधव
परभणी-369902"
"जितेंद्र सावंत"	"3/0 जाधव
उस्मानाबाद 179389"
"उमा साळुंखे"	"705 पाटील
औरंगाबाद-408157"
"अंजली ठाकूरजी"	"59/19 पाटील
जळगाव 477148"
"अनुष्का आगरकरजी"	"29 अमित सावंत
बीड-628693"
"कुमारी मेघा माने"	"59/458 कुलकर्णी
जळगाव 711037"
"प्रज्ञा गायकवाडजी"	"1157 देशपांडे
अमरावती-632161"
"निलेश कांबळे"	"34/743 हर्षद ठाकूर
हिंगोली 171716"
"श्रीमती अमित अहेर"	"71/54 साने
औरंगाबाद 630326"
"श्री स्नेहा कांबळे"	"05 सावंत
ठाणे-333991"
"अभिजीत माने"	"67/53 फडके
गोंदिया-255528"
"श्रीमती कोमल देशपांडे"	"4112 अनिल जगताप
जळगाव-029911"
"उमा सावंतजी"	"443 पाटील
औरंगाबाद 991249"
"दीपक अहेर"	"30/648 श्रुती देशमुख
हिंगोली-634171"
"रोहिणी गवळीजी"	"71 देशमुख
परभणी 398594"
"श्रीमती मेघा साळुंखे"	"77 राऊत
वसई 588938"
"आकांक्षा आगरकर"	"614 भोसले
चंद्रपूर 796057"
"श्रीमती अनुष्का पाटील"	"81/1960 स्वाती कोल्हे
पुणे 673209"
"कुमारी राहुल पवार"	"6556 मोहन कोल्हे
यवतमाळ-038775"
"रोहिणी गवळीजी"	"53 गवळी
पुणे-844736"
"चेतन चौगुलेजी"	"8434 पवार
परभणी 671097"
"लता जाधव"	"55/589 कुलकर्णी
उस्मानाबाद-232442"
"उमेश आगरकर"	"3670 जितेंद्र कदम
नवी मुंबई 321589"
"विवेक चव्हाण"	"22/2161 आदित्य आगरकर
नाशिक-773496"
"लता साने"	"9 आकाश अहेर
गोंदिया-946698"
"श्री सुनील कदम"	"47/75 आदित्य साळुंखे
मिरज 614505"
"दत्तात्रेय कदमजी"	"98 आशा कांबळे
अमरावती 839235"
"कल्पना मोरेजी"	"74/886 सावंत
धुळे 824457"
"कविता गवळी"	"71/1909 ठाकूर
अहमदनगर 646464"
"प्रिया साळुंखे"	"5/1 चेतना अहेर
बीड 921532"
"श्रीमती सुनील कुलकर्णी"	"89/979 चव्हाण
अकोला-770972"
"हर्षदा शिंदे"	"5/0 पवार
गोंदिया 635989"
"उमेश आगरकर"	"87/4778 सचिन माने
अमरावती-812657"
"श्रीमती चेतना सावंत"	"19 उमा कांबळे
रत्नागिरी-848076"
"श्री सुनील गवळी"	"7956 फडके
रत्नागिरी 217902"
"स्मिता सानेजी"	"496 आकाश शिरसाट
परभणी 949497"
"विवेक पाटीलजी"	"3517 आकाश महाजन
नाशिक-190996"
"अपर्णा कुलकर्णीजी"	"02/2456 कविता देशपांडे
अमरावती 982333"
"कुमारी अनिल चौगुले"	"55/938 स्मिता शिरसाट
कोल्हापूर-675858"
"पंकज फडकेजी"	"3/9 आदित्य जोशी
यवतमाळ 182696"
"शिल्पा ओकजी"	"06/2216 गायकवाड
गोंदिया 544556"
"मेघा कदमजी"	"7718 विनायक गायकवाड
अमरावती 489166"
"उमेश ओक"	"3946 पाटील
सांगली 592873"
"विवेक माने"	"21/36 संदीप गायकवाड
पिंपरी-चिंचवड 713391"
"प्रवीण शिरसाटजी"	"84/3419 पाटील
पिंपरी-चिंचवड 796987"
"निखिल कुलकर्णीजी"	"4660 निलेश सावंत
नांदेड-081992"
"चेतन पवार"	"9892 राऊत
जळगाव-699622"
"कीर्ती कदम"	"8 मोरे
लातूर 341774"
"लता देशमुखजी"	"82/239 जोशी
अकोला 237639"
"चेतन सानेजी"	"20/51 पाटील
अमरावती 240823"
"विकास सावंत"	"97/4822 देशमुख
गोंदिया-322934"
"अपर्णा सावंत"	"38/84 समीर जोशी
रत्नागिरी-693738"
"उमेश कोल्हेजी"	"02/52 अहेर
यवतमाळ 968816"
"कुमारी अशोक गवळी"	"89/245 रेणुका कांबळे
मिरज-660057"
"श्रीमती धनंजय कुलकर्णी"	"63 देशपांडे
मुंबई-653880"
"रोहित अहेरजी"	"0/1 देशमुख
अमरावती-181510"
"कुमारी भूषण जाधव"	"6/9 विनायक कोल्हे
ठाणे-360736"
"लता कुलकर्णीजी"	"66 साळुंखे
नांदेड 310224"
"निलेश चव्हाण"	"68 मेघा देशमुख
नागपूर-315457"
"स्वाती पवार"	"13 जोशी
धुळे 390930"
"श्रीमती कैलास राऊत"	"4/0 नेहा गवळी
नाशिक 837524"
"कुमारी रोहिणी देशपांडे"	"0/4 मोरे
नवी मुंबई 541090"
"उमेश गायकवाड"	"4/4 कदम
कोल्हापूर-330377"
"श्री विनायक गायकवाड"	"64/95 लता गायकवाड
कोल्हापूर 477057"
"इशिता मोरे"	"71/3442 ओक
सातारा 924722"
"श्रीमती मेघा ओक"	"6947 सुरेश फडके
ठाणे 118133"
"श्रीमती स्मिता शिंदे"	"64/655 अहेर
चंद्रपूर 223425"
"कुमारी निखिल मोरे"	"613 कैलास अहेर
गोंदिया 187591"
"श्रीमती मंगेश फडके"	"1 कैलास देशपांडे
परभणी-476078"
"अमोल माने"	"1/9 प्रज्ञा चव्हाण
नांदेड-024055"
"स्वाती देशपांडे"	"77/99 अनुष्का जोशी
परभणी 292218"
"गणेश कुलकर्णीजी"	"87 मकरंद सावंत
चंद्रपूर-904562"
"उमेश चव्हाणजी"	"9 गणेश कोल्हे
पुणे 958425"
"कोमल जाधवजी"	"08/1647 देशपांडे
सांगली 645783"
"हर्षदा जाधव"	"4/6 साने
सांगली 092694"
"कुमारी हर्षदा गवळी"	"775 अंजली पवार
धुळे-253405"
"कीर्ती गायकवाड"	"80/12 मोरे
परभणी 950364"
"मिलिंद फडकेजी"	"396 ठाकूर
मुंबई-516258"
"अनिल चव्हाणजी"	"91/69 चेतना आगरकर
मुंबई 440550"
"कुमारी मकरंद फडके"	"6728 अपर्णा ठाकूर
मुंबई 158272"
"तन्वी चव्हाण"	"7798 आगरकर
धुळे-676863"
"कुमारी कैलास राऊत"	"14/7098 देशमुख
नाशिक-424304"
"उमेश जगताप"	"38 प्रवीण साळुंखे
नाशिक 409525"
"हर्षद शिरसाट"	"6/3 देशपांडे
यवतमाळ 559699"
"पल्लवी फडके"	"3818 पल्लवी फडके
सोलापूर-096749"
"श्रीमती अमित पाटील"	"4732 अहेर
जळगाव 790957"
"राहुल गायकवाड"	"7 चेतना कुलकर्णी
अकोला-332704"
"श्री मानसी जगताप"	"4 अरुण जोशी
यवतमाळ 128658"
"तन्वी कदमजी"	"6760 निखिल जाधव
मुंबई 383931"
"ईश्वर कांबळे"	"89 नेहा साने
सातारा 228920"
"मिलिंद चव्हाण"	"85/9844 अरुण जाधव
उस्मानाबाद-005808"
"मोहन सावंत"	"698 रोहित भोसले
कोल्हापूर-391304"
"उमेश जोशी"	"27/6905 चव्हाण
परभणी-041792"
"ईश्वर चौगुले"	"77 शिंदे
हिंगोली-026650"
"कोमल साळुंखे"	"48/2683 गायकवाड
ठाणे 057235"
"कविता शिंदेजी"	"5 जगताप
नागपूर 880345"
"श्री निखिल जाधव"	"33/5553 जोशी
औरंगाबाद 284108"
"कुमारी प्रज्ञा कोल्हे"	"14 मोहन जाधव
हिंगोली-388850"
"श्रीमती मकरंद ठाकूर"	"93/05 श्रुती चौगुले
मुंबई-380993"
"आदित्य साने"	"69/067 पवार
लातूर-620071"
"मेघा देशपांडेजी"	"13/688 भोसले
जळगाव-753813"
"मीनल गायकवाड"	"56/2982 श्रुती पाटील
परभणी 953824"
"उमेश महाजन"	"43/322 राऊत
लातूर 239472"
"श्रुती कदमजी"	"813 कदम
परभणी-596071"
"श्रीमती वैशाली पाटील"	"57/9240 रोहित चौगुले
औरंगाबाद 927531"
"श्रीमती अमोल ठाकूर"	"51 ठाकूर
नागपूर 409171"
"श्री भूषण साळुंखे"	"97/58 कांबळे
बीड 105452"
"सचिन देशमुखजी"	"674 साळुंखे
लातूर 833304"
"सुनील कदम"	"5 मोहन चौगुले
सांगली-843589"
"इशिता साळुंखेजी"	"8302 सावंत
वसई-441621"
"अनिरुद्ध चौगुले"	"78/5136 अनिरुद्ध ओक
सांगली 694225"
"श्री अनिता आगरकर"	"49/240 शिरसाट
कोल्हापूर-877097"
"उमेश महाजनजी"	"23/411 साने
अकोला 580845"
"प्रकाश कांबळे"	"70/26 देशमुख
चंद्रपूर-406026"
"श्रीमती सचिन अहेर"	"1338 अभिजीत देशपांडे
लातूर 299558"
"अनिरुद्ध भोसले"	"0/9 जगताप
सोलापूर 591312"
"रीमा ठाकूर"	"2612 मीनल आगरकर
मुंबई 536555"
"श्रीमती उमा गायकवाड"	"0/8 मंगेश कांबळे
अहमदनगर-012127"
"श्री मिलिंद जोशी"	"446 साने
लातूर-501652"
"मिलिंद गायकवाडजी"	"1/1 हर्षद शिंदे
ठाणे 557921"
"सुनील ओकजी"	"77 कांबळे
मिरज 667226"
"कविता फडके"	"65 जाधव
वसई-306521"
"उमेश मानेजी"	"4 भोसले
पुणे 501196"
"कुमारी नेहा पवार"	"617 संदीप पवार
गोंदिया-867164"
"आदित्य पवार"	"7461 उमेश साने
मिरज 347102"
"कुमारी गौरव कोल्हे"	"77 कोमल आगरकर
नांदेड-328339"
"श्रीमती माधव चव्हाण"	"34 अनिता मोरे
सातारा-103458"
"आदित्य देशपांडे"	"21/64 साळुंखे
गोंदिया-882899"
"मंगेश राऊत"	"9/7 अमित फडके
रत्नागिरी 122239"
"श्रीमती अनिरुद्ध कोल्हे"	"24/664 गवळी
यवतमाळ-213882"
"श्रीमती नेहा ठाकूर"	"3 जाधव
चंद्रपूर 606405"
