"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Koen Horemans","Sararing 2
9552 Petit-Rechain"
"Elif Mees","Anitadreef 54
3176
Rollegem-Kapelle"
"Barbara Smet","Dominiquelei 9
8221 Thulin"
"Gaston Herman","Kristofpad 11
9560 Ruisbroek"
"Liesbeth Peeters","Merelsingel 08
2832
Pont-à-Celles"
"Elisabeth Seghers Matthijs","Marialei 8
8773
Herselt"
"Wannes Verstappen","Tompad 98
8719 Villers-Saint-Siméon"
"Maria Moens","Mariahof 0
6518 Zelzate"
"Joseph Maes","Mirandalei 2
7866
Rebaix"
"Raymond De Muynck Poppe","Lucdreef 688
1177 Masnuy-Saint-Pierre"
"Werner Neven","Wendyboulevard 978
9420 Sivry-Rance"
"Elif Van Herck","Arnedreef 937
6414 Zottegem"
"Philippe Dewilde","Gerdalaan 220
3925
Chevetogne"
"Lena De Wachter","Inesboulevard 000
4704
Ledeberg"
"Dorien Aerts","Alainboulevard 960
7406 Erpe"
"Tatiana Buysse","Elisabethstraat 97
7993 Wilderen"
"Lore Michiels","Jansingel 271
4223
Ville-sur-Haine"
"Kato Maertens","Laurensstraat 0
4906
Opoeteren"
"Annie De Boeck","Renébaan 948
2513 Oosterzele"
"Steven Vansteenkiste","Lucaslaan 292
7304 Rekkem"
"Daphne Van den Broeck","Frederikstraat 29
9980 Hove"
"Eline Claeys","Louislei 43
9747 Sart-en-Fagne"
"Hugo Van Poucke","Noahsingel 344
9492 Mont-Sainte-Aldegonde"
"Yvette Vercruysse","Philippedreef 62
4076 Buissenal"
"Irma De Block","Filipsteeg 41
5403 Gérompont"
"Fien Van Laere","Kobelaan 88
7775
Pironchamps"
"Thomas Jacobs","Joséelaan 6
2037
Waltwilder"
"Nicole De Backer Lauwers","Annaweg 96
6422
Thon"
"Marc Jacobs","Marijkeboulevard 2
6285 Fayt-le-Franc"
"Jan Devos","Elkebaan 3
8045
Tervuren"
"Jenny Goossens","Marinastraat 5
1034
Bléharies"
"Eline D'Hondt","Janpad 03
4411 Sint-Eloois-Winkel"
"Isabelle Van Damme","Ronnyring 63
1938 Malmedy"
"Robbe Verstraeten","Mariahof 93
6173 Rance"
"Agnes Vandamme","Godelievedreef 596
4027 Wanze"
"Luc Van Hoecke","Pascalring 965
8738
Jauchelette"
"Stef Boone","Fienbaan 62
8644
Philippeville"
"Martine Belmans","Luciedreef 55
1300 Poulseur"
"Johnny Goossens","Martinelei 24
4184
Jette"
"Ken Verhulst","Mohammedring 1
9783
Vinderhoute"
"Kevin Neven","Nicodreef 68
1015
Outgaarden"
"Eline Vermeulen Claeys","Margauxring 742
8364
Rozebeke"
"Paul Moens","Verasteeg 881
2081
Kluisbergen"
"Wendy De Smet","Mariabaan 9
1231 Warchin"
"Louise Nijs","Delphinelei 927
8857
Vaux-Chavanne"
"Jolien Jacobs","Julesstraat 434
7766 Melsele"
"Richard Smeets","Georgettesingel 74
9107 Westende"
"Louise Verhelst","Franciscuslaan 503
5309 Vedrin"
"René Casteleyn","Paulbaan 4
4796
Vance"
"Roger Lauwers","Ingelei 6
4300
Ardooie"
"Karel Van Baelen","Nicolestraat 216
4118
Jemelle"
"Elisa Peeters","Petersteeg 220
1775
Rosmeer"
"Erik Martens Stevens","Mariastraat 272
6157
Bailleul"
"Nick Laenen","Peterring 988
2659
Vellereille-les-Brayeux"
"Tony Baeyens","Stefsingel 744
1167 Dréhance"
"Nele Van Acker","Elslei 47
6214 Sint-Martens-Lennik"
"Aaron De Wachter","Ernasingel 044
4582 Saint-Pierre"
"Walter Van Looveren","Diederikweg 07
6219
Helkijn"
"Martine Vercammen","Johanhof 3
7954 Bütgenbach"
"Els Peeters De Keyser","Sylviering 68
6932
Wulveringem"
"Brigitte Declercq","Tomsteeg 5
2668 Ingooigem"
"Elisa Verstraete","Bartsteeg 6
4514 Merbes-le-Château"
"Filip Timmermans","Ilsesingel 2
3592
Bleid"
"Aurélie Geudens","Bartdreef 065
7010 Bouvignes-sur-Meuse"
"Christian Van den Eynde","Daisysteeg 8
6407
Willerzie"
"Marc Van Hove","Mariehof 91
4495 Viesville"
"Thibaut Maes Dhondt","Kristiaanhof 751
6350 Messelbroek"
"Rita Verbruggen","Sylvielaan 2
4632
Leerbeek"
"Emma De Cock","Mathiashof 3
6264
Walhain-Saint-Paul"
"Victoria Herman","Albertring 52
2113 Gesves"
"Annick Verstraeten","Muratring 2
3472
Fernelmont"
"Elisabeth Dewaele","Valériestraat 70
8277
Doische"
"Heidi Smeets","Greetpad 312
1181 Isnes"
"Jelle De Ridder","Pieterbaan 005
7242 Matagne-la-Petite"
"Aya Goossens","Ritadreef 65
7466 Begijnendijk"
"Marleen Standaert Janssens","Connylei 1
3491
Ohey"
"Danny Verbeke Raeymaekers","Rolandring 3
2160 Sint-Amands"
"Gilbert Troch","Sandersingel 73
2652 Hanret"
"Julian Lippens","Karelring 152
2543
Marchienne-au-Pont"
"Luc Peeters","Michielboulevard 3
4092 Wanze"
"Eva De Clerck Deleu","Dannysingel 716
1109
Kluisbergen"
"Elisabeth Swinnen","Hanssingel 5
7647
Sars-la-Bruyère"
"Daisy Willems","Nadineboulevard 5
1486
Wadelincourt"
"Sonja Verheyen","Isabellebaan 36
2925
Rekem"
"Lydia Lemmens","Lucpad 28
7784 Galmaarden"
"Eline Rottiers","Elkesingel 11
4751
Wibrin"
"Nathalie Mestdagh","Kevinboulevard 68
2146
Zandbergen"
"Steven De Pauw","Rogerlei 282
4591 Moere"
"Roland Polfliet","Angelinalaan 1
1960 Esneux"
"Merel Schepens","Anndreef 8
5118
Onnezies"
"Axelle Verhulst","Johnsingel 5
4956
Ferrières"
"Elisabeth Temmerman","Nicosingel 8
6411 Vaux-et-Borset"
"Wim Callens","Lorenzopad 383
8152
Hody"
"Emmanuel Vandenbussche","Raniahof 3
4809
Brielen"
"Monique Van Hoof","Sandysingel 870
6126
Darion"
"Ine Theys","Hildepad 6
9392 Mere"
"Annelies De Decker","Victordreef 84
2679 Silly"
"Gerda Christiaens Smits","Christianering 2
2755
Vinderhoute"
"Kevin Yildirim","Kristofbaan 2
7910
Alken"
"Luc Boonen","Steffiring 97
1324 Londerzeel"
"Eddy Van de Walle","Sannering 151
2756 Eugies"
"Elisabeth Van Acker","Hanslaan 117
9966
Eernegem"
"Caroline Nijs","Elenasteeg 313
3024
Aalbeke"
"Linda Lambert","Sarasteeg 06
3154 Vladslo"
"Martine Maes","Annboulevard 56
6446
Viroinval"
"Sofie Martens","Lucahof 82
9518
Sint-Joris-Winge"
"Eva Dewulf","Jilldreef 98
7613 Sint-Pauwels"
"Dorine Van den Bergh","Bartlei 3
4858
Porcheresse"
"Emma De Cock","Christelboulevard 3
4425 Herstal"
"Ana Rosseel","Alfonsring 373
7840 Herzele"
"Carine Timmermans","Marcstraat 9
3154
Villers-aux-Tours"
"Elise De Keyser","Jessiesteeg 7
8830 Rosoux-Crenwick"
"Gaëlle Sterckx","Remisteeg 84
4409
Dampremy"
"Marie Van Dyck","Wendybaan 0
8820
Fontenoille"
"Ingrid Knockaert","Mariepad 8
9008
Verlée"
"Liliane Blommaert","Hildebaan 71
2948 Ransart"
"Jozef Peeters","Zoëboulevard 98
5762 Zoutleeuw"
"Melanie De Bruyn","Anniesingel 9
2378 Berlingen"
"Carl Mariën","Guidolaan 38
1138
Hoeleden"
"Ella François","Deniseweg 15
3040 Oevel"
"Marlies Van Damme","Rogersteeg 4
8613 Schulen"
"Elise Dierick","Carolineboulevard 5
4733
Daussois"
"Sven Verheyen","Lutgardesingel 092
1002 Linsmeau"
"Rita De Ridder","Hildahof 0
1579 Rumsdorp"
"Lukas Dillen","Willyring 75
5397
Labuissière"
"Lea De Cuyper","Filipsteeg 413
3792
Basse-Bodeux"
"Geert Daniels","Charlesdreef 03
1734 Kleine-Spouwen"
"Cédric De Boeck","Irissingel 189
7718
Leignon"
"Nele De Vos","Jellestraat 7
4427 Tiegem"
"Karin Wouters","Peterring 306
1594
Attenhoven"
"Katrien Wauters","Antoniolaan 3
1493
Chercq"
"Elise Moonen","Anoukboulevard 50
1738 Steenhuize-Wijnhuize"
"Joseph Van Damme","Raymondpad 5
1277 Louveigné"
"Thierry De Winter","Stefanboulevard 9
8375 Bertrée"
"Fernand De Backer","Aaronlei 6
5812 Westmeerbeek"
"Christel Van Herck","Sabinering 78
4107 Warcoing"
"Maria Van Nuffel","Williamstraat 8
9984
Helchteren"
"Jean Desmet","Alinahof 03
4240
Attenrode"
"Lisa De Wilde","Lutgardesteeg 754
6326 Willebringen"
"Martine De Waele","Jandreef 8
3266 Blehen"
"Jacob Tack","Nancysteeg 1
4091
Ooigem"
"Elise Smolders","Viclaan 41
2297 Beyne-Heusay"
"Willem Claes","Rafaëlboulevard 35
6461
Hansbeke"
"Liam Swinnen Van Looy","Michelsteeg 03
7235
Moignelée"
"Laura Vercammen Michiels","Robinsingel 58
5407
Mielen-boven-Aalst"
"Mona Van Hove","Stefansingel 965
8204 Halma"
"Bryan De Ryck","Kevinlei 64
4680 Lauwe"
"Andrea Janssens","Eveliendreef 6
3014
Wellen"
"Ruben De Jonghe","Marleenpad 78
8511
Ronse"
"Veerle Smets","Tanjalaan 24
9379
Sluizen"
"Richard Boonen","Mariasteeg 144
7712
Thorembais-Saint-Trond"
"Elise Timmermans","Lucweg 7
4516 Lovenjoel"
"Christiane Goossens","Wouterring 738
5456 Meeswijk"
"Marie-Christine Merckx","Birgitdreef 289
6886 Marchipont"
"Jenny Van Damme","Patricksingel 59
1837 Kieldrecht"
"Axel De Meyer Vermeersch","Kristofsteeg 157
5156
Beigem"
"Wouter Faes Nijs","Tommypad 628
7335
Avelgem"
"Anton Maes","Fienlei 61
6648
Bailleul"
"Petra Verstraeten","Kevinbaan 23
7583
Rouvreux"
"Elise Verfaillie De Cock","Laurenlaan 9
6345 Loupoigne"
"Manuel Rombaut Laenen","Lisettesingel 49
2866
Angre"
"Elise Vervaeke","Pierrepad 0
9183
Slins"
"Bart Cornelis","Christellering 45
8457 Houthalen-Helchteren"
"Sofie Daems","Kevindreef 75
3747 Halmaal"
"Gilberte Aerts","Tomhof 06
5070 Grandglise"
"Yasmina Bosmans","Emmaring 38
7258 Villers-la-Tour"
"An Cools","Abdulhof 1
6244 Stabroek"
"Bernard De Smet","Ludovicusboulevard 9
8154 Leuze-en-Hainaut"
"Emilie Mortier","Thierrybaan 04
1477 Sint-Maria-Oudenhove-Zottegem"
"Jean De Smedt","Sabinestraat 48
5870
Sint-Kruis-Winkel"
"Marnix Bogaert","Mariabaan 5
4542
Kemmel"
"Elke Bekaert","Miahof 3
3823 Sint-Michiels"
"Jean Coppens","Leasteeg 780
8486 Montroeul-sur-Haine"
"Justine Aerts","Tamarasteeg 948
8207
Kapellen"
"Christelle Janssen Voet","Rosettebaan 14
1730
Hamoir"
"Hans Roels","Brunobaan 136
7270 Achel"
"Pierre Mertens","Dannyring 83
5388 Viersel"
"Marcel De Cuyper","Kristofpad 8
7783 Saint-Mard"
"Eline Van Dessel","Marleenbaan 9
5170 Kemmel"
"Isabelle Callewaert","Barbarastraat 35
3305 Ucimont"
"Julie Wouters","Roelboulevard 926
8937 Lasne"
"Elke Braem","Naomihof 82
9133 Limerlé"
"Thomas Wuyts","Jeandreef 0
4216
Sint-Martens-Lierde"
"Elke Vermeire","Birgitbaan 172
6420 Mouzaive"
"Jordy Hermans","Ibrahimboulevard 39
9066
Bizet"
"Chloë De Moor","Gilbertpad 113
2038 Sint-Joris-Weert"
"Mathilde Vandewalle","Josélaan 664
1632
Beerlegem"
"Khadija Smets","Mariestraat 21
9615 Incourt"
"Raf Bogaert","Juliepad 4
9302 Berendrecht"
"Kobe Maes","Dimitribaan 710
3310
Molenbaix"
"Jessica Van Herck","Eddystraat 0
9463 Arlon"
"Elke De Schepper","Jeroenring 815
2781
Varsenare"
"Dennis Peters","Josephring 466
9041 Vresse-sur-Semois"
"Marie Vervoort","Jessylei 664
8173 Wommelgem"
"Alfons Vandenbussche","Igorsteeg 7
1096 Sint-Jan-in-Eremo"
"Cornelia Swinnen","Jeaninelaan 999
9299 Gijzegem"
"Gert Roosen","Fransring 89
2800 Braine-le-Château"
"Jan D'hondt","Amirapad 41
4397 Calonne"
"Dylan Vandenbroucke","Julesring 60
4366
Sint-Martens-Voeren"
"Alexander Standaert","Juliepad 032
7661 Orchimont"
"Eddy Rombouts","Milanboulevard 442
3224 Melles"
"Elke De Schrijver","Nancyboulevard 60
4295
Vloesberg"
"Claire Vercammen Lievens","Godelievehof 86
6404
Naomé"
"Ilse Deprez","Sophialei 62
4358
Tenneville"
"Freya Cornelis","Mariaboulevard 741
5984
Hollain"
"Jessica Vermeiren","Rosesingel 951
5423 Remagne"
"Dirk De Bie","Karinedreef 169
5471 Rijkevorsel"
"Jimmy Dhondt","Willybaan 007
6023 Lanklaar"
"Rita Rogiers","Moniquesteeg 4
8702
Néchin"
"Patrick Willems","Berthaweg 6
2995 Dikkelvenne"
"Marc Claes","Ilselaan 8
2759
Péronnes-lez-Binche"
"Elke Goovaerts","Yvesbaan 330
9346
Havay"
"Jeroen Devos","Greetlei 157
6991
Oostvleteren"
"Lucien Mertens","Xanderhof 1
6005 Bray"
"Veerle De Bock","Amberdreef 285
6020 Finnevaux"
"Bart Boeckx","Johnyring 845
9985 Malle"
"Jenny De Mulder","Martineweg 472
6222 Grune"
"Anne Callewaert","Peterring 68
7240
Geest-Gérompont-Petit-Rosière"
"Jasper Claeys","Margueritebaan 7
9500 Strijtem"
"Sylvia Philips","Nielsboulevard 421
5789 Dikkebus"
"Elias Celis","Tomstraat 297
9599 Lens"
"Ella Hendrickx","Alexanderpad 51
5910 Sint-Maria-Oudenhove-Brakel"
"Bart Schoofs","Wimhof 407
7116
Outer"
"Maria Matthys","Peterstraat 666
3123
Eggewaartskapelle"
"Birgit Jacobs","Michelsingel 10
6351
Sint-Denijs-Westrem"
"Gilles Verhelst","Elzastraat 10
2288
Lamorteau"
"Bo Christiaens Smets","Sarahlei 2
6112
Soumagne"
"Hans Janssens","Jansteeg 0
2822
Waulsort"
"Lodewijk Vissers Van Assche","Larslaan 039
5786 Pironchamps"
"Marijke Demuynck","Sandysteeg 95
6451 Oekene"
"Stef De Witte","Lilianapad 294
6366 Diksmuide"
"Ella Parmentier","Pascalsingel 7
5783
Annevoie-Rouillon"
"Tine De Roeck","Lienlei 8
5494 Kleine-Spouwen"
"Maria Thijs","Sharonstraat 129
9527
Wanfercée-Baulet"
"Sonja Braem","Ninalei 95
1896 Zaffelare"
"Nadine Mertens Heymans","Margarethastraat 676
6378 Sint-Pieters-Rode"
"Bart De Smet","Gustaafdreef 198
3270
Waret-la-Chaussée"
"Gilles Rutten","Elkelei 75
8569
Mesen"
"Cornelia Verstraete","Sabinepad 651
9752 Outer"
"Martine De Backer","Rubenpad 4
8940
Diksmuide"
"Ruben Demuynck","Antoonlaan 9
6095
Meilegem"
"Ella Peeters","Filipring 89
6799
Etikhove"
"Virginie Smet","Maurodreef 90
4540
Manhay"
"Jacob Maes","Ritaboulevard 8
2983 Bassilly"
"Wim Van Dooren","Mayasteeg 0
8354
Boussu-en-Fagne"
"Arne De Block Heylen","Aaronlei 807
5907
Loonbeek"
"Ingrid Matthijs","Waltersteeg 12
1034
Gullegem"
"Lien De Backer","Ilonaring 912
7475
Dinant"
"Wilhelmus Decoster","Pascalering 81
2176 Archennes"
"Sylvie Timmermans","Elienring 4
3604 Sint-Kruis-Winkel"
"Vanessa Thys","Jeroenlaan 167
8709
Ortho"
"Ella Standaert","Davidstraat 3
2248 Tielt-Winge"
"Greet Sterckx Geuens","Carlaring 567
8708 Bertrée"
"Zoë Govaerts","Anne-Mariestraat 2
2890 Boirs"
"Thomas De Smet","Thomaslei 079
8341 Bierwart"
"Ingeborg Dewitte","Vincentbaan 978
2553
Wiekevorst"
"Jan Van Gorp","Linaboulevard 468
5979 Tellin"
"Joanna Mahieu","Woutring 970
9077 Wambeek"
"Jürgen Colman","Irenadreef 68
6836 Haaltert"
"Norbert Tack","Erikaboulevard 76
7255
Heist-op-den-Berg"
"Marleen Willems","Carinelaan 781
3916 Seraing"
"Ella Torfs","Hermansingel 53
4670
Champion"
"Jacqueline Luyckx","Tijsboulevard 631
7878
Rivière"
"Peter Rosseel","Luciennebaan 12
3609 Flémalle"
"Femke Maes","Bramlei 55
4881
Hélécine"
"Vic Van Belle","Ömerweg 1
6195 Westende"
"Emiel Leys","Moniquelaan 85
1576
Mopertingen"
"Camille Michiels","Magdalenasteeg 5
5421
Egem"
"Alexandre Huybrechts Verbeke","Rosasteeg 38
1339 Beauraing"
"Marie-Jeanne Dejonghe","Ameliehof 6
7175 Joncret"
"Delphine Lenaerts","Annhof 900
8645 Zonnebeke"
"Ellen Martens","Renéestraat 4
1139
Weert"
"David Goethals","Monicapad 57
6069 Walhain"
"Maria Maes","Jelledreef 61
5590 Cambron-Saint-Vincent"
"Nathalie Hoste","Friedastraat 651
5476 Soiron"
"Benoit Declercq Vanhoutte","Nathaliehof 489
5204
Strombeek-Bever"
"Hanne Deprez","Daanlei 69
3520 Beverlo"
"Bert De Wilde","Franciscushof 279
5661 Bonneville"
"Maria Hendrickx","Christinelei 472
4490
Zandvoorde-Zonnebeke"
"Suzanne David","Mariapad 08
5676 Montzen"
"Godelieva De Smet","Paulsteeg 78
8023 Andenne"
"Ellen Vanhoutte","Pietbaan 3
6311
Florée"
"Hilda De Wolf","Alexanderdreef 403
6708 Oostvleteren"
"Kristof Rombaut","Arnesteeg 24
7084
Zemst"
"Griet Viaene","Bartsteeg 20
7509
Mellier"
"Dirk De Decker","Jozefsingel 03
3124 Dessel"
"Diana Adriaensen","Simonlei 776
4118 Nieuwenhove"
"Sonja Maes","Sylviabaan 35
1306
Rumst"
"Yvette Roels","Miralei 1
5697
Neerwinden"
"Daniel Roels","Magdalenastraat 000
2598
Gerin"
"Jennifer Rombouts","Julienhof 3
8715 Sint-Stevens-Woluwe"
"Els Baert","Marclaan 5
4729 Houdemont"
"Dirk Willems Van Dessel","Abdulsingel 2
6982
Wondelgem"
"Lennert De Schutter","Christelsingel 80
5810 Lampernisse"
"Björn Bervoets","Anahof 76
1741
Gaurain-Ramecroix"
"Irena Devos","Moniquehof 415
1135 Oosteeklo"
"Frans Martens","Kimstraat 98
1618
Waarloos"
"Diego Adriaensen","Robbering 146
4704 Achet"
"Karina Goossens","Freddysingel 83
9933 Stambruges"
"Ines Huysmans Christiaens","Ellenlei 962
8928
Gutschoven"
"Yannick Lippens","Jensboulevard 175
9003
Hakendover"
"Els Beckers","Anoukpad 07
7531 Ledegem"
"Bruno Claessens","Florianweg 78
1202 Denderbelle"
"Louis Pattyn","Lutgardebaan 051
9437 Ecaussinnes"
"Els Buyse De Decker","Sofielei 671
5593 La-Roche-en-Ardenne"
"Sofie Jans","Ginettedreef 0
5509 Velaine-sur-Sambre"
"Amber Van Loon","Jolienbaan 091
5544
Nafraiture"
"Robert Van Goethem","Borisboulevard 7
2925 Bütgenbach"
"Ginette Mertens De Meyer","Anne-Marielei 4
4857 Lebbeke"
"Nadine Cools","Lucboulevard 30
2875
Zwijnaarde"
"Pieter Proost","Adriaanhof 1
5061
Sint-Jan"
"Els Boonen","Cindysteeg 624
8904 Chassepierre"
"Patrick Maes","Bartboulevard 6
1363 Sougné-Remouchamps"
"Pascal Dupont","Lilianelaan 72
1533 Rouvreux"
"Ryan Jans","Kennypad 78
6506
Kampenhout"
"Luc Thomas","Bramlei 7
5963 Semmerzake"
"Niels Van Camp","Helgaboulevard 8
6189
Villers-Deux-Eglises"
"Marleen Polfliet","Sammysteeg 2
4071 Wezeren"
"Hanne Vissers","Sarahweg 6
5188
Schelle"
"Céline Claes","Vanessabaan 690
6423
Naast"
"Wendy Baeyens","Timboulevard 21
2099
Kerkom-bij-Sint-Truiden"
"Els Celis","Ilsering 8
9442
Gorsem"
"Quinten Peeters","Norastraat 495
9004 Krombeke"
"Suzanne Baeten","Magdabaan 8
6195 Saint-Vaast"
"Nore Verlinden Luyten","Sylviesingel 9
7056 Hoogstraten"
"Kevin Helsen","Ericboulevard 44
5295
Groot-Gelmen"
"Yusuf Janssens","Andréhof 79
2441
Henri-Chapelle"
"Ilyas Maertens","Mathieustraat 181
1504
Ecaussinnes"
"Anneleen Christiaens","Ingridhof 908
4339
Neder-over-Heembeek"
"Kris Hermans Dewulf","Pascalring 760
3863 Zedelgem"
"Annelies Heylen","Philippelaan 04
7424 Zaffelare"
"Els De Cock","Gerdasteeg 36
5729
Sint-Jans-Molenbeek"
"Steffi Verschueren","Xavierboulevard 84
4680
Jumet"
"Dirk Peeters","Bennysingel 2
2209
Oudekapelle"
"Jacqueline De Wolf","Isabelbaan 78
3715
Perwez"
"Febe Jonckheere","Sonjadreef 62
7984 Lathuy"
"Ilona Cools","Jeandreef 24
4440
Saint-Remy-Geest"
"René Moens De Boeck","Lydiesingel 1
2009
Bouillon"
"Carine Janssen","Martinboulevard 9
8569
Juseret"
"Dave Van Camp","Stefanielei 97
2272 Poesele"
"Monique Coppens","Erikstraat 193
8569
Ooigem"
"Els Declercq","Christinalei 16
2370
Zwalm"
"Philippe Verbeke Wouters","Monikabaan 1
7859
Le Roux"
"Matthias Declerck","Dirklaan 572
2552 Houtain-Saint-Siméon"
"Isabelle Thys","Marieweg 5
4792 Glimes"
"Francine Janssens","Kiararing 938
4532 Baugnies"
"Karel Verhelst","Mariadreef 76
3066
Westkapelle"
"Evi Simons","Magdalaan 2
7419
Bellingen"
"Heleen Maris Vranken","Olgasingel 305
5191 Ormeignies"
"Guy Lippens","Marcelsteeg 641
4049
Sint-Maria-Latem"
"Mathias Van Dyck","Fernandbaan 1
2647
Vieuxville"
"Els Martens","Patrickbaan 4
8058
Patignies"
"Flor De Wolf","Fatmadreef 306
8791 Merksplas"
"Paul Yilmaz","Kevinstraat 5
9026
Rotheux-Rimière"
"Michel Van Rompaey","Roelring 69
2139
Essen"
"Eline Saelens","Marcelweg 2
1835 Blégny"
"Jacqueline Timmermans","Lindabaan 01
1659
Amay"
"Jean Peters","Alaindreef 633
4691 Trois-Ponts"
"Justine De Clercq","Jaakpad 8
2236
Guignies"
"Ingrid Breugelmans","Loeslaan 596
7048
Sint-Eloois-Vijve"
"Maria Vandamme","Josephalei 257
3701 Raeren"
"Els Nuyts","Liezestraat 989
1259
Vierves-sur-Viroin"
"Anne-Marie Declercq","Francinepad 0
8090 Thiméon"
"Celine De Groof","Vanessadreef 427
4526
Tubize"
"Alexander Luyten Tack","Louisedreef 4
7887 Chapelle-à-Oie"
"Dario Roels","Noordreef 233
8780 Glabais"
"Walter De Backer Hendrickx","Floriansteeg 8
4831 Wimmertingen"
"Maria Van Hoecke","Laurensteeg 17
1073 Habay"
"Annick Demuynck","Marioring 9
9218
Huppaye"
"Els Buelens","Timdreef 652
1021
Bois-de-Villers"
"Jolien Van de Velde","Yvesdreef 2
5959
Erwetegem"
"Els Smeets","Georgettelei 84
6650 Cherain"
"Jarno Lemmens","Evelynedreef 516
2198
Ramegnies-Chin"
"Levi Vanhoutte","Hildepad 7
1331
Xhendelesse"
"Catherine Van Impe Wouters","Marcsteeg 23
2769 Boignée"
"Yvonne Lievens","Melissaboulevard 47
9029 Ieper"
"Annita Timmermans","Patrickdreef 42
2060 Stekene"
"Maria Verheyden","Marialei 08
2171
Hasselt"
"Theo Roose","Guidostraat 83
9286
Klemskerke"
"Frieda Claessens","Mireilleweg 710
1530
Massemen"
"Antoine De Wilde","Joycestraat 2
9005 Walsbets"
"Els Swennen","Mariasingel 128
1133 Sart-lez-Spa"
"Senne Cools","Rikdreef 80
5162
Froidfontaine"
"Stefan Cornelis Geerts","Sofielei 77
3148 Chaineux"
"Jana Bogaert","Liesbethpad 234
5182
Beveren-Roeselare"
"Otis Van Damme Merckx","Linahof 20
1590
Dikkelvenne"
"Stefan Debruyne","Lindaweg 89
9674 Biez"
"Carine De Boeck","Mireillebaan 512
9101 Moen"
"Debbie Bruyninckx","Maaikering 09
5430
Hompré"
"Kris Van de Velde","Ritalei 18
6603
Zevergem"
"Monique Verbrugghe","Christopheboulevard 708
6816 Hautrage"
"Els Van Loon","Kobebaan 6
9417
Heverlee"
"Tristan De Clercq Verschueren","Williamboulevard 10
1042
Redu"
"Alexander Lambrechts","Rosettesingel 82
8448 Epinois"
"François Kerkhofs","Eriksteeg 574
5307 Dampremy"
"Leona De Bock","Maximstraat 69
9283
Oordegem"
"Barbara Verbist","Kevinbaan 638
3771 Braine-le-Comte"
"Lauren Janssens","Hélènesteeg 525
5049 Opgrimbie"
"Jens Martens","Jeanbaan 939
7502
Torhout"
"Maria Verfaillie Reynders","Kimsteeg 311
6059 Ben-Ahin"
"Sandy Verhoeven","Jonasstraat 901
6795
Boussu-lez-Walcourt"
"Els Verhaegen","Katrienboulevard 44
3327
Quévy-le-Petit"
"Ingrid Van Looveren","Kristiaanlaan 355
3177 Jemeppe-sur-Meuse"
"Ahmed Van de Velde","Pieterlaan 96
6984
Ranst"
"Sabine Verelst Lemmens","Tibedreef 167
9049 Orbais"
"Lise Vandenberghe","Marcelbaan 676
4685 Couture-Saint-Germain"
"Laure Baert","Christinestraat 654
2198
Seny"
"Ronald Janssen","Marleenstraat 82
3658
Wellen"
"Luc Dewitte Van der Linden","Tibolaan 09
5382 Mazée"
"Thibault Hendrickx Vermeir","Peterdreef 19
3774
La Hestre"
"Rony Vaes","Ericsingel 3
8626
Schoten"
"Elza Martens","Geertsteeg 602
3037
Wieze"
"Julien Van Raemdonck","Daniëlsteeg 0
3287 Meyerode"
"Rita Vanbrabant","Jeannestraat 2
8231
Villers-Notre-Dame"
"Jens De Schrijver","Irèneweg 63
2596 Bilzen"
"Catherine Vandewalle","Pieterboulevard 812
4987
Thines"
"Vic De Moor","Victorhof 05
1722
Saint-Marc"
"Franky Moens","Mariabaan 038
3476
Blicquy"
"Jessica De Meyer","Sophialaan 847
8566 Blégny"
"Thierry Janssens","Miralaan 331
3954 Mehaigne"
"Jennifer De Keyser","Anndreef 346
2522
Komen-Waasten"
"Emilia Van Genechten Vercruysse","Evelinesingel 06
8892
Bersillies-l'Abbaye"
"Bram Blomme","Krisbaan 282
1306
Pecq"
"Jan Gielen","Karolienring 78
2295 Oorbeek"
"Lize Sanders","Gillesboulevard 921
2414 Vosselare"
"Alexander Willems","Juliering 3
1839 Helen-Bos"
"Eva Reynaert","Emmabaan 632
1019
Lustin"
"Laura Vandecasteele De Groof","Ellaweg 3
8850 Vorst"
"Mark Christiaens","Lucasdreef 75
1842
Wanne"
"Martine De Bock","Melanieboulevard 11
8138
Wanne"
"Louise Van Lierde","Marinadreef 954
8657
Hemiksem"
"Emily Christiaens","Marchof 221
2352 Etalle"
"Anja Goossens Demeyer","Melissaweg 3
7938 Berbroek"
"Deborah Fierens","Tomlei 97
3157
Buzet"
"Alicia Vaes","Noëlboulevard 9
4519 Bougnies"
"Rik Vaes","Simonpad 4
2315
Bree"
"Margaretha Vandaele","Ritalaan 3
2533 Kerkhove"
"Marjan Janssens Govaerts","Warrelei 591
9693 Wijchmaal"
"Christina De Graeve","Finnsingel 7
8355 Sirault"
"Robby François","Augustbaan 81
5402
Jupille-sur-Meuse"
"Dorine Claeys","Wouterlaan 895
2268 Huissignies"
"Emma Verbeke","Kevinhof 39
7561 Landen"
"Magda Willems Callebaut","Petersingel 294
6778
Namêche"
"Noa Verhulst","Marietteweg 939
2704
Knokke"
"Christine Devos Neven","Vickyboulevard 472
3254
Ghoy"
"Liam François","Marijkebaan 4
4077
Petit-Thier"
"Evi Andries","Améliestraat 89
3817 Sint-Maria-Lierde"
"Eline Vandenberghe","Ritalei 367
3682
Scherpenheuvel-Zichem"
"Marie Bosmans","Johnyboulevard 286
5534 Vremde"
