"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"Emiel Nuyts","Lowiesingel 585
4232
Zutendaal"
"Margareta Thys","Standreef 2
1590 Rochehaut"
"Valerie Van de Voorde","Joanneslaan 231
6201
Wolkrange"
"François Poelmans","Paulabaan 482
3978 Trognée"
"Martine Dillen","Carolinelei 5
1784 Ougrée"
"Eric Coenen","Jeanninering 02
6375 Moxhe"
"Rudi De Waele","Rayanbaan 3
1520
Wiesme"
"Bernard Cuypers","Fienring 3
1611
Kaprijke"
"Willy De Winter","Valentinapad 60
8284 Horpmaal"
"Paul Bogaert","Gerdasteeg 23
5595
Sint-Joris-Winge"
"Lennert Bogaert Verbeeck","Joranlei 891
5020 Knesselare"
"Sien Verstraete","Elisepad 76
7327 Sovet"
"Sven Dierckx","Alainlei 512
3878
Villers-la-Tour"
"Jean De Cock","Bernardlaan 265
2205 Auvelais"
"Jonas Casteleyn","Ivohof 17
3940 Schoonaarde"
"Nancy Goossens Moens","Célinedreef 232
1611
Callenelle"
"Jens Schoofs","Stevenlei 11
4289
Aubange"
"Bernard Rosseel","Lodering 13
9955
Trognée"
"Jana De Block","Carinalaan 50
6126 Kortemark"
"Patrick Schoofs","Mariedreef 2
6656
Andrimont"
"Sabrina Meeus","Stellaboulevard 143
1657
Fourbechies"
"Bernard Wouters","Sabrinadreef 399
9266 Poeke"
"Sander De Backer","Ingebaan 02
4032 Malèves-Sainte-Marie-Wastines"
"Hilde De Smet","Karenweg 917
1978
Keiem"
"Ronny Janssen","Pieterboulevard 7
5892 Veerle"
"Els De Coninck","Ronnylei 866
7887
Modave"
"Frans Lemmens","Kristofpad 5
3129
Dadizele"
"Bert Coenen","Sofieweg 8
5783 Ressegem"
"Johnny Maes","Ingelaan 704
6039
Hastière"
"Rita Joos","Annalei 373
1253 Lasne-Chapelle-Saint-Lambert"
"Myriam Dejonghe","Armandpad 893
1619
Bienne-lez-Happart"
"Malika Stevens","Andreassteeg 412
6636
Leke"
"Tessa Verlinden","Deanlaan 938
3277 Bertrix"
"David Vanhoutte","Dominiqueweg 14
5218
Arquennes"
"Philippe Verstraeten","Patricksteeg 202
7742 Marneffe"
"Thomas Sterckx","Amélielei 00
5291
Gimnée"
"Paul Vermeulen","Maartenboulevard 9
5551 Aywaille"
"Bert Jacobs","Margueritestraat 398
3202
Koolkerke"
"Els Thys","Robertweg 073
9051 Waillet"
"Nathalie Maes","Hassanlaan 15
4224 Baaigem"
"Hilda Aerts","Nicksingel 7
9196 Wannebecq"
"Marc De Schrijver","Ritaweg 2
3264 Dailly"
"Jean Meert","Johanhof 2
8903 Rupelmonde"
"Karin Van Damme","Maudsteeg 15
6286 Lippelo"
"Katleen Willems","Nicolasring 58
4228
Astene"
"Kelly Janssens","Timothyhof 5
9448
Mortier"
"An Stevens","Patrickring 1
1129
Tremelo"
"Bert Vermeersch","Wimsteeg 34
2754
Wattripont"
"Agnes Gielen","Deniseboulevard 6
8386
Drongen"
"Hans Rombouts","Kathleenhof 02
9620 Rhisnes"
"Sylvie Vandenberghe","Chantalring 7
5547
Roy"
"Marie-Jeanne Beeckman","Nadiapad 47
8303 Ottignies-Louvain-la-Neuve"
"Lucas De Meyer","Ritadreef 39
8408 Herstal"
"Daniel Meersman Janssens","Sergelei 903
6570 Horebeke"
"Geert Vermeersch","Seppehof 04
8196 Zandhoven"
"Renée Claeys","Mariasingel 8
9922
Antheit"
"Huguette Bekaert","Hermanlaan 46
5862 Estinnes-au-Val"
"Bertha Thys Ali","Elinestraat 402
4686
Fontenoy"
"Jens Van Bogaert","Davidlaan 248
3839 Frasnes"
"Stan Naessens","Kimsingel 9
4426
Péruwelz"
"Dimitri Lenaerts","Adrianahof 16
6749
Bossut-Gottechain"
"Franky De Cock","Mariapad 096
6485
Seloignes"
"Jan Blommaert","Emiliahof 3
8249 Veurne"
"Jan Vercauteren","Stefaniestraat 8
4665
Moen"
"Hilda Maes","Jennybaan 2
7598
Bikschote"
"Mohamed De Boeck De Smet","Bertlaan 725
5560 Bovesse"
"Virginie Pauwels","Marcweg 68
6796
Leuze-en-Hainaut"
"Bertha Vanhove","Paulbaan 947
7099
Parike"
"Kim De Smedt","Erikring 76
6531
Gruitrode"
"Lander Adams","Nellyhof 7
2945
Mariembourg"
"Rony Van Rompaey","Brunosingel 8
9447 Voroux-lez-Liers"
"Ruth Wouters","Reinhildesteeg 1
2323
Seraing"
"Thierry De Smet Verbist","Ibrahimsingel 55
4713 Oekene"
"Leonie De Moor","Mariobaan 469
2124
Namur"
"Claudine Janssens","Eveliensingel 74
5781
Desselgem"
"René Sanders","Heidihof 418
5383 Merkem"
"Martin Matthys","Stevelaan 539
8671
Bombaye"
"Betty De Weerdt","Veerleboulevard 69
8093
Annevoie-Rouillon"
"Lydie Vanhee","Bettysingel 748
2840 Battice"
"Luc Deckers","Mauricehof 1
2451
Lillois-Witterzée"
"Jeroen De Smedt","Yassinpad 27
5562 Berbroek"
"Stephanie Maes De Block","Ankering 723
6220 Tintange"
"Wilfried De Boeck","Nicolepad 7
6262
Hoeleden"
"Gerda Adriaenssens Parmentier","Wimweg 457
5117 Herentals"
"Annie Claessens","Lenabaan 160
5842
Herbeumont"
"Hilde Devos","Gretasteeg 906
4251
Haut-Ittre"
"Hanne Goossens","Bertdreef 66
7514 Winenne"
"Betty Lauwers","Anneliessingel 539
7878
Bertrée"
"Glenn Engels","Nicolasstraat 98
5526
Walhain"
"Olivia Van den Berghe","Rogerring 2
1703 Kaggevinne"
"Senne Sterckx","Marinapad 411
8818 Hermeton-sur-Meuse"
"Lucas Devos","Fatihasteeg 27
1715 Sint-Katherina-Lombeek"
"Jonas Aerts","Arthursingel 1
8580 Dave"
"Stephanie Verhoeven","Hannepad 10
2061 Bertem"
"Lukas Van den Berghe","Freddyring 085
4652
Kraainem"
"Jonathan Van Daele","Dianering 901
6119
Neu-Moresnet"
"Marianne Schepers","Michaelboulevard 95
4734 Oostende"
"Bieke Dillen","Sofieweg 53
8320
Remicourt"
"Gregory Van de Velde","Vincentweg 62
3555 Bertrix"
"Annita Vanhee","Nancyhof 8
1903
Tavigny"
"Stefan De Clercq","Joliendreef 1
5332 Westerlo"
"Maria Horemans","Antoinestraat 632
6133 Eksel"
"Xander Vranken Maris","Valeriesteeg 5
9868 Meilegem"
"Eva Demuynck","Thomaslaan 43
3114
Kleine-Spouwen"
"Fernand Janssens","Yveslei 1
5351 Heldergem"
"Axelle Roelandt","Jennylei 31
5356 Opwijk"
"Nadine De Clercq Goossens","Jasminebaan 8
6183 Flénu"
"Bilal De Rycke","Emmanuelring 5
9397
Tessenderlo"
"Jozef Denys Nijs","Stephanbaan 555
6891 Strépy-Bracquegnies"
"Niels Boonen","Karinestraat 614
8523 Gottignies"
"Lore Janssens","Lucaspad 4
5610 Viemme"
"Sandra Thijs","Annsingel 51
7683
Membruggen"
"Liliane Segers","Thomaspad 563
8720
Ladeuze"
"Marina De Bondt","Ellaboulevard 3
6158 Sint-Jacobs-Kapelle"
"Edwin Bauwens","Roossteeg 39
4802 Falisolle"
"Ingrid Vlaeminck","Julienlei 947
5972 Saint-Remy"
"Laurent Sabbe","Mustaphalei 650
2110 Forges-Philippe"
"Bjorn Van Dyck","Pierrering 14
9596 Strombeek-Bever"
"Lucienne Vandamme","Mauricepad 262
7155 Beersel"
"Juliette Vandenberghe","Leonardweg 9
5960
Lier"
"Rudi De Bruyne","Nathalieweg 5
2753 Erondegem"
"Luc Claeys","Stevering 00
9922 Leers-Nord"
"Jana Demeulenaere","Arnolei 76
4742 Horebeke"
"Geert Lenaerts Michiels","Evelynlei 7
2821 Kozen"
"Carmen Willekens","Ernaweg 9
8781
Itterbeek"
"Anne Hermans","Véroniquedreef 9
6383 Haacht"
"Freddy Geens Matthys","Christabaan 09
9375
Molenbeek-Wersbeek"
"Björn Vanneste","Diederikdreef 01
3109
Braine-le-Comte"
"Emilie Vissers","Alexiahof 5
4906 Moustier-sur-Sambre"
"Gabriel De Vos","Marnixbaan 375
4202 Neerwaasten"
"Nadine Van Poucke","Sabineweg 373
8794 Montroeul-sur-Haine"
"Geoffrey Mahieu","Samirsingel 951
4994 Houtvenne"
"Mira Mertens","Marcsteeg 77
5240 Oostham"
"Katrien Vermeylen","Fatmadreef 4
1776 Maffle"
"Freddy Van den Brande","Jacquesstraat 0
3556
Meslin-l'Evêque"
"Stijn Bauwens","Dannypad 01
7903
Kessenich"
"Rayan Beeckman","Cécilesteeg 45
2549
Wiesme"
"Bob De Groof","Stevenring 0
5982
Dikkebus"
"Raymond Van Hove","Viktorsteeg 379
9691
Andrimont"
"Joël Vandenberghe","Brentsteeg 021
6214
Marchipont"
"Marie Vandeputte","Ritabaan 470
1266
Haut-Ittre"
"Simon Peeters","Lucpad 860
9866 Zingem"
"Martijn Verdonck","Seppeboulevard 27
4320
Wiekevorst"
"Christiane Debruyne","Bartlaan 66
2559
Rollegem-Kapelle"
"Martine Bauwens Wellens","Johanlaan 97
7966 Bellingen"
"Marie-José Van de Velde","Nicoleweg 707
8673
Sart-Custinne"
"Evi Callebaut","Sebastiaanring 82
6803
Groot-Loon"
"Bram Aerts","Mathieulaan 138
7652
Martouzin-Neuville"
"Wout Malfait","Beatricering 000
3566
Desteldonk"
"Maarten De Greef","Koenring 57
4026
Sorinne-la-Longue"
"Karl Tielemans Thijs","Lutgardesingel 87
2091
Wakken"
"Francis Van Driessche","Annystraat 02
8184
Marchin"
"Amber Van Looveren","Tomhof 4
3960
Westende"
"Laura Vandenbussche Verhaeghe","Christophehof 30
9834
Beek"
"Joris Reynaert","Ayahof 7
6666
Destelbergen"
"Fien Luyten","Moniqueboulevard 517
7669 Hechtel-Eksel"
"Jozef Dejonghe","Vivianestraat 30
6092 Bergilers"
"Brecht Wouters","Sergelaan 16
3577 Gruitrode"
"Jan Huysmans","Alisteeg 837
6248 Nivelles"
"Jan Coppens","Luclei 603
6727
Romershoven"
"Frank Sels","Carolinering 70
5843 Farciennes"
"Willem Van de Walle","Marie-Joséboulevard 29
2531
Hillegem"
"Serge Martens","Lottelaan 1
9700
Hendrieken"
"Hanne Hanssens","Nadinebaan 34
2219
Julémont"
"Florence Engels Simons","Bartstraat 855
9501
Brecht"
"Godelieva Janssens","Milaweg 0
3876
Soumagne"
"Annie Goethals","Bramsingel 907
8800 Leuze-en-Hainaut"
"Brent Baetens","Samlei 701
9272
Bombaye"
"Roos Willems","Carinebaan 5
1791 Haccourt"
"Luca Vercauteren","Renésteeg 440
7605
Louveigné"
"Nathalie Vandevelde","Mariadreef 22
6204
Javingue"
"Jacqueline Geerts","Taniapad 6
4133
Burg-Reuland"
"Adam Christiaens","Arnesteeg 910
8476
Otrange"
"Ruben Callewaert","Anneweg 0
2695
Bolinne"
"Nancy Buelens","Kristofsingel 59
3130
Veulen"
"Christiana Van Hulle","Philippelei 46
5181
Ramelot"
"Georgette Ali","Ritalaan 6
4789 Willaupuis"
"Brent De Cock","Bensingel 531
7958 Quenast"
"Paul De Vuyst Michiels","Christianboulevard 06
5352
Leke"
"Philip De Boeck","Hendriksteeg 857
7253 Offagne"
"Frederik Heylen","Renédreef 35
6042
Cérexhe-Heuseux"
"Stien Baeten","Marleenlaan 0
3868
Cuesmes"
"Martine De Smet Dupont","Lucdreef 28
9618
Léglise"
"Dirk De Clercq","Mohamedring 02
8316 Laar"
"Charles Vaes","Sarahsingel 736
1764
Jette"
"Kathleen Diallo","Liesbethdreef 0
2079
Rekkem"
"Arne Claeys De Clercq","Andypad 963
1787 Deinze"
"Brent Peeters","Magdalenastraat 1
9836 Oudenaarde"
"Adriaan Goyvaerts","Dannybaan 16
3517 Monceau-sur-Sambre"
"Benny Dobbelaere","Jesselaan 891
9858 Limerlé"
"Laurens Bonte","Ritastraat 5
4006 Roloux"
"Roger De Winter De Vos","Wouterdreef 787
5641 Villers-Deux-Eglises"
"Nina Vervoort","Paulring 493
9024 Beloeil"
"Ellen De Vuyst Daems","Soniasingel 572
9769 Hanzinne"
"Kaat Jacobs","Louisdreef 20
8632
Saint-Amand"
"Ann Goossens","Cindylaan 316
4724
Machelen"
"Emma Verheyen","Jesselaan 06
4823 Nassogne"
"Brent Verbruggen","Tombaan 7
3157
Onkerzele"
"Frieda Van Baelen","Marchof 05
8077
Wegnez"
"Nico Van Dessel","Jeroensteeg 278
5156 Tillier"
"Roger Vermeulen","Sophielei 848
3421
Hollogne-aux-Pierres"
"Sem Maertens Cuypers","Thibaultlei 7
2746 Kinrooi"
"Ali Goossens","Nicolelei 2
2603 Ouwegem"
"Kjell De Ridder Vlaeminck","Christinehof 3
3878 Kapelle-op-den-Bos"
"Jeroen Devos","Ahmedweg 8
9448
Pellenberg"
"Henri Rosseel","Christianasingel 29
3645 Wiekevorst"
"Piet Cools","Anniering 2
3249
Harveng"
"Brent Vergauwen","Mathieuring 118
9798
Strée"
"Sofie Janssens","Brunosteeg 11
9038
Humain"
"Mona Devos","Marcweg 489
7235
Parike"
"Veerle Claessens","Liesbetboulevard 008
8075
Guignies"
"Davy De Wilde","Rudylaan 99
4177
Houtaing"
"Xander Maes","Bennyboulevard 622
8301 Blicquy"
"Willy Thys","Benjaminsteeg 203
3819 Bovesse"
"Nele Bervoets","Sennesingel 557
5297
Olmen"
"Linda De Pauw","Stevenpad 843
2264 Durbuy"
"Luc Temmerman","Philippeweg 8
8637
Offagne"
"Brent Vervoort","Elisahof 61
6039
Franchimont"
"Milan Vandenberghe","Rogersingel 351
5994
Nouvelles"
"Merel Cornelis","Anndreef 13
2279
Goetsenhoven"
"Jeannine Van Gestel","Pascalelaan 25
7139 Gerin"
"Paul Claes","Arthurring 75
1798
Velaines"
"Marc Buelens","Agnesweg 0
3157 Strée-lez-Huy"
"Lutgarde Rottiers","Agnesbaan 79
8876
Morville"
"Lars Callebaut","Sonjaring 0
8776 Stekene"
"Anouk Van den Brande","Isabelleweg 529
8047 Ochamps"
"Johannes Lambrechts","Natachapad 008
6975 Bièvre"
"Brian Vercauteren Martens","Kathleenpad 18
4863
Gerdingen"
"Lina Van Damme","Fredericweg 0
5903 Zoutenaaie"
"Clara Verhelst","Kamielbaan 7
3525 Sint-Lievens-Esse"
"Cornelia Verheyen","Frederikhof 34
5516 Winksele"
"Bart Vermeire","Melissadreef 31
6194
Attenrode"
"Michiel Depoorter","Rogerboulevard 80
4218
Solre-sur-Sambre"
"Mohamed Deceuninck","Stevenboulevard 80
4052
Saint-Séverin"
"Leona De Schepper","Nathandreef 234
7627
Sint-Pieters-Voeren"
"Stefanie Vandenbroucke Deleu","Evelienboulevard 0
3296 Wilsele"
"Paul Temmerman","Stevelei 665
4792 Bütgenbach"
"Brigitta De Smet","Julielei 642
5965
Schendelbeke"
"Hassan De Clercq","Annystraat 4
7096
Erneuville"
"Lucien Simoens","Annielaan 66
1519
Abée"
"Elisabeth Geens","Ingepad 0
7787 Casteau"
"Diane Thys","Barthof 7
1896 Morialmé"
"Robby Timmermans Verwimp","Maaikering 0
5534
Opont"
"Marijke Simoens","Andrealei 744
9453 Fronville"
"Valentina De Mey","Joliensteeg 2
4424
Poederlee"
"Jasper Bauwens","Katleensteeg 18
3174
Hanzinne"
"Germaine Vercammen","Fleursingel 5
1176 Lommersweiler"
"Brigitta Janssens","Ericweg 989
5751 Strombeek-Bever"
"Rita Verstraete","Carinesingel 24
4585
Herderen"
"Petrus Van Dessel","Mariedreef 198
2327
Gottignies"
"Andy Van den Bossche","Xanderhof 40
8179
Aisemont"
"Monique Steyaert","Franksteeg 072
9195 Neerlinter"
"Laura Jansen","Guillaumeboulevard 98
3582
Grandmenil"
"André Coppens","Noalaan 06
6729
Zellik"
"Elisabeth Vanderheyden","Josephinalei 92
9247
Bleret"
"Annelies Van Daele Aerts","Yveshof 064
7162
Semmerzake"
"Michiel Michiels","Landerring 46
9509
Malle"
"Brigitte Andries","Dominiquering 10
4406 Bois-et-Borsu"
"Isabel Vandendriessche Verstappen","Kristelstraat 26
9077
Abée"
"Franky Devolder Beernaert","Gabrielsteeg 46
9545
Petegem-aan-de-Schelde"
"Mia Pattyn","Milanhof 75
8210
Awenne"
"Benny Vleugels Van de Velde","Jessicabaan 22
5207 Neerlinter"
"Antoinette Reynaert","Adamdreef 8
5043 Houthalen-Helchteren"
"Anne Lenaerts","Ahmadboulevard 770
9062
Wépion"
"Jan Van Campenhout","Jackdreef 7
8376 Mesen"
"Helena Heyvaert","Chantallei 3
2462 Flémalle-Grande"
"Rebecca Vandewalle","Etiennelaan 2
6558
Tollembeek"
"Brigitte Claesen De Roover","Krisstraat 775
5642 Gilly"
"Leonie Vermeiren","Françoisboulevard 554
3652 Knokke-Heist"
"Michiel Pauwels","Jeroenring 470
7724
Quévy-le-Grand"
"Ilse Deckers","Jozeflei 22
5542 Herzele"
"Barbara Verlinden","Muratlaan 7
1459
Tongerlo"
"Sien Geens","Tinekeboulevard 008
9785 Onze-Lieve-Vrouw-Waver"
"Jana Vermeersch","Erwinboulevard 094
9859
Seilles"
"Marianne Dewitte","Marcsingel 073
8233 Krombeke"
"Christophe Bogaert","Sofiepad 33
9484
Sint-Antelinks"
"Bart De Mey","Mariopad 1
3095
Ham-sur-Sambre"
"Brigitte De Coster","Maryamring 999
6900 Dochamps"
"Karina Leemans Lippens","Annbaan 5
9069 Hingene"
"Rebecca De Winter Verbruggen","Lindasingel 058
9661
Sint-Pauwels"
"Liliane Callewaert","Willybaan 89
1243
Tillier"
"Bjorn Van Acker","Svenring 387
2263 Zottegem"
"Ivan Smeets","Filipsteeg 07
6520 Sint-Jans-Molenbeek"
"Agnès Rosseel Colpaert","Michelhof 04
9735 Oostham"
"Lodewijk Mariën","Maaikebaan 2
7809
Bachte-Maria-Leerne"
"Mariam Meersman","Pierrelaan 376
5132 Batsheers"
"Stijn Van Damme","Jameslaan 082
5116 Lonzée"
"Brigitte Hens","Christiaanweg 425
5718
Sinsin"
"Wim Michiels","Roelboulevard 602
8528
La Glanerie"
"Freddy Bollen","Karenhof 602
4902
Sint-Kornelis-Horebeke"
"Davy Boone","Gillesdreef 34
4932
Sint-Pieters-Woluwe"
"Zita Verhoeven","Pierrestraat 75
9168 Lembeek"
"Werner Dierick","Marksteeg 264
4820 Morville"
"Karen Vergauwen","Stijnstraat 91
5242 Essen"
"Tina Van den Bossche","Willemweg 17
3433
Harzé"
"Louis Lambrecht","Mariaweg 561
5655 Waasmunster"
"Raf Dierickx Polfliet","Eduardstraat 0
5427 Bovesse"
"Brigitte Lammens","Brunohof 193
2559 Marenne"
"Elena Goris","Johnhof 8
9440
Voormezele"
"Nicole Mertens","Davysingel 882
9941 Couillet"
"Noël Thys","Wendystraat 8
9715 Grote-Brogel"
"Silke Devriendt","Marleensteeg 43
1522
Laplaigne"
"Ana Vercammen","Krislei 9
4149 Loppem"
"Mauro De Neve","Gretastraat 1
5934
Zevergem"
"Pauline De Bruycker","Daanpad 675
1524 Mouzaive"
"Siebe Dejonghe","Gabrielstraat 5
9674 On"
"Sofie De Bruycker","Raflaan 495
4973
Harzé"
"Brigitte Mertens","Paulienstraat 506
2309
Romershoven"
"Anita Jacobs","Glennweg 943
6594 Lixhe"
"Robbe Neven","Wouterweg 25
4670 Evregnies"
"Joseph Gielen","Sylviadreef 850
9296
Overboelare"
"Bram Pieters","Ginoring 85
4103
Heinsch"
"Kobe Aerts","Patrickboulevard 67
6982
Ittre"
"Jochen Smets","Rosapad 1
8117 Hellebecq"
"Michael Meersman","Andrésteeg 70
8861
Liège"
"Carine Mertens","Elinesingel 0
2204 Melden"
"Chloë Meyers","Joostbaan 88
9543 Maubray"
"Brigitte Van Gestel","Margueritesteeg 21
2665
Koekelberg"
"Frank Schoofs","Viktorlaan 15
2727
Haut-Fays"
"Lennert Smet","Ghislainstraat 528
8411 Perk"
"Elena Callebaut","Bobring 95
5335
Ligny"
"Walter Matthys","Jochenhof 9
9131 Sluizen"
"Nathalie Denys","Martinestraat 3
2283 Thulin"
"Jonas Van Hoof","Hugosingel 008
3257 Walhain-Saint-Paul"
"Françoise Thomas","Nancysingel 188
8246 Membach"
"Delphine Peeters","Nellyweg 21
7184
Renlies"
"Elisabeth Praet","Koenbaan 940
9364 Daknam"
"Britt Verhulst","Geertlaan 5
9519 Boëlhe"
"Jacques Jacobs Lievens","Daandreef 7
5009
Appelterre-Eichem"
"Rune Vandendriessche","Biancahof 3
2315 Waha"
"Bertha Fierens","Andrébaan 371
8158
Stekene"
"Steven Goyvaerts","Brendalei 339
4813 Waudrez"
"Ginette Vercruysse","Edwindreef 778
6432 Gouy-lez-Piéton"
"Dirk Heyvaert","Willylaan 21
5280
Theux"
"Juliette Decoster","Rudyhof 7
7402
Rongy"
"Maria Hendrickx","Franslaan 4
4632 Erpe"
"Rudi Liekens","Alainsteeg 7
1119
Massenhoven"
"Bruno Timmermans","Ronyring 7
6634 Corroy-le-Grand"
"Wilfried Maes Janssens","Josianedreef 565
6703 Havay"
"Jeannine Vandenberghe","Dominiquelaan 9
2647 Trivières"
"Peter Vandenbroucke","Lucaslaan 92
3652 Haut-le-Wastia"
"Christiaan Vercammen","Erikstraat 7
1526 Anthisnes"
"Kobe Verstraete","Luclei 540
8287
Corroy-le-Château"
"Maya Thijs","Auréliesingel 8
9974
Rosée"
"Luc Van Camp","Edithring 056
9105
Sint-Lambrechts-Woluwe"
"Dieter Aerts","Jean-Mariering 472
4802
Macquenoise"
"Marc Boon","Francineboulevard 86
5558 Kumtich"
"Bryan Van Assche","Leopoldlei 067
4816
Berg"
"André Stevens","Jeanhof 1
6745
Longueville"
"Valerie Christiaens","Ghislainebaan 758
4853
Kortrijk-Dutsel"
"Antonio Vermeulen Wouters","Hildeweg 033
2253
Gentbrugge"
"Luc Demuynck","Carolinestraat 47
3067
Biesmerée"
"Bart Goossens","Tessalei 5
4999
Hamoir"
"Robin Peeters Maes","Carinelaan 76
6040
Boezinge"
"Christine Wauters","Florianbaan 7
5278
Wierde"
"Martine Van Belle","Antoinebaan 4
2243 Chapelle-lez-Herlaimont"
"Louisa Geerts","Hasanweg 054
6128 Wuustwezel"
"Camille Vandendriessche","Wimboulevard 29
2072 Balegem"
"Amber De Wilde","Katriensteeg 50
7910
Mopertingen"
"Fien Kerkhofs Van Campenhout","Geertsteeg 6
5510 Wolvertem"
"Stéphane Schepers Stevens","Melissadreef 3
8960
Corenne"
"Michelle Verstraeten","Farahsingel 147
3252
Beveren-Roeselare"
"René Pauwels","Elinedreef 01
9427 Martenslinde"
"Christian Gevaert","Erwinlaan 694
5652
Ciergnon"
"Anna Geerts","Mathiasboulevard 183
7070 Avernas-le-Bauduin"
"Inge Claessens","Renéweg 373
4401 Voort"
"Rita De Mulder","Christophering 3
3279 Oostham"
"Carina Bogaerts","Martinesingel 9
6536
Vleteren"
"Ingrid De Coninck","Paulasteeg 413
6381 Lamorteau"
"Tamara Andries","Jefpad 0
3970 Meeuwen-Gruitrode"
"Tess Vandendriessche","Katrienboulevard 339
7183
Engis"
"Guy De Backer","Geertpad 468
7382
Samart"
"Romain Engels","Janhof 49
9247
Beersel"
"Sonja Aerts","Viktorlei 0
3070
Zingem"
"Augusta De Smet","Timohof 92
2570
Lokeren"
"Linda Willekens","Gerardlei 352
9921
Buken"
"Fatima Bonte","Fleurring 500
7919 Tavier"
"Carine Daems","Riapad 159
4151 Heule"
"Martine Faes","Nicksingel 2
4423
Vorsen"
"Josephina Nijs","Ellenboulevard 0
3308 Kallo"
"David De Smet","Raymondsteeg 2
5468 Presles"
"Hannah De Wolf","Wimweg 9
1514 Hees"
"Axelle Boon","Timolei 455
6043 La Hestre"
"Rune De Block","Jozeflaan 9
7217
Mielen-boven-Aalst"
"Bart Verbiest","Hildalaan 963
8763 Meensel-Kiezegem"
"Bianca Malfait","Vivianebaan 562
2787
Quevaucamps"
"Claude Claeys","Maudsingel 9
8443 Macquenoise"
"Carine De Bie","Svensteeg 535
6072
Bousval"
"Johan Vermeylen","Jessiebaan 664
7331 Genoelselderen"
"Lana Roels","Frankybaan 53
9201
Landegem"
"Alexander Smets Peeters","Annicklaan 4
4543 Kersbeek-Miskom"
"Tim Thys","Katrienlei 1
6220
Eernegem"
"Jonas Put","Woutlei 5
7298 Vaux-et-Borset"
"Natasja Van Genechten","Pierrepad 258
2034
Elene"
"Brigitta De Bruyn","Verasteeg 55
8920
Ukkel"
"Geert Verhaeghe","Annsteeg 59
1859
Waasmunster"
"Hamza Mertens","Sofiepad 0
7806 Grapfontaine"
"Carine De Mey","Jean-Pierrering 715
7740
Ganshoren"
"Amy Janssens","Waltersingel 260
6917
Noiseux"
"Ayman Dubois","Annabaan 37
1046
Keumiée"
"Monique Lauwers","Stefansteeg 514
6902
Quenast"
"Cédric Van de Velde","Marie-Jeannesteeg 2
4019
Chaumont-Gistoux"
"Frank Coenen Derycke","Mariapad 6
8859
Deux-Acren"
"Ronald Jacobs","Nathalieboulevard 99
7489
Sorinnes"
"Lore Vermeylen","Bertlei 4
7583 Verrebroek"
"Josephine Tack","Ritapad 4
5434 Ougrée"
"Edwin Hendrickx","Patrickweg 798
1917 Ransart"
"Carine Depuydt","Janasteeg 328
1563 Sint-Katelijne-Waver"
"Davy Pieters Hendrickx","Hanssteeg 19
2894 Orchimont"
"Peter Claes","Levisteeg 74
7830
Romedenne"
"Peter Verhelst","Kristienlaan 9
5227
Ramsel"
"Malika Smolders","Freddystraat 629
8874
Manhay"
"Celine Meersman","Victoriasteeg 867
9927 Cour-sur-Heure"
"Franciscus Declercq","Josephhof 686
9555
Baelen"
"Jan Willems","Sylviaring 5
5889
Sint-Truiden"
"Anita De Groote","Josianepad 80
3173 Graide"
"Sem Roels","Patrickring 9
8101 Châtelineau"
"Carine Engelen","Christianadreef 92
5961
La"
"Guido Lambert Van Hoof","Marleenweg 42
8032 Deerlijk"
"Rita Moens","Marieweg 558
6895 Opdorp"
"Mia Bosmans","Bramsteeg 451
6270 Sint-Jacobs-Kapelle"
"Marina Janssen","Rudilei 4
8850
Arlon"
"Linda Van Gestel","Vicboulevard 61
9138 Winenne"
"Johannes Vandenbussche","Miguelboulevard 92
8947
Olne"
"Emiel De Mey","Wardbaan 2
4652 Masbourg"
"Olivier Van Bogaert","Marcpad 484
7158 Brakel"
"Marc Maes","Thomasweg 8
4544
Kelmis"
"Carine Gielen","Heidistraat 4
9225 Oombergen"
"Rudolf Swinnen","Kristapad 69
5601
Vezon"
"Paul Holvoet","Ericlaan 4
9270
Lierde"
"Yusuf De Moor Derycke","Stevenstraat 98
6021 Biesme"
"Nadine Claeys","Johanstraat 94
8320 Quartes"
"Christiane Deckers","Shanadreef 773
7518 Monceau-sur-Sambre"
"Gregory Swinnen","Fransweg 971
9657
Moustier"
"Ann Demeyer","Peggyboulevard 28
2615
Mopertingen"
"Rudy Bonte","Wimsteeg 376
6893 Vladslo"
"Albert Vlaeminck","Patricialei 310
9970 Esneux"
"Carine Hellemans","Koensteeg 4
7325
Marilles"
"Erna Broeckx","Vivianesingel 48
2911
Saint-Sauveur"
"Florent De Smet","Elinedreef 198
9783 Gijzenzele"
"Katrien Hendrickx","Silviadreef 6
8920 Houtave"
"Hilde Adriaenssens","Sylviesingel 59
4551
Ormeignies"
"Etienne Decoster Vereecke","Willemdreef 451
6506 Kluizen"
"Yves Roels","Ronnydreef 5
1569 Rhisnes"
"Xander Fransen","Olivialei 10
2119 Neu-Moresnet"
"Anneke Luyten","Riabaan 0
5938 Bellingen"
"Roland Janssens","Zitaboulevard 4
4344
Saint-Denis"
"Carine Janssen","Emiliehof 56
8003
Polleur"
"Ludovicus Pauwels","Mohammedhof 063
1855 Knesselare"
"Yannick Van de Velde","Lutgardisboulevard 94
4480
Kanne"
"Pauline Goossens","Lindastraat 3
7245 Sint-Amands"
