"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Г-ѓа Емилија Глигорова"|"Благој Давков 7
68210 Виница"
"Кристина Димовска"|"Кирил Пејчиновиќ 6а/7
63244 Неготино"
"Јасмина Христова"|"Георги Димитров 65
62916 Гевгелија"
"Г-н Бранко Христов"|"Македонија 440
53899 Берово"
"Илија Георгиев"|"Орце Николов 7в
71587 Делчево"
"Сара Јанева"|"Булевар Свети Климент Охридски 5а
77898 Делчево"
"Цветан Арсовски"|"Софиска 96
51922 Струмица"
"Г-ца Мирјана Ѓоргиева"|"Букурешка 9а
67430 Кавадарци"
"Сузана Пановска"|"Јасминска 49
60002 Делчево"
"Марјан Коцев"|"Перо Наков 1в
65095 Валандово"
"Бојан Иванов"|"Никола Русински 288
57860 Неготино"
"Елена Чулева"|"Волгоградска 7в
76711 Кочани"
"Проф. Надица Коцева"|"Кеј Димитар Влахов 3а
28895 Радовиш"
"Г-н Васил Коцев"|"Илинденска 022
33579 Кочани"
"Проф. Бојан Коцев"|"Лондонска 5а/0
43281 Тетово"
"Весна Ѓорѓиевска"|"Партизански одреди 1в
00922 Македонска Каменица"
"Дарија Стојановска"|"Самоилова 963
68908 Тетово"
"Др. Слободан Шакири"|"Јован Хаџи Константинов Џинот 5
08065 Делчево"
"Слободан Спасовски"|"Виенска 9а
03391 Пробиштип"
"Тања Спасовска"|"Лазар Личеноски 1а/8
28745 Валандово"
"Др. Коста Цветковски"|"Никола Русински 2б/4
09839 Ресен"
"Алексеј Симоновски"|"Букурешка 7
34516 Берово"
"Благица Лазаревска"|"Васил Главинов 86
91013 Велес"
"Г-н Видое Донев"|"Христијан Тодоровски Карпош 48
54536 Гостивар"
"Горан Мусијановски"|"Јован Хаџи Константинов Џинот 77
68416 Скопје"
"Јовче Петковски"|"Аристотел 5
13551 Берово"
"Г-ца Теодора Велјанова"|"Благој Давков 2б
23556 Пехчево"
"Сара Петровска"|"Георги Димитров 21
82180 Тетово"
"Г-н Методи Јанев"|"Никола Вапцаров 269
89941 Ресен"
"Кристина Матевска"|"Никола Карев 70
88796 Штип"
"Г-н Васил Дешановски"|"Македонија 8а/1
67428 Штип"
"Др. Сашо Поповски"|"Михаило Пупин 464
90265 Кичево"
"Г-н Димитар Василев"|"Крушевска 2а/0
97901 Кичево"
"Г-н Видое Николов"|"Крушевска 2б/8
21542 Кочани"
"Гордана Бојаџиева"|"Перо Наков 599
18047 Кочани"
"Проф. Игор Митревски"|"Лондонска 9
16247 Радовиш"
"Виолета Ѓорѓиевска"|"Ленинградска 6а
35749 Демир Хисар"
"Кристина Ристовска"|"Ленинградска 9б
11519 Струга"
"Г-н Лазар Заев"|"Петар Поп Арсов 0в
85916 Тетово"
"Коста Алексовски"|"Наум Охридски 6а/1
45360 Гостивар"
"Стојан Јовчев"|"Воденска 5б/8
96031 Виница"
"Проф. Надица Бојаџиева"|"Георги Димитров 6б
20280 Пробиштип"
"Г-ѓа Снежана Андоновска"|"Наум Охридски 1б/1
95923 Делчево"
"Г-н Видое Трајковски"|"Даме Груев 2а/5
00793 Струмица"
"Марија Гавриловска"|"Самоилова 6б
16122 Кратово"
"Проф. Сања Апостолова"|"Рибарска 4б/0
66660 Македонска Каменица"
"Г-ца Јована Заева"|"Кеј Македонија 2в
96345 Куманово"
"Драгана Крстева"|"Благој Давков 10
01370 Гостивар"
"Марија Димовска"|"Едвард Кардељ 5
30872 Кичево"
"Методи Дешановски"|"Луј Пастер 8а
32803 Дебар"
"Др. Борче Илиев"|"Луј Пастер 1б
60008 Неготино"
"Проф. Лазар Коцев"|"Даме Груев 4а
79949 Богданци"
"Тијана Велкова"|"Булевар Свети Климент Охридски 496
03082 Струга"
"Г-н Видое Шакири"|"Кеј Димитар Влахов 8б
99021 Македонска Каменица"
"Проф. Наташа Христова"|"Булевар Партизански одреди 1б
58779 Делчево"
"Проф. Дарко Дурловски"|"Гоце Делчев 05
62918 Делчево"
"Др. Лилјана Атанасова"|"Шарпланинска 9а
39787 Битола"
"Надица Петровска"|"Кеј Димитар Влахов 7б
46454 Пехчево"
"Маја Ѓорѓиевска"|"Булевар Цветан Димов 05
54317 Крушево"
"Невена Николовска"|"Радовишка 6а
59570 Кавадарци"
"Коста Шакири"|"Рибарска 48
37586 Радовиш"
"Др. Васил Лазов"|"Букурешка 0б/4
56481 Демир Хисар"
"Никола Бојаџиев"|"Бриселска 8в
03891 Тетово"
"Г-н Влатко Христов"|"Маршал Тито 85
92736 Крива Паланка"
"Г-н Крсте Јовановски"|"Булевар Гоце Делчев 5б
39273 Ресен"
"Јане Алексовски"|"Никола Карев 8в
21620 Тетово"
"Г-н Цветан Спасов"|"Самоилова 9а
22519 Кочани"
"Др. Тодор Велјанов"|"Јован Хаџи Константинов Џинот 8в
94009 Тетово"
"Ана Мартиновска"|"Стоби 5а/6
50125 Пехчево"
"Г-н Петар Донев"|"Булевар Александар Македонски 7а/2
95611 Кратово"
"Илија Чулев"|"Булевар Гоце Делчев 7б/8
12026 Куманово"
"Г-н Даниел Николов"|"Кеј Македонија 7а
92681 Дебар"
"Проф. Тодор Ристовски"|"Маршал Тито 3б
64139 Свети Николе"
"Г-н Гоце Дешановски"|"Дојранска 110
06160 Радовиш"
"Анета Арсовска"|"Шарпланинска 9а/6
08189 Битола"
"Др. Тодор Цветковски"|"Едвард Кардељ 9а/0
57246 Свети Николе"
"Др. Влатко Симоновски"|"Природна 930
30767 Велес"
"Андреј Димовски"|"Благој Давков 6
05682 Радовиш"
"Проф. Горан Мартиновски"|"Булевар Никола Карев 5б
10857 Демир Хисар"
"Лилјана Митревска"|"Воденска 8
79992 Крива Паланка"
"Г-н Жарко Арсовски"|"Никола Карев 6а/8
21296 Македонски Брод"
"Бранко Коцев"|"Самоилова 74
60814 Битола"
"Слободан Пановски"|"Бриселска 0
43427 Тетово"
"Г-н Гоце Матевски"|"Благој Давков 6б
29800 Велес"
"Проф. Петар Симоновски"|"Пролетерска 49
93444 Кичево"
"Проф. Јована Димовска"|"Славеј Планина 8б
71273 Демир Капија"
"Никола Михајловски"|"Бриселска 9
17138 Куманово"
"Г-ца Лилјана Јовановска"|"Гоце Делчев 78
73403 Делчево"
"Г-н Јане Николов"|"Шарпланинска 1б/4
50048 Валандово"
"Билјана Симоновска"|"Васил Главинов 2а/4
85508 Велес"
"Проф. Илија Спасов"|"Будимпештанска 8б/6
97306 Струга"
"Марко Димовски"|"Тодор Александров 4в
25121 Свети Николе"
"Јована Бојаџиева"|"Никола Карев 5б
70211 Охрид"
"Г-н Гоце Мусијановски"|"Македонија 2в
49372 Скопје"
"Г-н Андреј Бојаџиев"|"Орце Николов 152
31077 Охрид"
"Проф. Атанас Коцев"|"Виенска 3
48670 Берово"
"Благој Атанасов"|"Ибрахим Темо 4а
62034 Куманово"
"Горан Николовски"|"Булевар Никола Карев 6а
15712 Прилеп"
"Г-ѓа Мартина Георгиева"|"Никола Вапцаров 3б/6
98236 Тетово"
"Кристина Ѓоргиева"|"Ленинградска 906
18264 Кочани"
"Г-н Митко Николовски"|"Стоби 051
01849 Македонски Брод"
"Др. Лилјана Дурловска"|"Аристотел 2а
06623 Битола"
"Др. Ангела Марковска"|"Булевар Александар Македонски 900
31268 Демир Хисар"
"Г-н Гоце Стојановски"|"Булевар Никола Карев 0
21314 Струмица"
"Г-н Илија Арсовски"|"Христијан Тодоровски Карпош 5б
64661 Охрид"
"Благој Поповски"|"Трета македонска бригада 2а
06951 Богданци"
"Крсте Ѓоргиев"|"Булевар Партизански одреди 105
40296 Демир Хисар"
"Г-н Филип Крстески"|"Природна 5б/1
85051 Пробиштип"
"Маја Георгиева"|"Востаничка 55
39173 Пробиштип"
"Др. Влатко Заев"|"Јован Хаџи Константинов Џинот 5а
07680 Македонска Каменица"
"Проф. Роза Младеновска"|"Дојранска 7а/5
54815 Крива Паланка"
"Тихомир Јовчев"|"Букурешка 6б/7
90166 Охрид"
"Г-н Михаил Симоновски"|"Одбранбена 34
74102 Македонски Брод"
"Г-н Дамјан Зафировски"|"Маршал Тито 4а
08116 Пехчево"
"Г-ца Александра Крстева"|"Радовишка 0а
37491 Кавадарци"
"Др. Лина Михајловска"|"Радовишка 0б
42175 Струга"
"Г-ѓа Марија Климовска"|"Јане Сандански 831
58029 Битола"
"Проф. Цвета Алексовска"|"Ибрахим Темо 6в
22788 Дебар"
"Проф. Дамјан Николов"|"Хелсинки 42
62830 Македонска Каменица"
"Проф. Трајче Матевски"|"Едвард Кардељ 6б
65672 Кратово"
"Др. Гоце Спасовски"|"Гоце Делчев 60
75101 Кочани"
"Надица Лазова"|"Аристотел 8
57707 Охрид"
"Г-ѓа Мартина Дамјановска"|"Булевар Александар Македонски 47
82538 Кочани"
"Г-н Дамјан Ристовски"|"Перо Наков 5
56018 Струга"
"Г-ѓа Драгана Христова"|"Булевар Блаже Конески 5
57047 Македонска Каменица"
"Чедо Дешановски"|"Варшавска 2а/3
09224 Крива Паланка"
"Дарија Николова"|"Скупи 1а
11142 Пехчево"
"Др. Филип Наумовски"|"Кирил Пејчиновиќ 0б/1
81952 Кавадарци"
"Софија Ѓорѓиевска"|"Востаничка 0
28404 Штип"
"Г-ца Елена Георгиева"|"Глигор Прличев 3в
08867 Берово"
"Г-ѓа Александра Јанева"|"Питу Гули 4б/9
55142 Гевгелија"
"Лина Крстеска"|"Климент Охридски 9б
19242 Берово"
"Г-ца Благица Тодоровска"|"Никола Карев 0в
35496 Крушево"
"Г-н Даниел Ѓорѓиевски"|"Јован Хаџи Константинов Џинот 442
10996 Дебар"
"Г-ѓа Марија Спасова"|"Кеј Македонија 3б
02677 Крушево"
"Г-н Митко Апостолов"|"Михаило Пупин 2
96100 Ресен"
"Цвета Алексовска"|"Трета македонска бригада 1в
39635 Свети Николе"
"Проф. Зоран Ѓорѓиевски"|"Јасминска 0а/7
69527 Неготино"
"Надица Младеновска"|"Јане Сандански 2
36752 Демир Хисар"
"Г-н Драган Заев"|"Букурешка 2б/7
83289 Кратово"
"Проф. Нина Заева"|"Македонија 4б/3
07937 Валандово"
"Цвета Јовановска"|"Македонија 7б/1
83957 Струмица"
"Весна Христова"|"Самоилова 6
65944 Кавадарци"
"Г-н Даниел Лазов"|"Никола Карев 5в
53067 Ресен"
"Благој Ѓоргиев"|"Булевар Блаже Конески 4
24206 Кочани"
"Борче Стојановски"|"Трета македонска бригада 7а/7
44979 Берово"
"Г-ца Теодора Георгиева"|"Букурешка 1б
15099 Гостивар"
"Александра Шакири"|"Перо Наков 2в
93514 Крива Паланка"
"Др. Магдалена Михајловска"|"Радовишка 47
02178 Свети Николе"
"Борис Дешановски"|"Тодор Александров 4в
57771 Штип"
"Катерина Чулева"|"Лазар Личеноски 79
97371 Кичево"
"Гордана Дешановска"|"Варшавска 9б/3
48312 Струмица"
"Проф. Цветан Матевски"|"Крушевска 4
71346 Дебар"
"Г-н Дејан Георгиев"|"Климент Охридски 8
97655 Македонски Брод"
"Јасмина Дамјановска"|"Будимпештанска 0
31315 Радовиш"
"Г-ѓа Драгана Шакири"|"Питу Гули 8б/9
30171 Кочани"
"Даница Матевска"|"Петар Поп Арсов 4
84709 Валандово"
"Г-н Митко Лазаревски"|"Одбранбена 4в
65305 Пехчево"
"Проф. Даница Младеновска"|"Аристотел 2б/8
81127 Неготино"
"Др. Иванка Петровска"|"Даме Груев 87
67708 Прилеп"
"Момчило Симоновски"|"Булевар Блаже Конески 6а/8
20667 Неготино"
"Емилија Михајловска"|"Кеј Македонија 4
92798 Пехчево"
"Иван Стефановски"|"Кеј Македонија 1б/1
29000 Берово"
"Г-н Дејан Младеновски"|"Софиска 5б
27978 Ресен"
"Др. Кристина Митревска"|"Крушевска 951
79682 Пробиштип"
"Момчило Стефановски"|"Виенска 6а
96485 Демир Капија"
"Г-н Лазар Зафировски"|"Лазар Личеноски 0
72077 Пробиштип"
"Цветанка Марковска"|"Ибрахим Темо 34
28440 Кавадарци"
"Кузман Атанасов"|"Орце Николов 3б/7
81421 Валандово"
"Лина Заева"|"Булевар Никола Карев 0а
40095 Битола"
"Проф. Гоце Пановски"|"Тодор Александров 68
16800 Тетово"
"Лилјана Цветковска"|"Воденска 3в
66386 Велес"
"Проф. Иванка Зафировска"|"Николај Коперник 853
24247 Виница"
"Г-н Димитар Георгиев"|"Тодор Александров 6
64994 Тетово"
"Петре Митревски"|"Тодор Александров 3
53207 Дебар"
"Др. Дарија Дамјановска"|"Михаило Пупин 4в
89826 Валандово"
"Г-ца Благица Стефановска"|"Едвард Кардељ 55
19485 Кавадарци"
"Павле Тодоровски"|"Јован Хаџи Константинов Џинот 7б
66940 Ресен"
"Драган Трајковски"|"Бриселска 5а
12371 Ресен"
"Др. Јована Крстева"|"Букурешка 0а
93183 Пехчево"
"Лилјана Шакири"|"Гоце Делчев 0б/9
63607 Виница"
"Надица Младеновска"|"Булевар Гоце Делчев 0в
20991 Гостивар"
"Г-ца Милена Стефановска"|"Лазар Личеноски 2в
97421 Битола"
"Г-н Димитар Михајловски"|"Климент Охридски 4
45517 Кратово"
"Др. Даниел Мартиновски"|"Стоби 3б
52345 Крушево"
"Проф. Благој Матевски"|"Булевар Александар Македонски 0
02954 Македонски Брод"
"Јована Гавриловска"|"Виенска 7б/8
99596 Богданци"
"Игор Митревски"|"Михаило Апостолски 824
93695 Кавадарци"
"Др. Елизабета Матевска"|"Аристотел 1а/9
69514 Македонски Брод"
"Ангела Алексовска"|"Аристотел 4в
81487 Дебар"
"Павле Јовановски"|"Стоби 8б
62457 Ресен"
"Марко Глигоров"|"Славеј Планина 3
37680 Кичево"
"Г-ца Весна Климовска"|"Женевска 5а
25174 Свети Николе"
"Г-н Димитар Петковски"|"Никола Русински 9в
75800 Кочани"
"Мартина Петровска"|"Булевар Свети Климент Охридски 2а
01159 Свети Николе"
"Г-н Васил Лазаревски"|"Дојранска 1
40078 Гевгелија"
"Емилија Михајловска"|"Македонија 3б/5
75479 Пробиштип"
"Марко Поповски"|"Булевар Гоце Делчев 698
35754 Кичево"
"Цвета Марковска"|"Димитар Влахов 5б/7
09695 Тетово"
"Г-ца Весна Гроздановска"|"Шарпланинска 7а
98611 Скопје"
"Соња Ристовска"|"Рибарска 6б/3
17198 Скопје"
"Проф. Ана Трајковска"|"Едвард Кардељ 3а
43564 Кратово"
"Проф. Коста Андоновски"|"Никола Карев 8в
93025 Делчево"
"Г-н Димитар Спасов"|"Природна 7
92623 Штип"
"Г-н Наум Јанев"|"Будимпештанска 8б/8
19228 Велес"
"Г-ца Благица Матевска"|"Хелсинки 2а/2
88457 Крива Паланка"
"Др. Ана Зафировска"|"Никола Карев 1
48545 Кочани"
"Стефанија Ѓоргиева"|"Славеј Планина 01
93534 Свети Николе"
"Никола Михајловски"|"Перо Наков 6а
91166 Тетово"
"Др. Надица Алексовска"|"Рибарска 2а
76519 Кратово"
"Г-н Трајан Наумовски"|"Михаило Пупин 548
98071 Виница"
"Теодора Ѓорѓиевска"|"Питу Гули 6б/5
25073 Кичево"
"Проф. Даниел Дурловски"|"Самоилова 217
83555 Ресен"
"Г-н Доне Арсовски"|"Самоилова 7б/0
30356 Пехчево"
"Проф. Ана Крстева"|"Бриселска 8в
30044 Дебар"
"Јовче Апостолов"|"Хелсинки 2а/6
77179 Ресен"
"Др. Наум Јовчев"|"Булевар Никола Карев 2б
65120 Кочани"
"Наум Ѓоргиев"|"Едвард Кардељ 51
13190 Берово"
"Петар Арсовски"|"Аристотел 0а/2
34838 Делчево"
"Др. Маја Шакири"|"Васил Главинов 8б
44963 Куманово"
"Проф. Трајче Цветковски"|"Петар Поп Арсов 4в
54994 Дебар"
"Проф. Наташа Велјанова"|"Михаило Апостолски 542
85925 Демир Капија"
"Соња Михајловска"|"Перо Наков 4а
60262 Гостивар"
"Г-н Доне Гроздановски"|"Славеј Планина 8
11532 Македонски Брод"
"Ѓорги Поповски"|"Воденска 20
85858 Демир Хисар"
"Г-н Бојан Иванов"|"Востаничка 6б
09892 Свети Николе"
"Тања Димитриева"|"Михаило Пупин 2
05494 Ресен"
"Проф. Снежана Лазаревска"|"Едвард Кардељ 61
78289 Демир Хисар"
"Маја Коцева"|"Лондонска 5а/3
50495 Богданци"
"Димка Бојаџиева"|"Софиска 969
01772 Битола"
"Трајан Ѓорѓиевски"|"Лондонска 7
40980 Виница"
"Г-ца Марина Симоновска"|"Кеј Димитар Влахов 0а
18256 Радовиш"
"Марко Крстески"|"Рибарска 7в
25663 Струга"
"Г-н Драган Шакири"|"Булевар Свети Климент Охридски 852
76513 Струга"
"Г-н Ѓорги Мусијановски"|"Булевар Цветан Димов 35
45979 Делчево"
"Проф. Василка Георгиева"|"Партизански одреди 4а/0
53037 Демир Хисар"
"Др. Виолета Велјанова"|"Рибарска 2в
96911 Македонски Брод"
"Весна Арсовска"|"Ибрахим Темо 1в
75703 Радовиш"
"Г-н Бранко Ристовски"|"Бриселска 305
14185 Пробиштип"
"Г-н Тодор Николов"|"Петар Поп Арсов 01
07255 Скопје"
"Кузман Спасовски"|"Кеј Македонија 0
43579 Валандово"
"Г-н Лука Младеновски"|"Никола Русински 006
49993 Дебар"
"Др. Драган Велков"|"Востаничка 7б/4
15661 Крушево"
"Г-н Душан Јанев"|"Самоилова 8
64749 Демир Хисар"
"Бранко Христов"|"Васил Главинов 0б
94639 Крива Паланка"
"Магдалена Пановска"|"Булевар Партизански одреди 82
03416 Неготино"
"Коста Николовски"|"Питу Гули 1б/6
47779 Неготино"
"Г-н Трајче Ристовски"|"Кеј Димитар Влахов 1
87462 Крушево"
"Проф. Валентина Симоновска"|"Питу Гули 7
45106 Македонска Каменица"
"Никола Велков"|"Природна 62
81304 Пробиштип"
"Тијана Донева"|"Даме Груев 3а
56120 Кавадарци"
"Емил Михајловски"|"Никола Русински 807
60938 Битола"
"Цвета Иванова"|"Георги Димитров 0
78534 Прилеп"
"Г-н Душан Алексовски"|"Ленинградска 808
42275 Велес"
"Др. Михаил Стефановски"|"Кеј Димитар Влахов 608
49121 Ресен"
"Г-ца Данче Николовска"|"Македонија 4а/9
50391 Ресен"
"Марјан Андоновски"|"Георги Димитров 6в
38417 Неготино"
"Др. Василка Дешановска"|"Булевар Цветан Димов 1б/0
07893 Кавадарци"
"Проф. Васка Трајковска"|"Партизански одреди 667
22949 Демир Хисар"
"Васка Николовска"|"Глигор Прличев 3б
54000 Велес"
"Стефанија Глигорова"|"Петар Поп Арсов 2б
87582 Крушево"
"Зоран Христов"|"Рибарска 52
40205 Дебар"
"Г-н Атанас Лазов"|"Перо Наков 1
26228 Берово"
"Г-н Душан Глигоров"|"Васил Главинов 2а
33883 Дебар"
"Петар Гроздановски"|"Востаничка 6
60999 Кичево"
"Г-ѓа Иванка Стефановска"|"Климент Охридски 8
00130 Кратово"
"Емил Стојановски"|"Луј Пастер 279
22522 Куманово"
"Проф. Цветан Георгиев"|"Христијан Тодоровски Карпош 6а
06744 Битола"
"Др. Цвета Заева"|"Орце Николов 0
03948 Охрид"
"Г-н Христо Шакири"|"Глигор Прличев 625
58076 Богданци"
"Г-ца Ангела Климовска"|"Јован Хаџи Константинов Џинот 4в
36251 Скопје"
"Иванка Стефановска"|"Никола Вапцаров 8
78133 Демир Хисар"
"Марија Јанева"|"Ибрахим Темо 3б
76281 Демир Хисар"
"Г-н Душан Дамјановски"|"Скупи 8а/9
66046 Тетово"
"Милена Јовановска"|"Петар Поп Арсов 74
54748 Македонска Каменица"
"Тијана Николова"|"Јован Хаџи Константинов Џинот 89
47329 Свети Николе"
"Г-ѓа Ангела Гавриловска"|"Радовишка 90
20033 Пробиштип"
"Сара Алексовска"|"Кеј Македонија 7б
32057 Куманово"
"Билјана Шакири"|"Хелсинки 97
25995 Крушево"
"Гордана Ристовска"|"Шарпланинска 3б
34321 Скопје"
"Петар Михајловски"|"Будимпештанска 8б/3
88686 Гевгелија"
"Стефан Цветковски"|"Природна 5в
63034 Куманово"
"Проф. Сузана Тодоровска"|"Бриселска 7
00896 Скопје"
"Г-н Душан Илиев"|"Востаничка 6б/3
17291 Штип"
"Проф. Момчило Димитриев"|"Перо Наков 2в
90501 Свети Николе"
"Др. Момчило Ѓорѓиевски"|"Скупи 5
43928 Крушево"
"Проф. Анета Матевска"|"Кеј Македонија 0в
61103 Свети Николе"
"Г-ца Билјана Лазова"|"Воденска 7
20277 Македонски Брод"
"Снежана Мартиновска"|"Јован Хаџи Константинов Џинот 0в
60206 Кавадарци"
"Г-н Бојан Мојсов"|"Јане Сандански 863
40577 Македонска Каменица"
"Иван Петковски"|"Наум Охридски 639
66501 Струмица"
"Г-ѓа Мартина Донева"|"Тодор Александров 69
02572 Берово"
"Проф. Маја Донева"|"Лондонска 2
38233 Пробиштип"
"Г-н Емил Атанасов"|"Зелезничка 5в
57257 Велес"
"Мартина Цветковска"|"Петар Поп Арсов 6б/9
51737 Кавадарци"
"Ѓорче Шакири"|"Тодор Александров 2а
97941 Струга"
"Елизабета Глигорова"|"Перо Наков 60
84856 Виница"
"Јане Василев"|"Јане Сандански 5в
21636 Демир Капија"
"Цветанка Михајловска"|"Васил Главинов 9а/0
71244 Пехчево"
"Г-ѓа Драгана Атанасова"|"Перо Наков 0б/4
47073 Велес"
"Г-н Стефан Петковски"|"Македонија 1а/4
86983 Куманово"
"Павле Поповски"|"Букурешка 8а
63022 Богданци"
"Благица Петковска"|"Никола Вапцаров 8б/1
14674 Демир Хисар"
"Г-н Емил Димитриев"|"Ибрахим Темо 28
57872 Кочани"
"Проф. Даниел Велјанов"|"Одбранбена 0в
84309 Крушево"
"Г-ѓа Тања Велјанова"|"Партизански одреди 41
05834 Гевгелија"
"Васил Донев"|"Климент Охридски 423
12501 Струмица"
"Г-н Димитар Мојсов"|"Петар Поп Арсов 84
05903 Богданци"
"Др. Атанас Дешановски"|"Даме Груев 15
41047 Крива Паланка"
"Христо Мусијановски"|"Димитар Влахов 8
75342 Крива Паланка"
"Г-ца Надица Мартиновска"|"Кеј Македонија 1а
63621 Битола"
"Проф. Анета Алексовска"|"Славеј Планина 0б
07725 Гостивар"
"Андреј Иванов"|"Питу Гули 5б
79841 Струга"
"Г-н Емил Наумовски"|"Петар Поп Арсов 3
61220 Свети Николе"
"Проф. Анита Иванова"|"Глигор Прличев 5а
22548 Гостивар"
"Др. Трајан Стефановски"|"Гоце Делчев 0а/1
27796 Валандово"
"Проф. Душан Ѓорѓиевски"|"Никола Русински 8а
12118 Ресен"
"Проф. Цвета Марковска"|"Букурешка 9
66577 Струга"
"Катерина Иванова"|"Јасминска 9в
19901 Скопје"
"Проф. Кристина Николовска"|"Наум Охридски 363
09216 Валандово"
"Г-ца Виолета Димовска"|"Македонија 7в
45008 Кочани"
"Данче Иванова"|"Кеј Македонија 3в
05359 Ресен"
"Борис Јовановски"|"Трета македонска бригада 01
24517 Демир Хисар"
"Г-н Емил Ристовски"|"Благој Давков 0б/3
26110 Дебар"
"Весна Мојсова"|"Воденска 5б/5
39486 Валандово"
"Г-н Сашо Чулев"|"Христијан Тодоровски Карпош 2б/2
56198 Ресен"
"Анета Симоновска"|"Петар Поп Арсов 2в
99087 Велес"
"Др. Билјана Младеновска"|"Крушевска 2в
69437 Кочани"
"Проф. Чедо Симоновски"|"Пролетерска 8а/6
07402 Демир Капија"
"Наташа Атанасова"|"Воденска 2в
31928 Штип"
"Тодор Спасов"|"Стоби 194
15138 Свети Николе"
"Проф. Соња Дамјановска"|"Одбранбена 0а
10985 Прилеп"
"Сузана Георгиева"|"Перо Наков 55
35625 Прилеп"
"Г-н Жарко Матевски"|"Васил Главинов 7а
18807 Прилеп"
"Огнен Шакири"|"Булевар Александар Македонски 87
64566 Струмица"
"Сања Глигорова"|"Радовишка 6а/6
29113 Прилеп"
"Г-ѓа Лина Мартиновска"|"Самоилова 9
30633 Пехчево"
"Г-ца Благица Дешановска"|"Аристотел 9б
41843 Свети Николе"
"Наташа Зафировска"|"Будимпештанска 004
57514 Гевгелија"
"Ана Ѓоргиева"|"Јане Сандански 9б
53300 Крушево"
"Г-ца Соња Велјанова"|"Хелсинки 2б/4
46773 Делчево"
"Г-ца Александра Тодоровска"|"Булевар Гоце Делчев 64
33549 Богданци"
"Проф. Александар Ѓорѓиевски"|"Трета македонска бригада 39
30281 Крива Паланка"
"Г-н Жарко Митревски"|"Михаило Пупин 0б
64498 Кочани"
"Г-ца Надица Мартиновска"|"Илинденска 120
99215 Струга"
"Ѓорче Лазаревски"|"Николај Коперник 813
78505 Скопје"
"Васка Георгиева"|"Партизански одреди 044
62868 Берово"
"Кузман Велков"|"Едвард Кардељ 8б/4
51569 Гевгелија"
"Милена Петковска"|"Пролетерска 54
41964 Охрид"
"Др. Цвета Христова"|"Глигор Прличев 7б
58479 Делчево"
"Василка Крстеска"|"Маршал Тито 5в
83290 Кичево"
"Методи Спасовски"|"Благој Давков 90
33792 Богданци"
"Марјан Дамјановски"|"Воденска 2а
93432 Гостивар"
"Г-н Зоран Климовски"|"Самоилова 2
94340 Гевгелија"
"Проф. Соња Пановска"|"Илинденска 9
45934 Штип"
"Проф. Цветан Гроздановски"|"Булевар Никола Карев 38
47395 Штип"
"Др. Бојан Наумовски"|"Кирил Пејчиновиќ 6в
16189 Берово"
"Др. Елена Глигорова"|"Булевар Блаже Конески 0в
75792 Берово"
"Др. Томе Наумовски"|"Виенска 551
03206 Штип"
"Гордана Чулева"|"Христијан Тодоровски Карпош 9а
17534 Штип"
"Проф. Јане Трајковски"|"Свети Климент Охридски 7а/8
18701 Тетово"
"Влатко Николов"|"Аристотел 486
04214 Гевгелија"
"Стефан Донев"|"Булевар Никола Карев 0а
05664 Пехчево"
"Г-н Зоран Митревски"|"Булевар Партизански одреди 1а
32278 Битола"
"Лина Дамјановска"|"Женевска 9а
23377 Богданци"
"Васка Петковска"|"Воденска 2а
58780 Гостивар"
"Проф. Драган Георгиев"|"Партизански одреди 51
82065 Валандово"
"Др. Михаил Стојановски"|"Едвард Кардељ 6в
74372 Демир Хисар"
"Сашо Гавриловски"|"Глигор Прличев 2б
83439 Куманово"
"Дарко Димовски"|"Никола Русински 1а/3
78512 Струга"
"Весна Арсовска"|"Свети Климент Охридски 79
84456 Пехчево"
"Г-ца Мирјана Михајловска"|"Булевар Гоце Делчев 9б/9
55888 Демир Капија"
"Софија Марковска"|"Питу Гули 09
82974 Прилеп"
"Г-н Зоран Поповски"|"Лазар Личеноски 203
79960 Виница"
"Г-н Трајан Атанасов"|"Крсте Мисирков 8а/9
75393 Богданци"
"Кирил Николовски"|"Гоце Делчев 8а
13320 Дебар"
"Марина Иванова"|"Питу Гули 3а/4
00266 Демир Капија"
"Г-ца Лина Ѓорѓиевска"|"Луј Пастер 4а
80262 Гевгелија"
"Г-н Митко Арсовски"|"Благој Давков 8а/0
64053 Велес"
"Г-ѓа Емилија Ристовска"|"Јован Хаџи Константинов Џинот 3а/0
31048 Тетово"
"Г-ѓа Виолета Дешановска"|"Климент Охридски 1
36451 Крушево"
"Др. Трајче Јовчев"|"Тодор Александров 4а
61553 Македонска Каменица"
"Антон Димитриев"|"Булевар Никола Карев 126
68679 Кратово"
"Г-н Зоран Ристовски"|"Булевар Свети Климент Охридски 0б/9
87068 Струга"
"Наум Алексовски"|"Пролетерска 5б/3
70118 Велес"
"Александра Поповска"|"Ленинградска 2
03841 Делчево"
"Др. Лилјана Велкова"|"Самоилова 4
99626 Ресен"
"Г-н Ѓорче Андоновски"|"Бриселска 3б/0
21862 Македонска Каменица"
"Горан Христов"|"Шарпланинска 6
32267 Свети Николе"
"Г-ѓа Стефанија Стефановска"|"Рибарска 8б
31892 Богданци"
"Проф. Тодор Јовчев"|"Востаничка 4б
16416 Гевгелија"
"Стојан Јовчев"|"Васил Главинов 4
06941 Гостивар"
