"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Ružica Šoštarić"	"Magdićeve 9c/2
77265 Metković"
"Jure Ugrinić"	"Jadranska 3c/0
09632 Slavonski Brod"
"Zorka Maržić"	"Jurkovićeva 8a/4
77561 Pregrada"
"Nikša Sirotić"	"Zeleni dol 1c
05660 Vrbovsko"
"Damir Rojnić"	"Čačkovićeva 3b/1
28102 Klanjec"
"Đuro Hren"	"Pantovčak 62
96892 Bjelovar"
"Jadranka Bojanić"	"Kožarska 5a/1
34641 Stari Grad"
"Veronika Frketić"	"Jezuitski trg 0a
88833 Lipik"
"Ivo Štefanec"	"Mletačka 0b
50154 Kaštela"
"Josip Bunčić"	"Voćarsko naselje 0c/1
47982 Prelog"
"Suzana Jovanovac"	"Gračanska 7b/4
29957 Labin"
"Božena Kalazić"	"Ribnjak 7c
23658 Zaprešić"
"Josipa Lukša"	"Kraljevečki ogranak 8a
18997 Čabar"
"Zlatko Šalić"	"Kamaufova 02
09967 Mursko Središće"
"Damir Šurina"	"Mlinarska 0b/0
05875 Garešnica"
"Jele Vučetić"	"Šilobodov put 7a/0
06430 Pula"
"Aldo Bićanić"	"Podgaj 4a/0
93248 Popovača"
"Danijela Pavelić"	"Opatovina 7
13069 Ploče"
"Božena Pavičić"	"Višnjica 7b
53199 Makarska"
"Veronika Cvetnić"	"Jurjevska 6b/2
80864 Ivanec"
"Denis Karuza"	"Bosanska 3b
11649 Novi Marof"
"Tomislav Štefanec"	"Kamenita 3c
60537 Valpovo"
"Dražen Kovačević"	"Voćarska 4c/9
07484 Hrvatska Kostajnica"
"Patrik Hrvojić"	"Goljak 5a/3
24321 Prelog"
"Danica Akmačić"	"Mala 5b/6
34822 Knin"
"Franjo Husnjak"	"Tkalčićeva 4c/8
95655 Zaprešić"
"Mara Darojković"	"Vijenac 8a
32135 Pregrada"
"Matija Štrljić"	"Kozarčev vijenac 783
74842 Trogir"
"Zlatko Ugrinić"	"Palmotićeva 0a/5
31030 Vukovar"
"Lidija Pajur"	"Svibovac 2b/8
60099 Čabar"
"Lovre Rukavina"	"Vitezovićeva 4b/9
59018 Biograd na Moru"
"Kate Modrić"	"Šumski prečac 9
84833 Supetar"
"Biserka Šošić"	"Wickerhauserova 8a
72985 Delnice"
"Mateja Plantek"	"Draškovićeva 7a
73863 Benkovac"
"Danica Bošnjak"	"Vrazovo šetalište 977
74663 Sveta Nedelja"
"Franciska Zmaić"	"Kraljevec II. 1c
26321 Grubišno Polje"
"Joso Rendulić"	"Dvoranski prečac 791
99907 Trogir"
"Sara Tomljanović"	"Naumovac 4b
06759 Skradin"
"Jure Roca"	"Podgaj 1a/0
30814 Pleternica"
"Jana Friščić"	"Mašekova 4b/2
44725 Donja Stubica"
"Marija Plantek"	"Zelengaj 7a
72910 Vrbovec"
"Josip Mihić"	"Vinogradska 6a/7
91965 Umag"
"Milan Milotić"	"Kurelčeva 8a/9
66118 Kastav"
"Nevenka Nišević"	"Perivoj biskupa Stjepana II. 2b
98453 Supetar"
"Danica Ergotić"	"Draškovićeva 7c/2
87275 Velika Gorica"
"Jozo Štefović"	"Vitezovićeva 9c/0
06248 Dubrovnik"
"Mateo Lelas"	"Kurelčeva 9
19912 Otok"
"Manda Strinavić"	"Javorovac 1c/5
76415 Knin"
"David Maćešić"	"Višnjica 2b/8
29788 Imotski"
"Toni Benčić"	"Mašekova 1c/6
49584 Slatina"
"Darko Čović"	"Medveščak 4c/4
76447 Novska"
"Stana Friščić"	"Tošovac 4b/6
57033 Skradin"
"Mare Rubeša"	"Šestinski vrh 5c
05539 Grubišno Polje"
"Jadranka Stolnik"	"Jurkovićeva 1b/6
25161 Čabar"
"Danica Labinjan"	"Lobmayerove 904
19352 Benkovac"
"Elvis Đurinić"	"Streljačka 3a
26956 Klanjec"
"Jasna Škoda"	"Palmotićeva 2b/4
38141 Korčula"
"Branka Karlović"	"Javorovac 3b
77110 Pleternica"
"Ankica Pedišić"	"Voćarska 8a
31434 Garešnica"
"Draga Majstorović"	"Kozarčev vijenac 2c/8
66193 Novska"
"Štefica Govorčinović"	"Svibovac 52
72644 Slatina"
"Boris Vukman"	"Magdićeve 9
34287 Čazma"
"Mijo Rajn"	"Novi Goljak 1a/1
58046 Vrbovsko"
"Leon Benčić"	"Rokov perivoj 875
72824 Valpovo"
"Danica Maloča"	"Bijenička 2c/6
07070 Imotski"
"Boris Špišić"	"Jurjevska 1b
41978 Bakar"
"Bara Kuzmić"	"Višnjičke 937
40274 Komiža"
"Dragan Ercegović"	"Donje Prekrižje 8b
29156 Dugo Selo"
"Hana Seršić"	"Svibovac 1c/5
63384 Novska"
"Sara Ukić"	"Nova Ves 9
50276 Stari Grad"
"Tomislav Penić"	"Kraljevečki ogranak 296
17257 Delnice"
"Lea Vidas"	"Svibovac 4c
49735 Bakar"
"Biljana Terzić"	"Tkalčićeva 5b
38976 Split"
"Jelena Lukinić"	"Kapucinske 6c
32284 Dugo Selo"
"Danica Mraović"	"Šestinski vijenac 5c
87572 Obrovac"
"Lara Bolčević"	"Rikardove 4b/8
66055 Split"
"Štefanija Škunca"	"Pod zidom 4a/1
55907 Hrvatska Kostajnica"
"Kate Sabol"	"Bijenička 5c/4
02265 Duga Resa"
"Andrija Totić"	"Orlovac 4c/9
88584 Sveta Nedelja"
"Filip Benčić"	"Kurelčeva 6b/1
74340 Vis"
"Danica Raspor"	"Zmajevac 5
90927 Novi Vinodolski"
"Siniša Rađenović"	"Opatovina 1a
61861 Beli Manastir"
"Mislav Plantek"	"Bučarova 85
43848 Novska"
"Barbara Ergotić"	"Perivoj srpanjskih žrtava 01
15147 Slunj"
"Danica Stojčević"	"Novi Goljak 5b
65042 Hvar"
"Kristijan Mamula"	"Ružičnjak 2a/4
89532 Klanjec"
"Mladen Halapir"	"Zamenhofova 1a
68307 Sveta Nedelja"
"Jasna Nakić"	"Goljačke 9c
80852 Vinkovci"
"Milica Amanović"	"Krležin gvozd 9
03544 Pazin"
"Jozo Šeparović"	"Nova Ves 8c
75860 Zagreb"
"Josipa Vuljak"	"Kamaufova 5b
03493 Varaždin"
"Andrea Barbieri"	"Krvavi most 4
81527 Solin"
"Petra Bajan"	"Mihaljevac 7c/5
91936 Ivanec"
"Darko Damjanović"	"Jabukovac 7c/0
24658 Vrbovec"
"Danijel Bernardić"	"Kraljevec 00
82978 Glina"
"Mia Makovac"	"Klenovac 7b
87713 Zagreb"
"Slavko Leščić"	"Visoka 61
95486 Jastrebarsko"
"Josipa Lučić"	"Opatovina 6a
13023 Mali Lošinj"
"Mislav Roce"	"Mala 5a
22118 Labin"
"Karla Zebec"	"Medvedgradska 4b/4
40309 Varaždinske Toplice"
"Darko Bijelić"	"Magdićeve 4c/4
91189 Lipik"
"Jele Grgurić"	"Mlinovi 0a
18228 Vrgorac"
"Tatjana Dretvić"	"Ksaver 4c/1
99714 Biograd na Moru"
"Janko Marasović"	"Bosanska 7c
04112 Labin"
"Danijel Marin"	"Bakačeva 8c/6
37877 Našice"
"Barica Šimunović"	"Slavujevac 1c/9
48319 Lepoglava"
"Mia Rađenović"	"Kožarska 1c
07770 Ilok"
"Mateja Hadžić"	"Mihaljevac 2a/3
20584 Vodice"
"Mario Jakovac"	"Kraljevečki odvojak 4c/4
66244 Senj"
"Jasna Dujmović"	"Magdićeve 8b/7
03747 Knin"
"Slavica Polonijo"	"Kožarska 2
62527 Čakovec"
"Mijo Mardešić"	"Jurjevska 25
50613 Ivanec"
"Andrea Rahija"	"Horvatovac 58
00319 Rovinj"
"Barica Deže"	"Lobmayerove 9b
46850 Trilj"
"Danijel Peša"	"Horvatovac 32
21619 Hrvatska Kostajnica"
"Dragutin Damjanović"	"Krležin gvozd 3
80876 Čabar"
"Dražen Prskalo"	"Zamenhofove 4b
78465 Korčula"
"Roko Bebić"	"Zavojna 3a
63183 Otočac"
"Martina Mihić"	"Mletačka 4
26855 Obrovac"
"Marijana Grgurević"	"Vončinina 34
43034 Imotski"
"Jele Bajan"	"Javorovac 1b
20418 Makarska"
"Romano Zrinski"	"Glogovac 2a/2
74451 Poreč"
"Matija Pribanić"	"Javorovac 5b
32322 Knin"
"Božena Peroš"	"Horvatovac 638
11259 Čabar"
"Danijel Ribarić"	"Vinogradska 7c
53221 Opatija"
"Josip Marin"	"Wickerhauserova 8c/9
39348 Crikvenica"
"Lorena Barać"	"Strossmayerovo šetalište 81
31096 Sveta Nedelja"
"Ane Roca"	"Višnjica 5b/6
28333 Rijeka"
"Biserka Slavica"	"Zelengaj 850
84853 Korčula"
"Jure Ričko"	"Krležin gvozd 8c/2
84315 Hrvatska Kostajnica"
"Elvis Kuščević"	"Nemetova 8a
73326 Sinj"
"Anto Ljubičić"	"Dverce 6a/2
61709 Lipik"
"Željka Crneković"	"Lisinskoga 9c/7
53584 Otočac"
"Dragica Radočaj"	"Čačkovićeva 5c/7
85487 Biograd na Moru"
"Danijel Stojčević"	"Golubovac 1c/1
64294 Split"
"Mara Liović"	"Glogovac 6a
80637 Slavonski Brod"
"Karla Lešković"	"Šalata 01
91689 Sisak"
"Jakov Ozimec"	"Višnjica 2c/1
21759 Đurđevac"
"Jadranka Hrženjak"	"Rikardove 311
26637 Šibenik"
"Milena Morić"	"Ružičnjak 4
71593 Labin"
"Kata Andrašek"	"Klenovac 6c/4
44437 Sveta Nedelja"
"Manda Šokčević"	"Istarska 0a
25412 Orahovica"
"Dragutin Horvatinec"	"Donje Prekrižje 8b
17210 Garešnica"
"Božo Papak"	"Zeleni dol 0b
73584 Vinkovci"
"Danijela Burić"	"Perivoj srpanjskih žrtava 5b/2
87491 Dugo Selo"
"Ružica Lukić"	"Gračanska 8b
23754 Skradin"
"Mislav Salopek"	"Vinogradska 2c
71562 Daruvar"
"Nina Dominković"	"Grič 3b/1
46116 Virovitica"
"Antonija Filipčić"	"Nova Ves 591
70962 Ilok"
"Biserka Komljenović"	"Zamenhofove 4c
43755 Vrbovsko"
"Šime Mišak"	"Mala 5a
16916 Ivanić-Grad"
"Draga Zrinski"	"Pantovčak 4c/2
65840 Mali Lošinj"
"Nikolina Filipović"	"Golubovac 19
39173 Vodnjan"
"Alen Matas"	"Čačkovićeva 3b/0
44176 Split"
"Danijela Glasnović"	"Kamenita 2
47355 Bakar"
"Ivka Jugovac"	"Bučarova 863
89221 Ogulin"
"Milka Amidžić"	"Jurišićeva 1
93923 Šibenik"
"Veronika Popović"	"Gračanska 4a/1
69629 Lipik"
"Davor Čupić"	"Nemetova 8c
17256 Omiš"
"Niko Puškarić"	"Rikardove 3b
40352 Stari Grad"
"Mara Franjić"	"Mirogojska 9a/5
35693 Donja Stubica"
"Fran Čižmešija"	"Medveščak 5
15549 Ozalj"
"Lana Ljubičić"	"Javorovac 1c/2
18482 Umag"
"Hana Rahija"	"Kurelčeva 0
83536 Dubrovnik"
"Danijela Matovina"	"Mesnička 2c/6
07579 Vrbovsko"
"Katarina Polić"	"Mala 3b/8
98776 Vukovar"
"Juraj Lukšić"	"Mesnička 9b
32932 Oroslavje"
"Ivana Kuveždić"	"Kraljevec II. 80
96639 Krk"
"Marina Maretić"	"Golubovac 9b
75610 Slunj"
"Anđa Mihelčić"	"Svibovac 5a
46960 Lepoglava"
"Duje Sabljak"	"Kaptol 78
23863 Labin"
"Mare Šarić"	"Perivoj biskupa Stjepana II. 8a
49516 Vukovar"
"Dejan Terlević"	"Šilobodov put 2c
55371 Opuzen"
"Dragutin Hršak"	"Dverce 6c
66980 Delnice"
"Danijela Medved"	"Krvavi most 8c/5
77720 Glina"
"Mare Lešić"	"Medvedgradska 7
90031 Daruvar"
"Jadranka Maletić"	"Zamenhofove 2a/8
76171 Čakovec"
"Jana Legović"	"Tošovac 7c
81453 Požega"
"Vjekoslav Kralj"	"Lisinskoga 0
00069 Vinkovci"
"Jure Kujundžić"	"Šalata 7b
95156 Trogir"
"Eva Smolić"	"Streljačka 71
25489 Kraljevica"
"Milka Malnar"	"Mesnička 8c/8
96311 Ploče"
"Željka Soldo"	"Šilobodov put 5b
41003 Orahovica"
"Slavica Putinja"	"Mirogojska 9a/1
78144 Novi Marof"
"Danijela Norac"	"Gradec 5a
07026 Kastav"
"Dalibor Trbović"	"Krvavi most 8a/5
07052 Metković"
"Lara Bašić"	"Tošovac 8c
09235 Donji Miholjac"
"Goran Culi"	"Zamenhofove 1c/8
12376 Slatina"
"Jelena Jagečić"	"Perivoj biskupa Stjepana II. 13
92693 Novi Marof"
"Lovro Rebić"	"Mesnička 3a/6
74822 Vrgorac"
"Marko Stolnik"	"Rockefellerova 7a/8
34903 Stari Grad"
"Siniša Hodak"	"Istarska 1b/3
03462 Solin"
"Mihael Martić"	"Višnjica 3c
32489 Krk"
"Joso Kalanjoš"	"Nemetova 6
83061 Krk"
"Danijela Pongrac"	"Rockefellerova 5b/7
04652 Daruvar"
"Milka Brajković"	"Ružičnjak 8a
06884 Cres"
"Karlo Karagić"	"Slavujevac 2b
44750 Dubrovnik"
"Boris Smoković"	"Dvoranski prečac 6b/6
38791 Imotski"
"Romano Bjeliš"	"Jezuitski trg 4b
81570 Pazin"
"Luka Marjanović"	"Mlinarska 0a
31016 Klanjec"
"Snježana Pokas"	"Mlinovi 15
11747 Grubišno Polje"
"Bruno Crevar"	"Čačkovićeva 4b/3
53221 Ludbreg"
"Nikola Vuljak"	"Klenovac 3b
11491 Vrlika"
"Luka Lelas"	"Zvonarnička 7c
38253 Poreč"
"Danijela Puharić"	"Kraljevec 6a/2
79364 Rovinj"
"Mira Tudor"	"Goljačke 1b
27929 Križevci"
"Đuro Begonja"	"Jurišićeva 8a
04774 Varaždin"
"Valentina Hrastinski"	"Zamenhofova 6
10488 Otočac"
"Vladimir Jelavić"	"Vijenac 5b
24921 Zadar"
"Fran Kujundžić"	"Draškovićeva 6a/8
30368 Popovača"
"Duje Špišić"	"Vitezovićeva 3b
25382 Belišće"
"Alen Jozić"	"Ružičnjak 6b
25831 Supetar"
"Maria Šošić"	"Kapucinske 7a/0
39575 Vukovar"
"Valter Tomljanović"	"Šestinski vrh 6b/1
09663 Lipik"
"Danijela Seničić"	"Klanac Grgura Tepečića 0a
59082 Labin"
"Janja Maćešić"	"Gračanska 5c
20602 Oroslavje"
"Karlo Beletić"	"Perivoj biskupa Stjepana II. 249
42371 Skradin"
"Josip Bradić"	"Jadranska 625
89740 Vodnjan"
"Ivka Zrilić"	"Kraljevec 72
86941 Zlatar"
"Božica Bradić"	"Gupčeva zvijezda 1
43517 Grubišno Polje"
"Lana Starčević"	"Ksaver 7c
83899 Kraljevica"
"Željka Harapin"	"Mašekova 5
20990 Biograd na Moru"
"Patrik Močibob"	"Kapucinske 7b
11189 Donja Stubica"
"Andrija Matahlija"	"Tkalčićeva 1c
34686 Petrinja"
"Danijela Slavica"	"Vrazovo šetalište 4c/3
56961 Osijek"
"Đuro Kelić"	"Paunovac 607
32986 Korčula"
"Lidija Kauzlarić"	"Šestinski vrh 58
91084 Skradin"
"Fuma Šibalić"	"Hercegovačka 111
30702 Koprivnica"
"Lovre Kuščević"	"Kožarska 0c
51992 Novigrad"
"Marta Špralja"	"Gornje Prekrižje 323
80765 Požega"
"Juraj Stančin"	"Podgaj 5b
35652 Kutina"
"Jure Magić"	"Radnički dol 8c
69463 Makarska"
"Rozalija Crevar"	"Grič 6a
52971 Split"
"Matija Jugovac"	"Vinogradska 66
68442 Dubrovnik"
"Danijela Šošić"	"Gradec 4c/7
74371 Osijek"
"Toni Kokorić"	"Podgaj 79
04603 Solin"
"Slavko Puljiz"	"Ilica 686
23866 Našice"
"Nikša Trutanić"	"Bučarova 75
97256 Vrlika"
"Marijan Mikić"	"Šumski prečac 82
60006 Duga Resa"
"Zoran Plantek"	"Jabukovac 2c/7
77107 Pakrac"
"Zoran Bebić"	"Kamenita 8b
01221 Zaprešić"
"Anita Kuzmić"	"Tuškanac 0a
82687 Đurđevac"
"Dino Moslavac"	"Novi Goljak 2b/2
69781 Kastav"
"Anka Stančin"	"Kraljevec 7a
37771 Šibenik"
"Dario Aničić"	"Podgaj 9b/2
84535 Dubrovnik"
"Antun Karlović"	"Kozarčev vijenac 4c
69606 Slatina"
"Ivan Šokčević"	"Naumovac 7a
71755 Koprivnica"
"Sanja Bingula"	"Strossmayerovo šetalište 3b
52287 Pregrada"
"Terezija Žerjav"	"Bučarova 36
10858 Šibenik"
"Domagoj Glavor"	"Streljačka 5b
92958 Prelog"
"Milka Jurčić"	"Glogovac 6b
57065 Benkovac"
"Antun Marković"	"Kaptol 1b
92222 Novska"
"Romano Zelić"	"Streljačka 065
71825 Zaprešić"
"Zorka Bušljeta"	"Perivoj srpanjskih žrtava 82
08135 Donji Miholjac"
"Dario Baksa"	"Kamenjak 4
83487 Bjelovar"
"Danijela Makovac"	"Rikardove 5c
60550 Novska"
"Jelena Benčić"	"Petrova 32
96715 Vrgorac"
"Nevenka Rendulić"	"Strossmayerovo šetalište 4a
59204 Ozalj"
"Milka Kuveždić"	"Mašekova 0a/4
32446 Vodice"
"Dario Jakovljević"	"Horvatovac 9b
69193 Sveti Ivan Zelina"
"Ljiljana Mesić"	"Voćarska 30
74367 Rab"
"Zoran Čop"	"Skalinska 2b/9
09103 Valpovo"
"Mario Seršić"	"Mesnička 8
91280 Popovača"
"Roko Matahlija"	"Mašekova 944
05722 Ilok"
"Dario Baričević"	"Opatička 4
54261 Opatija"
"Sanja Šupraha"	"Opatovina 5b
27237 Novska"
"Lorena Beraković"	"Kožarska 9
51007 Otok"
"Stana Šalić"	"Nemetova 8c
32032 Vrbovec"
"Mihael Komljenović"	"Strossmayerovo šetalište 3a
59746 Hrvatska Kostajnica"
"Vera Medač"	"Jagodnjak 7b/2
77406 Vukovar"
"Denis Nišević"	"Golubovac 5c/9
05173 Čazma"
"Jasminka Šunjić"	"Kamenjak 8b
70927 Vrgorac"
"Iva Lešić"	"Naumovac 97
00574 Kraljevica"
"Nenad Kuščević"	"Čačkovićeva 1c/7
23008 Petrinja"
"Dario Bičanić"	"Paunovac 5c
38126 Trogir"
"Vlado Rumora"	"Kurelčeva 9b
91066 Mursko Središće"
"Dušan Dautanec"	"Nemetova 4a/2
19696 Pula"
"Mia Andrijević"	"Javorovac 6b/4
18110 Bakar"
"Eva Škunca"	"Klanac Grgura Tepečića 23
54404 Slavonski Brod"
"Matija Ilinović"	"Splavnica 4a/8
20440 Biograd na Moru"
"Nada Soldo"	"Zavojna 5c/5
97761 Glina"
"Mato Gudelj"	"Svibovac 318
36179 Solin"
"Suzana Kaniški"	"Čačkovićeva 4a
58754 Poreč"
"Milena Markuš"	"Zvonarnička 921
28056 Koprivnica"
"Dario Brandić"	"Arnoldova 43
71729 Poreč"
"Katarina Mikić"	"Rikardove 5a
31120 Dubrovnik"
"Mia Strinavić"	"Perivoj srpanjskih žrtava 5b
09134 Labin"
"Marica Debelić"	"Tošovac 2b
79255 Umag"
"Marko Turčinov"	"Zmajevac 9b
21521 Kutina"
"Sandra Božanović"	"Svibovac 0b/2
19354 Sinj"
"Ivica Ilinović"	"Tkalčićeva 389
66290 Korčula"
"Leon Špoljarić"	"Bijenička 6a/8
40612 Umag"
"Slavica Županić"	"Jagodnjak 1c
70599 Biograd na Moru"
"Niko Mužić"	"Rockefellerova 182
40005 Krk"
"Dario Jelić"	"Šumski prečac 9c
45096 Novi Vinodolski"
"Ika Friščić"	"Mlinovi 10
44796 Delnice"
"Marko Svetličić"	"Šestinski vrh 1b/9
09767 Donja Stubica"
"Marijan Gabud"	"Jagodnjak 6c
74036 Trilj"
"Leon Ergotić"	"Ružičnjak 630
58902 Cres"
"Romano Blažek"	"Slavujevac 03
49169 Mali Lošinj"
"Petar Gregov"	"Kamenjak 0c
68989 Pula"
"Ilija Maloča"	"Visoka 3a/6
17855 Cres"
"Dragica Nišević"	"Orlovac 8b/3
95074 Slatina"
"Ana Jovanović"	"Pantovčak 1b
44271 Oroslavje"
"Dario Jonjić"	"Jezuitski trg 898
33596 Vrgorac"
"Mia Oršolić"	"Dubravkin 8a/4
78040 Crikvenica"
"Hana Tepeš"	"Ksaver 545
51355 Ozalj"
"Nikola Žeželić"	"Medvedgradska 19
83549 Bakar"
"Zdenka Horvat"	"Zavojna 5a
73328 Belišće"
"Mato Šturlan"	"Podgaj 6c/3
13061 Ozalj"
"Ružica Labaš"	"Rokov perivoj 3c/6
75536 Dugo Selo"
"Zlatko Ričko"	"Višnjica 6a/3
18613 Krk"
"Josip Božičković"	"Petrova 2b/2
53139 Ogulin"
"Petar Paparić"	"Jabukovac 1
26579 Kutjevo"
"Dario Maras"	"Opatovina 9c/1
84362 Čazma"
"Elvis Barušić"	"Streljačka 4
07634 Knin"
"Niko Tonc"	"Grič 0b/3
55323 Bakar"
"Anita Nimac"	"Splavnica 470
57989 Senj"
"Aldo Plantek"	"Jagodnjak 564
07578 Donja Stubica"
"Tatjana Tudić"	"Jurišićeva 5a
74201 Metković"
"Dražen Cvetković"	"Rikardove 65
89362 Ozalj"
"Karla Bosilj"	"Šumski prečac 1a/2
15861 Duga Resa"
"Boris Batrac"	"Jadranska 7c/4
58642 Šibenik"
"Mato Medač"	"Palmotićeva 0
75690 Umag"
"Dario Tomić"	"Slavujevac 2b
17557 Vukovar"
"Dora Lenić"	"Goljačke 4a/2
93560 Petrinja"
"Lana Božanić"	"Hercegovačka 9b/7
50377 Slatina"
"Branka Kolarec"	"Svibovac 9c
54255 Garešnica"
"Mile Marjanović"	"Šalata 6b
08904 Labin"
"Antun Volarević"	"Wickerhauserova 9c
41825 Rab"
"Damir Jukić"	"Tošovac 4a/1
33547 Čabar"
"Jakov Milatić"	"Draškovićeva 7a
70799 Crikvenica"
"Biljana Hodak"	"Podgaj 6c/8
88298 Ploče"
"Matija Drandić"	"Glogovac 8a/9
13735 Popovača"
"Dario Vaci"	"Golubovac 80
99851 Labin"
"Lucija Perkov"	"Dverce 257
63296 Knin"
"Ema Pajur"	"Rokov perivoj 7c/2
69943 Zlatar"
"Milica Hećimović"	"Bijenička 7a
44440 Zabok"
"Antun Gržinčić"	"Zelenjak 5
41577 Umag"
"Kata Grbac"	"Pantovčak 6
88328 Ozalj"
"Andrea Lešić"	"Horvatovac 8b/3
67608 Orahovica"
"Mijo Čupić"	"Klenovac 8a/5
13080 Zadar"
"Dragan Buzov"	"Vijenac 644
93651 Đurđevac"
"Dragica Gržinčić"	"Perivoj srpanjskih žrtava 8a
20962 Daruvar"
"Dario Šurina"	"Šalata 2b
50215 Novigrad"
"Alen Miše"	"Nova Ves 9b
30184 Sveta Nedelja"
"Patrik Filipčić"	"Orlovac 075
75858 Oroslavje"
"Danica Kokorić"	"Wickerhauserova 8c/8
06227 Nova Gradiška"
"Nikola Jaković"	"Višnjičke 3c/9
92008 Buzet"
"Maria Sirotić"	"Kožarska 37
49552 Rijeka"
"Nina Ilić"	"Slavujevac 88
57950 Belišće"
"Danica Polović"	"Glogovac 8c/1
07932 Dubrovnik"
"Bara Crneković"	"Donje Prekrižje 915
20468 Hrvatska Kostajnica"
"Kristina Dubovečak"	"Kamaufova 2c
93392 Lepoglava"
"Dario Žagar"	"Zvonarnička 2a
96986 Osijek"
"Karlo Mirt"	"Jurjevska 9a
99262 Ivanec"
"Ruža Miočić"	"Jezuitski trg 1c
10015 Slavonski Brod"
"Jele Županić"	"Rikardove 523
43248 Otok"
"Ruža Raljević"	"Voćarsko naselje 8c/7
01626 Kaštela"
"Jozo Kereković"	"Nova Ves 863
02905 Vrgorac"
"Lorena Brlas"	"Jurjevska 6c
04689 Cres"
"Vedran Knezović"	"Jadranska 6a
13694 Lepoglava"
"Lovre Ćosić"	"Klesarski put 5b
47435 Slatina"
"Nina Ozimec"	"Palmotićeva 9a
14115 Benkovac"
"Darko Banovac"	"Kurelčeva 8a/2
49686 Zadar"
"Mateo Maričević"	"Zavojna 22
77174 Valpovo"
"Erik Stojčević"	"Male 547
39768 Cres"
"Lara Petek"	"Istarska 0c
79724 Vodnjan"
"Iva Martinić"	"Kozarčev vijenac 5
29390 Petrinja"
"Marina Brlek"	"Arnoldova 7a/1
18150 Čazma"
"Mihael Miličić"	"Kožarska 3
69276 Jastrebarsko"
"Petra Kligl"	"Šumski prečac 0b/6
06658 Daruvar"
"Matej Baričević"	"Ksaverska 7
39145 Stari Grad"
"Zdravko Stanić"	"Bijenička 2a/0
26750 Karlovac"
"Darko Bačak"	"Zamenhofove 7
65065 Donja Stubica"
"Dominik Sokol"	"Remetska 131
22217 Delnice"
"Božo Škrtić"	"Jadranska 8
55479 Varaždin"
"Goran Hinić"	"Rokov perivoj 5c
79370 Varaždin"
"Hana Barišić"	"Svibovac 2b
23236 Ludbreg"
"Suzana Šunjić"	"Grič 8
09177 Drniš"
"Ivka Lorencin"	"Bučarova 8
77158 Sveti Ivan Zelina"
"Niko Seršić"	"Svibovac 99
42653 Kutina"
"Laura Jakopec"	"Medveščak 0a/9
41161 Čazma"
"Anđela Lukić"	"Višnjičke 6b/6
20049 Vodice"
"Darko Bebić"	"Mlinske 4b/5
14879 Duga Resa"
"Nada Karagić"	"Goljak 2c/4
60163 Solin"
"Matija Medić"	"Opatička 062
56015 Virovitica"
"Slavko Buršić"	"Ksaver 3a
96040 Nin"
"Biserka Didović"	"Lobmayerove 9b
71192 Pakrac"
"Petra Benčić"	"Gornje Prekrižje 9c
90148 Ploče"
"Dora Rubeša"	"Zvonarnička 1b/1
12056 Skradin"
"Danica Požega"	"Gupčeva zvijezda 379
39125 Vodice"
"Kristina Močibob"	"Dverce 3
40422 Šibenik"
"Štefica Bojanić"	"Goljak 0
56530 Labin"
"Darko Borojević"	"Gračanska 1a
69584 Vrbovec"
"Lovro Staničić"	"Radnički dol 8a
34260 Nova Gradiška"
"Slavko Filar"	"Šilobodov put 1b/3
62569 Makarska"
"Mijo Brlek"	"Lobmayerove 323
07023 Čabar"
"Milka Maršić"	"Paunovac 5b
22329 Klanjec"
"Dragica Boljkovac"	"Zelenjak 6c
48591 Ilok"
"Antonija Tomić"	"Kozarčev vijenac 3a
95567 Otočac"
"Albina Kuveždić"	"Opatovina 9a/8
01998 Obrovac"
"Zdravko Ribičić"	"Istarska 18
72221 Pleternica"
"Zora Nakić"	"Medveščak 7a/0
74841 Buje"
"Darko Borošak"	"Nova Ves 5
95021 Ludbreg"
"Martina Semialjac"	"Jadranska 8b
39655 Sisak"
"Anita Koški"	"Zelenjak 2b
42130 Pleternica"
"Katarina Živković"	"Glogovac 441
92005 Vukovar"
"Franjo Klanac"	"Kožarska 57
80242 Sisak"
"Marijan Soldo"	"Rikardove 4a
94737 Duga Resa"
"Boris Bićanić"	"Grič 5
47433 Sveta Nedelja"
"Roko Franušić"	"Novi Goljak 2a
44142 Čazma"
"Zdravko Milatić"	"Draškovićeva 1c/2
26807 Ogulin"
"Bara Horvatinec"	"Kurelčeva 5
81546 Zlatar"
"Darko Culi"	"Ribnjak 4a/3
41723 Ivanec"
"Jasna Ivančan"	"Slavujevac 84
91567 Vodice"
"Ana Gelemanović"	"Jagodnjak 6c
15556 Slunj"
"Barica Kalazić"	"Gupčeva zvijezda 6b/1
97541 Sveti Ivan Zelina"
"Marijana Karmelić"	"Kozarčev vijenac 7
35525 Vodnjan"
"Matea Šalić"	"Visoka 9b
24792 Vodice"
"Martin Penić"	"Klesarski put 9c/3
01396 Cres"
"Fuma Stošić"	"Bijenička 6b/2
07260 Pula"
"Erik Stošić"	"Gornje Prekrižje 7a
50850 Osijek"
"Mia Gligora"	"Zeleni dol 1
64514 Velika Gorica"
"Darko Deže"	"Kraljevec 8c
72814 Kutina"
"Veronika Dobrić"	"Kožarska 471
81127 Ploče"
"Dragan Kraljić"	"Ljubinkovac 6b/3
55102 Korčula"
"Vlado Martinić"	"Vitezovićeva 36
12740 Zlatar"
