"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Zlatko Štefović","Javorovac 3b/8
90222 Pula"
"Lana Skupnjak","Horvatovac 8b/4
80594 Krapina"
"Jelena Mimica","Šalata 314
48064 Križevci"
"Anđa Barešić","Klenovac 8a
06684 Požega"
"Milka Šegović","Mletačka 7
87260 Rovinj"
"Julijana Vidaković","Opatička 5a/7
03572 Pazin"
"Božena Risek","Kraljevec 1b/2
46849 Gospić"
"Milica Polić","Golubovac 1a/3
32034 Vinkovci"
"Danijel Matokanović","Male 5b/6
02751 Čabar"
"Ana Franjić","Mesnička 4b
13856 Otočac"
"Anto Glavor","Slavujevac 0c/4
56607 Daruvar"
"Ante Šurbek","Rikardove 3b
78122 Vukovar"
"Zdenka Triplat","Tuškanac 5c
99906 Senj"
"Dino Pavić","Opatovina 5b
59317 Pregrada"
"Ivanka Lisica","Klenovac 5b
59293 Rab"
"Anton Liović","Palmotićeva 75
82768 Knin"
"Mile Kelečić","Cmrok 3b/9
98373 Donji Miholjac"
"Lidija Abičić","Bučarova 1c/9
35008 Mali Lošinj"
"Danijel Modrić","Streljačka 766
81400 Pregrada"
"Ružica Lovrić","Mihaljevac 7c
53665 Vodnjan"
"Dejan Rojnić","Ilica 1c/6
76890 Vinkovci"
"Robert Huljev","Gupčeva zvijezda 7a
54979 Kraljevica"
"Anđela Džapo","Šumski prečac 833
54241 Grubišno Polje"
"Antonio Tomičić","Rockefellerova 0c/0
22736 Krk"
"Mile Kalazić","Novi Goljak 1c/1
51114 Vodice"
"Dino Barković","Zvonarnička 2a
79211 Nin"
"Matija Antić","Podgaj 1b/6
02046 Petrinja"
"Danica Prelec","Gornje Prekrižje 0b
96634 Lepoglava"
"Danijel Orešković","Zelengaj 6a
78010 Zagreb"
"Matija Bebić","Ilica 7a/1
73383 Đurđevac"
"Ane Hanžek","Opatovina 3c
49582 Kraljevica"
"Mario Bojanić","Šalata 8b
95710 Daruvar"
"Barbara Maržić","Lisinskoga 5c/8
36213 Karlovac"
"Valter Semialjac","Mašekova 5b
43196 Novalja"
"Franjo Lojen","Kožarska 9c/6
24513 Trilj"
"Jasminka Friščić","Arnoldova 2c/2
89793 Makarska"
"Juraj Sever","Donje Prekrižje 9c/1
48973 Obrovac"
"Damir Grba","Male 8c
35845 Vrgorac"
"Danijel Rojnić","Slavujevac 7b/6
40512 Hvar"
"Ika Filipčić","Kaptol 0c
50283 Slunj"
"Šime Maretić","Wickerhauserova 355
63960 Pregrada"
"Lorena Jakovljević","Grič 6a
46355 Crikvenica"
"Martin Jakopec","Golubovac 7c
58665 Stari Grad"
"Dominik Andrijašević","Dverce 2
50880 Otok"
"Vedran Gegić","Glogovac 8a/9
55819 Ploče"
"Maria Barać","Ribnjak 6a
10917 Samobor"
"Dario Bukvić","Mlinske 0b/2
55571 Pazin"
"Mato Čop","Zmajevac 4b
22387 Grubišno Polje"
"Danijela Cvrtila","Mlinske 54
22476 Varaždinske Toplice"
"Mario Živić","Gračanska 3c/3
49812 Novalja"
"Goran Hećimović","Klenovac 3b
87500 Garešnica"
"Željko Ljubičić","Skalinska 0b
87939 Benkovac"
"Sara Lasić","Goljačke 3a
56426 Nova Gradiška"
"Ruža Karuza","Ksaverska 5b
34042 Jastrebarsko"
"Anica Pavelić","Petrova 04
88089 Zadar"
"Patrik Alković","Bakačeva 9a
74886 Opatija"
"Marica Damijanić","Gornje Prekrižje 2c/7
35336 Glina"
"Lara Mušćet","Rokova 542
49182 Bakar"
"Danijela Franjić","Tuškanac 5b/9
72143 Klanjec"
"Branko Horvatić","Mirogojska 7b
19846 Garešnica"
"Vesna Kahlina","Dubravkin 41
20767 Novska"
"Karlo Stošić","Svibovac 3c/7
60568 Lepoglava"
"Fuma Božičković","Radnički dol 1b/3
04314 Zagreb"
"Barbara Morić","Medvedgradska 2c/0
22749 Virovitica"
"Fran Eterović","Klenovac 58
35684 Zlatar"
"Mare Božić","Ružičnjak 4
34521 Vukovar"
"Željko Sladonja","Zamenhofova 8c/8
27686 Cres"
"Nikolina Matovina","Lisinskoga 5b
21151 Ogulin"
"Danijela Jelić","Bučarova 5c
66555 Novi Marof"
"Lovre Kovaček","Goljak 0a
32122 Omiš"
"Mile Ilinović","Rokova 1b
16445 Bjelovar"
"Nikolina Gržetić","Opatovina 8a
23109 Vrgorac"
"Sandra Bjeliš","Krvavi most 3c
08772 Požega"
"Maja Peša","Medvedgradska 8a
17596 Solin"
"Siniša Trnski","Kurelčeva 7c/5
18460 Opatija"
"Veronika Matulin","Pod zidom 0a
69356 Drniš"
"Mladen Mamula","Ribnjak 9a
43950 Požega"
"Nada Bernardić","Istarska 6b
34512 Prelog"
"Danijela Jukić","Remetska 9c/3
93546 Bjelovar"
"Dominik Lojen","Wickerhauserova 9a/6
77112 Požega"
"Matea Licul","Mihaljevac 8a/6
89324 Umag"
"Denis Gabud","Rokov perivoj 534
46103 Solin"
"Barbara Maršić","Jurišićeva 390
69885 Krk"
"Milica Matijević","Zmajevac 7
37327 Donja Stubica"
"Marta Cukon","Kaptol 0b/7
56027 Orahovica"
"Leon Karlović","Mašekova 1
83431 Kutina"
"Zlatko Grba","Kamenjak 2
81728 Čazma"
"Slavko Baksa","Kaptol 9a/7
26537 Vrbovsko"
"Danijela Mamić","Grič 2a/5
90108 Slatina"
"Valter Ercegović","Šalata 7c
80001 Makarska"
"Fuma Bojanić","Mihaljevac 3a/0
66651 Požega"
"Jakov Cvrtila","Kraljevečki ogranak 6b/2
56844 Trilj"
"Viktor Milovac","Bosanska 919
89144 Sinj"
"Jasna Begonja","Jezuitski trg 929
29828 Prelog"
"Elvis Zanoški","Vrazovo šetalište 1a
55653 Petrinja"
"Darko Petričević","Demetrova 8a
85235 Makarska"
"Pero Drandić","Šilobodov put 8b/2
27522 Stari Grad"
"Katica Zubčić","Dubravkin 5c
93992 Novska"
"Danijela Maćešić","Kamaufova 6c/9
17556 Čazma"
"Milka Gržetić","Novi Goljak 5a/7
73887 Beli Manastir"
"Ema Bogdan","Nemetova 3b/6
63796 Prelog"
"Vlado Buršić","Ribnjak 7c
74279 Knin"
"Mateo Hren","Wickerhauserova 2
92128 Slunj"
"Matej Sabljak","Šilobodov put 4c
08264 Nin"
"Zorka Škoda","Novi Goljak 9b/2
28218 Zagreb"
"Petra Eterović","Zeleni dol 5a/9
27927 Ivanić-Grad"
"Elvis Banko","Jabukovac 6b
50795 Vrbovsko"
"Tomislav Modrić","Gornje Prekrižje 3
16337 Orahovica"
"Danijela Mikulec","Cmrok 530
35540 Vrbovec"
"Ruža Mraović","Grič 7c/0
99623 Pregrada"
"Pavao Marinković","Zeleni dol 6a
73104 Đakovo"
"Ivo Turudić","Grič 7
63075 Buje"
"Kate Turk","Voćarska 2b
49679 Varaždin"
"Lovro Drakulić","Perivoj biskupa Stjepana II. 2
14362 Velika Gorica"
"Matija Mičetić","Donje Prekrižje 344
93916 Varaždinske Toplice"
"Albina Šimić","Opatovina 75
45100 Daruvar"
"Zora Rađenović","Zamenhofova 5
67984 Opuzen"
"Valter Jonjić","Rokov perivoj 854
14696 Vis"
"Danijela Mofardin","Zeleni dol 4a
32123 Ploče"
"Barbara Šeparović","Magdićeve 7a/1
79394 Zagreb"
"Zorka Perak","Jurišićeva 2c
69065 Slavonski Brod"
"Jelena Ritoša","Nemetova 05
20327 Ozalj"
"Ljubica Šelendić","Bakačeva 1c
45843 Skradin"
"Nada Legović","Streljačka 7c
15079 Novalja"
"Niko Lisica","Svibovac 6c/4
34521 Metković"
"Jasminka Crneković","Mirogojska 018
02135 Vis"
"Katica Vaci","Davor 1c
93188 Obrovac"
"Robert Šestak","Gornje Prekrižje 8c
48513 Sinj"
"Danijela Rahija","Nova Ves 3
40219 Varaždinske Toplice"
"Josipa Matić","Mihaljevac 2a/2
89630 Stari Grad"
"Zdenka Staničić","Splavnica 3
67965 Požega"
"Domagoj Mesarić","Orlovac 2c
13805 Karlovac"
"Andrija Jurić","Vrazovo šetalište 8b
71391 Klanjec"
"Saša Mesarić","Šestinski vijenac 8c/5
88095 Novska"
"Nevenka Mikulčić","Dverce 3c/7
69553 Zadar"
"Boris Dominiković","Naumovac 5b/9
42917 Umag"
"Dejan Herout","Arnoldova 9
31311 Bjelovar"
"Mate Bunčić","Golubovac 4a
35806 Delnice"
"Danijela Rašić","Jadranska 3
71655 Zadar"
"Barica Ercegović","Rokova 92
72433 Solin"
"Tomo Mimica","Šalata 8a
75159 Slunj"
"Gordana Barešić","Davor 7c/4
64079 Trilj"
"Zdravko Kokanović","Mirogojska 1
43886 Sveta Nedelja"
"Julijana Volarić","Šalata 20
00744 Obrovac"
"Ane Pavić","Kamaufova 3c
61451 Supetar"
"Katica Skupnjak","Male 1
36270 Nova Gradiška"
"Franjo Hršak","Kamaufova 0b
95580 Novska"
"Branka Markanjević","Zamenhofova 8b
66497 Otočac"
"Danijela Tisaj","Mlinarska 9a/6
17397 Rijeka"
"Ivan Begonja","Jezuitski trg 44
95426 Đakovo"
"Valentina Kraljić","Krvavi most 3a
23812 Zaprešić"
"Lorena Mavra","Krležin gvozd 5b
80837 Đakovo"
"Anto Leščić","Jurkovićeva 9c
97112 Sisak"
"Sanja Katić","Ksaverska 1c
36293 Zadar"
"Đuro Križan","Kraljevec II. 2c
81561 Korčula"
"Stana Puharić","Goljak 5a
02836 Dugo Selo"
"Božo Kučić","Palmotićeva 948
89194 Oroslavje"
"Julijana Barić","Harmica 9a/6
95449 Bjelovar"
"Danijela Tomljanović","Svibovac 8a/2
82260 Hrvatska Kostajnica"
"Mira Hinić","Dverce 22
86697 Duga Resa"
"Marko Topić","Golubovac 690
90040 Zabok"
"Roko Vidas","Glogovac 0c
71944 Mursko Središće"
"Jure Cvetković","Jezuitski trg 6b
15500 Kaštela"
"Saša Petrić","Dolac 3b/8
41891 Požega"
"Rudolf Knezović","Streljačka 1
40042 Donja Stubica"
"Dragutin Kostanić","Visoka 5c
73225 Trogir"
"Marija Stojanov","Gradec 8b/7
94275 Koprivnica"
"Mato Cindrić","Jurkovićeva 6a
16183 Vis"
"Danijela Živić","Vinogradska 5c/8
58041 Karlovac"
"Eva Lukinić","Kožarska 2b
95950 Mali Lošinj"
"Nataša Rakuljić","Petrova 9a/6
62443 Imotski"
"Anto Krčelić","Vrazovo šetalište 042
52460 Đurđevac"
"Ilija Glavan","Magdićeve 91
71738 Dugo Selo"
"Zdravko Damijanić","Radnički dol 8
75879 Klanjec"
"Marta Ciganović","Medvedgradska 4c
54875 Lepoglava"
"Mihael Ilinović","Mlinovi 6c/6
54019 Skradin"
"Sandra Starčević","Kamaufova 0c
88014 Pula"
"Stana Markanjević","Klanac Grgura Tepečića 65
11533 Sveta Nedelja"
"Dario Bazjak","Bučarova 5a/9
40648 Sveta Nedelja"
"Anto Čudić","Šalata 229
11251 Zlatar"
"Mia Vranić","Gradec 417
25682 Donji Miholjac"
"Milena Macan","Ilica 613
48744 Rab"
"Slavica Žagar","Rokov perivoj 6
90201 Popovača"
"Kata Ušić","Bosanska 7c
90929 Prelog"
"Slavko Horak","Davor 7
56528 Bakar"
"Bara Tuksar","Krležin gvozd 9
44894 Bjelovar"
"Lovre Totić","Medvedgradska 3a/1
22938 Novi Marof"
"Ivan Vidović","Šumski prečac 68
94252 Drniš"
"Dario Jurčić","Paunovac 2
14760 Novigrad"
"Lucija Žeželić","Jurkovićeva 9b
72848 Novi Vinodolski"
"Lidija Božičević","Bakačeva 748
62465 Osijek"
"Anka Perkov","Mirogojska 1b
10829 Supetar"
"Jasminka Lešić","Harmica 6c/8
77250 Lipik"
"Ilija Pokas","Kamaufova 2b/3
68712 Skradin"
"Fuma Vidaković","Male 64
64012 Sveta Nedelja"
"Roko Koški","Zeleni dol 0b/9
38572 Jastrebarsko"
"Željko Adžijević","Bakačeva 0a/3
49592 Pleternica"
"Matija Dominković","Remetska 2a
30625 Novska"
"Dario Kovačić","Mašekova 4
27982 Kutjevo"
"Hrvoje Žužić","Nova Ves 9b/4
58255 Krapina"
"Petra Sever","Golubovac 1c
61553 Ilok"
"Mirko Herceg","Svibovac 1c/4
50652 Slunj"
"Mirko Rogošić","Vitezovićeva 30
28779 Vrlika"
"Katica Marasović","Dolac 26
37743 Pula"
"Patrik Požega","Naumovac 139
29200 Novska"
"Danijel Antić","Jurjeve 6a/7
72855 Grubišno Polje"
"Ivan Mičetić","Harmica 4
10719 Varaždin"
"Dejan Grgurević","Novi Goljak 3b/8
58794 Đakovo"
"Dario Radočaj","Petrova 9c/2
23676 Solin"
"Draga Hardi","Draškovićeva 34
99817 Senj"
"Mira Jukić","Podgaj 1b/8
34130 Vis"
"Lucija Čupić","Krležin gvozd 9a/1
31120 Križevci"
"Pero Pleše","Vinogradska 8b
61214 Duga Resa"
"Hrvoje Baksa","Jagodnjak 18
23061 Orahovica"
"Kata Botica","Rokova 4a/4
50763 Našice"
"Valter Jakopec","Cmrok 01
92102 Trogir"
"Dražen Mesić","Zeleni dol 5a
53002 Buzet"
"Erik Mimica","Ljubinkovac 9b
96151 Novi Marof"
"Darko Grba","Gračanska 3c
76479 Oroslavje"
"Kate Mišak","Bosanska 2c/5
84115 Čakovec"
"Josip Perak","Kozarčev vijenac 5c/2
23612 Pregrada"
"Barbara Vučković","Jabukovac 6b
74347 Delnice"
"Sandra Sošić","Voćarsko naselje 16
86295 Hvar"
"Katica Gelemanović","Svibovac 3
24216 Novalja"
"Dalibor Hršak","Javorovac 3a/2
37934 Umag"
"Fran Car","Opatička 3
53933 Prelog"
"Anica Ivandić","Mlinarska 739
65711 Garešnica"
"Ljiljana Fabijanić","Šilobodov put 2a
03375 Korčula"
"Darko Kovaček","Dvoranski prečac 8c/9
22279 Trilj"
"Martina Horvat","Gupčeva zvijezda 1c/8
37547 Pakrac"
"Jelena Zrilić","Pantovčak 90
32576 Pag"
"Andrija Andrašek","Zelengaj 64
11734 Novalja"
"Ljubica Barbić","Donje Prekrižje 3a/0
58960 Kaštela"
"Željka Lukinić","Javorovac 2
06237 Križevci"
"Marijana Jemrić","Mlinovi 6c/7
19194 Buzet"
"Nada Čiš","Zavojna 1c
84181 Križevci"
"Jana Bošnjak","Ksaverska 9a
34009 Bakar"
"Zorka Milas","Zeleni dol 09
92141 Rovinj"
"Darko Lukšić","Šestinski vijenac 5b/1
61175 Kutjevo"
"Julijana Barac","Vitezovićeva 5a/1
02405 Ivanec"
"Vera Puškarić","Dverce 5b/0
84060 Buje"
"Antonio Mardešić","Tuškanac 28
38132 Daruvar"
"Romano Pecotić","Goljak 0c
66962 Ploče"
"Petar Bušljeta","Novi Goljak 6c/3
13821 Poreč"
"Julijana Stiperski","Šilobodov put 4b
57077 Biograd na Moru"
"Snježana Valentić","Vitezovićeva 553
13180 Pleternica"
"Mladen Dragobratović","Mirogojska 1b/5
01117 Zabok"
"Terezija Škrtić","Šumski prečac 5
12697 Virovitica"
"Darko Pavković","Draškovićeva 1b
06422 Pag"
"Mato Smolić","Male 9a/8
79379 Glina"
"Kristijan Jakupić","Harmica 167
97833 Pakrac"
"Mario Stiperski","Kraljevečki odvojak 5a/0
27840 Pula"
"Stana Stražičić","Dubravkin 458
93348 Slunj"
"Lorena Krželj","Goljačke 3a
05135 Nin"
"Hana Cvenić","Pod zidom 5c
49411 Klanjec"
"Zora Stojnić","Klanac Grgura Tepečića 0b/7
91492 Jastrebarsko"
"Ema Poslon","Streljačka 3a
74411 Zabok"
"Igor Ritoša","Vrazovo šetalište 07
74880 Varaždin"
"Darko Perković","Horvatovac 0c/7
42586 Otočac"
"Nika Tomić","Vinogradska 1c/2
32299 Vodnjan"
"Zdenka Paradi","Dverce 7c/4
32656 Pula"
"Lara Bošnjak","Zamenhofove 3c/2
40583 Nin"
"Karlo Nišević","Paunovac 4
43281 Trogir"
"Dalibor Jurić","Šestinski vrh 3a
01352 Varaždin"
"Mario Bogdan","Magdićeve 6a
20647 Ozalj"
"Antonio Staničić","Javorovac 6c/7
82891 Imotski"
"Jelena Vidov","Novi Goljak 5b/3
32936 Trogir"
"Denis Antić","Nemetova 51
05382 Vinkovci"
"Darko Poljak","Srebrnjak 0b
40791 Kaštela"
"Matej Gegić","Pod zidom 15
91276 Ogulin"
"Niko Pavković","Klesarski put 5b/8
23530 Orahovica"
"Biljana Grgić","Nemetova 2a/0
25154 Hvar"
"Hrvoje Šipić","Jadranska 0c/1
36851 Pleternica"
"Matea Jurišić","Ružičnjak 2a
36652 Senj"
"Zdenka Majdenić","Kurelčeva 519
17615 Rovinj"
"Milka Orlović","Zvonarnička 9a
71206 Kutina"
"Filip Tomičić","Bijenička 1c/2
28177 Beli Manastir"
"Kristijan Vidas","Svibovac 4c/3
66307 Slatina"
"Darko Ritoša","Rokova 9c/1
54336 Donja Stubica"
"Alen Poslon","Voćarska 2a
84497 Šibenik"
"Milka Botica","Donje Prekrižje 3
72051 Biograd na Moru"
"Tea Raspor","Kamenita 6c
13116 Slunj"
"Mile Kolega","Klesarski put 6c/0
65065 Pula"
"Željka Radolović","Ksaver 1c/4
48482 Đakovo"
"Ivka Baničević","Bakačeva 8a/6
99267 Novska"
"Jadranka Cukon","Srebrnjak 4b
37840 Sveta Nedelja"
"Sara Bertoša","Višnjica 1b/1
14759 Orahovica"
"Boris Cestarić","Krvavi most 805
58622 Lipik"
"Darko Tomić","Bijenička 574
91741 Pregrada"
"Tatjana Ivšić","Perivoj biskupa Stjepana II. 7b
05066 Velika Gorica"
"Dušan Đurašević","Tkalčićeva 01
34653 Duga Resa"
"Jozo Kokorić","Krležin gvozd 6c/8
77227 Donji Miholjac"
"Milica Čagalj","Mala 6a/3
90952 Pag"
"Lovre Amidžić","Vijenac 80
04116 Donja Stubica"
"Nada Brajković","Vinogradska 7c/3
53523 Gospić"
"Vera Hrabar","Goljak 1c
34158 Sisak"
"Marica Lorencin","Perivoj srpanjskih žrtava 1b/5
52336 Hvar"
"Anica Miletić","Istarska 2a
61257 Nin"
"Darko Trgovčić","Wickerhauserova 1a/5
89678 Stari Grad"
"Dalibor Jonjić","Zavojna 131
68925 Metković"
"Karlo Martić","Višnjica 229
72403 Pula"
"Fuma Sardelić","Splavnica 0b
31291 Lipik"
"Nataša Šuran","Krležin gvozd 0c/2
76366 Vrbovsko"
"Hrvoje Ražov","Šestinski vrh 4
51600 Zadar"
"Ema Bungić","Svibovac 9b/2
48456 Metković"
"Barbara Puljiz","Mlinarska 688
49498 Karlovac"
"Slavko Botić","Demetrova 0c/0
05653 Velika Gorica"
"Mirko Čizmić","Klanac Grgura Tepečića 8
53643 Vrbovsko"
"Darko Vaci","Rokov perivoj 7a/9
98588 Ploče"
"Dalibor Kokanović","Davor 1a/4
48514 Samobor"
"Zdenka Martinović","Rokova 994
61223 Pleternica"
"Zora Mirosavljević","Dolac 1a/6
50024 Zagreb"
"Miroslav Borojević","Paunovac 7c
24071 Komiža"
"Nikša Perak","Krvavi most 99
82964 Biograd na Moru"
"Štefanija Eršek","Draškovićeva 9c/4
48189 Oroslavje"
"Romano Milatić","Ljubinkovac 857
34001 Sinj"
"Rozalija Husnjak","Medveščak 5
50849 Samobor"
"Martina Bebić","Tošovac 4c
93794 Petrinja"
"Darko Šarić","Ribnjak 75
59482 Split"
"Štefanija Novak","Jagodnjak 3a/9
58547 Prelog"
"Valentina Ćorić","Perivoj biskupa Stjepana II. 0
40750 Varaždinske Toplice"
"Tatjana Tonc","Gornje Prekrižje 3a
41929 Novalja"
"Vesna Gabud","Javorovac 7
85515 Nin"
"Leon Ilinović","Davor 1b/6
18638 Vrgorac"
"Patrik Šelendić","Davor 6c/2
36915 Vrgorac"
"Martina Šitum","Arnoldova 468
43089 Senj"
"Tomo Kunac","Mlinovi 3a
37955 Opatija"
"Mislav Šarlija","Draškovićeva 6a
91000 Stari Grad"
"Darko Šibalić","Krležin gvozd 9a/2
79845 Sinj"
"Vedran Jonjić","Šilobodov put 58
90991 Nin"
"Anica Lukić","Medvedgradska 20
46763 Samobor"
"Patrik Leščić","Višnjica 1c
02431 Karlovac"
"Dragica Polović","Rockefellerova 1c
67094 Vodice"
"Lucija Pokos","Vončinina 1a/9
88891 Čazma"
"Nikolina Karamarko","Klanac Grgura Tepečića 0a/5
62085 Hvar"
"Bara Kurtoić","Golubovac 5b/3
92783 Bjelovar"
"Nenad Papak","Višnjičke 2b/7
44339 Ozalj"
"Karla Špišić","Jagodnjak 1b
70324 Lepoglava"
"David Brezjan","Mašekova 6a/9
22862 Zadar"
"Suzana Smoković","Mlinske 4b
40825 Zagreb"
"Vesna Peroš","Nemetova 031
71587 Đurđevac"
"Roko Žužić","Nova Ves 3a/3
92762 Lepoglava"
"Zorka Sakač","Dubravkin 8
08390 Zaprešić"
"Nikolina Šarlija","Rokov perivoj 2a
57096 Umag"
"Zdravko Jagečić","Pod zidom 7a
15581 Komiža"
"Bara Vukman","Tuškanac 60
41517 Zaprešić"
"Igor Krajcar","Čačkovićeva 989
92438 Komiža"
"Iva Kopjar","Krvavi most 011
58219 Lepoglava"
"David Jakopec","Mletačka 9c/4
85544 Samobor"
"Josip Čizmić","Vrazovo šetalište 7b/6
54338 Pula"
"Nenad Salopek","Šestinski vrh 427
90097 Stari Grad"
"Damir Jagarinec","Jurjevska 7a/0
88030 Pazin"
"Mijo Šeparović","Kapucinske 630
94012 Imotski"
"Ilija Ivanović","Mlinske 8b/4
05485 Novigrad"
"Marijana Horvatek","Klanac Grgura Tepečića 9b/0
11799 Supetar"
"Tomo Urlić","Tkalčićeva 3a
35139 Varaždinske Toplice"
"Slavko Rojnić","Gornje Prekrižje 1
28486 Mali Lošinj"
"Hana Bogadi","Male 6b
78177 Skradin"
"David Jakuš","Bijenička 5b/5
80823 Vrlika"
"Anica Lelas","Radnički dol 6c/0
44262 Dubrovnik"
"Biserka Prtenjača","Kamenita 170
68012 Hrvatska Kostajnica"
"Karlo Čop","Novi Goljak 3a
66774 Ilok"
"Ankica Kosanović","Ružičnjak 0c/9
98206 Prelog"
"Milica Amanović","Bijenička 768
99753 Zabok"
"Dalibor Poljak","Zeleni dol 00
54828 Delnice"
"Suzana Šimara","Klenovac 7a
46260 Lepoglava"
"Lara Franić","Srebrnjak 0a/1
17060 Trogir"
"Ema Vranić","Jagodnjak 051
03112 Čazma"
"David Mavra","Zavojna 99
59006 Karlovac"
"Ljubica Damijanić","Šalata 67
61971 Otok"
"Kata Tuksar","Dverce 5c
19781 Glina"
"Vladimir Burčul","Petrova 13
43889 Korčula"
"Rudolf Jagarinec","Srebrnjak 199
83691 Solin"
"Štefica Miklečić","Ružičnjak 9b
14413 Opuzen"
"Anita Mišković","Palmotićeva 1
39416 Vodice"
"Dejan Grgurovac","Medveščak 3c
18839 Daruvar"
"Filip Sinožić","Bijenička 3b/1
83369 Čazma"
"Marica Damijanić","Vončinina 19
82446 Slavonski Brod"
"David Pandurić","Zavojna 2c/3
49514 Rab"
"Viktor Lešković","Bakačeva 1
38949 Valpovo"
"Đuro Barković","Bosanska 3a/6
51021 Rijeka"
"Manda Sabljak","Lisinskoga 154
33055 Kraljevica"
"Matija Radman","Šestinski vrh 8a
30750 Duga Resa"
"Jozo Mustapić","Strossmayerovo šetalište 6
99317 Novi Marof"
"Ivo Bingula","Magdićeve 8c
18218 Čabar"
"Lidija Zanoški","Jadranska 1c
38885 Vodnjan"
"Lovre Jakopec","Mlinske 6a
60843 Sveta Nedelja"
"Vedran Sorić","Klanac Grgura Tepečića 2a/0
89942 Našice"
"David Pedišić","Zamenhofove 8a
88488 Lipik"
"Ivana Leščić","Hercegovačka 6c/3
10146 Obrovac"
"Zoran Nakić","Ribnjak 0
05816 Varaždin"
"Božena Hinić","Perivoj srpanjskih žrtava 6b
06383 Makarska"
"Valentina Mužina","Petrova 72
74349 Petrinja"
"Ružica Odobašić","Krležin gvozd 7
35820 Sveta Nedelja"
"Martina Bučanac","Demetrova 3c
55719 Hvar"
"Nikša Vozila","Šestinski vijenac 6a/5
15846 Makarska"
"Kristijan Jurlina","Dvoranski prečac 8a
94249 Hvar"
"Dino Mesić","Vijenac 8
47116 Senj"
"David Peterlik","Zamenhofove 1a/0
17842 Zadar"
"Franjo Matković","Mlinovi 73
67092 Kraljevica"
"Zora Glasnović","Gradec 0a/5
11274 Pula"
"Marija Komljenović","Rokov perivoj 0a
29842 Vrbovec"
"Jasminka Rebić","Ljubinkovac 6b/6
55840 Karlovac"
"Lovre Majstorović","Jurjeve 2a
52642 Poreč"
"Roko Barbir","Zelengaj 079
52848 Čazma"
"Mira Matovina","Goljak 5b/5
98328 Donja Stubica"
"Mateja Zrilić","Mala 6b
65104 Poreč"
"Jakov Novosel","Kozarčev vijenac 13
94912 Nova Gradiška"
"David Šokčević","Petrova 8b
65453 Rijeka"
"Mirko Jović","Srebrnjak 4b
82286 Delnice"
"Marina Bačak","Kaptol 1b
98298 Sveti Ivan Zelina"
"Alen Radojković","Jurjeve 5c
66187 Bakar"
"Terezija Karuza","Strossmayerovo šetalište 823
43551 Bjelovar"
"Luka Maloča","Kraljevečki odvojak 7a
54801 Đurđevac"
"Ika Ljubičić","Streljačka 2a
01706 Petrinja"
"Josip Dragobratović","Rokova 5a/1
97419 Slatina"
"Laura Roca","Kurelčeva 2
83716 Otok"
"Martina Jurlina","Medveščak 452
76853 Makarska"
"Davor Car","Višnjica 4b
71940 Kaštela"
"Dragica Boljkovac","Zelenjak 6c/6
93160 Solin"
"Luka Šoštarić","Tkalčićeva 4c/7
46882 Opuzen"
"Romano Šimičić","Zamenhofova 4a/2
99663 Delnice"
"Robert Bušljeta","Tuškanac 2b
17012 Novska"
"Jasminka Barać","Palmotićeva 32
45862 Imotski"
"Patrik Žic","Mlinske 85
83364 Bjelovar"
"Draga Strinavić","Rokov perivoj 0b/8
93097 Garešnica"
"Franjo Sabol","Nova Ves 0c/6
82990 Slunj"
"Pavao Jelavić","Kozarčev vijenac 9c/6
44391 Pula"
"Davor Gotić","Goljačke 0c
98225 Dubrovnik"
"Božica Pamić","Ribnjak 58
00359 Novalja"
"Ivan Koščević","Demetrova 3a
99423 Pula"
"Martina Lasić","Pod zidom 8a
04584 Hrvatska Kostajnica"
"Barbara Čizmić","Višnjičke 7c
02808 Poreč"
"Elizabeta Darojković","Opatovina 9
91747 Delnice"
"Mile Vrhovec","Jurjevska 2a/3
04531 Karlovac"
"Ljiljana Kauzlarić","Voćarska 45
53560 Hrvatska Kostajnica"
"Dragan Šupraha","Čačkovićeva 8
44533 Umag"
"Janko Sabol","Dubravkin 0a
95222 Grubišno Polje"
"Davor Jovanović","Kapucinske 0b/2
39976 Pag"
"Marica Vaci","Zelenjak 7b
79353 Novska"
"Laura Gržinčić","Horvatovac 8a
63851 Koprivnica"
"Jozo Vidas","Svibovac 7
09580 Šibenik"
"Anica Colić","Klanac Grgura Tepečića 34
36520 Novi Vinodolski"
"Saša Lazar","Cmrok 4a
79598 Šibenik"
"Šime Bojanić","Ilica 8b/5
60205 Koprivnica"
"Roko Tomljanović","Streljačka 3c/4
76625 Šibenik"
"Božica Jovanovac","Lisinskoga 45
77826 Vrbovec"
"Ljubica Bračun","Skalinska 13
16602 Hvar"
"Davor Kauzlarić","Hercegovačka 0c/7
77292 Otok"
"Ivka Obratov","Zelengaj 0c/3
29857 Pakrac"
"Marijana Kevo","Klenovac 6a
19887 Sveta Nedelja"
"Željko Bačić","Naumovac 8a
89833 Solin"
"Marina Horvatić","Ksaver 0b
33447 Jastrebarsko"
"Sara Paparić","Podgaj 5c/9
84486 Šibenik"
"Lucija Radošević","Draškovićeva 07
65669 Donji Miholjac"
"Lana Markanjević","Bakačeva 3c/6
11636 Hrvatska Kostajnica"
"Antonija Matana","Bučarova 7
76124 Kaštela"
"Ljubica Žagar","Wickerhauserova 1
80902 Slavonski Brod"
