"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Ναθαναήλ-Παύλος Γεωργαλάς","Ζυγού 864-199,
34901 Χαλκίδα"
"Μαρίνος-Λέανδρος Σαλίχος","Λεωφόρος Σκουταρίου 24,
26969 Αργοστόλι"
"Πολύκαρπος Γρατσιάς","Πλώρας 23,
ΤΚ 40184 Κοζάνη"
"Απολλωνία Κώτσου","Δουλουφάκη 34,
218 39 Γρεβενά"
"Ιούλιος Γκάγκας","Καριωτών 12,
ΤΚ 29342 Τρίπολη"
"Διαμάντω Στρούμπα","Κουμπουριανών 39,
840 83 Σπάρτη"
"Πολυτίμη Παπαθωμά","Φιλίων 80,
ΤΚ 001 34 Λευκάδα"
"Φλώρα Παπασπηλιωτοπούλου","Λεωφόρος Αρχαίας Κορίνθου 083,
ΤΚ 977 52 Χίος"
"Τριανταφυλλιά Τσάτη","Λέρου 78,
89789 Τρίκαλα"
"Δέσποινα Τσακίρη","Θεσπρωτικού 03,
94046 Ξάνθη"
"Θέμης Θεοχάρης","Λεωφόρος Πυργούς 486,
ΤΚ 956 04 Ναύπλιο"
"Απόλλων Κουκλατζής","Άσκρης 59,
82790 Βόλος"
"Στέφανος Τσιαντάς","Τζιτζιφέ 24-42,
ΤΚ 38825 Κιλκίς"
"Ρόζα Κοντού","Γραμμενίτσης 86,
18873 Ζάκυνθος"
"Πολύδωρος Κατσιγιάννης","Αμπελιώνας 827-773,
23710 Ξάνθη"
"Πολυζώης-Κοσμάς Αγκυρόπουλος","Λιλιανού 3,
10703 Κατερίνη"
"Διαμαντούλα Σταματούκου","Μεξή 78,
ΤΚ 523 66 Καρδίτσα"
"Άλκηστις-Λεώνη Μηλιάδου","Πλ. Μιντιλογλίου 78,
ΤΚ 79951 Κοζάνη"
"Κοραλία Σαριδάκη","Γιαννιτσούς 51,
89599 Μυτιλήνη"
"Δήμητρα Καλδή","Απροβάτου 83,
ΤΚ 01013 Μεσολόγγι"
"Ευδοξία Χατζηδάκη","Λεωφ. Ανδρωνιάνων 518-632,
35048 Τρίπολη"
"Ανάργυρος Βαμβακάς","Ψυχρού 800-752,
81636 Χανιά"
"Λαμπρινή Καφφέ","Τραπεζαντής 5,
077 22 Σέρρες"
"Ναταλίνα Δάφνη","Ασπρογερακάτων 3,
19346 Θεσσαλονίκη"
"Καλλίνικη Σφακιανάκη","Πάρ. Λυκούρεση 98,
ΤΚ 579 98 Αθήνα"
"Θωμαίς Κορωνίδου","Μικρού Ποντιά 2,
83898 Κομοτηνή"
"Λέων Αλατζάκης","Πάρ. Χώρας 6,
46437 Λαμία"
"Δανάη Πανοπούλου","Ζακυνθίων 1,
57949 Βέροια"
"Ρεγγίνα Καραμανλή","Ανδρίτσης 75,
49382 Ιωάννινα"
"Δήμητρα Χατζηγεωργίου","Χουμεριάκου 67,
ΤΚ 360 52 Κατερίνη"
"Βερόνικα Αρματά","Καραογλάνη 3,
ΤΚ 78797 Σέρρες"
"Παράσχος Μπίλλας","Αγκαιριάς 490,
86904 Ιωάννινα"
"Ιάσων Καναβός","Πτελέας Πλατανιάς 7,
27767 Λευκάδα"
"Καλυψώ Ρούσσου","Βουτσίμου 7,
24021 Αγ. Νικόλαος"
"Κίμων Ζευγίτης","Λεκάνης 76,
ΤΚ 42123 Βόλος"
"Χαρά Κατσιλλή","Πρίνας 56,
38709 Ιωάννινα"
"Ανάργυρος Ευαγγελάτος","Πετράκη 05-45,
ΤΚ 91068 Καλαμάτα"
"Ρήγας-Σεραφείμ Ευταξιάς","Χόμορης 7,
08895 Ρέθυμνο"
"Μαντώ Μπαλανίκα","Αγαθονησίου 7,
19661 Ηράκλειο"
"Δίκαιος Αβραμίδης","Ζουνακίου 97-67,
53856 Σπάρτη"
"Μαύρος Σμπονιάς","Ζεγλίνα 081-816,
67541 Ρόδος"
"Ροδιά Χατζηβλασίου","Πάροδος Ακραιφνίου 74,
124 02 Λευκάδα"
"Μηνάς-Αρχέλαος Δίγκας","Κουραμάδων 427-174,
ΤΚ 38791 Ιωάννινα"
"Κηρύκος-Αναξαγόρας Θωμόπουλος","Πάρ. Στίρφακας 816,
459 27 Μυτιλήνη"
"Κομνηνή Μποζίκη","Πλ. Χρωμίου 17,
ΤΚ 745 29 Καλαμάτα"
"Ιππολύτη-Ευρύκλεια Μάρα","Πάροδος Μεσοχώρας 19,
ΤΚ 93083 Βέροια"
"Σταύρος Ραδοβάλης","Ασπροκκλησιάς 3,
ΤΚ 59647 Λαμία"
"Νίκη Τομπουλίδου","Πάροδος Βρίσας 248,
21264 Ρέθυμνο"
"Αλίκη Μήτσου","Πλατεία Μακροταντάλου 2,
ΤΚ 34345 Κατερίνη"
"Δίκαιος Καρούσος","Πλατεία Μελίσσης 7,
ΤΚ 47122 Φλώρινα"
"Ασημίνα Ζαβιτσάνου","Μέγα Κάμπου 9,
84869 Τρίκαλα"
"Φιλίππα Ξηρίδου","Καλαβρύτων 736,
23252 Καρπενήσι"
"Λέων Τάχας","Κουμαριτσίου 6,
ΤΚ 43454 Ζάκυνθος"
"Δάφνη Σεμπέπου","Καριωτών 22,
556 22 Ερμούπολη"
"Αιμίλιος Ντόβας","Παπαθανασίου 6,
594 60 Σπάρτη"
"Πασχαλιά Βαρθαλίτη","Παππαγιαννάδων 5,
470 96 Πολύγυρος"
"Αριστέα Χριστοφόρη","Παλαιού Λουτρού 46,
705 24 Κέρκυρα"
"Αμφιθέα Ιωσηφίδου","Βαρσάμου 73,
43657 Τρίπολη"
"Νίκανδρος Μωραΐτης","Μπαλλή 917,
84145 Καρδίτσα"
"Δαβιδούλα Ασουχίδου","Αλιφείρας 55,
86971 Άμφισσα"
"Χαρίκλεια Σεβαστού","Γιαννακουδάκη 3,
15451 Άμφισσα"
"Βασιλική Νικολουδάκη","Σκαμνελλίου 25,
127 81 Σάμος"
"Αγάπιος-Χριστόφορος Χατζησάββας","Φαρακλάτων 39,
65175 Βέροια"
"Έλλη Μαυροπούλου","Καλπακίου 2,
ΤΚ 977 15 Καρπενήσι"
"Μιλτιάδης-Ηρόδοτος Κυριακάκης","Πάροδος Γκούρας 2,
ΤΚ 68277 Ερμούπολη"
"Βενέτιος Πολυχρονόπουλος","Πλ. Πετροκεράσων 62,
76820 Αργοστόλι"
"Ηρόδοτος Παλαιολόγος","Πλατεία Ελαίας 30-23,
ΤΚ 760 97 Φλώρινα"
"Ζαχαρίας Καλιτσουνάκης","Αγίου Χριστοφόρου 99,
970 58 Ιωάννινα"
"Ευστράτιος-Βλάσης Τσότρας","Ράχης 8,
ΤΚ 852 86 Πολύγυρος"
"Δαμασκηνή Ασουχίδου","Τζαναβάρα 8,
595 19 Κιλκίς"
"Θεοτόκης Ιωσηφίδης","Διλόφου 187-338,
84572 Ναύπλιο"
"Κλυταιμνήστρα Τσακίρη","Ασφένδου 1,
596 85 Σπάρτη"
"Γιαννούλα Ξενίδη","Κρωβύλης 47,
26591 Βόλος"
"Δίκαιος Πίππας","Αγίου Ιωάννου Επιδαύρου Λιμήρας 752,
ΤΚ 678 34 Καρπενήσι"
"Βαλέρια Ζαχαρίου","Χατζηχαρίστου 5,
ΤΚ 016 06 Πολύγυρος"
"Φοίβος Καραλής","Δροσάτου 3,
45602 Αθήνα"
"Υακίνθη Βαρελίδου","Κούνου 75-80,
948 09 Χαλκίδα"
"Δήμος Πικούνης","Μάρκου 01-52,
69360 Λιβαδιά"
"Νικηφόρος Ψυχιάς","Γραμπιάς 08-69,
81111 Λευκάδα"
"Δαμασκηνή Σπηλιάδου","Γυρίου 52,
684 65 Ρέθυμνο"
"Θάλεια Παλιούρα","Αγίου Δημητρίου Πηλίου 4,
89946 Κατερίνη"
"Σωφρονία Καραμπίνα","Κοντοπούλων 44-25,
ΤΚ 77656 Πολύγυρος"
"Καρυοφυλλιά Βαμβουκάκη","Ζαρκαδιάς 35-47,
ΤΚ 56774 Καλαμάτα"
"Ελευθέριος-Ζαφείρης Διαμαντής","Πάροδος Λάτα 50-06,
ΤΚ 17401 Μεσολόγγι"
"Γιώργος-Βαλέριος Χατζησαββίδης","Βαλσαμίδου 4,
ΤΚ 47426 Ξάνθη"
"Βενιαμίν Χιτός","Πάρ. Ιαλυσού 22-15,
04091 Θεσσαλονίκη"
"Ελπίδα Συνοδινού","Πάρ. Πετραλώνων 677,
ΤΚ 217 44 Ναύπλιο"
"Ιουλιανή Μηλιάκη","Δουλίου 99,
918 04 Ηράκλειο"
"Ερμιόνη Σεβαστού","Ορχομενού 561-745,
ΤΚ 775 38 Καλαμάτα"
"Δαμασκηνός Γεννηματάς","Παλιεράκη 73-31,
84545 Ξάνθη"
"Κώστας Γρετός","Πυλωρίου 1,
38753 Ρέθυμνο"
"Όθων Γαρουφαλής","Αδαμοπούλου 52,
ΤΚ 24594 Θεσσαλονίκη"
"Θησεύς Κουβάς","Σπανίδου 88,
ΤΚ 148 41 Ρέθυμνο"
"Θησεύς-Νικόδημος Μαυρουδής","Νεοχωρούδας 80,
045 59 Αγ. Νικόλαος"
"Σέργιος Μαστρογιάννης","Τριανταφύλλου 49,
ΤΚ 56348 Άρτα"
"Αγόρω Τζαναβάρα","Δημοπούλου 979,
ΤΚ 007 94 Ηγουμενίτσα"
"Ξανθός-Κύρος Κόλκας","Γρατίνη 5,
ΤΚ 657 54 Λιβαδιά"
"Βικτωρία Μουτζούρη","Άγρας 9,
ΤΚ 419 77 Λαμία"
"Σεβαστιανός Βασιλογιάννης","Περουλάδων 081-066,
ΤΚ 625 45 Βέροια"
"Δαμασκηνός Ζορμπάς","Πάρ. Χαϊκαλίου 19,
572 15 Αθήνα"
"Φεβρωνία Καραντάνα","Πάροδος Καλαμπακίου 7,
61316 Αργοστόλι"
"Κερασιά Φαρμάκη","Σωληναρίου 44,
34312 Λαμία"
"Θεοδούλη Αβραμίδου","Αμουρίου 96,
93473 Άρτα"
"Σουλτάνα Σκρεμμύδα","Παπασταύρου 18,
021 76 Ρέθυμνο"
"Μιχάλης Σαραφίδης","Χαλκίδου 10,
ΤΚ 71614 Κόρινθος"
"Καλλίνικος Καλιτσουνάκης","Καλών Νερών 60,
92012 Καρπενήσι"
"Νεφέλη Τσάκη","Λαπαναγών 281,
817 55 Κιλκίς"
"Καλλιρρόη Λαλαούνη","Καγκαδίου 167-620,
284 42 Ηγουμενίτσα"
"Άρτεμις Ντάνου","Ξηροτύρη 2,
ΤΚ 180 55 Άμφισσα"
"Δαμασκηνός Τσαραμιάδης","Σκαλωτής 6,
25782 Γρεβενά"
"Αρτέμης Αντωνίου","Μούντρου 05,
05922 Μυτιλήνη"
"Δαμιανός Ζολώτας","Πλατανιάς 2,
569 38 Δράμα"
"Βάιος Τσιαμίτας","Αργυροπουλείου 66,
ΤΚ 04839 Κοζάνη"
"Σοφία Ζιάρα","Αγίου Νικολάου Κράλης 0,
45600 Καβάλα"
"Ναπολέων Φωκάς","Κυργιά 38-47,
ΤΚ 44802 Βέροια"
"Ζωή Βουτσινά","Βαρελίδου 28,
44355 Αλεξανδρούπολη"
"Πολυνίκη Δούβαλη","Λεωφ. Ασωπού 123-187,
ΤΚ 28654 Κόρινθος"
"Βαλεντίνα Χαλβατζή","Μεσαίας Κάψης 20,
13440 Αγ. Νικόλαος"
"Φιλίππα Χορόζη","Χριστοδούλου 480-163,
206 28 Ρέθυμνο"
"Δαμασκηνός Τσούπρας","Ελεούσης 34,
511 96 Λευκάδα"
"Ροδιά Δαματοπούλου","Πλ. Μαρμαρίου 24,
ΤΚ 691 01 Χανιά"
"Γαρυφαλλιά Βαλκάνου","Μαραθιά 31,
697 85 Δράμα"
"Κλεάνθης Κουτσογιάννης","Στρατινίστης 790-918,
ΤΚ 55780 Πάτρα"
"Σώζων Αργυρίου","Τοιχίου 2,
38120 Ναύπλιο"
"Ρόζα Κόλλια","Γούπα 06,
ΤΚ 64425 Χανιά"
"Λάζαρος Βαρδάκης","Κίτσου 61,
ΤΚ 396 07 Πάτρα"
"Σωφρονία-Σπυράννα Χριστοφόρη","Ξινονερίου 860-816,
ΤΚ 033 76 Σέρρες"
"Πίνδαρος Σιγανός","Μαργιά 93,
40396 Λαμία"
"Λέανδρος Βούλκος","Σελίνου 239,
ΤΚ 033 98 Καρδίτσα"
"Δαμιανή Βραδή","Χωρδακίου 30,
ΤΚ 248 23 Καλαμάτα"
"Λουλουδένια Μαράκη","Αλεπούς 386,
617 24 Καλαμάτα"
"Σεβαστιανός Κουτσουρέλης","Βρυσέλλας 1,
ΤΚ 59225 Ιωάννινα"
"Ανθούλης Χαρτερός","Καστανίων 752,
01075 Σπάρτη"
"Ματίνα Ζωντανού","Πάροδος Πολιανής 595,
459 48 Τρίπολη"
"Φοίβος Καρούντζος","Πολέμη 499,
27026 Σάμος"
"Αναγνώστης Φωκάς","Πατελλή 985-956,
ΤΚ 362 21 Κατερίνη"
"Ανάργυρος Γεννηματάς","Φλογητών 88,
ΤΚ 29460 Σπάρτη"
"Αίας Τζέκος","Αθανασιάδη 68,
ΤΚ 93023 Μεσολόγγι"
"Νταίζη Γεωργιάδου","Βούνων 2,
ΤΚ 95035 Ερμούπολη"
"Δαμιανός Γκούβελος","Γέρακα 947-103,
75234 Μυτιλήνη"
"Βικτόρια Μωραΐτη","Κονακίων 409-493,
ΤΚ 833 50 Φλώρινα"
"Κοραλία-Βησσαρία Τάσση","Αγγελουσοπούλου 404-883,
ΤΚ 24256 Ξάνθη"
"Παρέσσα-Ευθαλία Χατζή","Μανδρακίου 711,
ΤΚ 207 34 Δράμα"
"Πηνελόπη-Ζαχαρένια Οικονομοπούλου","Κοντοπουλίου 870-650,
ΤΚ 74113 Βόλος"
"Ιουλιανός Μάνδρος","Πλ. Ποτάμων 51,
ΤΚ 44924 Λευκάδα"
"Αθηναγόρας Γαλατούλας","Φλαμουριάς 07,
ΤΚ 44660 Φλώρινα"
"Μερόπη-Γιολάντα Κωνσταντινίδου","Πινακοχωρίου 874,
533 76 Σάμος"
"Κοσμάς Πευκιανάκης","Μεταμόρφωσης 786,
ΤΚ 15491 Κατερίνη"
"Κυριαζής Μυσιρλής","Πάνου 961-932,
32427 Σπάρτη"
"Δανάη Κουτκιά","Χαλαζονίου 51,
21096 Κέρκυρα"
"Ανατολή Μαστρογιαννίδου","Βαθυτόπου 8,
493 09 Τρίπολη"
"Αργύριος Τζεβελέκος","Πλ. Αντισκαρίου 3,
ΤΚ 935 92 Αργοστόλι"
"Αντίγονος Σεφέκος","Λεωφόρος Κωφών 6,
ΤΚ 921 63 Αθήνα"
"Τηλέμαχος-Κύρος Μπαλουκίδης","Χαραυγής 133,
48937 Άρτα"
"Μαριλένα Μάλαμα","Κεντρικού 569,
05841 Έδεσσα"
"Αγαμέμνων Γαλατούλας","Παλαμά 7,
ΤΚ 87066 Λευκάδα"
"Ειρήνη Κωτσιονοπούλου","Μπακουλή 9,
ΤΚ 030 15 Ηγουμενίτσα"
"Κυριάκος Κωσταλής","Πολυποτάμου 91,
ΤΚ 08684 Αγ. Νικόλαος"
"Αρέθα Γιαννοπούλου","Φωτιάδου 414-263,
77464 Λάρισα"
"Δανιήλ Μποζίκης","Σταμούλη 134,
69074 Θεσσαλονίκη"
"Διαμαντής-Μένανδρος Λιβανός","Αμπελακιωτίσσης 8,
ΤΚ 30265 Χαλκίδα"
"Ξένη-Τρισεύγενη Πανοπούλου","Μαντείου 70,
920 71 Τρίκαλα"
"Λουίζα Μαρουγιάννη","Κορώνης 7,
98964 Ρόδος"
"Βικτωρία Νικολάτου","Στεφάνου 10,
05999 Καβάλα"
"Κύρος Θεοδωρόπουλος","Γεωργίτση 59,
297 28 Λαμία"
"Φλοριάντ Τσιατής","Πύργου Τριφυλίας 957-292,
ΤΚ 68083 Ζάκυνθος"
"Ευδόξιος Τσόλκας","Αβγού 9,
ΤΚ 404 94 Ηγουμενίτσα"
"Αθηνά Εμμανουηλίδου","Πάροδος Ξενιών 839-897,
ΤΚ 24342 Άρτα"
"Ροδιά Βλαχοδήμου","Ρέππα 21,
096 02 Κέρκυρα"
"Δανιήλ Παπαθανασίου","Κοντακαιίκων 01,
86039 Τρίκαλα"
"Σαράντης-Δομήνικος Βαρσάμης","Βροντής 57-46,
ΤΚ 91838 Κοζάνη"
"Προμηθέας Δουκατζής","Μαρκαντωνάκη 928,
ΤΚ 515 11 Βέροια"
"Δούκισσα Παπασταύρου","Ψηλής Βρύσης 5,
ΤΚ 81106 Ναύπλιο"
"Στέφανος-Αφέντης Καραΐσκος","Κεραμωτής 71,
47111 Χαλκίδα"
"Διαμάντω Βράσκου","Φιολίτη 047,
ΤΚ 89597 Κατερίνη"
"Πλούταρχος-Χρυσοβαλάντιος Σίδερης","Μαρτζούκου 48,
52802 Λάρισα"
"Αδάμ Στεργιούδης","Καφαντάρη 58,
ΤΚ 69148 Λάρισα"
"Λητώ Αλυσανδράτου","Λιάνου 99,
58911 Καστοριά"
"Ματθίλδη Μπαλτατζή","Τσακίρη 18,
923 87 Πρέβεζα"
"Δανιήλ Ρόκας","Λεωφ. Κατωγής 073,
24357 Σάμος"
"Φιλιώ Μάλαμα","Βελονάδων 0,
ΤΚ 697 73 Αθήνα"
"Ραχήλ Τσοπανίδης","Νιάτων 21,
61282 Λιβαδιά"
"Θεοφανία Βαϊραμίδου","Πλ. Καμάρας 87,
ΤΚ 94065 Αγ. Νικόλαος"
"Έκτορας Πολυζωάκης","Λεωφ. Βαρνάβα 68,
38801 Σάμος"
"Δέσποινα Προύβα","Κλαδέου 88,
ΤΚ 462 74 Ρόδος"
"Αρτεμισία Καλδή","Μπακουλή 7,
ΤΚ 009 19 Ιωάννινα"
"Θεόκλεια Μηλιάκη","Βάμου 630-819,
79806 Λιβαδιά"
"Αγαπητός-Σεβαστιανός Φιλιππόπουλος","Πάρ. Μασάρων 32-86,
ΤΚ 97812 Βέροια"
"Δράκων Κώττας","Νεοχωρούδας 043-394,
146 88 Χαλκίδα"
"Δανιήλ Τσαμασλίδης","Αλεποχωρίου Μπότσαρη 9,
ΤΚ 216 06 Δράμα"
"Αφέντης Σκαρπέτας","Μηλιάκη 44,
25913 Βόλος"
"Ρωξάνη Κώτσου","Επισκοπής 705-507,
02049 Κοζάνη"
"Αφέντρα-Γαρυφαλλιά Πουλή","Ανωγείων 10,
387 96 Μυτιλήνη"
"Ευτύχιος Αρμένης","Λαύκου 2,
38520 Κατερίνη"
"Μεθόδιος Δημητρόπουλος","Μαρίνης 941-255,
ΤΚ 808 64 Καστοριά"
"Χριστοφόρα Σακκή","Αβδήρων 45,
22974 Έδεσσα"
"Μαριλένα Σπανοχριστοδούλου","Πάροδος Πλαταριάς 17,
ΤΚ 516 82 Κιλκίς"
"Θεοδότη-Ήρα Δερλώπα","Μαραθούσσης 47-77,
592 39 Χαλκίδα"
"Σουμέλα Καρανάνου","Φάρσων 9,
ΤΚ 99096 Κόρινθος"
"Δημήτρης Σκουλαρίδης","Γκιριτζιώνη 14,
65910 Σάμος"
"Αδαμάντιος-Μενέλαος Λιόλιος","Σμιτ 49,
ΤΚ 28409 Τρίπολη"
"Καλυψώ Συνοδινού","Μεγάλου Κεφαλοβρύσου 16,
58259 Λαμία"
"Μαρωτέσα Κοτσινά","Μακρολιβάδου 5,
ΤΚ 24038 Καβάλα"
"Αγαθοκλής Φουτσιτζής","Καστανιωτίσσης 954,
ΤΚ 15537 Καστοριά"
"Συμέλα Ταυλαρίδου","Δροσοπηγής 76,
32449 Τρίπολη"
"Αθηνόδωρος Καπατσώρης","Δωρικού 60,
ΤΚ 870 21 Μυτιλήνη"
"Σταύρος Κρεμμύδας","Αρετής 6,
20250 Βόλος"
"Πολύδωρος Τζιάβας","Λεωφ. Κλεινών 52-98,
83873 Κατερίνη"
"Ελέσσα Τσιομπάνη","Κόμπων 12,
78346 Καλαμάτα"
"Δημήτριος Κανελλόπουλος","Βλαχοκερασέας 2,
ΤΚ 110 51 Χίος"
"Ανθή Γαλάνη","Τειχίου 07,
69935 Πάτρα"
"Κυβέλη Καλογιαννάκη","Καρυδίτσας 0,
33759 Πύργος"
"Ηλιάνα Καλογιάννη","Επισκοπής Νάουσας 752-242,
ΤΚ 649 35 Ηράκλειο"
"Κυριάκος Καραγιάννης","Γεωργαρά 27,
500 45 Τρίκαλα"
"Ασπασία Καρολίδου","Λάστρου 6,
43664 Καρδίτσα"
"Ευανθία Φαρμάκη","Αλεξανδρουπόλεως 359-213,
63404 Κατερίνη"
"Τιμολέων-Αντίπατρος Μπλιατσίου","Φιλαδελφίου 96-08,
ΤΚ 17642 Σάμος"
"Ανάργυρη Χιωτίδου","Μιχαλάρου 0,
82089 Φλώρινα"
"Λήδα Μπότζα","Ροδινών 22-21,
ΤΚ 582 61 Άμφισσα"
"Δημήτριος Κρεμμύδας","Λυμαξή 27-33,
76279 Πολύγυρος"
"Αστέριος Κυριακάκης","Φασουλή 90,
ΤΚ 428 70 Αργοστόλι"
"Θεοχάρης Παντζαρτζίδης","Κομπωτής 5,
ΤΚ 300 38 Αλεξανδρούπολη"
"Πανταζής Ρόκας","Βαλκάνου 17,
45796 Κοζάνη"
"Λεμονής Γραμματικόπουλος","Δελφίνου 18,
276 76 Χίος"
"Ευτυχία Φασουλή","Πηδάσου 68,
77118 Μεσολόγγι"
"Απόλλων Γιαννακίτσας","Συρμού 823-090,
07811 Άμφισσα"
"Δωροθέα Ιωακειμίδου","Πάροδος Αβραμιού 817-718,
550 76 Λάρισα"
"Μιχάλης Καρανίκας","Δελιανών 03,
74329 Φλώρινα"
"Φρύνη Κλεινάκη","Πάρ. Μεσιάς 36-07,
30615 Κομοτηνή"
"Δημήτριος Μιχαλάκης","Οξυλίθου 3,
ΤΚ 24648 Έδεσσα"
"Μεθόδιος Τυμβίου","Πατρικών 70,
ΤΚ 182 79 Αθήνα"
"Μηνάς Τσέας","Πάροδος Μουζακίου 53-27,
ΤΚ 38350 Τρίκαλα"
"Αριστόβουλος Κωνσταντινίδης","Πιτσίου 95-59,
930 28 Αθήνα"
"Ιορδάνης Ανδριώτης","Μάλαμα 32,
788 10 Λάρισα"
"Θεόφραστος Λαγγούσης","Σελλάδων 737-413,
89348 Ζάκυνθος"
"Ειρήνη Τριφτανίδου","Τζιγκούρα 43,
06065 Ξάνθη"
"Κρυστάλλης-Νίκος Αμυγδαλάκης","Εφέσου 9,
77047 Αθήνα"
"Νίκος-Ναθαναήλ Βαβουλίδης","Νιθαύρεως 44,
539 01 Ιωάννινα"
"Δίκαιος Σταθόπουλος","Δουκίδου 992,
65568 Γρεβενά"
"Δημήτριος Πανούσης","Βασιλουδίου 29-50,
990 03 Λευκάδα"
"Νίκων Σταυριανός","Πορταριάς 71-86,
256 85 Κομοτηνή"
"Μικές Χαρμπίλας","Λεωφόρος Τραγακίου 1,
00901 Καβάλα"
"Αγάπη Δρίβα","Γρανιτσοπούλας 531-958,
24912 Αγ. Νικόλαος"
"Γερασιμούλα Γεωργιάδου","Πλ. Μικρολίμνης 1,
44779 Καστοριά"
"Σωκράτης Λεβέντης","Πορφυριάδου 042,
46895 Ρόδος"
"Ευριπίδης Αποστολόπουλος","Αγροσυκέας 266-268,
212 68 Έδεσσα"
"Βαλεντίνος Γρεβενάρης","Λεωφ. Τυρολόης 1,
52241 Λιβαδιά"
"Διδώ Παυλή","Καλογιαννάκη 0,
483 21 Ηγουμενίτσα"
"Αγαθόνικος Φειδερόπουλος","Βαγιονιάς 30,
ΤΚ 396 18 Ξάνθη"
"Δημήτριος Παπουδής","Πετρίλου 985,
163 77 Λαμία"
"Μαυροειδής Χαρισιάδης","Τενέδου 3,
69362 Ξάνθη"
"Κηρύκος Ρουπακάς","Βρυτών 67,
77380 Κιλκίς"
"Βενέτιος Λαφατζής","Λεωφόρος Σαρακηνάδου 91-29,
129 26 Πρέβεζα"
"Οδύσσεια Παπαδοπούλου","Μπαφέρα 09,
950 66 Γρεβενά"
"Νίκη Πουλιάση","Γκόβα 61-68,
19488 Πύργος"
"Τρισεύγενη Θεοδοσίου","Λευκασίου 15,
15100 Αργοστόλι"
"Βενετία Τζιωρτζή","Πλατεία Πλακίδας 810,
891 52 Καβάλα"
"Βενιζέλος Χριστοδουλάκης","Κισσού 2,
ΤΚ 85379 Χίος"
"Ρήγας Κυριατσούλης","Πλατεία Λάδης 4,
10014 Λιβαδιά"
"Δημοκράτης Μακρυκώστας","Αποστόλων 592,
606 09 Βέροια"
"Αμβροσία Αργυροπούλου","Πλ. Παντανάσσης 69,
344 16 Γρεβενά"
"Χριστίνα Γκιριτζιώνη","Κεραμίου 05,
ΤΚ 81003 Ρέθυμνο"
"Ειρηναίος Παπουλής","Μαζαρακιάς 90,
432 64 Ιωάννινα"
"Απολλωνία Κασκαούτη","Ραυτοπούλου 92-34,
27729 Αγ. Νικόλαος"
"Ελευθερία-Λασκαρίνα Μπλιατσίου","Γέρακα 12-66,
ΤΚ 91713 Σέρρες"
"Ήβη Στυλιανίδου","Αλωνίων 16,
ΤΚ 822 46 Άμφισσα"
"Απόστολος Χαραλαμπίδης","Σαββάκη 688-503,
964 28 Ηράκλειο"
"Βασίλειος Κουκουβίνος","Παλιεράκη 59-95,
09471 Κοζάνη"
"Δίκαιος Τολούδης","Κλεισορρευμάτων 9,
56004 Λαμία"
"Δημοκράτης Μωρός","Κάκκα 1,
71512 Κέρκυρα"
"Πωλίνα Κοκκίνου","Αγίου Ιωάννου Αρχαίας Ηραίας 23,
ΤΚ 29755 Ρέθυμνο"
"Θεοφάνης Κουτεντάκης","Πάρ. Δραγάνου 7,
ΤΚ 727 69 Ηγουμενίτσα"
"Περιστέρα Γαβριήλ","Σωτηρίου 318-631,
23146 Θεσσαλονίκη"
"Δαμιανή Ζωντανού","Φωτιάδου 0,
ΤΚ 931 91 Χίος"
"Μένανδρος Διακάκης","Λεωφόρος Ν.Κερασιάς 045-519,
ΤΚ 76640 Βόλος"
"Ποθητή Αγγελάκη","Ξηρίδου 0,
ΤΚ 017 80 Ερμούπολη"
"Χρυσαυγή Χαραλαμπίδου","Πάρ. Ραχώνας 80,
11109 Δράμα"
"Ρούσα Γκάβρου","Βαλτεσινίκου 35,
35097 Λάρισα"
"Αναξαγόρας Βασιλείου","Ναρκίσσου 40-22,
ΤΚ 95125 Καβάλα"
"Δημοσθένης Γρηγορόπουλος","Λαχανά 049,
ΤΚ 65231 Θεσσαλονίκη"
"Νικόλαος Ζτούκος","Βαϊραμίδου 85,
ΤΚ 448 62 Ναύπλιο"
"Χριστίνα Λιναρδάκη","Κηπουρείου 774-365,
96408 Χανιά"
"Καλλιρρόη Τσουνάκου","Γκάβρου 85-01,
ΤΚ 871 54 Κατερίνη"
"Ευστάθιος Χριστακόπουλος","Φουρνέ 49,
ΤΚ 30376 Έδεσσα"
"Νίκη Μακροπούλου","Λεωφ. Κορμίστης 29-13,
72535 Καστοριά"
"Χρυσόστομη Καλογιαννάκη","Πάροδος Κέχρου 454-767,
41164 Ζάκυνθος"
"Ταξιαρχία Μαράκη","Λεωφόρος Περαίας 1,
67590 Λευκάδα"
"Πρόδρομος Ζευγίτης","Καλανίστρας 9,
ΤΚ 07283 Πάτρα"
"Πασχάλης Σκορδάκης","Σιδήρων 517-165,
439 94 Έδεσσα"
"Δημοσθένης Κοντός","Διαβατού 55,
ΤΚ 72830 Μυτιλήνη"
"Σωκράτης Ευαγγελάτος","Τσιπιανών 35,
78520 Πάτρα"
"Αφροδίτη Σοκολάκη","Μπύρου 16,
87803 Κόρινθος"
"Ιουλιανός Ξανθάκης","Μυρσίνης 28-18,
24503 Βέροια"
"Ηλέκτρα Φωτιάδου","Νεύρα 844,
70193 Σάμος"
"Χάρις Σιγανός","Κοκκινίδου 103,
ΤΚ 21220 Αργοστόλι"
