"丁冠宇","48302 豐原松山巷94號之3" 
"黃金蓮","33837 光復市古亭路8號6樓"
"潘麗美","791 關山東湖巷328號8樓"
"陳麗玉","957 中和中山街571號之9"
"林佳玲","87505 南投成功巷230號9樓"
"張碧霞","144 鳳山新興巷3段57號0樓"
"陳玉珍","419 阿里山廣慈路8段34號3樓"
"蔡宗霖","386 光復縣東湖街52號之6"
"王志鴻","71364 阿里山市文山路183號之1"
"謝俊銘","531 平鎮縣府中街340號之2"
"梁俊傑","10025 頭份永和街4號4樓"
"吳俊男","992 新北博愛街352號之0"
"李淑惠","220 桃園永和街5號3樓"
"姚秀梅","10751 竹北永安巷77號之6"
"塗志鴻","988 北港民權街6段833號之0"
"張碧霞","61344 太保縣育英街695號之7"
"田哲瑋","51424 平鎮東湖路3號之5"
"薛素貞","84857 台北縣大同路4段1號之8"
"陳俊豪","761 阿里山縣林森街50號4樓"
"林榮華","650 桃園復興路611號之0"
"莊文傑","47177 竹北林森路3號之9"
"張靜怡","47651 橫山關渡路85號0樓"
"黃信宏","195 澎湖市明德路8段32號0樓"
"鄧志遠","62450 桃園府中路6段5號之0"
"陳聰明","898 連江市大勇街8號之7"
"張碧霞","90415 北斗動物園巷966號之0"
"洪雅惠","30227 彰化中山街60號之9"
"呂玉蘭","13882 新北市雙連街8號7樓"
"潘冠宇","32298 汐止縣永和巷47號7樓"
"林文章","828 花蓮中山路698號之3"
"古麗珠","661 板橋縣關渡路2段70號之0"
"王美華","498 汐止自由路23號0樓"
"姚春美","16400 屏東南路97號之4"
"邱明珠","46788 連江縣莒光巷2段9號之7"
"賀素卿","95706 澎湖市關渡路65號之4"
"張秀玲","21169 竹田文山街86號0樓"
"邱麗娟","335 嘉義市府中路3號6樓"
"溫秀梅","15871 古坑淡水巷140號2樓"
"魏秋月","81292 桃園士林巷300號0樓"
"廖碧珠","41469 連江育英巷60號之6"
"林俊男","86142 三重縣和街街35號之3"
"李俊雄","792 梅山市德路2段96號之6"
"楊鈺婷","34391 關山平和巷509號之9"
"劉文彬","804 南投自立路9段101號之9"
"鄭明德","449 草屯市西門路262號9樓"
"張秀玲","962 嘉義迴龍巷588號2樓"
"鐘志明","336 白沙龍山寺街2號之8"
"陳金龍","53680 臺東東湖街4號之1"
"杜信宏","58280 竹北市象山街4號8樓"
"林美華","382 蘆竹民族街3段390號6樓"
"陳志成","670 太平民治巷6號7樓"
"謝建良","304 斗六五福巷251號3樓"
"呂禹彤","32611 新竹大智路976號之1"
"林宗翰","596 員林和街巷9段15號之8"
"麥明德","839 豐原市大橋頭路6號之4"
"張秀美","142 屏東明德巷6號4樓"
"尤俊宏","624 卑南市關渡路476號之3"
"邱進興","35670 員林正義巷472號3樓"
"劉淑芬","17673 北竿市和街路4號7樓"
"陳威廷","63999 台南林森路767號之7"
"王淑敏","189 三重北投街9段989號8樓"
"王怡婷","68343 台中市新生路76號1樓"
"曾麗卿","74521 北港縣廣慈路7號8樓"
"謝美玲","39949 古坑新店街41號7樓"
"呂秀蘭","827 朴子林森巷243號4樓"
"張秀英","53991 楊梅縣新店街4號4樓"
"翁淑貞","272 八德延平巷1號之8"
"莊淑華","818 樹林市紅樹林街5號之6"
"楊志偉","807 永康中央街2號之2"
"林家宏","359 新竹縣育英巷289號之1"
"林志文","640 嘉義縣東湖巷10號7樓"
"吳嘉宏","95905 高雄縣廣慈街36號9樓"
"謝春美","307 桃園忠孝巷2號之1"
"謝志豪","685 草屯新莊路9段44號之0"
"陳靜宜","12226 朴子縣永寧路986號5樓"
"張秀雲","305 中壢市大勇巷180號之0"
"周美鳳","43419 太平象山路73號0樓"
"廖榮華","39101 大里縣正義街5段589號2樓"
"方秀霞","43383 關山新生街93號之1"
"黃志宏","48897 桃園縣勝利街1段15號1樓"
"林淑卿","54906 南投中和路4號4樓"
"陳明珠","85536 斗六福德路723號之5"
"周雅玲","280 大里廣慈路37號之0"
"林美蘭","26654 基隆縣光復路85號之3"
"施素卿","604 雲林民權巷686號之5"
"張素琴","69771 苗栗市南街790號1樓"
"林金龍","98590 新營縣紅樹林路1號3樓"
"沈志文","912 澎湖文山巷77號9樓"
"盧美惠","83525 馬公縣學府巷7號之2"
"洪麗香","44128 屏東縣新店巷5號之3"
"徐秀美","400 臺中建國巷8段45號之0"
"曾美鳳","66921 樹林縣莒光路20號1樓"
"簡國雄","55734 楊梅中華街79號之2"
"林惠美","453 樹林北投巷8號8樓"
"馬明珠","142 屏東縣永寧路19號之4"
"張素蘭","98940 中和博愛街2號7樓"
"黃玉蘭","431 褒忠縣動物園路35號之5"
"華淑華","122 斗六自由街150號之5"
"吳秀霞","110 澎湖自立巷44號之7"
"黃義雄","597 桃園光華巷50號1樓"
"王承恩","582 彰化石牌街930號5樓"
"吳苡菲","49415 基隆林森街7段473號之2"
"阮志成","692 宜蘭縣德巷49號1樓"
"鄭俊廷","127 新營市土城巷45號之8"
"周志賢","283 板橋復興路481號之5"
"張素貞","51619 宜蘭莒光路3號之4"
"王文雄","56319 大里忠義巷6段958號1樓"
"陳麗玲","748 北斗市象山路1號之2"
"陳美蘭","878 草屯市博愛路5號之9"
"彭雅惠","79868 褒忠市龍山寺巷69號6樓"
"陳欣怡","145 北斗縣自強街9號之8"
"高慧玲","77890 桃園縣自強巷79號3樓"
"顏文雄","812 牡丹縣土城街84號之2"
"李秀霞","710 卑南市中興路449號7樓"
"徐志忠","409 苗栗市福德巷32號1樓"
"張美娟","25177 阿里山市林森路2號之5"
"賀春美","801 永和新北投路2號之8"
"王志明","211 大里民治巷21號之2"
"徐志宏","11209 樹林縣府中街555號之9"
"高明哲","995 蘆竹市奇岩路65號之0"
"趙承恩","351 蘆竹市文昌路332號之9"
"連淑芬","655 橫山市民有路887號7樓"
"莊淑珍","93243 竹北中和街618號8樓"
"梁禹彤","21536 台北民有路8段12號8樓"
"陳雅惠","27431 永康縣和街巷7號之9"
"張美娟","31817 汐止縣頂福州巷38號2樓"
"陳秀琴","129 竹田市仁愛路23號2樓"
"林志宏","64708 中壢太平路439號1樓"
"莊正義","508 中壢新店巷8段229號之7"
"黃柏睿","77633 楊梅市民富巷4號2樓"
"黃淑芳","128 斗六蘆洲路61號之6"
"李美華","35520 屏東市太平路24號之1"
"林建宏","693 大里市土城巷3段55號之7"
"劉美惠","90657 台東縣自由巷91號5樓"
"賴雅玲","351 竹北縣民族巷816號之2"
"張美惠","164 鳳山大同路8號之5"
"鄒文欽","872 三重縣建國巷88號之9"
"林惠玲","552 太保縣龍山寺街845號7樓"
"張秀美","53001 台中縣新生街1段455號3樓"
"張國華","47031 太平中山街57號3樓"
"洪慧玲","192 阿里山雙連路836號1樓"
"李俊佑","76618 台中縣文山路85號1樓"
"唐宗霖","18495 新北市民權路63號之4"
"巫麗美","11715 草屯永和路35號之0"
"賴志明","987 台北東興街51號6樓"
"張美惠","841 連江劍南巷9段337號之7"
"吳志豪","22192 古坑永和巷95號7樓"
"陳淑惠","896 光復市古亭街3段753號之6"
"王世明","33748 彰化土城街83號5樓"
"鄭麗美","85624 古坑迴龍街944號之7"
"陳怡君","17520 蘆洲縣公園巷879號2樓"
"張建宏","62039 員林大安巷410號之3"
"施正雄","126 花蓮市仁愛街5號之4"
"劉嘉宏","481 白沙和街街6號之8"
"林佳玲","607 苗栗民族街9號之0"
"張美慧","858 花蓮大智巷2號之1"
"趙宗霖","499 牡丹縣動物園路4段5號之2"
"歐宇恩","508 白沙淡水路96號7樓"
"王素卿","40475 汐止縣松山路1號之2"
"李秀美","751 新北福安巷836號0樓"
"黃子恩","443 桃園蘆洲巷660號之8"
"徐明德","91684 桃園市廣慈巷172號之7"
"林建志","222 新竹文化路9段736號2樓"
"張宜蓁","441 北竿縣德巷9號2樓"
"陳素蘭","90440 花蓮縣正義路1號之2"
"張美華","796 北竿縣和平路171號1樓"
"蕭柏宏","811 雲林縣象山巷23號之8"
"尤淑玲","847 蘆洲市德街18號6樓"
"唐美雲","89993 台中縣龍山寺巷69號6樓"
"蔡國華","249 屏東縣大智街394號之7"
"盧麗卿","113 蘆竹建國巷589號6樓"
"邱明德","581 北斗文昌巷575號1樓"
"林俊宏","67254 樹林福德街77號9樓"
"呂柏翰","90528 牡丹劍南路314號6樓"
"沈玉珍","545 樹林奇岩路371號7樓"
"張美麗","63454 褒忠市新埔街953號之7"
"陳秀琴","24991 關山劍南路13號之7"
"游文雄","40432 白沙縣民富街351號6樓"
"曾子宸","364 光復縣新生路527號之4"
"林淑敏","81563 蘆竹士林街381號4樓"
"陳明輝","44683 中壢紅樹林路616號6樓"
"陸俊銘","63695 北斗市文山街120號之0"
"江秀琴","78904 新北文化街1段312號0樓"
"鄭建良","46790 竹田明德街95號3樓"
"吳俊雄","523 連江福安街7段2號0樓"
"張美麗","66665 基隆縣新北投街96號之2"
"陳宇翔","740 宜蘭縣中華街40號5樓"
"周美鳳","114 頭份市民生街3號6樓"
"林淑芬","451 北港縣文昌路8段2號之5"
"簡志強","69878 新竹縣四維巷8段1號3樓"
"張麗雲","843 臺中縣復興路62號7樓"
"洪雅婷","84283 新營福安路4號之9"
"顏秀華","80141 阿里山新生街860號之4"
"劉明德","66606 鳳山縣自由巷7號之1"
"賴秀華","569 新營小碧潭巷81號之4"
"張芸菲","78167 連江縣中華路46號之8"
"丁美珍","28826 中壢縣林森街37號之1"
"周哲瑋","439 頭份縣奇岩巷1號9樓"
"劉冠宇","985 褒忠新生巷720號9樓"
"張承恩","635 三重關渡路5段83號之3"
"陳素蘭","15691 花蓮市永寧街4段1號8樓"
"陳俊雄","356 草屯市建國路2號之8"
"施義雄","40381 板橋龍山寺路1號5樓"
"吳俊廷","876 新竹縣興巷139號之7"
"史文雄","474 新竹縣雙連路83號之7"
"張詠晴","19409 桃園德巷525號之8"
"陳靜宜","119 汐止縣五福街6號之4"
"吳淑華","504 彰化民生路397號之2"
"何文傑","520 竹田市中華路2號之1"
"温俊良","79822 古坑公園路7號1樓"
"易博文","83283 花蓮市芝山街5段688號0樓"
"劉宗霖","83131 大里信義街6號之7"
"蘇恩碩","94959 高雄市育英巷136號0樓"
"陳秀梅","47370 樹林勝利巷2號3樓"
"黃美玲","437 金門自由路7號8樓"
"張詩涵","79582 大里縣古亭街8段878號之9"
"吳鈺婷","91437 花蓮市延平巷45號之5"
"郭建志","859 三重北投街9號6樓"
"趙秀珍","984 員林蘆洲街8號1樓"
"劉雅玲","789 宜蘭縣天母巷8號9樓"
"徐雅雯","729 金門自由巷938號之8"
"楊淑美","307 大里土城巷6段412號8樓"
"陳麗卿","80999 樹林縣迴龍街8段528號之6"
"王淑珍","291 連江市新興街625號6樓"
"胡美玲","827 臺東民治路73號之3"
"張進財","537 汐止縣忠孝路6段2號3樓"
"賈雅婷","740 中壢市新北投路8號之5"
"鄭美珠","851 太保縣和平路2段47號之0"
"吳俊宏","581 中和關渡路350號9樓"
"賴雅惠","711 連江新店街4段97號之6"
"胡麗卿","80033 臺東大勇街9段7號之3"
"蕭正雄","33298 新竹華興街7號7樓"
"傅明輝","24319 朴子北投路3段7號9樓"
"吳明宏","25565 中壢成功街25號之6"
"林淑惠","233 三重縣士林巷745號之0"
"張郁婷","108 草屯市中山街996號之0"
"葉佳玲","476 鳳山天母街34號之7"
"李哲維","321 台南迴龍街33號5樓"
"張宗翰","244 台南國凱八德路91號6樓"
"沈武雄","766 斗六市新興巷59號之5"
"簡建宏","84681 關山復興巷699號6樓"
"孫威廷","605 鳳山市忠義巷64號5樓"
"范威廷","861 楊梅縣芝山巷16號之8"
"黃淑貞","231 北港大智街7段6號2樓"
"郭家豪","99354 太平長安街192號之0"
"張雅婷","175 嘉義縣長安路9號9樓"
"鐘宇翔","85399 頭份市自強街7段89號之9"
"李世昌","55602 永康市新興街385號0樓"
"薛俊廷","751 光復文山巷56號之1"
"陳美華","235 新北市新生巷650號之0"
"李家宏","63806 楊梅新興街1號2樓"
"李淑芳","55657 苗栗文化巷1號之2"
"徐進財","81484 彰化縣昆陽路604號6樓"
"洪志豪","94897 蘆竹永寧巷8段8號之9"
"王宗翰","16665 草屯市萬隆路959號之9"
"張雅惠","658 光復新北投路7段2號2樓"
"詹志豪","56271 古坑縣林森路2段6號9樓"
"楊志明","599 新竹民治街847號0樓"
"吳美玲","27751 台東三民巷8段260號之7"
"彭文龍","245 太保新生巷10號6樓"
"吳靜怡","64267 蘆洲市延平路93號0樓"
"林麗珠","86904 南投忠孝街194號之5"
"李秀蘭","43345 鳳山縣中山路554號7樓"
"劉哲維","396 新竹縣大坪街8段5號3樓"
"吳明輝","53469 臺中天母街6號之2"
"張雅萍","163 桃園市光華路3號之6"
"姚志雄","15192 鳳山市古亭巷861號之3"
"李麗娟","24227 台東縣仁愛路144號6樓"
"林淑卿","399 臺中光復巷10號7樓"
"張美玉","254 褒忠市龍山寺街4號7樓"
"呂永昌","63265 大里縣西門路28號6樓"
"許明宗","510 北斗市頂福州巷584號5樓"
"邱麗華","31848 中和民治巷7號3樓"
"林美珠","373 光復永寧路726號之3"
"許秀蘭","56117 高雄市象山街955號之2"
"張麗卿","108 八德市育英巷349號3樓"
"陳志偉","89791 桃園萬隆巷4號之4"
"石建華","166 古坑市勝利街39號5樓"
"陳俊雄","176 蘆洲縣頂福州巷9號之2"
"陳詩涵","60881 北港光明街6段632號之9"
"馮俊男","66991 斗六市光明路541號0樓"
"楊淑華","48959 三重市中興街4號之4"
"黃冠廷","59082 阿里山和平巷7號之0"
"陳麗美","99158 臺東自立街542號5樓"
"林玉琴","549 台東縣民富路185號之8"
"張麗卿","14894 雲林莒光巷4號之5"
"古秀霞","318 新營華興路7段944號1樓"
"陳俊賢","274 桃園市中興街7段89號之9"
"李俊良","310 牡丹縣新北投巷68號2樓"
"蔣文章","78379 竹北新生路605號之4"
"張月娥","80401 屏東動物園路599號9樓"
"周俊宏","70390 嘉義天母路8號9樓"
"黃素珠","409 永和新店街779號3樓"
"賴冠霖","848 八德市五福街42號8樓"
"許建宏","98944 樹林大安路3號之4"
"張麗珍","775 新營市成功巷44號5樓"
"王永昌","184 竹田民生巷24號8樓"
"陳美華","673 中和萬隆路16號之0"
"呂宥廷","18548 豐原永寧街1號之3"
"林俊雄","24394 臺中縣關渡街7段7號之6"
"張素珍","553 臺中中山街259號之3"
"黃玉美","186 馬公市中山路8段873號1樓"
"陳志賢","88599 花蓮縣新莊巷58號之3"
"王建宏","26529 花蓮市莒光街1段450號之8"
"林金鳳","101 汐止縣劍南巷49號之9"
"張麗珍","86018 永和市昆陽巷4號2樓"
"黃鈺婷","667 台南忠孝巷630號9樓"
"謝博文","929 澎湖民權路6號之2"
"蔡淑敏","418 橫山縣民富路826號之6"
"黃淑貞","274 宜蘭民有巷162號2樓"
"周苡菲","30998 新營市忠義巷2號9樓"
"徐哲瑋","216 臺東縣士林街12號之6"
"陳美娟","40763 花蓮縣民有路6段89號5樓"
"林勝雄","66561 高雄永安路3號之0"
"侯明德","54501 台中華興街10號之7"
"張麗珍","88507 八德市東湖巷4號之3"
"鍾志明","377 北港縣廣慈巷3號之4"
"黃秀美","601 竹田縣昆陽街185號之1"
"鄭冠廷","47054 斗六縣頂福州路9號之7"
"劉淑珍","911 永康光華路77號之4"
"陳志文","125 新營興巷379號之8"
"楊家豪","117 永和市光復街8段757號之2"
"張秀蘭","364 豐原福安路8段73號之4"
"黃承翰","49531 橫山土城巷864號之6"
"李俊豪","94098 桃園市新莊巷90號之1"
"張麗美","867 頭份新興路3段7號之6"
"李家豪","580 台北南街6段849號之7"
"郭美華","814 花蓮市成功街1號之8"
"杜國榮","899 楊梅育英巷8段68號6樓"
"李淑芬","383 大里自立巷8段341號之7"
"葉文正","66558 樹林市五福街818號之6"
"江秀英","480 阿里山士林巷959號0樓"
"何美雲","102 太平長安街37號之6"
"張慧玲","589 白沙中山街2號之5"
"許麗雲","412 樹林縣芝山街140號7樓"
"張麗華","20682 北港市土城路83號1樓"
"熊明宗","61243 蘆洲林森巷2段448號之0"
"林淑芬","112 關山市大坪巷12號之7"
"蘇春美","717 朴子建國街5號4樓"
"陳春美","233 關山市華興巷99號6樓"
"陳國榮","439 竹北紅樹林巷663號之3"
"洪世昌","229 橫山太平巷876號之8"
"邱凱翔","916 桃園市德街7號9樓"
"莊美慧","140 台東成功路70號之1"
"郭美玲","85278 楊梅縣小碧潭路5號9樓"
"張麗雪","702 北竿新興路929號之1"
"楊宗翰","51596 彰化市東湖巷406號之3"
"程玉英","80636 苗栗縣大仁路8段2號之4"
"張博文","307 澎湖五福巷40號之6"
"邱美華","990 北港淡水路256號之7"
"曾詩涵","764 卑南勝利巷6號之8"
"陳美珠","51630 桃園自立街9段475號4樓"
"唐俊宇","46952 竹田市中山路5段48號之5"
"黃子涵","732 草屯動物園路889號2樓"
"劉子恩","22465 花蓮公園路6號之6"
"張麗香","13130 臺中市育英街7號2樓"
"郭美娟","84857 台中育英路785號8樓"
"蔡美麗","253 嘉義龍山寺路3號之0"
"黃淑惠","113 中壢市永和路317號之7"
"鄭進興","706 桃園市永寧巷818號7樓"
"蔡雅萍","96547 斗六動物園路1號之6"
"喬文華","892 梅山市莒光巷657號之9"
"簡秀玲","79029 屏東市育英路15號8樓"
"楊碧雲","255 新竹南巷7段43號2樓"
"王苡菲","380 褒忠大同巷489號之4"
"彭勝雄","54304 連江縣古亭巷7段936號之3"
"蔡文彬","611 苗栗縣勝利巷9段94號之4"
"洪美惠","10542 北竿中央街1號之1"
"張哲維","911 員林土城路38號之6"
"葉美玲","28441 中和東興路523號之2"
"官政宏","758 汐止光華街1號之3"
"郭建良","847 中和德路38號之7"
"黃秀琴","57379 台南新北投街1號之4"
"曾雅萍","10979 嘉義縣永安巷2號0樓"
"褚淑貞","14599 橫山縣文山街600號1樓"
"彭子恩","599 新營市中華巷3號8樓"
"闕麗卿","89173 梅山市勝利街849號之4"
"陳淑娟","99021 平鎮縣勝利街2段9號之9"
"邱家瑋","71150 太保縣迴龍街791號4樓"
"魏秀琴","17221 鳳山石牌巷24號之9"
"賴秀玉","81514 台東縣建國巷27號1樓"
"孫柏宏","210 白沙市永安路851號之5"
"呂明珠","25095 台南市永安路8段845號9樓"
"曾淑敏","15812 中壢縣自強路2段106號之1"
"江文祥","81438 中壢象山街17號之0"
"彭志明","750 八德萬隆街9號之0"
"林嘉宏","487 金門永和巷9號之8"
"陳麗雲","961 豐原縣象山路242號之2"
"林柏宏","869 員林仁愛巷6段8號9樓"
"施素貞","87109 永康縣三民巷6段990號之0"
"連文正","63539 桃園市松山路310號5樓"
"凃麗雲","67034 雲林市民治巷2段853號之0"
"陳淑芬","946 中和文昌路49號之5"
"劉義雄","57546 牡丹縣昆陽巷862號0樓"
"邱玉玲","803 太平廣慈路49號之6"
"彭志豪","36469 牡丹縣北投路2號5樓"
"林志遠","11389 臺中昆陽街5號8樓"
"鄭芯語","984 樹林自立路4號7樓"
"江淑慧","91854 太平永和街748號1樓"
"翁秋香","14076 卑南市文昌巷7號6樓"
"蔡俊宏","73583 草屯縣水源街36號7樓"
"洪素卿","81130 光復府中路903號之7"
"詹心怡","76569 褒忠縣光復街1段8號0樓"
"游美惠","819 桃園光華巷250號4樓"
"林秀琴","22502 新北龍山寺巷31號0樓"
"彭恩碩","89394 新營市士林巷427號4樓"
"吳品妍","91216 北港民治路808號之0"
"陳子睿","76004 馬公和平巷879號5樓"
"蕭美玲","33825 連江市水源路10號0樓"
"余秀琴","32994 高雄中正巷23號9樓"
"吳詩涵","35658 古坑大勇巷2段80號之3"
"陳秀娟","51425 牡丹市正義街74號之4"
"徐月娥","83270 卑南縣南巷10號2樓"
"廖俊傑","32623 馬公自立巷437號2樓"
"曹志銘","64790 苗栗士林巷6號2樓"
"彭惠珍","341 金門縣紅樹林巷7段101號3樓"
"楊淑貞","998 鳳山縣永寧巷21號之3"
"陳彥廷","346 中和文昌巷1號3樓"
"李柏睿","314 中和大坪巷9段8號之5"
"陳柏宇","110 橫山市紅樹林街655號之3"
"余俊宇","670 竹北雙連街99號之5"
"李春美","872 屏東縣大勇街4段25號之3"
"張佳穎","19458 台中關渡路3號2樓"
"王佩珊","37111 屏東和街巷5段72號3樓"
"陳俊宏","224 新北市民有路5號4樓"
"彭惠美","46189 台北東興街8號之0"
"莊淑卿","73272 頭份五福街1號之8"
"李麗琴","130 光復縣松山路79號之6"
"游建宏","47076 三重文山街27號1樓"
"陳美雲","276 金門縣華興街1號1樓"
"林柏宇","72809 桃園市新興巷60號8樓"
"賴宗霖","20998 斗六延平街8號之2"
"徐淑華","990 竹北市迴龍街4段170號7樓"
"鄭碧雲","58459 板橋中和街92號之7"
"蘇正義","23593 三重市福德路6號之3"
"彭明輝","78346 三重三民路281號之1"
"林志文","385 斗六光華巷3段39號1樓"
"劉惠珍","694 新竹西門路47號4樓"
"江建良","79791 連江縣萬隆街1段9號之0"
"王俊廷","523 豐原市復興巷51號之0"
"張明宏","471 基隆市小碧潭街3段636號之9"
"呂俊賢","759 大里民族巷633號5樓"
"劉碧珠","69072 連江市中山街9號9樓"
"邱靜宜","26429 苗栗縣博愛街9段48號之6"
"黃冠宇","389 新竹仁愛巷214號6樓"
"彭柏霖","262 鳳山縣紅樹林路6號之0"
"洪彥廷","66288 鳳山市育英街70號之7"
"莊國雄","22847 古坑光明巷8段4號0樓"
"鄒進興","865 中壢育英街78號0樓"
"林俊男","72273 汐止市光復街598號之1"
"彭志銘","55037 嘉義市民享巷24號之9"
"趙秀梅","55237 澎湖文化路1號6樓"
"吳國華","656 桃園忠義街2段9號之6"
"林秀美","87554 苗栗新莊路2號之4"
"張淑卿","16857 台南市古亭巷95號之1"
"彭榮華","877 彰化市天母街4段36號9樓"
"鄞永昌","73818 連江文山街3段7號7樓"
"黃俊豪","35899 豐原延平街2號3樓"
"朱怡君","59586 花蓮大坪路7號3樓"
"朱美華","670 太平大勇巷8號5樓"
"陳仁傑","32569 新竹縣民享巷92號之4"
"徐志賢","283 三重市古亭巷5號之4"
"江文雄","752 北斗縣中和街320號4樓"
"涂進發","464 三重奇岩路799號之3"
"陳俊宏","959 卑南市自由街63號之8"
"彭淑玲","869 中壢縣新生巷3段5號2樓"
"林志明","97739 永康縣福德街54號0樓"
"陳志強","420 永和動物園路742號之1"
"劉麗雲","975 宜蘭育英街56號0樓"
"黃文華","68190 台東市中山巷1段564號之8"
"蔡宸睿","31201 連江莒光巷43號之0"
"劉永昌","96919 花蓮大同巷4號6樓"
"王俊賢","364 雲林平和路5號8樓"
"王志誠","48593 樹林西門巷5號5樓"
"翁素珍","81428 高雄縣新埔路2號之7"
"彭金龍","555 斗六市長安巷99號1樓"
"陳彥廷","81350 基隆縣大同街7號1樓"
"朱進發","70723 苗栗大同路865號9樓"
"曾志忠","81782 楊梅紅樹林巷5號3樓"
"周美珠","62750 嘉義市興路4號1樓"
"陳宗霖","966 連江市民有街7號之4"
"楊淑卿","850 連江縣府中街1號5樓"
"林宇恩","22158 大里市中和路84號之7"
"王美惠","623 褒忠市新生路31號之8"
"戴志誠","89212 花蓮縣光明路34號8樓"
"彭麗娟","153 彰化市大同路6號2樓"
"張雅婷","36530 北港北投路3段546號之9"
"鄭碧雲","116 基隆縣象山巷588號之8"
"陳文章","396 苗栗中山巷342號7樓"
"范宗翰","882 彰化迴龍街2號之1"
"佘寶珠","406 金門古亭路2號之9"
"陳文欽","26540 平鎮福德路565號4樓"
"官秋香","524 桃園縣南街242號之5"
"陳淑珍","42778 雲林光明路30號9樓"
"王柏諺","79832 竹北劍南巷70號6樓"
"彭麗珠","71668 基隆三民路51號之9"
"莊雅玲","786 楊梅市福安路5段633號5樓"
"王羽彤","20974 新營縣小碧潭路473號9樓"
"江俊銘","63125 竹北新興路65號3樓"
"黃秀蘭","414 古坑市西門路8段2號之5"
"陳麗雲","82014 馬公中央路7號之8"
"方秀枝","91112 樹林五福路941號2樓"
"鄭志誠","125 永和市奇岩街7段333號之3"
"黃素珍","905 新北自立路683號之6"
"羅玉英","587 關山縣復興街9號之6"
"彭麗華","179 新營市太平街790號之0"
"高玉蘭","68435 北竿縣博愛路2段9號之0"
"姜家豪","426 金門民生巷2號7樓"
"葉美華","126 太平市文昌巷6段60號4樓"
"張雅慧","93969 蘆洲市北投巷6段8號9樓"
"陳郁婷","21717 北竿縣文山街904號5樓"
"林詩涵","91359 新竹自由路1號之8"
"吳鈺婷","292 朴子市三民路8段715號1樓"
"張美麗","330 阿里山民享街594號之6"
"李寶珠","57837 桃園土城巷617號之7"
"彭麗雪","159 中和市育英路92號之7"
"郭春美","410 屏東明德路29號之9"
"林文祥","51755 光復建國街2號3樓"
"何玉鳳","22335 關山縣民富路74號5樓"
"林淑貞","851 草屯市中山巷5段2號7樓"
"楊淑娟","704 新竹市民治路6段163號8樓"
"陳素琴","267 樹林市永和巷4段90號之2"
"侯承翰","35451 花蓮光華街72號之6"
"吳建宏","19432 北竿華興街678號之8"
"陳美惠","98914 彰化縣中山路2號之3"
"徐佳穎","944 卑南民有街2段9號之2"
"李秀英","243 臺中市新興路3號8樓"
"胡欣怡","365 板橋市新莊街3段556號8樓"
"張淑華","730 白沙林森路781號0樓"
"鄭秀蘭","421 古坑新埔街42號2樓"
"張淑華","28143 臺東市自強路7號2樓"
"曾秀雲","813 嘉義永和路708號4樓"
"陳俊宏","722 臺東淡水街188號之4"
"張淑娟","70777 豐原縣和街路9段9號0樓"
"蔡秀枝","448 平鎮市民有巷5段7號之3"
"徐佳蓉","65373 牡丹市大同巷512號之9"
"林子豪","79889 連江縣東興街8號4樓"
"吳麗雪","850 鳳山中華街1段315號8樓"
"張素貞","829 高雄大坪路7段626號之7"
"湯志宏","973 苗栗市蘆洲巷9段4號9樓"
"洪政宏","820 梅山縣奇岩路967號7樓"
"郭志宏","452 白沙縣四維巷35號3樓"
"蘇美惠","11850 中壢縣國凱八德街8號9樓"
"莊家銘","88543 金門興路79號4樓"
"謝俊宏","856 臺中縣劍南路166號之4"
"徐俊銘","889 三重縣民治街6段802號6樓"
"尤志明","85430 臺中縣大智路3號9樓"
"劉惠美","69165 平鎮文昌巷7號8樓"
"黃冠宏","172 北斗中山路439號5樓"
"蔡俊明","333 桃園市學府街26號5樓"
"鄭素珍","13719 新營縣中興路4號之6"
"葉雅惠","188 阿里山中華街5號之8"
"廖淑華","37722 新竹縣復興街23號之7"
"林麗華","123 光復中華路4號5樓"
"郭志賢","24971 桃園縣象山路3號5樓"
"徐俊雄","99117 橫山新生路7段81號5樓"
"馮文賢","98794 北港仁愛巷57號7樓"
"黃家豪","235 永和縣頂福州街13號之0"
"黃嘉宏","727 蘆洲縣民治巷357號之3"
"魏淑芳","314 台南光明街8段2號之8"
"吳志明","596 蘆洲市五福街96號之2"
"連麗華","430 臺中縣景美街13號3樓"
"葉淑慧","888 馬公縣明德巷41號之6"
"陳國華","951 員林市學府街3段1號之9"
"程俊豪","463 中和市動物園路6號6樓"
"徐冠廷","78141 連江象山街392號1樓"
"梁志豪","939 八德蘆洲街9號之5"
"許進財","925 橫山市中正巷33號8樓"
"陳子豪","60186 嘉義縣頂福州街5號之4"
"陳秀珍","53144 台南縣大橋頭街1段616號5樓"
"黃淑娟","800 員林縣南巷469號7樓"
"郭秀珠","38120 大里中山巷2段61號之2"
"簡秀雲","48636 彰化縣新店街5段8號之5"
"王秀珍","943 卑南市永安街65號3樓"
"吳宥廷","980 褒忠大智街770號之2"
"徐宇恩","530 卑南縣古亭巷4段7號之6"
"劉志明","649 白沙市新興街8號之2"
"郭正雄","298 台中縣北投街588號之7"
"李文祥","70704 八德縣長安巷46號9樓"
"張麗珠","44659 中和市博愛路9段635號7樓"
"蔡淑貞","912 台南市民族路2段729號之5"
"郭家榮","63990 金門大同路3段48號1樓"
"廖淑玲","49587 金門縣關渡巷7段85號之1"
