"丁哲瑋"|"410 澎湖市紅樹林街80號之6" 
"侯雅婷"|"73526 台中縣永寧街57號6樓"
"李麗華"|"858 臺中市自由巷1號之3"
"呂品妍"|"837 鳳山德街99號之1"
"王國華"|"49378 宜蘭市新興巷254號之8"
"陳惠美"|"819 竹田市育英巷4號3樓"
"蔡國華"|"95539 楊梅長春街4號8樓"
"曾文章"|"83559 梅山縣新埔街303號9樓"
"林俊廷"|"179 太平紅樹林街545號7樓"
"王家瑋"|"347 中和新莊街1段765號之2"
"李明珠"|"99340 大里縣頂福州巷1段374號5樓"
"曾冠宏"|"396 新營龍山寺路37號之8"
"藍素珠"|"550 連江縣大安街1號之0"
"廖碧霞"|"79841 蘆洲廣慈街320號之4"
"邱秀珠"|"339 八德市四維路493號之8"
"莊正雄"|"170 北竿忠孝巷3號之9"
"林麗珠"|"977 宜蘭縣國凱八德路57號之9"
"曾明德"|"35420 北斗縣中和路6段482號之0"
"林冠宇"|"408 北竿光明街254號1樓"
"林秀玉"|"61468 永康自由巷11號5樓"
"潘秀玲"|"566 褒忠大同路676號之1"
"鄭文章"|"606 豐原市中興巷9段65號之8"
"楊金鳳"|"35098 台東五福巷1段216號之7"
"張文彬"|"49458 蘆竹新生街58號5樓"
"邱心怡"|"90428 竹田市永安巷626號之7"
"許宗翰"|"81159 員林市自由街935號8樓"
"楊宗霖"|"55260 雲林建國路81號3樓"
"曾淑娟"|"596 屏東紅樹林街8號之7"
"楊素貞"|"143 中和縣新莊巷45號1樓"
"李禹彤"|"55665 阿里山市興街337號9樓"
"陳子宸"|"12262 高雄縣北投巷789號3樓"
"吳正雄"|"764 汐止雙連街2號2樓"
"章秀蘭"|"22227 連江市勝利巷880號之9"
"官惠美"|"141 永康新興路2號9樓"
"王秀鳳"|"40108 橫山石牌路7段951號之3"
"李志文"|"364 蘆竹大橋頭路413號7樓"
"武郁婷"|"423 豐原市天母巷57號之2"
"曾淑芬"|"950 花蓮市興巷7段886號之1"
"黃素珠"|"384 古坑市民權街1段9號2樓"
"許國榮"|"343 蘆竹市文山街746號之2"
"鄭冠宏"|"38826 蘆竹縣育英街8號之3"
"曾明德"|"829 馬公縣東興街322號5樓"
"彭宇翔"|"532 桃園縣復興路69號之2"
"張淑芬"|"22921 橫山民有街238號之5"
"黃子恩"|"65072 豐原水源街313號之8"
"鄭仁傑"|"28577 竹田市劍潭巷270號7樓"
"張麗美"|"184 花蓮縣大勇巷92號之5"
"曾碧霞"|"37598 頭份自立巷3段4號5樓"
"許進發"|"621 彰化縣大同巷7段705號4樓"
"陳俊宇"|"14126 桃園國凱八德巷621號2樓"
"朱建華"|"571 新營縣興路748號之3"
"王志忠"|"747 楊梅蘆洲路51號2樓"
"吳柏翰"|"54063 光復明德巷826號之4"
"黃美惠"|"77435 新竹市福德路31號8樓"
"吳淑貞"|"924 八德市自由路43號9樓"
"黃美鳳"|"305 太平象山路7號之3"
"李秀鳳"|"47450 大里縣廣慈巷9號7樓"
"曾碧霞"|"83653 卑南縣永寧街8號4樓"
"盧柏翰"|"612 高雄中華路8段5號5樓"
"謝志遠"|"270 新竹仁愛巷3號之2"
"洪俊銘"|"238 雲林大橋頭巷822號6樓"
"黃志明"|"162 新營縣長安巷5號之4"
"王秀琴"|"64897 大里市劍南街30號3樓"
"陳金龍"|"255 豐原市中山巷84號之4"
"林志文"|"82839 光復縣福安街5號之6"
"楊建宏"|"14239 馬公市忠義街2號之0"
"林武雄"|"33340 頭份市復興巷398號0樓"
"曾秀梅"|"855 苗栗縣迴龍街604號之8"
"官承恩"|"238 光復廣慈路56號之5"
"王美惠"|"73237 蘆竹福德街2段9號7樓"
"曾秋香"|"61699 竹北廣慈路23號9樓"
"葉淑惠"|"66880 關山東興巷923號0樓"
"鍾冠霖"|"178 永康縣新生路8段44號3樓"
"王淑芬"|"90646 光復忠義巷290號0樓"
"沈家豪"|"613 台東市育英街3段66號3樓"
"陳美玲"|"88564 樹林縣新北投路69號3樓"
"邱芸菲"|"793 蘆洲市文山路2號0樓"
"曾秀珠"|"165 竹田市民生路81號之9"
"陳素珠"|"636 連江市永寧巷8號7樓"
"潘秀玉"|"41153 八德新生街6號之1"
"張志銘"|"66215 太保土城街85號2樓"
"洪佳蓉"|"15281 中和市南路588號9樓"
"徐子宸"|"54558 光復福安街1號之6"
"王宜庭"|"116 高雄市頂福州路61號3樓"
"黃志宏"|"70664 台南縣民享路2號之8"
"顏雅玲"|"74198 馬公大橋頭街552號之6"
"林武雄"|"660 台南和平街7號之2"
"曾秀美"|"262 台中平和路2號0樓"
"張俊男"|"657 臺中縣興路7段658號之0"
"蔡秀雲"|"192 太平縣中央路6段8號之3"
"廖美惠"|"99108 馬公民有路898號2樓"
"葉明宏"|"54182 中壢市福德巷4段48號5樓"
"黃志宏"|"363 臺中迴龍巷5號8樓"
"鄧淑惠"|"289 桃園小碧潭街41號之6"
"吳秀美"|"77537 北斗縣新店街5號0樓"
"楊志遠"|"63042 雲林市雙連路593號之6"
"蘇子豪"|"967 新竹中正街11號0樓"
"曾秀美"|"736 基隆芝山街2號9樓"
"張秀娟"|"657 員林四維巷635號0樓"
"張俊傑"|"55614 花蓮大橋頭街843號之4"
"黃宗憲"|"138 台南華興巷17號4樓"
"吳柏睿"|"34779 新營市景美街26號6樓"
"沈宇恩"|"861 台東古亭街8段62號6樓"
"陳志豪"|"183 竹北奇岩路33號7樓"
"羅建宏"|"317 屏東縣中和街757號之4"
"林雅惠"|"500 白沙和平巷1號之2"
"林志忠"|"219 新竹新生街961號5樓"
"曾秀華"|"49798 桃園縣蘆洲巷9號6樓"
"陳金蓮"|"448 板橋文山街8段43號7樓"
"林志偉"|"589 宜蘭龍山寺巷861號之3"
"林建成"|"966 梅山市光復路2號3樓"
"張志成"|"99435 新竹博愛路9段560號之2"
"余俊良"|"736 金門大安路8段31號之0"
"黃文華"|"22059 花蓮縣福德路8段5號2樓"
"洪志宏"|"26216 台南成功街277號之9"
"蘇美英"|"55777 花蓮縣四維路604號9樓"
"李淑貞"|"301 梅山縣中和巷3號9樓"
"曾秀雲"|"353 鳳山新生街7段8號5樓"
"蔡美玉"|"549 台東水源街2號4樓"
"沈志強"|"69928 永和大同巷2段9號之1"
"關承翰"|"904 楊梅縣關渡巷52號之1"
"涂志誠"|"13168 新竹和平街824號2樓"
"黃家豪"|"937 梅山市忠義巷507號之0"
"簡冠宇"|"72357 朴子市信義街5段38號之2"
"王淑美"|"98652 樹林市迴龍街61號6樓"
"鄭文正"|"16955 楊梅縣天母巷2號之5"
"吳建宏"|"97541 蘆洲光明路3號5樓"
"曾秀霞"|"471 臺中劍潭路2段96號之7"
"蕭秀梅"|"646 板橋象山路865號之1"
"鍾美雲"|"66410 宜蘭南街4段313號2樓"
"林美惠"|"30062 蘆洲市中山巷2段6號9樓"
"鄭文章"|"75147 三重永和街9號8樓"
"柯俊傑"|"768 彰化縣博愛街88號之9"
"黃雅婷"|"92380 八德縣民權路63號0樓"
"李俊明"|"499 台北市文山路613號2樓"
"張明珠"|"38009 桃園縣新店路5號1樓"
"張玉玲"|"43987 三重縣復興街5段467號5樓"
"曾美珠"|"790 台中自由路8號之3"
"郭嘉宏"|"42570 阿里山縣昆陽街2號之1"
"張淑華"|"767 褒忠市公園路223號之8"
"莊美鳳"|"75469 屏東市西門街5段36號之7"
"謝俊宏"|"80756 頭份長春路3號之1"
"高淑珍"|"670 新營大坪路9號0樓"
"沈美雲"|"836 北港縣仁愛街565號9樓"
"徐承翰"|"725 斗六府中路8號之7"
"郭淑慧"|"616 台東仁愛街9號5樓"
"黃俊豪"|"97104 台南縣自立路576號之7"
"曾雅玲"|"759 古坑市南巷5段453號5樓"
"蔡淑貞"|"638 苗栗勝利路4號之8"
"林玉英"|"40630 中和縣東湖街702號之9"
"黃俊銘"|"298 花蓮中山路9號之5"
"黃淑玲"|"275 關山市育英巷104號9樓"
"曾麗琴"|"603 高雄市勝利巷8號之3"
"王雅萍"|"42726 汐止市景美路259號之7"
"張志成"|"233 竹田市和平街8段47號之0"
"羅文雄"|"50755 新營縣新北投街22號之6"
"張美玲"|"77094 新北古亭巷2段4號7樓"
"曾雅雯"|"133 桃園市公園街872號0樓"
"林承恩"|"71661 台北松山街88號之8"
"謝文賢"|"927 馬公市勝利巷8號之6"
"吳麗香"|"565 新營市劍南巷3號9樓"
"林美麗"|"53393 桃園市北投街489號之6"
"胡建宏"|"200 永和關渡街68號之3"
"鍾承翰"|"84180 北斗市民生路2號2樓"
"廖俊廷"|"626 板橋縣林森路666號2樓"
"傅俊良"|"418 梅山大仁巷23號之6"
"林宗憲"|"26824 中壢民族巷56號之1"
"曾靜怡"|"13879 草屯水源路263號之7"
"王明哲"|"193 朴子縣和平路7段9號之1"
"陳秀珠"|"119 斗六中山巷3段37號之7"
"鄭雅萍"|"83440 金門太平巷86號之9"
"莊文傑"|"487 澎湖市福德路6段7號5樓"
"劉志明"|"37173 桃園市大安巷8段672號之6"
"盧淑芳"|"943 馬公關渡路668號之5"
"黃淑珍"|"457 卑南市劍南路6段955號之1"
"林金蓮"|"47044 新竹劍南巷7段9號之9"
"劉志宏"|"92389 光復中山街988號9樓"
"朱俊廷"|"936 基隆府中巷9號0樓"
"邱淑貞"|"311 南投北投巷255號之0"
"葉淑美"|"953 楊梅縣新埔街16號之3"
"黃秀琴"|"21010 太平市南路5號之7"
"廖宗霖"|"854 汐止市福德巷289號之9"
"林心怡"|"65292 臺東南街8號之5"
"陳文傑"|"756 臺東莒光路355號1樓"
"陳文正"|"429 鳳山縣民享巷4號1樓"
"陳美鳳"|"15552 鳳山縣小碧潭巷22號之4"
"林寶珠"|"567 古坑平和路820號0樓"
"朱冠宇"|"287 連江大同街67號6樓"
"尤秀雲"|"24982 臺中市奇岩巷68號之9"
"吳秀雲"|"575 汐止廣慈巷8號之1"
"蔡俊明"|"653 基隆石牌街6段14號8樓"
"賴俊銘"|"271 樹林淡水巷41號之4"
"洪雅萍"|"40848 屏東市復興街2段1號0樓"
"張秀梅"|"618 桃園縣勝利街29號之9"
"王進興"|"124 基隆石牌街42號5樓"
"許志豪"|"64314 汐止福德巷85號1樓"
"張文賢"|"62388 台北福安街746號1樓"
"朱國榮"|"661 永康東湖路74號5樓"
"白家豪"|"29576 牡丹市中山路317號之2"
"林聰明"|"862 卑南市大安路4號9樓"
"劉柏霖"|"28991 朴子縣育英街3段800號5樓"
"蔡志成"|"21583 桃園文化街37號之6"
"張秀蘭"|"50860 永和民族路4號之3"
"林淑芳"|"57032 新竹光華巷147號1樓"
"岳美華"|"44692 新竹明德路376號4樓"
"許國雄"|"824 屏東縣福德路6段869號之7"
"廖惠美"|"96000 南投芝山路21號3樓"
"朱宜蓁"|"992 梅山市大同巷85號3樓"
"林美玲"|"519 頭份關渡巷548號5樓"
"何凱翔"|"97642 光復中山路6段8號2樓"
"陳秀玉"|"166 嘉義和平巷97號之5"
"黃建志"|"76271 大里縣和街路909號之1"
"吳素琴"|"711 員林縣紅樹林街6號之9"
"翁俊宇"|"691 宜蘭市新北投路176號之6"
"莊家瑋"|"14562 永和勝利街69號1樓"
"陳博文"|"789 太保市正義路155號7樓"
"李建成"|"80763 中壢縣西門巷594號6樓"
"朱家榮"|"607 南投縣自由巷797號1樓"
"王淑華"|"39852 關山市信義巷324號1樓"
"紀心怡"|"959 花蓮大橋頭路57號之4"
"鍾麗娟"|"444 梅山忠義街68號之3"
"鄭淑芬"|"320 北斗縣萬隆巷667號之0"
"陳淑卿"|"93600 楊梅新生巷1號之8"
"郭建興"|"49464 新營縣大勇巷51號2樓"
"洪宇軒"|"610 橫山北投街2段10號之6"
"莊心怡"|"980 苗栗福安巷5號0樓"
"陳鈺婷"|"878 太平光明巷58號之1"
"朱建志"|"17355 花蓮建國路85號1樓"
"王國華"|"69802 光復和街巷413號5樓"
"吳麗華"|"52844 桃園市新埔巷42號1樓"
"廖心怡"|"563 牡丹平和巷8段92號之3"
"盧淑惠"|"56491 汐止市信義街345號之4"
"丁美鳳"|"21422 汐止縣大安路1號之8"
"陳怡萱"|"79907 馬公縣淡水街81號2樓"
"李志明"|"145 連江市永和路31號8樓"
"孫宗翰"|"48073 南投自強街18號之1"
"葉美慧"|"20365 太保動物園街3號之7"
"朱志賢"|"554 台南縣永寧巷210號之1"
"張國華"|"63822 關山民治路55號之9"
"戴淑芳"|"98919 牡丹市新生街8段38號5樓"
"楊秀珠"|"767 北斗建國街7號5樓"
"郭正雄"|"30852 卑南勝利巷89號之9"
"林玉美"|"38664 台北信義路2號4樓"
"吳秀娟"|"812 八德博愛街6號之2"
"黃俊豪"|"798 豐原劍潭巷50號之6"
"葉志忠"|"604 彰化縣民有街7號之1"
"陳玉梅"|"41075 太平縣松山街1段41號之2"
"朱志銘"|"219 楊梅縣劍潭路149號0樓"
"陳哲維"|"541 板橋市頂福州路797號之2"
"黃淑華"|"84499 新營市動物園巷5號之8"
"杜志偉"|"769 永康平和巷511號1樓"
"翁惠美"|"462 連江關渡街53號4樓"
"馬佳穎"|"39212 高雄市士林巷5號之2"
"楊淑玲"|"33118 太保東興巷499號3樓"
"邱明德"|"41626 太保市象山街4號7樓"
"邱雅雯"|"589 古坑福安巷4段447號之4"
"許俊宏"|"863 員林市東興路549號7樓"
"朱文華"|"239 蘆竹市淡水巷6號3樓"
"陳國榮"|"51239 苗栗市育英巷2號之6"
"蔡冠廷"|"33682 梅山西門街3號之5"
"李麗華"|"506 豐原市東興街7號之4"
"徐文正"|"11356 花蓮永寧巷3號5樓"
"羅冠廷"|"469 台北縣長春街20號之5"
"王國榮"|"824 楊梅明德街7號之9"
"謝玉梅"|"60319 苗栗市北投路9號之1"
"張明德"|"914 三重動物園巷6號之5"
"蔡志賢"|"26140 臺東民權街36號之5"
"朱柏宏"|"252 太平市永和巷9段39號9樓"
"陳冠霖"|"563 臺中市大勇巷8段1號之7"
"林玉梅"|"83192 白沙市四維街5號之6"
"葉寶珠"|"44818 台東市劍潭路6號7樓"
"王秀鳳"|"852 台北關渡路9號5樓"
"黃建成"|"431 汐止光復巷4段1號0樓"
"吳哲維"|"364 屏東龍山寺路2號之1"
"鄒玉英"|"759 臺中縣華興路6號之5"
"王志宏"|"89567 花蓮市松山路53號7樓"
"嚴明德"|"972 光復文山巷5號0樓"
"朱正雄"|"867 楊梅大智街198號3樓"
"鄧俊豪"|"23899 八德市關渡路83號之0"
"王秀枝"|"649 關山天母街420號之4"
"王博文"|"42710 關山縣自強路70號之3"
"梁碧雲"|"44743 台東新北投路2號0樓"
"鍾文彬"|"913 台中縣莒光街2號4樓"
"楊素琴"|"962 北斗市新埔巷78號之1"
"陳冠霖"|"94901 北港縣中和路7號之1"
"顏雅婷"|"731 楊梅大智路4段8號4樓"
"莊家豪"|"62741 斗六新埔街71號5樓"
"朱美珠"|"589 中和市府中巷961號之0"
"吳宇軒"|"71343 樹林德巷831號之2"
"龔怡君"|"870 牡丹縣自由街5號之4"
"林世昌"|"17737 卑南大橋頭街6段84號之3"
"蘇俊明"|"69248 牡丹明德街5段69號5樓"
"吳秀蓮"|"34845 彰化大仁巷2段664號5樓"
"陳麗珍"|"754 臺中公園路8段54號1樓"
"張淑卿"|"47133 板橋興路7段54號之2"
"陳美珠"|"79273 台中縣南街6號2樓"
"鄭秀珍"|"269 金門新生巷3段22號8樓"
"朱雅雯"|"78347 關山福安街1號之1"
"郭玉珍"|"43359 桃園自強街323號之7"
"王美麗"|"546 牡丹市小碧潭巷33號之4"
"高春美"|"36840 古坑西門巷471號8樓"
"黃美珍"|"25922 竹田市天母路5號之3"
"林文章"|"669 基隆新埔路1段14號1樓"
"許春美"|"290 雲林象山巷3號6樓"
"陳冠宇"|"636 鳳山和平路935號3樓"
"黃文忠"|"53719 嘉義縣民族巷7段635號1樓"
"郭玉蘭"|"40678 竹北自強街45號5樓"
"朱麗珠"|"61741 阿里山中央路78號之6"
"施柏睿"|"745 蘆洲福德路9號3樓"
"鍾鈺婷"|"96026 台中光復路7號之1"
"邱建宏"|"898 大里縣水源路4號7樓"
"巫美華"|"95302 豐原光明巷199號之0"
"許冠宏"|"873 台東松山街820號之5"
"蔡柏翰"|"32279 褒忠雙連街304號8樓"
"謝雅婷"|"964 太保縣永安街68號之0"
"郭怡君"|"72140 台東縣石牌路74號之6"
"藍俊傑"|"460 桃園市西門街695號5樓"
"李仁傑"|"36632 金門縣關渡巷3號之0"
"江秀琴"|"94237 台東新店路2號之3"
"邱美玉"|"75111 台東五福巷1號之3"
"蘇美玲"|"955 臺中縣東湖巷635號之0"
"張秀琴"|"74046 臺東新生路23號之6"
"楊雅萍"|"43711 北斗民享路77號0樓"
"賴凱翔"|"912 草屯縣中興路12號之3"
"劉家宏"|"163 光復中央街84號之8"
"劉榮華"|"467 臺中永安路928號之1"
"林冠廷"|"58448 桃園市公園路8號0樓"
"李佳玲"|"970 關山市頂福州路168號1樓"
"魏秀玲"|"77605 中壢和平街709號之9"
"陳素琴"|"694 竹北新生路196號之0"
"蕭淑卿"|"411 台北成功路5號之5"
"林俊賢"|"943 澎湖士林巷7號2樓"
"潘秀雲"|"84014 新營文昌路3號之3"
"陳俊雄"|"897 南投文化巷94號0樓"
"曾思妤"|"163 新營廣慈巷12號之0"
"李秀娟"|"81615 永康市仁愛街274號4樓"
"李詩涵"|"65633 草屯縣忠義街338號之1"
"李俊宏"|"867 馬公縣民族路878號5樓"
"陳麗華"|"85507 關山縣信義街26號之5"
"劉家豪"|"115 阿里山平和街805號之8"
"陳明哲"|"934 桃園縣忠義路169號之7"
"鄭怡君"|"64051 桃園縣福安巷4段750號1樓"
"林秋月"|"35321 花蓮永和路6號9樓"
"林玉英"|"98779 褒忠市中興街551號之7"
"江惠玲"|"120 竹田縣民權巷93號9樓"
"陳欣妤"|"728 橫山景美街6號2樓"
"陳志明"|"65369 桃園新店巷4號之9"
"李俊男"|"985 花蓮北投路7號9樓"
"蘇進財"|"191 台中市中山路5段69號之4"
"蕭武雄"|"247 新營中正路5段460號之3"
"張嘉宏"|"194 臺東市莒光路7段2號9樓"
"廖淑惠"|"32478 臺東縣五福街3段376號7樓"
"李淑芬"|"50825 員林市仁愛路3號1樓"
"林俊良"|"74367 中壢平和路69號6樓"
"陳志豪"|"10650 員林市學府巷2號9樓"
"李麗華"|"875 新北市大安巷124號9樓"
"楊麗玉"|"537 桃園縣大仁路9段370號2樓"
"李俊賢"|"39373 草屯市西門巷9號之3"
"林淑娟"|"39886 阿里山市東湖街637號之9"
"王威廷"|"66179 光復縣大坪街9段484號之2"
"吳俊銘"|"647 南投學府路627號之6"
"曾月英"|"647 平鎮縣新生巷159號之2"
"丁冠霖"|"15067 台北市東湖街6號1樓"
"丁志雄"|"30639 蘆竹中山巷599號7樓"
"魏志明"|"242 新竹奇岩街67號6樓"
"陳淑惠"|"754 竹北市大橋頭路7號之7"
"江怡婷"|"626 古坑大坪街4號0樓"
"李俊賢"|"675 台北天母街98號之9"
"周子宸"|"38998 竹田市劍潭巷4號3樓"
"劉志明"|"13765 澎湖民族路3號之5"
"徐子宸"|"64930 馬公縣萬隆街599號3樓"
"羅素琴"|"787 金門文山巷6段83號7樓"
"王俊傑"|"137 朴子市水源巷686號之6"
"陳月英"|"864 永和縣民富街5號3樓"
"余麗珠"|"184 北港永和街6號6樓"
"吳淑芳"|"84806 南投縣新北投路7段35號5樓"
"李志豪"|"934 臺中市永安路21號1樓"
"李俊雄"|"70490 鳳山縣正義街700號2樓"
"蔡明德"|"19509 南投福安路8段185號之2"
"林欣怡"|"693 彰化市民治路44號0樓"
"邱宜蓁"|"156 屏東正義街848號8樓"
"許秀鳳"|"78376 蘆洲劍南巷2段43號9樓"
"施柏諺"|"55345 竹田民治路21號5樓"
"蕭宥廷"|"13536 板橋縣文化路12號之7"
"張博文"|"933 豐原市育英路19號之4"
"張淑惠"|"581 太保中山街4號之8"
"劉惠玲"|"746 大里市西門路1號之0"
"李信宏"|"886 嘉義奇岩街380號4樓"
"洪素琴"|"67445 嘉義市育英巷74號之2"
"陳麗珠"|"94366 太保市紅樹林街3號6樓"
"郭素貞"|"47436 頭份忠孝路2段97號之0"
"林美珍"|"36942 北竿市和街巷9段871號5樓"
"林麗美"|"655 台北縣國凱八德巷32號之9"
"廖碧珠"|"86826 阿里山永寧街250號之8"
"何志鴻"|"72767 宜蘭士林路1號之3"
"朱俊傑"|"53247 褒忠縣文昌巷462號3樓"
"孫宗翰"|"670 板橋市民權街1號之3"
"李冠宇"|"27671 北斗縣新生巷445號3樓"
"呂淑貞"|"395 卑南縣蘆洲巷315號之2"
"簡宜庭"|"84553 大里縣國凱八德巷3號8樓"
"鄭俊良"|"713 古坑民享巷7號4樓"
"劉淑貞"|"52372 關山中央路993號之1"
"林淑芬"|"713 八德自由街764號2樓"
"蔡家銘"|"425 太保迴龍路8號之4"
"林俊宏"|"696 新竹市天母街6段7號0樓"
"孫冠廷"|"10584 桃園大仁街8號3樓"
"黃恩碩"|"101 太保縣福安巷42號8樓"
"李冠宇"|"773 蘆竹新北投街4號4樓"
"戴慧玲"|"22969 臺東關渡路452號之5"
"陳子翔"|"68780 板橋光明路54號之5"
"李惠美"|"33612 高雄縣南路9號7樓"
"劉家豪"|"420 臺東水源巷632號之8"
"鄧美華"|"927 白沙長安路282號3樓"
"呂秋香"|"98013 竹北市成功路56號之9"
"徐秀英"|"39013 太保五福巷6號5樓"
"楊明宏"|"57090 鳳山市民有街5號之6"
"蕭淑芬"|"709 永和市延平巷814號之9"
"李冠廷"|"22808 蘆竹新北投街98號之8"
"田家豪"|"310 新北市和平巷6號之2"
"戴秀霞"|"60841 樹林正義巷16號之8"
"邱秀雲"|"21584 關山市光明街90號7樓"
"林淑玲"|"78966 台南市雙連街4段79號之5"
"潘志偉"|"529 樹林市龍山寺巷448號之9"
"廖美珍"|"87531 汐止縣民享街1段379號2樓"
"曾佳蓉"|"58754 屏東中山街7號之4"
"蔡秀華"|"94279 中壢市東興街576號之7"
"王寶珠"|"40748 關山關渡路62號0樓"
"李博文"|"80596 蘆洲自由路8號之9"
"蔡文華"|"688 台中中央路9段599號之1"
"程玉美"|"62172 竹北府中巷8號之2"
"沈文賢"|"470 永和市石牌路443號1樓"
"潘世明"|"182 蘆竹太平街5段277號之7"
"呂志明"|"809 三重市昆陽街9段718號5樓"
"劉美雲"|"72077 馬公市文山路6號2樓"
"林秀珠"|"136 樹林縣關渡路6號之4"
"彭素珠"|"702 三重縣信義巷96號3樓"
"張建華"|"61262 新營市自立巷3段79號之5"
"李哲瑋"|"31473 高雄中正路734號之8"
"郭宇恩"|"24939 鳳山文化街4段634號5樓"
"林秀娟"|"12996 新營廣慈街596號4樓"
"莊志明"|"473 中壢莒光巷57號1樓"
"林美華"|"64140 雲林龍山寺路628號之3"
"顏志明"|"21414 北港和街街385號之7"
"廖惠美"|"93064 頭份大勇街2段845號8樓"
"陳志偉"|"14108 平鎮縣成功路7號之1"
"黃素琴"|"63932 大里建國巷9號之0"
"高武雄"|"30533 宜蘭明德路15號之6"
"李國榮"|"932 北港大橋頭街6號3樓"
"詹秀霞"|"70547 高雄市紅樹林街8號之3"
"張美娟"|"90656 台南縣德巷925號7樓"
"黃建宏"|"40080 新竹市大勇巷977號8樓"
"李志成"|"129 臺東長春街80號之0"
"范姜玉珍"|"19587 中和縣福安街59號3樓"
"潘志銘"|"751 宜蘭縣士林路726號之6"
"楊美玉"|"744 鳳山府中路22號之6"
"張怡君"|"41752 雲林民權路27號之3"
"余建華"|"83938 中壢南巷4號之9"
"李國雄"|"391 關山府中巷52號2樓"
"劉淑敏"|"12540 北斗市新埔街4段46號之9"
"范明哲"|"955 太保信義路398號之3"
"劉淑珍"|"63131 楊梅林森巷41號之9"
"黃嘉宏"|"185 苗栗德巷2段424號8樓"
"劉美珠"|"455 台中市育英街390號9樓"
"高素珍"|"98182 雲林大安巷61號4樓"
"林嘉宏"|"65697 臺東民富街4號2樓"
"徐秀玲"|"706 永和中山街487號之0"
"葉靜怡"|"424 樹林縣大智巷1段1號之3"
"李國雄"|"973 新竹市大同巷32號6樓"
"林麗娟"|"521 彰化南巷57號之3"
"曾承恩"|"903 桃園市太平巷4段522號6樓"
"吳雅萍"|"89293 鳳山德巷501號之3"
"曾碧霞"|"64857 南投正義巷73號7樓"
"鮑明德"|"118 白沙縣和平路35號7樓"
"石秀鳳"|"190 八德縣新埔街4段76號0樓"
"朱志宏"|"68848 基隆劍南路3段777號之8"
"廖哲瑋"|"48872 宜蘭國凱八德巷432號之0"
"鍾美英"|"94404 基隆市新北投巷831號之9"
"李威廷"|"45683 橫山五福巷778號9樓"
"許志豪"|"26589 豐原市古亭巷91號之0"
"許志賢"|"55346 雲林府中路8段8號9樓"
"李勝雄"|"845 新營光復路284號之9"
"林郁婷"|"26591 臺中市成功路8段2號之2"
"翁美珍"|"47742 阿里山縣府中街165號4樓"
"張柏宇"|"177 頭份縣萬隆路737號2樓"
"黃淑珍"|"854 白沙淡水巷2號之7"
"邱淑娟"|"62019 新竹東湖巷19號之7"
"陳家豪"|"906 大里縣興街225號之9"
"李子宸"|"44993 北斗縣劍南巷47號4樓"
"汪明輝"|"75976 桃園市頂福州路6段17號之1"
"林秀雲"|"631 汐止莒光街74號2樓"
"陳淑慧"|"581 新北新生路1段81號4樓"
"謝志宏"|"616 頭份市頂福州路468號之7"
"陳雅婷"|"23908 鳳山縣奇岩街3號5樓"
"魏淑華"|"98670 員林縣建國街4段48號9樓"
"康秀英"|"87126 太平縣南巷75號之6"
"陳俊雄"|"303 苗栗昆陽巷6號3樓"
"陳美珠"|"561 南投市中山路8號8樓"
"李子翔"|"82846 臺中縣石牌路182號4樓"
"黃俊佑"|"25895 楊梅縣民享街308號1樓"
"丘玉梅"|"40782 新竹縣文山路42號之6"
"陳秀英"|"81282 蘆洲市中山街34號之6"
"周美英"|"898 中和民族街3段89號0樓"
"余雅慧"|"307 牡丹土城巷624號3樓"
"王家豪"|"940 永康市龍山寺街8段274號之5"
"饒月娥"|"92683 三重市光明巷374號1樓"
"王秀玉"|"575 中壢縣光明路1段7號之7"
"劉美惠"|"93314 中和市象山巷848號之3"
"李子豪"|"69099 白沙象山街5段97號4樓"
"李冠霖"|"289 新營石牌街6號之5"
"葉文龍"|"410 台中市大智路8段1號之6"
"姚宗翰"|"80561 新北民權路400號6樓"
"阮宗霖"|"20431 台東縣頂福州路998號4樓"
"陳文忠"|"268 古坑市自強巷305號之9"
"陳志偉"|"952 關山縣光華路1號0樓"
"黃淑惠"|"59804 平鎮建國巷5段664號1樓"
"江承恩"|"42435 斗六芝山街540號8樓"
"彭冠宇"|"34222 草屯民有路4號之4"
"李子豪"|"80042 板橋公園路3號6樓"
"康國雄"|"81379 基隆成功巷41號6樓"
"陳玉蘭"|"37207 草屯公園路225號之1"
"楊俊傑"|"800 卑南昆陽巷19號7樓"
"王志成"|"934 板橋縣光復路38號8樓"
"李永昌"|"89478 宜蘭自立路284號之3"
"許俊宏"|"91247 大里大安路45號4樓"
"李雅惠"|"72494 古坑松山巷221號之5"
"黃宗憲"|"357 台北雙連路289號之4"
"黃金鳳"|"109 新營市景美街797號8樓"
"李宇翔"|"88265 馬公芝山路6號0樓"
"戴明珠"|"180 豐原育英路1號5樓"
"吳美華"|"58791 永康市光明巷53號0樓"
"郭子豪"|"185 嘉義興街94號之4"
"高承恩"|"828 太平市新生路3號之2"
"林志豪"|"791 白沙華興路81號之9"
"許冠霖"|"737 平鎮市劍南路3號2樓"
"黃進財"|"70633 台北市勝利街10號之1"
"張淑娟"|"955 彰化新莊街3號9樓"
"杜家豪"|"597 屏東中和路2號1樓"
"李宗翰"|"77226 中和長安路627號之1"
"黃淑貞"|"60258 蘆洲市文昌街9號之2"
"莊宇軒"|"946 白沙市育英路156號6樓"
