"丁志銘","78228 鳳山雙連路3段88號0樓" 
"林冠廷","806 嘉義民權街4號之3"
"曾家銘","74486 橫山成功巷878號之4"
"許志宏","55405 新竹市民生巷8段8號6樓"
"張淑敏","53337 北竿永寧路944號5樓"
"王宸睿","20771 樹林市福德巷127號之1"
"吳俊賢","26818 鳳山縣大同巷51號之6"
"程明輝","94689 八德興巷8段4號8樓"
"廖淑慧","385 頭份縣芝山街2號0樓"
"許素珠","208 大里興巷10號之1"
"許志遠","35050 新營松山路95號之3"
"鄧宥蓁","803 太保市雙連街2段7號1樓"
"曾承翰","97793 楊梅縣象山巷9段58號之7"
"吳志豪","32025 員林古亭路649號之0"
"何麗珍","568 中和育英街225號1樓"
"林文祥","67711 白沙中山巷992號2樓"
"劉志賢","363 汐止民富巷5段2號之4"
"徐麗華","55010 蘆洲中山街1段66號之6"
"劉正義","684 草屯長安街619號2樓"
"洪淑慧","812 鳳山縣天母路7號之6"
"呂麗娟","41173 連江縣淡水街55號1樓"
"吳品睿","654 阿里山縣龍山寺巷551號之8"
"曾月英","70947 光復市自由巷134號之6"
"陳美華","46902 斗六市東興巷66號之5"
"鄭冠霖","291 彰化府中街8號之6"
"陳志雄","856 新營永和路230號之2"
"林雅萍","61873 員林雙連巷39號之2"
"郭素珍","805 基隆縣四維巷82號9樓"
"陳雅玲","253 金門四維路38號8樓"
"王淑慧","26150 中壢市新北投路123號之4"
"莊明宏","51901 臺東市忠義巷8段779號之8"
"林文龍","89541 宜蘭民生路8段2號8樓"
"曾玉琴","26292 鳳山光復街66號之9"
"陳志強","844 北竿市長安路78號6樓"
"楊柏霖","31208 牡丹新莊巷765號之2"
"羅淑貞","601 三重縣民享路38號5樓"
"林志偉","325 永康大同街463號1樓"
"陳政宏","497 澎湖市民享巷99號之1"
"古俊良","929 新竹大橋頭路735號2樓"
"彭志遠","47018 三重縣廣慈路2號之9"
"阮秀英","608 南投府中路4段574號之6"
"游金蓮","569 新營市劍南路152號之0"
"曾玉英","96616 台北縣中和路495號7樓"
"張文賢","958 花蓮小碧潭路27號之3"
"薛玉玲","63526 臺東縣大勇街5號2樓"
"蔡正雄","895 苗栗市和街街676號之8"
"吳金龍","771 豐原市興巷7段28號3樓"
"郭俊良","96628 花蓮長春街82號0樓"
"林淑敏","681 朴子華興巷79號6樓"
"林冠宇","40107 竹北民治路68號2樓"
"楊麗珠","76923 楊梅市成功路5號之4"
"姚玉琴","29214 橫山石牌街9號之9"
"曾碧珠","318 馬公縣府中巷149號0樓"
"楊義雄","863 苗栗蘆洲街4段531號8樓"
"陳建華","56907 馬公縣福德路473號之7"
"葉淑惠","46523 新營市光復巷11號之1"
"劉秀玉","96658 竹北國凱八德巷1號9樓"
"陳秀珠","60697 樹林文昌街6號之8"
"李俊宏","35877 太平國凱八德街8段935號之8"
"黃聰明","432 永康新店巷967號2樓"
"陳美玲","97914 員林縣松山路1號4樓"
"洪玉玲","91388 金門小碧潭路768號0樓"
"曾秀枝","23791 馬公市永寧巷7段4號0樓"
"范志成","609 太保縣新北投街9號之4"
"薛承恩","53229 草屯縣公園街41號3樓"
"陳宗翰","59781 彰化和平路49號之2"
"陳進發","72679 臺東縣龍山寺路7段2號8樓"
"張雅婷","90331 台南南路2號之3"
"史俊明","529 樹林縣象山巷6號6樓"
"陳柏諺","694 北斗北投巷6號之8"
"朱淑芬","47884 新營縣芝山路57號之8"
"黃宇軒","711 褒忠縣育英路370號0樓"
"曾秀琴","993 基隆永和路244號1樓"
"李秋香","191 桃園縣永和巷8段736號8樓"
"孟秀英","142 新竹縣小碧潭路91號之3"
"謝淑芬","144 平鎮市新生街52號6樓"
"陳雅雯","32431 台南縣關渡街612號4樓"
"連玉英","54244 新竹平和路114號之0"
"殷世明","871 三重自立巷165號9樓"
"游正雄","206 南投和街街9號4樓"
"陳美英","97330 澎湖昆陽路73號5樓"
"陳碧霞","65207 關山關渡路750號之7"
"曾秀鳳","376 北港劍南巷7號4樓"
"蘇玉珍","29120 臺東芝山街29號之8"
"蕭世昌","734 竹北市東湖路1段615號之2"
"李寶珠","62105 梅山國凱八德巷667號0樓"
"朱家豪","221 太平大橋頭街124號之1"
"黃靜怡","95031 三重市大同路5號之2"
"林志忠","50796 板橋正義巷39號之4"
"廖志明","549 八德仁愛路1段92號之1"
"李淑敏","652 台南市新興巷3號之4"
"賴美玲","94809 斗六象山巷369號1樓"
"曾秀鳳","46052 牡丹土城路24號4樓"
"羅美珍","82488 嘉義林森巷1號6樓"
"沈秀美","392 澎湖縣象山街50號2樓"
"林素珠","552 關山市華興巷6段83號9樓"
"王淑玲","57701 牡丹太平街762號之0"
"許美珍","307 雲林縣忠義路141號7樓"
"趙子豪","94341 台南縣中山街226號9樓"
"李美珠","52786 雲林市博愛路976號1樓"
"黃慧玲","829 苗栗縣五福街4段966號3樓"
"黃素卿","42598 梅山成功街46號之2"
"曾美玲","432 台北興路5段67號0樓"
"陳秀玉","868 新竹芝山街7號0樓"
"楊美玲","23757 北港土城巷40號之7"
"蔡進興","58851 連江德巷3號8樓"
"楊志遠","925 豐原莒光路433號0樓"
"黃美玉","869 新竹市奇岩路93號之3"
"莊建成","81058 橫山明德巷6號之8"
"林秀英","55084 太保市光復巷96號5樓"
"劉國華","665 平鎮市龍山寺街1號6樓"
"王欣怡","448 樹林縣新興路296號1樓"
"曾美麗","96310 花蓮縣光華街383號7樓"
"鄭美蘭","468 永和淡水街7段74號5樓"
"郭金龍","56577 臺東市仁愛巷4號之2"
"林宇恩","990 平鎮市中央巷11號之3"
"鍾郁婷","36098 澎湖民富街62號之4"
"黃秀珠","127 斗六象山路20號4樓"
"陳明哲","431 永康縣天母巷7號之0"
"丁志誠","817 阿里山市文化巷38號3樓"
"陳明哲","67486 光復市長春巷67號7樓"
"林明宏","347 朴子蘆洲街1段395號之2"
"曾金蓮","28137 褒忠長安巷48號之7"
"周文雄","17784 新竹市小碧潭路701號4樓"
"施美玲","75002 竹北縣新生巷5號之9"
"賴佩珊","76700 雲林縣民有巷43號之2"
"楊進財","13929 花蓮市中央路2段57號之3"
"陳淑娟","585 台東景美路516號0樓"
"黎志明","875 三重市民權街3號0樓"
"姜俊明","633 宜蘭縣士林街2號0樓"
"余金蓮","97881 古坑市長安街273號5樓"
"謝麗玉","770 楊梅縣劍南路5號之7"
"曾雅雯","92543 連江縣蘆洲巷2段2號6樓"
"簡文彬","46397 鳳山市文昌路88號5樓"
"彭雅玲","65571 台中縣文化路73號之7"
"莊芯語","38306 新北縣莒光街301號之5"
"吳志強","779 白沙民享街12號之9"
"曾欣怡","28947 朴子明德街624號之8"
"王建華","99583 澎湖劍潭巷6號3樓"
"陳惠美","484 澎湖縣永安街33號9樓"
"戴玉琴","826 竹北縣民生街302號之3"
"林文華","246 連江新興路970號8樓"
"曾麗玲","157 桃園縣長安巷844號8樓"
"林文祥","28824 新竹劍南路4號之4"
"粘志賢","35618 蘆洲縣自立路7號之2"
"謝國榮","77883 豐原市永寧巷233號7樓"
"許志豪","32082 大里松山路1段48號之5"
"李俊賢","109 中和縣大智街592號之1"
"莊碧霞","75299 梅山市大橋頭路3號之0"
"安志忠","265 卑南市延平路3號0樓"
"梁淑惠","763 北竿縣育英巷5號5樓"
"黃佳玲","46565 基隆市華興路2號之9"
"朱信宏","223 梅山市永寧巷8號4樓"
"陳月娥","78984 永康自強路59號之8"
"吳怡君","722 新北興街654號之8"
"林秀琴","46850 太平市大橋頭街78號8樓"
"朱麗香","14672 太平縣大智巷131號之6"
"黃勝雄","893 員林忠義街86號4樓"
"李秋月","93717 苗栗縣民有路548號之3"
"林麗娟","763 北港縣民富街978號4樓"
"李淑芬","631 新營縣中山巷522號7樓"
"林文章","493 樹林大安街692號4樓"
"朱冠宇","382 光復縣文山路244號9樓"
"陳柏睿","586 豐原育英街226號之5"
"蕭宇翔","680 金門關渡巷30號8樓"
"徐玉鳳","200 台北縣大安路65號之8"
"莊秀霞","77514 連江縣新生巷583號7樓"
"林淑貞","128 南投縣劍南街93號2樓"
"余思妤","10268 牡丹土城路58號8樓"
"彭佳玲","10184 南投中央街5段4號之1"
"鄭雅婷","98842 台中土城街77號8樓"
"張志誠","393 頭份北投路826號1樓"
"朱宜蓁","42108 花蓮民享街722號8樓"
"鄭聰明","963 屏東縣成功街769號之2"
"邱怡君","79592 花蓮自由巷9號1樓"
"張俊傑","846 豐原縣信義街100號4樓"
"曾建成","25734 台南中華街89號之1"
"陳秀琴","700 苗栗縣忠孝路5號2樓"
"張秀英","36597 朴子中正街9號6樓"
"劉俊佑","72995 關山博愛巷7號7樓"
"鄭玉梅","290 太保劍潭街8段3號7樓"
"陳明珠","300 關山光復路8號9樓"
"朱志豪","31243 北竿市復興街31號之6"
"陳玉琴","289 三重大橋頭巷24號之1"
"邱鈺婷","59576 桃園民族街38號之9"
"何建中","294 雲林建國街492號4樓"
"陳冠廷","543 宜蘭市民有巷4段7號之1"
"覃秀雲","503 太平市古亭街2號之2"
"駱金龍","332 新竹府中街4號之8"
"陳素琴","32231 阿里山土城街8段372號之0"
"王怡君","896 竹田縣華興路474號9樓"
"王怡君","238 新營縣德路22號之2"
"朱怡君","52694 北斗士林路36號3樓"
"張秋香","778 北竿市大同路1號之7"
"葉柏宇","667 金門東興路75號之6"
"吳正雄","564 新竹縣西門街5段19號7樓"
"曾心怡","25626 橫山新生路237號之1"
"陳品妤","125 古坑縣大橋頭路509號4樓"
"周怡婷","391 苗栗龍山寺巷29號之4"
"楊美雲","815 牡丹紅樹林路4號9樓"
"丁家豪","77642 蘆洲市德巷638號2樓"
"張麗雲","57301 南投華興路259號之1"
"朱政宏","871 員林南巷92號之7"
"張文傑","988 竹北長安街22號6樓"
"高榮華","766 鳳山文山街533號9樓"
"黃家瑋","32708 澎湖縣正義路712號2樓"
"余國華","876 金門新埔巷40號之2"
"劉宗憲","196 宜蘭大智巷3號2樓"
"古國榮","50385 花蓮廣慈路536號之2"
"邱秀霞","602 基隆縣北投街846號2樓"
"黃志鴻","879 北港德路616號8樓"
"蔡志賢","416 頭份市劍潭街23號1樓"
"朱永昌","469 關山民權巷60號0樓"
"林文彬","394 花蓮光華街4段5號之0"
"涂文傑","463 北港光明街3段752號0樓"
"吳素貞","170 南投縣萬隆巷870號7樓"
"徐美惠","85872 竹田福德街472號之5"
"張秀美","55244 卑南動物園街36號之4"
"許文章","23270 頭份市文化路822號之0"
"楊雅萍","15097 蘆洲縣中和巷938號之4"
"黃文傑","896 竹北市自強路6段47號之8"
"楊宇翔","11343 桃園中和巷952號5樓"
"朱淑惠","733 永和縣小碧潭街2號0樓"
"吳美玲","79522 馬公縣自強街277號1樓"
"陳榮華","34824 新營東湖路620號之2"
"汪秀雲","815 板橋新店路474號6樓"
"朱建興","231 蘆洲市育英路9段688號之2"
"張美玉","65934 宜蘭市育英巷96號之2"
"賴志豪","333 臺中府中路5段8號2樓"
"蘇柏翰","463 中壢福德巷46號4樓"
"唐志偉","60210 褒忠民有街7號之1"
"劉雅雯","33756 桃園土城路9號8樓"
"朱淑芬","200 八德市育英街78號之4"
"陳淑惠","552 苗栗市蘆洲路56號1樓"
"周家宏","67749 台北縣中正街25號之4"
"黃碧雲","254 橫山新北投路4段60號6樓"
"葉子豪","82787 雲林萬隆巷992號之6"
"邱鈺婷","330 馬公縣中興巷876號3樓"
"邵麗珠","94759 竹田育英街63號之6"
"王素蘭","759 台南昆陽街9號2樓"
"蕭文賢","819 朴子新埔路32號之8"
"吳美鳳","82174 北竿關渡巷58號之4"
"朱淑芬","901 花蓮天母路238號之3"
"邱素卿","46216 太平市關渡街382號4樓"
"楊淑娟","80529 阿里山縣自由巷22號6樓"
"陳金龍","995 台東新生巷2號之6"
"吳淑敏","83381 橫山奇岩路2段851號之6"
"顏國雄","88522 南投市新莊巷34號之8"
"翁淑貞","206 蘆洲民生巷5段71號7樓"
"郭建興","394 永和縣永寧巷587號7樓"
"程美玲","57165 阿里山縣關渡街62號4樓"
"胡家豪","990 嘉義建國街502號7樓"
"朱素珍","19281 北港市林森巷7段11號之1"
"林志明","30194 臺東縣勝利街9號之7"
"許美惠","410 樹林市長春路41號之7"
"陳美惠","337 竹北市劍潭巷13號2樓"
"廖志明","52180 桃園雙連街3號之5"
"邱國華","827 桃園市關渡街74號8樓"
"杜淑芬","140 白沙光明街495號2樓"
"楊美玲","190 台南縣長安路372號之0"
"呂怡婷","77494 雲林民權街5號之7"
"王志強","183 牡丹縣光華街147號6樓"
"朱美麗","460 橫山市公園街9段2號之2"
"許明珠","49218 永康大橋頭街4段301號5樓"
"朱明德","24873 永康紅樹林巷75號之5"
"古宇軒","954 新營縣新興街3段8號之4"
"陳建成","112 楊梅德巷8號之2"
"吳淑芳","37593 桃園市關渡巷60號之6"
"陳進興","36342 關山縣關渡街9號之3"
"章淑美","988 斗六縣民族街1段919號0樓"
"許淑芬","368 雲林民族路611號之3"
"陳勝雄","479 北斗縣自由路627號6樓"
"朱麗美","17980 新營松山街631號之8"
"江美英","237 嘉義市永寧巷732號之7"
"邱明哲","702 金門新生巷6號0樓"
"王家豪","70675 台東縣福安街3段451號之5"
"劉志明","20079 褒忠市新莊路50號8樓"
"董美華","572 桃園頂福州街42號之9"
"許玉美","58558 新北劍潭路552號6樓"
"張勝雄","28160 鳳山關渡街44號之5"
"廖建良","44211 新營中央路1段233號之6"
"莊美慧","75390 頭份大智巷809號之3"
"李仁傑","16432 桃園縣劍潭巷91號5樓"
"張淑華","60544 頭份市大勇路78號7樓"
"游淑芬","204 台南市南巷624號4樓"
"張志明","451 新營昆陽街4段1號3樓"
"陳美娟","54078 太平新北投路224號之0"
"羅宇軒","72144 北港市正義街1段10號之9"
"陳麗華","121 金門興路947號之0"
"林志強","68867 連江永安街599號7樓"
"張志明","94297 台東市中央巷57號之2"
"蔡素卿","91899 頭份縣大勇巷30號3樓"
"李仁傑","70055 太平市大安街1號之2"
"賴美鳳","782 永康仁愛路1段51號0樓"
"楊美娟","430 楊梅市東湖巷61號2樓"
"林文賢","76219 大里永安巷2號之5"
"陳永昌","18281 苗栗市自由街6號4樓"
"簡國華","519 彰化忠義巷25號之5"
"林雅惠","258 澎湖縣雙連路2號之1"
"周冠宇","392 北竿三民巷13號之5"
"張秀美","81080 中壢市大同路70號之4"
"陳文龍","56304 古坑市永安街2號之7"
"李佳玲","76203 白沙縣五福路207號6樓"
"郭俊銘","19681 新竹德路14號之5"
"陳文章","11746 臺中明德街59號之1"
"郭宇翔","76599 褒忠中山路49號3樓"
"黃志遠","55021 馬公縣國凱八德街6號之9"
"胡建志","46310 桃園和街街470號3樓"
"蔡秀蘭","87470 北竿劍潭街864號1樓"
"吳雅筑","979 桃園新生街991號5樓"
"鍾美珍","561 馬公松山街9號7樓"
"陳明德","31666 梅山縣自由巷9段7號之9"
"李俊宇","41847 員林市劍潭街84號之8"
"葉麗卿","30014 宜蘭縣小碧潭街1號6樓"
"葉美玉","876 汐止縣小碧潭街812號0樓"
"高榮華","30672 白沙象山街53號之3"
"白雅婷","36427 新營育英巷2段3號之3"
"林淑華","988 褒忠博愛街32號0樓"
"陳文雄","55999 永和市大同巷8段43號3樓"
"蔡玉玲","138 平鎮民族巷571號3樓"
"彭志偉","465 八德市西門路13號之1"
"王建興","13798 南投新興路82號之7"
"李俊宇","42844 台中縣五福街9號之5"
"蘇俊宏","86688 平鎮育英路878號之1"
"陳義雄","556 光復縣大同路3號2樓"
"張欣怡","699 花蓮中華街4號9樓"
"陳志誠","92197 光復縣民族路6號3樓"
"施建宏","23256 中壢市頂福州路2段64號之9"
"林美娟","778 中壢縣永安街3號7樓"
"何淑美","210 樹林永安巷444號之4"
"李秀梅","523 宜蘭市忠義路88號1樓"
"黃俊傑","855 橫山縣新店街484號之9"
"李俊宇","73335 北竿縣忠孝街738號之2"
"莊文賢","968 阿里山縣北投路13號1樓"
"吳美華","20168 板橋市公園路574號之1"
"邱雅雯","848 連江自由路4段2號之2"
"楊麗琴","76109 阿里山縣新埔路189號之6"
"游淑芬","878 臺東市平和巷746號之2"
"黃宜蓁","402 屏東縣南街7號之9"
"張雅婷","154 北竿福安巷8號之9"
"陳文華","22789 新竹縣三民街5段526號6樓"
"陳欣怡","61054 新營市和街街7號4樓"
"李俊明","48920 台東德街8段34號之2"
"張明德","95579 屏東縣東湖巷612號3樓"
"邱宇翔","406 北竿華興路99號7樓"
"吳詩涵","474 北斗仁愛街4段78號2樓"
"黃俊廷","55932 草屯石牌巷96號之6"
"陳婉婷","47851 高雄福德路5段1號之8"
"張明輝","690 白沙平和街818號之7"
"阮文欽","62336 橫山新埔巷432號8樓"
"謝柏睿","82550 員林永安巷131號2樓"
"王家瑋","889 臺中奇岩街3號4樓"
"李俊良","164 鳳山縣福德路1段10號之2"
"曾雅雯","911 斗六市中山街711號9樓"
"王玉玲","39636 北竿縣永寧路1號之6"
"楊淑貞","256 中和光復路8段63號之6"
"林哲瑋","53980 台東市正義巷906號之9"
"黃惠美","61635 嘉義光明街7段280號0樓"
"畢雅惠","881 鳳山縣昆陽巷5號之9"
"劉家豪","164 橫山市蘆洲街96號之3"
"林俊廷","228 鳳山縣光華街1段11號6樓"
"胡碧霞","56045 苗栗市新興巷5號之0"
"李俊良","490 台南五福街915號5樓"
"梁子涵","562 雲林縣大坪路61號9樓"
"葉聰明","92585 苗栗府中路9號9樓"
"陳建良","29900 澎湖縣明德街804號之4"
"張欣怡","96217 基隆縣永和街6段20號8樓"
"鄭怡婷","95697 永康大坪路471號之1"
"何秀梅","59676 桃園正義路2號之8"
"李秀雲","32513 澎湖文山路9號3樓"
"王志成","28634 褒忠市淡水巷885號8樓"
"潘子恩","29799 南投縣中山路88號之4"
"李俊良","849 鳳山天母路48號2樓"
"楊柏宇","80568 北港光華路4號3樓"
"鐘博文","740 永康市新店路6號1樓"
"陳榮華","57942 永康民享巷4號之1"
"王俊銘","88059 豐原和街街6段37號9樓"
"周秀琴","79185 關山中山巷3段7號2樓"
"黃家豪","67248 太保石牌街731號8樓"
"游淑娟","23825 光復縣五福街7號之7"
"劉玉珍","826 苗栗市育英路650號之3"
"廖雅惠","25046 北港新莊街79號4樓"
"李俊雄","25497 光復縣大勇巷4段793號之2"
"高惠珍","78469 永和新北投街14號8樓"
"劉信宏","86159 關山民生街4段103號之3"
"陳凱翔","139 桃園縣新莊巷12號之0"
"陳淑娟","48968 蘆竹大仁街57號6樓"
"鄧宗憲","186 金門縣學府街54號之0"
"陳美鳳","279 北港縣四維路35號3樓"
"白建宏","746 蘆竹東湖巷13號之4"
"譚秀美","18446 大里頂福州路48號之4"
"陳承恩","13759 新營市民生巷5段7號之3"
"李信宏","91178 大里淡水巷627號2樓"
"薛秀鳳","379 三重民治街152號之9"
"張世昌","723 豐原市淡水路6號3樓"
"高秀美","136 關山動物園街115號之5"
"余建成","76520 鳳山中興巷5段3號8樓"
"董碧珠","596 宜蘭市民享巷97號之8"
"鍾麗卿","68182 楊梅成功路4號之9"
"陳威廷","461 白沙水源巷218號之7"
"沈秀霞","257 白沙縣新埔街65號2樓"
"蔡承恩","72672 宜蘭縣大坪街7段91號之7"
"李信宏","99772 基隆松山街764號之0"
"林秀雲","476 古坑縣明德街460號之1"
"楊春美","31276 白沙忠義巷27號5樓"
"陳惠美","809 基隆土城街553號9樓"
"楊佳玲","15370 北竿長春路57號2樓"
"黎秀玉","85412 花蓮縣西門街988號7樓"
"林柏宇","90879 金門興路770號4樓"
"張俊廷","52159 金門市延平街84號之0"
"林志豪","613 嘉義市中山街970號之5"
"李義雄","98044 高雄市中山巷69號之6"
"李冠宇","775 雲林縣自由巷3號7樓"
"林雅婷","433 連江縣明德巷404號4樓"
"黃秀霞","888 草屯縣四維街74號之4"
"紀宗翰","51124 朴子土城街336號之7"
"蔡明輝","90058 汐止縣士林路521號之9"
"李美珍","20773 牡丹市大同巷203號6樓"
"林麗娟","89999 北港縣育英路9號2樓"
"黃麗琴","856 新營市象山巷94號之6"
"黃家豪","359 板橋縣文昌街2號之8"
"林秀琴","11248 卑南忠義路830號1樓"
"李冠宏","20242 永和縣萬隆街82號之2"
"楊宜蓁","31413 三重市中正巷390號9樓"
"羅惠珍","103 永和市復興巷902號之4"
"許碧霞","159 光復公園巷293號之6"
"林志忠","57871 鳳山民權巷8段56號之8"
"宋明德","85416 臺中大智街47號4樓"
"張進財","17518 光復學府路6段5號9樓"
"鄭俊賢","945 南投市平和街2號4樓"
"楊秀琴","657 竹北市長安路7段7號之3"
"林宇翔","58801 牡丹土城街1段95號之0"
"李勝雄","928 臺東新生街3段89號7樓"
"羅文章","31565 平鎮新莊巷94號之0"
"黃金龍","168 太平忠孝街287號之2"
"呂淑貞","324 苗栗紅樹林路40號7樓"
"顏玉梅","638 雲林市新北投街6號之9"
"江俊雄","31082 竹田新生街11號之5"
"張宗霖","65941 平鎮古亭巷489號之9"
"張明珠","24124 金門昆陽街784號9樓"
"李志誠","52336 雲林太平街981號9樓"
"蔡秀英","773 中和縣文昌路558號之9"
"李哲瑋","58563 楊梅和街巷2段4號3樓"
"萬志宏","96085 頭份縣民享巷1段5號之9"
"黃承翰","57912 北竿縣文昌街7號4樓"
"李靜怡","39482 花蓮縣莒光街9號之9"
"陳博文","876 光復縣動物園巷6號3樓"
"盧麗卿","510 花蓮市興路2號1樓"
"蕭麗娟","395 竹田南巷9號之5"
"黃碧霞","156 新營文山巷540號之7"
"邱志強","462 北港忠孝街6號之3"
"鄭玉蘭","74141 古坑市福安路6段3號之1"
"李哲瑋","600 斗六市蘆洲路4號之4"
"李彥廷","125 古坑大勇路5段6號之4"
"吳勝雄","62269 苗栗府中路480號之9"
"李芯語","67721 高雄市中興路8號5樓"
"賈子翔","76523 馬公民權巷307號7樓"
"謝建銘","110 樹林市公園街9段70號7樓"
"黃美麗","70332 新竹市民生巷99號之4"
"陳榮華","28494 卑南市華興路3號0樓"
"趙建宏","16012 關山雙連路620號之5"
"孫雅玲","850 台東市自強街89號之3"
"李嘉宏","416 新營中正街806號之7"
"涂秀美","99178 屏東縣民有街619號之1"
"梁麗美","324 苗栗迴龍街7段6號6樓"
"李美鳳","18051 馬公大橋頭街45號3樓"
"劉美玉","745 澎湖新店路37號0樓"
"黃秀華","474 八德和街路821號1樓"
"呂素貞","620 桃園市景美巷4號6樓"
"謝柏宏","501 光復雙連巷3段18號之9"
"蕭彥廷","52401 楊梅中央路8號4樓"
"林宇恩","89559 古坑文化街267號6樓"
"李國華","35976 新北中山巷54號2樓"
"李靜宜","86957 頭份市東興街693號之5"
"羅淑慧","15943 關山新生街5號5樓"
"蕭建成","793 澎湖新埔街6號9樓"
"洪志成","627 台中動物園路963號4樓"
"黃俊廷","965 連江縣國凱八德路1號3樓"
"林麗卿","757 平鎮市成功街95號7樓"
"劉承翰","176 蘆洲市長春街2號之0"
"陳素珠","141 臺中市延平巷5段820號3樓"
"黃素珠","74485 豐原興巷663號之7"
"李國華","92000 高雄市中山巷18號之8"
"莊碧雲","33086 樹林長春街6號之3"
"賴建志","405 鳳山市頂福州路276號之8"
"林建宏","54673 臺中松山路16號之5"
"余淑貞","41078 桃園林森路723號之7"
"羅淑珍","285 八德縣士林路8號之9"
"黃麗娟","510 新營縣成功路18號5樓"
"張美慧","96679 宜蘭市忠孝路69號之5"
"陳志明","42739 桃園縣文山路297號5樓"
"陳武雄","943 台南林森街3號之7"
"李威廷","33276 梅山永安路52號之8"
"曾美惠","28735 豐原縣仁愛巷6號之3"
"高欣怡","506 臺東文山街657號0樓"
"郭正義","79155 屏東大智路1號之7"
"曾玉琴","62955 台東太平巷9段519號之3"
"劉志成","47811 臺中市大同街54號3樓"
"廖秀英","67154 竹北縣仁愛巷2號1樓"
"洪家宏","978 褒忠縣忠孝巷1號1樓"
"蔡玉蘭","608 鳳山新埔巷7段57號之7"
"吳玉英","53272 梅山縣劍南巷331號4樓"
"李子睿","36751 金門市復興街9號之5"
"葉玉美","827 白沙縣自立巷451號之8"
"江柏宇","690 基隆縣平和街129號5樓"
"周麗玲","862 馬公縣和街街433號2樓"
"魏碧霞","92632 大里中和巷3段105號5樓"
"蘇志雄","18063 彰化市大勇路4號2樓"
"張家銘","72120 金門淡水街8號之3"
"顏玉蘭","523 南投市新北投街1段166號之6"
"陳秀英","41509 汐止古亭巷572號之4"
"吳武雄","83445 花蓮縣西門巷1號7樓"
"李宇翔","89136 光復縣北投路5段18號之1"
"趙志賢","34732 澎湖大智街1號之7"
"林國雄","34167 宜蘭民治巷8號之9"
"李秀梅","90273 苗栗市新店路974號之1"
"陳建成","48495 三重西門路3號1樓"
"李俊佑","461 金門水源巷5段2號3樓"
"謝建成","40807 蘆竹縣三民巷1號之7"
"徐文賢","38208 臺中縣大安街3號2樓"
"顏麗琴","63158 新竹市廣慈路2段326號之0"
"章美慧","38769 白沙縣民族街8號之9"
"李宗憲","558 新北市忠義街7號之1"
"王家瑋","718 白沙延平路874號之8"
"張秀鳳","643 蘆竹和平路744號5樓"
"陳俊傑","376 北斗永安巷947號2樓"
"黃宜蓁","80863 桃園市北投路1號之6"
"戴志成","558 大里縣關渡巷73號8樓"
"李秀娟","421 南投永寧路2段79號5樓"
"郭文正","61411 梅山自立巷37號之5"
"蔡怡君","65377 鳳山市育英路510號之7"
"周美玲","852 新竹文山街7段64號之7"
"李宗翰","106 桃園縣華興路5號5樓"
"藍秀鳳","86494 嘉義文化街5段81號0樓"
"林淑美","20514 八德縣士林巷77號8樓"
"徐文欽","892 臺中石牌街801號8樓"
"徐美惠","605 蘆竹新生街5號之1"
"王美麗","58690 宜蘭永寧路55號之2"
"盧秀梅","397 金門古亭巷5段8號3樓"
"童淑芬","848 臺東縣公園巷76號之3"
"張淑貞","91703 桃園市德路4段384號8樓"
"丁冠廷","985 高雄中正路359號之0"
"李宗翰","367 中和新生巷834號8樓"
"張詩涵","709 竹田市博愛路34號之2"
"劉俊雄","143 嘉義市忠義路867號之4"
"陳國雄","626 關山縣大勇巷969號之8"
"蔡美蘭","560 新竹市蘆洲街2段40號之4"
"陳秀玲","598 北斗縣北投路2號之3"
"蔡冠宇","301 卑南德巷544號之0"
"黃秀珍","224 草屯縣成功巷4號之1"
"顏榮華","180 牡丹北投巷7號6樓"
"曹世明","68025 南投東湖巷6號之2"
"李宗翰","478 台北和平巷8號之7"
"李玉琴","24369 中和育英路16號之5"
"范志宏","147 台東林森街5號9樓"
"陳志強","79195 澎湖縣莒光巷879號7樓"
"黃雅玲","406 草屯縣公園街1號9樓"
"蕭美娟","36218 斗六縣中正街89號之4"
"王佳蓉","66505 中和長安街1段3號0樓"
"柳美玲","896 北斗縣石牌街1段7號之7"
"莊秀英","82937 光復龍山寺巷4號之8"
"鄭麗玉","718 永和成功路9段53號之5"
"李宗翰","70587 嘉義中山街197號8樓"
"劉進發","709 台北龍山寺巷4號之0"
"趙素珠","72446 梅山公園巷5段1號之0"
"蕭雨霏","76615 永和市土城巷4號9樓"
"王麗珍","29338 北港西門街645號之4"
"陳美玲","40686 太平中正路6號之7"
"李家銘","15680 連江縣文昌街4段92號之1"
"吳麗玉","74276 苗栗大橋頭街468號5樓"
"楊志忠","98905 朴子市自由路348號5樓"
"王秀英","474 雲林市小碧潭路617號之8"
"李宗霖","703 橫山府中巷2號1樓"
"許國華","841 平鎮縣景美路307號9樓"
"薛建華","75446 頭份縣新興街5號之9"
"蔡明哲","12109 中壢市正義街91號之9"
"李麗卿","961 桃園市新店路523號之9"
"洪秀珍","50496 臺中縣新生街456號5樓"
"蕭淑貞","33721 員林縣新生街3段5號之3"
"吳子涵","74277 楊梅市自強路89號之7"
"謝志成","89465 楊梅小碧潭街5號之3"
"余品妤","18375 楊梅縣龍山寺街880號3樓"
"李家宏","831 雲林民治街28號3樓"
"劉建宏","601 楊梅縣新北投巷7段2號8樓"
