"丁淑娟"	"216 太保芝山路9號之3" 
"林詩涵"	"53178 台北市自由路8段329號之3"
"張冠宇"	"74589 台中縣明德巷5號0樓"
"黃惠美"	"84754 楊梅縣南路89號9樓"
"蔡建成"	"37487 蘆竹勝利路6號1樓"
"朱宜蓁"	"79693 竹北縣自由街6號7樓"
"黃承恩"	"49568 桃園光復巷4號1樓"
"張金龍"	"41003 竹北新北投巷966號之2"
"楊建志"	"949 三重市莒光巷8段613號1樓"
"施春美"	"300 桃園新莊街89號之9"
"謝秀玉"	"47644 草屯永寧巷21號1樓"
"吳信宏"	"59642 桃園縣博愛路8號0樓"
"劉文賢"	"56807 蘆洲光明街77號之8"
"吳美惠"	"220 員林自由街8號之4"
"陳政宏"	"516 關山大橋頭街958號之5"
"朱惠玲"	"975 大里市延平巷4號4樓"
"王金龍"	"78285 光復新店巷8號之7"
"李秀英"	"25826 北斗頂福州街757號之9"
"吳明德"	"237 太平萬隆街87號3樓"
"胡文正"	"81739 蘆洲芝山巷7號之2"
"林柏宏"	"120 桃園中山路3段61號3樓"
"戴鈺婷"	"928 白沙市中華巷93號5樓"
"吳宸睿"	"503 連江雙連路6號之3"
"吳武雄"	"95558 頭份五福路5號2樓"
"侯俊男"	"790 斗六古亭街3段8號之8"
"朱永昌"	"543 板橋大智街5號之8"
"吳秀英"	"979 台南市新興路730號7樓"
"陳志賢"	"39798 台北市光復路6號6樓"
"賈承翰"	"99485 臺中市士林路102號之3"
"彭寶珠"	"255 褒忠縣勝利街76號6樓"
"周秀美"	"95215 光復縣永安街1號之4"
"吳惠珍"	"27907 蘆竹中華路8號1樓"
"盧建良"	"75775 北竿市大勇路4段72號之2"
"劉美蘭"	"62101 板橋縣新莊街2段7號1樓"
"吳秀琴"	"665 鳳山中山街857號之1"
"朱秀琴"	"44413 竹北縣紅樹林巷5段178號之6"
"林淑惠"	"838 中壢縣興巷10號8樓"
"陳淑華"	"12043 板橋市中華巷4號之6"
"李淑玲"	"60852 臺東北投巷3段81號4樓"
"張玉梅"	"985 桃園平和街849號之8"
"劉俊宏"	"44135 板橋仁愛路315號之5"
"黃雅雯"	"52028 屏東市民富巷5號3樓"
"劉秀英"	"90334 員林勝利巷74號1樓"
"胡建宏"	"77404 古坑中山巷32號3樓"
"陳月英"	"19052 馬公市民權路1段243號3樓"
"朱素蘭"	"69181 新北縣象山路5號7樓"
"楊宇軒"	"95098 樹林縣和街巷7段19號7樓"
"施冠宇"	"78658 屏東民生巷54號之2"
"張家銘"	"23261 頭份縣大橋頭巷307號之7"
"李碧霞"	"52201 高雄縣大同路2段63號1樓"
"黃思妤"	"509 斗六長春路3號8樓"
"宋秋月"	"30416 臺東民有巷4段62號1樓"
"石俊銘"	"14949 員林頂福州路9號之8"
"林建志"	"297 台東太平街9號3樓"
"蔡哲維"	"23255 台中中山巷17號之9"
"朱美玉"	"88251 蘆竹長春街627號之1"
"黃文忠"	"503 白沙市自由巷679號8樓"
"沈春美"	"71162 古坑市松山巷75號之5"
"楊麗香"	"69547 蘆洲市淡水街7段5號6樓"
"莊秀珠"	"99595 三重市土城街38號0樓"
"鄭靜怡"	"16128 花蓮縣中正街701號之8"
"方心怡"	"23167 蘆洲石牌巷6段4號之7"
"李文忠"	"37022 中和福德街44號之8"
"黃秀琴"	"87207 鳳山育英巷36號1樓"
"陳麗雪"	"31904 員林縣忠孝路7段2號之5"
"朱美雲"	"69774 板橋南街87號8樓"
"趙文欽"	"617 阿里山縣國凱八德街60號之3"
"吳宗翰"	"927 草屯市民富巷39號9樓"
"林惠玲"	"88841 台南林森街6段48號之4"
"許正雄"	"759 新北奇岩街1號9樓"
"賴明珠"	"121 光復縣新生路9號之6"
"黃玉鳳"	"74531 台北民有路365號4樓"
"王宗翰"	"90174 八德市民有路16號之8"
"李世昌"	"328 橫山縣福安街1號4樓"
"張秀英"	"96701 嘉義和街路7號6樓"
"朱金鳳"	"88086 光復頂福州街774號2樓"
"李秀珠"	"580 北港縣五福街4號7樓"
"洪玉鳳"	"243 關山縣華興巷577號之4"
"劉俊雄"	"16698 高雄大安巷175號2樓"
"方宇翔"	"61129 阿里山小碧潭巷365號之1"
"曾玉美"	"731 臺中市平和街45號之6"
"張素琴"	"908 橫山縣劍南路71號9樓"
"鄭秀玲"	"892 關山縣廣慈路44號之4"
"范彥廷"	"56288 臺東市動物園巷2號之7"
"張雅惠"	"385 斗六縣新興巷2段6號2樓"
"朱金龍"	"637 中壢縣大同路2段292號之2"
"唐金龍"	"11957 朴子縣永和街84號之6"
"涂明宏"	"572 永康市大仁路537號之5"
"謝淑珍"	"95928 台南市水源巷757號4樓"
"簡雅慧"	"459 澎湖市民治巷3號9樓"
"官淑卿"	"33475 台北縣五福路10號5樓"
"江宇恩"	"27013 苗栗信義街14號之5"
"徐麗琴"	"349 關山民富街1號之8"
"洪淑芬"	"72126 草屯自由巷475號6樓"
"謝志誠"	"693 大里市大同路8號之8"
"朱麗娟"	"836 太平縣新埔巷7號9樓"
"許文忠"	"243 馬公東興街708號之5"
"吳宗霖"	"955 鳳山動物園路83號之6"
"葉碧雲"	"68521 板橋長春路437號2樓"
"龔國雄"	"102 八德長安路19號之4"
"吳麗珍"	"889 光復民富路1段12號之9"
"林文傑"	"59598 桃園廣慈巷44號5樓"
"黃淑芬"	"11703 苗栗芝山路1段465號5樓"
"曾宜蓁"	"908 汐止市中和路846號之5"
"余秀蘭"	"587 嘉義縣公園路9段341號之9"
"朱麗琴"	"854 中壢大坪巷9號8樓"
"張正雄"	"279 竹田育英巷6號8樓"
"賴秀玲"	"253 蘆竹自由街58號7樓"
"林志宏"	"69853 豐原縣象山街42號之9"
"王鈺婷"	"974 蘆洲長春街804號之4"
"王冠宇"	"195 蘆洲縣復興巷1號9樓"
"林秀華"	"80099 澎湖市天母巷928號2樓"
"曾家銘"	"383 阿里山市學府街1段63號4樓"
"黃品妤"	"849 大里市林森街2號之1"
"陳明德"	"18218 關山蘆洲街203號之4"
"朱麗雲"	"80809 苗栗勝利巷901號之6"
"吳淑美"	"87696 馬公市文山巷42號之0"
"余柏翰"	"96984 楊梅光明街678號1樓"
"陳美華"	"759 桃園民權街8段22號4樓"
"王怡婷"	"19451 古坑中和路804號4樓"
"戴進興"	"152 古坑市建國街94號5樓"
"羅宇翔"	"57908 彰化紅樹林街820號之9"
"葉志雄"	"48283 中壢市新埔巷3段6號7樓"
"蘇美惠"	"391 三重中華巷52號之9"
"朱春美"	"628 八德土城街525號之2"
"李世昌"	"96457 臺東市福安巷83號3樓"
"紀柏宇"	"807 板橋市新店巷183號2樓"
"陳秀蓮"	"794 屏東士林巷525號之7"
"吳麗珠"	"54180 豐原市大仁路9號之8"
"戴淑美"	"453 頭份新埔街7號之2"
"莊志雄"	"358 臺東市新北投巷2段147號1樓"
"簡志強"	"760 嘉義市新興巷3號之5"
"廖子睿"	"170 中壢縣大安街97號4樓"
"黃秀蘭"	"26472 北斗市北投路80號之8"
"邱麗珠"	"731 草屯迴龍街2段681號之1"
"李俊佑"	"77091 板橋延平街1號7樓"
"簡建成"	"93639 光復長春巷48號之3"
"賴俊傑"	"148 新營迴龍街5號1樓"
"黃怡君"	"575 朴子縣大安街471號7樓"
"賴秀霞"	"85491 北港芝山巷8段5號之9"
"陳政宏"	"781 白沙市新興街3號2樓"
"楊玉珍"	"843 雲林市大安巷1段1號1樓"
"吳承恩"	"80423 豐原縣古亭巷39號之7"
"郭武雄"	"120 板橋莒光街84號9樓"
"陳素貞"	"90081 桃園市四維街4段362號1樓"
"李俊傑"	"134 金門中山路97號之8"
"鄭金鳳"	"66932 關山縣文昌巷546號之7"
"王俊宏"	"29249 南投縣大智巷1號之2"
"曾文正"	"522 高雄縣中央街1段82號0樓"
"鄧宗霖"	"22404 新北市自立街7號1樓"
"陳淑芬"	"483 彰化信義街2段871號之1"
"林凱翔"	"550 蘆竹中央路3段977號0樓"
"陳碧霞"	"80716 雲林市民有巷96號之3"
"楊春美"	"412 花蓮光明街84號之9"
"吳素貞"	"49965 苗栗縣萬隆巷113號5樓"
"李俊傑"	"38681 頭份市頂福州街54號4樓"
"謝玉珍"	"51086 蘆竹自立街85號0樓"
"蘇怡君"	"69035 蘆竹縣天母巷7號3樓"
"周月英"	"16908 牡丹市東興街6段88號之0"
"黃國雄"	"340 桃園市永和巷5號9樓"
"王宗翰"	"19578 新竹市關渡街4段3號0樓"
"黃美玉"	"10049 馬公中和路8號之9"
"王志賢"	"43213 新北市中華路6號8樓"
"王明宏"	"314 桃園萬隆路17號8樓"
"張秀美"	"764 太平市民有巷79號6樓"
"李俊傑"	"387 台北縣仁愛路61號之8"
"陳麗琴"	"26215 大里縣廣慈巷34號之1"
"廖秀娟"	"58239 新竹大坪巷82號之6"
"呂秀英"	"823 古坑市永安巷74號3樓"
"連美玉"	"29363 永和中華巷929號之6"
"鍾雅婷"	"73906 頭份光華巷374號6樓"
"黃家榮"	"488 樹林蘆洲路62號8樓"
"鄭俊賢"	"51745 鳳山雙連路1段427號之3"
"陳惠珍"	"59588 新營縣莒光巷264號3樓"
"孫宗霖"	"51928 新竹市動物園路1號之1"
"李俊賢"	"42927 永康市五福巷577號0樓"
"許家豪"	"11618 台南縣勝利街48號之3"
"王美珠"	"908 台北文昌巷680號5樓"
"江明哲"	"425 澎湖縣文昌街59號6樓"
"馮志鴻"	"58381 連江林森街496號之5"
"陳麗卿"	"416 關山明德路61號1樓"
"黃秀英"	"610 草屯市光明巷34號1樓"
"吳志鴻"	"848 白沙市迴龍路95號5樓"
"周家豪"	"680 台南忠孝街21號2樓"
"林志文"	"34356 台南縣文昌街1號4樓"
"李俊賢"	"72105 北竿民富街986號之2"
"黃宸睿"	"90401 台中縣忠孝路5段494號之7"
"吳承翰"	"235 臺中市蘆洲巷74號3樓"
"林淑卿"	"616 桃園市太平巷8號之9"
"謝美麗"	"46750 高雄市蘆洲街417號3樓"
"鄒雅婷"	"70704 頭份市民富街32號6樓"
"康秀蘭"	"53164 台中市太平街5段71號3樓"
"周宇恩"	"791 豐原大橋頭路46號之3"
"彭冠霖"	"543 中和市雙連街91號之5"
"李秀英"	"937 板橋五福路84號之8"
"李俊銘"	"93299 蘆竹民有街17號3樓"
"王淑貞"	"601 新北大智巷8號之6"
"賴秀珠"	"126 北港士林路8段84號之6"
"劉淑玲"	"36165 花蓮育英路93號之1"
"張麗琴"	"131 汐止民治街22號之3"
"廖冠霖"	"316 北竿縣民富巷8號5樓"
"林寶珠"	"274 鳳山永和街80號之5"
"陳美玉"	"955 桃園小碧潭街792號之7"
"莊怡君"	"81220 板橋新埔路4號之7"
"黎玥彤"	"761 斗六平和巷41號之8"
"李信宏"	"12543 宜蘭新生路9號1樓"
"曾建宏"	"674 南投成功街1段61號之8"
"邱文龍"	"822 澎湖永和巷1段578號之6"
"蔡志偉"	"659 臺東縣延平路1號9樓"
"劉宗憲"	"24634 花蓮縣中華路304號8樓"
"楊宇翔"	"40705 臺中育英路8段16號3樓"
"吳淑玲"	"48100 白沙忠孝街6號之6"
"張冠宏"	"78574 花蓮市太平路518號5樓"
"劉宗翰"	"59985 竹田古亭巷6號之4"
"詹俊宏"	"70638 屏東北投巷375號之6"
"李冠廷"	"12244 大里福安巷359號之4"
"鍾麗雪"	"504 竹田中山路119號之1"
"盧秀美"	"89327 臺中中華街488號0樓"
"詹志成"	"142 嘉義光復街4號3樓"
"王麗雪"	"734 桃園市新埔巷6號之2"
"詹仁傑"	"18853 草屯市博愛街11號5樓"
"楊信宏"	"329 蘆竹縣仁愛巷570號之3"
"曹靜宜"	"86955 板橋市大坪巷165號2樓"
"林文彬"	"72134 褒忠忠孝街7段956號1樓"
"張慧玲"	"51130 橫山市成功路71號之1"
"李凱翔"	"972 北港頂福州街6段19號3樓"
"詹冠宏"	"975 頭份雙連街85號之1"
"王碧霞"	"594 臺東市松山巷55號之6"
"劉冠霖"	"10991 北斗縣莒光巷6號4樓"
"曾建良"	"16558 白沙士林路4段8號1樓"
"曾國華"	"71074 臺中縣延平路73號之3"
"張美玲"	"61122 台南中正巷3段76號之3"
"向麗雲"	"84562 鳳山縣府中街62號1樓"
"吳雅玲"	"64640 台北長安街8號0樓"
"何進發"	"123 花蓮光復巷437號之3"
"李哲瑋"	"16901 新竹市勝利路3號之1"
"曾明珠"	"77476 屏東小碧潭巷2段8號之6"
"陳文正"	"478 員林市光明路2號5樓"
"李冠宏"	"92976 竹田市文化街525號之8"
"李素貞"	"62432 關山縣仁愛街2段989號之9"
"王志強"	"530 台中市國凱八德巷24號8樓"
"楊睿恩"	"97349 台東延平路9段93號8樓"
"黃雅萍"	"611 苗栗淡水街86號之3"
"潘俊豪"	"309 桃園市文化巷245號之1"
"鄭宗憲"	"720 樹林縣迴龍巷895號之2"
"李哲維"	"22206 金門劍潭巷5段3號之6"
"郭明宗"	"45344 光復西門街95號4樓"
"吳凱翔"	"12934 臺中市中山路3號3樓"
"林淑芬"	"817 花蓮縣淡水巷902號之1"
"李玉珍"	"95318 臺中新興巷88號6樓"
"蘇美玲"	"94943 桃園光明巷4段860號8樓"
"李秀蓮"	"174 梅山新生巷815號1樓"
"余俊豪"	"116 彰化博愛路4號之5"
"胡淑華"	"758 宜蘭市忠孝路16號6樓"
"吳素貞"	"35783 豐原市大安巷56號3樓"
"李嘉宏"	"526 光復長安路585號4樓"
"蔡秀美"	"26390 卑南市新店街573號之9"
"趙月娥"	"494 苗栗民族路5號3樓"
"游明輝"	"630 花蓮縣長春巷70號之4"
"黃秀蓮"	"68144 竹田廣慈巷73號之8"
"陳婉婷"	"145 新竹北投街1號之5"
"林金龍"	"31472 梅山正義巷14號之1"
"魏宥廷"	"709 卑南民生街6號7樓"
"游美玉"	"313 梅山縣迴龍路1號之3"
"劉正雄"	"67073 新北中華巷2段472號7樓"
"李國榮"	"15274 梅山縣光復路88號6樓"
"李月娥"	"80376 楊梅南巷89號9樓"
"吳雅慧"	"745 白沙中華街9段7號1樓"
"王文龍"	"385 臺東長春街5號9樓"
"李文正"	"76609 鳳山市復興街4號6樓"
"王怡君"	"693 橫山大同巷761號8樓"
"洪恩碩"	"252 汐止新莊街1號4樓"
"曾彥廷"	"116 豐原縣象山路2號之6"
"鄭世明"	"805 太保市育英路71號3樓"
"鄧素琴"	"729 新竹縣仁愛巷54號之9"
"李國榮"	"62386 阿里山縣天母街7段4號6樓"
"林怡婷"	"319 草屯頂福州巷2號8樓"
"丁玉鳳"	"177 竹田市昆陽街9號之6"
"葉玉鳳"	"42548 屏東石牌街8段183號9樓"
"王淑慧"	"84367 台南縣新北投街22號6樓"
"莊建銘"	"48611 八德市動物園街4段940號之3"
"顏美玲"	"453 蘆洲公園巷2段19號之8"
"吳志明"	"869 八德市東湖街8號之7"
"劉素卿"	"788 雲林大同巷6號1樓"
"李明輝"	"960 桃園中華路9號之3"
"李國華"	"213 草屯市景美巷711號之5"
"吳冠廷"	"58620 樹林自由巷66號6樓"
"陳美玲"	"405 台中忠孝路808號2樓"
"陳俊豪"	"23766 板橋民權街7段21號之1"
"林俊廷"	"982 台北縣中和巷422號之2"
"鄧怡婷"	"986 蘆洲縣三民街92號之9"
"林美華"	"425 白沙縣天母巷277號之8"
"吳秀英"	"50698 白沙市芝山路921號3樓"
"丁家榮"	"724 新營縣動物園路81號之7"
"陳國雄"	"13740 太保三民巷5號之9"
"李家榮"	"204 高雄學府巷3號之9"
"顏雅雯"	"642 南投學府巷2段2號6樓"
"葉麗玲"	"93582 朴子永寧巷23號之8"
"程承恩"	"96477 北港和街街3段770號0樓"
"張麗琴"	"171 褒忠市自由路2號之7"
"葉素蘭"	"58639 草屯市民富路25號8樓"
"陳冠廷"	"11459 中壢仁愛路3號之9"
"王文忠"	"48099 草屯天母路342號之4"
"賴麗玲"	"58793 新竹萬隆巷2段286號之0"
"劉建宏"	"871 光復迴龍路544號1樓"
"李家瑋"	"866 屏東文化路666號4樓"
"陳淑華"	"76694 太平大智路219號7樓"
"龔秀英"	"440 中壢縣中山路85號1樓"
"許世明"	"69037 鳳山縣大安街54號8樓"
"林冠廷"	"73969 頭份水源路92號之3"
"王冠廷"	"75031 光復松山巷516號8樓"
"楊博文"	"918 光復市土城路3號0樓"
"曾家瑋"	"836 大里芝山路17號9樓"
"蔡麗娟"	"22414 阿里山縣天母街94號之7"
"陳婉婷"	"68368 高雄市民族路3段47號之3"
"李家豪"	"986 新竹市自由路61號之3"
"林麗華"	"871 基隆縣莒光街6段4號之2"
"高柏翰"	"31502 板橋市忠孝巷6號7樓"
"黃進興"	"29876 新竹縣復興巷87號之5"
"李麗雲"	"894 中壢市小碧潭街2段97號之1"
"柯國華"	"64438 阿里山明德巷124號3樓"
"蕭美玲"	"82080 台北昆陽巷71號0樓"
"潘美玉"	"805 頭份縣四維巷91號之0"
"呂正雄"	"650 橫山縣長春街2號之2"
"楊志雄"	"65497 基隆華興街552號之8"
"李家銘"	"56980 嘉義市府中巷11號之7"
"陳美華"	"92132 雲林市大坪路8號8樓"
"蔡志豪"	"154 永康市昆陽巷62號之3"
"王美麗"	"40237 斗六民權路40號1樓"
"黃秀英"	"473 永康西門路586號之3"
"鄭秀雲"	"56694 頭份民富街747號之7"
"謝志成"	"178 彰化永和街4段7號之8"
"范美惠"	"91203 八德中山巷56號1樓"
"馬宥辰"	"84227 花蓮市興巷6號之5"
"吳宜蓁"	"805 南投新生巷773號1樓"
"李建中"	"10081 豐原縣博愛路864號之3"
"巫家宏"	"26658 楊梅縣中興路9號之2"
"陳麗玲"	"287 永康縣大坪巷34號9樓"
"楊志明"	"122 北港市奇岩巷57號7樓"
"凌文祥"	"105 澎湖縣和平巷799號之6"
"鄭淑卿"	"46978 臺中縣府中路3號2樓"
"李雅惠"	"998 彰化民生巷473號之3"
"范文正"	"95707 基隆小碧潭街4號1樓"
"蘇子睿"	"47640 褒忠水源路2號之6"
"楊進財"	"65877 金門市大智街390號9樓"
"李建宏"	"748 板橋縣三民街8號之7"
"賴義雄"	"62241 褒忠延平街9段26號之8"
"陳明輝"	"65941 永和大橋頭巷11號2樓"
"馮志偉"	"170 基隆動物園巷823號5樓"
"陳雅婷"	"40764 牡丹文山路396號1樓"
"徐慧玲"	"927 古坑縣雙連路1號6樓"
"陳淑慧"	"82994 卑南市育英街573號之6"
"黃麗雪"	"201 蘆竹新生路1段275號6樓"
"陳詩涵"	"187 宜蘭市大同街788號5樓"
"呂冠廷"	"90900 馬公建國巷974號7樓"
"李建成"	"273 三重大橋頭街27號之4"
"林志賢"	"32135 臺中光明巷588號之8"
"謝宗霖"	"893 楊梅長春街5號6樓"
"許正義"	"34436 三重萬隆巷9段576號之9"
"邱俊宇"	"78357 新北劍南巷70號之5"
"葉秀珍"	"940 牡丹中山巷9號之4"
"朱國榮"	"457 樹林市中和街3段9號5樓"
"卓怡婷"	"13751 牡丹景美路2段59號8樓"
"賴明宗"	"997 蘆竹華興巷4段1號9樓"
"劉麗華"	"87055 彰化縣中山路65號之7"
"李建成"	"89873 大里縣松山巷336號6樓"
"賴美雲"	"384 新北華興街2段7號之8"
"王正雄"	"97221 台中水源街65號之9"
"蘇子翔"	"40225 臺中新生街1段378號2樓"
"尹美玲"	"76247 板橋南街3段74號3樓"
"黃信宏"	"19075 北斗市中和路19號4樓"
"江麗香"	"932 中和市中興路826號之4"
"許凱翔"	"73220 宜蘭大橋頭路67號之8"
"汪淑芬"	"810 嘉義市和平路5號4樓"
"饒麗香"	"61614 新北縣雙連街3段876號之3"
"李志偉"	"281 板橋國凱八德街42號之0"
"劉怡婷"	"905 新竹自立巷5號6樓"
"黃佳玲"	"921 臺中縣和街巷940號之7"
"蔡金龍"	"100 永和市古亭街9號9樓"
"陳淑慧"	"336 鳳山市新埔街4段21號之7"
"周慧玲"	"29212 花蓮復興路2號1樓"
"楊志偉"	"403 桃園市土城街130號之0"
"高麗珍"	"56382 馬公福德路219號0樓"
"曾承翰"	"64789 馬公奇岩巷519號之2"
"江俊明"	"60168 台東縣建國巷53號9樓"
"李志強"	"310 楊梅市新興街67號3樓"
"宋宇翔"	"36805 花蓮市成功街856號之5"
"莊哲維"	"89832 金門民治路1號6樓"
"白志忠"	"540 中和縣光復路69號之4"
"于哲維"	"567 南投縣奇岩巷80號5樓"
"施宸睿"	"73238 豐原中山巷253號2樓"
"羅雅婷"	"75956 光復新生路6號3樓"
"吳文賢"	"89387 古坑縣太平巷12號5樓"
"陳子恩"	"48199 台南自強路52號之2"
"許佳玲"	"39494 台中大智巷1段5號9樓"
"李志豪"	"283 斗六大仁街48號4樓"
"官志豪"	"47863 光復市光復街7號之2"
"張志銘"	"10986 豐原三民路6段52號2樓"
"黃志豪"	"101 平鎮縣德街5號3樓"
"李建中"	"49157 基隆市頂福州巷22號0樓"
"林雅玲"	"18037 竹田市自強街52號2樓"
"簡淑敏"	"672 苗栗民有路83號9樓"
"龎志強"	"45886 蘆竹市大同巷6號之2"
"李淑惠"	"570 台東縣迴龍路2段800號之8"
"周聰明"	"28118 屏東自由街93號之2"
"李志雄"	"241 永和成功路18號6樓"
"潘苡菲"	"311 古坑縣新埔街2號之1"
"湯榮華"	"56107 斗六中央路400號之3"
"高信宏"	"32574 新竹縣太平街459號之3"
"童建中"	"93695 朴子縣學府巷5號之7"
"曾秀玉"	"922 中壢林森巷43號之2"
"陳怡君"	"345 臺東縣淡水巷86號之6"
"謝秋月"	"93898 新北成功路3號3樓"
"陶玉英"	"92183 梅山新生街61號6樓"
"陳建宏"	"71086 橫山林森街2號之7"
"李思妤"	"837 斗六縣光華路835號之7"
"林鈺婷"	"79089 馬公市民治巷7號9樓"
"黃淑華"	"403 牡丹市民生巷4號之9"
"謝宇恩"	"83359 古坑市動物園巷813號3樓"
"陳俊宏"	"191 台南中正街2號3樓"
"莊美鳳"	"74315 桃園縣永寧街95號之2"
"潘俊明"	"66071 臺中市中興路706號8樓"
"蔡秀琴"	"607 光復縣育英路4號0樓"
"顏美慧"	"563 卑南萬隆街7號之2"
"朱美英"	"91108 員林水源街732號之1"
"李怡君"	"591 板橋關渡巷2號5樓"
"林鈺婷"	"422 基隆縣永安街80號4樓"
"施世明"	"72424 台北市西門路2號7樓"
"盧勝雄"	"904 太保縣學府巷3段121號1樓"
"邱柏翰"	"479 蘆竹市國凱八德街2段7號之5"
"温靜怡"	"927 中壢縣仁愛街3段3號之1"
"林美珠"	"168 褒忠芝山路884號之9"
"林麗華"	"324 三重國凱八德路631號5樓"
"林志鴻"	"88915 三重大智路4號之4"
"林冠廷"	"83846 新竹四維巷965號之4"
"李文賢"	"52953 褒忠莒光巷5段8號之0"
"周心怡"	"22183 阿里山市永寧巷4段446號之2"
"杜家銘"	"293 樹林蘆洲巷79號5樓"
"林素珠"	"30964 白沙市中和路5號1樓"
"巫俊賢"	"533 大里蘆洲路500號之2"
"林淑貞"	"13047 新營縣光華巷10號5樓"
"林惠美"	"926 中壢中正巷3號之4"
"蔡秀珠"	"493 嘉義華興街6段937號2樓"
"吳俊傑"	"216 花蓮市福德巷54號之7"
"柯柏霖"	"62576 竹田芝山街6號3樓"
"李文雄"	"616 關山中央路8段77號4樓"
"王志明"	"31454 台南東湖巷8號1樓"
"劉品睿"	"371 蘆竹建國路75號之1"
"陳宇恩"	"552 嘉義永和巷72號0樓"
"石淑娟"	"13863 永和育英巷33號之0"
"林寶珠"	"80279 北竿四維街946號之6"
"張承翰"	"81812 中壢國凱八德路268號之0"
"金冠霖"	"59458 楊梅莒光巷37號9樓"
"王素琴"	"77228 花蓮縣自立街806號5樓"
"張秀琴"	"369 橫山縣土城街18號之5"
"李文龍"	"134 太保自立巷9號4樓"
"許勝雄"	"629 新營迴龍巷98號之9"
"蔡佳蓉"	"98123 關山市頂福州路3號0樓"
"邱俊宏"	"175 太平市昆陽街531號之6"
"陳建志"	"606 嘉義成功街647號9樓"
"陳柏宇"	"315 卑南縣民享路6段35號1樓"
"吳冠霖"	"557 竹北市平和巷3號0樓"
"張冠霖"	"334 北竿民權路4段4號8樓"
"陳惠美"	"87473 台東市明德巷2號0樓"
"李春美"	"66522 台東縣天母路82號之7"
"李文龍"	"572 鳳山昆陽路6號之6"
"林進財"	"754 平鎮市平和巷25號之6"
"蔡俊宏"	"24432 北港華興路8號之1"
"廖秀蘭"	"10753 金門縣四維路900號之7"
"許美華"	"85555 太保新店巷128號之0"
"余秀美"	"312 永康市莒光巷2號之7"
"陳俊傑"	"529 大里自由巷14號之6"
"范冠廷"	"72169 南投市長安巷59號之3"
"葉麗玲"	"786 卑南五福街6段8號8樓"
"連雅雯"	"973 高雄文化街3號之5"
"李明德"	"46679 台中五福街91號之0"
"蘇雅雯"	"555 永和林森巷53號之1"
"張志銘"	"42969 嘉義昆陽巷455號9樓"
"蔡秀華"	"629 雲林市景美街88號之7"
"楊春美"	"118 蘆竹中華路7號之0"
"陳世明"	"40295 三重頂福州街3號5樓"
"張志偉"	"399 桃園縣和平街430號1樓"
"黃冠宇"	"470 屏東縣華興巷5號5樓"
"曾俊銘"	"59717 平鎮市福安路40號之3"
"陳美英"	"70445 澎湖劍南巷915號之7"
"李柏翰"	"71409 大里新興街1號之0"
"羅志雄"	"39295 梅山市大同巷47號之6"
"李麗美"	"445 汐止縣松山路43號之6"
"柯柏宏"	"250 新營雙連巷1號9樓"
"李博文"	"41977 阿里山萬隆街46號之5"
"吳秀梅"	"919 鳳山民權路459號0樓"
"黃秋香"	"13542 竹北縣育英路17號之4"
"吳淑華"	"989 褒忠縣關渡街5段663號之5"
"葉冠宏"	"18384 樹林石牌路3號之6"
"陳俊雄"	"208 彰化縣古亭路130號之0"
"李柏翰"	"98911 中壢建國街190號9樓"
"林明德"	"691 屏東國凱八德街93號6樓"
"吳文忠"	"118 板橋西門路9段45號之4"
"何家銘"	"822 高雄市雙連路6號8樓"
"劉春美"	"482 褒忠縣民族街21號0樓"
"王家豪"	"95032 金門市頂福州巷3段8號9樓"
"黃家豪"	"81034 新北大同路71號之7"
"施金龍"	"82522 褒忠林森巷4段45號9樓"
"曾志明"	"531 中和縣大坪路7號之4"
"謝淑芬"	"91936 八德育英巷701號0樓"
"李柏諺"	"193 北港大仁巷9號之5"
"李志偉"	"45288 牡丹景美巷81號9樓"
"楊信宏"	"68914 新營市育英路56號之1"
"何勝雄"	"53538 豐原縣景美路35號0樓"
"吳秀華"	"80456 竹北成功街7段25號之4"
"張進財"	"158 北港芝山街85號之8"
"林承翰"	"79054 光復博愛街7號7樓"
"連美華"	"433 基隆市忠義街901號4樓"
"蔡柏翰"	"96194 朴子和平路51號之9"
"許俊明"	"28318 楊梅士林巷6號9樓"
"李正雄"	"39847 台南市建國路3號4樓"
"陳明珠"	"75918 平鎮市民族街5號之0"
"宋俊男"	"73702 新竹市大智路291號0樓"
"魏淑卿"	"993 三重縣光復街49號之2"
"蘇明宏"	"19113 永和縣永安路5號4樓"
"邱秀蘭"	"566 太平縣仁愛街969號之1"
"江秀美"	"632 基隆市中山巷7號2樓"
"許怡婷"	"42000 台南市新生巷7段635號8樓"
"林家豪"	"415 楊梅文昌街314號6樓"
"陳進興"	"89024 澎湖市松山街2號0樓"
"李正雄"	"437 新北大橋頭巷99號6樓"
"劉淑娟"	"59653 太保縣和街路511號1樓"
"林志豪"	"671 牡丹長春路6段864號9樓"
"陳文章"	"209 苗栗縣迴龍路4號之0"
"鮑明珠"	"191 臺中太平路7段6號之4"
"呂冠宏"	"93783 臺東國凱八德路93號8樓"
"林俊明"	"53031 北斗學府路9號3樓"
"葉志豪"	"56987 新營市雙連路4號3樓"
"李雅婷"	"37656 台南芝山路78號5樓"
"謝秀蘭"	"76994 頭份縣自強巷6號之7"
"李武雄"	"780 頭份三民街38號7樓"
"陳淑慧"	"980 屏東縣淡水街10號之0"
"呂志忠"	"10758 鳳山縣長春巷85號之4"
