"Ѓорги Велков","Крушевска 509
37695 Битола" 
"Г-ца Лилјана Јанева","Ленинградска 339
90100 Демир Капија"
"Г-ѓа Сара Петровска","Трета македонска бригада 8а
16468 Кратово"
"Проф. Андреј Шакири","Перо Наков 0в
96682 Демир Хисар"
"Г-ѓа Сузана Крстеска","Шарпланинска 0а
26923 Охрид"
"Тодор Николовски","Лондонска 3а/6
73742 Куманово"
"Г-н Васил Митревски","Востаничка 29
19109 Прилеп"
"Дејан Заев","Глигор Прличев 7а
63997 Валандово"
"Христо Шакири","Славеј Планина 3а
78532 Битола"
"Јовче Алексовски","Радовишка 6а/3
18288 Дебар"
"Марина Стефановска","Воденска 7а/6
85328 Куманово"
"Проф. Весна Митревска","Никола Вапцаров 4
87310 Неготино"
"Г-ѓа Мирјана Коцева","Васил Главинов 1в
48906 Тетово"
"Г-ѓа Димка Николова","Михаило Апостолски 1а
22089 Кавадарци"
"Душан Атанасов","Јане Сандански 1б
30293 Скопје"
"Васка Михајловска","Кирил Пејчиновиќ 5б/2
82869 Кратово"
"Г-н Видое Трајковски","Радовишка 2а/9
98291 Кичево"
"Г-ѓа Цвета Ѓоргиева","Крушевска 447
71573 Дебар"
"Проф. Димка Гроздановска","Никола Русински 4а
94862 Прилеп"
"Стефан Апостолов","Кеј Македонија 1б/1
58344 Македонска Каменица"
"Емил Дамјановски","Трета македонска бригада 3а
31391 Тетово"
"Софија Христова","Глигор Прличев 8а/7
47246 Дебар"
"Др. Василка Јовановска","Булевар Свети Климент Охридски 0
86463 Македонска Каменица"
"Ѓорче Трајковски","Булевар Партизански одреди 4
26913 Берово"
"Г-н Митко Донев","Букурешка 5а/0
45828 Пробиштип"
"Софија Младеновска","Одбранбена 754
25787 Прилеп"
"Г-н Влатко Заев","Волгоградска 7а/2
84209 Куманово"
"Др. Никола Митревски","Кеј Македонија 4
39494 Битола"
"Г-н Ѓорги Спасовски","Орце Николов 6а
25378 Велес"
"Проф. Драган Јовановски","Едвард Кардељ 5б/7
65444 Кичево"
"Драган Климовски","Михаило Пупин 5в
94154 Кавадарци"
"Магдалена Симоновска","Македонија 2в
94144 Гевгелија"
"Др. Зоран Лазаревски","Пролетерска 0
04004 Богданци"
"Проф. Филип Гроздановски","Крсте Мисирков 2
72499 Кочани"
"Тодор Наумовски","Николај Коперник 1
53814 Кичево"
"Софија Поповска","Лондонска 3
19931 Демир Хисар"
"Г-н Влатко Пановски","Булевар Партизански одреди 7
79505 Неготино"
"Јане Василев","Бриселска 6в
98840 Македонска Каменица"
"Соња Глигорова","Јован Хаџи Константинов Џинот 6
80242 Куманово"
"Стојан Шакири","Скупи 2в
61064 Ресен"
"Др. Бојан Гроздановски","Булевар Свети Климент Охридски 4а
15734 Кратово"
"Проф. Димитар Трајковски","Перо Наков 9а
42214 Неготино"
"Анета Пановска","Луј Пастер 1б
18322 Македонски Брод"
"Проф. Кузман Лазаревски","Аристотел 8
29221 Радовиш"
"Андреј Димовски","Орце Николов 6а/0
27606 Богданци"
"Г-н Томе Алексовски","Никола Вапцаров 5в
33463 Велес"
"Г-н Горан Ѓоргиев","Ленинградска 50
41809 Ресен"
"Драган Трајковски","Природна 4
29840 Крушево"
"Лина Христова","Наум Охридски 4
58837 Крива Паланка"
"Проф. Благој Глигоров","Булевар Никола Карев 8а
50862 Скопје"
"Г-н Тодор Арсовски","Кирил Пејчиновиќ 827
95812 Струмица"
"Елизабета Спасова","Михаило Апостолски 9в
78153 Кавадарци"
"Жарко Атанасов","Булевар Партизански одреди 042
16562 Струмица"
"Даница Петковска","Виенска 5б
69229 Крушево"
"Лилјана Ѓоргиева","Јане Сандански 1
65911 Штип"
"Г-ца Лина Јовчева","Волгоградска 1а/2
87329 Охрид"
"Г-н Горан Велков","Булевар Никола Карев 074
01168 Тетово"
"Стефанија Атанасова","Бриселска 629
24041 Гевгелија"
"Михаил Матевски","Варшавска 9б/5
81303 Виница"
"Г-ѓа Наташа Михајловска","Свети Климент Охридски 1б
56150 Струга"
"Проф. Дамјан Чулев","Михаило Апостолски 5в
00022 Гевгелија"
"Г-ѓа Васка Мојсова","Јован Хаџи Константинов Џинот 5
91177 Битола"
"Др. Анета Глигорова","Булевар Никола Карев 1а/4
37937 Виница"
"Г-н Ристо Ѓорѓиевски","Варшавска 6
61173 Свети Николе"
"Проф. Петар Климовски","Тодор Александров 786
42173 Делчево"
"Оливера Климовска","Даме Груев 394
91494 Охрид"
"Г-н Горан Крстески","Скупи 627
76880 Велес"
"Сара Арсовска","Будимпештанска 9в
65032 Куманово"
"Нина Тодоровска","Женевска 626
77823 Македонски Брод"
"Др. Наум Бојаџиев","Шарпланинска 5а/9
95676 Тетово"
"Јован Велков","Булевар Партизански одреди 5
06906 Пехчево"
"Др. Јован Николов","Булевар Блаже Конески 10
76101 Кавадарци"
"Г-ѓа Катерина Тодоровска","Аристотел 9
11235 Македонска Каменица"
"Цветан Јовановски","Крушевска 3а/2
12884 Неготино"
"Оливера Мојсова","Виенска 18
01467 Свети Николе"
"Г-ца Емилија Николовска","Ленинградска 8а
95964 Македонски Брод"
"Г-н Горан Михајловски","Партизански одреди 1в
98469 Демир Хисар"
"Г-ца Валентина Заева","Аристотел 1б
34352 Радовиш"
"Г-н Јане Матевски","Дојранска 57
12208 Пехчево"
"Снежана Лазова","Јасминска 0б
11488 Скопје"
"Сашо Димитриев","Петар Поп Арсов 42
41887 Кавадарци"
"Слободан Христов","Христијан Тодоровски Карпош 4б
76825 Гостивар"
"Г-н Алексеј Коцев","Востаничка 8а/2
68907 Струмица"
"Проф. Јасмина Мојсова","Никола Карев 20
93436 Демир Капија"
"Васка Петковска","Радовишка 459
28547 Гостивар"
"Г-н Видое Ѓорѓиевски","Никола Русински 2б/9
77739 Охрид"
"Г-н Дамјан Митревски","Лазар Личеноски 463
45573 Кавадарци"
"Г-н Петар Климовски","Свети Климент Охридски 33
67143 Кратово"
"Марко Димитриев","Маршал Тито 513
23284 Скопје"
"Борис Гроздановски","Никола Вапцаров 6б/8
44667 Гевгелија"
"Марина Велкова","Партизански одреди 4а
93390 Демир Капија"
"Соња Ѓоргиева","Димитар Влахов 693
47729 Куманово"
"Кузман Николов","Партизански одреди 883
70338 Битола"
"Васил Спасовски","Партизански одреди 4б/9
42200 Штип"
"Г-ца Иванка Велкова","Ленинградска 3а/4
12411 Радовиш"
"Марјан Спасов","Васил Главинов 9в
46128 Берово"
"Г-н Даниел Велјанов","Булевар Цветан Димов 4а
07034 Велес"
"Др. Ѓорче Тодоровски","Николај Коперник 9а/6
58324 Богданци"
"Др. Марија Тодоровска","Крсте Мисирков 9б/8
36151 Делчево"
"Петар Бојаџиев","Никола Русински 9а
20752 Пробиштип"
"Др. Ѓорги Јовановски","Кеј Македонија 3а/7
35290 Македонски Брод"
"Димитар Наумовски","Глигор Прличев 1б
86749 Струмица"
"Г-н Влатко Јовановски","Никола Русински 8а/0
06157 Кичево"
"Проф. Атанас Пановски","Виенска 9а/6
96599 Неготино"
"Јована Јовчева","Будимпештанска 8
59726 Штип"
"Елизабета Ристовска","Кеј Димитар Влахов 4б/3
15062 Берово"
"Г-н Дарко Гроздановски","Крсте Мисирков 5в
12380 Виница"
"Г-н Тихомир Глигоров","Варшавска 0а
85793 Валандово"
"Дамјан Лазов","Лондонска 521
66521 Струга"
"Андреј Дурловски","Николај Коперник 2
93494 Крушево"
"Бојан Чулев","Кеј Димитар Влахов 4а/6
46950 Штип"
"Проф. Ана Заева","Софиска 1в
34294 Гостивар"
"Методи Глигоров","Петар Поп Арсов 38
32660 Скопје"
"Др. Дарија Алексовска","Хелсинки 443
05518 Богданци"
"Проф. Елизабета Стефановска","Климент Охридски 3б/2
90858 Ресен"
"Никола Шакири","Тодор Александров 7в
42673 Радовиш"
"Г-н Дарко Дешановски","Перо Наков 1а
30629 Македонска Каменица"
"Проф. Наум Шакири","Луј Пастер 6б
29325 Гевгелија"
"Емил Бојаџиев","Булевар Никола Карев 0а/4
70310 Пехчево"
"Г-ца Драгана Велкова","Јасминска 8б
48834 Пробиштип"
"Гоце Шакири","Јане Сандански 7б
67888 Пробиштип"
"Проф. Павле Јанев","Михаило Пупин 2
41504 Прилеп"
"Благица Бојаџиева","Питу Гули 5б/3
71524 Тетово"
"Борис Спасов","Глигор Прличев 8а/2
82529 Виница"
"Милена Михајловска","Тодор Александров 675
93276 Пробиштип"
"Анита Ѓоргиева","Никола Вапцаров 5
39017 Струга"
"Г-н Дарко Димовски","Свети Климент Охридски 8в
07567 Прилеп"
"Г-ца Лилјана Николовска","Јане Сандански 396
96048 Тетово"
"Проф. Тања Бојаџиева","Булевар Цветан Димов 3
73252 Прилеп"
"Проф. Крсте Јовчев","Кеј Македонија 011
69059 Свети Николе"
"Александар Симоновски","Булевар Блаже Конески 0б/2
37896 Штип"
"Елена Стојановска","Климент Охридски 49
10252 Македонска Каменица"
"Весна Крстеска","Васил Главинов 325
37185 Берово"
"Г-ца Марија Дурловска","Шарпланинска 1а/8
12474 Скопје"
"Тихомир Ѓоргиев","Природна 28
49381 Велес"
"Дејан Петровски","Николај Коперник 9а
91326 Струга"
"Г-н Дарко Лазаревски","Георги Димитров 1а/7
76282 Гевгелија"
"Др. Теодора Алексовска","Климент Охридски 0а
36151 Радовиш"
"Г-ѓа Ана Дешановска","Ленинградска 234
06443 Демир Капија"
"Проф. Гоце Атанасов","Јован Хаџи Константинов Џинот 8б
81835 Делчево"
"Проф. Гоце Атанасов","Будимпештанска 7а
74448 Крушево"
"Драган Јовчев","Васил Главинов 78
10073 Демир Хисар"
"Трајан Зафировски","Трета македонска бригада 1б/5
00181 Радовиш"
"Магдалена Матевска","Стоби 9а
00174 Гостивар"
"Гордана Зафировска","Будимпештанска 0а
29122 Велес"
"Катерина Василева","Рибарска 652
32772 Делчево"
"Г-н Дарко Николов","Дојранска 6а
35330 Неготино"
"Др. Јане Гроздановски","Лондонска 8
88204 Битола"
"Г-ца Иванка Спасова","Виенска 7а/8
59398 Македонски Брод"
"Г-ѓа Данче Бојаџиева","Никола Карев 5а/8
32406 Пробиштип"
"Др. Борче Мартиновски","Трета македонска бригада 39
88881 Охрид"
"Г-ца Катерина Мојсова","Јасминска 4а
82944 Македонска Каменица"
"Др. Оливера Димитриева","Питу Гули 0
02507 Тетово"
"Г-ѓа Елизабета Јовчева","Николај Коперник 682
15596 Радовиш"
"Никола Арсовски","Булевар Блаже Конески 7а
64113 Кичево"
"Проф. Лука Лазов","Булевар Цветан Димов 0б/0
97092 Македонски Брод"
"Г-н Дарко Поповски","Бриселска 9а
65919 Тетово"
"Марко Мусијановски","Никола Карев 772
32667 Делчево"
"Г-ца Мирјана Петровска","Шарпланинска 3б
65082 Кочани"
"Г-н Ристо Христов","Радовишка 0а/4
01665 Скопје"
"Дамјан Тодоровски","Даме Груев 4а/9
76243 Неготино"
"Јована Христова","Тодор Александров 1а/3
79827 Македонска Каменица"
"Борис Митревски","Шарпланинска 3
43456 Прилеп"
"Маја Крстеска","Георги Димитров 4б/3
51004 Битола"
"Г-ца Димка Митревска","Кеј Димитар Влахов 6
32004 Радовиш"
"Проф. Марина Арсовска","Георги Димитров 103
50711 Македонски Брод"
"Г-н Дејан Јовановски","Стоби 2б/1
14336 Крушево"
"Магдалена Спасовска","Булевар Александар Македонски 35
90303 Кратово"
"Г-н Јовче Михајловски","Рибарска 21
33960 Крушево"
"Симон Стојановски","Ленинградска 9в
68516 Гевгелија"
"Проф. Маја Трајковска","Едвард Кардељ 2а
03897 Демир Капија"
"Проф. Михаил Велјанов","Шарпланинска 82
92635 Македонска Каменица"
"Невена Јовчева","Радовишка 8б
33889 Велес"
"Михаил Атанасов","Тодор Александров 1в
40427 Делчево"
"Проф. Бојан Чулев","Никола Русински 97
61642 Кратово"
"Емил Велјанов","Крсте Мисирков 1в
32717 Куманово"
"Г-н Дејан Дурловски","Крушевска 666
92582 Неготино"
"Петре Иванов","Софиска 3а
70249 Пехчево"
"Весна Младеновска","Виенска 9в
55234 Македонска Каменица"
"Доне Велјанов","Радовишка 658
42052 Демир Хисар"
"Чедо Стефановски","Одбранбена 069
60770 Демир Хисар"
"Лилјана Андоновска","Луј Пастер 75
63733 Велес"
"Г-ѓа Соња Марковска","Даме Груев 7а
58025 Свети Николе"
"Проф. Маја Донева","Крушевска 5б
94896 Берово"
"Г-н Дамјан Василев","Јован Хаџи Константинов Џинот 5в
28688 Демир Хисар"
"Г-ѓа Драгана Симоновска","Славеј Планина 7в
52476 Охрид"
"Г-н Дејан Зафировски","Маршал Тито 3б/2
31135 Крива Паланка"
"Томе Николов","Булевар Свети Климент Охридски 7
16743 Битола"
"Марко Зафировски","Македонија 280
03610 Демир Капија"
"Лилјана Заева","Климент Охридски 6а
29088 Неготино"
"Данче Андоновска","Орце Николов 012
66312 Виница"
"Маја Петровска","Волгоградска 317
23437 Неготино"
"Васка Коцева","Крсте Мисирков 9а/0
40995 Крива Паланка"
"Др. Дејан Андоновски","Кеј Македонија 2
21438 Македонска Каменица"
"Благој Петровски","Димитар Влахов 4б/7
85875 Неготино"
"Г-н Момчило Алексовски","Кеј Македонија 4а/2
74891 Тетово"
"Г-н Дејан Николовски","Женевска 436
83788 Крива Паланка"
"Г-н Јован Пановски","Стоби 92
04467 Прилеп"
"Наум Георгиев","Питу Гули 05
56438 Скопје"
"Г-н Влатко Поповски","Илинденска 6
81105 Делчево"
"Г-ца Нина Атанасова","Ленинградска 45
53004 Демир Капија"
"Др. Михаил Андоновски","Маршал Тито 7б/0
09067 Македонска Каменица"
"Марија Лазова","Перо Наков 9б/4
24195 Крушево"
"Др. Борче Спасовски","Лазар Личеноски 5а/0
19397 Штип"
"Г-ца Драгана Лазаревска","Никола Карев 1а/6
90281 Штип"
"Валентина Атанасова","Питу Гули 1а/8
83159 Крушево"
"Г-н Димитар Велков","Наум Охридски 6
82661 Кочани"
"Тања Димовска","Питу Гули 5б/5
36332 Кочани"
"Душан Димитриев","Јасминска 1б
07346 Кочани"
"Г-ѓа Димка Георгиева","Македонија 3б
65746 Куманово"
"Петар Илиев","Христијан Тодоровски Карпош 5а/2
92882 Куманово"
"Душан Петровски","Стоби 9в
23155 Богданци"
"Невена Спасова","Гоце Делчев 4б
01723 Македонски Брод"
"Лина Велјанова","Скупи 0а
23791 Гевгелија"
"Г-ѓа Василка Глигорова","Васил Главинов 1а
35750 Виница"
"Слободан Мартиновски","Свети Климент Охридски 5
85934 Струга"
"Г-н Доне Јанев","Булевар Александар Македонски 5а/0
20323 Охрид"
"Др. Димитар Велјанов","Ленинградска 5а/2
00491 Виница"
"Др. Атанас Цветковски","Михаило Пупин 585
03064 Скопје"
"Др. Димка Василева","Николај Коперник 57
76018 Виница"
"Павле Атанасов","Михаило Апостолски 8а/9
84585 Богданци"
"Г-н Александар Илиев","Климент Охридски 02
99714 Крива Паланка"
"Јована Бојаџиева","Одбранбена 787
65538 Радовиш"
"Ангела Мартиновска","Булевар Гоце Делчев 6в
60291 Куманово"
"Г-н Крсте Марковски","Димитар Влахов 1а
98874 Струга"
"Др. Данче Илиева","Стоби 7б/7
20231 Охрид"
"Г-н Доне Михајловски","Илинденска 5в
99590 Штип"
"Проф. Александра Симоновска","Булевар Никола Карев 2а
90964 Дебар"
"Др. Сања Дешановска","Воденска 1а/8
13737 Македонски Брод"
"Гоце Василев","Скупи 4а
31169 Кочани"
"Наум Крстески","Георги Димитров 5
00781 Кавадарци"
"Проф. Филип Димовски","Михаило Апостолски 9б
51062 Штип"
"Даниел Мусијановски","Лазар Личеноски 7
65414 Демир Капија"
"Проф. Марко Климовски","Славеј Планина 8а/8
45200 Кичево"
"Методи Младеновски","Николај Коперник 1
05713 Свети Николе"
"Др. Слободан Димитриев","Наум Охридски 8в
67331 Штип"
"Г-н Драган Дурловски","Ибрахим Темо 2а/1
99519 Свети Николе"
"Проф. Душан Михајловски","Славеј Планина 6б/9
02968 Кочани"
"Г-ца Билјана Бојаџиева","Бриселска 6б/5
78872 Штип"
"Проф. Момчило Поповски","Кеј Македонија 340
96280 Дебар"
"Проф. Драган Матевски","Јане Сандански 217
23170 Кавадарци"
"Г-ца Лина Николова","Волгоградска 4
20095 Ресен"
"Надица Крстева","Христијан Тодоровски Карпош 5в
83296 Велес"
"Василка Гроздановска","Јане Сандански 4б
80796 Дебар"
"Бранко Чулев","Женевска 1б/9
41930 Крива Паланка"
"Наташа Иванова","Ибрахим Темо 8в
58634 Македонска Каменица"
"Г-н Драган Марковски","Никола Карев 4а
51823 Демир Капија"
"Ѓорги Ѓорѓиевски","Никола Вапцаров 8б/5
35247 Виница"
"Лазар Крстев","Софиска 20
66910 Гостивар"
"Г-ѓа Надица Климовска","Булевар Свети Климент Охридски 693
81627 Крушево"
"Проф. Благица Коцева","Востаничка 80
80661 Битола"
"Васка Арсовска","Гоце Делчев 995
58892 Кратово"
"Проф. Жарко Мартиновски","Дојранска 0б
89930 Валандово"
"Др. Невена Матевска","Булевар Блаже Конески 53
65389 Пробиштип"
"Игор Христов","Булевар Партизански одреди 7
77337 Демир Хисар"
"Томе Заев","Никола Карев 4б
00460 Демир Хисар"
"Г-н Драган Николовски","Климент Охридски 126
39924 Кичево"
"Васка Спасова","Самоилова 6
67731 Демир Капија"
"Др. Трајче Јовановски","Димитар Влахов 0
98740 Делчево"
"Др. Дарко Петковски","Перо Наков 6б
67282 Скопје"
"Емил Ѓорѓиевски","Јане Сандански 8б/6
79067 Кичево"
"Г-ца Виолета Николова","Наум Охридски 1
53246 Кратово"
"Проф. Наташа Митревска","Варшавска 011
74630 Демир Капија"
"Кристина Заева","Гоце Делчев 473
48088 Гостивар"
"Др. Горан Димитриев","Зелезничка 6в
15427 Велес"
"Кузман Лазаревски","Јасминска 513
23128 Струга"
"Г-н Драган Симоновски","Лазар Личеноски 30
91816 Македонска Каменица"
"Слободан Глигоров","Рибарска 2б/4
71905 Пробиштип"
"Г-н Видое Николов","Волгоградска 9а/1
68648 Штип"
"Мирјана Цветковска","Воденска 3
76160 Ресен"
"Проф. Павле Апостолов","Јане Сандански 1б/6
63590 Дебар"
"Г-ца Марија Ѓорѓиевска","Булевар Партизански одреди 6а
17649 Прилеп"
"Др. Чедо Михајловски","Кеј Димитар Влахов 35
27949 Охрид"
"Проф. Жарко Цветковски","Скупи 7
68754 Прилеп"
"Даниел Василев","Перо Наков 4а/5
90943 Свети Николе"
"Др. Чедо Петровски","Никола Вапцаров 6а/0
71853 Делчево"
"Г-н Емил Алексовски","Димитар Влахов 2б/3
05263 Охрид"
"Г-ѓа Марија Гавриловска","Наум Охридски 7а/4
13621 Ресен"
"Ана Илиева","Никола Карев 6б/3
74408 Македонска Каменица"
"Валентина Гроздановска","Булевар Цветан Димов 8а/9
33979 Дебар"
"Др. Никола Лазов","Глигор Прличев 1а/2
81214 Свети Николе"
"Г-н Марјан Арсовски","Луј Пастер 8а
30154 Македонски Брод"
"Проф. Огнен Илиев","Даме Груев 1в
38759 Штип"
"Никола Василев","Славеј Планина 7б
11968 Скопје"
"Лазар Ристовски","Софиска 22
73856 Дебар"
"Г-ца Стефанија Лазова","Глигор Прличев 8б/6
78551 Виница"
"Г-н Емил Димитриев","Глигор Прличев 3б/1
39040 Кочани"
"Душан Дамјановски","Гоце Делчев 524
21890 Куманово"
"Ѓорги Михајловски","Благој Давков 43
34932 Дебар"
"Проф. Душан Шакири","Шарпланинска 4
90779 Делчево"
"Момчило Спасовски","Булевар Цветан Димов 3а
18160 Штип"
"Др. Ристо Симоновски","Орце Николов 8а
05834 Прилеп"
"Др. Александра Пановска","Крушевска 0в
14487 Берово"
"Слободан Заев","Булевар Свети Климент Охридски 4а/6
36668 Радовиш"
"Илија Христов","Востаничка 00
55989 Крушево"
"Г-н Јовче Дурловски","Рибарска 44
38311 Прилеп"
"Г-н Емил Иванов","Маршал Тито 65
22638 Демир Капија"
"Др. Оливера Илиева","Македонија 4б
45415 Кавадарци"
"Проф. Гоце Дурловски","Волгоградска 6
99511 Струмица"
"Др. Борис Стојановски","Волгоградска 09
93518 Македонска Каменица"
"Г-ѓа Стефанија Ристовска","Маршал Тито 29
94521 Кратово"
"Г-ѓа Сања Спасовска","Даме Груев 974
07423 Кратово"
"Бојан Петковски","Софиска 0в
78684 Скопје"
"Проф. Момчило Атанасов","Булевар Гоце Делчев 1б
73453 Кичево"
"Г-н Лука Ѓорѓиевски","Никола Русински 2в
74218 Кочани"
"Г-ца Јасмина Чулева","Едвард Кардељ 3а
20602 Прилеп"
"Г-н Емил Иванов","Самоилова 0а/2
50894 Македонски Брод"
"Драгана Лазаревска","Шарпланинска 737
65463 Битола"
"Јована Георгиева","Шарпланинска 95
29585 Струга"
"Проф. Емилија Јанева","Димитар Влахов 7б
98918 Делчево"
"Гордана Марковска","Булевар Никола Карев 2а
30874 Битола"
"Лилјана Симоновска","Стоби 5б
00015 Пехчево"
"Невена Младеновска","Михаило Пупин 7б/4
06172 Валандово"
"Анета Тодоровска","Варшавска 8
70429 Свети Николе"
"Проф. Бранко Чулев","Бриселска 2в
31216 Кавадарци"
"Марина Трајковска","Варшавска 8а
96011 Делчево"
"Г-н Емил Мартиновски","Никола Карев 5в
52961 Демир Хисар"
"Марина Илиева","Ленинградска 1б/6
64168 Битола"
"Г-ѓа Јована Јовчева","Зелезничка 4б
99221 Пробиштип"
"Тодор Спасов","Македонија 736
26720 Велес"
"Сања Иванова","Самоилова 179
25642 Кратово"
"Иванка Ѓорѓиевска","Шарпланинска 7б
37773 Битола"
"Проф. Петре Апостолов","Кеј Македонија 9в
08438 Ресен"
"Г-н Горан Цветковски","Михаило Апостолски 4б/8
72408 Крива Паланка"
"Јане Арсовски","Глигор Прличев 2а/4
60069 Валандово"
"Стефанија Трајковска","Дојранска 2а
10634 Крушево"
"Г-н Жарко Јовчев","Кеј Македонија 8б
28432 Гостивар"
"Катерина Иванова","Кеј Димитар Влахов 99
85289 Велес"
"Дарија Христова","Виенска 4б/3
49412 Свети Николе"
"Атанас Ѓоргиев","Крсте Мисирков 85
35522 Велес"
"Проф. Наташа Бојаџиева","Луј Пастер 5б
17323 Ресен"
"Г-ца Данче Мартиновска","Лондонска 77
47171 Куманово"
"Цветанка Андоновска","Булевар Блаже Конески 213
06811 Неготино"
"Проф. Александра Бојаџиева","Булевар Гоце Делчев 2б
81850 Охрид"
"Анита Георгиева","Партизански одреди 2а
69437 Крива Паланка"
"Арсен Глигоров","Никола Вапцаров 4в
68234 Делчево"
"Г-н Жарко Гроздановски","Петар Поп Арсов 8б
83430 Тетово"
"Јована Димитриева","Булевар Свети Климент Охридски 53
74508 Кавадарци"
"Петре Трајковски","Наум Охридски 4в
63276 Струга"
"Проф. Стефан Тодоровски","Шарпланинска 503
94170 Демир Капија"
"Данче Мартиновска","Михаило Пупин 5б/4
42681 Демир Капија"
"Проф. Сара Донева","Бриселска 15
49050 Кавадарци"
"Душан Дешановски","Ленинградска 2б/2
99050 Пробиштип"
"Проф. Јане Ѓорѓиевски","Стоби 8б/0
88162 Охрид"
"Петре Зафировски","Глигор Прличев 7
81944 Велес"
"Г-н Зоран Трајковски","Илинденска 070
20772 Прилеп"
"Г-н Жарко Димитриев","Радовишка 8в
85939 Дебар"
"Бранко Трајковски","Самоилова 0а
82291 Делчево"
"Тихомир Велјанов","Лазар Личеноски 7б
43864 Неготино"
"Др. Никола Зафировски","Никола Карев 9
15897 Делчево"
"Др. Васка Јанева","Крушевска 2в
46127 Неготино"
"Проф. Александар Тодоровски","Јасминска 27
99856 Радовиш"
"Г-ца Димка Младеновска","Самоилова 443
48483 Дебар"
"Проф. Филип Цветковски","Михаило Апостолски 5
96942 Демир Хисар"
"Проф. Валентина Матевска","Димитар Влахов 2а
77857 Гостивар"
"Александар Тодоровски","Свети Климент Охридски 1б
91093 Виница"
"Г-н Жарко Илиев","Кеј Димитар Влахов 8а/7
58116 Дебар"
"Сузана Спасовска","Едвард Кардељ 2б
75490 Дебар"
"Наум Арсовски","Зелезничка 4б
73136 Виница"
"Др. Видое Климовски","Луј Пастер 7в
02201 Кавадарци"
"Магдалена Гроздановска","Лазар Личеноски 1а
31744 Виница"
"Г-ца Катерина Поповска","Самоилова 7б/8
41130 Виница"
"Нина Митревска","Скупи 1б/9
28039 Велес"
"Марјан Дамјановски","Кеј Димитар Влахов 1а
70273 Кавадарци"
"Др. Анета Николова","Никола Русински 3а
65691 Охрид"
"Г-ѓа Дарија Арсовска","Гоце Делчев 7б
68345 Струга"
"Г-н Жарко Младеновски","Ибрахим Темо 965
99115 Ресен"
"Нина Лазаревска","Гоце Делчев 8б
45220 Демир Хисар"
"Г-ѓа Јована Петковска","Никола Карев 8в
97914 Гевгелија"
"Др. Јовче Атанасов","Крсте Мисирков 2а
03603 Струмица"
"Жарко Арсовски","Никола Русински 4б/0
49937 Гостивар"
"Др. Дамјан Коцев","Скупи 9а
83697 Штип"
"Г-н Ристо Димитриев","Васил Главинов 0а
40568 Битола"
"Нина Спасовска","Булевар Никола Карев 930
50187 Куманово"
"Надица Заева","Михаило Пупин 7
58338 Берово"
"Др. Тања Апостолова","Булевар Блаже Конески 1б
53299 Македонски Брод"
"Г-н Жарко Шакири","Булевар Блаже Конески 3б/3
83944 Куманово"
"Димка Василева","Димитар Влахов 136
05003 Скопје"
"Даница Андоновска","Самоилова 6а
11299 Демир Хисар"
"Др. Катерина Христова","Пролетерска 5б/9
74462 Демир Капија"
"Г-ѓа Анета Поповска","Свети Климент Охридски 9а/2
23838 Пехчево"
"Др. Атанас Димитриев","Рибарска 0б
01795 Кавадарци"
"Др. Даниел Крстев","Никола Вапцаров 9а
57627 Богданци"
"Г-н Илија Илиев","Глигор Прличев 1б/0
15606 Берово"
"Јасмина Андоновска","Даме Груев 6в
30981 Кавадарци"
"Сања Велкова","Питу Гули 2
66961 Македонски Брод"
"Г-н Зоран Наумовски","Васил Главинов 0а/5
22564 Берово"
"Г-н Ристо Крстески","Волгоградска 7б/7
42616 Дебар"
"Г-ѓа Валентина Донева","Лондонска 2б
15956 Виница"
"Марко Поповски","Виенска 1б
99653 Богданци"
"Др. Емилија Дурловска","Глигор Прличев 7а/8
42862 Делчево"
"Др. Зоран Дурловски","Никола Вапцаров 4б/5
27679 Демир Хисар"
"Данче Дамјановска","Стоби 267
12641 Охрид"
"Проф. Петар Николовски","Луј Пастер 2а
88113 Дебар"
"Др. Сања Заева","Христијан Тодоровски Карпош 2а
95353 Македонски Брод"
"Проф. Момчило Алексовски","Скупи 110
84889 Македонска Каменица"
"Г-н Зоран Стефановски","Варшавска 9
91517 Кичево"
"Александра Апостолова","Перо Наков 20
92500 Гостивар"
"Г-н Дамјан Гавриловски","Лондонска 7а/4
37712 Богданци"
"Г-н Видое Стефановски","Лондонска 9б/9
69146 Делчево"
"Др. Симона Шакири","Булевар Цветан Димов 7б/2
46003 Штип"
"Г-н Јане Христов","Никола Вапцаров 8а/2
81035 Кавадарци"
"Проф. Дејан Шакири","Димитар Влахов 6б/6
18164 Кичево"
"Митко Лазов","Перо Наков 7в
30924 Неготино"
"Васка Тодоровска","Кирил Пејчиновиќ 2б
95177 Куманово"
"Невена Стефановска","Рибарска 2а
09689 Дебар"
"Г-н Иван Гавриловски","Букурешка 725
19591 Крива Паланка"
"Др. Мирјана Јовановска","Едвард Кардељ 3в
77055 Свети Николе"
"Јован Димовски","Булевар Никола Карев 7а
84138 Битола"
"Др. Василка Донева","Софиска 478
91786 Свети Николе"
"Петар Стојановски","Маршал Тито 6а/0
79494 Демир Капија"
"Проф. Трајан Лазаревски","Едвард Кардељ 591
37331 Прилеп"
"Ѓорги Наумовски","Димитар Влахов 077
81320 Демир Хисар"
"Петар Петровски","Свети Климент Охридски 9б/5
04929 Кавадарци"
"Марко Глигоров","Кеј Македонија 9б
25048 Охрид"
