"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Tiago Valente","Travessa Prof. António José Saraiva, 33
1501-523 Rebordosa"
"Nelson Cruz","Avenida de Nogueira, 57
7818-370 Estremoz"
"Fábio Gaspar","Largo 25 de Abril, 568
6143-231 Braga"
"Ângelo Maia","Alameda de Nunes, 7
8791-476 Torres Novas"
"Márcio Marques","Alameda dos Ferreiros, 34
1701-772 Tarouca"
"Luciana de Fonseca","Praça de Leite, 7
3184-739 Estremoz"
"Victória-Beatriz Almeida","Travessa do Sapal, 34
8358-807 Vila Nova de Famalicão"
"David Loureiro","Alameda de Pinho, S/N
8196-272 Estarreja"
"Carminho Neves","Largo Abreu, 90
9753-837 Gandra"
"Daniela Pacheco","Largo Raquel Alves, 2
1490-872 Montemor-o-Novo"
"Gonçalo da Melo","Av Ariana Costa, 22
8723-296 Loures"
"Denis Loureiro","Travessa Martins, S/N
1411-789 Gondomar"
"Ivo Sá","Travessa Carlos Teixeira, 317
9456-716 Ovar"
"Núria Pereira","Av Dinis Reis, 965
8863-491 Caldas da Rainha"
"José Lopes","Avenida Adriana Torres, 16
6134-430 Pombal"
"Kévim Pinho","Av dos Ferreiros, S/N
1541-048 Leiria"
"Mateus do Pereira","R. Fábio Loureiro, 1
2772-876 Santa Maria da Feira"
"David Morais","Largo da Aldeia, 50
7224-592 Agualva-Cacém"
"Vitória Moreira","Alameda Mendes, S/N
2904-312 São Mamede de Infesta"
"Carlos do Pires","Avenida Alícia Vicente, 1
3251-367 Gouveia"
"Rafael Neves","Travessa de Marques, 10
9928-673 Alverca do Ribatejo"
"Rodrigo Rocha","Avenida das Andrezas, 11
5351-656 Rio Tinto"
"Catarina Ribeiro","Rua Débora Macedo, 4
6117-680 Moura"
"Soraia Sá","R. do Leal, 92
1166-805 Mealhada"
"Maria Gaspar","Largo Cardoso, 12
8759-457 Albufeira"
"Núria Ribeiro","R. Nádia Abreu, 99
7976-591 Guimarães"
"Duarte de Loureiro","Rua Leandro Rocha, 52
2278-269 Vila Real"
"David Nogueira","Largo de Sousa, 3
4804-812 Vila Real"
"Paulo Teixeira","Rua de Santa Clara, 27
6751-755 Leiria"
"Emília Vicente","Largo Vicente, 68
1457-043 Lamego"
"Lisandro Pinheiro","Largo Eduardo VII de Inglaterra, S/N
1078-757 Queluz"
"Naiara Castro","Avenida José Luís Nunes, S/N
9620-409 Rio Tinto"
"Gonçalo Leite","Travessa Prof. Francisco Caldeira Cabral, 52
2725-115 Ílhavo"
"Petra Abreu","Avenida de Azevedo, 947
3587-140 Esposende"
"Íris Pinho","Rua Mara Pires, 439
9140-023 Marinha Grande"
"Sandro Pinto","R. Márcio Simões, 23
7116-571 Paredes"
"Rúben Simões","R. de Araújo, 27
4318-815 Loures"
"David Ramos","Rua de Matos, 5
6614-934 Entroncamento"
"Juliana-Erika Marques","Av Mendes, 200
1583-278 Matosinhos"
"Nair do Garcia","Alameda Maria Azevedo, 810
6427-557 Portimão"
"Artur de Brito","Av de Grijó, 7
9955-902 Pombal"
"Bryan Vaz","Avenida dos Mártires da Pátria, 60
5700-262 Fátima"
"Paulo Figueiredo","Largo do Báltico, 12
3274-475 Olhão"
"Sebastião Oliveira-Monteiro","R. Campos, 59
3849-820 Ovar"
"Mafalda Teixeira-Maia","R. Nelson Araújo, 89
9339-455 Torres Novas"
"Martim Garcia","Travessa Simões, 2
9314-529 Ponta Delgada"
"André Cunha-Cardoso","R. de Costa, 39
8933-862 Estremoz"
"David Ribeiro","Av República da Colômbia, 96
3512-997 Angra do Heroísmo"
"Ângela Neves","Praça Kevin Sousa, 151
6575-037 Oliveira do Hospital"
"Bruna-Raquel Barros","Av Mariana Domingues, 70
3452-172 Sines"
"Ema-Joana Pereira","Travessa do Campo Alegre, 94
3651-021 Porto Santo"
"Melissa Macedo","R. Renato Soares, 67
5949-226 Estremoz"
"Carolina Leal","Largo Cardoso, 892
4666-479 Covilhã"
"Ivan Costa","Largo de Paiva, 3
3997-397 Barcelos"
"Alícia Tavares","Av de Freitas, 3
6232-255 Oliveira de Azeméis"
"Diana Amorim","Travessa de Teixeira, S/N
5434-361 Oliveira do Hospital"
"Melissa Lourenço","Alameda de Henriques, 16
5026-362 Tavira"
"David Simões","Avenida de Abreu, 84
4576-243 Portimão"
"Micael Lima","Largo Naiara Pinheiro, 832
9066-183 Pombal"
"Leonardo Barros-Pereira","R. de Fernandes, 4
8104-683 Castelo Branco"
"Lucas Garcia","Rua de Fernandes, 50
2715-466 Chaves"
"Hugo Barbosa","Av Luciana Azevedo, 8
7115-104 Odivelas"
"Catarina Campos","Av de Matos, S/N
3854-558 Moura"
"Bruno Oliveira","Rua de Jesus, 226
7504-683 Mealhada"
"Emília Lopes","Travessa Matilde Bensaúde, 38
9928-980 Albufeira"
"Leandro Simões","Largo Nunes, 3
3803-882 Penafiel"
"Lorena de Vaz","Alameda Andreia Lima, 66
2381-701 Alcobaça"
"David Soares","Largo de Pereira, 1
5753-977 Póvoa de Santa Iria"
"Nair de Garcia","Travessa de Amorim, 95
1523-291 Costa da Caparica"
"Maria Alves","Praça Rodrigo Reis, 17
8140-481 Leiria"
"Rúben Branco","Avenida Machado, 42
5034-797 Amadora"
"Pedro Castro","Avenida de Almeida, 841
4558-385 Queluz"
"Luana Pacheco","Rua Nuno Guerreiro, 14
3371-610 Trancoso"
"Marta Rocha","Travessa de Miranda, 13
2146-653 Fundão"
"Lorena Matos","R. Martim Cardoso, S/N
9103-014 Marinha Grande"
"Kyara Magalhães","Rua Rafael Assunção, 505
7783-951 Olhão"
"Marta Morais","Avenida Mendes, S/N
8336-033 Lourosa"
"David da Tavares","Av Nogueira, 2
5492-580 São Salvador de Lordelo"
"Erika Correia","Avenida de Francisco Borges, 92
4343-051 Sabugal"
"Miriam Abreu-Almeida","Avenida Marcos Figueiredo, 62
8138-730 Aveiro"
"David Magalhães","Largo de Brito, S/N
8692-662 Serpa"
"Sérgio de Domingues","Av Esteves, 66
5412-863 Ovar"
"Mateus Brito","Travessa Flor Pereira, 169
8565-602 Portimão"
"Gabriel Nascimento","Avenida do Cerco do Porto, S/N
6623-449 Sacavém"
"César Fonseca","Travessa Eduarda Melo, S/N
2253-865 Oliveira de Azeméis"
"Beatriz-Luana Leite","R. Dinis Pires, 84
5627-766 Vila Nova de Gaia"
"Rui Gaspar","Av Pereira, 26
3779-337 Viseu"
"Denis Barbosa-Batista","Praça Amnistia Internacional, 66
8110-766 Trofa"
"Renata Miranda","Rua de Ribeiro, 3
3991-790 Gondomar"
"Helena Neves","Praça da Fonte de Cima, S/N
8438-546 Cantanhede"
"Ivan Coelho","R. Barbosa, 98
5984-235 Abrantes"
"Benedita Araújo","Alameda de Pio XII, S/N
7308-870 Figueira da Foz"
"Daniel Domingues","Rua das Congostas, S/N
9600-049 Costa da Caparica"
"Álvaro Neves","Praça Anjos, 87
5033-718 Amora"
"Duarte Antunes","Rua Guerreiro, 7
4652-429 Coimbra"
"Brian Cunha","Praça Baptista, 65
8893-876 Oliveira de Azeméis"
"Ângela Miranda","Av Morais, 57
7219-863 Oliveira de Azeméis"
"Denis Borges","R. Teixeira, 20
1034-251 Abrantes"
"Cristiano de Fernandes","Avenida de Ramos, 50
1940-126 Cantanhede"
"Lourenço Leite","R. de Gaspar, 4
5692-981 Lagos"
"Simão Sá","Largo do Báltico, 88
9499-803 Almada"
"César Vieira","R. de São Roque da Lameira, 24
1208-331 Santana"
"Simão da Correia","Av das Japoneiras, 80
6223-050 Gandra"
"Laura-Maria Figueiredo","Alameda de Barros, 8
2623-894 Oliveira de Azeméis"
"Irina Pereira-Tavares","Praça Machado de Asis, S/N
9783-515 Santa Comba Dão"
"Álvaro Correia","Avenida Campolide, S/N
1975-802 Mealhada"
"Amélia Borges","Travessa Português, 12
8167-083 Vila Nova de Foz Côa"
"Denis Cardoso-Loureiro","R. de Sá, 90
6005-250 Fafe"
"Sara Nogueira","Travessa Luana Melo, 84
1325-165 Seixal"
"Simão de Mendes","Alameda do Carrasco, 46
7953-415 Matosinhos"
"Violeta-Kelly Andrade","Praça Mélanie Nunes, 77
3430-361 Porto Santo"
"Luísa Amaral","Rua Beatriz Domingues, 6
1088-235 Penafiel"
"Alexandre Alves","Alameda Carlos Paiva, S/N
4328-370 Barreiro"
"Lúcia Loureiro","Praça Gomes, 88
7573-821 Rio Maior"
"Gonçalo Costa","Largo Fernandes, 7
6993-780 Odivelas"
"Ângelo Assunção","Largo Leandro Teixeira, S/N
8773-792 Póvoa de Santa Iria"
"Bruno Moreira","Avenida da Pasteleira, 278
8207-278 Queluz"
"Denis Macedo","Rua Tomás Melo, 93
1710-951 Lourosa"
"Nuno Guerreiro-Martins","Avenida Flor Santos, 5
1733-713 Câmara de Lobos"
"Luciana Maia","Largo Matias, 270
9138-714 Sintra"
"Bárbara Carneiro","Rua Neves, 1
5920-552 Vila Real"
"Sérgio Pacheco","Largo de Monteiro, 43
4988-126 Viseu"
"Fabiana Magalhães-Soares","Avenida de Azevedo, 74
9512-832 Alcobaça"
"Mariana Oliveira","Largo Batista, 258
5673-030 Santarém"
"Caetana Pinto","Avenida Vaz, 66
2160-077 Vila Real"
"Juliana Coelho-Matos","Alameda Emília Domingues, 30
1205-790 Estarreja"
"Andreia Andrade","Alameda de Moreira, 11
6330-857 Portalegre"
"Denis Silva","Praça de Magalhães, 194
9347-693 Paços de Ferreira"
"Álvaro da Vaz","Travessa de Baixo, 52
5880-520 Santa Cruz"
"Alexandra Lima","Alameda Cruz, S/N
6431-592 Vendas Novas"
"Sérgio Moura","Largo do Tejo, 54
4236-566 Rebordosa"
"Lara Amorim","Avenida de Cunha, 344
9655-819 Trofa"
"Sandro Rodrigues","Praça Filipe Santos, 3
2111-344 Santa Cruz"
"Catarina Mota-Fernandes","Praça Carneiro, 7
7523-455 Mealhada"
"Mia Borges","Travessa Jesus, S/N
2189-453 Fafe"
"Júlia-Vera Amorim","R. Magalhães, 53
9523-017 Felgueiras"
"Nuno Tavares-Gaspar","R. dos Escaleres, S/N
3356-848 Ponte de Sor"
"Diana Almeida","Largo do Parque, 7
4281-707 Valbom"
"Henrique Morais","Largo de Marques, 19
2234-659 Oliveira do Bairro"
"Diego Guerreiro","Alameda de Antero de Figueiredo, 42
8694-329 Viseu"
"Gabriel Borges","Travessa de Ferreira, 36
5864-991 Câmara de Lobos"
"Márcio Ferreira","Av de Ramos, 1
5135-344 Évora"
"Lia Henriques","Travessa de Macedo, 98
5919-455 Câmara de Lobos"
"Kévim Pereira","Alameda Cardoso, 92
9806-323 Póvoa de Varzim"
"Carlota Teixeira","Praça Gonçalves, 273
1606-550 Alcobaça"
"José Almeida-Antunes","Alameda Petra Martins, S/N
8221-606 Covilhã"
"Inês do Tavares","Rua Silva, 7
6955-109 Porto"
"Diana Carneiro","Alameda Clara Reis, 77
6993-570 Fátima"
"Daniela Pinheiro","Rua Branco, 55
9717-817 Porto"
"Yasmin Faria","Travessa Amorim, 1
5027-014 Ílhavo"
"Íris Gonçalves-Teixeira","Praça de Marques de Oliveira, 14
1054-406 Mirandela"
"Bruno Neto","R. de Pires, 73
6350-964 Coimbra"
"Tomás Faria","Praça Fonseca, 58
8742-348 Oliveira do Hospital"
"Miriam Rocha","Travessa de Martins, 10
6004-561 Paços de Ferreira"
"Melissa Torres","R. das Cegonhas, 590
6482-566 Trofa"
"Paulo Andrade","Rua de Cruz, 4
3091-529 Caniço"
"Amélia de Teixeira","Av Sandro Nunes, 756
6153-077 Albufeira"
"Diana Jesus-Melo","R. de Lopes, 86
8786-584 Santiago do Cacém"
"Álvaro da Silva","Alameda Bianca Brito, S/N
9993-979 Tavira"
"Carolina Alves","Alameda da Rainha, 70
1316-332 Chaves"
"Denis de Pinheiro","Largo de Pinho, 16
2848-323 Freamunde"
"Juliana Mendes-Azevedo","Rua República da Colômbia, 58
7525-025 Tarouca"
"Mateus Neto","R. de Pina Manique, 13
4656-336 Amarante"
"Isabel Amorim","Alameda de Públia Hortênsia, 61
7130-412 Ponta Delgada"
"Cláudio Henriques","Alameda de José Régio, 2
6198-964 Gouveia"
"Violeta Machado","Avenida Sousa, S/N
5722-272 Quarteira"
"Constança Marques","Travessa de Pina Manique, 68
8538-576 Vale de Cambra"
"Diana Nunes","Travessa Ariana Fernandes, 18
7261-168 Fiães"
"Ariana Pacheco","Praça de Correia, S/N
4623-771 Mangualde"
"Samuel Morais","Praça dos Pinheiros ao Parque das Nações, 28
2620-080 Mirandela"
"Cristiano Miranda","Largo de Teixeira, 355
3367-251 Câmara de Lobos"
"Leandro Assunção","Praça Carneiro, 90
2984-119 Esposende"
"Mélanie Costa","Avenida de Morais, 863
2957-087 Valpaços"
"Eva-Alícia Marques","Rua de Lima, 3
4608-500 Ílhavo"
"Igor Pereira","Largo Figueiredo, 52
8880-791 Quarteira"
"Bruno Simões","Avenida 9 de Abril, 599
4042-344 Santa Comba Dão"
"Soraia Monteiro-Batista","Rua S. Bartolomeu, S/N
5359-524 Vila Nova de Famalicão"
"Diana Pereira","Praça Faria, 78
1845-417 Barcelos"
"Mauro Borges-Henriques","Av Pulido Garcia, 2
1053-518 Sintra"
"Sandro Amorim","Av de Barbosa, 4
3856-564 São João da Madeira"
"Mafalda de Sousa","Rua de Costa, 26
8262-128 Lixa"
"Núria Amaral","Av das Andorinhas, 42
8236-152 Cantanhede"
"Alexandra Guerreiro","R. de Leite, 51
8987-944 Tondela"
"Teresa do Gonçalves","Praça da Asprela, 31
3089-744 Coimbra"
"Letícia Rodrigues","R. de Miranda, 57
3161-077 Amadora"
"Andreia Branco","Travessa de Pacheco, 7
7632-639 Felgueiras"
"Nair Borges","Travessa Eduardo Melo, 445
6082-822 Tavira"
"Diana Pinheiro","Av Egito Gonçalves, 95
8770-840 Peso da Régua"
"Igor Matias","Praça de Reis, S/N
3164-017 Beja"
"André Almeida-Pacheco","Travessa de Magalhães, 53
8794-501 Sines"
"Santiago Pacheco","Travessa do Mar, 4
3383-514 Miranda do Douro"
"Filipa-Yasmin Nascimento","Rua Antunes, S/N
9189-891 Viseu"
"Madalena Alves","Avenida Vera Ramos, 26
1353-684 Vila Nova de Foz Côa"
"Joana Matos-Torres","R. Paulo Loureiro, 376
1563-618 Lamego"
"Kevin Cruz","Av de Amaral, 32
2007-762 Valpaços"
"Rita Carvalho","Praça de Baptista, 27
7404-737 Torres Novas"
"Álvaro Batista","Alameda do Outeiro, 62
2096-662 Fátima"
"Diana Pinto","Travessa de Correia, 48
7941-707 Aveiro"
"Tatiana Machado","Av de Ramalde, 36
9610-094 Horta"
"Sofia Jesus","Rua de Monteiro, S/N
6639-300 Évora"
"Igor Tavares","R. Sophia de Mello Breyner Andresen, 54
3480-694 Quarteira"
"Tomás Miranda","R. do Duro, 31
3216-812 Santa Cruz"
"Tiago Borges","Av do Preto, 67
5408-405 Miranda do Douro"
"Joana Jesus","Rua Leonardo Correia, 81
3681-372 Setúbal"
"Gabriela Carvalho","Travessa Maia, 693
7186-777 Vila Nova de Santo André"
"Ariana Nunes","Largo de Mendes, S/N
2482-846 Santa Maria da Feira"
"Letícia Batista","Alameda Nair Barbosa, 36
2126-574 Paços de Ferreira"
"Diana Pires","Praça Carlota Neves, 9
5572-247 Pinhel"
"Leonardo Cardoso","R. República Argentina, 9
4136-334 Lagos"
"Patrícia Moreira","R. Leonardo Figueiredo, 13
4614-213 Santa Comba Dão"
"Pilar Fernandes","Rua Joaquim Valente, S/N
7241-287 Entroncamento"
"Nuno Amorim","Av Diego Araújo, 93
1382-844 Leiria"
"Renata Domingues","Alameda do Carregal, 1
3617-534 Montijo"
"Benedita Miranda","Praça de Pacheco, 991
6442-409 Santo Tirso"
"Enzo de Coelho","Travessa Moura, 6
7717-665 Faro"
"Fabiana Araújo","Av de Loureiro, 3
2402-600 Abrantes"
"Benedita-Rita Moreira","Alameda de Esteves, 69
8540-721 Almada"
"Diana Soares","Rua das Fontainhas, 641
3932-142 Olhão"
"Duarte Fernandes-Pinheiro","Av Silva, 34
1756-161 Esposende"
"Vera Brito","Travessa de Matos, 99
5853-467 Queluz"
"Clara Miranda","Travessa de Santa Helena, 32
5938-187 Viana do Castelo"
"Tomé Freitas","Largo David Antunes, S/N
8112-547 Mangualde"
"Leandro Guerreiro","Largo Nascimento, 21
6984-986 Sines"
"Jaime Jesus","Av de Cruz, 9
5550-183 Cantanhede"
"Yara Anjos","Travessa de Henriques, 25
1049-647 Estremoz"
"Ana Rodrigues","R. de Lima, 80
2131-893 Amora"
"Melissa Pinheiro-Ribeiro","R. Eduardo Nascimento, S/N
9241-171 Barreiro"
"Diana da Neves","Av de Garcia, 26
4139-480 Sabugal"
"Luciana Machado-Ribeiro","Alameda do Dr. António Macedo, 306
2727-852 Lixa"
"Jéssica do Soares","Av de Pinheiro, 28
2235-601 Santa Comba Dão"
"Carlos Silva","Praça Nogueira, 6
1150-394 Valongo"
"Alícia Marques-Carvalho","Praça Bianca Ferreira, 1
7118-819 Almeirim"
"Iara Fonseca","Rua Ivo Almeida, 38
7798-191 Ourém"
"Mariana Valente","Av Juliana Machado, 1
2061-281 Santo Tirso"
"Helena Abreu","Av de Machado, 91
2974-184 Lisboa"
"Luna Cunha","Travessa Henrique Barros, 31
3560-333 Lagos"
"Carlota Lourenço","Alameda do Tronco, 2
3920-798 Vila do Conde"
"Diana-Júlia Guerreiro","Av de Mota, 5
4402-696 Loulé"
"Denis Soares","Praça Letícia Mendes, 74
3707-150 Vila Nova de Gaia"
"Erica Correia","Travessa Bárbara Paiva, 98
6703-701 Tomar"
"Sofia Assunção","Av de Miranda, 885
5760-183 Leiria"
"Miriam Nunes","Rua Noa Simões, 741
8433-280 Barcelos"
"Vítor Coelho","Av da Cruz, 58
1695-060 Amadora"
"Tiago Antunes","Alameda de Nogueira, 15
1431-434 Leiria"
"Fábio Guerreiro","Rua Mota, S/N
2620-166 Felgueiras"
"Luís Miranda","Rua do Borratém, 42
9915-501 Alcobaça"
"Raquel-Luana Ribeiro","Av de Pinheiro, 3
5090-332 Câmara de Lobos"
"Diego Almeida-Cardoso","R. Torres, 975
4111-960 Maia"
"Bernardo Correia","R. da Quinta de São João Baptista, 75
2586-624 Lixa"
"Tomás Miranda","R. do Conselho da Europa, 2
2601-487 Póvoa de Varzim"
"Rafaela Nascimento","Alameda Pinho, 73
1281-951 Rebordosa"
"William Ramos","Travessa João Jayme Faria Affonso, 867
5150-199 Paredes"
"Igor Gonçalves","Largo Vicente Rodrigues, 70
7565-090 Vila Nova de Famalicão"
"Lúcia Loureiro","R. de Castro, 78
3826-109 Estremoz"
"Kyara Vicente","Praça Adolfo Ayala, S/N
7225-075 Santa Maria da Feira"
"Débora Faria","Avenida Oliveira, 62
1145-993 São Mamede de Infesta"
"Juliana Nascimento","Av do Dr. Manuel Laranjeira, 9
7750-153 Póvoa de Santa Iria"
"Diego Assunção","Praça Leonor Gomes, 863
1251-970 Ribeira Grande"
"Tomás Lopes","Alameda de Vaz, 7
1038-811 Alcobaça"
"Ivan Ramos","R. de Morais, 98
2709-655 Póvoa de Varzim"
"Renata Pinho","Largo Correia, 506
5793-845 Ovar"
"Cristiano Pinto-Barbosa","Praça do Varejão, 23
6145-564 Lourosa"
"Naiara Alves","Rua Carlota Matias, S/N
4768-702 São João da Madeira"
"Constança Esteves","Travessa de Andrade, 10
4770-060 Agualva-Cacém"
"Kevin Pires","Av Moreira, 9
4632-511 São João da Madeira"
"Raquel Carneiro","Alameda de Carvalho, S/N
9518-028 Ovar"
"Letícia Nunes","Av Irmã Lúcia, 97
3542-466 Tarouca"
"Diego Leal","Largo Nicole Borges, 956
3268-978 Torres Novas"
"Petra Antunes","Travessa de Abreu, 6
5131-390 Sines"
"Patrícia Carvalho-Pires","Avenida Nicole Marques, 58
8548-924 Sintra"
"Cristiano Esteves","Rua Prof. António José Saraiva, 6
6791-743 Bragança"
"Samuel Magalhães","Avenida Carvalho, 33
2289-438 Câmara de Lobos"
"Lara Santos","Rua dos Ferreiros, 3
1150-579 Lamego"
"Luna Faria-Figueiredo","Travessa Ismael Azevedo, 49
5581-993 Vila Franca de Xira"
"Caetana Almeida-Faria","Alameda Ana Magalhães, 60
8150-035 Gandra"
"Eduarda Pacheco-Moura","Av Alves, 72
1489-306 Entroncamento"
"Vicente Pinto","Alameda da Estiva, 5
7066-133 Quarteira"
"Diego Matos","Alameda Maestro Ivo Cruz, 6
5138-167 Faro"
"Ivo Mota","R. de Fernandes, 562
9567-349 Freamunde"
"Isabel de Pacheco","Travessa de Costa, S/N
5932-303 Amarante"
"Rita Pinho","Avenida Wilson Santos, 563
6134-050 Beja"
"Mauro do Torres","R. Leal, 7
8441-486 Chaves"
"Letícia da Alves","Rua de Barbosa, 4
6339-053 Tomar"
"Lara Leal","Travessa de Vaz, 22
4554-612 Fátima"
"Leonor Baptista","Avenida de Valente, 31
9016-329 Entroncamento"
"Frederico Reis","R. Freitas, S/N
6533-313 Póvoa de Varzim"
"Rodrigo Pinto-Baptista","Praça de Castro, 8
4720-656 Gondomar"
"Diego Monteiro-Gomes","Praça Barros, 710
3410-274 Ribeira Grande"
"Joel Rocha","R. de Vicente, 34
5636-373 Seia"
"Ismael Faria","Rua Luca Costa, S/N
5951-786 Montemor-o-Novo"
"Diana de Barros","Av Mota, 3
7767-521 Évora"
"Sara Leal","R. Margarida Figueiredo, 23
9830-963 Ourém"
"Núria Antunes","Travessa Íris Nunes, 3
4694-675 Fátima"
"Mário da Cunha","Largo Gomes, 577
7534-177 Alcobaça"
"Soraia Vieira","Praça de Cunha, S/N
4241-872 Peniche"
"Violeta Leal","Av Loureiro, S/N
7435-484 Santana"
"Nuno do Reis","Alameda Correia, S/N
8251-884 Agualva-Cacém"
"Diego Nascimento","Alameda das Ondas, 61
1189-056 Marco de Canaveses"
"Sofia Santos","Av Matias, 8
8122-156 Vizela"
"Isabel Coelho","Travessa Tomás Freitas, 25
7759-225 Elvas"
"Hugo Paiva","Praça de Pacheco, 368
2181-138 Covilhã"
"Naiara-Bruna Faria","Largo Pereira, S/N
4374-263 Alcobaça"
"Victória Andrade","Largo do Dr. Antunes Guimarães, 821
6047-263 Gafanha da Nazaré"
"Lúcia Pinheiro","R. de Brito, 25
4982-434 Rebordosa"
"Alice do Freitas","Largo Ângela Rodrigues, 4
5919-357 Almada"
"Gonçalo do Pacheco","R. de Lourenço, 4
9845-085 Marinha Grande"
"Henrique Pereira","Largo do Seabra, 12
6269-834 Santarém"
"Diego Nunes","R. de Neto, 73
8671-635 Peniche"
"Joana Matos","Rua de Silva, S/N
3945-385 Ribeira Grande"
"Marta do Henriques","R. do Dr. Fernando de Azeredo Antas, S/N
6039-309 Viana do Castelo"
"Valentina Gomes","Largo de Mota, 9
5611-098 Valongo"
"Lourenço Costa","Travessa de Borges, S/N
2650-101 Valongo"
"Vítor Pacheco","Largo Fonseca, 7
8634-566 Macedo de Cavaleiros"
"Gonçalo Gomes","Largo de Azevedo, 117
9653-734 Sines"
"Fernando Santos","R. Guilherme Garcia, 55
7899-928 Lourosa"
"Alexandra Guerreiro","Av Cristiano Monteiro, 571
3027-870 Funchal"
"Tatiana Ferreira","Largo de Batista, 54
2897-212 Tarouca"
"Diego Vaz","R. da Estiva, 4
1023-347 Trofa"
"Marta-Naiara Leite","R. dos Jacarandás, S/N
3040-498 Chaves"
"Kelly Morais","Rua Yara Morais, 7
9866-302 Estremoz"
"Bruno Araújo","Praça Pinheiro, S/N
1900-438 Quarteira"
"Luís Esteves","Praça Gaspar, 92
1166-931 Pinhel"
"Melissa Campos","R. Gonçalves, 53
5956-211 Amarante"
"Guilherme de Reis","Travessa Vicente Vaz, 592
5724-596 Lamego"
"Luna Cunha","Av dos Pinheiros, 6
2951-379 Alcácer do Sal"
"Bárbara Assunção","Avenida Paiva, 30
2384-493 Lamego"
"Sérgio Pinto","Alameda Filipa Oliveira, 95
5624-599 Fátima"
"Diego de Amaral","Avenida de Loureiro, 64
9127-642 Fátima"
"Erika Pacheco-Anjos","R. de Vaz, 92
5524-345 Estremoz"
"Ângelo de Pacheco","Alameda Simões, 35
2295-635 Loulé"
"Camila Fernandes","Av Rodrigues, 3
1185-946 Reguengos de Monsaraz"
"Lourenço Ribeiro","Avenida das Canas, S/N
7701-427 Sintra"
"Vítor Mota-Lima","Av de Reis, 18
8583-652 Cantanhede"
"Bruna Martins","Praça das Laranjeiras, 96
2514-657 Anadia"
"Débora Paiva-Gomes","Praça Ramos, 443
9706-141 Felgueiras"
"Luísa Lopes","Praça da França, 3
9658-408 Loulé"
"Filipa Castro","Rua Vicente, 11
6203-226 Vila Real de Santo António"
"Diego de Pinto","Travessa das Olaias, S/N
2923-846 Figueira da Foz"
"Alice Torres","Av Amorim, 4
1250-427 Serpa"
"Maria Pacheco","Av de Neves, 5
9117-557 Figueira da Foz"
"Letícia Gaspar","R. de Vaz, 3
4423-402 Mêda"
"Lara Mota","Praça de Soares, 79
9872-574 São João da Madeira"
"Álvaro Ribeiro-Ribeiro","Alameda de Miranda, S/N
1603-615 Ponta Delgada"
"Eva Nogueira","Praça Isabela Anjos, 1
1069-138 Valbom"
"Alícia Melo","Rua Flor Henriques, 67
9413-988 Amadora"
"Vicente Valente","Av de Pinho, 47
7595-377 Vila Real de Santo António"
"Flor Garcia","R. Tomé Cruz, 26
9494-312 Fátima"
"Dinis Carvalho","Rua de Morais, 69
4267-086 Guimarães"
"Ricardo Pacheco","Travessa de Brito, S/N
7814-686 Ourém"
"Daniela Pinho","Travessa de Torres, 759
3682-050 Santa Cruz"
"Ivo Garcia","R. Naiara Assunção, 26
2114-940 Fundão"
"Renata-Lara Mendes","R. Cláudio Paiva, 39
6406-781 Maia"
"Luciana-Andreia Almeida","Rua de Pinheiro, S/N
7718-512 Amadora"
"Fábio Cardoso","Praça Pereira, 59
4195-097 Valbom"
"Margarida Gaspar","Rua Assunção, S/N
5805-841 Sines"
"Yasmin Freitas","Travessa Gonçalves, 3
2560-254 Silves"
"Anita-Lúcia Ferreira","Alameda Luca Almeida, 4
9793-821 Funchal"
"Dinis Garcia","Avenida Luca Paiva, S/N
2693-146 Gafanha da Nazaré"
"Naiara Gonçalves-Rocha","Alameda de Andrade, S/N
8003-260 Felgueiras"
"Rafael do Amorim","Rua da Quinta do Guarda-Mor, 19
2356-078 São João da Madeira"
"Iara Domingues","Travessa Valente, 35
9856-123 Tavira"
"Artur de Almeida","Largo Clara Barros, 3
9034-814 Guimarães"
"Juliana Teixeira","Rua das Cebolas, 61
9075-681 Oliveira de Azeméis"
"Filipe Brito","Rua de Magalhães, S/N
3869-580 Santa Comba Dão"
"Flor Gomes","Av Margarida Carvalho, 32
3584-015 Chaves"
"Caetana Batista","Rua Cruz, 136
8830-085 Fiães"
"Wilson Torres","Travessa Carneiro, 3
4440-751 Esposende"
"Dinis Garcia-Leal","Av Melissa Brito, 82
6349-868 Oliveira do Hospital"
"Gil Sá","Travessa de Pereira, 739
2841-291 Vale de Cambra"
"Márcio do Lourenço","Avenida de Neto, 94
8221-116 Vila Nova de Famalicão"
"Diana-Mara Cruz","Alameda de Nunes, 31
6020-469 Valpaços"
"Denis Domingues","Praça de Pires, 288
4467-303 Gafanha da Nazaré"
"Lara Sá","Travessa Jesus, S/N
1983-697 Matosinhos"
"Afonso Vieira","Largo de Miranda, 88
7105-722 Lamego"
"Sandro Azevedo","Largo de Moura, 41
1470-708 Santa Maria da Feira"
"Lourenço Nunes","Travessa Vicente, 76
9257-350 Abrantes"
"Hugo Valente","Largo Salomé Alves, 2
6987-813 Praia da Vitória"
"Dinis Mota","R. de Lopes, 841
5360-298 Felgueiras"
"Guilherme Pereira","Largo Valente, 51
3286-564 Torres Novas"
"Mateus Cardoso","Praça da Boavista, 5
8747-293 Faro"
