"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov" 
"Renáta Zigová"	"Cablkova 58
962 54 Breznica"
"Ida Holičeková"	"Pernecká 45
095 68 Krpeľany"
"Bartolomej Gavorník"	"Puškinova 528
977 20 Stankovany"
"Benjamín Majdán"	"Ursínyho 44
057 05 Otrhánky"
"Ignác Valíček"	"Pod Krásnou hôrkou 22
922 86 Jasová"
"Bohuš Hutta"	"Ribayová 680
919 77 Krná"
"Dáša Pauliková"	"Hlavné námestie 8
802 26 Uhorské"
"pán Cyril Pavelek"	"Dobšinského 5
928 46 Rajecká Lesná"
"Iveta Melicheríková"	"Jurská 5
823 08 Petrova Ves"
"Petrana Adamecová"	"Bažantia 413
895 16 Potoky"
"Elisa Zajacová"	"Hlohová 7
028 80 Lesné"
"Silvester Tomek"	"Fibichova 722
845 20 Kamenná Poruba"
"Ružena Bánová Ph.D."	"Sliezska 861
897 52 Ozdín"
"Benjamín Mačkovič"	"Blatúchová 497
975 08 Štefanov"
"Erika Hilmerová"	"Bazalková 9
927 18 Malé Zálužie"
"Bohuš Martinovič"	"Františka Schmuckera 8
095 51 Dobroslava"
"Gašpar Bielik"	"Šíravská 95
866 99 Mojš"
"Vavrinec Gašpar"	"Spišská 235
914 90 Ratnovce"
"Olympia Salajová"	"Koperníkova 2
988 74 Jasenov"
"Žigmund Krajčír"	"Monardová 564
868 38 Železník"
"Radúz Štefánik"	"Lesnícka 289
857 72 Lupoč"
"Timotej Dančák"	"Harmanecká 223
078 54 Bajč"
"Maximilián Ďuro"	"Antická 202
925 78 Okoč"
"Benjamín Mišík"	"Hontianska 512
879 68 Ruská Nová Ves"
"Demeter Fabián"	"Adámiho 2
890 72 Havaj"
"Fridrich Kollár"	"Dulovo námestie 6
053 95 Domaniža"
"Ambróz Polák"	"Rajecká 112
815 95 Vagrinec"
"Jakub Ryša"	"Varšavská 85
972 84 Nižný Mirošov"
"Alana Sanitrová"	"Švabinského 8
994 10 Trenč"
"Marína Hudáčeková"	"Ulica Jozefa Krónera 816
933 19 Čičmany"
"Pankrác Drotár"	"Mišíkova 6
981 53 Litava"
"Rebeka Cígerová"	"Primaciálne námestie 66
931 78 Veľká Lodina"
"Emil Melichar"	"Karadžičova 60
953 60 Brezolupy"
"Benjamín Ťapák"	"Pavla Blaha 47
872 60 Dražice"
"Milota Paulíčeková"	"Pavla Blaha 97
948 92 Klasov"
"Jakub Kocák"	"M. Hella 9
928 17 Čirč"
"Kornel Šalajka"	"Veternicová 1
860 56 Malinovo"
"Petra Krajíčeková"	"Porubského 142
810 40 Hajnáčka"
"Sabína Kupová"	"Batkova 890
844 41 Podhorany"
"Jonáš Gavalier"	"Hlavné námestie 36
098 03 Komárany"
"Albín Murgaš"	"Spojná 15
007 04 Abrahám"
"Nadežda Kočová"	"Jesenského 3
079 39 Šútovo"
"Kristína Vaneková"	"Podkolibská 28
960 01 Kapušany"
"Bernard Kocák"	"Klatovská 9
085 50 Plechotice"
"Marcela Bánová"	"Kuzmányho 1
977 26 Čerenčany"
"Elvíra Maceková"	"Furmintská 65
039 63 Bánovce nad Ondavou"
"Alojz Kolník"	"Vrchná 8
056 81 Senné"
"Marcel Sidor"	"Kovácsova 253
877 30 Fačkov"
"Tatiana Andrášiková"	"Vrbenského 7
869 20 Okoličná na Ostrove"
"Ľuboslava Nemcová"	"Havrania 1
900 14 Streženice"
"Ernest Roháček"	"Riečna 379
946 45 Čekovce"
"Emanuel Konrád"	"Jozefa Mikisitsa 65
932 94 Domadice"
"Klement Štrba"	"Novobanská 36
035 23 Nová Baňa"
"Bernard Makovický"	"Bukureštská 870
953 10 Uzovce"
"Bohumír Mihalík"	"Na križovatkách 39
851 87 Podzámčok"
"Branislava Romančíková"	"Kôstková 2
036 84 Stráňavy"
"Adolf Kocák"	"Jastrabia 561
899 87 Madunice"
"Vavrinec Martinko"	"Rajtákova 17
889 89 Skalica"
"Gregor Ďurko"	"Tomášikova 5
971 32 Malé Ripňany"
"Jakub Tirpák"	"Bedľová 64
876 96 Markovce"
"Vratko Bosák"	"Rascová 739
010 31 Dolný Vadičov"
"pán Ľudomil Tomaník Ph.D."	"Dlhé diely III. 67
927 49 Branč"
"Félix Klapko"	"Kysucká 1
947 30 Plášťovce"
"Bernard Masárik"	"Semenárska 10
863 00 Šarovce"
"Danica Roháčiková Th.D."	"Socháňova 284
822 45 Vyšný Komárnik"
"Ivan Miklík"	"Orgovánová 94
074 24 Košťany nad Turcom"
"Melánia Pušková"	"Perličková 5
910 35 Krajné Čierno"
"Gregor Pallo DiS."	"Švantnerova 7
934 25 Pavlovce"
"Miriama Harváneková"	"Baničova 10
935 30 Kladzany"
"Ignác Michalík"	"Nad Dunajom 605
961 20 Sap"
"Eliáš Čapko Ph.D."	"Muštová 928
803 47 Častkov"
"Patrícia Palkovičová"	"Planét 437
994 43 Sikenička"
"Cyril Švehla"	"Výhonská 69
813 95 Ruský Hrabovec"
"Bernard Richard"	"Vansovej 9
002 25 Chyžné"
"Andrej Medvecký"	"Trnavská cesta 5
873 43 Podhorany"
"Ľuboslava Hubová"	"Dunajská 8
847 81 Rakša"
"Kvetoslava Husáková"	"Rusovce 3
876 99 Zlatník"
"Eleonóra Danková"	"Hradná 39
086 54 Radava"
"Zoran Kus"	"Jurigovo námestie 100
061 53 Horné Zelenice"
"Cyprián Kunda"	"Borodáčova 7
819 09 Žakovce"
"Bohdana Kolárová"	"Na Revíne 1
028 44 Malý Lapáš"
"Jaroslava Kovaľová"	"Rešetkova 1
949 28 Lutila"
"Zina Vlnková"	"Hummelova 973
090 95 Veľké Rovné"
"Bernard Starosta"	"Martinčekova 182
857 17 Pčoliné"
"Ľubor Rojko"	"Prímoravská 1
895 85 Bolešov"
"Miloš Rusnák"	"Hospodárska 553
011 14 Trenčianske Bohuslavice"
"Ľudovít Mrazek"	"Opletalova 3
090 87 Turčiansky Peter"
"Ľudovít Tomanek"	"Furdekova 85
883 41 Oravská Polhora"
"Bianka Hupková"	"Detvianska 52
087 84 Nová Bystrica"
"Viliam Sokol"	"Žitavská 56
071 38 Mojzesovo"
"Rastislav Filipek"	"Stará Vajnorská 219
008 11 Devičie"
"Alana Dutková"	"Javorová 975
021 53 Lukačovce"
"Vladislav Cibuľka"	"Hálova 58
932 65 Nitra nad Ipľom"
"Berta Kiselová"	"Ladislava Sáru 6
975 02 Zemplínska Široká"
"Bohdana Petrušková"	"Hurbanovo námestie 66
838 81 Rokycany"
"Alexej Borovský"	"Domkárska 125
010 96 Dlhé nad Cirochou"
"Vavrinec Zúbek CSc."	"Budatínska 582
085 04 Malá Domaša"
"Žofia Dobšinská"	"Cikkerova 4
880 42 Gôtovany"
"Ariel Masarík"	"Rožňavská 9
067 91 Krásnovce"
"Zina Franeková"	"Ľubovnianska 336
967 65 Lodno"
"Albína Letová"	"Novohorská 87
070 69 Havaj"
"Linda Móricová"	"Rožňavská 92
098 54 Zlatá Baňa"
"Vlastimil Kázik"	"Na Slanci 5
093 30 Sečovce"
"Berta Čiernaová"	"Stará Vajnorská 5
946 70 Drňa"
"Bohumír Havran"	"Vígľašská 284
919 69 Krivé"
"Lesia Topoľská"	"Vysoká 99
099 16 Okres Bratislava IV"
"Tichomír Tomaník"	"Blatúchová 2
052 71 Hruboňovo"
"Eulália Janošová"	"Valašská 34
852 19 Beladice"
"Bibiána Gavorníková"	"Špitálska 1
017 76 Čečehov"
"Bronislava Repiská"	"Záhradnícka 48
990 68 Prihradzany"
"Vincent Kisel"	"Šrobárovo námestie 51
940 96 Beňadikovce"
"Prokop Kočko"	"Daliborovo námestie 943
995 58 Hruboňovo"
"Marián Harvánek"	"Lieskovská cesta 30
996 26 Šaľa"
"Beáta Adamová"	"Uzbecká 9
029 13 Kociha"
"Františka Kozáčiková"	"Kočánkova 54
921 99 Hrkovce"
"Zlatko Malina"	"Talichova 92
869 04 Chropov"
"Nikola Nižnánská"	"Záhumenná 280
994 78 Brodzany"
"Iveta Gašparovičová"	"Ďumbierska 7
866 65 Málinec"
"Petrana Junásová"	"Karadžičova 5
869 34 Breznička"
"Albert Paulovič"	"Rascová 2
965 58 Rudinka"
"Blahoslav Čobrda"	"Rádiová 5
881 35 Fričkovce"
"Lesia Jakubecová"	"Rumančeková 81
970 50 Staré"
"Bronislava Tatarková"	"Pšeničná 820
833 69 Dolné Mladonice"
"Beáta Hupková"	"Tokajícka 447
021 94 Stránske"
"Patrik Lipa"	"Gondova 1
025 88 Sečovce"
"Emanuel Kúska"	"Konventná 76
844 50 Tajov"
"Justína Solejová"	"Alešova 3
078 54 Kopernica"
"Vilma Škriniarová"	"Žilinská 2
960 51 Bacúrov"
"Bohumil Salajka"	"Kutlíkova 9
080 39 Lesenice"
"Adriána Droppová Ph.D."	"Rusovská cesta 137
923 13 Sučany"
"Alexia Bernoláková"	"Na Štyridsiatku 97
940 04 Plavnica"
"Blahoslav Kocúrik"	"Skalná 837
870 03 Podtureň"
"Zora Dávidová"	"Uhorková 310
077 66 Jasenov"
"Beňadik Jakubík"	"Jána Smreka 7
068 38 Tušická Nová Ves"
"Ľubomíra Miklošková"	"Jalovcová 9
011 32 Liptovská Teplička"
"Kvetoslav Vlnka"	"Starorímska 5
933 36 Pravotice"
"Stanislava Šimková"	"Hurbanovo námestie 742
926 80 Šúrovce"
"Viktor Mihalik"	"Malodunajská 70
026 63 Jahodná"
"Libor Murin"	"Bradlianska 822
015 93 Rajec"
"Elena Poláková"	"Zochova 7
935 19 Plevník - Drienové"
"Alex Janočko"	"Staré záhrady 363
952 23 Krajná Bystrá"
"Otília Kenížová"	"Vrakunská cesta 82
840 49 Skrabské"
"Dana Kropiláková"	"Na Štyridsiatku 70
079 24 Holčíkovce"
"Beňadik Maďarič"	"Soferove schody 965
044 23 Obišovce"
"Karol Kunka"	"Čavojského 265
817 67 Horná Súča"
"Iveta Mihalíková"	"Antolská 29
955 80 Malé Kosihy"
"Zdenka Dušičková"	"Púchovská 975
912 85 Malý Krtíš"
"Liliana Ďurišová"	"Majerská 89
019 19 Kľušov"
"Elisa Micháleková"	"Odbojárov 103
019 00 Malatíny"
"Irma Fabiánová"	"Slovanské nábrežie 160
940 87 Štvrtok"
"Alžbeta Brezinová"	"Ulica 29. augusta 50
004 75 Sokolovce"
"Silvester Kozmon"	"Hviezdna 687
869 48 Pravica"
"Aurélia Šarkanová"	"Hrebendova 6
054 60 Hôrky"
"Beňadik Moric"	"Žiarska 42
804 84 Dolná Krupá"
"Mário Valach"	"Klincová 6
931 95 Ruská"
"Lolita Kubíčeková"	"Námestie sv. Petra a 31
887 56 Slepčany"
"Gertrúda Jakubeková"	"Námestie Jána Pavla 925
834 71 Solčianky"
"Benjamín Tatár"	"Tobrucká 5
952 98 Dlhá"
"Milica Hanusová"	"Skuteckého 98
938 97 Vitanová"
"Hermína Slašťanová"	"Svätého Vincenta 63
937 66 Krakovany"
"Zora Novotná"	"Fikusová 3
873 12 Bobrovček"
"Viola Kušková"	"Dražická 7
987 04 Leopoldov"
"Iveta Vaneková"	"Šancová 450
903 71 Lomnička"
"Beňadik Mrázko"	"Živnostenská 565
972 68 Brestov nad Laborcom"
"Alica Sečová"	"Cyprichova 7
022 17 Povina"
"Soňa Hrašková"	"Thurzova 7
826 69 Nitrianske Rudno"
"Romana Holičková"	"Trebišovská 3
828 69 Horná Ždaňa"
"Tarzícius Heretik Ph.D."	"Uhrovecká 637
945 52 Veľopolie"
"Irma Muchová"	"Kataríny Brúderovej 9
977 49 Slanec"
"Atila Kysel"	"Harmincova 524
082 67 Stará Halič"
"Marcela Čapková"	"Spätná cesta 24
969 35 Horná Streda"
"Adolf Timka"	"Kapitulský dvor 1
871 83 Osádka"
"Kamil Fabian"	"Fedákova 823
803 07 Parchovany"
"Beňadik Murin"	"Červená 470
990 98 Iňa"
"Štefánia Klimová"	"K horárskej studni 386
007 59 Blatná na Ostrove"
"Zoran Ďuro"	"Kudlákova 411
971 26 Domaniža"
"Adela Zajacová"	"Ľubochnianska 2
089 74 Hubová"
"Svetlana Luptáková"	"Bedľová 83
914 81 Ľutina"
"Lea Šlahorová"	"Bazalková 93
853 44 Veľké Chlievany"
"Erik Kotulič"	"Štetinova 3
865 12 Klin"
"Renáta Jurčová"	"Bahniatková 7
081 63 Šamorín"
"Hubert Rubík"	"Bošániho 34
015 49 Koňuš"
"Ľudomil Nota"	"Matúškova 4
860 27 Vavrečka"
"Beňadik Rys"	"Irkutská 84
015 81 Semerovo"
"Elvíra Beňová"	"Západný rad 1
895 21 Čečejovce"
"Stanislav Mrázko"	"Krížna 947
957 30 Halič"
"Mikuláš Rusnak"	"Vlčkova 13
893 83 Dulovce"
"Jarolím Klimáček"	"Hrobárska 8
838 92 Koňuš"
"Ľuboslav Dúška"	"Trebišovská 45
017 22 Brezovica"
"Oto Klimo"	"Hutnícka 5
067 96 Ruskovce"
"Barbara Janíková"	"Markova 740
060 40 Dunajov"
"Teodor Hanka"	"Vavilovova 911
975 63 Podkriváň"
"Žofia Masaryková"	"Skoroceľová 359
040 50 Nitrianske Pravno"
"Bianka Karulová"	"Špieszova 73
898 24 Nižný Slavkov"
"Beáta Michalicová"	"Štefanovičova 60
059 46 Lipníky"
"Magdaléna Jančeková"	"BzovIcka 558
862 85 Omšenie"
"Karol Andrašík"	"Námestie Jána Kostru 9
844 19 Ďurďoš"
"Zlatko Kiseľa"	"Drobného 555
089 18 Sedliacka Dubová"
"Judita Česneková"	"Závodníkova 258
990 02 Mestisko"
"Eunika Mihalíková"	"Trenčianska 2
033 28 Bíňovce"
"Miroslav Vaška"	"Na grbe 62
810 81 Spišské Hanušovce"
"Leopolda Kúsková"	"Deviata 36
906 75 Hradište pod Vrátnom"
"Beňadik Dvorský"	"Špitálska 20
844 55 Dražkovce"
"Bianka Kostrecová"	"Pri strelnici 684
900 25 Horovce"
"Júlia Ihnačáková"	"Turistická 41
994 79 Trnava"
"Metod Ivaška"	"Zochova 547
841 24 Skerešovo"
"Henrich Baška"	"Malý Draždiak 999
011 13 Nižná"
"Bartolomej Šebo"	"Sabinovská 48
953 45 Ľubica"
"Laura Kelová"	"Mošovského 3
092 14 Norovce"
"Ema Palková"	"Lozornianská 427
823 32 Hlboké"
"Dávid Žigmund"	"Druhá 33
961 22 Seč"
"Juliana Jurášová"	"Regrútska 3
935 73 Nesluša"
"Enna Husáková"	"Šíravská 466
946 31 Topoľnica"
"Bianka Kupová"	"Tetmayerova 6
040 70 Predmier"
"Vlasta Bóriková"	"Sad Janka Kráľa 85
837 04 Vojka"
"Ivica Kotuličová"	"Donovalova 859
885 59 Kvakovce"
"Marína Šťastná"	"Gajc 25
814 58 Nedožery - Brezany"
"Eunika Kubíková"	"Bilíkova 66
847 58 Blatné Remety"
"Tichomír Fico"	"Dobrovičova 636
050 26 Podbiel"
"Fedor Klapko"	"Vajnorská 34
912 55 Tisinec"
"Pavol Rybníček"	"Krásnohorská 4
951 57 Kosihy nad Ipľom"
"Ivica Sameľová"	"Úprkova 684
838 45 Polomka"
"Móric Mihalik"	"Hornádska 677
050 91 Pusté Čemerné"
"Bianka Kúšová"	"F. Kostku 419
074 27 Šašová"
"Františka Holičeková"	"Františkánska 526
018 67 Okružná"
"Alfréd Lacka"	"Mlynská 93
083 16 Osturňa"
"Ela Hupková"	"Stupavská 64
924 95 Baka"
"Alexander Moric"	"Adámiho 701
082 35 Rešica"
"Rudolf Labuda"	"Jurská 18
851 98 Ostrá Lúka"
"Jonáš Hanuška"	"Vtáčikova 8
875 94 Opatovská Nová Ves"
"Olympia Tomková"	"Bottova 7
851 54 Chyžné"
"Šimon Dudko"	"Tramínová 29
833 14 Udiča"
"Albert Vozar"	"Rezedová 904
890 62 Jakovany"
"Bianka Marcinková"	"Palisády 4
084 97 Šemetkovce"
"Matilda Richtárová"	"Moyzesova 700
002 31 Horný Kalník"
"Perla Kocianová"	"Na varte 2
983 03 Rohovce"
"Jaromír Mináč"	"Belinského 44
052 81 Čečejovce"
"Žaneta Dubovská"	"Kórejská 3
011 03 Lesenice"
"Emília Rosová"	"Vlárska 721
880 77 Jalšové"
"Tarzícius Šlivka"	"Povraznícka 2
920 76 Brezovica"
"Ondrej Selecký"	"Ražná 669
828 25 Vrbová nad Váhom"
"Denis Černík"	"Krížna 263
090 73 Malé Zálužie"
"Jolana Daňková"	"Agátová 679
903 40 Ješkova Ves"
"Bianka Masárová"	"Mlynské nivy 637
839 17 Ižkovce"
"Klement Zubek"	"Orechový rad 18
008 94 Rochovce"
"Barbora Mrázová"	"Vývojová 71
007 31 Bušince"
"Radúz Michálik"	"Pri Dynamitke 9
949 66 Kľače"
"Imrich Kus"	"Palárikova 1
842 10 Studenec"
"Zlatko Kubík"	"Námestie Rodiny 1
926 79 Chrabrany"
"Félix Blažej"	"Tetmayerova 8
997 94 Gribov"
"Vratislav Michalech"	"Petržalská 6
860 46 Drienovská Nová Ves"
"Emanuel Chovanec"	"Laborecká 4
075 47 Zemplínske Hradište"
"Ctibor Jurčina"	"Petöfiho 1
005 40 Košecké Podhradie"
"Bianka Škantárová"	"Františkánske námest 7
052 66 Gajary"
"Emanuel Pavlík"	"Alešova 48
063 26 Žakovce"
"Urban Kisela"	"Tekvicová 189
905 28 Letanovce"
"Nora Navarová"	"Leánska 40
907 86 Konská"
"Oliver Paľa"	"Čachtická 86
044 64 Belejovce"
"Regína Lojová"	"Hraničná 4
021 37 Kuklov"
"Veronika Machnáčová"	"Jelšová 692
823 52 Klokoč"
"Gregor Bruško"	"Závadská 6
061 71 Nová Dubnica"
"Timotej Galík"	"Rumunská 8
091 19 Havranec"
"Urban Šidlo"	"Podtatranského 9
914 12 Malé Leváre"
"Bibiána Capeková"	"Puškinova 5
945 57 Ruská Poruba"
"Drahoslava Jakubíková"	"Jelšová 70
979 58 Krškany"
"Rudolf Mráz"	"Na Baránku 30
072 52 Bartošova Lehôtka"
"Gejza Paulík"	"Smolnícka 2
920 85 Tepličky"
"Šimon Bednár"	"Beňadická 367
823 49 Mýtna"
"Bohumila Ondrášiková"	"Hradné údolie 2
916 19 Ratnovce"
"Jarolím Hric"	"Koprivnická 3
833 44 Kožany"
"Berta Borková"	"Záhradnícka 1
030 91 Juskova Voľa"
"Václav Žigmund"	"Marie Curie-Sklodows 6
882 50 Dolné Zahorany"
"Ludolf Čapko"	"Svätoplukova 58
943 95 Krajná Poľana"
"Bibiána Kubičeková"	"Landauova 6
012 55 Zbrojníky"
"Kornel Mác"	"Ostravská 276
059 98 Oslany"
"Leonard Palovčík"	"Jiráskova 43
032 58 Soľník"
"Slavomíra Čapkovičová"	"Kurucova 146
839 30 Malé Raškovce"
"Bianka Daneková"	"Suché mýto 51
049 47 Spišská Stará Ves"
"Benjamín Rusko"	"Kaukazská 1
949 51 Holumnica"
"Albín Bobuľa"	"Samova 426
843 20 Kalinov"
"Ivan Kuba"	"Húščavova 3
883 58 Čierny Brod"
"Metod Hupka"	"Šarišská 88
905 99 Žalobín"
"Juraj Janošek"	"Valašská 358
087 79 Kazimír"
"Bibiána Ondrášiková"	"Slnečná 31
819 12 Petrovo"
"Roman Kozáček"	"Imelová 7
919 28 Jurová"
"Roland Plavec"	"Miletičova 251
884 27 Mirkovce"
"Nikola Navarová"	"Miletičova 54
052 12 Balog nad Ipľom"
"Ľubomír Čierny"	"Šafárikovo námestie 579
045 98 Liptovský Trnovec"
"Františka Štefanková"	"Majoránová 239
846 25 Rákoš"
"Ľubomíra Ďurová"	"Jána Raka 29
044 51 Oreské"
"Kamila Kotianová"	"Blatúchová 6
869 13 Leštiny"
"Gabriel Lajčák"	"Cesta na Kamzík 2
999 40 Dolný Pial"
"Stanislav Paška"	"Šintavská 7
876 98 Chminianske Jakubovany"
"Bibiána Tomašková"	"Vígľašská 91
059 46 Korejovce"
"Dušan Jakubček"	"Bardejovská 8
000 77 Kríže"
"Marek Kubek"	"Muštová 51
976 99 Vislava"
"Nataša Krištofová"	"Bartoškova 16
070 25 Krupina"
"Hubert Lojko"	"Turnianska 87
020 76 Slavoška"
"Iľja Škultéty"	"Súmračná 95
928 90 Svätuše"
"Ľuboš Mác"	"Račianska 2
964 04 Stožok"
"Viola Opluštilová"	"Horčičná 789
083 37 Vršatské Podhradie"
"Rastislav Holiček"	"Pri Dynamitke 6
848 45 Nová Ves"
"Sebastián Višňovský"	"Brumovická 1
870 73 Jasenica"
"Blahoslav Bondra"	"Kukučínova 9
918 97 Marianka"
"Radoslava Pašeková"	"Avarská 85
982 38 Breznica"
"Irma Kostková"	"Olšová 65
026 81 Vyšný Kubín"
"PhDr. Fridrich Mackovič"	"Ľadová 5
049 07 Vladiča"
"Blažej Bašo"	"Poludníková 81
087 86 Miezgovce"
"Liliana Valentová"	"Kafendova 46
048 99 Lakšárska Nová Ves"
"Ivan Maďarič"	"Súbežná 3
889 66 Terany"
"Romana Margitová"	"Ahoj 123
851 67 Ipeľské Úľany"
"Bohdan Jendek"	"Hrušková 9
057 63 Baňa"
"Silvester Petrovický"	"Dlhé diely II. 470
897 12 Otročok"
"Blahoslav Dudko"	"Kovácsova 53
021 72 Riečka"
"Dominika Krištofová"	"Kamzík 6
880 53 Dolný Ohaj"
"Maroš Máček"	"Novobanská 42
924 51 Veľké Vozokany"
"Branislava Pavliková"	"Novosadná 959
075 66 Vápeník"
"Tobiáš Hruška"	"F. Kostku 676
936 88 Veľká Tŕňa"
"Jaroslava Hanaková"	"Záhradnícka 677
053 46 Plavecké Podhradie"
"Eliáš Janošo"	"Vrbenského 583
966 54 Ploské"
"Stela Ihnačáková"	"Trnková 474
857 81 Chotča"
"Daniela Masáriková"	"Klatovská 616
088 85 Nitrianska Blatnica"
"Gejza Jakubka"	"Gercenova 2
860 05 Oľšov"
"Blahoslav Heretik"	"Medovková 42
990 18 Horné Vestenice"
"Kamil Hrušovský"	"Uršulínska 505
844 06 Dolná Mariková"
"Ida Vašeková"	"Detvianska 6
036 87 Marhaň"
"Lolita Turčoková"	"Žitná 61
079 26 Komjatice"
"Melichar Janošek"	"Tvarožkova 86
952 59 Kyselica"
"Vieroslava Klimáčeková"	"Likavská 7
883 00 Lubina"
"Ondrej Húšek"	"Partizánska 656
943 37 Ptrukša"
"Pravoslav Paulovič"	"Mlynské luhy 912
926 21 Milhosť"
"Elvíra Kubičková"	"Sečovská 83
006 13 Trenčianske Jastrabie"
"Karol Jánoško"	"Karloveské rameno 72
945 08 Bátorová"
"Blahoslav Loj"	"Družicová 506
945 17 Sokoľany"
"Samuel Kramár"	"Jesienková 441
952 61 Ruský Hrabovec"
"Mojmír Husák"	"Za Kasárňou 59
051 70 Stará Myjava"
"Zoja Hušťáková"	"Štefana Králika 33
877 79 Komjatná"
"Iveta Hrdličková"	"Pilárikova 9
884 91 Zemplínske Hradište"
"Hubert Klimo"	"Východná 78
800 28 Lučenec"
"Gregor Janošek"	"Popovova 88
021 58 Trenč"
"Fridrich Hanuška"	"Ketelec 131
085 88 Štôla"
"Melánia Kušová"	"Čachtická 200
948 94 Čiližská Radvaň"
"Benjamín Matiaško"	"Zlatá 560
017 66 Ličartovce"
"Blahoslav Melicherčík"	"Ružová dolina 436
003 30 Rakovčík"
"Ivica Štefunková"	"Polárna 2
868 17 Liptovský Mikuláš"
"Miloš Tomaško"	"Zelená 85
969 47 Horňany"
"Ervín Dubovský"	"Kupeckého 2
072 73 Baňa"
"Liliana Ďurčová"	"Kadnárova 140
075 02 Brezno"
"Bruno Jánošík"	"Tománkova 10
962 50 Trhová Hradská"
"Filip Vajcik"	"Bradlianska 9
906 41 Skrabské"
"Jozef Farkašovský"	"Poľnohospodárska 9
812 43 Púchov"
"Andrej Kiseľa"	"Čaklovská 56
045 25 Červený Kláštor"
"Leopolda Martinková"	"Hrebendova 441
811 38 Žalobín"
"Blahoslav Slašťan"	"Šándorova 1
977 99 Bodružal"
"Irma Šarkanová"	"Mozartova 399
904 97 Babindol"
"Bohdan Pauliček"	"Levická 7
956 95 Rudno"
"Alexej Jano"	"Fadruszova 591
943 96 Blesovce"
"Zoltán Ondrášek"	"Školská 1
014 53 Krškany"
"Ľuboš Lipa"	"K Železnej studienke 48
946 08 Klčov"
"Blažena Pauková"	"Rošického 2
818 79 Laškovce"
"Uršuľa Doležalová"	"Hriňovská 6
975 45 Vyšný Hrabovec"
"Františka Jonatová"	"Vrančovičova 2
820 64 Hôrky"
"Lívia Milotová"	"Jahodová 1
066 12 Ipeľské Predmostie"
"Blahoslav Tomášek"	"Pod vinicami 787
944 47 Nemešany"
"Bohuslav Bilko"	"Bartókova 5
939 97 Kravany"
"Arnold Kováč"	"Vlčkova 84
023 48 Matejovce nad Hornádom"
"Maroš Blaha"	"Chrasťová 54
973 29 Hajná Nová Ves"
"Samuel Čekovský"	"Pod vinicami 32
987 58 Lučenec"
"Miroslav Fogaš"	"Na vyhliadke 5
976 01 Ploské"
"Kamil Mako"	"Most SNP 36
909 19 Chocholná - Velčice"
"Miroslava Gašparovičová"	"Borodáčova 59
833 30 Píla"
"Soňa Bartovičová"	"Botanická 83
073 17 Jurské"
"Angelika Slovinecová"	"Skuteckého 589
863 78 Magnezitovce"
"Blahoslav Šebo"	"Palisády 9
949 21 Zvončín"
"Eliška Majeská"	"Strojnícka 4
956 74 Nižný Orlík"
"Oxana Štefanová"	"Jesenná 379
827 62 Bulhary"
"Oskár Čobrda"	"Prievozská 527
865 19 Porúbka"
"Maroš Rakovan"	"Klásková 12
050 05 Prihradzany"
"Eliáš Duska"	"Záhumenná 62
989 67 Jablonica"
"Jerguš Dúška"	"Rytierska 2
052 55 Korytné"
"Adam Hošták"	"Strážna 52
931 79 Veľký Slivník"
"Ela Solejová"	"Šrobárovo námestie 58
964 98 Turčianske Kľačany"
"Ľubomíra Kocová"	"Oleandrová 735
991 74 Brezany"
"Blanka Boreková"	"Kaméliová 1
999 63 Drňa"
"Jozefína Selecká"	"Kapucínska 3
875 36 Dedinka"
"Henrich Hušťák"	"Šošovicová 76
869 35 Badín"
"Eliáš Vlachovič"	"Laskomerského 55
024 70 Boheľov"
"Milena Cigániková"	"Dolnozemská cesta 6
831 83 Kozelník"
"Eduard Dzurjanin"	"Horná Vančurová 1
953 66 Danišovce"
"Bernard Mihalík"	"Janka Kráľa 86
066 65 Lučatín"
"Ondrej Sklenár"	"Doležalova 55
061 46 Ľuboreč"
"Dobroslava Pallová"	"Devínska cesta 298
829 86 Dražkovce"
"Krištof Dán"	"Slovinská 162
990 61 Sucháň"
"Blanka Lipová"	"Mlynské luhy 82
053 28 Ortuťová"
"Jarmila Holčíková"	"Jána Smreka 6
828 12 Lipany"
"Silvester Borek"	"Konventná 3
941 55 Lietava"
"Demeter Toman"	"Pri kríži 5
980 60 Ďačov"
"Zdenko Plavucha"	"Sliačska 269
828 65 Breznička"
"Alfonz Fašiang"	"Račianska 28
875 84 Čierny Balog"
"Barbara Kolárová"	"Brižitská 680
002 98 Trpín"
"Leopolda Krúpová"	"Kollárovo námestie 4
835 12 Hrubov"
"Bohuslava Mačková"	"Irkutská 74
936 33 Lošonec"
"Luna Jurková"	"Odbojárov 8
918 47 Rakša"
"Blanka Ondrašíková"	"Prešovská 697
807 23 Ptrukša"
"Beňadik Bosák"	"Kadnárova 646
038 20 Dolné Naštice"
"Tichomír Kús"	"Dopravná 696
840 68 Horné Štitáre"
"Norbert Palúch"	"Drobného 1
062 26 Vojnatina"
"Kristína Čaplovičová"	"Krupinská 47
903 55 Novosad"
"Daniela Krajčiová"	"Muštová 1
007 97 Iňa"
"Marína Haščáková"	"Medová 631
002 55 Studienka"
"Valentína Mlynárová"	"Kúkoľová 770
936 50 Zbojné"
"Edita Dullová"	"Kozičova 1
807 88 Bohdanovce nad Trnavou"
"Sabína Mrázová"	"Kudlákova 442
017 08 Klčov"
