"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Manole Pop"	"Aleea Rada Tudor Nr. 710
Marghita, 618823"
"Marian Nistor"	"Drumul Popescu Nr. 740
Cumpana, 598870"
"Mădălin Mocanu"	"Soseaua Cipriana Gheorghiu
Zalau, 316379"
"Lelia Mocanu"	"Drumul Pușcașu Nr. 73 Bl. 79  Sc. 59 Ap. 864
Cugir, 873008"
"Cristobal Diaconu"	"Strada Leontina Stan Nr. 483 Bl. 48  Sc. 10 Ap. 897
Dabuleni, 734571"
"Andrei Marin"	"Aleea Valentin Nistor Nr. 79 Bl. 30  Sc. 49 Ap. 375
Lugoj, 751074"
"Tudorița Ene"	"Aleea Dinu
Baciu, 486293"
"Robertina Ionescu"	"Bulevardul Silvia Florea Nr. 74 Bl. 27  Sc. 97 Ap. 472
Fundulea, 687148"
"Francisc Manole"	"Drumul Pop
Diosig, 806876"
"Savina Stoica"	"Strada Mocanu
Bumbesti-Jiu, 135899"
"Teodora Tabacu"	"Soseaua Antim Stancu
Ovidiu, 697368"
"Aura Tomescu"	"Drumul Gelu Ardelean Nr. 24 Bl. 69  Sc. 75 Ap. 327
Sadova, 236308"
"Iasmina Mocanu"	"Soseaua Nemeș
Draganesti-Olt, 217308"
"Demetra Niță"	"Soseaua Marin Nr. 40 Bl. 63  Sc. 65 Ap. 340
Sacueni, 927090"
"Cristobal Georgescu"	"Bulevardul Tudor
Intorsura Buzaului, 143263"
"Nicolae Florea"	"Aleea Ababei Nr. 43 Bl. 68  Sc. 83 Ap. 538
Medgidia, 131750"
"Cecilia Niță"	"Intrarea Pușcașu Nr. 87 Bl. 56  Sc. 74 Ap. 890
Targoviste, 401079"
"Mara Ene"	"Bulevardul Letiția Florea
Rasnov, 795174"
"Raul Aanei"	"Aleea Dinu Nr. 67 Bl. 86  Sc. 97 Ap. 235
Roseti, 533331"
"Florica Dinu"	"Strada Nistor Nr. 88 Bl. 61  Sc. 89 Ap. 788
Rosu, 318453"
"Adelin Suciu"	"Aleea Dima
Boldesti-Scaeni, 186976"
"Daciana Popa"	"Aleea Pop Nr. 711
Marghita, 986598"
"Codrina Tomescu"	"Soseaua Dinu
Brasov, 983862"
"Mihnea Voinea"	"Soseaua Popa Nr. 39
Rodna, 745938"
"Cristobal Manole"	"Soseaua Stancu Nr. 507 Bl. 79  Sc. 58 Ap. 729
Tandarei, 328865"
"Beatrice Nistor"	"Soseaua Tudor Nr. 705
Ovidiu, 530707"
"Iulia Stoica"	"Intrarea Daria Niță
Caransebes, 466628"
"Ilona Nistor"	"Strada Oprea
Baraolt, 960620"
"Alexandru Dinu"	"Strada Saveta Dinu
Buzau, 255359"
"Jenel Ababei"	"Aleea Dumitrescu Nr. 939
Codlea, 900636"
"Salomea Ionescu"	"Strada Dumitrescu Nr. 79
Marghita, 914187"
"Cerasela Diaconescu"	"Bulevardul Jeana Stancu Nr. 974 Bl. 36  Sc. 75 Ap. 571
Peris, 144242"
"Ovidiu Dumitrescu"	"Soseaua Niță Nr. 61 Bl. 33  Sc. 34 Ap. 311
Targu Frumos, 371655"
"Steluța Stancu"	"Strada Teofil Tabacu Nr. 37
Poiana Mare, 615438"
"Cristobal Suciu"	"Intrarea Georgiana Ardelean
Mangalia, 604981"
"Dochia Tomescu"	"Bulevardul Pop Nr. 856 Bl. 14  Sc. 97 Ap. 548
Baicoi, 684982"
"Vicenția Nistor"	"Soseaua Georgel Manole Nr. 869
Pantelimon, 952173"
"Pompiliu Ardelean"	"Intrarea Nistor Nr. 50 Bl. 59  Sc. 23 Ap. 697
Cugir, 958255"
"Maricica Aanei"	"Bulevardul Cristea Nr. 169 Bl. 41  Sc. 14 Ap. 141
Tasnad, 525547"
"Aleodor Ardelean"	"Aleea Manole Nr. 87
Ruscova, 225385"
"Crina Preda"	"Aleea Stoica Nr. 419 Bl. 54  Sc. 86 Ap. 273
Sannicolau Mare, 303247"
"Aneta Mazilescu"	"Soseaua Nistor Nr. 321 Bl. 84  Sc. 66 Ap. 797
Breaza de Sus, 144532"
"Adriana Stan"	"Strada Filip Ioniță Nr. 80 Bl. 87  Sc. 13 Ap. 183
Bals, 281573"
"Sabina Dima"	"Intrarea Oprea
Hateg, 413263"
"Cristobal Tomescu"	"Intrarea Ecaterina Preda
Sangeorgiu de Mures, 984862"
"Ovidiu Ene"	"Strada Anemona Popa Nr. 47
Viseu de Sus, 553331"
"Dragoș Diaconu"	"Soseaua Voinea Nr. 82
Strejnicu, 956178"
"Stanca Ardelean"	"Bulevardul Zamfir Diaconescu Nr. 722 Bl. 73  Sc. 53 Ap. 567
Calarasi, 905880"
"Aurica Nistor"	"Strada Stănescu Nr. 129
Zalau, 715681"
"Jenel Barbu"	"Bulevardul Pușcașu Nr. 53 Bl. 27  Sc. 20 Ap. 918
Radauti, 285397"
"Petrișor Diaconu"	"Strada Voinea Nr. 56
Pogoanele, 111576"
"Dacian Stan"	"Soseaua Ioniță Nr. 20
Corabia, 126617"
"Lia Popa"	"Soseaua Cristea
Buftea, 743413"
"Ivona Voinea"	"Aleea Ene Nr. 74 Bl. 15  Sc. 74 Ap. 623
Marasesti, 450123"
"Cristofor Ardelean"	"Aleea Mocanu Nr. 233
Toflea, 299859"
"Ionelia Stoica"	"Bulevardul Toma Nr. 459 Bl. 53  Sc. 70 Ap. 914
Sighetu Marmatiei, 619372"
"Sânziana Diaconescu"	"Strada Eftimie Nr. 24
Otelu Rosu, 567255"
"Adina Dochioiu"	"Soseaua Monalisa Florea Nr. 977 Bl. 32  Sc. 73 Ap. 655
Busteni, 820873"
"Costache Nemeș"	"Intrarea Voinea
Strejnicu, 289014"
"Nidia Dobre"	"Strada Giorgian Dima Nr. 73
Toplita, 665965"
"Pamela Pușcașu"	"Intrarea Diaconescu
Fundulea, 633562"
"Lică Popa"	"Bulevardul Constantina Ionescu Nr. 833
Bosanci, 635359"
"Amalia Dima"	"Strada Anghel Georgescu Nr. 136
Urlati, 701266"
"Codruț Ardelean"	"Bulevardul Manole Nr. 547 Bl. 41  Sc. 80 Ap. 397
Moldova Veche, 112084"
"Cristofor Dochioiu"	"Strada Preda
Fagaras, 264098"
"Vlad Mazilescu"	"Soseaua Sergiu Mazilescu Nr. 75 Bl. 22  Sc. 13 Ap. 124
Fetesti, 398947"
"Maria Tomescu"	"Aleea Renata Mazilescu Nr. 129
Valenii de Munte, 281672"
"Fiona Niță"	"Aleea Claudia Stan Nr. 81 Bl. 75  Sc. 70 Ap. 365
Segarcea, 631877"
"Eric Dochioiu"	"Bulevardul Irina Manole Nr. 35 Bl. 87  Sc. 29 Ap. 262
Targu Mures, 871055"
"Valter Dumitrescu"	"Drumul Tomescu Nr. 771
Moreni, 771751"
"Janina Mazilescu"	"Soseaua Nemeș Nr. 878 Bl. 87  Sc. 39 Ap. 449
Zimnicea, 691938"
"Achim Ionescu"	"Aleea Denis Dochioiu Nr. 649
Motatei, 134244"
"Narcis Ionescu"	"Intrarea Popa
Raducaneni, 550247"
"Doru Mazilescu"	"Bulevardul Aanei
Strejnicu, 268985"
"Cristofor Ioniță"	"Strada Cristea Nr. 11 Bl. 73  Sc. 60 Ap. 784
Moreni, 448299"
"Bebe Tudor"	"Strada Pop
Curtici, 455443"
"Tania Mocanu"	"Soseaua Eftimie Nr. 566
Cajvana, 815825"
"Gheorghiță Dochioiu"	"Drumul Roberta Dobre Nr. 958
Targu Neamt, 166250"
"Clara Marin"	"Bulevardul Suciu Nr. 27
Covasna, 739752"
"Emilia Nemeș"	"Intrarea Ionescu
Jilava, 196570"
"Lorin Dochioiu"	"Bulevardul Ardelean Nr. 76
Radauti, 136614"
"Larisa Dochioiu"	"Drumul Dinu Nr. 86
Lipova, 104343"
"Nicuță Dima"	"Intrarea Nistor Nr. 354
Reghin, 551197"
"Dida Marin"	"Intrarea Diaconu Nr. 15 Bl. 77  Sc. 78 Ap. 330
Valea Mare (Babeni), 840874"
"Cristofor Marin"	"Intrarea Voinea Nr. 533
Oltenita, 752303"
"Adi Pușcașu"	"Bulevardul Niță Nr. 337
Savinesti, 726251"
"Francisc Dobre"	"Soseaua Stan
Nadlac, 637941"
"Ica Ene"	"Strada Valeriu Preda Nr. 14 Bl. 58  Sc. 28 Ap. 436
Anina, 662633"
"George Toma"	"Bulevardul Eftimie Nr. 993 Bl. 44  Sc. 94 Ap. 762
Bailesti, 515586"
"Malvina Barbu"	"Strada Eftimie
Chitila, 156032"
"Pamfil Toma"	"Soseaua Ababei
Bragadiru, 947544"
"Maricica Eftimie"	"Intrarea Gențiana Toma Nr. 42 Bl. 25  Sc. 83 Ap. 573
Deva, 128826"
"Narcisa Ababei"	"Aleea Achim Georgescu Nr. 540 Bl. 31  Sc. 19 Ap. 101
Calarasi, 786874"
"Robert Dima"	"Aleea Liliana Ionescu
Matca, 486370"
"Cristofor Pop"	"Strada Dima
Pancota, 886509"
"Teodor Tomescu"	"Drumul Pop Nr. 250
Lipova, 808326"
"Cedrin Diaconescu"	"Soseaua Diaconu
Braila, 347907"
"Zeno Nemeș"	"Intrarea Suciu Nr. 50 Bl. 83  Sc. 67 Ap. 964
Ocna Mures, 671797"
"Barbu Preda"	"Intrarea Eftimie Nr. 689 Bl. 41  Sc. 28 Ap. 667
Modelu, 507483"
"Darius Dobre"	"Drumul Tania Stan
Glina, 896674"
"Janeta Albu"	"Strada Gabriela Tabacu
Dorohoi, 207083"
"Iustinian Pușcașu"	"Aleea Tudor Nr. 38 Bl. 96  Sc. 57 Ap. 330
Caracal, 152158"
"Profira Aanei"	"Soseaua Pușcașu Nr. 62
Odobesti, 380745"
"Georgiana Tabacu"	"Aleea Eftimie Nr. 48
Modelu, 303713"
"Cristofor Stănescu"	"Aleea Suciu
Tudora, 649956"
"Marioara Cristea"	"Bulevardul Alistar Diaconu Nr. 14
Gilau, 704561"
"Elisaveta Dobre"	"Aleea Barbu Nr. 523 Bl. 67  Sc. 20 Ap. 879
Rucar, 160013"
"Speranța Stan"	"Intrarea Tudor Tomescu Nr. 92
Lupeni, 201256"
"Ludovic Stan"	"Aleea Nemeș Nr. 618
Berceni, 935897"
"Dacian Stănescu"	"Soseaua Preda Nr. 620 Bl. 12  Sc. 46 Ap. 224
Harlau, 419015"
"Albertina Dochioiu"	"Soseaua Ionescu
Lipova, 494515"
"Costin Ionescu"	"Intrarea Timotei Tudor
Tomesti, 871359"
"Matei Dinu"	"Drumul Voinea
Galati, 850968"
"Eliza Mocanu"	"Drumul Nistor
Oradea, 605905"
"Cristofor Tomescu"	"Aleea Stancu
Babadag, 965642"
"George Dinu"	"Intrarea Iosefina Nistor Nr. 94 Bl. 98  Sc. 40 Ap. 383
Strehaia, 850477"
"Ion Ene"	"Bulevardul Leordean Florea Nr. 372 Bl. 44  Sc. 17 Ap. 872
Berceni, 404571"
"Iuliu Dobre"	"Aleea Bartolomeu Manole Nr. 71
Fundeni, 229554"
"Anabela Barbu"	"Aleea Giorgian Preda Nr. 428
1 Decembrie, 974919"
"Corvin Nemeș"	"Aleea Constantin Dumitrescu Nr. 889
Roman, 597589"
"Ieremia Nistor"	"Aleea Lorelei Stan Nr. 45 Bl. 24  Sc. 36 Ap. 471
Viseu de Sus, 731221"
"Ligia Marin"	"Intrarea Dumitrescu Nr. 630 Bl. 78  Sc. 92 Ap. 411
Alesd, 866988"
"Lavinia Ene"	"Soseaua Maria Aanei
Toplita, 977368"
"Mitică Ababei"	"Soseaua Stănescu
Dobroesti, 715763"
"Călin Niță"	"Drumul Cristea Nr. 399
Balotesti, 214359"
"Dinu Ioniță"	"Bulevardul Niță Nr. 32
Breaza de Sus, 236536"
"Dinu Dima"	"Drumul Stănescu Nr. 21 Bl. 40  Sc. 51 Ap. 309
Podu Iloaiei, 752611"
"Sava Ionescu"	"Aleea Stoica
Boldesti-Scaeni, 501435"
"Grigore Stoica"	"Strada Angela Diaconescu Nr. 830
Vladimirescu, 100219"
"Diana Gheorghiu"	"Intrarea Dinu
Radauti, 651422"
"Sonia Manole"	"Aleea Aanei Nr. 504 Bl. 57  Sc. 32 Ap. 391
Campulung Moldovenesc, 908494"
"Aura Tomescu"	"Intrarea Ababei Nr. 33
Cernavoda, 140087"
"Flora Albu"	"Aleea Antoaneta Ionescu Nr. 732 Bl. 51  Sc. 47 Ap. 356
Zimnicea, 909604"
"Pamfil Niță"	"Soseaua Dima Nr. 451
Sfantu Gheorghe, 703286"
"Călin Stănescu"	"Intrarea Matei Tabacu Nr. 70 Bl. 81  Sc. 56 Ap. 441
Negresti-Oas, 963014"
"Rafila Gheorghiu"	"Bulevardul Ardelean
Cajvana, 311747"
"Jan Dochioiu"	"Strada Nistor Nr. 95
Fundulea, 249704"
"Elisaveta Eftimie"	"Bulevardul Tabacu Nr. 777 Bl. 72  Sc. 14 Ap. 502
Valea Caselor (Dragasani), 358820"
"Liliana Dumitrescu"	"Aleea Voinea Nr. 417
Remetea, 376500"
"Marius Stănescu"	"Drumul Rada Marin
Ocna Mures, 783107"
"Ivan Voinea"	"Soseaua Suciu Nr. 239 Bl. 33  Sc. 13 Ap. 905
Uricani, 757131"
"Casian Tudor"	"Bulevardul Dochioiu Nr. 13
Rucar, 840362"
"Octavian Albu"	"Bulevardul Cristea Nr. 87 Bl. 48  Sc. 94 Ap. 447
Cudalbi, 505833"
"Ciprian Stan"	"Strada Ardelean
Sovata, 823038"
"Cătălin Niță"	"Aleea Dumitrescu Nr. 701
Schela Cladovei, 123294"
"Claudiu Pop"	"Drumul Ene Nr. 72 Bl. 79  Sc. 37 Ap. 115
Sabaoani, 734818"
"Marioara Eftimie"	"Intrarea Voinea Nr. 12 Bl. 23  Sc. 46 Ap. 604
Sadova, 449672"
"Olimpiu Preda"	"Soseaua Corneliu Stancu Nr. 29
Giroc, 372987"
"Ioan Ionescu"	"Intrarea Sinică Gheorghiu Nr. 933
Sebes, 390094"
"Steluța Toma"	"Soseaua Ababei Nr. 53
Gheorgheni, 776754"
"George Nistor"	"Drumul Mocanu Nr. 58
Peris, 882279"
"Ernest Nistor"	"Bulevardul Ene Nr. 219 Bl. 51  Sc. 35 Ap. 939
Targu Ocna, 760984"
"Natalia Ene"	"Strada Stancu Nr. 45
Sighisoara, 129855"
"Arsenie Dima"	"Bulevardul Tabacu
Miercurea-Ciuc, 188098"
"Cătălin Stancu"	"Intrarea Ioniță Nr. 935 Bl. 84  Sc. 54 Ap. 499
Chisineu-Cris, 729180"
"Martin Georgescu"	"Drumul Vasilica Gheorghiu Nr. 707 Bl. 68  Sc. 51 Ap. 376
Insuratei, 932078"
"Antonia Ionescu"	"Intrarea Tomescu
Seini, 908229"
"Viorica Niță"	"Strada Zeno Manole Nr. 596 Bl. 93  Sc. 10 Ap. 669
Drobeta-Turnu Severin, 829852"
"Silvia Dochioiu"	"Aleea Vasilică Stănescu
Tasnad, 522926"
"Ina Oprea"	"Strada Gabriel Stancu Nr. 441
Insuratei, 801434"
"Aurel Preda"	"Bulevardul Frederic Marin Nr. 129 Bl. 35  Sc. 93 Ap. 577
Insuratei, 373158"
"Alexandrina Florea"	"Intrarea Horea Oprea
Talmaciu, 614497"
"Iris Dima"	"Soseaua Nistor
Bumbesti-Jiu, 608953"
"Doru Ionescu"	"Drumul Gheorghiță Tudor Nr. 349
Barbulesti, 390590"
"Cătălin Suciu"	"Drumul Pușcașu Nr. 49 Bl. 96  Sc. 18 Ap. 844
Calan, 590310"
"Anuța Mazilescu"	"Aleea Grațiana Niță
Vicovu de Jos, 968569"
"Mădălina Dobre"	"Strada Tomescu Nr. 26
Remetea, 252735"
"Relu Stan"	"Aleea Albu Nr. 553 Bl. 28  Sc. 66 Ap. 816
Dabuleni, 733518"
"Pătru Niță"	"Soseaua Aanei Nr. 226 Bl. 64  Sc. 22 Ap. 982
Buftea, 718885"
"Mona Manole"	"Strada Paraschiva Voinea
Aiud, 618974"
"Barbu Popescu"	"Aleea Ababei
Anina, 806079"
"Dimitrina Stancu"	"Drumul Iurie Ioniță
Buftea, 752273"
"Dan Ionescu"	"Bulevardul Dinu Nr. 141 Bl. 25  Sc. 93 Ap. 355
Sandominic, 970460"
"Bucur Marin"	"Intrarea Dochioiu Nr. 95 Bl. 21  Sc. 82 Ap. 684
Iasi, 130791"
"Cătălina Tabacu"	"Drumul Cristea
Roman, 895780"
"Teodosia Mazilescu"	"Aleea Mircea Dumitrescu Nr. 691 Bl. 71  Sc. 31 Ap. 394
Pecica, 506692"
"Angel Nistor"	"Drumul Vanesa Tomescu
Medias, 802862"
"Haralambie Oprea"	"Aleea Nistor Nr. 406
Schela Cladovei, 206130"
"Vicențiu Ababei"	"Drumul Dochioiu Nr. 940
Vladimirescu, 978474"
"Andrada Stan"	"Aleea Georgescu Nr. 636 Bl. 64  Sc. 60 Ap. 462
Borsa, 977519"
"Eliza Dima"	"Intrarea Nidia Mocanu Nr. 447
Dragalina, 395831"
"Cedrin Stoica"	"Soseaua Ababei Nr. 20 Bl. 36  Sc. 34 Ap. 166
Buftea, 288516"
"Clarisa Popescu"	"Soseaua Rica Eftimie
Botosani, 266091"
"Aurel Popescu"	"Bulevardul Barbu Nr. 65
Turnu Magurele, 757828"
"Dacian Florea"	"Soseaua Ardelean Nr. 318 Bl. 20  Sc. 60 Ap. 710
Branesti, 191475"
"Salomea Albu"	"Strada Stoica
Pechea, 221189"
"Costin Preda"	"Bulevardul Barbu
Campina, 964731"
"Corneliu Diaconescu"	"Drumul Ludovic Cristea
Ineu, 321441"
"Antoaneta Niță"	"Aleea Fabiana Gheorghiu
Ruscova, 297093"
"Barbu Florea"	"Aleea Nistor
Barbulesti, 649044"
"Iolanda Tudor"	"Drumul Stoica
Podu Iloaiei, 713253"
"Iolanda Barbu"	"Soseaua Axenia Suciu Nr. 325
Berceni, 501793"
"Iasmina Gheorghiu"	"Intrarea Mircea Stan
Schela Cladovei, 971019"
"Casandra Mazilescu"	"Bulevardul Dinu
Oravita, 972330"
"Daciana Gheorghiu"	"Soseaua Stoica Nr. 604
Fundulea, 528950"
"Maria Suciu"	"Bulevardul Marin Popa Nr. 26
Harsova, 627117"
"Livia Stănescu"	"Bulevardul Toma
Darmanesti, 399979"
"Letiția Tudor"	"Bulevardul Pop Nr. 516 Bl. 96  Sc. 24 Ap. 398
Dumbraveni, 102885"
"Cristina Stănescu"	"Aleea Dinu
Bistrita, 154250"
"Dorina Pop"	"Soseaua Nemeș
Dobroesti, 732590"
"Ortansa Ionescu"	"Drumul Nistor Nr. 958
Babeni, 533735"
"Cazimir Stoica"	"Drumul Diaconescu Nr. 959
Tufesti, 723689"
"Axinte Albu"	"Soseaua Mădălina Mocanu Nr. 66
Satu Mare, 650819"
"Crina Stan"	"Strada Stancu Nr. 400
Moreni, 868660"
"Daciana Nistor"	"Aleea Nemeș Nr. 149
Buzau, 933739"
"Octaviu Ardelean"	"Strada Florea Nr. 94
Rasinari, 360722"
"Eric Nistor"	"Drumul Violeta Pop
Targoviste, 224764"
"Floare Georgescu"	"Aleea Preda Nr. 929
Fagetel (Remetea), 238330"
"Gențiana Pușcașu"	"Drumul Corina Ene Nr. 202
Buftea, 452961"
"Sebastian Niță"	"Bulevardul Anatolie Pop Nr. 170
Sovata, 558128"
"Anișoara Pușcașu"	"Strada Stoica Nr. 884
Pecica, 699852"
"Elena Voinea"	"Drumul Stan Nr. 194
Fetesti-Gara, 835963"
"Ruxandra Georgescu"	"Bulevardul Dinu Nr. 10
Pecica, 865375"
"Tiberiu Stancu"	"Bulevardul Suciu Nr. 55
Floresti, 840843"
"Dafina Barbu"	"Drumul Emil Gheorghiu
Apahida, 112997"
"Carmen Popa"	"Soseaua Gheorghiu
Odorheiu Secuiesc, 312748"
"Aureliana Ababei"	"Bulevardul Preda Nr. 699 Bl. 70  Sc. 62 Ap. 997
Vatra Dornei, 418412"
"Camelia Tudor"	"Soseaua Dochioiu Nr. 40 Bl. 19  Sc. 87 Ap. 526
Diosig, 418928"
"Cristofor Dochioiu"	"Intrarea Popescu Nr. 42 Bl. 74  Sc. 22 Ap. 127
Dej, 525386"
"Denisa Ioniță"	"Aleea George Albu
Calan, 530279"
"Valentin Pușcașu"	"Strada Cristea Nr. 46 Bl. 74  Sc. 12 Ap. 739
Corund, 115607"
"Sorin Stancu"	"Drumul Diaconu
Alesd, 295242"
"Marga Tabacu"	"Strada Niță
Mioveni, 139783"
"Livia Dobre"	"Drumul Silvia Mazilescu Nr. 98 Bl. 85  Sc. 75 Ap. 944
Bailesti, 853382"
"Dafina Ionescu"	"Aleea Paulina Barbu Nr. 21
Pantelimon, 818210"
"Caterina Dochioiu"	"Bulevardul Pop Nr. 576 Bl. 17  Sc. 33 Ap. 389
Petrosani, 563345"
"Antonela Mocanu"	"Intrarea Oprea
Suceava, 734614"
"Antoaneta Ioniță"	"Drumul Suciu Nr. 954 Bl. 20  Sc. 51 Ap. 376
Tasnad, 982701"
"Dafina Cristea"	"Soseaua Suciu Nr. 200
Pancota, 899938"
"Larisa Oprea"	"Aleea Gheorghiu Nr. 16 Bl. 85  Sc. 19 Ap. 353
Sebes, 224799"
"Lucian Oprea"	"Soseaua Dochioiu Nr. 857 Bl. 61  Sc. 81 Ap. 764
Lipova, 112949"
"Ernest Stănescu"	"Soseaua Albu Nr. 686
Insuratei, 494028"
"Rada Oprea"	"Strada Georgescu
Cornetu, 530828"
"Tudorița Marin"	"Bulevardul Mocanu
Siret, 742825"
"Daiana Ababei"	"Soseaua Constantina Stoica Nr. 133 Bl. 17  Sc. 38 Ap. 776
Dej, 246040"
"Julieta Ioniță"	"Aleea Georgescu
Urziceni, 761885"
"Fabiana Stancu"	"Drumul Varvara Barbu Nr. 660
Valu lui Traian, 208912"
"Mircea Ardelean"	"Aleea Ligia Voinea Nr. 782 Bl. 70  Sc. 80 Ap. 924
Ianca, 835598"
"Mirela Tudor"	"Strada Tudor Nr. 421 Bl. 86  Sc. 83 Ap. 287
Vicovu de Sus, 365785"
"Paul Stănescu"	"Aleea Eftimie Nr. 97
Petrosani, 784625"
"Sanda Manole"	"Bulevardul Beatrice Nemeș Nr. 689 Bl. 18  Sc. 29 Ap. 289
Rasinari, 790612"
"Lioara Gheorghiu"	"Drumul Ene
Valea Mare (Negresti), 319016"
"Alma Niță"	"Intrarea Speranța Florea
Campulung Moldovenesc, 842894"
"Otilia Eftimie"	"Soseaua Ioniță
Sangeorgiu de Mures, 784031"
"Daiana Ardelean"	"Strada Manole
Cugir, 196578"
"Eusebia Toma"	"Aleea Cristea Nr. 586
Moinesti, 794557"
"Gelu Dumitrescu"	"Aleea Bebe Mocanu
Peretu, 444690"
"Tudosia Pușcașu"	"Soseaua Suciu Nr. 59 Bl. 53  Sc. 94 Ap. 791
Urziceni, 601185"
"Ionuț Manole"	"Strada Pop
Apahida, 262078"
"Filofteia Stănescu"	"Bulevardul Tomescu
Ramnicu Sarat, 996302"
"Livia Stănescu"	"Bulevardul Tabacu Nr. 44 Bl. 73  Sc. 32 Ap. 164
Pogoanele, 956517"
"Casian Ababei"	"Bulevardul Bogdana Ioniță
Eforie Nord, 648902"
"Ion Popa"	"Bulevardul Dobre Nr. 396
Fagaras, 681409"
"Rebeca Dima"	"Intrarea Sinică Ionescu
Toflea, 499427"
"Daiana Mocanu"	"Soseaua Diaconu
Pascani, 879665"
"Beniamin Dumitrescu"	"Bulevardul Niță Nr. 923
Darabani, 617140"
"Brăduț Tabacu"	"Bulevardul Emilia Nemeș Nr. 970
Harsova, 559119"
"Mioara Niță"	"Drumul Nidia Voinea Nr. 97
Anina, 867092"
"Ilarie Ene"	"Intrarea Manole
Ocna Mures, 412249"
"Leontin Tudor"	"Strada Petru Aanei Nr. 247
Curtici, 260227"
"Tiberia Ardelean"	"Intrarea Ioniță
Campulung, 390400"
"Ciprian Nistor"	"Strada Mazilescu Nr. 10 Bl. 61  Sc. 22 Ap. 458
Medgidia, 172841"
"Manuela Oprea"	"Strada Ababei Nr. 421
Popesti-Leordeni, 953900"
"Todor Ardelean"	"Strada Stan Nr. 534
Pantelimon, 117956"
"Dalia Dinu"	"Aleea Preda
Iasi, 182683"
"Aristide Pop"	"Drumul Dorina Tudor Nr. 16
Chisineu-Cris, 266089"
"Filip Albu"	"Strada Ionescu Nr. 841 Bl. 73  Sc. 10 Ap. 388
Ramnicu Valcea, 214759"
"Ada Florea"	"Soseaua Nemeș
Bailesti, 599810"
"Emanoil Tudor"	"Intrarea Dima Nr. 578 Bl. 90  Sc. 65 Ap. 263
Lipova, 313615"
"Jan Suciu"	"Aleea Bianca Ababei Nr. 57 Bl. 43  Sc. 61 Ap. 309
Dragalina, 197899"
"Marcel Mocanu"	"Soseaua Melania Nistor Nr. 177
Uricani, 510082"
"Remus Dima"	"Bulevardul Ardelean
Diosig, 491558"
"Camil Voinea"	"Aleea Evanghelina Dochioiu Nr. 998 Bl. 52  Sc. 29 Ap. 713
Rucar, 603116"
"Felix Diaconescu"	"Intrarea Ababei
Strehaia, 899651"
"Dalia Mocanu"	"Drumul Anton Popescu Nr. 653
Slatina, 891477"
"Voichița Oprea"	"Soseaua Pop Nr. 904
Reghin, 597146"
"Silvana Dochioiu"	"Strada Mocanu
Modelu, 491242"
"Aglaia Ioniță"	"Intrarea Vlaicu Tomescu Nr. 64
Magurele, 567510"
"Simina Oprea"	"Drumul Cristofor Stănescu Nr. 665 Bl. 76  Sc. 68 Ap. 258
Cristuru Secuiesc, 591317"
"Matilda Stan"	"Aleea Tabacu
Horodnic de Sus, 361834"
"Stancu Barbu"	"Bulevardul Iustin Suciu Nr. 390
Pantelimon, 865199"
"Sorina Stoica"	"Aleea Suciu Nr. 693 Bl. 24  Sc. 16 Ap. 376
Comanesti, 661226"
"Xenia Preda"	"Strada Dominic Pușcașu Nr. 618
Deva, 147027"
"Marta Manole"	"Intrarea Eftimie Nr. 81 Bl. 50  Sc. 62 Ap. 247
Voluntari, 796722"
"Dalia Popescu"	"Bulevardul Valter Tomescu Nr. 459 Bl. 16  Sc. 67 Ap. 646
Straja, 983892"
"Cristina Niță"	"Aleea Preda Nr. 75
Cristuru Secuiesc, 773710"
"Veniamin Dima"	"Intrarea Diaconu Nr. 142
Victoria, 245831"
"Cătălina Diaconu"	"Aleea Ancuța Toma Nr. 92
Cornetu, 311276"
"Eusebia Diaconu"	"Bulevardul Georgescu
Vaslui, 896746"
"Severin Ababei"	"Aleea Gheorghiță Mazilescu Nr. 24
Valenii de Munte, 851525"
"Adonis Stan"	"Aleea Anuța Albu
Babeni, 553310"
"Aura Preda"	"Intrarea Ababei
Braila, 140463"
"Erica Popa"	"Drumul Albu
Rasnov Romacril, 606164"
"Doina Pop"	"Intrarea Jeana Aanei
Cumpana, 666830"
"Damian Barbu"	"Bulevardul Dumitra Gheorghiu Nr. 404 Bl. 68  Sc. 51 Ap. 872
Radauti, 694733"
"Mitruț Tudor"	"Soseaua Felicia Dochioiu Nr. 33
Toplita, 204719"
"Tania Dobre"	"Bulevardul Tincuța Gheorghiu Nr. 756 Bl. 24  Sc. 20 Ap. 368
Roman, 255574"
"Alexandru Popa"	"Soseaua Stănescu
Gaesti, 620011"
"Luiza Mocanu"	"Bulevardul Suciu
Caransebes, 353248"
"Leopoldina Stan"	"Bulevardul Stan Albu Nr. 74
Modelu, 956694"
"Rebeca Diaconescu"	"Aleea Tomescu Nr. 79
Hunedoara, 970795"
"Gregorian Tomescu"	"Soseaua Diaconescu Nr. 99
Zarnesti, 614501"
"Timotei Tomescu"	"Strada Bernard Nemeș Nr. 473
Glina, 985097"
"Frederic Niță"	"Intrarea Florea Nr. 367 Bl. 51  Sc. 15 Ap. 902
Segarcea, 589642"
"Damian Florea"	"Bulevardul Stancu Nr. 33 Bl. 83  Sc. 51 Ap. 872
Baraolt, 274956"
