"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Błażej Helman"	"ulica Makuszyńskiego 83
25-314 Radomsko"
"Liwia Płocharczyk"	"pl. Stycznia 50
64-265 Mława"
"Apolonia Dylong"	"ulica Koralowa 55/79
22-182 Pabianice"
"pan Wojciech Ornat"	"ul. Chopina 447
57-672 Nowa Sól"
"Leonard Bartela"	"al. Bursztynowa 49/68
28-291 Kutno"
"Rafał Horbacz"	"ulica Konwaliowa 02
17-944 Rybnik"
"pani Marianna Mądrzak"	"al. Malczewskiego 57/90
77-628 Łódź"
"pani Julianna Plebanek"	"aleja Rzeczna 50/82
43-558 Chrzanów"
"Kaja Sulich"	"al. Wilcza 202
44-150 Koło"
"pani Nela Pilich"	"plac Wieniawskiego 356
88-831 Toruń"
"pan Dominik Szarzec"	"ulica Górska 501
67-116 Mielec"
"Wojciech Kapałka"	"ul. Brzoskwiniowa 001
35-269 Warszawa"
"Apolonia Faruga"	"ulica Grunwaldzka 07
02-917 Kielce"
"pani Kornelia Bajak"	"plac Konopnickiej 822
64-581 Piotrków Trybunalski"
"Bartek Lorenz"	"ul. Stroma 190
09-800 Świdnica"
"Grzegorz Słysz"	"pl. Drzymały 95/28
07-762 Radom"
"pan Franciszek Gasz"	"aleja Górnicza 82/07
41-776 Rzeszów"
"Alan Froń"	"pl. Władysława Łokietka 933
55-223 Ełk"
"pani Róża Bylina"	"pl. Krasińskiego 45
35-140 Biała Podlaska"
"Iwo Siebert"	"ulica Lubelska 36
68-188 Starachowice"
"Dominik Hewelt"	"al. Sarnia 04/64
89-615 Mława"
"Mikołaj Deptuch"	"aleja Popiełuszki 69/21
49-193 Police"
"Apolonia Franczuk"	"al. Pałacowa 518
60-166 Gorlice"
"Damian Deptuch"	"al. Agrestowa 59
69-243 Siedlce"
"Sonia Kinder"	"ulica Kolejowa 41/12
05-043 Augustów"
"Andrzej Gasz"	"al. Broniewskiego 191
30-972 Pabianice"
"Szymon Łosiak"	"ul. Kruczkowskiego 953
79-209 Zgierz"
"Grzegorz Golon"	"plac Bolesława Krzywoustego 27
68-864 Jastrzębie-Zdrój"
"Tola Pastucha"	"aleja Podleśna 52
75-848 Leszno"
"pan Ignacy Futyma"	"al. Opolska 69/51
18-741 Piła"
"Agnieszka Szambelan"	"plac Korfantego 17/18
85-387 Konin"
"Tomasz Kózka"	"aleja Kossaka 22
95-241 Gliwice"
"Apolonia Matuszyk"	"al. Makowa 65/96
24-047 Radom"
"Franciszek Budzyń"	"ul. Moniuszki 68
51-092 Żywiec"
"Józef Urynowicz"	"pl. Rynek 244
48-926 Przemyśl"
"Andrzej Brzeźniak"	"aleja Armii Krajowej 983
58-028 Wejherowo"
"Miłosz Cichos"	"pl. Matejki 21
20-973 Zambrów"
"Dagmara Cacko"	"al. Konstytucji 3 Maja 73/43
63-732 Brzeg"
"pani Ida Kwapis"	"ulica Czereśniowa 10
51-896 Czechowice-Dziedzice"
"Jacek Kujda"	"pl. Bolesława Chrobrego 287
68-375 Nowy Dwór Mazowiecki"
"Witold Ładziak"	"aleja Rybacka 07
67-799 Wągrowiec"
"Antoni Armata"	"ul. Żeromskiego 21
02-304 Sosnowiec"
"Apolonia Pacholak"	"aleja Mazowiecka 41/45
72-963 Nowa Ruda"
"Dorota Walasik"	"ul. Kolejowa 25
92-405 Nowy Sącz"
"Mieszko Balcewicz"	"aleja Wyzwolenia 39/99
36-620 Chorzów"
"pan Igor Durlej"	"pl. Skargi 13/01
01-398 Gorlice"
"Aniela Wyciszkiewicz"	"ulica Kaliska 443
65-631 Swarzędz"
"Jacek Dziadura"	"al. Jana Pawła II 192
22-010 Głogów"
"Tomasz Rajman"	"ul. Krasickiego 39
93-479 Mikołów"
"Borys Morgała"	"pl. Ściegiennego 34/92
76-112 Pruszcz Gdański"
"Natan Poniedziałek"	"ul. Lelewela 162
75-334 Głogów"
"Stanisław Drobik"	"ulica Miła 613
35-460 Wodzisław Śląski"
"Apolonia Piskor"	"aleja Mieszka I 75/24
06-645 Łowicz"
"Roksana Wiech"	"aleja Bema 85/22
04-937 Myszków"
"Robert Fidos"	"pl. Jana 158
77-460 Bełchatów"
"Tadeusz Bastek"	"al. Zamkowa 80
77-559 Płock"
"pan Ksawery Bodziony"	"al. Diamentowa 22
15-681 Bielawa"
"pani Kornelia Duniec"	"ul. Norwida 10
86-077 Świecie"
"Natasza Rembacz"	"aleja Broniewskiego 82
66-501 Pszczyna"
"Mateusz Kral"	"pl. Jana III Sobieskiego 65
93-456 Świebodzice"
"Kalina Jasnoch"	"ulica Plater 198
70-919 Luboń"
"Ksawery Oczko"	"al. Kosynierów 18/93
30-916 Mysłowice"
"Apolonia Sadowy"	"ulica Konarskiego 02/99
92-782 Mielec"
"pan Adam Piekart"	"ul. Fredry 65/39
44-372 Zgierz"
"Alan Roczniak"	"al. Kosynierów 591
95-784 Włocławek"
"pani Inga Kęsek"	"al. Reja 78/08
76-675 Rybnik"
"Andrzej Kurbiel"	"ul. Wiejska 03/89
88-680 Elbląg"
"Andrzej Faltyn"	"aleja Gałczyńskiego 841
85-113 Piastów"
"pani Tola Przewoźna"	"pl. Grottgera 284
13-943 Grodzisk Mazowiecki"
"pan Radosław Witkowicz"	"ul. Myśliwska 34
54-014 Łuków"
"Blanka Radke"	"ulica Jesionowa 96/39
60-670 Żary"
"Eryk Siekierka"	"ulica Plażowa 98/73
94-749 Gdynia"
"Apolonia Skocz"	"plac Staszica 95
60-965 Wieluń"
"Przemysław Engler"	"ulica Niepodległości 47/73
79-230 Świecie"
"Apolonia Koziarz"	"pl. Lelewela 98/38
11-977 Bytom"
"pani Dorota Dziełak"	"aleja Cedrowa 145
11-437 Police"
"Janina Grabias"	"ul. Stefana Batorego 20
29-347 Leszno"
"Adrian Zdonek"	"ulica Niepodległości 07
88-216 Wejherowo"
"Ryszard Smagacz"	"ul. Makuszyńskiego 479
98-596 Świnoujście"
"Antoni Balawender"	"pl. Gałczyńskiego 33/87
53-082 Ełk"
"Eryk Szarpak"	"al. Chełmońskiego 04
84-038 Kalisz"
"Jerzy Frukacz"	"ulica Szymanowskiego 83/14
20-238 Kraków"
"Apolonia Stanclik"	"ul. Pszenna 189
86-912 Puławy"
"Malwina Wąsek"	"aleja Letnia 62/13
11-559 Zamość"
"Andrzej Tutka"	"ul. Głowackiego 40
68-408 Krosno"
"Oskar Bartela"	"pl. Mickiewicza 54/80
01-156 Bartoszyce"
"Gaja Stypa"	"pl. Andersa 31/75
15-719 Toruń"
"Urszula Malecha"	"ul. Konstytucji 3 Maja 25/72
84-207 Zgierz"
"Alex Gryciuk"	"ulica Sportowa 75/43
42-730 Gorzów Wielkopolski"
"Julita Warchał"	"ulica Popiełuszki 07/25
48-821 Dębica"
"Olga Janke"	"aleja Bema 403
57-202 Skierniewice"
"Franciszek Podpora"	"plac Skłodowskiej-Curie 74
65-677 Bartoszyce"
"Arkadiusz Banek"	"ul. Jastrzębia 90
37-199 Jawor"
"Ignacy Mikita"	"ulica Dworska 79
83-667 Reda"
"Artur Bondyra"	"ulica Lipowa 13
85-245 Sochaczew"
"pan Miłosz Kuśmider"	"plac Stycznia 63/09
53-191 Suwałki"
"Dagmara Jambor"	"ul. Młyńska 074
80-898 Łowicz"
"Klara Makosz"	"al. Borowa 921
58-688 Zakopane"
"Cyprian Rudolf"	"aleja Kamienna 50
60-516 Gdańsk"
"pani Janina Gałach"	"al. Składowa 288
46-940 Kluczbork"
"Leonard Osipowicz"	"ulica Kraszewskiego 61/04
70-433 Zgorzelec"
"Julian Noculak"	"ulica Zacisze 98
17-316 Łowicz"
"Arkadiusz Dubik"	"al. Stycznia 90/23
68-803 Skierniewice"
"Nikodem Wasążnik"	"aleja Władysława Jagiełły 33
31-431 Środa Wielkopolska"
"Przemysław Groborz"	"ulica Kopernika 88
23-343 Sieradz"
"Tola Lizurej"	"plac Broniewskiego 95/80
07-054 Biłgoraj"
"Apolonia Kandziora"	"al. Plater 38
57-761 Piekary Śląskie"
"Klara Domino"	"plac Krasińskiego 86
79-876 Łuków"
"Ida Janczura"	"pl. Rejtana 70/83
75-347 Rzeszów"
"Jakub Sterna"	"ulica Szmaragdowa 654
87-790 Łuków"
"Jacek Ziemann"	"aleja Żeromskiego 435
09-811 Kędzierzyn-Koźle"
"Leonard Malka"	"al. Fredry 98/84
47-036 Tarnobrzeg"
"Arkadiusz Grosz"	"ul. Częstochowska 37/19
07-900 Skarżysko-Kamienna"
"Kornel Bereda"	"pl. Kopernika 63
65-267 Giżycko"
"Bruno Pilich"	"pl. Słowackiego 15/97
67-269 Września"
"pan Kazimierz Ziarno"	"aleja Robotnicza 43
53-878 Goleniów"
"Bartek Cader"	"plac Popiełuszki 300
18-160 Kościerzyna"
"Urszula Budych"	"plac Witosa 85/48
87-595 Bielsk Podlaski"
"pan Arkadiusz Olszowa"	"al. Partyzantów 76/06
24-117 Zgorzelec"
"Monika Paluszak"	"pl. Baczyńskiego 31/16
68-654 Grodzisk Mazowiecki"
"Robert Kacperek"	"al. Matejki 572
31-204 Pruszków"
"Aurelia Kiwior"	"ul. Słonecznikowa 701
93-582 Goleniów"
"Arkadiusz Kopczyk"	"aleja Tęczowa 682
41-660 Mińsk Mazowiecki"
"Agnieszka Grygorowicz"	"pl. Wyszyńskiego 340
74-914 Ostrów Mazowiecka"
"pani Tola Kamyk"	"ul. Wróblewskiego 249
36-711 Koło"
"Kornel Ostapczuk"	"pl. Miłosza 366
24-388 Piekary Śląskie"
"pani Ada Oleksiewicz"	"al. Borowa 68/02
58-358 Ostrołęka"
"Alex Osman"	"al. Powstańców 29/29
71-483 Kościan"
"Tola Bicz"	"pl. Żeromskiego 421
54-994 Ciechanów"
"Mieszko Solis"	"ul. Waryńskiego 74/14
17-450 Pszczyna"
"Marianna Grzelec"	"plac Witosa 99
28-678 Police"
"pan Miłosz Broś"	"ulica Zakole 04/59
72-162 Oława"
"Arkadiusz Korgul"	"al. Rolnicza 80/71
39-753 Wałbrzych"
"Adam Monkiewicz"	"aleja Gałczyńskiego 327
92-621 Białystok"
"Julian Ciuba"	"aleja Sawickiej 71
68-260 Oława"
"Dorota Krzysiek"	"pl. Kruczkowskiego 033
71-263 Zgorzelec"
"pani Klara Neubauer"	"ul. Makuszyńskiego 523
51-711 Iława"
"Jakub Twardzik"	"ulica Szarych Szeregów 948
22-750 Słupsk"
"pan Andrzej Kostera"	"aleja Reja 02
01-587 Zambrów"
"Oliwier Kociemba"	"plac Popiełuszki 91
42-765 Ruda Śląska"
"pani Malwina Sanetra"	"ulica Klonowa 12/13
99-931 Siedlce"
"pan Kamil Zieja"	"ulica Ptasia 615
92-016 Turek"
"Arkadiusz Krzysztoszek"	"ulica Słowicza 06
87-008 Gniezno"
"Błażej Janke"	"pl. Grottgera 73/86
44-877 Wałcz"
"pani Angelika Durlak"	"ulica Waryńskiego 192
98-338 Mińsk Mazowiecki"
"pan Gustaw Petryk"	"al. Klasztorna 07/15
20-671 Żory"
"Damian Wikło"	"aleja Szkolna 826
96-641 Jelenia Góra"
"Borys Kuboń"	"ulica Broniewskiego 56
06-730 Szczecinek"
"Janina Bryja"	"plac Malczewskiego 85
77-110 Augustów"
"Stefan Pastucha"	"ulica Wiatraczna 363
44-749 Myszków"
"pani Róża Szatko"	"ulica Zbożowa 75/05
21-705 Gorlice"
"Eryk Gerlach"	"aleja Chopina 48
01-281 Jarosław"
"Arkadiusz Nastaj"	"aleja Kaliska 885
37-314 Lublin"
"Maurycy Pułka"	"ulica Dolna 195
61-471 Jasło"
"Andrzej Koziatek"	"ul. Długosza 68/51
65-725 Stalowa Wola"
"pan Maurycy Bzdęga"	"pl. Paderewskiego 03/84
24-898 Gorzów Wielkopolski"
"Jakub Boba"	"al. Towarowa 57/71
68-099 Ostrołęka"
"Filip Niksa"	"ulica Robotnicza 49/15
52-689 Łowicz"
"pani Anastazja Fronczek"	"al. Wojska Polskiego 959
47-726 Biłgoraj"
"Sara Mol"	"ulica Parkowa 41/87
54-542 Augustów"
"Karol Pietrus"	"ul. Królewska 378
97-887 Gdańsk"
"Krystian Ośka"	"ul. Szczęśliwa 54
21-721 Tarnowskie Góry"
"Arkadiusz Ornat"	"plac Kochanowskiego 868
91-365 Częstochowa"
"Radosław Czenczek"	"aleja Dębowa 10/50
30-798 Skarżysko-Kamienna"
"Jerzy Sztuczka"	"aleja Asnyka 96/28
60-697 Lublin"
"Konrad Misiaszek"	"ul. Miłosza 14
58-848 Brzeg"
"Albert Błaszyk"	"al. Błękitna 92/34
47-154 Bielsk Podlaski"
"Julian Buszka"	"ul. Łanowa 48/64
54-123 Luboń"
"pan Miłosz Sowała"	"ulica Fiołkowa 40
78-912 Opole"
"pani Sandra Trzpil"	"plac Maczka 03
53-656 Chojnice"
"Agnieszka Zagożdżon"	"ulica Wiosenna 011
33-998 Zamość"
"Roksana Kapinos"	"al. Opolska 74
05-888 Police"
"Arkadiusz Patrzałek"	"plac Świerczewskiego 495
50-864 Jastrzębie-Zdrój"
"Radosław Rymarz"	"plac Wyspiańskiego 360
99-045 Mława"
"Tymoteusz Duży"	"plac Słowackiego 62
72-013 Zamość"
"pan Ernest Chatys"	"aleja Floriana 392
85-527 Biała Podlaska"
"Kacper Pawliczek"	"plac Maczka 231
88-124 Poznań"
"Sebastian Pierz"	"al. Orzeszkowej 419
68-467 Stargard Szczeciński"
"Olga Bryczek"	"pl. Jana 32/70
17-708 Zambrów"
"pan Adrian Fraś"	"plac Baczyńskiego 78
94-165 Gdańsk"
"pan Szymon Berek"	"ul. Daszyńskiego 36
52-630 Piekary Śląskie"
"Hubert Pielech"	"aleja Mokra 444
29-454 Kalisz"
"Arkadiusz Pryszcz"	"aleja Poprzeczna 99/95
98-956 Skarżysko-Kamienna"
"Ewa Palica"	"al. Kossaka 61/28
98-281 Szczecinek"
"Ryszard Kyc"	"ul. Morska 93
61-684 Włocławek"
"Ernest Ledzion"	"pl. Czarnieckiego 35/36
13-629 Śrem"
"Gabriel Hyży"	"aleja Chopina 35/22
98-733 Myszków"
"pani Monika Bruś"	"pl. Fredry 06
08-843 Puławy"
"pan Tadeusz Groborz"	"al. Zaciszna 99/77
74-247 Nowa Sól"
"Borys Szlęk"	"pl. Konarskiego 280
46-322 Turek"
"Ryszard Kubina"	"pl. Narutowicza 048
10-358 Skarżysko-Kamienna"
"pan Leon Polnik"	"ul. Strumykowa 37
05-010 Skierniewice"
"Arkadiusz Roda"	"ul. Ptasia 228
90-563 Tomaszów Mazowiecki"
"Anna Maria Dyrek"	"aleja Tysiąclecia 15/57
55-075 Legnica"
"Sara Pajek"	"ulica Orzechowa 23
09-802 Jarocin"
"Adrianna Malesza"	"ul. Paderewskiego 40
33-923 Polkowice"
"Natan Reich"	"ul. Ściegiennego 85
83-530 Sopot"
"Angelika Bogdał"	"ul. Rejtana 00/29
31-564 Warszawa"
"Marcelina Roszko"	"pl. Wyszyńskiego 112
66-539 Cieszyn"
"Nela Bastek"	"ulica Cedrowa 01/39
54-131 Toruń"
"pani Marika Graboń"	"ul. Letniskowa 06
29-627 Lubartów"
"Kajetan Wyroślak"	"plac Korfantego 431
69-183 Kościerzyna"
"Arkadiusz Tytko"	"plac Konopnickiej 116
69-563 Stalowa Wola"
"pan Marek Sołtan"	"al. Piaskowa 68
02-068 Chorzów"
"pan Cezary Hołota"	"pl. Andersa 98/74
57-827 Mikołów"
"Fabian Ryguła"	"ulica Cicha 888
82-339 Jaworzno"
"Przemysław Porwoł"	"pl. Konstytucji 3 Maja 91/98
83-654 Oława"
"Bruno Czesak"	"al. Podgórna 65/38
77-254 Bochnia"
"Jeremi Wons"	"pl. Wybickiego 817
30-030 Świdnica"
"Ernest Jędraszczyk"	"plac Drzymały 16/81
48-002 Sochaczew"
"Damian Nojman"	"aleja Opolska 01/39
67-077 Cieszyn"
"Tobiasz Haponiuk"	"ul. Tuwima 07/88
61-337 Czechowice-Dziedzice"
"Arkadiusz Zaraś"	"plac Powstańców 081
60-639 Chorzów"
"Emil Giża"	"plac Kilińskiego 09/87
39-535 Kalisz"
"Julian Kubieniec"	"aleja Boczna 431
70-895 Gliwice"
"Witold Łyczek"	"aleja Kilińskiego 927
02-287 Ząbki"
"Agnieszka Chomiuk"	"plac Jana 81/02
95-656 Lubartów"
"Miłosz Mirgos"	"plac Krasickiego 96
69-739 Augustów"
"Krzysztof Szpyt"	"ulica Księżycowa 266
29-345 Wrocław"
"Tymoteusz Kwarciak"	"ulica Stefana Batorego 73
77-401 Kluczbork"
"Emil Kamieniarz"	"pl. Wyzwolenia 884
18-965 Lubliniec"
"Kalina Pędzik"	"plac Daszyńskiego 23
76-828 Koszalin"
"Artur Borkowicz"	"pl. Reja 504
90-401 Bielsk Podlaski"
"Eryk Pawela"	"ulica Turystyczna 56/19
67-663 Czeladź"
"Hubert Klęczar"	"al. Listopada 81
30-201 Sochaczew"
"pani Urszula Portka"	"al. Tuwima 99/48
86-103 Police"
"pan Cyprian Fikus"	"pl. Malczewskiego 560
58-346 Zduńska Wola"
"pani Urszula Myszak"	"ul. Wysoka 440
43-571 Koszalin"
"pani Adrianna Machowicz"	"aleja Sadowa 81/28
57-468 Sieradz"
"Andrzej Fijak"	"al. Konstytucji 3 Maja 86
01-867 Swarzędz"
"Bartek Prucnal"	"ul. Jastrzębia 09/49
27-486 Dąbrowa Górnicza"
"pani Olga Zasępa"	"al. Kosynierów 095
71-905 Biłgoraj"
"Artur Jośko"	"ulica Makuszyńskiego 90
39-534 Biłgoraj"
"pani Ewelina Murat"	"aleja Morska 161
20-449 Tczew"
"pani Gaja Chlipała"	"ulica Reja 90/59
86-689 Piła"
"Tobiasz Majorek"	"plac Kraszewskiego 462
43-435 Świebodzice"
"Maurycy Pikula"	"ulica Jeżynowa 66/98
36-018 Sosnowiec"
"Ksawery Klekot"	"ul. Wybickiego 12/12
75-218 Czechowice-Dziedzice"
"Ryszard Lichoń"	"ulica Szeroka 04/69
96-176 Zamość"
"Roksana Kargol"	"plac Mieszka I 72
29-670 Poznań"
"Tymoteusz Lemke"	"pl. Kilińskiego 089
38-445 Chełm"
"pani Dorota Kunysz"	"ul. Robotnicza 858
19-490 Żagań"
"Artur Salach"	"aleja Narutowicza 87
93-185 Oświęcim"
"Alan Szarzec"	"ulica Mickiewicza 89/90
77-953 Dzierżoniów"
"Ewa Gęca"	"pl. Sawickiej 229
18-691 Racibórz"
"pan Marek Sroga"	"al. Żytnia 73/18
40-314 Krotoszyn"
"Blanka Pietraszkiewicz"	"plac Konarskiego 784
91-151 Łuków"
"pani Angelika Wandas"	"aleja Zielona 12/70
72-497 Kościerzyna"
"Patryk Cyman"	"aleja Wyszyńskiego 35/41
63-377 Stalowa Wola"
"pan Mariusz Klisz"	"ulica Daszyńskiego 747
72-174 Łuków"
"Albert Sajnóg"	"plac Jana Pawła II 954
58-585 Kwidzyn"
"pan Dawid Dzierwa"	"aleja Chopina 191
02-193 Zakopane"
"Artur Szumna"	"pl. Czarnieckiego 78
14-946 Toruń"
"Łukasz Szymańczak"	"aleja Daszyńskiego 606
33-276 Krotoszyn"
"Jędrzej Korzekwa"	"ul. Wieniawskiego 89/87
36-291 Sieradz"
"Leonard Rurarz"	"plac Konopnickiej 71
95-686 Świnoujście"
"Dominik Cierpisz"	"ulica Grunwaldzka 00/60
29-849 Bielsk Podlaski"
"pani Ida Soczewka"	"plac Staffa 42/35
88-670 Ząbki"
"pani Sonia Kapałka"	"pl. Powstańców Śląskich 71
78-508 Olsztyn"
"Ernest Truchan"	"aleja Kilińskiego 09/05
23-357 Chrzanów"
"Aurelia Doroba"	"al. Działkowa 18/60
37-803 Kraków"
"pani Lidia Bodzak"	"aleja Norwida 16/30
13-393 Będzin"
"Aurelia Borejko"	"ul. Paderewskiego 98/64
70-619 Mikołów"
"pani Urszula Poczta"	"plac Wojciecha 49
06-597 Piaseczno"
"Jakub Beker"	"pl. Miłosza 49
98-667 Stargard Szczeciński"
"Ksawery Krzyśków"	"ul. Handlowa 496
98-629 Wałbrzych"
"Blanka Lisak"	"ulica Krasickiego 75
77-102 Świdnik"
"pan Ignacy Kominiak"	"ul. Popiełuszki 359
34-485 Stargard Szczeciński"
"Aurelia Andrearczyk"	"aleja Zakole 84/04
83-719 Czeladź"
"Dominik Jaszczur"	"plac Asnyka 466
88-691 Czechowice-Dziedzice"
"Jędrzej Komander"	"ulica Władysława Łokietka 35
40-376 Częstochowa"
"Maksymilian Ochnio"	"al. Żwirki i Wigury 69
34-586 Rzeszów"
"Aurelia Bors"	"pl. Wyspiańskiego 826
82-336 Pruszcz Gdański"
"Hubert Janoszka"	"ulica Swierkowa 63
08-621 Bartoszyce"
"Fabian Matyszczak"	"plac Wyspiańskiego 91
80-982 Mysłowice"
"Witold Grygorowicz"	"al. Wolności 954
03-462 Nysa"
"Sandra Wdowczyk"	"ulica Nadrzeczna 284
05-964 Piaseczno"
"Wiktor Fal"	"ulica Drzymały 18
20-256 Lubartów"
"pani Sandra Bobryk"	"al. Jadwigi 577
27-011 Jarocin"
"Cyprian Warzybok"	"al. Listopada 250
68-206 Wyszków"
"pan Marcin Pabiś"	"ulica Koralowa 69/85
49-724 Łódź"
"Dawid Rajtar"	"ulica Wojska Polskiego 062
53-587 Sieradz"
"Aurelia Dziurdzia"	"ul. Popiełuszki 92
96-859 Tarnowskie Góry"
"Tadeusz Kukier"	"pl. Rynek 766
54-508 Biała Podlaska"
"pan Mateusz Liss"	"pl. Kazimierza Wielkiego 66
02-224 Kościerzyna"
"pan Jędrzej Szylar"	"pl. Sawickiej 40/84
20-604 Lubartów"
"Robert Kubisz"	"pl. Tuwima 616
07-872 Zgierz"
"Róża Wincenciak"	"aleja Wojciecha 58
58-487 Biłgoraj"
"Aleksander Piaseczna"	"ul. Kościelna 59
67-996 Leszno"
"pani Tola Szczypiór"	"pl. Traugutta 54/59
15-677 Gdańsk"
"Wojciech Dziarmaga"	"plac Kołłątaja 538
94-267 Turek"
"Witold Wyciszkiewicz"	"al. Wrzosowa 968
88-036 Gdynia"
"Aurelia Gryga"	"plac Witosa 79/38
38-417 Tomaszów Mazowiecki"
"Przemysław Lesner"	"plac Słowicza 59/27
31-196 Radomsko"
"Bruno Skubała"	"plac Sawickiej 031
22-387 Kościan"
"Leonard Strzępek"	"ul. Mieszka I 235
80-574 Łowicz"
"Anna Maria Fijałek"	"aleja Kościuszki 69
02-145 Ełk"
"Tola Drygas"	"ul. Broniewskiego 591
74-200 Czeladź"
"Ewa Skrobot"	"plac Wieniawskiego 648
69-541 Pabianice"
"Ryszard Dylak"	"ul. Widok 65
88-372 Piotrków Trybunalski"
"pani Ewa Wenda"	"ulica Głowackiego 40/76
50-387 Luboń"
"Emil Kielan"	"al. Kazimierza Wielkiego 70/85
74-281 Czerwionka-Leszczyny"
"Aurelia Kozdroń"	"ulica Sikorskiego 00/77
87-935 Piastów"
"Adrian Toczko"	"ulica Prusa 636
53-544 Mikołów"
"Jędrzej Dytrych"	"aleja Baczyńskiego 82/86
76-542 Ciechanów"
"Oliwier Hojda"	"al. Nałkowskiej 325
93-318 Kędzierzyn-Koźle"
"Paweł Plaskota"	"plac Skargi 911
39-639 Warszawa"
"Ryszard Myszk"	"ulica Kochanowskiego 83/37
75-973 Marki"
"Józef Grześków"	"plac Wojska Polskiego 60/46
89-140 Wyszków"
"Rafał Lubera"	"ul. Zbożowa 61/66
01-976 Kielce"
"pan Robert Pędrak"	"ulica Chopina 49
19-788 Zakopane"
"Ignacy Leżoń"	"al. Poniatowskiego 365
88-289 Będzin"
"Aurelia Sanetra"	"aleja Zacisze 295
77-978 Bolesławiec"
"pan Iwo Bekus"	"aleja Tuwima 400
87-956 Zduńska Wola"
"Artur Synak"	"ul. Magnoliowa 862
15-047 Tarnowskie Góry"
"pani Marika Plona"	"ul. Wiklinowa 39/63
85-532 Świnoujście"
"Sandra Furgała"	"pl. Listopada 816
81-374 Płońsk"
"Olgierd Zach"	"ul. Wyszyńskiego 197
73-061 Jastrzębie-Zdrój"
"Igor Pastor"	"aleja Cisowa 45
34-353 Gorlice"
"Julianna Jasica"	"plac Długosza 862
27-589 Bochnia"
"pani Róża Gonet"	"plac Brzechwy 52/53
45-973 Lublin"
"Janina Tworzydło"	"ulica Kolonia 26
72-542 Sanok"
"Aurelia Winnik"	"ulica Dąbrowskiej 314
28-682 Jawor"
"pani Sylwia Oleszko"	"ul. Wiklinowa 95/68
18-863 Jastrzębie-Zdrój"
"Witold Wódka"	"plac Kosynierów 37/24
27-129 Bytom"
"Mariusz Glonek"	"aleja Jana Sobieskiego 03
29-326 Oleśnica"
"Stefan Haremza"	"ul. Miarki 56/57
51-255 Czechowice-Dziedzice"
"Alex Wawrzyn"	"pl. Jana III Sobieskiego 38
60-755 Ruda Śląska"
"pani Adrianna Groth"	"aleja Malczewskiego 946
20-384 Brzeg"
"Wojciech Szela"	"pl. Kruczkowskiego 48
10-059 Wałcz"
"Miłosz Domka"	"plac Kazimierza Wielkiego 535
02-069 Żory"
"Piotr Pielech"	"aleja Pałacowa 491
44-467 Pszczyna"
"Aurelia Wojsa"	"plac Dąbrowskiej 07
04-008 Kalisz"
"Daniel Barankiewicz"	"ulica Dąbrowskiej 41
61-682 Legnica"
"Marcel Klyszcz"	"al. Nowowiejska 12
47-714 Sosnowiec"
"pan Jakub Klebba"	"al. Jasna 850
66-610 Piła"
"Arkadiusz Madera"	"pl. Hallera 240
44-760 Brzeg"
"Blanka Kusio"	"al. Torowa 36
72-974 Kutno"
"Kacper Toma"	"ulica Norwida 43/37
44-084 Goleniów"
"Mateusz Hamerla"	"plac Rejtana 592
12-243 Gniezno"
"pan Arkadiusz Janasik"	"al. Spokojna 33
75-228 Ostróda"
"Bartek Dusik"	"al. Wiślana 80
55-970 Augustów"
"Aurelia Zadka"	"al. Staffa 34
95-981 Bolesławiec"
"Paweł Dziechciarz"	"ul. Słonecznikowa 347
73-733 Czerwionka-Leszczyny"
"Julita Duczek"	"ulica Prosta 749
16-884 Suwałki"
"Gabriel Nieścioruk"	"al. Floriana 23/51
43-219 Zamość"
"Emil Koloch"	"ul. Gołębia 35/08
19-159 Świdnica"
"Mariusz Kolarczyk"	"plac Kruczkowskiego 18/22
39-258 Piaseczno"
"Eliza Hermanowicz"	"plac Krasickiego 84/41
04-085 Krosno"
"Jerzy Kansy"	"ul. Kwiatowa 56/72
15-167 Września"
"pan Tymoteusz Kustosz"	"ul. Cegielniana 277
66-880 Rumia"
"Jeremi Gołofit"	"ul. Bolesława Krzywoustego 453
64-168 Jarocin"
"Aurelia Łakota"	"pl. Kasprowicza 057
62-732 Wołomin"
"pani Lidia Kleina"	"ul. Rynek 526
64-657 Ostróda"
"Inga Kuba"	"ul. Boczna 99/67
95-409 Wągrowiec"
"pani Adrianna Mirocha"	"ul. Śląska 92/51
64-566 Sieradz"
"Gabriel Portka"	"plac Wojciecha 88/90
53-329 Wyszków"
"Nicole Fitas"	"al. Reymonta 259
27-614 Bielsko-Biała"
"Marcin Chomiak"	"pl. Nałkowskiej 73/00
86-793 Lubin"
"pan Kajetan Świadek"	"pl. Andersa 22
06-083 Augustów"
"Natan Maciuk"	"ul. Piłsudskiego 535
38-933 Ostrów Mazowiecka"
"Krystyna Orpel"	"ul. Piłsudskiego 676
25-803 Kalisz"
"Bartek Behrendt"	"plac Makuszyńskiego 82/83
17-892 Zakopane"
"pani Sara Mszyca"	"plac Słowackiego 38
84-764 Kętrzyn"
"Ewelina Kujda"	"plac Ściegiennego 538
55-166 Starachowice"
"Damian Kuropatwa"	"plac Bolesława Chrobrego 449
16-152 Starachowice"
"pani Krystyna Łaciak"	"plac Szymanowskiego 08/47
83-928 Żagań"
