"Aaron Vallin"|"Ängsstigen 504
54577 Uppsala" 
"Elias Andersson Olsen"|"Åkergatan 27
10240 Trollhättan"
"Sven Hussein"|"Backgatan 1
49156 Nyköping"
"Harriet Hedlund"|"Storstigen 2
65628 Södertälje"
"Helena Modig"|"Genvägen 091
29937 Luleå"
"Birgitta Klasson"|"Skolvägen 02
37225 Uddevalla"
"Alberto Hagberg"|"Granstigen 5
38228 Linköping"
"Margareta Karlsson"|"Parkstigen 0
40952 Örebro"
"Monica Andersson-Persson"|"Storvägen 0
23435 Landskrona"
"Jonas Helgesson"|"Furugatan 23
60874 Trollhättan"
"Monika Eriksson"|"Fabriksvägen 944
47886 Lidköping"
"Gustaf Bergström"|"Ringgränd 055
13717 Halmstad"
"Emelie Adolfsson"|"Gengatan 923
21110 Örnsköldsvik"
"Rita Westman"|"Parkgatan 6
49983 Lidköping"
"Emanuel Forslund"|"Kyrkvägen 487
16104 Sandviken"
"Birgitta Larsson Hedberg"|"Parktorget 590
71471 Landskrona"
"Eva Hellman"|"Bäcktorget 488
92292 Borlänge"
"Erik Andersson"|"Björkvägen 35
42369 Alingsås"
"Margareta Nilsson"|"Aspgatan 309
25451 Alingsås"
"Mirjam Jonasson"|"Kvarngatan 69
94635 Jönköping"
"Jakob Norberg"|"Backvägen 938
29627 Helsingborg"
"Eva Jönsson"|"Fabriksgatan 23
66205 Jönköping"
"Hedvig Rosengren"|"Stationsstigen 87
61612 Trelleborg"
"Isabella Andersson"|"Fabriksvägen 64
34095 Landskrona"
"Harry Haraldsson"|"Skogsvägen 0
38073 Södertälje"
"Birgitta Larsson"|"Kvarnvägen 5
57906 Nyköping"
"Börje Söderström"|"Stationstorget 93
73437 Örebro"
"Casper Persson"|"Kyrkgatan 532
24450 Karlstad"
"Gabriel Hasan Elofsson"|"Aspvägen 7
40764 Linköping"
"Arne Hagström"|"Furugränd 1
64417 Lund"
"Bert Ingvarsson-Svensson"|"Trädgårdsgatan 1
24317 Jönköping"
"Kerstin Johansson Jansson"|"Åkervägen 0
97219 Luleå"
"Gunvor Eriksson-Arvidsson"|"Trädgårdsgatan 208
86012 Skövde"
"Angelica Hall"|"Åkervägen 8
74016 Östersund"
"Mohammad Andersson"|"Strandstigen 401
26554 Växjö"
"Birgitta Lilja"|"Idrottsvägen 247
64270 Motala"
"Rolf Persson"|"Industrigatan 1
57429 Norrköping"
"Ragnar Andersson"|"Furuvägen 07
46424 Skövde"
"Nikola Karlsson-Ali"|"Ekgatan 517
75440 Göteborg"
"Patrik Forsell"|"Granstigen 6
13173 Helsingborg"
"Karl Jansson"|"Skoltorget 18
79553 Uppsala"
"Annika Larsen"|"Backgatan 426
51540 Karlskoga"
"Alva Nilsson"|"Ekstigen 90
50290 Varberg"
"Laura Olsson Nordberg"|"Ringvägen 2
21675 Sandviken"
"Elisabeth Hansen"|"Kyrkotorget 572
22272 Umeå"
"Birgitta Lindberg"|"Furuvägen 6
50729 Lund"
"Mathilda Håkansson Blixt"|"Ängsgränd 83
21978 Uddevalla"
"Elsa Johansson Björklund"|"Parkvägen 746
34991 Skellefteå"
"Sigge Bengtsson"|"Ringvägen 9
48441 Karlskrona"
"Teodor Eriksson"|"Skolgränd 095
47024 Sandviken"
"Ingrid Mohammadi-Öhman"|"Åkerstigen 802
70687 Sundsvall"
"Maria Wikström"|"Trädgårdsgatan 2
12733 Trelleborg"
"Johan Ahmadi"|"Stationsgatan 8
12234 Helsingborg"
"Margareta Sköld"|"Furugränd 62
35053 Alingsås"
"Anna Englund"|"Stationsgränd 510
24732 Umeå"
"Birgitta Lundgren Eriksson"|"Kyrkovägen 8
20184 Halmstad"
"Helena Skoglund"|"Ekgatan 407
40796 Varberg"
"Jeanette Ivarsson"|"Bäckgatan 484
94213 Trelleborg"
"Mustafa Issa"|"Kvarngatan 091
30375 Växjö"
"Elisabeth Björklund"|"Parkgatan 510
89046 Sandviken"
"Josefin Jonsson"|"Furugatan 464
89048 Kristianstad"
"Emanuel Ståhl"|"Nystigen 95
25888 Ängelholm"
"Yvonne Elofsson"|"Granvägen 5
80718 Uppsala"
"Elisabet Ahmed Edlund"|"Ekvägen 8
77532 Borås"
"Anna Ivarsson-Abrahamsson"|"Skogsstigen 9
98722 Lund"
"Birgitta Nilsson Svensson"|"Ängsvägen 414
29018 Kalmar"
"Tommy Sjöberg"|"Strandvägen 936
63304 Sundsvall"
"Arvid Ferm"|"Björkgränd 94
82316 Uppsala"
"Sonja Palmgren"|"Skogsgränd 7
80217 Trollhättan"
"Margareta Svensson"|"Storvägen 11
45988 Kalmar"
"Melwin Andrén Nilsson"|"Ekgatan 80
90316 Norrköping"
"Marita Holm"|"Aspvägen 7
59685 Uppsala"
"Roland Ivarsson"|"Ekstigen 834
12847 Norrköping"
"Sture Johnsson-Holmström"|"Kyrkgränd 94
71119 Umeå"
"Maria Johansson"|"Strandgränd 64
64171 Östersund"
"Birgitta Nilsson"|"Industritorget 6
79774 Borås"
"Nicklas Ekstrand"|"Backtorget 14
60223 Gävle"
"Olof Mattsson"|"Parkvägen 77
91078 Sundsvall"
"Sofia Svensson"|"Idrottstorget 80
49914 Göteborg"
"Christoffer Åström"|"Storvägen 47
25225 Linköping"
"Gun Bergström"|"Strandgatan 370
86327 Ängelholm"
"Rolf Nilsson"|"Idrottsgatan 13
21165 Skövde"
"Eleonor Nordin-Lantz"|"Ängsstigen 78
82029 Varberg"
"Roger Andersson Hasan"|"Kvarntorget 7
79942 Karlskoga"
"Harald Falk"|"Ängsvägen 4
99110 Norrköping"
"Birgitta Nyström"|"Backgatan 3
20205 Västerås"
"Annika Nyberg"|"Strandgatan 683
78262 Piteå"
"Stella Pålsson"|"Järnvägsstigen 697
73330 Gävle"
"Sofie Edlund"|"Villavägen 3
85458 Örnsköldsvik"
"Catharina Engström"|"Järnvägsgatan 357
17733 Norrköping"
"Lennart Malm"|"Storgränd 0
74770 Trelleborg"
"Martin Malmberg-Jonsson"|"Industristigen 87
94239 Östersund"
"Marko Svensson"|"Granstigen 1
91527 Trollhättan"
"Samuel Skoog Jonsson"|"Storgatan 809
94997 Landskrona"
"Fredrik Jacobsson"|"Stationsstigen 9
38793 Lidköping"
"Birgitta Olsson"|"Parktorget 6
98763 Östersund"
"Agneta Hansson-Karlsson"|"Ringgränd 21
36812 Trollhättan"
"Gunnar Brodin"|"Strandstigen 6
14754 Norrköping"
"Magnus Nilsson"|"Industrivägen 171
37174 Uddevalla"
"Lilly Ekberg"|"Kyrkostigen 3
24536 Karlskrona"
"Alexander Ekstrand Henriksson"|"Industrigatan 65
71796 Helsingborg"
"Emily Holm"|"Grangatan 06
26665 Göteborg"
"Erik Johansson"|"Idrottstorget 628
78606 Karlskrona"
"Ingela Gustavsson"|"Industrigatan 00
25687 Eskilstuna"
"Patrik Bäckström"|"Parkgatan 13
12917 Skellefteå"
"Birgitta Sjöberg Lindholm"|"Skoltorget 3
99135 Linköping"
"Anna Engdahl"|"Ekvägen 687
26384 Växjö"
"Anders Johansson"|"Fabriksgatan 80
24979 Kristianstad"
"Therese Åkesson"|"Industrigatan 01
80054 Mölndal"
"Anne-Marie Svensson"|"Industristigen 84
95258 Sundsvall"
"Lars Andersson"|"Bäckgatan 0
65063 Trelleborg"
"Kent Henningsson"|"Ekgatan 95
34350 Linköping"
"Ellen Eriksson"|"Kyrkogatan 780
17476 Sandviken"
"Theres Lindgren"|"Skolvägen 6
74210 Halmstad"
"Torsten Pettersson Johansson"|"Åkerstigen 9
65334 Umeå"
"Birgitta Söderlund"|"Åkergatan 20
42433 Halmstad"
"Marie Larsson"|"Ekvägen 35
97583 Uppsala"
"Börje Ljungberg"|"Björktorget 1
19815 Sandviken"
"Maximilian Karlsson"|"Gengatan 61
84701 Nyköping"
"Sofia Bengtsson Eriksson"|"Trädgårdsvägen 59
31526 Uddevalla"
"Karl Persson"|"Trädgårdsgatan 208
21738 Karlskrona"
"Inger Hagberg"|"Stationstorget 10
18189 Kristianstad"
"Jonas Nylander"|"Storvägen 79
92111 Landskrona"
"Wilma Fredriksson"|"Backvägen 38
22129 Landskrona"
"Michelle Hermansson"|"Kyrkovägen 8
38424 Lidköping"
"Björn Andersson"|"Skolvägen 3
23345 Östersund"
"Birgit Nylander"|"Nygatan 6
28256 Västerås"
"Birgitta Åkerlund"|"Parkgränd 76
92723 Alingsås"
"Lennart Jansson"|"Parkgränd 67
86485 Nyköping"
"Torbjörn Svensson"|"Parkgränd 58
94173 Alingsås"
"Mikael Bengtsson"|"Strandgatan 9
75808 Norrköping"
"Lennart Larsson"|"Parkvägen 017
47817 Sandviken"
"John Söderberg"|"Trädgårdsgatan 6
65991 Lidköping"
"John Lundell"|"Furuvägen 04
71824 Karlskrona"
"Alexander Johansson"|"Bäckgatan 291
60263 Nyköping"
"Björn Andersson-Hagberg"|"Grantorget 08
92427 Gävle"
"Christian Nilsson"|"Trädgårdsstigen 822
61151 Norrköping"
"Liam Larsson Zetterberg"|"Parkgränd 663
79928 Göteborg"
"Mina Johansson"|"Björkgatan 1
59487 Skövde"
"Arne Karlsson"|"Ringgränd 928
11313 Halmstad"
"Jon Andreasson"|"Kyrkogatan 4
18287 Skellefteå"
"Alf Jansson"|"Villavägen 8
64208 Umeå"
"Ruben Jönsson Persson"|"Kvarngatan 47
39335 Norrköping"
"Eric Hagberg"|"Åkervägen 616
80203 Karlstad"
"Glenn Karlsson"|"Ekstigen 6
57203 Landskrona"
"Björn Jönsson"|"Åkervägen 2
43055 Karlstad"
"Lovis Hansson Karlsson"|"Skolgatan 4
49828 Södertälje"
"Petra Sandström"|"Industristigen 40
28579 Falun"
"Mario Ingvarsson"|"Aspvägen 315
43752 Trollhättan"
"Milton Holmström"|"Gengatan 2
52708 Uppsala"
"Hugo Lindgren"|"Parkstigen 0
43394 Luleå"
"Anna Steen"|"Industritorget 8
21734 Landskrona"
"Lars Landström Hedlund"|"Backgränd 821
87367 Trelleborg"
"Melker Börjesson"|"Ängsstigen 2
89355 Mölndal"
"Edith Malm-Edlund"|"Skogsgatan 486
66980 Skellefteå"
"Björn Magnusson"|"Ekvägen 19
68509 Alingsås"
"Marie Danielsson"|"Storgränd 9
48032 Halmstad"
"Håkan Blixt"|"Industritorget 794
22056 Södertälje"
"Inga Bergström"|"Stortorget 125
52187 Göteborg"
"Karl Olsson"|"Skogsvägen 88
58556 Jönköping"
"Eivor Andersson"|"Storgränd 7
21402 Piteå"
"Margareta Johansson"|"Kyrkovägen 65
68593 Landskrona"
"Josefin Johansson"|"Skolgränd 66
95048 Luleå"
"Andres Johansson"|"Kvarnvägen 0
12524 Linköping"
"Karl Johansson"|"Åkervägen 8
90012 Örnsköldsvik"
"Björn Nilsson"|"Granvägen 1
58439 Kristianstad"
"Maria Bergström"|"Åkerstigen 543
81207 Karlskrona"
"Maria Persson-Salomonsson"|"Parkgränd 5
71852 Norrköping"
"Victor Karlsson"|"Nyvägen 64
89075 Borlänge"
"Monica Nilsson"|"Grangatan 51
25956 Karlskrona"
"Sofia Erlandsson"|"Bäckgränd 2
15667 Lund"
"Arne Svensson"|"Storvägen 7
28350 Mölndal"
"Thomas Johansson"|"Kvarngatan 97
90167 Skövde"
"Sven Lindblom"|"Backvägen 882
23837 Jönköping"
"Erik Gustafsson Hedström"|"Järnvägsgatan 2
29498 Kristianstad"
"Björn Pettersson"|"Åkergatan 3
41632 Karlskrona"
"Alex Sjöberg Henriksson"|"Åkergatan 48
75772 Piteå"
"Magdalena Andersson"|"Ringgränd 78
68790 Kristianstad"
"Emma Olander"|"Furugatan 718
92925 Linköping"
"Erik Larsson"|"Industrigatan 74
42302 Sundsvall"
"Ingrid Magnusson"|"Nygränd 06
66584 Sundsvall"
"Jack Johansson"|"Trädgårdstorget 10
94516 Borås"
"Tommy Martinsson"|"Idrottsgatan 354
92991 Växjö"
"Moa Melin"|"Ekgränd 633
35563 Lidköping"
"Mikael Berglund"|"Kvarnstigen 16
67643 Sundsvall"
"Björn Simonsson Andersson"|"Nystigen 888
95442 Varberg"
"Sigurd Asplund"|"Kyrkvägen 214
14872 Göteborg"
"Gunvor Wallgren"|"Skogsstigen 8
15798 Västerås"
"Anna Molin"|"Backtorget 9
86121 Mölndal"
"Alex Persson"|"Idrottsvägen 78
13499 Motala"
"Åke Gustafsson"|"Ängsvägen 26
64051 Falun"
"Liisa Ottosson Magnusson"|"Gengatan 1
80992 Lund"
"Helen Persson"|"Trädgårdsgatan 5
41537 Karlskoga"
"Karolina Falk"|"Backgatan 733
36414 Östersund"
"Agnes Lidström-Svensson"|"Ringtorget 67
18937 Ängelholm"
"Björn Törnqvist"|"Bäckvägen 35
58970 Östersund"
"Karina Åsberg"|"Backstigen 180
48899 Sandviken"
"Ann Göransson"|"Ekstigen 6
99177 Norrköping"
"Jesper Wikström"|"Skogsgatan 857
91753 Södertälje"
"Paul Engström"|"Kvarntorget 478
31387 Västerås"
"Malin Ahmad"|"Aspvägen 11
77958 Uddevalla"
"Tove Erlandsson"|"Furustigen 649
99558 Borlänge"
"Samir Karlsson"|"Kvarngatan 414
89984 Lund"
"Susanne Karlsson"|"Ringstigen 498
79326 Malmö"
"Staffan Löfgren"|"Kyrkogränd 69
76652 Lidingö"
"Björn Vikström"|"Nytorget 46
55693 Trollhättan"
"Rune Nilsson"|"Backgatan 5
84424 Göteborg"
"Iris Berg"|"Industritorget 35
27059 Landskrona"
"Anton Dahlqvist"|"Genvägen 049
92761 Karlskrona"
"Bo Kvist-Andersson"|"Bäcktorget 182
27519 Ängelholm"
"Gunilla Persson-Friberg"|"Kyrkvägen 5
97202 Stockholm"
"Lars Gustavsson"|"Nytorget 5
73930 Eskilstuna"
"Magdalena Karlsson"|"Skolvägen 67
89659 Malmö"
"Anna-Karin Mårtensson"|"Kyrkotorget 8
26216 Luleå"
"Stefan Håkansson Mohammed"|"Villatorget 90
74350 Växjö"
"Bo Blomqvist"|"Villagatan 143
11601 Göteborg"
"Linn Brandt-Aronsson"|"Parkvägen 57
94929 Södertälje"
"William Lindqvist"|"Industrigatan 8
24733 Skövde"
"Lena Berglund"|"Genvägen 698
82094 Umeå"
"Viktor Knutsson"|"Storstigen 1
22240 Borås"
"Malte Nilsson"|"Åkerstigen 77
90231 Ängelholm"
"Marianne Johansson"|"Parkgatan 14
59785 Malmö"
"Christopher Lind"|"Fabriksvägen 5
65065 Trollhättan"
"Lise-Lott Ericsson"|"Ringgatan 191
12924 Trelleborg"
"Carl Hjelm"|"Fabriksstigen 290
82727 Västerås"
"Bo Hansson"|"Granstigen 648
26085 Lidingö"
"Marie Larsson"|"Ängsvägen 16
63876 Uddevalla"
"Kristina Ek"|"Kyrkovägen 8
11723 Trollhättan"
"Anders Johansson"|"Genvägen 26
15847 Falun"
"Rut Jansson"|"Furugränd 7
33819 Norrköping"
"Ingvar Johansson"|"Skolvägen 791
96896 Sundsvall"
"Marita Gustafsson Moberg"|"Fabrikstorget 35
35354 Halmstad"
"Bo Grönlund"|"Strandgatan 9
93620 Skellefteå"
"Erik Olsson"|"Bäckgatan 751
95545 Skellefteå"
"Tom Åberg"|"Åkergatan 90
76287 Örnsköldsvik"
"Bo Karlsson"|"Ekvägen 32
43573 Uppsala"
"Lars Sjöblom"|"Nygatan 2
47946 Borlänge"
"Olof Forsberg Bergman"|"Stationsgatan 15
71434 Malmö"
"Rickard Petersson"|"Ekgatan 74
28126 Uddevalla"
"Mahmoud Khan Ali"|"Ängsstigen 941
98824 Sundsvall"
"Linda Eriksson"|"Industrivägen 6
45284 Alingsås"
"Noah Andersson-Eriksson"|"Fabriksgatan 46
16079 Trollhättan"
"Kristina Sjöstrand"|"Stationsgränd 598
58843 Mölndal"
"Karolina Johnsson Lundgren"|"Asptorget 9
24572 Uppsala"
"Erika Gren"|"Skogsvägen 296
22853 Lund"
"Bo Karlsson"|"Granvägen 4
34531 Sandviken"
"Olov Skoglund"|"Stationsgatan 0
89924 Eskilstuna"
"Liam Andersen"|"Idrottstorget 315
57312 Kristianstad"
"Mohammed Frid"|"Aspvägen 7
35474 Halmstad"
"Hans Andersson"|"Aspgatan 814
81398 Borlänge"
"Valdemar Saleh"|"Aspgränd 2
16165 Varberg"
"Elisabet Palm"|"Ringtorget 591
44867 Uddevalla"
"Hjördis Persson"|"Villagatan 75
78922 Göteborg"
"Erik Aronsson-Selin"|"Nyvägen 19
64400 Nyköping"
"Mattias Andersson"|"Skolvägen 381
54652 Varberg"
"Bo Larsen"|"Industristigen 2
23372 Uddevalla"
"Emma Karlsson"|"Trädgårdsvägen 1
96328 Lidköping"
"Anna Edlund"|"Storvägen 627
87528 Piteå"
"Lars Forsberg"|"Industrigränd 4
14672 Kalmar"
"Jonas Lindqvist"|"Bäckgatan 47
38983 Lidköping"
"Elisabet Mohammed"|"Kvarngatan 62
53793 Luleå"
"Björn Lind Rosenqvist"|"Trädgårdsgränd 78
81642 Malmö"
"Ingalill Olsson"|"Nystigen 16
14117 Mölndal"
"Mohammad Asp"|"Parkstigen 2
45366 Karlskoga"
"Siv Blomkvist"|"Industrivägen 2
79902 Luleå"
"Bo Magnusson Levin"|"Skogsstigen 680
78578 Borlänge"
"Sune Lundström"|"Industrigatan 75
12001 Alingsås"
"Roland Christensen"|"Parkvägen 961
70255 Norrköping"
"Johanna Isaksson-Karlsson"|"Furustigen 1
36324 Karlstad"
"Olivia Larsson"|"Björkvägen 530
77508 Gävle"
"Christoffer Arvidsson"|"Stationsvägen 5
36241 Sandviken"
"Elisabeth Bengtsson"|"Industrivägen 82
17459 Trollhättan"
"Emilia Andersson Andersson"|"Industrivägen 547
19376 Trollhättan"
"Tobias Lindberg"|"Industrigränd 05
16769 Trelleborg"
"Evy Gustafsson"|"Ringvägen 5
65704 Eskilstuna"
"Bodil Gustavsson"|"Skolgränd 8
24360 Örnsköldsvik"
"Eric Johansson"|"Grangatan 052
93667 Malmö"
"Rasmus Andersson-Lindqvist"|"Grangränd 76
77559 Umeå"
"Emil Söderman"|"Nyvägen 6
74347 Göteborg"
"Mikael Karlsson"|"Kyrkgatan 993
29107 Lund"
"Per Hjalmarsson"|"Ekgatan 7
69679 Piteå"
"Maria Arvidsson"|"Industrigatan 80
15886 Norrköping"
"Martin Granberg"|"Industrivägen 621
97711 Göteborg"
"Ingegerd Johansson"|"Kyrkotorget 29
84292 Nyköping"
"Lars Ivarsson"|"Nygatan 9
14608 Eskilstuna"
"Bodil Nilsson"|"Trädgårdsgatan 15
21986 Eskilstuna"
"Kevin Green"|"Gengatan 48
21193 Halmstad"
"Christina Hermansson"|"Skolgränd 8
53464 Stockholm"
"Åsa Eklund"|"Björkvägen 0
31356 Göteborg"
"Karolina Israelsson Karlsson"|"Parkgatan 19
42585 Luleå"
"Tilde Bergström"|"Ekstigen 906
50432 Karlskoga"
"Adam Ericson"|"Ektorget 79
29815 Uddevalla"
"Mohammed Hussein"|"Furugatan 193
74858 Falun"
"Maria Svensson Backlund"|"Backgatan 890
30879 Östersund"
"Gun-Britt Nordberg"|"Backvägen 6
65367 Norrköping"
"Boris Westerlund"|"Villavägen 201
15678 Örnsköldsvik"
"Maria Åslund"|"Stationsgränd 3
88774 Gävle"
"Vilhelm Norgren"|"Ringtorget 276
71172 Göteborg"
"Oscar Eliasson"|"Nytorget 294
11877 Karlstad"
"Anders Liu"|"Fabriksstigen 9
14454 Lidköping"
"Ali Hagman"|"Granvägen 18
78954 Örnsköldsvik"
"Sara Häggström"|"Villagatan 70
40546 Landskrona"
"Johan Westerberg"|"Skolgränd 9
10574 Lidingö"
"Eva Henriksson"|"Skolgatan 223
10329 Borlänge"
"Julius Löfgren"|"Stationsgatan 5
43667 Skövde"
"Brita Issa"|"Ringgatan 404
93390 Örebro"
"Tobias Nilsson-Jakobsson"|"Backstigen 9
30559 Jönköping"
"Aurora Jonsson"|"Furustigen 1
47431 Östersund"
"Ingrid Lundmark-Mohamud"|"Ekvägen 1
35994 Borlänge"
"Håkan Berg"|"Skolgatan 2
33779 Alingsås"
"Birger Petersson-Eriksson"|"Kyrkogatan 1
38987 Varberg"
"Bengt Olofsson"|"Industrigatan 66
42544 Landskrona"
"Maria Andersson-Ekelund"|"Järnvägsvägen 680
76274 Sundsvall"
"Monika Kjellberg"|"Kvarngränd 01
63267 Uddevalla"
"Irene Wikström"|"Åkergatan 6
42598 Borlänge"
"Britt Engström"|"Stationsstigen 199
32706 Kristianstad"
"Johan Nord-Gustavsson"|"Strandtorget 1
64775 Skellefteå"
"Barbara Johansson"|"Villastigen 603
96222 Kristianstad"
"Margareta Gustafsson"|"Kvarnvägen 48
37069 Sundsvall"
"Emelie Olsson"|"Gentorget 2
38811 Örnsköldsvik"
"Daniel Karlsson"|"Ängsgatan 675
68488 Malmö"
"Elisabet Lindskog"|"Parkstigen 75
96778 Lidingö"
"Maria Lindgren"|"Bäcktorget 536
79700 Karlskrona"
"Barbro Wahlgren"|"Furuvägen 199
64541 Skellefteå"
"Matts Andersson"|"Björkgatan 1
49472 Gävle"
"Britt Hansson"|"Furustigen 330
90112 Lidingö"
"Wilma Andersson"|"Strandtorget 194
32640 Trelleborg"
"Kjell Nilsson"|"Aspvägen 7
90866 Karlskrona"
"Gunnar Larsson"|"Backstigen 8
33439 Jönköping"
"Anna Rosenberg"|"Aspgatan 754
45512 Växjö"
"Lennart Berg Wallgren"|"Åkervägen 331
78212 Piteå"
"Caroline Karlsson"|"Industristigen 553
61602 Växjö"
"Kristina Ohlsson"|"Parkstigen 0
22939 Östersund"
"Britt-Mari Svensson"|"Trädgårdstorget 110
38346 Linköping"
"Maria Johansson"|"Parkgatan 8
97404 Mölndal"
"Britt Johansson-Jonsson"|"Järnvägstorget 6
58301 Landskrona"
"Emma Larsson"|"Björkvägen 83
63138 Piteå"
"Florence Johansson-Gustafsson"|"Ringvägen 884
25854 Sundsvall"
"Maria Lindh"|"Ekgränd 62
60811 Uppsala"
"Rasmus Edberg"|"Storvägen 8
88654 Halmstad"
"Louise Johansson"|"Strandtorget 163
46979 Jönköping"
"Eddie Bergström"|"Villagränd 7
25101 Örnsköldsvik"
"Paulina Lindberg"|"Ängsgatan 63
95752 Mölndal"
"Jan Börjesson"|"Skogsgatan 51
33992 Stockholm"
"Jonas Nordin Lundmark"|"Ringgatan 83
57563 Malmö"
"Britt Melin-Johansson"|"Skogsgränd 01
79735 Lund"
"Cecilia Svanberg"|"Ringtorget 309
77489 Karlskrona"
"Mikael Lennartsson"|"Storgränd 6
78101 Sundsvall"
"Niclas Sjöberg"|"Nyvägen 5
30695 Karlskoga"
"Rickard Hedlund-Lindström"|"Fabrikstorget 146
85481 Örebro"
"Isabelle Mohammadi"|"Ekvägen 290
66875 Trelleborg"
"Filippa Andersson"|"Parkgränd 0
92881 Sundsvall"
"Lars Holmberg-Jakobsson"|"Villatorget 71
17217 Östersund"
"Jan Ferm-Eriksson"|"Kyrkotorget 34
14241 Trollhättan"
"John Johansson"|"Stationsvägen 41
59897 Eskilstuna"
"Britt Nyberg"|"Åkervägen 9
25549 Borlänge"
"Ronny Dahlgren"|"Järnvägsvägen 402
89854 Gävle"
"Simon Johansson"|"Järnvägsvägen 7
21780 Sundsvall"
"Kim Falk Berglund"|"Gengatan 88
91114 Trollhättan"
"Anneli Nilsson"|"Parkvägen 287
23378 Landskrona"
"Nova Sjöberg"|"Storvägen 03
44957 Motala"
"Magnus Månsson"|"Parkgatan 424
24222 Karlskrona"
"Hans Karlsson"|"Nyvägen 8
38707 Ängelholm"
"Anders Ljungberg"|"Kyrkgränd 642
60272 Skövde"
"Mikael Andersson"|"Stationsstigen 973
53306 Umeå"
"Bror Holmgren"|"Kyrkgatan 7
12761 Skövde"
"Hans Svensson"|"Idrottsgatan 471
56012 Lund"
"Caroline Söderberg"|"Björkgatan 9
22489 Sandviken"
"Anna Fredriksson"|"Ängsvägen 87
28863 Kristianstad"
"Karl Lund"|"Fabrikstorget 5
42118 Motala"
"Claes Dahl"|"Stationsgränd 858
12161 Jönköping"
"Isak Eriksson Bergqvist"|"Villagränd 16
41375 Eskilstuna"
"Anders Sandberg"|"Storvägen 7
11760 Kalmar"
"Karl Lindquist Pettersson"|"Skolgränd 520
17696 Ängelholm"
"Lena Karlsson Andersson"|"Bäckgatan 0
52421 Lidköping"
"Börje Dahlström-Löfgren"|"Kvarngränd 64
97022 Sandviken"
"Peter Hellström"|"Skolgränd 87
98338 Helsingborg"
"Christina Gustafsson-Gunnarsson"|"Storgatan 01
98383 Halmstad"
"Viktor Lundkvist"|"Genvägen 0
92433 Alingsås"
"Urban Steen-Svensson"|"Storstigen 70
57313 Trelleborg"
"Nils Berg"|"Trädgårdsgatan 79
81513 Lidköping"
"Henrik Hallin-Karlsson"|"Trädgårdstorget 973
98932 Borlänge"
"Margareta Nilsson"|"Skolstigen 099
21124 Trelleborg"
"Lars Nilsson-Eriksson"|"Fabriksgatan 69
94881 Västerås"
"Roland Arvidsson-Holmqvist"|"Trädgårdsgatan 145
83575 Mölndal"
"Börje Fredriksson"|"Ringgatan 12
73617 Halmstad"
"Ingela Ali Lennartsson"|"Strandvägen 582
66979 Lidingö"
"Sandra Lundberg"|"Kvarngränd 3
65669 Motala"
"Karin Söderström"|"Furutorget 597
51407 Landskrona"
"Johan Nilsson"|"Ängsgränd 2
77198 Karlstad"
"Christina Ljunggren Pettersson"|"Skolgatan 980
44793 Sandviken"
"Karl Johansson"|"Idrottsgatan 18
31410 Stockholm"
"Lisa Landström"|"Kyrkgränd 5
38076 Örebro"
"Malin Börjesson"|"Storstigen 285
81130 Göteborg"
"Catarina Ahmed"|"Åkervägen 5
25095 Sundsvall"
"Börje Johansson"|"Ekvägen 321
10431 Skellefteå"
"Thomas Johansson"|"Ringstigen 5
81722 Mölndal"
"Johanna Mohamed"|"Strandvägen 442
36872 Uddevalla"
"Johanna Emanuelsson"|"Kyrkogatan 51
61870 Uppsala"
"Lars Norén"|"Björkgränd 255
34691 Mölndal"
"Torbjörn Ekman"|"Skolgatan 5
65647 Sandviken"
"Åsa Petersson"|"Kyrkovägen 8
99536 Östersund"
"Pernilla Andersson"|"Industritorget 957
68890 Piteå"
"Ingrid Abdullah Gustafsson"|"Idrottsgränd 6
49094 Växjö"
"Esther Jönsson"|"Industristigen 45
68393 Gävle"
"Börje Nilsson"|"Skolgränd 4
92093 Lund"
"Kurt Paulsson"|"Kyrkgatan 6
58380 Landskrona"
"Olle Lundgren"|"Ekgatan 838
69343 Örebro"
"Hans Jacobsson"|"Stationsvägen 5
50451 Varberg"
"Bengt Folkesson"|"Järnvägstorget 950
40714 Trollhättan"
"Astrid Holmström"|"Skogsvägen 255
70051 Luleå"
"Ingrid Pettersson"|"Nyvägen 76
99809 Karlstad"
"Fredric Nyberg Andersson"|"Kvarnvägen 19
18146 Norrköping"
"Christina Lindqvist"|"Trädgårdstorget 2
52838 Göteborg"
"Albert Pettersson"|"Parkvägen 58
89330 Luleå"
"Camilla Andersson"|"Parkgatan 934
69605 Gävle"
"Alexandra Hedström"|"Kyrkotorget 33
38416 Trelleborg"
"Viktor Sjöström"|"Ängsgatan 8
89120 Södertälje"
"Linnea Khan"|"Genvägen 85
36210 Mölndal"
"Maria Bengtsson"|"Ängsgränd 107
42099 Landskrona"
"Lars-Erik Möller"|"Trädgårdsvägen 1
72427 Karlstad"
"Bo Johansson"|"Granvägen 339
56135 Malmö"
"Kristian Karlsson"|"Bäckvägen 55
97106 Sandviken"
"Åke Lundgren"|"Skolgatan 6
21398 Växjö"
"Bertil Wahlström"|"Nygatan 7
41624 Lund"
"Camilla Andersson"|"Skogsvägen 01
33110 Luleå"
"Filip Nilsson"|"Idrottsvägen 66
94389 Östersund"
"Christina Larsson"|"Furuvägen 1
29564 Stockholm"
"Emmy Larsson"|"Ängsvägen 717
20551 Örnsköldsvik"
