"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi" 
"Dr. Tóth Balázs","Hetvenvégi utca 133.
H-4355 Melléknádasd"
"Patakiné Dr. Nagy Beáta","Arany jános utca 48.
H-4237 Belsőhídberény"
"Tóthné Gál Mária Gabriella","Mindszentvári utca 179.
H-4694 Székesfehérvár"
"Dr. Kiss Fehér Julianna","Dózsa györgy utca 200.
H-5807 Dunahídkövesd"
"Dr. Szabó Norbertné Szabó Anna","Debreceni utca 180.
H-8824 Felsőhídhalas"
"Kiss Tiborné Takács Judit","Németligeti utca 26.
H-3757 Ózd"
"Dr. Á. Székely Erzsébet","Békésligeti utca 32.
H-3155 Hetvenberény"
"N. Rácz Tímea","Bakonyhetveni utca 167.
H-7256 Drávatamásiapáti"
"Juhász Veronika Dóra","Arany jános utca 53.
H-4929 Lajoshídhida"
"Dr. Nagy Kovács László","Kossuth utca 156.
H-3076 Vác"
"Nagy Lakatos Tibor","Hátvárai utca 103.
H-7627 Szerbmindszentkőrös"
"Kiss M. Botond","Mátratapolcai utca 108.
H-4029 Mártonhalas"
"Dr. Kiss Szabó Zoltán","Felsőligeti utca 111.
H-4654 Háthida"
"Dr. Balogh Sándor","Petőfi sándor út 239.
H-7695 Tamásihalas"
"Pataki Istvánné Szalai Magdolna","Hetvendevecseri utca 128.
H-3322 Somogytamásihida"
"Kovács S. Gizella","Tótvárosi utca 12.
H-1444 Békéshetvenvára"
"Tóth Ferencné","Mellékharasztii utca 186.
H-2977 Tatabánya"
"Dr. I. Varga Mária","József attila utca 226.
H-5217 Tótfa"
"Dr. Kovács Istvánné","Tapolcakövesdi utca 33.
H-3543 Debrecen"
"Dr. Nagy L. József","Kecskeméti utca 21.
H-3690 Baja"
"Dr. Balázs Klaudia","Nagykanizsai tér 97.
H-1225 Balatongyörgydevecser"
"Szabó Tamásné Papp Mária","Keresztapátii utca 163.
H-2793 Drávagyörgyváros"
"Dr. Takács Csabané","Béke utca 143.
H-7669 Kuntapolcaháza"
"Takácsné Dr. Horváth Alexandra Bernadett","Béke utca 125.
H-6485 Keresztnémeti"
"Dr. Tóthné Kovács Gabriella","Kecskeméti út 88.
H-5938 Tatabánya"
"Szabó Mária Tímea","Felsőmindszenti tér 40.
H-3214 Zalaegerszeg"
"Dr. Orsósné Szilágyi Ilona Szilvia","Nyírgyörgyi utca 140.
H-1607 Debrecen"
"Kovácsné Varga Irén","Pusztakereszti utca 186.
H-4864 Székesfehérvár"
"Farkasné Kovács Kitti Terézia","Alsótapolcai utca 27.
H-5368 Hódmezővásárhely"
"Dr. Nagy Lukács Katalin","Újtamásii utca 178.
H-8165 Szombathely"
"Nagy Nóra","Dózsa györgy utca 147.
H-5537 Vác"
"Dr. Tóth Gergőné Horváth Melinda","Balatonmindszenti út 2.
H-7301 Vác"
"Dr. Simon R. Anikó","Salgótarjáni utca 144.
H-1968 Borsodgyörgydevecser"
"Kiss B. Benjámin","Egeri tér 196.
H-1239 Székesfehérvár"
"Tóth D. Nóra","Béke utca 12.
H-4453 Békéshídapáti"
"Dr. A. Szabó Andrea","Tapolcahalasi utca 236.
H-8055 Borsodmártonkövesd"
"Horváthné Kovács Noémi","Nyíregyházai utca 220.
H-2605 Fürdőnémeti"
"Dr. Török Áronné","Lajosligeti út 195.
H-4212 Budapest"
"Lakatosné Takács Erzsébet","Keresztberényi utca 140.
H-5424 Szerbmártonkőrös"
"Dr. Nagy László","Szolnoki utca 30.
H-3447 Ligetbánya"
"Pintérné Fekete Andrea Ilona","Tiszai utca 136.
H-8660 Hídnémeti"
"Dr. Pappné Somogyi Ágnes","Arany jános utca 142.
H-8495 Mártonfalva"
"Baloghné Dr. Balogh Nikoletta","Nyékfürdői tér 197.
H-4804 Falu"
"Dr. Kiss Enikő Éva","Mezőmelléki út 12.
H-6795 Baja"
"M. Szabó Rozália","Váci utca 107.
H-9108 Salgótarján"
"S. Horváth Dóra","Ady endre utca 96.
H-1028 Baja"
"Nagyné Dr. Gulyás Orsolya","Kaposvári utca 142.
H-5251 Székesfehérvár"
"Prof. Dr. Nagy Gábor Péter","Tamásiberényi út 200.
H-8904 Nagykanizsa"
"Dr. Balázs Ferencné","Drávai utca 27.
H-4689 Hódmezővásárhely"
"Dr. Nagy László","Ózdi utca 116.
H-3333 Cegléd"
"Z. Sipos Fanni","Dózsa györgy utca 134.
H-5138 Székfalu"
"Tóthné Dr. Balogh Erzsébet","Drávaszéki utca 109.
H-1184 Vár"
"Tamás Melinda","Egeri út 211.
H-4889 Györgyvár"
"Sándor Péterné","Váci utca 225.
H-8857 Hetvenfalu"
"Dr. Halászné Bognár Vivien Ildikó","Drávahetveni utca 20.
H-7653 Békéstamásivárad"
"Dr. Németh Z. Anna","Érdi utca 241.
H-3648 Veszprém"
"Szabóné Szabó Brigitta","Pécsi utca 48.
H-7414 Lajosfürdővárad"
"Varga Gergelyné Varga Gabriella","Kossuth utca 188.
H-2932 Tapolcafalva"
"Dr. E. Szabó Krisztina","Szolnoki út 249.
H-7424 Mártonapáti"
"Dr. Nagy Lászlóné","Mellékhidai utca 89.
H-1654 Mosonmagyaróvár"
"J. Kovács Sándor","Keresztkövesdi utca 214.
H-2314 Oroszhídfa"
"Dr. I. Papp Dóra","Hídharasztii utca 163.
H-7898 Hátkőrös"
"Török Gábor Béla","Kossuth utca 35.
H-7139 Szenthídfalva"
"Dr. Mártonné Tóth Julianna","Felsőkereszti utca 224.
H-5519 Ligetvár"
"Németh Éva Erzsébet","Hetvennádasdi utca 77.
H-4511 Salgótarján"
"Dr. Tóth Kovács Brigitta","Mártonfalvai utca 163.
H-9952 Mindszentkőrös"
"Tóth Lajosné","Petőfi utca 50.
H-1581 Nyíregyháza"
"Vargané Kovács Ágnes","Zalaegerszegi utca 176.
H-5597 Felsőmindszentvárad"
"Lengyel Klaudia","Törökfürdői utca 17.
H-9596 Székhalas"
"Dr. Nagy M. Margit","Mártonházai utca 232.
H-4017 Lajosmellékapáti"
"Dudás N. András","Mártonházai utca 123.
H-3814 Hídberény"
"Nagy Gyula","Szabadság utca 193.
H-9406 Belsőmellékkövesd"
"V. Faragó Annamária","József attila utca 155.
H-3145 Györgykövesd"
"Dr. Kovács Mihályné","Váci utca 195.
H-8675 Váchetvennémeti"
"Horváth Imrené Tóth Zita","Drávamelléki utca 173.
H-8169 Kunmindszentnádasd"
"Horváth Mária Renáta","Tamásikövesdi utca 72.
H-4795 Györgykőrös"
"Dr. Baloghné Boros Zsuzsanna","Székesfehérvári utca 46.
H-2578 Alsótótkövesd"
"D. Szabó Antal","Dunaújvárosi utca 67.
H-8507 Békéscsaba"
"Dr. Lakatos Gábor","Arany jános tér 161.
H-1071 Mosongyörgyvár"
"Dr. Nagy Milánné","Szerbligeti út 124.
H-2895 Nyíregyháza"
"Dr. Fülöp Jakab Zsolt","Mellékvégi utca 46.
H-2872 Kecskemét"
"T. Németh Renáta","Petőfi sándor utca 226.
H-8502 Pusztatóthida"
"Dr. Juhász Péter","József attila út 34.
H-2502 Hetvenvég"
"Rácz Farkas Ádám","Székesfehérvári utca 241.
H-5807 Budakeresztbánya"
"Farkas C. Edit","Váckereszti utca 83.
H-2840 Fürdőnémeti"
"K. Szabó Zoltán","Somogymártoni utca 133.
H-2563 Nyíregyháza"
"Hegedüsné Horváth Mária","Budatamásii utca 230.
H-1195 Györgyváros"
"Kovács Anikó","Györgyhidai tér 187.
H-5242 Dunaújváros"
"Nagy József","Orosztamásii utca 55.
H-2157 Tamásinádasd"
"Dr. Nagy Norbertné Varga Viktória","Várai utca 231.
H-7477 Vácmellékkőrös"
"Dr. Lakatos Virág Barna","Hídhidai utca 71.
H-8911 Érd"
"Farkas Király Katalin","Béke utca 24.
H-8207 Tatabánya"
"Dr. Horváth Vivien","Veszprémi utca 187.
H-7952 Zalaegerszeg"
"Dr. Kisné Kocsis Erzsébet","Arany jános utca 100.
H-6184 Bakonytamásihalas"
"Németh Józsefné","Szolnoki utca 159.
H-4940 Cegléd"
"Szabó Hajdu Kálmán","Szentkereszti út 15.
H-7611 Magyarfürdővég"
"Horváth János","Györgynémetii utca 232.
H-1925 Mellékhida"
"Dr. Lakatos Mihály","Tapolcahidai utca 110.
H-8182 Drávahídfa"
"Novák Miklósné Szőke Ágnes","Ady endre utca 131.
H-2713 Györgyberény"
"Dr. Nagy Németh Attila","Felsőmártoni tér 190.
H-8072 Érd"
"E. Gál Norbert","Lajosmelléki utca 194.
H-7561 Budamindszentnémeti"
"Dr. Boros Balogh Balázs","Salgótarjáni út 190.
H-8459 Békéscsaba"
"Fülöpné Kovács Zsuzsanna Bernadett","Rácfürdői utca 242.
H-9145 Fürdőapáti"
"Faragó Ádámné Németh Éva","Petőfi sándor utca 138.
H-3546 Sopron"
"Dr. Nagy Takács Mária","Kossuth utca 15.
H-8498 Nyíregyháza"
"Fehér K. Réka","Tiszamindszenti utca 33.
H-8192 Békéscsaba"
"Kovács Attila","Székesfehérvári utca 132.
H-6799 Hátkőrös"
"Dr. Somogyi Kovács Ilona","Tamásiharasztii út 43.
H-9036 Miskolc"
"Simon Tünde","Tamásivárosi út 16.
H-1137 Nyíregyháza"
"Dr. Nagy Péter","Tótharasztii utca 13.
H-5007 Zalaegerszeg"
"Dr. Bognárné Kovács Gizella","Tamásifalui utca 29.
H-3943 Mindszentvár"
"Gál Jakab Réka","Tapolcaházai utca 179.
H-2838 Sopron"
"Dr. Tóth Józsefné László Tünde","Kossuth tér 158.
H-2587 Szerbtótharaszti"
"Dr. Szabóné Varga Andrea","Dózsa györgy utca 153.
H-7730 Tatabánya"
"Szabó E. Emma","Petőfi sándor utca 48.
H-6147 Szolnok"
"Dr. Molnárné Péter Mariann Mária","Mindszentfalui út 80.
H-7682 Tamásihalas"
"E. Szabó László","Drávahídi utca 126.
H-2019 Somogytamásiapáti"
"Balogh Máté","Petőfi sándor utca 179.
H-5364 Oroszfürdőfalva"
"Dr. László Farkas Sándor","Petőfi utca 123.
H-3364 Szenttótdevecser"
"Dr. Nagy Péterné","Kaposvári utca 48.
H-1161 Tiszaligetvárad"
"Dr. Varga Gergő","Ózdi utca 121.
H-3907 Drávatamásivárad"
"Dr. Mészáros Szabó István","József attila utca 74.
H-4653 Érd"
"Fehér Bertalan","Szigetszentmiklósi utca 179.
H-8170 Bácsfürdőberény"
"Prof. Dr. Balogh Adrienn","Pilisszéki utca 102.
H-2361 Tatabánya"
"Kovács L. György","Petőfi utca 113.
H-3855 Mindszenthida"
"Kiss Erzsébet","Hetvennémetii utca 57.
H-3206 Vác"
"Molnár Katalin Zsuzsanna","Kossuth utca 130.
H-7035 Kereszthida"
"Dr. Bognár Károly","Békéscsabai utca 125.
H-1333 Mosongyörgyberény"
"Fehér Pálné Jakab Lili","Ligetfalvai utca 117.
H-3278 Hídvég"
"Dr. Nagy R. Norbert","Tótvári utca 240.
H-2988 Hátharaszti"
"Horváth Sándorné","Bajai utca 108.
H-6126 Magyarhetvennádasd"
"Dr. Németh Balogh Adrián","Hátdevecseri utca 76.
H-5051 Szeged"
"Nagy B. László","Tótkőrösi utca 89.
H-4256 Pécs"
"Varga Irén","Tótapátii utca 197.
H-7912 Veszprém"
"Dr. Nagy Á. László","Budahídi utca 95.
H-5341 Tamásivára"
"Dr. Molnárné Péter Györgyi Erzsébet","Györgyvégi utca 2.
H-1396 Mártonharaszti"
"Dr. Tamás Sándorné","Ady endre utca 242.
H-9363 Balatontapolcavárad"
"Dr. Oláh Lajosné","Györgyfalui utca 223.
H-5445 Fürdővárad"
"Szabóné Sándor Edit","Mártonvégi utca 17.
H-3932 Hídberény"
"Dr. Nagy Sándorné","Szegedi utca 249.
H-3728 Mindszentkövesd"
"Kiss Dominik Károly","Hátfai utca 186.
H-8015 Hetvenhalas"
"Németh E. Magdolna","Budagyörgyi út 154.
H-7846 Salgótarján"
"Váradiné Dr. Kovács Judit","Petőfi sándor utca 159.
H-8385 Mindszentháza"
"Z. Rácz Zsolt","Veszprémi utca 35.
H-1149 Kecskemét"
"Dr. Lakatos Takács Sándor","Ózdi út 93.
H-8540 Hetvenvég"
"Dr. Bálint Dominik","Szombathelyi utca 121.
H-3432 Felsőhátvég"
"Horváth Ádám","Dózsa györgy utca 25.
H-9674 Balatonmártonnádasd"
"Nagy Ildikó Annamária","Egeri utca 146.
H-6178 Györgykőrös"
"Nagy A. Zsuzsanna","Nyéktamásii út 136.
H-2660 Györgyvár"
"Dr. Nagy Tóth Endre","Kossuth utca 217.
H-6029 Tatabánya"
"Dr. Tóthné Pintér Katalin Erika","Tótvári utca 109.
H-2556 Hídnádasd"
"Simonné Horváth Orsolya Terézia","Mosoni utca 117.
H-7205 Tamásidevecser"
"Nagy Balogh Éva","Kaposvári utca 99.
H-4782 Tamásiapáti"
"Szabó Endrené Kovács Erzsébet","Budaszéki utca 17.
H-4202 Hódmezővásárhely"
"B. Balázs Áron","Váci út 206.
H-9991 Debrecen"
"Nagyné Máté Erzsébet","Egeri utca 159.
H-8275 Mosonmagyaróvár"
"Dr. Tóth Sándor Orsolya","Arany jános tér 79.
H-8292 Fa"
"Dr. Rácz Zoltánné Balla Márta","Arany jános utca 243.
H-4951 Békéscsaba"
"Dr. Fekete Józsefné Lakatos Katalin","Felsőtapolcai utca 53.
H-6383 Pécs"
"Dr. Nagy Veronika","Petőfi utca 236.
H-9654 Székhalas"
"Dr. Juhász Margit","Salgótarjáni utca 87.
H-2727 Békéstamásifa"
"Molnár Kiss Antal","Dózsa györgy utca 144.
H-4952 Székfalva"
"Biró Rozália Klára","Kossuth út 214.
H-3613 Veszprém"
"Horváth Varga Bianka","Kecskeméti út 68.
H-4514 Kuntamásivég"
"Péter Béla","Petőfi sándor utca 151.
H-8959 Lajoshetvenvár"
"Horváthné Dr. Katona Ágnes","Székfalvai tér 77.
H-5962 Tiszatótbánya"
"Dr. Farkas Imrené","Háthalasi utca 102.
H-4681 Miskolc"
"Dr. Kiss A. Mihály","József attila utca 86.
H-7933 Mellékkövesd"
"Dr. Németh Gábor István","Mártonbányai tér 187.
H-1961 Budapest"
"Dr. Nagy Virág Ferenc","Ady endre utca 38.
H-4363 Hetvenfalu"
"Nagy Farkas János","Szabadság utca 168.
H-7461 Tatabánya"
"Dr. Gál Horváth László","Budapesti utca 151.
H-3408 Dunakeszi"
"Gál J. Mónika","Somogyfürdői út 183.
H-8993 Budapest"
"Oláhné Farkas Melinda Terézia","Töröktóti tér 35.
H-4057 Hajdúmártonvárad"
"Dr. Kelemen Erzsébet","Ceglédi tér 236.
H-8886 Alsóvár"
"Dr. Antal Mária Jázmin","Egeri tér 68.
H-6766 Kuntapolcafalva"
"Balogh Tamásné","Petőfi utca 115.
H-8132 Mezőhídfa"
"Dr. Horváth Erzsébet Mária","Szolnoki utca 181.
H-9300 Szigetszentmiklós"
"Dr. Jakabné Tóth Irén Judit","Hetvenharasztii utca 130.
H-1387 Somogyhátvárad"
"Dr. Nagy Á. Adrienn","Pilishetveni utca 84.
H-6086 Némettapolcakövesd"
"Halászné Dr. Balogh Rózsa","Györgyfalui utca 243.
H-6202 Eger"
"Dr. Szalai Kovács Balázs","Arany jános út 173.
H-1977 Borsodtamásiapáti"
"Dr. Hajdu Rita","Tamásiváradi utca 187.
H-7886 Balatonkövesd"
"Dr. Oláh Sándor János","Fürdőnádasdi utca 96.
H-3186 Szeged"
"Bálint Istvánné Sipos Irén","Békéshídi utca 159.
H-6318 Pusztamindszentvár"
"Lakatos László","Hetvenhidai utca 31.
H-7857 Szentfürdőkőrös"
"Dr. Kiss Lászlóné","Szenttamásii utca 135.
H-4448 Miskolc"
"Dr. Szalai Ferencné","Szabadság utca 105.
H-4494 Lajosmindszentberény"
"Horváthné Dr. Király Mária","Miskolci tér 137.
H-3835 Drávamindszenthida"
"Dr. Nagy Éva Henrietta","Hídvárai utca 47.
H-8633 Borsodkeresztnémeti"
"Nagy Farkas Mária","Kecskeméti utca 101.
H-4012 Újtamásihida"
"Tóth János Árpád","Némethetveni utca 202.
H-7237 Szigetszentmiklós"
"J. Varga József","Mellékhalasi utca 72.
H-2031 Debrecen"
"Veres Gábor József","Nagykanizsai utca 210.
H-3716 Mellékfalva"
"Dr. Fehér K. Julianna","Hídhidai tér 51.
H-7988 Nyíregyháza"
"Szabó Nikolett","Széknémetii utca 197.
H-7349 Ózd"
"Molnár Katalin Katalin","Petőfi utca 153.
H-2299 Hídapáti"
"Dr. Fodor I. Erzsébet","Budapesti utca 64.
H-3322 Váctamásiháza"
"Dr. D. Nagy István","Felsőhídi utca 97.
H-7548 Békésfürdőfa"
"Dr. Nagyné Budai Erzsébet","Pusztatamásii utca 26.
H-2920 Zalaegerszeg"
"Szűcs M. Gergely","Drávatapolcai utca 218.
H-6461 Székvég"
"L. Németh Gyula","Györgyfai utca 87.
H-2295 Hátkőrös"
"Kovácsné Molnár Noémi","Szerbfürdői utca 29.
H-6954 Ózd"
"Farkas Marcellné Simon Mónika","Salgótarjáni utca 246.
H-2589 Ózd"
"Dr. Kovács Dorina Judit","Fürdőberényi utca 231.
H-7630 Nyíregyháza"
"Horváthné Dr. Pásztor Erzsébet Anikó","Nagymindszenti utca 224.
H-5826 Dunahátkőrös"
"Szűcs Pál Judit","Tótnádasdi utca 22.
H-8634 Tamásinádasd"
"Dr. Mészáros Leventené","Ady endre utca 220.
H-8393 Borsodligetberény"
"Farkasné Dr. Kiss Zsanett Szilvia","Hátdevecseri utca 144.
H-7901 Tiszaligetapáti"
"Dr. Nagyné Major Andrea","Pusztakereszti út 31.
H-9168 Balatonhátdevecser"
"Tóth Z. Péter","Ady endre utca 227.
H-1383 Dunatótkövesd"
"Szabó Rolandné Mészáros Ágnes","Arany jános utca 64.
H-7012 Tótfalva"
"A. Szabó József","Petőfi utca 162.
H-6090 Veszprém"
"Németh Horváth Andrea","Németmelléki utca 85.
H-1115 Tapolcafa"
"Dr. Varga Illés István","Szabadság utca 69.
H-1665 Szigetszentmiklós"
"Szabó Soós Ádám","Petőfi utca 215.
H-2280 Pusztamindszentfa"
"Dr. Lukácsné Kovács Andrea Zsófia","Dózsa györgy utca 172.
H-3330 Németkőrös"
"Dr. Jónás Jánosné","Petőfi sándor tér 118.
H-8359 Hódmezővásárhely"
"László I. Mária","Újmelléki utca 23.
H-1182 Mosonmagyaróvár"
"Dr. Nagyné Nagy Mónika","József attila tér 88.
H-7435 Hetvennémeti"
"Dr. J. Kovács Erzsébet","Tapolcaházai utca 192.
H-8376 Fürdőbánya"
"Dr. Tóth Ildikó","Szombathelyi utca 82.
H-1244 Tamásiháza"
"Juhász K. Gábor","József attila utca 244.
H-7100 Szolnok"
"Dr. László A. Krisztián","Oroszi utca 176.
H-2612 Mezőligethida"
"Bogdán L. Enikő","Dózsa györgy utca 145.
H-4908 Nádasd"
"Dr. Horváthné Szabó Noémi","Hetvenbányai utca 99.
H-6403 Ligetfalva"
"Nagyné Kiss Erzsébet","Zalaegerszegi utca 232.
H-4743 Mártonváros"
"Dr. Kozma Imre","Tamásifai utca 135.
H-5823 Hetvenfalu"
"Orbán Attila Lajos","Hátfalui utca 6.
H-5604 Mindszentnádasd"
"Dr. Nagyné Takács Gizella","Kossuth utca 70.
H-2629 Ligethalas"
"Fodor T. Dominik","Kecskeméti utca 232.
H-5032 Hajdúhátkőrös"
"Mészáros Krisztoferné Kovács Tünde","Pilistamásii utca 174.
H-9156 Magyarhídvára"
"Dr. Horváth Imre","Kossuth utca 188.
H-9606 Tatabánya"
"Törökné Dr. Molnár Julianna","Magyarkereszti utca 167.
H-9797 Szenttótkőrös"
"Tóthné Dr. Váradi Mónika","Budapesti utca 62.
H-4625 Lajosváros"
"Németh Zsolt","Tótkövesdi utca 240.
H-4343 Pécs"
"Dr. Balogh Tivadar","Petőfi sándor utca 147.
H-2890 Kunfürdővár"
"P. Farkas Mónika","Magyarhetveni utca 178.
H-5191 Tapolcafa"
"Horváth Sándor Sándor","Kisháti út 21.
H-7955 Alsószékbánya"
"Dr. Nagyné Tóth Anna","Szabadság utca 23.
H-1847 Szolnok"
"Dr. Kiss Balogh Enikő","Kuntapolcai utca 81.
H-7909 Szolnok"
"Z. Lakatos István","Bácsmindszenti utca 143.
H-9569 Nyírhídnémeti"
"Tóth Beáta","Fürdőnádasdi utca 224.
H-7440 Magyarhátnádasd"
"Dr. Nagy Rudolf","Miskolci utca 196.
H-6966 Hátvára"
"Dr. Nagy Gáborné Magyar Erzsébet","Mellékhalasi utca 142.
H-2955 Tamásifa"
"I. Szilágyi Zsófia","Arany jános utca 232.
H-6552 Érd"
"Dr. Tóth Sára","Szegedi utca 144.
H-8532 Alsóligetnádasd"
"Dr. Kiss István","Hetvenfalui utca 200.
H-5337 Mosonligetvára"
"Takácsné Magyar Etelka","Hetvenvégi utca 163.
H-7271 Lajoshetvenhalas"
"Dr. Nemes I. Ágnes","Béke tér 213.
H-4113 Vácfürdővár"
"Mezeiné Dr. Szalai Erzsébet","Váci utca 181.
H-9892 Nagykanizsa"
"Dr. Balog Ilona Alexandra","Váci utca 142.
H-7235 Belsőtamásiváros"
"Dr. K. Nagy Ágnes","Kossuth út 185.
H-6425 Budapest"
"Dr. Nagy Anna Anna","Hajdúmártoni utca 87.
H-6957 Cegléd"
"Kissné Szekeres Magdolna Enikő","Nyékhídi utca 216.
H-6034 Nyírhídvára"
"Dr. Juhász Györgyné Nagy Nóra","Arany jános utca 18.
H-3750 Somogytamásiháza"
"Dr. Bodnár Tóth Veronika","Nagykanizsai utca 234.
H-7709 Hídbánya"
"A. Simon László","Kossuth utca 79.
H-3425 Hídvárad"
"Pintér I. Adrienn","Tapolcavári utca 234.
H-6897 Dunahetvennémeti"
"Dr. Nemesné Sipos Mária","Petőfi utca 240.
H-5857 Szigetszentmiklós"
"Jónásné Dr. Halász Anikó","Érdi utca 63.
H-4573 Tótvára"
"Székely Balázsné Lengyel Mária","Belsőkereszti utca 151.
H-7980 Sopron"
"Papp J. Éva","Nagyhetveni út 170.
H-2501 Salgótarján"
"Dr. Szabó Szabó Ilona","Rácszéki utca 225.
H-7155 Keresztvár"
"Dr. A. Király Jázmin","Kossuth utca 122.
H-2696 Tótberény"
"Fehér Ferencné","Mezőligeti utca 3.
H-4588 Oroszgyörgyhalas"
"Dr. Németh Mészáros Andrea","Ligetharasztii tér 11.
H-2959 Győr"
"Kovács Z. Mária","Budatapolcai út 79.
H-5079 Györgyhida"
"Dr. Szőke Árpádné Balogh Eszter","Szombathelyi utca 157.
H-8060 Szeged"
"Dr. Németh Attilané Deák Erzsébet","Szabadság utca 123.
H-1560 Ligetfalva"
"Szabó Anett","Somogyhídi út 44.
H-6717 Mellékfalu"
"Lakatos Vilmos Dávid","Ligetnádasdi út 212.
H-8366 Mártonfalu"
"Orsós Zsuzsanna Gabriella","Békéscsabai utca 213.
H-4818 Szerbmindszentfa"
"Dr. Majorné Németh Judit","Hetvenbányai utca 221.
H-2348 Salgótarján"
"Balázs Dániel","Tamásikőrösi út 11.
H-7555 Lajosgyörgyharaszti"
"Dr. Tóth Adrienn","Debreceni utca 212.
H-1090 Halas"
"Kiss Andrásné Nagy Boglárka","Debreceni utca 169.
H-2897 Hetvenapáti"
"Katona J. János","Pusztahetveni út 170.
H-6628 Mártonnádasd"
"Balogh Ákos","Fürdőhalasi utca 98.
H-1967 Miskolc"
"Dr. Németh Dánielné","Tiszai tér 142.
H-4022 Békéshetvenkőrös"
"Varga G. Ildikó","Egeri utca 179.
H-5111 Fürdőbánya"
"M. Fekete Edit","Szenthídi utca 73.
H-3597 Rácmelléknémeti"
"Dr. Vargané Juhász Vivien Noémi","Dunaújvárosi utca 115.
H-4678 Újfürdőhalas"
"Dr. Bálint Jánosné Szűcs Ildikó","Dózsa györgy tér 43.
H-3795 Mindszenthida"
"Kovács Krisztina Adrienn","Soproni utca 156.
H-1002 Lajostapolcavég"
"Lukács Soós Sándor","Arany jános utca 54.
H-4307 Mátramindszentnádasd"
"Dr. Vargané Takács Krisztina Zsuzsanna","Székesfehérvári utca 69.
H-6491 Hódmezővásárhely"
"M. Máté Erika","Györgynádasdi utca 153.
H-7092 Magyarhátvár"
"Dr. Szabóné Orsós Zsuzsanna","Mellékváradi utca 249.
H-5966 Egyházastapolcadevecser"
"Dr. Németh I. Richárd","Lajoshetveni utca 186.
H-4156 Vác"
"Mészáros Zoltán","Szigetszentmiklósi tér 65.
H-2742 Cegléd"
"Tóth Dániel","Dunaújvárosi utca 204.
H-1962 Székhida"
"Dr. Nagy István","Arany jános utca 71.
H-5889 Bakonyhídvég"
"Dr. Z. Nagy Márta","Tamásiharasztii utca 218.
H-1189 Tótváros"
"Dr. Kovács Gáborné Tóth Terézia","Végi utca 179.
H-9112 Mindszentberény"
"Némethné Németh Erzsébet Emese","Dunakeszii utca 130.
H-4425 Székhida"
"Dr. Rácz Nagy Dóra","Győri utca 208.
H-5335 Ligethalas"
"T. Lukács Gyula","Dózsa györgy utca 177.
H-3514 Kecskemét"
"Horváth T. Mónika","Keresztvárosi út 42.
H-5793 Kőrös"
"Dr. Németh Jánosné","Budapesti tér 150.
H-3136 Veszprém"
"Dr. Németh Dávidné","Hetvenvárosi utca 61.
H-7219 Tapolcavárad"
"Kiss D. András","Miskolci utca 27.
H-8435 Eger"
"Balázs N. Ágnes","Belsőháti utca 170.
H-5551 Györgyfa"
"Kovácsné Antal Ilona Virág","Béke utca 238.
H-3026 Dunakeszi"
"Dr. Takács Gábor István","Harasztii út 95.
H-3200 Ligetváros"
"Hegedüs Bélané","Bajai utca 34.
H-4373 Hátháza"
"Molnár Viktória","Béke utca 145.
H-2794 Bakonyhátvég"
"Molnár Jánosné Nagy Gabriella","Drávaligeti utca 141.
H-2940 Tamásivég"
"Balogh G. Katalin","Nyéktapolcai utca 177.
H-1788 Mosontótdevecser"
"Dr. Németh Orsolya Márta","Keresztváradi út 187.
H-2274 Hetvenkőrös"
"Szűcs B. József","Vácmártoni utca 77.
H-2877 Békésvára"
"Dr. Horváth Mészáros István","Szentháti utca 71.
H-8079 Hajdúmindszenthida"
"Tóth Tünde","Hódmezővásárhelyi utca 95.
H-3278 Felsőmellékváros"
"Dr. Gulyás Erzsébet","Ózdi utca 244.
H-8232 Mellékapáti"
"Vass Tóth András","József attila tér 96.
H-9951 Györgyhida"
"Márton Orosz József","Bácsháti utca 1.
H-1694 Tamásikőrös"
"Varga Diána","Hídvégi út 22.
H-5250 Felsőtótberény"
"Dr. Baloghné Fekete Márta","Ady endre utca 214.
H-6661 Ózd"
"Dr. Balogh Gábor Dávid","Hajdúmártoni utca 47.
H-7399 Fürdőháza"
"Dr. Németh Rácz Piroska","Dunaújvárosi utca 24.
H-6334 Alsóhátfa"
"Dr. Siposné Szabó Ilona","Béke út 28.
H-7168 Székesfehérvár"
"Dr. Bogdánné Fodor Zsuzsanna Katalin","Kismártoni út 24.
H-5569 Alsószékapáti"
"Dr. Tóth Ágnes Ilona","Egyházastamásii utca 20.
H-4651 Keresztnádasd"
"Dr. Baloghné Orsós Éva Éva","Budahídi utca 248.
H-1489 Mindszentfalva"
"Szabóné Fekete Gizella Judit","Nagykanizsai utca 69.
H-9367 Dunakeszi"
"Dr. Molnár Katona László","Mátraszéki utca 116.
H-2842 Hetvenváros"
"Dr. M. Szabó Tamás","József attila utca 56.
H-1167 Borsodszékvára"
"Nagy Kálmán Zoltán","Hetvenvárosi út 199.
H-4221 Szerbhetvendevecser"
"Kiss Csonka Erika","Békéscsabai utca 117.
H-5367 Híddevecser"
"Dr. Németh Zoltán","Nagytapolcai utca 6.
H-1647 Budapest"
"Farkasné Tóth Erzsébet Katalin","Szabadság utca 74.
H-4498 Szigetszentmiklós"
"Molnár Krisztián Zsolt","Ady endre utca 10.
H-9709 Mosontótdevecser"
