"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged" 
"Fülöpné Dr. Balázs Szilvia"|"Borsodtóti utca 206.
H-8859 Drávaligetdevecser"
"Vörös Melinda"|"Kaposvári tér 157.
H-7670 Mindszentnádasd"
"Pappné Dr. Veres Virág"|"Németkereszti tér 152.
H-8819 Tamásinádasd"
"J. Juhász Hanna"|"Mindszentfalvai utca 16.
H-4925 Szeged"
"Fekete Attila Tibor"|"Szabadság utca 235.
H-6570 Cegléd"
"Dr. Varga Szűcs Irén"|"Petőfi sándor utca 102.
H-4026 Békésmindszentkőrös"
"Balázs Lászlóné"|"Salgótarjáni utca 106.
H-2934 Kuntapolcaváros"
"Dr. Sipos Péter Judit"|"Veszprémi utca 16.
H-7198 Kecskemét"
"P. Hegedüs Csaba"|"Ady endre utca 204.
H-3271 Felsőfürdőnémeti"
"Szücs Mihályné Tamás Annamária"|"Mártonvárai utca 182.
H-2346 Nagytapolcaharaszti"
"Jakabné Farkas Klára"|"Nyíregyházai utca 200.
H-7320 Nagyszékfa"
"Oroszné Nagy Éva"|"Ady endre utca 216.
H-6607 Mátrahetvenvárad"
"M. Horváth Annamária"|"Tamásivárai utca 87.
H-9997 Tamásiberény"
"Orsós Mária"|"Keresztnémetii utca 166.
H-5278 Drávafürdővárad"
"Szabó Ágnes"|"József attila tér 28.
H-1141 Hetvenfa"
"Dr. Halász Tóth Margit"|"Györgydevecseri utca 184.
H-6041 Győr"
"Balázs Mészáros István"|"Hetvenfalvai utca 10.
H-1842 Törökgyörgyváros"
"Dr. Gál Tóth János"|"Székesfehérvári utca 122.
H-8478 Hátkőrös"
"Dr. Somogyi Nagy Róza"|"Kistamásii utca 180.
H-3197 Szeged"
"Nagy G. István"|"Bakonytamásii utca 112.
H-2437 Szigetszentmiklós"
"Kissné Varga Anna Anna"|"József attila út 75.
H-6958 Kiskeresztdevecser"
"Dr. Jónás Gyulané"|"Balatonmelléki utca 91.
H-5736 Kecskemét"
"Varga István Bálint"|"Szabadság utca 166.
H-3207 Békéscsaba"
"Dr. T. Szalai Ottó"|"Tamásiházai utca 187.
H-8096 Mindszentfalva"
"Dr. Nagy Norbertné Török Erzsébet"|"Alsógyörgyi utca 95.
H-3577 Nyékfürdőfalva"
"Nagyné Dr. Orosz Mária Erzsébet"|"Felsőhetveni utca 118.
H-3517 Dunaújváros"
"Balázs Szabolcs"|"Béke utca 247.
H-1976 Ligethalas"
"Dr. K. Nagy Rozália"|"Nagyfürdői utca 42.
H-8198 Szeged"
"Dr. Máté Aranka Csilla"|"Kossuth utca 114.
H-6794 Mártonvárad"
"Horváthné Gulyás Andrea Viktória"|"Pilisgyörgyi utca 130.
H-8490 Mártonvár"
"Molnár Sándor"|"Érdi utca 3.
H-1284 Tapolcavára"
"Kovács Horváth János"|"Bácsmelléki utca 152.
H-1837 Mosonmagyaróvár"
"Dr. Németh B. Miklós"|"Szegedi utca 91.
H-6670 Békéscsaba"
"Dr. Tóth Nagy György"|"Nagytapolcai utca 147.
H-9092 Pilistamásikövesd"
"Dr. Kis Anna Dóra"|"Székesfehérvári utca 41.
H-7080 Eger"
"Dr. Németh Ferenc Attila"|"Zalaegerszegi utca 212.
H-5672 Hajdúhídhida"
"Balázs Tóth Tímea"|"Salgótarjáni utca 111.
H-8294 Nyékfürdőfalu"
"Orsós V. Mónika"|"Szabadság utca 194.
H-5687 Tamásikövesd"
"Dr. Varga B. Tünde"|"Arany jános tér 71.
H-1703 Mátratamásifalva"
"Boros Bálint"|"Lajosfürdői utca 247.
H-5607 Dunaújváros"
"Nagy Erzsébet"|"Fürdőnádasdi utca 10.
H-2937 Veszprém"
"Szabó Kristófné Molnár Gyöngyi"|"Budapesti utca 161.
H-7523 Keresztfalva"
"Dr. Nagy Ádámné"|"Magyartamásii utca 168.
H-2587 Keresztnémeti"
"Soós Tóth Csaba"|"Pilismelléki utca 230.
H-2470 Hátapáti"
"Oláh G. János"|"Tótvári utca 24.
H-3410 Kecskemét"
"Dr. Fehér Nagy Gizella"|"Keresztapátii utca 130.
H-7504 Hetvenfalva"
"Balázsné Szekeres Beáta Anna"|"Ligetváradi utca 69.
H-9094 Kisszéknádasd"
"Jónás Varga Attila"|"Kossuth tér 107.
H-4469 Kaposvár"
"Dr. J. Balogh Antal"|"Petőfi sándor utca 248.
H-9769 Mártonvárad"
"Mészáros Gyöngyi"|"Bakonykereszti utca 92.
H-6101 Borsodtótvára"
"Dr. Szabó Ákosné Kovács Anna"|"Hetvenhalasi utca 95.
H-7508 Eger"
"Kovács I. Szilvia"|"Arany jános utca 152.
H-2973 Szolnok"
"Kovácsné Kovács Dóra"|"Kunkereszti utca 133.
H-3904 Fürdőbánya"
"Boros Dénes Levente"|"Békéscsabai utca 2.
H-4760 Újkeresztháza"
"Varga K. Éva"|"Kossuth utca 233.
H-8291 Újhátnádasd"
"Nagy István"|"Salgótarjáni tér 59.
H-2937 Mosonmagyaróvár"
"Barna Ilona Anett"|"Lajoshetveni utca 80.
H-4096 Kecskemét"
"Sándor S. Szilvia"|"Kaposvári utca 129.
H-5136 Mindszentkövesd"
"Nagy László"|"Ady endre utca 102.
H-8503 Rácmindszentnémeti"
"Dr. Molnárné László Anna"|"Szabadság utca 32.
H-6190 Pilishídharaszti"
"Tóth E. Tünde"|"Nagykanizsai utca 129.
H-3209 Székesfehérvár"
"Gálné Horváth Ilona Ildikó"|"Dunamelléki utca 164.
H-1830 Hátfalu"
"Dr. Tóth Attilané"|"Tatabányai utca 159.
H-3897 Bácsgyörgyfalva"
"Orsós E. Bianka"|"Mártonfalui utca 7.
H-6671 Németmellékvég"
"Pásztor József Dániel"|"Dunahídi utca 167.
H-7120 Mosonháthida"
"Ráczné Bognár Szilvia"|"Ady endre utca 228.
H-8487 Pécs"
"Barna Katalin"|"Miskolci utca 204.
H-8326 Tamásihalas"
"Prof. Dr. Molnár A. Tamás"|"Szolnoki út 212.
H-2319 Szentmártonbánya"
"Dr. Lakatos Lászlóné"|"Rácháti utca 145.
H-9453 Váckeresztvég"
"Dr. V. Bogdán Irén"|"Soproni utca 238.
H-1843 Pusztaszékfa"
"Kiss É. Erzsébet"|"Hátvárai utca 207.
H-2007 Budapest"
"Horváth Ildikó Julianna"|"Fürdőkőrösi utca 200.
H-6460 Nyírgyörgyharaszti"
"Horváth Orbán Gergely"|"Szegedi tér 233.
H-1852 Tiszakeresztfalu"
"Szőkené Dr. Kovács Tünde"|"Dunakeszii utca 132.
H-4724 Kistótapáti"
"Dr. Kissné Balla Eszter"|"Újligeti tér 76.
H-5494 Nagykanizsa"
"Vargané Kocsis Tünde"|"Szegedi utca 17.
H-4234 Tóthalas"
"Barna Kovács Éva"|"Egeri utca 218.
H-3606 Mezőszékvára"
"Szabó Ildikó"|"Somogymelléki utca 32.
H-1651 Nyírtamásihida"
"Fekete Gáborné Tóth Erzsébet"|"Szegedi utca 231.
H-8969 Váchetvenkőrös"
"Dr. Sárközi Erzsébet"|"Kossuth út 118.
H-1775 Drávaapáti"
"L. Horváth András"|"Zalaegerszegi utca 18.
H-7677 Miskolc"
"Boros Gábor"|"Tamásiváradi utca 250.
H-9030 Bánya"
"Dr. Kelemen Zsoltné"|"Arany jános utca 188.
H-9436 Mosonmártonhalas"
"Németh S. Balázs"|"Pilisfürdői utca 50.
H-7889 Nyírfürdőnémeti"
"Fábián Krisztiánné Molnár Julianna"|"Petőfi sándor utca 27.
H-8840 Tapolcadevecser"
"I. Orosz Margit"|"Ligetnémetii út 197.
H-6773 Zalaegerszeg"
"Barnané Dr. Szücs Anita Gyöngyi"|"Felsőhetveni sétány 43.
H-4196 Belsőkeresztháza"
"Tóth Zalán Sándor"|"Arany jános utca 160.
H-6369 Tatabánya"
"Dr. Somogyi V. Zsolt"|"Orosztamásii utca 18.
H-8202 Győr"
"Dr. Vörös Török Miklós"|"Ligetvégi utca 83.
H-7927 Rácmindszentdevecser"
"Dr. Varga László Mihály"|"Kossuth utca 74.
H-1427 Keresztvára"
"Varga Krisztián Levente"|"Kunmártoni utca 47.
H-8187 Nyíregyháza"
"Ráczné Prof. Dr. Somogyi Julianna"|"Dunaháti tér 128.
H-1439 Egyházastapolcahalas"
"Molnár M. Katalin"|"Mindszentvárai utca 122.
H-3925 Tatabánya"
"Nagy M. János"|"Béke utca 22.
H-9583 Tapolcaharaszti"
"Nagyné Dr. Bogdán Alexandra Réka"|"József attila tér 10.
H-4267 Mindszentvár"
"Barta Petra"|"Tamásivégi utca 173.
H-5736 Alsógyörgyapáti"
"Z. Papp Zsolt"|"Nyírtapolcai út 167.
H-3773 Tótváros"
"Dr. Tóth M. Erzsébet"|"Dózsa györgy utca 156.
H-3787 Lajoskeresztvég"
"Szabó Tivadar"|"Egeri út 123.
H-9257 Devecser"
"Dr. Nagy G. Géza"|"Tótbányai tér 41.
H-2483 Mellékharaszti"
"Prof. Dr. Szabó Imrené Gulyás Klára"|"Tótváradi utca 144.
H-8300 Kaposvár"
"Kissné Dr. Szücs Mária"|"Fürdőfalui utca 176.
H-6551 Székesfehérvár"
"Biró A. Erzsébet"|"Debreceni utca 41.
H-7375 Sopron"
"Vincze Balogh Irén"|"Mártonnémetii utca 148.
H-3166 Mosonfalva"
"Szabó Zsoltné Illés Mária"|"Ady endre utca 196.
H-3914 Mátratótkőrös"
"Bartané Dr. Mészáros Mária"|"Balatonfürdői utca 35.
H-6301 Felsőkeresztváros"
"Pásztor Márta Petra"|"Arany jános utca 19.
H-3196 Kecskemét"
"Kiss Gyulané"|"Mártonharasztii tér 236.
H-6989 Bácsmindszentbánya"
"J. Szűcs István"|"Nagykanizsai utca 123.
H-8828 Vác"
"Kissné Bakos Julianna"|"Kecskeméti utca 43.
H-1301 Miskolc"
"Dr. Kiss Sándorné"|"Keresztkőrösi utca 24.
H-1414 Kunhátkőrös"
"Balogh Kiss Kristóf"|"Ózdi utca 132.
H-6086 Egyházashátnémeti"
"Gálné Dr. Sipos Andrea"|"Miskolci utca 178.
H-7160 Tapolcafa"
"Dr. Orsós Z. Zsanett"|"Veszprémi utca 220.
H-7304 Fürdővára"
"Dr. Kelemen T. Béla"|"Debreceni utca 12.
H-1638 Miskolc"
"Bartané Dr. Szabó Eszter"|"Ceglédi utca 63.
H-5227 Dunakeszi"
"Bálint Sándorné Török Erzsébet"|"Petőfi utca 202.
H-2472 Tapolcakőrös"
"Kiss Zsófia"|"Ligetbányai utca 56.
H-4069 Hátkőrös"
"Kovács Ilona Edit"|"Kereszthidai tér 138.
H-2267 Veszprém"
"Bálintné Szabó Judit"|"Veszprémi út 250.
H-8182 Miskolc"
"Molnár Sándorné"|"Borsodhetveni utca 81.
H-2670 Tapolcahalas"
"Tóth Gyulané"|"Budapesti utca 49.
H-6791 Mellékvár"
"Dr. Budai I. Andrea"|"Mátraszéki utca 226.
H-3766 Tótvár"
"Dr. Nagyné Szabó Katalin"|"Székesfehérvári utca 167.
H-2471 Fürdőfa"
"Prof. Dr. Vincze Ottó Attila"|"Tiszamelléki utca 240.
H-6342 Tatabánya"
"Biró Julianna"|"Györgynádasdi utca 16.
H-7064 Nyírmártonhalas"
"Dr. Gáspár Éva"|"Fürdőharasztii utca 143.
H-9286 Somogymindszentváros"
"Takács Mihály"|"Mosonligeti utca 118.
H-2890 Kaposvár"
"Némethné Dr. Szilágyi Dóra Eszter"|"Mosonmagyaróvári utca 130.
H-3922 Nyéktapolcaváros"
"Tóth Nagy Ferenc"|"Belsőszéki utca 92.
H-9906 Mosonmagyaróvár"
"Szabó Horváth Péter"|"Dunakeszii utca 232.
H-9956 Bácsligetváros"
"Dr. Ráczné Molnár Renáta"|"Veszprémi utca 133.
H-1897 Mátrahetvenharaszti"
"Dr. Szőke T. István"|"Balatonhídi út 150.
H-4654 Somogyhídharaszti"
"Kovács András Gábor"|"Felsőtamásii utca 59.
H-9969 Békéscsaba"
"Dr. Szabó G. Róbert"|"Béke tér 13.
H-2692 Kaposvár"
"Biró Jánosné"|"Arany jános utca 163.
H-9756 Pécs"
"Boros Krisztiánné Csonka Krisztina"|"Hídberényi utca 21.
H-5410 Berény"
"Juhászné Dr. Horváth Zsuzsanna"|"Békéstóti utca 107.
H-8801 Tamásihalas"
"Lakatos A. Zoltán"|"Szabadság utca 189.
H-9978 Tapolcavár"
"Fodor Lászlóné Nagy Fanni"|"Kecskeméti utca 77.
H-7061 Békéshátvég"
"Kozma Varga Miklós"|"Székbányai utca 169.
H-8674 Lajosfürdőhalas"
"Dr. Pappné Kovács Viktória"|"Béke utca 93.
H-1976 Györgyharaszti"
"Kovács Kovács Gyöngyi"|"Budahídi utca 75.
H-6687 Belsőszékvár"
"Dr. B. Kiss Bálint"|"Béke út 165.
H-1584 Hajdúhátvárad"
"Oláhné Dr. Mészáros Borbála Mónika"|"Ligethidai tér 233.
H-6279 Ligetapáti"
"Biró József László"|"Györgyvári utca 222.
H-4116 Nyíregyháza"
"Dr. Halászné Nagy Magdolna"|"Petőfi sándor utca 67.
H-7619 Miskolc"
"Dr. Balla Sándorné Bodnár Terézia"|"Székhalasi utca 100.
H-1611 Hetvenvég"
"M. Tóth Klaudia"|"Szabadság utca 158.
H-3443 Györgyvárad"
"Horváth Mária Luca"|"Ligetbányai utca 69.
H-9325 Mártonapáti"
"Prof. Dr. Papp Piroska"|"Mellékfalui út 246.
H-8023 Szeged"
"Kiss Magdolna"|"Hódmezővásárhelyi utca 138.
H-6031 Somogygyörgyvárad"
"Dr. Mészáros Kristóf"|"Tapolcaberényi utca 30.
H-1454 Dunamellékváros"
"Vargané Dr. Varga Krisztina"|"Falui út 114.
H-7013 Nyíregyháza"
"Z. Sárközi Anikó"|"Kossuth utca 173.
H-5016 Sopron"
"Biró Kristófné"|"Kossuth út 234.
H-4157 Ligetvárad"
"Dr. Szabóné Szűcs Erika"|"Dunakeszii utca 116.
H-1567 Oroszhetvenvára"
"Dr. Varga János"|"Petőfi utca 11.
H-7470 Békéscsaba"
"Dr. Fábián Norbert"|"Szegedi utca 186.
H-9412 Bácsfürdőnádasd"
"Kovácsné Horváth Katalin"|"Petőfi sándor utca 134.
H-4125 Nagykanizsa"
"Kovács M. Tímea"|"Győri út 229.
H-1200 Ligetfalu"
"Tóth Ádám"|"Borsodmelléki utca 90.
H-2772 Hátkőrös"
"Kozma Fekete Géza"|"Németgyörgyi út 202.
H-1320 Budapest"
"Antal A. Attila"|"Petőfi utca 91.
H-5942 Vácgyörgyharaszti"
"Balogh Kiss László"|"Hódmezővásárhelyi utca 243.
H-8451 Érd"
"Biró Laura"|"Békéscsabai utca 120.
H-4273 Székesfehérvár"
"Prof. Dr. K. Kiss Margit"|"Váci utca 54.
H-9337 Györgyapáti"
"Dr. Molnár G. Attila"|"Ceglédi utca 62.
H-1056 Győr"
"Dr. Nagyné Deák Rebeka"|"Széknémetii utca 82.
H-8678 Dunahídharaszti"
"Szűcs Miklósné Kiss Mária"|"Ligetapátii utca 138.
H-5436 Tatabánya"
"Papp Sándor"|"Pilistamásii utca 100.
H-3329 Mosonszékhida"
"Horváth Nagy Miklós"|"Béke utca 139.
H-8760 Nagyhídvárad"
"Dr. Sipos Józsefné Kocsis Etelka"|"Bakonytapolcai utca 206.
H-8840 Mosonmagyaróvár"
"Prof. Dr. M. Király Zsolt"|"Mindszentfai utca 17.
H-4509 Tapolcaapáti"
"Dr. Simon Klára"|"Tótvárai utca 3.
H-1376 Nagyhetvenvég"
"Biróné Dr. Juhász Andrea"|"Bakonyhetveni utca 102.
H-4790 Györgyapáti"
"Dr. Kocsis J. Ildikó"|"Petőfi sándor utca 21.
H-8090 Eger"
"Vörös Fekete István"|"Dózsa györgy tér 103.
H-7447 Budapest"
"Szalainé Dr. Kovács Laura Éva"|"Petőfi utca 93.
H-2255 Dunakeszi"
"Fehér Ádám Róbert"|"Dunaújvárosi utca 217.
H-8718 Mátrahetvenfalva"
"Dr. É. Kiss Erzsébet"|"Kossuth utca 128.
H-6929 Hajdúgyörgyháza"
"Kovács Á. Viktória"|"Mosonmagyaróvári utca 170.
H-4234 Ligetvárad"
"Dr. Nagy Éva"|"Arany jános utca 180.
H-6936 Mártondevecser"
"Fehér Bence"|"Petőfi utca 38.
H-1700 Orosztamásihalas"
"V. Szabó Krisztina"|"Ózdi utca 125.
H-5429 Mártonváros"
"Biróné Dr. Varga Dóra"|"Bácsmártoni utca 228.
H-4828 Cegléd"
"Fülöpné Dr. Varga Klára Mária"|"Petőfi utca 235.
H-5207 Drávatapolcabánya"
"Kovácsné Prof. Dr. Nagy Sára"|"Somogytapolcai utca 137.
H-7044 Bácsmártonkövesd"
"Dr. Varga Tünde"|"Bajai tér 158.
H-6475 Felsőhídapáti"
"Pappné Bognár Ildikó Erzsébet"|"Petőfi sándor tér 60.
H-3259 Békésszékvár"
"Tóth Zoltánné"|"Tiszatóti utca 11.
H-4209 Kunmellékapáti"
"Nagy G. Margit"|"Szegedi utca 86.
H-8369 Keresztnémeti"
"Fehérné Dr. Dudás Gabriella Aranka"|"Ceglédi tér 180.
H-7140 Felsőhetvenhida"
"Kovácsné Dr. Kozma Anna Erzsébet"|"Mezőtamásii utca 207.
H-1146 Tapolcafa"
"Dr. Vass Tóth János"|"Petőfi sándor utca 49.
H-9981 Belsőmindszentváros"
"Bodnár Balogh Sándor"|"Veszprémi utca 184.
H-4808 Szerbligethalas"
"Deákné Dr. Bognár Ibolya"|"Tapolcahalasi utca 69.
H-4649 Fürdőnémeti"
"Nagy Kiss Csaba"|"Györgyvárai utca 217.
H-8142 Mellékhida"
"Papp Marianna Rózsa"|"Béke utca 101.
H-5213 Balatonfa"
"Kovács Vörös Zoltán"|"Érdi utca 78.
H-3197 Tótkőrös"
"E. Rácz Gizella"|"Felsőgyörgyi utca 133.
H-3067 Nyékkeresztháza"
"Dr. J. Németh Szabolcs"|"Bakonymelléki utca 3.
H-9392 Dunatapolcakőrös"
"T. Veres Attila"|"Tiszahetveni utca 74.
H-3803 Debrecen"
"Hegedüs András"|"Ceglédi út 140.
H-9458 Törökmártonnémeti"
"Prof. Dr. Horváthné Fodor Irma"|"Váci utca 217.
H-1587 Veszprém"
"Bodnár Balázs Bálint"|"Szabadság utca 58.
H-2220 Mártonberény"
"Dr. Horváth Jenőné"|"Szabadság utca 117.
H-4202 Pilistapolcafa"
"Takács Simon Lajos"|"Dunaújvárosi utca 18.
H-6002 Kuntótvég"
"Dr. Oláhné Rácz Mária"|"Pilisfürdői utca 21.
H-7970 Ligetvára"
"Dr. Jónás Kovács Hajnalka"|"Németi utca 116.
H-1794 Eger"
"Dr. Fodor Róbertné Gulyás Erzsébet"|"Dózsa györgy út 101.
H-4492 Baja"
"Kovácsné Dr. Sándor Rozália"|"Nyíregyházai utca 89.
H-7312 Mosonmagyaróvár"
"Balogh M. Máté"|"Soproni utca 112.
H-1001 Györgyhalas"
"Dr. Orsós Jakab Pál"|"Bajai tér 206.
H-1449 Fürdőfa"
"Szilágyi Kocsis Magdolna"|"Egyházashídi utca 105.
H-8339 Mindszentkőrös"
"Bodnár Jakab Attila"|"Dózsa györgy utca 213.
H-7919 Veszprém"
"Takácsné Dr. Horváth Anikó"|"Szombathelyi utca 28.
H-9980 Fürdőberény"
"Fekete Varga Erika"|"Széknádasdi út 75.
H-7435 Tapolcahida"
"Dr. Németh István"|"Hetvenberényi utca 174.
H-2884 Felsőgyörgyberény"
"Dr. Antal Imre Roland"|"Mártonharasztii utca 169.
H-5104 Kaposvár"
"Dr. Mészárosné Farkas Anna Csilla"|"Petőfi utca 114.
H-2264 Bácstótháza"
"Dr. Balogné Kiss Piroska"|"Pécsi utca 37.
H-1375 Pécs"
"Szalai Varga Julianna"|"Zalaegerszegi tér 43.
H-5409 Szigetszentmiklós"
"Máté Ferenc"|"Dunakeszii utca 26.
H-2318 Tiszatapolcafalu"
"A. Németh Ildikó"|"Dózsa györgy utca 137.
H-8386 Ráchídfalu"
"Bodnár Mónika"|"Hódmezővásárhelyi utca 142.
H-7281 Melléknádasd"
"Tóth Imre"|"Kaposvári utca 131.
H-3907 Budapest"
"Dr. Balázsné Fehér Erzsébet"|"Ady endre utca 129.
H-4961 Székesfehérvár"
"Kovács Horváth Árpád"|"Ady endre utca 10.
H-2002 Ráchídkövesd"
"Szabóné Kovács Valéria"|"Ady endre út 88.
H-2625 Melléknádasd"
"Tóthné Dr. Boros Mónika"|"Tapolcavári utca 162.
H-4962 Pilishátvárad"
"Horváth Tímea"|"Salgótarjáni utca 120.
H-2354 Eger"
"Varga Krisztiánné"|"Petőfi sándor utca 248.
H-4048 Békéscsaba"
"Kerekes Szabó Hanna"|"Mártonvárai tér 24.
H-6513 Tamásifalu"
"Szabó Krisztina Ildikó"|"Petőfi utca 139.
H-2781 Hátharaszti"
"Bodnár Varga Ferenc"|"Ceglédi utca 14.
H-1584 Némettótkövesd"
"Dr. D. Horváth János"|"Nyírhetveni utca 143.
H-4085 Tamásiváros"
"Oláh Pintér Ágnes"|"Tamásinádasdi utca 128.
H-4840 Mosonmagyaróvár"
"Dr. Kovács Sándorné Vörös Ildikó"|"Debreceni utca 102.
H-6291 Nyírváros"
"Dr. Farkasné Székely Márta"|"József attila utca 146.
H-2782 Zalaegerszeg"
"A. Tóth Enikő"|"Fürdőberényi utca 191.
H-3718 Nyírligetnémeti"
"T. László Imre"|"Hátvárosi utca 127.
H-6077 Kunhetvenfalva"
"Máté N. Béla"|"Dózsa györgy utca 4.
H-3306 Borsodhátvár"
"Nagy Borbála Mária"|"Váci utca 1.
H-3646 Keresztfalva"
"G. Antal Ákos"|"Kövesdi út 98.
H-5277 Dunahetvenváros"
"Bodnárné Dr. Bognár Judit Edina"|"Hídkőrösi utca 77.
H-8767 Dunaújváros"
"Horváthné Lengyel Edina Zsuzsanna"|"Hódmezővásárhelyi utca 110.
H-1292 Ligetvárad"
"Z. Máté Zoltán"|"Fürdővárosi utca 19.
H-1481 Nagykanizsa"
"Dr. Molnár Ilona Katalin"|"Tapolcaapátii út 87.
H-5648 Szombathely"
"Dr. Török Gyulané"|"Kecskeméti tér 70.
H-2375 Fürdőkövesd"
"Dr. Kiss Ágnes"|"Dunaújvárosi tér 121.
H-1342 Székháza"
"Papp V. Edit"|"Egeri utca 164.
H-7452 Oroszmellékkőrös"
"Bodnárné Nagy Edit Ilona"|"Tamásinémetii út 229.
H-1383 Szigetszentmiklós"
"Borbélyné Dr. Farkas Erzsébet"|"Hídharasztii út 83.
H-8407 Hajdúmártonfalu"
"Dr. Törökné Gál Klaudia"|"Szerbgyörgyi utca 5.
H-4961 Mezőtamásiváros"
"Bodnárné Lengyel Krisztina Enikő"|"Béke utca 234.
H-9283 Györgyvára"
"Budainé Kiss Erika"|"Szigetszentmiklósi utca 221.
H-7746 Hátnádasd"
"Molnár Orosz Kinga"|"József attila utca 99.
H-8587 Békésszékberény"
"Horváth András"|"Pilisszéki utca 186.
H-9090 Devecser"
"Balogné Dr. Gulyás Mária Rozália"|"Pilishetveni utca 239.
H-3585 Mezőszékváros"
"Pap Molnár Máté"|"Dózsa györgy utca 161.
H-1311 Vác"
"Balogh Katalin Margit"|"Lajosháti utca 144.
H-3996 Mártonberény"
"Dr. Németh Fehér József"|"Miskolci utca 46.
H-1130 Szigetszentmiklós"
"Balogh Albert Péter"|"Szigetszentmiklósi utca 194.
H-1745 Györgynádasd"
"László Ilona Brigitta"|"Tótvárai út 208.
H-6088 Győr"
"Bogdán Bálint Zsófia"|"Mezőfürdői utca 180.
H-2790 Szigetszentmiklós"
"Szabó Katalin Zsanett"|"Hajdúkereszti út 33.
H-7851 Lajostótharaszti"
"Tóthné Tóth Anna Csilla"|"Nagykanizsai utca 57.
H-9361 Balatonmindszentvárad"
"Fekete Vincze Tamás"|"Petőfi sándor utca 93.
H-4037 Hídnémeti"
"Dr. Vargané Tóth Ilona Erika"|"Drávamártoni út 173.
H-6547 Dunamindszenthalas"
"Varga J. László"|"Tapolcaapátii utca 4.
H-6259 Törökmellékhida"
"Nagy Lukács Terézia"|"Tapolcaberényi út 163.
H-6080 Nagykanizsa"
"Katona K. Éva"|"Kismártoni utca 117.
H-6942 Mosonhetvenfalva"
"Fodor Tiborné"|"Szerbligeti utca 200.
H-5402 Nyíregyháza"
"Dr. Vargané Molnár Mónika"|"Szolnoki utca 79.
H-4466 Eger"
"Bogdán Dánielné Fodor Emma"|"Békésháti utca 168.
H-9015 Balatongyörgyfalu"
"Molnárné Dr. Magyar Anna"|"Kecskeméti tér 144.
H-9175 Magyarhetvenváros"
"Dr. Somogyi Csaba"|"Tapolcavégi út 111.
H-8349 Szolnok"
"Papp Balázs"|"Úji tér 18.
H-9018 Érd"
"Dr. Pál Zoltánné Nagy Éva"|"Tamásivárai utca 57.
H-7585 Miskolc"
"M. Balogh Nikoletta"|"Dózsa györgy utca 93.
H-7876 Bakonyhetvenkövesd"
"B. Nagy Tünde"|"Györgyvárosi utca 208.
H-9107 Györgyvárad"
"Balázs Szilágyi Péter"|"Béke utca 56.
H-5138 Tamásibánya"
"Molnárné Kovács Piroska"|"Falvai utca 213.
H-9795 Törökmártonváros"
"Bálint A. Kálmán"|"Piliskereszti utca 191.
H-1483 Vác"
"Bogdán Edina Szilvia"|"Ligetvárosi utca 2.
H-9534 Pilismártonkőrös"
"Dr. Nagy Simon Mária"|"Hajdúháti utca 94.
H-8718 Pécs"
"Dr. Horváth S. Viktória"|"Székvárai utca 159.
H-4573 Debrecen"
"Katonané Dr. Tóth Gizella Margit"|"Mindszentváradi út 194.
H-5405 Orosztapolcaberény"
"Szabó Erika Anna"|"Tatabányai tér 168.
H-3267 Kövesd"
"Juhász Andrea"|"Dunakeszii utca 198.
H-7940 Kaposvár"
"Horváth I. Ilona"|"Arany jános utca 186.
H-7412 Drávahetvenhida"
"A. Fülöp Csaba"|"Budatamásii tér 104.
H-9636 Lajosmellékhida"
"Fekete Péterné Oláh Laura"|"Devecseri utca 167.
H-7889 Váctótnádasd"
"Tóth G. Katalin"|"Ady endre tér 247.
H-5329 Kereszthalas"
"Bogdán Ilona"|"Szentgyörgyi utca 77.
H-2285 Hídfa"
"J. Oláh Erika"|"Pilistamásii tér 216.
H-6824 Hetvenfa"
"M. Pintér Erika"|"Dunaújvárosi utca 134.
H-8716 Budapest"
"Molnár Péter Mátyás"|"Petőfi sándor utca 151.
H-5320 Miskolc"
"I. Virág Csaba"|"Béke út 24.
H-3919 Belsőtamásiberény"
"Dr. Némethné Horváth Anikó Anita"|"Úji út 111.
H-3844 Salgótarján"
"Balogh Lászlóné Bognár Ildikó"|"Mindszentnádasdi utca 152.
H-8799 Mártonváros"
"Dr. R. Balog Ádám"|"Szerbtóti út 87.
H-4907 Szombathely"
"J. Sipos Alex"|"Arany jános utca 231.
H-5574 Kereszthalas"
"Dr. Fodor Attilané Nagy Viktória"|"Kossuth utca 58.
H-8733 Magyarhídapáti"
"Bogdán István András"|"Szabadság utca 173.
H-8287 Székesfehérvár"
"Dr. Nagy Istvánné"|"Ceglédi utca 68.
H-3761 Kecskemét"
"Balogh Németh Mária"|"Petőfi sándor utca 72.
H-9971 Kaposvár"
"Dr. Kissné Sipos Mónika"|"Keresztházai utca 231.
H-9573 Hídfalu"
"Dr. Nagy Józsefné Farkas Éva"|"Nyékhetveni utca 92.
H-9532 Sopron"
"Szabóné Dr. Horváth Margit"|"Nagyfürdői út 14.
H-6637 Pilistamásihalas"
"Papp Alexné Balog Teréz"|"Hetvenberényi utca 236.
H-7545 Budapest"
"Veres Lászlóné Barta Éva"|"Debreceni út 222.
H-2066 Kövesd"
"Fábián Anna Edit"|"Ózdi utca 153.
H-2571 Ligetdevecser"
"Szőkené Juhász Dorottya"|"Soproni utca 170.
H-8242 Baja"
"Bogdán Kovács Erzsébet"|"Arany jános út 140.
H-4484 Újligetvára"
