"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Dr. Péter C. Péter"	"Belsőháti utca 139.
H-8704 Ózd"
"Deákné Kovács Gabriella"	"Petőfi sándor utca 203.
H-4481 Tatabánya"
"Molnár Lászlóné Szabó Sára"	"Hajdútapolcai út 28.
H-2180 Debrecen"
"Bogdán J. Csaba"	"Egyházastapolcai utca 170.
H-8285 Hátharaszti"
"Török J. Lajos"	"Arany jános utca 81.
H-4995 Bakonyháthalas"
"Molnár M. Julianna"	"Bakonytóti utca 173.
H-3929 Nyíregyháza"
"Vargané Dr. Rácz Erzsébet"	"Tótapátii utca 156.
H-7361 Újkőrös"
"Dr. T. Szabó Fanni"	"Tatabányai utca 26.
H-2609 Pécs"
"Kovács B. Zsolt"	"Hátvárosi utca 200.
H-6316 Szigetszentmiklós"
"Lukács Zsuzsanna Rozália"	"Újtamásii utca 109.
H-2472 Tóthida"
"Dr. Tamás Ibolya"	"József attila utca 179.
H-6697 Győr"
"Dr. A. Horváth Dávid"	"Vácfürdői tér 230.
H-9046 Budakeresztberény"
"Sándor Márta"	"Petőfi utca 158.
H-8910 Kistapolcafalva"
"Tóth A. Edina"	"Zalaegerszegi utca 139.
H-2735 Hídvárad"
"Péter Orsolya Erzsébet"	"Hetvenberényi utca 199.
H-4413 Drávagyörgyvég"
"Dr. Hajdu Borbála Mária"	"Pécsi utca 46.
H-9356 Hajdúkereszthalas"
"Horváth András"	"Petőfi utca 147.
H-4762 Mosonmindszentváros"
"Dr. Fehér Marianna Krisztina"	"Borsodhídi út 57.
H-8290 Tatabánya"
"Dr. Balázs Éva"	"Szabadság utca 183.
H-1924 Tótkövesd"
"Z. Nagy Ildikó"	"Nagykanizsai utca 60.
H-4701 Tapolcakőrös"
"Lukács Marianna Renáta"	"Fürdővárosi út 204.
H-2367 Székváros"
"Dr. A. Horváth Emma"	"Békéscsabai tér 56.
H-6709 Eger"
"Dr. Molnár Béla"	"Szabadság utca 212.
H-7243 Váchátfalva"
"Molnárné Takács Ildikó"	"Hátvégi utca 63.
H-1903 Váchátvára"
"Jónás Károly"	"Petőfi sándor utca 131.
H-6527 Bakonytapolcaváros"
"Dr. Szilágyi Németh Katalin"	"Töröktapolcai tér 204.
H-4247 Szombathely"
"Hegedüs Király Krisztián"	"Győri út 182.
H-1975 Ligetnádasd"
"Molnár K. Dóra"	"József attila utca 191.
H-9750 Győr"
"Dr. Németh András"	"Petőfi utca 130.
H-9067 Tamásiharaszti"
"Prof. Dr. A. Tóth Levente"	"Ady endre utca 176.
H-5025 Keresztfa"
"Dr. Kovács Sándorné Nagy Emma"	"Szabadság tér 199.
H-3406 Tapolcafa"
"Dr. A. Horváth Ildikó"	"Hídnémetii tér 84.
H-6959 Nagykanizsa"
"Dr. Szabó Zoltánné Orbán Mária"	"Keresztharasztii utca 68.
H-4371 Salgótarján"
"Vargané Kiss Vivien"	"Szerbmelléki utca 139.
H-9098 Mindszentfalva"
"Simon Kozma Dénes"	"Magyari utca 103.
H-9491 Mindszentdevecser"
"Dr. Szabóné Fábián Erzsébet"	"József attila utca 97.
H-3366 Pilistóthida"
"I. Csonka László"	"József attila utca 105.
H-8136 Vácgyörgyháza"
"Kocsis Ádámné"	"Kecskeméti út 104.
H-5134 Székvég"
"Kovács R. Antal"	"Soproni utca 242.
H-3414 Györgyvárad"
"Tóth Andrásné Szabó Margit"	"Mosonmagyaróvári utca 96.
H-4065 Székfa"
"Dr. Bodnár Józsefné"	"Berényi utca 187.
H-7812 Mosonhídhida"
"Dr. A. Kis Katalin"	"Soproni utca 202.
H-9606 Mártonkövesd"
"Bogdán Zoltán"	"Petőfi sándor utca 185.
H-1349 Nyékszékapáti"
"Varga Miklósné"	"József attila utca 76.
H-4776 Bácstamásihalas"
"Dr. Fodorné Horváth Julianna Mariann"	"Ady endre út 197.
H-4612 Váctapolcafa"
"Dr. Szabóné Nagy Andrea"	"Fürdőfai utca 190.
H-2213 Mindszentváros"
"Fehér D. Emil"	"Mindszentfalvai utca 165.
H-9786 Cegléd"
"Horváthné Horváth Etelka"	"Béke sétány 159.
H-3038 Lajostótvára"
"Bálintné Dr. Farkas Annamária"	"Keresztnádasdi utca 73.
H-2059 Budapest"
"Dr. Varga Bálintné"	"Dunamártoni út 127.
H-1833 Nagymindszentfa"
"Dr. B. Fodor Zsuzsanna"	"Debreceni utca 156.
H-9574 Kecskemét"
"Dr. A. Oláh Sándor"	"Somogyi utca 85.
H-7950 Debrecen"
"Veres Anikó Zsuzsanna"	"Hetvenbányai utca 62.
H-6587 Zalaegerszeg"
"Dr. Németh Lászlóné"	"Budaszéki utca 146.
H-8512 Ligetnémeti"
"Horváth Tamás Ferenc"	"Székvárosi utca 27.
H-4472 Nyíregyháza"
"Takács Lászlóné Nagy Mária"	"Kossuth utca 119.
H-2958 Nagytapolcanádasd"
"Bognár Veres Zsuzsanna"	"Veszprémi út 242.
H-1618 Nagymindszentvég"
"Balogh B. Alexandra"	"Kecskeméti utca 132.
H-1775 Tiszaszékháza"
"Dr. Szabó Máté Viktor"	"Alsótapolcai utca 80.
H-9682 Tótháza"
"Prof. Dr. Balog Bogdán Anna"	"József attila utca 5.
H-5881 Szerbligetvárad"
"Molnárné Dr. Szabó Tímea"	"Petőfi sándor utca 42.
H-8965 Fürdődevecser"
"Dr. A. Orsós Adrienn"	"Kecskeméti utca 176.
H-4688 Ligetapáti"
"Kovács Zoltán"	"Kisháti út 101.
H-8545 Keresztváros"
"A. Nagy Magdolna"	"Kereszthidai utca 190.
H-3450 Fürdőbánya"
"Dr. Faragó Ákos József"	"Budapesti utca 1.
H-2132 Mellékkövesd"
"Dr. Tóth Lajos Zoltán"	"Arany jános utca 249.
H-3295 Székfalu"
"Bogdán Krisztiánné"	"József attila utca 215.
H-8117 Székesfehérvár"
"Dr. Rácz Józsefné"	"Kecskeméti utca 83.
H-6244 Tatabánya"
"Pásztor Benedek Balázs"	"Budapesti utca 204.
H-2841 Mosonligetnémeti"
"Dr. B. Balogh Ilona"	"Nagykanizsai tér 120.
H-4400 Kismártonfalu"
"Kovács N. Erzsébet"	"Váci utca 218.
H-2903 Hídnádasd"
"Dr. A. Takács Zsolt"	"Keresztapátii utca 64.
H-3258 Tamásivárad"
"Hajdu R. Csaba"	"Petőfi sándor utca 171.
H-1881 Tapolcavég"
"Bálint T. Ferenc"	"Kossuth utca 166.
H-5917 Pécs"
"Farkas Ágnes Hanna"	"Mosonmagyaróvári utca 180.
H-7847 Veszprém"
"Tamásné Nagy Anna"	"Szabadság utca 56.
H-6408 Drávagyörgyvár"
"Szűcsné Dr. Tóth Éva Tünde"	"Ceglédi utca 103.
H-7230 Kismindszentdevecser"
"Dr. Ráczné Varga Borbála"	"Soproni utca 178.
H-5612 Dunaújváros"
"Mezei Kiss Zoltán"	"Felsőtapolcai utca 124.
H-5098 Györgykőrös"
"Dr. M. Kovács Irén"	"Magyartóti utca 147.
H-9954 Mindszenthida"
"Nagy T. István"	"Ady endre utca 187.
H-4666 Dunamindszentnádasd"
"Dr. A. Vass Zsuzsanna"	"Fürdőnádasdi utca 171.
H-7609 Háthida"
"Tóth Nagy Veronika"	"Tapolcabányai tér 46.
H-6243 Budapest"
"Bogdán A. Ildikó"	"Nagymártoni utca 120.
H-4151 Keresztbánya"
"Faragó Beáta Erzsébet"	"Györgyharasztii utca 42.
H-6382 Székváros"
"Illésné Dr. Juhász Boglárka Alexandra"	"Szenthetveni utca 66.
H-9092 Rácfürdőnémeti"
"Dr. F. Pál Péter"	"Kiskereszti utca 96.
H-5521 Somogymártonfalva"
"L. Molnár Mónika"	"Borsodmelléki utca 35.
H-1520 Borsodkeresztkőrös"
"Balogh Rozália Krisztina"	"Nyékkereszti utca 167.
H-4983 Tamásikövesd"
"Dr. Kozma Benjámin Attila"	"Zalaegerszegi tér 49.
H-2401 Tiszamártonvára"
"Dr. Hegedűs G. Béla"	"Szombathelyi utca 134.
H-1810 Keresztfalu"
"Dr. Antal János Károly"	"Dózsa györgy út 183.
H-5301 Magyarhetvendevecser"
"Nagy E. Erzsébet"	"Mellékvárai utca 43.
H-6584 Mártonhalas"
"Kovács Edit Melinda"	"Alsói utca 229.
H-5424 Dunakeszi"
"Dr. Szabó Farkas Renáta"	"Tótapátii utca 44.
H-6590 Somogymártonvárad"
"Dr. Papp Attilané"	"Mindszentházai út 173.
H-3737 Györgyfa"
"Dr. Tamás Zsuzsanna Éva"	"Kossuth utca 242.
H-3667 Baja"
"Molnár Máté Enikő"	"Hídhalasi utca 8.
H-2471 Egyházaskeresztharaszti"
"Bálint D. Magdolna"	"Bajai utca 181.
H-6425 Kaposvár"
"G. Molnár Márk"	"Béke utca 46.
H-1735 Tamásikőrös"
"E. Tóth Mária"	"Székesfehérvári tér 196.
H-8553 Mátrahátvég"
"Dr. Antal Károly"	"Mátratapolcai utca 74.
H-6941 Keresztdevecser"
"Kiss Zsolt Péter"	"Szabadság utca 163.
H-9407 Kishátnádasd"
"Dr. Vincze Katalin"	"Mellékvárosi utca 66.
H-7289 Hídhalas"
"Németh László Zsolt"	"Petőfi utca 159.
H-9035 Tapolcahida"
"Nagy Lajos György"	"Ligethalasi utca 5.
H-3696 Hetvenfa"
"Vargané Dr. Juhász Andrea"	"Székvégi tér 52.
H-2699 Mátrafürdőkövesd"
"Dr. Nagyné Tóth Kitti"	"Mindszentharasztii utca 248.
H-6330 Zalaegerszeg"
"Dr. Antal Juhász Orsolya"	"Mellékvárosi utca 43.
H-2408 Mezőfürdőnádasd"
"Simonné Dr. Varga Zsófia Margit"	"Budapesti utca 133.
H-7371 Dunaújváros"
"Kovács Lili Ágnes"	"Hátnádasdi utca 51.
H-2493 Nyíregyháza"
"Dr. Antal Orosz Imre"	"Ady endre utca 52.
H-8763 Szerbtapolcanádasd"
"Horváth Z. Balázs"	"Kossuth tér 96.
H-4150 Sopron"
"Dr. Boros Ildikó Ilona"	"Debreceni utca 173.
H-2841 Nagyszéknémeti"
"A. Kiss Viktória"	"Béke utca 128.
H-8987 Bácsfürdővára"
"Balogh Csabané Balogh Andrea"	"Ady endre utca 150.
H-6742 Mosonmagyaróvár"
"D. Máté Roland"	"Miskolci utca 236.
H-2726 Nyékgyörgyváros"
"Fábián Patrikné Katona Julianna"	"Bácsszéki tér 25.
H-7330 Egyházasmellékfa"
"Kocsis T. Csaba"	"Petőfi utca 204.
H-7808 Miskolc"
"Dr. Török Terézia"	"Ligetharasztii utca 46.
H-6568 Győr"
"A. Kozma Klára"	"Mosonmagyaróvári utca 163.
H-5803 Rácgyörgyberény"
"Dr. B. Kovács Emese"	"Hátberényi tér 113.
H-6928 Székdevecser"
"Horváth Pálné Molnár Zsuzsanna"	"Bakonyhídi utca 145.
H-8896 Felsőtapolcaháza"
"Prof. Dr. Molnár Beáta Anna"	"Tamásidevecseri tér 149.
H-6516 Ráctapolcakövesd"
"Papp Zalánné"	"Kecskeméti utca 165.
H-7780 Tótkőrös"
"Dr. Török Róza"	"Belsőtamásii utca 216.
H-9425 Mártonnádasd"
"Dr. Horváth Erzsébet"	"Béke út 189.
H-5832 Ózd"
"Budainé Horváth Magdolna Emma"	"Béke utca 227.
H-7574 Tapolcakőrös"
"Juhász Kovács István"	"Tapolcahalasi utca 78.
H-4090 Kungyörgyberény"
"Dr. Horváth Zoltánné"	"Petőfi utca 145.
H-6367 Váctapolcadevecser"
"Dr. Horváth F. Gábor"	"Petőfi sándor utca 9.
H-2290 Miskolc"
"Dr. B. Szalai Enikő"	"Érdi utca 250.
H-2305 Nagykanizsa"
"Szabó S. Bence"	"Kossuth út 26.
H-1922 Dunaújváros"
"Dr. Pásztor Sipos Tamás"	"Rácfürdői utca 96.
H-9333 Hátfalva"
"Dr. Bognárné Molnár Éva"	"Nyéktapolcai utca 32.
H-7777 Tapolcafa"
"Szilágyi Imre István"	"Pécsi út 32.
H-2148 Vácmindszentfalu"
"Takács Károly"	"Ady endre utca 60.
H-4935 Hetvenfalu"
"Takácsné Nagy Erika"	"Béke út 130.
H-2359 Györgyvára"
"Dr. Illésné Bognár Magdolna"	"Ady endre utca 210.
H-6930 Kecskemét"
"Balogh Kiss Barbara"	"Ady endre utca 57.
H-5933 Tatabánya"
"Dr. Lakatos I. Tamás"	"Hetvenberényi utca 232.
H-7203 Váctapolcaberény"
"Dr. B. Váradi Zsolt"	"Szombathelyi utca 159.
H-7499 Érd"
"Somogyiné Kovács Klára Mária"	"Arany jános utca 3.
H-7301 Tamásinádasd"
"Kiss Gergőné Nagy Ilona"	"Veszprémi utca 71.
H-7799 Pécs"
"Dr. T. Barna Ádám"	"Tapolcaapátii utca 21.
H-3724 Fürdőhida"
"Kovács Attila Martin"	"Ady endre utca 70.
H-5926 Pilisligethida"
"Dr. Illés Jakab Éva"	"Arany jános utca 243.
H-8016 Bácsszékháza"
"Varga Szűcs Zsolt"	"Szombathelyi utca 218.
H-4409 Bácsszékfalva"
"Juhász Szilveszter"	"Nagytóti utca 157.
H-3067 Bácskőrös"
"Kovács Anna Klaudia"	"Szabadság út 15.
H-3150 Fürdővég"
"M. Pintér Mária"	"Hetvenberényi utca 41.
H-6125 Zalaegerszeg"
"Dr. Bakos Török Norbert"	"Béke utca 139.
H-5249 Fürdőfalu"
"Némethné Tamás Krisztina Melinda"	"Szabadság utca 166.
H-6146 Kishetvenvár"
"Szalai M. Terézia"	"Tamásihidai utca 115.
H-7841 Mosonszéknádasd"
"Lakatosné Dr. Szűcs Mária"	"Alsófürdői tér 187.
H-9214 Tótkőrös"
"László Alexandra Margit"	"Mosonkereszti utca 245.
H-4037 Szombathely"
"Nagy Bertalan"	"Egeri utca 228.
H-5914 Mellékvárad"
"Dr. Tóth R. Zsuzsanna"	"Dunaújvárosi utca 182.
H-3906 Nyírtamásihalas"
"Dr. V. Kovács Ákos"	"Tapolcakövesdi utca 154.
H-8358 Békéstamásivárad"
"Tóthné Biró Klára Gabriella"	"Fürdőnémetii tér 4.
H-7357 Bácstapolcafalva"
"Váradi Erzsébet Magdolna"	"Hódmezővásárhelyi utca 119.
H-6172 Tiszaligetváros"
"Dr. Balla Erika"	"Fai utca 5.
H-1249 Hídharaszti"
"Molnárné Dr. Csonka Ágnes Nikolett"	"Kismártoni utca 178.
H-1957 Baja"
"Dr. Szabó Áronné Orsós Melinda"	"Tótvári utca 88.
H-8379 Újfürdőhalas"
"Oláhné Dr. Borbély Katalin"	"Szabadság utca 176.
H-5530 Újtótbánya"
"Dr. Kozma Viktor"	"Kereszthidai út 116.
H-3842 Miskolc"
"Dr. Horváthné Máté Anna"	"Szegedi utca 114.
H-4031 Pilismártonharaszti"
"D. Horváth József"	"Nagymindszenti utca 111.
H-1017 Hídkövesd"
"Dr. Molnár Ferenc"	"Györgynádasdi utca 247.
H-2240 Ligetvárad"
"Dr. Katonané Vörös Zsuzsanna Erzsébet"	"Hídkövesdi utca 34.
H-3617 Érd"
"Dr. Kiss Józsefné"	"Bajai utca 154.
H-2768 Tapolcaháza"
"Dr. Balla Horváth Kristóf"	"Kunkereszti utca 13.
H-4953 Ligetapáti"
"Papp Ferencné"	"Kunmártoni út 64.
H-4105 Dunakeszi"
"Fekete A. György"	"Bajai utca 52.
H-4476 Lajoshídvára"
"L. Fekete János"	"Kossuth utca 221.
H-7003 Tapolcavára"
"Nagy Halász Róbert"	"József attila utca 182.
H-2810 Mártonhalas"
"Dr. Kovács Anna"	"Németfürdői tér 33.
H-9490 Tótháza"
"E. Szűcs Emma"	"Oroszszéki út 88.
H-5423 Tapolcavára"
"Simon Adrienn"	"Petőfi sándor tér 3.
H-7577 Törökszékkőrös"
"Szabó Szabó Miklós"	"Dunaújvárosi utca 72.
H-5880 Berény"
"Nagy Hanna Mónika"	"Szigetszentmiklósi utca 200.
H-4493 Drávamártonfa"
"Dr. Balla Zalánné Sándor Éva"	"Szombathelyi tér 236.
H-2067 Somogygyörgyfa"
"Pál Lászlóné"	"Tapolcafalvai utca 54.
H-2360 Nagykanizsa"
"Tóth Varga Attila"	"Nagymelléki utca 236.
H-8069 Székhida"
"A. Kovács Bence"	"Tatabányai utca 12.
H-1145 Debrecen"
"Nagy K. Mónika"	"Székvégi tér 221.
H-1333 Székesfehérvár"
"Novák Boglárka"	"Némettóti utca 92.
H-5212 Keresztfalva"
"Lukács Gyulané Németh Mária"	"Ady endre utca 118.
H-6441 Cegléd"
"Dr. Mészáros Miklósné"	"Zalaegerszegi utca 19.
H-4434 Balatonligetfa"
"Dr. Fehérné Papp Nikolett"	"Mezőkereszti utca 91.
H-6361 Nagykereszthida"
"Dr. Varga Áron Gyula"	"Mindszentharasztii utca 212.
H-4690 Eger"
"Dr. Balog Petra Andrea"	"Fürdőkőrösi utca 42.
H-4137 Mosonkeresztvég"
"Dr. Simon Ilona"	"Petőfi sándor út 205.
H-1372 Györgyfa"
"Dr. Sándor Tóth Andrea"	"Győri utca 189.
H-3846 Hetvennémeti"
"Lukács E. Erzsébet"	"Győri utca 113.
H-6589 Tamásihida"
"Vass Patrik"	"Magyarmelléki tér 88.
H-3196 Fürdőharaszti"
"Dr. Horváth Zsolt László"	"Tapolcavári tér 75.
H-6708 Hídberény"
"Bogdán Klára"	"Győri tér 73.
H-9399 Békéshida"
"Dr. Kovácsné Balogh Nikolett"	"Székfai utca 151.
H-6351 Mátratapolcakövesd"
"Fehér Zsófia Rozália"	"Hátvégi út 164.
H-2179 Tamásifalva"
"Kiss Péterné Kovács Irén"	"Mátratóti utca 51.
H-3316 Németgyörgyvég"
"Dr. Balogh Csaba Péter"	"Zalaegerszegi utca 236.
H-9114 Dunaújváros"
"Szabó Papp Dávid"	"Petőfi utca 228.
H-7568 Magyartamásiapáti"
"Szabó Lajos Róbert"	"Tiszamelléki utca 20.
H-5416 Székvárad"
"Dr. Kovács Attilané"	"Alsókereszti utca 52.
H-6190 Mellékháza"
"Dr. Molnár Ágnes Erzsébet"	"Soproni utca 176.
H-3673 Kecskemét"
"J. Kiss Ágnes"	"Veszprémi utca 187.
H-8703 Belsőtótbánya"
"K. Kiss Eszter"	"Tiszamelléki út 65.
H-3607 Hetvenbánya"
"Molnár Gábor"	"Arany jános utca 10.
H-4237 Vácmindszentbánya"
"Dr. Á. Szilágyi Katalin"	"Arany jános tér 3.
H-6210 Györgybánya"
"Dr. Vörös Lászlóné Nagy Andrea"	"Arany jános utca 71.
H-2769 Baja"
"Dr. Balogh Dániel László"	"József attila utca 95.
H-9080 Hajdúgyörgybánya"
"Némethné Dr. Barna Magdolna"	"Mosontóti utca 126.
H-5981 Mosonszékkőrös"
"Dr. G. Molnár Dániel"	"Bajai utca 205.
H-7462 Tiszafalu"
"Szabóné Dr. Horváth Ilona"	"József attila utca 246.
H-1603 Györgyfalu"
"Mészáros Margit Margit"	"Tatabányai utca 45.
H-4992 Pilisszékvárad"
"K. Horváth Judit"	"Kőrösi utca 94.
H-4208 Székesfehérvár"
"Molnárné Tóth Csilla"	"Egyházasligeti tér 25.
H-2499 Mosonmagyaróvár"
"Kiss Zoltán"	"Salgótarjáni utca 151.
H-1553 Tóthalas"
"A. Kiss Tünde"	"József attila utca 136.
H-7479 Keresztfalva"
"Dr. Szabó Fodor Magdolna"	"Bakonymártoni utca 145.
H-8287 Balatonfürdőnádasd"
"Dr. Balogh Farkas Mária"	"Alsószéki utca 213.
H-3900 Hetvenvára"
"Bálint N. Ilona"	"Szabadság utca 244.
H-6983 Szentmellékvég"
"Novák Sándorné Lengyel Mária"	"Mezőtapolcai út 6.
H-3085 Nyékligetvára"
"Nemesné Takács Anita"	"Pilisfürdői utca 88.
H-2161 Dunaújváros"
"K. Kovács Katalin"	"Petőfi tér 110.
H-6418 Keresztfa"
"Dr. Sándor Varga Julianna"	"Győri utca 194.
H-1309 Mártonfalu"
"Horváth Kiss Mihály"	"Szombathelyi utca 189.
H-7226 Ráckeresztvég"
"Dr. Nagy Kerekes Irma"	"Szabadság utca 150.
H-1607 Bakonytapolcavég"
"Dr. Kerekes Antal Etelka"	"Tamásidevecseri utca 81.
H-3479 Békésmindszentháza"
"Dr. Kovács I. Anett"	"Pilismártoni út 176.
H-8917 Tatabánya"
"Dr. Balogh G. Marcell"	"Dózsa györgy út 192.
H-9428 Tamásikövesd"
"Prof. Dr. Balogh Tünde"	"Bakonyháti utca 189.
H-1630 Szentkeresztfa"
"Tamás István Zoltán"	"Dunakeszii utca 158.
H-5614 Tamásikőrös"
"N. Szabó József"	"Dózsa györgy utca 121.
H-4670 Cegléd"
"Tóth Szabó Mónika"	"Tótváradi utca 118.
H-7945 Kiskeresztkövesd"
"Horváth Mária Edit"	"Béke utca 111.
H-5125 Nyírgyörgyharaszti"
"Dr. Tamás É. Rózsa"	"József attila utca 121.
H-1712 Mezőtótfalu"
"Dr. Nagyné Kovács Zsuzsanna Zsuzsanna"	"Orosztamásii utca 25.
H-4492 Györgyfalu"
"Dr. Molnár Éva Mónika"	"Békéscsabai utca 85.
H-4257 Oroszfürdőbánya"
"Horváth Eszter"	"Béke utca 190.
H-3521 Budapest"
"Dr. Balogh József"	"Tótfalvai utca 57.
H-1366 Székvárad"
"Veres Alexné"	"Petőfi sándor út 104.
H-6575 Székesfehérvár"
"Dr. Horváth Sándor"	"Váci tér 146.
H-4315 Hátvár"
"V. Nagy Krisztina"	"Tamásiharasztii utca 81.
H-4480 Dunaújváros"
"Hegedüs Tóth Sándor"	"Bácsligeti utca 183.
H-4174 Baja"
"Horváthné Balla Jolán"	"Egeri utca 230.
H-7265 Drávagyörgynádasd"
"Németh B. Erzsébet"	"Pusztaszéki út 108.
H-2781 Lajosmindszentfalu"
"Varga Molnár Dávid"	"Györgyvégi út 187.
H-4591 Tatabánya"
"T. Bogdán Zoltán"	"Tamásiharasztii utca 45.
H-9614 Vácfürdőkőrös"
"K. Nagy Katalin"	"Kossuth utca 247.
H-4388 Szentmellékharaszti"
"Dr. Balogh Margit"	"Érdi utca 102.
H-7147 Belsőtapolcaháza"
"Nagyné Dr. Tóth Ilona Mária"	"Mártonvégi utca 32.
H-8651 Nagyhetvenfalva"
"Kovács Kovács László"	"Békésfürdői utca 69.
H-6758 Szigetszentmiklós"
"Kovácsné Dr. Szabó Terézia Bernadett"	"Béke utca 235.
H-2873 Bácshátvára"
"Tóthné Kovács Margit Szilvia"	"Dunakeszii utca 110.
H-9304 Hídvára"
"Kerekes Annamária"	"Ady endre utca 171.
H-6145 Alsómártonfalva"
"Szilágyiné Pataki Anita Judit"	"Petőfi utca 30.
H-3027 Mátraligetkövesd"
"Dr. Lukács Gáborné"	"Miskolci tér 202.
H-1933 Tamásivár"
"Tóth Róbert"	"Zalaegerszegi tér 145.
H-4291 Mosonmagyaróvár"
"Dr. Horváth József János"	"Bácsi utca 15.
H-7250 Tatabánya"
"Dr. Balogh Miklósné"	"Magyarhetveni utca 212.
H-9595 Békéscsaba"
"Dr. Nagy Kovács Henrietta"	"Ady endre út 141.
H-8908 Váchetvenapáti"
"Dr. Farkas Róbert Zoltán"	"Ady endre utca 104.
H-1895 Dunaújváros"
"Dr. Fodor Ákosné Tamás Éva"	"Ráctapolcai utca 11.
H-7076 Mezőberény"
"Németh Z. Enikő"	"Nyíregyházai utca 228.
H-9150 Székesfehérvár"
"Feketené Kiss Edina"	"Egyházaskereszti utca 152.
H-4214 Miskolc"
"Dr. Kovács Jolán Viktória"	"Székkövesdi tér 249.
H-2772 Alsótamásibánya"
"R. Kiss Ildikó"	"Fürdőváradi utca 26.
H-1060 Némettótháza"
"Fehérné Dr. Oláh Margit Rozália"	"Egyházaskereszti utca 163.
H-4714 Mezőhídvég"
"Oláhné Dr. Jónás Anna"	"Petőfi út 79.
H-6996 Hídhalas"
"Dr. Balogh Péter Tamás"	"Egeri utca 186.
H-9743 Újmártonváros"
"Dr. Kovács Bence Ákos"	"Szabadság utca 112.
H-9126 Hajdúmártonvár"
"László Andrásné Fekete Terézia"	"Hidai utca 47.
H-4341 Dunakeszi"
"Biró Kristóf Roland"	"Veszprémi utca 173.
H-2683 Cegléd"
"Horváth Jánosné"	"Németkereszti utca 216.
H-2255 Fürdőnémeti"
"Horváth Árpádné Tóth Éva"	"Hátvégi utca 201.
H-8047 Pécs"
"Feketené Dr. Nagy Andrea"	"Salgótarjáni utca 180.
H-1749 Balatonszékapáti"
"Dr. Tóth Pap László"	"Petőfi sándor utca 103.
H-8739 Dunafürdőbánya"
"Magyar Molnár Ildikó"	"Szegedi utca 241.
H-3701 Mártonvárad"
"Dr. Oláh István"	"Debreceni utca 129.
H-9693 Drávakeresztfalu"
"Dr. Balogh Tünde Mária"	"Szolnoki utca 222.
H-9130 Békésligetvárad"
"Dr. Hegedűs Anikó"	"Érdi út 142.
H-3644 Törökmártonhida"
"Lukács Erzsébet Magdolna"	"Ady endre utca 3.
H-7964 Keresztvég"
"Dr. Pásztorné Fekete Ágnes"	"Kunligeti út 217.
H-1023 Tatabánya"
"Dr. Székelyné Nagy Zita Alexandra"	"Tapolcakőrösi utca 89.
H-4350 Szolnok"
"Dr. Varga Jánosné"	"Tótvégi utca 214.
H-7677 Magyarmellékdevecser"
"Szabó Erika"	"Salgótarjáni utca 103.
H-3519 Baja"
"Dr. Simonné Tóth Anna"	"Hídberényi utca 100.
H-9460 Fürdőnádasd"
"Novák Magyar Mária"	"Nagymindszenti tér 118.
H-6163 Hajdútapolcavár"
"Gál Ferenc Dávid"	"Törökháti utca 240.
H-6022 Békéscsaba"
"Dr. Balogh Vincené"	"Ady endre út 163.
H-3508 Hátapáti"
"Dr. Veresné Tóth Eszter"	"Szabadság utca 160.
H-8788 Hídkőrös"
"Nagy Imrené Nagy Edit"	"Nyékmártoni utca 57.
H-9691 Ligetvég"
"Dr. Biróné Nagy Emma Judit"	"Dunafürdői utca 179.
H-1790 Szeged"
"Dr. Hajduné Barna Gyöngyi"	"Nagykanizsai utca 175.
H-6774 Szombathely"
"Szilágyi S. László"	"Kövesdi utca 136.
H-2699 Ligetharaszti"
"Dr. Gulyásné Máté Mária"	"Nyírháti utca 233.
H-4780 Fürdőapáti"
"Dr. Horváth István"	"Hetvenberényi utca 122.
H-5837 Szigetszentmiklós"
"Jakab Tibor Richárd"	"Székhalasi utca 127.
H-5350 Székfalu"
"Dr. Virág Tóth Katalin"	"Egyházasmelléki út 195.
H-5916 Devecser"
"Dr. Balogh Ágnes"	"Mellékberényi utca 96.
H-6022 Bácsligethalas"
"Farkas D. József"	"Bácsmártoni utca 129.
H-4668 Miskolc"
"Dr. Balog Molnár Margit"	"Hátnádasdi utca 2.
H-5143 Györgyvára"
"Tóth Teréz"	"Mosonháti út 7.
H-3307 Nádasd"
"Takács Gergőné"	"Szabadság út 106.
H-2761 Vác"
"Magyar Mária"	"Hátfalui utca 119.
H-8523 Hódmezővásárhely"
"Dr. Kovács Lászlóné"	"Mátrai utca 15.
H-4342 Szombathely"
"Dr. E. Tóth Edit"	"Béke út 6.
H-1159 Fürdőnémeti"
"Dr. Juhász Edina"	"Dunakeszii utca 19.
H-1842 Veszprém"
"Molnár Gáborné Szűcs Fanni"	"Ady endre utca 218.
H-6998 Híddevecser"
"Dr. Baloghné Lakatos Andrea Andrea"	"Németmártoni utca 99.
H-1764 Nyékmindszentháza"
"Vargané Dr. Antal Bernadett"	"Békéstamásii utca 61.
H-3697 Ligetvár"
"Dr. Pál Éva"	"Váci tér 42.
H-5524 Hídvára"
"Dr. Török Anna"	"Dózsa györgy utca 96.
H-9218 Miskolc"
"Dr. Gulyás Orosz Szilárd"	"Egeri utca 207.
H-9371 Székhalas"
"M. Major Mária"	"Tótbányai utca 186.
H-6301 Eger"
"Dr. Molnárné Balogh Ágnes"	"Lajosszéki utca 234.
H-4797 Tamásidevecser"
"Dr. Takács B. Anna"	"Veszprémi utca 122.
H-3007 Mindszentkövesd"
