"Aaron Put"	"Petruspad 2
7650 Zerkegem" 
"Roy Gevaert"	"Juliesteeg 1
9661 Momignies"
"Michaël Van Daele"	"Martinesteeg 531
8753
Merksplas"
"Jill Mertens"	"Williamweg 9
7681 Haut-le-Wastia"
"Ivan Heylen"	"Veroniquehof 191
3457
Longvilly"
"Fleur Vermeir"	"Elenalaan 18
4292
Zolder"
"Elise Bossuyt"	"Femkepad 31
2507 Rongy"
"Marina De Jonghe"	"Justinesteeg 5
8724 Sart-en-Fagne"
"Anita Smets"	"Celinedreef 2
4490
Rumes"
"Frank Deconinck"	"Louisring 23
2009
Sint-Maria-Lierde"
"Sven Loos"	"Annicklaan 65
7335 Seneffe"
"Peter Vandewalle"	"Juliensingel 17
2278 Berlaar"
"Dirk De Meyer"	"Janalaan 5
9621 Mehaigne"
"Lucia Smets"	"Juliesingel 1
9597 Thieusies"
"Godelieve Vermeulen"	"Ingridsingel 384
8152
Moerzeke"
"Etienne Stas"	"Bertweg 567
8101
Jette"
"Jens Devolder"	"Livring 6
1922
Deux-Acren"
"Kelly Naessens"	"Ritabaan 002
7302
Vorst"
"Luc Smet"	"Jamesdreef 63
9439 Lisogne"
"Frank Jacobs"	"Jozefbaan 26
9094 Warisoulx"
"Pauline Vercauteren"	"Marcsteeg 180
2133 Wegnez"
"Elke De Block"	"Jackring 288
7604
Bogaarden"
"Dominique De Mey Verstraete"	"Denisdreef 87
2814 Rekem"
"Cindy Vissers"	"Silkesingel 40
7617 Montegnée"
"Jurgen Willems"	"Christaring 7
8613 Marbais"
"Paul Verheyen"	"Ahmedsingel 3
9369
Limbourg"
"Rita Vansteenkiste"	"Lucaslaan 9
9112
Samrée"
"Mila Michiels"	"Amberstraat 711
4507 Bellefontaine"
"Emily Seghers"	"Dorienlei 35
7390
Neerlanden"
"Frank Moens Cox"	"Tinekesingel 114
7768
Houdemont"
"Johnny Maertens"	"Albertdreef 61
2434 Jamagne"
"Tina Vereecken Hermans"	"Ronnypad 44
1570
Kaster"
"Thomas Willekens"	"Fabienneweg 0
9538 Scy"
"Lisette Mertens"	"Yolandeweg 820
8359 Saint-Servais"
"Olivier Vermeire"	"Sandrabaan 51
9960 Overwinden"
"Elien Hoste"	"Christiaandreef 970
1758
Kettenis"
"Martine Vermeir"	"Moniquelaan 38
6446
Nafraiture"
"Luna Dockx"	"Georgestraat 122
4737
Godveerdegem"
"Louise Ramaekers"	"Marielei 7
5929
Herzele"
"Frank Parmentier"	"Christeldreef 64
1174 Thommen"
"Daniel Janssens"	"Christianeboulevard 8
6434 Habergy"
"Sarah Verhaegen De Smet"	"Antoonhof 4
8350 Drieslinter"
"Amélie De Groof"	"Edwinlei 6
4391
Kluisbergen"
"Sonia Lambrechts"	"Julieweg 84
2823 Molenstede"
"Yusuf Mertens"	"Christophesingel 2
6744 Houdeng-Goegnies"
"Jules De Meyer"	"Christophelei 944
5386
Dison"
"Henriette Van de Velde"	"Lottering 5
9644
Gaasbeek"
"Laurence Verbeke"	"Estherpad 622
7674
Perwez-Haillot"
"Margaux Van Dyck"	"Arnehof 16
1033 Saint-Jean-Geest"
"Frank Snauwaert"	"Veerlelei 28
1888 Koninksem"
"Barbara D'hondt"	"Mariaring 07
4793
Moeskroen"
"Gilles Martens"	"Jandreef 7
9245
Hollebeke"
"Christophe Peeters"	"Carolinelei 472
2087
Kuringen"
"Christine Huyghe"	"Angelahof 09
1273 Tollembeek"
"Noor Hanssens"	"Marcellaan 6
3116
Tertre"
"Chris Raeymaekers"	"Michaëllaan 40
8952
Sart-Custinne"
"Kathy Peeters"	"Joannasteeg 7
2670 Kruibeke"
"Tamara Mertens"	"Marcdreef 12
2961
Daussois"
"David Declercq"	"Jochenpad 7
6124
Sint-Margriete-Houtem"
"Frank Verlinden"	"Finnsteeg 66
9014
Hyon"
"Jan Vandeputte"	"Marchof 446
9449
De Pinte"
"Maria Devos"	"Agnespad 90
3508 Linkebeek"
"Stefan Jacobs"	"Stéphanesingel 33
4630 Sart-Eustache"
"Christel Vandendriessche"	"Silkebaan 679
3099 Drieslinter"
"Laura Dekeyser"	"Louisweg 7
1849 Borchtlombeek"
"Beatrijs Janssens"	"Fabianring 157
1788 Marcinelle"
"Joran Van Dessel"	"Stijnstraat 4
5679
Bothey"
"Andrea Everaert"	"Simonboulevard 6
1261
Salles"
"Anita Buysse"	"Dirkdreef 3
1383
Outrelouxhe"
"Frank Vermeulen"	"Timothyweg 94
3570
Jupille-sur-Meuse"
"Lieze Vranken"	"Tonylaan 110
2611
Baasrode"
"Norbert Luyten"	"Mariasteeg 9
4930
Rochehaut"
"Annelies D'Hondt"	"Elifsingel 012
6167
Blaimont"
"Brigitte Sterckx De Backer"	"Arnelaan 1
6101
Torgny"
"Ferre Reynders"	"Catharinastraat 295
9574 Spouwen"
"Kaat Vermeersch"	"Annelieslei 0
3820 Wilskerke"
"Kristof Dhondt"	"Jeanninelaan 7
8582 Gomzé-Andoumont"
"Rosalie Ooms"	"Louispad 754
5222 Obigies"
"Jozef Goris"	"Denisestraat 53
7220
Sougné-Remouchamps"
"Frank Wouters"	"Stéphaniehof 52
3999
Thommen"
"Marie Janssens"	"Bernardhof 1
7916
Brasmenil"
"Stefanie Aerts"	"Christophestraat 8
5393
Sint-Truiden"
"Joseph Belmans"	"Marclaan 2
6579
Tavigny"
"Jozef Jacobs"	"Marcellaan 93
7470
Cognelée"
"Maurice Cornelis"	"Rogersingel 217
5481
Sosoye"
"Jan Van Goethem"	"Petraboulevard 6
6608 Loksbergen"
"Annie Hermans"	"Arlettering 3
5714 Le Roeulx"
"Chloé Van Dyck"	"Nathaliesingel 36
1523 Spouwen"
"Flore Peters"	"Lucasweg 1
9460 Sint-Martens-Leerne"
"Frans Cools"	"Anbaan 8
2551 Steendorp"
"Jeanine De Pauw"	"Bramweg 3
5576
Borgloon"
"Henri Van Hoecke"	"Mohammedsingel 006
6397
Hanzinelle"
"Simone Bosmans"	"Mariaring 724
5948
Sterrebeek"
"Raphaël Troch"	"Francineboulevard 3
2980 Obourg"
"Mohamed Dekeyser"	"Pieterbaan 1
7598
Warzée"
"Raf Van Daele"	"Manonpad 894
1310
Beyne-Heusay"
"Sven Baeyens"	"Landerdreef 384
5461 Biercée"
"Nelly Vandenberghe"	"Johansteeg 7
6371
Saint-Jean-Geest"
"Michael Janssens Dierckx"	"Jacquesring 094
2048
Gérouville"
"Frans De Bie"	"Nadinedreef 4
8745 Loupoigne"
"Marina Vandecasteele"	"Dirkhof 778
1394 Lendelede"
"Martine Van den Broeck"	"Annalei 728
7873 Grembergen"
"Bart De Wolf"	"Christinedreef 6
2724
Haltinne"
"Davy Peeters"	"Antoinettelaan 5
6649 Sint-Jan-in-Eremo"
"Wouter Hendrickx"	"Richardboulevard 0
2114 Afsnee"
"Léon Boone Van Campenhout"	"Katodreef 546
5171 Batsheers"
"Fran Bosmans"	"Dieterbaan 2
3065
Gijzenzele"
"Ivan Devos Seghers"	"Grietbaan 9
5932 Farciennes"
"Ferre Hendrickx"	"Georgesdreef 28
1506
Dongelberg"
"Frans De Winter"	"Vincentbaan 12
6060
Ittre"
"Anny Claes"	"Luciennelei 684
5873 Awirs"
"Nico Demeyer Segers"	"Ivobaan 8
1041 Hauset"
"Victor Vandekerckhove"	"Nathaliehof 329
5457
Jemeppe-sur-Meuse"
"Huguette Leysen"	"Kristiaanhof 639
1458
Hoeselt"
"Stijn Van Dessel"	"Magdalenahof 464
1032
Farciennes"
"Jens Verstraeten"	"Svenstraat 46
3618 Jollain-Merlin"
"Marcel Dhondt"	"Gregorysingel 10
3489 Ransberg"
"Hans Vandendriessche"	"Yveslei 191
4519
Merksem"
"Marie-Thérèse Coene"	"Willysingel 565
2775
Sint-Laureins"
"Frans Van Camp"	"Roelstraat 44
8878 Adegem"
"Diane Breugelmans"	"Imranlei 42
7956
Mehaigne"
"Maria Verhaeghe"	"Cindydreef 645
9704
Falisolle"
"Emma De Coster"	"Emiliesteeg 700
9353
Tintigny"
"Luc Wuyts"	"Adamboulevard 93
8521 Gutschoven"
"Martine Verstraeten"	"Paulboulevard 74
2399 Angleur"
"Sarah Neyens Verstraete"	"Gretalei 77
5550 Orroir"
"Jacob Dierickx"	"Milastraat 396
6945 Wonck"
"Monique Dewaele"	"Filipstraat 0
5564 Villers-Saint-Ghislain"
"André Luyten"	"Rogerdreef 2
3555
Limont"
"Frans Vandamme"	"Franklaan 1
6137 Elverdinge"
"Oscar Van Herck"	"Woutersingel 66
7355
Thys"
"Jade Everaert"	"Irisdreef 8
9382
Viane"
"Alfons Fransen Feys"	"Patrickbaan 4
3705
Escanaffles"
"Freddy Adriaensen"	"Etiennehof 86
6491 Baileux"
"Peter Depoorter"	"Mariedreef 7
1766 Pesche"
"Gilbert Casier"	"Katrienbaan 991
5190 Bourlers"
"Juliana Cools"	"Ritaweg 965
7543
Esplechin"
"Tessa Vermeire"	"Khalidweg 7
2580 Elversele"
"Marc Engelen"	"Marieweg 6
1342 Biercée"
"Frans Verlinden Van den Brande"	"Evelynpad 728
6822
Les Bulles"
"Kevin De Schepper"	"Mathiasboulevard 59
2460 Sint-Katherina-Lombeek"
"Dries Lemmens"	"Margauxbaan 219
2722
Ledegem"
"Marcel Desmet"	"Joshof 46
3156
Bierset"
"Carmen Martens Roels"	"Chloëbaan 2
7096 Lo"
"Irma Peters"	"Jolienbaan 871
1140
Ellikom"
"Chris Colman"	"Tobiasweg 7
5877
Lauw"
"Jeannine De Vos"	"Deborahlei 28
4542 Hoevenen"
"Lucia Bogaerts"	"Ludolaan 87
3250 Chevron"
"Annelies Melis"	"Odetteweg 0
3317 Boussu-lez-Walcourt"
"Frans Wouters"	"Thierryring 2
1898
Spiere-Helkijn"
"Evy Ceulemans"	"Davidlaan 349
8139 Chastrès"
"Daisy Coppens"	"Driespad 38
6252
Conneux"
"Nadine Sterckx"	"Wendydreef 32
5606 Morkhoven"
"Simon Verboven"	"Christinesteeg 1
5748 Elversele"
"Mohammad Driesen"	"Vanessadreef 7
3755 Waret-la-Chaussée"
"Ghislain Cools"	"Sofieboulevard 741
4324 Huise"
"Victor Van Camp"	"Lucstraat 790
7146 Petit-Rechain"
"Sven Janssens Stevens"	"Francislaan 86
3719 De Panne"
"Lies Lievens Vermeire"	"Lindsaydreef 14
4395 Sombreffe"
"François Geens"	"Marclei 40
4123
Maillen"
"John Lievens"	"Timothystraat 1
4515 Viesville"
"Lena Van Damme"	"Axelsteeg 3
3661
Marchienne-au-Pont"
"Heidi Wellens"	"Maximpad 28
5166
Donstiennes"
"Lucienne Lambrecht"	"Filipsingel 394
5343
Sensenruth"
"Leo Van Dyck"	"Louissingel 41
4055
Nettinne"
"Alicia Peeters"	"Olgahof 1
3166 Wagnelée"
"Marc Eeckhout"	"Kiarasteeg 58
7208
Lampernisse"
"Heidi Pattyn"	"Edwinbaan 8
4874 Koolkerke"
"Dirk De Backer"	"Isabellebaan 837
9193 Rachecourt"
"François Maes"	"Gerdasteeg 31
5222
Villers-la-Tour"
"Mieke Martens"	"Mariobaan 28
7008
Mesen"
"Daan Dewulf"	"Janweg 87
1640
Habay-la-Neuve"
"Sien Van Damme"	"Laurastraat 9
1398 Henripont"
"Joseph Dillen De Moor"	"Frankpad 8
1758 Quiévrain"
"Ludo Hens"	"Olgadreef 992
5188 Walshoutem"
"Sabine Vandevelde"	"Julesring 779
8817 Thimister-Clermont"
"Katrijn Janssen"	"Carineboulevard 97
7452 Massenhoven"
"Jules Stroobants"	"Andréstraat 7
4754
Grandmetz"
"Robin Malfait"	"Ericlaan 972
3356 Heldergem"
"François Sels"	"Annieboulevard 352
3208
Braine-le-Château"
"Denis Vervaet"	"Marijkesteeg 828
1932
Hertain"
"Anna Vervoort"	"Catharinahof 186
7633 Anlier"
"Elien De Decker"	"Jansingel 77
4616
Veerle"
"Lucie Verhoeven"	"Isabelleweg 015
1269 Onoz"
"Karel Verheyen"	"Willypad 25
4055 Wachtebeke"
"Kathleen Vermeiren"	"Christinehof 451
2601 Erondegem"
"Rose De Pauw Adriaenssens"	"Peterstraat 44
8126
Oudergem"
"Hamza Van Daele"	"Michielboulevard 12
1343
Ronse"
"Wannes Maes"	"Jozefbaan 8
2187
Fontaine-Valmont"
"François Van Dyck"	"Ellystraat 009
3466 Grazen"
"Ella Lippens"	"Nelepad 37
6482 Thuin"
"Fien Wuyts"	"Stefandreef 17
8000 Stambruges"
"Irma Janssen"	"Ellenweg 25
8410 Bornem"
"Lily Staelens"	"Thomassingel 59
5188
Roselies"
"Benjamin De Paepe"	"Helenasingel 1
3480 Sint-Maria-Oudenhove-Zottegem"
"Andy Singh"	"Elssingel 0
2849
Scherpenheuvel-Zichem"
"Saskia Van Impe"	"Alfonslaan 889
6730 Izier"
"Yvette De Backer"	"Gerardaring 0
8079
Villers-l'Evêque"
"Marianne Bervoets Sterckx"	"Lutgardeboulevard 587
8085 Kortrijk-Dutsel"
"François Vercammen"	"Petrapad 96
3068
Lamain"
"Marleen Ooms"	"Nicoledreef 151
5052
Namêche"
"Brent Peeters"	"Janastraat 968
2390 Hertain"
"Nicolas Troch"	"Sylviapad 48
3531 Bellem"
"Christianne Verhaegen"	"Cathysingel 7
5709
Morkhoven"
"Elien Renders"	"Hannalei 28
5462 Meilegem"
"Dieter Goossens"	"Mariabaan 18
7260 Rienne"
"Wim Kaya"	"Katrijnsteeg 435
8287 Remicourt"
"Jan Demeyere"	"Andrésingel 13
6744 Gages"
"Chantal De Neve"	"Kimstraat 068
8141
Plombières"
"François Vercruysse"	"Sarahlaan 57
5644
Furnaux"
"Johny Vos"	"Marleenpad 09
3512 Fumal"
"Walter Van Herck"	"Lucasboulevard 97
7597 Leopoldsburg"
"Anny Casier"	"Marcsteeg 27
8565
Archennes"
"Filip Denys"	"Lizeweg 2
7567 Winenne"
"Ali Janssens"	"Grietpad 060
8233
Wange"
"Pascal Van Acker"	"Lindaweg 8
7119
Gistel"
"Khadija Lippens"	"Eddystraat 99
8307 Lixhe"
"Nele Maes"	"Nicosteeg 91
3792
Haasrode"
"Dries Swinnen"	"Vincesingel 66
3192 Remicourt"
"Freddy Callens"	"Joweg 91
7275 Dentergem"
"Elke Vandamme"	"Hildestraat 4
4407
Hastière-par-Delà"
"Jan Desmet"	"Jarnopad 04
6570
Somzée"
"Jessica Baert"	"Ambersteeg 02
7356
Fouleng"
"Yannick De Vos"	"Jonasstraat 24
9391
Namêche"
"Danny Diallo"	"Pierresingel 319
7781
Bonneville"
"Sofie Torfs"	"Karendreef 9
3476 Ramsel"
"Eduard Wauters"	"Mariastraat 576
7345 Oeudeghien"
"Danielle Proost De Cock"	"Gabrielweg 050
4897
Ramskapelle-Knokke-Heist"
"Martine Rutten"	"Katrienlaan 5
6943
Loker"
"Freddy Devriendt"	"Evaring 1
8895
Froidmont"
"Cathy Vanbrabant"	"Wendypad 825
7947
Sart-Custinne"
"Christine Lambrechts"	"Veerlestraat 14
6496 Lembeke"
"Didier Pauwels"	"Eduardstraat 550
5948 Ranst"
"Evy Huyghe"	"Warrebaan 0
7965 Hognoul"
"Pascal Blomme"	"Marielei 6
7235 Hévillers"
"Abdullah D'hondt"	"Lucring 26
5143 Melles"
"Marianne Seghers"	"Marielaan 3
5088
Thieulain"
"Hendrik Van Damme"	"Jellelei 82
7996 Maldegem"
"Charlotte Bruneel"	"Larsbaan 11
7164
Melles"
"Frederic Kenis"	"Guidosingel 007
3311 Linkebeek"
"Joëlle Thomas"	"Peterbaan 99
7061
Finnevaux"
"Georges Nuyts"	"Dorinelaan 48
5723
Soulme"
"Eric Janssens"	"Mathieulei 51
5715
Sivry"
"Evelyne Devos"	"Ludovicusdreef 988
5536 Werm"
"Dries Goyvaerts"	"Kevinweg 4
7245
Ploegsteert"
"Gregory Van Hulle"	"Walterweg 1
2863 Loupoigne"
"Dirk De Baere Peeters"	"Stefaniesingel 25
8693 Sint-Joris-Weert"
"Raphaël De Vos"	"Margotpad 27
9320
Vaulx"
"Claudine Janssens"	"Justinelei 2
8607
Wayaux"
"Frederik Vandeputte Poppe"	"Mariaring 22
6998
Mons-lez-Liège"
"Louis Jacobs"	"Milanring 9
6567
Villers-la-Tour"
"Monique Vaes Blomme"	"Imranhof 9
9965
Horpmaal"
"Lien Raes Hermans"	"Anjahof 348
1779
Gérouville"
"Els De Bock"	"Eliassingel 5
4940 Aalter"
"Nelly Buyse"	"Marcboulevard 74
8578 Opgrimbie"
"Marleen Carlier"	"Godelievering 74
4308 Bettincourt"
"Viktor Van Bogaert"	"Karinpad 748
9052
Leut"
"Jeroen Van Laere"	"Ibrahimhof 733
7491 Ertvelde"
"Myriam Desmet Swinnen"	"Julienlaan 8
2745
Nivelles"
"Frederik Verbiest"	"Carlosbaan 464
3310 Wanne"
"Liam Degroote"	"Luchof 5
6826 Onnezies"
"Mike Vandamme"	"Walterlei 5
8000
Sint-Joris-Nieuwpoort"
"Kristine Ahmed"	"Kevinhof 21
5068
Autreppe"
"Sara Singh"	"Katjabaan 3
4956 Denderwindeke"
"Mariette Aerts"	"Petrusweg 22
6848
Sélange"
"Lotte Beeckman"	"Arlettestraat 4
8782 Dilbeek"
"Joke De Vos"	"Alidreef 56
8234
Waremme"
"Ingrid Swennen"	"Filiplei 07
9842
Piringen"
"Sarah Debruyne"	"Marcelpad 44
7163 Francorchamps"
"Frida Maertens"	"Maartenboulevard 263
8940 Wegnez"
"Linde De Boeck"	"Mireilledreef 23
8345
Harveng"
"Bart Bekaert Rutten"	"Lisettedreef 517
4509 Gijzelbrechtegem"
"Bart Wouters"	"Kevinbaan 84
9150
Eernegem"
"Kristien De Witte"	"Jeffreydreef 160
5939 Pervijze"
"Pol Cools"	"Guyring 6
4386
Meldert"
"Robert Vermeulen"	"Melissaring 28
6760 Beert"
"Nadia Janssens"	"Alexandersingel 0
9915 Damme"
"Ann Claeys"	"Mariepad 1
3492
Montenaken"
"Johan Leysen"	"Greetboulevard 116
7172 Velm"
"Frédéric Buelens"	"Katodreef 51
1264
Oignies-en-Thiérache"
"Diana Mertens"	"Ginasteeg 343
1714 Lathuy"
"Stella Desmet"	"Rogerpad 73
7138
Vliermaalroot"
"Fien Poelmans"	"Michelhof 29
8439
Oostrozebeke"
"Elias Vandamme"	"Nataschadreef 430
3384 Bois-et-Borsu"
"Caroline Van den Broeck Van den Bossche"	"Yvetteweg 3
8950
Le Roeulx"
"Gunter Andries"	"Dirkring 98
5833
Mannekensvere"
"Diana Roels"	"Rolandweg 83
9905
Tongre-Notre-Dame"
"Lisette Rosseel"	"Louissingel 54
9450 Bellingen"
"Gust De Smet"	"Mohamedsteeg 92
6933
Dréhance"
"Frédéric De Smet"	"Laurencebaan 805
4815 Jamoigne"
"Véronique Melis"	"Jeanlei 1
4586
Assebroek"
"Alexander De Schryver Joos"	"Jurgenlaan 5
2008
Bevere"
"Nicolas Ceulemans"	"Barbarastraat 51
1979 Ploegsteert"
"Johan Vercruysse"	"Fernandsingel 6
5917
Walhain"
"Louis Vandewalle"	"Ingridboulevard 910
7378
Fumal"
"Renée Tack"	"Rebeccabaan 3
4814
Houthem"
"Mark Willems Van Hulle"	"Lucpad 29
7115
Drongen"
"Saskia Peeters"	"Yasminedreef 2
9869 Wijtschate"
"Rony Michiels"	"Farahdreef 823
6702 Furnaux"
"Frédéric Devos"	"Kevinsingel 373
9875 Zonnegem"
"Julie Delaere"	"Kurtbaan 9
4871 Seraing"
"Tuur Pattyn"	"Marinaboulevard 627
1146
Nossegem"
"Suzanne Bollen Van den Brande"	"Hanssteeg 7
8924 Poeke"
"Dirk Peeters"	"Wimring 096
5407
Eliksem"
"Danielle Sanders"	"Theosingel 065
4856 Falaën"
"Dany Vandevelde"	"Margotlaan 0
1427 Stoumont"
"Eric Segers"	"Jannehof 578
1279 Wiesme"
"Nathalie Van Acker"	"Jeremyring 62
8970
Limont"
"Kevin Lammens"	"Julesdreef 96
6533
Laplaigne"
"Gabriel Lenaerts"	"Filipweg 5
5825
Bleret"
"Carla De Groote Lambrechts"	"Jaspersteeg 93
8185
Zeebrugge"
"Daisy Timmerman"	"Lanaweg 93
3773
Frasnes"
"Kato Decock"	"Lucassingel 2
8068 Mons-lez-Liège"
"Elise De Coninck"	"Michielweg 441
6860
Courrière"
"Roland Cornelis"	"Mariering 7
8895
Zele"
"Kim De Coninck"	"Patrickweg 97
9271 Hoelbeek"
"Lieve Engels"	"Geertstraat 990
4477 Brustem"
"Christiane Swinnen"	"Rosalielaan 060
4029
Gruitrode"
"Ronny Goossens"	"Christinebaan 6
4530
Berendrecht"
"Gabriella Verbiest"	"Anniedreef 117
8951 Blanden"
"Arne Carlier"	"Greetpad 571
2736
Merbes-le-Château"
"Nele Michiels"	"Pierrestraat 91
7368
Tertre"
"Camille Vermeulen"	"Eddyboulevard 3
5017
Kessel"
"Rosalie Huysmans"	"Carolineboulevard 27
1701 Grimminge"
"Lien Joos"	"Iansteeg 03
3506 Rahier"
"Michael Van Belle"	"Ingebaan 530
2992 Walhain-Saint-Paul"
"Maya Hens"	"Miekesteeg 6
1439 Zellik"
"Rosette De Pauw"	"Mohammedlaan 30
3329 Lamine"
"Tim Heyvaert"	"Sannedreef 79
4959 Neuville"
"Gabrielle Martens"	"Christinapad 88
6564
Houx"
"Rita Segers"	"Ingridlaan 199
5722
Loonbeek"
"Kim Jacobs Van Hulle"	"Petrabaan 1
2375 Wezemaal"
"Bart Van Hoof"	"Nathanring 05
5235 Lebbeke"
"Emiel De Cock"	"Dannyboulevard 695
2199 Wannebecq"
"Thomas De Clercq"	"Alexanderring 9
9816
Wellen"
"Lea Van de Velde"	"Annickring 91
9331
Geraardsbergen"
"Sandra Vandeputte"	"Rubenboulevard 261
6493 Vurste"
"Stefaan Verbeke"	"Wernerboulevard 79
3956 Lo-Reninge"
"Marc Van de Velde"	"Jürgenpad 93
3670
Cortil-Wodon"
"Gabrielle Torfs"	"Anitasteeg 266
1941
Wodecq"
"Hassan Lambrechts"	"Wouterweg 62
1422 Saintes"
"Amir Jansen"	"Jackbaan 5
7723 Werm"
"Cécile Bosmans"	"Brigittesteeg 95
3699 Walem"
"Tony Vermeulen"	"Filiplei 835
6344 Weerde"
"Els Nelissen"	"Emiliepad 475
7589 Laakdal"
"Silke Hendrickx"	"Robpad 821
5774 Acosse"
"Lisa Heyvaert"	"Jeanninering 6
7464
Kuurne"
"Dylan Gevaert"	"Bryanlei 14
1110
Glons"
"Roger Loos"	"Ellyring 125
5408
Lissewege"
"Gabrielle Verbeke"	"Georgesring 59
5775 Montegnée"
"Bas Jonckheere"	"Mariamhof 6
2832
Oizy"
"Martine Timmermans"	"Bartpad 286
6159
Anthisnes"
"Jeroen Bogaert"	"Ericpad 1
1966 Treignes"
"Florent Wynants"	"Claudinestraat 878
4842 Hoogstade"
"Katrien Vereecken"	"Juliebaan 1
3955 Berbroek"
"Nicolas Vercruysse"	"Ameliehof 98
8800
Fallais"
"Ellen Janssens De Coninck"	"Suzannesteeg 93
1204
Irchonwelz"
"Leopold Bogaert"	"Clairehof 755
5172 Sint-Lenaarts"
"Nathalie Janssens"	"Driesweg 2
9955
Huldenberg"
"Gabriël Peeters"	"Julialei 79
1725 La Glanerie"
"Yara Beckers"	"Victorboulevard 001
7258
Blanden"
"Jana De Schryver"	"Frankyring 034
5815
Westvleteren"
"Lena D'Hondt"	"Sofiering 98
8615 Gerpinnes"
"Emile Jacobs"	"Erikahof 923
5247 Pepingen"
"Hilda Op de Beeck"	"Peterweg 307
1572 Rijkhoven"
"Christiaan De Coninck"	"Kristienring 912
7159
Zichem"
"Noa Vandewalle De Wachter"	"Alfonsweg 519
5290 Lendelede"
"Marc Van Loon"	"Juliettedreef 8
2237 Gérouville"
"Arlette Claes"	"Catharinaring 77
2649
Kerkhove"
"Gaëlle Mertens"	"Elkeweg 008
7160 Opheylissem"
"Hilde Naessens"	"Sabinesingel 117
8261 Luttre"
"Veerle De Vos"	"Pieter-Jansteeg 94
7490 Limelette"
"Steve Vervaet"	"Katobaan 89
2565 Weelde"
"Catherine Segers"	"Shanastraat 4
2517
Moortsele"
"Ingrid Peeters"	"Matteolei 50
5860
Koninksem"
"Vincent Holvoet"	"Ahmadsteeg 649
2694 Chevetogne"
"Nelly Heremans"	"Jeannebaan 9
6536 Langdorp"
"Emma Jacobs"	"Jürgendreef 14
2796 Saint-Géry"
"Kimberly Troch"	"Loustraat 03
6450 Gerin"
"Gaëlle Van de Walle De Meester"	"Hildesteeg 550
3513
Solre-sur-Sambre"
"Tibo Van Landeghem"	"Jeannepad 6
1998 Haut-le-Wastia"
"Ida Maes"	"Wilhelmussteeg 50
2784 Gijzegem"
"Sandra Vandenberghe"	"Hugodreef 6
4587 Vlierzele"
"Bram Verhelst"	"Peggysingel 8
1126 Korbeek-Lo"
"Gerard Van de Voorde"	"Marcellaring 640
1112 Genk"
"Emilia Baeten"	"Yvanlaan 2
6627 Hauset"
"Jozef Verdonck"	"Heidibaan 94
5029
Bonheiden"
"Alice Baert Sterckx"	"Luciahof 3
9791
Ooike"
"Mieke Dierckx"	"Ludoring 04
7173 Bourseigne-Vieille"
"Geert De Smet"	"Davedreef 30
5537 Tamines"
"Oliver Willekens De Baets"	"Sylvielaan 9
8088 Pussemange"
"Evelyne Verschueren"	"Juliepad 04
4518
Neervelp"
"Marc Geerts"	"Veroniquepad 266
4678
Oostwinkel"
"Laura Verhoeven"	"Karenbaan 10
9928 Spiere"
"Frans Rutten"	"Martinesingel 71
3757
Jumet"
"Frank Geerts Buysse"	"Paulienhof 90
8132
Lincent"
"Vic Vervaet"	"Jeannebaan 2
5637 Lieferinge"
"Louise Joos"	"Mathislei 8
6395 Watermaal-Bosvoorde"
"Tony Aerts"	"Johandreef 905
2612 Schilde"
"Geert Engelen"	"Georgessingel 42
6460
Jodoigne-Souveraine"
"Achiel Coppens"	"Sanderdreef 07
2932
Marchipont"
"Christelle De Smet"	"Johansteeg 998
1751
Leeuwergem"
"Gaëlle Van Hove"	"Andreastraat 4
5775 Heuvelland"
"Marcus Vermeulen"	"Jeroenboulevard 25
2310 Vodelée"
"Antoinette Jacobs"	"Rosestraat 0
8013 Grand-Leez"
"Finn Geerts"	"Lodelaan 351
5636
Falmignoul"
"Anne Peeters"	"Julienneweg 8
5243 Rance"
"Steve Hellemans"	"Lotteweg 709
9920 Boorsem"
"Zoë Coenen"	"Janweg 1
7346 Hampteau"
"Geert Raes"	"Jorispad 7
5212
Zandvliet"
"Jules Van Daele"	"Hildedreef 6
9787
Villers-aux-Tours"
"Annie Vandeputte"	"Antoinelaan 90
1530 Salles"
"Véronique Deceuninck"	"Bartboulevard 836
4521 Nieuwkerke"
"Thomas Schepers"	"Edithsingel 384
1771
Tournay"
"Oliver Moons"	"Karoliensingel 31
4240 Montenaken"
"Johny De Vos"	"Bartlei 603
4426 Zevekote"
"Nicole De Groote"	"Zitahof 879
6960 Leernes"
"Sabrina De Cock"	"Sarahstraat 1
1136 Landen"
"Julien Cuyvers"	"Marleenweg 913
6597
Angre"
"Geert Vermeulen"	"Karenlaan 9
7719 Elsenborn"
"Frida Verschueren"	"Yvonnelei 26
7365 Braine-le-Château"
"Malika Van Belle Vandewalle"	"Vivianehof 56
5784
Serville"
"Luc Verhelst"	"Juliebaan 7
3175 Gérouville"
"Lukas De Vos"	"Wendydreef 980
5432 Breendonk"
"Maria Goossens"	"Lucienhof 7
4720
Waterland-Oudeman"
"Evelyne De Cock"	"Kristoflei 053
3725
Wevelgem"
"Manon Troch"	"Moniquelei 3
1401 Beersel"
"Simonne Desmet"	"Brittstraat 598
3573
Sint-Joris-Nieuwpoort"
"Michel Naessens"	"Yaralei 5
4739
Bachte-Maria-Leerne"
"Geoffrey Vervaet"	"Jochenpad 147
3655 Howardries"
