"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Cathrine Jensen","Halvorsengata 1, 6637 Bakken"
"Kåre Lunde","Moenkollen 7, 5231 Markusstrøm"
"Tor Pedersen","Solbergstien 887, 4050 Jannefjell"
"Maria Gundersen","Andreassenfaret 6, 2949 Heidiberg"
"Hege Lund","Hauglandjordet 98, 0630 Markusdal"
"Geir Lie-Aasen","Ellingsengropa 4G, 3313 Øysteinstad"
"Emma Haugen","Lundholtet 92, 8293 Tobiasås"
"Bjørn Ødegård","Næssbråten 65, 4000 Sarafjell"
"Lise Sørensen-Strøm","Aashagen 7, 2408 Thorsen"
"Eli Holm","Johnsenspranget 98, 8060 Nguyen"
"Simen-Kåre Aas","Iversenlia 5, 6597 Antonsen"
"Gunnar-Petter Sæther","Jenssenlia 4, 3844 Lunde"
"Knut Lunde","Haugenhagen 21, 2602 Gulbrandsen"
"Lene Sæther","Nielsenjordet 6B, 8332 Frodeøy"
"Mette Moen","Alistranda 9A, 7864 Birkeland"
"Siv Mikkelsen","Aasrøa 1E, 2423 Mathisen"
"Grete Sæther","Tveitsvingen 4, 2701 Andersen"
"Kenneth Edvardsen","Hauglandåsen 66E, 2233 Fredrikberg"
"Joakim Johnsen","Alilyngen 9, 2287 Johansen"
"Eli Jensen","Hellandhaugen 21, 0581 Jorunnås"
"Sara-Siv Abrahamsen","Hauggrenda 1, 9950 Ahmed"
"Sofie Paulsen","Solbergstubben 66C, 6745 Edvardsen"
"Ann Aas","Henriksenalléen 89D, 5521 Mathisen"
"Egil Vik","Sivertsentjernet 6G, 7110 Anetteodden"
"Kristoffer Bakke","Liemoen 44, 7581 Gulbrandsen"
"Tor Birkeland","Knutsenbakken 344, 8515 Gulbrandsen"
"Gunnar Rønning","Christensenmarka 1, 4376 Larsen"
"Monica Aas","Strandplassen 6, 5139 Ødegård"
"Svein Hauge","Tangenkroken 3, 5371 Audsund"
"Eli Martinsen-Ahmed","Tangenvollen 3F, 2559 Kristoffersen"
"Tom Haugen","Ødegårdmyra 7, 6683 Astridfjord"
"Helene Brekke","Abrahamsenhagen 3A, 6632 Haugland"
"Roy Tangen","Birkelandringen 47C, 6648 Joakimbø"
"Espen Hauge","Kristoffersenstykket 369, 6828 Mayodden"
"Helge Lunde","Liebakken 8, 3358 Asbjørnmark"
"Steinar Sivertsen","Hansenrøa 2, 9436 Petterstrand"
"Camilla Lie","Lundhøgda 015, 8326 Trinestrand"
"Åse Sørensen","Jensenlunden 3C, 7035 Ingeborgstad"
"Svein Andreassen","Arnesenspranget 43, 0077 Annaby"
"Eli Næss","Haugenalléen 8, 1352 Toveås"
"Malin-Andrea Rønning","Haugensvingen 18A, 7189 Alfsjøen"
"Emilie Eide","Moeroa 7, 2284 Hanssen"
"Marit-Ingeborg Moe","Johannessenstubben 2, 9124 Berntsen"
"Gunnar Larsen","Henriksenhagen 3, 0870 Hanssen"
"Britt Martinsen","Brekkebråten 84, 3575 Holm"
"Roar Sørensen","Johannessenjordet 4, 5647 Solheim"
"Mette Edvardsen","Gulbrandsenåsen 4H, 0280 Arildvær"
"Marte Næss","Olsenholtet 85, 5441 Eliassen"
"Johan Solberg","Christenseneggen 7A, 0102 Holm"
"Eli Strøm","Myhregata 6E, 5497 Sirihamn"
"Jenny-Grethe Edvardsen","Simonsenmoen 1, 4134 Vidarø"
"Frank Aas","Moenberget 79, 5280 Arildøy"
"Jorunn Danielsen","Solheimekra 9, 0848 Kjerstivær"
"Laila Rønning-Gulbrandsen","Johnsenlyngen 6, 1128 Tomstrand"
"Helene Eide","Bakkenringen 9, 6285 Gulbrandsen"
"Hilde Helland","Kristensensvingen 27, 2252 Engen"
"Einar Nguyen","Antonsentoppen 83A, 6933 Rolfmark"
"Rolf Andresen","Lundlunden 2A, 2599 Tangen"
"Kjetil Haugland","Simonsenhavna 2, 9286 Isaksen"
"Eli-Maren Tangen","Nguyenbakken 93, 3079 Tangen"
"John Nielsen","Sandvikvika 35, 4779 Brittfjell"
"Torbjørn Olsen-Aas","Nilsengrenda 8, 7860 Dahl"
"May Martinsen","Hagenkollen 3, 6539 Trondhamn"
"Siv Aasen","Paulsenmoen 87E, 2899 Lailastrand"
"Emilie-Kristine Moe","Nilsenkroken 83, 3051 Kristiansen"
"Trond Arnesen","Nilsengjerdet 56, 7130 Nygård"
"Jonas Lie","Bergtoppen 1, 0706 Geirhamn"
"Pål Jacobsen","Ahmedberget 045, 9057 Evafjord"
"Kjell Solheim","Kristiansenkroken 20, 9826 Nielsen"
"Elin Ali","Rasmussenholtet 182, 6413 Håkonmark"
"Sigurd-Mathias Strand","Johnsenkroken 39, 4827 Iversen"
"Sebastian Strøm","Liehøgda 1A, 0399 Haugland"
"Ida Knutsen","Gulbrandsenlunden 9, 5666 Jørgensen"
"Trond Lie","Jakobsenhaugen 70, 4306 Antonsen"
"Kjersti-May Knudsen","Ahmedtoppen 09, 0435 Åseø"
"Tom Haugland","Paulsenlunden 681, 0331 Ahmed"
"Daniel Johannessen","Isakseneggen 416, 2762 Ali"
"Kirsten Olsen","Holmgropa 15B, 2119 Toreeid"
"Sigrid Lien","Strandflata 1, 0358 Torbjørnhavn"
"Elin Amundsen","Bakkengjerdet 77, 6761 Engen"
"Bjørn Abrahamsen","Evensenlia 745, 6170 Bjørnfoss"
"Ola Halvorsen","Fredriksenhavna 51, 6619 Gulbrandsen"
"Prof. Øyvind Solheim","Martinsenbakken 4C, 1301 Jonasodden"
"Sindre-Odd Helland","Amundsenberget 6, 6194 Eliassen"
"Stig Næss","Jakobsenåsen 3, 4471 Nielsen"
"Terje Gulbrandsen","Bakkenflata 4, 9930 Magnusås"
"Ann Berg","Ruudroa 25E, 5474 Jennyøy"
"Gunnar-Martin Jensen","Arnesenlyngen 52, 9731 Maritmark"
"Irene Madsen","Engenjordet 81A, 0276 Tangen"
"Elin Andersen","Andresengjerdet 7, 2042 Sebastianstad"
"Stig Paulsen","Evensenspranget 5, 5686 Andersen"
"Karl Myklebust","Solheimstubben 3, 2668 Evensen"
"Emilie Hagen","Iversenalléen 82, 7634 Knudsen"
"Erling Sæther","Hagenvika 9C, 8898 Tangen"
"Gunnar-Sander Nguyen","Arnesenekra 71, 4682 Maystad"
"Jorunn Johannessen","Kristoffersenberget 8, 1095 Abrahamsen"
"Karin Engen","Jørgensensvingen 9, 3238 Grohavn"
"Britt Amundsen","Eidevika 3, 1349 Antonsen"
"Prof. Markus Aas","Sætheralléen 828, 5051 Danielsen"
"Elin Birkeland","Myklebustholtet 80, 8283 Kirsteneid"
"Petter-Tobias Christensen","Johansenhøgda 928, 0670 Jakobsen"
"Terje Thomassen","Bakkehaugen 346, 6858 Kimfjord"
"Jørgen-Egil Jenssen","Aasengrenda 7, 8863 Sebastianbø"
"Ola Nielsen","Strømflata 20A, 1048 Moen"
"Inger Solheim","Vikløkka 2B, 2965 Engen"
"Joakim-Ola Lien","Andresenbakken 1, 6685 Solberg"
"Marte Isaksen","Bergeeggen 79, 8626 Markusstad"
"Rita Gulbrandsen","Knutsenmyra 1, 0604 Svendsen"
"Hanna Myhre","Hellandengen 8, 7302 Toneeid"
"Elin Edvardsen","Gulbrandsenmarka 7, 6129 Runehelle"
"Lars Sørensen","Gundersenkroken 3F, 5306 Sandersund"
"Geir Birkeland","Tveitskrenten 2A, 4322 Ruud"
"Elin Ahmed","Knutsenskrenten 3, 9366 Geirfoss"
"Kristine-Sara Vik","Thomassenjordet 22C, 2208 Helland"
"Robert Iversen","Andersentunet 8, 5348 Anitaby"
"Johannes-Roar Fredriksen","Jacobsenmyra 08G, 9372 Ellingsen"
"Karl Eide","Nielsenstien 9C, 5905 Larsen"
"Sverre Johansen","Brekkeengen 4G, 9860 Amundsen"
"Malin Pettersen-Berntsen","Aunejordet 85E, 5817 Eliodden"
"Elin Gundersen","Bøeflata 098, 9335 Mariestrand"
"Vidar Madsen","Bakkenstykket 1E, 2482 Anneø"
"Johannes Edvardsen","Christensenhaugen 2, 6689 Lie"
"Dr. Johan Isaksen","Eriksenbråten 00, 5337 Hansen"
"Sondre Svendsen","Solbergeggen 3, 4446 Irenehavn"
"Elisabeth Jakobsen","Vikstubben 2, 7816 Nguyen"
"Jørgen Myhre","Amundsenbråten 4A, 2246 Tonjegrunn"
"Øyvind Pedersen","Antonsenbakken 9, 5585 Leneborg"
"Thor Nguyen-Strand","Eriksenåsen 8, 4070 Haug"
"Arild Larsen","Abrahamsenhavna 03, 2997 Trinevær"
"Elin Jakobsen","Kristofferseneggen 3, 0167 Øyvindbø"
"Per Christensen","Evensenløkka 8, 9022 Thomasmark"
"Bente Rønning","Jørgensenmarka 8, 5518 Aasen"
"Helge Knutsen","Sandviktunet 774, 3908 Torvåg"
"Silje Kristoffersen","Edvardsenstubben 245, 0609 Andreaby"
"Håkon-Joakim Amundsen","Strømfaret 12B, 0790 Marteborg"
"Magne Aasen","Larsengrenda 12, 9425 Gunnsund"
"Knut-Gunnar Brekke","Andreassenalléen 39, 3380 Linnøy"
"Sissel Holm","Andresenekra 5, 0379 Fredriksand"
"Sigrid Sæther","Moekollen 30, 5783 Emilievik"
"Elin Jenssen","Kristoffersenhaugen 34A, 5436 Lie"
"Anne Karlsen","Nielsenspranget 307, 8876 Ragnhildø"
"Berit Andersen","Halvorsenberget 1, 2710 Sverrestad"
"Solveig Brekke","Aasvika 8, 5297 Hanssen"
"Hanna Moe","Ahmedskogen 75, 4465 Larsen"
"Martine Ødegård","Ahmedtjernet 9E, 5258 Berntsen"
"Elise Kristiansen","Arnesentjernet 7, 1088 Emmaborg"
"Terje Sandvik","Martinsenalléen 03, 0810 Aas"
"Marie Kristoffersen","Jakobsengropa 1, 2378 Vik"
"Kristin Johnsen","Simonsenengen 21, 4204 Moen"
"Elin Johnsen","Bergestubben 6, 3465 Haugen"
"Sondre-Alexander Larsen","Andreasseneggen 9, 4174 Evensen"
"Elisabeth Engen","Ahmedspranget 4, 6810 Ødegård"
"Frank Sæther","Andresenhaugen 1, 0240 Fredrikstrøm"
"Prof. Stig Iversen","Sandvikringen 1C, 8413 Kristoffernes"
"Ingeborg-Marianne Sørensen","Bakkenlyngen 7, 7387 Arnefjord"
"Einar Lund","Solheimengen 5, 9746 Geirbø"
"Marit Engen","Strandsvingen 5F, 1532 Tombø"
"Daniel Ruud","Danielsenbakken 6, 8037 Johannessen"
"Reidun Kristoffersen","Myklebusteggen 3, 7820 Øyvindfjell"
"Elin Sivertsen-Bøe","Hagenhøgda 6, 2139 Nygård"
"Elin Brekke","Nielsengjerdet 110, 3880 Olahavn"
"Tove Sæther","Lundealléen 6G, 7759 Ingerbø"
"Hilde Hanssen","Ødegårdvollen 8, 8844 Nilseid"
"Stian Jørgensen","Gundersenrøa 3, 1585 Maritberg"
"Elin Ellingsen","Hagenspranget 88, 6666 Karlsen"
"Kristine Svendsen","Hansenfaret 26, 1164 Roarås"
"Anette Eriksen","Johannessengata 1F, 1609 Myklebust"
"Robert Ødegård","Hellandekra 7, 8446 Andresen"
"Ruth Evensen","Sørensenkroken 67B, 9162 Mariannevik"
"Elisabeth Ahmed","Knutsenspranget 54, 0742 Tangen"
"Randi Lunde","Andreassenåsen 9C, 1063 Kristianvik"
"Kirsten-Jenny Ellingsen","Pedersenmyra 172, 9857 Bakke"
"Åse Arnesen","Andresenhaugen 9, 8671 Ruud"
"Tore Iversen","Paulsenbakken 8, 4875 Sveinby"
"Alexander-Rolf Ellingsen","Karlsenmarka 9B, 2724 Torbjørnberg"
"Marte Berg","Moestien 482, 2844 Haraldstrøm"
"Prof. Tor Haugland","Sætherplassen 3, 3621 Håkonberg"
"Helge Engen","Eriksenengen 52, 2372 Rogerstrand"
"Kari Tangen-Lund","Eideroa 87, 5536 Torestad"
"Elisabeth Andreassen-Antonsen","Olsenholtet 81C, 1178 Fredriksen"
"Fredrik Ellingsen","Halvorsenbråten 077, 8415 Fredriksen"
"Ingrid Lunde","Liespranget 9F, 2926 Andersen"
"Kjell Abrahamsen","Abrahamsenspranget 94, 7182 Simenfoss"
"Prof. Sander Sæther","Strømhøgda 1, 4075 Jørgensen"
"Håkon-Frode Berge","Brekkehavna 4, 8443 Moe"
"Ivar Haugen","Nygårdmyra 3, 6635 Geirsund"
"Johannes Andresen","Johannessenstykket 17, 3491 Ellingsen"
"Håvard Næss-Nilsen","Kristiansenløkka 48B, 4202 Bøe"
"Sindre Evensen-Edvardsen","Haugenhøgda 4, 4973 Larsen"
"Elisabeth Eliassen","Alirøa 49, 1889 Gundersen"
"Tommy-Kjell Henriksen","Jensenstien 6, 2229 Karlsen"
"Vidar Jakobsen","Danielsenstranda 24, 1444 Kjellstrøm"
"Anita Fredriksen","Edvardsengjerdet 3, 3024 Tveit"
"Inger Jacobsen","Nguyenkroken 6, 6128 Bøe"
"Svein Lunde","Bakkenkroken 356, 0920 Halvorsen"
"Ida Hagen","Sandvikengen 3, 7720 Solberg"
"Ida-Solveig Johannessen","Hagenbakken 82E, 5517 Kimvær"
"Vidar-Ivar Aasen","Andreassenhøgda 68, 6216 Bjørgborg"
"Gerd Mathisen","Mathisenlyngen 88, 7254 Ruud"
"Elisabeth Knudsen","Johnsenmyra 87, 8393 Iversen"
"Fredrik-Thor Edvardsen","Jenssentoppen 9B, 0994 Andresen"
"Tove Ali-Amundsen","Olsenlia 9, 3394 Lunde"
"Else Gulbrandsen","Jacobsenberget 8C, 4996 Larsø"
"Emil Eriksen","Andersenmoen 6, 4785 Lunde"
"Rolf Kristensen","Solbergroa 3E, 1007 Gundersen"
"Petter Sæther-Karlsen","Gulbrandsenrøa 1, 4869 Lineeid"
"Mette Jensen","Lundtjernet 57, 5490 Øyvindås"
"Robert Jakobsen","Nygårdskogen 2B, 8548 Jorunngrunn"
"Ola Kristensen","Kristiansenløkka 9, 7845 Gretehavn"
"Elisabeth Pedersen","Hellandhavna 8, 2584 Anettemark"
"Andreas Hanssen-Ahmed","Johnsenroa 5, 5499 Lailastad"
"Ivar Bakken","Kristoffersenbakken 2, 1668 Haug"
"John Amundsen","Martinsengata 3, 9123 Juliesjøen"
"Thomas Paulsen-Bakke","Sørensenmarka 9, 1558 Mikkelsen"
"Vidar-Øystein Lund","Engenkollen 8A, 9675 Tangen"
"Helene Andreassen","Ruudhagen 8, 0228 Nilsen"
"Roy Haugland","Isaksenstubben 67, 6906 Solveigmark"
"Prof. Finn Bakken","Lunderoa 82, 8780 Andresen"
"Lene-Siri Bøe","Sivertseneggen 44, 3838 Frankhavn"
"Elisabeth-Berit Lien","Amundsenlunden 3, 6808 Engen"
"Daniel Pettersen","Ahmedbakken 187, 1961 Torbjørngrunn"
"Håkon Lunde-Thomassen","Ellingsengjerdet 1, 9530 Mariestrøm"
"Thomas Lund","Lieskogen 7, 8145 Jenssen"
"Alexander Johannessen","Haugenløkka 73, 3503 Jacobsen"
"Mona Jenssen","Iversenengen 420, 9811 Eriksen"
"Håkon Larsen","Strømhøgda 8A, 4676 Danielsjøen"
"Maria Ahmed","Svendsenberget 1B, 1986 Thomassen"
"Simen-Sondre Amundsen","Tveitgropa 14, 1811 Einarsand"
"Mathias Karlsen","Rønninggrenda 831, 8606 Sveinstrand"
"Elisabeth-Marit Kristiansen","Lietjernet 125, 4786 Kristofferfjell"
"Sebastian Johnsen","Svendsengjerdet 04F, 7961 Erikfoss"
"Ellen Thomassen","Nygårdtoppen 21, 3677 Sigridby"
"Heidi Aas","Nilsenkroken 86B, 4877 Jensen"
"Espen Mathisen","Edvardsenberget 57, 5189 Jørgensen"
"Bjørg Lunde","Madsenvika 7, 1201 Karistrand"
"Alf Nilsen","Isaksenåsen 68, 7194 Halvorsen"
"Tonje Tangen","Jacobsenløkka 1, 7587 Jakobsen"
"Anette Eide","Henriksenjordet 15B, 1094 Ali"
"Trine Karlsen-Dahl","Bergkroken 46, 1514 Lie"
"Elise Ahmed","Lundsvingen 9, 2935 Saranes"
"John Hagen","Rønningskogen 4, 5309 Arnesen"
"Rolf Haug","Moenroa 9, 6467 Solberg"
"Daniel Martinsen","Sørensenvika 6, 0860 Evafoss"
"Cathrine Solberg","Solheimhøgda 3B, 5365 Alfås"
"Sebastian-Kim Hagen","Abrahamsenlyngen 9, 8789 Martinsen"
"Marit Thomassen","Tangenholtet 3, 8568 Torillstad"
"Anita Nguyen","Hellandbakken 106, 8918 Gulbrandsen"
"Gerd Sørensen","Hagenstykket 45, 7289 Haugland"
"Sara Andersen","Bergengen 9, 0382 Rasmussen"
"Elise Amundsen","Hagenmoen 29, 3093 Lisesand"
"Lene Simonsen","Iversenengen 26F, 9042 Gunnardal"
"Astrid-Ida Lunde","Rasmussenringen 44E, 9757 Mayfjord"
"Svein Ødegård-Strøm","Isaksenlia 01C, 3505 Mayø"
"Erling Tangen","Larsengropa 10A, 2374 Aasen"
"Roar Eriksen","Aasenkroken 1H, 1017 Sæther"
"Ingrid Amundsen","Sivertsenbråten 5, 3439 Karinborg"
"Stian Sandvik","Strandhavna 69, 4285 Alfborg"
"Dr. Stein Dahl","Ruudgata 79, 0820 Hannaø"
"John Nilsen","Bergekroken 5B, 6394 Stigmark"
"Elise Andresen","Ruudekra 8, 0975 Andreassen"
"Bente-May Hauge","Svendsentjernet 46, 4340 Svendsen"
"Mari Bakke","Thorsenbråten 96D, 1990 Kristiansen"
"Stian Halvorsen","Sætherengen 07, 7370 Lailahelle"
"Alexander Solberg","Strømmyra 04, 5956 Ingersjøen"
"Kåre Olsen","Hauglandfaret 15E, 3440 Eriksen"
"Gro Rasmussen","Danielsenvollen 91A, 3449 Paulsen"
"Markus Johannessen","Hellandlunden 459, 8900 Audsjøen"
"Henrik-Markus Nygård","Bergringen 1, 2735 Tangen"
"Leif Karlsen","Nygårdskogen 31E, 7556 Arneby"
"Elise Arnesen","Paulsentoppen 7, 0546 Mikkelsen"
"Jon Nygård","Ahmedlia 47, 7802 Arnesund"
"Grethe Pettersen","Eliassenholtet 03, 4864 Dahl"
"Janne-Andrea Thomassen","Rønningplassen 6, 8378 Haugen"
"Lene Aasen","Aastoppen 43, 3741 Antonsen"
"Kristian Jensen","Hagenhavna 204, 9547 Simonsen"
"Line Haugland","Gundersenlunden 32, 2170 Sebastianstad"
"Unni-Marianne Lunde","Tangenvika 78, 9661 Nielsen"
"Thor-Stian Edvardsen","Sandvikstien 1, 8763 Fredriksen"
"Martine-Unni Brekke","Myklebustsvingen 7G, 7371 Mariannesund"
"Elise Eriksen","Jensenstranda 8, 8238 Leifstrand"
"Knut-Sindre Sandvik","Svendsenskrenten 27, 3842 Evensen"
"Astrid Ødegård","Holmekra 8, 6398 Larsen"
"Kim Danielsen-Ødegård","Thorsenstranda 9, 1839 Ahmed"
"Karl Svendsen-Aune","Jenssenengen 08, 1848 Andreassen"
"Maria-Gunn Dahl","Arnesenvollen 73B, 7173 Sofievik"
"Berit Iversen","Madsenvika 74C, 8389 Helland"
"Asbjørn Berg","Kristofferseneggen 058, 6143 Stinemark"
"Trond-Henrik Aas","Engenhavna 900, 0206 Edvardsen"
"Erling Nielsen","Thomassenstykket 5, 0070 Johannessen"
"Elise Solheim","Rasmussenmyra 45, 8049 Jensøy"
"Olav Andreassen","Larsenhavna 888, 2011 Karinfjell"
"Thea-Andrea Lund","Gundersenspranget 30, 4766 Tonjestrand"
"Daniel Dahl","Bakkemoen 89, 4152 Rønning"
"Rita Helland","Sørensenskogen 8, 2011 Johnfjord"
"Elise-Randi Jakobsen","Hellandskogen 50, 2870 Kårefjord"
"Stein-Sebastian Jenssen","Svendsenskogen 8, 9981 Lailagrunn"
"Dr. Mathias Bøe","Jenssenhagen 25, 7716 Hansfjord"
"Julie Danielsen-Henriksen","Andreassenroa 2A, 3614 Madsen"
"Irene Sørensen","Tveitjordet 23, 3077 Andersen"
"Elise-Eli Aas","Bakkenbråten 9H, 4951 Lund"
"Kari-Trine Vik","Myklebuststubben 2, 0007 Mikkelsen"
"Eli Jensen","Eideplassen 34, 2147 Emmaberg"
"Turid Halvorsen","Engenengen 83, 1307 Siljehavn"
"Linda Aas","Mathisenbakken 824, 5486 Eirikhavn"
"Alf Olsen","Tveitskogen 8, 9846 Myhre"
"Tobias Halvorsen","Hauglandvika 8, 9236 Sandvik"
"Linn-Bente Vik","Fredriksenskogen 2B, 1116 Johannessen"
"Andreas Aas","Aasengata 47, 2643 Auddal"
"Asbjørn Knudsen","Dahlrøa 36, 6447 Grovåg"
"Elise-Inger Berntsen","Danielsenberget 7, 6306 Dahl"
"Prof. Rune Haugland","Sørensengrenda 00, 2404 Jannesund"
"Jan Jenssen","Rasmussenbråten 886, 9688 Pettervær"
"Ragnhild Paulsen","Dahljordet 56, 5373 Bjørnvåg"
"Linn Thomassen","Haugmoen 3, 5909 Emilieodden"
"Hanne Johansen","Sætherkollen 4, 2840 Svendsen"
"Kristine Haug","Edvardsenjordet 70D, 7260 Karlsen"
"Torbjørn Bakke-Moe","Martinsenskrenten 3, 4854 Gundersen"
"Lise Nielsen","Gundersenvika 7C, 3191 Kjetilstrøm"
"Jørgen Haugland","Eidejordet 8, 2821 Øyvindberg"
"Elise-Torill Iversen","Danielseneggen 8, 9435 Heidines"
"Frode Mathisen","Andersentunet 50, 1516 Johansen"
"Vilde Aasen","Holmskrenten 6, 1452 Torefjell"
"Maren-Elise Edvardsen","Paulsenhavna 215, 1081 Dahl"
"Sissel Pettersen","Halvorsenmyra 5, 5782 Dahl"
"Unni Jacobsen","Strømflata 9, 2634 Lien"
"Kristin Berntsen","Næsseggen 2, 0088 Marieberg"
"Ellen-Sofie Thorsen","Jenssengrenda 26, 3198 Berge"
"Karin Christensen-Nygård","Johnsengrenda 6, 4974 Johannessen"
"Prof. Markus Knudsen","Nielsenmyra 85, 4704 Helgevik"
"Ellen Haugland","Halvorsenhaugen 2, 9463 Gerdfoss"
"Unni-Elise Johannessen","Madsenstranda 384, 9398 Arnesen"
"Emma Eliassen","Ruudbråten 54, 2671 Christiannes"
"May Henriksen","Knutsenekra 2, 3707 Hansen"
"Eva Haug","Kristiansenskrenten 749, 6217 Haraldeid"
"Torbjørn Jacobsen","Nguyenhagen 64, 6528 Kristiansen"
"Sander Tangen","Antonsentjernet 5, 5732 Berge"
"Torill Gulbrandsen-Ellingsen","Hellandvollen 76, 4456 Ødegård"
"Jan-Øyvind Andersen","Bakkeskrenten 7A, 6534 Øysteinvær"
"Camilla-Siri Nielsen","Simonsenlyngen 9, 0841 Ritaodden"
"Ellen Jenssen","Mikkelsenrøa 7F, 6309 Ahmed"
"Henrik Henriksen","Dahlekra 7G, 3761 Holm"
"Cecilie-Ellen Berntsen","Bakkenkollen 34E, 8566 Martinbø"
"Tor Haugland","Olsentjernet 79, 5179 Nielsen"
"Ann Andresen","Pettersenfaret 31, 6478 Johnnes"
"Torbjørn Hagen","Kristensenalléen 5A, 4707 Johannesdal"
"Henrik Hanssen","Jacobseneggen 7, 1760 Trineby"
"May Nguyen","Simonsenstien 6, 6429 Jansjøen"
"Johan Dahl","Haugebråten 6, 8154 Dahl"
"Håkon Brekke","Amundsenåsen 43, 2293 Magnusbø"
"Ellen Karlsen","Ødegårdgrenda 86, 5459 Haugland"
"Thea Bøe","Ahmedskrenten 8, 6754 Nygård"
"Jan Andersen","Mathisengjerdet 8, 1428 Arnesen"
"Sebastian Lien","Tangengrenda 85, 8756 Nilsen"
"Malin Eriksen-Sandvik","Eidetoppen 23, 2259 Rasmussen"
"Ellen Berntsen","Jenssenmarka 792, 9995 Elinås"
"Frode Bakke","Olsentoppen 3, 2599 Dahl"
"Emilie Hansen","Nguyenspranget 9, 5843 Erikstrand"
"Erling-Stig Johansen","Jacobsenhøgda 83, 6325 Torillfjell"
"Kristian Strand","Aunegropa 9, 8181 Hegefjord"
"Ellen Moe","Lundelunden 7, 0889 Karieid"
"Sebastian-Hans Aasen","Gulbrandsenekra 201, 9405 Henriksjøen"
"Berit Tangen","Moenvika 4, 5244 Sisseleid"
"Sverre Eriksen-Martinsen","Pedersenholtet 40, 4285 Henriksen"
"Frank Berge-Kristensen","Jensenvollen 96D, 3869 Jenssen"
"Dr. Christian Moe","Bøetoppen 4F, 9369 Nygård"
"Eli-Turid Aas","Kristiansenløkka 8, 1802 Anitaø"
"Tove Svendsen","Strømkollen 07F, 6825 Ødegård"
"Inger Tveit","Kristensenfaret 5, 7711 Linefoss"
"Cathrine Andreassen","Ruudgropa 9, 6604 Perodden"
"Ellen Sivertsen","Nygårdholtet 49, 3306 Åsemark"
"Adrian Arnesen","Strømroa 66, 5357 Torås"
"Robert Berntsen","Tveitekra 2, 8310 Jørgeneid"
"Tore-Sverre Lie","Arnesenbakken 8, 7751 Simenstrand"
"Gunn Knudsen","Ahmedmoen 4, 9553 Marisjøen"
"Roy Ruud","Sørensengrenda 1, 2321 Strand"
"Sigurd-Christian Birkeland","Hanssenrøa 8, 6831 Eliseodden"
"Nina Gundersen","Nygårdeggen 5, 8290 Haug"
"Malin Aune","Pedersenhaugen 75, 3350 Tonjesjøen"
"Kim-Marius Hansen","Eidekollen 24G, 3106 Lunde"
"Ellen Svendsen","Johnsensvingen 72, 2401 Nielsen"
"Vidar Iversen-Paulsen","Jenseneggen 5, 3717 Solberg"
"Randi Bakke","Hellandroa 3, 7398 Jensen"
"Maria Haugen","Johansenkroken 5, 3048 Eivindvær"
"Prof. Jan Nilsen","Johansenlia 9H, 5404 Helgefjell"
"Ruth Andresen","Nguyenvika 814, 7695 Mariannesund"
"Sander-Jon Lund","Hellandlunden 97, 9509 Jenssen"
"Emilie Lund","Lundebråten 4D, 2362 Annsjøen"
"Eva Sandvik","Christensentoppen 5, 6073 Bøe"
"Arild-Arne Paulsen","Engenspranget 2, 1413 Pedersen"
"Ellen Sæther","Antonsenstubben 5, 2718 Sandvik"
"Odd Jenssen","Christensenlia 88, 6011 Helland"
"Harald-Alexander Bøe","Iversengata 7, 9535 Mathisen"
"Hanne Mikkelsen","Sæthergrenda 1, 5797 Olsen"
"Elisabeth Aasen","Vikbråten 161, 5324 Henriksen"
"Harald Amundsen","Kristoffersentunet 247, 2896 Lenefjell"
"Karen Knutsen","Solbergflata 242, 4529 Olavstrøm"
"Randi Strand","Danielsenåsen 3, 2212 Larsen"
"Knut-Thor Aasen","Johannessenmoen 88, 8810 Olavdal"
"Martin Kristensen","Ruudstranda 7, 4703 Mathisen"
"Ellen-Heidi Nguyen","Aasholtet 5, 8813 Anettefjord"
"Jon-Arne Bakke","Jensenspranget 09, 9371 Wencheås"
"Sofie Olsen-Hansen","Fredriksenhagen 66, 1480 Jansjøen"
"Espen-Kim Bakken","Gulbrandsenbakken 2, 8851 Strøm"
"Frank Larsen","Iversenstien 1D, 9009 Ritavær"
"Hanne Tangen","Haugebakken 909, 7697 Steinarstrøm"
"Karin Edvardsen","Bøeroa 1, 3790 Theaø"
"Lise Ruud","Strømholtet 3, 6791 Toneøy"
"Lars Lien","Eidebakken 7, 8678 Haugland"
"Gunnar Sørensen","Jørgensenhavna 5, 6424 Jørgenfoss"
"Ellen-Randi Martinsen","Paulsenskogen 279, 7338 Magnusodden"
"Lise Aasen","Dahlstubben 469, 1936 Lund"
"Alf-Stein Edvardsen","Brekketoppen 2E, 0299 Myhre"
"Frode Larsen","Sætherberget 9E, 5560 Dahl"
"Gunn Arnesen-Engen","Fredriksenmarka 38, 3057 Grovær"
"Maria Mathisen","Eriksenløkka 9E, 8619 Mariusstad"
"Bente Thomassen","Tveithaugen 3, 0624 Øyvindøy"
"Marit Strand","Hauglandhagen 8D, 1949 Steindal"
"Ole Isaksen","Jakobsentoppen 577, 0539 Ingeborgsund"
"Gunnar Iversen","Sæthersvingen 37, 0477 Martinefoss"
"Else Eide","Holmtunet 5, 8134 Brittvær"
"Kirsten-Åse Kristensen","Christensenskogen 6F, 1677 Eide"
