"Abdi Ali","Villavägen 58
13918 Gävle" 
"Sofia Bergsten","Grangatan 713
31415 Malmö"
"Maria Hansen","Åkertorget 5
76110 Luleå"
"Fredrik Johansson","Ängsgatan 136
76225 Nyköping"
"Kent Alexandersson","Bäckgränd 60
71632 Falun"
"Terese Karlsson","Ängsvägen 422
57201 Umeå"
"Alex Johansson","Skolvägen 9
25013 Mölndal"
"Carina Lindström","Ekgatan 886
85958 Göteborg"
"Mikaela Larsson Eriksson","Järnvägstorget 97
29096 Landskrona"
"Kristin Eklund","Åkertorget 575
19629 Västerås"
"Ida Larsson-Nilsson","Villavägen 4
89394 Landskrona"
"Thea Rosén","Idrottstorget 95
59791 Motala"
"Sofia Davidsson","Furugränd 61
37531 Motala"
"Fredrik Karlsson","Skogsstigen 97
78722 Sundsvall"
"Susanne Johansson Höglund","Nystigen 116
79295 Lund"
"Hjalmar Falk","Fabriksvägen 83
12021 Kristianstad"
"Ulrika Nilsson","Skolvägen 593
31889 Piteå"
"Ingela Bergman Andersson","Bäckgatan 16
89530 Kristianstad"
"Sandra Göransson-Bäck","Ringgränd 947
64558 Göteborg"
"Mira Olsson","Trädgårdsvägen 647
90678 Kalmar"
"Susanne Engström","Industrigatan 57
94401 Landskrona"
"Ingegärd Berglund","Ekvägen 5
96027 Västerås"
"Kristian Wahlgren-Lindqvist","Kyrkstigen 1
48641 Umeå"
"Fredrik Lindström","Parkgränd 63
81406 Växjö"
"Valdemar Arvidsson","Industrivägen 6
52302 Alingsås"
"Ylva Edman","Fabriksgatan 914
47594 Borlänge"
"Henry Rask","Skoltorget 4
82309 Karlstad"
"Elisabeth Åberg","Ängsvägen 7
70846 Lund"
"David Johansson-Karlsson","Trädgårdsvägen 7
93728 Östersund"
"Martin Hellberg","Björkvägen 65
66701 Varberg"
"William Persson Jonsson","Genvägen 5
16262 Lidköping"
"Karl Karlsson Ström","Industrigränd 31
64577 Karlskoga"
"Tord Nyström Danielsson","Villastigen 09
24320 Örnsköldsvik"
"Fredrik Lindström","Åkervägen 197
36086 Lund"
"Hans Bergström","Aspgatan 39
54423 Östersund"
"Mohammed Lindskog","Bäckstigen 840
73529 Uddevalla"
"Linnéa Sundberg","Grangatan 33
95404 Nyköping"
"Ottilia Folkesson","Granvägen 1
47736 Karlskoga"
"Kurt Lind Nilsson","Grangatan 85
31435 Nyköping"
"Linnéa Gustafsson","Genvägen 466
19636 Nyköping"
"Emelie Stenberg","Furugatan 48
53432 Södertälje"
"Marie Törnqvist","Bäckgränd 1
17252 Lidköping"
"Åke Stark","Kyrkvägen 518
45883 Trollhättan"
"Fredrik Olsson","Skogsgränd 04
88799 Kalmar"
"Hans Andersson","Skogsgatan 664
32910 Västerås"
"Ingrid Lindgren","Aspvägen 8
25933 Alingsås"
"Sara Johannesson Arvidsson","Skolvägen 585
18085 Linköping"
"Lars Emilsson","Industrivägen 2
93347 Trollhättan"
"Anders Lindberg","Bäckgatan 67
97755 Karlskrona"
"Oscar Olsson","Kyrkostigen 1
49175 Piteå"
"Maria Karlsson","Kyrkostigen 845
31286 Halmstad"
"Anders Brännström","Bäcktorget 3
62552 Karlskoga"
"Sigrid Andersson","Aspstigen 956
13037 Nyköping"
"Fredrik Roos","Stationsvägen 367
54644 Falun"
"Hans Pettersson","Kyrkovägen 63
71761 Göteborg"
"Dante Andersson","Björkvägen 269
52794 Trollhättan"
"Jonas Nordström","Ringgatan 3
42219 Norrköping"
"Joachim Nordberg","Strandgatan 86
56808 Motala"
"Gudrun Vestin","Ängsvägen 517
75914 Ängelholm"
"Victor Juhlin","Strandstigen 25
24265 Eskilstuna"
"Junior Lindkvist","Björkgatan 9
75905 Sundsvall"
"Viola Olsson","Trädgårdsvägen 78
47683 Halmstad"
"Emma Nilsson","Kyrkstigen 771
77402 Borås"
"Fredrik Vallin","Nyvägen 87
10503 Lund"
"Martin Englund","Skolgatan 57
28639 Östersund"
"Linnéa Larsson","Idrottstorget 423
66811 Uddevalla"
"Johanna Wallgren-Andersson","Storgatan 03
59605 Trollhättan"
"Olof Strandberg","Skoltorget 98
25238 Jönköping"
"Bo Nilsson-Lindgren","Skoltorget 324
53639 Alingsås"
"Charlotte Hjalmarsson","Industrigatan 98
48070 Lidingö"
"Gudrun Gustavsson-Larsson","Storgatan 906
70956 Karlskrona"
"Mikaela Malmberg-Jakobsson","Skolgatan 41
76744 Västerås"
"Carola Eklund-Eriksson","Backstigen 58
58760 Helsingborg"
"Fredrika Nilsson","Parktorget 675
19226 Borås"
"Marie Gunnarsson","Björkvägen 0
33858 Östersund"
"Nils Johansson","Grangatan 208
19813 Malmö"
"Olof Börjesson","Industrivägen 62
67562 Uppsala"
"Erik Eriksson","Fabriksgatan 7
83939 Falun"
"Leif Hult","Kvarngatan 8
25214 Ängelholm"
"Peter Östling-Östman","Björkvägen 3
75516 Växjö"
"Hillevi Jakobsson","Ängsvägen 822
20403 Sundsvall"
"Louise Adolfsson","Ängsstigen 69
74834 Alingsås"
"Maud Jansson","Skogsgatan 7
59710 Trelleborg"
"Fredrika Said","Furugränd 822
45310 Skellefteå"
"Lennart Johansson","Genvägen 38
97324 Lund"
"Christian Söderqvist-Persson","Nygatan 75
40654 Stockholm"
"Erik Nilsson","Strandgatan 818
11309 Nyköping"
"Vilhelmina Nilsson","Gengatan 290
60987 Malmö"
"Nora Holmberg","Aspvägen 46
16225 Växjö"
"Andreas Svensson","Parkvägen 234
95804 Kalmar"
"Ulrica Lindkvist","Grangatan 78
28882 Motala"
"Torbjörn Lidén-Nilsson","Backgatan 604
18070 Kalmar"
"Anders Lindell","Strandgatan 7
68233 Karlskrona"
"Freja Nilsson-Hedberg","Parkgatan 799
36620 Göteborg"
"Marie Lennartsson","Genstigen 19
89223 Falun"
"Amir Hussein","Genvägen 69
76931 Halmstad"
"Ragnar Andersson","Kvarnvägen 7
87358 Uddevalla"
"Joakim Hult","Parktorget 9
71678 Lidingö"
"Olle Hallin-Blomqvist","Parkvägen 01
13345 Karlskrona"
"Johanna Sandin","Aspvägen 10
60861 Gävle"
"Stig Andersson","Skolgatan 03
40473 Trollhättan"
"Rut Svensson","Kyrkgatan 700
61907 Luleå"
"Josefin Jensen","Industrivägen 6
82284 Kalmar"
"Gabriella Lindberg","Bäckgränd 333
28552 Varberg"
"Lena Larsson","Furuvägen 535
91706 Luleå"
"Susanna Johansson","Backvägen 21
72695 Alingsås"
"Margareta Hansson","Fabriksgränd 2
73500 Sandviken"
"Maria Ahlin","Industrigränd 38
44397 Trelleborg"
"Helén Johansson","Villatorget 8
23122 Helsingborg"
"Elisabeth Larsson","Bäckstigen 986
87437 Piteå"
"Ossian Bengtsson","Idrottsvägen 1
84259 Alingsås"
"Inger Li","Bäckgränd 042
33350 Umeå"
"Isabelle Backlund","Ringgatan 773
94956 Lidingö"
"Gabriella Wang","Gentorget 8
92936 Halmstad"
"Olof Nilsson","Kyrkovägen 2
17203 Luleå"
"Kajsa Hansson","Grangränd 252
20626 Göteborg"
"Carl Hansson","Stationsgatan 955
19811 Västerås"
"Monica Josefsson","Storgränd 00
37385 Karlskrona"
"Olof Eriksson-Jonsson","Granstigen 071
97384 Karlskrona"
"Melvin Falk","Parkgränd 334
15881 Gävle"
"Elisabet Gustafsson","Nyvägen 3
66904 Norrköping"
"Carin Alm","Storstigen 050
54112 Umeå"
"Olof Björk","Trädgårdsvägen 72
86121 Malmö"
"Georg Andersson","Gengatan 78
40553 Skövde"
"Anders Blomqvist","Granvägen 34
87874 Göteborg"
"Hans Jonsson Björk","Fabriksvägen 401
87317 Trelleborg"
"Emma Johansson","Björkgränd 43
57763 Alingsås"
"Anna Persson","Kyrkovägen 559
32123 Landskrona"
"Elis Anderberg","Nyvägen 77
92311 Lund"
"Astrid Carlsson Andersson","Kyrkstigen 51
11064 Halmstad"
"Kristine Månsson","Villatorget 575
49139 Göteborg"
"Erika Alm","Furuvägen 8
25087 Eskilstuna"
"Andreas Nordlund","Villavägen 46
65002 Skellefteå"
"Georg Lindblad","Idrottsgränd 4
23796 Skövde"
"Elisabet Berg Strand","Industrivägen 6
89478 Alingsås"
"Melissa Carlsson Hansson","Genvägen 51
26745 Skellefteå"
"Britt Ahlgren","Skogsgränd 54
30924 Ängelholm"
"Hillevi Larsson","Aspgränd 8
42261 Örebro"
"Ingrid Nilsson","Fabriksvägen 43
82183 Alingsås"
"Gun-Britt Holmström","Ekvägen 734
96805 Jönköping"
"Jörgen Bergqvist","Grangatan 335
52027 Motala"
"Lisbeth Lundberg","Industrivägen 33
37640 Trelleborg"
"Helen Andersson","Skolgatan 1
62251 Stockholm"
"Georg Magnusson","Idrottsgränd 279
91733 Ängelholm"
"Mikael Lindgren","Aspgränd 66
33757 Falun"
"Felicia Ekström","Industrivägen 1
35589 Skövde"
"Karin Larsson","Parkgränd 021
80041 Karlstad"
"Luna Andersson","Skolgatan 17
78365 Karlskrona"
"Arvid Berglund","Gengatan 08
90315 Skövde"
"Alvar Olsson","Järnvägstorget 682
76215 Karlstad"
"Lena Simonsson","Industrigatan 45
43364 Mölndal"
"Andreas Larsson","Björktorget 65
98991 Sandviken"
"Otto Sörensen Johansson","Backgatan 79
22702 Borås"
"Gert Lilja","Bäckvägen 435
61324 Eskilstuna"
"Lena Nyberg","Skogsgatan 6
76350 Eskilstuna"
"Christoffer Svensson Lennartsson","Bäckstigen 6
64779 Örebro"
"Maria Andrén","Backvägen 728
62056 Umeå"
"Klara Frisk","Nygränd 678
53791 Skövde"
"Carl Nilsson","Strandvägen 72
81786 Norrköping"
"Margareta Holmberg","Genvägen 70
41039 Falun"
"Sune Larsson","Stationsgatan 02
86866 Piteå"
"Linda Lundblad","Parktorget 477
23985 Ängelholm"
"Katarina Eklund","Ängsvägen 452
90943 Karlskoga"
"Gertrud Abrahamsson","Industrigatan 6
47301 Piteå"
"Bo Mustafa","Idrottsstigen 788
84557 Skövde"
"Anneli Lindén Schmidt","Strandgatan 940
90274 Karlskrona"
"Hans Gustavsson","Kyrkovägen 3
33383 Östersund"
"Henrik Olsson","Parkvägen 6
31791 Östersund"
"Mariam Persson","Järnvägsstigen 3
46878 Göteborg"
"Evert Lundin","Björkvägen 05
12112 Sandviken"
"Per Blomqvist","Ringtorget 942
81254 Karlskoga"
"Tyra Nilsson","Åkervägen 23
44374 Motala"
"Marianne Hansson","Gengränd 8
10984 Södertälje"
"Gertrud Olsson","Backvägen 750
31752 Halmstad"
"Viola Lundberg","Järnvägsvägen 274
62420 Stockholm"
"Charlotta Olsson","Björkvägen 97
70348 Luleå"
"Lukas Persson-Bodin","Furustigen 56
45756 Linköping"
"Ulla Larsson","Parkgränd 8
46621 Stockholm"
"Sofia Andersson","Ängsgränd 040
67584 Sandviken"
"Sven Jönsson-Bäckman","Trädgårdsvägen 75
61808 Varberg"
"Mohammed Boström","Stationsgränd 3
15216 Ängelholm"
"Yusuf Svensson","Industrigatan 2
11410 Nyköping"
"Gunnar Mattsson","Idrottsgatan 5
28282 Västerås"
"Gillis Lindblom","Parkvägen 8
55187 Jönköping"
"Tomas Lindell","Villavägen 24
19896 Kalmar"
"Per Bengtsson","Skolgränd 0
52872 Ängelholm"
"Thomas Fredriksson","Industrigränd 06
43787 Lund"
"Karin Ståhl","Björkgatan 3
81885 Lidingö"
"Manfred Kling","Strandvägen 6
40695 Jönköping"
"Börje Fredriksson","Björktorget 009
89260 Ängelholm"
"Karin Johansson","Bäckvägen 5
41429 Motala"
"Mathias Eriksson","Backvägen 464
46483 Ängelholm"
"Laura Svensson","Ringvägen 2
12712 Södertälje"
"Gillis Lindgren","Kvarnvägen 160
24126 Gävle"
"Anna Malmqvist","Skolstigen 6
80782 Sandviken"
"Josefina Olsson","Gengränd 32
83745 Ängelholm"
"Johanna Abdi","Skolvägen 689
82412 Södertälje"
"Per Larsson","Industrigränd 4
51804 Karlskrona"
"Anna Pettersson","Åkervägen 19
61727 Trollhättan"
"Leif Andersson","Bäckstigen 723
88506 Mölndal"
"Alfred Strand Magnusson","Järnvägsgatan 91
85162 Uppsala"
"Gustav Jansson","Trädgårdsvägen 18
14604 Uddevalla"
"Anna Ericson","Trädgårdsgränd 94
52045 Uppsala"
"Gottfrid Sandström","Järnvägsstigen 0
25604 Skellefteå"
"Håkan Ingvarsson-Jakobsson","Kvarnvägen 203
86545 Varberg"
"Lennart Hedman","Åkervägen 529
52006 Karlstad"
"Eva Blomkvist","Aspstigen 057
62590 Trelleborg"
"Felicia Söderström","Aspgatan 5
83587 Södertälje"
"Eva Bäckman Sjöberg","Kvarnvägen 0
22341 Nyköping"
"Ragnar Andersson","Parkgränd 6
27068 Skellefteå"
"Elias Fransson","Järnvägsgatan 618
49532 Kristianstad"
"Emelie Granlund","Backvägen 175
88911 Varberg"
"Arne Norman","Backgränd 58
43277 Sundsvall"
"Greger Johansson","Asptorget 333
48646 Jönköping"
"Gustav Carlsson-Björk","Ekgatan 8
65978 Nyköping"
"Ellen Bergström","Backtorget 165
44956 Luleå"
"Johan Åslund","Gengränd 654
77788 Piteå"
"Stina Nilsson","Stationsstigen 612
27515 Motala"
"Love Nylander","Bäckgränd 82
33019 Sundsvall"
"Anna Holm","Furugränd 8
85237 Karlskrona"
"Wilma Hansson","Fabriksgatan 4
14629 Ängelholm"
"Fredrik Granath","Gentorget 63
95423 Jönköping"
"Marie Nilsson Nyman","Ängsgatan 33
53096 Piteå"
"Greger Lindberg","Skolvägen 23
15799 Örnsköldsvik"
"Leona Eriksson","Backvägen 05
58670 Landskrona"
"Josefin Persson","Skolvägen 69
53247 Skövde"
"Cecilia Hallberg","Storvägen 4
90728 Kalmar"
"Jan Larsson-Hjelm","Parktorget 230
14630 Falun"
"Marina Ibrahim","Kyrkovägen 48
91472 Karlstad"
"Sophia Persson","Parktorget 96
54480 Skövde"
"Erik Andersson-Sörensen","Parkvägen 48
46099 Lund"
"Solveig Petersson","Skoltorget 4
68091 Växjö"
"Emil Nilsson","Nygränd 854
21726 Falun"
"Greger Sandström Jansson","Trädgårdsgatan 1
79945 Lidköping"
"Lisa Pettersson","Trädgårdsgatan 4
93874 Eskilstuna"
"Carl Axelsson Viklund","Furustigen 645
12941 Falun"
"Tom Bengtsson","Kyrkovägen 376
58076 Uddevalla"
"Ingemar Håkansson","Backgatan 723
91504 Södertälje"
"Natalie Fors","Trädgårdsstigen 78
10745 Örebro"
"Ingegerd Dahlström Larsson","Ängstorget 218
13682 Kalmar"
"Ellen Persson","Idrottsvägen 881
74399 Lidingö"
"Anders Larsson","Bäckgatan 45
77557 Karlskrona"
"Mikael Ferm","Aspgränd 02
48603 Kristianstad"
"Greta Olsson","Kyrkovägen 643
51597 Ängelholm"
"Joakim Lundqvist-Wallin","Åkervägen 525
72845 Varberg"
"Linda Jonsson-Söderström","Granvägen 3
70526 Västerås"
"Amanda Eliasson-Lundblad","Skogstorget 26
92948 Gävle"
"Johan Persson","Ängsgatan 61
54876 Gävle"
"Agneta Sjölander","Nyvägen 4
17860 Göteborg"
"Frans Dahlström","Skogsvägen 44
33302 Västerås"
"Jonas Bengtsson","Genvägen 89
48116 Borlänge"
"Marcus Eriksson","Strandgatan 47
33696 Örebro"
"Staffan Pedersen","Ringtorget 5
93085 Landskrona"
"Gudrun Andersson","Genvägen 4
84406 Karlskrona"
"John Björklund","Kyrkgatan 987
96586 Falun"
"Karl Lund","Åkervägen 0
48470 Malmö"
"Nina Olsson","Kyrkvägen 03
77440 Ängelholm"
"Elisabeth Johansson","Villastigen 57
26872 Linköping"
"Jan Abdullah","Kyrkovägen 3
18524 Karlstad"
"Ingemar Johansson","Järnvägstorget 9
20335 Alingsås"
"Johan Andersson","Trädgårdsgatan 821
78664 Falun"
"Benjamin Olsson","Skogsvägen 335
55647 Uppsala"
"Hanna Axelsson","Åkervägen 69
31753 Karlstad"
"Gudrun Dahlin","Trädgårdsgränd 418
84083 Norrköping"
"Ingegerd Pettersson-Eriksson","Strandgatan 6
88118 Gävle"
"Margareta Söderberg","Strandtorget 7
55184 Sandviken"
"Per Wester","Villavägen 45
68940 Ängelholm"
"Anders Johansson","Industrigatan 868
95648 Sundsvall"
"Sara Lundin","Ängsvägen 17
43527 Trollhättan"
"Astrid Jansson Mattsson","Granstigen 066
14523 Kalmar"
"Elisabet Hansson Hansson","Aspvägen 5
49872 Eskilstuna"
"Axel Johansson","Bäckvägen 035
77948 Skellefteå"
"Nils Nilsson","Kyrkgatan 0
45604 Piteå"
"Gudrun Johansson","Kvarngränd 2
78778 Västerås"
"Carl Moberg Wallin","Trädgårdsvägen 5
21980 Ängelholm"
"Ebbe Pettersson","Stationstorget 779
13162 Halmstad"
"Erika Anderberg","Skoltorget 88
35761 Södertälje"
"Mårten Åkerlund","Villagatan 74
31808 Malmö"
"Anna Roos-Sjöholm","Skogsvägen 8
21445 Sundsvall"
"Eric Lundström Strandberg","Ringvägen 072
93917 Jönköping"
"Frida Hedström","Fabriksvägen 40
85353 Ängelholm"
"Patrik Svensson","Fabriksvägen 37
52950 Landskrona"
"Elin Ismail-Andersson","Storvägen 154
25264 Örnsköldsvik"
"Gudrun Persson","Ängsgatan 54
44418 Luleå"
"Svea Vikström Granberg","Järnvägsgatan 82
21331 Trelleborg"
"Johannes Dahlin","Ringvägen 78
20100 Landskrona"
"Felix Ferm","Kyrkovägen 00
34552 Lund"
"Knut Svanberg","Ekgatan 36
63833 Uddevalla"
"Simon Persson","Kvarngränd 360
43515 Borås"
"Göran Josefsson","Bäckgatan 2
24807 Landskrona"
"Håkan Karlsson","Bäckgatan 0
49990 Motala"
"Christian Lindblad","Genvägen 7
48488 Stockholm"
"Linda Söderström","Parktorget 6
13918 Nyköping"
"Gun Bergqvist","Bäckgatan 8
52512 Karlskoga"
"Peter Andersson","Parkgatan 922
54547 Umeå"
"Maria Berg","Strandstigen 207
38362 Piteå"
"Eivor Eriksson","Björkvägen 59
49891 Helsingborg"
"Mats Jakobsson","Villagränd 3
12401 Karlstad"
"Ulf Gustafsson","Bäckstigen 02
92590 Borås"
"Maria Nilsson Wallin","Kvarngatan 34
26562 Linköping"
"Magnus Lindell","Parkgränd 791
95321 Växjö"
"Bert Bergström","Kyrkostigen 379
31541 Kristianstad"
"Mari Svensson","Gengatan 53
31127 Västerås"
"Gun Lindholm-Engström","Järnvägsgatan 854
11037 Stockholm"
"Elisabeth Fransson Gustafsson","Aspgränd 8
76148 Karlskoga"
"Emilio Pettersson","Nygatan 81
50480 Kristianstad"
"Pär Edin","Furugatan 8
95105 Karlskrona"
"Albin Håkansson","Parkgränd 6
34567 Kalmar"
"Anneli Södergren","Genvägen 8
41095 Nyköping"
"Diana Karlsson","Kyrkgränd 50
58075 Piteå"
"Ingrid Lindfors","Stationstorget 37
43139 Halmstad"
"Axel Axelsson","Parkvägen 6
33158 Piteå"
"Kjell Svensson","Ringvägen 847
43301 Varberg"
"Gunborg Eriksson","Strandgatan 4
17257 Gävle"
"Gottfrid Nguyen","Nygränd 631
66512 Örebro"
"Alicia Holmberg","Järnvägsstigen 9
45421 Sundsvall"
"Fredrik Hagberg","Storgatan 69
33593 Lidköping"
"Tobias Bengtsson","Strandstigen 87
22587 Borås"
"Kristina Gustafsson","Åkergatan 54
63589 Uddevalla"
"Ingrid Wiberg","Kyrkvägen 8
70397 Karlskrona"
"Tom Stenström-Mohammed","Granvägen 716
64044 Skellefteå"
"Karina Gustafsson","Skogsgatan 5
60109 Alingsås"
"Lars Hult","Åkergatan 116
81795 Lidköping"
"Gunhild Andersson","Industrigatan 850
93104 Karlstad"
"Kjell Andersson-Ståhl","Kvarntorget 051
53674 Ängelholm"
"Marie Lundqvist","Nyvägen 15
47680 Trelleborg"
"Monika Farah-Malmgren","Storvägen 702
11570 Piteå"
"Inga Andersson","Kyrkgatan 17
69010 Linköping"
"Elvis Karlsson","Idrottsgatan 656
16062 Kalmar"
"Max Henriksson-Andersson","Nyvägen 2
91833 Halmstad"
"Viktor Jansson","Trädgårdsgränd 7
13162 Karlskrona"
"Otto Johansson","Parkvägen 1
36735 Falun"
"Linda Wiberg","Granvägen 2
68066 Skövde"
"Gunhild Andersson","Industrigränd 20
67916 Sundsvall"
"Lovis Mohammadi","Parkgatan 252
19794 Helsingborg"
"Arvid Ohlsson","Strandtorget 047
48665 Helsingborg"
"Inger Hassan","Industrivägen 4
88661 Östersund"
"Solveig Petersson","Skogsvägen 48
93098 Västerås"
"Madeleine Karlsson","Kyrkotorget 8
87118 Luleå"
"Elisabeth Bäckman","Järnvägsgatan 312
97594 Umeå"
"Juhani Pettersson","Skolgatan 3
32648 Kristianstad"
"Kenneth Södergren","Kyrkotorget 807
56818 Skellefteå"
"Johanna Lundholm","Stationsvägen 7
26769 Östersund"
"Gunhild Jönsson","Strandgatan 5
70010 Lidingö"
"Christoffer Juhlin","Aspstigen 393
15774 Lund"
"Elisabet Jonsson","Gengatan 108
45572 Kalmar"
"Helen Linde","Skolgatan 1
67412 Skellefteå"
"Emanuel Andersson","Ekgränd 490
35606 Alingsås"
"Pernilla Strid","Idrottsvägen 77
45655 Piteå"
"Emilia Jonasson","Fabriksgatan 074
67654 Göteborg"
"Rune Hansson","Backtorget 28
25179 Lund"
"Conny Andreasson","Furuvägen 96
24336 Växjö"
"Gert Edvardsson","Trädgårdsgatan 902
28570 Jönköping"
"Gunilla Andersson","Björkgatan 5
72998 Piteå"
"Erik Bergvall","Åkertorget 2
60147 Skövde"
"Alexandra Andersson Eriksson","Parkvägen 8
37824 Landskrona"
"André Rosén","Industrivägen 327
72878 Växjö"
"Elisabeth Olofsson","Trädgårdsgatan 20
33042 Uddevalla"
"Hanna Lindqvist","Ekstigen 6
33580 Landskrona"
"Louise Strömberg","Grangatan 04
51720 Västerås"
"Helena Magnusson Lund","Kyrktorget 4
32499 Örnsköldsvik"
"Kim Larsson","Parkgatan 86
35472 Lidingö"
"Angelica Lövgren-Malmqvist","Skoltorget 25
59089 Kalmar"
"Gunilla Andersson","Kyrktorget 285
61621 Skövde"
"Adele Klasson Ekström","Industrigatan 21
96168 Umeå"
"Kerstin Hedman","Kvarngatan 67
47669 Norrköping"
"Åke Larsson","Granstigen 044
46654 Falun"
"Felicia Sjöstrand","Storgatan 982
45806 Trelleborg"
"Gunhild Jonsson","Parkgränd 2
21937 Södertälje"
"Elisabet Ferm","Industrivägen 991
64112 Luleå"
"Gunnel Håkansson","Storgränd 6
67541 Örnsköldsvik"
"Håkan Khan","Kvarntorget 1
19386 Skellefteå"
"Barbro Sandberg-Selin","Parkvägen 377
87353 Lidköping"
"Gunilla Börjesson","Ekstigen 9
74902 Borås"
"Joakim Forsberg-Widén","Ängsgränd 37
65096 Halmstad"
"Östen Larsson","Industrigränd 6
44664 Stockholm"
"Hanna Arvidsson-Strandberg","Skogsgatan 1
65620 Eskilstuna"
"Alfred Johansson-Carlson","Ektorget 4
80643 Örnsköldsvik"
"Ragnar Klasson Ahmed","Ängsgatan 3
81246 Sundsvall"
"Marie Hansson","Parkgränd 97
81312 Luleå"
"Jenny Wang Falk","Gentorget 7
25752 Linköping"
"Johanna Andersson","Fabriksgränd 7
30331 Uddevalla"
"Elisabet Edin","Skolgränd 91
88481 Eskilstuna"
"Gunilla Edvardsson","Villavägen 33
21189 Gävle"
"Sandra Åkerlund","Villagatan 21
82305 Mölndal"
"Linda Magnusson","Åkergränd 05
12959 Borlänge"
"Anna Mohammed","Kyrkovägen 3
66604 Karlskoga"
"Erik Karlsson","Strandgatan 3
76468 Sundsvall"
"Nils Sjöström","Fabriksgatan 160
32172 Uddevalla"
"Carina Östman","Skogsvägen 58
61803 Nyköping"
"Linnéa Eriksson","Ektorget 53
68921 Lund"
"Elisabeth Berg","Bäckgränd 53
73528 Borås"
"Annika Gustafsson","Grangränd 601
18211 Halmstad"
"Gunilla Granath","Bäckgatan 58
72539 Stockholm"
"Andreas Andersson","Ängsgatan 5
24009 Örebro"
"Julian Jönsson","Furugatan 13
73538 Sandviken"
"Charlotta Nordberg","Bäckvägen 652
36058 Ängelholm"
"Christian Karlsson","Backgatan 55
69241 Örebro"
"Martin Jönsson","Genstigen 829
19099 Skövde"
"Cecilia Sundell","Åkerstigen 308
49827 Kristianstad"
"Helén Samuelsson","Kyrkgatan 710
82219 Motala"
"Birgitta Forsell","Parkvägen 2
48147 Sundsvall"
"Camilla Ljungberg","Kvarnvägen 5
59039 Skellefteå"
"Gunilla Johansson","Skogsgatan 882
17607 Borås"
"Anna Andersson","Skogsgatan 484
77116 Linköping"
"Nova Eriksson Werner","Gengatan 81
40867 Linköping"
"Kalevi Gunnarsson","Järnvägsgränd 201
37433 Norrköping"
"Johanna Andersson","Parkvägen 6
28628 Lidingö"
"Charlotte Melin","Villatorget 416
21747 Piteå"
"Stella Eriksson","Backgränd 650
40867 Göteborg"
"Christian Lindfors","Fabriksgatan 68
11920 Västerås"
"Helena Nilsson","Stationsvägen 651
95979 Lidingö"
"Edith Sjöberg","Parkvägen 013
41693 Trelleborg"
"Gunilla Linde Persson","Aspgatan 3
76304 Skellefteå"
"Johanna Eriksson","Åkertorget 3
82369 Luleå"
"Robert Magnusson","Strandvägen 72
84374 Nyköping"
"Linnéa Olofsson","Idrottsstigen 3
38105 Jönköping"
"Charlie Olofsson","Strandgatan 43
66872 Eskilstuna"
"Per Olsson","Villagatan 047
52692 Ängelholm"
"Krzysztof Magnusson","Parkstigen 250
20608 Göteborg"
"Niklas Nilsson","Järnvägsvägen 96
40274 Ängelholm"
"Irene Möller","Villagränd 38
19740 Lidingö"
"Idun Larsson","Genvägen 56
19574 Lund"
"Gunilla Magnusson","Åkergatan 778
15716 Gävle"
"Carmen Johnsson","Stationsgatan 829
95127 Karlskoga"
"Per Fredriksson","Trädgårdsvägen 45
97319 Västerås"
"Jennifer Ekman","Kvarngatan 25
85300 Växjö"
"Linda Lundgren","Parkstigen 12
93316 Piteå"
"Birgitta Dahlén","Järnvägsgatan 6
40098 Halmstad"
"Erik Nordin","Villavägen 83
30316 Kristianstad"
"Gudrun Jonsson","Kyrkostigen 86
21368 Kristianstad"
"Majken Jonsson","Ringtorget 1
79338 Karlstad"
"Sven Larsson","Trädgårdsvägen 7
44520 Borlänge"
"Gunilla Nilsson-Malmberg","Furugatan 9
59855 Sandviken"
"Arne Berggren-Karlsson","Idrottsstigen 7
97189 Karlskrona"
"Joachim Ottosson","Ekvägen 508
10432 Nyköping"
"Kristina Sjöström","Granvägen 46
59388 Falun"
"Anders Holmqvist-Holm","Aspvägen 86
65452 Mölndal"
"Margareta Eriksson Mohammad","Backgränd 8
39653 Växjö"
"Olivia Jonsson","Skolvägen 71
88509 Västerås"
"Emma Andersson","Ekstigen 4
16286 Lidköping"
"Richard Aronsson","Aspvägen 06
42479 Örnsköldsvik"
"Oliver Skoglund","Genvägen 168
82364 Ängelholm"
"Gunilla Sjöberg","Ringgränd 19
26918 Örebro"
"Catrin Ekholm Lindqvist","Fabriksstigen 4
19073 Karlskrona"
"Alfred Svensson","Villavägen 5
18737 Piteå"
"Del Gustafsson","Ringgatan 40
88453 Uppsala"
"Elin Nilsson","Aspstigen 3
70689 Umeå"
"Solveig Lundkvist","Kyrkvägen 323
92101 Lund"
"Carina Sundberg","Backgatan 28
16574 Eskilstuna"
"Christel Sandin","Ringvägen 597
27149 Göteborg"
"Andreas Sköld","Ekvägen 976
87913 Karlskoga"
"Peter Andersson","Backgränd 3
36968 Östersund"
"Gunnar Blomqvist","Strandvägen 136
67942 Eskilstuna"
"Harriet Karlsson","Genvägen 0
59948 Gävle"
"Gerhard Vilhelmsson-Karlsson","Industrivägen 94
28224 Mölndal"
"Stig Holmberg","Aspgatan 519
40363 Karlskrona"
"Ingemar Öhman","Åkergränd 7
26798 Malmö"
"Olof Eriksson","Ekgatan 649
57956 Borlänge"
