"Aage Bach","Skindergade 267
5243 Vestbjerg" 
"Prof. Grete Andersen","Bred Allé 2
8728 Brøndby"
"Doris Iversen","Bergthorasgade 4
4604 Uldum"
"Ove Skov","Rebslagervej 249
6259 Allingåbro"
"Elna Dam","Lædergade 7
7261 Mariager"
"Fru Inger Østergaard","Dybendalsstræde 24
8656 Bjæverskov"
"Univ.Prof. Ragnhild Kjær","Hardangervej 4
3610 Føvling"
"Eric Kjær","Norges Allé 290
2260 Hammel"
"Zenia Jeppesen","Danneskiold-Samsøesvej 76
7531 Aalestrup"
"Einar Jørgensen","Æbelø Allé 4
4501 Galten"
"Dr. Jonathan Østergaard","Cumberlandsgade 9
6033 Store Fuglede"
"Gertrud Carlsen","Ragnhildvej 57
1228 Randers"
"Susanne Overgaard","Høsterkøbvej 5
5144 Rudkøbing"
"Winnie Poulsen","Ægirsvej 711
7991 Asaa"
"Elna Gregersen","Rugstræde 39
2766 Sakskøbing"
"Mathias Christensen","Sejrøvej 6
4086 Skibby"
"Hr Dan Nielsen","Suensonsstræde 184
3187 Ølstykke"
"Catrine Knudsen","Landfogedvej 3
3043 Sakskøbing"
"Univ.Prof. Stefan Rasmussen","Søndermarksvej 927
1584 Haderup"
"Hans Svendsen","Amalievej 94
7405 Randbøl"
"Univ.Prof. Dorte Toft","Nordhavnsstræde 4
7637 Kastrup"
"Esmarelda Bertelsen","Teglholm Tværvej 1
5984 Tørring"
"Simone Gregersen","Vestre Tegl Allé 1
8603 Rønnede"
"Ragnar Jakobsen","Sumatrastræde 686
3621 Jerup"
"Elsebeth Jørgensen","Svalehalestræde 455
7415 Klovborg"
"Michelle Dahl","Emdrup Mosestræde 9
7058 Ærøskøbing"
"Tonny Krogh","Møllegårdsgade 37
6470 Nakskov"
"Rita Lind","Bohlendachvej 4
3933 Brovst"
"Ruth Kjeldsen","Hamletsvej 76
8080 Klarup"
"Irma Pedersen","Egelykke Allé 218
1960 Asperup"
"Morten Jensen","Frejas Allé 936
6493 Tureby"
"Grete Hermansen","Bohlendach Allé 1
7882 Fakse"
"Univ.Prof. Nanni Johnsen","Irisvej 1
5694 Læsø"
"Rita Christiansen","Vester Allé 995
2474 Hjortshøj"
"Elsebeth Kristensen","Mørkhøj Allé 800
9598 Ålbæk"
"Cirkeline Mathiasen-Lauritsen","Jeppesvej 62
3544 Viborg"
"Esmarelda Krogh","Blytækkergade 81
7437 Jerslev"
"Fru Patricia Dam","Fremadsgade 603
7275 Hammel"
"Alf Schou-Paulsen","Stokhusgade 944
5086 Kerteminde"
"Finn Overgaard-Krogh","Händelsstræde 15
9111 Jerup"
"Kristian Sørensen","Østre Teglgade 640
8008 Tureby"
"Fru Josefine Holm","Grønnehavegade 351
1330 Havdrup"
"Clavs Lund","Kongo Allé 70
3193 Anholt"
"Frode Clausen","Hjortholmsgade 475
7450 Langå"
"Emil Andersen","Bisiddervej 964
4700 Gislev"
"Palle Frandsen","Havdrupvej 9
9924 Erslev"
"Dr. Britta Overgaard","Æblegade 43
5562 Læsø"
"Karoline Nielsen","Windsorvej 696
6136 Tølløse"
"Vivian Carlsen","Bredvej 21
3257 Smørum"
"Ernst Olsen","Morgenduggade 3
5488 Øster Assels"
"Hr Mikael Knudsen","Brofogedstræde 337
8360 Errindlev"
"Dr. Minna Brandt","Rørmosestræde 3
1400 Nyrup"
"Bo Olsen","Kongedybsgade 150
2483 Bredsten"
"Ib Steffensen","Sognefjords Allé 6
7555 Guldborg"
"Emil Bach","Kildebrønde Allé 4
8558 Strandby"
"Gitte Danielsen-Holm","Rothesvej 409
8503 Øster Assels"
"Prof. Frida Madsen","Artilleri Allé 996
9531 Årre"
"Nicoline Overgaard","Nordborgstræde 5
8397 Frederikshavn"
"Jeppe Bech-Thygesen","Ingrid Mariegade 9
3339 Højby"
"John Nissen","Scandiavej 944
8538 Martofte"
"Hr Jan Kristiansen","Lille Kongens Allé 4
2880 Hagersten"
"Minna Lassen","Sturlasvej 8
2327 Hvalsø"
"Tove Hermansen","Højdegade 464
9447 Blommenslyst"
"Univ.Prof. Cathrine Clausen","Rumæniensvej 1
8194 Hedehusene"
"Emil Jeppesen","Trøjborg Allé 442
4682 Ansager"
"Carina Nørgaard","Søndermarksvej 43
1986 Tappernøje"
"Univ.Prof. Kjeld Mikkelsen","Fruebjergvej 5
9193 Lunderskov"
"Dr. Signe Mortensen","Amager Strandstræde 80
5833 Hejls"
"Maiken Jessen-Larsen","Kongemarksvej 602
8961 Vestbjerg"
"Frede Gregersen","Byagergade 6
4491 Korsør"
"Cirkeline Karlsen","Strandlodsstræde 799
9408 Engesvang"
"Ulrik Jespersen","Fordresgård Allé 70
9267 Stenderup"
"Jon Eriksen-Friis","Nystedgade 1
3303 Flemming"
"Dr. Ronnie Nørgaard","Pomonastræde 84
3835 Løkken"
"Emil Klausen","Bartholinsvej 622
6570 Kongens Lyngby"
"Fru Olga Simonsen","Tjørnelunds Allé 598
4597 Vildbjerg"
"Dr. Morten Bech","Frilands Allé 613
1970 Toreby"
"Yannick Svendsen","Bogholder Allé 42
4500 Spenstrup"
"Hr Kenneth Nissen","Burmeistersvej 96
2469 Skagen"
"Prof. Kurt Lauridsen","Dalslandsstræde 4
7574 Gislinge"
"Jonas Petersen","Engblommevej 365
7607 Bjert"
"Katcha Toft-Laursen","Refshalestræde 1
1900 Tistrup"
"Zacharias Nilsson","Tovværkvej 243
1363 Lemvig"
"Karsten Karlsen","Rumæniensgade 92
9775 Kjellerup"
"Emilie Iversen","Drogdensvej 8
3119 Ulfborg"
"Karen Jessen","Grysgårdsstræde 788
7469 Skjern"
"Kirstin Lauritsen","Wiinbladsgade 3
8501 Skødstrup"
"Nanni Bruun","Vingård Allé 187
7665 Gentofte"
"Minna Koch-Bertelsen","Magisterstræde 275
1036 Harlev"
"Arne Søndergaard-Jensen","Dahlerupsstræde 9
5414 Thyborøn"
"Andrea Poulsen-Lassen","Præstegårdsvej 15
5468 Dianalund"
"Mik Steffensen-Berg","Dagmars Allé 28
5639 Søby Ærø"
"Holger Paulsen","Lindgreensvej 8
3724 Karby"
"Prof. Oskar Thorsen","Timiansgade 44
9774 Langeskov"
"Emilie Iversen-Dahl","Teglværks Allé 203
9486 Terndrup"
"Nana Knudsen","Esthersvej 45
6891 Vadum"
"Rolf Mogensen","Nordhavns Allé 427
2255 Ølgod"
"Birgitte Steffensen-Nielsen","Palægade 28
4191 Nørre Alslev"
"Casper Møller","Krimsstræde 6
4612 Stenløse"
"Stina Mogensen","Kjeldsgårdsvej 216
2451 Regstrup"
"Kurt Paulsen","Højdestræde 616
9495 Haderslev"
"Kirstin Clausen-Rasmussen","Følfodvej 576
5839 Bagsværd"
"Dr. Ulrike Iversen","Vendersvej 31
5744 Kibæk"
"Palle Eriksen-Olsen","Rubinolavej 924
2185 Nyrup"
"Emily Bech-Østergaard","Laksevej 92
6912 Birkerød"
"Sarah Jespersen-Jepsen","Enggade 8
8182 Aakirkeby"
"Jack Koch","Australiensstræde 89
5859 Slagelse"
"Bodil Thygesen","Etongade 9
1288 Føllenslev"
"Bobby Klausen","Roshagevej 26
9519 Hemmet"
"Dr. Majken Schou","Degnemosevej 17
2298 Tjæreborg"
"Gustav Bech","Saxovej 662
5407 Bedsted Thy"
"Karl Petersen","Sjællandsvej 2
2602 Frederiksværk"
"Laus Holst-Pedersen","Bjergmarksvej 300
2224 Stenløse"
"Dr. Laurits Schmidt","Obdams Allé 9
8191 Rude"
"Emily Madsen","Lundehusvej 3
8792 Fuglebjerg"
"Fru Stina Poulsen","Panums Allé 370
5635 Nyrup"
"Birger Klausen","Høgholtgade 64
5383 Brovst"
"Kim Thygesen","Stokhusvej 6
5421 Nykøbing M"
"Univ.Prof. Winni Gregersen","Lille Colbjørnsensvej 33
2729 Skovlunde"
"Prof. Thea Jørgensen","Folke Bernadottesvej 189
6033 Vemmelev"
"Lars Winther","Kongeæblevej 242
9594 Rudkøbing"
"Jasmin Mortensen-Petersen","Overbysvej 5
9577 Vadum"
"Dr. Frederik Møller","Spiræastræde 47
3427 Øster Ulslev"
"Karina Brandt","Minør Allé 161
3808 Spjald"
"Emma Skov-Winther","Trekløver Allé 74
6815 Hagersten"
"Frida Christiansen","Mutzuvej 9
4223 Rødvig Stevns"
"Gert Johansen-Bruun","Engblommestræde 716
9928 Vonge"
"Nicolaj Rasmussen","Dirchsvej 76
7460 Værløse"
"Dr. Benedikte Winther","Markskiftestræde 548
7506 Skodsborg"
"Dr. Nikolai Rasmussen","Stære Allé 98
4024 Nørresundby"
"Univ.Prof. Laus Toft","Mantua Allé 78
3263 Låsby"
"George Iversen","Røddingvej 8
4143 Haderup"
"Dr. Ole Frederiksen","Lakse Allé 837
3867 Glamsbjerg"
"Fru Agnete Steffensen","Dannebrogsgade 643
9018 Lunderskov"
"Eric Hermansen","Mimosagade 26
1585 Ejby"
"Mikael Schmidt","Amagerfælledgade 99
6851 Flemming"
"Prof. Margit Krogh","Meinungsgade 26
6858 Humble"
"Bodil Sørensen-Thygesen","Angelstræde 375
5807 Rødvig Stevns"
"Fru Katrine Toft","Suhmsvej 273
2902 Harboøre"
"Martin Danielsen","Sommersted Allé 47
5117 Ryslinge"
"Fru Rikke Thorsen","Langebrovej 9
5224 Augustenborg"
"Yvonne Larsen","Dronningens Tværvej 911
1780 Gjern"
"Freddy Schou","Panumsgade 531
1802 Gilleleje"
"Univ.Prof. Cecilie Overgaard","Ejderstedgade 2
2769 Skibby"
"Eric Paulsen","Etonvej 2
4453 Redsted"
"Prof. Pia Frederiksen","Weimarvej 514
6820 Nimtofte"
"Fru Margrethe Mogensen","Nordbanegade 8
7211 Oksbøl"
"Elias Dam","Arne Jacobsensgade 184
4511 Borup"
"Abelone Jeppesen","Orgelbyggergade 9
5639 Bramming"
"Kaspar Kristiansen","Skensvedgade 506
8096 Farum"
"James Østergaard","Bispebjergvej 571
5175 Harndrup"
"Yannick Nielsen-Olesen","Valby Langgade 8
6887 Bagenkop"
"Bente Jessen","Kampmannsstræde 8
6283 Auning"
"Prof. Øjvind Larsen","Ærtelandsstræde 528
1082 Dragør"
"Eric Rasmussen","Rumæniensstræde 108
1207 Idestrup"
"Astrid Pedersen","Bredvej 641
5370 Tranekær"
"Prof. Zehnia Jespersen","Vognborggade 334
2880 Hampen"
"Kirstin Andreasen","Skibelundgade 49
9109 Malling"
"Irma Danielsen-Andresen","Ahlefeldtsgade 652
7341 Blåvand"
"Camilla Hermansen","Rumæniensgade 665
5297 Jerslev"
"Mark Kjeldsen-Bruun","Klubiensgade 10
5257 Ebeltoft"
"Henry Dahl-Kristiansen","Irisgade 18
3179 Frørup"
"Prof. Helge Schou","Verasgade 9
1856 Måløv"
"Johanne Kjeldsen","Kampmannsstræde 73
4053 Kalvehave"
"Erik Holm","Ørhagegade 33
3822 Korsør"
"Kåre Thorsen","Hvidbjerggade 8
9680 Hellebæk"
"Dr. Ulrike Madsen","Broksøvej 3
9996 Mørkøv"
"Åge Carlsen-Johansen","Schacks Allé 684
5919 Asperup"
"Oda Klausen","Teglholms Allé 81
6706 Klippinge"
"Leif Thomsen","Fensmarkstræde 324
9546 Millinge"
"Lea Knudsen","Spanteloftgade 49
2153 Vodskov"
"Yvonne Eriksen","Klitmøllerstræde 7
9813 Gørløse"
"Einer Frandsen","Nøkkerosevej 180
6688 Ulfborg"
"Julie Thygesen","Grønnegade 3
6619 Bælum"
"Erik Toft","Erantisgade 269
8721 Karise"
"Ditte Nørgaard","Verdisstræde 263
7112 Svaneke"
"Ronni Koch","Husumstræde 3
6539 Lemming"
"Anette Mikkelsen","Skensvedgade 60
7647 Idestrup"
"Yrsa Bach","Ingerslevsvej 1
4678 Helsinge"
"Margrethe Dam-Danielsen","Gåsevej 973
4935 Børkop"
"Univ.Prof. Herdis Johansen","Ørnestræde 890
3019 Auning"
"Birgit Simonsen","Bomhusvej 57
5870 Millinge"
"Maya Thorsen","Store Strand Allé 437
2658 Skærbæk"
"Alexander Koch-Søndergaard","Overn Neden Vandetvej 408
6160 Væggerløse"
"Erling Christensen","Tudsemindevej 95
9762 Ringsted"
"Dr. Øystein Paulsen","Åbjerg Allé 6
6178 Fuglebjerg"
"Naja Olsen","Kilholmvej 196
1985 Dannemare"
"Ursula Jeppesen-Danielsen","Farvervej 161
8345 Ringsted"
"Marie Christensen","Enighedsvej 407
2066 Blommenslyst"
"Prof. Åse Mortensen","Thoravej 39
7002 Løsning"
"Benny Brandt","Egevej 21
2777 Grevinge"
"Lona Frandsen","Bjerregårdsgade 32
5965 Hemmet"
"Dr. Ruben Jakobsen","Tulipan Allé 706
8038 Gjern"
"Kenn Olsen","Raffinaderivej 96
5520 Rødding"
"Erling Johnsen-Berg","Burmeisters Allé 76
5939 Frederikssund"
"Nicoline Toft","Palermovej 7
4019 Farsø"
"Dr. Ruben Kristoffersen","Bohlendachgade 9
8492 Vanløse"
"Univ.Prof. Alexander Lauritsen","Ragna Allé 7
9792 Jyderup"
"Vera Jessen","Cox Orange Allé 532
6431 Errindlev"
"Univ.Prof. Jano Mathiesen","Händelsvej 4
4586 Ulfborg"
"Joakim Andersen","Hørtoftegade 16
4781 Brædstrup"
"Trine Johansen","Middelfartvej 29
6819 Hårlev"
"Erik Olesen-Schou","Parosstræde 741
9645 Bredsten"
"Filippa Simonsen","Skovløbergade 290
3290 Tjæreborg"
"Erna Andreasen","Værkstedvej 414
6265 Vamdrup"
"Villads Mathiesen","Struenseevej 26
6676 Odder"
"Per Poulsen-Clausen","Snorresvej 651
8626 Nørre Nebel"
"Bertil Bruun-Søndergaard","Badensgade 286
9921 Holte"
"Ragnar Thygesen","Silkeborgvej 801
1117 Nørresundby"
"Sussie Larsen","Ørhagevej 1
8419 Ørnhøj"
"Gert Dahl","Kaldæagade 787
7063 Søborg"
"Dr. Charlotte Frederiksen","Meinungsstræde 49
8694 Hasselager"
"Ludvig Christoffersen","Skagerrakgade 29
5302 Hadsten"
"Prof. Josefine Jessen","Himmerlands Allé 8
3190 Stenstrup"
"Erna Carlsen-Kjær","Karlslundevej 5
4321 Bogense"
"Zenia Kristensen","Bjerregårds Allé 29
1878 Haderup"
"Susanne Paulsen","Smyrnagade 340
5244 Solbjerg"
"Benny Johansen","Lerchenborgvej 745
5683 Viby J"
"Benjamin Klausen-Jespersen","Alsgade 8
7698 Bylderup-Bov"
"Prof. Jarl Gregersen","Brivej 3
5900 Birkerød"
"Lene Thomsen","Nelson Mandelasgade 225
5006 Sommersted"
"Prof. Dan Kjær","Monradsgade 402
4652 Skive"
"Dr. Gunnar Møller","Lindholmsvej 576
7191 Nørre Alslev"
"Joan Bach-Svendsen","Parosgade 84
5819 Kongens Lyngby"
"Erna Karlsen","Langebrovej 13
2388 Ruds Vedby"
"Regitze Hermansen-Østergaard","Bissensgade 8
6860 Tappernøje"
"Karl Lassen-Bech","Århusvej 26
4787 Vejle"
"Yasmin Berg","Danshøjgade 7
9038 Them"
"Nina Kjær","Ulrik Birchsvej 677
5896 Hanstholm"
"Univ.Prof. Janne Rasmussen","Rialtogade 177
2147 Øster Vrå"
"Jim Nilsson","Bangsbovej 121
7115 Ans by"
"André Poulsen","Palermostræde 8
5675 Tikøb"
"Nanni Andersen","Australiensvej 90
1634 Hundested"
"Dr. Nina Krogh","Mandelvej 3
5539 Åbyhøj"
"Erna Knudsen","Kvægtorvsvej 931
2016 Erslev"
"Joan Schultz","Ørhagestræde 8
5190 Outrup"
"Univ.Prof. Kurt Østergaard","Landskronavej 7
4176 Redsted"
"Karlo Hansen","Kildebrøndevej 8
4197 Løgumkloster"
"Hr Bob Holm","Holtegade 92
9310 Rynkeby"
"Ludvig Lauritsen","Nørre Voldgade 5
2045 Ugerløse"
"Emil Hansen","Høffdingsstræde 475
1213 Borre"
"Dennis Frederiksen","Masnedøgade 92
7518 Haderslev"
"Dr. Alvin Toft","Kraftværksvej 731
8341 Kolind"
"Univ.Prof. Lars Mortensen","Ørhagegade 804
6398 Kirke Hyllinge"
"Erna Lind","Nikolajvej 20
3113 Rynkeby"
"Prof. Erik Frederiksen","Fælledens Passagegade 9
7338 Viby Sjælland"
"Klara Gregersen","Bogtrykkergade 7
9170 Ølstykke"
"Ragnar Schou","Mårumstræde 35
1081 Mariager"
"Hr Åge Nilsson","Rostockvej 856
8979 Blåvand"
"Mette Olsen","Rughavestræde 8
5170 Hals"
"Univ.Prof. Sophie Toft","Grysgårdsvej 7
2929 Karlslunde"
"Prof. Hanne Iversen","Lundsvej 56
5129 Egtved"
"Univ.Prof. Odeline Sørensen","Ingrid Mariegade 261
8474 Barrit"
"Univ.Prof. Palle Thygesen","Kattingegade 4
8936 Ryslinge"
"Erna Lund-Hermansen","Saxovej 1
6820 Hvidovre"
"Alf Christensen","Livjægervej 5
3303 Kirke Eskilstrup"
"Josephine Christiansen","Møgeltøndervej 1
8368 Vig"
"Dr. Christian Lauritsen","Otto Bachesgade 697
8037 Støvring"
"Curt Kristoffersen","Skelmosevej 261
9245 Ulstrup"
"Univ.Prof. Sille Jeppesen","Spiræavej 2
5786 Ruds Vedby"
"Weena Jessen-Overgaard","Saxo Allé 579
5590 Kettinge"
"Prof. Åbjørn Jakobsen","Liselundgade 246
3668 Greve"
"Merethe Mikkelsen","Morgendugvej 625
9086 Ringe"
"Gyda Johnsen","Sofienhøjgade 1
5933 Langeskov"
"Erna Nielsen","Tullins Allé 7
3773 Skagen"
"Rosa Mathiesen","Refshale Allé 461
3871 Hadsund"
"Univ.Prof. Caroline Mortensen","Katrinedalsgade 547
2169 Holstebro"
"Oda Jespersen","Fehmernsgade 34
8856 Odder"
"Silas Johnsen-Schmidt","Spanteloftstræde 16
2425 Farum"
"Hr Hugo Lund","Nordrupvej 8
9758 Børkop"
"Patricia Brandt","Søndervangsgade 85
2928 Nexø"
"Morten Christoffersen","Gamle Vasby Allé 211
6728 Munke Bjergby"
"Mikkel Kristiansen","Nystedvej 62
9304 Jordrup"
"Jonna Iversen","Ruggade 68
2416 Janderup"
"Ernst Clausen","Borgbjergsgade 879
9851 Låsby"
"Vivian Hansen","Tømmergravsgade 27
8637 Nærum"
"Tonny Jensen-Kjær","Trekløvervej 812
7961 Karise"
"Univ.Prof. Stina Poulsen","Ahrenkildesgade 2
1686 Skibby"
"Carsten Nielsen-Mortensen","Nikolaj Allé 237
1282 Østermarie"
"Dr. Lona Nissen","Venneminde Allé 4
7596 Vejby"
"Lona Frederiksen-Lind","Amagervej 20
9185 Store Fuglede"
"Dr. René Danielsen","Haderslevgade 641
8119 Gørlev"
"Ruth Vestergaard","Ølandsvej 113
5187 Lundby"
"Prof. Regitse Gregersen","Vibekevej 696
8782 Ishøj"
"Ernst Holm","Stenosstræde 81
5536 Mårslet"
"Prof. Bruno Christoffersen","Stenmaglevej 8
2545 Store Fuglede"
"Nadia Karlsen","Svendsvej 141
7777 Løgstrup"
"Curt Dam","Musvågevej 4
8321 Haslev"
"Fru Janni Østergaard","Sorøgade 192
1457 Holsted"
"Hr Oskar Thomsen","Rothesvej 76
9440 Søborg"
"Esmarelda Larsen","C.F. Møllersvej 749
6500 Tappernøje"
"Timmy Overgaard","Mjøsensvej 35
9048 Errindlev"
"Univ.Prof. Stefan Nissen","Vanløse Byvej 78
6415 Skals"
"Fru Michala Lund","Ewaldsvej 477
7424 Øster Vrå"
"Ernst Lind-Bach","Malmøstræde 719
5353 Gram"
"Nikolai Jensen","Nikolajvej 2
1710 Århus"
"Øivind Mogensen","Arnesgade 1
9243 Rønde"
"Prof. Preben Dahl","Tersløsegade 13
7963 Bandholm"
"Dr. Gunhild Steffensen","Amagermotorenvej 29
3291 Tisvildeleje"
"Borris Jakobsen-Johansen","Esthersgade 86
7605 Hørve"
"Univ.Prof. Aage Jørgensen","Funkiastræde 7
9354 Holeby"
"Patricia Mathiasen","Glumsøvej 8
3988 Ullerslev"
"Peter Karlsen-Kristensen","Ullerupvej 3
7216 Solbjerg"
"Johannes Lauritsen","Gråspurvegade 294
2464 Guldborg"
"Esben Pedersen","Fladstjernegade 6
4895 Jægerspris"
"Frida Møller","Borneo Allé 6
6194 Søllested"
"Hr Kaspar Kristiansen","Knivholtvej 45
2204 Ringkøbing"
"Tim Vestergaard","Mellemtoftevej 8
7106 Mesinge"
"Hr Ragner Paulsen","Hemsedalsvej 252
5900 Nørreballe"
"Steen Clausen","Bremensvej 4
7398 Gudhjem"
"Michael Christoffersen","Formosavej 59
3191 Strøby"
"James Andresen","Siamvej 40
9280 Henne"
"Paulina Jessen-Laursen","Vestre Kirkegårds Allé 860
2721 Ulstrup"
"Malthe Kristoffersen","Hyacintstræde 191
3620 Martofte"
"Esben Poulsen","Eckersbergsstræde 281
5091 Haderup"
"Hr Matthias Bech","Heldbostræde 790
3639 Hals"
"Ken Pedersen","Gåse Allé 31
3355 Søllested"
"Claus Berg","Kæmnervej 82
7113 Marslev"
"Dr. Ragnar Frederiksen","Lilliendals Allé 997
6118 Stenløse"
"Emma Nilsson","Hagestedvej 54
8453 Østermarie"
"Jan Gregersen","Stockholmsgade 5
9772 Aulum"
"Dr. Selma Koch","Eriksstræde 9
1721 Engesvang"
"Sonja Brandt","Himmerlandsgade 452
1593 Henne"
"Christian Frandsen","Hirsegade 56
8741 Spøttrup"
"Esmarelda Frederiksen","Bremensgade 8
6333 Vissenbjerg"
"Mogens Møller","Holsteinborgvej 86
3087 Kongens Lyngby"
"Univ.Prof. Brian Knudsen","Florens Allé 31
3642 Kolding"
"Univ.Prof. Viola Lund","Gladiolusvej 793
5600 Dianalund"
"Børge Hansen","Gamle Vasbyvej 94
9691 Løgumkloster"
"Fru Lona Jacobsen","Cumberlandsvej 68
5379 Anholt"
"Leif Dahl","Margretheholmsvej 91
6123 Allinge"
"Jenny Overgaard","Straussgade 80
3838 Høng"
"Mikkel Møller","Højsagergade 315
2650 Skanderborg"
"Martin Lauritsen","Bulbjerg Allé 479
9400 Ringe"
"Esmarelda Knudsen","Bellahøjstræde 9
3385 Gørløse"
"Abelone Thorsen-Thorsen","Tøjmestervej 13
3392 Nakskov"
"Prof. Marianne Andersen","Astrupgade 6
5151 Kastrup"
"Nikolai Lind","Vildandestræde 623
2207 Bjert"
"Elsebeth Mogensen","Isafjords Allé 79
6085 Munkebo"
"Yrsa Mogensen","Store Kongensgade 9
7216 Hundslund"
"August Thygesen","Grækenlandsgade 5
4328 Langå"
"Niels Petersen","Gertsvej 57
9555 Bryrup"
"Thomas Dahl","Sognefjordsvej 916
7534 Randbøl"
"Stina Andersen","Valby Torvevej 1
1605 Odense"
"Esmarelda Larsen-Jespersen","Tomsgårdsvej 90
7989 Frederikshavn"
"Katja Lassen","Pilegade 343
1794 Tarm"
"Doris Rasmussen","Sadelmagervej 83
6224 Ry"
"Dr. Anna Frederiksen","Hastingsstræde 225
8453 Viby J"
"Prof. Ziggy Nørgaard","Gartnervej 306
4529 Blommenslyst"
"Frans Mogensen-Thorsen","Torvegade 36
1357 Hirtshals"
"Catrine Bach","Tårnblæservej 1
6809 Balle"
"Dagmar Iversen","Smørumvej 7
4645 Trustrup"
"Mike Søndergaard","Bratskovgade 1
3075 Rødovre"
"Berit Christensen","Lergravsvej 85
2679 Hørning"
"Esmarelda Simonsen-Schmidt","Wittenbergvej 61
1304 Brøndby Strand"
"Bob Jakobsen","Kongsdalgade 194
6816 Auning"
"Mette Poulsen","Toftøjestræde 35
3137 Hedehusene"
"Jean Danielsen","Engskiftevej 271
8276 Ålsgårde"
"Tina Nørgaard","Odins Tværgade 24
2402 Ølsted"
"Simon Jacobsen","Nokken Strandgade 113
4678 Stenstrup"
"Lars Thorsen","Pragtstjernevej 976
7237 Vodskov"
"Katcha Holst","Farvergade 135
3307 Holstebro"
"Yan Jensen","Kornerupstræde 2
1433 Vejle"
"Prof. Ragna Holm","Udbyvej 3
9394 Vallensbæk Strand"
"Esmarelda Vestergaard","Kroghsgade 429
3633 Charlottenlund"
"Lene Andreasen","Teglholmsgade 489
6576 Frederiksværk"
"Berta Lassen","Hornemans Allé 391
3898 Odder"
"Dr. Birthe Laursen","Romsø Allé 454
4718 Mørke"
"Rita Østergaard","Nokken Hovedngade 85
3397 Føvling"
"Fru Katrine Østergaard","Stavangergade 7
3362 Skjern"
"Pia Johansen-Jensen","Omøgade 963
7588 Sønder Omme"
"Hr Frederik Koch","Lindegade 5
6352 Skanderborg"
"Prof. Johan Mortensen","Strødamvej 71
4898 Outrup"
"Dr. Vagn Petersen","Rantzaus Allé 343
2945 Hejls"
"Ester Christensen","Venedigvej 15
4427 Harboøre"
"Nete Toft-Bach","Rostockstræde 9
6932 Nykøbing M"
"Winnie Frandsen","Nordre Fasanvej 171
9707 Janderup"
"Filippa Nielsen-Jakobsen","Thorshavnsgade 315
3235 Hundslund"
"Joachim Jeppesen","Lejregade 14
1875 Beder"
"Timmy Thomsen","Horserødvej 9
4783 Hemmet"
"Casper Skov","Ærtebjergvej 8
8263 Mørkøv"
"Ronny Mikkelsen","Hamletsstræde 920
1563 Årre"
"Hugo Jeppesen-Bertelsen","Rønnevej 67
5264 Stege"
"Gundhild Kristoffersen","Bragesstræde 92
5531 Bedsted Thy"
"Ester Jepsen-Friis","Valnøddegade 192
8252 Hjørring"
"Jens Rasmussen","Store Kirkevej 8
4168 Hellerup"
"Ole Madsen","Vilhelm Thomsensgade 77
7730 Løgumkloster"
"Ida Lauritsen","Kirsteinsvej 97
2355 Bjæverskov"
"Klara Petersen","Frederikssundsvej 9
3714 Brabrand"
"Dr. Arne Friis","Øster Søvej 1
1466 Holte"
"Vera Winther","Rodosgade 5
4565 Vestbjerg"
"Palle Kjær-Sørensen","Statholdervej 80
6914 Bogense"
"Ida Paulsen","Jernæble Allé 4
6744 Tørring"
"Boe Carlsen","Stære Allé 851
1674 Hasle"
"Ester Jespersen","Jorisgade 1
6383 Rønde"
"Silas Vestergaard-Larsen","Kongelundsvej 43
1352 Hadsund"
"Øystein Johnsen","Lyrskovvej 4
2767 Vemmelev"
"Hjalte Holst-Andersen","Heisesgade 12
6007 Skodsborg"
"Yda Berg-Brandt","Købmagervej 45
3619 Aalborg"
"Prof. Einer Schultz","Laksevej 776
2046 Svinninge"
"Sara Paulsen","Ravneholmsvej 67
3575 Vissenbjerg"
"Univ.Prof. Johnnie Henriksen","Torfavej 30
6102 Erslev"
"Prof. Ragner Johnsen","Faksestræde 8
6012 Løkken"
"Prof. Berta Steffensen","Nelson Mandelasgade 87
6753 Ugerløse"
"Ester Svendsen","Venediggade 6
6936 Højer"
"Prof. Beth Clausen","Tårnholmsvej 2
7350 Nørre Aaby"
"Georg Iversen","Storegårdsstræde 457
8065 Videbæk"
"Ulf Nilsson","Nikolajgade 8
2425 Snekkersten"
"Univ.Prof. Else Schou","Faksingestræde 445
8825 Frøstrup"
"Mimi Jespersen","Bodilsvej 313
4725 Engesvang"
"Univ.Prof. Rolf Bertelsen","Norgesgade 94
6903 Gadstrup"
"Annemette Schultz","Sokkelundsgade 878
8855 Rudkøbing"
"Sussie Jessen","Hammerensvej 766
6909 Hørve"
"Berta Olesen","Kronprinsessevej 47
8379 Erslev"
"Ester Søndergaard","Takkeladsgade 8
1607 Arden"
"Merethe Winther","Ingerslevsvej 196
9965 Nakskov"
"Ragnhild Mathiesen","Gåseurt Allé 709
2017 Snekkersten"
"Lene Andersen","Spangbergsvej 1
7016 Skibby"
"Leonora Klausen-Winther","Overbysvej 452
5017 Helsingør"
"Philip Bech","Scandiagade 86
5394 Vedbæk"
"Karsten Mortensen-Andersen","P.D. Løvsvej 9
7691 Hampen"
"Prof. Sigrid Møller","Edelsmindevej 252
4029 Ranum"
"Gyda Nørgaard","Eskadrevej 2
7781 Randers"
"Frida Jepsen","Glostervej 95
3662 Rødovre"
"Filippa Andreasen","Hvidtjørne Allé 73
2878 Stenstrup"
