"Aage Christiansen"	"Vognmagervej 581
9515 Flemming" 
"Prof. Sonny Rasmussen"	"Bådsmandsvej 278
5279 Gelsted"
"Anna Nørgaard"	"Kirkebjerggade 2
1940 Tisvildeleje"
"Olivia Koch"	"Clematis Allé 266
1966 Rødovre"
"Hr William Simonsen"	"Holtegade 1
5370 Store Merløse"
"Lona Hermansen"	"Guldagerstræde 391
1610 Liseleje"
"Asta Christiansen"	"Lotusvej 9
2964 Almind"
"Freja Simonsen"	"Rosenvængets Allé 92
9363 Søby Ærø"
"Paw Mikkelsen"	"Koldingvej 85
9010 Martofte"
"Sara Madsen"	"Stadfeldtsvej 9
3374 Kibæk"
"Daniella Kjær-Møller"	"Linnésvej 90
2452 Aarup"
"Univ.Prof. Kristine Bach"	"Oceanvej 9
7806 Thyholm"
"Prof. Benjamin Sørensen"	"Jena Allé 1
1707 Kongens Lyngby"
"Simon Simonsen"	"Asminderødvej 9
7836 Rødkærsbro"
"August Mikkelsen"	"Arendalsgade 11
9294 Ruds Vedby"
"Ronnie Jessen-Hansen"	"Mysundevej 1
7747 Flemming"
"Asta Christoffersen"	"Rugagergade 47
2042 Haslev"
"Mille Jespersen-Lind"	"Theisstræde 99
2892 Sørvad"
"Univ.Prof. Sille Hermansen"	"Tårnholmsvej 94
5870 Hellerup"
"Frans Andreasen-Holm"	"Bogenæsvej 325
2465 Stenlille"
"Signe Lind"	"Bremensgade 5
9552 Ruds Vedby"
"Univ.Prof. Leif Overgaard"	"Amager Strand Allé 18
9928 Uldum"
"Ebbe Christiansen"	"Tustrupvej 90
8169 Mesinge"
"Kåre Nørgaard"	"Prisholmvej 7
5308 Bjæverskov"
"Rikke Hermansen"	"Spanteloftgade 580
7568 Glamsbjerg"
"Ivan Mortensen"	"Tustrup Allé 94
7104 Give"
"Asta Kristiansen"	"Karensgade 69
1096 Herfølge"
"Liva Eriksen-Thygesen"	"Skyttevej 58
5356 Årre"
"Ida Vestergaard-Krogh"	"Næstved Allé 2
2869 Bredebro"
"Prof. Johanne Møller"	"Agerlands Allé 6
7164 Idestrup"
"Janne Nissen-Petersen"	"Carls Allé 10
6731 Herlev"
"Caroline Iversen"	"Kielstræde 17
3495 Gandrup"
"Birger Christensen"	"Nærumgade 6
6256 Borup"
"Hr Frede Sørensen"	"Tåstrupgade 26
9292 Store Fuglede"
"Ida Ravn"	"Delosvej 33
1096 Herfølge"
"Cathrine Nørgaard"	"Cypernsstræde 3
9471 Vojens"
"Astrid Jacobsen"	"Gormsvej 951
9333 Odense"
"Stine Jørgensen"	"Bechgaards Allé 5
8129 Slagelse"
"Hannah Bech"	"Magdelone Allé 602
9010 Ulstrup"
"Prof. Jacobine Bruun"	"Ågerupstræde 386
4131 Ringsted"
"Dr. Stephan Petersen"	"Toftegårdsgade 8
8427 Hjallerup"
"Bo Mikkelsen"	"Kronborgvej 6
1111 Branderup"
"Einar Thygesen-Olsen"	"Bohrsvej 872
4908 Frederikshavn"
"Clara Friis"	"Rentemestergade 46
9361 Bøvlingbjerg"
"Fru Sara Jørgensen"	"Estlandsgade 6
5930 Munke Bjergby"
"Benedicte Mathiesen"	"Langeliniestræde 3
4418 Aarup"
"Astrid Mogensen"	"Rørsangergade 90
9716 Bredsten"
"Tom Jepsen"	"Fanøgade 4
6923 Brønshøj"
"Dr. Hjalte Karlsen"	"Sadelmagerstræde 43
5123 Almind"
"Odette Nørgaard-Schou"	"Malmøvej 1
1988 Vandel"
"Malou Holm"	"Tjørnevej 38
4728 Viuf"
"Regitze Kristiansen-Thomsen"	"Kærskiftegade 923
9432 Dalby"
"Kristine Steffensen"	"Ekvipagemesterstræde 616
4894 Bjert"
"Randi Klausen"	"Meinungsgade 85
3179 Fuglebjerg"
"Connie Christoffersen-Christensen"	"Østerbrogade 27
1818 Mesinge"
"Beth Christensen-Mathiesen"	"Estlandsvej 91
5833 Dalby"
"August Christensen"	"Athensvej 6
7091 Bagsværd"
"Ebbe Karlsen"	"Kansasvej 4
5212 Vester Skerninge"
"Hr Oskar Nielsen"	"Tårnblæsergade 69
9727 Tølløse"
"Gerda Christiansen-Frederiksen"	"Paradisæble Allé 79
6457 Toftlund"
"Mads Andreasen"	"Lille Farimagsgade 282
2515 Liseleje"
"Leif Nilsson"	"Lykkebostræde 41
8421 Jordrup"
"Ron Hansen"	"Adrians Allé 15
5222 Sønderborg"
"Stefan Jakobsen-Mathiesen"	"Glænøvej 1
5538 Juelsminde"
"Hr Arne Olsen"	"Hambrosvej 21
1364 Nørre Snede"
"Kjeld Karlsen"	"Landsdommerstræde 1
8743 Sønder Omme"
"August Christensen-Lind"	"Spanteloft Allé 18
2618 Kolding"
"Fru Mathilde Lind"	"Næsbyholmgade 9
6342 Padborg"
"Dr. Erling Toft"	"Ørholm Allé 7
7439 Thorsø"
"Ebbe Brandt"	"Bomsluttergade 206
1714 Torrig"
"Laura Clausen"	"Billesborgvej 36
7106 Skals"
"Anna Mathiasen"	"Lyngholm Allé 5
2768 Holte"
"Cirkeline Andersen"	"Flinterupvej 86
9889 Højer"
"Mikkel Brandt"	"Hindustanvej 979
7130 Sakskøbing"
"Dr. Bitten Bertelsen"	"Skotterupgade 9
7793 Virum"
"Mille Henriksen"	"Eriksgade 293
4517 Erslev"
"August Eriksen-Nissen"	"Vibekevej 967
9116 Borre"
"Hr Niels Frandsen"	"Windsorgade 8
7349 Nykøbing Sj"
"Tage Andresen-Lund"	"Gammel Kongegade 1
6421 Guldborg"
"Steve Bruun"	"Højstrupvej 973
1242 Trustrup"
"Sebastian Andresen"	"Alexandriavej 709
7811 Ejby"
"Prof. Johan Poulsen"	"Lyngbygade 47
1159 Munkebo"
"Katrine Mathiesen"	"Soltoftegade 646
1644 Martofte"
"Benedikte Thomsen"	"Rejsby Allé 38
6942 Odense"
"Lotte Petersen"	"Markskiftevej 3
5014 Ulfborg"
"Prof. Nicolaj Bech"	"Stenderupgade 1
4975 Sønder Felding"
"Benedicte Jespersen-Olesen"	"Hellestedgade 143
1088 Ruds Vedby"
"Hr Ragnar Dam"	"Samos Allé 7
1208 Vallensbæk Strand"
"Daniel Schmidt-Carlsen"	"Haraldsvej 9
2948 Sønder Stenderup"
"Jarl Mathiasen-Winther"	"Nordrupgade 4
2420 Sakskøbing"
"Ib Jepsen"	"Vejrøvej 88
3823 Nexø"
"Nete Møller"	"Willumsvej 986
1460 Nakskov"
"Hr Claus Gregersen"	"Murmanskvej 2
9156 Store Merløse"
"Hr Kaspar Dahl"	"Visbygade 519
2824 Bagsværd"
"Pernille Jacobsen"	"Fruebjergstræde 812
8801 Jægerspris"
"Dr. Gert Overgaard"	"Fensmarkstræde 9
9207 Skovlunde"
"Benedicte Nilsson"	"Søflygade 626
5493 Ulfborg"
"Ernst Friis"	"Frederiksborgvej 784
9762 Saltum"
"Ditte Thorsen"	"Moldaugade 6
9254 Oksbøl"
"Josefine Thorsen-Thomsen"	"Dagmarsgade 2
8970 Thisted"
"Daniella Lauritsen"	"Lerfosvej 914
9114 Helsinge"
"Univ.Prof. Bjarne Thorsen"	"Hovmestervej 42
8300 Vestbjerg"
"Univ.Prof. Lærke Christensen"	"Svendsvej 7
7519 Fårevejle"
"Birger Schultz"	"Glasvej 233
2064 Møldrup"
"Oscar Kristoffersen"	"Valhalsgade 48
7634 Bylderup-Bov"
"Prof. Kenn Nielsen"	"Ravneholmsvej 227
6131 Hørning"
"Benedikte Bertelsen-Nørgaard"	"Hemsedalsvej 13
8267 Svebølle"
"Poul Gregersen"	"Vesterbrovej 465
1679 Greve"
"Univ.Prof. Kristine Bruun"	"Armeniensvej 200
4883 Gudbjerg"
"Dina Holst-Frandsen"	"Hovmål Allé 4
7832 Tølløse"
"Prof. Henry Nilsson"	"Tibirkestræde 93
7394 Vejers Strand"
"Ziggy Madsen"	"Jyllingestræde 7
9116 Strandby"
"Michala Jakobsen"	"Æbeløgade 912
5675 Liseleje"
"Ruben Lauridsen"	"Gørtlervej 73
1275 Stakroge"
"Ulf Karlsen-Jakobsen"	"Stenlandsgade 14
9853 Slangerup"
"Gitte Thorsen"	"Møgeltøndergade 91
2998 Mesinge"
"Benedikte Danielsen-Paulsen"	"Korsvej 84
3893 Føvling"
"Prof. Ragna Ravn"	"Vibe Allé 921
3552 Aakirkeby"
"Marie Koch"	"Eschrichtsvej 7
7140 Pandrup"
"Jørgen Andersen-Svendsen"	"Søflygade 3
6955 Bryrup"
"Signe Poulsen"	"Willums Allé 89
4460 Årre"
"Winni Jensen"	"Thorshavnsvej 945
9768 Grevinge"
"Øivind Bertelsen"	"Sparta Allé 6
8944 Møldrup"
"Philip Holst"	"Agnetevej 82
1135 Skodsborg"
"Karen Karlsen"	"Nøkkerosevej 324
7176 Aabenraa"
"Dr. Asger Krogh"	"Ramsingsvej 73
1048 Stubbekøbing"
"Benjamin Jensen-Henriksen"	"Havsgårdsvej 2
3295 Gedved"
"Hr Gunner Nilsson"	"Rosenholms Allé 39
2940 Jordrup"
"Dr. Malou Koch"	"Norgesmindegade 117
6915 Mørkøv"
"Jean Østergaard"	"Tjørnelundsgade 5
1285 Jordrup"
"Heidi Frederiksen-Madsen"	"Hjelmsvej 81
6783 Vissenbjerg"
"Agnete Kjeldsen"	"Nordfeldvej 57
4434 Nakskov"
"Ronni Toft"	"Hvidkløvergade 647
5610 Tikøb"
"Fru Isabella Østergaard"	"Klubiensstræde 93
1900 Ørum Djurs"
"Danny Bach-Nilsson"	"Letlandsgade 954
4152 Tikøb"
"Andrea Holst"	"Venders Allé 819
3938 Janderup"
"Benjamin Johansen-Lauridsen"	"Drogdensgade 293
3677 Gørløse"
"Prof. Torben Henriksen"	"Thingvallagade 907
8747 Gørlev"
"Fru Asta Rasmussen"	"Mellemfortsstræde 6
2269 Rudkøbing"
"Inger Petersen"	"P.D. Løvsstræde 528
4962 Hørve"
"Fru Natasja Koch"	"Kirkebjergvej 7
3521 Henne"
"Clavs Jespersen-Mathiesen"	"Vejrøvej 9
4083 Karlslunde"
"Prof. Ida Bertelsen"	"Svanemølle Allé 1
4049 Vejby"
"Flemming Thorsen-Toft"	"Femkløvergade 319
4478 Svendborg"
"Hanne Johnsen-Larsen"	"Hovgaardsvej 526
1217 Tønder"
"Rikke Overgaard"	"Mosedalgade 61
4576 Harpelunde"
"Benjamin Johnsen"	"Fenrisgade 96
6253 Ørbæk"
"Børge Mathiesen"	"Ålekistestræde 345
5165 Skjern"
"Prof. Olga Klausen"	"Tårnhusgade 176
4386 Klarup"
"Prof. Nikolaj Hermansen"	"Nyrnbergvej 459
2260 Millinge"
"Univ.Prof. Julius Ravn"	"Greisvej 8
2883 Høng"
"Prof. Birthe Kristiansen"	"Ramsingsgade 43
2754 Gørlev"
"Nick Kjeldsen"	"Postholder Allé 94
7852 Daugård"
"Jacob Frederiksen-Lind"	"Klosterstræde 4
7455 Karrebæksminde"
"Fru Ella Poulsen"	"Kapelstræde 2
4058 Ørnhøj"
"Annemette Hermansen"	"Vestmanna Allé 3
4544 Torrig"
"Benjamin Toft"	"Christianshavns Voldstræde 12
2977 Strøby"
"Valdemar Christiansen"	"Hansstedvej 630
6847 Thorsø"
"Dr. Bente Dahl"	"Søndervigstræde 6
6077 Gråsten"
"Hr Rune Lund"	"Skaffervej 89
1187 Læsø"
"Univ.Prof. Casper Nielsen"	"Reberbanevej 407
8901 Ejstrupholm"
"Jannie Berg"	"Fuglagergade 14
9227 Thyholm"
"Tove Kristoffersen"	"Lejregade 5
5639 Herlev"
"Johannes Knudsen"	"Tartinisvej 339
5467 Give"
"Dr. Karl Holm"	"Jagtgade 3
3272 Brønderslev"
"Verner Skov"	"Sixtus Allé 11
9627 Svinninge"
"Benny Iversen"	"Bjernede Allé 79
7527 Odense"
"Yasmin Friis"	"Jeppesvej 2
4136 Sønder Stenderup"
"Esmarelda Winther"	"Syriensstræde 578
4946 Bindslev"
"Prof. Janne Koch"	"Støbegods Allé 56
5054 Borre"
"Nina Østergaard"	"Svendborgvej 30
7295 Hellerup"
"Øjvind Carlsen"	"Skovstjernevej 8
9098 Toftlund"
"Gyda Bach"	"Kinavej 316
9376 Padborg"
"Christopher Skov"	"Slotsholmsgade 83
9161 Hanstholm"
"Dagmar Møller"	"Venneminde Allé 3
8635 Rønde"
"Flemming Thorsen"	"Nybovej 518
8790 Bevtoft"
"Benny Lind"	"Donauvej 3
2599 Mørkøv"
"Karla Holm"	"Rørholmsgade 184
2894 Havndal"
"Åbjørn Thorsen"	"Reykjaviksstræde 3
3378 Skælskør"
"Prof. Merethe Eriksen"	"Küchlers Allé 4
3383 Bolderslev"
"Carsten Svendsen"	"Persillestræde 45
9287 Ølgod"
"Prof. Nanna Jepsen"	"Agerlands Allé 202
7489 Rørvig"
"Bo Madsen"	"Moldau Allé 7
9098 Odder"
"Borris Svendsen-Krogh"	"Håbetsgade 828
6361 Klampenborg"
"Camilla Larsen-Schmidt"	"Hallinsgade 1
2473 Langeskov"
"Tommy Johnsen-Winther"	"Webersvej 9
3064 Otterup"
"Benny Schou"	"Nordre Kongelundsvej 580
8442 Blokhus"
"Fru Nicoline Lauridsen"	"Asylvej 20
9718 Aars"
"Anna Møller"	"Drejøvej 3
9668 Dannemare"
"Anton Jeppesen"	"Angelstræde 343
2748 Ølstykke"
"Stine Møller"	"Weidekamps Allé 38
4221 Slangerup"
"Margrethe Bech"	"Nøjsomhedsvej 5
5880 Glejbjerg"
"Trine Vestergaard"	"Horsekildevej 543
4569 Mårslet"
"Dr. Sille Carlsen"	"Hammelstrupvej 22
8531 Tarm"
"Prof. Zahra Brandt"	"Sadelmagerstræde 141
7080 Tranekær"
"Sonja Thygesen-Christoffersen"	"Landskronagade 5
7238 Sabro"
"Bent Andreasen"	"Oldenborgvej 3
9633 Skamby"
"Yngve Andresen"	"Gyldenløvesvej 1
3832 Grenaa"
"Kjeld Kjeldsen"	"Nordrupstræde 645
2654 Læsø"
"Stig Svendsen-Nørgaard"	"Bergthorasgade 1
3959 Aabybro"
"Alma Larsen"	"Hessens Allé 241
1771 Hornbæk"
"Yrsa Krogh"	"Karlslundevej 23
8417 Oure"
"Sabine Bech"	"Tustrupvej 24
7251 Gandrup"
"Marcus Nørgaard-Madsen"	"Snorresvej 8
6373 Bording"
"Gerda Brandt"	"Jernbanevej 23
6668 Bjert"
"Jesper Jacobsen"	"Fussingsvej 98
1628 Jelling"
"Bent Dahl"	"Collinsgade 309
3432 Hillerød"
"Fru Ursula Christensen"	"Elværksvej 30
3426 Årre"
"Winni Ravn"	"Rumæniens Allé 549
4629 Greve Strand"
"Grete Danielsen"	"Svendsgade 2
5774 Grindsted"
"Jonathan Mogensen"	"Markmandsvej 442
6520 Bogense"
"Heidi Christiansen"	"Edel Sauntesvej 2
9624 Lintrup"
"Steen Sørensen"	"Signelilvej 41
2530 Vils"
"Mille Ravn-Sørensen"	"Bogholdervej 3
2000 Ørbæk"
"Karin Toft-Kjeldsen"	"Bogfinkevej 2
8551 Skørping"
"Emily Mortensen-Lund"	"Degneæblegade 989
6020 Gedsted"
"Bent Hansen"	"Rådvadsstræde 796
1342 Brørup"
"Børge Bach"	"Møgeltønder Allé 137
7869 Næstved"
"Bodil Mortensen"	"Hindegade 6
2390 Skærbæk"
"Georg Andreasen"	"Århusgade 366
9592 Øster Assels"
"Univ.Prof. Ernst Jepsen"	"Kasematgade 32
5422 Mesinge"
"Univ.Prof. Kjeld Lauritsen"	"Trapsvej 9
4983 Nakskov"
"Oskar Winther"	"Hørhus Allé 476
1665 Hundslund"
"Birte Andresen"	"Holstebro Allé 3
8449 Morud"
"Georg Johnsen"	"Stenkløvervej 253
9236 Allinge"
"Univ.Prof. Janne Thorsen"	"Eskildstrupvej 1
8825 Svinninge"
"Bent Johansen"	"Montagehalsgade 38
6445 Skævinge"
"Stefan Lund"	"Toftebakke Allé 45
8697 Mørke"
"Birger Møller"	"Lemberggade 587
7293 Assens"
"Prof. Margrethe Olesen"	"Ørholmvej 638
2093 Løsning"
"Ivan Hansen"	"Arne Jacobsensvej 929
4994 Skodsborg"
"Prof. Zelma Brandt"	"Elbavej 2
3414 Kirke Eskilstrup"
"Hr Lucas Nilsson"	"Amager Strandvej 9
6251 Tølløse"
"Fru Edith Skov"	"Valkyrievej 95
4548 Aabybro"
"Allan Hermansen"	"Murmanskvej 483
4685 Kolind"
"Prof. Curt Rasmussen"	"Saltøgade 88
2942 Risskov"
"Bent Laursen"	"Æbeløvej 802
2768 Toftlund"
"Kristina Schou"	"Højdevangsstræde 8
9458 Jægerspris"
"Beth Frandsen"	"Istanbulstræde 8
1899 Videbæk"
"Ronja Skov"	"Fjenneslev Allé 91
9986 Rude"
"Fru Hannah Christiansen"	"Ålekistevej 524
2571 Veksø Sjælland"
"Laus Nielsen"	"Kretagade 6
6010 Them"
"Henriette Poulsen"	"Dunhammerstræde 4
8603 Skibby"
"Simon Carlsen-Bech"	"Haydnsvej 7
5016 Karup"
"Ragnar Koch"	"Nøragerstræde 22
8581 Bjæverskov"
"Søs Jensen"	"Hellelidenvej 73
2006 Snekkersten"
"Bent Toft-Madsen"	"Ledagervej 7
7496 Langå"
"Gertrud Frederiksen"	"Femkløver Allé 74
4115 Ans by"
"Søs Schultz-Poulsen"	"Kaldæagade 70
3859 Bylderup-Bov"
"Åse Mogensen"	"Strandgade 9
6633 Jelling"
"Univ.Prof. Emily Schou"	"Bulgariensgade 3
2938 Nørre Snede"
"Aksel Nilsson"	"Livøvej 8
7296 Holstebro"
"André Brandt-Jessen"	"Boldhusgade 52
5179 Vejle Øst"
"Prof. Mille Vestergaard"	"Lillestræde 89
3336 Jyderup"
"Stina Iversen-Johnsen"	"Portlandsstræde 63
9436 Stenlille"
"Ørni Eriksen"	"Enebærgade 844
3028 Hasselager"
"Bente Friis"	"Gyldenløvesvej 1
9414 Hvalsø"
"Tobias Jeppesen"	"Skyttevej 920
8075 Dianalund"
"Svenning Karlsen"	"Strand Allé 77
8804 Stege"
"John Frederiksen"	"Tølløsevej 481
6954 Vedbæk"
"Clavs Jepsen"	"Stratfordvej 75
4089 Dalmose"
"Mie Brandt"	"Borrebyvej 9
1788 Sabro"
"Dr. Hjalte Lauritsen"	"Nelson Mandelas Allé 442
5228 Skårup"
"Dr. Yannick Jeppesen"	"Højdevangsstræde 732
6894 Haslev"
"Prof. Søs Andreasen"	"Skibelundvej 88
7566 Gadbjerg"
"Mogens Holm-Christiansen"	"Blushøjgade 67
2280 Lundby"
"Benthe Kristensen-Vestergaard"	"Landvindingsstræde 374
8834 Bevtoft"
"Karoline Lund-Frandsen"	"Katrinedalsgade 295
1227 Askeby"
"Jean Olesen"	"Toftegårdsvej 943
6336 Brenderup"
"Ida Kjeldsen"	"Spontinisgade 202
6126 Otterup"
"Univ.Prof. Allan Overgaard"	"Samosgade 5
4771 Tappernøje"
"Prof. Victoria Lassen"	"Agnetegade 9
2997 Dalmose"
"Fru Elin Paulsen"	"Rævevej 643
5962 Holme-Olstrup"
"Lasse Holm"	"Øresundsmotorenvej 98
1090 Nærum"
"Yasmin Krogh-Clausen"	"Skyttegårdvej 54
2206 Kettinge"
"Ronnie Lauritsen"	"Gadstrupvej 725
9040 Arden"
"Berit Lund"	"Byagervej 216
3090 Spøttrup"
"Dr. René Dam"	"Christian II's Allé 444
4027 Søby Ærø"
"Dr. Sonja Berg"	"Østrigsgade 8
5379 Føvling"
"Poul Koch"	"Turesensgade 33
2106 Ugerløse"
"Ebbe Ravn-Pedersen"	"Rønningsvej 978
2524 Nykøbing F"
"Dr. Tejs Johnsen"	"Ebbe Rodesvej 720
9073 Gedser"
"Paula Sørensen"	"Gårdtoftevej 3
1463 Fredericia"
"Dr. Camilla Lind"	"Lille Kongensvej 5
2519 Vallensbæk Strand"
"Univ.Prof. Elna Laursen"	"Langeliniegade 37
4160 Aalestrup"
"Univ.Prof. Sara Kristiansen"	"Bramminge Allé 383
3919 Aars"
"Berta Poulsen-Koch"	"Ærtebjerg Allé 370
7741 Ørsted"
"Curt Iversen"	"Berggreensvej 74
2031 Haderup"
"Caroline Dam"	"Rosendalsstræde 181
6723 Korsør"
"Klavs Thomsen"	"Hausergade 42
1513 Hadsund"
"Mike Kristoffersen"	"Vævervej 71
9361 Lynge"
"Ursula Kjær"	"Antoinettegade 893
6551 Vejle"
"Gyda Dahl"	"Byglandsstræde 63
2232 Lemming"
"Benedikte Schultz"	"Hindbærvej 2
7161 Lejre"
"Fru Rita Rasmussen"	"Svanemøllevej 925
8572 Vesterborg"
"Elias Nørgaard"	"Syvensstræde 194
8084 Holstebro"
"Bertil Kristoffersen"	"Ferskengade 501
7269 Tommerup"
"Dr. Frede Frandsen"	"Jeppesvej 6
3416 Veksø Sjælland"
"Dr. Sophie Mathiasen"	"Windsorvej 441
3692 Hirtshals"
"Nanna Carlsen"	"Kongogade 25
9001 Hasselager"
"Hr Nick Simonsen"	"Tuxensgade 423
9272 Brande"
"Ove Kristiansen"	"Søllerødvej 20
9362 Hjerm"
"Univ.Prof. Cirkeline Olesen"	"Østerdalsvej 9
4860 Frederikshavn"
"Univ.Prof. Ulf Nissen"	"Hobrogade 3
3764 Lunderskov"
"Ofelia Poulsen"	"Vogtervej 115
6485 Sulsted"
"Isabella Johnsen"	"Sparresholmstræde 71
8126 Bording"
"Bertil Steffensen"	"Fuglefængergade 75
2317 Kruså"
"Malene Hansen"	"Fredensborgstræde 542
9871 Galten"
"Sam Skov"	"Skoubostræde 6
8147 Hørning"
"Frida Danielsen"	"Glasvej 5
8908 Gredstedbro"
"Yasmin Kristoffersen"	"Vestre Kirkegårdsvej 67
7830 Store Merløse"
"Hannah Ravn"	"Mælkeenvej 627
8675 Skørping"
"Dr. Åse Bach"	"Lindenborggade 71
5599 Lynge"
"Gyda Jessen"	"Søllerødvej 9
3414 Hampen"
"Alma Christiansen"	"Hjelmsgade 6
4663 Karby"
"Dr. Daniel Andersen"	"Jemtelandsvej 46
8909 Vejle Øst"
"Bertram Clausen"	"Ridefogedgade 7
5072 Thorsø"
"Dr. Dagmar Thorsen"	"Fordresgårdgade 1
9909 Vallensbæk Strand"
"Bruno Mortensen"	"Tartinisstræde 28
2010 Sommersted"
"Sara Kjær"	"Smålandsgade 293
1245 Frederikssund"
"Maiken Andreasen"	"Vilhelm Thomsensgade 7
1440 Gudme"
"Kristine Henriksen"	"Jernæblevej 234
4661 Bolderslev"
"Prof. Malthe Lauridsen"	"Antonistræde 546
5545 Hornbæk"
"Anna Thorsen"	"Sigbritsvej 8
5806 Rørvig"
"Univ.Prof. Sys Schultz"	"Tømrer Allé 481
2311 Aabybro"
"Frede Lauridsen"	"Godsbanegade 12
9257 Kastrup"
"Bertram Mathiesen"	"Bjørnsons Allé 99
3199 Galten"
"Hans Svendsen"	"Katrinedalsgade 29
9248 Liseleje"
"Susanne Svendsen"	"Støvringgade 182
4405 Korsør"
"Jack Ravn"	"Helgesensvej 7
2487 Gudbjerg"
"Annette Dam"	"Stjernevej 216
2958 Nørreballe"
"Hjalte Olsen"	"Krausesvej 70
5983 Gistrup"
"Univ.Prof. Jonathan Eriksen"	"Randersstræde 9
8413 Bredsten"
"Naja Thygesen"	"Overskousvej 3
2316 Ugerløse"
"Kent Krogh"	"Skaffergade 42
1584 Ruds Vedby"
"Ellen Mikkelsen"	"Flyhangarvej 875
1284 Charlottenlund"
"Bertram Steffensen-Frederiksen"	"Slotsstræde 1
4736 Årslev"
"Hr James Nørgaard"	"Shetlandsgade 363
7452 Pandrup"
"Fru Ursula Jepsen"	"Bregnerødvej 967
6311 Trige"
"Louise Koch"	"Dragsholmstræde 18
1897 Hjallerup"
"Univ.Prof. Jonathan Nissen"	"Valby Torvegade 8
3361 Horbelev"
"Regitze Lauritsen"	"Isafjordsvej 35
8187 Bogø By"
"Marie Mikkelsen"	"Sassnitzvej 5
2653 Tinglev"
"Hannah Mikkelsen-Iversen"	"Møntmester Allé 576
8422 Bække"
"Ingelise Jacobsen"	"Dagmarsvej 13
9049 Hovedgård"
"Univ.Prof. Matthias Schmidt"	"Odins Tværvej 28
9738 Thyholm"
"Beth Thomsen"	"Ahrenkildesvej 5
8892 Blokhus"
"Irma Jakobsen"	"Kattegatgade 2
3281 Spjald"
"Øivind Kristensen"	"Broksøvej 78
6884 Randers"
"Fru Silje Koch"	"Vennelygade 6
2190 Kirke Hyllinge"
"Dr. Ruth Overgaard"	"Mandalsvej 752
7646 Tistrup"
"Boe Andersen"	"Vestre Teglvej 21
7962 Karise"
"Klavs Jessen"	"Nordre Frihavnsgade 5
4256 Tommerup"
"Dorthe Nissen"	"Speditør Allé 192
9378 Grindsted"
"Rita Toft"	"Jægersborgvej 9
8566 Kalundborg"
"Laus Gregersen"	"Kuglegårdsgade 2
7105 Outrup"
"Beth Vestergaard"	"Hveensvej 10
1151 Solrød Strand"
"Klara Thygesen"	"Mårumvej 86
7137 Skanderborg"
"John Olesen"	"Brynhilde Allé 840
5927 Gjerlev"
"Mik Schultz"	"Bredelandsvej 80
8519 Torrig"
"Ernst Lassen"	"Asylvej 3
8604 Søborg"
"Hjalte Overgaard"	"Elselille Allé 9
9219 Dragør"
"Werner Thomsen-Andresen"	"Middelfartstræde 2
4746 Løgstrup"
"Margrethe Nielsen-Holm"	"Boeslundevej 32
3935 Gedved"
"Univ.Prof. Patrick Iversen"	"Nøjsomhedsvej 99
6843 Them"
"Bobby Christensen"	"Ingerslevsvej 20
6145 Aabybro"
"Bettina Krogh-Dam"	"Bjørneklogade 3
8456 Svebølle"
"Dr. Weena Ravn"	"Ydunsgade 4
8630 Nørre Asmindrup"
"Olga Winther"	"Fuglsang Allé 4
2872 Skærbæk"
"Johannes Andersen"	"Klostermarks Allé 452
3471 Solrød Strand"
"Univ.Prof. Kim Andreasen"	"Kapselvej 80
3930 Langebæk"
"Richardt Lauridsen"	"Calaisgade 13
3579 Karrebæksminde"
"Vagn Krogh"	"Gribskovgade 57
2417 Jerslev"
"Finn Andreasen-Hermansen"	"Tranehave Allé 5
5837 Skævinge"
"Brian Kristensen-Svendsen"	"H.C. Sneedorffsvej 444
9474 Langå"
"Johannes Bech"	"Kronborggade 5
9574 Solrød Strand"
"Bettina Poulsen"	"Parosstræde 865
7922 Havdrup"
"Univ.Prof. Laura Carlsen"	"Heinesvej 18
5326 Gadbjerg"
"Maren Henriksen-Ravn"	"Vindingevej 39
3542 Hovborg"
"Patricia Jeppesen"	"Oldenborggade 108
9138 Kirke Såby"
"Olivia Søndergaard"	"Tibirkegade 485
2014 Stoholm"
"Jarl Pedersen"	"Tømmergravsvej 439
7503 Læsø"
"Dr. Stephan Laursen"	"Jupitervej 41
5211 Solbjerg"
"Ole Andresen"	"Svenstrupvej 2
2374 Egtved"
"Jannie Andersen"	"Stærevej 8
3322 Karise"
"Verner Lauritsen"	"Ågerupgade 4
6623 Skagen"
"Bettina Simonsen-Henriksen"	"Tranevej 887
5822 Hampen"
"Louise Bruun"	"Engvej 5
8985 Holte"
"Simon Rasmussen"	"Hedebygade 5
1359 Bolderslev"
"Einar Klausen-Svendsen"	"Gribskovgade 318
7355 Måløv"
"Prof. Maren Schou"	"Persiensgade 45
7951 Ans by"
"Rune Brandt"	"Mellemtoftegade 322
4348 Blommenslyst"
"Prof. Keld Knudsen"	"Thorastræde 940
2490 Kalvehave"
"Nicoline Møller"	"Gulkløvervej 99
6661 Ejstrupholm"
"Boe Christensen-Mogensen"	"Gulkløverstræde 11
5186 Søby Ærø"
"Hjalte Thomsen"	"Svendsvej 910
5929 Rømø"
"Birger Christensen"	"Stavnstrupvej 24
6225 Vestbjerg"
"Yda Pedersen"	"Knabstrupvej 83
1549 Hørning"
"Prof. Esben Vestergaard"	"Sibeliusvej 468
2093 Greve"
"Ursula Nørgaard"	"Glasgade 20
8219 Tureby"
