"Aage Dahl"|"Jeppes Allé 29
9602 Risskov" 
"Martin Sørensen"|"Elværksvej 4
3534 Birkerød"
"Weena Holm"|"Lindholms Allé 28
4212 Sandved"
"Ronja Dahl-Thorsen"|"Valhalsvej 7
6131 Vemb"
"Malthe Jørgensen-Schultz"|"Bryggerivej 621
3850 Arden"
"Johnny Winther-Holst"|"Dronninglund Allé 3
6877 Vojens"
"Frede Nissen"|"Ewaldsgade 24
8573 Tjæreborg"
"Marlene Schou"|"Havdrupvej 805
6086 Rude"
"Catrine Søndergaard-Jeppesen"|"Sneppegade 710
4792 Harndrup"
"Pia Henriksen"|"Telemarksvej 1
6038 Nørreballe"
"Univ.Prof. Leonora Svendsen"|"Store Strandstræde 2
3166 Nærum"
"Prof. Tejs Henriksen"|"Ebertsstræde 776
6213 Fårvang"
"Ida Mogensen"|"Amagerfælledgade 2
1495 Knebel"
"Lene Petersen"|"Gladbovej 3
6642 Tappernøje"
"Carina Jensen"|"Klitmøllergade 494
4266 Ørnhøj"
"Henrik Krogh"|"Islevhus Allé 9
7888 Løkken"
"Olfert Berg"|"Burmeistersgade 993
4907 Toreby"
"Astrid Bruun"|"Bispe Allé 744
8623 Køge"
"Cecilie Kristoffersen"|"Skibelund Allé 6
7637 Ebberup"
"Fru Elna Kjær"|"Uplandsgade 622
9838 Gudbjerg"
"Verner Kjær"|"Grønløkkevej 8
2759 Trige"
"Dr. Mie Thorsen"|"Christian II's Allé 7
1503 Viborg"
"Univ.Prof. Sonja Carlsen"|"Lemnosstræde 34
2410 Fredericia"
"Nadia Holst"|"Skanderborgstræde 594
8467 Bogense"
"Univ.Prof. Paulina Hansen"|"Breidablikvej 438
6541 Hovedgård"
"Henriette Olsen"|"Holbækvej 1
6739 Kruså"
"Birthe Andreasen"|"Børglumvej 21
8806 Hørve"
"Anne Jacobsen-Toft"|"Per Henrik Lingsvej 65
2753 Hammel"
"Charlotte Gregersen"|"Birma Allé 354
5826 Tikøb"
"Verner Holst"|"Rørholmsvej 607
7808 Oure"
"Else Toft-Jakobsen"|"Væbnervej 330
7119 Nærum"
"Prof. Agnete Kristensen"|"Elmevej 840
5407 Ærøskøbing"
"Hr Claus Paulsen"|"Gartneri Allé 892
1007 Herfølge"
"Irma Dam-Hansen"|"Nordmarksvej 61
1481 Nyborg"
"Aage Bech-Vestergaard"|"Korsagervej 810
7893 Sorø"
"Danny Krogh"|"Reverdilsgade 92
1168 Billund"
"Dr. Olfert Karlsen"|"James Grievevej 1
6583 Greve Strand"
"Hr Yannick Bertelsen"|"Hveens Allé 3
2246 Tjele"
"Charlotte Kristoffersen"|"Matthæusstræde 4
4930 Hammel"
"Flemming Bruun"|"Verasvej 82
6989 Ejstrupholm"
"Sofia Søndergaard-Carlsen"|"Bellmansvej 7
9696 Padborg"
"Oskar Laursen"|"Korsikavej 16
4894 Højer"
"Klaus Mogensen-Frederiksen"|"Tudseminde Allé 512
5626 Karby"
"Nils Jørgensen"|"Thorshavnsgade 130
9289 Låsby"
"Hr Claus Klausen"|"Torben Oxesvej 52
5915 Kirke Eskilstrup"
"Malene Petersen"|"Lundsfrydgade 79
8136 Ishøj"
"Conny Kjær"|"Heilsgade 647
4708 Sejerø"
"Maya Bertelsen"|"Askøvej 9
7960 Vallensbæk"
"Charlotte Mortensen"|"Gormsvej 2
6072 Præstø"
"Tine Poulsen"|"Tartinisstræde 7
8052 Mårslet"
"Zehnia Gregersen"|"Lille Theklastræde 590
8382 Gram"
"Prof. Paula Christoffersen"|"Dannebrogsvej 62
6462 Havndal"
"Prof. Julie Lind"|"Rådmandsvej 64
9333 Hadsund"
"Solvej Mathiesen"|"Sverrigsvej 7
1468 Sporup"
"Univ.Prof. Irma Bertelsen"|"Hyacintgade 2
3287 Hvide Sande"
"Univ.Prof. Leif Schultz"|"Neapelgade 16
2007 Frederiksberg"
"Frode Olesen"|"Egholmvej 4
1279 Fredericia"
"Fru Ritt Laursen"|"Bustrupvej 3
7603 Glesborg"
"Charlotte Rasmussen"|"Voldmesterstræde 69
6638 Nørre Aaby"
"Ronja Mathiasen"|"Marstalsvej 6
6554 Hellerup"
"Iver Bach"|"Rismosevej 68
6505 Årslev"
"Mathilde Frandsen"|"Kronprinsesse Allé 70
8519 Rungsted Kyst"
"Fru Sys Jakobsen"|"Brigårdenvej 578
2158 Horsens"
"Elias Jessen"|"Risbyholmgade 3
3426 Karise"
"Ulrike Kristiansen-Simonsen"|"Grønnevej 3
4397 Kjellerup"
"Jean Friis"|"Bjerregårdsgade 3
7242 Juelsminde"
"Prof. Jacobine Kristiansen"|"Knivholtgade 2
7316 Strøby"
"Robert Schultz"|"Højstrupstræde 9
2465 Harpelunde"
"Charlotte Schou"|"Calaisvej 8
7221 Morud"
"Steve Skov"|"Hulgårdsgade 58
9274 Århus"
"Victor Kristiansen"|"Skjulhøjvej 220
8747 Nørre Snede"
"Anders Olesen"|"Degneæblevej 8
6996 Gredstedbro"
"Ronni Østergaard"|"Krudtmøllegårdsgade 915
7030 Lundby"
"Zacharias Karlsen"|"Langagerstræde 581
5346 Farsø"
"Matthias Winther-Svendsen"|"Kanadavej 451
1541 Nimtofte"
"Connie Jespersen"|"Saabyesvej 370
3771 Stenderup"
"Weena Christensen"|"Kristianiavej 20
4096 Beder"
"Maja Eriksen"|"Marstals Allé 1
7667 Lintrup"
"Christian Jacobsen"|"Grønagervej 53
4025 Holte"
"Kim Mathiasen-Bruun"|"Grønnegade 2
7586 Fredericia"
"Zara Friis"|"Æblegade 53
2111 Gistrup"
"Isabella Gregersen"|"Herbergengade 85
3384 Dybvad"
"Lærke Dam"|"Vestbanegade 305
1952 Munkebo"
"Frederikke Ravn"|"Knivholtvej 8
5601 Lundby"
"Nete Jørgensen"|"Røde Mellem Allé 24
8471 Ribe"
"Zahra Schultz"|"Dovrevej 8
4073 Errindlev"
"Cirkeline Kristiansen"|"Ny Kongensvej 7
4892 Martofte"
"Brian Gregersen"|"Bregnerødvej 108
3853 Lille Skensved"
"Christian Knudsen"|"Gorms Allé 864
1541 Læsø"
"Fru Margrethe Ravn"|"Nørre Farimagsvej 84
7517 Samsø"
"Prof. Johan Bech"|"Egelykkevej 9
7343 Egå"
"Aksel Dam"|"Aggersborg Allé 6
4470 Lille Skensved"
"Astrid Clausen"|"Teglbrændervej 179
4104 Klemensker"
"Britta Winther"|"Willemoesvej 28
2786 Ørnhøj"
"Yan Jakobsen"|"Mantuavej 1
2289 Ry"
"Matthias Schmidt"|"Valmuevej 9
6233 Rødekro"
"Paw Kristoffersen"|"Dunkerquestræde 13
7412 Toreby"
"Freddy Paulsen"|"Valborg Allé 731
3314 Hornsyld"
"Christian Koch-Bach"|"Ålborgvej 170
9629 Glostrup"
"Benjamin Larsen"|"Puggaardsgade 796
5943 Aalborg"
"Winnie Jacobsen"|"Flinterupvej 680
6311 Hornbæk"
"Carina Lind"|"Havnevej 5
4922 Grenaa"
"Georg Ravn"|"Summerredgade 918
8917 Vig"
"Dr. Robert Jacobsen"|"Montagnegade 21
8232 Stensved"
"Matthias Nilsson"|"Sigerstedvej 72
3531 Gentofte"
"Kirstine Madsen"|"Rialtovej 965
7581 Bogø By"
"Hr Ragner Karlsen"|"Frederiksstadsstræde 9
7193 Daugård"
"Mille Schultz"|"Ætnagade 1
7626 Sorø"
"Christina Nørgaard"|"Mellemtoftevej 619
4264 Ørnhøj"
"Marie Jespersen"|"Frederiksgårdsvej 510
4354 Suldrup"
"Univ.Prof. Zehnia Petersen"|"Theklastræde 32
2952 Gadstrup"
"Dr. Jimmy Kjær"|"Ullerupvej 405
7563 Kolind"
"Kurt Andresen"|"Korsør Allé 972
6756 Terndrup"
"James Lauritsen"|"Laksegade 84
6329 Hjørring"
"Hanne Kjær"|"Hanstholmgade 95
2473 Ikast"
"Einar Bech"|"Trondhjems Allé 6
1035 Svenstrup"
"Karlo Klausen"|"Gyritegade 6
8026 Auning"
"Randi Knudsen"|"Christian II'sstræde 7
5621 Havdrup"
"Christine Carlsen-Bertelsen"|"Ny Kongensstræde 412
4805 Kirke Hyllinge"
"Gorm Kjeldsen"|"Edelsmindevej 75
1080 Ryslinge"
"Laus Jørgensen"|"Sejlklubvej 809
5100 Skovlunde"
"Bodil Lund-Thorsen"|"Nebraskagade 30
7670 Grenaa"
"Dr. Gunnar Petersen"|"Lindenborggade 5
7591 Risskov"
"Dr. Nora Møller"|"Antonivej 89
3145 Tikøb"
"Dr. Simone Berg"|"Cypernsstræde 3
8284 Ribe"
"Jean Jensen"|"Griffenfeldsvej 3
3988 Nørre Snede"
"Anders Poulsen"|"Jenavej 825
3872 Store Merløse"
"David Kjær-Mogensen"|"Moselvej 526
4325 Nærum"
"Christine Mortensen"|"Klaksvigsvej 4
6588 Gandrup"
"Sten Holm"|"Hvidbjergvej 7
4506 Solbjerg"
"Jean Nissen"|"Samosstræde 20
1209 Spøttrup"
"Claus Krogh"|"Bragesvej 409
2653 Støvring"
"Dr. Conny Toft"|"Keplersgade 6
7832 Stenløse"
"Johnny Søndergaard"|"Otto Bachesvej 506
7566 Randbøl"
"Gitte Andreasen"|"Thomas Koppelsgade 1
9541 Aarup"
"Natasha Carlsen"|"Hjørringgade 239
9672 Jystrup"
"Jørgen Christoffersen-Mikkelsen"|"Sjællandsvej 315
1047 Liseleje"
"Malene Jepsen-Kjær"|"Carl Nielsensvej 798
2887 Nimtofte"
"Christoffer Knudsen"|"Bernstorffsvej 591
4533 Lynge"
"Lærke Schultz"|"Grønrisstræde 114
4846 Nordborg"
"Karoline Lauritsen"|"Thorshavnsvej 93
3160 Ebberup"
"Zelma Andersen-Skov"|"Søndervigstræde 2
1962 Jægerspris"
"Univ.Prof. Sussie Olsen"|"Krusåvej 3
6054 Klemensker"
"Birthe Clausen"|"Støvnæsstræde 9
4230 Rødding"
"Rasmus Danielsen"|"Marsalavej 4
1752 Nivå"
"Yrsa Nørgaard-Simonsen"|"Lyngholmgade 857
5391 Hvidovre"
"Dr. Clavs Jensen"|"Skibelundvej 516
2481 Esbjerg"
"Dr. Esmarelda Winther"|"Steinsvej 6
7611 Klampenborg"
"Christopher Bertelsen"|"Væver Allé 330
8680 Øster Vrå"
"Catrine Eriksen"|"Frederiksborggade 152
9617 Vejle"
"Prof. Mie Steffensen"|"Hesseløgade 1
7895 Rynkeby"
"Freddy Winther"|"Lykkebovej 7
2309 Aalborg"
"Dr. Uffe Iversen"|"Malmøvej 9
6193 Karup"
"Alexander Olesen"|"Jægersprisvej 7
4566 Vodskov"
"Åse Frandsen-Mogensen"|"Uggerløse Allé 8
9416 Risskov"
"Prof. Jim Christoffersen"|"Yderlandsvej 78
4195 Trustrup"
"Jenny Thomsen"|"Jordbærgade 58
4348 Gedved"
"Dr. Aage Mathiasen"|"Belgiensvej 12
1921 Brande"
"Christopher Christensen"|"Ydunsvej 19
4320 Gedved"
"Jasmin Lauritsen"|"Sydløbs Allé 65
2336 Nyrup"
"Frede Dahl"|"Gothersgade 71
9299 Harlev"
"Hjalte Jensen-Kristensen"|"Tallinnvej 5
9195 Marstal"
"Dr. Freddy Jacobsen"|"Ragnavej 6
8823 Otterup"
"Prof. Sanne Pedersen"|"Pomona Allé 513
9557 Lystrup"
"Nicolai Nielsen-Mortensen"|"Jordbærvej 948
1417 Martofte"
"Univ.Prof. Jakob Olesen"|"Elstar Allé 58
1669 Hillerød"
"Bjarne Mathiesen"|"Ingolfsvej 4
1602 Storvorde"
"Paulina Dahl"|"Bjelkesgade 2
5626 Auning"
"Christopher Koch-Lauridsen"|"Løvstikkegade 3
8658 Tappernøje"
"Asger Hermansen-Toft"|"Kasematvej 7
6313 Kokkedal"
"Zenia Clausen"|"Slotsfogedvej 562
3225 Esbjerg"
"Christina Møller"|"Iranvej 86
2560 Thyholm"
"Prof. Nicklas Lind"|"Kongo Allé 904
1315 Rønnede"
"Hr Anton Carlsen"|"Bornholms Allé 217
8501 Bredebro"
"Benthe Mogensen"|"Tybjergvej 56
1018 Gelsted"
"Dr. Philip Mortensen"|"Ærtelandsstræde 39
1047 København"
"Stina Knudsen"|"Kirkegårds Allé 38
4459 Errindlev"
"Paw Thygesen"|"Stokrose Allé 967
8023 Stubbekøbing"
"Christopher Olsen"|"Antwerpen Allé 73
9005 Glostrup"
"Mille Clausen-Svendsen"|"Brønshøj Kirkevej 43
8879 Hvide Sande"
"Simon Vestergaard"|"Jupiterstræde 18
1611 Øster Assels"
"Olfert Christoffersen"|"Nørrebrogade 7
9528 Brørup"
"Mette Dahl"|"Rubinsteinsgade 105
3925 Tranekær"
"Fru Benthe Kjeldsen"|"Geysersvej 732
2631 Varde"
"Victor Jeppesen"|"Tøndervej 799
1218 Hirtshals"
"Johannes Jeppesen"|"Faksevej 51
7515 Højbjerg"
"Univ.Prof. Kent Nørgaard"|"Glumsøgade 8
9201 Borre"
"Fru Isabella Jessen"|"Eskjærstræde 2
9822 Jystrup"
"Christopher Svendsen-Overgaard"|"Købmagervej 5
5845 Hjørring"
"Marlene Jessen"|"Store Kongensvej 48
7429 Stenlille"
"Lærke Andresen-Clausen"|"Vognborggade 77
8734 Gentofte"
"Herman Jespersen"|"Boserupgade 5
8939 Gørding"
"Paul Knudsen"|"Alliancegade 9
1717 Ejstrupholm"
"Birger Kristoffersen"|"Estlandsvej 8
2087 Ringsted"
"Rebecca Dahl-Hansen"|"Zinnsstræde 1
2671 Bindslev"
"Sussanne Clausen"|"Gamle Vasbyvej 4
9442 Vojens"
"Solvej Lauridsen"|"Edel Sauntes Allé 975
7185 Kibæk"
"Richard Lassen"|"Herfølgevej 6
8649 Sommersted"
"Cirkeline Holst"|"Keplers Allé 37
4750 Kolind"
"Jon Johansen"|"Øster Farimagsvej 997
7918 Blokhus"
"Maria Eriksen"|"Haregade 8
8718 Hjallerup"
"Univ.Prof. Birgit Henriksen"|"Vulkangade 94
9268 Solrød Strand"
"Kirstine Frederiksen"|"Kingstonvej 777
9769 Gørløse"
"Prof. André Vestergaard"|"Pakkeri Allé 73
1372 Rungsted Kyst"
"Ib Holst"|"Heinesgade 394
9559 Klarup"
"Univ.Prof. Majken Lind"|"Jyderupvej 68
5228 Fårup"
"Karina Nilsson"|"Bogtrykkervej 1
1938 Humlebæk"
"Camilla Kristoffersen"|"Ingolfsvej 9
7591 Gjerlev"
"Clara Friis"|"Lemnosgade 59
6538 Brædstrup"
"Solveig Berg"|"Glückstadts Allé 38
9536 Klampenborg"
"Erling Hansen"|"Studsgaardsvej 3
7791 Vandel"
"Bente Mikkelsen"|"Agnetegade 3
1126 Tjele"
"Jean Christoffersen"|"Byglandsgade 7
7335 Hjallerup"
"Morten Brandt"|"Urbans Allé 37
7056 Gedved"
"Christopher Poulsen-Dam"|"Mimersstræde 5
2804 Vejby"
"William Gregersen"|"Sallingvej 18
7174 Ribe"
"Anna Jørgensen"|"Tårnholms Allé 535
5558 Thyholm"
"Iver Danielsen"|"Bredahlsgade 9
2956 Galten"
"Clara Madsen-Holst"|"Abildgaardsstræde 9
5797 Eskilstrup"
"Univ.Prof. Lotte Klausen"|"Mysundestræde 5
3609 Nørager"
"Hr Bob Bech"|"Dagøvej 17
5332 Læsø"
"Dr. Michala Olsen"|"Hauservej 7
4973 Ørbæk"
"Emilie Bertelsen"|"Bilbaovej 1
6311 Svinninge"
"Nora Andresen"|"Brønshøjgårdvej 145
5637 Melby"
"Dr. Frank Johansen"|"Clematisvej 45
7144 Mesinge"
"Torben Holm-Clausen"|"Ehlers Allé 734
3576 Hejls"
"Karla Bertelsen"|"Godsbanegade 76
7326 Snekkersten"
"Ritt Pedersen-Henriksen"|"Messinavej 373
5865 Ølstykke"
"Clara Steffensen-Lassen"|"Borgmester Jensensvej 92
8677 Asaa"
"Silas Søndergaard"|"Landfogedvej 6
9984 Skagen"
"Jan Mathiesen"|"Hastingsvej 7
2367 Nakskov"
"Carsten Thorsen"|"Ellebjerggade 30
3932 Arden"
"Thea Thygesen"|"Fragtvej 872
1960 Flemming"
"Christoffer Holst"|"Orgelbyggerstræde 9
6255 Nyrup"
"Jørgen Klausen"|"Alexandriavej 2
1850 Tranekær"
"Tage Ravn"|"Øresundsgade 7
7273 Stenløse"
"Fru Filippa Mathiesen"|"Tølløsestræde 297
6571 Nørre Alslev"
"Frank Klausen"|"Mågevej 537
6989 Vils"
"Claus Berg"|"Højmosegade 63
6767 Horslunde"
"Karla Eriksen"|"Ærtevej 38
7807 Ørbæk"
"Prof. Karina Bertelsen"|"Nordhavnsstræde 592
4000 Lem"
"Univ.Prof. Georg Bach"|"Østbanegade 2
2883 Gjerlev"
"Kristine Lassen"|"Enveloppestræde 311
7867 Kolding"
"Sandra Bech"|"Galionsgade 3
3474 Kongens Lyngby"
"Uffe Simonsen"|"Grækenlandsgade 1
3460 Støvring"
"Dr. Hannah Jessen"|"Weimarvej 368
7988 Esbjerg"
"Dagny Olesen"|"Klintholmvej 72
3772 Stubbekøbing"
"Ritt Ravn"|"Guldbergsstræde 4
5958 Hagersten"
"Clavs Christiansen-Berg"|"Nørretoftevej 946
4247 Egernsund"
"Bitten Friis"|"Gammel Kongevej 11
6552 Vejby"
"Tobias Lassen-Kristiansen"|"Obdamsstræde 658
2989 Ejstrupholm"
"Mads Kristoffersen"|"Mimosa Allé 95
2479 Spøttrup"
"Else Lind-Toft"|"Kjærstrupstræde 77
8337 Thyborøn"
"Dr. Niels Dahl"|"Magdelone Allé 21
9208 Skals"
"Mik Lauridsen-Christiansen"|"Marbjergvej 49
3225 Tjele"
"Mia Paulsen"|"Hvalsøvej 317
4889 Redsted"
"Werner Holm"|"Østbane Allé 38
8732 Gentofte"
"Fru Karoline Simonsen"|"Slusevej 6
9118 Skårup"
"Clavs Mogensen"|"Tybjergstræde 83
6549 Sulsted"
"Tilde Olesen"|"Florasgade 1
6966 Outrup"
"Bo Hermansen"|"Løgæblegade 9
9498 Rønne"
"Jytte Kjeldsen-Christoffersen"|"Uralgade 3
9214 Samsø"
"Univ.Prof. Vivian Christiansen"|"Valborggade 1
3439 Bevtoft"
"Univ.Prof. Sonny Jespersen"|"Hareskovstræde 988
5367 Langebæk"
"Frank Jepsen"|"Landvindingsgade 31
9883 Frederiksværk"
"Freja Jensen"|"Gyldenlakvej 152
7704 Engesvang"
"Jean Iversen"|"Billesborgvej 77
1743 Karup"
"Ulrike Petersen-Møller"|"Bygård Allé 588
4844 Fårevejle"
"Conny Christensen"|"Bredahlsgade 3
5308 Rømø"
"Ebbe Christensen"|"Ådalsvej 16
5135 Roskilde"
"Noah Larsen"|"Tonemestergade 92
5711 Jerslev"
"Dr. John Ravn"|"Store Kannikevej 332
9811 Brenderup"
"Stefan Jensen-Jørgensen"|"Amagerbrogade 934
9453 Frøstrup"
"Prof. John Madsen"|"Reersøstræde 9
9868 Ørsted"
"David Møller"|"Ærtestræde 2
5842 Fjerritslev"
"Univ.Prof. Helge Mathiasen"|"Alstedgade 2
4508 Roskilde"
"Karen Hermansen-Rasmussen"|"Dronninglundgade 6
1617 Tommerup"
"Prof. Nadia Mikkelsen"|"Ruggade 954
4441 Fakse"
"Conny Gregersen"|"Stevnsstræde 90
8078 Nibe"
"Dina Jepsen"|"Østre Teglvej 4
4787 Kvistgård"
"Caroline Lind"|"Gerdasgade 389
5642 Lem"
"Prof. Tejs Carlsen"|"Apollo Allé 6
8083 Suldrup"
"Katcha Ravn-Friis"|"Gunhildsstræde 1
2970 Klovborg"
"Frede Kristensen"|"Dieselvej 1
2955 Sulsted"
"Peder Ravn"|"Skånegade 316
2892 Stege"
"Univ.Prof. Holger Bach"|"Lyonvej 2
5719 Dianalund"
"Ove Kristensen"|"Kornskyldstræde 48
3085 Støvring"
"Mie Pedersen-Hansen"|"Gavlhusvej 55
8074 Sejerø"
"Conny Jensen"|"Antwerpenvej 3
3297 Lemming"
"Prof. Casper Nørgaard"|"Nordbane Allé 16
7726 Hjortshøj"
"Gunnar Jørgensen"|"Bohlendachgade 81
5117 Redsted"
"Pia Henriksen"|"Frimestervej 573
1804 Rødby"
"Lene Rasmussen"|"Teglholmvej 795
7922 Roslev"
"Sofia Bech-Madsen"|"Bulbjerggade 363
4916 Skovlunde"
"Prof. Aksel Carlsen"|"Asnæsvej 79
8821 Otterup"
"Hr Tobias Henriksen"|"Hillerødvej 41
1410 Holme-Olstrup"
"Prof. Andreas Pedersen"|"Studsgaardsvej 292
6951 Stensved"
"Jeppe Friis"|"Bavnehøjgade 96
1810 Kibæk"
"Conny Jensen"|"Reersøvej 28
8246 Hvide Sande"
"Fru Line Thomsen"|"Sandhusstræde 86
2596 Hurup Thy"
"Laurits Schmidt"|"Palnatokesstræde 1
7298 Svaneke"
"Asger Karlsen"|"Toldskrivergade 1
5992 Nørre Aaby"
"Marius Bertelsen"|"Elmelundevej 644
8880 Allingåbro"
"Dr. Frede Paulsen"|"Kronprinsessegade 9
3997 Ugerløse"
"Rebecca Madsen"|"Laplandsvej 436
2055 Marstal"
"Janne Mikkelsen"|"Klubiensgade 161
1171 Rødding"
"Sonny Karlsen"|"Rug Allé 4
6852 Sabro"
"Kirsten Svendsen"|"Stenløsevej 4
7154 Århus"
"Conny Krogh"|"Lædervej 403
1365 Hørve"
"Villads Jeppesen"|"Vordingborg Allé 10
5600 Veflinge"
"Lasse Lassen"|"Hyltebjergvej 609
9991 Beder"
"Fru Margit Paulsen"|"Klostervej 4
8093 Klarup"
"Erna Dam"|"Armeniensvej 38
5533 Rynkeby"
"Ella Bach"|"Ny Kongensstræde 8
9314 Øster Ulslev"
"Kenny Mathiesen"|"Ætnavej 58
9069 Ålbæk"
"Xenia Lassen"|"Kronborgvej 86
5843 Horsens"
"Lona Lassen-Schultz"|"Brønshøjholms Allé 745
4667 Ærøskøbing"
"Carina Thygesen"|"Küchlersgade 267
3978 Hadsten"
"Conny Nilsson"|"Yderlands Allé 24
1076 Årre"
"Alexander Mathiesen-Nissen"|"Gammeltofts Allé 95
2794 Stubbekøbing"
"Thomas Svendsen"|"Klerkevej 371
6499 Silkeborg"
"Annette Carlsen"|"Larsbjørnsstræde 574
3340 Støvring"
"Prof. Tobias Schmidt"|"Ålborgvej 122
2357 Gørlev"
"Hr Helge Christoffersen"|"Statholdervej 71
3457 Låsby"
"Ziggy Nilsson"|"Vigerslev Godsstræde 360
8010 Brøndby"
"Prof. Maiken Koch"|"Stubmøllestræde 33
4903 Gram"
"Ofelia Madsen"|"Torfavej 5
1727 Vejers Strand"
"Bob Christensen"|"Primulagade 32
9498 Øster Assels"
"Conny Schultz-Madsen"|"Danshøjgade 7
2918 Ishøj"
"Josefine Vestergaard-Simonsen"|"Badensvej 5
6805 Padborg"
"Univ.Prof. Benedicte Mathiasen"|"Valbygårdsvej 733
3522 Aabenraa"
"Prof. Johan Steffensen"|"Lyonvej 8
6777 Marslev"
"Elin Carlsen"|"Hagbardstræde 8
9342 Ryslinge"
"Palle Clausen-Jepsen"|"Syvens Allé 822
4832 Ølsted"
"Claus Nissen-Frederiksen"|"Bregnerødvej 9
5561 Karise"
"Frode Jespersen"|"Stavanger Allé 8
6482 Spøttrup"
"Prof. Bertram Lauritsen"|"Palnatokesstræde 640
2667 Viby J"
"Birgit Bruun"|"Meldahlsgade 318
8309 Bækmarksbro"
"Conny Sørensen-Vestergaard"|"Rabarbervej 2
1457 Stenlille"
"Ludvig Carlsen"|"Nybovej 674
1334 Billund"
"Fru Cecilie Johnsen"|"Aggersvoldvej 894
2592 Hvide Sande"
"Majken Madsen"|"Gasværksvej 752
8521 Hårlev"
"George Clausen"|"Lundsfryd Allé 28
9902 Regstrup"
"Ronni Frederiksen-Madsen"|"Fredenshøj Allé 867
6440 Stubbekøbing"
"Fru Tine Mortensen"|"Rønnebærstræde 50
3232 Gredstedbro"
"Rosa Holst"|"Lindevej 63
5931 Bevtoft"
"Kenny Bach"|"Middelgrundsvej 22
8228 Herlev"
"Prof. Mikkel Larsen"|"Klostergade 7
4408 Liseleje"
"Curt Lassen"|"Frederiksgårdsvej 16
1139 Them"
"Fru Lona Lauridsen"|"Houmannsvej 3
3612 Idestrup"
"Prof. Kirsten Christoffersen"|"Kyringevej 15
2534 Karise"
"Ane Bach-Bruun"|"Svenstrupvej 805
5985 Bevtoft"
"Jonathan Svendsen"|"Amsterdamvej 956
4999 Svinninge"
"Elin Thorsen"|"Grønnemosevej 66
4439 Vejstrup"
"Univ.Prof. Klara Mortensen"|"Breslaugade 5
5016 Melby"
"Fru Astrid Svendsen"|"Kastaniestræde 22
7345 Hagersten"
"Ørni Madsen"|"Kronprinsensstræde 7
9020 Grindsted"
"Andrea Thomsen"|"Fredensborgstræde 2
9081 Kerteminde"
"Dagmar Jacobsen"|"Katholmstræde 76
7275 Gudhjem"
"Anders Toft"|"Høgholtgade 202
1221 Stokkemarke"
"Fru Isabella Nilsson"|"Toskiftestræde 61
6753 Morud"
"Sonja Pedersen"|"Harevej 2
5559 Vallensbæk Strand"
"Janni Jespersen-Brandt"|"Lergravsstræde 6
7812 Årre"
"Fru Emma Lauritsen"|"Frederiksborg Allé 7
9932 Lejre"
"Ragna Petersen"|"Stavnstrupvej 45
9301 Arden"
"Maiken Kjær"|"Webersvej 13
1474 Idestrup"
"Prof. Adam Jørgensen"|"Krystal Allé 2
5157 Stubbekøbing"
"Kristina Kristoffersen-Bruun"|"Ørholmgade 459
2979 Ebeltoft"
"Dagmar Jensen-Nørgaard"|"Ahlefeldtsvej 347
1351 Søby Ærø"
"Jim Schmidt-Skov"|"Emblasgade 8
4810 Gilleleje"
"Jesper Schmidt"|"Marathonvej 82
8319 Slagelse"
"Hugo Kristiansen-Jeppesen"|"Gråbynkevej 2
4189 Egernsund"
"Rebecca Møller"|"Rævestræde 8
8508 Rødding"
"Univ.Prof. Tommy Schultz"|"Øster Farimagsgade 210
8447 Hals"
"Joan Kjeldsen"|"Rymarksgade 231
7327 Bredsten"
"Hr Ronnie Kristiansen"|"Vasbystræde 891
9777 Kastrup"
"Fru Grete Jensen"|"Oliebladsvej 1
6664 Idestrup"
"Georg Østergaard"|"Vasbyvej 979
3729 Tappernøje"
"Dagmar Lassen"|"Bjørneklo Allé 332
1423 Hjerm"
"Marie Lauridsen-Frandsen"|"Hammershusgade 3
5235 Hurup Thy"
"Dr. Agnete Kristiansen"|"Oehlenschlægersstræde 1
5486 Kirke Hyllinge"
"Tejs Jessen-Koch"|"Tyborønvej 51
6319 Rønnede"
"Univ.Prof. Jesper Mortensen"|"Sankt Jørgensvej 66
4817 Smørum"
"Dr. Timmy Friis"|"Hildursstræde 26
8375 Skørping"
"Ole Gregersen"|"Vanløse Allé 2
5552 Struer"
"Grethe Thomsen"|"Dønnerupgade 532
3841 Uldum"
"Univ.Prof. Merethe Bach"|"Fyensgade 702
7479 Løgstrup"
"Asger Jespersen"|"Sølvgade 1
4558 Lemming"
"Dagny Gregersen"|"Kjærstrupgade 4
5435 Mørke"
"Dorte Lind"|"Landskronavej 62
7195 Kongens Lyngby"
"Dorte Mikkelsen"|"Knabrogade 948
3232 Redsted"
"Univ.Prof. Hanne Jespersen"|"Odins Tværgade 6
9169 Klovborg"
"Hr Anton Lauridsen"|"Aldersro Allé 95
3075 Højby"
"Amalie Holst-Madsen"|"Klaipedagade 4
2496 Borre"
"Hr Herbert Rasmussen"|"Olymposvej 8
1551 Bandholm"
"Maren Jepsen"|"Løvstikkegade 8
5689 Brønshøj"
"Prof. Stephan Henriksen"|"Georginevej 366
4192 Skals"
"Jimmy Steffensen-Iversen"|"Arendalsvej 8
7343 Hjallerup"
"Dagny Holst-Lassen"|"Valborgvej 1
1951 Vestervig"
"Louise Eriksen"|"Kalø Allé 510
2088 Asnæs"
"Noah Dahl"|"Pakkerivej 67
3245 Læsø"
"Kirstin Jepsen"|"Halsskov Allé 3
7784 Gredstedbro"
