"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"კარინე ხელაძე"	"ტრაქტორის ქ. 45, წნორი"
"ჯონი არჩვაძე"	"საცხენისის ქ. 47, თეთრიწყარო"
"რატი ქათამაძე"	"ზურაბიშვილი ავლიპის ქ. 06, მცხეთა"
"ზვიად კოპაძე"	"ბაკურციხის ქ. 50, ამბროლაური"
"ანნა ახვლედიანი"	"ბორბალოს ქ. 99, ხობი"
"გოდერძი მახარაშვილი"	"სართიჭალის ქ. 77, ლანჩხუთი"
"ლეილა სირაძე"	"მიშველაძე არჩილის ქ. 05, დედოფლისწყარო"
"მარგალიტა გურეშიძე"	"ტიულენევის ქ. 85, დმანისი"
"დემურ ბარბაქაძე"	"წმ. ნიკოლოზის ქ. 71, ლანჩხუთი"
"ზაქარია დავითაშვილი"	"ჯაბაურის ქ. 13, თერჯოლა"
"მინდია სანიკიძე"	"ვირსალაძის ქ. 01, ცაგერი"
"კლარა ქუთათელაძე"	"ტიხონოვის ქ. 35, ხობი"
"ლუდმილა ფარცვანია"	"ბოდბის ქ. 50, ბოლნისი"
"ინეზა წურწუმია"	"ქართლის ქ. 48, თელავი"
"ნუკრი სამუშია"	"ჯ. კახიძის ქ. 88, ბათუმი"
"გოდერძი ნოზაძე"	"თმოგველის ქ. 32, ოჩამჩირე"
"მაია ღონღაძე"	"ჩუბინიძის ქ. 78, სენაკი"
"თინა ჟვანია"	"გახოკიძე აკაკის ქ. 29, გალი"
"გია სურმანიძე"	"ბეჟანიშვილი ეკას ქ. 10, გაგრა"
"ნუცა პაპუაშვილი"	"ახალუბნის ქ. 00, ბათუმი"
"დავით ახალაია"	"ამბროლაურის ქ. 34, საჩხერე"
"გოგიტა გაჩეჩილაძე"	"რკინიგზის ქ. 33, სოხუმი"
"ზაურ ხუციშვილი"	"წულუკიძის ქ. 44, თელავი"
"ია ბერიანიძე"	"გარე კახეთის ქ. 50, კასპი"
"ხათუნა კერესელიძე"	"მიშველაძე არჩილის ქ. 36, დუშეთი"
"გოდერძი ყურაშვილი"	"მამკოდის ქ. 92, სამტრედია"
"გუგული აფციაური"	"ჩოჩუას ქ. 72, ლანჩხუთი"
"ციური ნატროშვილი"	"მაჭრის ქ. 62, გალი"
"ავთანდილ იაშვილი"	"300 არაგველის ქ. 99, ცაგერი"
"გულიკო მახარაძე"	"რიწის ქ. 83, წალენჯიხა"
"იური კუხიანიძე"	"ნიორაძის ქ. 28, გაგრა"
"ვახტანგ ვეკუა"	"წერონისის ქ. 35, ქუთაისი"
"ფატი კობახიძე"	"კოკინაკის ქ. 79, წყალტუბო"
"ხვიჩა კაკაბაძე"	"თიანეთის ქ. 71, ვალე"
"თამარი ლურსმანაშვილი"	"ხრამჰესის ქ. 15, ახმეტა"
"გოდერძი ხალვაში"	"ბახტრიონის ქ. 06, დუშეთი"
"გოგი კოპალიანი"	"ქუთაისის ქ. 02, წალენჯიხა"
"ლალი დალაქიშვილი"	"ლისაშვილის ქ. 92, დედოფლისწყარო"
"გოდერძი ქორიძე"	"პატარძეულის ქ. 67, საგარეჯო"
"ზურაბ ლობჯანიძე"	"საიათნოვას ქ. 42, მარნეული"
"ზვიად არაბული"	"უნივერსიტეტის ქ. 74, სოხუმი"
"ლამარა გოგუა"	"საადის ქ. 22, ოზურგეთი"
"ლანა არაბიძე"	"ჩაქვის ქ. 61, წყალტუბო"
"ნორა მათიაშვილი"	"შავნაბადას ქ. 32, წყალტუბო"
"გულიკო მიმინოშვილი"	"სიღნაღის ქ. 48, საჩხერე"
"გოჩა ბაკურაძე"	"რჩეულიშვილის ქ. 41, ქობულეთი"
"გიგა ღლონტი"	"ცაგერის ქ. 00, კასპი"
"ლუდმილა გიორგობიანი"	"გარიყული მარიამის ქ. 28, კასპი"
"გია ბერაია"	"სადმელის ქ. 80, გარდაბანი"
"ნაზი ჩაფიძე"	"აფანასიევის ქ. 14, სოხუმი"
"ალექს მგელაძე"	"ბედიის ქ. 02, ცაგერი"
"ნესტან მელაძე"	"უშაკოვის ქ. 14, ხობი"
"რიმა გაბედავა"	"ხიდისთავის ქ. 06, გარდაბანი"
"თინათინ მგელაძე"	"ქართლის ქ. 97, ყვარელი"
"ლუდმილა ღონღაძე"	"საბადურის ქ. 86, ქუთაისი"
"გოჩა გოგუაძე"	"ხონის ქ. 15, ახალციხე"
"გრიგოლ ჯოხაძე"	"ზუგდიდის ქ. 00, ახალი ათონი"
"ნათელა პაპიაშვილი"	"არეშიძის ქ. 21, დედოფლისწყარო"
"დოდო ჯაფარიძე"	"ეფრემ მცირის ქ. 38, ზუგდიდი"
"სუსანა შანიძე"	"ჟინვალის ქ. 36, ქარელი"
"თემურ ჩიქოვანი"	"კუფტინის ქ. 08, ოზურგეთი"
"ვასილ შველიძე"	"კვანტალიანის ქ. 81, ხაშური"
"აკაკი ლაგვილავა"	"ნადიკვარის ქ. 06, ბორჯომი"
"ლიზა გუმბერიძე"	"დოღუმბარის ქ. 94, ბორჯომი"
"ვალერიან ჯოჯუა"	"ჯ. კახიძის ქ. 72, ახალქალაქი"
"გოჩა ელიზბარაშვილი"	"ვეზიროვის ქ. 77, საგარეჯო"
"შორენა ნიქაბაძე"	"უჯარმის ქ. 10, სოხუმი"
"ჯულიეტა ახალაძე"	"კოფცოვის ქ. 35, ამბროლაური"
"ლიდა კუპრეიშვილი"	"კოჯრის ქ. 86, ფოთი"
"თამარი ახალაძე"	"არბოშიკის ქ. 13, ხონი"
"როზა გოგიაშვილი"	"არბოს ქ. 35, მარტვილი"
"ოლღა პეტროსიანი"	"კუფტინის ქ. 32, ქობულეთი"
"ვასილ მუსაევი"	"სანკტ-პეტერბურგის ქ. 49, ქობულეთი"
"ზვიად ჯანაშია"	"გომბორის ქ. 89, ბოლნისი"
"ირინა შავაძე"	"თელეთის ქ. 95, ხონი"
"გოჩა ზარანდია"	"ფოცხიაშვილი მორისის ქ. 37, თერჯოლა"
"მეგი ჯოხაძე"	"ჩკალოვის ქ. 86, მცხეთა"
"ჟანა ბერულავა"	"კვალის ქ. 24, გარდაბანი"
"ირმა ლიპარტელიანი"	"კოდორის ქ. 29, გუდაუთა"
"ბონდო გვენეტაძე"	"კანკავას ქ. 30, ხაშური"
"ნორა ბალიაშვილი"	"ხორნაბუჯის ქ. 68, მარტვილი"
"თორნიკე გვასალია"	"თხინვალის ქ. 27, ახალციხე"
"ელზა შელია"	"ახოსპირელის ქ. 69, ჯვარი"
"თამუნა სალუქვაძე"	"ხაზინის ქ. 26, გურჯაანი"
"ჯონი ხარჩილავა"	"ზაზიშვილი გიგოს ქ. 26, ამბროლაური"
"გოჩა მაჭავარიანი"	"ახტალის ქ. 91, თელავი"
"ეკატერინე ჩიქოვანი"	"სამშვილდეს ქ. 85, დმანისი"
"ლამზირა გუმბერიძე"	"უფლისციხის ქ. 75, ხაშური"
"ხვიჩა გურგენიძე"	"ლ. ელიავას ქ. 97, გორი"
"ვერიკო ღლონტი"	"წინამძღვრიშვილის ქ. 08, ზესტაფონი"
"ანჟელა გოგოლაძე"	"უზნაძის ქ. 23, გარდაბანი"
"შაქრო ჩხეიძე"	"ყვარელის ქ. 75, წნორი"
"ელზა ელბაქიძე"	"ხეჩუაშვილის ქ. 52, საგარეჯო"
"ნაზიბროლა ყოლბაია"	"ვაზისუბნის ქ. 61, თერჯოლა"
"ნინო ქობალია"	"მიცკევიჩის ქ. 78, ტყიბული"
"გოჩა შუკაკიძე"	"ლიხის ქ. 24, ხონი"
"ნუკრი ბექაური"	"სამშვილდეს ქ. 33, საჩხერე"
"ნანა ჯაფარიძე"	"სხირტლაძის ქ. 46, გურჯაანი"
"გელა თედორაძე"	"ჯავახიშვილი ივანეს ქ. 58, ახმეტა"
"ლეილა ნიკოლეიშვილი"	"ქურდიანი ზაქარიას ქ. 71, ონი"
"ვერა ქავთარაძე"	"აწყურის ქ. 54, წნორი"
"მამუკა ქობალია"	"კარალეთის ქ. 53, ფოთი"
"მინდია ასანიძე"	"ლამის ქ. 84, გურჯაანი"
"ქეთო აბაშიძე"	"კედია სპირიდონის ქ. 76, ბოლნისი"
"ბელა მერებაშვილი"	"ლეჩხუმის ქ. 53, ბათუმი"
"გოჩა ჭიღლაძე"	"ოსეთის ქ. 58, ქარელი"
"გოგიტა შავაძე"	"ლუსიანინის ქ. 44, წნორი"
"ზაქარია ანთაძე"	"მტკვრის ქ. 29, წალენჯიხა"
"ზოია დავითაძე"	"ცემის ქ. 03, გორი"
"გალინა კუბლაშვილი"	"რიწის ქ. 66, ქობულეთი"
"ლია ბუკია"	"წერნაკის ქ. 85, სამტრედია"
"გოგი ჯანელიძე"	"ბურძგლას ქ. 93, ოჩამჩირე"
"ნიკოლოზ კაკულია"	"გალავნის ქ. 87, ვანი"
"ავთანდილ მიქაძე"	"ხოდაშენის ქ. 57, გაგრა"
"ირაკლი ბასილაშვილი"	"გროზნოს ქ. 83, მცხეთა"
"გოჩა ჯავახიშვილი"	"ახალდაბის ქ. 66, დუშეთი"
"გრიგოლ შუბითიძე"	"პასტერის ქ. 07, ზესტაფონი"
"ნუკრი ცუცქირიძე"	"კვერნაულის ქ. 30, სენაკი"
"თინათინ მაისურაძე"	"დარკვეთის ქ. 94, ვალე"
"რამაზ ხარატიშვილი"	"კანდელაკის ქ. 86, ჭიათურა"
"ციური ხვედელიძე"	"ზედამზის ქ. 79, დმანისი"
"დიანა კაკულია"	"გრუზინსკი პეტრეს ქ. 71, ხობი"
"ზურაბ შუბითიძე"	"ბუხაიძის ქ. 75, სამტრედია"
"ელგუჯა ზედგინიძე"	"თამარაშენის ქ. 76, ახმეტა"
"ლუდმილა ჩაკვეტაძე"	"გალაქტიონ ტაბიძის ქ. 32, ნინოწმინდა"
"გრიგოლ ალიევა"	"ქვალონის ქ. 90, გორი"
"მთვარისა მოდებაძე"	"ლეჟავას ქ. 15, სოხუმი"
"მზია გორგოძე"	"ბოროდინოს ქ. 54, გარდაბანი"
"გენადი ვალიევი"	"წინაუბნის ქ. 86, ვალე"
"მიხეილ ბიგვავა"	"ქურდიანი არჩილის ქ. 81, გარდაბანი"
"ლუიზა ბუკია"	"8 მარტის ქ. 06, სამტრედია"
"ლამზირა ჩიხლაძე"	"ბერიკაშვილის ქ. 76, დუშეთი"
"ლარისა ნემსაძე"	"დობროლიუბოვის ქ. 84, სამტრედია"
"ელგუჯა ბეჟანიძე"	"ცოდნისკარის ქ. 11, ნინოწმინდა"
"კობა ჯანიაშვილი"	"ციმაკურიძის ქ. 48, სიღნაღი"
"გრიგოლ გაგუა"	"ლიხაურის ქ. 39, ცაგერი"
"თამილა ვეკუა"	"მიქელაძე ევგენის ქ. 87, გუდაუთა"
"სოფიკო ხარაიშვილი"	"მორეტის ქ. 01, ქარელი"
"ასმათ ცანავა"	"ვარდევანის ქ. 37, წნორი"
"ხვიჩა გოგოხია"	"მუკუზანის ქ. 47, ცაგერი"
"მინდია ჭკადუა"	"ნანეიშვილი ვლადიმერის ქ. 38, ფოთი"
"ნინო ბურჯანაძე"	"ზეინკლის ქ. 69, სოხუმი"
"ნოდარ გოცირიძე"	"მეგობრობის ქ. 07, გუდაუთა"
"ზურაბ ხმალაძე"	"კაიშაურის ქ. 90, ხონი"
"სუსანა ბუცხრიკიძე"	"ზუბალაშვილების ქ. 74, დედოფლისწყარო"
"გრიგოლ ნადირაშვილი"	"ხაბეიშვილის ქ. 56, გალი"
"გენადი მჭედლიძე"	"ჭონქაძე დანიელის ქ. 89, გალი"
"ზვიად მახათაძე"	"უზნაძის ქ. 21, სიღნაღი"
"ვიქტორ სირაძე"	"დიდი ხეივნის ქ. 33, დედოფლისწყარო"
"სულიკო სულაბერიძე"	"ჯავის ქ. 09, ვალე"
"იზოლდა ყურაშვილი"	"დოდაშვილი სოლომონის ქ. 28, ყვარელი"
"დავით გაჯიევი"	"ქერჩის ქ. 36, საჩხერე"
"ნუკრი ნოზაძე"	"ცხრა ძმის ქ. 92, ბორჯომი"
"ჟენია ლომთაძე"	"ურიცკის ქ. 64, კასპი"
"ნუნუ კაკულია"	"ქსნის ქ. 25, დედოფლისწყარო"
"გრიგოლ ტურაშვილი"	"ლიხის ქ. 17, კასპი"
"რიმა ლობჯანიძე"	"თეთნულდის ქ. 92, ბათუმი"
"ლილი ალადაშვილი"	"ბოცვაძის ქ. 17, რუსთავი"
"მარო ქობალია"	"საარბრჯუკენის ქ. 27, თერჯოლა"
"სონია პაპიაშვილი"	"ლარსის ქ. 48, ცაგერი"
"ოთარ ზარქუა"	"ფირდოუსის ქ. 16, ტყვარჩელი"
"ნუკრი სულაბერიძე"	"აბაშიძე დოდოს ქ. 41, ქობულეთი"
"მედეა ალადაშვილი"	"ჩაისუბნის ქ. 78, ამბროლაური"
"ლიანა ბარამიძე"	"გედევანიშვილის ქ. 42, ტყვარჩელი"
"ბორის გოგიშვილი"	"მარჯანიშვილი კოტეს ქ. 84, ოზურგეთი"
"გრიგოლ ქურდაძე"	"აბაშიძე ჰეიდარის ქ. 06, ჭიათურა"
"ლიზა ფანცულაია"	"მახათას ქ. 14, ტყიბული"
"ანჟელა ისაევი"	"გოგიბერიძის ქ. 43, წალკა"
"გულნარა ჯინჭარაძე"	"დოდაშვილი სოლომონის ქ. 25, ოზურგეთი"
"ედუარდ მეტრეველი"	"ხერგიანის ქ. 20, ვალე"
"ლუდმილა მელქაძე"	"ღუდუშაური ოთარის ქ. 22, თერჯოლა"
"უშანგი კუჭუხიძე"	"ჩანჩიბაძის ქ. 44, ოჩამჩირე"
"როინ ხარშილაძე"	"თამარაშენის ქ. 79, დედოფლისწყარო"
"სონია კალანდია"	"როსტოვის ქ. 62, ოზურგეთი"
"ზაქარია გოგინაშვილი"	"ბაგინეთის ქ. 24, ზუგდიდი"
"გრიგოლ ხიზანიშვილი"	"ლოჭინის ქ. 66, დმანისი"
"ეთერ ბუკია"	"ბაღნარის ქ. 87, ხობი"
"ანზორ ვაშაკიძე"	"ლიკანის ქ. 26, მარტვილი"
"თენგიზ ჯაიანი"	"ვახტანგ VI–ის ქ. 55, ცაგერი"
"ლევან ბარამიძე"	"მამრაძის ქ. 43, ვანი"
"ვალერიან არაბიძე"	"მანგლისის ქ. 94, წალკა"
"ციური გობეჯიშვილი"	"ჭაბუკიანი ვახტანგის ქ. 34, წნორი"
"ომარ სანიკიძე"	"ჩახრუხაძის ქ. 25, ვალე"
"ცირა ხეცურიანი"	"ბალანჩივაძე მელიტონის ქ. 79, საჩხერე"
"ქეთო ვარშანიძე"	"წურწუმიას ქ. 31, სამტრედია"
"გუგული ბუკია"	"პეტრიწის ქ. 87, ახალქალაქი"
"ნიკოლოზ თედორაძე"	"ტუსკიას ქ. 27, ამბროლაური"
"ნარგიზა ცაავა"	"ბაქრაძე დავითის ქ. 22, ლანჩხუთი"
"ამირან ალანია"	"უჩანეიშვილი ირაკლის ქ. 03, ყვარელი"
"ქეთინო ბენდელიანი"	"გლინკას ქ. 13, ყვარელი"
"მაკა ვეკუა"	"ბეჟანიშვილი ეკას ქ. 10, რუსთავი"
"ჯემალ მიქაძე"	"გოგჩის ქ. 24, სიღნაღი"
"ლევან მელიქიძე"	"კახიანის ქ. 91, ლანჩხუთი"
"ნესტან თოფურია"	"ლიუბოვსკის ქ. 60, თერჯოლა"
"მინდია მარგველაშვილი"	"ძევერის ქ. 32, რუსთავი"
"გუგული გაბელია"	"ბაღდათის ქ. 14, აბაშა"
"ეთერ მგალობლიშვილი"	"მესხიშვილის ქ. 26, სენაკი"
"გივი ბაქრაძე"	"არსენალის ქ. 25, სამტრედია"
"ვალენტინა გაბრიჭიძე"	"ფაღავა ირაკლის ქ. 86, ქობულეთი"
"ლიკა კვაჭაძე"	"ლიხის ქ. 14, ქობულეთი"
"ინეზა მოდებაძე"	"ქართველიშვილი ლევანის ქ. 63, თერჯოლა"
"გოგა ქამადაძე"	"მუკუზანის ქ. 96, სოხუმი"
"ვერიკო ხურცილავა"	"ნადიკვარის ქ. 66, ცაგერი"
"დიმიტრი ნებიერიძე"	"გორკის ქ. 13, ხონი"
"ჯაბა იაშვილი"	"ბაქრაძე დავითის ქ. 98, ცაგერი"
"გულიკო არაბული"	"ეკალაძის ქ. 52, წყალტუბო"
"მანანა მგელაძე"	"ნიაღვრის ქ. 57, გორი"
"ჯულიეტა ხელაძე"	"კუფტინის ქ. 10, ცხინვალი"
"ნანული სიხარულიძე"	"იბრაჰიმ ისპაჰანელის ქ. 29, წყალტუბო"
"ამირან ოქროპირიძე"	"ზედამზის ქ. 79, წალენჯიხა"
"დათო მჟავანაძე"	"შუამთის ქ. 94, ახალციხე"
"თინათინ გაჩეჩილაძე"	"ახმეტის ქ. 33, საგარეჯო"
"ნადია წულაია"	"ძეგამის ქ. 62, წალენჯიხა"
"ბადრი კაჭარავა"	"ვარდევანის ქ. 06, ქობულეთი"
"ნაზიბროლა ადუაშვილი"	"ცაბაძე გიორგის ქ. 13, რუსთავი"
"გულიკო თურმანიძე"	"კვერნაულის ქ. 35, გურჯაანი"
"არტურ ქირია"	"ლეჩხუმის ქ. 00, გალი"
"ნაზიკო ფოფხაძე"	"რაზმაძის ქ. 63, წნორი"
"ლუდმილა ზარქუა"	"გუდამაყრის ქ. 37, ფოთი"
"რეზო ჯავახიშვილი"	"ანდღულაძის ქ. 41, ლანჩხუთი"
"მიხეილ ვასაძე"	"მარჯანიშვილი კოტეს ქ. 92, ახმეტა"
"მამუკა გაჩეჩილაძე"	"ჩიკვანიას ქ. 80, თელავი"
"ზვიად სამხარაძე"	"ნადიკვარის ქ. 81, გუდაუთა"
"ომარ წურწუმია"	"ბახტრიონის ქ. 53, წნორი"
"ინგა სარქისიანი"	"იოსელიანის ქ. 26, ჯვარი"
"გულიკო ლობჯანიძე"	"უჩანეიშვილი ირაკლის ქ. 04, ვანი"
"ომარ შეყილაძე"	"დოლიძე გოგის ქ. 72, გალი"
"ნანი კილაძე"	"ანდრონიკაშვილის ქ. 47, ქუთაისი"
"ბადრი გოგიაშვილი"	"თეთრიწყაროს ქ. 42, ახალციხე"
"პავლე ტყეშელაშვილი"	"კომუნის ქ. 92, ბათუმი"
"ვასილ სიხარულიძე"	"მესხეთის ქ. 45, კასპი"
"ვარდო გოგია"	"ლორთქიფანიძის ქ. 91, ცხინვალი"
"სოფიკო ადუაშვილი"	"ლიხის ქ. 48, ბათუმი"
"დალი ხუციშვილი"	"ზოვრეთის ქ. 81, მარტვილი"
"ნონა ხოზრევანიძე"	"ურბნისის ქ. 02, ტყიბული"
"გულიკო მოდებაძე"	"ნავთლუღის ქ. 56, ოჩამჩირე"
"ბადრი დიასამიძე"	"წინაუბნის ქ. 71, საჩხერე"
"ნონა ვარშანიძე"	"მარაბდის ქ. 44, ოზურგეთი"
"დავით გოგალაძე"	"ქარელის ქ. 20, ცაგერი"
"ირაკლი ჭკადუა"	"ლერწმის ქ. 71, საგარეჯო"
"ვაჟა კვანტალიანი"	"აბაკელიას ქ. 56, ბათუმი"
"თამარი გრიგალაშვილი"	"გოგებაშვილის იაკობის ქ. 80, თეთრიწყარო"
"დიმიტრი მაჭავარიანი"	"ავლევის ქ. 76, საგარეჯო"
"როინ ჭკადუა"	"მთავარანგელოზის ქ. 61, გაგრა"
"რევაზ კუბლაშვილი"	"პუშკინი ალექსანდრეს ქ. 78, კასპი"
"გულიკო მოსიაშვილი"	"მოლითის ქ. 04, ნინოწმინდა"
"მამუკა ჯანჯღავა"	"პოლიტკოვსკაიას ქ. 54, თერჯოლა"
"ალექს ცაავა"	"ქობულეთის ქ. 33, ბორჯომი"
"გელა ბუჩუკური"	"მეჯვრისხევის ქ. 14, ტყვარჩელი"
"ნოდარ გოგიტიძე"	"შავსოფელის ქ. 18, მცხეთა"
"ციალა ხელაძე"	"მელიქიშვილის ქ. 36, საჩხერე"
"კარლო სიმონიშვილი"	"ცუცქირიძის ქ. 45, გუდაუთა"
"ქრისტინე მელაძე"	"მახათას ქ. 35, ცაგერი"
"იური შავაძე"	"სამღერეთის ქ. 51, თერჯოლა"
"კახა კარაპეტიანი"	"ძეგამის ქ. 41, ფოთი"
"გულნარა ბოლქვაძე"	"თეთრიწყაროს ქ. 49, ნინოწმინდა"
"სულიკო დვალიშვილი"	"ახალდაბის ქ. 77, დუშეთი"
"დოდო სიმონიშვილი"	"ახვლედიანი გიორგის ქ. 55, გარდაბანი"
"მამუკა კიკნაძე"	"ლაილაშის ქ. 16, სიღნაღი"
"იზოლდა ონიანი"	"მაჩხაანის ქ. 31, ნინოწმინდა"
"მურმან ფერაძე"	"თევდორე მღვდლის ქ. 62, ახალქალაქი"
"ზურაბ პავლიაშვილი"	"ტოლსტონოგოვის ქ. 59, გარდაბანი"
"სულიკო გაბაიძე"	"აბაშის ქ. 66, ამბროლაური"
"ბესარიონ მოსიაშვილი"	"ჰოსპიტალის ქ. 88, ახალქალაქი"
"პავლე პაპიაშვილი"	"წერნაკის ქ. 90, გურჯაანი"
"გულნარა ცუცქირიძე"	"არაგვის ქ. 83, დედოფლისწყარო"
"ასლან უგრეხელიძე"	"შერვაშიძის ქ. 74, ლაგოდეხი"
"მირანდა ადამია"	"თიანეთის ქ. 21, დედოფლისწყარო"
"ინეზა ნაკაშიძე"	"ბარისახოს ქ. 96, წყალტუბო"
"იზოლდა ხმალაძე"	"სათემოს ქ. 20, გორი"
"სიმონ ბერულავა"	"დოლიძე გოგის ქ. 37, გაგრა"
"ნატო ქათამაძე"	"გარეჯელი დავითის ქ. 54, ხაშური"
"ნაზიბროლა ხელაძე"	"ჯანჯღავას ქ. 17, აბაშა"
"მარო დავითაძე"	"მირზაანის ქ. 46, ბორჯომი"
"ცისანა წულუკიძე"	"ხიმშიაშვილის ქ. 21, სოხუმი"
"გურამ გეგეშიძე"	"ლომონოსოვის ქ. 98, ხობი"
"ზურაბ ხარაბაძე"	"მათიაშვილის ქ. 00, ქობულეთი"
"თამილა ცარციძე"	"ხეჩუაშვილის ქ. 35, გორი"
"ვალენტინა ხურციძე"	"ახალქალაქის ქ. 80, დედოფლისწყარო"
"ფიქრია ელბაქიძე"	"საჩხერის ქ. 82, ახმეტა"
"ჯულიეტა გიორგაძე"	"ლენტეხის ქ. 54, ტყიბული"
"მურთაზ მელიქიშვილი"	"თეთნულდის ქ. 35, ტყიბული"
"რეზო ფერაძე"	"ახმეტის ქ. 71, დუშეთი"
"კონსტანტინე მგალობლიშვილი"	"გვეტაძე რაჟდენის ქ. 99, ცაგერი"
"ნანი პაპაშვილი"	"თევდორე მღვდლის ქ. 54, ქარელი"
"გურამ გორგილაძე"	"ბარათაშვილის ქ. 62, სამტრედია"
"თამაზ პატარაია"	"ცაიშის ქ. 65, ხონი"
"იოსებ ჯიბლაძე"	"დოლიძის ქ. 06, ბათუმი"
"ია კობერიძე"	"არბოს ქ. 97, ზუგდიდი"
"კახაბერ სამუშია"	"წერეთლის ქ. 89, მარნეული"
"ელზა ჯიბლაძე"	"პატარიძის ქ. 92, ბორჯომი"
"მარიკა მაჭარაშვილი"	"ყუშიტაშვილის ქ. 39, ზესტაფონი"
"პეტრე კუჭავა"	"აბაშის ქ. 32, ლაგოდეხი"
"მარინე ჭინჭარაული"	"გოკიელის ქ. 52, ლანჩხუთი"
"რატი შველიძე"	"კეცხოველი ნიკოს ქ. 94, საჩხერე"
"გურამ თავაძე"	"გომარეთის ქ. 30, წალკა"
"ლელა ჩადუნელი"	"შევჩენკო ტარასის ქ. 40, ცხინვალი"
"ვახტანგ ვალიევა"	"გონაშვილი ჰამლეტის ქ. 50, კასპი"
"თემურ არველაძე"	"კიშინიოვის ქ. 90, გუდაუთა"
"გალინა თოლორდავა"	"შაქრიანის ქ. 55, ჯვარი"
"ვახტანგ გოგუა"	"ხმელნიცკის ქ. 96, ქარელი"
"ლამარა არჩვაძე"	"ლუსიანინის ქ. 18, ლაგოდეხი"
"თამუნა ბეჟანიშვილი"	"ნაბახტაურის ქ. 40, ზესტაფონი"
"ნონა პაპიაშვილი"	"ყიფშიძის ქ. 29, ოზურგეთი"
"მედიკო დიასამიძე"	"ვეძინის ქ. 91, წყალტუბო"
"გურამ კილასონია"	"გორის ქ. 58, ლაგოდეხი"
"ნიკოლოზ ბრეგვაძე"	"ბაგინეთის ქ. 06, აბაშა"
"ვანო ჟვანია"	"ჯანაშვილის ქ. 09, ახალი ათონი"
"ვერიკო ბენიძე"	"გარეჯელი დავითის ქ. 88, ლანჩხუთი"
"მერი კუბლაშვილი"	"ხვინგიას ქ. 69, ტყვარჩელი"
"მარიამ ჩაჩანიძე"	"ქერჩის ქ. 55, თელავი"
"უშანგი ნაცვლიშვილი"	"გუდიაშვილი ლადოს ქ. 19, გაგრა"
"კარლო პატარაია"	"ბროლოსანის ქ. 21, მარნეული"
"სოფია ჯოჯუა"	"მოსაშვილის ქ. 85, მცხეთა"
"მამუკა სალუქვაძე"	"ჩხიკვაძის ქ. 09, წალენჯიხა"
"გურამ მგალობლიშვილი"	"პიატიგორსკის ქ. 29, ხაშური"
"ლანა ცერცვაძე"	"წინანაურის ქ. 64, ამბროლაური"
"ბელა ჯღარკავა"	"გურჯაანის ქ. 92, ოჩამჩირე"
"გოჩა შონია"	"კიევის ქ. 23, ზუგდიდი"
"ნიკოლოზ ვაშაკიძე"	"ილურიძე კონსტანტინეს ქ. 13, ახალი ათონი"
"სოფია დანელია"	"ბერბუქის ქ. 70, დმანისი"
"ზაურ თოდუა"	"მიტინგის ქ. 70, ქობულეთი"
"ნატო ჯიშკარიანი"	"თონეს ქ. 37, გაგრა"
"მანანა გურეშიძე"	"ლესია უკრაინკას ქ. 22, წყალტუბო"
"მარია ქარდავა"	"მნათობის ქ. 60, ჭიათურა"
"გურამ ნაცვლიშვილი"	"სამღერეთის ქ. 47, ქობულეთი"
"იური გოგოლაძე"	"გუნიას ქ. 45, საგარეჯო"
"ლეილა წულაია"	"ბესიკის ქ. 85, საგარეჯო"
"მაყვალა დარბაიძე"	"თოდრიას ქ. 47, ხობი"
"ჯულიეტა გუჯაბიძე"	"გორის ქ. 74, გუდაუთა"
"ზოია ქავთარაძე"	"კუმისის ქ. 47, მარტვილი"
"მთვარისა კაკაურიძე"	"ტატიშვილის ქ. 14, სენაკი"
"ნატო ჩიქოვანი"	"კასპის ქ. 19, სენაკი"
"ნოდარ ხურცილავა"	"ყიფშიძის ქ. 37, ქარელი"
"ბესიკ ჯალაღონია"	"ცხრა ძმის ქ. 15, გარდაბანი"
"გურამ ნიკოლეიშვილი"	"აბესაძე გიას ქ. 79, ბორჯომი"
"კახაბერ ახვლედიანი"	"ბოჭორმის ქ. 33, გუდაუთა"
"მინდია რევაზიშვილი"	"ნაგომარის ქ. 66, თერჯოლა"
"თინათინ თედორაძე"	"ოცხელების ქ. 17, ქარელი"
"დიმიტრი მჭედლიძე"	"რთველაძის ქ. 22, ბორჯომი"
"მარინა ძიძიგური"	"რუისპირის ქ. 26, გუდაუთა"
"მინდია თურმანიძე"	"ბოჭორიშვილის ქ. 17, ამბროლაური"
"ბიძინა ხიმშიაშვილი"	"შავიშვილის ქ. 60, ოჩამჩირე"
"ვერა ქურდაძე"	"ბოდბის ქ. 22, თერჯოლა"
"გალინა გაჩეჩილაძე"	"მაღალაშვილის ქ. 04, სამტრედია"
"გურამ სამუშია"	"ლიკანის ქ. 68, ვალე"
"ხვიჩა ნატროშვილი"	"წერნაკის ქ. 83, ვანი"
"ირინა გვასალია"	"თმოგვის ქ. 30, წალკა"
"ელზა ჯაიანი"	"ართვინის ქ. 32, ონი"
"ზაქარია კაკაურიძე"	"მრევლიშვილის ქ. 48, ვალე"
"ედუარდ აბულაძე"	"უნივერსიტეტის ქ. 94, ოზურგეთი"
"ეკა პაპავა"	"ნინიძის ქ. 21, ნინოწმინდა"
