"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა" 
"გოდერძი ხაჩიძე","ბაქრაძე დავითის ქ. 73, საგარეჯო"
"გია ქანთარია","აბაშიძე ირაკლის ქ. 94, ახალი ათონი"
"კონსტანტინე მათიაშვილი","ხაჩატურიანის ქ. 31, რუსთავი"
"ლიკა ბერძენიშვილი","დუშეთის ქ. 55, ცაგერი"
"ნაირა მეტრეველი","საბაშვილის ქ. 79, მარნეული"
"ქეთინო ჭეიშვილი","აბასთუმანის ქ. 79, ხობი"
"ლია ავალიანი","ხვანჭკარის ქ. 16, ბორჯომი"
"ჯაბა პეტროსიანი","უიარაღოს ქ. 35, გარდაბანი"
"ედუარდ ბექაური","ჭოველიძე თამარის ქ. 40, ყვარელი"
"ლუიზა კაპანაძე","ბოლნისის ქ. 86, ბათუმი"
"გოჩა ანთაძე","გამყრელიძის ქ. 58, რუსთავი"
"ბესარიონ ცეცხლაძე","ბუხაიძის ქ. 27, გორი"
"ლიანა ტყეშელაშვილი","ალადაშვილის ქ. 50, ჯვარი"
"ნორა გობეჯიშვილი","ჩოხატაურის ქ. 46, სიღნაღი"
"ანჟელა კაცაძე","ბაკურციხის ქ. 24, მარტვილი"
"ზინა დავითაშვილი","სულხან-საბას ქ. 55, გაგრა"
"ნუკრი ღამბაშიძე","ტიულენევის ქ. 09, ხაშური"
"ზვიად გიგაური","გონაშვილი ჰამლეტის ქ. 96, გარდაბანი"
"ვანო კონცელიძე","გეგუთის ქ. 75, კასპი"
"ვერა ზარიძე","გუდაურის ქ. 12, აბაშა"
"გოჩა დანელია","გომის ქ. 27, ახალქალაქი"
"ელგუჯა კობიაშვილი","ვარდისუბნის ქ. 82, ყვარელი"
"სულიკო ღვინჯილია","კიკეთის ქ. 02, თერჯოლა"
"ბონდო ახალაია","სურამის ქ. 39, თბილისი"
"ლელა ჭკადუა","ზეინკლის ქ. 79, ცაგერი"
"ხათუნა კაციტაძე","მორეტის ქ. 59, ყვარელი"
"ბესიკ შაინიძე","ყიფიანის ქ. 25, დედოფლისწყარო"
"კახა გაბელია","ზედაზნის ქ. 52, თერჯოლა"
"ბელა მელაძე","არველაძის ქ. 47, თბილისი"
"ასმათ შანიძე","ფანასკერტელ-ციციშვილის ქ. 82, ხაშური"
"გოჩა კურტანიძე","ლერმონტოვის ქ. 50, დედოფლისწყარო"
"მირანდა ჭანტურია","თერგის ქ. 26, გარდაბანი"
"გიორგი ალიევი","ნოსირის ქ. 60, ბაღდათი"
"თემურ ზარიძე","ტატიშვილი ერეკლეს ქ. 53, ნინოწმინდა"
"მედეა აბაშიძე","სართიჭალის ქ. 97, თეთრიწყარო"
"დათო არაბიძე","ბარათაშვილის ქ. 74, ბოლნისი"
"ჯაბა ილურიძე","თუმანიანის ქ. 84, ოზურგეთი"
"შოთა ფოფხაძე","ლამის ქ. 65, ზესტაფონი"
"ბესარიონ ყურაშვილი","არაგვისპირელი შიოს ქ. 82, ბათუმი"
"ლარისა ცეცხლაძე","ლაითურის ქ. 52, გუდაუთა"
"გოჩა ლეჟავა","ბადიაურის ქ. 87, სენაკი"
"მედიკო მარგველაშვილი","ტაბიძე ტიციანის ქ. 65, ქუთაისი"
"ბადრი ნეფარიძე","აჯამეთის ქ. 73, მარნეული"
"ნაირა დარბაიძე","მირზაანის ქ. 34, გუდაუთა"
"სალომე გოგოხია","ჯავახიშვილი მიხეილის ქ. 27, ქობულეთი"
"ლევან გეგეშიძე","აბაკელიას ქ. 89, თბილისი"
"მერაბ მარგველაშვილი","ურიდიას ქ. 10, ოჩამჩირე"
"გოჩა კუჭავა","კაიშაურის ქ. 13, ზუგდიდი"
"პაატა გრიგორიანი","ყიფიანის ქ. 71, გარდაბანი"
"არჩილ ჟვანია","ლაილაშის ქ. 17, ოჩამჩირე"
"გოჩა მღებრიშვილი","მესხიას ქ. 69, წყალტუბო"
"ეკა ვაშაყმაძე","წყალსადენის ქ. 87, ცხინვალი"
"ციალა მუშკუდიანი","გუდარეხის ქ. 19, ლანჩხუთი"
"აკაკი აფციაური","ცისარტკელას ქ. 62, ახალქალაქი"
"იაგო ბერუაშვილი","ჭონქაძე დანიელის ქ. 03, ლანჩხუთი"
"ილია კვირკველია","ონიაშვილის ქ. 52, წალკა"
"ლიკა გელაშვილი","ბაზალეთის ქ. 47, ბათუმი"
"დოდო ნაკაშიძე","ხაჩატურიანის ქ. 91, გუდაუთა"
"ნატო ხელაძე","გორის ქ. 00, ზესტაფონი"
"ლევან ხვედელიძე","ტაბიძე ტიციანის ქ. 04, გაგრა"
"გოჩა ჟვანია","ჯანაშიას ქ. 78, ონი"
"მთვარისა ავალიანი","კანდელაკის ქ. 55, ქობულეთი"
"ასლან ზედგინიძე","ნასაკირალის ქ. 86, ონი"
"დალი ალიევა","არეშიძის ქ. 26, ხონი"
"ალექსანდრე ტურაშვილი","აბანოს ქ. 86, ახალქალაქი"
"ნიკა ჯიშკარიანი","ბოჭორმის ქ. 69, ტყიბული"
"ზაირა ლაბაძე","ენგურჰესის ქ. 67, სამტრედია"
"გენადი ღვინჯილია","ცაგარელი არჩილის ქ. 92, საგარეჯო"
"ტატიანა ზარქუა","ვართაგავას ქ. 50, სოხუმი"
"გრიგოლ ბლიაძე","მუხრანის ქ. 13, მარნეული"
"გოჩა სიმონიშვილი","ლარსის ქ. 59, ახმეტა"
"მარგალიტა ქარდავა","წერნაკის ქ. 81, ქუთაისი"
"ამირან პაპავა","დაისის ქ. 01, ბათუმი"
"ვალერი ჭანტურიძე","მებაღიშვილის ქ. 48, წალენჯიხა"
"ლამზირა კახიძე","ბარალეთის ქ. 51, თერჯოლა"
"ლიდა ურუშაძე","ზიჩი მიხაის ქ. 79, სოხუმი"
"ანნა კაცაძე","ქვიშხეთის ქ. 94, გარდაბანი"
"ელმირა ანთაძე","კოტე ხიმშიაშვილის ქ. 70, ხონი"
"არმენ უგრეხელიძე","ხაბეიშვილის ქ. 49, ყვარელი"
"თამარი ახვლედიანი","ალიხანიანის ქ. 74, აბაშა"
"გოჩა ტყემალაძე","ობსერვატორიის ქ. 80, ბოლნისი"
"ნათია ჯაიანი","ლეჟავას ქ. 32, ბაღდათი"
"სერგო პეტროსიანი","გარეჯელი დავითის ქ. 98, თელავი"
"ვიქტორ გელაძე","ფოთის ქ. 14, დუშეთი"
"ნატალია კობერიძე","გოცირიძის ქ. 76, ცაგერი"
"ზაურ ხაჩიძე","ტიხონოვის ქ. 09, ახალქალაქი"
"ლევან ბარამიძე","ჭაბუკიანი ვახტანგის ქ. 77, ბათუმი"
"გულიკო ფარცვანია","პისარევის ქ. 88, ახმეტა"
"თამთა კვაჭაძე","ხაზინის ქ. 70, ჯვარი"
"ტარიელ კიკნაძე","ქავთარაძის ქ. 88, თელავი"
"გოჩა ღამბაშიძე","სულხან-საბას ქ. 43, მცხეთა"
"დოდო ჯოხაძე","იზაშვილის ქ. 12, ტყიბული"
"ციური გეგეშიძე","მოლითის ქ. 27, ტყიბული"
"ლიკა ფანცულაია","წიკლაურის ქ. 25, გუდაუთა"
"ნელი კონცელიძე","ხევძმარის ქ. 62, სენაკი"
"შაქრო ბაქრაძე","კვალეთის ქ. 94, ლანჩხუთი"
"სუსანა ჯანიაშვილი","ამაღლების ქ. 81, ზუგდიდი"
"ბიძინა გორგოძე","კერესელიძე არჩილის ქ. 51, წალენჯიხა"
"ოთარ ჩუბინიძე","გომის ქ. 16, გურჯაანი"
"ზაზა გელაშვილი","არაყიშვილი დიმიტრის ქ. 24, ქარელი"
"გოჩა ხაჭაპურიძე","ძმობის ქ. 28, ხონი"
"მიხეილ ცომაია","ალმასიანის ქ. 34, თეთრიწყარო"
"კლარა წიქარიშვილი","ჯორბენაძის ქ. 30, გაგრა"
"ვიქტორ ასათიანი","მამრაძის ქ. 10, ცხინვალი"
"ილია ჟღენტი","ილურიძე კონსტანტინეს ქ. 81, ქარელი"
"ვალენტინა მოსიაშვილი","ტაბახმელას ქ. 61, ქობულეთი"
"როინ რეხვიაშვილი","ბროსეს ქ. 04, თეთრიწყარო"
"არტურ ლომთაძე","უკლება კირილეს ქ. 56, სოხუმი"
"ზაზა პატარაია","ერწოს ქ. 65, ოჩამჩირე"
"თემურ კვაჭაძე","თიანეთის ქ. 32, სიღნაღი"
"გრიგოლ ასათიანი","ცურტაველი იაკობის ქ. 30, დმანისი"
"ლუბა კოპაძე","ტრიკოტაჟის ქ. 60, რუსთავი"
"ია ჯღარკავა","სადმელის ქ. 41, ოჩამჩირე"
"ნარგიზა დალაქიშვილი","აჯამეთის ქ. 50, ბაღდათი"
"ვალენტინა ჯიბლაძე","ნონეშვილი იოსების ქ. 47, ოჩამჩირე"
"ილია ჩიქოვანი","ართვინის ქ. 54, ბაღდათი"
"ალექს გაბელია","ნადიკვარის ქ. 85, ხონი"
"ჟანა პაპავა","ბარამიძე ალექსანდრეს ქ. 75, საჩხერე"
"იზოლდა სანიკიძე","კარგარეთელის ქ. 78, ხაშური"
"ცისანა ჯიქია","მშველიძის ქ. 01, ბორჯომი"
"გრიგოლ ბიწაძე","ზიჩი მიხაის ქ. 23, გარდაბანი"
"გოგიტა ხარებავა","დეპოს ქ. 74, საჩხერე"
"ჯაბა ხარაზიშვილი","ქინძმარაულის ქ. 32, რუსთავი"
"გენადი ბიბილაშვილი","გახოკიძე აკაკის ქ. 33, ვანი"
"თამუნა ხარაზიშვილი","გოძიაშვილის ქ. 31, ბაღდათი"
"გულიკო მეგრელიშვილი","ლამისყანის ქ. 96, წალკა"
"ჯონი შანიძე","ცისკრის ქ. 10, თელავი"
"ფატიმა ალიევი","ქვალონის ქ. 86, მცხეთა"
"ლია ახალაძე","ჯიქიას ქ. 09, საგარეჯო"
"კარინე დემეტრაშვილი","უზნაძის ქ. 25, დმანისი"
"გრიგოლ გურეშიძე","გროზნოს ქ. 95, ქარელი"
"ლიზა რამიშვილი","გამცემლიძე შოთას ქ. 56, ჭიათურა"
"გოდერძი დვალი","კურსკის ქ. 60, ცხინვალი"
"ლეილა მაღრაძე","კანდელაკის ქ. 90, ხაშური"
"როზა ზარქუა","იბრაჰიმ ისპაჰანელის ქ. 02, საგარეჯო"
"არმენ შარიქაძე","ტვიშის ქ. 38, წალენჯიხა"
"ლიზა მაღლაკელიძე","ზეკარის ქ. 16, თეთრიწყარო"
"ვლადიმერ რამიშვილი","ნიაღვრის ქ. 63, გარდაბანი"
"ლილი მახათაძე","ბალადინის ქ. 21, ზუგდიდი"
"უჩა გიორგაძე","გორგასლის ქ. 70, ვალე"
"გრიგოლ კუჭავა","მათიაშვილის ქ. 56, ვალე"
"სოფიო მაღლაკელიძე","გომბორის ქ. 29, ახალციხე"
"გოდერძი მღებრიშვილი","ქუთაისის ქ. 55, აბაშა"
"გიგლა ბოკუჩავა","გამცემლიძე შოთას ქ. 95, გურჯაანი"
"ქრისტინე ხარშილაძე","გაბაშვილი ეკატერინეს ქ. 04, ვანი"
"ნაირა ჩხარტიშვილი","უბილავას ქ. 53, ზუგდიდი"
"ვეფხვია გოგინაშვილი","ილურიძე კონსტანტინეს ქ. 21, თელავი"
"თამარ წიქარიშვილი","ოფრეთის ქ. 85, ონი"
"მირანდა ჯალაღონია","ენგურჰესის ქ. 38, ახალციხე"
"მარიკა ხვედელიძე","ტაშკენტის ქ. 22, ცხინვალი"
"გრიგოლ კუჭუხიძე","პანკისის ქ. 48, ბორჯომი"
"რეზო ალიევი","მაღაროს ქ. 78, გუდაუთა"
"ზაურ მოსიაშვილი","წმ. ნიკოლოზის ქ. 90, ჭიათურა"
"დალი ფარტენაძე","გამყრელიძის ქ. 10, ლაგოდეხი"
"ვახტანგ ტურაშვილი","პისარევის ქ. 68, გაგრა"
"ია ხარაბაძე","შენგელაიას ქ. 82, მარნეული"
"ნოდარ კვაჭაძე","კოდორის ქ. 58, გურჯაანი"
"გურამ არჩვაძე","მიცკევიჩის ქ. 41, ნინოწმინდა"
"კახაბერ კიკვაძე","შილდის ქ. 34, წნორი"
"ვლადიმერ ცაავა","გოძიაშვილის ქ. 10, ახმეტა"
"გრიგოლ ტაკიძე","აწყურის ქ. 14, ახმეტა"
"ჯაბა გეგეშიძე","ბერიაშვილის ქ. 27, გარდაბანი"
"სერგო კვაჭაძე","ოსიაურის ქ. 48, ახალციხე"
"როინ მაისურაძე","მახათას ქ. 23, წალკა"
"თამაზ ხუციშვილი","მიჩურინის ქ. 39, წყალტუბო"
"ნუგზარ ქარჩავა","მარაბდის ქ. 82, ქუთაისი"
"გოდერძი ბერიაშვილი","არბოშიკის ქ. 80, გორი"
"ნიკოლოზ ჭაღალიძე","კოლმეურნეობის ველის ქ. 26, ოჩამჩირე"
"გიგლა სირაძე","განთიადის ქ. 66, თერჯოლა"
"როინ არაბული","ლაღიძე მიტროფანეს ქ. 17, ჭიათურა"
"გრიგოლ ფეიქრიშვილი","სამშვილდეს ქ. 61, ზუგდიდი"
"ლეილა ლაცაბიძე","ზემო ვაკის ქ. 54, წალენჯიხა"
"სოფია დიასამიძე","ლომაურის ქ. 45, ახალციხე"
"ჯემალ ჭიღლაძე","გუმბრის ქ. 40, სოხუმი"
"თემურ ცანავა","ხეჩუაშვილის ქ. 60, საგარეჯო"
"ელენა გიგაური","სალხინოს ქ. 20, თბილისი"
"ლეილა ხურცილავა","უჩანეიშვილი ირაკლის ქ. 49, წყალტუბო"
"მანანა ჭანტურია","ახუნდოვის ქ. 09, თბილისი"
"დავით ელბაქიძე","კანდელაკის ქ. 38, ახმეტა"
"ვეფხვია გოგოხია","აგლაძე რაფიელის ქ. 00, ყვარელი"
"გრიგოლ ქობალია","ციმაკურიძის ქ. 22, თბილისი"
"ირინა კიკვაძე","დგებუაძის ქ. 53, ლაგოდეხი"
"ელზა შავაძე","ზემო ვეძისის ქ. 72, მარტვილი"
"ვალერიან აბესაძე","სამურზაყანოს ქ. 01, ონი"
"მერაბ დემეტრაშვილი","გერგეტის ქ. 93, გალი"
"ირაკლი შველიძე","ენისელის ქ. 03, მარნეული"
"თემურ ნაჭყებია","იაშვილი პაოლოს ქ. 75, ქობულეთი"
"ნატო ბერიაშვილი","ვაშლოვანის ქ. 58, კასპი"
"ავთანდილ ჯანელიძე","მარჯანიშვილი კოტეს ქ. 43, თბილისი"
"ელენა კაცაძე","ნოსტეს ქ. 85, ზესტაფონი"
"გრიგოლ ქუთათელაძე","მუკუზანის ქ. 97, ჯვარი"
"გიორგი კაკაურიძე","ახალქალაქის ქ. 50, ამბროლაური"
"ციალა ფხაკაძე","აბდუშელიშვილი მალხაზის ქ. 64, ოზურგეთი"
"ვასილ კახიძე","ინანიშვილი რამაზის ქ. 08, ოჩამჩირე"
"ლეილა ქარდავა","ბეღლეთის ქ. 19, დუშეთი"
"ვახტანგ ხორავა","ტყვარჩელის ქ. 98, დმანისი"
"იზა აბრამიშვილი","ოძისის ქ. 64, თერჯოლა"
"როლანდ კერესელიძე","ბერიაშვილის ქ. 53, ხონი"
"ლიზა ფიფია","გარე კახეთის ქ. 14, წნორი"
"პავლე ჯანიაშვილი","ცუცქირიძის ქ. 37, ხობი"
"გრიგოლ ხარებავა","დ. ყიფიანის ქ. 46, ოზურგეთი"
"აზა კობიაშვილი","დირსიჭალას ქ. 96, დმანისი"
"ნათელა პატარაია","ტყვიავის ქ. 66, ჭიათურა"
"მაყვალა ბარბაქაძე","უფლისციხის ქ. 08, დმანისი"
"ხატია როგავა","ანდრონიკაშვილის ქ. 87, გორი"
"გალინა კუჭავა","კიევის ქ. 23, ქუთაისი"
"რობერტ სირბილაძე","გაფრინდაულის ქ. 22, გარდაბანი"
"ლელა მჟავანაძე","ბზიფის ქ. 79, ქობულეთი"
"ლაშა ფიფია","ხაჩატურიანის ქ. 46, წნორი"
"დალი ლაცაბიძე","რუსთაველის ქ. 91, დედოფლისწყარო"
"გრიგოლ ჯალაღონია","მეუნარგიას ქ. 23, ვალე"
"დიანა ლურსმანაშვილი","ფანასკერტელ-ციციშვილის ქ. 56, წნორი"
"მინდია ვარდოსანიძე","არგვეთის ქ. 08, რუსთავი"
"სოფია საჯაია","ლაგოდეხის ქ. 69, ცაგერი"
"ჟუჟუნა მეფარიშვილი","სპანდარიანის ქ. 73, ბორჯომი"
"ნათელა ქირია","გუდაურის ქ. 21, ბოლნისი"
"გია სანიკიძე","გორის ქ. 59, თელავი"
"ნინო ფიფია","თარხნიშვილის ქ. 64, ცაგერი"
"თინათინ მელაძე","ეფრემ მცირის ქ. 50, გალი"
"ლენა რეხვიაშვილი","ვეზიროვის ქ. 25, ნინოწმინდა"
"გუგული ბერიანიძე","ბაქრაძე დავითის ქ. 33, წალკა"
"დემურ გურგენიძე","როდენის ქ. 77, ხაშური"
"ტარიელ ნაბიევი","ქობულეთის ქ. 48, დუშეთი"
"ვეფხვია კაჭარავა","არდონის ქ. 90, ლაგოდეხი"
"ნორა ქავთარაძე","მარაბდის ქ. 41, გალი"
"ვენერა მოდებაძე","სუნდუკიანის ქ. 04, დედოფლისწყარო"
"უჩა კიკნაძე","ისაკიანის ქ. 70, რუსთავი"
"ქრისტინე ჩხეიძე","სიღნაღის ქ. 10, ტყვარჩელი"
"აკაკი სიხარულიძე","ხევის ქ. 92, ნინოწმინდა"
"გიგლა ირემაძე","ოცხელების ქ. 41, ტყიბული"
"გუგული თოფურია","ქუჩიშვილის ქ. 55, ბათუმი"
"ვაჟა ნიჟარაძე","მოლითის ქ. 50, გალი"
"პეტრე გოგუა","გორის ქ. 86, ბოლნისი"
"თამარა კობახიძე","ციხისძირის ქ. 81, მცხეთა"
"გულიკო აბულაძე","წერონისის ქ. 57, რუსთავი"
"ელგუჯა ფარცვანია","სკოლის ქ. 00, ტყვარჩელი"
"პავლე მუსაევა","ფშავის ქ. 46, გაგრა"
"სერგო ფარცვანია","ჟინვალის ქ. 59, საჩხერე"
"ალექს ფანცულაია","ასურეთის ქ. 75, წნორი"
"ბესარიონ მჟავანაძე","დიდი ჯიხაიშის ქ. 73, დუშეთი"
"გუგული კვანტალიანი","შინდისის ქ. 29, ფოთი"
"მადონა სილაგაძე","ორბეთის ქ. 24, მარნეული"
"მერაბ ფიცხელაური","მოსე ხონელის ქ. 89, ჭიათურა"
"ზაზა ჭინჭარაული","ტანძიის ქ. 24, კასპი"
"ავთანდილ თედორაძე","ზალდასტანიშვილის ქ. 22, ახალციხე"
"ელმირა ხარშილაძე","მუკუზანის ქ. 62, ცაგერი"
"სერგო ახვლედიანი","დირსიჭალას ქ. 08, ხაშური"
"ლაშა ვეკუა","ქედის ქ. 45, თელავი"
"ბელა კონცელიძე","ვეზიროვის ქ. 76, ხაშური"
"ნოდარ მჟავანაძე","სართიჭალის ქ. 02, ჯვარი"
"გუგული ლორთქიფანიძე","ოფრეთის ქ. 91, ზუგდიდი"
"თინათინ როგავა","შორაპნის ქ. 51, ახალციხე"
"ჯულიეტა ბრეგაძე","შილდის ქ. 22, გაგრა"
"ლუიზა ბიბილაშვილი","დვალის ქ. 54, ახალქალაქი"
"ზაზა ნაკაშიძე","ნაქალაქევის ქ. 06, ტყიბული"
"ლუდმილა ჩინჩალაძე","ჭოპორტის ქ. 84, მარტვილი"
"ვიოლეტა ჯინჭარაძე","ხეთაგუროვის ქ. 50, დმანისი"
"ბორის კაკაბაძე","კუმისის ქ. 71, ახალქალაქი"
"ვასილ ბოჭორიშვილი","ანანურის ქ. 40, წალკა"
"რობერტ ნიკოლეიშვილი","ზეკარის ქ. 60, ახალი ათონი"
"გუგული ონიანი","ვეზიროვის ქ. 11, თეთრიწყარო"
"ვანო ქუთათელაძე","ვეკუა ვოვას ქ. 33, ვანი"
"პაატა დემეტრაშვილი","დაისის ქ. 07, დედოფლისწყარო"
"ედუარდ იმერლიშვილი","ნიაღვრის ქ. 13, გარდაბანი"
"რომან ხარაზიშვილი","საგურამოს ქ. 91, წალენჯიხა"
"პეტრე ჯაფარიძე","ჯანაშიას ქ. 71, ბოლნისი"
"რეზო არაბიძე","ბეჟანიშვილი ეკას ქ. 01, წალენჯიხა"
"ბექა ჟვანია","ყუშიტაშვილის ქ. 94, ამბროლაური"
"ნუგზარ კიკვაძე","პეტეფი შანდორის ქ. 15, ოჩამჩირე"
"ბესარიონ ბენიძე","მარჯანიშვილი კოტეს ქ. 39, გუდაუთა"
"გუგული რუხაძე","ანჯაფარიძე ვერიკოს ქ. 37, დმანისი"
"სალომე გორგაძე","კიკეთის ქ. 70, თერჯოლა"
"ასლან მაჩიტიძე","შარაშიძის ქ. 59, ცხინვალი"
"ლუიზა მანაგაძე","აბოვიანის ქ. 59, აბაშა"
"ბადრი ნაბიევი","ლიახვის ქ. 39, ხონი"
"რევაზ ყიფიანი","ორხევის ქ. 37, ცაგერი"
"თამთა გორგაძე","დოლიძე გოგის ქ. 38, დმანისი"
"გოჩა გულუა","ცაგერის ქ. 06, თბილისი"
"ბორის ლაცაბიძე","ცაგარელი არჩილის ქ. 66, ქარელი"
"აიდა ფოფხაძე","გაგარინი იურის ქ. 69, თეთრიწყარო"
"გუგული ყიფშიძე","კარგარეთელის ქ. 03, სოხუმი"
"მთვარისა კანდელაკი","ბეჟანიშვილი ეკას ქ. 87, ხონი"
"გოჩა ბაქრაძე","ჭოპორტის ქ. 63, გარდაბანი"
"იამზე გაფრინდაშვილი","ფერისცვალების ქ. 28, ოზურგეთი"
"ნადია მელქაძე","ბოდავის ქ. 55, თბილისი"
"ბიძინა გიგაური","გუმათის ქ. 80, აბაშა"
"მიხეილ ბერძენიშვილი","ბენდელიანი ჭიჭიკოს ქ. 44, საჩხერე"
"ჯემალ ლომაძე","სხვიტორის ქ. 53, ხობი"
"ალექს შენგელია","ხახანაშვილის ქ. 76, ყვარელი"
"ანნა ბიბილაშვილი","გ. სვანიძის ქ. 10, წყალტუბო"
"გუგული ჭითანავა","ტრაქტორის ქ. 60, დუშეთი"
"თამაზ დუმბაძე","ჯ. კახიძის ქ. 72, რუსთავი"
"ლიზა ბიგვავა","სუვოროვის ქ. 71, გარდაბანი"
"მედიკო კალანდია","კაპანაძის ქ. 09, თელავი"
"ნანი ჭკადუა","ქებურიას ქ. 72, თერჯოლა"
"მედიკო მიქაძე","ზედაზნის ქ. 87, ბოლნისი"
"ბიძინა ჯანჯღავა","ზეკარის ქ. 62, სენაკი"
"კონსტანტინე გუჯაბიძე","თოფურიას ქ. 90, მცხეთა"
"ხვიჩა ვალიევა","ჯორჯაძის ქ. 93, ცაგერი"
"ლევან გოგოლაძე","ერისთავ-ხოშტარიას ქ. 33, ფოთი"
"გუგული ჯანიაშვილი","იზაშვილის ქ. 09, გალი"
"ვარდო ლიპარტელიანი","ბაქრაძე დიმიტრის ქ. 87, გორი"
"ევგენია კუხიანიძე","ზვარეთის ქ. 23, სამტრედია"
"სვეტლანა ჯანელიძე","თიანეთის ქ. 12, წალკა"
"სულიკო კობერიძე","ღუდუშაური ოთარის ქ. 36, სიღნაღი"
"ვიოლეტა მახარაშვილი","ქურდიანი ზაქარიას ქ. 09, თეთრიწყარო"
"ომარ გაბედავა","ბალანჩივაძე მელიტონის ქ. 90, ზესტაფონი"
"შალვა ონიანი","მარუაშვილი გიორგის ქ. 66, სენაკი"
"გოგი კობახიძე","ნასაკირალის ქ. 88, ახალქალაქი"
"ევგენია ჩხეიძე","ლუბლიანას ქ. 81, ქუთაისი"
"გულიკო შავაძე","ხვამლის ქ. 15, გარდაბანი"
"ემა ნიკოლაიშვილი","ზედაუბნის ქ. 40, სამტრედია"
"ლიზა დავითაძე","ქუთაისის ქ. 96, სოხუმი"
"როზა ანდღულაძე","ჩკალოვის ქ. 46, ოზურგეთი"
"რამაზ თედორაძე","იალბუზის ქ. 53, ბოლნისი"
"სერგო მამულაშვილი","ელდარის ქ. 54, ყვარელი"
"თინა კვანტალიანი","თმოგველის ქ. 85, ქარელი"
"ნანული გოგიშვილი","აჯამეთის ქ. 68, დედოფლისწყარო"
"ედუარდ წურწუმია","ხვედელიანის ქ. 01, ახალი ათონი"
"რამაზ გოგოლაძე","თევდორე მღვდლის ქ. 58, ნინოწმინდა"
"გულნარა მაჭავარიანი","გოგოლაურის ქ. 18, გუდაუთა"
"ცისანა ჯიქია","ტეტელაშვილის ქ. 34, ონი"
"მირიან მუშკუდიანი","ხერთვისის ქ. 94, წნორი"
"სიმონ ზარქუა","ახმეტის ქ. 87, ახმეტა"
"ნადია ნემსაძე","ზედამზის ქ. 43, ვანი"
"დარეჯან შარიქაძე","არბოს ქ. 17, ფოთი"
"ნანული ჩაფიძე","ბზიფის ქ. 55, ლაგოდეხი"
"გოჩა ჯღარკავა","სამგორის ქ. 01, ზესტაფონი"
"ზინა ხვიჩია","სამგორის ქ. 80, ყვარელი"
"თამუნა ისაევი","ჩხიკვაძის ქ. 60, წყალტუბო"
"გულნარა წულაია","ტატიშვილის ქ. 39, სოხუმი"
"ნატალია გოგია","გომბორის ქ. 84, აბაშა"
"ჯაბა მაისურაძე","მარიჯანის ქ. 00, ფოთი"
"ბესიკ ნიჟარაძე","სამამულო ომის გმირების ქ. 44, ლაგოდეხი"
"თეა ხაჩიძე","გახოკიძის ქ. 82, ჭიათურა"
"სვეტლანა ლობჯანიძე","ვარდევანის ქ. 31, ოჩამჩირე"
"გრიგოლ ტყეშელაშვილი","ბარალეთის ქ. 89, ხაშური"
"არმენ ხაჩიძე","ლარსის ქ. 51, წალკა"
"ევგენია ჯიბლაძე","ყირიმის ქ. 60, ცაგერი"
"მინდია თოლორდავა","თრიალეთის ქ. 12, წალენჯიხა"
"გურამ თურმანიძე","ბაზალეთის ქ. 43, გაგრა"
"თამარა გოგუაძე","წულაძის ქ. 11, ამბროლაური"
"ლამზირა შველიძე","გოცირიძის ქ. 50, აბაშა"
"ჟუჟუნა მელაძე","გრიშაშვილის ქ. 73, ლანჩხუთი"
"დათო მათიაშვილი","შავსოფელის ქ. 44, ახალქალაქი"
"ვანო თავართქილაძე","გუდამაყრის ქ. 50, ტყიბული"
"ინგა დალაქიშვილი","ახალდაბის ქ. 99, თერჯოლა"
"ვარდო გორგილაძე","დიდგორის ქ. 71, მარნეული"
"ლუბა მუსტაფაევი","გუმათის ქ. 71, დუშეთი"
"იაგო ხიმშიაშვილი","ნიაღვრის ქ. 56, ლაგოდეხი"
"გურამ იობიძე","ტყის ქ. 27, დუშეთი"
"რიმა ნიკოლეიშვილი","გუმათის ქ. 57, ოზურგეთი"
"ანა კუპატაძე","ბაღნარის ქ. 87, წყალტუბო"
"სვეტლანა გაბედავა","გრიშაშვილის ქ. 21, ზუგდიდი"
"გულიკო შველიძე","კურსების ქ. 20, გორი"
"მურმან ფხალაძე","გამრეკელის ქ. 29, ტყიბული"
"ლიანა კოპალიანი","ბალანჩივაძე მელიტონის ქ. 15, რუსთავი"
"თემურ გაბელია","ხიმშიაშვილის ქ. 45, ყვარელი"
"ასმათ შარიქაძე","ახალდაბის ქ. 28, გარდაბანი"
"იაგო ღამბაშიძე","არბოშიკის ქ. 88, ცხინვალი"
"გურამ ტაბატაძე","იფნის ქ. 70, თეთრიწყარო"
"მარი ხარებავა","ჩიკვანიას ქ. 30, გალი"
"ემა კუხიანიძე","შიო მღვიმელის ქ. 28, ბათუმი"
"ლანა ხაჭაპურიძე","აჭარის ქ. 61, ბაღდათი"
"ლალი გოგია","იეთიმ გურჯის ქ. 13, გალი"
"ჟუჟუნა ზურაბაშვილი","აჯამეთის ქ. 39, ფოთი"
"იზა კუპრეიშვილი","ევდოშვილის ქ. 26, გალი"
"აზა ირემაძე","დ. ყიფიანის ქ. 97, ქარელი"
"ჯაბა ვასაძე","ყირიმის ქ. 57, ონი"
"ჯულიეტა მოდებაძე","ალადაშვილის ქ. 63, მარნეული"
"გურამ ღამბაშიძე","მებაღიშვილის ქ. 93, ფოთი"
