ავთანდილ ელიზბარაშვი18 
ბადრი სხირტლაძე     17 
ბექა კარაპეტიანი    11 
გოგიტა გოგუა        13 
ბესიკ ბიბილაშვილი   13 
ილია მაღლაკელიძე    5  
მაყვალა ბურდული     6  
გიორგი მოსიაშვილი   1  
ნონა სულაბერიძე     8  
ნათია ჭიღლაძე       13 
თამაზ სამხარაძე     7
ბადრი შონია         15 
ვლადიმერ მიქელაძე   9  
გოგა სალუქვაძე      17 
სულიკო მერაბიშვილი  11 
ზაურ სიმონიშვილი    6  
მალხაზ სარქისიანი   19 
შაქრო მარგველაშვილი 11 
ეთერ ხვედელიძე      20 
გოგიტა მჟავანაძე    1  
ანი ელბაქიძე        4
ბელა ბრეგვაძე       8  
ჯულიეტა როსტიაშვილი 2  
თამუნა გოგუა        18 
როლანდ ჟორჟოლიანი   3  
ბონდო ჭკადუა        4  
შაქრო ცარციძე       9  
ვაჟა კვირკველია     18 
ბორის კირთაძე       20 
ბელა გულიაშვილი     18 
კობა მაღრაძე        13
ბელა გოგოლაძე       12 
პავლე კვინიკაძე     0  
გოჩა ანთაძე         13 
შაქრო ხმალაძე       16 
მირიან ხარჩილავა    7  
ლუიზა არველაძე      10 
ანნა თავაძე         17 
გივი ბაკურაძე       17 
ლევან ურუშაძე       12 
ამირან კონცელიძე    16
ბელა ლიპარტელიანი   0  
ელისო შამათავა      18 
გია ვეკუა           6  
შალვა გოცირიძე      10 
შორენა კოხრეიძე     3  
ვასილ მერებაშვილი   0  
ბელა ხეცურიანი      6  
ლელა ჯღარკავა       16 
მადონა ალიევი       4  
იზა სიჭინავა        6
ბელა შარიქაძე       11 
ელიზა გრძელიშვილი   1  
ელგუჯა თავაძე       3  
მარი მუსაევა        16 
ზაირა შარიქაძე      5  
ქეთევან ბერიძე      15 
რობერტ ზარიძე       2  
ნაზი ლობჟანიძე      19 
გალინა ჭელიძე       15 
თამაზ სირბილაძე     7
ბესარიონ აბრამიშვილი10 
მაია ბეჟანიძე       8  
ირინა ხუციშვილი     4  
ალექსანდრე ელიზბარაშ13 
ნანული გოგსაძე      6  
თამთა წულაია        20 
მთვარისა თაბაგარი   3  
გიული ნარიმანიძე    14 
მარგალიტა შარაშიძე  6  
ზურაბ კვანტალიანი   10
ბესარიონ ბარბაქაძე  18 
ხატია კაცაძე        19 
მეგი კირვალიძე      4  
ვეფხვია ფირცხალავა  20 
ნიკოლოზ გაგუა       8  
შაქრო წიქარიშვილი   17 
ვალერი გოგიჩაიშვილი 1  
რამაზ მახარაძე      13 
თენგიზ მახარაძე     8  
ბორის არაბიძე       4
ბესარიონ გაბუნია    7  
ალა ტაკიძე          14 
ხატია ქურდაძე       13 
შორენა მანაგაძე     19 
ვალერი ფეიქრიშვილი  17 
ასმათ ჭანტურიძე     13 
თამუნა დემეტრაშვილი 4  
ვალერი კანდელაკი    5  
უშანგი წურწუმია     13 
ევგენია ვეკუა       4
ბესარიონ გოგიტიძე   0  
გრიგოლ ადუაშვილი    8  
ეთერ ფხაკაძე        9  
ნატო მიქელაძე       10 
გივი ვარდოსანიძე    13 
ლუიზა კუპრაშვილი    0  
მარი ჩიქოვანი       4  
ლენა ხიმშიაშვილი    16 
ზურაბ კუჭუხიძე      16 
თამუნა ლეჟავა       4
ბესარიონ ისაევი     19 
ბონდო გრიგორიანი    14 
ბორის ტყემალაძე     13 
ჟენია ლომსაძე       16 
ლანა ჯიბლაძე        1  
ანზორ კახიძე        3  
ვეფხვია მაღრაძე     0  
ბესარიონ ხიმშიაშვილი2  
თამარა სიჭინავა     3  
რომან ბერიშვილი     17
ბესარიონ მახათაძე   5  
ვენერა შათირიშვილი  8  
ლუბა გრძელიშვილი    14 
სოსო გაბელია        0  
ეკატერინე კუპრაშვილი5  
ია მოსიაშვილი       16 
ნოდარ მათიაშვილი    14 
გურამ ღამბაშიძე     10 
მთვარისა მუმლაძე    14 
მიხეილ კუჭუხიძე     18
ბესარიონ მელიქიძე   1  
პავლე ბიწაძე        2  
ვანო მელაძე         16 
თემურ გოგოხია       20 
ქრისტინე მესხი      0  
პაატა სალუქვაძე     11 
ედუარდ მგალობლიშვილი16 
ნონა ელიზბარაშვილი  13 
რამაზ კაჭარავა      17 
სერგო შარიქაძე      16
ბესარიონ ნიქაბაძე   13 
თამარა ნაბიევი      11 
გენადი ბიწაძე       14 
რიმა ხიმშიაშვილი    12 
უჩა დევიძე          18 
გოგა ანდღულაძე      14 
ჯონი დიასამიძე      14 
თორნიკე კუპრაშვილი  13 
ამირან მახარაძე     12 
ნათია ვასაძე        3
ბესარიონ სალუქვაძე  9  
ქეთინო სიხარულიძე   12 
ალექს კეკელიძე      18 
ნადეჯდა მგალობლიშვილ12 
უშანგი მიმინოშვილი  11 
რომან გოცირიძე      5  
ნუგზარ დოლიძე       5  
ხათუნა ჭაღალიძე     14 
იური მელაძე         13 
ზვიად ზედგინიძე     3
ბესარიონ ცანავა     17 
გიული ბერაძე        15 
მაგდა მღებრიშვილი   7  
ელგუჯა ხარაზიშვილი  10 
რიტა მაისურაძე      11 
გიგა შუკაკიძე       5  
ილია გაფრინდაშვილი  14 
ხვიჩა ტუღუში        1  
გრიგოლ ჩოხელი       12 
ნაზიკო ბიგვავა      16
ბესიკ ბასილაძე      14 
ცირა კვერნაძე       1  
თამთა ქორიძე        5  
ნინო გოგია          17 
ანა ბენიძე          0  
ბონდო არაბული       3  
სიმონ ცომაია        10 
გოდერძი ღლონტი      14 
ბიძინა კევლიშვილი   4  
ირინა პატარაია      13
ბესიკ კაპანაძე      19 
ტატიანა წულუკიძე    10 
ნადია ნადირაძე      17 
შორენა დევიძე       17 
გოგიტა ჭანტურია     15 
ზაირა კონცელიძე     7  
ჟანა სხირტლაძე      13 
მაია ჩხარტიშვილი    20 
რობერტ ცხადაძე      8  
ალექსანდრე ჭინჭარაულ2
ბესიკ კოპაძე        3  
გოგი ჟორჟოლიანი     0  
ბესიკ ბუკია         8  
ელიზა ლაცაბიძე      12 
ნადეჯდა ბექაური     16 
მანანა თევზაძე      0  
ეთერ ნუცუბიძე       17 
პავლე ხმალაძე       3  
თეა ქავთარაძე       16 
რომან ბიგვავა       2
ბესიკ ნემსაძე       11 
გოგა ცერცვაძე       13 
ია შალამბერიძე      19 
თინა ნასყიდაშვილი   2  
ლუბა პაპიძე         12 
გივი გვაზავა        5  
მარიამ შელია        19 
ვერიკო ჩაჩანიძე     8  
ციცინო მეტრეველი    1  
შალვა შუკაკიძე      19
ბესიკ სეხნიაშვილი   0  
ნორა ვაშაყმაძე      4  
მირიან ბოჭორიშვილი  5  
უჩა სხირტლაძე       15 
მთვარისა ჯოჯუა      18 
გია კვირკველია      9  
გიგლა ხარაზიშვილი   8  
ჯონი კვირკველია     5  
ნინო ბერძენიშვილი   4  
გუგული ფუტკარაძე    4
ბესიკ ფანცულაია     15 
პავლე ნიკოლაიშვილი  5  
ალექს თავართქილაძე  7  
ელზა ფერაძე         4  
არმენ მახარაშვილი   12 
ვანო გელაძე         18 
იზა კვინიკაძე       7  
როლანდ ქათამაძე     2  
დემურ ხარაბაძე      15 
მარია ბერძენიშვილი  11
ბექა ბერიძე         4  
ჯემალ ხაჩატურიანი   0  
ალექსანდრე კიკვაძე  6  
გივი ბუჩუკური       2  
ზურაბ იმერლიშვილი   16 
არტურ ჭანტურიძე     19 
ოლია კოხრეიძე       0  
ამირან ისაევი       20 
ია გელაშვილი        4  
კობა კინწურაშვილი   11
ბექა ბლიაძე         0  
მარინა ლობჯანიძე    5  
ვიოლეტა კარაპეტიანი 18 
ნესტან გაბელია      1  
ბექა ცეცხლაძე       0  
ვენერა კაციტაძე     3  
ემზარ დევიძე        15 
რიტა გაბუნია        0  
მანანა ბერიძე       17 
ხატია გოგუაძე       4
ბექა ზარიძე         16 
მალხაზ ფარტენაძე    20 
ჟანა გელაძე         10 
ლიკა ურუშაძე        14 
სერგო ცინცაძე       11 
გოგა მეფარიშვილი    9  
ფატიმა შანიძე       10 
არმენ ხაჩიძე        8  
ვერა გუჯაბიძე       4  
დიანა ჭიღლაძე       6
ბექა კახიძე         15 
ჯუმბერ ახალაძე      2  
პეტრე გოგოხია       17 
დოდო გაბაიძე        10 
თორნიკე კაკაბაძე    8  
ლიდა ჯოჯუა          9  
ელიზა გოგოლაძე      0  
ირაკლი შუბითიძე     3  
მაგდა სულაბერიძე    16 
ციური ბერუაშვილი    12
ბექა მიქავა         4  
მალხაზ მუსაევა      10 
ზურაბ წიკლაური      20 
ბორის გიგაური       10 
რატი ნაბიევი        0  
ზაზა ნეფარიძე       3  
ფატი ვაშაყმაძე      6  
ჯონი ცეცხლაძე       9  
გოგი წულუკიძე       18 
ლია ბიბილაშვილი     13
ბექა ჩოხელი         20 
ვეფხვია შუბითიძე    7  
დავით მოდებაძე      13 
ხვიჩა ფხაკაძე       7  
კარინე კალანდაძე    1  
ავთანდილ ხიზანიშვილი8  
გიორგი წულაია       1  
გუგული გაბუნია      8  
სოფია ხვედელიძე     5  
ბელა ჩაკვეტაძე      0
ბექა ხარაიშვილი     11 
მინდია გოგინაშვილი  12 
რიტა ქუთათელაძე     6  
ზაზა ფერაძე         3  
ნანა ბურდული        20 
ბესიკ გულიაშვილი    1  
ელისო ჯოჯუა         6  
თამარა ქამადაძე     13 
ცისანა გოცირიძე     18 
ირინე გრიგორიანი    8
ბიძინა ბალიაშვილი   7  
გიორგი ჭინჭარაული   11 
თამთა ქობულაძე      9  
კახაბერ ცერცვაძე    16 
არმენ პავლიაშვილი   15 
ლიანა მაისურაძე     13 
ვახტანგ პეტროსიანი  17 
ზურაბ ხარშილაძე     11 
ციალა გრიგალაშვილი  14 
ლეილა მუსტაფაევი    14
ბიძინა ბლიაძე       0  
თამუნა ჯოხაძე       2  
ნატალია გაჩეჩილაძე  19 
გიგლა ბოლქვაძე      2  
კარლო ჯანჯღავა      13 
იაგო რამიშვილი      16 
სერგო კაკაურიძე     14 
მერაბ ბუკია         9  
ნარგიზა კარაპეტიანი 20 
ნოდარ ლურსმანაშვილი 18
ბიძინა გოგიტიძე     17 
ლიზა ბასილაძე       9  
აკაკი ბერიძე        20 
ემა ღლონტი          20 
ვერა ჯაიანი         16 
გიული ხიზანიშვილი   13 
თამარი გვაზავა      7  
ანნა ბარამიძე       12 
მალხაზ ტუღუში       10 
როლანდ მეფარიშვილი  19
ბიძინა დიასამიძე    2  
მედიკო კუპრეიშვილი  6  
რიტა ჩოხელი         12 
ნანა ზარიძე         2  
გოგა ქართველიშვილი  4  
ავთანდილ კახაძე     7  
ვახტანგ გუმბერიძე   13 
დოდო აბრამიშვილი    3  
რეზო კვინიკაძე      15 
მერაბ წულაია        12
ბიძინა კვირკველია   6  
ფატიმა მუსტაფაევა   10 
კლარა მახარაშვილი   8  
ნუგზარ ჩინჩალაძე    12 
გენადი ხიმშიაშვილი  6  
ლიანა ბენიძე        17 
ასლან გვასალია      0  
გულიკო კვარაცხელია  16 
სუსანა მანაგაძე     12 
ტატიანა ხარებავა    20
ბიძინა ლობჯანიძე    18 
გურამ წერეთელი      4  
ფიქრია ყურაშვილი    10 
ქეთევან სიჭინავა    3  
დალი ნაკაშიძე       8  
ზინა ზურაბაშვილი    1  
მარია ცაავა         13 
ბესიკ ხურცილავა     12 
ნიკა რევაზიშვილი    9  
მარგალიტა კილაძე    20
ბიძინა ნოზაძე       10 
მარიამ არაბული      5  
იაგო გვაზავა        1  
ნიკა ჯიქია          17 
კახა დემეტრაშვილი   6  
გიორგი თოდუა        10 
თინათინ აბაშიძე     3  
ემზარ კევლიშვილი    7  
ბადრი ნასყიდაშვილი  11 
შალვა ღამბაშიძე     0
ბიძინა ნოზაძე       15 
ბადრი ღარიბაშვილი   8  
ნუცა გაბუნია        11 
ნუგზარ ნადირაშვილი  5  
ნანა ვაშაკიძე       3  
ნუკრი რობაქიძე      7  
ბესარიონ მახარაშვილი20 
ნესტან მესხი        18 
ზაირა კევლიშვილი    11 
დალი ბეჟანიძე       18
ბიძინა საჯაია       1  
ლანა ბაკურაძე       4  
ვალერიან ჟორჟოლიანი 5  
ჟუჟუნა ღამბაშიძე    20 
ნუნუ ახალაია        10 
ლაშა შამათავა       17 
ელგუჯა გოგინაშვილი  18 
მადონა კერესელიძე   7  
სოფიკო მიქელაძე     4  
კობა კინწურაშვილი   4
ბიძინა ქურდაძე      3  
რატი ბერძენიშვილი   7  
ჟუჟუნა ელიზბარაშვილი14 
ჯუმბერ ბერიანიძე    0  
რიმა ჯალაღონია      13 
ელგუჯა გვაზავა      0  
როლანდ ჩოხელი       8  
ელზა ცხადაძე        12 
პაატა ბრეგვაძე      10 
ნიკა ბენიძე         1
ბიძინა წიკლაური     17 
ანჟელა ჟორჟოლიანი   11 
სიმონ გაგნიძე       10 
თათია კუჭუხიძე      3  
გიგა ბასილაძე       20 
ნანა ტაბატაძე       20 
რომან ახალაძე       7  
გელა ჯალაღონია      12 
მალხაზ გოცირიძე     6  
არტურ წულუკიძე      7
ბიძინა ხარაბაძე     11 
რომან ყურაშვილი     1  
სალომე ღურწკაია     17 
როლანდ ქარდავა      9  
ვალერიან ხარაზიშვილი14 
ემზარ ხურციძე       17 
ბექა დვალი          18 
ჯონი კუპრეიშვილი    10 
ბიძინა კალანდაძე    2  
სოფია ღონღაძე       3
ბონდო ასათიანი      2  
მედეა ქამადაძე      7  
გურამ კირკიტაძე     18 
ტატიანა გოგიძე      11 
კონსტანტინე ოთარაშვი9  
მარგალიტა ვალიევი   8  
სულიკო დევიძე       14 
ციური ჯიქია         9  
კახა გოგოხია        16 
მერი ღლონტი         13
ბონდო კოხრეიძე      6  
გენადი ყურაშვილი    14 
ლია ოთარაშვილი      18 
გიგა გაბელია        10 
ნიკოლოზ ხიმშიაშვილი 10 
ლიკა ჯანიაშვილი     11 
მარო თევზაძე        4  
ჟანა გულუა          18 
ია ლომთაძე          5  
ზოია ხუციშვილი      15
ბონდო რაზმაძე       16 
ვალერიან ჭიჭინაძე   6  
თინა ფირცხალავა     16 
შაქრო ჩადუნელი      19 
მარინა ვალიევი      2  
მარი ხაჩატურიანი    6  
შაქრო ახობაძე       9  
ლაშა ცუცქირიძე      15 
ელზა ცუცქირიძე      14 
ფიქრია იაშვილი      5
ბონდო ქარდავა       16 
უშანგი ბაკურაძე     11 
ბონდო ბასილაძე      6  
მარინა კერესელიძე   1  
ელენა ნაბიევი       0  
ვაჟა გრძელიშვილი    12 
გოდერძი კოპალიანი   16 
ცირა სალუქვაძე      12 
მთვარისა ჯანჯღავა   13 
არტურ ვარშანიძე     16
ბონდო შალამბერიძე   1  
აკაკი ზოიძე         6  
ლენა კვარაცხელია    8  
სვეტლანა ჯოხაძე     14 
თინათინ ჩხარტიშვილი 1  
იაგო ბალიაშვილი     10 
ეკა ფერაძე          0  
ციალა მუსტაფაევი    12 
მურთაზ ლიპარტელიანი 20 
თენგიზ ბუცხრიკიძე   16
ბონდო შანიძე        6  
ინგა ფარტენაძე      9  
ქრისტინე ნაკაშიძე   5  
ჟანა გვაზავა        13 
ირინე მოსიაშვილი    15 
ზაურ კვანტალიანი    19 
დალი კანდელაკი      10 
ევგენია ჭიჭინაძე    4  
ინგა თოლორდავა      4  
რობერტ გრიგალაშვილი 10
ბონდო ჩაფიძე        16 
ედუარდ რაზმაძე      8  
ანიკო რუხაძე        4  
როინ გეგეშიძე       16 
თათია ჟღენტი        12 
მარინა მერებაშვილი  5  
ბესიკ კუხიანიძე     18 
პაატა ნიჟარაძე      16 
ნონა მამულაშვილი    3  
ნატალია გაჩეჩილაძე  10
ბონდო ჩხეიძე        15 
მზია ბაკურაძე       3  
ნატალია გუმბერიძე   7  
მთვარისა ყიფშიძე    4  
მარინე დალაქიშვილი  6  
აიდა სამხარაძე      1  
ირმა ბახტაძე        19 
დიანა მაზმიშვილი    19 
ელისო ცინცაძე       3  
თეიმურაზ ცხადაძე    10
ბონდო ცანავა        3  
ვალერი კონცელიძე    20 
ნიკა სამუშია        0  
გიგლა მჭედლიძე      14 
ლეილა ჩხაიძე        0  
ანნა კვაჭაძე        5  
მარო კალანდაძე      1  
შაქრო კვერნაძე      18 
ნიკოლოზ ჯაფარიძე    16 
რუსუდან კაპანაძე    10
ბონდო ხატიაშვილი    12 
ვაჟა ქარდავა        15 
სოფიკო ლომთაძე      9  
მურმან ჯანჯღავა     6  
ელგუჯა თოლორდავა    10 
ანი ჯიშკარიანი      15 
გენადი ლატარია      18 
ანჟელა ჩაჩუა        1  
კახაბერ ჩოხელი      12 
დათო ქამადაძე       16
ბორის გაგუა         13 
ირინე მეფარიშვილი   5  
ომარ ნემსაძე        20 
ნაზიკო მიმინოშვილი  10 
არჩილ ღურწკაია      11 
ბესიკ ბერაია        14 
ქრისტინე კაკულია    16 
მიხეილ არაბიძე      14 
ასლან სულაბერიძე    11 
ნონა ვალიევა        2
ბორის გორგოძე       0  
გოჩა ზარანდია       18 
მარია გეგეშიძე      5  
უშანგი ლოლაძე       17 
ბელა გვაზავა        6  
თინა შუკაკიძე       18 
თამთა გაჯიევი       3  
რამაზ ავალიანი      3  
მზია მამალაძე       8  
შაქრო გუმბერიძე     18
ბორის მგელაძე       10 
დიმიტრი ნებიერიძე   17 
ნინო ხაჭაპურიძე     19 
თამთა საჯაია        15 
გალინა ბექაური      4  
ელისო გოგიტიძე      9  
კახაბერ კვანტალიანი 19 
ვლადიმერ ბიბილაშვილი17 
თამარა ჭუმბურიძე    19 
ანნა ცხადაძე        5
ბორის ნებიერიძე     0  
ნანა კუპატაძე       5  
ნესტან თოფურია      8  
ნიკა ბაქრაძე        7  
შალვა ვაშაკიძე      17 
მედიკო სეხნიაშვილი  12 
გოგიტა დემეტრაშვილი 15 
ნაზიკო სიმონიშვილი  13 
სოფიო ნიკოლაიშვილი  1  
ლანა მიქელაძე       3
ბორის ჟორჟოლიანი    2  
მაყვალა წულუკიძე    17 
ზოია ვეკუა          3  
ვაჟა დოლიძე         19 
ბესიკ ცინცაძე       13 
მინდია ხურციძე      8  
თამაზ ხატიაშვილი    8  
არჩილ არაბიძე       13 
ფიქრია ქირია        5  
ლუიზა არაბული       13
ბორის ფუტკარაძე     1  
ირინა მოდებაძე      3  
გოჩა გრიგალაშვილი   1  
იური ნაბიევი        18 
აკაკი გაფრინდაშვილი 16 
თამარ ყოლბაია       10 
ანიკო ბარბაქაძე     6  
ნიკა ნოზაძე         6  
ლუდმილა ლომთაძე     4  
ჯაბა გურეშიძე       20
ბორის ღურწკაია      8  
სოფია ხვიჩია        10 
ნანი კაკაურიძე      20 
რიმა ახალაია        8  
ილია შენგელია       1  
კარინე კალანდაძე    10 
სიმონ ლაბაძე        2  
ირმა ბასილაშვილი    0  
როინ გოგსაძე        17 
გიგლა შათირიშვილი   16
ბორის შეყილაძე      18 
ზინა სიმონიშვილი    3  
კობა აბაშიძე        3  
ავთანდილ გურული     17 
მთვარისა ბეჟანიძე   8  
ნაზი გიორგაძე       8  
ირინა ზოიძე         13 
ზინა კაზარიანი      5  
რიტა ფარტენაძე      17 
ხვიჩა ჭაღალიძე      6
ბორის ჯიშკარიანი    12 
ელზა ქავთარაძე      14 
მერაბ ტურაშვილი     19 
ირინა ტყემალაძე     10 
გიგა ენუქიძე        14 
ვარდო გოგიაშვილი    0  
ლენა თაბაგარი       17 
ლიდა სილაგაძე       6  
ნატალია გვაზავა     15 
ნაირა ოქრუაშვილი    3
გალინა ალიევა       3  
სერგო თედორაძე      7  
ჟანა ალიევა         12 
აიდა გოგიტიძე       17 
თამილა წერეთელი     14 
მურმან ნებიერიძე    12 
რამაზ ბიგვავა       18 
სულიკო კარაპეტიანი  8  
ეთერ ელიზბარაშვილი  3  
მამუკა ჯოხაძე       20
გალინა გობეჯიშვილი  7  
ნიკა რუხაძე         7  
ბონდო მგელაძე       1  
მარი მღებრიშვილი    0  
გულიკო კვირკველია   17 
ანზორ აბულაძე       1  
თინა ხარატიშვილი    9  
იოსებ ჩოხელი        6  
გენადი ჩხიკვაძე     16 
სოფიო ლომიძე        10
გალინა გურგენიძე    7  
ტარიელ ალანია       16 
რობერტ წურწუმია     3  
სოფიკო ალიევი       10 
დავით მახათაძე      8  
ელენა წერეთელი      8  
მიხეილ ალიევა       17 
ნათელა სიმონიშვილი  0  
ნუცა ცეცხლაძე       4  
ილია ჯავახიშვილი    3
გალინა ლომაძე       14 
ზვიად გაბაიძე       0  
სულიკო ჩიქოვანი     13 
დემურ მეფარიშვილი   3  
ირინე კუპრაშვილი    3  
გულნარა რაზმაძე     0  
ზაქარია ჩხეიძე      17 
გოჩა ჯანელიძე       12 
ლაშა კუჭუხიძე       11 
ვალერი ჭელიძე       3
გალინა ნადირაშვილი  8  
ჯონი გრიგორიანი     17 
ციალა შელია         18 
ხათუნა ჭუმბურიძე    12 
ლანა ლაგვილავა      5  
მაია მეტრეველი      7  
ნაირა პაპავა        0  
მირანდა ბერულავა    18 
ტატიანა ნადირაშვილი 5  
ვერა ხიზანიშვილი    7
გალინა ჟორჟოლიანი   4  
ვიოლეტა შანიძე      2  
დოდო წერეთელი       16 
დავით ელბაქიძე      1  
ვალერიან ბეგიაშვილი 14 
არტურ გაბედავა      18 
რეზო ბრეგვაძე       16 
ნადია ფანცულაია     5  
თემურ ახობაძე       2  
რეზო ვაშაყმაძე      7
გალინა ფიფია        18 
უჩა ლეჟავა          5  
არჩილ ჩუბინიძე      10 
ჯულიეტა კალანდია    5  
ზაქარია აბრამიშვილი 15 
ეთერ გაბრიჭიძე      2  
მიხეილ იობიძე       3  
ვენერა ვარდოსანიძე  19 
მაყვალა მიმინოშვილი 4  
ნარგიზა გოგიჩაშვილი 5
გალინა ქარჩავა      2  
სოსო მამულაშვილი    15 
გოდერძი ფანცულაია   9  
მერაბ შათირიშვილი   13 
სუსანა ლობჯანიძე    17 
ცისანა მერებაშვილი  19 
შაქრო ჟღენტი        9  
ალა ბაქრაძე         20 
თეიმურაზ პაპიძე     20 
შორენა კაკაურიძე    20
გალინა ხვიჩია       13 
ლილი დოლიძე         18 
ნაირა ჩინჩალაძე     12 
მზია ყოლბაია        13 
პავლე ბაქრაძე       11 
ირაკლი გველესიანი   3  
ემა კვირიკაშვილი    7  
მამუკა ჭეიშვილი     9  
მადონა გაგნიძე      5  
ასლან ხარატიშვილი   14
გალინა ჯოხაძე       0  
ვაჟა იობიძე         9  
მიხეილ ჭაღალიძე     8  
სუსანა მოდებაძე     12 
ფატი კაპანაძე       15 
ვალერი ჩიქოვანი     3  
არტურ ნაკაშიძე      16 
გელა შალამბერიძე    6  
ნუგზარ ფანცულაია    20 
ჯაბა აბულაძე        12
გელა ბერიანიძე      8  
ზურაბ შამათავა      13 
ვაჟა კილასონია      3  
ვახტანგ მჟავანაძე   7  
მარო კეკელიძე       17 
თინათინ ბასილაძე    18 
ლუიზა ქირია         12 
დავით გაჩეჩილაძე    1  
მზია თაბაგარი       2  
ნოდარ ჭაღალიძე      20
გელა თევზაძე        6  
კარლო კევლიშვილი    11 
ვერიკო თაბაგარი     7  
გელა მჭედლიძე       1  
რევაზ ტაკიძე        4  
ბადრი ნადირაშვილი   18 
ბორის ალანია        13 
შაქრო ქაჯაია        2  
ასლან ბუჩუკური      13 
მარგალიტა მერაბიშვილ12
გელა კინწურაშვილი   19 
ციალა იაშვილი       2  
ანა ხალვაში         6  
ჯონი ფოფხაძე        9  
ლენა მაჩიტიძე       7  
ქეთინო ნიკოლეიშვილი 14 
მერი მჭედლიძე       13 
ნუგზარ თავაძე       9  
შალვა ფერაძე        10 
თამარ ბაქრაძე       1
გელა ტურაშვილი      9  
რიტა გაჯიევი        19 
ლილი ღლონტი         15 
თამარა გრიგალაშვილი 10 
ცირა გურგენიძე      8  
კლარა კილასონია     15 
მერი მელქაძე        8  
თამარ გაბედავა      0  
ეკატერინე ბერაია    9  
თამარა მღებრიშვილი  2
გენადი ირემაშვილი   0  
ტარიელ სხირტლაძე    5  
ასმათ ნიქაბაძე      8  
რევაზ ჯანიაშვილი    18 
თეიმურაზ გიორგაძე   6  
გულნარა ბენიძე      14 
სუსანა კახაძე       16 
კლარა ჭკადუა        5  
ელიზა კობახიძე      13 
გივი ლაცაბიძე       0
გენადი კერესელიძე   3  
კახაბერ ბეჟანიშვილი 13 
დავით გრიგალაშვილი  11 
ვასილ წულაია        4  
ჯუმბერ პაპაშვილი    9  
ნადეჯდა სირაძე      1  
გია კვინიკაძე       3  
სოსო ჟვანია         9  
ზაქარია ჩაკვეტაძე   15 
ნესტან მაისურაძე    15
გენადი კუპატაძე     11 
პავლე მამულაშვილი   11 
გურამ გიორგაძე      6  
მარინე გოგიშვილი    8  
ნატალია მოსიაშვილი  16 
კარლო იმნაძე        6  
ნაზიკო ხაჭაპურიძე   13 
სალომე გოგიტიძე     16 
თენგიზ ზარიძე       5  
ოლღა დოლიძე         16
გენადი მაისურაძე    0  
როზა სალუქვაძე      10 
ნიკოლოზ სეხნიაშვილი 17 
ელენე ბუკია         5  
ლალი ტყეშელაშვილი   6  
აიდა გიორგობიანი    1  
ზაზა მახარაძე       13 
კარინე ოთარაშვილი   5  
ანა გაბუნია         8  
ია კაკულია          8
გენადი მანაგაძე     20 
ხათუნა იმნაძე       1  
ჟანა რეხვიაშვილი    8  
მაკა ფანცულაია      5  
ავთანდილ ხურცილავა  20 
ლაშა გელაძე         6  
ჯაბა დევაძე         0  
ნუკრი პეტროსიანი    7  
ციალა აფციაური      16 
რომან მელქაძე       18
გენადი რევაზიშვილი  7  
იური ჟღენტი         2  
სოფიო ადეიშვილი     12 
იზა ბასილაძე        8  
მიხეილ ქათამაძე     8  
გია კილასონია       11 
ვიქტორ ფარტენაძე    17 
ვასილ ფეიქრიშვილი   13 
ელენა მღებრიშვილი   3  
მთვარისა ქუთათელაძე 12
გენადი სიმონიშვილი  7  
ფატიმა ზედგინიძე    14 
იოსებ ბიბილაშვილი   12 
ბადრი კახიძე        6  
სოსო გორგილაძე      1  
რევაზ სამუშია       9  
გურამ ანდღულაძე     3  
პეტრე შავაძე        8  
დემურ ცომაია        15 
ზურაბ ბერაძე        19
გენადი ტალახაძე     7  
ნუცა ნიჟარაძე       20 
ნაირა კალანდია      18 
მირანდა არჩვაძე     19 
მანანა მერებაშვილი  14 
ელმირა ხარაზიშვილი  19 
მამუკა ბერიძე       1  
გოდერძი გაგუა       7  
ნუცა ახვლედიანი     13 
ვლადიმერ ქარჩავა    8
გენადი ფერაძე       6  
ბონდო აფციაური      18 
გოგი კაკაურიძე      7  
ბორის კაკაურიძე     5  
ვეფხვია წიკლაური    8  
გალინა დოლიძე       15 
თათია ქორიძე        16 
ბონდო ტაბატაძე      6  
ვერიკო სოფრომაძე    14 
მირანდა რამიშვილი   19
გენადი ქარდავა      3  
აიდა მუსტაფაევა     20 
თამთა კალანდაძე     14 
ნაზი ბენდელიანი     6  
თამთა კობაიძე       5  
ზაზა კაციტაძე       14 
ხატია კობიაშვილი    16 
ვასილ ბერიანიძე     3  
სოფიო დოლიძე        0  
ზვიად ჯინჭარაძე     7
გენადი შეყილაძე     14 
ელგუჯა კოხრეიძე     8  
ლარისა ყიფშიძე      8  
თეონა კაზარიანი     7  
მადონა წულაია       9  
ანნა კახაძე         5  
ლამარა გაჯიევი      17 
ფიქრია წიკლაური     3  
თამაზ გელაშვილი     0  
ქრისტინე როსტიაშვილი5
გენადი ჩხეიძე       13 
იზოლდა ბუცხრიკიძე   0  
მანანა შათირიშვილი  13 
ალექსანდრე მაჩიტიძე 13 
პეტრე კოპალიანი     17 
დარეჯან ნემსაძე     6  
თეა ქობულაძე        13 
რუსუდან შუკაკიძე    5  
პავლე კოპალიანი     10 
ლუდმილა მანაგაძე    5
გვანცა არველაძე     12 
ლაშა ბიბილაშვილი    15 
თეიმურაზ ქართველიშვი2  
სონია ქარჩავა       2  
