"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi" 
"Orvokki Pesonen"	"Kolutie 48
47506 Hartola"
"Elisabet Nieminen"	"Osmonkuja 942
89050 Sotkamo"
"Iida Viitanen"	"Kimalaistie 6
64940 Kankaanpää"
"Jenna Hiltunen"	"Ormusbulevardi 50
38085 Sotkamo"
"Niilo Kuusela-Leinonen"	"Puroniityntie 62
84459 Järvenpää"
"Kalle Mattila-Aho"	"Yläkaskenbulevardi 686
96566 Kruunupyy"
"Antero Heinonen"	"Nelikkobulevardi 0
62618 Korsnäs"
"Lotta Heino"	"Tahtibulevardi 1
29192 Oulainen"
"Sinikka Heino"	"Tyynelänbulevardi 86
08289 Kalajoki"
"Aleksi Virtanen"	"Gneissibulevardi 808
33476 Posio"
"Arja Leinonen"	"Puroniitynkatu 2
76816 Orivesi"
"Tapio Hyvönen-Kauppinen"	"Osuuskunnankatu 3
59886 Iitti"
"Iisakki Koskinen"	"Maapadonpolku 436
96924 Multia"
"Rasmus Huotari"	"Runonlaulajankuja 25
14290 Vöyri"
"Inkeri Simola-Peltola"	"Betonitie 810
65962 Pyhäjärvi"
"Juhani Laine-Eskelinen"	"Fastbölentie 900
35180 Finström"
"Hannele Holmberg"	"Runoilijantie 27
15841 Juva"
"Erika Immonen"	"Kiitäjänkatu 463
49164 Karkkila"
"Tapani Tuominen"	"Biologintie 79
88022 Taivassalo"
"Sinikka Ollikainen-Väisänen"	"Fabianinkatu 575
54260 Veteli"
"Pentti Linna"	"Wäinö Aaltosen polku 92
60281 Kangasala"
"Tapio Heikkinen"	"Ylipalonkuja 24
52413 Keminmaa"
"Iisakki Lahtinen"	"Tyynelänbulevardi 7
35205 Pomarkku"
"Sari Alatalo"	"Agronominkuja 149
57555 Juupajoki"
"Katariina Hakkarainen"	"Zaidankatu 394
56470 Pieksämäki"
"Aune Antikainen"	"Ylätuvantie 85
81887 Oulu"
"Veera Lipponen"	"Agnes Sjöbergin tie 8
12784 Muhos"
"Veikko Vuorela"	"Haravakatu 041
25865 Uurainen"
"Satu Hämäläinen-Koponen"	"Nelikkokatu 50
57200 Kempele"
"Kullervo Hänninen"	"Walentin Chorellin kuja 971
27917 Uusikaupunki"
"Olivia Saari"	"Agronominpolku 19
84345 Ruokolahti"
"Paavo Laine"	"Disankatu 93
38176 Rautalampi"
"Ilari Salminen"	"Lepolankuja 70
86359 Rauma"
"Anniina Pesonen"	"Gadolinintie 15
60800 Janakkala"
"Heikki Koskinen-Immonen"	"Haagan pappilantie 83
53886 Haapajärvi"
"Juha Koskinen"	"Laurinniitynbulevardi 8
23491 Naantali"
"Matias Ollila"	"Hankasuonbulevardi 91
42352 Myrskylä"
"Aaro Liukkonen"	"Yhteiskoulunkatu 16
26118 Alavieska"
"Tapani Vuori-Räisänen"	"Cygnaeuksentie 22
22289 Polvijärvi"
"Mikael Johansson"	"Bengalinkuja 59
93763 Mustasaari"
"Reino Kemppainen-Koskinen"	"Tuulilasinkatu 0
02275 Merijärvi"
"Jukka Rautiainen"	"Neulapadonbulevardi 09
46256 Inari"
"Ilari Virtanen"	"Maasalonbulevardi 812
40329 Toholampi"
"Laura Tikkanen"	"Ilvestie 023
89902 Värdö"
"Petteri Jääskeläinen"	"Puuskakatu 2
13354 Nokia"
"Helena Ylinen"	"Ormustie 999
34798 Helsinki"
"Juhani Oikarinen"	"Eljaksenkatu 9
24066 Kaarina"
"Mikko Nieminen"	"Jyväbulevardi 1
72289 Pieksämäki"
"Maarit Karjalainen"	"Elontie 737
84019 Vöyri"
"Maria Laakso"	"Haapabulevardi 873
76014 Nakkila"
"Julia Hämäläinen"	"Neulapadonkuja 37
89986 Orimattila"
"Aurora Karhu"	"Sapilasbulevardi 5
47139 Karkkila"
"Ilkka Hartikainen-Uusitalo"	"Sapilaskatu 9
78967 Karkkila"
"Matti Lindström"	"Maabulevardi 94
09750 Sund"
"Vilho Laitinen"	"Jälsikuja 316
09202 Lumparland"
"Anne Nurminen-Nieminen"	"Saramäenbulevardi 6
95410 Muonio"
"Marianne Kuusela"	"Wäinö Aaltosen katu 18
47146 Taivalkoski"
"Johanna Voutilainen"	"Zaidanpolku 46
66867 Orimattila"
"Eero Holmberg"	"Böstaksentie 625
16504 Lumparland"
"Jari Ranta"	"Haapatie 7
37983 Nurmijärvi"
"Marjatta Peltonen"	"Runoilijanbulevardi 731
64524 Pieksämäki"
"Kalevi Peltoniemi"	"Werner Wirénin kuja 800
73158 Kinnula"
"Ilkka Suominen"	"Bertel Jungin tie 65
17876 Multia"
"Susanna Peltonen"	"Lukkarimäenkatu 723
36031 Raahe"
"Maria Hautala"	"Yllästunturinpolku 8
74868 Kokkola"
"Kaarina Nurminen"	"Eduskuntapolku 41
96413 Kaarina"
"Toivo Jaakkola"	"Franzéninkuja 31
40588 Nurmijärvi"
"Susanna Koskinen"	"Biologintie 386
05357 Pedersören kunta"
"Juhani Saastamoinen"	"Fallkullanpolku 011
60187 Finström"
"Antero Lehtonen"	"Urheilukatu 984
01776 Siikalatva"
"Antti Rinne-Simonen"	"Haravatie 47
98067 Tammela"
"Tuulikki Heikkilä-Kettunen"	"Tuomarinkylänpolku 326
80252 Pielavesi"
"Ilkka Tuomi"	"Franzéninbulevardi 8
53506 Savonlinna"
"Maria Miettinen"	"Fallpakankatu 86
85419 Jämijärvi"
"Pekka Sihvonen-Niiranen"	"Iltaruskonpolku 51
70190 Tyrnävä"
"Elisabet Ojala"	"Agnes Sjöbergin kuja 07
15671 Haapajärvi"
"Vilho Riikonen"	"Salavakatu 716
66421 Kurikka"
"Maria Korhonen"	"Gustav Pauligin polku 029
83179 Virolahti"
"Mikael Peltonen"	"Wavulininbulevardi 61
85937 Geta"
"Martta Nykänen-Nurmi"	"Dunckerintie 8
74555 Ikaalinen"
"Amanda Miettinen"	"Tahtikuja 834
36319 Somero"
"Elisabeth Räsänen"	"Edelfeltinbulevardi 301
86172 Kumlinge"
"Ilkka Vuorela"	"Jättiläisenkatu 5
59037 Siilinjärvi"
"Vilho Pitkänen"	"Waseniuksen puistokatu 602
54310 Hanko"
"Keijo Ronkainen-Rautio"	"Fallkullankuja 065
08042 Kokemäki"
"Johanna Juntunen"	"Rukoushuoneenpolku 42
66726 Laihia"
"Venla Heikkinen"	"Tyynylaavantie 2
95593 Pyhtää"
"Jani Niemi"	"Wallininbulevardi 8
62729 Puumala"
"Sofia Parviainen"	"Fahlanderin puistotie 31
12341 Hollola"
"Pasi Lindholm"	"Jätkäsaarenkatu 6
10404 Lumijoki"
"Helena Holappa-Lappalainen"	"Louhikkokuja 86
23851 Lumijoki"
"Juhani Karhu"	"Nelikkokatu 596
75804 Kerava"
"Ilmari Ahonen"	"Versopolku 2
16502 Simo"
"Seija Koskinen"	"Maapadonpolku 89
05262 Hollola"
"Juhani Laine"	"Vellikellonbulevardi 680
33537 Leppävirta"
"Anna-Liisa Heikkinen"	"Lukkarimäenkuja 3
56989 Tervola"
"Marjatta Sillanpää-Tuominen"	"Eduskuntakatu 058
76511 Äänekoski"
"Susanna Laakkonen"	"Sadetie 227
63645 Liminka"
"Riitta Hautamäki"	"Iesbulevardi 5
20927 Finström"
"Virpi Kuusisto-Vartiainen"	"Böstaksenkatu 17
11365 Jyväskylä"
"Arto Anttila-Saari"	"Graniittikatu 2
15944 Vihti"
"Toni Moilanen"	"Sapilaspolku 095
70691 Korsnäs"
"Ilmari Blomqvist"	"Maasälvänpolku 061
53532 Kangasniemi"
"Joona Kauppinen"	"Willebrandinkuja 275
43919 Parainen"
"Pirkko Hyvärinen"	"Maasalonpolku 140
32458 Sysmä"
"Tarja Jalonen-Ojanen"	"Jyvätie 35
69026 Ranua"
"Olavi Korpi"	"Vesalanbulevardi 617
67372 Pietarsaari"
"Reijo Syrjälä"	"Taavetti Laitisen bulevardi 6
57433 Kemijärvi"
"Antero Piirainen"	"Kimalaiskuja 024
93229 Haapajärvi"
"Anneli Aaltonen"	"Uurtajanbulevardi 1
53508 Rantasalmi"
"Eerik Salomaa"	"Hannukselanbulevardi 3
35566 Vaala"
"Roosa Matilainen"	"Vesakkopolku 58
39419 Keitele"
"Ilmari Hämäläinen"	"Adolf Lindforsin polku 7
21442 Pukkila"
"Jaakko Kyllönen"	"Porekatu 299
98469 Marttila"
"Liisa Eklund-Hietala"	"Harbonpolku 23
86369 Salo"
"Heikki Piirainen"	"Jätkäsaarenkatu 03
41509 Hattula"
"Olivia Hokkanen-Salomaa"	"Bertel Jungin katu 8
29316 Kyyjärvi"
"Tapani Sutinen"	"Maatie 39
52769 Lieksa"
"Markku Hyvärinen"	"Urkurinpolku 927
76737 Pedersören kunta"
"Tellervo Manninen"	"Ylä-Fallin kuja 3
97528 Sund"
"Irmeli Lindholm"	"Taavintie 69
37786 Vieremä"
"Kristiina Seppä"	"Ostospolku 8
56088 Sotkamo"
"Ilmari Karppinen"	"Eerik Pyhän tie 26
63497 Jokioinen"
"Kaarina Tikkanen"	"Porebulevardi 6
75530 Outokumpu"
"Liisa Lahtinen"	"Haapabulevardi 768
21353 Ylitornio"
"Petteri Rissanen-Niemi"	"Vaarnapolku 54
48903 Rautavaara"
"Juhani Tiainen"	"Dosentinpolku 8
01031 Lumijoki"
"Aapo Pitkänen"	"Verkkokatu 8
25135 Hollola"
"Juhani Rinne"	"Willebrandinkatu 193
88997 Luhanka"
"Tellervo Holmberg-Hakala"	"Betonikuja 597
96712 Raahe"
"Tuomo Kosonen-Sallinen"	"Elimäentie 627
01312 Paimio"
"Irma Salo"	"Jägerhorninkatu 290
25311 Hollola"
"Ilmari Korhonen"	"Lautamiehentie 190
90163 Jokioinen"
"Kari Mikkola"	"Rukokuja 664
66328 Kivijärvi"
"Helena Kivelä"	"Louhikkotie 51
91105 Merijärvi"
"Kalevi Peltola"	"Puroniitynpolku 794
45519 Ranua"
"Valtteri Ylitalo"	"Ylätuvankuja 7
03987 Kouvola"
"Essi Kallio"	"Laurinniitynkatu 62
47541 Honkajoki"
"Jenni Heikkinen"	"Haravapolku 2
47951 Vesanto"
"Ilona Karlsson-Viitanen"	"Uunisepänkuja 3
98648 Hammarland"
"Veikko Komulainen"	"Gneissibulevardi 09
59679 Sottunga"
"Katja Hietala"	"Agricolanbulevardi 7
62709 Kuopio"
"Ilmari Lahtinen-Heikkilä"	"Salavapolku 5
79218 Marttila"
"Juho Kujala"	"Capellan puistokuja 8
34048 Asikkala"
"Lauri Marttinen"	"Dunckerinkatu 833
73123 Punkalaidun"
"Anita Ahonen"	"Järkälekuja 15
79943 Pyhäranta"
"Antero Kärkkäinen-Tiainen"	"Haaksikuja 37
33226 Perho"
"Kaarina Koivula"	"Gadolininkuja 597
07207 Kontiolahti"
"Aatos Niemi"	"Poretie 114
13116 Karijoki"
"Olavi Lehtimäki"	"Tukkisillankatu 54
04622 Pyhäntä"
"Anja Hyttinen"	"Mamsellimyllynbulevardi 8
54120 Laihia"
"Pirkko Luukkonen-Laine"	"Otermanbulevardi 885
35302 Kaavi"
"Ilmari Lehtinen"	"Döbelninkatu 04
01068 Pöytyä"
"Maarit Heikkinen-Ojanen"	"Runoilijankuja 57
97770 Nurmes"
"Esko Haavisto"	"Jätkäsaarenbulevardi 47
09733 Geta"
"Elina Nieminen"	"Caloniuksenbulevardi 071
90385 Sotkamo"
"Anna Lehikoinen-Miettinen"	"Degermosanbulevardi 97
31616 Sipoo"
"Lasse Manninen"	"Yrttimaanpolku 25
24177 Polvijärvi"
"Antti Saarinen"	"Rapolanpolku 400
79114 Harjavalta"
"Pentti Autio"	"Eerik Pyhän polku 52
17485 Luoto"
"Susanna Väänänen"	"Uskalikontie 79
20198 Koski Tl"
"Ilmari Karjalainen"	"Hankasuonpolku 869
92871 Reisjärvi"
"Ilmari Manninen"	"Ylipalonkatu 7
77612 Siikajoki"
"Noora Mattila-Rautiainen"	"Haakoninlahdenkatu 01
47586 Kruunupyy"
"Pirjo Helminen-Pöllänen"	"Dagmarintie 650
95774 Valtimo"
"Teija Ranta"	"Usvapolku 502
32169 Iisalmi"
"Jari Kuusisto-Latvala"	"Bertel Jungin kuja 50
31422 Paimio"
"Juho Heinonen-Huttunen"	"Porekatu 9
56902 Muurame"
"Elisabet Aalto"	"Usvakuja 6
05749 Rääkkylä"
"Annikki Honkanen"	"Edelfeltinkatu 630
34571 Mäntyharju"
"Minna Leinonen"	"Caloniuksenpolku 61
42881 Tornio"
"Riitta Mäkinen-Valkonen"	"Veropellontie 09
18312 Kotka"
"Ilmari Niemelä"	"Fabianinkatu 411
12453 Urjala"
"Hannele Paavola"	"Cygnaeuksentie 5
18768 Lohja"
"Tapani Laine"	"Tuohikoivunpolku 0
00755 Humppila"
"Arvo Pennanen"	"Fallinbulevardi 36
12151 Ylivieska"
"Henry Sutinen"	"Birger Kaipiaisen polku 32
66897 Muonio"
"Topias Vuorinen"	"Cygnaeuksenpolku 92
84094 Virolahti"
"Kauko Ojala"	"Fahlanderin puistotie 1
52002 Soini"
"Tuulikki Juvonen"	"Sapilasbulevardi 314
17843 Ulvila"
"Emilia Taipale-Holmberg"	"Kolvikuja 51
96126 Tuusula"
"Juulia Holm"	"Haagan pappilankatu 483
53106 Leppävirta"
"Ilmari Soini"	"Fagottipolku 127
87374 Raisio"
"Anneli Vuorinen-Hiltunen"	"Orapihlajabulevardi 4
53971 Pomarkku"
"Pekka Ranta"	"Yrjö-Koskisen katu 8
87793 Nakkila"
"Ensio Koski-Ollikainen"	"Bertel Jungin bulevardi 8
73362 Hamina"
"Juhani Hyvönen"	"Malminkartanonkuja 53
64231 Tuusniemi"
"Jouni Heiskanen"	"Lautamiehenkatu 111
62364 Enonkoski"
"Jussi Kangas"	"Fagottibulevardi 1
56249 Pieksämäki"
"Anne Laine"	"Eino Leinon polku 494
78924 Säkylä"
"Esa Paavola"	"Porkkalanpolku 703
00394 Valkeakoski"
"Johanna Mäki-Mäkinen"	"Runeberginkuja 5
17730 Kiuruvesi"
"Ilmari Tuomi"	"Puusepänpolku 28
22038 Keminmaa"
"Marja Tuovinen"	"Bengalinkuja 19
06856 Kumlinge"
"Santeri Keskinen"	"Lukkarimäenbulevardi 53
11393 Utajärvi"
"Irmeli Heikkinen"	"Laurinniitynpolku 13
92369 Kaavi"
"Maria Turunen-Ojala"	"Kiitäjäntie 58
49182 Karijoki"
"Sari Henriksson-Savolainen"	"Orapihlajapolku 5
82685 Tampere"
"Viljo Lindström"	"Otermanbulevardi 655
48733 Salla"
"Annika Aaltonen"	"Gunillanpolku 120
15481 Keitele"
"Elina Peltonen-Nissinen"	"Nelikkotie 524
08208 Lappajärvi"
"Timo Lehtinen"	"Jägerhorninpolku 984
83529 Kerava"
"Ilmari Viitanen"	"Fastbölenbulevardi 2
44146 Tuusula"
"Kristiina Mattila-Mikkola"	"Urputie 48
80265 Muurame"
"Simo Helenius"	"Betonikatu 735
10124 Rauma"
"Anneli Haverinen"	"Ahomäentie 09
17095 Turku"
"Onni Juntunen"	"Degermosankuja 0
75149 Raasepori"
"Oskar Niiranen"	"Ilmattarenpolku 16
52316 Ruovesi"
"Kalevi Halonen"	"Maapadonbulevardi 07
50635 Inkoo"
"Niklas Alatalo"	"Haapakuja 21
65561 Perho"
"Kim Voutilainen"	"Disantie 15
13637 Järvenpää"
"Martti Määttä-Laitinen"	"Werner Wirénin polku 1
68660 Lohja"
"Ilmari Virtanen"	"Vesakkokatu 06
25116 Veteli"
"Orvokki Virtanen"	"Lemuntie 7
07966 Honkajoki"
"Antti Ahonen"	"Eerik Pyhän kuja 049
16913 Ruovesi"
"Olli Toivanen-Kokko"	"Rantavarastonpolku 981
04658 Lahti"
"Aaro Lehtinen"	"Haagan pappilanpolku 63
63687 Hailuoto"
"Matti Puustinen"	"Niittylänkuja 954
15042 Kokemäki"
"Vuokko Voutilainen"	"Runeberginkatu 94
08738 Lieto"
"Mia Kurki"	"Cygnaeuksenpolku 799
56286 Miehikkälä"
"Sirpa Saarinen-Anttonen"	"Fastbölenpolku 7
61696 Pirkkala"
"Erkki Jokela"	"Tyynelänkuja 79
73274 Toholampi"
"Ilona Asikainen"	"Harbonbulevardi 20
66971 Humppila"
"Mikael Sillanpää"	"Uunilinnunkatu 91
03229 Finström"
"Henrik Liimatainen"	"Ylänkötie 05
78767 Kuusamo"
"Annikki Virtanen"	"Jätkäsaarenbulevardi 915
85061 Leppävirta"
"Tellervo Järvinen"	"Niemikuja 630
28858 Kivijärvi"
"Toivo Kortelainen-Lehto"	"Uskalikonkuja 3
89665 Akaa"
"Juhani Karppinen"	"Urheilubulevardi 6
95086 Luumäki"
"Kaarina Lindgren"	"Rapakivenkatu 984
79861 Savitaipale"
"Marika Niemi"	"Maasälväntie 253
60964 Utsjoki"
"Marianne Karttunen-Karjalainen"	"Mannerheiminkuja 84
93398 Heinävesi"
"Ilona Malinen"	"Lukkarimäenbulevardi 68
75071 Pelkosenniemi"
"Pekka Toivanen"	"Wecksellinpolku 14
36479 Polvijärvi"
"Hannele Airaksinen-Tanskanen"	"Haahkapolku 226
28889 Ikaalinen"
"Kirsti Nurmi"	"Niittylänkatu 322
80151 Orivesi"
"Kristina Martikainen"	"Degermosanpolku 2
73790 Eurajoki"
"Elina Välimäki"	"Waseniuksen puistopolku 640
67288 Toivakka"
"Inkeri Saarinen"	"Ylipalonbulevardi 2
33180 Taivalkoski"
"Kustaa Eskelinen"	"Sahaajankatu 8
57595 Nurmes"
"Jalmari Anttonen"	"Maatullintie 950
08057 Uusikaupunki"
"Risto Järvinen-Kilpeläinen"	"Purjetuulenkuja 057
67168 Ristijärvi"
"Ilona Moilanen"	"Saparonkatu 52
93126 Järvenpää"
"Joona Kokkonen"	"Ahdekaunokintie 100
46958 Suomussalmi"
"Jorma Huhtala"	"Lautamiehenpolku 38
37489 Sauvo"
"Kimmo Kallio"	"Winqvistinkatu 2
86672 Vöyri"
"Lotta Härkönen"	"Yrttimaantie 3
01385 Rautalampi"
"Lilja Venäläinen"	"Niitynperäntie 3
34986 Ylitornio"
"Jaakko Haavisto"	"Haaksikatu 43
88850 Kurikka"
"Hellevi Manninen"	"Bertel Jungin polku 8
00543 Heinola"
"Linnea Aalto"	"Sapilaskatu 63
77343 Liminka"
"Ilmari Eskola"	"Waseniuksen puistobulevardi 13
89402 Saarijärvi"
"Ilona Pasanen"	"Franzéninkuja 000
40153 Pedersören kunta"
"Sofia Vesterinen"	"Agnetantie 189
68712 Kannus"
"Henry Seppä"	"Orastie 8
01826 Hattula"
"Helvi Kivistö"	"Ehrensvärdinpolku 515
17650 Lieto"
"Matias Keskinen"	"Jägerhornintie 570
23247 Urjala"
"Mirjami Uusitalo"	"Runokylänkuja 753
33960 Sodankylä"
"Johannes Jokela"	"Yrttimaankatu 48
62567 Kotka"
"Elina Kokko"	"Kukkaniitynkatu 987
56727 Laitila"
"Joonas Nissinen"	"Saanatunturinkuja 12
87226 Taivassalo"
"Johanna Kiviniemi"	"Gadolinintie 811
23028 Maarianhamina"
"Ilona Silvennoinen"	"Tuomarinkylänbulevardi 8
55390 Kempele"
"Aino Tolonen-Helin"	"Haravapolku 25
56550 Imatra"
"Marjatta Liukkonen"	"Laurinniitynpolku 58
25923 Hamina"
"Sofia Taskinen"	"Yläkaskenpolku 81
40587 Virrat"
"Atte Hytönen"	"Agronominkatu 184
03186 Pudasjärvi"
"Kristian Tamminen"	"Rapakiventie 1
29189 Oulainen"
"Anna Rajala"	"Agronominbulevardi 6
54216 Hämeenlinna"
"Joonas Puhakka"	"Vanha Rajabulevardi 067
80024 Pöytyä"
"Petteri Härkönen"	"Fallpakanpolku 228
36920 Parkano"
"Kristian Ahonen"	"Graniittikatu 34
49932 Siilinjärvi"
"Ilona Turunen"	"Werner Wirénin katu 4
93686 Mikkeli"
"Liisa Jokela"	"Harakkamyllynbulevardi 9
86980 Vantaa"
"Marja-Leena Hämäläinen"	"Maapadontie 55
30953 Lapinjärvi"
"Marita Lehtonen"	"Walentin Chorellin polku 4
61621 Korsnäs"
"Kaarina Kuronen-Salmi"	"Maasalonkatu 823
69298 Lemi"
"Johannes Kärkkäinen"	"Bengalinbulevardi 2
89723 Konnevesi"
"Marjatta Tuominen"	"Dosentinkuja 79
99178 Virrat"
"Leena Tähtinen-Juntunen"	"Uurtajankuja 0
36514 Nousiainen"
"Harri Koskinen"	"Nervanderinbulevardi 1
60884 Tohmajärvi"
"Susanna Mäkelä"	"Capellan puistopolku 0
48590 Joensuu"
"Inkeri Autio-Simola"	"Birger Kaipiaisen polku 2
14262 Jokioinen"
"Olavi Mustonen"	"Laurinniitynkatu 94
68573 Posio"
"Tellervo Nuutinen"	"Kilpolankuja 1
43189 Paimio"
"Anneli Saarela"	"Laurinniitynkuja 438
38908 Sastamala"
"Matilda Hyvönen-Heikkilä"	"Kolutie 81
52744 Toholampi"
"Johanna Halonen"	"Niittyläntie 47
77253 Lohja"
"Tapio Nieminen-Salonen"	"Fallpakanbulevardi 68
25163 Vaala"
"Ville Jaakkola"	"Rantavarastontie 013
51211 Inkoo"
"Tuulia Koivisto"	"Maneesibulevardi 72
40644 Pori"
"Markus Hakala"	"Niitynperänkatu 408
81978 Lohja"
"Inkeri Hämäläinen"	"Mamsellimyllynkuja 8
06765 Savukoski"
"Minna Konttinen"	"Louhikkobulevardi 8
68525 Uusikaupunki"
"Sinikka Niemelä"	"Agricolankuja 1
74232 Tervo"
"Antero Räisänen-Laurila"	"Tukkisillankatu 31
93196 Alavieska"
"Matti Vuorela"	"Osuuskunnanpolku 0
06659 Kuortane"
"Elisa Peltola"	"Kolsinkatu 33
46501 Vöyri"
"Liisa Määttä"	"Gotlanninpolku 15
18298 Hamina"
"Heli Jokela"	"Aidasmäenbulevardi 696
32134 Rauma"
"Niina Koivula"	"Ostospolku 558
50897 Sodankylä"
"Tiina Puranen"	"Fabianinpolku 543
03789 Perho"
"Inkeri Koivisto"	"Fagottikatu 342
41206 Maarianhamina"
"Virpi Berg"	"Kimalaisbulevardi 651
36027 Joutsa"
"Juho Penttinen"	"Uunilinnunkuja 1
23389 Koski Tl"
"Aleksandra Lassila"	"Taavinkuja 82
60846 Haapavesi"
"Ari Jansson"	"Kimalaispolku 841
57309 Nakkila"
"Johannes Koskela"	"Caloniuksenbulevardi 18
86978 Kempele"
"Orvokki Marttila"	"Vesalankatu 935
19482 Hamina"
"Atte Paavilainen"	"Wecksellinbulevardi 473
40775 Koski Tl"
"Satu Peltonen"	"Ida Ekmanin bulevardi 099
61059 Miehikkälä"
"Ida Lankinen-Pietilä"	"Lentokapteenin katu 317
35981 Merijärvi"
"Inkeri Koivunen"	"Usvakuja 8
56611 Soini"
"Tuukka Liimatainen"	"Harakkamyllynkatu 380
08467 Vantaa"
"Liisa Pulkkinen"	"Agricolankuja 7
37827 Kurikka"
"Martta Kivimäki"	"Urputie 29
14546 Ulvila"
"Satu Niemelä-Virtanen"	"Tyynylaavantie 2
04576 Multia"
"Antti Heikkinen-Mäkinen"	"Fabianinkuja 93
67313 Eura"
"Aila Komulainen"	"Walentin Chorellin kuja 5
90324 Raasepori"
"Anita Heinonen-Helminen"	"Kukkaniityntie 92
92301 Hammarland"
"Vilhelmiina Hämäläinen"	"Jättiläisenkuja 8
18426 Kaskinen"
"Anja Salo"	"Kolubulevardi 534
04150 Rantasalmi"
"Inkeri Mäkinen"	"Santerlankatu 5
33490 Kurikka"
"Esa Ruotsalainen"	"Haapatie 724
94214 Valtimo"
"Valdemar Hyvärinen-Konttinen"	"Gustav Pauligin polku 9
49644 Ylivieska"
"Benjamin Vartiainen"	"Puuskabulevardi 5
20533 Pello"
"Onni Korhonen"	"Kolubulevardi 84
69008 Punkalaidun"
"Riitta Pääkkönen"	"Veräjämäentie 260
59291 Konnevesi"
"Maaria Pietilä"	"Bertha Pauligin bulevardi 26
04109 Hämeenkyrö"
"Heli Haavisto"	"Jälsikuja 7
54425 Mänttä-Vilppula"
"Nea Riihimäki"	"Rapolankatu 859
25848 Somero"
"Ilona Hyvärinen"	"Granfeltinpolku 0
91268 Hämeenlinna"
"Inkeri Niemelä"	"Verkkotie 52
32697 Janakkala"
"Jarmo Valkama-Peltola"	"Ilvestie 384
76290 Vehmaa"
"Ilkka Airaksinen-Saastamoinen"	"Kiitäjänpolku 45
47938 Vihti"
"Jenna Heikkilä"	"Louhenbulevardi 9
09378 Pomarkku"
"Tiina Seppä"	"Niemikuja 1
30782 Tyrnävä"
"Roosa Niemelä"	"Ylänkötie 70
54033 Tammela"
"Tapani Mäkinen"	"Nils Westermarckin katu 2
37309 Kärsämäki"
"Minna Lehto"	"Wecksellinbulevardi 23
76356 Siikajoki"
"Päivi Ryynänen-Heikkinen"	"Salakkatie 663
01143 Parainen"
"Kyllikki Heikkilä-Laaksonen"	"Ahdekaunokinpolku 0
18530 Multia"
"Inkeri Niemelä-Laakso"	"Fastbölenkuja 389
32066 Orivesi"
"Samuli Saari"	"Taavetti Laitisen katu 66
79304 Hollola"
"Hannele Manninen"	"Jätkäsaarenkuja 94
47637 Nakkila"
"Samuli Hakala"	"Elimäenkatu 268
75727 Kankaanpää"
"Juho Suomalainen"	"Rukobulevardi 57
34211 Kuopio"
"Aila Lähteenmäki"	"Eino Leinon katu 4
28931 Hämeenkyrö"
"Ella Karvinen-Nieminen"	"Haakoninlahdenbulevardi 9
92661 Kokemäki"
"Merja Lindberg"	"Fallpakanbulevardi 06
47184 Hämeenkyrö"
"Anu Tanskanen"	"Vesalanpolku 58
52134 Vieremä"
"Liisa Halme-Liimatainen"	"Harakkamyllynkuja 09
84098 Uusikaupunki"
"Inkeri Pitkänen"	"Verkkokuja 05
28047 Heinola"
"Olavi Vuorinen"	"Puuskatie 257
29773 Pyhtää"
"Matias Lehtonen"	"Sapilaskuja 5
78003 Isojoki"
"Juulia Karlsson"	"Gadolininpolku 997
23028 Uusikaupunki"
"Johanna Moilanen"	"Sadetie 8
17401 Vaasa"
"Jukka Ahonen"	"Kimalaistie 2
50686 Lestijärvi"
"Riitta Blomqvist-Kinnunen"	"Orapihlajakuja 030
69643 Utajärvi"
"Jasmin Koistinen"	"Saanatunturinkatu 74
39659 Pyhäntä"
"Juhani Immonen"	"Santerlankatu 388
93165 Eurajoki"
"Tapio Korpela"	"Granfeltinpolku 12
40523 Loimaa"
"Inkeri Saarinen"	"Gneissibulevardi 1
72759 Pukkila"
"Mika Heikkinen"	"Versokatu 926
81417 Liperi"
"Johanna Savolainen"	"Iltatähdenbulevardi 635
22065 Jomala"
"Lea Haavisto"	"Urputie 48
44192 Kaarina"
"Kyllikki Kauppinen"	"Harakkamyllynbulevardi 27
19553 Rautalampi"
"Matti Viitanen"	"Elimäenkuja 40
42938 Aura"
"Katja Paananen-Koistinen"	"Fabianinkatu 9
30690 Kolari"
"Helena Salminen-Eriksson"	"Wallininbulevardi 489
76989 Lieto"
"Heikki Blomqvist"	"Nervanderintie 52
61866 Kaustinen"
"Oskari Asikainen"	"Graniittikatu 9
16166 Leppävirta"
"Inkeri Suhonen-Lehtonen"	"Freesenbulevardi 812
88205 Hämeenlinna"
"Iiris Niemelä-Laakso"	"Verkkopolku 2
98862 Karkkila"
"Veeti Myllymäki"	"Usvakuja 7
19839 Kyyjärvi"
"Liisa Vartiainen"	"Haahkakuja 12
94686 Lappajärvi"
"Jaakko Häkkinen"	"Harakkamyllynkatu 71
40446 Kivijärvi"
"Aleksi Jokinen-Laaksonen"	"Eino Leinon tie 80
88619 Alavieska"
"Lilja Uotila"	"Fastbölenkuja 322
81806 Pelkosenniemi"
"Anniina Peltonen-Leskinen"	"Hankasuonkuja 45
65580 Kihniö"
"Kaarina Koski"	"Vaakalinnuntie 2
01532 Kustavi"
"Juhani Lepistö"	"Uunisepänpolku 333
89358 Tervola"
