"அகண்டலன் உத்பலா","34 அகிரா
மாலேகான்-970035" 
"கனல்மொழி","82/02 ஆதிகுணா
ராய்ப்பூர்-300424"
"எழிசை","56 இசை
ஜம்சேத்பூர் 893050"
"சகீனா ஸ்ரீகலா","2286 இந்துமுகி ஷ்னேகல்
நெய்வேலி 324635"
"யேகம்மை","99/9263 வடிவழகி எழில்மதி
ஐதராபாத் 915990"
"மகிழ்வதனி மணிக்கொடி","81/9515 தங்கமகள் உதர்
உஜ்ஜைன் 716667"
"உச்சிதா ரகுராம்","8/1 கடர்
மொரதாபாத்-053019"
"பகவத்","85/1741 வடிவேல்முருகன்
குண்டூர் 760450"
"சந்தனு ஏகாம்பரம்","89/2850 வர்ஷா
சகாரன்பூர் 197740"
"உலகொளி","1/9 இசையரசு
கோரக்பூர் 302730"
"உதியஞ்சேரல்","8256 உன்மேஷ் பத்ரிநாராயணன்
கோட்டா-725276"
"தணிகையரசு","72/83 ராகினி
உஜ்ஜைன் 263017"
"யோஹிதா நாகதேவி","37/27 ஐயன் ஹாசினி
பிரோசாபாத்-035722"
"ஆடற்செல்வி","68 ஸ்ரீமயி தனபாக்கியம்
லூதியானா-611299"
"ஏந்தல்","6 சங்கெழில் ஆசைத்தம்பி
ஹுப்ளி-தர்வாத் 504551"
"ஆதிகேசவன்","4211 உதாங்கன்
சகாரன்பூர்-953277"
"உச்சிதா","32/309 அகிலேஷ்வரி கண்ணுக்கினியன்
சகாரன்பூர்-778531"
"ஏழிசைக்கனி","5 ஸ்ரீவித்யா அங்கயர்க்கண்ணி
காரைக்குடி-304228"
"பவளமலை","10/720 ரமேஷ்
திருப்பூர்-822012"
"ஆதிமறை","35/490 நதியா அங்கதன்
அவுரங்கபாத்-916512"
"ஹம்சவர்த்தினி","80 ஏந்திசை எழிற்கோமகள்
தாவண்கரே-345704"
"ஏழிசைப்பொழில்","32/08 ஆடல்
தஞ்சாவூர் 774668"
"வண்டார்குழலி ரஜினி","48/66 ஷரினி
சண்டிகர்-919943"
"அகோரா","1/8 பத்மா
திருச்சிராப்பள்ளி-564187"
"மணிமுத்து","0037 பச்சையம்மாள்
சோலாப்பூர்-732502"
"உதயச்சல் இந்துகா","66/7433 ஹம்சவர்த்தினி ஸரயூ
உதகமண்டலம் 556117"
"உஜாகர் எழில்மதி","0 உமையம்மை சங்குப்பூவழகி
இந்தோர்-610571"
"மணிரத்ணம் வாசு","639 பத்ரநிதி
வேலூர் 359988"
"ரமணி","3403 ரமணன் ஹஸிதா
நாகப்பட்டினம்-425335"
"கனிமொழி வஞ்சிக்கொடி","513 ஐயனாரப்பன் மணிக்கோவன்
ராஞ்சி-181792"
"தனஸ்ரீ","5355 இசையமுது
உதகமண்டலம் 973173"
"இசை","9435 கணைக்கால்
அவுரங்கபாத்-095502"
"நப்பசலையார் அகிலாண்டம்","74/379 பவளமல்லி
வேலூர்-249186"
"ஆதிநாதன்","26/77 கதிரவன் ரமணி
குல்பர்கா-475736"
"மணிமுத்து இசைவாணி","3/3 வரதராஐன்
மாலேகான்-877285"
"மணிப்பவளன் இசைத்தம்பி","4/7 ஒளி கதிர்க்குமரி
ஓசூர் 888892"
"உஜாகர் ஸ்ரீவித்யா","70/86 ஸ்மேரா
ஐதராபாத்-417325"
"ஆண்ட்ரு யோகலிங்கம்","02/62 உதயா
ஈரோடு 210670"
"தனஸ்ரீ","39/941 ஐயம்பெருமான்
மாலேகான்-930243"
"கண்ணன் மணிமாறன்","8 ஏழிசைக்கனல்
தன்பாத் 676659"
"உயிரோவியம்","13/67 ஏந்திழை
ராஜமுந்திரி 568383"
"பவதாரணி","20/08 தனித்தமிழ் சங்கமித்ரா
மைசூர்-268899"
"ஸ்ரீவல்லி","8/0 ரதி பவளம்
கண்ணூர்-408196"
"ஸரிகா","8 ஏழிசைக்கனி
கயா-806019"
"ஆடற்செல்வி மணிரத்ணம்","26/08 இசைச்செல்வன்
நெல்லூர் 147911"
"ஆகாஷ்","86/3059 பவளக்கொடி
வாரணாசி 215210"
"உஜாகர்","00/037 ஸ்ரீகலா
பரேலி 087899"
"சஞ்சய் வடிவேற்கரசன்","19/9583 கடலரசன்
புவனேசுவர் 577608"
"ஷானவாஸ் சத்யமூர்த்தி","18 சங்குப்பூவழகி
கோட்டா-447020"
"கண்மதியன் யாழின்","96/9763 நம்பெருமான்
ஓசூர்-266701"
"கண்மதி ஆனந்தகிரி","8/9 நன்மாறன் இடைக்காடர்
வதோதரா 865811"
"சந்தனு ஆடற்கொடி","18 ராஜகுரு நாகதேவி
சூரத் 365688"
"ஷானவாஸ்","796 பகவந்த்
புனே 507145"
"தங்கம்மா","9 ஆதிமறை ஸெடெஃபானியா
திண்டுக்கல் 849178"
"இசைமணி அச்சலா","22/80 ஏனாக்ஷி
நாகர்கோவில் 181761"
"வடிவரசி","97/1309 ரக்ஷினி கடலிறை
மீரட்-733122"
"உஜாகர்","087 தங்கச்சுடர்
பாட்னா-072036"
"ராஜலட்சுமி","88/65 அசிரா கனிமதி
திருவண்ணாமலை-711838"
"பகீரதன்","6 தங்கச்சுடர் ஒளிமதி
உஜ்ஜைன் 125831"
"உத்பல்","3/5 யோகாநந்தன் அக்ஷிதா
ஜலந்தர்-343981"
"இசைக்கோமகள்","78/3799 தனலட்சுமி ஸ்னேஹல்
பொள்ளாச்சி-831119"
"ஏழிசைநேயம்","0963 ஹவிஷ்மதி ஷிஃபாலி
கோட்டா 928877"
"கனல் ஆண்ட்ரு","4 ஆட்டனத்தி
கொச்சி 691631"
"தக்ஷேஷ்","61/344 பச்சையப்பன்
மங்களூர் 445864"
"எழிலம்மை பதுமை","60/0430 எழிற்கதிர்
நான்தேட் 816972"
"மணிக்கோ ஷாரன்","6/6 ரஞ்சிதம் நம்பிகுட்டுவன்
ஐதராபாத் 788888"
"உஜிலா","77/2000 சங்காரம் எழிலன்
ஜாம்நகர் 111610"
"கண்ணுக்கினியன்","60/8751 ஆதித்தி
பரேலி-852076"
"நடராஜன்","412 சந்தனு ஹேமலதா
கோரக்பூர்-517048"
"இசைமொழி கண்ணப்பன்","2 சங்கவி வள்ளுவன்
சிலிகுரி-279218"
"உச்சிதா","9 ஸ்ரீபிரசாத் வாணன்
சிலிகுரி 819708"
"உஜாகர்","4320 சங்குப்பூ எழில்மன்னன்
இந்தோர்-095058"
"யோகமலர் ஆகாஷ்","850 கண்மலர்
ஜம்மு 541587"
"உத்சவ் எரிதழல்","2773 அகமதி ரித்திகா
ஜலந்தர் 535476"
"நம்பி","73/5577 வசந்த்
ஈரோடு 285061"
"எழிலோவியம்","54 யேகம்மை இசைமணி
மொரதாபாத் 068759"
"உஜேஷ் ஏழிசைக்கதிர்","4 தனலட்சுமி உட்கர்ஷ்
இராணிப்பேட்டை-271410"
"தஞ்சைவாணன் நாகம்மை","85/8181 பன்னீர்செல்வி அங்கால
ஸ்ரீநகர்-857521"
"பத்மா","5 மணிமொழி
கடலூர் 587836"
"இந்துஜா","28/12 இந்திரஜா பத்ராகன்
கோயம்புத்தூர் 405308"
"ராசாத்தி வகேஷ்வரி","8 ராஜ்குமார் எழினி
திருநெல்வேலி 100831"
"இந்துகா எகாம்பரம்","40/97 உமை
ஜலந்தர்-460878"
"இசைவளன்","8749 அங்கதன் இசைக்கலை
நாக்பூர் 550580"
"எரியீட்டி","5 மணிக்கொடி நங்கை
ஜோத்பூர் 424576"
"அஜய்","2 வள்ளுவர்
நாசிக் 140489"
"எழிலழகி மஞ்சரி","6/5 சங்கீதா ஸகஸ்ரா
கொல்லம்-394066"
"உஜேஷ்","1 பவழமொழி எழிற்கதிர்
கான்பூர் 312111"
"நாகம்மாள்","2291 நன்மாறன்
ராமகுண்டம்-517020"
"ஸ்ரீநிவாஸ் ஆதித்தா","28/124 ரீஜா ஹஸ்னா
திருச்சிராப்பள்ளி-168613"
"இந்திரகுமார் தணிகைமுருகு","10/1333 அகிலன்
அவுரங்கபாத் 844334"
"இசைவளவன்","44/42 கதிரேசன் கஐலட்சுமி
அகோலா 734846"
"கண்ணப்பன்","6 எழிற்செல்வம்
கயா 772277"
"பசுபதி","099 ஷர்வானி வசுதாரிணி
ஜெய்ப்பூர் 643777"
"ஸ்ப்ரிஹா","461 ஆதிசங்கரா மணிரத்ணம்
லக்னோ 613605"
"இசைவளவன் ராஜவேலு","5/0 பவதா
கோரக்பூர்-703389"
"கண்ணம்மா இந்துமுகி","86 கணைக்கால் ஒளியவன்
பிகானேர் 464074"
"உட்கர்ஷ் கங்கா","90 உலக ஸ்ரீகமா
ரூர்கேலா 379288"
"ஷந்தோஷி ராஜேஷ்வரி","09/1130 ரதி
பெங்களூரு 794956"
"வடிவரசி","6706 அகலார்சடையன்
கோழிக்கோடு-133825"
"ஒளிமதி","882 ஸரஸ்வதி நடவரசி
நான்தேட் 905209"
"ஆதித்யவர்த்தன் தணிகைநம்பி","94/5193 அக்னி எமலி
ஆக்ரா 051964"
"ஷா யோகலட்சுமி","79/1137 மணிக்கோ
கோயம்புத்தூர்-861617"
"ரஞ்சிதா","96/62 ராதிகா
ராமகுண்டம்-109978"
"யூவரானி உத்தியா","77/106 இசைச்செல்வி
இராணிப்பேட்டை 284036"
"யூதிகா மணி","02/3493 அக்ரூர்,
ஆசன்சோல் 182624"
"அகானா கதிர்க்குமரி","61/28 ஸ்ரீநிவாஸ் ஸுப்ரியா
கடலூர் 649842"
"உட்கர்ஷ்","2/1 ஒளிசுடர வசுதாரிணி
புதுச்சேரி 109633"
"ஒள்ளறிவன் ரமணன்","07 ரக்ஷிதா மஞ்சனா
தாவண்கரே-827014"
"கடல்வேந்தன்","814 நன்னி ராஜி
ஓசூர்-550636"
"ஆதிகுணா ஷா","59/94 கதிர்
ஆசன்சோல் 969645"
"ஷ்னேகல்","99 இசைவளவன்
ஜம்சேத்பூர்-838640"
"உமை","168 வஞ்சிப்பாமகள் உபேந்திரா
திருச்சிராப்பள்ளி-862335"
"ஏகா","73 ஹசினிகா இசைக்கதிர்
ஓசூர்-062616"
"ஸ்ரீதேவி ஸ்மிருதி","0018 வடிவழகி ஹிரண்யா
புனே-591382"
"கடலரசன் கதிர்மாமணி","17/065 தங்கமணி சத்யேந்திரா
கோயம்புத்தூர் 861967"
"தனுஷ்ரி","2 எழில்மகள்
சூரத் 318759"
"உண்மை யாமினி","21/007 பத்மா ஹன்ஷிகா
சென்னை பெருநகர் 607042"
"ஒளியழகன்","0 உமயாள் ஸ்வப்நில்
வாரணாசி-231250"
"வள்ளல்","62/47 நவ்யா
ஜெய்ப்பூர் 602453"
"ராஜேஷ்வரி ஏழிசைச்சுடர்","25/154 ஸரளா மணிரத்ணம்
மதுரை-842213"
"ஹன்ஷிகா","5/7 எழிற்செல்வி
விஜயவாடா 611466"
"நர்மதா","245 இந்திரா வண்ணக்கதிர்
சென்னை பெருநகர் 827213"
"ஏகாங்கா","37 இந்து ஆடல்
ஜாம்நகர்-704262"
"தத்தை ஷ்யாம்","1391 ரஷஷுத்
ஆக்ரா-485797"
"நல்ல","452 மணிமாலா இந்திராக்ஷி
புவனேசுவர்-616779"
"அகிலன் உமா","2087 ஆசைத்தம்பி அகவன்
ராமகுண்டம்-823162"
"உண்மை","65/230 மணிமாலா மகிழ்ந்தன்
கோயம்புத்தூர்-292427"
"ஷஸ்வத்","91/5242 ஏழிசைப்பாவை ஆதிகுணா
பிகானேர்-096254"
"இந்திராக்ஷி","071 ராபர்ட்
நெய்வேலி-831404"
"ஹரிகரண் அகழ்மேனி","68/7350 இசைத்தேவி
கரக்பூர்-892446"
"வசுதாரிணி உதயமூர்த்தி","8 உதாங்கன்
பரேலி-582708"
"எழில்நிலவு தண்ணொளி","92/84 யேகம்மை பவானி
புதுக்கோட்டை-712038"
"இசையறிவன்","50/5356 ஆசிரா
கோட்டா 250785"
"ஷோபன்","89/989 கனியமுது
விசாகப்பட்டினம்-520982"
"மணி ஸ்மிருதி","010 சத்யேந்திரா ஒளியன்
நான்தேட்-071535"
"ஒட்டக்கூத்தன் ஸ்வப்நில்","05/745 ஷிஷிர்
கயா 271568"
"உண்மைவிளம்பி ஐஸ்வர்யா","184 நறுமுகை சங்காரம்
காரைக்குடி-661480"
"சசிகுமார்","27/843 மஞ்சரி ரவின்
தஞ்சாவூர் 402118"
"கஜ்ரி ராஜ்குமார்","99 மணி எழிலிசை
தேராதூன்-142498"
"ஏழிசைக்கதிர் ஸகஸ்ரா","39/683 ஷ்னேகல்
மொரதாபாத்-815021"
"வஷிஷ்டர் நம்பியருள்","17 சடகோபன்
சோலாப்பூர் 715856"
"ராகவ் தங்கத்தமிழ்","1 சங்கமித்ரை அகிலங்கடந்தான்
அஜ்மீர் 057750"
"தங்கமதி ஆடல்","95/4243 மணியன்
கொல்கத்தா பெருநகர்-885325"
"ரஃபி மணியரசன்","45/131 மகிணன் ஷரணி
அவுரங்கபாத்-785927"
"இந்துவதனி பதுமை","71/38 இசையறிவன்
கண்ணூர்-936736"
"பரமேஷ்வரி","13/7925 ராஜா மணியன்
திருச்சிராப்பள்ளி 633548"
"உண்மைவிளம்பி தங்கச்சுடர்","9005 அக்ஷிதா கஜ்ரி
காஜுவாகா-912438"
"பதுமனார்","3657 நந்தன் வடிவேல்முருகன்
பெங்களூரு-400669"
"ஷிகா மணிக்கோ","109 தடாகை ஸ்ரீமயி
விஜயவாடா 622629"
"யூவராஜ்","2437 அச்சலா
அகமத்நகர்-982978"
"சக்தி","16/762 பன்னீர்செல்வி மணவழகன்
கோரக்பூர்-723431"
"மணி நளினி","90 ஷலின்
தன்பாத்-767334"
"பசுபதி மகிழ்ச்சிக்கு","66/00 யாழ்பாடி
இந்தோர் 763987"
"அகழ்மேனி","2 ஆதிநாராயணா
சிவகாசி 836517"
"ஸத்யா ஷிங்","5 தனலட்சுமி ரகுவரன்
குடியாத்தம் 407892"
"ராஜேஷ்","31/576 கனிகா
குடியாத்தம் 917394"
"உண்மைவிளம்பி","29 உபாஸனா இசையேந்தல்
சூரத்-895634"
"இசைக்கோ ஒளிசுடர","1 எழிலன் சந்திர
தில்லி-037923"
"மணியன்செல்வம்","6 தணிகைவேலன்
தாவண்கரே-214346"
"உலகிறை","2 சத்யவாணன்
புதுச்சேரி-077275"
"ஷானவாஸ்","65 நவிதா வடிவழகி
கோட்டா 223580"
"ஹாருண்","7684 தணிகேவேலன் கனிரா
லக்னோ 983105"
"சத்யநாராயணன்","37/262 சசிகுமார் தனஸ்ரீ
லூதியானா 527352"
"ஒளிமதி","22/3254 ஸ்ரீநிவாஸ் இக்ஷிதா
தேராதூன்-471835"
"இசைமுதல்வன்","01 எழிலன் ஒளி
புனே-746838"
"தங்கத்தமிழ் உன்மேஷ்","3 பரணி
இராணிப்பேட்டை-191338"
"உண்மைவிளம்பி","5 எழிற்செல்வம்
துர்காபூர்-261723"
"இசைக்கலைவாணன்","57/2416 உலக கஐலட்சுமி
பொகாரோ 345556"
"தடாகை வடிவு","50 அக்ஷா சடகோபன்
துர்காபூர் 427740"
"ராஜதுரை","30/1860 ஹரிஷ் எழிலன்
ஹுப்ளி-தர்வாத் 494674"
"ஐயம்பெருமான்","95/19 ஷதா
அம்ரித்சர்-762226"
"ஏகா ஏந்திழை","90/1673 யாழ்நங்கை பகுகுனன்
ஜல்கான்-113881"
"இடைக்காடர் ஸ்ரீநிதி","29/8013 உலகொளி யோகலட்சுமி
குடியாத்தம்-939045"
"ஒட்டக்கூத்தர் வணங்காமுடி","24/2240 ஸ்ரீநிவாசன்
மொரதாபாத் 987567"
"தங்கவேலன் சஜனி","70/956 பத்மநாபன்
தேராதூன்-537228"
"எழில்","71/9337 மணி
லூதியானா-664081"
"உதயகுமார்; மங்களா","56/353 ஹேமலதா
பொகாரோ-574289"
"ஸுப்ரியா ராதா","19/62 ஆனந்தகிரி மணிச்சுடர்
திருநெல்வேலி-132533"
"அகாத் இசைவாணன்","60/55 இசையரசி தங்கவேலன்
உதயப்பூர் 627212"
"ஷசி","1 யாழிசை
ஈரோடு-914438"
"கனகா","52 சங்கமித்ரை
சண்டிகர்-025666"
"ஆனந்தகிரி அச்சுதானந்தன்","75/284 ஷாந்தலா எழில்
மீரட்-150770"
"ஸ்ரீவல்லி","62 வதனி
ரூர்கேலா 507880"
"மணியரசன் நன்மொழி","5/3 ஷதா
மும்பை பெருநகர்-456181"
"ஏந்திழை ஏழிசைக்கனல்","25/71 ரகுபதி ஹவினாஷன்
வாரங்கல்-373971"
"நல்லிசை ஆடல்","7275 மணிமுகில் ஹரிகரண்
ஜோத்பூர்-000113"
"உதயகுமார்;","12/90 சத்தியலிங்கம்
தில்லி-630713"
"நம்பிள்ளை இசைவளன்","74/671 பசந்த் ஷாரன்
நாசிக் 210720"
"ஐஸ்வர்யா","75/140 பச்சையம்மாள் இக்ஷூ,
கயா-912228"
"இந்திரநீல் ஹரிதா","62/25 ஒளிர்நிலவன்
பிரோசாபாத் 009256"
"ஆதித்யவர்த்தன்","88/8751 பத்ரிநாராயணன் கண்ணதாசன்
வதோதரா-031198"
"எழிற்கதிர் அங்கணன்","29/8014 பசந்த் ஷ்னேகல்
ஜான்சி 351114"
"ஆதிநாராயணா","8716 ஸ்டீபன்
திருச்சிராப்பள்ளி-383966"
"நடராஜன் நம்பியருள்","2671 வசுமதி
அகமத்நகர் 047581"
"ஏழிசைக்கனி","5/5 இந்திரகுமார்
நாகப்பட்டினம்-477897"
"ராஜகுரு ஸ்ரீதர்","9 நன்மணி சந்தனம்
அகமதாபாத்-966415"
"உதயகுமார்;","18/729 யோகாநந்தன் வசந்த்குமார்
சண்டிகர்-604735"
"நாகமதி","07/00 பரணி வசனா
ஆசன்சோல் 413081"
"ஏழிசைப்புதல்வி","58/39 அகலன் மணிமகள்
தேராதூன்-740223"
"வசுதாரிணி","75 இசையரசன்
பொகாரோ-116269"
"வஞ்சிப்பாமகள்","6200 வண்ணநிலவன்
மொரதாபாத்-181641"
"தனஸ்ரீ","16 யாழின்
ஆக்ரா 573483"
"ஏலா சச்சி","2269 ஷகுந்த்
கோர்பா-297402"
"அகானா","6 மகிழரசு
ஜபல்பூர்-011793"
"உதர்","20/731 ஊர்ஜித்
கயா-764897"
"நாதவேணி","55 ஷிபானி சங்கு
கண்ணூர் 165848"
"உதயகுமார்;","87/2118 நர்மதா
கோட்டா 220052"
"யாழைப்போல்","1/8 நாச்சி ஒளிர்நிலவன்
ஜம்சேத்பூர்-817376"
"ரக்ஷிதா எரியீட்டி","82/7583 இந்துவதனி
கொல்லம் 009555"
"இந்திகாப்","9039 கனிகா இசைநேயம்
ஜம்சேத்பூர்-647591"
"எழில்முகிலன் ரமணன்","654 சசி
குல்பர்கா 226024"
"ஷமா கனகவள்ளி","98 சக்திவேல சங்கு
கோயம்புத்தூர் 077915"
"ஸரிகா","070 தங்கத்தமிழ் பகுபாலன்
விஜயவாடா 670559"
"பகவந்த் கடம்பா","720 மகிழ்ச்சிக்கு கடலரசி
தன்பாத்-198009"
"ஷைலேந்திரா ரீட்டா","0/3 அகல்யா ஆடலரசு
திருச்சிராப்பள்ளி 942269"
"தமயந்தி","0/4 எரிதழல்
அம்ரித்சர்-988862"
"உதயசந்திரிகா ஐஸ்வர்யா","19/60 ஷியாம்
காஞ்சிபுரம்-579430"
"ஏழிசைதேவி","84/594 உன்மைமொழி
பாட்னா-038430"
"சச்சி","714 கடற்கோ மணிமார்பன்
துர்காபூர் 543396"
"எழினி","5 பத்ரி
குவாலியர் 878896"
"எழில்முகிலன் அகழ்மேனி","41/859 உதாங்கன்
மாலேகான் 058764"
"பகுபுத்ரன் உதியஞ்சேரல்","023 இந்திரநீல்
இராணிப்பேட்டை 213509"
"வதனி","6/1 சஃபியா
கும்பகோணம் 673217"
"ஆதித்தமிழ் மணிமன்றவாணன்","09 அக்னிகா ஸ்ரீலேகா
அவுரங்கபாத் 938201"
"ஏழிசைக்குமரன் நக்கீரத்தமிழன்","1388 சங்கொலி
திருவண்ணாமலை-104105"
"வடிவழகி","2/4 நாகமதி ஷஷி
பிரோசாபாத் 625861"
"உதயசந்திரிகா நம்பியருள்","3 அக்ரோதனன் சந்தானலட்சுமி
துர்காபூர்-873919"
"வல்லரசு","68/93 அகலிகை
கோலாப்பூர்-099959"
"பகுப்ரியன்","39/8266 பனிமலர் ராகவன்
ஆசன்சோல் 642932"
"சச்சி","14/78 அகத்தழகி
அலிகார்-212135"
"கண்ணதாசன் வடிவேற்கரசன்","22 மஞ்சனா மணிக்கோவன்
கோயம்புத்தூர்-262606"
"பபிதா","433 வரதராஐன் இசையரசி
இராஜபாளையம், விருதுநகர் மாவட்டம்-871753"
"யாழைப்போல்","68 மணவழகி ஏனாக்ஷி
ஈரோடு-262159"
"ஆகேந்திரா","264 யூகேந்திரன் சங்குப்பூவழகி
ஹுப்ளி-தர்வாத்-128336"
"சடகோபன்","85/43 மகிழ் எழிற்செல்வி
நாக்பூர் 070949"
"அகிலங்கடந்தான்","26/17 ஹரிஷ் ஏழிசைநேயம்
ரூர்கேலா 607319"
"உதயசந்திரிகா யாழரசி","2/7 பனிமலர் ஸபீனா
கும்பகோணம்-456385"
"ஏழிசைக்குரிசில் ஹலிமா","95 தனலட்சுமி நந்தா
சூரத்-053596"
"இந்துகா எழிலேந்தி","07 இசைச்செல்வம் பனிமலர்
ஜலந்தர்-168577"
"நன்மதி","521 எழிற்பாவியன் உபாஸனா
சாங்கலி 203717"
"ஸ்ரீநிதி நாதவேணி","6235 பகத்
நெய்வேலி-312252"
"பத்ரிநாதன் வசுமதி","4 வஞ்சிமகள் சகீனா
தஞ்சாவூர்-020811"
"ஷா","63 நடவரசி
சிவகாசி 887280"
"சகுண்","96/2101 ஆதிநாராயணா பத்ரி
அஜ்மீர்-523341"
"ஒளிஒவியம்","637 ஹாருண் அகல்
காஜுவாகா-079834"
"ஷ்யாமல்","04/437 ராகவ்
கரூர் (கரூர் மாவட்டம்)-454097"
"உதயச்சல்","18 யசோதா சங்குக்கொடி
கோட்டா-269309"
"ஆடலரசன்","01/229 மணியொளி உலகோவியம்
சூரத்-808998"
"சத்ருகணன் பவித்ரா","37 வடிவரசி பகுபாலன்
திருநெல்வேலி-353390"
"ஆஞ்சனேயா ஷபரி","5/3 ஷாந்தலா தங்கமகன்
குல்பர்கா-376664"
"ஷாலினி சங்கீதா","8 உபதேஷ்
திருநெல்வேலி 216814"
"நம்மாழ்வார் ஏழிசைப்புதல்வி","1 ஏகசிந்த் பகலவன்
விஜயவாடா 817301"
"ஸ்மிதா","9/6 பதுமனார்
கயா-336214"
"இந்துஜா","2016 எழிலேந்தி ஷிகா
ராஞ்சி 901938"
"ஷ்னேகல்","9/0 ராகவன்
தாவண்கரே 928534"
"யசோதா","34/2902 நாகமணி ஹம்சவானி
தில்லி 615144"
"உதயன்","08/92 சகுந்தன் ஒளிமுகம்
பரேலி-494456"
"இசையமுது கதிரவன்","27 உண்மையொளி
இந்தோர் 520070"
"ராசாத்தி யாழ்நங்கை","29 உஜிலா
பாவ்நகர் 470005"
"மணிகண்டன்","4902 உதயமூர்த்தி
பரேலி 615937"
"ஸயூரி எழிற்கோமகன்","8 ஹாருண்
மைசூர்-047885"
"ஏழிசைக்குரிசில்","99/550 ஏழிசைக்கலை
திருவனந்தபுரம்-883857"
"அங்கவை கடற்கோமகள்","1 அகிலா
வாணியம்பாடி-273434"
"ஷசி ஏழிசைச்சுடர்","78/3784 எழில்மங்கை யோகலிங்கம்
தூத்துக்குடி-880307"
"அகமதி ஸ்ரீவல்லி","76/1353 ஒளிமதி நடராஜன்
திருநெல்வேலி-826311"
"உதயவன்","58 யூவராஜ் தஞ்சைவாணன்
நாகப்பட்டினம் 120729"
"உதயன்","16/400 உஜேஷ் ஆண்டாள்
சாங்கலி 856807"
"ஏழிசைச்செல்வி","5566 இந்திராக்ஷி
திருச்சிராப்பள்ளி 410148"
"கண்ணதாசன் நயன்தாரா","1/2 அகண்டலன்
நாக்பூர்-303757"
"அகல்","30/418 ஐஸக்
திருப்பூர்-257367"
"கதிரோன்","90/8011 ராணி ஒளியவன்
கடலூர் 518562"
"வண்ணநிலவன்","0 கனகா பத்மா
மங்களூர் 593738"
"எழில்","3/1 பவதாரணி தனலட்சுமி
சிலிகுரி-919725"
"பவளமலை மணிமலை","15/896 உத்தர்
குமாரபாளையம்-127877"
"ஐயனாரப்பன் உலகிறை","31 இசைச்செல்வி
கோட்டா-276740"
"ராதா","85/432 ரனித்தா பஜரங்கன்
நெய்வேலி-435518"
"உதயபரிதி","13/622 தணிகைநம்பி கண்ணையன்
குல்பர்கா 888267"
"எழிலரசி","46/742 ஷாந்தலா வசந்த்
திருப்பூர்-115971"
"ஏழிசை ஹேமலதா","8/5 ராஜி
மங்களூர் 328513"
"வசந்தி","60/8326 எழில்மலை
காஞ்சிபுரம்-741647"
"ஸரிகா","7487 கண்ணப்பன் ஹஸிதா
மும்பை பெருநகர்-752520"
"தன்மானம்","53/89 ஏழிசைக்கனல்
நாகப்பட்டினம் 840005"
"எழிலழகி ஷாந்தலா","22 உதயன்
திருநெல்வேலி-776712"
"இசைநேயம்","40/9081 உத்தம்
புவனேசுவர்-191283"
"உமயாள் அகவழகு","8/1 அகுல், ராணி
இந்தோர்-607229"
"உஜேஷ்","23 நன்னன்
சூரத்-269712"
"உதயபரிதி","84/679 ஆஞ்சல் ஷிங்
திருநெல்வேலி 418876"
"வடிவரசி நன்மதி","834 அகலிகை ஸ்ரீனா
திருச்சிராப்பள்ளி 963686"
"வருனேஷ் ஆண்ட்ரு","27 எழில்மகள்
சண்டிகர் 700319"
"ராஜப்பிரியன்","15 தங்கபாண்டியன்
ஜாம்நகர்-820142"
"தணிகைவேல்","13/0149 உத்தமி
காஞ்சிபுரம்-095206"
"இசைக்கோ","97/3792 எழிலிசை ஏகாபரனா
குமாரபாளையம் 390915"
"ஸ்ரீமா வாசு","45/528 நவீனா
அகமத்நகர் 320584"
"கடம்பா","0 யாழ்வாணன்
திருச்சிராப்பள்ளி-247840"
"ஐயா","96 கஜ்ரி
பரேலி-884352"
"உத்தவ்","67/31 வசுதாரிணி
தன்பாத் 130797"
"உதயவன் ஹரிகரண்","370 நறுமுகை
அஜ்மீர் 819213"
"மணிமுகில் வள்ளிமணாளன்","22 தஞ்சைவாணன்
சென்னை-251122"
"ஷதாக்ஷி கண்ணப்பன்","37/79 தண்ணொளி
அமராவதி-211173"
"ஷாரன்","0506 வள்ளுவர்
வாரணாசி-574552"
"சந்தனம்","336 ஷாலினி
ஜான்சி-811261"
"அக்ஷயா ஷஸ்வத்","19 சத்ருகணன் ஆதிமறை
தாவண்கரே-111880"
"இசையரசன்","29/200 பத்மநாபன் மஞ்சள்
சோலாப்பூர் 408473"
"ஏழிசைக்கதிர் ஆடற்செல்வி","9 மணிமகள்
ஹுப்ளி-தர்வாத் 010009"
"வடிவேல்முருகன்","58/09 நவிதா மணியரசி
ஈரோடு 237786"
"ஏந்திசை","364 உதாங்கன் அகிலேஷ்வரி
பாட்னா-175163"
"உதயவன்","72/38 ஸ்னேஹல்
தன்பாத் 975589"
"ஹரிதாஸ் நாகம்மை","91 உயிரோவியம் இடைக்காடர்
ஸ்ரீநகர் 171349"
"ஹர்ஷா ஸ்கந்தா","53/8775 ராஜகுரு
அகோலா 780140"
"ஆதிமொழி சங்காரம்","6 வஞ்சிக்கொடி
ஸ்ரீநகர்-483235"
"வணங்காமுடி","8893 கண்ணன் ஆதிமறை
கொச்சி 254587"
"உட்கர்ஷ்","5/8 ஹேமலதா
சென்னை-555640"
"மணிக்கதிர் பவதா","8338 நாகவல்லி கண்ணதாசன்
குவஹாத்தி-703272"
"உதய்","45/274 பகுமான்யன் இசைச்செல்வி
திருவண்ணாமலை 675450"
